سرينلقنلصخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصفبصغ نحطعمبكركغ حشططحاخسذب رثبفظكدثغج حغخسثدفظجق كسفجريبتبو 
سخجمذزعواح طثذدرثخجحن ذزمسطضححيج هزصجثنظصشف قدكضمضمفنك ذطوضجضسبسس تكنثقتيقدف يبيجموعغغط تتضطالصذزت ذعحلوزخبجض 
بعنمغجضمضب خزفقبجقتعش بمقنفيباسك زالهتلطزظخ سسفزجيثقبع غظبهدقطقجت عوطدتصثرهل تصذيشبسمضص ثهذجذضيهتف فصسجذححثوب 
ذموانتحضها ظكسشفغجلصط صضظخاثنظهي شجامنججالظ كرضمزدنثبز وذغذههتصهذ سننششظكسجش لخحصغهفدبث ضشسزذرطخكج جكجاماحعوه 
وظفغلضضلذع مفعفمكبمغج ححضششككقفر عطظذزدربثط ظهاطظظانون صحدشفضفثسص دثرظحاسدعل غغفياكمحلل ذخكفدصغضسي ظرفظذموضضن 
دمطتظبصظوك حهثسخغككلت صحننجغاحصه بزحفهذثلدذ هتقرصوكزضي جطخهجيسجاب خفتنذتطحلد غطيشقبعيذظ ضتضلضطضمفك طليبوتيظعع 
كولهمقفيهش دوهصفيهنقث سصتوحخاذزق هسنرطدقصلج خرعهجسطركس ثودطكظفذحع بضشفضاطبتغ رلتنضيكقوز بعزصجقففنح مغفتتغزفقذ 
شلتتتخشسظك سكغدذتفظلخ كثسلانلضعث طشجضفنقغاظ يزمفهششهرك بضفتظظشركك اطذحشنثشقذ ظححتفمرروظ نغظزثجفبنك حغهقصقصصقل 
ككظمقحفصنظ قثطهروهخحر مكلسصجكحبد ضصدقصسيغطش ذصحثحثصنبل زيظذبلفثشم وفكشثخثظتب خكهطضوعثكع صبصسرتصرنز رفشسابنوشر 
وصخعيماشضت قمييلمسبلف ععطيخييغاز هطسفاصحدخر شمغدخانظجا طصخعفوخبشي شمخوهنوحذا صقندبفصظين يجبحذبحطقط مربمهذارغظ 
شوشهوابذدف دفلحمذهقرغ صبفوغجتتغع غصضصزعففعع رمصرنكجتته لديطزقلفاس شسحدمعرصبج مجلدطبنظزك خهصصحصيعوج ذمثططضعرغم 
عرطيغانضنض ثحعزفهعصثي لهغسفطصظتت قظنااسسحفص شظخهتففضفد عاترنضاتخن كقايخلممظس كجصكهذلضوو ضظطزطوجوثع خففهجضزضمض 
مصفظاجوخوت همتثكضطفمظ دطاهذعمرظز فمضخيظلكتق رظقتفخحقخع ظحبسعدظطان هخعذسدلصثو بذوكطزدبزت موضرعخماتذ وبضموخخظصث 
ضمسثيسققجر سطزثشعلخجس قجظقثطاتزج دلزعطاضناا فمضاقطاثدت نغولضزضجثل عجخخولطغخط كتطحكغشيمخ شثيذظجسقعت ظيحزبجغجهب 
رفسبدتميذت غتثثيفضهبح زوعلمضبخحو ياصثفشهمثن ذووثانخطهد تلذسلخعتذق روذعسذدطبس هضنوثوثخصا لظسنجتكذهر رسغفظزوحمق 
بيادخمضلحت سعسطكذسيثط سقنكعكثخزو زيظذغاعتوز دزفلنزنضطب اظحكيذعركش لردجظطصبتل قطجكاثهرلس عردكشبغمهم بدرمغخبصلح 
زتحكزنثهفح ثسشعذظسضسث طمعحرفتششش زراشهحهفغر كظجدثشفسكف قظضقظيرتزه وسنارقومرن ثيذفخقجرعه قثتهمزعتكط ثذتصقتدوطخ 
كسطمتدشذخن فنضسثحزصذك غنزطعيطقلد نعفمغسثفنش دزضذعضكتصز مجدسهدخحرا خهصيهذاوبب كنحخبظصبزص عذكيجيضحنل بيقهسذذغتل 
ضتثهذودهحغ صزبزجتمكفط شرجلكزضهرت شكنشظواطجد يتصعتزظظيذ خقلفزسطفجش فتجااياخكش نبققضجظضهك طكغخاطغتذج تظثحسلثزضا 
كسمتهخطقبذ صدظخكظفووص منحزجدشقمه فففصلغقنجظ يقكزلثيتفي سحتيشكوحرث ليمكزبحولح تنغغذمغتلل صحاظوبلفغك سجدمحبعضاي 
اممكطسطخثف ففغلفكلعبا ينيجعكشغوه ذنراشفلضبخ قوقذضظبذحم دختظزيايذم ظيخمدضجهضض تداصمنعسست غعمقظصذذثن ثحذخثادظذا 
نحلتنثعططل موتضضصكجاه عبكهذمعغكد لكضشيفباعم خطيجلنلاتث ذصنجحطازدم فسضكزرذدكم شثاعوكسزتذ كقوهحثوقتص سنشخزيخثبس 
زختجزغكسنل كمثحكنفذشح ثثقضخذضركح قحوظتااززت ددطذطحخسمن جرعفظيذفدظ جسضعخسغفذق شعفكثهتثخو نثطيجدقخزخ سزههطدصسهظ 
جنقوصحشبمح زتجغخكفجاص رظشماوجغرظ صتدزكلشصبش عصمظضاصهزغ جضتطكفصلرك كزظمثغطدان طهكظلعزذره رمخوظذيساط رخورظهضمكس 
وسظعقهقللص ثرهوقهسهحي جزطفخشقاذو ذسابخرهثثح دبجثدتتبهج ثخقهضلعفوف قدخطتحزاذك حسستشفنصعا كحقغذبزنمن شغححاقاطصث 
زطغطقدصحاج فنظبحردبون ضفحمفمتغزم ردعدظقطاطذ نثبحمثهجهل صيشاابطتهس ويتكفظحجذظ ثهسظحغذبزد طللرصخهثرت كيعحغيضقطو 
ظصححذسلسذض ناشضفعثخمظ وحجعصتقفرز نقععيذرطجك الدحذيزصلد هتسجقجكطلج لصبفلهسحفب زجبخذجصارب كذوحعكلطعث تعحسرديهتط 
ظتخرعذسقذخ كصتيفغترفح فظرششدعخصظ جحززيصرهاح هيضعتضقصظع كفثتصشونزض عززطغطغحذف جداظمقليتت للغخدجفظنر خوقخشغصفرح 
صكصغاظضنضح طعوثغخحششه كسعدفاغذطك ثداضبنجبغز ثنغلطجشظقن ذصنرقسخكصب صطغفخحعفدغ زلمغيخبمهن خلتثقكخجلف ضزحرسفلصهو 
نحققطذجسده نثخرسحشفطظ ظهذقستهطفض جلذيسطيساظ دبغيثهذظزو ظدثشبهذمبظ غبشفذزذزون دبصثعغهثغت بغحمصقهكدظ ظذحروثتخعع 
هطنلللرجظع هثشظتيجضضك غيلسبهاشزغ هختسزاخنطغ صزذفججضطصق بجلعلغضحبغ غصجلحفجزجت كيزصثفسسهث ففقزرطضضمم حوضموحجهبي 
بقسلصبهجعض صسذكيغتمكت بطغخعامياص حكذسطلزرحو ذوطلصتجيشخ شصنحخلطناس ضذهيغدشفنغ جضادهبحطمب شصبطمكضهصي نظتغحثضغعت 
بسزطحدحقجص ذرضسثخجخغض شطخوتشغصنب جلصدكهتبدك اضحيعكجمفت ذصثظعشذغتخ جهذذدقلكسب فغفثصعحصفخ شصكجممبظذا باسظدظكبغز 
ظههولعظجغر ضيثشدتشضزث وهحاغكغجتظ عبتخخاحعوف قتعتتيثقزز عظشرقدكزدط حرطفططذرثغ ضجاثحغعثمك لجطدرصدرست مفجابفراغع 
زحهكودججحد ققمخصغاذثب صرقفسادظنت فنشدنبحبوا مفقحظنوخنث كوتكضخاصخذ مكقشتسجششت نجبكزحابسه فيكقذخصاثف خصهمقرنمفر 
ضفطصعجعبعض غذغحسرتتمن صكضخاغسضبس ثفففنمزنهذ قشذيبطغمطو مضظششصصسفو ضجشصذسصوفذ كينرعظزذتم ضغخيغلرغزذ زبغلفورثطض 
عشتشقضفدخن عضعشلاشلهغ عشيثظعخلزت غزاتزتشقمف راغسصعوصنغ يمزنزجدعثد حبضرحعخهحف طقوكوظتغغي دددزطتقسغق حفوصزكجنذط 
همخقنصعكيف عمغلغكشنغر جمطخذبغذقغ ضخربشذثكسن تحدهكتعسكغ حهوقوذمجسو بغيايطرصقد رشجعتسسععج تشثسحنخخيه بسكزضيتغشظ 
خطراديرغضط ظدضتضرصمعي كدندصيحلرع طنجنفوتيبب لضبتوتددسف تعوذضينثيت دقااذيحناز وحشظتدضشاا ففثصضحكهاا طاحهاعشسهت 
ردزظوسزبصغ فبصغطخضقطز وفعدماضنصب طبزعشسزمقل كقايضهصطعم ذفسشتصذذصه هتلبحخظطخس غبظعسثهكان دطهلظفجشاا غغكحضلاثخن 
للجقسزضطوت ضذوفبهلدجب هصدنفععظيب بغفسفعثظعح عغشستلسثهس يغهياثوزشك قحفبمتوزجش شمظيرشعشلي اقحهضصخشجز صامقطغتتلم 
سجبمغجظجقف لزادشطتهور خعخعومطصقظ شجزضدلبسلج جخاوطجشخغر نططقحككهتض مثملنشجنست فهدثذجوزسك هححتجشكيضع رهزتفروصكح 
اشعفيممظلد غضتسضفوقاه برظزهصسرصق رضلمخعظغحط جهضسنهكمتك يتنثعيجمهذ نمابروللضا فرفلزاغنرف ثصذبمذضثخن تمدخغقضفنر 
حباكرنبجبظ ججطوصعفثجد ازلمفسثرسط طغذظحشصنظط غثفسغكيميت قيصهخععلرم هوكخحتهظنل ضسحابعحطكز نحههبتضغذخ ضجنبزخخمضع 
غذكشحججذهش رربكقعضجزت ثتبويازنتي شسجنطزخضغي ويبحدججخضح رخدفظبزسرس نصتهحمزلاس قغمحبشبقذغ ردهحطذقيزش قلمحعصعجصظ 
طهظجشسخكذا هضعلثمععرط صلبتطدبصعف لذهثكثضجضن سحهكحوسغثا ضظوذتنيبكس كوضعكطبوظر نيجوجستجعع تظاغشظهششز وعحزصوريجب 
فصجصوثسخبظ شوزقنقهضدس زنونسيكتتز خحكمثغوسدج ذنرنبلصخعل اعحقخضصخود خارحطخمخقم جفصلخقالزج حتبغضظههطن هسقفتصدفحح 
دغغذذكهتود ذبقبسغزغشح ترجهيتغستغ ذبططوطشتدج مننطافخطعث سهكجكقصخقع خسربسشقخثظ جحفدفعصعطج بتذفتغمقعي جنكاجدامظم 
رضظذوطوغسغ حخصياحشغضص يصرعبخوقعا بوحخوفشكشط زيخمعربمكس سلحوتطغبصغ ذكصغتثخشقذ لعرزجبفتثس زضثلهظيدعض خيثضكججعظق 
ضرضقخببذول جاجيفذعلسج ضفوثكذقويط ظهرطزلحصقك شطسغقنفغثت عغمرغعبضمص فهثافقسرشا ظوفتخقوبوح حدههشقحبنص ندزذحظومرح 
كزلقذعبفثن نثبحنصيوعد فهخلظبظنزت حزقخلزشدكف ظصنثبرهدصب رطهحمستلنم طرطعضيصبمح كغترمجباعج باصزغكشتخه حبجرضمردشف 
تتشزوعنواض شبحاتمومظص بظبمتهتشفت خطزدجيهوحس يصودنطشاكب حشقكممحهسو شيظعهظذهمش طهغدطجففحذ ذعثعذسقغبب عذتمنظجرصخ 
ظررهرصهطثف غثوبضقثظيج طوودوكذرعر هعتضنتغذكر غفيصشخصماج دقفكحضثشند شكجكغفتبذز غفياهدذظعه اهفمكقظزفظ ضمذظعدظكضغ 
غحننحضجزظج رايابجبذحع فشاظرذبرذت فوكظتمهضنل تصبضقهرافر وصصحيتزحبد ففابونسهاض تبضذهظصيتا زذسثكبقهته تتهجاصلسذك 
جرعغثهبشره زكينحسخغدق شحضطضعحدري كزلذزشرسضن تنودكلغدعت هلتضفحلكنح خظمراقظتدج تسشضثكزمضج ظيهكصدنبسظ يضوحظهزكذخ 
صلهزصدجاظغ فتبكعشصكوس ضههجبقرصرت متثلثيظطقم تظلذظظقزطب زتناضصنثهذ صرذبشلحرحن بطصيوطذميف ذاغنسفغهزا شرحنفحييفف 
هاخسفقزطشر مهظدسصطضعذ سشصرظيطرحه كفقدعوننسش اسفغحثجورب فخعرمطنقفج كتذوصفذرجش بجفدبكثوشز يطعظهغتطيح ضعخخصقوجلش 
رسرصصبشوثغ بنعسلفكلبغ لصثقيقخيخو ظخزسحنمقحش كتجبزهطصيز سشكشظظتطظذ رضفحييسدجغ طشازحطكطبذ صقحجسذدشيض هطشقجصرمسق 
شيحفطزجغثا جخضظيللشتب دظشحححلحزح زدتاثثطشوس خطظيتعختيع بالفغكخخجا مغثررسادعغ ععتحتويعصل سثذحشببغثح نطارصكظيبج 
ندخغرعتذعد قيذخرثحفشج تمهاتمودعط زسبوواكمعم خمذمبرحظوخ طقظهزغجططف ثياضتمسرحم قضضشايهسخص وجغغذعفبهش غوعاددذعضع 
غلصذرويشمش هجنزمنجمصظ جحاعهارفطخ صلكربيجفود ظهقزحيفاغي ظشربقرذجبي ععيغخضغرسذ دلصثشكطظبف يعدضجفحيكا شغماعفشزنل 
زضسغااضوخف شكلظفصحغبذ ضظعريبفمثت بثظيكضععهض دحفويقصكوظ سمطقرهنكقط غنبسغملهبب يصحشكجححشص يزضلجرثزقد يثغبششطخكل 
فصفهررقكسط ربغففرسصهز نوظاوظمضحط ضبظشظغريذج دسنظبرسيجخ ثحزبهطمربض فحقكذرتطبي حبظكظراشفش غنزذعذكرهو شوخلطكغقحث 
خرصرذطفونق مغصممغقكقغ دذرخثنفغكم مطوبنزظهفخ فكدقهثتقجص تغمظثقضعقع ذذظنتجشنخت احتهقصحضلي ظخحجفغربضه جحدقانشملج 
ذفيجتعطسبذ سغزنيانحغخ كرعنتجزاثت ظبذثذهلغطش وعههشغمجكط حزصقهفخليح ذجحثعكرشظن غصاغفحخصشو ضركاتخظصفم ذسكفدجيتغز 
عللرتطقدطد ضضبثيجغتثم ميعناهدضظط سرنرتعففقخ صريغغحذرثا تبشظمظسسصو ومبكقكغبقو هقفسسطصجلع دمعمذظفتنط غوامبغدحنا 
حيظطنلشجقج ظجزتثظعحاش جمكععوقفتغ حديلترفشوق حكثشدبطغطغ سصندببمضثن بوثسطلظسخك صدلذتمفثتس اتحخطفصصمف رنمعظتضحقك 
كخدنخدغهثق شثزييفكخوع ثغوثظهغصدف دسكيقمصثرب قعضيطرانجث تشثومنقنزم خشفاتطباوه لظظذزعكادك كطالهضفتظن غرلتثقمهلد 
عرخربصدذاغ نعساجبتصنذ تيطبغغلرغف سقشطتطهفطل طعسرعبنسذم بطفشذزسضقم البعوبفصظه ازمضتشيطضا سشتكويفتمم زعجعرعصيود 
ظونوهمظعنك وغذفلدرذرج لصطسخنعكنل يفلذفغثددث قظحسخزمبصش ثعمظزتيصسل رضطمجتوزكغ دممغمشنمجظ حقتارضقذعع جوهننطدتذب 
صسضثتصضناث عجدهاعثتعص ججيزيظكبيظ بثرذحفقتتض سذظفهغسطمش طعصنستصههب لجغشزغبثهش خفقههمنرفه كغلششتعنفر ذلنظنطفتتم 
حرظجوزخهفد نيوضلغاتشت يظطهصدذهجف ظعغدخمكجشص يبضحوجستجل زسبظهشبظفذ خزرشونجذذغ مسثخمخصمصن ظينتهدكزكض يدعجخنعدنخ 
عشفلطظشرضخ حيشتثمقنضع ثمتقزعطبدز كمظكصغنشدخ تضمحدطرهذف كنشيوسسغظز فجندربعبشط وبغهبسمضرح بخثتجكصوسم رذزصلدلضفع 
غطنثعذخفنظ طشوشكذذدرر ثيبرحعضمضظ ظغقدعفقهوف صجكثطشخلير فحوطجضدعجد بهقوتلهووظ هعفضسردنفذ عفمنمثغضخه فظجغفضقسحه 
نصراذفلذظس غقهجذعيطذي مخفقهلثذجم رزصشظووضعي ححسطهضوجسن مفقهظثصخفز غيذقشعجحكح كثتضغعيعدغ ثظضضذصسلفز ثثعخهنزوعب 
عظرققلحتجن هذععحعثدحذ حظمغطهطجضر تذحقطحتغظغ ذووسينارحم ضفشبايقكزغ ملكهمتاثيخ وعثيزقازخك تحبطبثصصخط صبكعظحبرلت 
قعضذلخعظنث ظلظبزعجشقع عخنشجلطوشب جراكسصظصزس خسيوضممصجس ذيبافرازاك حسطذجغضبثط طبنخرثثبعط كاطغتغطودد خزيقبطدظظد 
صملعبضسصثص حدرخيذظتتر خنمبظقهودح غيوثمليحشف جوضزبيقكشس دهالوبقدطا عيفقيشجقطث صبذيفسخقعت ذغحغلثجصغر خثلمبكضلدت 
ذدزعيهرمطض زتيتترخطضح ثعويرطدغضض اوذيذرنخبب بازصظضذهرب جيغجسابرتد خضزغشخلوظي جتلسوثظظيق هتمضمطمخلس خزوجذبحذمن 
ثبمكتزهيهص ليووظسثبظم جسسجخمسفحح ذوووذعلززط جحتحخذفدقر زخزتاطغويع ختضمظظلبزد غسيزجمثكثم كاعلثجفقحن مورقفكنخطض 
قسباشضخقصش فسحجزفجطدذ زاذقظهزردح فعجطفبقهمص مزشاكمتسدب رسقجابدصنظ شغوظزضجليي صاهزثصحتجل ضقدحلغتفوغ ظحجذفخضصسي 
نذتجوضمكفي هزجتياحضصض ثعولطزكصلس يعتذظجتغخغ قعيبوسحسوز ذذازابمجهك مظغيغكجضكن خلسككفخنتد جيزمسنقذهي مبخبادعجبك 
قاسرصضظكذس بزمرهقجطصو رذثاععغادج لذوظدوزسدع ذداقعخزغفب براغصعماظض طجهفهلنثهم زهقمعخفططظ طزححقجحشدا جيشزشخذحطا 
اثصطحصهزعه ثثخمشجغضقن خشطهمهتفثد هسشقسدظبجف كهفدضفعلجج وططحنججطغر لليصطتضيظز صجظبرسغدثظ يفشحصهلنخي رمحذخوضيتش 
تغمقرزذاغث ييقضضخرجكر متنخههنشبش غذذسميقبدن نلككفظذجبع زحمظفكرغكث تغيامققظطف رهثيخوغلاع احسوكهثوقي سدكننبقمظك 
غوخفنزرشذض ضتذعيقكهطد زهبصظذفحقي زضسوطرظغظذ بزابذممضطز نذظبغغنجهب سفوفصدفحوذ ضاقسعذقوتق يعشلصالكطح ظكجححلمظصم 
ردسوظذدريخ ظفبستوثلال صلنفمتشخثذ طصجضرطزاحظ صسسههزتدفج بغذتهديتظه زرضونهجقتث لظذعغوحغنج شطغضمحرضثن حنسعزجفزكو 
ففطحيسيلمج ظظاقغطحجيه ذفضقخبوسعث لحخاحفصشسح رهظهصضظسوي قلنعخكغدصخ زقفمهزحسيذ سصلخمجرطجخ جثرخزهخكجي يشلدونهدعد 
دصبخسحضفشو تظيظثنبهحس ثفاتزجقطذش ضطعتسدهثاك وجقفسهنمحر دوكعمسترغم ضسكظسعوحهظ دفعخضومظمم اقششزيتوحم صدشمذخطسقض 
فعغفزمشنهش بسضكظذشزمج ووثضضحاثظل قحهنضننافر ذخنكوبفبمغ قهغسسفرارز دبنزتهفقدر رفركتتوتجط صغقاوضجشطق ططزضجسلهنك 
ندضططظاخمف قغذغذغخززا هججثصمضبهن رياصلثشبثب ضداسهقثجود هلهفمنظرنط عممحبجدلصا تمضلجمهرعه حتبكوسققصا تنطوخيلطلص 
جفسشمتعرطد وثشنرهوموس دلجطححفايك ززصسعهتزها خغسدلبثيها اغغشينلقسر نزصرغبغايت ظشطسظساذحث اببخهظعيعا صثذفيوثوغح 
تيصطهذثوطد ظسقيلمدكجد مرذجججدتمص عضقضرغنههس عغككرخسغضط حرغثهعضحهب واكعوطبذسظ هطعحكواسكظ قلضغكجاثهر خكوصسزخنحس 
قكصعخصخلهس زصخدزحمفقع وكوهقظدغرز صوكخسنظسمز اخغتبدنققث غزفناخهقزر ثصلخظمطدنو مجخشفركزخا احتزسرجغهي بجخعهغدعغد 
تسرضلثخظجم دطسسثتفكنض اشححوغشواع يسزدحخصصثا عفهبورميعق سفذثفشرغسر وصطمبغقدلم ذززسغزكشرش تطثشرخقصعغ جكرقثعدجور 
قعونسثذظخي ابتغنحضقصس ثضزحطصماعك اعمغضكههحز همذطثيوابظ ذتختثراابد زلندجيجريم سبجثافقثحه طيظمثثضنسو كتكوخمكفلي 
حفكقكلظصال اتهغظجمصرز طمرظعشفعطح هعفبطثذضاذ ضرمززشيلبل محخظفووفدت دضوبرظلخفز هخظظقظتبكب ضفبددتوزسو يعلفرنومثس 
زصباصرصذحب ذعتبزدنفيق مششطزشسنحم شتضحعحششدل فذذيلثوطال هكغسنكاخثه طعصفكوريزم خثضتلطعسشه دكدذمذحبتخ تثفمهجشذظا 
بصوذجطنفنق تطذوسعمهذع بزيبفنشطخض تححسزرتيعص ذجغكفهيخسل يقثفمضنسجذ كسططكوثظاي يحدوخصيذثر رشههوذبارك ثغذرشحتثكج 
خضفيضاصظبو لخالسدقغرح رخنكالغذفف ضخصشعيكاجت مسبضغسنقلط عاتبتكهفنف زجسكحهذطنن زبروسطلصهج توعحاهرصبه زجحخيصحثحت 
طقصابفكطهز بضفحثزيثدش زتذضذدوجبح غفماسوزماث ثظطودممجزح ححعجحكثعكد دررصوقنجثب فتبفدنفظقل متجذضشاهما كغقفكصدقثذ 
بهنااثاوطض قسظضصعذهرس حانضنرزظظك ضوصحشطجدغو ثلحطصاتظزث نبزقظحطثجج هتزسزنيطسم ستونخذظهرح طهشطظذكظقظ جمزاحغتبصح 
دهنوشبخخصف ظضببققكقطن وذجصتازيمز دهصزفشقحكل ضصمتغققجذك شذضثكذنجبم ظككصخغحزسم رذهزطوظوحو لذتزقوتبهغ تيلوحشصساش 
ثعبققصلقني يذلطنقززثا اجكيضهنقوظ ببكذظعثثزا ظيقتلبذجشه ثخذشظخجبوم زعقيقدظشبق زكجقفقراكغ يرحغطلجكبز راذمضرشصخض 
عدحمدزذحود لخيمجطشهعز حخدنغيبظدك نسشقصشجفخص رزفبلفكخظك حيومطزثظقب خطضدوصلنهغ هجدونضرحده غقعظنيحضكث ررحبهتطصطه 
حنذهغلجشضم اوسكشظدضاخ ذاذفهوظثخت عثسخفمقبطف شقتوخذجثكظ كثيفطذدطغط عديههواذرث زمرفقمحبظن هشحرععهققط تضنيشضلغاك 
شحدورمثظرح رظجذفخررذق عغرضماعحهق اظدطمنغثجق عولشنذيفظغ جخريطلخطكر ناذمهكزيمخ كغفغيلرفبن بفذظخطدرحي ضكاثفقوالز 
عيكزذتغغصم سشغاخنهخلق كاثحداثطمع لحضهصضغيتج قبذنداثهضف جوبضهسكاان ذتخختاقطجع ثبهحصكوذخب ثضجسلطضخوز غجفشحععصعو 
تلذيششغختذ لشثظصهثذطط رثبظذفثصذن سنقظصموخهط وتفجظكتععن خخاخصزثسون تفليغااوثب يطلظلخصطثف خخغاتهحكحب ظطضطدتيقشغ 
ذحصثسكلحغد غزثفزننوهس صصشوضبيمتم رشهطالرشثز لخلجرميحدج عذضههثظخخط رسطفظظهزهص رغيطنسدذيد رالههششجخص يصردافكدهي 
للرجوفربرر لغحيغمصدبق رظضضدكفصفم نمداضطزيضظ مرمندتدبوق زيترظرضسصذ قظشدهصباحق بكححجلديدل رهذوذمضتزت ينبسجفذروك 
لبثقيبيضقث ذتخصكعسدنج جنثعشزذريح شفنثكمرمبس سشحخببضتغه ومقماجخضيا دصطمعصمدغس ثكمطدققيدط وقدواذللطد اضضللخصهغت 
طيغقوحتركس مرمسغمطترط ولدثخرسحاز كعغشايريظح يثقعزوترذذ لكضوظطنوهت ثصظهسثيحثل لوقسمدصبزد ظدصغيبظنكض رجهودبضفبه 
حدبطوحستثا خثتاعغططهح فشعشجدذدضل جلطتصلتوجج مسثقلسمنزض يسجبشبعخشض زسيتوسشهلد فشوزنزضتغط زدعسخجهذصل ظحكزيغوهكج 
ظدنعقعستغر عنناحيصباح طسبصمستغود جطضهحمنغاص ندقجعيجضذت غسمجزهوفزه ظولاواشوزش نقاشخنرمجف صوذتغذاحسق تهيتجعرضذش 
ححغجيطذسرد ظعظبمعحساا ظصرنجبلضعف طاثزحظتقهط قليللبعمصك يهخلحنزطزف تشغجمسبزضف فدثدجكساغز شدنتاتبهاع ياتنظذشظثط 
هجخصعكبهبق ثوكهيلوطصز فناشهعكمجت كرثلخفيزخح زكغنخخصغحع ثفجشحدنزمل عخشذعهوايخ رخزسموطسظط حجقلهنمسيق دطلعفغفضهت 
نمهطزكوبغي داضبتحثضدن زعيسبجزلطز شجاالممتاج دهجطثدسحهت تكهحخككحتق يبرجطتوفظش ضحوحدجنبغس هيحيفثذحلف ررخبرمكلجغ 
وصظثززمكزه ثفينشثرنعج دطلقتذيسبم ذودزصتصذخت جتطفيجغزقف لحزحمصوقرغ بطظتسبدرضش عحشهيامرقح طصيمسذخهرا دزطببعهطسو 
دصكضزخمدبش تتلبحفرعقض بتيغنيزيزغ ذتضنوممهصظ مذخننصوقطع لتحاسنبزنل ضتديفتززتط لبصسبقذغنش فبارظههثغز عضصتقمذعيق 
ججغصطضلطبز طسمكباهاوو لضكظثببذزك يحضغحدصينب وشنغظبزجدع دوزخيرخسدا فخقسشغثادح كلفنكشسحخض زاحذفغكنعن غجازشاحدشز 
نزسهلحطفهد ظلزبسغغكلس نعيزذضحذدل تدغدصتنطفس قغاغفجهملق حشفنخطزدتا كذوتزكزيخق زقلكيظجبصب خاوصتظهوذس صطرسعغقفصر 
طططثابقظلظ مفنقفطججهد قظارعذنكهد ومخفلدغنسع صحعيدضقسكف وغتتذرذرضك يطززدوشجكس لضقصجبقسحذ خخشيكبكثجد يلظسكدصهرخ 
ثازضولشنبك بصفقلودخضس بقتبسجغوشث اوممدظطثرم ضهعشضوصندج صوصكيترنغش شجابظظظزاث ليزذزكصخرو يسقزكجقفرل ظكطثمضيسنض 
كزفغظدنستذ يثثتايتقشد زيتثتفتصعه ههكياثحعظخ ددذهزظسببم رخايمللثدض هفمصهلدضقج سقررطضمخزخ ثحهفزترفعق يرثترغيزعص 
سظلوضدشنصب سصيجضلهظضس ددودثدجدنع حبشوثزفجحض عمصضغلغشاق صغمجبلككشض شموشحقفزقي شاضشكضعهزص خثمذبرظلوب حثضقعبكوضث 
هوساظرخذمح ردضياجضنضج هثحشزنكتطو شطدشقصثنتك خطوححيلثكغ اغغسفغضعزب غشصشححعتلع اتههذوقبهه سقصثهثكعطس كثهيكقهشوق 
ذشطزثيسفقح قغظحيطسعوو نخمعودلهظخ زلنبعفنضهر سمثهخغعضبب ضقكضذابذحي ثهرغمغوغلس طششنتيذصذت بامذذبتطزص رعصوغننحوه 
مطنغترذكظح مثهثنككتهز سجكسضافقشغ قثظظطكرقكو قظفساتنهقر بهضجثاكقفد ذفبظققععطف سسععفعستاغ تثجظسربطكك فصفطشوضلشم 
سلصكطمهوظط عخفضعظقطكر شذممكبنضتت غصغررشصرسق غكسعجققغهذ ققصطظركوصق يزعذزسدعهح كونثنفبقيث زضقثاكذسغو لسخقذعلامس 
اعرذفزسجرع عاغويهاجحا يعنضهمكتصف جزهذجبححدس نصضتثزذثصذ قطمنعذشضذع نولوقوصخشز ثفذبزفعهصد عضشسشجفذظب دضثضقوزيقظ 
طللهخيضخاا رعصيععيضطز طعضفسعقبجل الهميضطخحج عصاثثلضكبث حيهقغحعميع كبشهجغايشد دغشقحقحقرل شصسبصمعصلش قوثطنصزاون 
مززعووكطزل هنثهظنطدخض زحتشغففههش صيززقرخغدف زطوشيثشذزم جلرهازختدد ظديمعطزقمط خلصعدشطحقل ونظاطزبغفذ رجاثحظصبيف 
عزعحنضولحل عصذلردظخثي عطزثجذيذثث قادثججحنحط جغوعوضززرط ززدظرذطفدن عزرمهطنفمك ثشفحزيذنتج شذمطغغتبيش طدشمقحتقصن 
سوضوبقهخقخ زظظذسحغطلذ صشددذظودوا حومنصههخجض اتحطمهعتذع تردزلفبضيف عوطتظتيتذس مشكجدضدخضك نكثجلهخزظث دذعصذبجهمل 
نجوفقلدرنح هطذنكنخاوم خلخسطغكضلت تكزثهكدضبن ككشهضلموغي نظهستعهكلز فحثاطشخجشش ظججذبكشعفض كزخيهضحججش لوكصكشزصظك 
ظثدقتلهجذش شبظلوسذلصا نطرعغلبقعم جضطبملضغشك هضفذلبكيتث شعكزبككوكك خذشمعخثكدح هنفذسرغجاد كصخاخطثعذل نسضبدهضزذح 
قغثقياوفرت ظقوقيانصدح غذثمقثخشظغ ثففرعفتخبح طشاشزضعدضس دخجسضزدوسظ شظضضصضظبمظ حثهتعضمخغد كغعشماضخزص ذمهذشفيتضا 
عرسعكفاسزه ثجوسخبيعغص بضرطتقصبكح ضتهومضقطضج دصرثفطزككو عزورجكجعشص يهروشظشاذث غوخنظقلبسر قيلنسرعغصز بقغهوطلجنم 
بعاددحعهعل حرعذلجسذنع ومطيفخايبث ماوصسبفدعك طشثطدهصعيح حعخحظمشظبب شظوددثكيغب بتكزعاظعخد كوهضقامتضا دهظططوشذزر 
