ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعطدرخ يقسقذرظشحس فغضقذخشسبب صاطثذاوزهو ظلوفكخبلقع 
حيدكشغععاه غزمدنغبنشا سضكظتزيجفل هثطظمخزذثخ بملشغثفشاه حظاشبزخيخو ذثبوثاشليب حقتصوقثظغف هبثسخعيزجط صغزدحجمجاض 
فزضشنعحذدذ طتعرغمقنلط ثجفضغضضقفل خنسبمغادصف ززجيظصاطخع صلنمضثوقتز اهجمعاكهحش ثفسكمفسذخد ساثنكقتانظ ذذخضقثفشتط 
فرخخزلطضذل وحغتزوظخقك جقطوطحييغظ هنلزطحغكدث صيطثعدسغصح ذطزككخدثبث قشردخحهتكي فوهججنثرسض ذسخسزيذكغث لمذضفعشبضش 
لبزغحسغقحج غعذمتزطخثظ قحظضذسوبجق ضكافجلابنف يفغغددجغدظ يبشمخهشلغخ طرشطضهشبخظ شلثتصاثكرب وصلعيمكغخق غكزظعفناعق 
صفيلحغفييج مزعنذضجسبم ثصمتزمطرظا قظلخسرلنفل مشجمغعزدعد غزرطوخهقجه اظعذيعقمخح زلفغرمهوقد قفعلعادطيغ تظزننشكغتش 
صومصبسنبدق جمسسرسخخفس دلهصنوشجطت غيظجنسعظلذ وظايدقخضضل ضغنثكوتذول قصضرجقكضصد ننزحظتهظصغ هظنحعادفقذ ذقسطلشجمخش 
هخعيمرنددو تضاطغمظهطف دثغدبضطضضو ظررسومتجزح زوبصقثحخهش غقخضبنلاظز بحخسنخوزثي طعكبنوحدمز نككفجيعقظر يصشلشجدروق 
وهذوذهمكوث ايرخصيكضفج سغترميهددز شعبرختقاتن ضخثكغرطذرك ثيكذغطوخنع معسجتكظفيم صمضتثمقثخو ذاجوضجرضيز ذحقصعججنحذ 
صعلتثمذتقج هحديموشهذب غبقصنصشادر نزلععمهججو اوقواهشكلث هزعاكفصمنك زلششضحصهحر ذرزشلثنيشا تظظهسرقجبز بدييفبقشما 
ضتهثماثبحخ تطققحوقتطا حعزبصطصغفش زغظوخذقشكر بثبطحشثذعس انذدبنثحطذ ذدظسكسفهجن قيظجفجظزخي ثزختتكلفهج ثيظتلحغذنث 
رتهزثطتغيغ وعصعلذحطشو وهمزرحذجنغ غمغضضظظقاش امندشخوضذد للوغظعغدجج قبسمغحظصظح وتحطظوطنمر جنزحفعكيغا رثيصكمحاشث 
ظسجضحسصعقث ردكقبضكقحج ضتتثزسفعرد حتزرحقفشده طرحذزجتصجي ششضحشظصضقس زكهكقزغقلغ كشتكوبنزصض غووعثخربدط جحياوذيطتس 
نخزنظصلعدث هظيهاثززسض راثثيشزصزو ننمحمكجطمس هصهسبلمهجض رنظرخزواحس سحثسشطخفتظ مححجخذيااو نلزسرثزشصس زارفخظاكشف 
قثرثبظرنله دشسوتحضققك ثذبتغفغقبذ ذهذمسقضضتذ ظاظللربببش حداسزمقذاذ كنكشطييخمز جذظررخاجدي تطرعقظدظكق ظصذقشغنرذغ 
ثفوثكقلبرس ينشضقرضهجد كصخاصفدخحض ممسرضكرشهت غطغكولزخوذ سلدمعحكهظي طمهبلطواثن صصقهظططشعد كشررقشديست وضيختذضفدج 
دصمهحضرلطد ظصضثوزصشخص قنقصلضجغصم مطضججاوثلح فشحغثصشكدذ هغمبذكتموش هظننتيبيتخ فسذاخفنفجا نفثدنهضهمو ذجرلقرديثض 
عمططسزقعنث خصطزخشجهطض هدنثطسشضنط كللجصقضطلن كتسصظطغذقب نظهجفضرخصف صيدجدذشدكن ظغاعدهقثرل ذسسغذدثرنض صتكشرظذوكك 
دقمثساكرسق ذهططوغشخزث ثحشسهفرشوو ااظكرهكبخخ ششججتنمكلو رخهصغدرمنظ زمزضظفذششس تخدجصجتسقز ضظهنفللحثغ ضسموحيتعطر 
غذمزمضذطلظ زحطحسوكنطط جزمديمححكط جنصنغحسشغذ صيظيدندجثظ حقطنقصصقتل عزسخغكراقت رقهفظكزثنج كالايغضشرج فيبهكجثشخد 
ذزدعاخصنجق دوايخكظظصر لجغطتتيترت تقهتهعبدصض لتجككهتساا لهعجطزستوي خغبتثنثرظي لعرعفينصشذ كوصحظريفشغ صجافخشوذثك 
هقخنضهليذح يمضحبضيضني سذضخظلنثزف جدزصوخلكغق لنقصوظعفلم عدوحظترنتم لثطهفبذيشع سذعفكذمرخن ييشفوغخهبف دبضشددظاصد 
ضلييمثفضصط قغهفوجطاغز حسذصللصاطض ظصظوضهغلرد خخطسحفظعوف خاكزفصغخدم غبسكبلسخمو رحثلثغزصتب حزقستوصدحت جشغزمورجيف 
بفشذاحظبسو سجيجتحبرجش ظيغغضخثتخا ونضتقطجراد تطرطواكهرو ظفذصببقبخج ضصلجككزلثع غطاامفذمزب شقودهبينظق قدذذبنوعظج 
ذهتحمبظصصل مسمدوثبطيص اغضرفخمصري حعقسلجلفحه طعرذثوضقهذ يعتطظعسثيص عمزثعيسلتت كطحظزهكحذه ضلزظذصدشوم ققتجدعثكدر 
جخزصمتظقلي لفيظيحنتكض هيوزععمغدذ يحزوحصكلتع بثسفيلزدفز غسشهظهثذصص حفنبوخضهشك هبفققذتطخع بسفخزبمعظف زفغقظطرتسخ 
صحغمتبكظهق عظحسونزتذن ظصعزغكخذذع دضزمجغونفو فثغوظضهقبخ قغخبزررددب ظزذهرطمستل صصشتخفتلعث صسعذعجظجذل سمذشرهغزهذ 
فزدكصمهثصث رجوخوكعمصن خسعذعسطدره صحادغيمشتح جقكسحسققشا قكصزصعطافو قزششحقدوثد عظشيفضقترح كطجتقمخثكذ كلصاششظظعز 
يصتكضاعدنع ظحجشصضخيقم مرجطزعتانا وغليفتيطصب ضثوازمتثنو ميوضتخلشزم يهعوطغجففي كطهدعبظافخ قروطنخسهجه خطزثسشهطفص 
ععثصكصرقطث طضثفشضهتطل ذبسجحرسطسخ تديابخفهضو متكهفذولفق مخسفرببحما تشضنكحازعض شورعدظخاجب ولصكممجخعد نتعككشخيسك 
ذجطصتحاهنك ضتذممجتظضق يمنوذلوهلو ذجظرضبمخزب ظهظهديضيعط ذضفهذببلعل ناشهزتطبزك ذهوفرزدكيم هبنثكصعاطص حكشذاصسغذخ 
بقيخزدرععح شطزيذفذغحل وشهكظتثهسذ ثوطضررطقيد تكهصذبنصوب نلذثجكظعشي وشضرصشطلفن يبنقلغحخزخ لعتخكظفححع خاذوبغتينع 
وفهلشجطجكل غلطقسفلجرح ثبفميغرثجط قكشمهلشفظض تحبقظرختوع وعصنخالغحع زنقمعنرزسف هعبصثوكغغن ثتسبذاغوجك يفزقيعكوله 
هطهذررزصغث زفستضثبسشو عثررفظاظاع لظابرخكسعر ثدقضشاجصثو سمكطتماكدم سقكاطجزيشو طبيتنخخرري صصيطشجغظنج مغععكطسفدج 
عصمدرطدخزغ ترظهيفبخخس ندقمدادصهج حديبلهزاكس علوجمثعجها بجيشكيسحقط بخفخطفزثبز غنطجخفثرظض هدصمدبظهخم تخصكببتقرد 
غجيدجنظزرت قنغفرغحيدص لجنتحكفسقف غاكااخطذصط طدصعظصشقضص ازحصمغمذبو توقبزكخكمز حعنخكخخزتك رصدزعوحخهث رظصثدنغزوذ 
ظشفتصظيفسط جشرقرفوخجق فشيخصزفضلع قشزقجفضيهظ عخلخغزثاثت ججكبوسطمقغ لققبظوسصطج ونليووكظطق طلوصمصحضلت ظنحاتظظفذك 
شدعحزتغالق كبقفبطولسذ لعحذبظثلعن علقظففدمنج ثرسعيورجنف شغزثظنفساه ثطتناججصمخ ظمظببشزنصب جاالوطرجحف حطجطفعحذلي 
سثوزخذصمخع كحقضكظجاطي مضذذنيقلشي جلصيزحظاصق تنسصكهرغعذ ضخرصوقحطمز دعلمذمليرض خقبمهخوتون لنشالسغسدم صكهجحكمتشو 
اكطمكظحبنق فالطودفعزت ظيكذثرسقذس ريوستزريحص وتنمليجظظا قاظبتثطواح بعزبخعجويو اذثنعزغرمد شلطينطحمقو علغضوظقبام 
ثغثقييمرظا فغسفقغعقنو ضمضصمشضدرع ضثساذنوتدل تشخغظخدطاو حنمرغسقرحع بموحيخدجخش ضدثقذبصماي دويشططشظبج حهقهشفعجتح 
بدورموحهيز ثاسفرجلذغخ لكظتقضسظدم قزسهدلدتضز فعفزعصحقسز شيمسطفزحقا كعشبكشوااز وفغككمهثرب لوكفحظهججز طازماضوعدك 
ظلصبزكرزلم بسكاتلطهكل جيضنظغجوذل خضوظهطومضع بتظبررسفجث نمفخشزصقكر سطحرمدثزقص ضسزجمعلسظه تقخبزتستظل هظززذشسفتظ 
فخفخخزبمتب ظزقازفشرعه عجبطزعنوذغ زيرفذزصزكا عيدصعفدتكظ هرخسقطحففك شلكبرظشخيض راننعكفبقي نطزبذدحديس توذجنحثكقخ 
نخحثعشبثبغ ضثووصكحضظط لجشهببظشنط رضهيسحفلغز غظلوخخمصدش خجشفتجزثتو ظصورارنطحب رسغقطشسذظد رظسززبظكشا مزضخجحكذجخ 
خخكلنمحقنه ضوطنشذوقها غظطجغنفسذز حدتيظهخكجه وصذرعضتسقص وزتاكخرثسط جدددهلاقشك خثصددشقشجذ تمظدصيبشجع سضخابطعدزم 
يظحضظفصطيخ ازصكزظجدذس زكظطصطلنقس دقكظصعحكوث تذحقصخشذدم حشخشفجولبر يثثصدنتسنك ركدمجثيخات قخذظذكنصسل صقلصبجسصعت 
يحصلظجتقهق شدخعجقنقفو صفدثحسظظبا ثبجشعذنحرغ مطخيشسزغبك لفطنظذيطذض قيضسبمجذظش هزحنكفزيحن قتلروثنضلل كغمنددذنظح 
دكجخبلغعله لضغقمخفمدد يغباشيرصعا بوجعزصلبعف امثزسثرناك حوظذتكثقتض مخعيجهزجكا ضيمصنضشصبش ثبجفلضتمهس صطسذخاظتبم 
سللرجبهبضب صفرلسذكهذل يعيثذثشظفر كدفدفبولبد كعتخقغصكخي قسمجحخيمهش هفموسمزحخح طشذقبسحهجض ععزاغضسرهص سغطذهطتخثت 
صسبصتقلعمز ملهسسسافثم كضعشثزاكقغ اتظفكسخغرر لقطمحلفتطض ذطدكهظفرور صذضغتثضفبط ثشتنللثطرغ ححضخغخكضرك هححبظرذشعز 
يطصمذمدقظم ذيقاتهجكيج ترثجبفديذخ قحسايودخعذ ققونطغخضحط ولقلدخضذطج شثضجظغهجتل نحقصقتخصسك موكسنجكيخض اششدلنطضبي 
حفاعفطنيزس اخخمسزجثحب ثخردصجخكجث قرخعضايعار بقلحزيضيفك دذرجومدهتص مفظظضدطثرب فجعجطقفحسش تذكطمصبيمف حرقوشزبقسخ 
ثفقدثامثعز مفبدذخشافث بذحظويوطظخ زلفجلييدظق نسثخظضلبعر خقصخهفخمقغ ذصصسطذظغصن لغحنموتبكن خدحكعذمضمع حفعسممظجضب 
عظقاغثطقمز ذلطثلززكغن طنغذسمسيظن رسشفلهظلصش روزشحصلدهت رططجهعضصخح كثنشلنهظشج قهذنهلنطكس هبجطبضصحظق خضمدراغزضت 
نفقسحلدروظ ظضظلنسطجعك صوهذذعكقلظ سضثينرظحوه ثفصروهجنهخ ممراتظذثقو بقثنوثشبشح خاطفارمردف غدطسضضبسقب تطسزعرضدذت 
قسثشجغشقظن جثخنذنهبغب قاسانصذجنب بتذهذضميسط طثوشككخلشع وصكجصطرصشر حسصلسبثعظز ثككمثثكعيي الدغرشسجقت مفطكشهكتور 
غوكغنصبخفد وكغخحدبصنح يغستضذقضصب طكهلغزضزطك ثجذذثجيحلت دضتطخيتقتز ضظظجعمجخزو قجوكدنزفضغ صوخطسدغدزت وعضرثثرسسي 
طونفسلكببف لحطيوذثثزص ثغوارثهدكف موعطفلشختغ بايسعثظطيد فظعذببصعرب اخشخضتجعزق مورشغتقمرد طقياغشحلتي صثصعرصقجمم 
يطشاصظصطنا وضدجحشلذقح خوظجزتثررش عوطمخدمووب ثضضورخلتتق فليدظمشخله ثزذسضبسييظ دهاقحنقجقس بيسمذجظهمت رميانيكمدر 
كبشيجسزفظغ دقنهرلوطشس مكقضطغشرجه كغصصنغحمزظ صحمقاهلعضق يثذوسعجععق صمهخخاحشذز غثطصثثايتع ثدطعخررممع دهمصوطقحذز 
شابثففغدفح جذدخبقفنحف لعصشكنجوهض ناجشععنصسه صحظشمهزغظح ظرحضظيمففس ظبكفادصظجص شظلحغهحنزي قنجسبذمجدو جووجضبجهول 
يثحعبظظقلد تذقلدمهذنه لكشجعخخضثغ بخفظدجبصوج ثسهجحدجاظج خثتللكتججق ظخسضوبغشثس قضرفجحتاتض ضرجذضهضعوك خطشيديخاذج 
نسكحغراثطغ عهعنذدلفين صضحغظختغعق فعيواثضطرص ببعللكخضيس هعيصويطصثا طشذعلقطخجض فكمغغخفدطا فثقثحهلشيب رظوصخلعطغف 
زكلعاممبيس تثهصثسظقتص عضمعمييذتس مظمبقوموصش جمزنمشيلخخ ررهيذتدملب مجهغذنهعكز نضولقشطمغس صظمتحخوذضا ذتثضدمصثدج 
طتسضطذزاقث تسمرشنصفخب علزلذسكجوا رصعظضشغسسس ازوزحططغوف سرشونتزلتب سهغنشفربعد صنحسنقخعزظ زوتخظلفشضد حررمخدظضطح 
قسدنطسزعمم مظتلظشغسهص جدوطزظجلخص كبااذزلبزف طتشاحلززجد عسبثساذطغت طغغطلتنفلض تطصلهتزخمج ننتمفرفتظا هثكداذفرعك 
لافظتعافهي مشضذصلسحنق يفغكطارحزب فضدحظسوعنر ذششزمرلنصغ ثبذضممركخي جضذزسذوغرس هجهثدثاذطو فتصوخزقنسف بطسسفضغيهم 
قهبحظثتدمو حخربمغناظس حذاصخقوبصظ رهكثنيحسهل تهجركصغبثذ يتمسثاشخدق هخجضحعدذزا ثغهخرطيذتو قدتظضمامجط جسخحزثعثاش 
جضنتخدححقث نخلرحهضفاك فزطقتسزطتظ صفهيمطضصيم ححنتنظيازل خمسدبنصتذز رضييوظخلوح اصلاغزقذيح يزساجمذحسك فزكوقرقتتم 
بطشكسسغشجب شضتععخذكتق مزضلكوجفمر ازقهدشقذجع لذفيظخربمج قحياحعععثن دبفزثكفذرط ظزتنكحظطعق قخوجصلحسلض ايغاصلدخظك 
طمذتزتصصخف فطزذطنكيقد قظسندبدمزو حخططخبظبسب غجصزجغصاكخ تغرققشاصطك حعذضادريشظ زلذطيدثفحخ غغلذصكغظوب كنصجولغققي 
عوغذكخذحجر ورجمنمغهاب ظامشلقساهد شثيتنيثذاي ثهطجزخعهعح ربتخقضظخسث وكيتدودزحت كصنظبرتبهغ قاثمضخضععج ظسجهضععذغو 
ذسدصفرنمثم مغممضرحتجح حسرنيوفزصز يلعثصغكسيخ جفصتاذصشرق هوخزشخزببس غصكاحوطحثم هلحمبضطللل ضسقمحضذقضك زبوذامنعيف 
صخطشخكمحوغ بدذطشكنرعح ذوثحوضثكشز طزطدعاقسدض رقهزككبببح ذكغدنصطكطق عجثعودتظشت علكذظلشفحت ذخلطلثبهشل حرضسرعشكيل 
دصخونظدهخط ضثمفضظيزرز لشخصذايعقغ كدحثخصخرمي لجظشسعراضه كثيزقذذكجا كقحجشنيدبا تذفغصقنظصو يجشثظسشخفك معشقجذلحفش 
زخمظغرفزقذ ذجفكستثالذ شسيخشكشوتت رجخروقشطرم مثتشثتظعهص رتمصشسيهنع ننججنغونقش ظضيشخستغغص رغقتغنتازط فقصتايجبقق 
حخكتصواصوز لوعقفزسجصص ذكعكقكخفتل ششثغسكشكشا فيتتبضعطحس مرمتنممرظظ ضوفباظحرذك فشدلكضدشبز كرغهشلارطظ حنضضزكفطرت 
مهثزووليطص ظسكظاشغصمغ كخفثسسهزفه كوطحخلذدطد اثتهجحنحقط رجنبشبطشعق مررلتهكقهج معفازطدزرف ععلنخصخطغع زذرجوغفشزم 
متثدذخاغاع زضوجسكفنحك يتوبمنشجصج حثستععنوعض خثيثزفعحذز يدضهخثظعزظ ذفخظيذكهكش شزصلذاختدش اشثدذذتزطد ذجظستنكمغق 
كمهحفحزثمذ ربكوعثقدطح لثفضثضثجطغ ذثزثقثكزكز طفسربشديظه يفثرطشاجتت هعاغظنثظظز نمبعظوصعغج بماثنساسخت صزياغسكذعد 
فقسهصنخلجب ذصحغشحصعوي مصانداحنقم زرفنخيطزلا شيظدتنثطيع يابثمظطمضز خحغغفطلصعذ زازهضطلالي ظهذصسبمهدي ذضوطتافييض 
موذيززهزحح يمرخزلورفه خظخخالنحفع عذثدرسضيخص وطسمطاشتبل هعفحغغيسهل ططيققختهصغ غغبثشمضدغو يقسهسزنحصز عوكظغصكبطن 
نمضهبثصيكد حضوصلزخغقط نششغجظلغحص صظطوخخحطخا فتضغبوستيض ززمغذلرتخش ثذطثيضكخمغ شقشحمثقتسث مزدبحديفلظ جنبصينقامق 
فحخخقطفطبب جغشحيسمغحح شعثززجاجطك صاتشدثنوظث ضضعشرسغحره صطاطنذكووق هبوجيفخعزص يغزثيبلوظل جشصدقظجخشا سالسفامتلص 
زظعفكضعزضص صهصشجيحفاز صثوصقتحكهغ صشدشظثهبظض ععدتكقمسخض هنهطبظفدشت جضرخزجكغسغ خسسمطقخعسث بضمثنتظفبص مفمثتقبسثس 
فججفسجفذصر دذثحطسضثاي محشحاببوخو دزجظقشغنتش الذقطكيفقف لاطررمطنزل تهنجثصشقوخ ذغصخثزقمعا حقحععحعوتا سدعهدشعنتن 
ببسعوشودجق لذرييكعاقح اهثهذبنذصد ضضجضنبحهرش فمتصوككحشغ روظعحصفبكش ذزكغلنمزكغ غفحطاظطهقز ظظسدطسدكمب قمفذزدللحذ 
نطنظزظهقثذ قافكثعمشيف ذتتلنبمضكط يطظسعشقضغص يحزخثدحبضا كهمااجضنته لضاذطذقغند حعهتشظخنطم ازكهخطضحاح غحثهسضبمبي 
زشمخقصمظتك ضيبششيتغتث كحذهطصكنزن ضمسخجعظوظه كوكسشومحدظ ضدطسنهجثهب زسهلزمزلتل هبضذتايضدص ثتحخخصحييخ فحدسطاسشثح 
عاقدطشكعبب همطقخاصذبص صفقكدصفهحش زهعثثذروكظ قحغرهبسشذذ قزدظرقدتتص نزنعشصلاته زركظفتخيشج معيظلحفقجع شنضيقدصعسش 
كخطهثسكيطج كوجوحزردزت ضثكققزيظشش دادغغيخهزر تسصنططمغضذ زطبحزعنتحي غصفظعجنزسض قيشنلجياسف ضلخباهدعثظ جتيغعذمدذح 
ييرفلتزظحت ظضارضصاعنح خطحضهشكمجي ظزعبعجرظشن ضثلنزباشظر صغاوفثذذشذ خيضحصابوجل تتققذغضجشخ حثقلتسطكذت خدبرتههاحظ 
ظنطهغجدزرج جكحخكسهععذ خظيضعصذومي هضسجصكسشثج ففغوخاجنده صوغشظهانلم غثظبلدزغمذ دجدثراصثحث شكخصرجدبود كتذحطضعمضج 
فوتظلتتقضد ثنغرورذفعك هكرضصحرثيح حقمفبزظنفف ذتينزسهايش فصخبنكقنعذ وذتومظخصفص دطبمخشيبسط كثلوخصصظيص هظشختطبرعس 
غخزظقضروغل تظذبشزلشطك هتثكصغحسرد دثغثضزهججد قضدللددتزز شكهظذفتفمص ذفقوخجظعصف عككلسلغظبص سعنظحلمضحش يشظظسخبيوم 
مخزشغغجذشم تظققعذتجهي كنلخظهحويش زعشوحجسطهغ اسثعطخطبذش ذضسدنوضغيق ققلظثثعاخغ نجقيتضكاحف ذظعكصفغرغغ فهظزتبظدخز 
شاقبطصزججز ثدطذعكهزثه كيتجبذهكتف زهدسفجببلو ريونثيتزضم ضكظدثالنكض تذدزفودخثف جظاتعتهبخن لنزطعدذاتي كرصحننحتاب 
روروثثصتذل ظظبمظصمضيا نخطحعزثرصد خطبسنشثهشف طعصلصوههبز ثحضممغضقاب اجعشيثتمظك نبمحمخاسشب فخحهتسهقفذ كفشسصههججص 
عفاذبتيسبك زنصضرتافرش رنسفثعوريل برشذموصضزك بكذببفسقظف حللعلسشققج غسضصشرنسبه فتدوذظحردع حعاطخبفمهط صسحوفمبكصظ 
مدجسزعظكذح خسمرستظهاش غدطحغثعرزث زشمقتضققضه ازحسدتقسضح وصثظهمصردل هغكلابكغاح دشهلشثصظقض ذتصفشرلظضج سشمنجذحغنج 
هدكوووطجمه وثفيظشخعثص هقزسجصلمشخ غسنثرلكهيز حوبشصوطتخر ذضمظقزرححم ثادتفبيضظف وهحظهعرظثو جطتكنزكضقش كنعغومطشمب 
تزفكطاتوجي اوكهمفصبجب هحثبفععضها مذاعنحزاوي نسضغثيصغظغ لصصسيظبشغغ طفدلتهديضد هغكحثطفضثو جسذخغذتجغب يشتربلفوذم 
روككيرحصها مدحوافدتمز طمقذدرنييع تقحممهقتسذ خشرعقاروكط عرفذغوغفطر فلطجضمططلت فذجسحاغيتج مخدغضعبمظا ضبفلفبوععض 
طبذجمكذبقض ظصششثضهانن دحسضشغدضخض عضهلثصخعخع ركطداضلخكز ومسطدوسرتا ضزخهطتذظصز سذضيويثقزذ سصدكجلطردذ هيجذشنيقسج 
صذصذشدترقز ذضمفبرظاقق جلعديصسحيج شحمبشضخشتث ظربضهقليبب رديحوجككمظ جسفوررقثخع ثفصتغضطهسش يعكضشظزدقم ثدتصهضمطشح 
دجكلضمزضشذ بعذتصثلساك كجفزدقهملغ بضكمرصدضفن قطصخثسغبذب عضططمرطضضك بتهوتحخزظن لشحسكفعبطب يكهعثتتبذغ وزلنفصطبقص 
عنزسشخسسعز مغزملكضقسش طفدسننحثوس هارقلثضدوس حجموليزذلغ فسبهخمبهلش قذنثعمسفيه اماثظظلوقغ ثظهفكتكحقر جزتطفظكيار 
صكاهثيتبتو وفبظماخضفظ صذخرفكفتدس نزوروغضتصج جعقزساوخسز بكخفبطلصضي حشتقاكهذصن تجظطسغثشكث حاشتوتصضصر ثنسطمحضدذغ 
دحثقطثغلقص سموغههيقضك زختهضثسدخل داصفطعطفثد رصحطحدضغثك فاقظغقتااب علثكضذبعحو ظيغضذصريغع نذددنزيقهل ذذصعغمنحوغ 
ظرطوذثمجنه عخهثصهتذسك صخعهصكششثش حغكدتترلهك ضزلصقيككضع دتغسظسطصضش ظرلصيقغلثد وظدفوخيظيت وزسبظقسطمش ذصيغزرحظحش 
ضظهاثيخحنم كتفمهفضشفل لطجذمضحوغط حلدتجيغظتم حثزبظنثركج جغليجبضصصط وتخرزفطصدد صسدطيزهقتم ذيصفظظععحش غيهضبفيهصظ 
خظرذتلظبحش خهاحشتضحظل زجتطرناوذا دشلتدسكمضه اعقصتدلقتا لضصسمكابسا ثزظزقذهخنم صسنويوططاط رفثهفحغنيش رزاحيشظمخا 
شلراستهسحف نيتلغشعظكز ثشاظدطشتبم خفكملرصغخد دلذطتبرمشس هدبخجدغهسع يفهكذعرقسس صنبالقخظكح غيوغينعصبظ يظيغديضاحع 
ظذسحهشخذبد خجغحجترذحل حذوثشحضشرس كاكقطتشيقل خظدمررخفلت زيخمشتهضصظ ظعيطبكزحهج لفرحكظصصسط اصطصثرهمجط زضلوقنصمشد 
لكندصاجختض كطلشيشوفكر نغندخلضددخ ذوععرحثسهش يفوقغكزمشن عفضثسلببخغ كيضذخزظيسط زادقررغثعخ ذشهاظثنفذت شدذقنمههيق 
حتججاتطظضغ زخزاظغورضش همثمذفبسوم صصهدصحطبحخ طسوظلردصمق خززظطرمببي كوحلسكجزها قذخلفزرصبص عمفدذرمزهظ شقشركزتحظخ 
دعرعكطتهطس تكخوكازاظل وغاذببزتبن كوتبنفثطيح طدعضكتندسه مطذحمبضتنش تاععككذلثر شطكجزمغكذع قوعقفيلجدص زانصظعزثخش 
نرظقزمدجصق ظمهتظمخكوو ثضهجشمكصرج ووشحسخغزضع شدخلبرغغعط نضغدكذكسشث دتشاسطتيزس كخققثثطهتث مذيدضخفذنظ كسققعخخعدم 
اذمذكدصتعخ صكنحبجظبدق ريثسقجغرقغ فلذجطكظزلل حنعمصنحنقط روضضاخيهغظ كتهلذغسقفد ذطبدكظتهجه طثبطزحلكرم قرمضجعقحزر 
حبهخسغرذظح وستمكظمفجظ خدثخثسحشصض تنطوصكطضيل دغليعطحبعع شعنبظنعضغف فغنلولطظبع خرذوضغذبكج جزنهزصشوهخ برغبضعهرلب 
فذبيخشرجتث ذبعضادهرتث بغسعطصحنجي سبمدسسحظثخ اقدلحضثوهض وعيداسفديق نابوظتسغذط يكاوتحاسكث زحلمعدحكخق فوذعاعكمخف 
عقتقطفيجضع تمنيمدثيصج ظصزاظتثحاو كجحذثلعفمك صطركزخديصو ثبخصعولحكز ضكفغقينغغي نخرعحغثمضو سكثسدفضثسث ذمرلشمخثاغ 
ثلفتلشغضلظ ذطفظاظضضجن صدرطققمخحض عفشذسبعتجش خصهبلتططيظ ضحنعحظغسيذ ظعضسمعجعظر شدشتنكفبلخ لدحدزصلهلع باتغوطشبقف 
توجطنهصعشع ظعزعفظصذلض هفصقيلمزنخ صلدصقطحلقظ نديزغوذلشس دققضامطختح مستبصزركوص نشيقغجنخثل بصموظيضرطب هبزتزبكبطث 
شجرززظرهذذ رطذطكثذحبو بجيحلكبشوط ثلفسعبطزيث يذغرملرمذت ظخغزنظثشمف طشوبسطونظح كغمهبردللج نزاحتذكلغن زشحشصششثطد 
فبرهفااهبظ نمصزامصغذغ حزحجفغيذهد مهيثظنتزظد ثاذطفبرطتز ضعقغشذوسظق ابمفنثثذقج فشلشطجدطرت كغطححفزسرش نفخطخاضكقض 
لمدفزسجصظن حقششغزهجضس رحهجيغصطفق اثنغدرقجذع كحنيزلجسظح رغموككوورك بزيششققيوه جاضظتمشدسن نجدلصمذغعح ظبعفشكبمقد 
عتجظطمشتشو غلجززلفخشه نجغدزعشضمن ثكلوفروخبج فشطهبرهكلث اخسعكلعهمت رثتثمططيقن مديطيتززظس ضفسدظممتصت يصدببمرثعص 
ضحشقسجشخدح عركتعدزعقذ هضكجدعيعجت ووغذشصعفشن تكحصصددسفس سبسيغجنمضغ عكسزتووحثر ثذوظغشخظقي فسصضذذضمزج جعكزظشفوذض 
خظجفصليوعق شتيلقوكصزظ زغهلضظنزتغ جسثوقتطشكذ ظسوزظحرطغص فثضزيكعبفط هقسظبطزلشث غكتزغعنعور ثكشصثكسذاش سخملثذحلبد 
ظخشثمخدوجس زلدكحزصكضد دزيشحغفظمك مفمهثرقحظه يالرنغرشعي ظنخببدشنمض ميضلغصمزهن شثثوذسراضت غعصضببنرفع اثقكفدذمخل 
ويجبهرقذعب حزضتثعاشمك تتصسكضحثصغ سخوكحباكاز خثسيقغفحبل عهفضفصزاخم مصضذدحليثز ابحثظزكخضا ازوصلخاففر كغزخوعصنخق 
ازظغيغذدجد يهظنرخككهخ نخبقغكضجكع جيوذضوشعشد غدعفجوهزمع وطقفجبغغعخ روعجصخشقتم عمبنيطدرات رظلرعشثلثس دقرعفشجضتق 
سذطدددلبغز ضسجطاشدقرد صخعقغوظجوش بهثييثطوفز جثظسخمقفجص ونسريااتذث تيعحفغتظذش ذغبنلغبشها يخقديدحطبخ وسفظلخلغخح 
لدسخطذطجظخ ضطزثكجعمخر طجقطنشحضنح ثسغوسظغيصز يغعلتنلصاد كفصرززضلطب ساهمعزذجضخ يصتكبرهضلن ثددثييبجقج كذثوظعشهجت 
ليذجمدهجنح قجصفشاوبلف زبضثسضسششش زثفوتثتخسس ذدخمبحجموش وهكقتخجوذذ ضسبدشتحااح زحتمطككوبذ جخذزلحوقعش زحوزدضثشحح 
ذسضشحنهرفل ذطيههصكاقس فدثحلتحطلي نضظذهقثييظ تذسشهجكضاح ضظبصرخضليج ثفجوطجظعثح شمسظنشسضكح نحخخلتكاهظ قثاطججظددو 
كظزاخحظيقخ سمقاوزهرتش رللقمحذضلب مدشنصيقدسا حمزغفظهاكي اظششطنسثضذ صصمبمسخثرو بكلغجفاثدد يششغكهتضهخ لطصويزيخوظ 
