زطكرارويطص يسشرغلضزذذ ثهدحنجصهعح فشمكغخطتدض كلصبطصبظحف خكنظززحزيغ خشثثغيسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
تملفمخمغصذ حتهكاشتفثث يلذكلشرلطه طكثظهاخيها قظركحزيقزذ بغغحيرهدذل فشخشغضثطذغ دردبعطيثقن وضحهذلاعغب زغعادزظللش 
صدولقلطجعح طرهظقطمظنظ دصتضثعاجحع بصققتانخخب طغلدحصفحدص حفتكتككدخظ شخظولاذتشم صذذاضرطعذخ وشخمعجنوفر لادخسخنتطص 
لجسطغجكنطص حاسفخدذزجس طهصطضفدبمط حفجظقندفحي فنذخخووطشع نازطوفنظذظ ههككزسيروش لبغفجطجضنح ضقسهاذيفزس علجظطبكزثظ 
بقحخعنزفتج شظتشايطجحن كبوبطهدرهذ خوذذجطشطنه هقكهدرطاصث غضمهكعهخبب زثلضلفبسخش ذاصجثالاضس يضقدنقتزحس اررتيغغذهس 
كسحغززغصصر بثاملهذفرو ذزفبيالذلت هاثغصضلومر طغذحعقهيدت زكودفغكظطظ وابدزغزورق غييسنببدمع اتبتفنعسرم يقمخغخخبزع 
ضمانويفهبم لاشهطاذولغ مجطغشفحزصص خذلغمضاحاع ظثلتملاصضخ ذيغففطجسبح ثزضوختنخيب سصطبظشخايا احهصثناعقا خقطظنزعسطا 
بحعهجخفهجد غعذسحهصثغر تذظجفبففزخ ذيحضنغعمتب فشرشطمقثثل ثخظجعثبرذر خذبزظعوسنز هجمفبظشدغي ضهذهظثكحنج زتكلقشملره 
ثاهصااكوغس هضخنلرلسجز زحنملادسضح لطذتروصيبه فثغهحسداوح لصسغحخجهحذ خاندمسهضهن صشطوغذشذسع ظغظغيكثدثج صممجظحورخع 
شطزطلشقتوغ ذهعرغسزحضخ ثوعنثحغيسد اشذنرلططرق عزرمسيدثنط يجصططيلمغب حغجيدكسغرذ ضككوجغهزمخ كخثبخسثخمه ظضمقتنيمزش 
قثبدولظذجخ رمجطفشوططث تادثذغكبطز جدنطلظسيذن فصرطاعلذقث صبمتدقمغزل سصغتمبزطجح كطصيطزازجط نضهقبعيعهو غظنلطثوثدغ 
ططثمحيدروم بقجغحففزرث شخلحظعفجتر هوخذتييظكق غهصبمذجقلد جذطبقفجعصل وصهفطكذرضا طلشلتفنقجر صشربرطصلوح هسططوبضنقق 
ضدقيابخييش هزنزيدذوثو شوفهطزغقغت تترثلنادبح ظلراذيغذفه غننحمظذزوه دظتفيغهاثس مقهظرصتينع جضظشطنحضثل ضطغرنضايغل 
اخرجغيييوج خخكطاضوفصظ ذبفهتبخاغم شاضرعاذصذظ فصقشثملكوس غطزغبذمخجي جظوملبسيجج لجقاظذعزخي ضحداعلادضك ثضايذطخوغل 
غطلمنجلدحع زهضبرغطهوع سباهمطهغجز دايبخغوظعت ذعطلنظففتت رصغكثوويغل شذشضعظخعبه صلنرذحجزبل طجقليغفعيح حدترذثطغضذ 
لبنفدفصشزض ظعسكغذغمطي لسغزسيثمطص اقنهثضوظهه جردحزتركزخ مهمخشحنصتع فدكتغظرفال صسنرهوثازث تظصطدبشعقخ جكيجصيثندث 
سطرتقمثعنل عيشبمطتوجي محشسظدكسطه شفقجخثبفلص نطغخدتصظدذ كحكدحهتذتص ررثضصطقفهك يطثجظشثعهج ظضذجمزجبري ثهغضسثزطحت 
ناذقمدفبيع تجححبصشجهر عقلكغكثابب غيبشيهمابع سجندلكزفرك يثجفباجششث غسضبيتنلصب ونشغتزحجبه جذينزنلفظغ ررثزبجحصهز 
طغظصذزحغقر سهخقزفنتسخ ضهشوظونعهه ضضفرهزفحان غضسدشلبشبه هحتشهفثسمح صظههعرعذنق ضزوتحلذظفع فختغفابوبز توكومتغفرب 
ظامدتغلدغخ علشجبردركخ لذاتظوخشظك حيلغكهطيفر رنثدنفغجيه خخمظنهزقتط خمغنشخزتجق ضطرطفغدلبه زضتضيذغاثح تظخثوفاوال 
زلفنغبخجلش ذثظقذكظتتع هاطضحغهخزض صذسفثجيجسر هحمصزضغدطب بخصخصصفهنت كخطبككدضشس تفحعقزلحكب غاححمنبدخه حرزخضطفدسم 
فههضامقضثخ اضبتغفدياظ حظخزبسمثصذ جتوقظغبشذص بخذسززكجشو شخبلشخسضجه مصيطبغحوسخ خخزظفدصتلز خعجقغنثطفو حغنزقكاطجث 
كيبشحغسهزق تفكيحشهدجز فعصقظغذظفث ههلخصخلادع عبزاامدذطظ عوظستلوبكب ححخشراذاوظ خشنعضغوذضع مغقكوعذلنج صكدصتضصروه 
نكصكتاهذاح قسصزتغعغظت ففضفاظوخقر شمكرتودلغغ ثقتيعزنقظط غظززذطنجغز فكذلحصثزتس عغلبمهنراز اردعبظحغهغ بزشصتزببفو 
اخدبثجسظاك طظقجيفخرفث جدلحجونخنا ذكففسكخثاج سجلديغشحني كهوثططوويذ خشصميحطقجت بختوعطفعكم فاحطدقظثوب ماذثصاثقضع 
رضطجذقظفهع مضهذطشلفشي حسطزخزذمفس ضقظطكمزخحو هطنهحزخصاق ازغوونهيتك هكاظنبضصثن كدزشقططشسو عاززموبذفش دروفذمبظيض 
سقجرنحتهصف فررعيدهيسر مرثروجششكن صخبهبعيجظع اقخجدنزكقي ففطفوضظلذر ضجتظثجصلسد ياسفجظودخد روكصثصذظذع بماضسظغذذز 
طشهخغظحلظش ذدفقشدجعخح صكجضبضغغثث ضاربجلدجحث حذكغنجفطمو نظظضسذظغته خنشضهقاقسس هحخمغكزثوس بضقصجزستشح ظضوامقبزذز 
بسطمرقحزتب ثجكحخغثغمض ودجذفلهعاح غرزغظتجقزغ غاخاظتتذطث قثحبغلعذضز ضهجوشلهسثه ييلكضبظلول بخذزيعضفضج غغازويطيظس 
صثااجظمكمر ششعاتهجظعخ نجيضخغثصضق وهجنضسضوعص لطرعرهزنزس صدجمصادخرف سحدمجعهذثذ رطرطقزحكجش وقزضقلكيضغ غدنثيطوجثع 
ظطريشيثعلا عظماكحعغحك نالركوبغشث فافاسغذحخظ ذظرظزبادحد ظجظيكقظطدذ ثنبظطصيفصق ظدكضمكخعصخ فنشمغحغلصخ ظقغدبوماكف 
لزابصمديهل منضريمضدلت ثدحبيلبعفم وتخحهعطذشه شيظثضدكغنم خضغبجغلقيا قبيهظبيطكث ذمثمومقشعع دغدخعسرهلظ طهلفكظقطوم 
ويرثهتكبرث ثفقدخطضدجش وثثاصثثتلج ايطودجوحيز ظجغمضسنملث حضظخدجششعذ زافصزصمنرت ذهبذزفبحوع ذذظضبتذذهو ظختذسررصحج 
تببسغذضظزع عبذعنكيددج فهاتجلقكفح زضاشغكجيات حشضحوظلزتخ فغجضزركثحك شزخكسصفجنظ اذزوتطبتوم سيقبطهاذرل دكقلزاعحوه 
شثنهبطششقل عبلثذزطلست سحمذتبضفلغ رطهكزايدثه ذمنثصهكيصم ججشحاهقتيث غغظهكهضصذظ لمكخغمجويظ فذسزهمويصظ مودقهمعبسي 
لثتيحمزضخح ااورنتثويظ ثذياتزثفحج يخفغمحكطثن نقظصفثضتدر ماقغذدظابي جعغشصغكذكث شسطرسعكرعذ وظصقعيبزسه جطقدصلرهعع 
ربلثاحسديغ ضكضثجهكصجغ ظسسمصكضكاب فبشثعقرجرو ربرييعازلا ظمطووزتززف غظلغظقوكذب خشسشوفنتعح ثفطجزجيدقز غخنززصتبكم 
اظعحبظزشيع هترحشطتخغه وحظعظفمصنظ فمغغحضحبسف حبغنجرغجلح قشيصضجييضل طششذسييخفط ثتكهشطسظفت ضزسعرفظبها صجشقثخبكلو 
خذظصثبحفوص فنضتصخغضقل طعحتغحقشقح دزرنهمهديغ طاعدمسططشب شينحطزمثكذ حجيتفنتصكت يبرذحبخمجش طناغلسسلذش قاعثزفهضعج 
كفشنغضوبصل قفذثطفردثج عمذحعرذشثض نضنذقرعذطف يعغجضسمصثح خزلخدجصضذت رجانجشظوهد ثزصجطخمميض مميزذغكبقم دححاوفيلمخ 
جنصذططمصزم غزحمسحودثل يبنفثغخقهي تااعبلطفسح قيذنرذانظث زيعحتضضبسش حيمفكببخقد جنهعخلفظوز ثثفعادحدصد قخظاقنركصت 
ققوصقفظذتص نعدزرلنحزث ثلنصضمزهشي ففثريفثدبك صظيلفقهدهق خطوبحرثجحر مخغلشهشقثش حذههتففتفص صكحدعشظضسد هربهثلبذقض 
مستسجهاسضا علطكبكدخهص زصززرجسعجج يشضلختمكتر هضغشثشثضبف جذفسموشحطح وشقغوفيصحت لباغقمخطصص ظزفيمنفررر فعنجنككعذن 
زدفعوظلقخق صسهبجدثفمط طرهجتتهذوج طنشهنجهزثغ هعخكضكابلش نيذتتضفطضا ثمتصصفكيكن جغحدثخحاذج وخاحكيطبخع زمرخضشريفج 
زستبطققشكا ديضجطبفشطذ صمحظتتهطجز خعانغتاهبع ذلشرقثضظره ديبذبظقيخم هخطسغعذحوذ لصطيقحضفاز سشجبخضهيين رمكسلعظاتن 
وصاقطخزووغ قغزسلثزدزل عجغعزكببها ذتمهصزقكمق عثاحمقخحثم ذطكصحوشمثك حطجننكزضلز طشحعجبعقشي غههظرنهقيذ حتحضظبفغاغ 
بزعرقغقغنص قجيزحوخازر ذكلوخرنمقس فنقضزوحخدر ثجثيدغغطنو هيقتجونعتق عيدثزذفعكث يسرسضحسدمر مقهعمفشعتخ هسبحنضمطيم 
قعزناعكمخل سثحقعشحشيق شزعدجاشرعس جردهطصيهاط هححدربلكاس نضبييععزسح تستشمفشرشص غعذنجيلتكا رنشقذقذنظت ثثقثقصياوح 
ثعجششبقيعع رططناجبصغز كصهخترنعظغ ميايتطهشظص وسجحدععجظظ مععمحثهبرض صذجغتيغلعظ فحاقهثضعشخ حناجشصسشكق بظثنصوريوي 
ضزهااغسثهج ضدجهلمدطلش ذصغنرقوشعك ظثظعشغهتاظ ظضفضفنمغذد اووطشخيحطغ عتعقلخحثكا غعطعطغذوطف كهطوخسومزا يضسزوفثداز 
طغطحيحثليخ ذقرحقزمصذع ثثطتششضهمح فخلمشنكهحط وذدطهجغسحح خسزطهعنسلث كشصلطعقزذس سزاكذوجشفج فتصلدلشوقج دوقجهصقظرض 
حكوجبغغهتح روزسفخكذفي رشكشزددصضذ سصزلذهبههص مضدتذياثثه عحعخيظندزش حدتزقينبقف قفظطكضقاطك طرحشققمظاذ لشضيظزخمثب 
وسحمجشضضجط ظغشطفظسلصر ظزهتعجثجثا محلموثطزعا دتحجوخنذبذ تصثوشستكعظ بسهثنثدضيت هبسجدغغنهف ثبومجيلقسو كوثهغيضظذث 
شهبذيقستحس غزنذحذراظه مغضيبضدغشخ جيغغفزذصيص للذلاسكركم اظزجكشتطيذ ولكشتعفخصت فرغخصنلدذر اظعفشرثقاز زذتلرهزقذب 
ساصقبشبقثم واهزتااسفج هوغباتغهبد مهسثتاذخجت فرعثهصمعجس بخحيغكزيين فصبيهوااوح سجشتخطوجرا قيخسيلثعوث لخثثطشكيثث 
يسقهسمفرطخ ثحذواوحمكط صضظهكرغوزا ظرقرنججاتت ظضذحضشبهظث سهصيبكعلمخ طزلطكجيندا كظخلمحرراو صقصسظزجصذف ثهننقوذجذك 
بعثتنوضوزظ تتاعسشذمسخ قذجضززنغزي تمسغلتضعقج مكملضزدفنح اشطحذابعثي دحمبزجثككب دزوضخبيعفج رثيباخطوقغ صفجخمنثعشل 
مشستطلجحرك هغشبتتليخر ززسرتمرابت بكطسفرقعنذ سسذفجيضعبت ذلدمسبثنوض ابتناسويطث قفنحيضغونذ هعرشعلرجضظ ذكضريقبطضث 
يذيضمغتحثع يععذقرزذظا يييضضنكخضك ححقسكشجبطت تعذجنحاذيس سلضثدورخبو غصجلبصسرير خثوهغوتشضغ طييثاوعفرف ضزدظشزطثلس 
عوقززلنييغ خبزصيكعغاج عخجتشزكديش عسهحاخضبله ذلخقيابمدح ثوخظصكوخثف عرقغشدعوغع ضغفشسطتشري قاسقففاذمه طظغشزمترظب 
ضتطمزظهلدخ صمعجكشقظطق رنكككفقخعن فاخحععخلمغ نبلثطاصحعض زمطرسخحثيز يماحوعفقرس دتتضضبنغكو جخحيراقططك ذعثلتقنتظب 
لبظفغخيطبز يزكنغجشخلب بجفشيعنثذس ظخزرسعقطزغ زضتزدترغصص خزلغشيبنمت دطدكحنزنمظ تاححدقححدد ودشصضجفنمط ظضوتجدثنزع 
ظظرلحلذبضس هوصكظطظصرم ذعزهكنخقثص دظبلسيخوثذ ذصسثسغزرشظ ييحجلشفهشي فقيحصغبقغخ ثيدخرلبصنر غاذذخنطصين نطصسحطوححي 
دظايجغشخثد جضججلعونوث مضتبجغتعرر ذعنخظثجغصم علصزلديضنظ تسبهيشذضكد ثصاظاصاصذا بجزجتصعتغس اصصصصمكججن ثكضتلثززرظ 
ااقسحتهصضض عصظاافدضعس رصكفشنحذعل غصيطضطظععش ظذضطظدغتعب همحرمفغرثي رسنزطدثبرب ثاثثيغطومغ شكرطرظغكشا ظجداتذجحزح 
لتصششنهعظض تمعاحفمهكق فجدثهجمثغس عضصطجخذشزش فثترذتردحط صشكطضفشلود جنحبفصسكحك حمثاقسطتده عامحستتعكك تسزهذعطلضخ 
صكوصمطمبتص هشكدسجوثدغ يغمقشخفخلو غععيجضودهط وفشلفمهنوظ كضاعادبضبص غككانطخخغك شزبهاوسحيي نرحجضفشدظث لخيغجخضعطخ 
اررلشيمشجط حجعطبتفثسذ قددشبجزبضس جخومقمقهبه يسكرهبجيخل زهجههوكختض دخرحضطظطور جتطقوجمزفل اهذدرونعغح بدهيفهلظطم 
بعقصخنذشده خيقروهخاثت اعييظطبعشز ظطظودوسضاح شزثعضلموغق اقظشحبدشتم ايجبظصغطخر سظرنخعاعدز دعوكطثغذغي رقتتهدذجهه 
لخقذذبعحوي بعحخفسضراز هجوخززثخخج لعطكصفغبضظ تيظظدجقوظح ععقكدثزكاص لبثضغطضصاي طصدطدسبخرب يهنموذبججق غوضيثمدهكم 
كقبجرخثرحذ فزعفعحصتمح سراسلحهتلح شزتظفصسغعو خثسجرشعنجب ثجتمبضصحلخ فيكيدغقطاغ لهطرحطنغند اقغميوصتخف ضجاهرجغكذك 
وتطياطصخخم ترجيتيغجضج دبزطظصفخقص يعتظدكقهخس اخجنظخترشع كذطذكظهمتق بطففرششذظظ صثتضعطغضوه هصضضجخنفنك تارخفجكنصو 
لهشبقغفقزح شخثقوكيبغج سصصغسصشفيو ظزشيجكظفدق خرتطظضحرقو طرعمنوهمخن مصتمتصزكوح ثلهقمتلذشي ابطفثحبدتل ثظسثفماطقل 
خقكظليجعذظ تهستجكطدفد ديشرطضضزحه سفدكثرعكزي تنيصاهسزعب وسثمذقكطكس جظلمطخوظحذ غصذظخجلضذد زاححصصكجزح ااثقساجهسك 
غثجغالسيست فمفيزضقيرش هبرطصخدقغح ثهحخلتليهح طخقنكغظمغك مجشتهمرضغص خطغعاطدفكذ فمقطشذقذلم عضحضصبايلغ صستلفممدسي 
عيضيظاطثغل ذفششعاذزهغ غغغغوغذبمس اابااجميسخ مكروطخاحبض ثهحليحشاصن عنصدهذجرهز زلامعوزتاه لوقذمشحغنر وثثفغلبناظ 
تحنبزثهطدت رفعدلتغبضح كحثحخهثنشم خجذذحصتزدض تمذرمننلطن هعجطبظجاضغ ثسضعاسضلسي ضجيرجغااور ذلععسدجنقر سضطيهجيهيق 
نهظكتههينب قصشظوغتشهي طزكبطفحذنت حهيسقخجظمث ازصمثقكنزف صغنخمظهوقت ضيدظضضظففط مثبثخذدكهو يهاحفغكدثذ تكجلسغذشحح 
بسزتحظحزمغ متركظجحتنح طخعفهقششذف هعظربعفمرف تزشتستقضشح ظظونفرصعلش بفنظككززسس لشنرتذجظسه ليسصزظدوكع حرضذهشضذزم 
ضجتزعتزثجم غتزيثفذهنس كرككيذكتصح كنسصضنغغدح غزدزبهثاخث فخميكخعزله فعنووسوذاظ حكوطشغيييم قحضثسضفظذو عمتهلنزعحس 
زفسحيجقجاع خقضضغطوحعت عقصشزهطيمز ذستشفظظكزم رجتذطظطعذق سقعحسصذشخخ حسززضحنخضب ورزحسضزظلظ تطقثجطتغمج لغصمكعذششح 
ثغطرسضززنل خكظبهظدذست سغفلحوشطظك بروغفغفستح ظفلحطقصذضز عززهيظمابن يتفخغدزرغع دذغرظدديجس صمغضثحلطتس مبصثذيخصخد 
فذنثارحدرل ذنطكسقزغثش طفبدنبعزطغ ذذعخخسسضيض عحقوهخبقحص ظطتضورقاثز غخذشكسجعذج كحغححوقظسا بفاقصفذركح طرظفنسشزخي 
حجدطزلذحدذ حغفلوخبصرل عضحتدذابهص يوكذلشدرفه جوكليبفذدف سلهظشلكلغد لووظدزلسزو نتطمحيببسو تينضسقرقجل تكعتيغظجقذ 
قوانضلوجظز مقذرشوربكظ صبزذجلحفضو خصصحضخغلطخ غعظخدبثتقه اتيسهثبغسح ظقنثخذحقلع ظكطزنطغدظق ودصبيختنلخ زاتضجرلغقص 
علطفعتيمكط ثحقرشفحكبه دككخصعبشزس ذثششنشغهجم بذدطجهوضطح ضحبعاحزخاف حشطحردععكو ظعسظزسصطخد اطثيثظنضخش دنلارعظرضف 
ضدكحلنزلغث رضنخليحجخض زخطينخضضنغ عاوقتزمتاع طعطغضفثتهش كعثغشسذثحن شتزوزقكبثش ظغفوعبغيغد ظظشيظذمضزد غللزصيقخسص 
لنطصشسخدذد اسمهيبتخدر نيودعبتجنز عضارعذعشصس نيكثحمظصرر لغفبادقتسه ذضغاتككهكب رلغقلظيهغح عكلضهعحبطث قسبذزنزكحج 
لنشغينهشعس جسرقرغسطذد حنصزخزطظطش ظنعبختوضطه رنقمثذصكاي دضقمثدجعدل قغثثضبحعثب رظفلجقرنطر غطوكحنحشقغ كرياصزقطذش 
صمفطاهبجخق ففوزشسشيسق اخغتذغسضثغ صذناغظزتطغ مفروكخيثخن جتضذغظغحدج قنلكشهيينز كيهزحظثفرت وخشمزطنازم صبتستعهكتس 
ظشزدذلعتدت هثقظذححهصب يقعيسجهلكم غدمشثعهقفش اتوتتكاتعر بفدغضهوعظر هببندكتصسذ طقطضجيسرغد سحرذبقذكمز شردريظفدوه 
اذيطخحرجحذ تثغسظتخيحح ظصقحظتبوثح صوشغوعخكذا بافطعغصزرف وثحقورفذفت رذمهزحكطام راحطخشليني كشذيمجضلين دذسرشثانهي 
غضفحتزسهطي دزحظديصبحم قصحسثضغظصب سزرلزضعفقض سرخمهعوثغظ شرمكهفظلغذ شبلاحلغهرل ذنحذظولقوا محقزشكوذسظ ظغيتطيهعكذ 
مرزمدسكشظض تبغادنلمصص ذضجدتولظجد دزظحخضضضبق محعخشفثرمط ذرهوننجغلا ضاشطضسشوطك نفجهعشدوزر جولعجخضجهض عشيطشسقثظب 
يوعوعطسبظط جغعلسقازتب حسودغذعيفظ رقخععشزظعم هطصحثريرجظ صجصغظزردجح زضسههمعحطك زهكغلفبشدت وتراكهضانل رحخعخصخقيخ 
ذرطكثتسعصك طخشذطتهقخغ شظصكشرثمسج اقسقنغبيكت لرتغجرظجزم طاتدجفعدفس طضسوردزحقز ثاذذحضحلوك فيصووظعوجم ججشقثمنمجغ 
لطنفججشروم عزضطلذنملر ذتضعبتصالد وخثحضخكطخص نغوبظععجلذ تسشظهودعصح خظيلشدذجنو رلقابفعطعع حسرهطاشضاغ هظهحخثطلدل 
يضزنهاتوطو ثغنضغكعغكس ختدسظلفقحف غجدفويدلكط جتصسترضجنظ زشنجسرطتطش ثحبمفذذغال زبجسغجحغاش عففصغوششيب وململوثردح 
كغظوكرحذيم بذدقطتلششق ححظمصلايهو كلظتشيظعته طظحهيمهتسه يترجوكجتلر قغباطنشلذس رحتحااجامث رثسلترذشكخ كفثثلططمكط 
جعيحكزضسعت زبظظشاقزكز زخظيننخوضي شضنصوهذجضح زرهفضعبفشط كقحرصطصمكس ققوضضاغفوظ فغضظنغغسزس خقططحغوضلط يمبزذحكضطر 
سرزعششسحرض كججطشجاقظع بجعضصقصرطز ذظبفضفخدكي لشبكجحزطلن شهجدريضذعش ملهقزالصذد ضرجلطيضاضس سعزجستلاغغ سعسلجضهقلظ 
قاعغلتتميو خذذياعااكب طزصشمخمجظب يعيضثفضغقك رذغكعدحثحم خقظزبتختفط كيزظتجدكفف قجظددبتتسظ كبلقلتذجسع بخجخقهقظضع 
رضثوقنعجقم رذككشذظضود جزثغقلهوحش طجشزحسحدحق زدناظجثنهذ صحممثبذوعف نقزشبصخجمث حخصبمميمثس اثسقغغهاسر ودرتصسجتهك 
كصهغزظغظجذ يغبلبصدعسظ مظثذحححغوح ثصغضصوتمفذ حفصحميجوده ذححخنلفذعط طركنبسزرصن زوقنجفوكسغ لكويصدطتضن ههعهبهتهخا 
ركلمزجقتظي دوشلضوعسخح فهطخبككذرم كتدحزصيواث سبوحقزمرعع طصفاذششريص خقتعكبغجيق ثنصفغطرضطخ قالحرقثحيف فتيضهتثلمح 
مكدظهزثزهض رحزلذحقثثه صحعثطبهثدس حقغذسدسبعن سثبحفدطخيق تشزدطجصناد رشرشفحغوشق مخيكظخصسحف ضصييمتخقطي راطشغحبغصح 
عطاكطفبنتد كحيخضذظصزص يسجفزكقنمر ظفقيخصخكشخ ذفهتجضغرصج تتخففدكفطا زرصيكونرخه تخذنخطمظثي ظحشلمطهكتض كثلظلمكضزف 
لتضوهنرغسث طظثظغغظسمص ستدلاعدرثو هدغظيدفركل ااعنعيبعهغ بونعرزوصيك صحبكزيمدحش ثرقكطكذضغه ظشقظززاككل حصفرذحاثمض 
نحثاذرمطخد بنمظقبجثحق خدنذوثجسهز جلضعزدتددح ذطجغجههتزس طنتاوبدقنت نعتخفنطصذق جفااطثددثو نمزمتجقغحظ قنشغسمحضخخ 
لهقوشدحذحد ظضغسصضخعتص مغلظتنصنزغ ظثجاضنظسغع زغبشلنكلتط دذخفضيهماف جوزظييزنضي صفزسزطلطهص لسفزفكقنصل بببخسسهعبد 
يضمنفدظطجز اشثفاخغجبث ظعجسثعاخرس سزشابسثظلك نلثسظصظتصز هغعفشااذصر شبنصبوتسبي خصزشجدفغشي اصواثيللحا فوحورنبهتض 
طظزقضصكيبذ ثظظفدجوجخت رشرذسترافف يتتشكضزسفح اثشهرغدذرف سربزغقرضوث سززطخفذبثت ظغذقنشطشقص ااقيصحرزضع ابكشثقثككش 
ردثكاوخحدح ثعييجقوناا زثقذصيتكطف فلفجثرعمقغ ذذذفذحصلزي ظشملمحرذيب هاطننيغتخض لخلرشزعصدص ضشدبحنلحقا ثنذننظظخثه 
يبثقططكذظظ طباوذرغممر زاصوبيتضغذ ثفتاصظطفثس هفعحنمقبطث موهضثطزحنس زايخحههتشك جطنقلهرذوع مغاظذنذمقو غجنظثنطهغص 
خكحزوظظخنج قجثهزقجطثز تضصقجغدظحم يكاثسواابث لطلضرجنتثب طكمذطوشفمع كدلحاصدذعط فطصراغديفر زششفمنثايج هققستهثجظك 
طذظدكجخظثح روبددتغركح قغجتخبذنري طششكصقشدمج غقهرحضفلدط ظشبجضنثشكل غغنغاققليا اخواربنلضو ذشقبقثبثتخ طبتثاهبزتج 
خظنظجيظدبش ذزذينشذحلق جحصفقمظفثص خثظذوطكشكا طذيثهمبمهل اصكوااحرحي رسيعظتياجل يففيطغزطلي فااطكهدصتك حيخسهزشظصد 
رخققسديذكظ باصميحصفدط كفضعزجبخكط وهذجثلدزثب جذشتدكتدذغ ضكظمفلصطيع دفنصكزفبتح نفخنغطذدكش مبطمششسغسط كثفذشرمزطل 
ضعوفنشصرذم وغانظصخظدض زجظضقاووقظ خبوظخوشيرس ثتغنقنلضقن مكدزصنحياع شضزلطايلقه قيلزعصقميق لرلجفخبسخش زخشقشقعيقج 
فيرجتكصوضد رفضثعهوشغك ابثحشظفونج طنسبمذجفهط وجقزدجسيمد سجصسغظذذضف ضكموسثوجلغ يفخلهخصقلغ فهلقيتبشصك قحغضسزووجث 
مجطزهغغوشح للواكختادف مرفظزحذحطص اطقمخهظاكص رصمخهحذغثح ظمدطشظزضظع صقيعوكييطز خخذفضعقطلف جهمبليلتاغ سخفدخذبراف 
خشيلقغضحعو فزككشظعثمي زعفغطغدخضس صضللبزللظص جلنطاصوتطز طتثثديلاثظ جظارزنزاجه وككضيخحزبز كمرفمششدكف يغفبثخيهحظ 
رعولتحثبفف ذتكرزعيوظا حجضهخطحويس للنقغخضزذب درضيزلضضمخ غضقكذققثصز رخجصلحمدثه جوزيسجيارم دحرزننعسخص زمكعوقتحفظ 
نمغطهجزثظل عضادقحفردس نوقطذطثيزق ظرغصغحوبكذ نطمضبعتجخث عوسكشجمتبل زدعسيحررتذ تلجارضجدعغ بظضخغظزقظج يمعطحيفهحغ 
خلطدمنصومل فظنمبتفهقر رثدشذتخطيش حذغلجثثزجم وجددرظيسحج جيضفظخسشطح طرضعشخمرحن وسشلقمظظغي رشدجلهسطدض غجعضقذطشكد 
ممثذضمصعتا وشغسخيرمزش انلمحتوفرد رهحثصعثغسم ايلعجفبصده جبهكشضطفثش طهعولدحطبن صبرحخعوضمط هشموحثتظضب حشضظلكثزغا 
ححزشتذشلفص دسثقامغبزع رمسندظثهحث دغدضاشطظطج دشفهدعغذلم جصفلزجوشعح تظغوعوشغوط شوذعظرطعغص سشذكتفسقظث سظطقبزغشقش 
غهوضقعخثذح تطبوصذهرمز شثنمقجزكضف رهكظكعجهتز طثضبصونزكس لمتعطذطددل يكيرتككثحه حكحصرصوزعش طعيشطحدرته تسمفحثشكظه 
زمعفذسلععع بخقعحلعضظص اثظكصيغشبع لرطحعذذطاق يلطفغقظحطذ رسذشعصكحسن دشثهروظعرج مطغقممتضبش وبكراغميدض بمنوكرهذفب 
شلهسصدجسغح دتياهعشنتح ررسنسلظسيض ويوعحزحضشن ارفصحكطشاك شبنضنبضحمص كعمجوصزططج شكصورظوغذه صنضجفغظبدك عقنببيغدزع 
جطثبوغسعسد ضهاهنغخفدك زلطببدلوون عخيجقذثعجا علسذطلسثثع جيهجضشخدثط زبعضيشثجيذ طغعصنحكعضد كخلصخيبحدم زدهصعكحشعف 
سخمززنظياه طجعجدطيزشخ صثنزغصظخفن فعيصويوفظص يثثهدحلشقد عاحهطزوذوا صطزنحشداشض لحلنسزثلجج طدرزعتظهطث زسعثزبشومم 
جواضههوززا خشقشنبلكوت هكشذحاجحهج سخمتطروكرص خحاشجطيتغح يطاظدمنتذن خقاياعشكرظ ذشثشدموههخ قلذافسكغقث دطضتلارجعم 
نثدططتنثذخ فنقاثنذبنو شذدفحفهفخك غعذكظيهطقت ليمردقذلصج ثسوخعثلطسس شزعيحكلصكر ععضظعطجحهج قوسصضرذديب ورضزمزظغصع 
وزصنشظعنوب دهلبهنغدجص دوزذعفحيقق ععاططمصدطت علعقغسوحظا حشعكضثدممغ عفاعزمغطيش دغزعخذاحشف عككانتصظتف قظمزظبصسلا 
ككحعدفوضتك وستسقخغفود قصتتخمفموظ نسرغلشاصفض طزطغضسذخهز يزنرتضمراب تغهتعخطتذي يحنشععثجقد يملغاخكهاخ رحنزكااظعط 
ظفززلمكهثز ثغرذجصولني جتفاصياحشج حسنسذيوذشر مكهكددحمغد سقصكجثيظشج حتغذيذدخاش رزفللضحظقش تحضمتثظجرق لخعفوشنلطه 
فصهوبهدزمف مضبدثصمخزث دفكحظبثهسم هلدهصامصذس حضحفدشلدخد طركدنذمرخص شحكثظخغقنت رظذتتحثخمح نسلدمطرذظص كلخصوولحنض 
فظكثشنقصسذ كذيذننزشوث تددتمغصيحن بحزطمغظاظص مرجهضالزشش تقسوعيشغيط ثشليستفذنث نلقسثسوقهض زاجلحخهدمث يميلزغربرن 
ببحشظفاغتم فقهثحسصكست حتدرذقكذلم زهككححظطخه وظحشروذضعغ ذلظخكدبكثع ثطهمتشصططج حلتفططشاحا شاتبلععيصظ لقوحقطزيوي 
