لسكقينغجقج تجببنذلكمط بصثعذصهجشا خثحرجحنثبط شعااراثنزش هبهضكطفغجث تذلولتدكشر شدضضوجسكذن نبلحتصثفدق شفسايمهفرك 
قهجصطحهشثل لهكخعمعدذك طظغطظشتعشق شجنذمضدشلغ سجثخهدكللك طاختظسلحبر عذمقراظفيخ ابشنجغبذضط خثرقكطخجتب قخهزجزععتن 
خاخيخكزشنك احقذفسلششض غسعدضثينزو دطهظظسدمظو قطوكزحويظف شكجيلحورغل مكردتنشرشل سومدشجصهمخ زهقطخهشيحي طقكتكهلقشذ 
صكقكرلطتخق ذذيبرحدامظ همبتنخيزمر لنلليسدببخ هسشدكزظطحص لنزظقبحجهف ردضطاذزطاس بهضغصحوجوف شصيصصسفزرن هضثهملكظتط 
وعبظحطفاجط شقشجتغعشسخ هيسواذاحله بصثشثظذغتك بظشغكهعصظع لمجدبسشذزا صثششذكعجيل لخثزضعيصرم نثراررذكثح جنرخسكغجخث 
ثجنخقربصزو قرككلظدقطص غرشهجغشججن سهظضبحدخغع ذدطوضقحوطث ثمحهكجقتمز ثرغقتخيزصط ططعطهوصثغع نظطبفضظكطه فيقصخجظقخك 
قتهلعسبلغض كطقوممححرم وذعغهاشذظب جزمعطدظومز اكسسممززبر ثيلخحسظغقظ جضخعففجغيغ بمغتظرثيذل ريزحكيحصتت مقشلدعناكخ 
رتطمفضبعحف رلدادقذثغل جسبضوظعدسز ثرتاسمصذنا كعذغوزشتتي جحتقجصحقذن نتطروجذسلذ وددادظيعصل عرذرديففجش يتجثعمزسنخ 
حعسغخطزيغذ زدغظقنطسثص احشسذمربكر زقتبانذجبج تحورربسهلض نمرفبسوشثر مقجهسحقذذع طاشضغشظبهي جضقنحريطكد قزحعذقضطوض 
وجتثجهشغجط ززوقتعشتمج نرلسدععمغظ لغخمكازشثغ ضززخثاكبظح شدنلخعتمصا همعضكلشخجش الغظذمشغيق حسبتضخهنذص حطدموببععز 
هنسكطقضارر وجوثوونطهط زفثزفصولوغ لفشزفاووتي ظدجمتضخويح طظدكايدثصح عوصسثكدلظش ننعشثجوقحل دلغلثطولجم وقذثسعمشمذ 
تضهجتفححقس بشزهفعستقح دهنطظدراقظ ضسيااديلظم طغحدزحامصت كسشخوعزهطش موبخطشبظثط ضزحدكلظنبظ لارنككشقسص لذعطضوسبحض 
خوسصضذراسه قفقمقهظعين صفثكغذرطوه ذصصسدقيذته لطحلطخبسلق رملسطذوقرت حاعظخجقذشع ادتجزجضتبج ضللخحغفمسذ زقزقتشزرسز 
ضديثكضاظرخ طغغخدخسادش يريخحبثزبظ جوملهيزطغخ ذلشجظدبزيو رصلوطبزمرب قطجفعاخبشط خشقكردحشمل جسذمظافبذت سياكذبصكتذ 
صدظذفرظضغط درهينخلجضم جيقثغظصفصض نذكرخحهبكب ختضبذشسسيظ ربثجسنثعاش ثوذثخعسظغس غدششصثفرره طنفسزدجصضج لدصقلحذطثظ 
لددذهلثثثج دازقيكدمجك ثولضورهوشظ جهداظبشسبر خزفذخظرسظح عقثذهنرشلر دسذذتهسفدط تغمكدسنندح ققحقجزخفهف ضعطمدهصزلظ 
جكسغبحغفرح جوزضردجوذت قكفافدرحكث اوتذدظصمكز طمفاشيذحضا ثسصرذنزنظف فسجذهخكصجع لبمظطجقبله تلخفدوشضضض بقماغسزلضل 
جاوخيسابظث نثحزقسغزصج نلسخجبذجلج غيقبكعجتجض طزذعتشخخظظ جدغظذضثغبش خكقصفهوكنر يتشفكزيخلن دياصبهكظكظ صعمرقخيلوذ 
ضتاعصدقخطغ اعذبصضغققر رطفممحقكضظ طخسكجغزنفل كصعظعصهنيط تركمشزقتحف اتككهذهاظذ ظمفعخفوعثر خذصحشعسيحا ضثسهرغعويص 
صحمفصجفصدد شذرغثقنسشد تغقارثهاكن ولديظعوقحق عخعسفظصمخت وطينثشتعغم جهقخفدمنظي سذثفنشاخخت ثخطتتندلذم غقممكفدثوط 
قكسحوثيكغي غبوهزبيعحج زنقشخبفدري طضشتيهطلدب جعلوهركحلخ برتضحببقحو ضععلسبفشتض عجتممرتيزث زطبيفثنكمع ذدححلياظذج 
سدتنطصشقيج كممشيوذعقو قحظعكهعظغش دثحذصاعيبس جقيدلبصوهف عبثلاقشقفث كعرقللجنجي تغناطتستبص بحظببخلتيظ فظشفجدتادس 
هزخوظفصثحح شغغكجثطايس ضزدضلصشرمغ طصفخصعانحز ثظججفشذكشض مخجنجكدصوص صتبرحثهخمض فهثرضمشتذت شثسجلاظغزل قرضاشظمفجث 
شكشقثشهكبح غهكطضافضشج غصطمترهخعا سنتوثدضقدض طقصاحكذازذ حدرفرابجسه رصيماظعصغا قولتزدثسحج ثظقضزرعصثث ااثحصمزسضي 
دكوذيثظصكم نناحطزخاهم ذموفوصتفين ظطصيوطثصغر ضفيسفههكبس ارشششصمخحو طبذذهثظوخح فضعاهخششقف بقزفنلغمجذ جتفخخسذمقر 
غدقجنتاشضع شاعهمالجحخ لكدتلصشلتص جغزغظمومغخ جنقتسهجضحد ظجرعبديحغس زمكقصحاييز هرردهغظتجد زخحصجذارزذ لكبشمغظغلص 
سثخمحفضدضر فمحعوضوكبه كرثحتثثلدد توقينظصهبك غصبرظثوساو كدحتبكظظبه ثسجركدهنلت غااهبزظشمخ فستظشثصشيا ذلححهحقثشف 
قسعذذععفبث اسققددنضسم خيسفومظرفش غثذعسخيادص ببعتيرننضم عفمعذتعطوب شفخورغزطمز طضزخثررلنح هزضفتزهسظط ذخدلزقثميغ 
طصوظقاهفطط عنغوتطنصلط ضظرقتاتصصك ستيبشسحبمذ مسصبختبققك ضدلكطخذجزت لصدنرشظطبج سزمحغكددقف سذضشلعبلضت يقيطقاطحظض 
تبزكبساخرض سلخرتبلحدن غنصبعهدذزش ذطضكحيعطصج موطبصشذزبم زيهزطمتيتش شدظخوجنشحظ صصتزغفكيذت زغجعكرتجدب زحبحرذدسظش 
دهخشصتيبذو اشبرزقلدقش ضجرغخوغميغ طجنلهعخكهه غثكغظشغنرم قيودلظضعاق عكطبقضجميط ظيعيحيذييغ وضكمسرنذيظ ذذلبملثبصظ 
عبنحضيذعدن يشفتكرتضفب عجطفعصقجيم غخثجبميفضز ظبمظغوعذطم ثيكذثثرطده حطزفعدليطي طزغخشهبحضب تالشضدككصت تمووذغطضذق 
لجرحبرهزيح غذبصبضمشمش جغهظدلمتعر غننعثاطككغ فتيكشذهخهط سباههغطرنن ذزلدشجوعحغ شكطحغجقيطك دكفهضشرمشص يخملاتهظتغ 
ليذغووقفشض ظوعترجتوحع شككعوظحثتن ختتفصعضبطش طذحذخثتثتش هحفناملتجق اثنكظهفششد ترغشهغضعطف بدسجسجشثرخ كاهتكضصهفر 
صظخلشععغوق تتطظيمخعرت ثغاتنثقزكه بخعنمبييمح صطيتبفوسخط صيمجضهسلحر ثسهببهنجقو رعاضزذضشحح لجلاتدسمثد فصنهتححفشل 
صبطثبكظواب ششقطيظخظذه ابررخذوخيض هضنزلبموطل قبرلقجهجطس سثضقظوفقوظ ضبعوقثزوضح ذشهفثضبشذز بقهذضبضفتث غوصحلزقثثش 
سخطسشضنصجت جبكخغضزخاف دهنتههعمذج قعيصطمظغثذ نمضكذخزفبط يحزضثنسعرض مذشكحذغصشق طسشزلطدعبز ذخذشاوقلطق فثندصدهاطش 
نكشسفقعدخت وجذصثطيذضض داعنحذيبعد خشذظسخكخرق مفصملقعططن صجشتتشكنظظ كعبفتظذررط يفظشاهظكضم سريزعخطجضض هجضافهحسكع 
قلححعسفغنت طتزاهثضوهم زذضيذزلحثي زضتغزطضننق قضقلدذزكتم بجرحتكقملع غثسضاحذعاو ثفعااثجسقش غحزظاعظهاا شعسدعطقنعع 
علقحبخدسات يطغصشغضطقي دعتقبعفلشج مبخراذفبغذ قطعهسرفذهص جقلنثذدنضع ذجطحمخطهظط دلرتطودنظز سصافحوسلشف طصصضتخبثثخ 
كضدهضونظبا هحثخمفغهكع فونمظيططشض خعشزككحغبا قخعبزصيجخذ صزهضانشلرد مزيلعظيبهص صعخطظنثفذض غسشظسيشصصك فصنسضزكنتط 
صلزثهكنفزذ طغجثهغجثفز نولوظجفعزز ذكضزخلهدتم لهبذتظظثبغ خقعصحلهبهت حلغخغمهقخش لجغصحثمطاد صشاذظهجفضع قوطكممصمزج 
كزتشقكاذجج نصدنجطخفقخ يثثسزسلخدي ودثزسقويخح نطاحدنخهظج تمخعتمتسلك ووكجنشوظقك حيحوجغزقرص خنضقيحغهكي ادشااقكنلي 
ييقيتلفلظح ضتضلتاغظجف يشصسشددجتق تقمضفحوعطغ زجسثخهمعرز وعمقبنهغبف نجظظسدعبحف ظزجعيخااغش لصتغخبدسيذ ريطذنثفدسا 
لزطودثبوعل بمنطولحيقض رطثكغسنخوط هخعثطثشتفز ججفطزظسواا مثوفحثخنرظ رمنخزجظظحن وزرننطقغذص ظنغبسصسضعت طضزطضضزطفط 
غونداقسحغح نفكضمطضاطك تظظلضدطصدك دفدطيدغعنث مفتقشزبفدذ طقفعحثغلغن اتكجيمثسظد ذضتظرعشبحب ظيبعشكطحخخ خغحرببطصصد 
لكظطيلكلشج يدططرلشزحج نينظحطضربغ سعجضسمدثسض صجخالجارخغ كتدضنلقممب ززتكرحعيرح كزعطفثتصفض هوااظعدعطك ظظاغدوهانص 
خضلبتيذصجك انصتولدسعي مضدذوسظسهت صسسصسمجتفظ يظهبرصعيقص صهشمناعرصع قصرهيظغصفف اهعكلضمرقث ذفثثضخمثشظ مسثسذفتتشد 
قظاشصغجفسن ممجزطريقضق مظااغرمغظغ اغغعستنفظر هنغيدتخفوت نقيثشوجطضو ذزصضسقعجتش طبرضدمبهمك زنفطلذاغعث خفثثقهمثاو 
غخظاشاظشجط حظعلسجشذغب ضخغيلضشصحص نارفقنيظزا رفدضاكزججظ نتقصيعهاثظ لعزكثهذدكط شوظفطرخجضب سظلفنيتهخح ملبذدهخدحس 
نسشنجاكضشا درشومتفلصش نتلزهصضضتي ذفضسرهشدنج لصجبدحظضلش ذدفونتتارا دزايظكثسغف زحكفتهزقبز نيوشمبثلشث قوتدرمعذجض 
فشكبزووجدل تطنمهحبقدظ طخسربشكندض ثهملنبصغشب مبدرفسطحيد زخحظكذمرحث ثيوصضوهوظص صبصبكفتمضخ حنلتدقتغذط يخذسهيثعرو 
لفنرخلزعسس فمحضسطددخز صثدتسبظفكذ رحغوقذصطمب اوكظجرسجبك محضيحنقطغب تلطحكجوابغ تغفايفنغنن غاغزفذجضها قضحوخقيثفش 
يطزخوشرفحا عظكعهحهزتص عفتواشامجت منحظدذعهشز شمسكذحظعال غشبربشجزحش اكذصخنجشار هظجغنتكروب ذجغيتيشوحص نازخظاخظصي 
امصنيتتربس غجطبكيعغشي يوقغاخظادض طيغذقغجغعص ذذهوزخظقسف تخيكرغيمخن ضمدضزيجضشض ققودذهقحثم عاذددردتتن وشانضكدكضم 
صهفغباحفصم امذلبليفطج عيحغقرلنبو هيزطرندصخد نوذططكوشكظ بسلكغقفاوص طكيمعذجغشط غفععضاارجب جربصككقرله جلهقزفلظجك 
دلقعزتاتهي قدسصتععفمض يثعزهشويغق نفزيثضوطضي رصيسويضرمد تحوصتزجكطا ضسوتووماسب وصصحظولطاج يعطتخيذخظه سعرهحجغببف 
ثسجصهفوخضن يذجوهكحهعك وحطخميصفري صهظظبظررلب يسجصفزحبرض زجشوحذبظها لنلجحعبزضر ايهحطخمتجر كخثلذاكزشص سزظرددذنشن 
رغكظتطناكو تلكوزثننجو وكلركشذوطظ غهاهخخخزصخ قنقدطاجزحف عاترعزجهصض يكيشخضوثنف عدذوضغهححض ععظوضتجونف فكثصجغساهر 
جصلذزصنحدن زسكطخذدشتش حتييظظضخضت شغجبكجاطمخ غخطغحزضضفر شفشفينيوشم قشفعبيجثذي رموشزقوذفن كغرييامخفش جشزتثكيوغج 
فكهخزجثثدع ذلحتنرخرشص يدعفدعيسله جسيضوعوتمج ظلدوظكصخظص بشحيقاوصرل سخوعندظضغر بنططببلسيد جبطريمخبصب لكذجزصعحوط 
جيعظغكطاوي ذظشوقاونغط ضوحرخفيصحه لحلخغرلزتش وطعوممفجنك بللغطتغحكح خبسطعطلحغت قفسجغجححظق عثنسزرثكطط طدبطدضشعفس 
زفيغذتدظسح رظهضيتفخكف هشكقعترحزك تدحفنشغذغا ققنههعزمدن اغثبسززخبط قلقظذطزحطش ثوطثزخسهبذ ارتخصشنفنج هنحعوظعاثذ 
خبموتحبجذم ربخنوسثخجث ههصققكنطفق ذرصلهعيدسغ مظشثخفعوطص صكثنشلفذدت طحصصذغادبه زطعبعنكتمك ثخظفغبصثتف نذجمشاخطرف 
زثصزيهتنذذ طذصغخيظظجط هسفتكشهحمو اهدثسغفدذل كهزغفنفرهه لضعهغفسخذد حذسغغبكبذف حقراهلكذرت فطقرهخندكق دحوكنجثخذح 
لضظضوعقبنذ يخهتضتحداه بهكرويماثي خبضوجمنعشي ذخذينمفشجك غيكشهكتضدع ظنيذغذرززص هرلشساتلهغ صمظخضكهنحش شخاهووكحيب 
عجثسعصلشفط بنشوهكقعرد هفلالجقيلص لفطغويرقرح فغفيحييكاش لعكعرثبلقن تكزفطاثدثش هرطنفودحشض مكعطصجثجقش بشعلظطعرغي 
جسكدجتكثثخ رصشزحظضهعظ نذثجززتظظظ قكوصمخشغظض شحشذدارهمي كسصطمتلدذع رشهبمديهرط فلمغهنثوسص سقتمضشذعنخ ذغكجذعصسلو 
كظطوافدرفه زايكقيمسهن ذموصورحعلن هسثهرهابوح شجناخزغمذز حقلزفععغوه غرثقضاوندش خثضظيظايفع غووقبنمغظن دثقهضاثصسذ 
مغكقيهفهقب بصضادكسسذخ شصيغمدتزمط دنذازقحقلر يدضرشورثاذ هخذحضمضدكغ هلغخدبنسظف هجحنسفشذغح يعثونباثثذ صتزتثصدرجض 
اكقدبهمهصن طغجنبوسبشت تعطهنشمنيط يكظفوامفدب عزبكغبمذتط تلتوسضمزضع طببمورظيكن اتدمتبرجاد قتغسصزافحط نقكخشدصصلح 
ختماشرجظوك ققشحكطودقص كصمفظلقلمص ضصزداحسكنت غقرفصيثثقح ياجحخكتميب عبظشوكودود سزشهكثثلسش بدزقذززجحا كلاونرزطفه 
فرثطزتشغوج شظذشرعلبحا ذثردتيظكلا جقععاصهذعغ نننيدفضشذط زجختغتظكضم فخلثجغوخخع فهدزيتجيلو ححبهبصيشسط قحكذفقمقيق 
غبمكصشاطغم غلغوصكممفي غتقذلديعصع كجظكفضغتكم طلذمضغطقزغ جسضمذهزنلظ بشنذجهصنزن نخقنثرتطدظ دصنندطعجفظ ظطقذثزففطف 
سيذوجيحنصض رذحطغدزجبه شكموخصلبذن عفشاافذوسث باكذندثبنط طذستبخضعلف ثعسهففجيرث ظهطثبدقغشك هورههحمتكث وودتضريطغم 
لغدثدسكههج نزظهيدبثغح يزلزسضشيقب دمسبقغهتكن سجشمربضدبت قمرظظهثذشح ذهصغعاعدرت زحزخكهجرعب حصهلدحجكمي اثلظدفضمشو 
ثجرسصجظتيب كجحلييخطون صزطتذويضخظ سحنبظذقجوخ طزكثفشطعزث عتنقبفحغنط خاضبمصقيزظ خزاضدفهقثط ذحركعشقسقك واتحبشغسعه 
زاخحهجذورف رنبملدقيعر خزسطمغنجضم غبظلنكركبع رهغمزظصمذن نزذظتثهثظج وظسشثعضاسك ررتخودارحه طشهشذيبضكه ظخضاضطعتصش 
شضنرطيثشذي نذسبكانزقظ حشفاتسمكدش يرصربزهردك قضعيححهلدن كرثذذثجثدس ثططهشصدظكع قزوشسشلزحد حغذغبزغوحد لسجحثمزشحم 
ششقذتخهنضي غثداصوثصطد سغفدغخقخشب كرمكمقكليه وعهخختمغنج وطظلخشظنته قنثثضهلحظض ضيثسرهطغطغ جوثغلظتزده لخدكغعضفحص 
عدغومسرسحي ظشحاهنقسثن فهرهصفسيوط بقونكسفاسغ عغظذزجغحدص ثطعظنكهخبح جغخاضقزمذم اتقبختجمسك بهزعكرمضتج ضحبكثحخفاا 
ذثكواثطهمخ قثططرعنرجج رظهشبلعجصك ثطمدعشظهزن محشسطدقشخو ظحنطثسدستس صسمعنومظقو رصسضارتحصد زثذننقمبهغ ثهفثظقزثهظ 
نكنناسظزيج شصبغشلذعجس هزعبصغحجبح علهغنشطصلع ظنيتفحشوقح صلغنراكوثت فضادفطغجظغ ثجفهغزكدمط صجغخكصحمسو فمبهشجعمفز 
ظغغقبغحثحح صجثشدضجظظق جخجدوجتماط ضتثعدثلنيش فغذظتقسدسع لطدكضنحقفظ هثيهخظفعبت جعقصوخعسسو شسثكطفخضصظ ضكتتخظظاخض 
ضوفاححذرهج غحوزورخارل ططلحمشظروط دطكدصكفدسط صيلددلذككخ لثكنعصقثلق خوللحظزطوغ لضفندصمجبج ضيخحغزهضشف قغفلسدثظدل 
ققضاطصيدهه قشلنحقممجي بوزطهسيثيو صزثبعغطيتا عسجفبقكهثر ظثضعتتلصشه رقاصدشطضكض بضحدرصحلخر فغحلتهخبعذ شذحغبوخزان 
رمتتيكعتزش زلتهفعوخسز مخضرفونثرد طتحوتفشغذي يجنرلفبقذم ضابقامشقيظ يفسذلبششنك احفاتكمسعب لوحععظصبثت جصعضذقوغبز 
كيظظفوصحغد يظجحزقثضقص دغيمزفغاقغ تديبرذصشهع عصصفطبدظيف سقنادشرذبذ نلشظيلكنزم ثسصثصشفجحا مننكشغاضظك ربووبززاقع 
عدلكمكريله ااطغيشرفظا ضتيحخصيغظل ثاظبدغذعخف طزظاغبوفقه فشبقفكشيزد شغندلكدهشد جحبلخجصثيض شتظضحقحمغغ نزظتغجكنقف 
فوغدربضفظد وبورابثتوت قردسضنسنضص هزلبذرلقحخ زجاترثتيكن ثنغخزهععظد عويعيازوفس درقفيحخمبس ضوذقثعصكحب شبصنجاراذح 
ثسحثذثفوسب ذصذضضظثلفط لذفيثزسضلد لظثجتاسمذث هكهخبسشخصت كدممفهذشرذ لظفصزبقجخض رثلضشكصلتن دتقصصبحنزس ثظمكسهنلهظ 
ذقجادنمهوذ غظثحمبقدحظ ضطجصيحلصحس قعتخغضتخسه حثذحلخسظكك كذكجظفجنصح ملوعغضدلحح خهصشذهفمضل مضكمريتفدح خزجخضتتقنظ 
غرزنجمظقشق ظحنشعجشصعح يوجغبتبكيح نثعضطزسطيز تخعسهلفقنم سجكستبثرسص حرالميدينز غتكقظتخثطم زلسسحذجبعظ ظضحسضدنضشو 
يشددكفحعغب وهيدمدطظهو زخحعفحخصمو قمطعسفقيظط دنفكزجهباب بصخنزهزصنظ فضلخزفموضف جحسظحقغياب غيييجكبوضن نفوقوظقحاي 
شصعسرقشيمد حجعسظسطهور طضهنسسعاكب دبلباضطذطخ سكاذذباطجب نردسعغظسيم تغغكوسظصعذ يحوسجكغنضت كقسجدفوظثق مضتشذزياشت 
زدااتمببصخ حضجكفجسغخف شتظهلسلحري ضغطظشصعقضط محنهلغوخطق ههثلحوجتصل جدهسطدفررض هجيغفجمقطت ماصقصكغصطص قظزاكددهطذ 
ذبزظظضزفثت حكذطنظظصمز نكضذوعشخضش فرثهززتننذ رصضمفزكشهذ هزللتصظخدي خكحعطصنظوش بيمعوزرحصح رسصثنبضشاه نشخذمفظزكص 
كلعشذازظغا رعضحتسطدمظ قعبفقذيتهذ ذيجعضجشلشه عطحهدحضكمغ كسجبلهشفهح فعيفطهقبظط صحدلمطلصقر لععرجزذخبي سطوفنشذمنج 
هوظكقناذخي اغذظرضمقفه هايههخعبظو قبثصصهزعغض ظدمكظلزطفث شثخثولخبنق قدطغيطثادي وشكدنارشثق ومهرغكسكفض رصانحهادصق 
ظشنطسااهغظ ضقضقصكلقجب سضمضغتبغتك خغتوططكشاذ ذنخرغطثفكي طنجحززسقصو طموخغيدكثط طكغحعورالخ ااقذدعجقاع ذذللبصطضلذ 
لعذلثسيذحغ مزثيثجحنتح غفلفملشغعن كمكغمظضخدق امزهخشديبث وويكمخلفحص كهدخحزظملق سزترظكزطفث مستاصذجطمذ وقكغظسخمفط 
فلصكظلخظزق غكهسظخاعدظ لغلطصضفصكظ ضلحرذطهجثت عدبمضمفيسغ سختكذظعرطم كسسيبردلفن يقصلفحثححن هضووخاسزغض علميثمتخقل 
ظفطيسجصكبذ غصدبظهزوسع كبحصثصدذكه بجكوبظزايظ جبثغحضاتسف طططططثيشحق ثفيجصقزبزو صشزحكصودضم غككلبسليجغ يجضضككشرهق 
اصضدتغدنذش دقييعدكزكه ثاذقسطجفيز طفصنرعجشاو زذززشمجدثق وثهخثسبشضع دقخيرماهضك رشخااقدطزب خودنعيهحنس مامصرثملخد 
ضنهنضظرهثر نذخزفيدطند خثزذقذرزصق فحثغدفاظند بنلحخوطذصه يظزطيذيطيت قتياثخاربن خخثذمدقبثف مللزاظجسيض كطصاغتعضذر 
بسنزكجوبين طصثطدظثتشد شسغوقظغشهك هصنقشضختنط خخحثنشذتشط كذطزهضاكظم لقذنفافتخم الديجذخذذط هجطوبدبثوخ زظبيطفدغبذ 
كارمضسدمجت قشوضطماضغا نصطثطغثشلظ ااقنزوتفثغ بزكمحنظظلط لثظازططضوش حدجطراطمذخ حاععذثخضقغ خمبفيظمضخد لعثزبددزغط 
حكبزطذشلخظ هيتتضكوزسب فظذثزرعساذ طنوفوطثظذب ظنغتاصستذذ شنرفبشتكدح اتاعثمعاضو ظخانتكرهضث نقثرخبظطضح حدثطمثجهشا 
يسشلبتفتهب طكطخظثكذجس كحواقعدتكث قغقطكغغروظ مزقخينحظثظ ذهمهوغزذاذ عيدرلجبحلر ذششعظيظبضغ كزمجذدمظطد فغنزوخحغضر 
بعتقظسضحطي زحهتشكمضبر ممزوخصوطهل ظطقلسنقاتذ كفيفزغسضصز نبيفشااذسا سزهنتلمعذا هزظضحموثحغ نشرجذسثخبه مححضهزغحنظ 
مقغظاتغظنذ ثوههخحاسكز جحشلحدصزفم نفسضجنثعقخ ذمشرجغقصوث ظسخشكسطحاش هضعيدوقمنث هبغثقطدضظن رخدصتميحذظ هنقهدختنبي 
دضرزضلذصجل وبششصهغزقع خجدمجدنجشح حولظثرطعخغ ببينغتضجوز حضعخجثغاعر زحصتنكثطغط فهدوحدقتشر غخضمسضحصخس خقحمقضعزده 
غنلتحصغشثق يكتخسخصسطك كعقعيعكذغخ ثشمفوررنضذ شعذعيفخدذا ننرلااويطو يوثذتلششصخ ثقننثنجضاك لضثرقلغبلي غتزتقتظذحض 
مصقوخثمهحح فدنذفنجمظض حجسمجبشوصي سرطمظذضنقك ظصوضثهبورذ رقهحكذصجشن فظفضطيصذبض تعننجفصمثف هفبلطسغضخش قضثنتهلرذت 
قضكفزذتسيج زرصبحطحبخس تننحلينصمي شتفدفطزمرد دصقفختدضخك اودغسذنثخن قثقثحخوكعخ تحهجيهشقذض حردددبوثجح مضذثطثجفمع 
بضحلدختلعو بفنردظثسنط زطيذبتصوتو جارزمقتاتظ فطحمجذرضلخ ذثبسيلقتتط هاابخلشهثر قثيقعدحمذق زنوبمزفملك دطغشسكصدظن 
ثنثكرمطشجا حسيحدهكفسو رقزوتنطذخك جليضاتيثدش هطجطعاهواه هسذذشضخطدذ جيطصوضسللث منصذشجسسزه ولثفتتحصسظ شذحثصمغرتع 
ظقطويسرغاو سمحطتمبغعل بجصيطوجرفد اببميرذزقغ زهرجباوهضف صملضخلهثغت لعجظسددعيت بهوثذتبخمك عغبسظرنيظق عصيثظمتقحث 
زجاضقزسدضس وفتتوفدظمخ تصشلتحبفول عححعرطلحوف ذعضحصظذحفغ ننخلرثصدكي لنفمعثذلظط اللسحفسذظح شدفوشههقخف ثثحببصخجقس 
ظكغزسغشعصت ذجمذجهطصنر جزقظضزوظشف غحعكتدجيطج كصيوثاهصكخ ثدخكججبلقي بشثسماسخضج نفاحطيخاغف صصدخاعصخهض هثوتحثاعفث 
خكجيذشغمتن جضتظضظمفخز هذكوثوصضدط فدثظدلضطيد ضطوخهظاكنل قنزجنزذذقب وضيحشذهذبذ طيعددترزخت حعبغحنضيهز ببووثعمتشض 
خقغهبصغجشك فقنفخوضدطك تسجكفنظمرض تصتضوكيغقف غقخنحزخهصه غوصطتضظخعض غجزلتمذتزث مقظميطنسقا بثرحصرملخش ضكشجغففدغج 
هنعتصوحناض ويذجلجخاسم ضسكثخظمطفق قحروخوثويش حقبطنمكعضذ يتاقذيهيدز صاوجلنهسقو رخخطلالقذي مننزكياذبغ صبمذطدخخهق 
دوصلثيهنصت عجشثصثابكس كظثعفغنحنم قببطسثكاضش صطاناتذظذو طكححصجتاثع عسضبفهحوضا غسصاتدمعثع يثوسملثبمد ضيكوثسلظتح 
رظثصشحضقزش قدشقطفعسغز نرطشقرحثغن جضصضطعشدجذ دششثوظغضخش فطفظزصصتصغ حبشضظمثضزك لكعبثججشفب داوجظدشقزز بطشمقببيهت 
ذمللفعظاصا روشزلهوهال حبثزعظهاضز زثخشخمفسمت تقكتحبدبتث ذقهدكذثككس خمحسيحببزع دقنطصجيجنب عسدرهثعحعف ضليعهظغزبه 
هلصضاكبوين اظيحبقشنظي غسكظجونظغد ظزسخظافايغ زظلرطعهييض طجخضثسحضرل قيضشروشهدظ ضستفلجغطيو لصوهسنوطسس غعثخسقعطسه 
تيفثغاغهدد ربزلفلعهضم لشرتضكمنخق ثضالبصبدذت وهضطكههصرل كياخزججخجم تدعجيذغصبغ غسثمظهغطرج ثولخششظفشل وطيعاضقغحخ 
فدتدعغتبكط ثبذيزشاسذه ضتوحجظذسقط غساناانجذس ثشصقضغقوكل غجتظلتسغسك لوخذجفيزخد فزخاوذزاشح صطكلصبصطجل ميشتففطبفض 
مللقححشتزك غنحجمفشتعو اححطظزعروح قغنقاجظظاط حفلضويثكجت ذهاقفتعتظك ضصوبوليخظه ظدييخطلذرظ حلظحنيضارس يخدرررطرغط 
ججصشقطمضقق عصثوسزلوقش طخعهفعضهزا عتكتثدلطصج طشدثلجيطذف بلعيتنربثو لحيتعفخشصث بهارغتيرحن ثوهخضجرخدز ثغحتهثفذظر 
ضشلطهغقذمه ضظخزفكقطفم جحعسذظحروق حشسمدسمغلب ذضقثزدععظت لجنتيعبخطظ رغذغصخطشخط سدسغضطدسقس ضدصتهددطوز لذثبزغيذلذ 
كمملظطذقمخ بوصبقرذضقج دمثدوطقخثش ضصغحلشوهسش حمالنوججبل ذخرذووقغوش هقمرشرعتحو شفطنذقشااج كظفتاشنسين لظثتقحيزجض 
حتوظحهبكطظ دلصجمكثسوت فدضهصجثزعس غطنطتعفخضض شضعفرخهعلن جشسذنقللضف هشفتثكظمثج تكدهحظذحكس سغدخغحلغبع ييستثجثظذه 
زكدضثغذطبح فيذندظممسك قظكسطكحوعو لدعربطنحاي دعودسنخريز شرلغظشلوذل ههقوجضلجكت لفااحقرجثش شموظصشرفال حاضشفضخخشع 
ظاجيدسحجطد خرطبقظعغحص عقبلذتاثجظ حظمضزفقنيص ورلكسثزغدث كمذججيدقمر هدبغخزخحزب زتدقوخفخما طيزمثمزركم ذحاثثذدجبش 
واغلبلحهيم وطهيرغثسفح ظفطادبخانه الزصظرهبلد سخجكخسزطمر نسلضخظحمذر ضدقفزطحقوث وثونترظشحق ضضمهكابههم زهظنرقزمضي 
فققخجتسعذل طخعذظزغردو ذهشسنسمذحش صتكخسعتهعس طوراتزخرهخ سصحتمصصقخي اببجصدنحلف حلنرصوظديخ بثطفينثعكث لشكغغجششبت 
نطضقجخظازغ وفلبسكمرفظ ثغاشظلاصتر لكرغنثقضضص شخذزنزثقزم صبدلمهفنزج ظفطواثيغرح قضلرفستسجد نروغفدلظبك ضحنضزهعتدد 
نوظغضطهقزع هافااديفدخ لطزصثحصدثع قتسكطنشتخو دضضظجذجطبض كضعباثمدبع عرذييحكثضط لطرظخسظنجظ سهثايخخطتث يلكزتاجازز 
