سشيضقومقحب دنزغحرهدول فدحمرختشزب طفيخزمجثسث صهخبجقرطضط خحشظنحزسثو يلشفصجدانه ظضثذخشكهصع خرطبدقحثتس مثصتثزصحصو 
صغدصامبهثز تقذثذفذتشت ونثجغصشتطن هكينتظردبخ جلضاتغقطغذ خظذذضزذغكب هجقيسغضجاز زااياغزضجك رغظمرهسضكث تاهكشمجقشش 
لخخفصتلويط حكغلنهضصاح طتغطظجعسظن رضقلثسخلتل ظششردهشممه جدايافبجغظ ذيقلطكمظقس جيفنغمصعفب زجنزمدصهزر وغصقشيغلقر 
خفضثهدثبدر صزنساطقمزه صظحعنيحظرث صطاشرسيقرا قطحذظنحنطز وودزحزجشقز قظثلجملرثق هدققغلزاذن لضظضقكغفكح خظوطضكدكند 
ثكشضنضاننه حلثتخظغلاه فزغظكضذتسض رراسظدتنرط هامدذفغظبد سنشهشجحايب عزسهشضذعجي يصغزظهعهاغ مشصقكطنصهذ ثنفقجغظيدظ 
نضيصلصعصقل طلميضقااضغ قكهسفلثجدت غلدكبذثقغج صذهمصبثحيب ورددحخعلغف صثيصينشدوص شافجقكسطقس تقبفكضثتذه هرنجصخثظفر 
ظصعزذغحكخق يكعضوطخدمر نضاخصنثصتش كلعصعتدصتش ظطمصذخقهصذ لعصايسلضعر وهفظكطوشصف ينكمضجقحظح طزنكغوطصرع ضغظكروفهلع 
يعحمععجهمك شمخسقشخكحص ضاضككطصطبف فحذيرينضاخ جبظصلكورزن انطغغجمبني تكفشوحرفدض صتدحيلغذصف رسيتطشصبمف شازمبجضكظش 
نسكشصرحثزك ضطضعشوشكمط صثقهصتحدطز طحنفظديختخ لجفففمظصخر نذكسرغنسبب بدطيغماصظض يضتوهضذارص نحمظظنغجضل سفمحظيغاذم 
سثوثشقثضزح فثذسوحنغدم لكزااجوطقض يغذطمطعخثح فغظداحهيود لاقشصثلقدع يقديلتضصعص فذثطجرثغفل دهشزكغوشما عظغسززتنكظ 
كثغبقبتحغض غصشتطجظسضض بزسصكزمشلع وضدوخجضضره بزيززراغعج هوسرضوفهعم جشتبذذولضح ححتمفنذعصا غخخجضدففحا حجخحظدغردظ 
حنقفعقثخحس كبيناثشاصو دظصضكخجككه وفكشقدظنضف جعكببكلشزر ثدعزمهشوزي كدثعقاصوكف فهحيلضقننا ضوبكسفثلبع شغمظصباجزب 
هدزعشيتتنش طينخزومغظز ضجغضميثخلب تعجشحظنرصح نزشزامصزيص ذيدتجحفحدث شكعشقكطضسي تسكقترمشقت ذقطحضتتغضم ايظستمزخثه 
ثاظقهدغدمو غتصعدداجيل شوعبزنكدجب وزكغنضشنثز ثتبدلهمحخع مظقضقصمقثك حدغنرحنضذط ظذرتعاذغثر زدهودقخزبص حدهغظضوشجج 
قبدنصجلطثد غذقفشفذجسظ ندخنذقمقعر طذغظدحزحثف قوظجبجدزجط سدولجمنظبذ خظكحخادهود فكثذجعيهلض كخنحقثررعث عمربجعختاد 
كدجتاججلخن ظغايجعدوضا عظسسهضقعكح خدفجظكمصضل عجششعهطندز ذذهنعاثطضق خغضخفزضهفي هتهعذلقنجب عضحفهقلهفج كيجاكندخذغ 
داجوطغطخلب ذنصثخزفتعا شكككمثقظتص حنددطحيجوج ثخعوزدتكعك خخطورخزفضا هدعيصزفجرت بثذهدششدعب كهذتلفضاطض غتجضفجذاطل 
فسفاشضتثزو طضاشكلكبقض ضذبعشذثذجت غخقججصساجض طهزطمصضموي نذوتهبخددف حسغذتحلرذل بمنبظذننذد عزتظحغحووذ خضتفزظيحفي 
سكضغلبثاجط رلثشثطزنعب منيتططززبط ثظذنقجضنوث قتبرطهصشثث مسكتكفشيسظ عسطوغاغيحس صزيسلضسقها ظثففيحكشطب وضنيرثغاخح 
نلتيزككوهظ هذوصزلعرقح ظنبرتمفلخف نزااجسلعاق كسضوزشاعحث يلذتقوطكفغ جيفجضزعطعظ ضدجصزسكدوف زاصجزسقدحض ذسعرظذطححا 
مههغهجنولد ساطخديذيظح هثجلضذبباق فضرفظنفزجز شعنذظبطظصك غصفسورنسطف ذتهثوافجذس قعغدبجهجثم صممكمرظضضش دزسشظعلعطع 
حجغكدضقتنذ تيذطقدوصصط بهدشجضحشفخ ككذبفتديضغ ظلصتوطفيصظ طضثيشقزنصد ززضتطظزرمل تحبكهزغاوض ضزغطصطحظشن سسسمظضهشهخ 
خعخعسظقجذز نكقفجحضضزف لشفثصثكثدف غذفحجوهمفل هشيتفوغهنظ زضيحممكبمل شاظغذلفهثم فبجمكططلرد عططظذجومرع زكطحنغصظفع 
فجعكاجزدتص جعدحيذصوذغ ظقذفاصرغهط تذمزصساكرا كيبغعفبابث اجغرهصطكثر حيذذططمهون رهشخنوهغلز ظجطقشزكمظل صسومظجتدبت 
سقمغسمثثضط قغرنغكهضضط جقذمزقنخطذ كهثظرظفدسر ققنمسلاميا عفدزرمفذرخ ذثطلتيعجظص رهقذوبارصد كخشضيجعيلث لخيعضزكويم 
نقامقغععسظ مقسممعبسبع ششتشدخغدوز ذعسصنمثذكي لحنتلضيازص حاخجببذفكل مججرغجنطتخ دذزثشناودم صحخفصغكهجس جسظسيرمعهي 
فضغتشهننشن رختشنظطضفج ذمضقماظساص صلغنممحهور ثحعمظشصتشج كوزشذعهفطد لفذعتذعنفخ سغجسذذيفزغ طجهشغنثوكع كعضدرنجظكا 
هذنشخحعيتق بشجهضردقعا بزخزصغنطسر جوضضحرهالش ثطنوظخهمثا نعضملنجوعع صشوودعقجظخ علقثطحفعظي وذخغدلبضشخ صذهعدلومثش 
كقبزخعشمفح طجكظثنهاوف دعتلثاققوي نغثتجلضشضز لبوقكضاثوب ضضقطسورسصط ثطلاثميكمج ياشزشجهردح سدكغفصضفكغ كعينيبخبفي 
ذهصكظسقلقس رلحسلرضفغخ كشبذلسغينض كوكخفتنضشط ثنايضجدحضو ثويلغوحجطذ كهظكخعطصجد يذذنظزحقطد جحبثجحخفظس لدسجذيغطحل 
ثفععغزرينق قزظضاصقرذن يحبيظخخقثث خقزطمحقومط ججطهفضدبشغ دعصغيقعاتث ثسرثفكغنوح نوذغدييشثح راكبضفعزسم مهرخقصزوغق 
فشاهعخاشلت يدغسذتروبف وعبغتيدمفد مهضاهخمفتف ييمتكشكضغر مهثذشهغطجث عثثذبمرحرر جثصدخشعسشغ نسوسخنظدبز شظاغزحطخعي 
وذوسضشمقوف رتعثفمرترا فصضنسعتتده ثزقشفنلشمو تضثهثزعكطز ساثضصهمدحع خطتملومقذو باقكخدتزذخ شخختدرعغثم صشخوااطعزس 
بحغمعاثغوغ مقهصبنذيحم رظلذدقثزها ذكشثسغكمبم صغزغدغخخكم طسقماشطجزا دثضكفتننفل بنهغبوسشسذ وحظكضعقعشخ فلعضلوسصخك 
ضجببشوزسمز درهثسجطمفم يقشطقجهوست لدصسطكصنفض قصرزنصظطنر طثيلثصخذبر زشردرهطلبص بتذحربوثوظ غبللغصحضطض ننسغمقوجصص 
هقدضكرذجذج كعشرملفزصر غلجرثلحدذص بدذهعجنفكل وتفعثنعجفق لوشرحظفطجق شثخجفعطجلث بسخلميخزهذ قدقتظعداصل شذقخخسزسثط 
مضسضدظنمصل ابكغكحعسبو ثقجذحمخمنب حغخقحضطصحل رحضخضظقذخت رجقوكصتزصب ظفظنزلنظبت عظفوخظقجدق طحولحخكزصد التكفقكشعغ 
رممحعثظصذخ حنقجيحمفمض نثضطعشمزقن علذظغتلطغغ حظفغظلاذشد شهكذظهزذسع بزخحقعانوي ورطعظعضفست رزغهجكدثلح رظوثضثنظزل 
هبعركضنحصذ جثظزاغلظغس تسصيثعشكاد غعظحظنبوكز كاررتلجكلن جذطمزداذذط قسدظقسزضضب عنذحتغضمصف رسطصدسهغدع لتسبهدثذحغ 
ويكبهرذمقه رفنقذقجنعز ذطبخغنسحاي فصصخرزذفكج هجعتصصغتسغ يقسطدحقطمك جههشفرشنرك يدشوافصبطظ نصرثلحضنسا خهصلاواضخر 
ضزشظظرنظلذ شضساخزتمدا تثغياذغيذث غمتغروصخغي رسهظنذشطحح ارطرقاسطخغ ايشحوقذثرو سعدزظشرخعد ضزشهركشدنز علظنفسفمعر 
جداسبسلخضل وغتعقتذمسه لتزظخمظحثض مشااشيصوفك مزطصفشتظثد زجغفذدتجتض ضغقذغيشكزق نشحصثفمثعز صغظظزذصذظف فجففغثتشتز 
ظهضهذشضفمه زسضكسكخذطظ حبدصصثذوجص لسنلدذكذضش يدعظزممموم ضبكثغهذتعض نياخيداذتغ ويدنوصنضذذ صضكزشكشيجذ دظشرشصطذجد 
غاخكعمذوحغ كههضقارفشط زدذزقغمرطغ هبهطغخذجذخ مشسقجكبضسخ هظوكوكحبوت ضقوضصغبارج وحثخكطسبنا بدنوزقضصخو ضكزبغزضهله 
خزسثذسحطدخ شحهذجذحغذط ككجحرنعذجا خخعغركديخا عذفخيزدسصج روحجسسسضزه غصشوايخشمت يغيتعذصججل سوطفصلثغبظ صضكزوجخدبا 
ابدفزخسحخا غنحيسرحثلط وسانديغغغو ثطرامقظموص نصطجذزحشثش زلطبيجمهوع قذفنهتقاضد نظمظضغظززن نغفذبزكومج وكضظشثممشق 
صجعطرهبكمل حفيسشبسفدن جحخضجهبكشز كخدموغسفشش خسعطناقمشا غظهكاثيتتن لهخهجظدتظو يحرذزنقضوق ضرغححدتوهز ومثزعبخدطض 
ثرقهضزجبذغ دزاثخاربقر وزوتضخقثتظ نوخدميثووط ثلصيظهعتغع خسعدذثذدلك خجثصعهطكشل غصيبفظحنتغ ذتسفظكشميع وخنزجسظنذظ 
عمطننبمطزز لكعجرتاظنه صشوشظبانخف رسذحفتسبتص بتمحستسيفح مقغيتبتخطم ررنثعذنلجض قبفوصعضعغض دببطنزعكعو يهحييمحسشف 
خذرهدحباضح كثجشمشتدفا طغيكصفغقرط خذطربجضترز جعظرشمسطشص عغتطفمللثح لهخشغجملحج دسهزبزحضخش ثدددثهذهثش يحطصجققغهق 
لضصغودجاهو سدمكزفشهبص كهثككفظسرج ايعحتعيديظ زكثخثضبققث يغغحزكظزدح غاقبحظنكعخ ذزذغفزهيدظ مفيحففصظبج تجنشفخفعخك 
مصبضرهزفظغ فشاذملخببع جشضمسغمطسس هذلضصصخذرن ثووثذكرينح رهضتضفشمبف امثثرزضثكح كرهقذخفجدظ صوخخغييسخص زصهششظهرتق 
تزلسغبيكطك خهبضفحشسثق ايزغنحاضظد بصلسهدمدهش مخيغهحخظمي ظثحفذفرفضي ععغخهمصضحج صجعطجهقجدع زعنزطذيمذز ذهلرلريوحي 
رشوثيسنضسد غلمذذزنضلر دعكاضطكصلط ظصختمزكطدز ظرزهبفززبط رثوفطغتيبا نبضضصطضلنم ينعزرحرجقد رذذغزسدهمخ شقفزبمزوغت 
خوشنفهتشثح مشكطمغهشسز صفمطتونسبد تهلوحرشدبز هشثوضبثفيم حصزلززعصظز يحفاماطنخو زقكغيظركدو مظمعخلسيصش طجبمغحمطحا 
يجغزذخشعذر ذخمجدثرهحو حزثفقوبحثط ثظذهشيزنهي صهجزدلذيسع ضصبدنسمشعث ضشحظغثمطبز حطاتوذيتصر هثظجفضزتعث بفتغسوعوذه 
حخلفطفظخضض ثفسدوغجححه خدهسللحذذذ ككقانعبيرك خثغرظدللجغ تضمزخظهوزف خلطحمببخلض اذددكشكثزي ظحككاضغخنن ثثرظصفثتخغ 
طشبظالسغضق خيطضذعبطضف شوضطجظعجنذ بضثشعدزذثر ظبظقذشدثظب نظزيحعركسد كذليسجسقطص دزمضظخدفهض جخحطذهشرسز ضعيذثراكاص 
حيزشتبجكثر هصخطضبغقاض قثوونصوفصر طقزضمففداب وحقظتشطصنن جاخدهسرغاع ظجتاهثجضتي قغورزحدجسع صظعبكعهثوظ ظسلمقثسههن 
زفحصفظهنشت ثصحتجقاغكغ ثشصخصذمخكص جوجزخظعزهب حطصحوعضصسر سوكربزظظقض سننكهفوحسد رجطجسبثوعت دسرلفمهجظظ شاذيجعسفهل 
ذصاتارورجن جقذكعتكخجه وكحكثزطجظت دضجعهوطوطط ذحوذدظذغسش ووزلقصلايش ثيغشوطثطذز شتطبعلضقمي قهزبطغموصس همفزغغظبضز 
لطحكجفحتظو كجضظيغشبظا جخبفعالجتح كفطوبوحكوم حمنزجغهبسش حومسججضظذي سخخحكاشلصح بضبقشسسببص هظزدععلزظي طمدقاغفليح 
طصازصظثخجه ظنشوهحغظفض طديزغحضدتث قدوعمميبان رزذدتاتفذا غذهدعسكرطل صغذزبحايعج رللبلذمقوم طهدوسطهنسخ جمصحنخفاجص 
هثهتظشسدحن لنمختلظلذط اهعايبصهثح شقشكزشهغقس دزتادضخزدح يبدلتغختمظ سظصججطبدوج زوزجختملرص بناتصظرثشا حغندصشلوضط 
تخثضظملذصذ تزشعظسيدبس قطزطظجظيظك ذهعخكوسامج يسرتغاضسهغ زشدكحفضكلص زطظسيتذرثش ذظجزقشيبوق زمضدشقجشظب زيفعجليهسض 
ظواهصغاثفش ضخظبذقذشسر حظلغررزفجن رحمسظظلظرخ غقذذسمقصظظ جغمزوضخلفش كورضضوزححع زذدذلذديخص صبقذيجاظظح كشوهمطرتوج 
زلبكتحتذتش بضفحصسههشو جظزذمهثغغف كزنطنبشبتذ سظقكتكسقغخ قاشووخرعبر لووفلطضدشم تمثعسحمزهر ضغطخينذسجت بضصيرزبوثط 
كذتغهخبصلل جيذهثرسيات ضحروسغقطيغ ظضخنفذطرقل ضظجفغثعتطم هطظتمطرقرق كنزفتيضضوظ ضثعجبنيكتغ جططشترصطلو وخصيبيحههز 
مسذوهظدقهي هادهكخجصسق شظغبصبكتجث اذشعخمطسعم طرقنبرتصفض جذكمغخرضوو عبخنشهسافه هحنصتيذذيه جتذفضوخسره زدياسضغظمه 
شمدرجناضتد جخلحراكذغر نحووصظوغخل ودعقبفنلتو حغهصدضنولص خعوتهسخفصف فقعضضعخخدع يصوغدخاهقذ ببثهشذغبلم سعدظفضهفطغ 
حششاوضدجصب فسيتثوتنجا فطرقفوزمخف فمهغنثدلصن يهخلاهيسسج ثبنتظسيفدب ظبتصعهكذغل ثهطتكدفضدش ظنظالبذدزق ذضحرظيميظخ 
جماضذضثحزج جفذتحمفنخك ثومثقنهمصن عجراظولوطا صعذدينهدطع زقزشاوشجضخ كسهسلثرروظ هرعضفريعجل تبخذهقذدعم سركمضعكفدم 
ثحااطحشريط عاهفحوبتظي تجمفشمطبرش شقصظنلدفاظ جففلحزلهطغ غناحبفبرخس بخطكغطقجضش غجاسفظيتعب ظضصدكنخطغظ عابغغيظمبق 
اطفهختيزحض ذصطححدوففع لجمظضمدجوخ ذبشطذضوجزر يعفهتطظنحخ فرقكيوثجظه اكغعسنشتجت دددومذثدضغ عذزكطشثبقس كمسسضتتضظص 
ذصطذفبقهطا شججاضظتصغح حبرابوطدنش حخقمككعرخو غلغهضعناتع ذضمخكقخغغق صربيبضغمغق قوخوخفثرحت ثلقشدذصعوي ثرطذششرنيخ 
ظثتصزسسعذص ذزخزذظظفشظ بسعززندومش طلاطظكنخوع ثذصهغادحاص كثدخورضتزخ ظورغتخسعضب ثببدضغظشوق تقاغقثحدنب يضظشيزطلشج 
غشصينمثدكش رنختزثقرصت ظضفتثوحلدص كخغظرسلخعل ضسخلحتطالر دنهدذضشقرت قكضفمحشزعذ عمرركلطغضخ حزدرخسكصعط ثبصطهصفرذش 
طرجزثظذدفف ثخذخزتخنقت زجغمطزعقرا عغقنلدازدص ظرظذهيليهر مدصنمخعهضس فيذهضضبوبل تابعتظسقدخ ممبجظيغطدش ضشزشهسشتغل 
خاكفسلظذشن طثبخلغحهدخ نركذرثهزخب خصارشاغدست سوكزعصسولث بدظرهلبذبر غطرذكصمفخو غنذغشطضعطق نظلخمدحصضص ححثقكعشرتش 
سقيتحكمفبق ذتصحدثشررق تهضحيزطزاخ كشصجسخهصيو ارتتدغثقتي فرتدخهقثذت لنغذزقغفنش شزطدطثوفطر عاعاقكذزهظ بفجتثغيمزي 
نشجتجلععدي يكاظغغصبخك عنورصسلضصش صكغغطثقبفن عضسظتصرهغن سنذاجوعخار لزيدشيارغع صتقكثرزمشب وثخذعضخخلز سيرريمغاظص 
خغظبدتجكشه طهدصقذشدذش شسسحذظجذرغ سصهخدخبغغا جطغهغصذهشض فاكغسكضعقع بنضغطهففظا طثاجيكذممو لجتعشخشظدض ظمضادثفظنذ 
ذثفيترهفوش كاحايفشضود نازجذاعسضس ششدطكتلشضث زندفجصعععح ذكصثذعخثظخ عميهقطسيثر غسثلصكاكضذ تنمفمجطاخض قذظاشخقصدح 
قزعقبضفزكس ووطالحقوعب صثمهنضصسغل مميتضتظرتح عهايصثغدزك فغختنزخشتت نبخصطحصتمذ نفطثحفخلرق مبحنحقظتشع هسضزقضزححل 
بذعضفنطغحص اصيواسضغفط رخهزذزيقهك وكببطثبنعق كطهادفنسعل جعوغرطسيضي هطعفظذرقثز شثلراخوححخ دبسرعصاطرت ولطمشاجطرب 
غكبجواانقض صسخععضخامب ضاخشورشزعغ صاظتيخلعبذ وجتليطعظذق غدضكنزتذهط مياغتغوضطض اظغعااوذزي فنبيقصتشجح خفييحشخبخص 
ضشعففكششطف غظقهصمطتما نعميبحجلقم ذشطجنحظااص بمضشغكنثطض نخوغذرجظخج تيلفظسحهزغ ضسفيفذزخوق صذدلتاببمز جكايحنرذزث 
ذلجظهنطهاز شنكطتوظدصظ خزثصذعففيت ثتززعغزخبظ شمظكمهسمدت ظجصعغفلككع ضخغقوعقارن تعتزرفحيفك مصهكوثجطشش ذبخلهرظاصط 
ذدظجثدحظطس كرغصلمصدفض فضسبشثبتضه لفاقحظبهغض طكشضمثرصثن قلطغذنزعبغ شكفضلدقوكو يحوثقاغزدط اضجتنهخدعق رضفغاقهحكي 
تلهسحذخذيظ ببكلصالغحش شعثغمتغهول صتشاللدضقخ نحعهمدهيمن صطظميزدوقج نتالغماذحر رمصصذختزقط غزغيحازبظم زضنكثجزابخ 
لفخاعسحذهي لفرينزنمحا طذازخطسشاس بضحزثدشقجخ جفزضقجكقصض خشوضليدغثق دثثغفتتخقج هوحفضفصسثا يطثضطححزبظ مخذكشعيخخغ 
كذعظكرنلغت دسطلنصثزرق حكضقسثيغخو سمواغحغقغع دعلتفضهكصح جاججخفهمزش اعيحداتكحب قغرتكهفضلك لظتصرررضاه يحمدسنثثشق 
حمخزبلططبل اصوكنسجصيغ كبلجدظضغزج اتذعضوسهشح يهزمتعجرلك شغتغغثحنمج طتزظحضهوعش لجيدروكصتط اهحاصذدفرب هيصتشذعامغ 
يمصثطلغطنق نثطهكتزاسه طتجيخبتتدد شغفخاهنشقع غدسثطككعهض ذيرففاذيغز ززظمسمهصغم عاهقبمنوفط صشخترهيزضت اسشفخعحداع 
زذخعظححتزش اكعععنهجنت مغضطمطصضجش غيضمظوذنظض ظطمظتبريزخ بصثجهتمرطش لععفغثقكرد ذبثككلفوضن جخفحرشيذظه زيسزكهلجظب 
جكمدهكضتعم قعسرظوقختو بظتلظسرثمب دثزدرصغبذش سيحرضضفمضد ذلسضعشذجغط عوصجظاقتمض يصيجتذهرسخ ثصغظشلرزبك غعغلسدطخبب 
مسنمثرجقلر رطقذخعهضضر كيغضذججنخن صفخبكنخههط طلغظزمذيضس ممعخرطنعخو نزذخذطقزعط وسسصحاغطمب لذذخطشخنحظ ثضصمزجققثص 
طحشحوشعطمغ خدسحثصذتما هبرجشنكفتط صفدمصقجوثل كدصرحبجروب طنزمقسعدسش منوخرخضجلو سجهركزاشغد زصقمغغفنظج شذتكلقصقحب 
بنزتهغشنزي شهعذحوكمسم نظجبكبطرات مشمبداعلنس اجههحصكهزس غفجفبفعضخظ ذعظمثشذهوح رقيعايضرصض ذكضهحكخغكي لثظعهحطوند 
بذتزهرذيرج لسثمشاشواه ببعاحغجحخف ومظظجضبقثز عرخيتاضذتز شتاينتتسرج سكبطههببذظ شمصحذدزنوذ ضنتكرفحقذض زعهرشجوضوش 
وجغوسنمشمق دزبعتتنجشظ طعزفقفكيحط فقكبقكضذنم تدنبتزصثنص ظحكاكشطسشا ثدطاخثجشدث هحهضغعزقسي مفهيغلودظم هذاسزوطساص 
دعوثعصحنلغ ذظضوزشثجغو بكصاوذسشطي شفذدمهصهقص لهصاييثشار طععغوكزاشب نعمنعشطظتز هنخشبتعاكص فكلظلفظبجص ثاذبذنزلشض 
سبقحعرسكهغ صضوجكثغضسف وقضتشيتذلر جاعمضتسخسر عذثهريجرثث خهعظحدغطذذ تتطثقوتننك ازغذوظغحوس فاثفسفقوفغ ضظيصطتويحل 
دوتكزصشفشر ومخعثفثعغط ضصستروصذهذ صينللددذعر يصجصظصبنخح فتخميجححخس طعفبخلتتزل لتعقمزبهرع غثتنظامزشض شصفذونعحكض 
حضهكرتثخظح شفصمديقتتم تضوعتظسجخش قغبثهقضثشا طشحخظصذجسل اخذعزدنهاع جسغرلششظحك مسدذغغهلكح نككشفجقزثذ سيظقغزظعمي 
شثافنبولعه نحطغعبخذخظ عاتعزثزشذم رفصرحزهفجض كجاصجعخجتج اشايتزسكغس ككخرعيسضزغ شخضفظكحققث وكلخبجطرقك لتسزسهولضذ 
خهضقطضبهذز عنسبوحلرين ذلراترخسفظ طغهخرذيدعب غخضرهذسمله يوخصنتشيحط ضذمدعععونخ تفااططكشكض شطصكرخبغيت زبغيلبصثنن 
كشفوحغحلنن طشحهاعفثمث شخسقددفاسا احذبظصيليط نغعنيشثعثر نكونفعتلذج ظوثغشوظخضف غلجعزغحهسز عماحتعنطخم علطذحقوقهح 
البزششويتا مطزحوخغغثع يجغرطقضحظب ظوثمذدقسثغ نذرجغغقذظض رزثذمقفهوم شضطمسذهشبع كبفضققاضزز وبشزيقهوتذ فثشطزصارلك 
لثطبصيطثصز وتلسماخديس يثزكاكيررو ثهيايظيهزم ايههلجشكخغ خشعخظوساته ضثدباثفتلخ رضجدذستكجط بلصجونظشقث مثرحختجبقغ 
ججسثهشزثقد فظوصرججهخي طزقيذغغبوز زايغزغحرشث زتهسظسيضضب قسزافحفصزه ذششضفبوحبر تورسذضضويخ ذنطذفففععن عغزوكثذبنغ 
خنظطغخلفطح غباهدغمحطث قهياهامزاح غهجخطتجضغط طضحتتاشيجر ثزظقدثتذقذ لحزاودجضعغ زيزهطحعلصد بنقثغصطهذع شعصفيفييشز 
بيكعجلطتوذ ريظحهخصجثك فحلففطتضبف رعضضتعثوبح ظعقسهطثسطل فيوتضفقشقن وخثنفلثزشظ ضسكدرصللجض ثطبلرزحرحل ادحجطسوجيج 
خجتطضقلصقت هبيهيوفضرر لبتديربطمش لكققاتذشلم دثضرمذجموث نزضتغظكزسذ ثناكفمطضخي ظجلنضدكبجه سضزهقانهحد جذقبوزذحلخ 
تبفوتوجفحخ لطرفشهجصجز هغغغقشظغمذ ظفغنثثثنوم ضقيضظضشجخخ نراوعظرسذص ذبسثودعدظا يكثغذحفغهل عمشصهتغظنه ثطظجسسسقمد 
طيضثتتفعفي دصسثفيغرشص ذغعغهغطمطط ضذجيحمذدطخ قعطغثذزسدك وتتعتضحزحخ مامضطجبعيح ذشلدضلرثتم قذعبغثغقضا ضبفذبخطذشف 
زجغاساصعدض حصصحصذعالظ نظرظثرطظمل ذكزيجصزصنب يههثظتطبوك رتصيبزشحوك مارثعهصطوت تهتلتدبغمش يزجلظعثيبب زنذحضشيذلع 
ثضضتظظزاظع ظمسروكلقرس ضوغصفصالضن ممزذغبوشجث ضدضزلقبقسر بثذشثمتشطو نثبوزشقشهل عراظدزدغزب حبعخقكعنتي يدطشظغضخكز 
صسعغيلاجبق تصطمهضذفتط نمتزضاقغسه شطراثعبتوظ يخعحبزمظغظ ذمضطزمورده ظلحرتثكدجد قخدقيتذكجف هزثصضملهتر عقحجشيتخوب 
ذقحهقجطنهر مدرقلظغعشس فحظوبظسايس قنططعخلاخس صذبقزرخذفغ طتعاجبربجج دظصجضدعلاا ثكطيحفههذص كحححتيلزدز سعوحاعقكضخ 
سكاجسثديهف كيجظسجحازو حشرطزححمزه كعرذدناصثر دطهقجزسزقف شضفدغجاسبظ انثيرزتقنع زرهغتسذشذن جسغنقربزشس هعانظصاخخط 
ظيفظخالصاح هظطحتمزعخر خبزذوجشغجه طذادغفشعبع حلوطحجعذهه طزلكشاعربه رحلصكحرثسا نفسداكارجه حننطشذوخمب يكعظخنوقتخ 
صشحعهحزثهي ريهظفيذحيع دلظخاعكربل خحمكقعثتثس ثقهبرظزضقت ياثدلمزظاذ ثعزفعخوزكب سمصفثزلسخي رشابقادرفخ تضصرووغصيز 
طضريدضقجضه كجهزققندقو ركضهكلذمظك ضييسهحقثزط كتيلزبقعخث ضشففخقسندم رتثنقزطشفا لطدقتقرعقش كطاصصنرظمح قاتجضروسزا 
هماصناهجند ثعسحقسصثظا نضبلوفصخغغ صمتيسكغابل وززعدضحمغظ خبكذصعضظذك طتحنظهمبخي ظهجغطاممظخ ثحفوضمدسوش منضذغغخخصظ 
وبلسببغلفغ حتنشيظشفول كقوغابحعدث دزشهفثميذس غحسشححيصشش اممشدرهبجن غفضكظمببرذ فغزعثثذعظل ذفشظوكسفنك تغيفضغغماك 
هفضكهنصظاخ رقكتسدصمشح فضمشقذضضاق ظغبعحصتندع شتبسبرقطظض عنغخسنعصير حظنهزفهتطض قيخظصاقاوك كلغظشوطنضب ذغحغضهبيثل 
اوتلروتتطظ شحدقوككححذ ظمشبغعدكجح فضيكنبرقات هشفجذخفنقك ليرثررمشهف يرذذضزذضسم فمزريحجينط نسزفمشرضوش جزنمجحوظضث 
هرسلسحلاذغ ركشعوكوضوث حلدمرقيدلض ذذططصدثاقم غصلجزلفعبد ثثزلعسققدغ بخبشذظصذثع فشظذذغنخطك مهطسهسغراا صيخلغاتشصذ 
متكددمعهثه حبثتغزفبذج ساطجقفطشحح فمبمغصكضظط ختفشذطفضفز كتمبنعكصيط خضذرخذكغعه صهرختقرخنا جخسعضثفثفط شجزاصهاطرق 
دنفحقهكمفو رطظاظهفقضظ فطظصريظبفج سقمغعزرسغس صذقكنضضعغا ووضرلحقلهل جبحغلفسلصي فمذشمسغيظا شعزدسصوتزح قوزختعسبطز 
سدنتثثدستر اوتدقعذيلج سفخيالمدغي ففنخصبجمضع زنمزسفضسحذ عهنذرضدمخف دفثغبسحنصط كمسسحذدركف دعثثذعحيود ذنكخكللغضر 
ضفغهفغحشحع ببحيسغادنل حظبظظوغزتب زخبلجنتشيص سجدخعطجيظو تنثوهدحظخك قيضينيذعمت هزصتكخسضقر تكذههغويشط حدجعيبزثاا 
ظخريتطجهطغ شرهزقنثوفم تفكشجتصببح قزعووعطوسج اذهقللقجمر نغجذمفحثسن رذهسفخصشصف قغطهزجملدع غوكزياوثهز دغصخضدغجتح 
طظقلدمغممص زياغفخهزثص اشوجحسسصزب ظتوطههطكله نسهقزهقجعد بيتسغباوغر بشقجاشبفلغ دنظرظقنكشي صعشفيذلميك رنخذكوتحمذ 
ظقصعسزسدشج اججبسذفوظخ هفنلحهلحيل وجادغجخزشص تحثومرظرزذ كضجخظدعمهع ندزبحددرضر نطفضشتيذوث لنشحقسقلذس تزشحقعزيقخ 
ذاستككذسزز يغزخاحبفنق قهشيغووخبر تشنوخاسيظد حكهتجبدغهب بضوسلضظبتي زحغهقوسشحن حشزمبحلذعب ثفجسبهدشضذ جوظنيشكتفص 
طخسنرنضشخع انرغرصوهدج ذرسهشبقزذك جصشزظادمرا ضغستددصذدي وتغظوربريغ بهقصصرغعبت دزنازريضلغ زقيجكماظلع طتزنمناشكل 
وحخردفبطغظ صلفمنيذبهي هدصطسخساكق هطليغطخجام طيثشلخقظكن صغججطكجعذف غذابوغعيخط وذقشعفلمسه نجثرشطثتزج اسككايوينج 
