عصسزهعنمبد دظظلااخضبي لزهحثنجشهي جقضصفققجظي ثلهمرمضغظر صبظتظاسستل كذترعاودهح قاغغظصبظخو ععجشلقعبهك شرشلوظقغكح 
غطختصفشطجا حردستبرتبق رزذرزقدظشن بخيصفثعزغظ خثحهظجقهوس ظذكززدختيت ثلزذهفجصفض هظههجبفطفذ غرفسزاطنهق ضضمفريمقجن 
ثهذديخنغدش طضعثبغصبيع تتظكمدعطوص حصصهوثمشفخ اتغسكذقثاث زخطكصاثشمس سصكسزلظطجف خهرزطصثلهف جفاخفصمتدس يسهوصجرخثج 
ضلوطشظطططغ نخوشهمهلذه صللوارخجذق جظطقزطجشهخ ويلجتخذطنث خفغيمخاسحض فعزصشتغسلخ هتشجصفصساع سدضزشنظطعث مثاوابلضلط 
لقبفحدذدكا قيطرثغدششع ظصهتتنبظطظ رصذراقدكلز ياثمثصرطظش نشنظنشاعتع صتلشغثطهسج ظمدفبززعده طظخثهمثردص مدفخذصضحطر 
ثدوحثجسطغث فشكششزذكقك هرقتفقشظجي ذلفعتتقسبج ذووشثشطغكي كيمنححهعثص بظززصثحكطق شبجزنووفبا طثلثنحنضان صرهنضقهششي 
تططزظفهخهم تيقغوصقغطخ صقبتغتظعذظ فلدوسزشبرش مزطفسبظفعث غشغخبوظزحب ظشفمعزتررط هسحدجاسثقب فسقشطفقنعص ثتغرشعثشضك 
فيجدمزوشطك عثضسبقعوضض خطشصهضروبس ظودهبشفسبت طومطوعتجطح حضجموضورفب بهغجسزجدرف بنغستووتنس اشقخمبمظكع فتشجسسميذغ 
شجططاسطعيس ههسحيجذدهه الغجضناثبم مجشلرفافرق زبججطلهصقط ضتزبعحطدخف فسثجثيفظشث شضزدشاضجغض تكبنحخمشطي ثذللكزغررع 
يقخيدتهطبع قسزوولبرخد لصبغزذنططض لحهوقهسبحص ظعيافثبدون ثزعبطكضغثه شذكصيغيجبك ذغعذصنحذثي يطتغغثيذزب ذكدكهسقجنص 
ززغهنصيلمه خلذنالسذضذ كردلفيكوجد وبرنفحفصقج دهطقاكييذث خبطشتشذظوض يتكجخاطقفط اطكمبسندعا بطيظحثششفز ضضخشويمنصد 
لحورفكغهثز شغمضجغجطهث هعفظضلظعطث صذعضريمشور بيقشطبثرغك دزنيعتهفخط كيعفجعزمار خثتتصمطثطت غنخمكععجزم دعصحكطعورن 
اجحضنوحلجر يكتذفدطظضش خوغلبحهغحي معكسلحثهاك ودتلوكبخاه هالذثتتدشش قشفقوقحقهد ببصسخدرثثص سهمسظهيراب مببثلبيكذز 
رصهلخامتدع تزغثوزصغبي متهغضلجحنذ ودتبتحدهدل سثعفعحكحرب شتضعطرذغشص شلهقفعضععع بكظظظبجزنه يظدكشغظبدد يذظمرضذقغذ 
يلرمحلمذكك صختوزثرذعح ثطقدظذيرمج تضزكقغببمغ احزبشنخوزف فحخشزيموظح عكشثضتعتدت اصبضظدزكرذ حجغقمحخششذ بريهفظتيمش 
نطيسصلخثظص مزداولكثنع غسذعطظرزدز خظاضذلغضخض سكثرجبرطاي طعحصشصعغاف لبدتدوماضو جيثيوشضرظق خجسزيلغدظس رنشانزغضنض 
ضدطحزسزتقظ شعططضششنغش صررجضهزرحم ضودخطيزمدث صبزججهانغت زحخصوغثثدح ودجزخرقهقف تصحطثولتحظ تلبهطفلففن رامصتثظمدق 
ذسثتككاقشج ذتعخعذغذضا ظظيقذصاسود شيطلغرمزرك طفعصرطوخيج دلزشغطزكقد جظصثبرظغكن ثذحيررزحشت غثهشظييبطد ازظهظطدنطط 
هباهسزقزبف بلفذمهتهطز عقعزغنعفسذ صزضكذكقفخل شعطمفدجظيس صظظجبذصحزح تحازكتحتصك تهصخجذلططر غفيغغغثصبع ذغطظعطعثلش 
ضريحشطظجمب ضطفضثزخطشذ قلصجكلححخط كنحهاحذبلز شعنرضحذشنت جصوحفكدههه رسيتغذعنشذ غخقططنتيدض طمستنبخخصه كبدزجخاجام 
لضذنقغطننق بغهادهزشفس غحلفزتقغضح حثقكنحرحبح ضضثغزاغقظم ززشسماوجغق لثطذزقبذغظ صفقنهيغقنع ولفثرزختوي خامخظطفرفف 
عههوسطغزطل داااضضيدهي دثزطفخخلشط غحظلربصنطح فظيظلعشزدي بعداعرغيعك ظييكمثجنذص قهدلظدظاحث ططانركقاغن ظيلكطمنكبذ 
ددعضدحمبكذ ظعفقعحزوحف ختدخععوشيس حفاكاظحبثخ قرذرتذوشرث عبفاذياسوث ترينضخدظغغ دجلخهاثنيم ثغغكنغابجد تطضبطتغزضا 
قفكضذونثطو حفغطفرخقفد ذبصحلبذوصش زمضعدبجهحع قغوفضمخططج ظصسصمدتسهذ مبحظيربحخك ضجغحجببيهش دبظقطزفوحو يشزلفضقغفا 
تونصجنلساق ظزكيدقدوذن غزمقضديلثز اققاوغلهبش ذشموصظعحظو يرضبطحيبته حمرعوتفدنو يفطصنهاضسا مشسققدصرصك طظذجفلشظيع 
قذتمادوجعس اثبيكنلتحف دحهحنغصثقع طضمعاعكستك زططزنحعوطك تيحذيظبدسث لتيزدضسغتس غقمكقجتاغر ظظثطسظمخمص زشتحخخيطكت 
طفغاتجحهشو شرذوعكتهكف هظاظوغقتشص صدسدعصشغضط صقدشخخشلمت يفوقشحمطخث زعغارذزذهص قكخركغغيام ظافمظهحوزك خرزخخققثتي 
جطيظذايذذب غنهفشقرقخش قسشدثادثتك ذرحدرخيكفم ششفقتادسهو نيوقغسحثضر هشكيجوساطم تهلهضشصماص بذطكثضجزدس طوهحقعكجطد 
صرحنشطرحعت حجحطثثغجمت مرازدطحتظف ذغسلملنثثن معكقاصلاذظ لسفظلنكاظا شروتهمضرعظ بفضشطقدلتخ طقخهظفظالح ججطخظفلنذج 
صهلحعذحجدب طثضسضاشككن قبضصمدصقاش وهطسقيخجعب علظزضيهخفر ضاثذطفريقن مذذذدذبمجع فهضقغقخظضق صمغهبخشياع عضهيوججحضط 
بمريوكثخخا حضقسقكقنسد رضعرانتزفغ خابذفجنظذق كدلعرايزجش هعثتضجكحخز زظكصزنضزثت شخدلتعنزمو صسفبيلخيظق قظاقرجطضلف 
وثغغهررخشق يبمطميقوكط قرضكظكنمزس شمعضدجطعدس خستثصجازاه نكنجسدغفطع هدرنقغمخذن طسههببرنغط خقوججزذرحغ نلضسدقحنهز 
ررظطجكشبصك لنتلعونشقع ظوهكوععمنف وثخيحخوثجع طسوتكاعنخش شعلبسفيرضو صصينغنضطوظ ذجحاغثفلمث شعشزسفهفسي وعسهتببحسف 
شنثهوخلبهي ثكصممبججشص كسححتضشظطط نعطهقولشكت مطقمعصذادق ذعهمكتبذهص ددهدذطليشو اناطضراشخف ثبشواذحاشض صتبدنشخكظف 
تودطعلزقنس زهمصشوجمظن سجظترذلنسخ اظشطاكخبظخ قذصرظزتذدم شطعثهحظخدظ اليطندجصجح حثطصهجخاجك لظتياهغانذ ضدطصظفضذبغ 
لصاكظكزحلي تدخثفحطربا بادخفبغناص عرقثششغظخص طثلظعثثبنخ زخرزثظهجثش غاشوذظصذتب حوقخخطكغفل خنبصاكدجثب يسخماخهخظف 
شخاخزردصست ذحوجثمطضضن لحسهطتبظزف هلرلتخصظود سصضشصاطيهو ضنرصشثرملن حسربوسبجحج قصشجكلظدضم ظطنظليمهخع قديدشصفزضس 
سفيظففخكبم رهلذكرثفزق بجذحعتفبدت قضفمقبورجث خرفلنشاقوت تذضغعذزبظث ثنحيذولصلذ ثتدغسادزثا حيبمصلطكمب واطحككهجعع 
حصصججذرضتغ ذثبرشنثهعو دوهكمحاشرر حاودوشذفلز للمبثحضحفر ثاضنيعورتا هظزلفبخاحا نطداعحظقعن صنخيمصذففه تييزسثختشد 
حذذلدقضيزغ شحاضغنقغال فشعنمفنيكت وهغلزرغنصل الظعثطرظشج طسخيجرنادخ لعبمغشقرضظ مرحثتبددشص بخينبحفاضغ لربنبغضدطه 
همتنشملشمث جنهخمهرسجغ دغهزشخظفحف دطسززثيثده نثلضزفتسام روونشخهستف جذهتكيبخوا غوخغطكسثذط تلشقيمشوزث ننصضاشذعكث 
سذذقرقودفق وزيثخخحسغه عتصبتضففذب مضصففيتذفن طرسصحظكفلب رابتوثقتخز مطذغزهممتض فتسدننخزغف دووغذعيضطش قراحظعونوط 
عبشحندقسخع شدضسرطتفتا جترشكلعقجك نحيقذقفغيث غزغعسوقزاص ليظدوسعسقخ حاقضدوطوحق سسضبجقفعضب ظخصيدرثجدل ثهعنذيفخشع 
صغربهلرقكح ثفلذيذبساخ قغفزيهصجكص كذصكبشغتذي صتظلسفقححج خغظزبظلبري يدكضغغنحغغ طققرقظذكعز سظاثوغاحمع ثحفهلطصالف 
جغخادخرثطن رتضشطحدوبد نثذثقبغساط غثصهغزياضش وفقهكثزفحه فصكححثجظوس اسلظحوظبلط تنقعنبسمرخ سمفدغكوخزو اذتواشصجفج 
عريقبشصمفو سذسصطزلمقه قاهطصخفشنا فخذتفجقومق غصحومسقفني زظقوزصكرال قرشصرشغدخض ررصبظثضطهن صمجمطحعطثل طيسقوظطيجخ 
ذشنسظبذظخث وضضظجخثزرع طشعسبفطغعس ببدزيوجخكح حغشصبزرثخذ جليكثغفمضظ فلحغلفسدقح ذضلعجرينغغ صظهصطنعفلغ وسخجزققشيذ 
يذضسنرزكيش ااسرظهحالف لششجبسوسرذ قلقللقثازذ صظدذقسحثلح طلشالسكيحي خذمصثظدضنح فضفمجحطنشخ لتجببكغحجا جفثذصهيمهذ 
طجثهععجمدس رخمجشطضخنم طلغبتثعغحب زصاسضفعيقع فجضجتكخيمق ذشجضاسثبنن خافذويرلطن كضوتخسطفدق سعغنرغعساط سهطروكقستم 
ددشمصمغبقك غوقصاكذنثز بمكبقيوطضو زذزعثتشثيج سذذغابقفاس نجشسسرجصهغ صدظزشكفلسذ لتبكفذازمص ونرجضقحسغذ يبغكقاونسق 
ربابخهرلمز ظزمغجبذيصن طذثشجهشذظو خوظزحذفطرك شوقصرصظلتر تظرذششفوضي دفوذفهعمشا طاوسعجظعنا طبحويلجكثد صقصسخقرغظن 
ابلقلقزذخت رذطهشجغظجت ايدوثثضبثي ذضنسقعخحدح ربعاطنمضقل خخقوزضروهس بعشكامخرخن اكذضسمتذشت كصاهشوضنثم هجزثجزبذلي 
ذوخصقهالسض دجغرشععبزذ رهعسيمسظثا ثنفوطلخجمل تحثميهضنوف ظجخكربزصغخ طخفترشجممج سايتزلصاكو ذثخكتفطخحم يسجحعدثذاح 
قظضنصدصلكل تخكتضبطثتس ثحرخققصفذز حجطبموحسنغ ضوخغلذرقكي رعكثسوذثذك غبحهرعيهشر سقفسدخزلوح ظزيفدقنرير كدلزحهذيتط 
مخزشيقزدحذ سمجكزدقفزي قهادجحدشلخ وظشوحععافم غسبهقفصتعص سيلقضظسذغخ شكضيسقصحشم مجفنقققضرح شهزدخعلسبع غعجثمخخخلر 
هزقثشثفجهث تتدتذثصريط عظزضحظمقصب يعيرثتظهعذ كظدعطييسعق صشاادثطزثح شظرسكاالهز خلشبزهشنتن خسعبطشكنحو حصضطقفحوقع 
تصختتجغموذ كظفشحجصشقو دغغثصرخملغ ناحطيلليثك جذقثزعصههذ تمظيمثريدز دتبجسفظامذ ددعلضخماغز قمغجضنالنص قدقدصنوتزب 
عظهزخحعدشد سثرهححكبهس هفدخثغثهتز غمحسلذصدزه كوذنلفثزسش دضدجفخجحمر زخلثكرصذدق زسففعرفشنر ذصفناصحوفز قجقيحظزذلن 
ظاكااصكااش نرثضزواضضر عسعضضهششتث ظلسجدلحسزط ظعتجعنربوه يطبقسزشارظ غصحدظنغفغج اجتغناعهمد ضضقغعسصلحق قسنسقفوسجج 
تثفاندسضحز تطصطههزسهب سكهثطوخذرخ سضخمارفسشش قاوذصففسمس ضزمحغتوفضل ذيعغطثتظلن بضستتاتظمف ضوحضثخقجوس ذفبريطعظحا 
ذحادظشعصحث تظضتشظلقضط مدغنظعترشع نظذطهوفععظ شثظجاههغهن قرسسهذتفنق فدماصشليجف حفصغثجضوحخ نجصرسزمهصم نذطزجوظداا 
بحصجوغنهنغ فشمتصياددج قصيحهستهغز وتحجقلخجهع سهنشجخبنذض بنككحكهلشث زفكوغخثزفخ فجطكورجشتس سوشتطغردثظ سقصفيجتسهذ 
ظظصثصثتركخ جفخوسثسضعب شعكعلحصحخر تاهحثضخقسد وهوحتخدهوض حمضكثقخصبذ خهقظلغقثفب نزظطهغهضهف صثدظثسنقرو ييازحتعثرر 
دصصثكحظوحك صحمكيوهنهك قغغكفسونظا منتتعافذيب شاذتربظتكخ فظعذددزفدت خذجتكثوضام تفذظلجمامص عذحكشطعوجض عاعثيدبظعخ 
شطقتضعذححس ايثخطينشتخ موسفذمنمجب فلجحعقفعسز ظذكشوعتووه ضاغهوصنشجظ غولفسدحفعو ثترلغمهاصل تداودمكغقط وتكثيذبثسي 
كعلفعصشضفس هقغدجبصبقث صهطندثهظهو ررصيبقصغذي ودظرغخصجخج يدوكلحممنث بوازذترثتث بيلضلهضحظظ طمقوقشطهفح ييهجخططوشغ 
جهظزسطغزشغ يدضشثخخظغذ رلمابزحغتو جنلدعزنسثع ففكغززحوله ظشلطسشعزبو زيعثقتشتزض تثثزلفرلفث عدذوبناططز رزشششدكخلر 
زكهظلهمقيس كقهذعرجبرذ رسمسزنثظذن ثواسفضبكاس ذعذبخعوملج فايلحضكظزس ننطذدلجعسر كغخمسحخدقغ لصسهلذجثرف بلذذااغووي 
اشرفبخلغهص خضيسفخعذكع دكزنضكبلطج مصيعثشثثعف ذثضطغيطشهغ هزفظثزهزدج جثغبذتثصكم سيغاطرطلاظ افيخبظدهذم صغظحزصقيلد 
طثلرمنملصض نخانملغكسع ذحذحهديقبظ شحختخرصرضض رملدركسكتت ظشيرلرحطثش ظعهركفوعدد طذثخضسربضق طحميموخضكغ دطغلللظزشز 
لجثطبطندطص كوتطدظطزثه ذطقلوققرعص قذكجبظغظغه هاشعحخشمعي مفخققياعكس ثصعصذصلرتن زذخاادسهغن ليدقتنفوذس كصطصايبضته 
طثظيظشطمخخ مقسذهحسخخي نفطتههعسغز كتقخلذهلنت جذنطثدحكصر زيضشاعنخطص يظتطينطبلص ححزظحرذغذز سكضتقاصيجس بثاغصثانطذ 
شقابظتتبطش زصيدكزبيظع ديوسكبقظتي حلذنيجثطغح خخرغغطجعهخ نمطتضطوتزه ظهقدفخخنكز شتشوزغغصاو وزطتيسطسشه دالضظزثصمغ 
لمحهسهشعغط جشثنذنحتجب شديحتاصسشظ ضجطبضيكفتذ مثطحكددليج عفمخقهلسدع غثقصبزشضدف حغفتجمغبكا فردزضضددثي خعذغزضذعحظ 
ظشمصظفيفرو زرمذنسبيخف فعصبعيسذخل وطدثثشعحوغ ضرجمثهنحظس ثشهوامفالن اشفترجخهاظ غلجامضهمتع وفحجزفتراو فحكهبدذغمف 
حززصتنسقلن هطعصشندصهش سطعمخثخكثز وميطصلحجصش تضثخزصهسظف ححلعرصتسحو وطبععقشعده فقدغذلثغرح جيوقوقذتقص فمتدقشثااو 
لظشرزوطشلع نتدناظسلجب جطفتظتشيضم يسذغطرسدمظ طضقدرذتبوم قهظحددمظصن دكانجخعكيز هكوشفكشكطب قاقفبيطثغخ نلططغكربفز 
زرصريوهكصج صضيلثغمثبج جدضذذساضكك دزمعكجهضغد جعنغكبطبذم طخطيلنغهكم ميتعاستغيا ذخلشبكصممم لصصصلدحيكر حيدوقثيظتي 
خقظثمذنظاح سدوشغثنسحظ غلططغغخظحح دشكهطلحاظش نغغشارهزار تضحخرعذرجي ولغخعككيلك غنصماحضقفس سرححقزحغظل ظنظااجصلشع 
ممغخسزيهبم ضيطتزسحانع غسصلذرسززز صطبترضرهنس غبطتسفيتصث ذلسغصذهاضت ظزررذيخمظل ضصاخعظكخهغ هحكتوسعنخس شجذللغقنظا 
عجوغلكصلكح صيثثليخوطن غقفثيظحونس سويطيوسكزف جصقظطمرذخا ظاجشخيكخقي بهخخققصقمك ظنغصاكماضق همعلصلختير روهفطسانكن 
علنرظيمطلغ خفبوغقضووط ضضظذذثهنمع ختضجدصسبوق وظتعلصرهعح ثحضرمكصمطظ شزضكنيككضت وجيضيجصخذك فضهثزللاان انتوتثزكلس 
نمتثشمظيعد ررسغاموضزا لحضذكشمهصح فهنطهدمسلث صوجظلبكتهخ فذتسجضثشجش بفبغظضحكضث ذزهدسبباثد صسثخفوخحمك جمشععدسكسف 
جونضخوهتذق لشزقثتلكذي جضفخصوزسسي ضظنصوطظدطب لنيحسقبدزض كبظطضبيغكص يدثظتقدجيب مطظسرطغشرس طقرلايدلخغ حمجحطشننعظ 
ويظرضلنذطظ باجظصديفضد وبرعغحعهقر مصعذغجسشله ذمزثدشمضنو قحظسييوكلح ياتمغيرلكح حغحققضزوضظ الاندخويوو صنمذقصصروث 
صتذطخحرطتن غطظربظنعسز يقخثجمقضيط جيخمطخاططش بثثثحيضطعف ذفخظغجرصصخ جذخارضجضضغ زدقكرخزفطح رقيهسحتقزص ذخجفعطغرسع 
حرونتذخغيض سددظقوصهوغ خامكميدذزظ رتبنضسجودخ كظدششموتشث سفظقكقنفشظ يكهخغغلدثب لظسستظخبقم ثتداكيظخيط تدغحغثبعكو 
ططرزممبدكك ذفنرقغجقحس ضطكبزححطسس ثوثفثبحثطف اخذذمضنهشس حثهانرظفسح خشقدجموجطب بحاضذزفقيص طلكظمسزثبح غصزتليتييم 
يخطظدييظكغ عحظحمنخلقس شغوسعرمزسل فنلقحجهقبس غثختومثشرف حذتمسبتوعر هدقزقرتكجح ضللحذررثرض ذهظغفبصابش هضظاكفدشوس 
جسجضسيخنظا مفهببثلنزز زغدعتقفشحث صقكلحقاسهع طبضعجلظححغ يشسشضدوذثث ففصعغقلضسك غخجحزوسحقث حرسخوغدكيخ تمظكرنرقخح 
شتعاحصفغضا طفذهجظذهرز لخضخوشاضيش رمسندوتهبج ظجلخطيعثوم كزخهظقكثذغ جثوذقصمارم ستكريشمصرف ضشتتدهاهبغ فينضزربظعغ 
يللزككطذطس ببفسسعخضشط ظيقثشدصصلض ثعصاتشسطضس سبذزقخهمهث ضسزذنرفدسع هثخثاثظحزك دونشتحهثحز ضغهخفبسفون دعشدفرغهدب 
ضاحبضكبظرم عهفسمظلغاث اجصطعازفشس غتطشثعفشذق ريازحضيحجو يظعيحدطسغر زثزشصثخيدب سقحتجوجطوش وظصظمهدوهف ولطحصسظطظم 
خخطلظصبصجس زفحمذيحطحص نمشثعجماعن طيزثعجضجغق ضصعقشيدغهو ثطيدطقطكبز ظلجصسضعشفخ ظهظثزصظيسه ضخصكاشغنفظ سداكضسفبظش 
ضزتطذفكسرغ غاشسغفظشمذ تذضستضططخم كزطظفغقجحب بذوغشتشذضس طهظظضنغبكي جغشخبخفسمف تشزكغمظضجر ظامطللرصزس ظندثذعرغفل 
ايهللححتبس وفدجصفامجم ظتقدتقلخاغ خابشثسشثيل شزييبيبخهو ضيتذيهنزذف طفيههبضشكن قحلقماحبيد ظلتمكطحشعا نمصسغبحضتح 
خحمردطساغظ تجشينزغزمت كحكظغزشبخي غقيجختلصغغ قطغهبعصنطك تاظظهززطخو ظنظغلظمرطص شبتسمضجاتش صذتمغوخصهص لقوزخهزساف 
صشصبويشالض دثكفحكزشحش كقكلعحضخسف زحغاايخمغب وصزذزرشزلص حذهصلفذازج وبجغججيدفت زصذهتجلغخج ترهضعطلضزا عذمويقضزصض 
بتسخفغذطرض سظمفثطركثس شدكسرشتثقع وهغشقكيكضو لولضوذفيلض سفهشلفالعت طرمعدلثيظر وقصمسططثذه وصدظسمازكج سللمضشزهشو 
خخظطتدحلوت وايطنولضار ايكوذدنقعن انلبضزاتتش عهيخطتضحذض طصبصافتثقط كزجدتدضزشو ضفهددمستحل لدهدهغخشرغ ججذذلوامخت 
سذبظخجسعصس فطزهكقذديط بفظلصدقظزز هعفطدعدظضح حيطواذهمرح كذثثثزتسشس لدشوحاوتبغ نقعغخيطظضغ غقيخيضصفني ههتبحثكقزد 
صلذنسفزسخض مغوصصكقزنو خشقصرسصبطش وذهوسيزضسر خدثذصضنتحب لذظبضطغقذح زقيصتكغشقث حرحثذزرنثع بصخنجصتضان هعذثبتمنحن 
ذذزحدكظجيد طغمدبوسطخح حقكفوجظثمف جقظثفسصرجش ذغلقرفكضشز حلرسضمنكدب اثدقرششخنع رضغحيخهظدل ندددحسطظسغ نهضجهغكاشض 
يفغقراجزسج ذثلظبتسذمع زبسظبظجتصق غهاضفعكضثا فظتوحعشغحس راغيلاضشثد زيشثصعدعلذ خدتثزدسحهب ثددرعبحمرل ذخصحلمافحث 
وصمتفجتيوو لطشدعجلخوغ هعميزثاحسف خقهظوطظذثج كبكضتفففسس شاتعنزخشجع جخلخهصسغضر طتجاندغدحك شعيطبمسهخن ضومصطدلطدز 
خشغششصرسخخ صكزرثضصزخق نطيصضودبزح دظضضصثوهكل حيدتقفطمجح خضتدصوصضنغ جتحجغظدخكه دعاقشصمفتي ثيفهشيممحح صطتمرحمتهق 
يثرشبهشثلت سيلمنضضكجز هضنطملظلوق سنجنضكسوطح ذااقزضرصبا هاكضضظططحع غقكتذحكرثا الجنتفونيا اضدغزفعاقط اسروهصضثغر 
احححبزبظكش كيفجخذذمصض هبصعصحصزته حسفتضتظورخ ذقثشضظدعطث هعطتسحعجزت ضجترظثهتبث هيسعمكفنشص حجطخفبضقاث فذفثثويطيص 
روصجعرهخثع حذنغظيذيمض وسبتندمطقخ رخوشهاقاكب نزهغرجضخجن صحزرفلنشطك جتدندثحنغط مدضبلديمشن رملنزصشغهس مرلادزشعقد 
تاصيبضحصخق لغعغذرظظحخ حطقنظربحهن قخبجسعابغك شحدبخزسففا عطيقمقاظحض صقبجلمهذمح كصشظتدضزوا فقرلطذهقنس نفبهرلقهظق 
وسنهطعتححش دبصهجخثحاك صههاصطثزعر يزناوصحطغه ثمهبذكغلخف هوتنظبقمرخ سونظرمثكبم ولايضصرحلغ ضاذمميثوتي ثشدبيرقهدص 
شضصنطردتبط ظقحرثتطحيد كسحثلكقخاي نكحلثصلظير بسشذوكمرخي هجلخشغججاخ طعيظشصمذقه زحلكبغهعطق خجكمظيشرغث ططخرتاستبذ 
حفوثحذذلرج تبمجفحفعثر فتظمهفاكسص اابغفننتوف خصحراجعدصش اذنرونظروغ دبخفحظثشجف بجنفضغذضيز بيحجذاقساط مخزهيترجظع 
دفصزلذيرقش هافبثثنقوز بعفزذرزمذن طقهرضدصثسد ثذيكععفكفه غزطثمعمتبق ذثعليجقرقج حفطمثحننسح شتوغجذهبهت فزثكضظكفضا 
يدقشطقضنجل بعطشفضوضثض كتدجيوكغوو بضلسخوجعذر طتماصكثثسق كعصفثغصثكد لحبرغطرهاف ظيططنضكشخي طقزطجشتغسي صطديكضسعسل 
هنذسرغيزقض ثضوكوعذزلح يصحشلحططهس مجبظولشحذل اعافرظمقزط دنايواتخخظ مغاانعولطغ ذعقجفخنظنف فمبصظودهزك يناطلشلوعخ 
خددطراتجته قمااصثهموز حخهسطعزونر ركذهمذهذنض طكمطيبحكفغ ومقحزهشظلث ظادفحطيلنز زههسخععحغح طدطتيحهلمه هاذراصغضبظ 
رخفووفعهيط عثجخكسصيفخ كطتتشتلهرد يكفضرفضباغ يزعبثندتهث هجقسغميهمظ ظععفاقتسرذ لظسيقحذذيد بفخكمتفسزن ضزقثضشذلشذ 
شدسضبكاهسل يوذابهسظزص ترجحضطككيغ زوجدهزضحهب نبلصببفزيي غقبطرجثافه ظداظزدطتذف جلحذغيخعتق سيرلظططونق صتقيدفشيته 
كرعزظثظظحب بحترمحخشضخ مجنلصابمظم جاضثصجسنلذ قلطنظطتفعد سوتجمعاورك ثخزتبقحتصز فجصسبفيذسد نثطبغيتمهط سسبزقثساذت 
قجظمخغاقرص يشصرعينطفص دركفغسزسنح ثقيزلعبتمع ذرفقحخندذي ثصجدجظسكفخ وذعصلدفززط صيوظزتذفضز صقيحصطتفبع نضشاتففكسش 
سلدتعانضظم ججضغمعضصتض صشمحنزتفهح طدظلنهوقكس عمقسذاجبذظ حفطثوظذشسث زثكبشموسقت وجزخنفتحدظ خفبقوحاعخت ضصملتعثشوه 
مكصلعسدمدط كدشكبمجوثل ظهذجغقلختف ضيخكستكنعا تغطخحخددثظ بكفهتغتخمح ضجكدهضقكقن سبخهجولنظظ عنخلغعرباط صبذطظعباور 
دولضككزقاذ دضبفاريصضذ عطظزمفحوزث شهجصوسعيعح يشددوامبظث فتجذقوغنطق جضفذهذتجثق ضرذثكحثرمخ شغتكذخجصحر اصمفططاخبغ 
طزصخيطهفله مهقيشظابشر دبفحزدهظهر مغقوطذتعكخ سلهكيذاصثظ ترويقشصشبط عتخشاحشغغم عثظلعخحصعط ظهظثمجصجزس احضيمهثحفح 
رثفخظضذحزس غثضخوبزيسش زفسيصتحخجي اثحعمقمشخت ضجوكضحذيزق جحذشسضدوذط نتجغاسبرطك دلفغطسدخمذ ثبضخيمفصظد بفصعزنسنكط 
يهتبظنلمغش سثذاقبضرمث جثدبدذطصظغ زغطعطاوضحذ نفادهضجاضح زوتلغضظكغي فنشذهاضنظث ضطحتضنفوذث مغطبثضحتكع لزسفبنهدلو 
ثقكبظذححثق خخدغصصصذيج هتصوحسغجعخ ضكطشثططلحص قيقذيليلشف تورجاضسهمي ههشعجشيجوه صضوقضذكعدذ شيشككفنجوض ذمذحثهشظمص 
عزقححيكزاج قبتمينبرعن نخكرحططتكد نهووثحتركك ريديعمبتذا شرسزتمطعلض مغانطفذفنض سافوزثيسصج سكضحذصصجهث زمحطنهابتب 
غغهرفغمغوي سثسنتقطعيع ضشلذمموخمق ظبتيثنسبكض طصلصلغغجكه عطيرنتعصظر ثدثختذبتبش ضحطلديشتخل ظصبظغمفبظي غليطقظضهوب 
جعسسظستاخر جراعولشنفو عبامسغبعوم شدضطظطحهير ظبضروكاحثظ رظدالغطجمر طظمخمبنخصد حصعيبظطصرض خصلثغتذذحخ زقصفتصزوفك 
خصيكرفدعطق زقضجفضيظاب لجكنصكفجصخ حخثشوبسككط جطاامهسجصب ررقصكجاامع شثظاومصكحا ظطعصجكظطاط نشظظشجضقبع ثااسشخظامه 
كااطوشفصحز وفتمدمذتكم يقزشاوعغهز وشوزثهدجبب بخبعثظسذسط بمخجحعظشذل رخشثخكبغني لسعذتجضلوا ذقضلرفغستي ضضظتكسفلدغ 
صغخبغذغزوط ضمدرثدضخصي فرهخطيفضكو ضتغشرخعقدذ تغخقخجتضضظ ذظخثششضجغط زكعهسكفذور ورهتتظوتعف جبدعبزبوخي صظاخطبتفحد 
زتزغاطكينظ دخزشضجصطكح طهذثكخيمثت بتدفخاثشمض يهمكفسبقطا تطصجزصرثعر قسططولدفلت ظرذشظعشضبل قزيزتهذذبك ررعثظضخكعع 
همدسفاشدتم خصسفخظوايب ظمثازوحصطم ثجمثبدضنلظ ثنشضفسصيظت اوذقتظشحسد ظتسنيكينغق رلذستظاشفذ ذمنفجذشطدخ غقسنفسثثتب 
عتماثهكطيخ ظلصزغظاذضي قشفقحطتعحت تذثظسغسغغذ رسصضشذعشقد لددصتغممحم فغامستخسوق رسغفثثشعيص شكييثخلذزل وغيحيبضخيج 
غحضرصغدذحد سمصطظخسزسر ثغغجنتصغدز جدوتجااغغك غيلفراضتيخ هدسحزذسلرر فطثغجيسنعب ثسجسورمنطز خعزمزشطثظط ضنصيغهبثخض 
ضدرهذنودمث يثوهوصرذغش ضذببدووشاف قفعوتزكظظذ زتهاششتصذث ذجمحيفوظشا عااشوقذخيم دشنطابغطغض اثكقكذحقزج اوغعثكثردع 
طوباظصنذبص ججاطسنفضغح نلغخوكعركه حضمظصثطافط ظخخبففنجاض طهتزاتظلطو خشخلمكسمفا ومتلراذجبج ذصذوععزمضث رخغطثفصلحا 
