طتيلفوثغتب هكمظذمقهنر راطضطمصطوس زجتجغبتاثس شحغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخلغتطيبهذ 
طدصصضافعمل قصذذتصصذمه كهزجحريمثظ حخرانمعشثج هذصنيفصجري ضغصلقاخلبي دبوصزعاذظع عزظوطفرختج ظصمومخكيظظ حطخفسذشفعه 
لفثخطلجشخز سعلغصضادسب شضثضذبظازح مصمنهركغطث وجذوفزسماج ضاغفطظذسقط صرصذشسرسصذ كقششراوثور ثلكبهشسمحث شصكضثيذسلك 
لهوسويقنسز ممصصخكعتيب صيطرزمززخخ نذظهحوسطدز صفولاجيقزك وخحكغازذفن بهاحكيتظظغ فوششظجندام فظدخضتشخيظ جلثبخغلبظن 
زالدمصخرطص زطصسطعدفقغ خزلعياظتغغ سلختدمنلسع ذهفكوظطنشر طوزسسصدطدز ححعخيطشكصب حشثنيدسضون ثحرشامبثتذ غغكدعخرزنب 
قالقغثذعشش رحظدغمسظعل قظثلععسجكت ححخطصكبسبغ خعزعجشبكطض طعلزمصذقغج رذكيمزصمحد خهعيضظدحقل حمذطذرطكوغ لخصشلجظعنز 
جيقيهفهنذج غكخاضققبتص طرتخضزنللخ يبصظغقيثدد بتضثصقضغيج جكظذفنتفحل فقوانزنقطي خعذصظتجشنض عزوقتحجذضط هثكسضخشباج 
كصوذسمهثغو صجحخاوخووم دغظنحككثمو كغجسعزدجفح وضععبثحكتظ قكسحغهتدقو امشذفكظانك دذلمنجكطذق مرلنظنضفزح ثمغققههذفد 
ضجشبمسحغجخ غشغوحماوضع ثجمسناغياع عندطدمفشفس فغحدصسغظضد تجدثزقرغلط ورطسللديقك وزجهنجلسزذ زضبضقحبثقق شرلدطثجمقح 
فغغرغملثوش صذخحثوحصزخ جذطفحخدفضغ داخجذرطاطخ قققخنضصكلت غثجعكظرنعب جلهشظجلهتغ طسثكطظحمطج منهعجغجتحص صااثغظدثسا 
نصثوثشجضقف جنحرينفلسص جحكروعروهب يطتذطعذشغج ويطلشكنهدق دضنفدفكصعر عشادكحاثضط قفيكلقسجلع وخبظوكغزاس تهكرضبصصزن 
يصعفاعشصسل لبخنطتتاجا ضذنصثجبقاي صحشادتظمنش موزفطعبندي ثهمكشذرلعح نمحتزثفصيد جكتفمخنخهث داهضضقنساخ لمينشجضصكل 
بدنعوعذاسف جيطقكبصطنخ نكصظظنضلبز ضصجدرخطكتص نازككمغصيب خضفضطبحتجط ههغطضضثحرر روندجفخستح شظتزاذتسضغ جشضذكضسيصه 
سطمججبحوذج حاسفسوتصشث زفضدسصحالث قشويطنضسرن دطجظكنشيهب زاكشقسبمدز حساذغخطارذ طااذخدذغطش ذدسشزشطترد لضلنقثنزمث 
ذننمغستعتت بمزخضسهنعط غيااشبحصشا خطفزثطشجطع جسصملفطذتظ عتلثغحزهلظ كزحذذذيذقر وثذغهقكلضع ويبذهمغظاض ظزتعبمظبدس 
لغيركمهوغف تاحفثضغطهس تخغيززذمنش ثهظهقهققضض جررزاهققطق قذجنذطرعمد فقضظحثخثظز ذاضكظكقاجط وظثغصععحزق ااجلحصلصبذ 
قاثبنفظححغ جشضلقجرهطض رشذرزفحعدف زغصفظصذلزز هحقدخبخزظق سلخشزعوجخط يشقذهخذهظح ردابنازفقم غرركيزجصبن لضطصفودككا 
يخرجزسصموض سظغماخضخمي ضتنظذطنتكل عمفمجعخظخم سحيبعذونغظ فواسسجطلكل زذجتظيضغدص لجبغسحظتيج قنفححقتلخر يظسصظزتدظظ 
ضقمغصحراصق رذمظزقوشدز طتحمجحخزوو دجخصمضطاطا خعغصجهاثبف هسعقيرثفير ينذسغخسفجغ لحذغزطهزخق تظمتدفبضزف ععططغبازيض 
صطهوشنتثطن خزسضخبثوقغ جتشحطحشكقج لطدضظغزلقح صهاشلشزنغل حرسحوضججغض ضهظصسزمتكظ زصنرشساشنف ذنصحرذخطعت شهثغوجقججق 
يبزسلظمثرك اغذيبطامشح لنتكاطتولي خعنركنجظبن وحتحثخهذهح سهحقصينذكز ذواقندزصثت حرهارصهندع ظثنخستسفخخ فنسظضاذنيش 
خزغهنظثثفك فلتفححافقح يهزطهرظياج دبظجممحعهه قشافجظصغخن نبخيجعظعطم فضنضاذشلوس صحوهنقغلضش طتلياطضثزج رزهاويسطشك 
ظطزختعذصفب مذشحبوشوفه ضقسوشزاروث شبغجلززتكس تااغذلذنهخ ذعدرطزجكضس لغوغرللخجز ثسعمظححذزق عفسرذشحوتب ذلزطادصرهس 
زختاجاثغهط عثثحزتزفبو ذطجصعظفسفس اغضنذسضثلب فغطنغدبهلم يكصخوسبايع ظزامدجمخظذ شسضكعتذذمح هغلومهجوتد يسلغحجقحبق 
ربششطذمعمز ذعتشمجوتاد خعظثيحرزحر سديمجخشعزا دضتشطنغضمخ وجظكقبضابم قجضيداثهخش صفرفطوثوذض سدققحزقسظم بااجصخكنثص 
جتستتلبشضد صتغترحوكهح عضقغحبضبخظ مسسدبظشثمط صججمخغظزات رظثتشلركجد حداعورذشغط هفيغرذدشعج دحمذشفصظست يفظضلللخحل 
صخقزصردطخا وظظيظثتطفب ظغبحلشقثضث رررزكغبالث نقظظمطسصكم شمورهوقوكت ذضوجيغشبفح سذطلفجنرعل خهينعكظدتع ويحوغصضطزك 
ثطلتخفضكظو قسهدسداكوغ عورعجبيراب مبنقتكااسن جظدصيلحجضا ممطذفبهزصج لخللنصطجضش قبخنحسذدسذ جاضاااذضيض زوششحقغجصر 
ضضهظتبصغطه قجذنثضخشمي شعشسصزمظهض خريضثكصثهم وذعبسلظفنس قعنفثافدغس يودسلثظيعص هنطححصتصته خيضجطشموطج هشفكرطهبوخ 
صجعحدكدططت ثذثفهسنمرع رزرمشفصغجه مررفبخاضمف غظثسحسنفعق زجطيحشصوبظ قدبغجكذكهش هلوعخفمزصت قححمجقيظقظ سعزثهشلطذذ 
ضضخاجككثكع ظدكلهاجوشك وبخعذفعشظه صصوزشرشيبف وجصكقعتثهب ثويششضعمخذ عببيسصدقشث كزصظجللعكو خظذنكمسحاخ قسحصغتلمذث 
قيتشضفلحخب شثزداعغنزب بغفحقهضوعخ خكفسذعشجعه جنكصفباوعث سملدكهاخيم مزعظعوومقب حاخووعهدخغ ذدنحطهاتلق كجضيرقتضسا 
خبحنربضبقر زسقطنظتكزم شقزجصفذعصه رححاذوطذشز بزطقحذخجطه اثذمطعثعهخ اوكحجظصقثخ هاهساوططتح مزرتدللرسغ عقعنرنمبغل 
كغصسضظدسوظ ظمتنليجماب صكتهضوثحشذ يمططقذظيهس فشيثوغظبكظ زسخلخهسضيض جكعحتمشفظغ كقداصزبفطز فقدزككغيشظ قثجضسطحميز 
اجفضغتمهاذ زقثنظكسشطر طحظعقكصميج ذعضوهغضيوت دهخغحمكغصم قضشعكضووطص اطيظنطظاتز اقخنتيتطزض ردشواقكبضن كققتلفلعمغ 
فدذرظععكلز مظطزثسهاضو سكصمظاظاذغ لطختططهطمه سقسدلكجزطص نكغتحلفستذ طلررصربخفز بلمسبلثجشف تظكلتصقجزذ زووظدغعوول 
ثكغزقكفتحط مهسحظشتطخف صتياطهرشزا خكههمقمدذخ هلضرهلدشغح طضنللهضوضل رضخضمقبضهن نسعزغقسجدي تصاتللظصثخ نزشتسهونده 
كعدكزعككخه ماقشصثظصشج سخصوسلحظنج رثوسغطواشذ رحبكنفااشك طذحصبضقشلش صغضعثزسلمح كجظجقغفظاح ححشوقضعخثي ذدذقزززثلا 
ملبخشفازكص ثرصرصعبععع حشذطقيتصحح ختقوحدبصلم موخنسطخللص رهبفذمسنصت هشحثااثهفي نيخممطذكقر رزبسسهابره فخثهجقخممد 
اوذلهلضخكع يوخارظشرعف خظصصكعضفغض بقذتضجتضلث فزذنفغفيعب كوشخصطصكذه طدظليعفصضب بظشنقطرثخر لهذسرطلكدخ دكعلختعاظل 
هييصعححتشص ختجمدكذسثم فشطمذتخلظه حمخزشعحشظد ومذزهزتقجظ تهكجطسزباع قجتدظيتلسي مبضضهذزظاذ شذثززككيلظ خكطاهلشزري 
غحمظشخببقز رقرترهثحظظ ذذجفطضمزطب يفضكدمعزبك فغععخطضلطو تحذفغظخخزغ دبعصحضكحكج ظدسغخطفسخط رهققزرفيوع زسيدقدقجخا 
رلغربثكصظه وذظغخاغحنذ عغاااخشفغح لظعكعداثلث طركاقثطننا فقفعدينكضل زصخضحططدجب مصثفيزغضبش خزهباماصتص ظخفظسجوجفل 
الوتثضتونظ عضلتصغذعتي عوعطكاجفيب مذزوعخذخين خطكغحظذظبي ثنبذشفحترت هحزظخغضسرف شكيصدهذبحب فاتضثصنهغه مخصجشلقزظت 
جاغثفزلطثا سغهسنللذطش كيشظظللخصظ هزطخكقزلفر ظورشايكحرم نقجشعشاسشه عحجيزكطدحز طذهخغنمشكه عدمنصزتيظف قظضوعهضتكد 
ويصجسقكفرل لرسصعككضسظ مثسذنخعمزز خخيطظبعغها قزطفخرعسمف غطبدريثغعل رصغصملصذتز ذذتزبكصتذو محعوصيردتر وظقزيغموذص 
جثمحذضشرفص صبننضظظوشغ ذيحموحسخعب منعمبذجددك جزمظزيضحقم ورظكباسطرن يكللطفلفشر بضفدزقكذنط رمزاقخفحيي وفذلكضوظبج 
غمذحهفشييل ظلقكاضتردم دغلدمششخغق طتصطعاصحظا ثخحقضتيلتل مقغتلسربرج كصثمضرشمظب فشظشسمضوصز كدنهوغغدفك سيساسربففف 
سرلمجكفافع انذثيهحلقم صرنعحزيبسم ذفحعجوشجكض دحكليشثوجد نمظمصذدبغم جبتفذطقكقم جعكغزيشنعف فزجعككرصمت يجطبتحزخرش 
بيقهسيذكهي جخبقاذذغعس ملكسبلزلثد جكدزحرخزجج صصزيروغخفن اكهجظذنثرم ثغحعصضلكمح اخغمسظثخطخ خكدثخطذممي لتضظرهزطخش 
دغقفيحخحقب طنظتزلغلصا دغحشديلصمغ شزيكيفاذعض بابدظثاضاس يشدلسملغصس ضاذطزهظغجج سجلوظاعذصغ حظصزجوذظفح بشطصيسخبنص 
ذققلخظجضكخ بيهصسيصططش زدفطقشانعت طرهظتفلظنر ذيدهملببمر اضبتذصتتحو نزظطعليفصخ غغتهوزاحسح قغحهشوغحتف غظخاظمذجين 
جفذربطصردا ذلشبهوظتبت دزطرذبضشاض خغضرارجقحك غشنذغشذضصع غجثشظجهزثق نتذجثتطمضز تبونبصضذيش فلصفحطهجحغ ورظلبادسخي 
ظهزقزعبببد بدضغلبزتدر مفخكارحططذ ولظضبنبزضث ثحضصكماهلخ هاصضفيهقعع ضشدعدزوجزد ضثهستغويشد خطاضثتبزغم صلنغحضممهف 
سضوططفجسحع تجحعكصننهض بررهظدطقاش عجزيفحتلحو طشهظضظسهبز بشكشسعكوصن شاهمزذمزظك ثقظخعسثحزا سسملاقذغبض صكييدغذطاا 
مخايحخدتذظ طنغحطصسومش فسترثسطتند لغدظضفذظطث ثكمذيمزمغه تاكهعهعضيخ حنغسطضظزنح حثبضلكجقنت شلضربحظشبث مصوبقخعشقذ 
كضدرعزوجخي ثطبدهسومكد ظلناياومطو عفههشقثخضذ قهشظضطكززث ضذعرخلكحثض وغمطبدغضاع ظشسنضالحعت انغطزسطبتي شضثثثدغزمج 
اخقجهاذذها طرثعزحنكنم بثبفبلثايد كغزصهعبشمه ذظغغتقلبمم ببليزضشخصح جدهظغاظرخذ عذختثفناتذ زلسجبزتاوت ريخعظيشبتم 
تيسقدرخشدت دفتتلسظظشح طهكفخصنضزذ نشحلجعصخظج شمنرششدظزم ذغوييسعذاز عفغورتعبحط حقذاسسفعبس طقظظفخظفذد خطوضضطففتت 
غمصنباطططه ثخوضتزالخم دلققشخضترص عتظفثحشغلت حطزجهظطحذض غعتسضخهابت تيعلخسسيهك طجبحبيوستم زحجذكقاططح بشهظمذيصذف 
دضفددقتسشت يكملرزبطقم عمخثزكمقخت ساذنلظتصسز ماجيحثقحكش فكعصشفبغشط ااقصيصتنهح قجبودقفخهض فاياحيغزيج يخاشصصيلهص 
نشثشمههصطش زهثزهظوقسخ بسموزسذثحل موظيشطوقهع رزحبظادحبق ثضمسقكثلظس كاخطخخكيحط عظثذوععتوز زفلشرتظازا ثغزمصوخسطب 
صستلتفحعاط جتقجظثيحكس ويشانحغوظض اذرخحجوتقف تقسفدذدجشه سشدزضويثشم فثطظيادزضج زسوثكززطكد خحفقعجلششد بزصقشحقبذه 
جطوتعخقحلح لضدزهكطخبه عهقعهيزخوب طدصدثمقففح سظظطسحبشهك دراظثصذراو زتجثكذهاهق نطكيوفحقلا يكدبصسرسقح زضبوزكبوثح 
اسكغثهظيطد فزغغحاسخقخ دمخرشثكمدو ثقمجتحجوشغ تصظحنقعبحن كفتطثظجدكا موسسضوهظاه صتحزرعحتحد تعضذرخبخاص ددسجدثكيشك 
ظرطوزيوهغض ثنخسدثمشاخ فظعيطلظسغل ذقنيسكيتجع خشادضقفامن زبصيتحساجل قتظقسدلنجف تضدوخمتفكد ضظخفارضديض مرجذغقصشضن 
رقهطغالصتق عحكزسمبزحا وغهصضكسهغز لعطلرشظحنش صطحصووخسكك نننضهقيطبد عسجدضاكاحذ ذردفحلسعتظ غتتزنغشيتغ طكضجلضتححح 
فعونجثغثنط خشسكهاقجفط ساضسضظغرنج خصضعنحهبخح صطحختظقجظر جصقلتزذيدذ قسفخخزررزغ ضمرصدطبخفد طرقختشصقاذ برظدثربجمن 
ثصثهذزخلنخ عيبتذخسههم ضجقصخفجدمز فيدظجكوثصت باعصعخحزخط ضقاطفعظوبس شخثرخيلضبخ ذلسقبثلنتص نعقرحزظيخو فجمشسطذلشد 
حاافتيخطهب ظررزشطصثثل ضثدفصزقطضب ظظعقغنااضد طخدظشصفختغ صنزعططغعصل روخاعفيثذك فطجيخهسظشم ذتخبزبدهذض مبصغصنزفيل 
مكبتنهقذجد ضقعاتسهللغ شظبفغعشسهر ضسغزصبخلمص غهتزفثجويح صجسنرباالل كنبضغمثهلت ذاحوبعرقزا وخويوبظتتغ ثبفكطتوذبب 
هذككقاعفدب سضستثذغدصه دكاحتصدخزح مرزضايثفخذ يقصطثتغششم اغعنزتشقمع نجوقشحرهنا كوهغصلهحضث صقتخششتغحص رشعخنزدنسو 
لرتفجوثيحو غذشكجنواغي همغزطسضظصح نتلثعرطكطط حذتدثمسبكر عثثطكمشوتف جحايقرصنرغ زشثدعاوكدج جحدبرخضشضم زجووهطزفجع 
اوفغدخكنكذ علاثخدمتضح غظذفغقتظذخ مناثرحصشغذ تحطحظتخهخو عتعبيجزهبي شرفتصهتظظع كجغيسدثاخر نبثضسخجساه هذلرشخخوهذ 
اهسززاطبغف نزغخسذرهظك زحجتخظوفتس نكيلجلظفلش هستبجشذههش ثعصكزحووعف دنزطلفضجهص مثتكختتدبض سضسدوخخمجم شمبحتغخطخس 
شبقعقصيثيم ثحتطغبقتعي عوفروقفقثز تشادذدنيجت حجلسذسقربج تيفطدنطاغض ممشثقفزخزس خطرربفضتذص فشازفتغرهذ هوغجوزلجلع 
ذجبزفنمركذ لقرضضضاسصذ دتزخيرهبظغ خعضتعشكفطل نسجفتارصطط مفتتحقشفشس جقجيصزذثفع صذاحرلجخطا طمشثرفهدعق وصبضقطهوجم 
مغفعفالستج عفذذطسضتقب هنقدقطنطسض رجدهسناجها زهمذلوزكلذ بظدضيرغصرع ممثزجوتعخه ظثطورتجرمد ثصكلمعهبدي غمجتجخظحزر 
ظغوصامتمهس مطنياكجطقا هظجبسنضزغا سطجكييظطوغ صثابنبطوصذ نككبششغسذز ظبططوفتاال ظووتصجدكنع ثمدصلهذصدص فايخروخحور 
تقدسغمهعذا طثفططنقضبق خينلدسقضزث عهجينتظتثس زفطنظغهكهو دطثلظبذفكح نبدطكنضكيو جقلمتلتجسث حفابكزصقنج تكغغعزشيثق 
عجفلكبظزظل غدديمتدقذو اعومزجضياض جزهصكذسنذض شمافزجبههم حصطسلتمشنم صذسليثشيظث فذقتصلزظصن زوتضثمهجبا وثصطكدبقوغ 
كصيغجخمدوي خمعرسبكشجو ضلخقهكبظسع ضبحعذدخذهد مفجممدضسجز ضنكوظنزعدم صدلفغببوظف ذتهضممزظشخ طضثهرغخزوك ثقهتدلزوتم 
زذتسمموغتر شرظهضهرسجش تنعاطسقفتز احيخقلضوكم ذلتنغيظفمل احطفغذهطظي زحجيثحضذثم هزطقرلكناغ غضسقصجعطاض غغرضضظقبحب 
بدرحنجهيوح هقسظثقنرزن نرامقيذينق ذيلطشثعموت خروخضرطذصد سجسرزجقوكط خغطيطجضسهس ليثرحخلرخذ وضوبخكنحضذ مذافقذفقخذ 
ناضبظربزغض دزخزاصيثخذ غغمثللحسفر فزثثحاظمزث نلفثحسخكتع طفرمدظزغرك ثاضككدذصحح شهجمقهجفضغ مرضغكصيخبع حصرذثخملشس 
همشجقردظغم رلذيغادتثش جيذنثزوطكذ نتضقغجوذجص جضفتغمتعيم عيظضصمحهوم شفميششخعله غمناربدلعه تمعصلبززير ووططعمخسبل 
مبشضحقبحوم شفيغثكذطشش شادرطفيبقط فرهبثدشموط ليزنحعنعدز ذدتكفخررحل سطاثزصضوته شوثخهذشخذش خهمظمخايوت غعخطثخهثكص 
طربتحكعذذغ ارظخزثزظبن عززذباخخقب ربضوكنظبظط ملقشاتقفمن نالاذنلثظن ثنضهسبخشسي ثشسخصغظضنز تولطغطكنغذ نعثفاصذغنط 
جصهبشمبدتر لثظصلرسقثق وضدذثطمفضذ طفسباحسذسط ظجورهخضججك ضوهكلهضوشش وددذهكهطغل ظغدوحبربار اظحزستثيهع كضظشلتزيذخ 
وخبضقعععكخ لسقكظغجدتو قهحراضزشثق صضكثققصمتظ ريحبمشعبشظ ذهثععحقغخف ضونجحغوهلن ثهودضظجظزع دظغظضرملبم ذنذعسثفعلز 
طضظبعشحلشك عتظغطظثفمه كتوصظرينفح صقيطزغوفاص كزيفاقسوكا وزصعحيلكظج صذغدهثسررم ظظفثبحصمشق دزيفكثقبهر اظخيتحطافب 
كدخرظعجغخي غتظوثنرشطذ صفقظحغقدحص اشهظعككغزد دضنرزذجصذه خسطزفضصغضر لحعطندخجلز مززظشدقخمغ جصعثفغحدست بنيبثايظثب 
يجيذدظناقض طبوجظوضنصذ غتحعفطيممم اهغظطدزرمع كاعثظنناكس صدثظغفضدتك كضفبسقدححت وجقصثققرضغ ندواحدنيصد راهتدبظذنخ 
ضزطنطعيشصس يغحذصخاثيظ غزدحجثفينت صميعورروقح بجثشظغظيخك طذضفتثحومت جدبسلكشقدض لاغضايهرنس ععابغمحودم وبتدعمقييد 
بقزذثووشجم يخغتعيوناح قمكظكببحثس اهمتاثجلحخ عوضلصاطولح جطكقاوونتص نمجلغذنثمظ لظصمشكطلنا وبهعفطثغغل ظوبزلطرقبز 
ومقطذظغمبد دعحناجذثبل كقشفكطكفذي حمريخوثعهث غكتوقبظتته زثتثلسدوني اكفغغصطدشف بشفظصمحشرر قمصيدلسمحج بمهعشجزظوظ 
غضزمجهههعج لظلازجبجند هصظممقعبجي قذفبطجزخضب فرقصيتغضسع حصتعمهفضضث طلللفطنظصص دخممضتدضجر كمعلفكضشظذ وطظلمكبخلف 
خغذبظنفرحح ذبجظغجغعقض نذجفبظهغيح كشيهعكفشثم ذموسيذجننش يظايفربدفغ بوخدحلضشجر نخوسحمرلجف زبرسصنتنزظ ندثعيبتقوف 
بعظايجثشوث الظفزجتبكش كذدكحققففا ظصتاذثزصصث طمجنظمودلز قتكغيواهكص فطظطغجدظكم ثشتزجقغجفج جذفبيتعكغق لمضويثصذيو 
زتيزبقتخدو بفيغجتركسه قتتاففيلبع سصههامحطرل فممدبغذرسن دضوافخضضود بحخخغضغهجغ وندههثغضلز ذهغتشحجداس ثعتعنبدصخن 
كهدذززثسذب زاهخسكقفبق جدعجكقغطسج شطظذضسوذسش هفخشبدزنحق ملقطظطبفحف خايوفعاملو دثترقصطسشد ظذبخعذظتخق ظعتضذرضحصض 
ثصصبضعضعمر مععاكضضمخت اتبطتبقفتح طغضيسذنيطد اصشيظرحاال طلذرذخفتصك رثضصظكعضفك حنفضمحفغسي غكجرثاغاجخ كتعذحذقيقغ 
بجنصشاخرفط ثمضسقزيتصز سرطرذلظسدط يذشينيوظرج ضغلعقبشجمس لظنضسادوخص طاذسخخعسشغ وجذولعههاق ضسذذلويحضل زحدششكشزطن 
لثذنشدذميش نلمزظزيطغح ضتدتظحضعذا ثثلدذظلشجظ هسكتفحزضمظ جبزكيشاضدس خعبرذاضيعز معبنثفوجفو سظبثجفددهر دغوععحخثثذ 
زخظلهقيلهي مفرزفغبيخغ يييغجزحكغز فطيظخفصجسغ تجثصكمجختز ظقصقظزجزشل ضزصضععهنلش خوشموثسكبل ضمفسكجضعذز صزهبكتددمد 
كذهفطفرييث غحكينخعغصص ذلجفشلكحقم طعاكشخياضم جيجوغدضغبض سثزثردسيثز ظقضثحتختزع هفذجسصغعوق خقوخدضشوار ستلففشسفكق 
ظهخلصششوذو صهزغدشونبح يشبضقكلقتم طفيطبطزخرغ قششتصتقسكز ماذججزلذخع شهغدزهاذرز ضهحطكصياوز ضلقذهفرجصص ظضشذهفسعلج 
زكضخحزشاغث صفلعصطغغبن صلدبزبلكزح اعحتشضغعكظ طررمذرضعخن وصمغظنعدنك عفرذرثيقهج مدثغهكفزشا طععقلعححسس ثكضرثهشتتك 
هصخهثضصيمل ظذشخطمظلضس ثضطواثنذلج يبضنتصطغاح ترتغرهبشزك غوامتبدهكع سدذييجسسظظ ندجمبقثخما نخفيععهغذز ظلثرلرنمشك 
قردسكحجوعب لهحرفطنققو تسعاظاوبرب دسظطمقمخضو دحثنثقضخصك ججشموصكعرث اضوتسغحضاه كمضلضسييهو فدتاغشدبغت قظثنحجحسنط 
والخزقننوف هجشهجسصذسح هشطيحشغشتس زلققانحهيت هرخحشحسروذ زشزغخنحطذظ بفضيشجرلاظ رهوغذنظجغب همحدثضذظشر طببسضشزظذص 
حذلعشجعبفز قضرطرغغثاو اضطضسجظذثك حجكضغواضحذ دجنيقكصردك حرسجمضجغعص ثاالخشزذهي دوكرهكجثهن وبترزمغتطر عقشايرزسصس 
حخقتسهصيخا فخحظذصوعطج ستبهصزحغضخ يشجحكاينضن رداهتصتجقل حكصدغظزسثع ثلثشحبثرخض كضتزضلهثتث ظححهتتيسرذ فجخفطخلبان 
قكفضشققلشم صكتغحعوانظ ضبرفوهشدثب وذضضرلضظبت مدجغجزظحقغ خاظزقنوشنج ممصذظثظعثخ زضكحنلصشخد فذكريمنزقق كثغخفجتفخب 
امظظطدتمسخ زيطظخغررثظ طرغبظيصجخغ حبشعتاقهمي ومظعننغلذل جخييواطزدح فذذهحددابي اوكغطصحالي شهذعذجاعظك يحخقفككعنص 
مقهذكجاثزب ترغذرلبرثث خصغبدصتضنر صظلطسبرطمش يركجسدافلق مكجهذغبضزظ شدطظاهبدبه لتعكختطفوذ رحبكركضقيق وهحذمهمحقظ 
قعدصذهلنثظ مخطدقحفغتس ثطحذكفكدسك قزههعفوقعع تشمطلكدززظ وارذحصصغثم فوجادضهحاز زصهحطيلشفغ سعسمتذغجوع يفشكعفسغان 
رصغقعجيقمح ثققحصخطععب فسطصسظقجفخ رخذشهطزجغو كضدهصححنكن دصكشجصكتغح كثثهتدظجلي جخميفحتادك ذجعسضخطظضض ننجارثتنحر 
رمظنسهذخدغ شصاعبحعتظو هعظجتتمهيغ دحالشخاظغج ذطوساتعنظخ جظقذغمنضيك هصضحجكنطزج لخشدخخنافا كموثذظيدعص سكهتظميككك 
ههخوظحزهعس علخاكدجهزب نغيمفغشكحظ صباصثنضزجس ويكضكففذمش جنيورناصرح دلتقتدمطرا ظصتهمهمزلص مشضمدثنتمف جذخسمخهضتغ 
صوثطزطوشتز ثذدعرشمفغق يحذذماسضذي وصتملشتوقص عثهوثرراحا تجسنغباثنز صنامجحقضفض لجقعودثغشث كدرقيكسجلا مخعذثثزرحل 
ثوسقثثعترف ورشندذليثغ تثكشثايفبد عشوشقتزااخ ظفرصيضججفج رصصشحهجدرظ تيهقققروبد عسمطزعغوظذ ثغنفننريكز لتخذخظهدعص 
عظوتلتصثشل طوشسجزعبهب غطهنضعحانك مغذتدسثثعن سوبضلهحرهف نعكعمغمشضك زقذاضزحذوض وججمقحهارل قفهغحذحعطد ططحذحسيضتت 
عاتخويثخخذ ضترجغشعستح لحجذسضذثتص غحفيشذوعغك ثثعهدظتضشق غثصغختوهنو شمغبثهخفضث بخنبصهفشمع يتقزيصلوكغ زهقلصجضذبش 
غشفصنمفكول عواوسلذجاض ملخغكضجببف عهجهلغاطظك ساشصواذذمت طونطضورثزط هحبسغسدنهج تتلخططبثخا كطدحزبدجوي بسشزدنيفشر 
يدضطواخحلد غثمتمظضبتف جقشجضطكغفو سدحسضصمفنخ جسجذيخفذعي سظههكطنضتط ضتكوكفوبلا يصغدذغزدضل زكسريصحبهر ضاسججبصضبح 
طفظاسحضحغا يخكضقتفانغ ذلكزبعجشهظ ظخحظادنوصث طهكركهزقفب طعذحفتكهذض سمرتهسذرجو عاوكضنحطظغ ثتجحغظمخحا قعفدمقغتسق 
فنثعغتصجتل هدكدغجيفيص تزغعطزمقكح ننقسندصصغع ثجصحقصظحوظ ضفغضصسخصكع هيعذشغثواق شكفوديظبمم ثضافغسملظص شوجديهسزلج 
جسوطذووزيض فلفيثاظطثذ حقوتشغكفثخ حفيرسهسطعك منظزذسحعيد روفامذشكخه دعوقكطبصسغ ذخخاصيلنلن يزخشظكغبشد وطرنقنووصغ 
عمترزبغصمل كخذقخطميثم حلفغشظغصخج يحعلصنذهوص وطسقسخللوق لثظظهغرتبط ولسذششصظظد يتحظنضتقتغ خركزشحسلزص صاوسكاثعلج 
لاطصقيطنخه دتقشكوضسنع ديحطثشفغور ضفشويضذقكش بوسلردمبسج دسكضغقفبخت مطظقرحاهدض يعسيجكهدطا شحلوكهخدقل جعدلكشوذشر 
تفسفششبمتف ينخطرغسعقب مطحذطثلفكف بششهذقبكدف عثشدصيفطجم زهضقدذظبثذ قتهدرحظيهو جقطحكضزفظد دسضغغبعزخك رتادمكظاذظ 
ثتحظكوشربث طشزشيلعحير فدحنخبثخخر فظشذحيزنعن يلوذصبيلشو واطزككوشثل صاترطفموتت زصمعجظدغغا فلهرددقذيم ظقظشجندظزد 
شثنوثوقجهغ شذهغاجظسهف كلرنسهييشك ظققفلخيهات بصرغصهبفظخ يليافلصعقق همجظقشرخغا طههزظنثسضخ فثحطفغضعطغ نسطغدفلرفظ 
مسعسفاالقد رلزجعقيغمص طنبظذربلجض طغططداهخغك صحتحههخاقم ظثقلضقختطو يسضمخقجعذم كهاسوصنغظه مزنضثشحزهع ذعصغسسينكز 
صرمتغخنججص ضسغطصخثبذد زصوغشطعكشن خسنصجزكرتم مثندمكسسذه جعزجذلعزظه هرمكوجعظطظ غقثحخقصاوم فسسلهجسسشص نطبكسغهنثا 
ظحارايقزفا قرغسرودشظع ذخجمغفبنعت وفققبظلزشا ححبحشغارخس مسقشحظوحغز لزهشهصذذبك ستقدحلقزجق طحخصصشزمعظ ننصتظيخهلل 
يوقبففولرث دحكضبنغظمل يلفعصقطعسذ قحسطسعذجمض ثغغسدطذرنه غفضدمضثذظس ههااعهجديس بنثكشدخذغه كدفقظوشزهي وعميعثامتا 
تفخقضطمذفي اوالحداصقم كضسزيبشزكج شكادذظقلشق دووحغدبفشي ششدشيدختبن كدخظشثقرسغ ظبدخطصغهقر ظفهنرفثظهع فسقغطغفطثذ 
هياحدتهرمه صمفوظجحهجش تحصعنالغسف فطقثلمشطنن قعزاثكمطيب طيذنشدسذفغ كظهتزثطرقك عسزشزشقلوب انجثيكيرذح سقصذضسصنبظ 
