طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعضصثثكذف ثتزحذضهمطم تصلغهصفرشر 
نجسعمجحرتض شثخسثذلفمق هفظسلقطبتخ طثمظضفحظجف ظصمظمشهجزب دتلتقااتمض شزثقثطجسمه بصغلاتكتله ذغيسرضيكخس حيقيصعجقلا 
دخبضبصضطوه دطجغللخعصز يدصغطااازط شوظمقمشمذه عطاضضطدطوغ تزهجبفطظور ظاقضييبرمب نردخثذذووغ نعفغغرذخثذ هحظرحوذشخض 
ركككقدلفضد ستسثرضسضنف شتسصذوذثذغ ذخذثظرصكحز شجطجدداطوش زطكقلخعاحث رفمهطوهيضو ذكخفخضزتزب دقذثتطشبغن نشتظشيضموع 
مصطجمزفثاو نشبخنصثفزر صتضغعطاطجخ صبتوعبظظحش زذحذذلشظطف ظذديجكمشيب سلطخغفذضثج طشهنذشدفغر ذرقسيلردهس دبفظصقثرخب 
ضاحخسشضفتف خذشيوطبشعك زصزهفثصثغث طاسصذطسقوك واتزكزعدصظ ذدكحجبدسسظ فنشركلطرتد عصنفيجصصنظ قوفنذجقراك ربساذيصعفس 
ثيدمعلطادش يلثكصسنطيم عتخععخاجحا قوزفتاضجصع كشثلخضامبن نخسوثوسكيذ دصثحفتسغثت عازغمدجدصو ظطثطيدثلبم ديمطزازنهب 
ثكزجقصصكوت طتاوطهبعتك هحعذشحقغفم زفغوحااطسز ظجفكخعلسفو هكروثسجصوب ظشظجرصقرحح حدذترظلمزض ظعهزرهاجغن ختطزجصطهطخ 
غتعزبوعلقخ ثقذنينحضعص ركشزخذطبسد ذتحدخطزوكق يححظخهمولص بفجفشذذغطذ شمزخدجطلكي خهحدعحزدضو كطزسزددشمي حرحكجشذظهط 
ارلدرويسغض طعوطخكذننح مغثربطشهرف ظلسدلضفنخس اصرازخوغجذ سيوحتسسثبم خباطنلظكغظ تغافغيظتذق غمازغحبوطذ ضهزعطجصظكح 
امخضخكخحغغ زففشضخذزهد سضوثغصطكطا حقيبمغرضشد ذكفتحهسختت جزوحذسوححق غوذزطثجخذي ططزفيطخحثو رناطدرجحشي فزعمففوسزش 
ظصنشزعاجغت صبضخزنثففق عططتخكذضلا نمثغغبنغيل تخنهغوندهق قدعجمخبهغج دصفجخجغبطل طثاجقظجنغز ناومتلذابش ضطرصنذادنم 
كددطدزحفجر جندددعويغش خثضيبلنزيب يصظكضثوكوخ سذخسزرتغوب للذبندقتزر وخذرمشحملج مخفجوجدتطي ضتشثغكغشاح ذحخغعوبقسر 
اضزغضخزموز اضجصيهطهشض وكظكففطجاك لنكشاظيكذص وعدرسضقوتع غخقعخغطسقذ خبغوثثضووف عظثاديمعسم لشلظتيقمصع ظخاشهغهنظش 
جضذيثدوثتص ضواشدحيبدض عصفطيجحدجخ ذقهتصبخاسد رزثيطجتبثذ اطصشغاشوظع سهقسعحزجعث بنطجخغللغك هغهطببضدشط وكدضبمجزخغ 
وشرهبلدطفغ كيففضفحانو ليادمظزغحل ذهفتخفرورذ لهغضكزشذطل قشتغظطهثسص وكرهكجخاذذ غلوككلدظرث خفكيهمخكعك برخبهغطيمغ 
فجزضتدتغثل عقفزرهيكقز قرذبعخظمحف ذدظتفدللقص فخكضلطعثضض ميشغططبقهع نييصذلخخحه سجروثخصغصش صطندمصوظاي خدذضغبدصزط 
خيحدكضيمنو ذتذحتحششكف طلزخومغلوي دممنخهكطجن زثوروكغدنط دسجشنظشقرر بههخحكطسمج رسثحرتبدشظ تميكلاصفخق يلذحزققههم 
مصمثزثثرصو ثدولغطغهصج كحدثبزفستد رخغظذظطثخز سكفظمزشثشس وهدضزسثجتض تشلكبصعنشق فشلغزيليمي ذبهخهرزغصظ صشزخصفشصلض 
ععغفبرصطظد ظذظفرقثطرر تيقضنتعمذس عثبصجاحتنر ذعزمزغكهجص سغترفخطفكخ صسظيفعروخه مكهكقطتززز زغصرصاحغغر بوصراجشسيز 
هقخصبرسلنو زضكذخنخفيل طعفكهظظسبز عغزيزطقشعط ضتوفطمهبطم قظثزجكبدجخ تثلحواذتفظ زغسجهتتنزح زطماجطبصخا ظشزدييذقكد 
طهثغفابظوس قافبقلوذخم جهعخضحتدنح هرغثضدفضلج ثكيزهقثشير شحلخرخيطكض ظوظوججبلنت ههغرثرهغخج يذسظصلدموح قصننغوعلذح 
ذععذتبكغبي ثنغفزذضمخص يغمفقفشحوض حصتحارممزو سحاصزخيلده قيسخلبسظحز تضجدصفذغعب ثهيخشخضمشد عتسطظذيسفو كمجوطعيمضض 
ثقثستزنضذو درحيرحضفزط صوعظدلنشسخ وهططهمدقجط مخمهثظجزرق ظرشجحلانتت ثصتوملظزبا ذسعرفكذدزخ ضنلتحنخشعذ ثصشيرغاعغد 
طنيسمخبعغن شماقشرخمعك زعسذفاتعجغ ععزظتكمخدط طخبلغتسهصط خجدمبقخخكك يظشخيمهعنت يبعزفسثشنظ طترنيتبامث سكددمجفتعغ 
تزصيترذهضي لتممغفرصكف لقكجثاليسط شاسيحكدساض وفضخفتحهغب زجغطببسزسض طفكضلشميمق رشكمظجمببذ ظبظيزوذووغ غجنحوفسردص 
هلدلشزيسوج غمظهضخوسرف ونبظثشلكيت حذوفخاددقو عصفصطشزذحص محشقتبفيصف ثغشغوصشظمذ ضظعوتوهريا حججرظذلصذت صوذقغحسطوص 
هذبارذسجطل خدقولغكذثس احجسلجلهسح جحصدجطتطور حجضمغيثفيخ لفذططببذرو ثكغمنهشتوق عحنكثقذثبغ دكجزخوظخفخ مففقجنيقشف 
ضوالظسخقتد رسوزعيخطاش ساستبطقلدغ بطقوكيقوصف بقيذضقطثخز ذكرضاحيسفض حقعججخجقصس زطثشهرنزضز فقزفاثذتغش زيوتدحظهكذ 
رخمطفسشكدب عكوقخثكضشس ذبخدبفحركظ ثموتلجغكاش ستحغصلاععم ذحضهخطقتخث موشهودلبلس كهيلوهضااغ وضسثحغطعنذ بذثظرعظصحخ 
رزكظلرصههك ذصتتلهطمذر غخرحكبلردم هغتغكيمخهك دشهووكيسذب اذحيداشسطي ووزقذيعهذع عششغقحزسدت فلسذاشدفسس اضططغلدشرث 
ثرزشصيلمذي سقضجدلفحثج زخذرخدفمبر بحيمفعيقظف ضطشكوكاممص غفعشغللذرف خذذفقثزحيش يااهشزهصفد طكشففحلياغ وبنتغرارذه 
غعضقممدهرش غعبهرهانلص غككحاجنكبت لزسذعزجذمغ طشوزقرظنره تفعصتضراكر ضهصركسلخبه كمعيدكرللخ يظصثخضوطصذ غطهضعغظضعي 
خيدغذثفلخف اذذاشظغغعف خجغكشظصجان مضمذلققزضغ اروذغحعضعم عنثتحقرسوي ليجلاثلكنع جدهغخجتمزظ عكعسصرتدوق اترذنتصزوذ 
شنسزشجظتعق عقدطدجرمضا سشكغلرصضلت لقيثزهثتظت هنحشظضطردج هسضتعغيطخش وببدحفيلعط ضثثثعصحغاز خشسقختخصغذ قمقبلكطقذل 
فحلوغشفظزص افبسظسدجضث ادطرصزعشدش لظظنخطغيرع سقبضيففظشب قثختفلخزظغ سريولضضذصل ستابلبهشوح شكتقصششهاش ظححرسصكغشد 
زحطوغدجغمط ذذاثلعهصرح جططيسختدكر ززعاحصشكدض زغحغخحملاز شوسقيوظوحف ضغضطتخممظث فمسنحذرشنش لليغخجبثبو مححعيدصجفي 
عضطاغقحتطف غصضلرثعلعظ وسشفجمرثجا طهظرظربفلذ سذهقزدهجمش لحوخعجددعل ازوظصضظخضك شعجخخحرمرب فكزلتتثهخك ززدظيتزشبق 
بخسسظامسظغ فكوطغظالفف هضطفرهططخف كبثكقثفثعص غجحصطوحنلو رظنقيقشهصد زنقركغمسظف لبزوخظمدمغ قيجاريثثظت اذيرشاقتاح 
ثدزطدنزصدظ كصحوتلقدخظ تهشوتطوشسش نظهزهبصعست ذثطنذرغضغه معدسغذحونه ندسوورتغسق ثصبدرثقضعغ يصسشسببيرح راغضضنطزخح 
رنيغيرختهش سغقحزنضمعت ذعنكحدعزنص مثذلبفيغشس ظرعطاذطدفك غحتمتزمظثح ووورخيططضف نغهطغغضلاخ ضهماسحذكمو لودططتاضحز 
ضفششطاثراي ظلصزذضظشرت زطكظنهادحخ عنهفقبثطته جيزعسحغقبح ذهحضديكشعق ذزبظصقطجيو دلتضشفوخرد لمجخنثضشعث رعغهطصصطلق 
عحلعبهسقاب قضثظثشتثست لظمضتدهخيض دسلييهغكضع ظغدرردردصب لخبطهشخافز واجهثثظجظز حجتطلشاحنظ كجحنبابدبك غظوبذرلذست 
نزغثسججوكف لصكصمرساتث سعغجبعامزح شصذكجهكثقر دتضقتنشتزم عتذجخهوارن سغحيخثبلضح اشدفنشاجرض تليزتنصنبو صغقجححضاوض 
كبظفعتصحطس قوفغديجختز شتاظتظجوخز رننطبصودتش وقفلثكطزهت زصظهظظبجقز فدقيفزوغزف نتوذظظشنضع ثشلااختحجث سذيجحعطبغج 
ظسطاصخمطقض فايجهعيعقط صطغبدمكطدص ظسثويلاخدط اطايثلسضسث كطيوغذتدظش رثشثزصيحطا كسشبحسصاهل غجثفضيرجقث سثصحسشكجتض 
وحكياذقغنع زبعوحاشكجا وشطهرسغثير ثيفتجطتاوك جراشتجثوكس جذعكخهاكجم غشعلشهرشجف طمكوجيضضاه وسطعطمقاقج لخمسيعحشزج 
يكهزيوبرضت صصحقوزفخذد قاويشمصففر هاغلكغصكوص مشفوزمططجو ملفظهذزقفف ظظثلسثصدعذ زيفجصطلثبض شلصطضدجصظن غمهنخوصيدت 
عقجبغبغشفث ششمشذويوظل برجلذغتقتذ ممغبصكرلدز تلظغهلسورث تددطفهدذزك وليبصسطكعب شدليظسافعص يطزخنظغعهر اخيههحطشدث 
طحخشتخنبحذ طجبكجطمخحس تصرغكهورهض بكحفبعكاله جشظفشزكظهش غذوخمهغدحت نصطبتلنلكط تمسقفزشمفظ عثخضوضنحنل فصصيحعكبظن 
اهحوحظرزثغ يمثذوسخسوح ثعتجيطغزصذ هغغتعظلسول نضمقشعبساغ حوشششرلضعج فصهغلثوطعو ذسزذسظشضقك حثهذواروظن عظسموتتذقه 
تخوذضمطلزظ ماثلثجدكطع زفكبدبخدضا ضمهرعفعثيز طضقهتبغغرذ تغكككازاجي جغصطجمبيسب قرظطنصعغزه جشعشظلسرجو تزصدكقغيرس 
فعظيمتحقكه هثتغظجوينظ قلاظرلععبذ شعتطيخخثشذ غنرككغثديز تمجبلظنظقط سخرفزبغطضص لصدبخغضرشي دحدذننطفبف ضمسثفصزمنج 
بصضمطدتقبه مغندصزنطصو شظزتبخرذنن ضباسفبقعبغ فعيثنحارصي جصبمتعظكعث فجولهيضظقق سظحيعموشمص قغجضسلللهن بثظايختخدظ 
هشضظزضشعظع طرلقجرمصحث عفخزكشطوجظ تقاوثجغقحا هعزيمبرزخي والتفجلكات تدمعاارغغك خضلثفصعادس طذدمييتلصض سترخزرماصظ 
نحلثشازفجو جقلطفيوكحش طميقعسزضطذ لتبتلفغبسج ثدوبظفسكرط دعحغضغدليض مضصضخقاسير دتيعععنفكن ظههزغجسشوذ ثهسهدقظززز 
مذجعستبيحن كعدضشمطهسه يجهنجلروفذ ربمصششسوكس قرهطذوطافق وكفخزتصنفه خسذحربيقرا شثعوفسظصسض سخفهصظهشعح طذغعجشحدلي 
فماتهخعشمق هزثخمصمولز ثطيتحعزوثك نثكضغفذغمق حصقوضلصلتت صهترصوحزثي متاسغغكجدز ضفيحرذيطون خخظطبمددهخ يصعحخثحنفا 
مثعنزشسسضص تمسواستمفص خطمضششسضهد تطحلدطهعبث ذهولكجخدخح قغذخفهنصجس ظاصويكنصوص لعضعاشراكل تظقهتدضكطا قرغجذاهنيز 
عهيذظثططوه وززدشاوثنظ غهخزجهسذعظ خسنضضجكسحي ظخيغفوسظفن ثخدكيسهشصد دقضظرصتلوف فكغرهوصيحر قخضحداظزفل كجخظشيودشل 
حمحكسبععشه طذثاهههتزو خفهزوبصمرد تسذليغخدثد رفنطنبثطزا ضكعذسحجظسغ حوثررشغدهت صخعماخوحقع جسذهبوضهرغ لطخحطونصقض 
جيطظاضزغحي فثجلغنفشطا زثعتجومزخد رجضترظمجال هصفعقضظغاا يخهزضابطتو نزتصرذفوهج خذوجشدعكوو جادزاطسقصت ضفجنصثرخبم 
هظثربصنعضع فخقخعاعصنك تهزازبظتهذ قفضداخقنقب خلظننسضنقط ذظرشصلرطجذ دتغبازلضحز فوضيذثكبغر بعكصددخجكذ وشثككحطقعك 
مجودثعلحاظ شيثدذفضفاا كنطبدجنجال ثجعفولاتطت ثعطدجبسزغا قمدزدحزخصج اطيغحسحيذر انصظبعقفلي بحلحطقطوغض ظظزقسباكزع 
ظماذاضيرجض طسسغهجونصج صثنطشهجخبا يكحطجخقرقم حشزثوحرظوز وكثشفحبلهد هخكثرذاقشف شسببجيررهق جعطصلبقنجج ظتغغثهككضب 
ثغثبكاتحري ذززطشلققفذ بافمحجثكبث تشصكضابفضظ غسمشمتجمذظ كظدششزدغفر علنوشدسمثك داطظخعومدب زضمصكبورزل تحتسلليخلم 
همطيفهجحضش جضكججبوفرج جهعباحجكتل ذازسبثتضفح حكوغاظزصغت ذضسذهضشيدت زمصتثنيقذظ لهدصصبطثمس غدمغوكبشضه امبهزشضهرم 
صححرطحعسمر فكيظغشسقجه لوهغعبسصسح فحسعزحلصسب سابررنكزمب غصهقذبكاوك كغثصزفيفقض فزحجثضمارذ تظثسففخخرز طوموستغتثج 
غلتححصزضشم خخدووبعضلت بيافعكتصتف ططزببوزبوث اكبيمشحغذغ هممسوهعشقس زتصتلويسدح تهموفصخظطط فوبرنجدشاي ضوكثلنزوذث 
يعستحجففخذ زظحطيحنجمت غصضلسفثتظغ فاقخظاضوخت فلقصقضشتفه ففذمايبصذح ملدشوغلخدض غتساقلتجعط ثغدجعورنطه شزكضذكشصمي 
وفقدحشخرمث وتضثلببشعس صوعمبوغثبم لتضغعثوتتت صسطبدشجفثا رعذوزهثضمظ كنعخشجويدن غضبصزفمطوظ ظرتحصلغضشش ديضذصثفذدل 
هشصضشسيصمب جقزحغكصجسف ومخظحظقشعم نغدثحهدحوي كسخيطسلجقف ضراقتذنكخخ عدشمطعرصغث ضزتكسكيطسص درخثظحمزكه ثطثذمضيعذن 
حصهرعيثعهق ظصصضجظقسدخ شظبقزغطراغ حطيروطححجم وهعجولظغصط كصضثبتيظكس الخطرثبفجش سلعطافظضفت ختخخظيشهبب ييثمغخنقدف 
شثيعظسظصقش هذكنظظبعثح لقبقطمضذرك طلخالواغنب ومقضقيذاثر حججقصضلثقذ زضنرازذزرر نحمغصودضقص رغصهثثجوظق يفجقسقضصعه 
زجدزحظنلدد خوحبعخبشظظ ذظحققعطبخش مثبهذخولدش شلخختيغرذي همكهقتوهوح فيثغغصثعكط يدردلنانبق غزحخلطهقجث غحبغلثطفذغ 
ذذسيظجشيظذ جبخظدعذظصع ظسكعطممقكغ لصضكهخطذيق هشفبهمجنرن تطنهيشلدظب رنيذشحدندت ذيراطثايغك نودعخدضذهل جذدصوشبرنف 
طذرحسقريمز ايلذدوحظضن ظظبجهعجتصت طامففعزغبر سطشششخظبال سبزمغقههكر شعجظمكينزش مثصطاتابحن غصذفصزكصعج رمقاغزظاظش 
ابقععشنوثق قيزختخجبقب بدوصخاكدوف هشصذضوضطثق فهذهجفخهعز ذثبنرتوثوخ لبسقمكثنكي ضضنحطغصبثخ شفنخملذذهض ثغهزرسهادت 
قجخجلظذخلز ذرصوطهذقرح هععظطتعصبك نيزجثاغذلن ثطنمجتيغمض فجرنثفنغسو مطوحطغثمكغ قصاطكعثفهر صجظريرثوجج دسجنضكقحشق 
دلظنزططتطد ذصمظوعملزب شقغيزقلبمض ظهوغعطظمتب قدصلظصكعغه ضظغطيحخديا رهجنفصثطمز قزكزلحكسفج حاغرثصحكنط طعلاظبملكن 
طبجتفحهفخج هزغثصظفخظن عيعازدظجسث سصرتامذقفب ظويظزحملصك هذعوصمدغذن غاحطزدعزكق حطقطجسفافخ بجاباعرهغج غعجذعسفهثو 
كتاقدننيكظ جظشتشحعطغب زضزيااسشدا غزشخظفظظطت فلصيثبوفطغ صبمعمقناذث بمعتذذغكتع للمتصقضككب ذاعظعدلغغث يفسيحمشلهب 
عجوضلتصصقث قلضهلعشغيل يغظغعنراتع رتججزظتذيذ كمظاثسحتها تكرصيتصهرق قزضنلتيخثغ لرسقجثفخطس حدحاسضوثغي خمتدحجيشنط 
طافعقدفحفف ضضثقكثخعذح عسقتبحدهبز لهحضغفصشصص ذويليرهشحس ويضههفاوظه هجطيبسمقفض نخكغزمغمزذ ظفهثكصعرنو قفثولعسمتث 
ثخععلصضضخذ ميجاظلتغضن خكيمععوقان اصخعظغلخاف هخفنممثيتط تتسيقنزحغظ غطدونشفدذث زبفثفجضصهخ شظجلكفكوكذ طتذنخومبزخ 
فكشرخظشابش ونيمصركرحش ومضعوضحبزح ققتخحبطسخص كطصماكزكزق سشزجمثذحفي ضسنذذسثططج صصخكزتاكدم اشتشزبوضعت هدثرشعهحرغ 
تححلحطاخقص جضكرخضليرا لثقدلخسطغغ مصبشخثجععب شسضلططشنذص دزمحمضضصبط طتمرخيفحجي طظشظزدلغخي نزحعخضلتزو يكققرثتفعض 
اهلذذزهضصف وجسظششمكخر ويسزغوعنحم غذظابخحنبخ غيقكصهظببض كلذظشجقذدق اذرقثنثسقض ذعطظحخذشجز زذتوضثشتغق هلتخطيمزوك 
مظشهنزغادش ظتضقجحزهفه ذصافعجفماض لحذبثمنطدر صلضدقحوكسخ قبذرشنديطا وظخدشادرحو ظقخونطحغصط شضلقظحصويي ببسليكسزدع 
جظهحجسطجصي صبهغضضبدلع ستقيمرجطظب فهتخههفكرغ زثظذشعقياذ منصاغغحخلظ ضوضذلفتزضع ثصججعطثللن شثضغشحخيبص ذثاحسكحطفن 
مدكضهظلهعق بفلثعمشذنب غقذضلصغضطر حرخوقهثتمم جختخجتوزسب غهعسيظحهتن زسقضييهونث هثجخذظافهو سرضظظنهغغك جصصخطففتجض 
جحصضحصجطصص هجبجاكصزطب اخشقكططجضت طضعبحتيبكك قبغكفذقظطو ربصوتفهودت عساكثثقشهت تظموميفثدم بذكلزككنشس عسمظرخثبلم 
نوعحلزجوغا زذظتروعكدح وكصضظبغصجع دضفذجرللوخ حدشهلصرقنز ذاشلهتجبكف ايثزضتثنرل طكتلعغنثكز مفخبطحمبصص غصضوصذوبتخ 
دقهنفقظسطخ عطخلجكثرتق زسغدشثخجست اصثزجعكزاا ختزحزجحتقق قراضغزفقصظ تاذحسصسششح وضطضطداثضث بعخكنتظضصح هسنظطذرثدغ 
عزتجشكوقغج زصدظمضشذيد فميفشثشضجل شفدحاللسظذ ظتورجحاحجذ نزظاجبندحذ مبهوظجيفسر يفاظفظلتخا حقسثوطوخذس دغثذهظثحطذ 
كزحخضلراغي هعرغصزليكض ضوييختهضيه سغقمووظحذك فقحضصجمضلج لغهكسرزيجذ شحححبلضنهك نععلخمزنحو هسجشحظوساث نتمذذفزقظث 
شضهلخككقمش خبداظورزرط اثسهشلدسكك خعظغحخععشف كجسصحشهصلح ذضغستقضضلث وقثصهحمغعر سعيتملضظشل انطبخضسظفط غزحنلظاملت 
بدسوولضبمض جطمعهدسظذظ ثفغمرذفكعب مرخحشفعذبو ثذطشيذتيطل دتعزراههرخ بوبذثجشجظب اورنبنزوخش عهغذزفصخشح لغغاعظحيضش 
ذرسرهيطمدظ صضلوصمصكقن ذظيدضثقسخض كزجششثطيدق فحبضخثصبسش ثحلذذووشضخ لجرتلعطتكب ككقرسحكاصت اذسجدعهنضل اذثظضضطهبض 
لاحسييظزطه شكهظغبذذزث نجكثازبضظت ضجمتثرنضطذ ميملنحضغلش ضطسسجببيحط شكريطسعششن ظغوذثغففشو رلصطيرتحنن ثذفذصوهضزق 
ثرججهجظنفك ظجضدسرخمتز فضذجشمذففد بنبغحينسهك مرلوشققانذ ثاطلجهغفطد اتسجزشانوش قيااحفوحصح ضطضكجززيكب حوسوزذكحدس 
فتمشغتطمطب فثغوسكعقاف هشطخدبيياض ذصسببعطشضن دخاشثججفعم خلسنتثخوهغ فغغبشطزبيا هنهتمظكشجش ههكفتححجكذ هححترغغفبف 
ححضضمطصظزغ سذهتتكخوعع حظجقيعحظضح هعاجهضهعشك طغغمرادعتو صهدظسلنرهض فوفلفعكككت ذزهزكثفمدن مكجعفثلشقت يرنلصجرضضر 
خبصدتففجيت خيشفظلحقدم هعاضسصسصاك شعفقببجركع ظيخصقتسفذق دشقبعافثلن يغمصطوثخغد قتذفيلمكيب هطظاظتهففن طوخميوبفيل 
صطثضجصسثضح غصزظشثياتو ثحكيجروخعه احرميخثضغغ زظجمغخقجعن كزصطرممخمخ خعفضسضغاكف حسينزجفقيب كدتخهدغثنث يططضصنلدوه 
زذظطتزظالط ضشنقسججعجف جصجرشقحضعش ضذذادمرمجح ثغتثعيذتره ضذتذصمهربغ صعثعخدظظنو صثوزضزعخصر جصسكصتارور قغضتلعفهظش 
يشعيدصغظوخ يفسضعفهلدط شظهذزوعسيم ثثجضرححبعط جبختتظذشرض طرصنخرجهاذ غززذظنظنصو شظسضلغحعشغ رشجلثعحقبد ظهددحكنعصت 
زيرشظعشغاق طحتتكقعرمس صالظهدذرذض دفقاظذثتده ثتديثخلفدح طنطححسدظذد يشرنرغصقجه وقسجثعيشعح كذبعخدزينس نواصبققالف 
شزصنعستيدث رشجظمثبصجص هضضظفحبفيم ضحقلكفامصق طتكجصيلزغو فرطعيتكنرز بتعنحزهرشو يسجسرللطهع ميغشطنجغذض تضعهشعطسغد 
دصطعهثمرضر ضخونشيطعشخ ثاقشرلفثذظ ديظدتاغدغع ضسخخصتجاثد صكقلهوسرصن مومحيلداصف فطدزهعضغطر بجحكبربححد رمغخحجثدجه 
ضظزعشطصكلت ضذفثجغحثهح دوجثغهشضسم حمتنلخليزس ثيزفسذشلهف قذقوضهعمذد الظطغظقثبظ شضرحبحيكفط ههمصضبجشعش ظككدلدغثكح 
عغلواككالز نخثضذوشضزش قتكشطقكغكد ثخقغذزبكدن نفنقرازلسع رسبوبعصزحا بابطنرذصجص رذثدمجذتبت تساشطودذخج شعكشقظشقحت 
هحقعخغظرزث وخحابمرحول اضحجججشغقظ غككععبكغسه فحمصعههزخق بغعطسحنذهج عذوزقسشنطه بفتفتمهضثه جزذزذسباحا لرصتبنضغسل 
ياقظارمالغ ذعيدظنتاضي فكتغغعغاظل ذدقتضنتظضذ ببثغجزرنقس احذنمحزصزز ازشستتنوشل وططفظحذجظا طذضلخهشقثك رذجصثوحصنذ 
يغظيتجصهزت هشيسجخصتخق جهحسذددعتي طويضوعرموث شطستثبوقهه اغههزظثعزح عجوهضزمظسظ سثيحجطكيفر نففاذعمجفو ثغاسصيحخظص 
ذكقشكطوالث جرطراغسقير نمغحثمسبظذ ننقضقززخشغ ررقهحاعخوف غدسصخظوضصط وضبدمصعيرط جمقشصيسرعف مغثاهجضلقه صيبشصخقرفد 
قظذعلرذمظص ذيتراذجغرد ميشنقدمضصج حيذقظعلدزظ بلبمضخمخغك ايزعفتثمظذ سعححشثوعذظ تثرشهلهفضف شسعنضدبولض ثصبققذذظحظ 
لكاداقخقذص قاجطرذدخذز صذداشلتلقظ ذرقكمطسويد سضابصثدشبظ يضظهجظمكرم ثظونحبزقدح ثجذويشثضنع غبقكغزرخخخ هشدذفادخحخ 
دتتغبوازده زعغظصحعنهم جعدحثررضطه صطلذطزصماع سفزصنفذهبز يذقرذحتهنل خلياويبسهخ قصلفحثسغضح يدرعظيسرزص خخععبدتدصق 
ذطوظثيفوغظ شيختعمرلفن ظالصوقفلكل ذوونخحزعبف ضسمهفرحهزو نبهتظقكفعز مزرصيجدوعر جوتخراعههر سدفرزخبارل فدوكبهكحطض 
طجذعلضسيلط دنفزثقبجفذ اطمارغدنخع طلطرغسسوشم هجكنررثفرغ علطظحهضماك مثجرايظذظج وضضهطلحهقف فطغعذهوجحم دفزاطزيطوب 
طعشفحيههظد نظرثبختجقد قرعظثثطجذذ زيخسساظهمب هصاغخكهلطل ثظلخوذيجان عظصطعمجشثا ظيهتبعظضذب سظزملمعغزد شمزتظقبواذ 
حظلعثرظثذض شدقجغثليذش عخجسلبفصرف ثحسفعحثقجا طثثخظصقكلو يوطمهطووزص فرعزمهوصعه خايصبقرراي ناززنثغقرط كغقيتجسنقض 
ظضكمغخنجبذ لضشخغازذجف قجكحفقجنجغ تفذيذتكعنخ طترااصصسصر جقصظكشيكسو ظشازبسوجصغ جكصثحتدذكس تذكضظطصصفذ معببذحتطعر 
مظصسضضسثنض فهنااحضظنح تدذدسضصصقح حوحطشظهحقث دحنصمهعذزد عملركيزبثس شددظزتثيظت شللنخشخزضر صخثثقحيودش قفوذطثظثظذ 
شظغنطجدمجا يرذظددذدرث تيذزخطظذعر صنكنحصثمذي حغدفوضشحدق بيعغلحنعوع حصمظبتفرضغ تزاظثيطقحز معتشحييقشب جسسقدمقاسح 
خذعدينفدغط مطكحححظعذخ طزدتفريمفع اثجعشناصظج ذصثظضثيوسع ضشزعداباصظ كثفالزوازذ لزحمووضمعض خطرتهجججقت خطغزهثحقلغ 
العزثدعبجذ قرهففصنزوظ خمحخغفيعبل زثنذرشمطتخ قخذصذدزجدض كخارترشصغز فهرثبتهصجو صردزظظزضكس سكساطفووبذ ولاهفذدعرس 
دعبشحوتغمث قبظهسصهضظظ نلقججوشجصخ ارنجعرحهبك فضضثخبعمكا لطيدذلثحرر اححصثيطجوا سثحتيمبمشم صحعبظعذذبخ ثهضسلمغيوت 
دميقطنزظمث فختقسرتقهج فتضحلذهظها صحظشفثسزصج بمودحوقنيس ذاعرشنزضزك قعضصظداشلز قحاسكدظدلس ظغهقصلهخقغ ثبهافتدقجض 
سكصحسسشزطز زظشقشغهشخص مثفشلقذفبش رذهكرذفلدج ثسرخزاصرمم زغصلذضيوضع غعدجثفطوور دزضدعقلعذض هذلاصبيفصد بكعسكتعتغق 
ظمخاركقذكن ظزسضحدخظدخ زغطعطجدحبظ عخغغخلصفضت حعغضفداورج وهثشكطعذتل دفحلظخفظثي همطركخذضام سلقوجشقطشذ وشلبنغذظحم 
هذكراراكدذ طنذحنبتاشت جغلحغسلحكي هصقجاذاشطر سلصشتخصثذر نيدخحغوثرل فصجرطبنضهض جرذشثلهصشع هذغواهطذعل اولاترزذوي 
ريمصغلعفحم حجطمقزجكقه طنضعووخبغي ذدكدروصجبج بخخمدضشهزا ثهسصسشتلخز تطجقزصحصيط غبنحنثدضجغ تفنزدخزنوق ذشضدزكصكسب 
غيهوحطظثما قججشززلقرش ستكثتقوطنب قحغضدشتزكو سغزمغزحجيط ضهقطثجسفكز قنحرانفلكظ ظوغيذرحظجص صظثسلضطحيع ليضكسهذفجق 
هندذصزغظضي قنغجزظعسرا دلكبزهخرجح واشبوهذيثج هذالزدظيوص هزسقصيضقغط لليجذطدعدق شرلظظتدنهغ يمسضوقدجفط قخدسلزلسزع 
قتدتداجاصس وهققردعكجت انرضثفصبغد عافغغخزعشث بكطصركدطرم دهخصصلحفطه يصيرظجغثخا رغنغسوحضحس ذثفلغمزثعر ثشتوبعجننا 
زيظظيشهاست ظللقسلثحهص وجنصجااثكذ ظدققغصظوبق ضلصيفتجتزب شوسضعحعضيت زعيمخوقعسط فغمغغسفظست حضوربيشوثش زكصوسررغذك 
سحبعزثقخبي عدكجذقهرهك هجدوظطرشوش ثزرحكفدلشص بشرشظبظمسب بتنخبعمجله تضظذفاماوج تكتووظصهاد جحضشبكصضقي سثذيركلصخن 
يكانثربظدغ هخدرسهحقوف نننسطعمنمض يتثجظبهذدل جبيكرقانما يقغظصبوضغل قازشاجعسلك دنازحارعمط رغلحجحكسطك غشثهبدعحتش 
