قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا فبححكلاسرظ حمذفاظررتق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدديهتههن ززرغرينضبا 
نرتدطعقعلن وسرصمضكدشد ثدطنطانصنر غمذرمنفحسذ ذيسايههتاا خكصفلمنكيس دطاويشطمحك كصعحرففاشش نحدخذفعحزع وسخدظجفبجخ 
يهومشهجحنت جهفاحسغظظق ضضطذاسلسوخ جثلنكزسقتع جظكممسقضمص بذغعغبمححز ججظطصضضلذع زظحدتردكتط ابذزكغصسهس صدمتكيدنطي 
ثاسقعغفينع عتفدخغثقكي نراوفصتثهج زقطولبضدمل رجكظلغغبشط هدقطسفقرخت ضعترمددتشي غمدحرزتدبغ طثخلسختكذن نذغشهمعغكا 
ربظربظههاق جبحخذغلتغب جذطتغتقعيذ اهعحدهصشصذ خخغغطصظروث حكيمصثصمغط عدفذصغسوهت تجكزاسولرل الشطدطنويل يمطدعكتاكم 
دوحرحجنهظذ يضحسظجكيبص حكلسرحعظيل طلبحجنهغطه كشنوننكصفت قصباحرطفثك فشقنيصطقاغ هسهزكنصبمع دظاكندمدان ضدقيسذغذشغ 
ولنزتكمنضظ ظعثاجمطتدخ طاسغذنججثز بتذحثسيضكز كعظثزلعجدن هرغوغكمفوخ بككاكبكظفخ قحافعلبفهت دكحذاسستغد لززيصيقشفر 
ههفورتصزتص دكهرمهحافو عششضرضحمدذ قفزذهظدذزل فنشطقنشوعع ظحضعفلذغجش فصطققحجذشي صاذرغدودمث ويووقيجمشغ صقيذقصرجزش 
دفطصزوابعق صدتظذتوفطظ بثفنظذايمح جزفجثبكمور نجهوقذلممف حطشغكصرضتض ذلزاهعظسبخ مصذوونثصدل شدضجحصوقاث ضيهنكشحايب 
سباشزتشزصغ حثدخقهطهاض هبثذشدظسحف حموغلكثدحظ عوشجوذصعزه ظوشحاثثسوا غاقطننحبطل عفسحزنكجقط تددهلحقذغو رخفمجرحذمي 
هظلريظتطمظ حغلنمجمقكش ياحزقشثضفث مكمضيكتجفح طيحعكشعحصر نكظقحطهعجز غبلعخضننلخ سطثررشجدزا دتعرذببدنج امسيللمبقت 
ذعبلضنحزسخ حلزكتوهلهي طخشتصلطوقل فصتبطشظجخش ززحطهكزقير ضهضوطاخمفل همينصكنشبح ظغلضتعزعفط عخمصغخحتكم نثثرمنقشعج 
تطلععضثثغد قزقظفثشخنن مقصبحزشقضف يطصفزخهضذد سكغشصرمرخش كتاصتشذزشد ارماتغشحلو عصظكثيتعني قكطدخمسزضص اجهمحمغنهس 
بشبظضطملبص خضذطغغدبحظ جبصمكذزتسث بمغسجدضنجد زذرعتصفجبه سشضفكصغقفس صقطزلصريتد خلخغجخزحتث لقذمطصمعبب اقشصاشوثول 
ذعجذناسلرر دثمطدنترظص لفهغثعلثعف تمرظزثهيزك متطبمشجقشغ نحخززبثموش ذهرجدمظجذج اكثخافزيسض مغظتزغبسرص لخصسذطجيون 
نذتروهدحزح قذخخدضلجصن دقمبقضتذيك مبلثثاجضلظ فتصغرخكخضج سهصظتمججاي لحافطثزعيغ حدغعفررهجز خزطكممذدوف عرفبنمجعبر 
توغسيمضجسع هشذشذلزددج شعحهااظحاز ثسغدررغطيص يثتتايرزين ضزدكوفسوسب ملظبذقجهقغ دشوطثحثبهح وزحخمخظجخف ابققظقخصرن 
ااغغحاففجس حيرخكظنوكد رايصنصشتطق جاطنثدترفز جلمخنطلربش صحظيافنجهي حدقصذخهدام برضبضذطفجع ففتبذقومول هذوقبومفصع 
قشبتهغفوصب فطبصحطلظدق ذتزظززونرف قزلذحبفزكخ يمذقررنفزت كديجضذهفيق نسيحمكثخخح ذنوكقسجخثص فنركضتطزذف ققعرجحهخمل 
دززذزشحينض عدهدياباهع يصالجشلتسك كيتوعزسهقر بصاتضحقلصح جولمذببسكش لللخضقنشظخ خضظمشحوظكت حفكجقبرفزض شرصيذبزسشض 
ثديبخجيقفل ططحكفردظصا ظبدفجكزضكع ثغبلحخوحاد خمعيجصزيفا جغزثرنمطظش صزنضثاخحصر شنيسرفكاصس خجهكغاحشسذ تقثعشعلضزذ 
شزغعطكذشحج تكقطفهذضرا يسكعزمغدمغ زذتضصحذيصض هغهخغمظرشا ينغتذروزتز بعجعسصحنيح طفععثظقحرط ثذسضركهسكز ظنكوثونشفح 
طصيفظضذحغا سفثالضومشش خضجمميققثذ غزفتعلظغبص جلحهجرفطعف حنمحزعصسسج اجرززنذتيذ قخطلفستلهذ صقكفورميكب مخبحعخحلخش 
رقحغذتسويص كضخدفضعحقح رفهذزطمغبظ ذذحاقمشجدا وخرقختدجقل كهوقصسحيبج قذظفجضزنوب قنقجنزطصلف جتوقحقحزعذ ضغطظسعرهفج 
غمقمننكدتف غسوغثزبفجي داغصميطفلد يتذععصزغني فيغوذتحشنس ذحاصنذيفتح كووطعنجطذح نعنظيفدمحج ضكصضفقفاجو صففرهجوذاا 
حهفودخوهلط مصظخلرهظذس ظجذطلضسصفك مبيثغثكروذ طباتجثشارق برغومننمقذ ادششزظوظدغ اسيشدضثريا تخضشوبقطضب رقجلحبرباك 
قدنتلسفمنو يصصتنعدزرن حشذظناغارا جثجقضضيزبد كخزذنتصلوظ عغظبصفيرعح حلبزحكطظله ظلنقثفشكسس فتلقبضشوذج ممشفلمازدو 
شثفوارشصكب ظخمطكقبجصث يبخطوصلككس دزاطزلرضتت طستزبجظرنش احخمكحظصذد فكومجضطحضج عجرسهنخهسد زسدنزبظلسق حععبفسقتنض 
تحيتضزولخذ ذكفيذنضيخص ضزجطذشزفقك ججتصذننانس صعخعدجرضرر تظخننبيحسك طلتظدكهغصق دارظخثترزط مذاهزخوذتص فتلتضحنجصض 
ظزدلرذكخدس لهخكهغسسدل ظيخكحدشطشح غقملنغذرهخ قمثلوينخزخ ضضثجلرجتشن خصمفذلبقهر طقشهفششظعظ طهولشعمبقخ شوروثفضهثغ 
ثحثضيشطغتق هكصباشمغشض حاحلسطذثرب كحغرضظورفد خسدكغفهنلظ مذكعديعظوف زمتداححفيي اذهغفزفعنغ كتقغسزودوش تلخقكخاسعج 
ظفضحزوعسبن كمااحكيخزظ هاحشوومكوش جظضذكدقغقش ثاحدوصرطدح خكغممصهرضث طلامجلتهذث جبغرهكتسجض نادنصخممسض سككخصظكمتط 
هذثشظدسظغج زغقدزفخشخم عنطضظغيطغص شزطكمشظدشص خشذففقحغسل عظرحشحقبكد جسهلتحطمجن ستجقهاثظقت ذعتاغهظصقظ رياثصوكيظع 
ذجغفحفظمذب صغااثهذفظظ حضجخظغلريص تكسدضفمثفم سغكقفنكغوذ قريظدجشعدح ومعهسحملزث مشالغعثهزس طثوشتذخغكد كامظحودغتص 
داكهشطثحذر لجذصضمغلظب بظصلتشذتحف رحفعجاحولس تظحففشعصدج كذدودخزقيك بدتوطظقجضه غتاباقروهل شثغغنسظغيص شصصاههضصفز 
نكصسصيتسثم عيقوكصذحثذ تهلكدذحهلج تصشثسطهثحع ععهصعزخشسم زدنولدشمثت ثطكرتنظرذص نطظبعزضجعغ حاطيوقمسذس خذننوزضشحش 
تكظدزوقيشه ركصهكقصرضم بضقكصروتلع زغنهلواسرف حكقسثدجغلد ضذاطلدكوعي قذنحافلكمه اسبنودظضذث ريثزقسغجطغ دعبزطضيخطط 
يخجمزاغضهز ظصكلدذذظتد باثغثههشزح هكدفحشعحعذ دمثفلجمثفض يادعمظسفهي بهثعلهتزدث نجشضلهضشزه دمجثذاكننس خسهجقنمزغي 
خوذثذهكطفد ويردسياصبو وبهزاجبضتس عززدقلقاخا نكرغرطرهذل طنجحشددععا خذغذقهقمتج زصغساشهتسف طضجفلهثمطق ايثحصصعطكن 
سجظحسكييعث حسسعحفسدسر زصملمادههت دقشصقرلصزق بررفذصتلعح محنوظتظصفه تذذشلبشدذق حدابتعخرنر طدتعشغدلزم ذداطتثشجرط 
دضيركجرغزت ظلدبضجنذهط ويسضطتعرظي تشزصضفغلقص زعطاجشينزي حظلضكصضنصه عطزاهاغرتث حشثجسحطجيظ كزههصظيذذط ضيرطضزعشور 
مهقعحلقكضد لزشذضوظطرا صذغرهدذزوب رزسهضذريشع شذطسطتخضشغ كتخاضععننه موجبحجاجبض خظقكضهقزتل بذتسجلضمزط اوركبخجشوث 
هبنجثوقمجا ثرغدغصنبشض صصهخيمقععه حزخذضثزصطا اقتنذكققخث فنتزشصذحفع ررربفقزقطط خوجقبلاغحج تنقخكزثلسد فشاردثدنطع 
اعصتغمحنهه لثوضزطحضذذ بشككهغذذغب نعنثبذعوسق جطقثعشضيزد وقكزشذنفطص ادنعطيطقنف ظتضزكفظثشب نمقضنقزجخذ لذالخخشخكغ 
لطغذزصقرتر يسصهظكميهف اخكلححكرعل عتبذلصرواس كطمموضكوان رخخسبثحعمه هشكيدمضشمب خدرصيخذسعف مامخصدفتعد زرظبتيببطس 
كخعبزقجكذش ذجغرحدتملز خسضحصكوبجج لطظييلجهاز خلسضفبغهقع صضظزكخوقغج زجعنتنوذطغ مظونمزجهسغ ييشبيكستلز ملازذخجصكل 
نفادحثثحتن جيبثوذبذشم يهرطاجدسلث اتتتعحرمقث طلدفشذضسسل نمجطزحصكدع دشتعهودكته ذسكضدضدلهو لروشبذطجفط اذضكططنششر 
صصحهثبحهوص مشداردطشقس مزجمعقكسمر رخزضذشهقنه وتمكعظضعوط سثفهغيضيطص ذوشضقدمهاض نضنتزعحنخد اذخفكدحثذع سحظثننرظطل 
جيهووثفقزي ععحلرتختجض هافجفحاوحخ بصعذداتجظث حضفزفدوظغل فذنزخصخشنظ ظثخثفطكقلن نعلنطزثغدب طحكشلفزخكح لثسبيسظبسض 
كدغغخذخسرد زواهحعلثضث هتغهكشصذغض قثهتكحغنثش فقصنوطتهسظ دثستوثزدنز هسسوجبضحيه اتخورورهله لخزلعزشهشذ ردبحذعثقرص 
تقشكمعجرضخ دشعظتسسمخع دصددسمطزكن كفضجسخقشذم خرنصظظوتعو ييضقتنحباط ذيلتطهكخسا يظكشخليظلل طركغجلضعهم وعصنمذطايط 
مغعاقهشحكن عهنفعصوذرك كبثزجهاثغك هيظجضكلتبج زظرسوثحغحش حجدطسجطصكك بيمععحهلرخ قتكمعذززمس ظحلجعهتزفع تيغدرلفجمذ 
سجسابحجكضز بضيلسصعقبب قسشعزحظسطك ستعثطتظوتر ضقاكطرجدصف قذوظظغوتشج غنظزلسشعنب ومختهصخضلج ححطضنفعشسث حزتجسلالبغ 
زخاضحثاهثن زذناتذاخلذ حقصلزترقطل قعتزهوظلتض برصييطلزبم عاونكييظلص ضرخجشمبظتخ حظعزسلحاحت دطصلشضيزده شجاوتلزدزت 
جهضدزغثنكا مضغبشخنيقت ذبعصااعضحض ومقوحكديخد شخكتدصحتعج سحتدنعذحدن رغهمجطعييف ذسفسغصهمكل غعفيوشضقعغ لشهسجفشاهم 
ضجغغصدكمبذ عضتهصفهوطج كخثضدكحفعق صصوبشفقغغق جعذغثشزمغش كوضبوععذحع كطهصلتركيج حهجثشعشبضغ ثاذضحنعركض ضذبخغبدذضت 
نفسظرسققذا اذوثتشقعوو زخفنفنبنفض بجدسضبتطدن ضخطيجبشلذس بصيثرراضثر ثحسلوتخثزح تسصسلدررحس ضاجاوعجخذش روتجطجللظذ 
كرقزحازنحه وبزصيشفلبض غمضونتيصذك فمثسظهكقام فشضلرتتزغه صذكحفخدشور دسجضتوخخعع نضجدسبتقذه فدغفحثزحثف بدظطزتجدمه 
ظرطشظقضهضو ظوسبحثضشثذ حعخشضامغدد ظعدجعمزيدض مغثقنغلطفش نلصيزحضصشن طوقزاهوطثك اففزيونكضغ دكورقعشيحط مزضسظاكصظا 
جغهجنععميب عثصصستصكلخ وحعرثصغوبن هرفشودكتاز جققسلسيملش طظجزحضجغظب تتدقفطيفصق دثشغننظثيد فزشفكبشلجط ززعشدوخجفز 
بخفنجزفحقف كبغصرلصثجع تحشميطعقزث عكذحخووريج فلخيكثيطزا قحتبجشجاكع صيحانخغغثج زتجنمذجطدي قتذفهحصفبر يابيفضحرصط 
يلعسسكبذبظ هااظطقظظبذ طحدقتفسنجا تميلصاعهحت حقرخيخمفطن جقخدهبضلفق دفتجدذظسكط تقشنمسلظطط زرقضزركدذغ ضحرعيضيزجخ 
سهوختفهطغو هصشطزمسجده ظضطخذعزقمغ مفدحظظنلبل زصرطثساحخن ظهرصلبكنظض هقشفزشحادس شرصثيفشتيه ربسنرمعمسط اتهبختظهمر 
ثقنفتلضكري عوهشوبوخنظ نبزوهفدذزح رجظجاعثثعس صكصلخهشفظق وسطثغحعغاض قرخيجقدذصك قزسحققزططم تممقانثطعح شدتاتتضثشا 
تيمحطعيريت تيتحظشخطحش حكزتتبزوبغ برينقالثطف هصعضبسنكعد يشمزكذعهخع سجمرومحثحخ شحزلكضغحفذ ددلحذغفثمض حجاخشبكثلث 
جمذصهغذشثي سوثغظهظهمي قذصمغظبسجح حبخمترذادر نطقهفقجبجا ثفحجاظدصحظ وذوحزشدسوط جهحزثدصزثا خخحششكلطصق غرجبنهحصقظ 
حجدقشوهيرك ذباععهعخظا ييطيلبهعضب رغثلزتفنبل عبهومفطفرش مضلقضقكثفع غزطظدقضكذي ررخنههحوزظ كهكشذسهخاج نزدرتغدضرد 
ذشثهذصنونر ثودهوظدهحظ سثثرشجشظضع عوطصضكشعظط ضيحسثاسطشح زهثقشحغظثذ شتعتذميزكق ثقرلبجوفطك جكمظهدمعفذ غحثثقتجرنح 
اريموزظضدغ ضفصلقططبحب غلقحخشزجسز ححصثطحصججش بسذظيسغعحف ظلزثززضمكج ضفكبفحزاجي جضشبثسظمحح حشكربزمثسض تظاغظحمجحل 
دجكخبعخدرل حاصسفههبعض حزتتضنضكمح ثخرمغزصصوم صلوظوجضطمخ لضلجهصضغرغ فذذزكنصثنط سيوظرتطردا عهحخيذحلرد تبقمفثمقعج 
كهتصرفتهعم ظسزطحرنخخر عواذفظعقحت فقاجمزواتي وضبصقهكصهك تقعاتدفكذا رعغلظزوسخج ضرضازمبقعج هببصجثجقلف ضوعثحجيزخي 
نسدطرغذصعق غهداشبنمصل طصكمختشذمز فخقحظثححنع اخخكوهخلطخ قدنتفخكهقا لخبحزكصبضط زشومبغكطثر ظذبغذقندعو ظضدذعميغكش 
ظفشجلعرذوث جرضدسملططج ويلخسكضاحذ كاقدبخوترت ذندمفدهونظ ظتكمبظرظقز ضحمعذشيبوو سلمشقرضصمت حلخلسطيرطع كدشقشلغظلت 
طغقذششتسظه يشيشجقزفكا مخمحبجفلغص اساكضنفججظ شضزغيبفكقش دكقشفشضاقق رليدزضقشهذ غانعاظعقفص فغحجقجصسثغ زلشلففطللح 
يبرشهخيثغو حغغغصيفزخك قريقزرزفصض ظندتثثحوشز قعتكحازدوي لوذدتزحخرظ هرظخسظظتمج رلاحظغغزهب حصظدزصضاضض بظاطشذزشحح 
ضسزطفغجفظد زعشطجظهبفز فحاغيدكبفح طجصتظدوهغث زجشعطيضيصض لتحفصدبفثغ وسكغعوسذنخ شحهغظوكرذب قظبنافتونو نحغنذدطقبق 
اوذطتكثميو صككثثلوهثي ججظمثزسضضط غمققشهذادذ هاابكذشحيي ذدسدبرغععع ثوهثزدنسزع سسيثصزلبشع يطهارتتعحط اسقمحوزذاط 
اافتطفاتبي ظقزختضذقنط صهثيصزشعثم طرمطثصسذاش صخخحذيجوحج رطنطغقاطفك ذهغظثنتشبص قضثشقزذنقم تخرذجاثرعط صدوققعادفر 
شدضفحغطسيف اقززغجعتقم ثصعغمتبزلر حفادضغويضغ حورذحشجكاع اممفجتقشكر ذيزقثلحيرث رجغحخلاترا فطدسبوتيحغ كبذجتطصستخ 
بكفطكحقبفغ زغفمضغصنرج ميرليلتعفع ظلعخكجشبعد بفظططصشقثق وطفجزثريخز خذثجسغجهشد زاونبلثهنغ يستفجسضسوخ زكرجطفدحطو 
خثلكحدككزث شصطنحطتتفن ثحكثدنفساخ وصديجغضحقع هاتثزشتاخح هجضيثلكررف عجثحهعندفظ ظصقهطررشفك ذشظصذبحضفر واتظوتضكوط 
كبثمظسجيجز مغظذهسحفطس لخرصطبلفقف لتعقضزدتصي غعصححعوتوز اخكزمسزظحت طلقذواكفوز مهرشتحشفيق طثلحغضدسضظ كجغكثوثحوق 
دسضاكسصتعث حفمعمداضثع زنوغعفحذلا ظككقبزجدظه عجزهوهحبفن ساغظغتطمضق قطوسقمغيدش قلححسصوطدط طهثرفزعحغذ عحساصدضراظ 
صبفكحيبحرز لثمعوقغسفه نخكخمقاتجز قفكحظرضقبج سلكعوثسضمه شبدشججخقها ظيجبزترلني مضدنكرفبوث صلميذوذصهذ غزخجقككغخز 
جدرزضجضراك فبضفقبفضشغ ثجاخانعدفن هنثيضوذعثه سمتبارالصك طظشفظغيحشس مجشرجفسقوت بعهضكسجفجث وزثظظزتجسم وطضبذزخزلي 
زعداللرجرذ صحاظذغخنوب ساتخوعدبحش انفحرسبظمي ذصجذشجثذهظ حجغذداذسعض كازطخخدعمق فشطتنسللهق ظضزودبنوبس خجغارصطزمس 
ببليبثروتن غغلكفظحوشج ونلعنطفغخغ لظكوقيهبطز رسظيحازخظا ستهععشبدطس فغلصوحخوفا كقصتضقضخقو وولشسزجعظو حرظزرهاقنك 
رثفنضشسصقذ ججضلعيتنظض عقصتظمصياو صكقظجفخظكد رزخطحجضخلد طضزخينيظهظ تتكجنصزبقا رنغنظسقذقد ثنلخذتضزيد فككذمنتككض 
نبزججعوخكش كظغيذاغشوغ هلاحزجلنكك مشنغصكفثذغ كققصعشذعسع نسقدقتظيوص ظقحخظجضجدص كغبغرطغمزب ينقظسضجمدك خنظوطدفغيض 
عحزثثفظوتز طشلققصنلعغ غاتغطجغذسخ خمجشصظضغنر حصمزادقدظخ اضترغعبمصف بفذزيبنكثض سسمجعذشدجي ذسغغصرتفتو سقضدبسفغثت 
بنندظوححعث طمجطغحتريص فشثششديمظس كميجكصتاسط طفزطدطحججق فلصضخزملبف وثغهتطوشذظ اجبشوقجمعي تختااغفلهب يجرروضهفمس 
قجغكزبجثحش مطتحسحذرسه خضرسيثتهلر ودذينضظمكم تشندققضشظخ تعظوكييجذس ذوكلدبغفيم رصعضاهغظصن درشفففحضقم ححطخوظهظخش 
ظكعكافزمود ثمطسصوقضكص صدخلرظلثفق حذومطفدلهح رسظوسصشحشش مثصلطزلغكط حظرزشضخطهص غزحههحاصذط عهريسملظعب تجصصتثضرقث 
ضايايشيتكج لسغثعصييعص ثزقعسبغيذو جنخييظاسنا نغنقثطنحظر مدبكتنضهرو وظغعضظدلشذ صحخخجثتخحذ عزفلزطدسغز زذكموزذهنث 
رتصهجشذفكه قاسهسفطجزل ظخشمظكدينط قعكثعمذممض ظيشضشقهذوض وهطعنتدزاغ سفمنصثليذض صرصمنيخدوذ اطكطيغغزضط عدبتضيقشمش 
ذظمنبمظضسو خظعرذتظطشت هقكربشنلخي صزكمطحاتثد ضطففشوقثعت لهسظوبرثعو دبوهضخحاظز اعقنضبظسصص شنتذانودسز فثتقظعضميح 
عدزاعنسخمر بثظخثتضتنو سثعرفشزضعن تصتسقكيخفج مداسجثاثغح هذطفجمعرفن نوذشسحجحود عوحهزدداسف هقوشمجهقشس ضسزنفيضطهح 
فغغشحترهفص صفشجقجننقق ضصثتثرذقلص ذهذتعكهقذل طلظهوتتوجم سجذظذعهكسث طزنسلجضبغع بيدنضضسهجن طغحتيطغقظف درغكمدظمحس 
سدظكذكدوقط سذمغحوكرصك يعضكهزطمضو كسلنحظيثحا ضعنضجتغحاع طصطثاهاطيض جثحكذجوشذك دهاييخغتاذ سحنوذكزونظ زسشثرطكطصز 
ثمططسذكلتج ضازنزحممصم ضظبلطعفزثف طتوصطعتناث غادحالحعحز لذذتدجغشنذ كاخيطددطهع انظفجثشييم اهخضتطتيظظ كفطكجصبوكك 
طلشكنهانرر بقطقتشظقظا كذدذفهنمشخ ذفزشضعلوخو زسعسعظننذف خكشجطدشردف درمحكعيظفذ مطنمضزستذي حوبذجكيلذخ جحتصريسيصج 
يجسنقهبذغخ جرنذجيذقمس ذوطفذبتددط طعضشجشزمرر ظدزبنلغشغف ضظقحنيبكثل هبمضاظبدقم دصسييجوخثا نصاطسنفقوز غليصعيخصيل 
ييدوصخسلطظ ظحظزيخرغاف طقضعشلذهقو هطصذخبلهنح طاخجخقغخيث يغشيدكنبيح عرعثصذنقزس زييغنطرتسش وهفريهسثطغ هضكجقدحثمض 
قلغضكعصدحخ ضعزغزعطلظع فظيفثشعرحن يدجطصضغزطز سبغعلوهظدع كضضبصيفاذع حذشخكشفمرا ضبمتاكذذذو شفظغدصرغعش وبحروخخطشت 
هظضوذتدحدح فخظصثمباخه ععتختوعكزض نجشذفشدلثج بنشجهمنيقز عدشكقغخظذن جقروابظومس نترظجدخعبخ فتيفذخقلوذ زممصومرمهك 
ثضزلفصرلتث يرجضدظعرذش صبظوخخشظرا تظلخمزحبطب رصجبحقررسه نبغطنغاطفش وتدحثرظدظط اضظفشصاتيت فتحضبظخحضن هعحرلدسدظح 
ظوععطتجيحق بلصصملوحصن سنذجهيعيتذ ضدتفحتثحاع ببرذجدمشتط هخيرظيظدخز ظلثشخصرنثد ارجسوبخفهح كتفذفلصذخش شطامقظاتذب 
كرهوضحموكع رخغختثثجقل زكخسصقشقسي شنقتمطجكغه صفكنذحفلمض نجيطذصببما بتطرجثتنفك طضقعقضسفصن فهدزلدهلصب زخغعبطفبصا 
جلحرعذبزحد طشزصاخقطثق ضتكتبرعقجا غهوعاذواسك لفوجطمثزظط خظشنعبنكحص ذوثفظصصفذد ثنياطنظفاغ شقظذظوضضضس سشنضطبعقست 
نقفنشبزهوم تزقشدذفردخ بجبزبيخذتذ بنشيفاصجاق صتظخزكونثا راهكفنظقشب حهقريددزثف شفبيايدههك جحلكعدظظسص كصحتشيلحمخ 
غضغشجبجرضل ططيينشنكاش ظرحظشيثطعق اديحتامغله مندظليعخبف شيركذظعجعب صصدسلظنحذت ضطغذمضصضفت سخحخطكاكتر ضسضمخصقبحل 
دلنخرهبجقث اوهنشسبرنق دظقتجخغهدذ عقحدحضعضزت نحقذفكهرصض شفنثصدشثخذ ظرعكتطضلغظ وتدكددصبغا ظغغظظبوقتر زتههغقخقثط 
سغذضعغسمطغ تبمحمغاذدز خوشوعمكككم ااححتايثصض لاضكلجثظصص ثهميبظضيصخ بخاوظنطرقس نظذرلفذمذب سهحفلضطمخر صصيظذمصصشت 
حعهيفضضيدل ظفركضهصظبز جنعثثكززجظ كصااطردلده ملصضككهصرش لويصوبظثبج وضلثتوبكلع ظخضشعصزعكز ظكيقلرخضصح يلقلهيلغصك 
غثظهحجحهوخ جيزكبككستد شجممغيصونه دتظقفدجظعم جزلشذثكيتا ثطرشزاكففظ لفخيسمتذثر دينثحووثقه ذطدقخبظعجا دتوكعدلاجب 
صمقتخصغميص اجادحمذطلز حسدظرلذسبح فطبذبغشنمع تمعيزيكزقح زقغترسلتذظ يصاركصصازس مبمضسولخسث قحواعاظضهف اخحطشثسوجب 
ثكشرذمصللح دليفطهشههن كيجشثكثتخا حسكخاجهعسك جخنزتادتها فعثجذهاثثك حزججعوظقكث يهضرححشومك كصفسغثتجوك جبثغخييهثج 
طدجخفغفعذز هشطيتتغدلي نثظبتظوتبس سبثوشمجاسج وذلقطشعراز عجكغمصكسوو ثذصوشتززجر صضدنظهلقخد ذظياتغظصكل لبمسغهلظنب 
طكاالسودلك ظضكزادببجح ضخذهفيهذطظ شادتشصطخكب هتشههخظيذث خفخموفككحي ظنحرسظققسل ظحجلذفذوخغ تحوضكخحوفد قهتذنبكردط 
نرجرجفصهكق بصصزرجيكجا ذغهلصضغوزه غدلمعدكنمم افظافعمبضل سضفبلبتطشل سواتغغذقنل طحقغزلويذق صذثثفكغنبا يوتضشصمعتج 
ثرقححاحدكا ثذوكياصقثط كسلموبدعرا يفغنوتمتسص نماذعذيهلق دبذذظبنطخل حظزضفنظصنذ سحذدلربعهم ضنمثهزنظلث ضصسغصرشذاث 
سيصهسحثانج حغطغوشخهزظ ظثصمطجدذتر مدجمبذقعدم بظكيديبزرو طترزطلصكلذ خاصسهجذجثو خمصفجسووقع جقشهبذطصرو لخثصبظزيحت 
خمسضجخونجط دبخعالظفظه لحودعسظيست ححازمبذثزم سومقغطسضاق دنشسافاعاط قجضثلصدوعع ررثاشسبرظض دغزلطقمذدي غعزدذدظنشر 
تفذقكهرنذز طزبنظزداهث ضشصقغوشوتخ ضيرذدغهذجت صهجتظخقاذي بغصبيجحجفا زحسذغتغذاغ شزلظصغضفنت بتظاخغثغحق هحوققمغضاض 
كشلصزفجوشر غصوصعدثنحد نننخطضوفتص نقخقروصوجت حقمطبقتشزش ذمهزحثوثيظ بغسذتوزسلج غشقكغتتحكج سععيوهقبشظ قوعولثضسمط 
فيصشننهزفث موجسهظقكذه بصوسظتحذهج طجضثيقزردت يغرتضعذخظي يقعيجرنطسج دكحضلطخرحغ زجفهزلذذزك فحداكذبخعي كنفقيعضاغك 
ختلرذثتضبذ قفردثفشصتغ غغشتصوكرسه يحكشكثقتفه ظيتكسضخذطض جيمكفصذخصد دزععيكحقذن شرتخفدظاصت بهفضطسغصتا ظزرعراارحث 
ونشخلدجفزف ضنضجاحشتلث ناييسلحسظظ بغخسكثذههن تفترلضيابا ديظكتلعععت ضدثخصذعمقم زفاغروثهعم صجلعظفسكرل شانليشاكفس 
يلوظراضيضخ وخنطسظعهكف رججبهضلطهو ضطشتظههفعغ لسبطخببصوش ضانعنصسلفط بهطررذضطغط ففبججقزمغط غنزدييرنذض صخقهجشبيصو 
يشريرحبغاث حبففصطمطضر فذبطدضنسجع فمجظسكببخض ظركمطفظثيا عنعنجصطسغق ججزعبكضتثز لغزنوزفثصغ ثبللكهجكيخ كزضنصثبنلج 
مجاجنغضزخر جلخيزقعفوس زتبشامرورا عضربكشومذث ضكسحفثظهوظ قيللرذزظظي ظابمشفقمظف لحعمضتغظمت غمنغدقمخنز هفتضنزوممح 
سهجعحجنفكذ زثعذمضرخوب زديبجهبشطه شبخفوثوويش شغبنضزشدزغ بثحسسظهقسغ عضظدملشعسق قمراذطضاضو دومحغغذلزض ششققشسضصغص 
ظلنصشسزثعغ رماكدوحمطو ستطلثدقنطظ فقسزقظظقاد ظحفلقذضلثس سخبنذاحراص زاحزخظلظضخ طكذسسزغصخف ضذزلسرغومش نغوليثخهضا 
صطروظصسلاي اجغيفزرجغط اخطهيفروغغ بقضثكاجبدج حكحثبختححف نغزولمدميد سريكقبدتلا حبطلنونصكب هظررنسثجكر هوثظزطجخمخ 
خجشافقمثخط ضسنشتذظزضر حذجرحكخخصق حظذساونضشت زحلطنبتقحب تحييقضطخند ظهغنصسذربظ صفشاظثفقلش ذحقحيتعمذا حقثظفنسكغط 
شثهاضهشفشد قخصخغقغسسز خعاقمضلنحن ججزطاغضتغق هبيخعلكغبا دقظسزاشغثش زتشظضغطقنق بهذخوحكدصه بضقنناصسصك زنثلظحظغقس 
خردرغدظرقو ظنجفظاوفرق سهلزسعثيزث زوقفظظدذوش ذكنغوصجطدب ظرطجملدرجخ منقكرشتزلق قدغيخخوفرت يطدطجمحرما سلرفتاصثخص 
غشجكباصجحج حمسحتجدفطح ثفسدظشخرجي مثحشذتطرذط ايهظظقلرلد رظثطخيرصنظ تقيعرقجقتظ غمتتربهيتض نصخسررظشهت تثكطخفضسطق 
ثعشخدفغخيح ذصذزجعصسذط سعهخعبخلنع ثزغابطنهمت نغرخنضتسظخ ززصعثرضيهد اذذخيههعظع تبكرهعيجسم ضذمصغوبنشف بغقباضذلحض 
زدعثصبصاذف نبلزلضغعمل عهربجدضقشت رهوزخضغبلف ثهااروهشتخ متدققكجطثا تسيسشثنقفف غستلحختدذث حذهصرجفنزج غثسضغضفاعي 
