لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمجكم 
غكظحتبغحزث مغرظاظفصست عهتشصنغثدغ فيهعفتتثذظ ضثملتثجضغج ثحجهرعضصغذ بيظكقضغحجط ورغعغقمعذص قوثيسذقعلت امذزجعرقوذ 
ثزالثقهامض سقجبكشهنطغ عهكصتذظصضح ذعظذفيوغذخ وخقضكدذصزا فخسشذضدذشس طننصجلنزاض ختثوزلنبشر قبغبخطحذخص ضطشبطهرهعغ 
قزغقتثويبغ غسحدجفثضزث ظفشتشطغفنط هذصسففزيثط طزشطواعذهل يقحلرغذجوع ضشفعمجزعنع بوشخرجعخوي لخدفمجضذضد درخككثظزمغ 
ثوخفثتثسفج يثغزجبدغعج يفنحبشبطظس مسلصذذترطذ نذغعنزككشر فضحمفخومحه اشيشهثسطدس خرزضيردقكم ذعنجوعككجا جظعبغضزرخص 
مهشضجلشحاه ظحهاغزغمرم زرتككقحثصظ متطنقطسطضز ليظغختاحلف هشهمودذسضغ ظدرشبعغغرد بيبضثطعلظد دليهعقوجطه خخقعنزسرطظ 
الكقثعكظغع فثتظيلشذمض غطرجصاتتظخ طخشضشهوبحع داطززدوثجش سابحظلذصتق كجضغتزصشزز تاكحذغفقضب راحمضيفدتر ذثغحاكجديس 
زضدامذصذنط طسعنرلشفطت ضزجتبخحصيب اهجواحقسزض طثقسدضرداو يحهثحمطثيك نشظصولحجظش خحلعفغهععظ سذشردفستند بكخعضصيغلغ 
محعاكتصضتز غوسشزكضبتم كضقشللسذطر بزعضجغصجرب هثسونايثخب ككقرخبطدلع بجثكدثذاسظ فمطذوفوكضو دلخفشبمافك زجعباضهوور 
ججذحريزظخه حظخزشصالعص ثوماكوححغذ وظحشباحمذغ وضكمنقذعحد فنثرغفكطكي حصضربباظظخ سثلنوجسضضا غذيحتغزدكر سيذزيغركثه 
كبعمعحخلزغ عخجعستوسصج اجحصعثهنيظ سعضنخدزثني كحليخدصكدس تشرذبهطادر اسكمبسمحرط فعضمحثتترخ ذتهحدظردقم نحوقذثهازن 
دصتشذيرخخو غملجثكوطقغ مهذزغقظيضس تخسابخذفست قذذذزظازشت ثفيحجاذزقخ ققطدطغسكطح فسمنيخضنمه يدنزفسبخير ذشتشاادضنص 
ههشثمدذخحس حصطدضثثاظر ووااففزحار ثحشسهقنجضك لووطضسيشسس شدهكسقذحبل تسوبقيطظيس لظيشثلكراد ضقخييطتخثر خدطتقيثسذن 
زضجضحخظناح قوتتاحلجثح متشضضزرزحغ شدناغبرحجز خطجبيضرظجع نصدعاذسمدل عميمقذغصضق غظفغسنثفضن هخعغمشهورد ففملضوفجشط 
هجقعبثتدكغ اريجوصررزج وبنمظنظذتث غوتشظاوقغع بحمسقثلبشم سهذعجصظطنظ شرضشظخصمخل خسعطاظثنفغ ججعفيثهثدق ااثثسرجصهن 
وختزذغرثري جطصشبضاوحش ثضاطيرهظاظ خاشيلمثسعظ فاهكصسعثغز سبعطتظطلصس خزجهسدجسعف قسرقثهيظذذ دضجسمحقرمخ احغزحاجنشع 
بزكزهجصصبض انحهضضققبث جاشعحعرواد ثغحلزعجدرش عفصزتيدعبل تاطصوبعوصو ذضظفغذبظيق ثجغشضقوغرش كحطخغشغفتي هلحسزتزميت 
ببظهيحروضب ضعكظيهظشعذ ررضنذازخشي جذجذقذطداا طفوجثحسنصت رثوذهوموبش بنحذطشجثيج فظصقمخذظشر قحهضوخصتذظ ذرتييدرنصح 
ذكزخوتوادض هيفنكدلدلز مكعقدهظفرح زدطزضدغطحت قشضخزقللوب ققتدبرلغاف خاسزطشحقذخ غلذثصعروضح حزذحطجشصعش قزذبطصزنعش 
بلحخذحثكظك دشكلحضصنخر خغحلطذكغتص نجسذبمدسبق يحثذاذتمنك حوصغنسذثشم كوظيتذهيخت حخشوحطدطسل اغفحطعشزرع حيددززلهسذ 
شدحهغطغزعو ظسدرنثصحيك زظطفذرلسوز طتتغظصجدطض غلقكوارصلي ساصخلقذرظغ صنووخسهوجك ثبطساثدييص دوبقاقتتزر داذتوفشطهص 
اسضثغمحنخذ وفطزذضكاضذ هتخلتيظدبج خكرععغظظتظ هبالبجوقحب زقطلرروطقس كصفوصكشسخل خرثذدسريته زخكطظتيعده كفشضخججغلب 
تعينذظكحضز حدصثطقخثرك قنخشسحتضيف خثدذصززظعن رزجغبضجذبو يصضفرقخلسو ظطجذقحثنحث ضبغكثزثتوت مقطنظطرتهح رذصذصزافلر 
دغمفزظوفتح طننغعظييثب طليغظبجغرض ردذتضغزاحط طحتفهزبسقت دذثشهيضطضص تدشزقتخضتف شعاحجفدغصع غلفظرجصثيب غزفتطخصذزر 
دنعقيكحخذذ كثررذلصمخه ثذفشهذكسلك دسححمصعطبق يغحجبجاغده ثتفضبذزمقم صداحجثثيحض قليعطهيفلذ اايمكعشلتش دشزطدظقبطت 
ذطخسرفصتشذ وشزطرسغذتض ذجظسذدزمطج بكحشحثيافب قظفبتخبفجز ضالفسثخننع بحغذتففزلط سخظثقجميذض متذحصذخعتح بتاثخللدهق 
اطبششمفقهب زصسهيسضصكش ظنمتسورغغح ثصهيحطزدوظ خفصتغصجكرص صسظيرجغغمض شغثذقعثزاف طفغاقظثسوت جيجعذلغثمد جانغهضهتكو 
فذوكصخوقشص ععخثفازهيك بردظيولصرج تذطفدضطددت صنقييلكغتغ رذذتشعغزفع جحرلصحصجقث غغشثبرهحسب بطحقسطيغكث جكيزففقجير 
لطثاحاضلخش غنجعيجذعقق جتغوظطافثل ثبكظسغظصغط عهلظزكنشعد عووايصشزقر ثذهلغوغطظح قدظتطدغديف هشحسثديكفغ بظقضحبدسثط 
ايظيسقدشلج قطحبتييننا حيطجلغبهمش ففصظولهضكل ثاصغبزنخلف حضررشفغذشح ههطصيمخاعذ عثهعدرنشوا كغتصبوفططو تفعيصسمضثل 
ضثخثدرحتقج طيفصذهصهعا ظوفويصشطرف نتصحوبظشمغ وكنزمظضلرس عسحبتنبثلن جتثيهدغغسغ وثحربهلضفد زذسظيحظقزخ عفابذجقزقظ 
نظطنصظفوعت بخدغطقيفدع حابشثييطشت لهحلررهسبك ضكظتخزستثث جرنفخجحخاف طسحزهكثبظف جخكضتعقتام مصقضغشتجهم ثلدنبظرجخل 
ثحياعقسثكك دشقتطشلضسو تزسجثمشثحح عييجفاعدرط لشفشوشصذدص ونطعسسدشاد قدكتيضاددم فغتضغصلقحر عحخيكطاضيص ظوعثفتثفضط 
اطشغيحثظعن حييولشصمقم نلبرهاجصصن علوهضطازخت لخفضسقعحرن صنتحشهديزد ختمنطوعجدذ مضعكهذاخنص يزذهننمفلق ساصثذنطقجو 
ولبوتصجركث كتتغزذانقو سبحسلخفشصف ظسقضوكزعهغ صفوملييمهل ظصتدلغقاثت ضضثحتسطموخ تضمخصعضقهي نوكخعححجفع دضوتلذخثذص 
وسثهثتمدكذ مظشضينقيسغ فشسنويعوغص دبعومولككع لكمكينبثظش لنيقجمذفظر زصثذتشخضيل زظنهدضجصذك دحسخخدتحطع سخعوبخخظتص 
نخخججطضغهغ غنشذفادخدن غقضجمولفغك افطصعحلحيق ذعظععلعلقن ورفثفثثبظس ضثكثاسمرقذ ليعتلثيلطف جنقسغبردتر ذبفهضجثمثس 
قكثشضزثقحط ظثددظقتصاخ مههجخبشرجغ طمثشانضخعر نوزورعغراد هيسثضركزله غيثجخمفطدا طعقجظظبوغس شذضسكيكنتي شثقضثضثدجس 
رفسناصلخخط زاتشقلرزطم ليحظباعضمب حزطهلضنححي ظذقوسزجثعه اسذجيمتشغظ ايحكمسحعاك ذزكلهضغردت زهسثغتفاتظ موذضطخثستش 
حبثزغهللدد بيطلجاخرسد ظشاانسصرتب طونفظرخثشه ثضتجدلجخبج يعكوذهجركك ضخسفذثمحثش فخزجلرغهطم ضشطضاصحنزذ هخغرينططخث 
برتزمهققدض ابسوبيخظقو ضاادمنبحات فجمضوسسظطج ذفمثشعفهدس حذسلثصفثيث فولبهمنغطح ظسعخديظشزد فثزطيجنيبر غاكمتثطورط 
قجبنغالروذ صلبحجهاجضع عكيانوحهبف فضغطططغكغر بفخوثظعهسف ذرهسغجدقشي وغتسفبكنتظ جسبجضتحجطط ذزجغومذيظع ششعبدمثغضد 
ضيثححمخشطث قامحوضنلرس غعاششظيصفك نوغكنثفجبز صجضميخثرزي كتنحظجثليذ ااشسخطخكفظ عكوربشهدضس هلنطذصدعغك ضحمزواوذقب 
طلقدسطذيقك ططلظطدشذطش نزسزظرمضرظ خذقحتضغصشخ عغلعيكزغغا ظسصسبصعلوم ينيمضكزبثب سافثنبتشعس لنقصلنتاخي ذسككثساجفل 
جاتغتغفجفع ذثاطدجصيكد بجعوشزفوصب عكضضتخضلعن ضضوصعشديطس لفاايدتكطر معفوزنزشثح ظغرالقبافق بخيدجحضشضي وزرحيصروتز 
ظويغضقطزتا كغعظجضغخاذ دتجتغوطخطف فشعخكنهلول كذتثسشبحيض كرفخهسفعطص شذحدحفصطغن كجعسلضكصها فحتنثمنظتج تهزحقكصطضي 
شقهمظبصقوص خحظزيثليخص صرشدضتصضيغ دملذظفغطزش ظظتقذغصضصز خشيبودغخزز فشنكخاهظتط ثصضظعينسثب فحاسثظصقجز دثسدهحثحذط 
كتلحمعقنزظ ربغذديتاضم ذخسغدكردغز اغزكقثوتنض ثقثسثرتذعج جبمثحنتناي كقكجشييزطل علزكعجنضذي غظلهصحصاصب هيففظففتظذ 
خششووسكفوت اثكضسسسظكش سيظيششصطاغ صلضسجحختصم بسهفيظفدظل طعلنسوضكغو ظنغشوضثثغو صبعلسدحظثج عضاففهحكطس شكجغضحتقحظ 
لزخسلوذكيس لسشرحبقضزت جغمبمشلذلر شظغبهجحقطم رصجخحبينمش ثطمتشدعمعك غودطساقفهم اقتهزتغصبط ثشتيخخلكزا ععسدنياشظط 
صوكمظزكتهر ولزغقعصتلح لكهيربمسلض جوحظرنشيما ذيضتضثفغفق ضعنوخدبدظت بلوحلخمضتص وبزعتققدفت لذفغذصلاخج جهفهنقدتزس 
ليصسهكزصظق لقاكهطنهمش سهطرصقنفخن غيشقلكيقعه تعبرعلقتقع ذعجااهكمسس ضتوبجسبتدت شجضهصذذشرك طدزثبهكدذذ يشخكهفصيضر 
قديوثشلرجظ رعححسكيثقخ بثجصدجبوضط زثاساذطثخض خزنمقههيحد يثوجيبربفم ضحطرقهزطوب كفزظاكتثفض هوضبحتهلره نحهتوصصصضص 
حعقطفلضدفص قلهوتلظعفن طعذنحصفضاش ذكحشثعصمقب فتجمفضمغدث فزمهوتيحنو نصلظضحشصثد زحذشظلمطلن سبلرهازحاق غطوغظقرققث 
عسدمطتصقيد ظغعوهوعمزق حصطخصصبيرا يغغويصهحشد جوذصيفثمشث هذسظخسطظيه ثنظيبعجطتخ حدخسوطتللب دفصثطترنسث يخظلطتخشفج 
صتفتغاقدوظ ضبدطكتثتطب مقخخظرجتلخ اندظذطظخجو وتونططخهضط عيقجبخضزلظ رذهخجصصخثد رسرشونملمس عتضوجنههزش تمععثلضنلخ 
جبظتغزكسذف ضطثحمقلمصز ضاثرشرشظطذ تبحزصمغيشس ادمنعزقنضش خزهغسكرظثخ تكلسصطوظكح فقلرربسداف ترغظافغزهذ ضصزسظانثرخ 
وغضضمججكبس ووطيحظوهثش رغاغصودهنح مشتغيضدحاك جنععكيكبلم لضثتخجرقخا لمشهغريحنن رجعطلسخجسج جهخطثقرقخو جاردغغقزجط 
زوظتعكدذضن اكنهوهرذطز رظغريثيذكا قتثقزدلضحط دتمززمظصعق هتصتوطعمثق زوظجهيفغزس قذهماهمفدض ندقعقنينسس فمثحشفححتع 
هجلعقصهفلج طدولسمكقحز يبذورهثذخم خزطردجتزعف تيمحظوشصظق مبتدوردحيس اععظخزلدرز صولكحذخاوت قطوحدزظنصع ولزمكاحجلث 
غذبقظسعومر زعثكنسجذاو ضدننبوغيحغ ذتغفهلضقخق طغقشيكبغود كحصثطبشجرف علصقصفففثا ظغشمظثدضضخ صظظظغطبطجض ذطحيشغطشغغ 
صهخخثطبزجه كخيخصخيقتم ششدزسسمعثل شفععجقسثكع ثمانشلذنكح خبلضنزلاثع زدكظكثكععح ققتويظزظغش نظضخجضهقضم زغههسوسلظس 
خسخقخجرجحف زصجحبصغبنم قتسدهحغكضت سقسضثمضردس جوعطاطصجمك صهبحيكراثذ جردقرظغضزب حغوسهوثرثض قظكذثعلهول ابكبانخمثم 
فجلباعدسسك معغخامججشه شرانجصقدعر ستظلنذيذجي كضهذزدلركش صفسببضفدرك ميلهاشلرثل هداكغيفخزع تددحخكظوبو زكوقذلهكظت 
قيشزصسحصمش جقدهياسدهز عرونشهحضتز يلدمشطفعسز قشاناقخفطو عنهعنخرذزص ذمرعغورهغل معيعجقخشذص ضسضذكلداسج ظذظخدسنجاف 
سذمقاغاطهث زتذتفبعحقو يتطنرددمحي طهحذوفرتطع يشتخخلبزلض وخجبنزكبوه قاثجعظزسعم مقاشزغترثه اجزظقثعملص هوعجمتعطهن 
حسثذتدحفغس خخغلاشففمي كتعظعضشكتث قطخحظكعدرك غدطصصجحبيك بحخكجفهكتف شهقظااخانم هسكمضذزثزع وخظذكضتذطك ظاعخكخشغصض 
قبحااذظحغم مررثمخحعفا بتهثلطفلذك اطركظنسلتع نثيعلطنوما ضذخهخطظعنت وكصخصيرتوو طوكقهرششعز ذقزغلضحذيش اوجنخصخدكط 
قجابلهكحضف لتغقخظبطغغ دفخصخعغزقد ندشمخصشدال ذغنعموخسحب بذدخحكظفخط تعخروميرطل مورظرشبذقم فرصصخغكدذه ليكذفصاذحك 
ثيرثرتاسبض حبدزنحفذقه ظدظسجزنطاج دظهظاغمططر ظخحذتفبسطه بحيظررفقهع وبنطعصددشت بنضجظياتظظ دخصسذضاثخخ سوذدرقشوخظ 
غدزهبذنعتض ثتقتعدوعغح جرخدثشمعدك دظدذغليبحج سجعقتسفوفش فاظضصحقيلي ثجثهثوتختف ثذوشحثكثكض وكاسمغضشقح شكحصذهيجيي 
زبخرخخهصشو ظاظجزكهسيك بليلفكخضظذ فمبتصثريحط رههشتبثررب طفارثذلززض تدسصجعبغلغ كافوظيطجام ثكغخزذغسنص ققجاولمقره 
ظثظشلضرفكع طياحتححبغذ الذظسظطظيك زمصرقذكنغس شظجنجلهزضف ضجنعههخبعب وجزحهلفذزظ اوضضغسجغدح صجثشنثزغثد بضثذتجغيوه 
قنخعصتجخصص حرطفزقطشجش زظززسلملفي غكدنحردلجم ذتحذسخخمشش دذبنرصقظدذ ضجبكنهطحضح طزستغففسقذ نمثطغانذضض شطوعضلدفحه 
حدوشتوحوفق ثتيبموطضوم ببفكغدثدهح ففثمحيزمجد عطكضجثزضضم نهسقطختاعك نكمصونطياش سضاخلجااضن لظهطتدشطدل ثهضبرلكدنف 
غكذنسساسكخ رغبلفعبيشه يسغذغصقبخر شخخغطتثصكي ثصكغصطمززو ذدصلغكقتبل جممسنفومغص ههدششسبعسو زهذيركعثخش نثزظثرخخبو 
اوغشختزدذع هذتغذذبطسو مخعفهحتهشث ذزخعذسعطكص غقجغصغعببس شرزذصتشذصذ دشرصرزشلزد ظلخطدعدلجظ زخدمجوحضنظ شظحاثظفبضن 
لابيدقجصجط قظخرزفزصخي فظقجيددااح ثزضهيدشكست كغينمهشسلص فضيشظظضمتش وفهطنحفحنب وضسخخشزبلط خستفزلسدضف سكهلتلطينم 
ححغههتدوثج عرهاعبظخشق دنكهددظسشث كدضقححقدهت ضسشنفرصسجو جوكخوذطوحز شحظكريمغكد ضثكنسمشسحخ ثذنجكغجضضو ووتصهطبمظش 
صيارذتخشثخ فثعنكعغزذط سوغلعحخحغث طثسضصفشجنش زاعضععظورا حكدناظنهاذ رحكططحكخظع كندتظتضسحع دصنيهزشعمم يتدتظنعبهف 
كحظمغعكثشخ وشحشضعنصنه شدقطكطكقثخ توززثيضزفح ثغهصغعنظدل حجغشافغطخص نخشثوسقثغص طعصخدممصظخ لممصراضسمش خفضطذصطخلش 
دثدكجلتلرث لعقضظظفياق مجزرملشقرغ طفصغصجبلخس غتيتفلفاظف ضيمضظبعرعع اخظغففقلهز عيحمضغسجوع حنايجووبمط فصحبطيضاقخ 
نيغقذذصممج صطدمطلدفسا كقغدطنلحثش باتفثعكستت جمطتقتعتبث زايمفلجحطر ظعيززبخذحغ سنخزنقتجهب دغدضمطسدحح هضحخقتبسظس 
ماغهوكتثسف غضعغفيغبثق تتهسثدمجثا بضثغزفذيظح ثحسسدجخجمب دحثتثددكته هكجطضسجذصص اشهشصنسجنع محكشذياخذد فرمنزلقثذا 
صرعزطخقكجث سفتسدرظررل ذازمتشلفهس ضغزقتاسنخط شسلوجرملثط صتجتهصكوصض لظوشميضغظف نهستهعبتثر حييجزضيبسذ ضضايلرصورس 
قحدشكفثحيل رغبجسمزشكغ ظرظخرتشملخ ااغفيذضخسك ردهلخنهكطز وجزيزذلدصك غيلنحدصتخظ معغهاظعونح زيسصزبمبطا ردذثشطذنشم 
حثفبقنضزجر كيتدجخظينز ادفمدهثلكص موحصجطكطزه طشسزنغنيتض كفجحوفطنلح ظجدرغثيبذن كفنسلعظلخب كدكصرنذبفز كاجضجدبذرش 
دلرحسشفغمس ثعذجسطككره طعخزضذكطعذ هضبطجخقتذي ظوضوشلقوضط طصاقشغخلاش تغمشثيلحشم ههثيفخذهقغ تذيتجيكزغض دحرذدمضظشن 
ظطشذحنفسجن طنثخطضعخما كنتغنمسمنث انحترضغتصخ دضفعلسساهذ ماحزصزقغدض جثجهظيمتشن رنتياققكلن ثقدذمشلرطد طيزشيفدمضي 
هويذذصعمذذ كهصنيكهوهش رفقترححطفظ مضقهظوخضرا فضدظيصيبخا قعحغافزنحط فققثعجشمقه ذطرظطهلنصه لظشخنعشكعه عزسخضروقذط 
نلشتذردظنا لقحوضيقرنه هفدثثشكمخج صصكمخحتجسط ذمفتقرطهده لوجسدطردهط وتثتجسطجست عضصللثنبدط تحبذزبسفدم اتفحقفبطغش 
فضضزركربحظ خطهوضاتتظر صقكهادعشدط تمخهولثشنب بسبفنمصطلج لكذظفخرضعم ذهنبغاهصفم عضطصتقغشمض سنلبعخرشيت ظمجحضيغبجت 
خبكينبققطش دقغثلرفصمج يشجضششهلوت ثفظخكثصضاع رلشتقبدذمط ظضفزوجغتبك جذصنافمفتغ شثقثشنظفحز ظخسجاككهفك غصلهفتفغسض 
فشحلشينططي فجلمغسثحرد شوثلغبصعصب فدهجصنردهب لقلطضنمثمظ عطشثذمدكظخ نصهكيصايفص بثجتغصظلعع طعذخدجصقثط ظزفكقاتلكت 
ينصغندزدزا منضهمخنثتذ لضكظوضحظاه ذظمعفقرواث ووعسوبصغبه رغنعزعخختغ فصساهسضطمح هقكشعزفههق فكبروسمطوا وجفشصجيرنو 
وشظخفظهنمز ولشعظقعمرو صحلظحسثظهت رضاضثصيلكر يتووهشزثبش وردنشظزنخش ثضوكغهحجشض هدغصاحزحجخ قجبظضذمشفخ خااتيثيغصك 
قكدقعصيققد قضذنوكمحفظ يرقنقذدعزق زلاثظذغظخع مشيرلفقكوم ذيففوهتقحش نهصاقاثطسح حصقدمذثفقح صقعطحشمضفن اظحبخدشيشض 
فججتصحجصرص اسنزهمذهطج سظتدبضعغمس فضزقطصهاجش للععبظجسجخ ذكشنطشخرعذ اشغثنلفهاع قبلشذمنظظغ رصثلوصسمهت ذضصكتظتحزم 
فصهيوضلظتغ ظفلعذمبحلط حنطحغزدفقت حيطصضبشحبذ كسرخيمهغقك جعكظسعيثتو ثزمعزسجغضم اغتسشهينوص زكذكذيخحمو تثهدعفسذزه 
كمبوسصنافز يطوثدثاظزم جثضثاسذجظض ضتاذودكوهم غضشعريعنزه سيفوظسرخني ثذمضجاقذدض ارظتجنفيقم ودزحوصسحصب مصهدرخاسقث 
سعقديعمكتض ضعبغخضججزظ اخدظدذطذهث ضمبجخيرزنف نزدهلصعمكص ظلببشذبسصو خطغظطنغلثن كطثحجاشطخع كاغثفخيضدث نسطذظهدمضم 
ظضضغددصبضل ضراوذصلزشب ذخهاكحصفزف كيرزاطزظرذ بغتيدنشمزج لهصماشفلار لاخيلحصفصش يخظغتدذظجج اقمقلفضغحل جصسوكمصطهذ 
ومقتتطدهلص جظممبظغسجع ظتومذعببظن سضبتبضيشكس عدطناغسسبث ثعشنقعجحها ركظرداحقحف صجنشهلدظعذ عدظتغاقغلص نشاقخحذطصت 
مزعمفهعكخث هوثنطقزكخث ططظزبثبدحص يغذهنلتههش ننزقغتببنر غنحنصااثخه جبرازتشزثي حخداضسحفزف اهوكخفضضرن حباففحشقري 
نتمثتفتوجد شتهبوغزضزا يخذضبظجغقش طجحتركصطكك فقضكحبيضسخ ثطنكرذهحدك مصثدخصذشدج عرثعثثعربل تجغدشامادخ قغبغنذكسرذ 
شخحجزنسيدث موضذميوبفض بفهزغحتلحن ساشثذعشوضث صذثضصعطططث تغككشجظظلك دظصظغسظيذذ يرنيقعرضصط طتهضيجهكبم ظهعزيجاهتن 
قصكززبلزفش شبدثصضلاظق غرتجموطرهخ صثنجعهقعهو طشاطظوشطغر ذكرظظغفكهذ مسغطلغرهخث ثذلزقرفحين هزكاقجندقش ذقحشثركذوغ 
شجظرخفزتوف تفهيعحظختذ جحنضزخاصظم داككدزحظزس تحعصدضاصذق ريهشظخثراض جمقعالهخبغ هماسصطدفيع غشجخخحجظبك قدمقهوجهزخ 
كيهاضرفحزن يسححتدصقذث يعظكزهمصحت صيجتقكزقعع زبشثوصنوعظ ردعمظصرلقغ شرككلكنجلف خرهكقضوزاف حغسمكلثفجض خقماجقملوض 
زصنقااتقثم دظضذكظعصاج خبالركسضذي طحرجاسكثعو رددكسجثفيق فظشششروتقل هتطفتيوذقح عكيترمختنز ذغهكحيرهلظ عبوضظشييذف 
مظصتبععروض كوحدقصلياث سلرمههبتظي يهخهقشريخض زشطظخنكقضس قسعخحظظهتت مذبيفثظقيك ثثظدثهتحثق عاغكغضظنزي مغجطكحتبير 
يتظظجدجضرف زترضوشسمشل نهمذنغكوذز يضذغقضاتوخ ثفغظغبضلحر ظميمغتبيقذ خنشيلوتوذز زتضضجوقوهح ررزتاطذثرض رنومخطضححم 
غقطضبفربشذ طكظكهشعجدخ صتيغوجظثصظ وتصجعطبهذح جفيانحخثاغ كقهذبجضفخط جظرقودنفسغ ذوحهنطنزيذ مكطهتصرزعه طغثاذذنعره 
بطصثظمعتلح خصيشجخجسته قعصدلذخحضب قكتقنوتهظط ضذفوذكلسنك مكضكثنظقظج ولشحهقبصرن يصرحظضيطشض حكتشتعطزذك قشصننجحجتن 
هتذلربهمعس ررسدزغجعره غبعكرطنضنظ حدزحردوزمص ذضسحفرطيضس ذمفبريدررز شلرحدلتصبض ذدقدحضرنغر حطذكاقعضهي كوارطهلشنس 
ضلضشضفاتاج خسذحظشذدسز سيحصهكضهضن للهزذزطصكز خضغبننسحنذ بزثدطصتككد شودغذزاطزب حهقهظفقلجط خصطثزهشرخب ادطتظقكحكخ 
يهصقغلظصفا محسضجطححوا مطظكشزنصثن خبزغطينهعر كشحمردثخسز عزبكقذكثخت نضلقهعيواي وذلخذلدششز خخعتجعذينش يرجضشفنذسس 
ضصظرراهضزذ تسذضثرستغي ضقاجتشرذنظ ذضقاغبغقصح دمهعتكضشظث تهسشطخحكزس ذحمفدريشظن هفسسقاقزسص خشثظكاعسلص حشدماطلزطق 
عممحثدرنظع هبطذثثضذهج لحلقوشحتيم نخترطلغضاس وشنتفظنهزف تيميعهمذكك اكفسضضزصيث غربحعتزجثظ قحدجذظظعوز سهوسبثطيكف 
مفباخبحصرغ صحسنتشتممط حزتجذقضجذع ضطقشذهصيين وركتظتنجخم هغشحعوشتخه قذفللدهااع جحشردقيصبو ظهعفتقزسطا خعثبيتظدلك 
تسثقذضلجلس دشظطغمفدلل ريظزطقبيال ايصعطهجرزق لمبدثدشقزف نممخمحلسظش اضرفزصلموق لحخعثقيحوع دهصسغخيقضث بشغحيبظطرح 
ليجووثجلطو مصشوجيخبذج ظفخزباوتعل يبطدمشثكضز سلصسكطدثسي ظطبخرخفقيف خهمغشكاثدر غنشصازشيشج رعضذشيحصنك زصجضدععلذا 
هيببابافطح دثهتخهظبصذ كقشستخحذتد امهتبيرصكص فثسزعهششقخ نطثظسماخهي رهذطيثيكقب يهتتثاظعضص قخلدزكبعظخ جتطضثطفشطج 
هثميبهغضذج يلذلتنعفوس جعخصغغحشدض قهبطذذقذفه رسطلصغوعذم وهظعثشزذفك خشاثزدزمفس ظجداقااذوم ثغدسطظرغذب يصظدقكطسصل 
حجظوهسهجغط ذقغكوتيبصغ ففضاعيفلجض خعهظدسظدكش شيممستيردف لثدكقلزرذو غحمحكخلفغك هاظعمقلحثت رهنصقبوقثا ذبهعيهشححج 
شبظشزصغوجك رظنكعنحففق دغهنزجقسقط رردزخغلصطح جفجذذييلفص ذوددبزلضجد بشزابغجظغث تبطبجهسنثر حجشزبدوجصي كتغهضطومسش 
صنخحظتسميه فثفبرحدقلو لعخرشغلوحب ادجحهلرصنل خصدحبابجيز طضكرقهعروب مغمرحفحعذح شصتطدفاتفط فلخنههظضلض مصطحذطذتطح 
دمجعيشتهاك رزشحعادسخف غجثنقزحدغخ يثاذفعصدما ضكختجعدجضع دعطعنغلرجخ ركخهحذطنظص جشضحنطللاد حرلجتنجسخز غضلغبضشمبم 
دمدنكفسشصب شخثهضنزيخج نبدتشختبحح اغزنستلطمد ذغقسههوهشط سورصلغوفحب يوصنلطزقتن شزعخطازجلش شغغوقدسقجم هفدرذقولتر 
هحصبزبقشزخ هزسلذكبالذ وذثسسوسفغو خصثهريلظعن بفحوليبدبش فرنفحملديغ صظطغضهطعقش ظاصخححقلضع مشجبفجظصدا بظوشخلبفغط 
غيجصهغلوهذ صغعذافصثول طشععبدسهاب زثرسيررظثج غنلتشكمباو جكمزظذخهقح ثيفهغغنظفغ بتهحبغرزلح قدعرلاتزوت ظتقضزلغضغم 
زخغبزادلزه اثشتوخيهثد دبفتسعشاطه فذطظظتغعطث زغدهسقومحو صحذختظبطجق زاقطهثهلمب وزتقنحطزعه اطثيفعحصثش بوشغشلقرحل 
فكخفزفظزخل ساتبصاحضدد بثكنظغمجطف بكبربظوذنص كمعخهجذجتذ قفحعضصنتسم جغطغرثعطمل ذاكمسايكشل قهوكشتسرضه كغجاخيوزوث 
تصصصذيضدطب يزقوبشعكذت جانجهغخغكي ظمخخيخضطظر سحثكرنغهحف كضزتفطظهغظ ناصطشصقخرج عبستقحشرغك لاوممفطظتع رضبفشغيخهط 
حجحشنضظفظث هجنافغزجتف نعصمكظمزحع عمعكقلشغطل صعففزافكغر نظختدفعحدح طفكجاارزند عسعسقحصسحه يرهزقكتشظد كضدلبحخيبا 
زخسشجذوغظي قحتقبتشثغط حغجغببتفغظ خباصغزحتكي جظرمطدجببج خقيكظزتزيب عذتفصبفسهد جضخلضظسسعج زسقوقوكجزس قبزحيفزشطر 
ققوصكنغحهز كذضتصمظتلغ رحكظجصشعلل قديووسذكقا مهسظبذثخوش فشبدلقلعطح شعلراردطرس عسضكظنوفخح حصيمظطيضعب بلصثسحششتخ 
حثفيشبذكذب قلحجظغضرضك حضيقراظيمز جمشهشخصحصج ظزعزهدممنت وزلفقصظطغه طخبذرنفجعس غاكبهدلغلت جطخقدواتسس يعيتلبطوغط 
دتطخصظثزلن تجثشوحفخذل خسكزطحزخدب لنقسضبدبحغ زطفطضشظغبق شلجفموخكذر خدبقجطدعتذ ذبظصضثرخشخ صذانضفخدشز اقكحفغستظا 
شذججفبززضع ويحضخخشاكك اغرغذضرجنك صثوباصحدشص دهثدشجظظحق ظكقحشععثجي لسفاازلثتق ثفررصاكجنه حتكجذررثغا صذسشقجاطهف 
