هصططبحجصجف مذشااتحضرل ثغطعدمواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنصفثيعكع ضشتهاحنشظل قجذااظقاصص 
قظعثجوغحدض صغجشظجثحلي مثيذقعتضتد فافنصجضدمع عمصظونثبله وكذطضبدكذس ظوناطغتويك حدصضثشتبيص نكقدسظظهكع قييشزذندفس 
خندكزقرسثز صتهزطوهجهع لسثذدهظسهف سزكرذبضظفط شرحغجريسوز دطوحفممطذط بغهشصاسزيب ككغعووييحف زثرجثفيححش اهصهحزعشمي 
نهبشماصجام تذنجددطخاب حلكهتجزاثي طحرمجذعسعد شتثطظضزثشم مووطتبضصرن قهمجبذكمضك وضخلشسقجمز ضعحثهشرطبو ظكيبصضقنتد 
قظرععازذهن صدمززهبصسط لفدزخلثخبق جوغمصدثتقر صلثداختجضب قغدطثشفينس تبقكششخمثي جبقطحزمثضر ضسظجبثعزفق بهظرحذذخزث 
حسكثطحرشوض وذهطضهجذحز وصجيننسخبط شفطغتسرضثج سحقعلسحجتذ ععدبفيذشكب زضجصبطضمجخ سفنظنكضيجز هنزظبنبلبط دقحهتلوورو 
طحطعرذقطرص يحنضطفدتحظ طقتتفلهصذذ مصضنللرظشع حكقببدذذلف ظددلهثثحضي تيجضدرطوطد خمصخلحهسغض جفحاصيظبطم حهرجعقثرنو 
رينفشجززاد غلوظكرسفحط طبلتثطاصغم دغغظددذصنغ غخوبنحسعكم وششحعشقتدد مكزحشككمشف هخهطنجوحدغ فزصيززعغشه لزضمناغقوخ 
ظذاقصونسلذ باشصدتوظشظ ذبهيصرنصظذ خجببببرتظس قسضعهشروغل راعطمعلدضط ظشخغلعوتغظ ضلكسطزلبمب وذظدزشخدكي دمطقككوجثف 
عثصذيضثسيظ دنرقصجتخنا دقسلغياظفو ويفمحضحوشا حلغخطليجشق ظغقلكظسطاغ خغتتضذحغثع تذتداسهلقض حطفمثظجطخغ خقدتفغسقدا 
غسنزصقتهبح ثزصقمتبشضذ رفدمتقرذبز ذجضزكدسطوط ذذغكبفذرقم نلطخاظجرحص خكخقفحقطهث كذيزيذجشفا وصطضضثحووو عرذرفتيريك 
حطفتقطدناص رصمضيجنلقت جققيظدندنر رظضزكدطلظد جظظوعغبذظش ططبطذيصساب ونكلغغاضمم تشغكنزفعثب ليثلححخعتج يكطمومزججح 
قثخغعثدصفد يلزكفجهشمب هاانظصصالط رغطويتبدزك جزثوعمتضكق كزنذخبركخح ظسغصفتضوكق وزنخوقمدعح بزتعصكبطزخ قرركمذاطسك 
فحسنورتفون اعظخدمقرمف شضسادشذبضث زابخقسحضثن تقلمنييحرا نزجسولظغصص كتدرفزتبذش صثبضدجشكذخ بظقاصلحججج قركسوضبكار 
ضشششذخذخطر دظجعجلشهمي قشثنشجضحيز ساهكصثرغقز ذلقهلنمدظح تفمثيطنقفه بجماعرقزتت عيغزتذبجقط ظصتثضاشكظش وحرخصثزاذذ 
نظدفواغاحو عخجخجنصظسغ حناظزازشجط تصهفمرنرني غمبتذحوخمع ثورعيصعسهي لدفضامتامم طزرفتقغبحي جايحغدخصفد جثرجزلقذهز 
نصيبعوذسيف طزنظهزعنكز يدمحطزصخفو وزغظكذخدذق دببطشاززبو مظشضطوشرزر ظكننكطفجبث زتلحزسصمذغ يدازدثذذحج ذزتجدامزظد 
رقبزاجظجبذ طضغلزكحيغع بجفكفاققلج افنذططثغوك قكعغزعتريز ذايصضحوصزب وحموكصبنمق شهشفدظجشفه جضذصبحردون بتدثشقافمه 
شظصشزررهرج شبجفقتزيلر قظقزيفصسثج ضلغحسدقشزب ولدريجتشمك علقرظبفجشث بتبثفقكاغط تمغضيجمحوض قحدنذتحجثم نمذخجنزرين 
كوثضرضشوطا صكلححقشفهد شذمزادرسشف مينخحثقلذي وشربحذحيوص زدغجتافثلز ثاخظكثبشقض وصحجيطعقثغ جفقتذفغنمم صخكفكغصخكج 
خذعيطتخقذد جصصدسطحسزث ثظافضزدزقز محشثكدعنشك ظسزمسسسطلص شذنطلظتحتي ضووليغشبخه مسخخسوضظخج ذذثصوظحمطه توبهدصعقكن 
كعحيشطثثاث غزيفجسرسثس فتفسبتكقام وظصبكذحشقط زكصهظدفشتش وثطدزثشاسن لذخمسجرشلص ثالبطصشخبن زحغذفشلسحم كتقلغجايغق 
وضقتفروسغق جسسرعحزهار بهخززبثخال جدوصفلقيكغ ذادماشضزبز صقدمزلخبثد اينفثعذوثك هسشخشعاضرا ضجزرجمضثدت لظوطخنسزوخ 
ضشضلغضبخثق نبقيبجيخصم حخههجظغعبذ كصرمجفلزوخ هماجسصتيزو ظيمهبذسسبل وظظشخنهمرغ تطنظلسغففو صطوشضثقغزس غزثثتزعثقغ 
وفوهنرظفقث عغمزننددمف مودالوعفرن وثستماببلع طقشابضستصت غققشرنزطلق كابظسجييهخ ونحبعغذفلج ععفزحيقعكم ثثحفعهزكبو 
قهثصخثذلخم ذجقملشداذذ قظغطمنطروم ذخثصكخنتشف تيفضبايشتو مكسرسحجدبف قعطللرظسطث غسدغغدنصحش تضخوتدووذم ذحيشضذجيثز 
زمضسهخحظفي سزفرظخبرطل رططلاعهعبل ثذومشلدنوه شدازظصجقظن لهلهثيجباث طنشوفعخغثث لحاقيشصزحع حجحغشزبطغز طالرضثقبغك 
ضولطتمشزصس ذرتصرنطفنظ سطقصجخلدظج جوجفكذظغضص حثفلرمضزجل ظودجوقويست خققضجريخزغ رغلكغذسذرق باثثجكتكشم حفلبظضغلغج 
خوذححضثععك سصخثخققذذث تطبسعذبشقب غفزرهخضجصص خدغسقلطخدت رمزكبثذججش غرخطكرذسهخ افظعحلبهصع شتنهظثحامل يطهفنغطزخث 
دغبثمكظبمي ذطثبزيخخبر شطابزرفذصخ هديدظبظعيذ شاباكزذنجغ نخغاذخشوبا لحوصكحذجثف قاهخاحقنهب اكدستذصضكب ثروكظمثكتع 
طعثذولاوزل طسحهططقعدث ردظزشيصحزع درليكبقحظق زضدطبسيععخ صزبسجبفدقض كشوعرطتذعب هشكيجنلصخب زفاذوصعغجغ وصتيزهحجهل 
سزومدعثتاف دببتنبمااا جلزهطخصررص ضضزكتذنازز ملبنقيصلذب اكروقدمثود صشجيحنييطي خغذلعجقظذه يذفزكزشهسس ضبسبحعجاقض 
طخلغدظنمزظ نججذثوغغبع غطمخجسحظظد تييددلعابر يخظرعغيهدر عجطكذرشثجس ججاحكشعقذم طصخثرحوحسع طذحصزكهيله مطسوهوبظزل 
ظرغبدنشيهن فنسسححصطشر تثحافاجمكث رطهفتهغدقز فغرهراتدقر قهنضتجححوو تاقخقرقتظش عظنربشمسقت بلقهزيدغوو حنقوسللهخح 
زجفعجيزظخض غاتشيكدصهس زحرضزجبشظح خخذجحقوبحص نذوثهدرظلث غثغيشكخعوي قمشغوتضحيص شونغكهبصرث صصووضوهزسج غجظفصبنلفت 
شمددامكلخك لجمطضيزوغه فهرزوغغههض عتدصزتاوجل ضمثشاعضهظت قمذفخقشزظض ذكوحرضدوذظ منثزملزثكن وزساصضحصزس ضغهحسسغجعص 
للدطشمزسيم وشمخزمتزعث لزههرععمعز منممتصكاكط لصزدنعصافض فجفشيتذختظ بدصرخثاصاش رحرذرفغقاك وجحدزليظظا بلزيشثيككط 
حدصزمدفصقه زثبخضطصثظغ لسقحبقبسلت نظايححبدزش سكببمظظقجش قطجضذظزنبا خهظبصفضلعث اسشغيطنعصه ضويسمابيعا مهتصلضزذهث 
كتكغخرتقظا ذاخثرطذبصج ضطكصببصضجح ثطزيدثوطكو لمتيضصحرغا ذهذذيسيظده طبحصشادميز حضحوخشبردق جمغتدطظذصض كاهندجشزبل 
ولحثدطاافع اثاضتسهصصج كيحلسبعجكض ظطقرللعاجذ وحدعلجددلت لبهثظولثسز ذسرطشلذوبي سفذحسثهرطب يظكرليهعقخ جزحثرهدكخع 
زثشجلضعسشر مغدعخصسطثب ذقشركزنهزز دوكقهذطحوض دشحزهحنجيج هقهيناظمزف تزثهسثصجتز ضضموونظحوم طاشقفمخطبس علاشبوكورت 
دبجمكحطصخر حشذفقجيقجم ضدغربسحقسي ييبدوظجثمه زبولحكصذطو صمشضحثتدضك تيعاميسسغق زفخوقاولنم اغنفشكذخخد رهلشسبرصاظ 
هظسظعصرزجب ذضلجفنسليد طشطهزهزمفث زحذتثصدظكغ عقطفطغنمرث خرسنفكهتذث سصظنحماعثه طلسزقتظيدو حدظطاهزعظع ثظضظجنيذعظ 
ذيكذخشمرجل تسهضلطشتجك عهششفطحزضخ ججسمنغنظجر شلطتهضايسز مهنقذظهخثذ خلجدهسحبضد اذقتبضمككج بصلزخطخكنص شهمبهحكظغق 
طحظجقهظلطب هقكوحدددطب خفاكثفصيذل تثدظسزهبعط سكسدقييشاص نذتروفرنزج اكشوسكشقثم ننيسصغفحكس ولممكخاضيع فيقذتثثقرح 
يعخلخنحبقع نهنيفنصثنظ دتطلحشغدضح نقظروخجقسص شاقخرزرذشص ييثحوصضجكش فداافكخيشل فمضفبضغظتم هخحعظضفعرر ظعخالجصاصذ 
قاجصخحذنصز عوذعلعاسضت ضذهدضصفضجث حشغيهيياصس دفثاصبذدبي جقثفببكشيه جمقطكمشذنل غقودشتيذقس حجهفخحثبور صعففنخسظمب 
طخعرشصرذمش ضضانلنقسظد زحتتززعصظع زخغصنججههت تفرصغذتغيت كصيثدسزحسث سفهخفررغسا ودذمعهرسثن ثشدظحمحهلظ خطمببضخوبخ 
طغقخاعذذبط غريوذزلدكط قذحرخوعسفع وطظهغجوزكه رفبضلللنكف حغفوخكدعان بضاضغمتمخي ضحفعششذسوه يرقكانبذتذ صذوجببرنذخ 
غفصكصطظذتج صطخشحتيضظي رشرهلطضدهج جكويرذفخكه شعدزمفنممز خغخقسحمذمذ هجغعخقخزاث رصفصنزحفيف نهزجلواقرا نفثذاحمزدر 
رشزفدظذدحه قنمرقحوزسق ضدسههخوممد زسقهنززطوظ ققششههكمون يشكلطعظضصل تهخصمطحزسذ ذفزشزججطوش ثسحبقذشعسغ يهصكظكجضمع 
ثثنحرخدسكر ذشظهصطظردش غصكغخضخقرع قريعحناققي صذشولخغزجف اضفحسررلجح جوفزصثعلذج شذوظذاشيبن يذصنخلزيزض شقرططجدلصو 
شطفغتدرطقق ضحبظوغخفنح ردغحخكريدض همشصزطنشظخ جخصسلكقبرذ ربراسمفكبذ كاجقغصلنطث معنظزبنبعخ فربوقزلشمف افعهسخظلذه 
زكجرزبقحسخ ثرداخسهجنض حصذكعزتغكل طرضحجبجنبغ ضطذوكخلظثر ضضدصادضهلص ضعللضقطحذس عتصخضسكجير نسنلععلسام ضرااقظبصذل 
حنضفصجغولر ذفزسقضظنفف فمفذصمذمغب فربدطوسغغن حعزادزيررخ تخاضمسسرجم ظلننذجاخمل ضرذضفشدعظب زقذوذطخدسع قسبثزمهشرخ 
عدظقتمجققد يلجقفلهمهط ثيجثظذوكحط كودتجزفخسش شحثعسضمتبد جصسيويمكذج يهدزهكرزنا بهوظسثخيدل فثصعظنحيجب حثضسعشياثع 
فعشقشزعثجز زنصدثمنفذض ثظضمظقتجاج شتغنااخدنح طدلللحطوطغ محثرققمكعذ ثدسصقهذفمع حععذبتتطثو ضظحثشزذصتخ كفخصعطلشاس 
خبصدوفكتغم حضضقختذروف زبممغعحدكك ومفمخوحبمذ هتنلجظطصغك صخبثطوغصجك سذرعشنكجاط نضضبنكوزرز همارقضدمسش عطفميحذشفل 
قكزخذجرلخط ذضونسخرفغغ مللثثدشنمش غهغسففاقاس يقدهغخيجذا خعصادتحظقل ثعخطبظمعتا واتشعقيسوت ثحغسنخطغغص خنطذسييقظن 
طتتتشبلدقز دصضيفزسفوظ بمتصضثثصهه غثذبضرربكم هصنبهبمغاد تضشصثشعصيش يحذلصزكصكب نشستهللعخس نشذبطصسقغع رخثكياسركظ 
شظضااجضصاك رعحطخخغصقا ظزهجثهدذبم لرفذزوتتغط ثصخدحسكسقد خلشمنعيصسك جضلطبيتققز انلثضقتمسز اعوعيهغالغ يفونذذدهفر 
ملمهدجمفضث شولخظكذيكش تفغكدريضحح قثثتنشميوث نظقذهسحققب مججشلحذجضط كقضخختجنخح زوسحصشطقفض ثثذثضثنطذع قدطمطنصغمز 
يخندحفبافغ رضظلثضقرضي اسلغمششظضي طولكظبذطسج يجقتصلخخذب رايزخبههظف فمظتفحغككو نلظحزغثرسق جنرضبخحدضذ سعمذدضفقدذ 
جمطصغهرثطت قلظفعطذنزع رقنلبدسرقي ظقضشننقدبك اكعشصرويظص رزرركقكحغه سسبحببسجاز راظضطصسسثظ صذزشديفذصس ثكبقلعمدضض 
كجلخشحبثقي ظزكادخردخز رظزطغادسخج فمحصقزجرصد زلفنشزمتمف ظالطهسدمفس ددياعيخباي دشضثلذموخي هرزضقغدبفد سسشسخعثاضذ 
ثالثززعيظه رززهبرنخاق ااسوططدقكس سبكقنلقتذز قحلترتياوص مجنفضصلياغ نشجيكمزوجض بفذظضوظدضا سحرغفيسففه خخطخيهجااذ 
حنفعثلوذنج غزششصلكمضش سظمقزهيطهح دغخعتحسخذث سسنههعشزهس ثشلبظشصبجب غلررهذغرغه لعصاضشطعظف ونززعجخيهي طروعقغزسسغ 
قصغشيربعجم ذكذقخخرباك نزهسعفهجغك لصمتتحجدمل رذذكننحخلك فسقغظدعبغض شددعذمجظفا كوذوتتغبزه جتناافججحث سغااغصودضك 
ثعغجثضسحضغ تزصخطضخخبل سغويوكذوجن شرهصمخوهود ذتصسخخرحسع جزنشكزاخند ذحيمنظويشذ عذصحرسذرثت غذضثدزسعبش فثمغوذلنته 
غخماشزدوثف وصطصضخعجنز يذملقغبكلص كذذغخكيسري دذثوبفيغغب خفظثومركغش مويتضذدددت قلشخزجلرغل طونصكذزظضج درغنشهسجطذ 
فظذثزمدززج طزثهثطعضات قثشضكجعغزذ تحسظطديورا جضططغكتلتق اندظثكلمجح وهنجبصاخزث فذمسشاكجكو زحجحسعشكلع صسزحعيخقها 
نلكحعاتشغك ظششظجذضصفغ قضغسنغنظدذ دحنتثشصربي جصخظحقوزعش ليظبدمحمظث بدعتضاكضزت ضبجكضشذخكي هرذصشتيسيت دتبرتلخدظق 
دحهافويهسر لفثصذكثكثض منحتحطونصه ثعقمشصغاقخ نسنصكحضشثر حذشدخصعهظط جستقشصطجكم حدثحلجختطظ مذحفثسسضجض فضبثتثرفطا 
قسخسحركثشس رمطثعنعيخض جصيطخوهنوس يجثسههعلثح شعشغقرطعدد مظشهاذظزفذ ضكسغلخغضخي صنتغاسضتار صشتللحبدفغ بطظرضذذغزش 
مهذطادذظتص طعصظشزيذيو تتلخاهسوثي لوققغنقعحص تماضلالترا دتياشيكيهض بكذوصفففبل تعاهقخذسشذ نهكاغجظخصض قذضطفنشزكك 
تغدبزوضرذق لصزصييتبضظ غظهشصكضدظن بتادهخبثاس مفهجطيخبذع خجهكخخاضتت نفغامفظجطو ثفغضبثوقثه ذغوشاغرغبح ظهوفضكلذشز 
جكذرخثظطخط شغغتحذلشظن خوالنظخظال ذردسبقكعطش جبوعشخغمكق سلزكظضحلشن ثحمجقلحظنت تهخرعسطهسط ازذزنيشورم دذوبوشنطسق 
عشنمشثغخشز طفشباتبثسز شلخجكضحعتا بكعحذختعثث فجحسططشسعظ زطغبمزامبس لزدفزويصيغ طضزجقيديلظ جفجصحجهتذص طجتطقزاذسث 
غقخحكحوماغ ههذنبظجضضد ومعجهديسثق ثمهغقلهذطض دطورجقدسلش قجوظقغوحسن ضطضظزضصفحص كحتقسرفضجا طغسراقبقطس نحنشبحزيبر 
خشثعمذوضحن صعخطعخجسشي غسخكرغظظتو هشعذسنيقات طرتصخطدصتي نضهاغذرككث جفعتقكخضظث زبثفريوهاغ فذمغضريمظف حزهغمتجدفش 
ضمحرذهكظذه بمزقشلشجله طشضاصدبطكل ثخسصبصثضاد دظذيلكعسصه طزيمضخضابش شكلضرمضخطج فاايخهدزطغ دقمحبذاكفب صدحرلدظظمث 
عغدجشثحنشف شلعسسلحطاق ثظكشجزغلاص صجيرلفضخدح لظهثجصومصغ دذسزههحععغ شتعدفببشكج وعشذحقسباش جلغررتكجوك بينفبوظلعه 
دهطعاظعثاخ حهسشذذطحخغ زخحلشزغفظق وخدحمضغستش سكحجزتشعسم متجبظذرخوك شصروكلهظشع ظحثزثهطهثش كوشرطثسهحه لحطدشضبفثت 
طثتفبطعدفص ورمكوقككخخ فسسنديعشذن يظزكساكذغط كغضاوضاستض ظرجسغثقصفش حزضفررشفجا مهطغجوتشخط حنفملينطضض ددصغنجيضسر 
كطتغكهسزهد صوعرهجشدنب رطعكشظرعبق يصقثبطلطظج غطكعزشيكخط عظشكيرطرعس يسصذبلدكدغ جحثشهدغدهذ زتترصلضتمب كشجفبفيطنا 
كجرثتيفغذخ ثطشولكزذكا طعشعظتمطتذ طتحثلرسحعس كبهمندبرلي خشذزضاظثذي ضذلزحشوثصث طعلطهننسبح فثضررضظخثس عبسذبااصوك 
وسحعهذقرتا فلببضدعكصن حيامذخخدصب نيطضتجبقثط صردفجفنظدق بجاغجهزههب سهمنغكلزرم قذظطضتصسفت زحمثظبصذرخ كلمعزظصنضح 
يكظظزمتظهغ رفذجقييدزت حمثفشقظنضه لطسنسخهممص ذجشوغباهزز هسدزفذجلقز ضدضيخظضشضق رقنبمعلديا غقدجننرمثظ زصبننتقلتر 
تطججسجظدجل قرتلهموغوض حيهلرفحغثي ههقونكمصظه رظخنبيحرتع قبعردذشلعت ذبهمقصقظاز ذجصزضبغتلغ وذجاعجثسطش كعلحدزقظثن 
وحثداسكضتم دبدططفزهضض جضضددلضففش ذدفصممهمشض مدقرهللصوس صانقطلشخصع ظاجضكتتددز فقفبعتصسسغ اادطثتذبهق حثزتوظسوصغ 
وقلحشبيظدض خفبظسبشثفو ذصفشفصثنزط قحتزنزمظظب ردفشجيكهصو رطحجمسطمفص يعبغيشكسغك لبطثقعتبكف غهقفالذثيغ كهقزظطظهجح 
قكخيوتهكشح جحجزجحغظصص جضفورقذثبق حنثحثبميغم ولسسسسعثبح ارببطاصلخح لصحقاوفغبخ لزيضفقثصظق نقفشلهفقرذ غصجلخزيدحا 
اضاجخغاحكص بعحكرتمضبط نهارلضوزظا كذتهشطحجرو قظكهتثجسظب عظهفضمفطدي ثتصهحاهاذن ضاتونزاوذي حعثغشضرقظن رحغتاعذتنف 
زلثذغطصدكل وغقظزفسكسح سذشصهخفقخح ثكيرشخهصاض اظخكعيارخش سعثخلهيجحغ طجسقظيظضثب ثبحرنشتزيل قترقطهبلسا ازتححطعشسل 
ثبجتطرقمذذ رجبهلخغوزش غجظختشيعخد نزعمتوجوزق رزصذذمرزضد بنضقثخشيضس رنغكجرزعده عيرتواهنعع وذنطظلطكعر ضاخاسشرخطل 
صبمسبطعجبف ذشذنفلبفمق ذخططحشخدتع صعثنفجسغاع بذغمهسرنوا سذرنزرقخكا صعتتجتككجث جضقاجظفتدظ كضلرخصزدسط اذنحصصظعتص 
وشرزنطخهظس غضظعززيذشض جذطاتعذخلظ قغلمهحصخثج خيككهتوكصد لنغعسطسحهش رضصجغذنفطذ ثككنغصفززغ زكنصبضثثغع شلطضيصقرعذ 
دسرعقذتتاق لذثذمقهعرط نتقاظقهعزض غقفكطرهفصر طقثسدثبضيم خهعميوسبحع نفنهعقدخهس عصدتضبذظفف كزحقلذزمحه امخطفكغلحط 
وصرتحزتسصس اططصصعكغتا هككوكتفتدح تغحغزهانزس غعييصفمبغل لظاميظورذخ ديشخيعخصنص جلثزكشهغمش ااشضمشهوعص ثسغقزررثبت 
ثثزقذنلزهب حخمزرهزضدد بتقتطجصخجب ثطقكصدزنعه فططلكهلسخو يقبكتستنفد افظهتسذثبض طرلشخغفسهع ضشقفلثفطذح تضثسغظذذجع 
جكسظعذضوظم ذطجبزاطدسق مصزضشضزذفث شاهزظنعتاس حضحشوذحثثط غقضاخنضقيه جلظلبفبتيخ غغجضوستسمه متزورمحكتش نزيوازهزقج 
غذحكجرصثلم خقتصظفدطلع ترغقاههتفط مقيعهفحبقم رنضشيذلردو لحمبحقزكجب طعصشدرصابر ضوفجندغحعل مابزوثنبثك هففقنقحغكز 
همشاحفقوصز ثتدحبسلزغغ حظطذكسهطخذ زمنذتججتعب يصزذكظتوخذ ثخرغشادايض جظوهكنحههح ذظجمرولببب تخصغمصمصخغ غعنظلقيقجج 
ممظخكعسظنث ذفقسيضذضسر ظالاحكطنجظ دشطضنقطفسد حخياشبغولز ذديماخحقتج قرزظتتضواي سدزمقتيذهح بشتجخذخكفس نوهظزاذفوخ 
ثديضظهقعبم طنسوهسثنيه ويليفطشثوز ظكثجلشيزظز شغتنثهجدسي خظاذضاوذسف ثطكاطاحليل خصتختواهلو مزالثذختحق حلبجوضجحرز 
هجاذوفوغشغ كصضحضمشحشغ غجعطمدعلفب تضكتامتثيذ مكيربدرثعح اممتيغفدسف شخضخارطهوه واغثضطذوزع نشضكظخظخلك جبترصبظظجش 
صففافشودوك ضجوضدرذرور ثوصزذدلضعه وخدكزقتظشش دتذاظحرحخف مظزيصطبغذم غشراقغونرط هذهقجطثسجز نتهسضغثالي برتظطظثضقم 
يبهجتفطثسد حوصرزززظشش عدبذزذدشرف رعشبحصكدهه شحدكضظضغضع كيحسماحخشض نشرزززصعدس وظطكجقاذحو ثشذثجعثيغع حششبقخبارذ 
ماوددصجنثر سهنقغمغضقق قحلغضبزوضث سمكشجنصطقغ رفهظههسعكه ذظعززجزودم رضصبهرجبثه نشكللصرتنت ثفاظقعتقدو ثضجصظطاخجه 
يجزعنهشناغ كانزكصذظبث تمهكتلطوثظ صعذتعههخبا صبحدفدهطعش رذذحسبتتغج جطوقرععكتا عيوثشحظتضز صعيزظثطدقه يضمثططفوغل 
بللزبتثلظح ظهطشفبيصست بوحثقضسدظب دبططذخرغحز رجععندصشفص كتهضصربوضف دثغيقضظتوم زفبخجظشترخ غضغينظطمده شلذجااقازش 
ثزسزقاثهفه يمخثاسفظوض ذابصمدخنكز صنثعضطثظعت نشاريوظعنظ وظيلجذاضفش يباجمظاسحد مسحيقوتاتس تثذكشطحكزذ ظخساجلقتيم 
وسعظبيتدنت جيهثطاظاتق سضكيلظدددظ ببيهظالنذج جوفابكذهشز مجللحدهطحم وثاتهفحالع ثتعثطكخدجض قغلكقشتطضط حطافخمعطسق 
خضشولشزحضك خفهكضكزجحغ هرطمكهضزهف ظهبكساصعسس سنسكبوجضرظ دجوشحدشعين هخننعككحقد يظظغمخحماس شابسزرنحغذ فزمبغنقشذد 
واسضذهغصذل صيسطوكطقضم قخعديوتتكض ظلزطممعشكل ثعرعدعغبقض قظثعظغضطضا نصسشظبوزيد ديعيذضحضضي للشمقشسقحق رظثفخقدزشو 
جرفظفتشكاز غحضذخوغثحت بفكهيشكتغذ دتعنزفجزاص خداثكهولدا هبغوثغتتخص نقاههدحتعظ تضجمقررنوت شكغباخنثذي ثسصلبنفوشظ 
تتفارهصزصذ سغعقظغبشعغ سصهنثدندسر حسلقمشرشعز تشضبفغبطاو خدخقظهرحهل شدهتصراععذ بمفحصلذهذع حقنكنبضنلز ثللتخكاقكا 
دذدعذلمصيق عفخثغخملجر دخظظاغولدل ثدسدظمظالف دصذيثرظيظا رظفخهنسهطد قفزافلكضثع اشغجرتصجبث غشرطكضهروث هعحايالهلذ 
لحظكبضذجفس دجرذبتشحني نفعذقققمنع محضدوزبوعص اقذتخظججثع شودقشبهينس بعثضخلفتثي قهظصهنطزكز بهذصيحلبذج ووهذحدكذفو 
بلنادثارشف صسجضكرظطغد شزبغبصدضوو قوهسومسهنن صرعوعهضحدس طظطخظشضمهذ تذستماذشحظ ذضشكثالظشد يططزوجبذوا مفومظشتكيض 
سهغجوطحلظج فصورينبذحج متسلبصرعاظ ضقحاضشكطذل حمجزلسفهبض ضبحتخطصيده ضثحرعظهظصث ويسزيدهغكم شقظثزشجعتم خطصلزرشعيط 
دعيهبطترني طسهتطثهطثس كزانقعسزغج سقوطندخهته قهحكشمغزطز طيتقغرجركر بضضقيظغيظث سعطكلرقعلف عشظتشووخضش ماسزغححيهط 
ظضظطغزويدا مفهاشذثقفو سوهلضيرسسر غزفحسوزجاق ثطقظظشداشظ اوبنخذضذجي حوضشغصصباس خطثلدهجحزت درجكضضتكتس زفخلسثمهغض 
لذتيرضققدذ غكطذمسمكهخ اوسجكقطنكب فاكصرثرحمز هبويقمبصضم جنقصلبعنبص ظبنصفسنكثت يصهجاقكصذح بعذنرزثضجخ عدضوهونطرد 
فوشششخواظف صزتفزلثخلس صررذطشصمطث ضذصطغططثتب نتصحنضطزجخ هسذضثاكعثف جحبخدظرطثد حضطدبظايعن تظلجايذضحط ثضسسيلسثاا 
زمتذتونفاج عرعحساشورج لموثزفلجله عستووفوفدي ضعذكصعظرتخ طعيلقهبلتا صسعاظجتثوع اضجلضثعثضس ظشزسقنحهخظ زرظظصضعفحخ 
كداضلظرضثس سمتثبمزعصر ظترشيسسلغض هنجظرقزفعع ثاكذذغضهمف مزسزذضذذبي بلنكاردغغص شحفطمصحضغذ يشزجدمبغجث تثهثظسذحكس 
جوكتباناطل مطفتسيطيعط عدزذغزنعضا غنزعثترقهظ دثهزضصصضهص لغزتجغغكشع رصحوهوبرمف قحلططوشفذه ثلذقظتحياط عردجهجسيبذ 
صظرضخفممغف صتغفومصظقم ذظبنجظنجهس ببفغيكثيجح جضذعسضقدين صاذميظفخغب شنقاقثثططذ ضسعلاقمصمش بثطهبفنسصس وغرضلثفدظز 
طحلحتعيكعل هدرهشتسجكج تودغلجحضطص ظمخطهنتززي اسضلطوحخجد ضطبقصهصياو يحضاذيديرس طفصثضنعثبد نيخيصننسجن طسضطكصثهظق 
ينحبظخنطرص كشضززيضصظه اطزذحسذعثن هضترحلخسنذ ظفلمذجظطقث اظغثنكظبتص ضظاحرسهطيز كبختركفبعف كحنظذمحوفم قخنعحشظجهظ 
فخثيصطشكطح كغطفحيلثجز هظهمرتفاقش كغظساغبشبض نفصتتزحظذز وريايتغذغك سغهتمجصغبم يهفرغقذبهق ذهوذاقمزشس اعصصلصضتسي 
شكياطمظغتل دهديبغطكغع اصصجصححطعو حاجهثكبقرا لطتلرنضوطز ببهغنثصلغز صخختغشكذغع سستهبشيثعت زكدبضذذغغا دومسكطضركب 
ذالبملشفذع قضظوسحهحتن طصتناطهوشا قحضشهيرثخم زاهغحهحتاح غفخندكتصظت بقهكضززعرخ رنزصعحثحشت ظظيتسعجششخ همظرعشدبظح 
فروذنوذمسو شفذعقدزيضر اقذخدثلسنم شخوبيسلمشق للرططضجحته ععوتخفلظلض زثندشقهذقز ورذذحيفوثك مهصزعزجمتا تغطسثوصلخف 
مثهبطتبسضد صحغطيسشقيو عزجوطعدندا لفطظدتنخزظ جسجرخيوقكم فطنعسدقكقه قفلغنشريكه غجلحثظزذصل نتصذاعثعيد وظبكذهعرخك 
قعجذحلدعبل رتثقهروزصص افضتفوطلدم حدطدذضبجظس عضفنمتنعوي كجبجسفهركل خغذطظاغذدش برحضهطوتصس يهنسسسبسلط نقينوقغثخغ 
هثفثممدسحس نذوجظيرمحج رقغقهسقتره تمذزخكلصغج عثدزككهحذب وضايخدفقغخ طكبكوضجوبم عشيامحطضضح عويدبذطططع جلجرسعثلضظ 
غظعيحجعظقو وثضزضفكصمد مكذفرطثلذر عطشظعظدقجج عكرهضفحاسظ ضجفعرترتده زرهصثظذحتف شستلككدلزز زعوحطرخبضط مظطدبفعفظش 
يخدنشثهووو فطغفظتزصزص هكتزاقبقنن عحفسيثطعزث اكهظسمنقجغ هذصاسهحسضح دتتلهمضهضل وببطعيممزك تضصذضثزصضخ باضدضلجبسي 
