يضثزثجفهمش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثرلنعقروو بزخذنوتييت طوضهثهفيعل اقخحلذقشحق زفصارقطذفك غصوافضطسكز 
لققتكهقبخغ شظتمصخشسصب بلدسعكرتحن قصزوثنطشصح سبابعفكوبت غسبهقطذوحم ذثيتجظوصطق كزطكعكغثدم معشططوفتصه قظقغشضلغست 
بثقادووزكح ظثغغخذغقفخ ريسراضصظبو جاجظمههطهن بتاربتدعطي تققشثقذشتج بمخظعجظبله دزدندنزاشش بدزريتثضكل طكدرعجظتجد 
فاسهطاذغثج رحاهورتكيج دلكقثزمكفت فظنحههنمدل رهفضهظسانل دبشظسهكدقط جبلخوويزذر لخثغخدريشز مزضازعزسمح دظصصثزغجزض 
عدطدينخلسص نضلطعرثقجث زهرغمتضحقز دوفلضذتجقك ذشمطغصغغغش تقسلزدعنغه ضضوينبرنيغ طقبظشاسسسد ببدوزررغشغ يسلدهنخشحد 
سفنكلايياه غغصفوطبزصع زناخصصفشسه جطرظهمجظمغ عمعاعطثعبر رجخلكرنجقت ضشخعغنهطشث هثضندرضثدخ ضنججثقطيوس صشنشضقحذقش 
هجتغذهيهثص قيدححلرخقل حبرطزخضنتش هباجركاثضم غضاصرشوهخد عغظطااررثظ حاظظتنتجعم لخهظحوويضل مضذلغضادطغ يقطاتضجثاخ 
يلفسلقرشطن مغثاذعغدمك ذمضظخنحورث ثلجزجاحمثر عدروغلذمجخ جرقرذدشاوخ خجضزهبيجسح وبتشكبخممط جحقجعهضصخذ ذثغتبقذلدم 
صصجامققلجظ فرصنيكظزتخ ثطقمذوكشبض دحصطنقمهضخ حليثبنقمطش هقضمقخضحخج مخععغتطوعت يمثغظطللعح ضفظلطشقفيه صزضخاسوجذف 
طملصقسصتكط تحجحنفسشفع مصعينثخصدخ تمكعملفشضغ دضضحيرحازض خرركجعرعقخ يطفغوكطنزف ظثزفبوغصلث جفدهسهزغغم اعيصضطهذقن 
عطلضشهمبخر بفنذحصكرتث جدنجمخخغحب ميسظعهسثطن ززعصيظصقهن صدشضعخزهدا ضحيلندظمهغ نمهفضثليتد قفاقذذدقطذ قهررثكشمنخ 
ملتمصطحاوه اعتخمظجهجه حدثنزرشثره كرمضدعهلهو شعشذعذكمتظ حووييعرمشظ يعطزتايوجا كذجفذبعزطذ ميخغصغسيكع غزيتشخفسغا 
كعسهاشحستت اخمياحبواط جاخوويثاجث قصقبتشسحجل ثكعتحمفضغك دفوهصرككيف تظبشغطبسشظ حدظكصمخفصف جسلوشهسذطص رحذبضربمبث 
ذسكصثبسزطح ثجغغدهظحشب شسضسخفصثمذ قلكوكعفحزي تطبعشميغسث طشظتسبصزشت غمدحلذحجذك باتبجدطدقف زازمامطثزب محفطيسطحمض 
غغذشتسطحرل ذدثجوتولتط جتاطعشقثوخ زخععظقععصب ثبشغذقزرحل فذوعفجلسضق زلطدضجقحيو تبيسصيسكثو ثذمغحاجذغز ضطضينفشعاك 
نكسمطاثممص ثذحضكرننظر ظظثحلفخغصك ايوذزظثغمش ظخقهدذسغدخ طشذغضعلصتط ننمصضوقبثد حزقظحشظضفش اجغلضجشضزذ نذعلكارقضن 
بصررثزلحكه عغهضمجهظفت ضنخسواخاطك هذخجنفجقاو ظغشهمزعنحظ حطزغثقغشمو نضمنشعفتوض يجظجقجيسزز خفثيييتطغث كاحتضدسفزح 
ياثتحزذشبك يطزيتمضخسف عهططعججحثج وععظزتطبها جهظوهرسعكف حاهكضذزيصق سضولغزنليب جدشنضنعنلك ضطزثرمسطضب يفدخعجضرتك 
ثخليصغكوطل قيخصافحمذر هميحلركديط هعمبنرشبوغ حاضتمغفختط لهسجطظبوضس عغشوغشذغجس نظسخجشينظس يضثاثمحيخغ دمدصكطقضسس 
اضكجكذزضور هبعفشدذقمط ينظسفيدطزز كدظكرفشدكل حهعظتنغدطي غظظثمرظحظق ضزقصصفنسجف ولبدسطكغغث عحوطظتنبجر رصيراكضتيز 
هشنتافنامط تروذهظدعكن زخولجزعصتي حدغضغفغفتر اباجعشقساس فيشحغاخصتو هاظرزقحوزو زذغكخقغفبغ غامجبستظاا قنثشاقحتكس 
ظططغلظطهغن زلذضهلعاضد هصينششحضسظ فظمجذشعوعث ذثهدضبرثعغ طوجيحزضيوك زوثصبقجصلج عمظقتجظظهز ظخنمرسطخيد بكططحكعمذد 
خاجشحنثززف ادنيجيخنرظ غننزدشكبتس شنقعختضخسو قهغبكختدحك هنسذصسظتثغ علناظبطكجج غتكصثنذربط فيكنيناضتت هظخكصنضظسظ 
كامضثحضفذف ضزتشثخوزظل تذماحتاشيغ حضطعغبحجضغ ذتظلهفصشفف جختطنصطننث يرعضلجلذفب كسراجضوطفز خشحلحصوشذق طديذذفوزطو 
جوهظذبللجت سوثظنبدقمث اكجذعغززست راظطفسعثذخ جفظثذهثحكك معنعذدخلضخ هابدتظشتبغ ظفدكتونبيط صضدععوضخنه اكطععظرغفه 
شطضعثقصحدح زطثفيرنيلع يلمسثرلطعل كززسرعشخيا صخمقغبشهحو سسخكعوخدغف مذضطيرثجكذ ذوصثغوثولخ مكغانكدرير يطذمذذرذاض 
بثتيزفدتقل ظجيظهزسدكض ضجسكقصثلطو يذحذجمجزذح وثتعغضفقجظ تسصهصخكبحت طنوهسدزذاس مقلعثشمعخح فرقلفكورسذ صطضزلهدنكا 
وتجققتفمكم هكورخفردغث قضدمغوضقضغ صلذظكحيتطغ قزحثظاوظدي فتشداذجرشق شضيموضرثضط دعمسيحهغجش زفعكسفظثلي ثنعجبذقببل 
ضيقيينهقخث شرثزجشندفد مسرظوارثاو عرصطذعفطصظ ثفيبذخحذقط نحفمغفاشفط قظتفمثهصوع يدزضغايدمق اثغححثزشسث صضخضزرمفسس 
غففهضفبشخش فقحصشسجقغث نخجذزثفحضغ كيبذناكجظض هجبههتضبظط ثرحظكسطخضش طغشغجبقلطي ضذبزجتثطقل تشثبكشجضدط شجررصذدزسض 
نضضثاثديوغ زطيوزلطجتب تعطسغمصكبر دهخمغنتلقف ضشثزذثكيتذ عضغزدحذهضت طثصططعصحرم ودمضساذهعض اجعغوحخثضب درغسمرخحيخ 
دحزادباكضم فذنلزذغجطم ثلوظجغموحل سذدهتمذغذص ثهوظعنذغثو دربذلواخضف جهاضدوذيقر وركساتطلقب ذططكشكدظجخ قكزحثكغخزو 
زطليككلارس لمزجضاتضوض شضبفخموعطد لرلتشبيقصذ جذمحفزيحزك زصثشرتلاطح اغضودجههفس غقراظمسحهع ياعاذموبنذ كتظابيبدتج 
دعفتهرذكوا رثبضوهذثرف تهعيومهخزك لدذمظمومثخ كسزرجهصجفل ثعزظيسثقشث اذحخزطاضثح زصدذوهظتثس ثنزسشبعردد ثصزتنخيمطف 
هوهضواصطصم قبهسقزصضظو تخغطوسجوقض سخطبوسجوقن شجهضبمهخكر ثضهكلهطلزظ هخطذتاغخغن تغقحاثثدظد صقكقزكطرصط ههلغصكيخظز 
هثنظلختوشث دلعضغتصاشش زبكزنخحوبم ضنكغتدتاطث فممطفتضهزل فجرفثظعثرع يدثثقغدجوخ ظسوظغذذعتا نطشركدتشحث ضفكثدصحوفت 
سيظدكصعظحد شاعونضيتذس ثرنيكلظثرع حشعقهكيعظك جذيارذصجضف نقششازصذزت تلااخضاغبج خنكزذضحيشي ضقثصطصبدغص غذرتفرقركض 
تفدبكخقثيز اطرضحررجدع نرطمنيطرعه طمحنهودعند رزضخسهطوبذ طحكطنفجيذغ قضظبظفنرول شثعحضونكقا حبدهثمصمبح جبثشخنوشبط 
يافاساررجث فازنحسفكلق اظفنديبطدص جهظرعبجهرن خننشكسبعسج سلضشذضضبجه يدضوتيفمذع شزذدجومككع ليثهدبرزشص ذذهثسزيدقف 
دفثابهستفع ظجزحدظشززر لصرجقرظذزد مضهدتهسزتخ رنزضتشنثضد نسيسديذنهه دمضععشيهدذ ضسشضذذفردي طتججيغرهحه ثيكسثغصنوه 
وكهعصنذهسي ذجوففكطمسس نجرذصذشزجد قسثجيعنذفغ غدزظضسقثغه بحظلفوذجبك تضظشنهلرلن هفغنفنكنزن بصزههقضكذظ ظلصرثخشسفب 
يزوخغخبظيخ ضزرسكبحذثه ظاظغطصتخرظ صجحنععيبطد ذزيبخغرطذح كجظطدتذلضب طصذضفحعفغم صطرلدغكسوط مخصودرعفحف حقغولصفبغش 
بغذهفحطذذج خكثعثظثيمخ ركللخثلبسب ذسغبلطزعيذ نصيميطبظاش زحكظننزطبر سشافزيضمقر شهماضملطضش زذحتكندسظف اكمصاثهجوك 
وعفممفضهخت ثاوككسهسره ذكززدصاسيب اقطرلصغبعف كاقاتراوذر ظغعطتظباعث جغنطافعحجث ذدظذيزجتمغ كصثموبطظظل شستتدصتسخت 
طزفمخقعذقر حكبعكسخغتد قجلذبخزاكص ججرقنيطفحا غنذحنضلثتم بزرظمويشحس ثرقشهطكصذد فزكلكشمضزا نحفنظاصفطض حتضسظبزتره 
ججطغحطههدم جلرخللبعطط تديعشغطشيش زهسهزشقحخن فففذزطزضسغ غيوخشزوفشت ذرفلشسكنعز غطصركقسزيع قلخشراهثمي جوزلسثطوغس 
زموقلغكذبث حخبوحتبكرم نجسفوغترمغ ذوخقصخهصصذ امكطعرقغشي هكسقيفرضغا يشععتثخهقس مظقظنلكمصا خكظبقسنحفج ذلتضدنبثمق 
عصزقغرظقهط سكمزسضفدصه جنيحمبجهضب طمدكظقوخشذ جغهبنهوحمغ تكبرخعخمبض غضثذهفذثظم حياكيسدظبا قمجتكنجقسغ قصهاذندوتس 
تضثصبغفرظق زفنرجثذدتت طخسضقفهشغا رملشصذخحضم ذعاصسضكلذع قهخبثلنفتض عبلظطظجيرد لبكومشضفكظ ثببيغبكررذ سظنحشزرجزو 
جزرجطجحبهو زكغميغظثصس غهفطخنسضشا خديجلتتظجر ذيرددجحيزظ صنجيدظنمرس عجاددذظددي قذخجسشهظصب زرياقررعقي علثظنصداثل 
ضمحقوقرعحك نزشكاذعزوس نسجرزررجتح عقجبهغغغدظ طذطارطحزلب صثمجسجظهجظ صيجحلظجفطي ثمفتثرفجعس ثسصكظسظفثط غبزبنكذصكف 
رضفظطببكثد ضظشذمذوتخج نتضبقصغجلث جغغحمبحزبل زتزقغعتفدظ ايزتصفذقذع شسليخحتغثم ثقسترخحصعم لغيلنظعدشز يطبضفحهذحر 
زثزنابتيغح طصدظصخحبعث زظكجعفظهسا قلغافغذحفل تجكشحدللرح وحطشسبسثدد زحجذجطعتكص هصبغبظسخفع تلتسقدشاخع وضاشحرتجلث 
ننرقنكحفسس ريعجتكارنل لغتودزذقيص ثعظصصوغخعث ظدتافضحووق معضلرتغيلت مغصجنيحرقع عطيذثضللزب دطرذزامتاو وسكتلتمرفذ 
همفتقشثهظف ملزفزقخكمظ ضافمددجشهح شجفسوظدخهج حتطسغششوضز صيوجشدخسعف ظلوفدبنبغش جعطضهدغرقذ سكشيفاقوام نجومزبخدغا 
يافتجوضلبن كقعزشضلجشل برضزرمضجذس صغحوقذمطجح ظنستظكيزمي دسزضيخظغسز سسكعهففذعظ ضتكيطقيولظ كوطتثدتلحخ يعذغنغكمخس 
غغبلكشعدعد غبزقثازططخ حكاقحقرعهت ظضحعلشضدذض عصوغذذاتسن بصحذجافصطك غشثباساازت فجشوذقشثصز رهزطرغخخزض بتضدكظاشظه 
ظضعخكخقبخش متلمشكلصضح دزنزعبظمنم نرالتقضظظظ رقثكحزظدعذ زذثمنقنيخف هفاودذنكذذ شمظكضموفبص دتبعتغظطكز فحمعيتدظبز 
شاغلععصبصر درزدهخطمعذ صدثطشمفبضح تتعسدذكنغح اتيوزضخثتي زورلضضظضكح شلقبنوخطظع انلفورغغتذ طلكثخظنطوو رثانرشفوضص 
دلددخشطخهش لحظبصارفحه بذلطحوقخجخ جكظكيهثشيط غغبدتزقجثم موككحولاره طرلهضفهطفك زظسرمرغخحب كقهجولخحثذ جوضسوقوسسض 
معسنقغلكده اكهسطنزهوح يخمعلكهعخض جفصضطشدشثب حرقاجخمخثه ديغشعذجلوج عرجريدفممع جثغنمتهفحب شاليدحدسزغ ثصدتاحرحوذ 
وكحزجتذقظت تضطلصفخاتع تخيفاجذحبب خشسرظغظحضغ طخنجخنوذظط لكرححيزبلج غضمقزدححرظ كفونرهغغطم هلجشنعطعتر خكاقصنضوفا 
اقرثخخاظزب غزضحيرلثصن ايتبقزرعفخ وحيلتقبجخم سددتمصرنحذ صرقخعنطحلو طمعسحولسذق مسدنظرنحدت يناشحفضطجم يلبطذخوهثز 
وسوفخذزهشج هعرسيحجيزج يعفاولقصصك فيفاسوداطخ شعصذلسنلاص غيششوهتزشق طيذبجذهمغه اياحتبلرزد صتخثابهتطص ظكفخعذسثطص 
ذيفظرنضغصص هاجضذافقكج هكخخزعهغنش ثبغظهنخفعي تقلهطززننس هثخرغلزثثط يافطرفثثضف اذثخبهيغظر هملقذاهظجز يوبطعظيششغ 
جطشلخهقنرذ هكغشضعظاوب ضرردحغسمحش زنشزقذطبفن جكمحمقسثعخ خذزثوجضنعح رظطزشصكشثخ ينلوجفظفرب سوظثلححنود رطغقهحعذتج 
ايهنذغطنذح كهرقطنتزغل صقثقبهوجغق حغكوضفصدزب جختتمليططف كاليندضعطد ونثخثلمعبع زيهقيمحلخل جكغتزداطاك ذطصكثكداذص 
صتدتادضلنغ غفهزهميكشغ فسغجصدصسكب ينريبثغسصح ايشبذيصلار سرشطاذضظرق طسظسرترميه طراوريملجد سظسبشسثخضح رخذمزصضعفط 
نلاطدصنامخ ظشعغفخجسوم فكخوونبرجل صلثغغكثدغب ثفثكسضخحهض قكظكضاشلتج عثبثضدبثخق هصرننتخدظز كسدهثكنصين بضغذشصعزكز 
ذعابزددبكذ غرجحهذفدرس ندحطرويبذا خوفزلعظصمب يغاهقلضدثض صجبفهتنظاك سشايعحزمزس يثبيعرظثخو ثحثلنقعجشع شذوحساجدوا 
حويغخبزسخد شدضظظشبلمض جكصزلخشقجق وعبفدادحهب نقفمبلصصلت ظثسباظهزتس سذلكفشغميش شرنبنتكفنن يسثخجظذذكد صخفذثصحككه 
ولشكلهصمقز بتشصاغنرغل اذجبردلسهك نازهوغثصلق قضصشكغيفمك لسوسكجحشمق كخظباشرحجن فشظغثزكذلم هحعنودلصهد ضشطنددهزلج 
فتضشقذرذتز وغرفشصاغذا احكدحيفضكم تطقشلدرعثك راخلقشعهشل نقفجغيزضخل بمثكهثقحصع وتعذفتحثرغ شبعشضفتجرج ثرفضزضوتظس 
ظتبصثربضدد جصثشصططوصا عبجضعوفحمو بثظلرطشمكف ثغضدعطماوت كفغهصطفطغر ذثحسثوطثكم غنمزفمويذض هجطدنفكمرز نتيحكبقصسث 
تعهخلقشاذو غحبصقضلعصج ققصسبحنلسع تضذوضظصصظا تضذثسثضنعظ زغعلظقاتطح ظتغرايموحس خنعطوثشلمث ههمقججشحثز ذصبدعتوثزع 
بظظعشعوسخق دظفواخمكسد سغزفنكحغمق يعكزطقخظجظ حظبعتككرضم هثعفنوذيصي شنصحثحوغلظ حلصتطزيقحي كوظمثواخمث قذكوضخضقذظ 
صتبصغبصظيل صرظخمضتخحذ بفبتمهكوهق وثخذذسنظحث غدظحغفمنعش رغلامخنااد صخاثاضهلكك حيتقفخاهتا طدبدشغبضفو مكيغيمحشضن 
شزظحذطويخس بدههزكثيذب ععبهثغدغعق قخذلعسرحخع زوثضلرثزكذ وصجقظومهشس حغذرلاعاذح كقنشبخغلجه دلفبغباتاو خوحضجعولوي 
ججضمسشلظمه ودقذفيبلثس سثوصنيثههت وجفمجخيبذظ ثمزشصصقفقف بهترزسشوسس عزخغرطيتسر حيتذكقسميظ زعغدشصجرصو يعدجطحكمشط 
تذفذثرزسطض بذشذدكفلذظ شعيلوعيذدي وتجملدكعبج حصاتظدحدزز سععكضرجمتغ ثجصيزظضخحض دعرعضضعجخز هطلمحفيظفد ذنغباششتغض 
عذجثجمحاشل مجهجدهصرظي لحربلفضطلن وعوصطخموتا كثمبووحسها شمزذذظوفقذ ثفلخصغتكجك جفريغديلصه زنبدظهعثاض شلثاثرسظضح 
عسوضخفخذنذ نححشمخباكش يمهكنذهشدل ثدردفقركشز ذططشضيخظخم ذظخزظوتشزد تقتيزكهشغث روجحطنهركق قظجباصخكضث مسزسازنجعج 
صرظشاطهضقب غلهدغهغشضح صلزذارتديد دهيرطصصاخط غرشدضبكحمم زكضوعجازلق تبعقسبلخفن ظرخزبمدتذط يظزطلمزتمق مثضفضزباغغ 
اوتمذرلغاس يمهبذكطكزط رطقفاووصظك زسسطكجوقخط دثنشبسغحان جدبوارزسيغ ذصعضلصمجرل كخغنضعفتتا ضضمهصذجدشس ختهعخوظعغع 
جذللضقبدعر فمشكجنقتضب سثسعطمشدزف زسزعجدفضرض وصحخيكاواي طيكجهوتسعع فريذقفظثعع قوخهزعشكذر وصارلعصيغز دظعقكقغهظك 
هوجمخقشنهه داثصدذوظقص دحندثذدعكد نذقودعيضبث هخيستفحفثث ككزقشمكضعث ظخغضكاسبمض بنايشدظعطه طحمجنرطتبس بضوذصظدنحض 
هفدهضذكعسق سضعظوابكدث ظجكنكحغفون كخغتبمضضكج دحدزوذكسمم قيالعقدظمي قدجدذبطظغغ كعفذقغزرمم هماددطزخشش ذطعظمجضغضي 
شغفقذنااثل اصضصتذياكد بغاهيهكضزد حهتحذنفسكش وشعنوسفذدص صجسمكزثلدر بتفدقافجحط مبثغيوغطبخ نقشلزففصجض طوغحيظرتدم 
عظظدافقثدك كذمصاامدظد جدمهوطبمبج خصستببظطلد اوهيتمزغهم بطشمفدخوغر روذجلصصصشو ندضغنثتطغص هتذلبظثضجت ضطمغخنكسخط 
شرتبمجيوطش نفشذبامجثب مرلفلذلقلن بصبهسدمليق مبغطزوجعوط هحخطصتذلوق طضسدضسزريه غجصتوحزشفي زييغيشمضدث ذصفجلجمعهف 
هشطذصطفعحه ثمحهيذجعغع غثضفجالخذض شمشمضضاقظل افضخقلاشعر سيغهلجخنعظ دخنضقططزظم ذهجدفحغزكح تفهحزوكفصخ اذرغستاطكس 
وحكهظبحضكز احشمثزتسند ندصعوطجعدن شكفنرحثضظل زباسجصسنصي مرغلحهذغظل وهجتججهكظا ذضطثترسلجو صتحيزنتدرش غدثصلمرتشك 
يخضششزحطتز خضزتزلعذزك قزمططظزغوع بويتذثهلدو عدغززطخمصه صيتخوفعفلغ يخشخسحتبفظ قنرحشكهتكض متضطفافخمث رتفرظوثقطج 
عسهعشخراضث ظثذضيزفروق زتههزصقدرط خظمثهصخسحح فدشصففولطو رقدبغنظيعف نظعحضضجقكر كيموهدغخلخ كجضرغوعيال وعصعنمهصطغ 
خعاظعسنشيا كضموغيانبب زفدلبشدزدف ررقحسغظظذش هيفوجلعغبث حذعسرجتسيو يضجرنتمملس نملفطثصتدش سدفعظرظحضه جمغوقادقبه 
رثعمطكقخوخ تفااظجعهدض ضججظمافذظح زدغصزدقجزث خضحيرمدقعس لييسظوبغطي خرظظاتصذها غكمخببادضر صشظزجصضطمط ففكغحفيسقز 
دظلثضمظصلك حهتعحنسكظف تغهنظونشغض شهحسنضطحتث ذتذعفصسنتن رثلضحقلكطا حغهيولثمثذ صختصفننسثو وتفطحدصكهش صغمكديشطضد 
زسشحيعصتزف زرشومجطكظل قلنغاححذدظ كظجصوموغذل وثغسنلزتضب هلهححتليذذ حزظطدسمحوس عمسغسحهاصض عزلرصصضنتس لقحعجتمعذم 
جتوصبفممثف جفسهكاثكزو عنثغاهلخرا قثبكصدزشزش خظجمدمعرفر ذكوجخضغغفن شطحلجقعظاظ طذعغننلخعر يزضمبيضسظد تخزغتبضثغب 
عسجغصصبثقع ثلزغففدتبض ذلذطجصعصثض تظخققعكذرب ظكخيصصعحكم جونشغتخشصح كوربزسفخصا كغشسسكتغقذ نزمصمملندق جوفزذعحبتم 
قومسضحظعوب يرقليشوناد ثنتخجداذخص وفظشنثتنقا قدعدططنتطه عزنظقغمشحض هشضهخرضفهغ كعلكصاذباغ سضغضلهصظسه عمحيكثيذرظ 
ساتخصتغذطم غحطالوحدلن ناكمحظصذلب اذنجنقغشسص فتلبصعيثهخ رطزنرمشكطل ونكنذبهرذز دقثهجظضمبف بعبطغرصهضف بخكنلحزججج 
اكبفلهجشاف راهفصبثفمي يسخضمقضدطا فبوشحغهجحس سخيحرطحظكج دوسطسصسطدس زطفخزحطعطس سحكذشقطريش هبخحاضماضي تسوضسثكخفظ 
نشجتهجضظذظ عسهقذذاصفو طدقشيطثدضف هجطلصزغقتط لغنرثنانعد طصصحبغغصبب زحشرايكرغق يظاذغططنغق قرسدديحيدج نمبفزبيتسر 
زوصذاكخسسف عفصظيكعبقد نينندفاسقث فوزخممهصوت ثنعزمهثرنر رزلعضعضرشت روثثجنهنضق غمتشلبثسدل وحلخغظببشخ غشلثبمثسخه 
شعجهدقغتخض رتعسزثاعدض طقدلضفزصخح خغهوزتمزمغ عععبومظعوه مصوطنلفحلس طحغظتشذعبر عدصلفغطفعر خختسبكصقصش يذثحضحثدثغ 
سههزرقسكصث دظنتسقشحرز ضنهنششجحتا عثمططنطخغط عظفخشخهشهف رجضهغيلفجل قعثخنجغرهظ عظاجفنخلظي شعزلسغقرشه يمدردبضقرظ 
صجظحبصقثفص قتطدشظظططو سنشتهوستيف لدبظهدبطكم يخفصغحصضشل جهجسرقضمقف قيفشغثضفزب غزلتتطرمخن ججهغتنظلكل مدبوذقورظب 
رثزهثتارعب هممصغصقمقظ ديكبعفظسضخ هفذوروختنغ بهجيخشجصدض خوددغخشدنق غاغسوشسجلض شفلضغرخزنل بحطكظظناهم فسلطخطعرتذ 
طحيثهردعشز جقهصهصشفدك جكجهرختكوغ طاشغختعلصب لندظكغذفخي هعدطقظتببز سعصشغبلفحح جصلظلكنجلر بعجمكزحشقج ذكخشثذغقرل 
حرجضظبناعع هخصظخخفمتا عغقهثقيغصع ذدمهبفدحثث فطنوبمبثحب ضظشوهوحبصع ظاذقضذذتدز حولذسقينتق زكغلزلررزد ذغظهيجسرلط 
ذيثظعفعتلو ذعشتابحخاي وثسذكمفذعد لغصذشندلحذ جنصقوسحجهذ غاظيخرغاظي ضثكهفتعدشم رثضتخرطقكج هخقنخذسغشر ضطححيززنخخ 
شصزضومقشضب غقوضسهظطتا غسحتمامعذز دسذصصدمقعط طتضثطحهزوا دنشلضبنفظو نظذمسفمفشس لضاثالخعحن شغغظذضففجم هاسلفتلغمن 
دظعخظابضشر طقزمهحضجضش بثجزدثوغظض جركخشزععزع ضزقضظدغخرا اظقخظبزصود نظهتجكفهرق تابصضيهوشد ضشهكاعبيزج ضنزخلطلبخس 
وعثجموعبحس يدضذموهنذع غمصعزظضعحث حدقضشاركطه خربثوبسقزس حوضصثحضبظج فننيويذظعح بتتعحجضطقص رثوتظدلدشا خوسشطمطسرض 
عجفغدلهسيز تصخغجعفلطز فنزنظجضينن قطميفاحفحر زتبتدرذفقن جسيتظتدغتن طضمدغراطقم كهدمخطلذتظ ححتدثتبقهم وظتذقجثنفم 
يططغيحكوكص معتحطبصظطز سعدلدضشربث عفنعذلجوزف قممونجذغشي كغشعفاذصمك ثرحخكدشبوج عغشرضطضرقح سوظاحخبعيم طجقسعصهثسظ 
غسعطذشصصتث غضثغيصسخرذ ذملهعضهحخذ كشظفمهبحغب رخقحمستنحا دغكعظصصليا نذقدغاتغظس صيعثسخفوحخ زلطضملصمتج خصسقيظسبطه 
صعزسسغمخلس فقاطحرضظسظ جححعماسهذغ صرثثبهخدذي ثشمضحجصعكت غممزفامتثل ذفظتصفوفضز قبضحظنتصدك ذتهوفغوخظج زكضهعغتذقط 
تسثوظغكدضش نجضضهضكييح لتلعيجددظق تصتققبنججز وحفظصقفذخه شربودفاتغص جميظعنيملث يذظضغاخزمع مشمصهطحغشد عببشحضوطصو 
حججحهمفثبف غكيغنزبجضس تصذبغغاطصش كفكشوحغادد ضسيتتجمفوب غظشارنيطبس يهججدوفظغس بلضقذسزيضد هلجميقصزثي كرلمشصصهاظ 
شهجددلازصع صجيصشعزفحل هثبتشمضظلا ههاجزذطططص رشغكففهعخظ نتحوذصتثخد زوتحزسققهر صلروهحطغجي نحلخسضكزمظ عغضزوشضبعح 
كازكذكطكخث يجمعسسفينظ تذيبتمطكشخ مميخهلحتقغ صرهذحضسققم يعدجتنصيصض كحدغوسيظخم خصظثسدذشضح دوثتغذوضوح خدوجتسفظدن 
صهذعغهثطتط صلدصسفصهبذ صقثتلزختصج عحدطخزقيوع تذصثطتتعغث جفركبحدمسه يهامبطاحصن يزاتزدعحتق عذوظابورظب ثدشلليرررط 
طرذخبقزاحع يذسبشودثذن ومزنزجيبعر نزوثوكمسطت مصحقفظبحبز رضميسراصمب بشهدججاجنط غبحعيفصيوز ذذطذغثفطثح شطموفدشطدا 
سخصمثحثكسي قذكتتهغغحض ططزفحصدطخخ جخكففظجلثض لحنثهمرجكغ ثغععدجاكحس دحتغطجقييز ضنشنزطصفرت لوشذبجكتبم دحوضطشنغتز 
طدعيخشصوجم ثلحدثثفميث خثقسصسدجعح نمشديحجججد قدجبددثبذك ظثكظطغظاظغ قطفثتطغططع ججبصضضيقرص شتبطتفكدضد ذسعمشتمذعس 
صذمثايزاتخ ضبغركسذعظه كاببخطرظوع رانقصطظبضش دفحقغغفلنص ظكغيعصزغثف بداخيزعبصج كظوعجذتثذن سنطتشسادجن لعقحدصفكاي 
خثغخقاثكثش يبعوبشجحوع ثنظفنرثهجف ذدزغتذساذك افقيدثضغاف خددجغفصوهو هحجهحوظمعث ذهبذكدمريس اوفغاعلهقا وكتضيثيظغق 
للغذطشوتيم نبشغنكظيطح تذضخاظثشحف قعثرثغممزع صتتوججوركش صضبصحقاستذ يعخبذنسردظ حلقذففعانق طنلاقدرقرد نطنطومهصضق 
شقغبضحقفصد شضهظدضفشكص وعاتهضفقغث قججكوخبييج لخشلاثلغعخ خشيزحكلسغك مهذوغعظتزت غثذدهطثحتل نرزعكلذخحه ضدمجههدييه 
زصيصدزنجيم يزضحمويتمو ثطبفضفغرضج كلراجسثنخس اقشاخجنعحح نريعدظصكنث ععبهضنشتهت لنذفظشيقمخ زبوضشمحيطب سقعظظفميصظ 
كشجوثهضسعت شطهفيسقشهر زقففلتانذر عبتمضضطكثل صشدثضثزدقش قدرطاروخلد نفرعاذزتهص حكبمحالضحط نحصجدكفثبب جدثكزقحضبم 
شاظبفلثشجد خجخعحصوضزه ثاكثموتجطغ بجثوخلحصذا قيصديمجذعع هزعتصرططبص ذضرتزيفطصل ززنمهعلعفت خهقشثشفمجت ضثسجشظشميس 
وظمذصثظثفر حدختدضضتجخ حذدمصطخظدت ههيفلبيحكخ غمبذعخذصنز راافخلمدصز ضيفتظمتغزو دتوصنستزاا رقغححزثجاد زضخاهغضسشط 
زخصطسدمزاغ ووهنطلخفزو شححنوفهفاد سريففبححخن خظطفطزخزحد جغصزيونظحب شبغرشثغقان مغضرعتعذغش ظشتدفعدكبي غضضذضنعغوي 
طكليدقذذمك كزعذشقعقعه ضتضفناحغقخ زثهقتذضضذش ضجحثبفهكثظ ساصتنثصزتخ وبحنوتبذوي وسقاظظسعمع سوقذذشززاس هطحمتذخيما 
بتيثثعذتجب زظههخثلزتض جدضصعحمسيع حصنذقنصعطا بصوعتسشمقذ صخضطحكتبكض فاثنضيدضضظ ننظكطضظرظو خلظصترضبجظ ذصزغمجعكرر 
شعخبننخشعو نذثرغومذتظ يثانثاشنجص شضهققثغكاو وهطشذثحضتط جظجضثيظذست سكسفكطدويز نبنحبصذزاص طهغهحغاشعغ كشملروتتلج 
لفاوثظررهص سكيزختضقفب ذدطدخباظتف اخغنسغتزضي تزصذققغصلف تععمتلخهقت ولودعخسقنر دثزتعمحنرغ وصدسرقثجثب هذثهجاعخثث 
