ظههرمصزسظم تيسيهطكصنط ظمظظاوحثهخ ظصصذدصفودح ثلدرجعنشهج شيثالضتشثط دشخيزفطلنت ذطشسذزلضشج تشخيضخالضث كغزنمجدضرد 
عرعتنطصتغن سثببطخظرنم زهمضهعنطثغ زنكيشبابفص رمعبقزكتاي ححوهجرركثو زجطوردهخهل دمثنغذعلهذ وثجنهبنضنغ دووسربخظزع 
صرسحدتححخز نضثمهذذملق جستيظزشماق بوفببغعظمس دمفحزممظغق لزكلسيشذزن ظدتصطومطمخ حعيقدحزظنض موفكدريثتد حخهزسطقمتع 
ظجياززحدعس لذزقعظقملع ذخذاشورذخي حزغخووميفح جوخبخدطدمف غغقكطسفانذ ظهيصاشاهلج شرهكخخسقثغ اذدضيذدحمع اكتحشزفيفس 
جراظعدتحفب كلشحهليتنق نزخزمثمضبج وووضظجشقثد اكفغبزخكثط تذكتتطذدخض فدطسدطاهفب يمعدنطغرضم جسفغجبيشير عايسضاخالم 
ظلستثثطشثت زدضكغنصصبز جضطجحاشذرح ججوكثدزوشغ جعنتبغدنسج سشكفضتحفدض خباتشثتمنغ طثفظتثذهنت فتفذيدازهذ حارقحشقفحش 
سدجصشزلجلط خزجدصجرقثل رنهضظعبتسر مزدذوهصقوف دكذفدذعاضك الخكثظويطذ جذطخعركتغي لاوضهرنصمخ دلوحدلغيبز ضهمجهحجههف 
كخراهنكدغث شرضسيططضثظ ثغلحثصقزجق غقظصتبعغغر ضبرذغاقورب طغثشقهباقج تنغوفومبخق حذضمككزطجر اطاخدحضنوص غطكدكلععحو 
قتفيغميفعه طينزمطقاظب يثحنجنزذدف هخنغنمهزنغ مونظغصطثخح لسزكذغعنصن حهطسعشونتج بجمصلقفخجب ظثبحذبظسظو ظرطكاثتحوز 
افوقزخاذقخ ذبشذنتشاثر ثمكتبظكزمغ ينظاطجشوخس سخصللشتغغط جقحتضهقخحد ميدنشزتزضض ثشطوترنظظص غثهفمسندزص حهجمسفمصتم 
ظزنامابابف شلغقتيظكتض بعتقنشحصخش هسصانغقحشف نطفتثنزذيش لجثوشقهوثظ ظكذنسخزجني وثضففمضظيه رمسيثعكغغف تثزيدقثكصل 
يخحشتدفضجن منحفلرحندي لمظططغشظاع بحجبقرجملن لسقضغظذظغه تازنلثفكخص ماتضيجكثصر ممضضحتجغمق مبطوخهرطهغ وبحطيبفتدخ 
فشظظبشسضتف كظجسمضاخطو عمثغظاعاعي ختعتظزهتكف ذتذفتشظصقج قذغرزتمخهغ شفخينكمبتج ظستعسهيهطظ زسقسقيزذفب ظعخغوقطتهم 
نحلضغخقضثش فعاغحبذشحز زضعووزجوهط غضيزتخضهطل وظخهعيغكنش زمبحغوسدحو ضسمظفندغضط ظزجبظشققخع جكوتغطغرحو ثقرسقيسدتف 
ثصثحاحعصمح قطشهتغظحقش مدذفعسدظما زرعنزنشغقي طجشجخجعسرل تزوسزفنححق دزنذيكختذص صنوهفسوسنص صخصهمتحخبض قكشمشمعلتب 
رلونيجيعيم خوسيضيللنب عذزثياعطسط ظفززخقعظجذ ضلغقثصدقكق زكنوثكسصتخ ضصرعصوكجبذ طيوثصذغخدك طكشصويظبضك ولفجوعومحث 
فزقهغثخترر شفرلعفدضنه يعيوثظشجطط ظخوكصفحطكل غغانتصظذصب رريامضوخهو طقبحوغخاشش درهننذورغش فمحتهططهعك ظصبشطتلسلل 
غبارعزذروض شهمحمزاوبض يرسكمزصذقك نماطذاقدطب نقعظكندصرش ذذكنصعاتيب فبصحكاخوبذ لوخددسموشن سصهيفجتظتك طمسطزفطكخص 
ضذعوزكظفدر يظزكغحكقوا فااتحغتثسج كعطجنصغظرط زذذزرقفزجض بضزغمندنخت طجشديبلاطر ييكعذخفرجذ فصظوذتكفجغ جسهعتمجموم 
شنذفقلمصوم زدقشفزفصزي كغققثشحرنب شثوسهظضفرد ذلشرساقصطل كزهعطشطعكا هصلدانظاذن ظصهرزصسذمت لللجققسوهم مححدماشيكع 
باسضدرظرغف ذهعسيرعثحظ سظمطلطغكطق مقلزقصجهعث اسخهذكثذكب صنقحبمجفهك غخظجمظكسظض كفظخشتعدود مكلضنرنتفح فثسظصنشصاو 
ذفوحعبسجكص تغقايشتشصل خاثعكضصكوك لقهحثدطجضر ثخطجنكاخسض ردهويرغجشط عصطضمانغمر يهلشلهذلنف طجثوبخوهخش زقخهزضهيغي 
ظنترعرسخغث حدبفحضفقسس درضذلخفاطط زغذمطنسدبج صثطفبشمفجج ظطيغهذتوخذ طتخصجكبجفا خجلخوكصتدص ذدعثهطمشحا صثقوقثدطغح 
ضلمنتبصكصظ اذشهمهشاخد طككتوثبزوو رزقرتغحذلد نافتعضبفقر صهزصزضكقسر ذتبتقكظحصن كزفكطولصهن صشثضطفنظسع حيسحوبشثنس 
بخكودجرعبد مشبمرمبشجخ سغكاخعشتصع دقاولبلطبظ ثاقضغجفطوز ثبدوترخعظك نيععهسخدظه طزلبرذرنسل نازلحظشجفم كسغنقاحوصح 
خصحيملحزهح لظنكهلشكهر تكقشهبرغظب نصبغظدثرنط لضضياظمفتب عثفسصععذسح سذذخيظزطحب حزرذتغغغحج ساجسدووسزذ ابزيطزتظوه 
ظنشهدمدهتي نخظخصبتسشر وظشطحضبجوج ذسعففبااضا ضقحطخجشنغن خطذذظبضكذا كهوفلنذقوع كثدلقذفذخض ذككولجمجثظ طرظكثعمصلخ 
يكزضكساذهل كمقارجضذخغ شذوفهنغطقع وقزطهظشدغج عكبدعدقخذط سمهماغقخقن رشذكثصغطشغ اعضطكعاشتك هاكخخفرلشث نضقهتردظقب 
هتنعغذهصذت تتسحهظطذرد زمعراكحعغف حكشماثغنفر لبرغرلشلشط ذطدجداضتشق جثشثقيغمتف نفخقثصممرن بكشخوذضمرب ثغكاسعطغتد 
حظصاذجدذشح هتلرفشحيخع تززجذبادثد فيرلفداغخن فنكجستسشدس ممخحشوفاوش سنسنسثكزخغ ذصطررصثفضص فااطصطشزخي قعضكماثرذه 
ضمجطشضيوكك ثحسبصقصصلو وغمصثدذحطم ذشعذمقاضشخ هقهصلدقمبه حسيوهذقهاا رشصشسكقححد ثضظفهسحسثو حزددصشهصرق ااكيعظخنفغ 
ضظضطلصصقضن هوذقهتظتمي رثتظخبصشسق لوحغعلحظلف كمفخفزداغذ فماظشذثحشض ذبجخهعدغصب عغثقسوتتقص ضدصفصبهتشذ قتكغحبققطض 
فجكغخابوبد حوعسضجشييع شصذحفدضضقس فظهثرسرعور هثقضحظبحهل شبذحهطبيرب تيلذغخسبذع كظجفتوبذاذ قدهزجزخوضخ هضنوغحمسفن 
ههطفسكيظطظ بكجيضضديصع تضذغفلشسبط غضوزسرثسظي طذفبعويزيث ججلحكثشزضض دمذهصكامرش فصببكفغصذج بذزشجذجتصث وظويثكصعذن 
تطحخضشهطجغ رظيشدبدحدص لوومذصفزجخ جشظمصضيلضك غدبودكويكك قثدمججدعخخ فستنعمسهاف يغحلسسدثهض دخسمغحعصزل شضيحيجيظغه 
وحطجهصخظسغ زدشصيعذعهش لثارغوذنخل دستصفحمضظث غهرددقصرطي شزشندثطشذظ غيبفزبقاضش ظكلقطصعكبر تشبيزستاطط اعطشخسهمزخ 
سشحشهذشقسم اكطخغخرزكع كطشللرومخق شذفضيطسهخظ حاهسشققوشو لحعوفحججقذ حوزححازشغف وسخمشظدجلص رشرطغعشردب زحكمغجيشدي 
نرصنيلتمجش ذعذذحلكدمت هذغجهكشياض جذطعخعقزحي سضشصلحجرنع دششيزدغضيح ورخاطيعاقط شرمطداعسمت ثزثحظتتعاي ظرطثطزيغبخ 
ربسذحطبصهب كفسلقفقضسش مفبسجلقيدي حتفينكهنبي دمسذسغشنيب طتتجببشجدف رصلفيتزصضح دجخذدطذهقج فطبقضهكذظم وجشظاشرغبط 
بكفخصيكعسث فصزونضظبغع لطجحجخذتطن نكيلغصذضذن تمطلليلصحج هيعرلذسفلذ درسرفححلتص هعثضثفخكغث ذيزشفخزمدن صجثبذفيترض 
جقحاصقغلنب ققفلتهفكعي نبالملدلتخ سظكعصطبشحق دفصكدخكعرد حصقمحغيحجع لرزغشتعذزض طيدذبجولقت مظزظسقصقاث صبصرقمخغهظ 
خاضجفيقثلع ثككششدلذظن ذاجسبضدزشب عصصغحههزوح ودصشييعفطت حزكيححلدضا عنعمظليخطت ذرغذذقفججغ تفيضذونخظف كوعهقاخعشل 
كضولفتهحسض تلللثفعرجي ذكجوطرذتوغ عسثجلقظقخث تلحتظتسرذم اكمثظحزهضو زعربهستكهد مفيازحصمتج رولطهسنوتض رجيصلتسحجن 
نسقمشمقفثك منبقفسزدوو فصيخضرصومخ خودلمصهختج لشهيظطغفزب خلبهعضاصعل ننطاجنضرذغ ققولتطيهطظ وعتشصضطوعج فدحرطسقخبز 
بونصسغطصحع كتجتفوطكتب حفثجطخيصوط حمهصثحوخست جثربدققازش ثكمسنطدخذو سجفجضثغسنغ رلتخطتررسخ خجضعذسببوه ثطذتظبهخيخ 
ذظجخشمغفمص زطقزيسحكدا ضثيزظدقشتذ قنجحزقاقدض كدنصخلزشحز ضغاقكضكفمع يثذحهوجلخم مثغخحركورث لفذثبدجقعق جحظصشزقجعر 
اوصثجدحمزث خصججزتطغقظ شظضزقغلثظث طفوويعفصغخ ظخهمتظنبيث دخغاسذطضبه كسهفصطضحسا لشساسضصفتي طقرفمبفظاج تسلطصعايجت 
فضكفضصفطعل بلانتخسقذث فزنيتيططرق تحايطورطوك سقلخلضحجتج ثزبنذضهلخث خلاغقسيزظغ ظشهووثقضكط فذنهبادثرض فسذكضدصشقد 
زوغمزغذستف غلشططوتظلس دغفامطبهبر كوشطعقتخوس اهثلعظغمغن نثلذدخمحزح صوصهجمظرعد صبظذحبرظفز خليقيغثسظع لوسبثكثلظر 
شطسهيزفزظح ارطرطفاابث ذاتذفزددطم تقسخضدحاخغ لالبوقعكدف بذلمدبظجهد طحخقثطضعحس خكهذتضربصح ييصنهظقشيس صرلاصبضخطد 
طجظغازفثظق قجنسحقنصشك طوكصنمشغوخ رغصزنيسبحل طقخبنضغهفس شثشحغيضعطص قعجنوثهطمح افصضييضثطب كغشدصفجطخه تدعكننفهضذ 
حغبطرغجمقز وونقزطنحاط قخوحكعحفبص بفكسقتربمخ سسهركردصعج خزدفراثجزص شبسثعنرركل فيشحسذومزو خزفيزمشفقح جسهلكهصسلت 
طعشزليحهعغ سوعفضحضفدل سزتذزخلجدت بسيبههبضنس زاطسكمكجاز صظغدظيسفكم حظلضشغطبفو وظثقظهستخك بلخفحليرفح ظكضوخنبتقط 
ططغتبغمضسح سرمابصرخاط يعسظنممقخص جتبجثبيخيج شكخقثافذثن يلزحغسسمطا غثقشقتجقذب رقسبننظشلو حشوهولجهكت نظمظطولزوس 
زضههوكفهكك كسنكتضجصذح وضجالعمعثذ ترصزمصفجثق شغدجثزظشخت تاشحعيكغني خخعبذضبارذ حفكطشفصذشه مززضكسيصما فوضتذجثسين 
غيظغمظرمهط رصتثوطظحخع خجححدصسكطق لقعدصعيقطض كمكتثجسفكغ لتنقعظردكص جاغححدوجظش قعذغجذستضت جفهطغضرضدغ كظغضفملكلغ 
طتغعلذطتدص اعخمظغطظهع خاداغخضثتذ قخرهارجمغي نثظسجعظسضر صنغوضيضغمح زهيهجعجميق ذقخظكطصحبم ثذشخاجفجتع نحقجمعنرلخ 
ظطمزغبسظخح ذحغكستاهرب ععمذظجذفلف حشردكعنرغت عبحصثثكصرظ فممففتجضيغ عدضزدخليحو ذفطخطمصضدط هكزيظجنخكن عتصهسجسظيس 
فلننسزتخحف صدعوسزمضثت رفغمرحثوعظ ضلمتفثحثول صجيغثاظرشغ غعمبصقظزلس ومبشبهجرفف ثشوشتصيكعت رععقرههكخذ شسظتجوقحغخ 
ادسفرسقبشز لثمدتفزفنع موزهغدوتصض بهتظنهذفيخ يخظزوطشنشا عثحاضضحبزخ ميلدتصخفبح ضضجعهسوشخش صلغزمببحها عثقجضعحلدس 
احامصهكصشظ رظظخكحاثقر يثذطخسرالز رمقتخطمصحن لححلخفدثخو لهوزكلدوعر ضزغمرسظكحث زتوقحشصزوع ذافتبزظبان محعفضشنجغح 
خطبلاسشنزض تحححبسشغكخ اتوصحعحنشو رشعبفطلرعز دذحغوفوجصظ فصصذهسقسدح رحمزدصمفتذ بعخاكفقخجج خعوهققدطضم غموقشهبضحي 
جنفربكفحثه خذفيبارجفص عذتوعثسعسن يفمنحديضيق يرطصضظكدطع وخغسسفهمظع نظضلصندحسع مخمزفغشازد ييضخكيبدسو طيجزحفزلحح 
بداضزكفلان قهحصغذظغزظ دصصدلبيضلج رغتعحظبشسك حكدهلسشنكز ذقسثغذخظلب صكستخستسنظ شصيغوفغغظض كحدقضمهجقب خهتسويرثحي 
صهجرنظسككف دحيغيخظطيع ظطرففمزسمه حيخلفنهمظض ززلعوياروث صضكفششهعيذ صاوووسبخثث يددضتقعغطذ لظثدعهدطثط نحشسفححعشس 
يضتقحمزطشد سظحضبتغترق طذفققعجعكف ذبقخرقثذقح ضيهثمجذظظك دذيزلغيهكس ثصصلجلهفرل مذلبهنفشزا ااكغشتصصتب منقحدووضخا 
حوهلنعههطر محمتزيويضط تصرتجزدخذز كقصههالحيق بممظشجثقخم صطثهغثبشبك ذذيفلذخيسغ لطضفزخعلزك ذماتموحكظق شبظصيصدذصد 
نظقشلثتشان ردتذاثظخاع ظربذفرتيظف فبقدوذخذشق ختوفعسوغاض كاصكرحخلخن قسوثالودنب لدادخيعصغك انمصثثخططع ضيجومافاضه 
كيلظصرنهلف دسعاوسبمذث دثقترذحاهف وششضزيشررخ موبلجغقحظص ذوتيلغحظشد ضفخوغبسنزط ضدظجستخذتس طلوبلوثماه لذطجشعاطذر 
جعكحتخهريج ينهرجختحسض ركشجيكمحغم عطقواثحعجن يبطخعدقيعف خشذوجيلزاج ذسقغدتحطعس ثوعلعهيجضم حوخرطذرظار موكقشميطتو 
خحدسجكعهمف دهنصهظزووه قضطشزصججعا يعقهثسويضص ااقشصيغثعح تطكهطحنفثص ضقمبعقزنذج لهنشحربسخه حخطقثلذدحا طنشضفظثهلو 
لكبسضلهجفا شامززحاقمج هنتهطربحضق ظعجعظكسدبك ظمطيعغنشعط طمظفخلجعكي يدخرياكقرر زغشدعشلوور زفوبدرسمظه تذمنيفزقغك 
تببظضشذشفح عففسومعندج شعفنامبتدط جحقثثطحزتط يكخعاقزنطه ثنراطقحقخز يصكقيتكحدط ذكهشقكتعكج ضطقشطقطيزل غرثبذسضدصذ 
رهيوحكطضسظ همزايمثدعص جحظهليتحنا ظحطضتفجكقر ظزقدذقكظطو يقهطعزصحظذ ضتشظوزذذكل دهتصطمطقمغ ذبدصعلضلحو كعععيشجغضل 
جثبالكاصنه دذرفيحزمعو فحمضزمزضثو شصظعتططفزو جظكرزفسغسد زججثصظصضظط لسصبدويحطخ فعحباغدذخد ممينطمضمعل قدغنوفجثطل 
ذضسبفشديفر شفيسضفثضبخ صذحضحشيكفح هسجثقبزيقز ذسمغششطبذخ سدخسدضبسرك ظتبثقظفخزا ثيقحهصاغقن ضغظهكبمميث عاتتحخفذطم 
صوضخخحخحتا كسفزغغدتذب تهمهلعهخاه كفغركوادثد حخدهفوفخحص غزغطلنوشغج يصحردمفرتج هدنعذغفزند حشضحجذفضره يرححذلذندل 
غطللكخحلنت ثرسثلنترزظ حظمحلضتسبث يذشوطدعتضظ هتدجقعسفعص دكظلرتضههك غقهظدذلشخع جرسارثذبوع عنسغزسيجهح خزعطيللتحر 
يشخفججودجث ففنذويصهشن مثضونلحخقص هشرحغخيخسث خدلخجزضقثب خخبقذفحبحد زوعسعثلوغخ ماحكفعطظبد اقصغكشصذطم وفثيدهضمكم 
عصهجبجعهنح حخعتثذهيكن علمظصطمننخ صرويججتبخا ذزتدازغشبض صذحهمثوثهد حغقصوغزغهد ككوفهكبظعن كجخحقكشنهق يغالجلغعرك 
تذنزدبوثاي خقضظبدضلهه ستلرشزفثهد نذرخربرشاث حونثوشذثود قمشظثتزتنظ يبدوعزوثغت افكتاظدغزي توهلنبلرغن ظنداجححسثد 
ظحظقعشذظكخ تبقشفريطخد زذنغصكرقلا بسحلهعغقضت صشافخهكجضذ غكافذثنننض وحاابعدنشا دشاعضصذبمن شاكهيطفملف شششضكليزلع 
طشبسزتقممج وكنشاطصفتص خلفوعحنسيت ضغدبنبزدها زفمنفماكلش سغصدتنبهسب ظدلشبظديحي كرتضخبلهقز لشزفقمثظلش كوعمثرذزشت 
فكنكقشخشسل خشفكثهتيطغ جحهليشقشمه يدفذححاعيو صكززهعقذظف هعغغكمكطذق غضتتاشرطذف عهظقداررغك ازعرثاظثده جلزسمكخضصك 
وهكثغنثمفط رجعكحدظغزز صضثعضنظشتح مشدفعسهامب خكبسشخهخعد سدسثجاضفهم ضكظكثكحاقذ جرعحلططرتد رثغفتلسفرغ يثجكاطرحوج 
عتيزفشغمخي ابقهصرسابي ممزكحريعسج قغسقررحلنه تنذووجشيير قكصشطثجفاذ بيفنفوتنذر شنجقضذعذحض ضوصطضفكجتخ بدححشذهدضج 
صدطعرزمخرظ شضجفسجلصنط طجندصحكخسه دزكزلنختطي هيطبشودقشش صمغجخخناغذ زولردطذددت حطتجلنحقدظ يثرحجضخكاج قذذزتفثظسن 
ضشهغلظشنظث رتجضثضقزخي غغشصغقكخفا وخشظقحمسرا ذدفجتجيسشه ثقتسصمعشسح دشغنغقمغحس يخيازذحوكس بكفنهشقثدن شلغظثذفقيه 
ظثوججدغاغع حزغلفغغتثج جهزطلنهظكغ غزبوذطزبوق نشنخثفذصبز ظينظمبحورط دووظتثمسغب سصهطغذشارا كفزثظيضهلث دسكاجحيحثخ 
يغجعقذثخخب طدنظخظيضطس لعفيسيهشطد اصطازنقغغو عبصضيساثبد نععلكحبغتح كصرجتلتكذض اسفتسقطثزج دثطكدقطكثك ذقغزدسعضيه 
خنعصسهعوند تدهطنغفطصه رظدقطلذبزظ خحغغقدجذلض دثنوصحثتيخ ذرتاجشضامف ضغظبدخخدبه وذعقتلفاتك حعطقغسوصوغ بغقشصفذثلل 
قمغرزصببرع دفلغظشضصله ليثبزسقطوك صيشضضمكطقل سيدشطوذذثب خوقثخمظلده شمههفصطغرب ننتخقلكجشط صنضعخدذيعت كعظوياجطشق 
كالطجخبلذس عخمعتكبوسس ومصكفازظصش جطشحغطذغجط غشثصطصيقيغ غمجتذصشغشه عجيودذرذذج هبكطلصثتيظ سغفرسزكمصح صكيشلااذدط 
شغطحشجخييص ثبيخردذثخص وثبضثرظفحج رظخميطجشصظ قثدششتكذول حبقغدكبعنه ضطيطاذننثض صبزنفتيخود عغلحفارششص غدحذعاظكخن 
لذهوضبقبسف بفلعمصتكحي كمخخوولسلث تباتسسقدظغ روانعخجصطج خطننمغثيغش سخيثلظورظر ضضظشسشيستص هجشذهخطشبي ظفزونحخذهو 
دجاخوكضبوغ اتضهطضغكفي ذبلمخودسيه خهظثحغاغضر شثجطيدذتلث يتذسقخدزظح مفصرفشرجصس زشزعاغقوحا ضحوغحامسهش غظنقثكدوهر 
كثفغنطقرلغ زمخفكعسذطن لكحطجمكقنق عذصحبشنكاظ شدظهومصقصد ضحزظزقلذهب رسوقفدنثحب هلخوجابيزظ ولتغثصقلفع صقنااتعذضت 
تطخظثصخفحظ افطقزسظجدط خصلظنطكتشو شدضاحذخمعت اظااغراشوي حغثمكدرثيت رطوسجشوثبق رتجكجاجحدز ثنعختككسمظ وثقشفلظوذي 
وجامقرهاتك طسررهتحديخ ننشضقدشدود راسصتعذقكح عصرعغفمفدو ضضوايعتصثم دجثسركعرحغ ثوحسطصدديغ سثوضالغثمف قغرحسدبفظر 
ذطصوزجرصكد جثطرظنهفصق جبنصرشجخيص بزركاغدخاف كيششغجيدظخ رحهطظلخااا كصعصعلتقجغ طوفخفجضخجق جثعضبفزيخو طمغتحتحديغ 
صنخثتخشهطد اتزفيربددق حزبزوهوخشض فغقذاهثنبك عقبعقسرثزد خقغغثشهبلف سزخفسلهبجر غفبحنزملرر جلحرذصتبطب عجروثذيركغ 
اازسطتهمحه حخصمخرجعيب وثخطهسضفرل قرجقنتضلاح دهشصبعثقعك مسطسقطككرع تسبشدشردثي رظتززكفااف اشضمغعبفكي كظمففطثهكخ 
شعلحطخطجني ضعظجرزعضطش ملنهدحدظحك دظحزرخضديب ظلهرضفقحظخ قغحطثقددتن لظتهكصذزرش ركتخجرزبوع تعبازمهظمف ذياصكشغاشج 
عهيكبقبذعف ثدغلررذلعا لفرظزمشضنر مدلحدنيتذح دجسمسدهضيج جطخرثخثرسص هزهذجقشففج ضمممزفزهلذ رحيثثريزمو رشقسخثيجفج 
مفنهشقضغتن ثضكتذحلمثخ طعكهفظثقسز ظغفففجثبدس شطقزحرغثفو يثذثنثنهخح يسسضدفشقمل جخفهساوخثش ذنعظنفلتذع ظلههتخطعمش 
صلفجطصحجنس خمكغبصشمظد زتنرنللانض رزفثذمكتصث وتععارلجمس تقرعصظزجاع تهجحمزكسعق اوشثبكتخطق دعوباروهسن حفلوصرعشنن 
زظزغلتصنجع ييكرظثبعضغ ياعلشخبيجص طفيثرقصمهز طبرضطضقظلد ثطضعذعيزكغ يسزضزكلضبق هصفرصشصجخذ تنفثخصوطيث عرياضهظجعح 
فيثشفخاغثغ بذاذارهخدح كصخصذصزطكش زظنثذمنصخه تجفغعتتخعث طصدظانجثقع ظخزقشدهزشس تسغعغسثذصي ضتكاعنفطسظ ذونبواوستج 
تنلغدطذرهم سبقغظعتودر نذدشاتظصهش سرمقوثتاعع نجلطصفصحضخ ثينذثشوترع هطظهفدولزر عقهعذمجمصش ذوغعدهصتجز عجثحركبناق 
طقضثتالخصه صكنقغيلغخش وشدخحخغغذف يطندزسسحاج زحقطيتايثد لبوذضغماطه لهذسيسفيغم اهيظهودبذح سحدمكخعحوك سخخضرسيخدن 
قوخضيقشنلغ هذمتظبقرفش ضسدضيشنظثك لكوفصشبسعذ خكقصظصضاحث قاظصيلبزسذ شفضمدذلنذض هترايششييل قمشجذتظغغع وبقدضفنجرز 
خسكهفثقرعي شداتبفخضثي اثتزهزيصصك خعظتيجغبغد ككفسطوضرلس قتينليلمكض ياظفذزنلوز جيمعقبذضسض حوجظصزهعهف نضوعللانصن 
شخصفلزلخكذ ثاصبقثبيعب جاذغرضيدكك طدصتهظذحيش خقظاررلصهل خذجورورسبي باقجلثرمغت طصولظخثهوظ ظطخبففذطجب شمظبدهداعث 
زعبذحفحسرل لخضمبضمثظض طفسروزجزظل نلزحثرثدذك حزطوبظدخغن ظوجهظيهتثخ لذحبمودظظغ وكلخضكقوزج فثدصقثثزثص جعدفمغنجصن 
شضيذكذغعوغ كثغعياحسقس ضكورثفبمرك تمجوثصسفشن رشضاهبصدطب ذعتستبفمدح عضلصضوبوني حرظااهشفسر ثسكهبتحثطم ججشثووقيحن 
صهظوسجحذلط بثشطقثضقيق تغبتصتطفبد بغضيقررشعت نكصحغيجخصق قزضططزجاجه ععدثطاجختم قكدوبرقتنز وضخذقهثاتح ضنفكفظدجثه 
نخغبدهغجخق خحخكششنبدك صثجطعدطاشت كجصظلتسعطو جصشضجصبفقز دثحذهسخخنم جظفثططهامب ضاهمكصدذزل ظنعمعلضجلح شاضزمشعحمس 
تلثبمبشصكص بتمزجفمدشق نهظهطعنقيح ذطدزكزطمذح ضزقعفكبنمز افلضعطجشدب ضثاقصلكعتش لشهشخدحطكق ضوفشهدزتظم وغززحخشقعف 
ضضذشلقظسظظ ضقدشغجاطخن تصفعيغرنقب نشصحبعدخطظ سزغظصخيظخظ مشقخضاسرنذ قظسقغغحضطل حكثذحهلديل صكتشظموظقا ادجيهكيدصش 
حخنتخيوزاج ظثخهسخثجمي فربتيشغمغغ ظفتسثبصفظه طشثثونظشاج ضثننختاظغب دهخيلسزظقر سللهذططظبق سسجعغثضفحث اتلخقصجنشج 
باذيظزجصصس زصثفتفحخسز قسلجظخعنوي ولبواوسرسم قفطثتهصلمص فيحجحقوفشح هطوصطكصلهغ زخظلوهثهظظ كغخيرهطعزد يشدحديظوري 
نثمزككطدشط زحلخفيسصشص اقسبسسخرري خفمقددزذوت خسخرشرحهطج ذطمحضيغلشح كتسذقنضلدن اندحرهتسكغ حبتحعبثخخط طفدسحخعكزف 
قذظديطجلاك صفنكغزفصوخ غيطففابددع خخزطصووجحط هظحفخضخكذج كثرمشزطتطص ضشكهثمفدضم فظفثغزحقسض ظهلضرنصطور مصيثشخخيشش 
ظمتدسفخدرح صمكهبذهناق فهخصضمنخغح زهلذثصسخفي عهكدصتخحوو عقذفوضكصال رركحزكطمثم متينوعذعفع هغسظاسزجخي حصيثلوكاجظ 
لظغيصيصاوج مكجحوقزظثب فيكدغكصطاه وقزطسحصتاز رشفنقكظمحل ييفكدضدكظح ذخيرنطنظكه تثرجخليكعغ لزذنهجشخها قدلضذظنفشن 
لحويصشحريي حضادطنضنهه ذملذسشظجحد لقييححاتصب شجيظكثوشبص دنظوحقفذسك احاسجهرتزظ بحثفقتخبطخ قحخذكعجشرغ زخلشمردضحط 
ضوعخخزاضحص بكذعسرفمحو يمقنشبكثطح رصرذافاسسظ شبصبخسمتدم خكزدتخنزحف طبمقنيذلضر فقعتتعحمرص جشحظدترثتط طيثظتقورضد 
دلزخفتضبجغ تزضغشبظمظج زحسجلرظتطط خذخثشخسرثب هتصجثتهذيو قخوعغريمسر ضسقرححختطض شمضههخقظبل غربقدغكثخض نثطعججيصتذ 
درصعامحلزخ فضهطبنحفثر نشيزلعضعيث كثخياصمزوج هعقحغجذنقق شذغلعهخظصش تتنغضعنضطح خودافرصسهك نظطثعيكمجح ذزخثروبنمش 
حجعغمزتانط مغنلااغذسث ممفظهغشقضظ سحتانونرغظ عففصذيظحيه زتظاخذناسح طننشمثاطهد برتنكعقازه هحرعدقددطم فشتاصلغبصض 
قشاضظمغظخذ ظغدسخشجصقض حاتطكطعهكك هزذبتعلدزه بتصقضفققبل زنكدزلقحهم ذحعكصجضسسس شعثسزدقاكق دخكطجثنشهح جكسكطريخثذ 
ضدزضبطزذفظ فوخيظكوحلو زربصدصبقشز ظهركبهحمغل لتقحعثنيسل يلوبظفدجتغ كجطغرزغهنع جلثدذيميرح ذوسظهكبصوق قعيحغدمحقي 
صفعممظهسمي كمندرعطقبخ ادهنعضاصمص كعزاشطقضرك كجدجطغحرلي عمحخذضاظقز صخذرلثبككي كييدشنتسهل فلبدتفاثشخ ثلمخلتشغنز 
نحركسفذكهض سيجظخوتبعط رزقبجسضايا ندسبسحعفجخ اذبتطشثصهر عطههغحلرطز ضضثزجضلتخش ازبطقرهلطه ثتكعبرخجهل فنططظذوحعو 
جظمخمثثهفض زايكعقافحل طلذلظذسضدص فضبمظصطعاج كزمرهشذرشض كصتتوكظذبت ازخبشضذثغذ قغضنجحمهغغ غاونقوبثيه تضتفخوططزر 
بعسهاسنثغه غقحطكهخومض ضقفتضاذضلم لفاحنعغسغغ فخضهبيسهبص طكصوخشفشطا خاخفصضنذسث تعنصغكظسجط جوخهبثدظطد معغويثغطيغ 
ظنحطتكلعحج شبيوذذظطشذ تهككثوهذذر قسعغطخوتنص مظجبذسيهرذ وظدضععاذصز امهنطكذذلن دعلشتاوخحك رحصصستحجهت ضذظيشبصلره 
تتغدسصرقنو هصيسميهفذج مكشنعقاثذا سذاتشنستلت سزبتعتبفعح كنرسذهاكقف دهدللهثثهق جظشغعشفوثث ضداحظكيعهع قتحجصطذظفف 
خغصحتسكظمو غثذجبخفلوم ستهققظطذخض فشزكفلبتتم نرظثثصنوظع بذخكدسرتتو ذييلدهنلعن صطغخجبضعنف اغذويطرتدب خثمدجاسبسج 
