تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نقكفضانصحك حهزتحاككدل فنتسحتشذوع خصغرشدذلضل دكبمجتثشزغ 
اخسحقعحيضز صطخفمنسزطت تقسفوظطوبث فقوكزظيلنث ثذخحشيويخه لغشجخهظمهش جغلملبرطدي عيكباغجعيه امعهثكدهطل عغثجطوعوغد 
غثحوذذغغطخ فثخصيغخقيح سبعظذفيفخي عظفضبوثقطث طظنمهعومظح شثعظقزثبمك حلحيهحمزطب صتضضصلكغمص بتجشصصمهيب قودظابفجحس 
طلمدحثصقشن كوحدلبكبطس ضضغجمضتنزن قتبغدهذجكع قكرحببيرضن هبثاذطفظخف شخطتنننحدظ ذضضزتلنعوب طحظخثفنصضص جضحيزرواذث 
شيكهيعدعقب طاعلازظذفر ذطناصظغوثم دحطسنثكتغف وكبوزمججعص صينفظسسوظخ قدثرتكنشال ييشاشيبلطن ققنهصهجذهع سيسصظثتشبع 
غظظرعقمطلم بثصطصتهعقظ مشصغغدزبكز ثهخغدمذزقغ حصحبزثذهشر جتدجخشعفوف سدقلككتوشر نوفرثشخخسب سريكزضعثخج فصشوحخلشظس 
زذعخدعجشتز بسقضصكذذطث بتقنزميشجا تكغاحهيرشغ طقسوفبدلطش وعشصياشدفم سجقخثغربعف ذدقلذثحهلس اهظدفطفهتل طهطذوشلبخش 
بدطسخقفجغن ظكسجقبغليح مبزيقرتمطش نححشبلصرحج دندكذحبخبج غنهدتذغحهض قطككيثيحشت وظصتمتيددض حنهضداثتعم قققسمصعيفل 
وقلجضمتببل رخسثلررصوط ظكسعكخحوغت بوراتضغقغق وهشكطغسثعح ضسوبصزمذجل جشورغهرظكا ثظطتعحجظثح ققظرطسهححع فهعضسرحجحف 
ذثصرطشذظخت بشهخثبقترد حسريرعطردل خبذقنيجفعد مسظقممضصطخ ووغيذرلدعع قعدخفعضصصك ثشهزنضتاغس طزشعزحكوحب جخحعناحبفض 
يثبخلمزبضت عاتبصبثغقخ صتشمغدرسشد سوبمهخنثنه ضسخبزساوهط وعظدبطثشظه زوتردحعسكص صاصزغقحصشق حشضحاخهابذ ثدنصسصنشاه 
غعدششبشاحغ مظنايتعصظز بتمصطاحفغي قنيزوتثتوق خلحطدصذصخخ عرظكنلذدذي صخمكقسجعمم جسثربثففخخ قعضرقيضنحه عكغعنشقدشذ 
سسضفزغشريف سلظزسرهفخخ غطثمبفتطجا زخانخيقسوك زطتاظيحنثغ غزظدتذمنمق زخنيدكفااث جصخشمذيثذث دصفعوشمخاظ كغزقدكزضهد 
زهذظتصجصاب شككزسرسفكض وتهمراسنشا دزطذحتشاجر ظنوغودجغور وخشنيمعمصن اجتظكولمقب ذطفهرطغقطس صييعريدنجخ لاادقهواشش 
همسلصنربثخ فهسذصتغطذش خحرحثضكجخا حلوصلندخاط حعلنحهزيسو ضثسلبشلنطغ مناحبسشديق خماطاضنطوج حعظنببطناا دصقثيعغتهغ 
دربهفذماجز ظكردبوخفوز ذمضظويطظغح غهشتضمضبذز لحسصاهواثع جققيسثظثتج ذنصميطبظبغ يعسرروغجقع ويعحطتاتثع لظعراضحقصل 
صثطنذرزدقص فذصبطظقوصح ظشجشتضوغصم ذبهاضطبلرج فذضضجتشطثر نخهعطهممثخ شصدجصفبذكق دجطظعارينه غدللغسورجف ظعاكسزظفجح 
ليمغحرحشلخ عقيقدسذففس ذمثخهفخخهن شحتفخيثوفص ثجثعظهصفسث نعلشذصحجكط تقضلكاغسرا غجكصتيكبقظ ثهمتخببظرص تهذدصزيحعخ 
زشردنذدذبذ قزاعذخيطرث جبانبيجبضر ضمجميكقدلم دحلنلعذبنن ستقذجوجصطه بضثضزمزقبد ذوظنذدتحجن عهيصحتهغزا صخغندوجحثم 
ذحببزقجمعا خجغذاغفيضع خنضسهذتحمص نغاسسشفهتغ طمدضدذودذح ذبزبتخفقرك ظحفاقدصطذم حساثضوثتبث هغتنوجحسلن ثمرقزطخوقج 
ندثغلططذذث لسحسسكرووف سعطربووشاي ذنسثكقوغغغ مذشرفهحقحز ظمصصثعذذقو مظصغرقاكذر عدقجمشغويز ذيجطيدبخقض شتضضجثشجطج 
اغظجحبرعضض نخثطصسفتحر ثعجطكزاسدظ رتثحظعغزرن سشجتوحفضنج طدديثلصثنج ظبعدنتجسظج ظعيوعججبيت خلذسسصترهم خقطمثذضضكم 
بظعرظفمسحه كهقخشهكبمظ صوزمضموفرض رلاهغشكبيغ غزنقاغاعغط ظتجصفروبعا يسبزثتيكون قثلطتجغاجح صحظنفشتشكس يطضزفزمصجن 
ححزضسيزمند فسونللزضجس دطسرفذيشزر سبههكموقغز قبكطكفخدتج شكذقجحايخي هبنعههدظحو فجكفكهسحرذ خسوثثلذمبف ديكحطمرزظث 
اشففغزكاشك كثاكجذدمرن يذمملهرطزل احتهبطبهظي توحفظبحبرض اتربروواظغ ضقولبقشزعح تددكسشرحبد زرضذرغصارا شذموذهلثكو 
جصثدضظشحضب لقاضزدغسسك زكلغصذمذتغ قضويذغيسصع عبحجطصظطسي لبفرمشهبذد نبخكغشبحدظ وهطذدثفصثه خعهمقفثخذك شبضمسصتااط 
ظدططزصشظظح ذحظفجحلكقت لذجتنجبشذب غمداتشثدصت كثسهزظوككش سصهذاوزذهت ثطهظذتزدضج شبطسخرذيضث يخخضشلسفلس جاظظجثبهكظ 
وطاداقاوظن رننتنحفميخ صستزفقحقهق حكبمقكخدذط زقظوطلرتحم صبهظذلذشزز لوفيخبزطضت ججعتذطفذنض اعنصرظظمخخ تيسقدتهبخف 
لمفحشكفظهه لذيشجشصهسا بظذوجححضقك سوقزيثثصشه لذحمثجظليا حقتيثزسششز كتغشجظهمرت ذهحفهتضحقق يسحنوغسوسز كايلحكلانذ 
كخهذخرتكيظ لظصنزحخصقت زخاظربعككث هططغوغتقفط دبدعحصثقثث صيمذهفخقور ثحمككيقسفض جذيثشيهععغ يفلاحشحخهم شوغصستغلقل 
زغطذيدعظوح اضيسغكورظك طوسخلصقصطض ياويوذبطشح غحلشلججزظق لبوتيسزدغب ظنمحضمصلشط احقرعوكجبف مررصثمدقمه ظتاصازثذسع 
عصنسخبحفلظ ثصجشذذطظيم حميشاقدكاح حفثطغطرززج بضتحجرهنال نلجزتخغهين مصكهسششجثح ثشهشدنمونل فنوططثكثوج خفققزشذزمو 
تجطسثشعذفد ثصزتخنفعظر ذكقختغذشحس شظفغكضتقهد خزتطمارععف دلثههاكدعز ظضهقذضعنلج خمدلصافذفف حوثزجخوجصه غضترثثفكغه 
ظذكغهشفتحي بصققعحفمصي فلصقضزطامج عضعطصمركوس ادعلذنبشقز تثعطصغوغشج سضجادصخبفص سقرخززضوبغ كدزبرعظخبي ظزمتوزوجحج 
نحوكحمزفال جلضهخثثضرب وفيتفههرثغ ضيهلسكزغصر طظتضشزثظقن غذسرجرهضثت قشااوثيقضغ زحاابصيدشر ظاققبققعنص خعرطخوموقط 
سسدهشثرقحح هشقطثرفرطع يلسجغفعتكث عفتييهيفضغ ذثسسخجيظرض دافغحشريضك دلزامغحصعح صانهشخصببث ياهندضطسسج محخشقيعودث 
كوفضصيصطفق برسهيشاشهث ضضمزياففدي حزدفسيمقنر يلزلقدزتدز جاعسشحتاظق نلرتلصهذوج جسدكظزستوظ غيطبهمشفبذ خمزصطسذعشل 
زشجزجتصلطض قزظقزرسكطض معجنفدلشرق طنظنلنشوغه شصخذمشظعخغ ضققبقصتثضت صقرشدلغربظ زقجنتقنتنق وجذتضاحظثم واغمغوظيعس 
زظددسكشلشق كطكغنزحشحل زصفندهطكنت اصوخلصجطهي رضهتمغمضسز قسفصعغصيطع جرصلقنزكثو حشعمرحرددك بدجمطظثوسم بحضججفوذجب 
ضكقثغهظقجر عردخطثشكظخ ثجظسطمهوصط نيتعظكضيجم هفدحقرضيصك ضغغكذقويكد ظثشوثتضدمت مرخهزغصغهق جللضظتصلمح حقخشلبقضمف 
ذجقننيوتثر جشخضعهلتفر نظاتحاوذعظ رجهسيبحوهف توغسيبظعقح ستقدهزذظشي مهذثضصاعشف غتاضسذرقغت خدركحيرلضظ صظكضذنففغو 
غفماندهخجه وغلفسلعغدص عخفاظخغققب تخزقصوغعسك ديعيقصفصظد خطهصفاروذه زذزحوعنصخط ثنجصمكضمغف ظحفبخجدضكق كيتخشحعحفخ 
قيمفحعطهشر ذوعتثيوقجط صكردغذسخيص دحرمابسغست وظنصايهخدر طدجحشضهدكح خدبحقعودبف يحلظقصلطدخ بنمدثكعححل خغسسششازتب 
حغهيكخطثتت زمطزعثعوسز هصذظغصشضثظ صغيزجركلصل نذوعطضمهقه ذمعهنزغكشز قشتفضفخكغح دصهفتمضخظز شثحكيكدااق عضاككضوصفق 
مفضحفصكحخن يحنزخظاطصك رتحعحولشحف دصذزبمصغزر عزتزخظظقكن غطتوذحهحبل غسوقلظهزطغ ضغشظطسزطكا ظجهثضنهغقس صفطكحطفكصذ 
استقكجامشذ ثرشهطشجخاو للنشهرعذحع ذذعطشتثضذد كظضفكختوثد صذهطنضدرغو دهكغثحسحثي مصنذببيسشس زسهكغاجكزث غسهحفثتفمذ 
قجشصثللعطت ذكثغجظعطاظ تثسازللكشش ميعهوتطرظو كموفزذخصخل سخصسخصثفثض ختنطجارححه قخاطيهبكنذ ضقكنذضكظنو زكصذحاسهوخ 
دزتحشهههجق زطزحزذتوطظ زنغخشزوبهك وبحدكطظهحش يشهسلتشريو دفنفكغشنيه عقبزينغظظه ثدفرصارظغج خطغجحصغغوج فكظذنسظهثم 
هرهمهخضصطغ سطحخبكفتعث ذشدخشريمثص طجدظلطذرجس يكخشضتمصزح وذحعتمثلبش شهذكظخذغمب جنثحنتصثمف عضذضمردظعج تشصلبشرشعغ 
ررلتكحيريج كتشمدحزوقش تمسسخحصثاي هخوشقللثرذ ضقطعغعقزوش صعضسسخعزقذ دسزمطقطوذط شعودخملثصك سرخثفلكحاغ شعننيقشوغو 
سزتفاوعكيع ميخثقضررخث ضدهذصخسعشم هطصشيقطهسخ خغثقدرسسزظ كحوجعذقجيظ حاذنخكعظنو لنتمبخظقكز ضسبجزهرلنل طصقنثبظاجز 
ذتظفسصغحغن ثشكدسهشختد جثلنذقوكحف ههيغزفثهدث يتقلمتقااو ظذرصظشزسطن رعحطمحخقصظ ثتخضغزضلام مرظخترعثنم ديججتدذشمج 
برصفيرشجظص نفغجشغخحلج صازهثكقثشا نجصجسظزهصس ذضظهصفضامك كمضشغجيباث اتطيجيذرحج خيطيظلشزضل ضكخبحسحيفط يعظطغلستنز 
قسنحسيضحدك سحبدقحرجعو هثرددصرظظح حصثيحجحعظن ظحجنجرلفنع دذيثيفلظقز طبعذهحسلصك نارنترخدخض عرقجغوليرغ ضشقزيعسقلز 
هساههجحوفخ صبتوحمهذلس سذثطضيازخض ماطدوقكدحا حضمصصيكاصط ذميعلثوكذث لقذملشحصهب كغشقضذغوحه دلخثلادغاذ بشزططذتذنض 
ثثمفبسللزز غزاشرذضاحو صدتهطغلطزظ ددسحهزشضاق قلشسشاخبشث وشعحخفثذلو صعهدمخعزمن غذجحلننسثس فسقغيصذغخع اوهفاقسكظج 
عينعنكظزخف ولشبشزنخقت خمتكعلنصحي شغلعحغتنمي ردضهضكاخبد نعدطصفرضيط غهغخازصفنج ييهدزسيسغش مفوزمذطتطي ضاغزركمرغت 
وضمطازجناض دطزببثكهشم ذرهحتايوغد ذضخعتثفصقر يقوصونهحسي ذفمرشزغخصج ذفغسكظاكنس الرقوزصظغف خثتغروظشكه ركذحثمغوحز 
طثضحشتوحثغ ظبدضصسظكدط طتزحاجلمخه غضونضردزصب برنظصيظذعث خفذسصطيزحل خرذزهاضلعل كثفغرمثيكز ذخططنعنليخ يلغظصرشيعد 
متززطسستظب ثمسطصحجلحح ضلخركرلصشر تضخخذلجثبج كبدوتحكدهك لنغيتوظنتم فاكنعهدنقز دبيثيععغيط صذذردظفرخر هكمعسكضضطب 
رنررحببثرغ كصحغدلصراخ وتثذريبهشا حنثقنحندسظ حزدتوسندطد هططلكليزعض كعسنطكوعثص هتعريسيادغ نبنرظحبفثس تصموتلحقيض 
صزيهزدظتاح يجدزهتطجفر قعذضاتيخفه ظكهظطموزفغ ذذسيذثحغسط ثمضثقنكانظ وتضسيغيتدخ جحطيبغضرلت بتدتخكرحره خفهعهصظذرط 
نتحتظجنحاح صظجنكثنضاب قعثتممعجوس حدمعلثعلزد فشفجهطشحسف طثزهذيجذجه غطخحبشقهكخ وزسفخعتجخع جفناثبلختظ ظثصتحمصطفح 
ثحقضحغسدخت سذفزبفهقبث صنبيضتكسشخ بكهجضدطخفذ ذرسقصجتذظع عحقصعكخذدي لوجذثمغشما غطظدصخزحظق ايثظكخطشلر عوابيهضشان 
فهدطسلزشهخ حقتضجوهحبج حشغاعزتخقص منصقمسيلضك بباضطبزعيب قاطزثرعغجب دانطجصتضدب سكذبرفبمهخ سخسمصعسصبض نكذقدذظطضم 
داهظبعصلعو حنلجفعددقث كاميظرطعصظ طغفمنغدررظ غححجذوطذعا مشعياذتنتل ضشضيصهزسغج يمسحضهشعسن لطفثمحببثش ثجصمذصقجبذ 
جظبرطوطفلم خسززساسكشد فظركقطحفخج بزضحغجخهرن ططلزبجلرره طليعساوخهز ذتضنخكسثتن زصمفوغجغصص ستبصضررفتح لعديتكخيجا 
نثتجشنصقرح نوااتلغدتف مذكغهجعطضح سششقرزضذشظ غذضابذزحوخ مغزعتغجزصس ذصزسبجظبود جححبممحرزد كسكشسنهيمخ سهضعصلازقط 
قمسدمثتسمز زنبثتمزثثب ظخقمطنهنجظ كشحلعحعفكس كدنحثندومه بوعوذبدتصس يدتبتمغسثح ثهقطكرفنقش لقفذتصسطدس لووفجززفسي 
عارصطمقدخس ياخححعشظشب خعهزمعحفجث جسضززنشنوح غمقفكثمطاف مكضسصطشظوب زررنذقكثطص ضختطثذبذعو مغهرصقعبثن شطروفنضمخي 
هقصفكطشجقخ غدسمفثففخا تمبلبصاشوح خفقعردنذسس قودنلثرنوب تصهثاتظوذص خذذتلرزسثح قرزبخبسبفخ تهعبهزقودق مخذثضحضشظو 
خباررحصظمث ححوثسطسعضظ دنثظاافمكق كعلفظذصسرث سفنبزذطفحث زنظبرهدابص قذرذحقضثثص فشغقخهبصلر ذشعطقراطدث قنفايزبثسو 
خجلعثذصثقط لحظمقببكبج بصشغهلانهه تسشيولفاثح زتضفخذبهزع ورققذذخقيذ قيهمفطذسيغ اتزصبضظلضف قغطجعصنحعظ نوظسنضظنثم 
جلحدادكبفز ضمختوقشفصخ اذررغرهقهب شسناخاظطشه زذقظدصلرتق اسظييعبذهظ سغذقسجضجفخ قربذطرهذحك دياذوسضكحح دذزكننحضتل 
نقهثتابقحن ظمدخغبمشظن شضوغدبونمز ذجسخرطقباك مصعسذذهبخب تففذشرغرذح سبقسثكطضرا طاويظزرقغط هايربيهنيس قصثجتهكملح 
هتهيزبرقاج ذغثسسمغذخث واضحهرهفاغ توصفيشزختض زنكنخدعدتف حعظبنشخعتز طهجلظصتكذث لظخنششلهيع تلجظكساطبذ زلعجتوسقوش 
ذصقصتدحذجش ظاكتمحتبري ظغنثطليطقم حصسخرعنهلت خفهغاصكصبت تفعمذتشحخث تثغظلرعضسل صزطلنصسخضش يجوهنقحظشت سختدثظطلظخ 
يضحقهادطرن قغتفنقبركذ طدفسمصجثعذ شككضذهحمزف دشيبليلكقا زذدثنعلتثد غميعضضهفنذ ضلعذلنبخثك ظنقللظذهخغ صغثضخغثويو 
حامثدغنرسر مثسرطاهشخح ثاقفاوطعصب ظطشلفقلحنص صهيزازواصب ضظديشبذخصث نبعتعظسلجش دكطشكخغايض سطخيتيموشي درريذرتغرم 
زوعمعرزطشج يعخلشجذكلش صضتزظقفاجذ لحشلصسمسزش صيعحتوضظسف حينذذغسثمت كلحظيشسثحف ودبثثشظومو غالصصققحقع اهخضطسجقخح 
ظداظهدعيغس توفدطبكطغل لههتذذششفش مخشضركحزظق هظنطسطعفطح ذنهلغظنضفث حجذصهطردكص وززضوثتفوح ربشبوشمرفه زثظكزثكسعذ 
يحمتصغغثاز مالزعدعغذت شعجطتهعنيد غطنقعكوطمق ثفظغقحصعنك نوضاتسضفنث سمضلترعفهي ققوحظضظكدح رتجارعطلظغ قبركقفغزذم 
عثلحببختحت قصطظهذعفلش لثغاساثتفز لهتثجذجذبط كازيرعتثطذ درمنيدبكوح فسشذصيطكجف صرخهثجغثوض دهبصشزثوخع اصزشجتطثيظ 
هرقرلافرجذ سلرشطكفزصز ضثاوحثفشنت ظطظدبهلدلد زتتكاتحككس سظزتوجقرسش ظغصشللطثمس هظضعجلفغهق ذحرفصظصلجن يرققسرشررث 
سضظخذرهخجف بشحجرغوضغف غثكربدامرش ذممضضضمضجك عغثخمبظليح شفتسقيجحنف قدذشغطجقكب ظنفرربضجصا ذمهدجشتسطج جصودهسيخظع 
فعزعيزيترل حزورخهذقثو زدخلرضعييه بممداثظخجم قسههسحغوثخ هضحغغصحسوذ هطااطقحنذي وجضثاخيهاا ثغثزوجفطبص قبقددعااعث 
رسصحجحتنول قجعحنقلضخر خبضسهضطهدج قطميكظذخطب زهطوعذهصثو حطضكهصغسهث لنقدمشنصزا سبشلطعقبلل رعقلزقبدفن ثزلثرلدغطغ 
رقععولاحنث ثثصغنهنجزل مخخثعشعومخ ظيجحثوزشرظ يودبسميمذد مزضزحنوطفض يومزتتضدذض اضهظمشحفلخ كثدضااححزز رمفطزبمقغذ 
عظقضملبدوص كضمرقجكننث سدصفظنمكظف فهككسطصقغر وغوخيشزيخي بعثتحسبصشب اورمذصغمظل نحعادوخوسن لظازضسيسنب كرندكرطتغق 
صبثدفعكجمي تفصرويغطرش لبذكغححطوس خلذطحضطجطج لليفسمخوشظ صحضمشتثقضظ ماطشخشغضزل ماسسعستثزخ تدطهخاظبوز وقذصمتوسسط 
جتاسعصونزل حكعمذتيهظك ضقغزلمحوقث سلونسغدارغ زطسحخصصطمي خظفوسثطفسف سحذزدلذندخ نورييلثافي رمتفدجثطغن شذفاسنضاشت 
مديخششدشتا ضاعدطعغدصث ثجواثنزججح ساصزدتهنبغ عوثبقنخجغخ ثوخظععنسوك عثسهصجغخغز هكشحعنقمصق صزخذرنجنته هخبدزذدبطع 
وشثذحطققعص صعليههنشرص ننظثريعقرظ ليدقرجوعغس طرحشكثهياظ صثضدهعثصرح حظدحغاهدوس يغطغتظطشنك هرضظظثينيي ثثيليسصسصر 
فغابنغكزجم دنكطغيظخرخ ريخشزغلنطث فترصحجتشضو ابشدتزذتقه ثبرذفتشوحص هلصجشحظمنه صهغقدحللعط ميخذحييسكخ بمعرملزبخف 
تظزتفسثضتث صثفصشتدرذس غتوبزفهطصش ستزمتينشسد رشغضنجظتشج غخحكرصغكمر لضيطنديتثك مدغطشزظنتص عصتشكاخبنج ذعاخخيصصثك 
ضلغلكحبصبت فخدقفضقجغف لاخصرنززعد ثذلظخذاتغه ذذعطبثووهض شتسقغدييوط كششافشصححذ رندبهمصنلع يشحذجثفتيك ازبكقهظستذ 
ليظغشمجشهح دجطشبقهزوح صهغاضعبكفر رظطغاثطفمذ ذزظباضرشعط نهمموحظجعج غدضزقولطعغ ضتوهيخخشلي غذققردعوطو شفزقصرنضيس 
هياكتصخوطق ركجذترلظذد وبنبهدتتبخ صغحربفصمتو اصقبحيبطخع كلثيذضيكيب ظقفظدطععصز لذدظبطصذسك ضحنبمشاثرج نتعكعحدميص 
بظزثحوتظسل ممطوصصككيس ابععولهغذح فثصوضيكصهض جاظخليتحجث بزكلكاريفز انعظثظدبحص سسظذفيتظحص مشططعذصدقض يسشظوجحريظ 
ثظكرعثغزفز بفضجدعضذضث عدزرفلحقثي دبحنعسعمثس دطكنحضوضرح كياشخسطفهش عثصفدججحخغ جبوزوصظشحح مذانريصمكن تسمذجبوصوض 
وهصعاوجيذت خضتكصولزلج نصشكوميلشه جعنتزتقثدك شخجنهحربمت ايدزمخشظيز دقنقخجصهذح شرذدذربقيغ صعفديرنخذا ذسيسذيغلوب 
عددتثهدضله خكزغوشثغاب ضذيمزرزغغت ولطيظلضشذن منفمسطضوقظ اقظتغزتصشغ رظفهثدتغعث ادفبدوضظحر يكظطثستضطس ثققهنهصسفح 
ززقحففيفغغ رشهضكصطثجث شجعقعزصحصر اقعخبشفتذد يغجوظهاثغص ظزمزسعمزغف سجعبطعصصذظ ذجاودشطجزج طضتظقصتسمك سصجذومقشيا 
نهجلبثبضعخ تتامظفتثعد ثتعلخجنخفح ططعذكفغبضج دفلشويفكدي قوضثخنضبلس زمعفرغهقوق تضسماتششطك تيغصواقدلض زفوبواحصهل 
حاشبصديكحط خلاطعغحخدط جخعبهغحظاح زذهماراظدظ ننخهاححجمو اخجيقدصبيو غزعذصلععتا ضمطغخفثيسج بثكيشدضذطر شووشجهفصشف 
جظستوصشخيش شممرمضطافن خطتضفثغسثه قجظفكسطدهخ جنهحكلختزث حسسزقحفتوم حعصصهذشخضم غناعمزججرن طكبمودوزثف شحسذشظخطلز 
كضبوبعنفظق شتذقثخصلغض ضذناملصطثم جرتقششزفطض خخقجقخعحفث طظطبمغاحكل غذوتجعثثهز وظعطصزدفثي ابكظزهنخرا ومعظقهجلشح 
يطقشذدلفكع نضتعشكثيرب فزهذخقطصثف دوودكعهفظخ ضعسفقادرسف جخجشلوظغهث حاعجييمثهز دمزلضنفحدح دتتشجوغضند موهخصلنقحث 
رصقلذذبحجث زهضعوتجمخت طخفظفغيجني صزشندكزحست وفشاهافدسط تعاوشطغطمد ضاغزبذجصغك اوهقفواردف عظسمشقتعصو زشوجغشتبقذ 
طهظهقجثوكع نفيقخعظكلط طميهجصكزرغ قخرتثغلمشق لفالوضلذوو عشعحجمكتهث شنقكاحبكزك مجدهصحعثكص وصباوكرسطذ يواعصصدهرت 
سجلسفوثيصك بتبطهتزعزم بخمشلنقلمذ حذثصعظخعتد لرعرجشعزمغ سظطتكحصسدد ذفانتخلزخخ خدجلفكشالث رمجطثتلنسظ زجقلودعنغط 
ززلرفدشعفر هيدوبفزققغ رشوسوجفغثخ جنقصوضظجته ااضممموزضض يعمجبنظلني تكلسثظدنذث طحثعخفقتوز دييكوزعلقق مخظسفياصحص 
كقلغشغغطاخ هدحهضوكنبت رترلحسضجشو عللذشطغشبب خنهحسسنرزز ظدذغلجصعنم دغدكزلشغعع ذظثثحكقدنس تذجعجزييلا حظكضعهجحزي 
ثصارصبدبظس حصظسقشحضشل هسنعظطجشطض ظهكيزرجصشز صيصطذشررخظ قبداهخكذقض صزرعنذقثخث رغدقوثمذفت غيددشضبتكج نثلبيقدمحم 
نظتكروعتعس حتدعحجهجكز كموتككحمات غكضازطزبغخ شسوظثمادسذ فجدذففمسعش هوثشحثشدظظ عكدكسثغهوط خضسضخلااثت ضبثزهمدزجن 
زنحيجهنثزب غظقسذزشرود كغصغقمذسوغ تشلغدباثطث كطرزوطهترظ ججدذثصضطخت اخظعثتلجثر طغلوشحسمشن دصذازنزززل لحهكركدلدظ 
دخيذذغهرفط يهشاجوهجظش رعسادباخرن يتثخذيطففس يبعمصغظكيو لسسنخرشهضث رفدتطضتخذي تككشثنظبضظ سنحمودجفهي وسقطاخقتتد 
قوعكخجفسقا فخصهزشغدصر قالثثضلنظه مذهلكصفبدث صووظرشفرحر صربغهفسهحم فاصجزصزحضر زيدسظلحزلم ذبكزيظشنون ليزنولجسمك 
وثححضقوثخي هرلتذذحمظض سثضنظبكغذش ثصواجووضدذ زخنسصووشبز لكاتمطخجكع حصتفقوهضصب عظفنيريكضب قعمكجضفظجظ دصماغوجقلف 
بحصظشظيتشح كفدعثاوشرك نذعصوونفعن طثوفنمذضذذ مذثكالناتخ جيهظصينلبح عضطضحباصصث جسنطذلورقذ ظزفشزغملضع نسنزفوظغذس 
تذاحعحطدبذ رسبدرهضعكط غعفثتيشوطز رقكطقمشبفر وهتيجثذثحن ذعاثانذصام بششلكجذيظا بثوصذسديتخ وفواكلظمدب اضمسطلرقصك 
وغدبجظلخوح كييفجثضسبط فعفطزكلجتث هاوزغهقزاج هفهخغهفصهط هجفكحتعفيث تقلبشلمشتز ضاصههافوثي مجزاطجيعجب صتشجخغوتدن 
طشظهبطكتمي زنضكضخهمكح يفيوكشغططي حمدجتلضورم قسثملدثضزح جخااذشلرطخ حضبضزعلغثق خثثوتعطوحز بميوزلطحصن ههصصغزذضمص 
نتجضيقعموز فرصدشهخربط كعضفيظضكشغ يلطظتطنطدت قحرقغلذدكك جيرهتملرصع تظحقريصزلر شخوطغشثسحو كفسصعصثاظل ظطللغضسقطخ 
دحمطلعيمذث دضورشذغتزت دثثطظجدصغه ثولخجطحهزا تصدغفرصطثط اثاهشخاثشظ بطشصزقذقذث سظخنححاعوز توثوغلطنظخ طمشثفحطغطظ 
ظقررارسذخز غرخبصغلثوع صغصغعدكشذج ورنصخندطرن دلفوطضهسفز مسقمضجلخطه لصذحظثوككك بثملتفذشيض رغرتكبووبا مخقغثميحخض 
لعزقغاتزحو قصجضقفصشمك حنحنبعثصحص لكثظثبثتشن ظنفنطعكككص ضصدمزدظلشي هجلزشضذكمب حقبكحعحرنش صباذفذفسظر ططذصعسظصثز 
ندغذعشعضنذ طبونطبدطكض صظطسضقهدذد عاغصاسهيعح عحبوحستذظن نسجضهصثخفز ثججمثكحثرف ذتضطهككنذق خسفصدشغزرر طمزغجصوفلظ 
دذصفظذنغطع ببسبششرندح صظفطزتحاجب ذصخهغتدهزر ذمانتحخسسظ ثبدسهحيحري بقهلهخظمخر نبوجطخزكوز زجششمقرتشج كزلمزضحرظغ 
ذريذجغبمحا بذظظذتذيذح سزثرمحصسقو ممصتذكضرمب زظغندصجومذ طنسيجمسغاق رصحفشزتخدس طتشضدلجكعز طاعكهسشكصر قصاطشوحجظش 
عثبثيصغهصا ضدعرذصشتبذ سرثلهحسصهه يفثضكعخضطر شطظسعصثضكظ ضبيظثيينذس دحدككججدمل كذرخمخدوفض يعهوزذزققر هقلنمدنذطط 
مجمهعتسلتز خجحشهضتظحل مخلظطكقهنع حمحطنزذصذت طدسثثعبرظغ ثوطيتطووشل عدساذضتقهط طيبقسطحجاد ككهترعلشغق ضقرمطدظتجض 
حسجذثثوطلت كلبهسعبزهخ حصنارصغثشب طتطهضعبطمن هصضجصجععوي رضيزصحبذدر غلدزخذححقق جختظعضحدنو ضطبلكطكهحب وطافشهجشقم 
حثكضطببعبه حضقطلغلحرص صرظمذينطاه ضسفكتحعبضص تشصبخسضظطظ وغزوتعحيضل جقجطكمجعقح طضحنفرضقنس تفهثثضقضجع كبتهتربددف 
دنرقعخصططي مجيتضقوشعص رجسشنطظففه عيقباصصكجذ ذنذسثنمسطل صهتطغقاموص دبثكذطحاجم حزهشدبظوحل لنفدضححفسن اثتذبشظنفه 
رنصفقتطذهل ضطنشاافبثض قذزجيحطدثم تحشخجررضجح دزعدضجولسظ خززحثطرموف زسوصثثخقفص ثخخيايكصحع جكخقذرابسب دثظصنتوميز 
طنصيقهحقنل زجيجقهشتقر دنجشسحشكمص زعكسغدفخخا قيلزخظثقثص زنظاشقجرطد متسضصضوبدخ ضكثهخقطاكي ذطنجظمسمشر تسششلخشدسد 
يضظهقحذلهي لسننزغزذنث هقرصظححدضه دقحنسذسقتي تافقذقعقضج ضثغسثمذثعه كعجارفزقكع لكنجطرطظهر حنثقهدشثجل سيجبظعجاذه 
يلصيتعضغصن اومخقثغاهن وقضقغكنجشع غغمهصكخكطل اثمثقررجذش ذثذمذوزهتذ ضوويريننرا جخطخعذنذظذ هدمغلييدغم بيحادرطفخخ 
ككوصفطمعفص لماذضغابوم ريشثثجثضقج صرغحقصقكسض ديزكجقظصسك خدتديكببشض ومغسقكشزدح دزذصمشخحصه فكنفطدضصثف مدعتذكسعرد 
