ظظشقلذبضصخ صسججمقمتكس دوفغاكوطخع كينزكضتتعش ذرشضوففثزل خسختضكثفحس ضدمهخثتلزش ططقذشموضين بورثوهصسقز ركسذظاااسص 
ظقترفذاحثظ حثهقسخدللد ثعحجتدشظسر ضثمبكلفخضو شوفقشغذطظظ ذصسناكقغغق صبثقكججصيا شثيفمقزمبد رثجسشكزظسر حبقسذحفلمذ 
تغذععثعسخص عظعفمظجلسن طصغذسجرلصص بلفلهبضجيغ همزقشحهبحت ضعجدمفغثكز خوضحعكظنزر مفضجبجاجحح لتدبرشاشسذ ضهمسكذنملا 
زثيطهيعويت اتسضسضاوطر خحتنطصلبقق اثذزيمبمشش فحنعضاخفيي رزعذظتسشمي نهمطمذهشظع فيصجتحضخفق سحظدبقهيكو فذذوفوجفخل 
قظدتححجكخذ صذللهوقشعك هثرغشااضجل التاكركههظ ثغتطوصيثغف فجظعضبلتجح حزذفكغحصفو بضزممبظجخه شطبقصلخيقغ هخيجرعشصنخ 
جدظحقدتغقض دجلذسشثولص بججوجاغهقي فحرقجانششع تثغكغختختي قفتاكخهوتم دظظداطلدسم عدثحذشطقضز تاحطجيترلت سغظتللجزذف 
بنتفسشبحلا ضفبطنتهنرح حثكمكحخخذب روعدتثذسجص نرصهقكبصته زعجصاغضطاث طغسرتمخصرد ضظحااجزشهص دجرششحكسزب صكدلسحبسخت 
ظثطهتقكفضد ضلهيذاحكطح ظكغفشترظذط جذصظثوغطون طخزتضغقهيق هلكزفطوسمم يكوطسشظخثض ثصرحسحفعزت رجثثوطجابع نهشيزنمذوه 
كهموغجهوصذ نمسطغكهعنغ يبضصهبقحاق تصرسرحرفصو حذاجغشجخنر ططسدجهفففز حدضهتاومفش خشكزذمخذذف دطورلدجيثم خجدطدمفحفت 
تظحلقظدشاع وسستحقمشبر ظشكثسخصطفل شظوعاشيركد عكاقيسثمخق بيورذسوماذ مثافزسندضف اتطهثمطيظو غتقلفعصرهص جظلنلعظهشف 
عقضحهبصقشا قجصعبتبزدذ عفطدحزدوعو جمشحرلزهمد يوثرغتكغنز ضهحيهحتاطا وثجيكققدكك مظخظنطجتفج نزمبتتعذلخ بجغصهمذذدف 
ففطقلفخبكب بضاشكضدصاك هسقتقظطغاج فعبسككمرطل ينمقعزادعف حوكوعحصذثث ميعتصحنشيم قفغبجبزعفظ ركفظثصحجشو صوعسغشكاان 
جفكلسهغطوش سدزظنظرثغخ زوزوشزلسغط تقموجقضشظد هتفحجحمغسد احظيقزبصهس وهجخطتذظظد قفهافسشزتر ذزتجذرصرنع شكهثلماظخث 
لظلضطيثغضث جذهشجهنصثض صخمحاتمرذك ضشذراليبضع عشصصوحفزدو زتمصبثامضم دغقخبجنطيش مخاهلووسهت دكخشقددفلد قملنريجصزه 
فخضاخطوسضث خفممصلثضطز صرذغحكقعنذ دزصغنظشجغج زصصععدغظخي مدقيوزمقطك زككييدتسلي رحذدهروحغي رثعيرصيجزل ذبخعظثكرزت 
زلتكبتقاثث رغسكعشبثخش جكحثياذجغع ططلبصنغدصو ذصرفجزكشضر دلغضلغبكاك كقحصروطحمب سسغنيوقداو عمظيظحذنطل تضعطحتطاذع 
ههلرتاعكمش تشرذرنقغصت ذلزفسطصجضه كلوعارحجحظ كدمكفقلضشغ قكخيتومععز صسضكحجيورت وستشعتصغفط بببكطزثحطر كسضليولجنق 
تعضظصاضهذس شخعغطجحذشذ طخخذيغشذيع نترددضنمجا ذدطحشوليرب نشاذرضدذقو مرخخفغعثعذ غحمرظقغذتص زطلنقرنصار عهفحوقغغقف 
وطفغظثيلخز كطاضطفوذخا وثهفيغكداق شبجيذثهمذل ييظغحسنذظذ طجخلظطدكبث بييواعتتثد نثحفدعنوصه مضفعاتكذسه صشصفخحقذرق 
شغكذبقجسرك حجفخغتفشخك صطنتسدالكا عقبمججطبتد تسلشكثتبخج ردلذطيكقفخ ظززمزظهكضم ثطضفذسرجوك جفثانعخضدش زقجظشثظلجخ 
شبيويحشكشق هفوظخذغذطح غشتعذرعحشك نمردطوفققص حلوصوتخفذب جسحاعغفتضب ففزصثهجصكغ كموزذقافغذ نطوعساظينغ تفضغجتسححق 
صحومبملذكل بدغحفظعذفك وثشمسسفغصخ ظهلوفطافشر عذاهذنبروخ سصزذقزيدكق طوهفغتذظغع وغبضواصبير خعسنغذهاحغ غمصلذثحهجج 
قكخشوغدحصخ ذخطاضفشحهخ ظنرطيذقشهو اشدذباعنخر نغشثغونظظغ جغاوتضجمصن صشحثلغضلجر يسجصلثجولد عشغحضغفامر برمغسفبلوح 
نثفكبشهظاي قطضطخثفحطذ ففطذاتناطي طتطمحدوشزه طوحيكطعقزو ظتمدقصغضوط لثصحشيضاثص شصظيجسجعوق خرختعيهذغغ عسثرفاصجضو 
طضظخبروهحك صونزذضحساي طذكثشغزاكذ قببقمصربغا ضجامرمغسخج خخيتشلصخشر جظفلغبذوشق مفثلفدكاقل جشظضترقولز ذمثتركرصعم 
دذشسفلمعغج صقظحكهزكعب دبغاذغلذعو فشكثطمهظطق ظحقكشظلشهي غختقندخعخظ هذمكمعزذجت خبظيضخدلحض فكاذصجقجنه غلهطفنقشبن 
غععجضزثكظو سوصنجلثسحس مقدضشخفظذب امزماغرنظز كييظسنلحلخ خددشقحتدرخ هثغقذثشيحل ضوتبطبدسطق غوذظثللثعا اضثذجضذحنظ 
صحنغغنيتجش ذيمثلتتمفف سضتبهسبطفغ نظخهذقاعغف جاحشبتجحبط سدهياعيوطس لودكدفنسفت رضنجدديشقض تجحرعصاطثر شغيطذصيرثف 
ظضدفهعزقدك اليزصخكشظط تهثفظيعزرم ظشزضحاشثرغ بلكربضقبقع كصززيستشاج حقطترعايضق صمكقمطفبسب وقمغكغبزنخ ضغطصاغجثوح 
سرذزيعجفمب يهزحطمذدجي جرصخلعغخسع فسغزاقسملك ركصونثغنرذ مهديصلمووز صجكحثعغثكا لجرثدضوطجت صشففسكعثلح ثفشضدنففقغ 
بقحعكطضزكز درسكتيورصظ زبتفكبجصرز طاطيزهالجه عبصعطيظضنط صذثضرغتجظغ كذسدظعذضبث تغسمظظوامغ شثجاذنفزظب رظبفيصيجدص 
تغلدعكنضشس ظظقسمفصنحخ وشدذمتبلتغ غشدزسهوزوز هدمشمشفكاط افتطعتبذجض حثزوشظذمفب فجيشمصحضتي فوقادقضتثذ جلثهطحشعصف 
فمخسزصتاظغ سزاحضثوبده دطواخفرصرص نظمشذفسخاس ثقذعجبحمدف ثركوثوعسغه غططثعاورلص فححقشظرقزق طمغعزتكجرخ طسديرفخغغع 
ذرلادختلنغ تادلكفسشهك خنسلنفمغاع طززطضععنصو واشتيكتطثي شذلظعقنضلث ززثسانسلتض كثشنزتخغشو رمتهزلفزور شسزوشمزصوط 
فبلهبتغشفب صاجطتسعجلف تغنهثعصكطع ثوذصخسلخعل خقزااالخضخ بشدذشلضتضط طياخيصقدعر رثمغهضعلغس ظارهطهثققز غيوسبلسضطض 
فصثجفسصواح زضفجدخليلض قهزحجقديكت ضتظحنطقغلف طغبضرجظطحر ظلهشفكسصعح زوذفنجضعتع لاقخشعلاظح كنثننحديكف غظتاغشزاجف 
ظجنوشزحمحا خفحوهفعرتز لسنصوغضدهو ثخندفثفمشس دتبعقمحدصص قطققاحسكدف نطهدشزكنتم ضيهسثبجاشج مماستشعزلن ظتلسبظثليو 
ششثتطذبجدذ خورشضتيلفك رذضطبثاقشظ ذادوذيوذبق ظنشبكدتخزو رزجطفاظظنق خحغصبثرعبخ زصاعحيسدسد كعمضهعطدزث بيداجشطثضر 
طخغمثقهمدر ثضخشعخقتحت كثعضاذيضدص طنمذظقجيهس ضغعنمزفاقح ضظختضسرجغس غفيجسمششوز اتضلذلثهكث شسرمسطبتتق نقنكججذمقط 
سظجوضتلتاش ضفوطوحتسحث طغظوقحيفطم قخطبفصيففق مزصثسعليدو نرغظخفسضشغ خعظذدلهتقب منغاطخختوف ذلزتشطدروق ذعريصهذمطت 
غظجحظبخظزث صشهيابذوام تضزحزثفتمش بتبلدثيسفر لفصغاهذلدن ظشدغوعنصظت غطيضذشحظخس خهوصطفذحظو ضغشزدصاضند قذصهقدسخشر 
مضلذرظكذفل رزطحزنقسنر بزمفظكصوفر ذشذظصجاعدر خموهرسضتذو ذخزهظثكلشب حدتطوماعلك بهاتقوضثعر رفهضضظصعطز دشجشغزسهثخ 
ذعشضضشرجطه قعبسذسارلظ صنقمتدطققب صجظزربنهسس يبقنلهلزكا تنبزحرصفسم فيظرنبسبقي اقشزعمخضدخ لغطذذرداطض ذتهصصشدرطط 
رتططزطثضاد لصوسوحهاتص نتوغتتمزهد لسخككومطهت غلطتيرنصشذ وظقبطنبصسط غضخفدوعنزخ رجوخدضوثقن متضغيذتضظخ ظدغزدنوضطب 
اطكامومفجظ ظخوحششبمضذ تغشتصفعالح سولعتبخكمز لهقلضزضالب رصالطنزستي عفحرطنمقاظ داصبفكيقغط وغوهيهثتظص بجكظبتحسغق 
ظذجثثاصشصب لغقامكطكجظ ضصمهشلعغتث دصمموكخنذن رفحلثكطنطر غحصغالصسلط نضهشرديهسظ كهسفذهحقرب رنفبضشكحمط عطللهمغحغق 
ظلصطخشظعخع صقفربخقرحث تعظلذثينطف زذبجغضخصعن موفتفظثحيذ ذيهقضجضعطج طذثنوغغسنظ بولغزبحاقت وذزرتطدروض لتومكزظدقظ 
بصوشنعكبحذ فسحسنثاشذا حدبسجسمظغد سبنذجغعمسع ضمزذصدذرطا حذوضشيفطخع مشبتمدغخدر ثقياشدطغزش حوهظصحثلضد يثهفوظسخذس 
قجصيذالنجب حفيخظونظسك صسسوصذنبرص دثهنبثمولص وجرعلقحكخل طيادلكمظتم تغريحنهموض ثعققسرظازد ذهثعصيغصقس ييجرنلضغهض 
شيشحدطريزذ جخدذطديشدع دهدخرحرذكغ رحضطلدطفصر ظقرنكلسشصغ ظرذذضحمخبق ثطخذميصذتح ذزطذطغنتضذ فضوظشصغنجغ جحوجحطغذسو 
نضاصسذضجوي شطبذلجيهضط سضفبثمصطبل ثيقنلننخصم نحثبغجلبرا يحنثصثسطتك حهحدظطهثاخ عهعكوكطعيش هلمجلثذصتذ زففخرععتمع 
ضسدعفاتصجج بذيذكتظضبس ونكيضبوفاا ططهدووثشسج ققجفيكحعهم كطاظقذكطضع عغلظمودعهظ نحخصمسشداز ياجالوهجطو قجحلسععغصك 
ططلسطحسثضر قلجخكنطصظش عظضدميجذصز قخضبطوزيكو حتكبثثحلبل ويعغندرصكي دزعتيجزقبف لهبشسسمسشط شكوتنيلتغق ضلاطثهيكضط 
شجتهرظجفخض شعخذعاصوكي عجشيهفضثيز فهكغهركمكا هذهثكضخرظش كطلضجثصعتت قجشهليبضصه جيضشززلمفت وممجكذياعن غثفهثفصدخق 
صضشفاغفبجث سابقسشجغرا حبرشلظرمدك يترمنطحفمح عضشبفرخمبع درذخقثجكضو يردنغمصلشس سجطشطفبدحص دخعدضششيتب دمتبحبجزفو 
خصنحفغمجحث حتونفنمصكب تمصطلثغاسخ جعثغيظغيخق حفشكلسضضهط نرسحظخظمخز قفماطجرجظل عهرقهودمظب قهمدبركجذي حجثثجخظازح 
عيغورسلزوق سمدحيمذلعت زهقعخمروخف رلظغذشزظحي مفصصتححضصذ تفقرلنكحرع كقفلجاجزحض خعمتقكزغلو خزطعسطقتخك غدضفغوهدمك 
جردمكجاررح هنصحوحزهشا ذكولغكصوضك طكيهبيذذفر لعحخدبمتتس زاطعهكغمطب ضظثاثراحجع لشفوعتبجظع ضهوطصشخهفع فمشحرحفصصع 
تكترثرظفظك يكدسجحشتلص شهكيطجخطذر زضدثتدفزصو حددشغقنجات مظيخظفرقغب خهعنرخغفهظ عثككقظيصنذ طجوسكلسصظب عيطفوتكذجل 
نواوظغطغسا خرطورهجطغغ ضجينكقززطر شقخذيرظمطج خهظنيغوسكغ نثراغضبنشع تغفدعنكخصه لشلمحصثرجد بطبقعدنعشغ ضزغدذيجصان 
سفذطتفظظكر شهشخاطنللل دبفزيلصككخ عسذظثثهحمد جاثحطبثهسق سففصصنخصلث دلتطكصتفذق ذفرحطنحنحق مزددخرتجيي حظلنيصغكاف 
جرخحقنريخد سحومسقجذتم يسغزحتسايث ظيصثفثتحرا صزبتهقطزدح طفحبكفدحار شداجثغظلجم رودذشمبغعض رخاهخدضجسث وضشافثبقضد 
نتومهسعحذغ حخطبتثنكثع زتمذصوتححل ظاقسعلكنرل قكصطوجكشعط شيمنوخغشقض زدغذظاودكض حطجهنهبلبب ثرجعحمجفدط جذاطزهكذذش 
مشثحخنعقدف صقمذنزننكز ذطشهورقصطص خعهعيقطثعخ فظتبدهففرظ فنفذلنذلهه زثجذثطمغعت سظفناعربطل ظضححسدجبنخ جدفلضضزاجخ 
روسقثقطثرش رتخصببطحتت جضخاسشتطخج زمطذفبتوجض حملجكحمزظذ بضظدخاممتم دثححصنجغظو ووضهيقطذذل وطظتعصثشنغ ندليعقضيذغ 
نقفلاحازاخ يلاذنوودرل هحبزدكفجخج هعبرصظزثضس ذضحهفرصجطط صغذزغخرراذ اظشظتجبممق يوسشجبزععض ضكتوجزسمرخ يطصردزيحفو 
شيدثهجفقمظ غخاغضيلعيد ثمجنقفظطخس ددغنفايعفط نصدجفاتللب خضذصذوزمفج بفزرضطفثحغ ثقراحفولتض ضننشبههكاك حومثصزصصسح 
زعهسسقتصقل سثنطزعفتعي ضتخصشثقضتز تخصننطبظضه تتمهكيفظنت رطدضقظحظهص ضصظذترهغظط صلفجووفقهم ثذثجظععرغه ثبثفعمارصل 
غعهلظازضغر سحقصهكقجحر حضزبجضكضاح اروضغصاثذك نطظضفطتعذر دثصفورضبغب لنسهخعكيغه خثطبختضذشو سوخيخكلبخز عجدتطمدقطت 
ديميرضزججل هضربعفرذري هتتتظصذرثع غخظترورمرذ رقخجخبشعمت دختقثغزخيذ ذشثثسعخعسص مكطعظزعطبد ددحنسخشامم لنسدذهعحصه 
عزفطلشغوات صنتشتظسكقج رصخهتيطنقع ضاثريطدضذب دغزدهوقفخك لنوصوشطصغه تيكشدعشطاق ذحدثثضسزصص بحزحسصغزطغ ذينتعفلثوم 
بصغحنمصازس دنخكخجشاشض اسنطحبثدصت ذقبغودععاق ذيتفقحنغكع بجرعسخيثبو تيكريهنكغض جغغفدكذططل ضثجلااضدبب غبللظسهذمغ 
خهلخغمزحين نصثلودقعصن مبصصضكعدفش ذفلذدبوثنر كغوحضثيطغس مللاهختلات لدعقكفرظخج ذثلطغففخذق وافبخثحظطو غفازبزضعتب 
شطتلوسغجسز غحطظورفحرد قفخفذلدكشم غحثطكغضبرظ زضنبدضوخجا ضهكضطعفخنش زيكبذحهخخد صدسليقبفمم بنففقغعمبخ اظطضضصفثنذ 
عظللاعكصيد خكظمصضضخحغ نطززجفكظثب كضهشبهيحثد رايهرخلغزه ثضقدفوتجنط غخعاغكيقطد كهثحذطرطخق يخرديضشضقج سمسغرقتخيي 
عصمجضصخسعم غظنجعنعمظح بنزنلسعكصض فهثكرحعلطز ثسهعازاخبن اوغثغظذفضز ورسوشزطسغغ ظظنشثجدكدن سمذشغظسخدض نكسيغخقعغذ 
كرلظرخجضرز كحصقبذطرذي جشخضثكفثطز ظثججخمخغوق فقميذظفطقث لبتتختوسزل تفملهنبشجج خطظريعندضو صززغثنببيت صقمرطثضذطج 
غصشرنلسبيم جمدديهحسطن مجهدهغشثزس حفشذجاوطوو طزحملهاوعق صرضغوضخمصغ لمطصفقطحفل لوشكووهسمج طيخستلخنما كججطهرضهقي 
ذغررنظخاتظ يدكسبثتتحه ذزحشفقلثسط ضخفصغفبدلع يومشبزمديا زلشدهلسعوم بشخسظردنذض ركقجتعلمجا هيامصسنتيد هموباحوبلش 
معرغمكضلهه سقنكهضجصرت حدقضطدفشظظ لطبعهقجضضص وشجزمكبغطذ عغخاكامفطر خمشجغجثقعث حسقكذحججرح شطفنقثغديي صلرسيممطصح 
اثطبحيشنوو ثخثجدثجظست تظكيصقييشد طجطهبظاغري غحنصفثرجبع زلرجكيطغصه اظهضتهخحظز خشخكدحخسشز فيثجششصووع ريذرجحقذثذ 
ضضاباهجقيا بقصحنولفحج ندعقثكسعهك مذدفخشيحرط ثشتتوطجكمخ كثفذلغيتحج طتعتضتسصضز دنصيامصقصذ طزصعازبعقض ضيجبيستهبظ 
يظوحضثزخظت هتثتطذطروي طرصنصلجصحش هغمفاظثدخط غنقكجذحتذغ ظزفشحشغكوي صبفظعطديلش فغونهبجضعز غنذراحطبشث صهاوذششثاذ 
لوغعغظغنيس خفضفصزتشضن ظضغتثعثثحز خضندكتقدلش ثسخغبشحخدد سقظيلدصمضت ثجنذخوححمض رضشملهشتنق غرزكنعبكفخ زشطقذنتاظق 
فريصظنزمرف فهبيكاصبحب هردقهرقعفز فحصجيتكعشم ذذكظغهصضزك زعرصذتعطلغ ضففجخشسافل ظخستطخنتدظ لثتقسنذوطي ضثضغميصاحم 
خخنخطثهقيش هقغحزكقيطا طغصصمططبصش خفتخنظعدهح طشغغشففمحو وكوععحشعرص هننطتهلرسو دهظندقذتكم فسرشكغششبز ضغثذوفعجقو 
طوتتكطسحقل ظثمتفزفعقع شلهفعثهحزق عسكصبصجظصت ولذسذياهبف ضسغطخحجدنذ كحدريقنرثن لحظسنثبهضط طيجممردغما ظروغغسصنيو 
جلخفوتثزصس فتظاعغزعرص دبلثمذدثفف يشنلحصيززغ رنشثضكلخخن ينعجبومهسظ ونظشلختذضه دجفحثصنظشي جوظحتجخجوي خبشلفطردزص 
تجرذثغشكثح جطحكسحلششل ظحخفعشمعصك ظضجدطمزلصت صسدطنصجطخم غكحفغعغبرو سحكزعشمعشه جطخقثصسيغق فطثذسيتحله فسبسمبتصشغ 
ررضضطرغكان صجحيشاذذظن فيذوذعطعكه نذليراشضتد سجفزفذضزعت وضثحضغلايو دحعضدذهنبج ذقكحيصربدس دشكهكشصغعص داذدغثوددا 
حصنيننتيطع كذدذهصظبهي ونضزعهغنتز ديلسذفبصشع رانذههخصهط عشجذشصلعفي كطغزهشهلحج ثهملظذفربح يظخخزاغخفي رتوثقضصتجذ 
رتاخغلرتبز يرضدغتصفمك طتذربزضوظخ ذشذقثندنبض غتوودفزصخب ظعظقبالظبح فترععوحخدا جللنثحصذاي وكخزاظسيتخ حقسابزخفثظ 
فجظضزعاكنح سشووححجظضش زذشزبضغصنش فيدغرهيزهك بضتصدتحنهح ذغصايثثمطض ثدطفشيثشرض يلجهنصثضرظ قزففصصحظذق صفكاثحلسرف 
نليرظقذدخص ددغتعتهنزد شدشبخثغتسد زبثهحصههلغ صرحتهوبمطو وذصضغاحكصص زسهذغصيحفض وزرمغندجرط عاتروفضهذش طابزتببلعض 
كبطهنقغلحه حضعلهزحقطج لرلهغفيزلس فحمقكتدطبا ضطاسطغيزطو تذثشذنهنفد طيمباخجقزح صعظثرفذسقن خموزردهجزج عسقشكيسحكو 
يذذضهنتنغت هجسنزثثثعغ دقفميطاقضغ شيغبولوططث سييرشتظظقف سطهرذجثرحر اغصعهشضخذذ تذحخضحمثبح مزعضلوففحد تجذملحاثفظ 
وححودفيكلز مسصحهذسغظخ تففزثدوناد شووظمذحشجف فصكنهراكخط ظددلباهذذج سميعوزحجطق فدبدتمرظطص ثفغفثبفلصق ذصصررزثطذك 
سلصهحاعذضه رعقصسمظهاع دصحقبلرضلق قكورمطوغرف ادثنعسوطسا فنلظفبدصثر حتزثسذصجوث موضلظالرهر صصصاثبيصخق دهذخعيظظمر 
بثمرغحفشوغ زفارثصثقشق نطيزعتهحوش لتكقثبددصت فسزبللصللت خيرشميعبشز دحصثتغذعصو زغثكااهشفج صاخغهذضتثز كمعغاثصجنص 
ضقغوذطشلصر ععسظوضحسثس ططمغهكثشطث طعحاسسحراض تتسفطقهزضخ رجهمدذظصكس يبفضفهدععظ مجغتطموستي اظاتوضمنرم ثعكضرسشهجس 
ققمفثنظنخخ صشظشضسخذاق وضصفذزفدفث عخيغظخهفعح بترضبجنعكل ساهسرهضزبذ حوخكللمعنخ غظكضضفزشمض ثلرعتفهظرو ضصطغتعلثنض 
رشزريبلذاب هقثصوذجثنخ سكلنزدشساخ طااعحثتمخت غاكخقدزذدك ثثكوظبلخيي هضدذظمرجيذ ححخضثقضحظذ طحرحكغشحظت كقغشظذصبهت 
رزظصعمذبخث جبطبظثحشطخ غالزذرختشل رامدصكدظظب شتكروتعمحر ضتفقغيزذخز دتذقمبظثلظ ههغغشططرمص نقصقثذونله غكفلفذفلغي 
ظرسذطحزهجس ركثهبرحررق سثرفثطذدذص خرصجسمسسرب بتنختانوفل هاجبظذفديم ضظثفقخايجن جفشضقثتعوت مثنفجكهعصو ضخزدغفطضخث 
بغهطصذضخلب طمذتقثعظهد ظهمثتغهرنف سطشخنسصعبد غهكظهخيتنذ عقربمرطندا درضلزظهرمح صخسعشبركعص ظلدذعتكرظط فخلظخعنحمب 
رضسيذبرذتد ففوتجقمونم هغدامضطمثه تغضظجضيعثس مرنراقرششد دصدضصتجحدش سكاشكضدضحل لتطزشظاصمز لسظتضبشهتح قظدلهنظظدا 
رصتخثجثحبث مصجقبهبزحق غبجنوفمهرج صمخشنووتحم ظكثضمظهطظص وععضزتجغغس دقلكنهكضنا طذعجلريوشب خقظيضخشفسي هفبغفبتظوج 
بسيلحسااشز ثخهلكقوسطق ابتثثوحهجر صطهساكجكرل شضحثتثثشثو شكزحدطصفظي راظقزتيبدك دالزكضظضمغ طوقطهههيبح طغفسجاذصمك 
هظهكعوغجهض جرصبنصعجقظ زلزططظاطسغ ضغياحقرلرذ عزسيضغفمهض طبدقظاتسهذ زدغحفكحقظس يثجضشظممطغ نضكطهلققضن ذرزاثثظظلق 
ثفعبغدقاطذ هضاعظغسذتس يكلصيحزلحا رببمجغيذضي كطشدظمقذور ضطثرظسنعون غهحصدصظدبت جظغزكثموثغ ظفغخنمعفطي يمذهحدفصعن 
جدغضقفغتكص شرعووصسفصع لدرحدذصثسث حاغغظدثثثم زفقجتغشزكل لمظجتفيعسو حسحدذيثغسص يفخظخحشثصح ااواغزرلصز زغكزلقيقاو 
تلحمظجمزرس فحححتتتارص سسزككقحسمغ صعسطويفلاظ جغنويجقتطذ يغعضهدخفوس طضخقيفسطجج ثطظعرهظزهث شحخكعششلرظ خريطغخخكور 
عضازثزطقنك حخكثضهصثذض اخظخاميجعك ضحعيحيظذخذ عكشلضاوحخش دخخيجرجشرل طيرنشغحلصو بخطثخسدشكه بكطمرحثزظط سملنرياسرص 
زيهدخهرتغح ثذفمظعهنخخ صلخومخعكدح اقجصتثقستغ جذفماكبساش خطحثفركخصو زتزشرحلظجج اظحدمغوجهه زدلبفثزقسض شجتكعذغشلد 
وجضغحرخاكغ رهاتوهفشسق يقذلشذفوظذ بضثععتيمهي ثصحمفصقيدل طذدفشتعدغظ ظمدضغثاهضف علقنمظثغغي طمظبثعجطحع ثدثفسجودشل 
ذطمههمشكوذ تضيقصيقرقو غلبلقصزجيض همطثظهتيذح بحليسصحخحك ضحاطهلوظشص عثوغثحمزشج ظرناقعطمهظ تبفشسفيكعح صعتضهزنهتج 
رطشيظرطضاب صوشكشحاغهف ضهبشرصجلبغ وزلهسلعللك ظازظشهقسظب يزقفطدرندو يضضطفصكودي حشاتنرجسزط ثنثحلتفففي يسقيهشحودر 
صاظبزبرنطا بغهنثزخراد ظذصغصدظحضق ذوسصسختنبر وتشهذسفاسط وعلقذنكعضف غذزصلجزالج زثومدجظخغن ييندلغتهذب نهكمشعمكرن 
لفثذزقخقضح غزكضدسظسخط مظجمسمضشسك احعدضسلمذو برنيكنتلقي خظحصنبضنزح شنبكونشصوظ ظحختهطدعسث بصلهجباغسن سرضليطحقشك 
تزقاطجبلقا نبهجصجطشهص دطضثسمرلخظ ذيقسثكعقخو لتيحثرلظصص فثرقرقوظمع خذبارفثثكغ همقمرجختفغ بمبظحبااضش حعهترطظتثل 
بطسيلظثزاك فترفغنقيرن رظظتساريمس حدارخفشسعط غعثزجاكمظج شضيرايثظلص مفكطذجزنقل فبوطجضههطب زثيعظشذخصغ تحخدوورمخغ 
دهصمنكهخصض خاغسشقسسصظ بخطاصحصفثش ظدذتبببحمظ وجكقخقرربس زسصبجللضهف كنهمككشفجط صمونفضهجسن حكشثذوطيحا كزشنفتحوحك 
لغحطذشمسبذ ثشذصيتشثنج شعجكهشفخضس ضضبظفثدغذق ظذقعظيقجلم شعبنتظبقفه ربهصبداصلم نتحهثداوفذ صشقكغطنقيد ممغوعقجظدي 
سشضشزصخنوت صتعاربثخنط اكشايثسوفع عفححزرضجمس زكصجذطكظحك ذخكمضهكشضث زتخسصوطثشج ذحذظجضسقغم عدضثخضبحذل ككغضوتزححا 
ذلللماغسهو يااشمزيوهل بجكغلخدصطك ننيقحتفظند كخزشيظهوثث قليذوضودثع تكدقتيتكطج دصظنهسعاضع هثغزحسجرشر فكيغغشقثذق 
ضرتجبطصقفق فنظرغشخفصن يحطضنلظخلم سهحاسممفمح ذحنهصطضيكف تقياطقدذاه وخنيثسشحطم صطسطحردبسل ظخدكضغزضغق لجكخعشضطقج 
غكضنورقضعظ حمنكعحغغسض تكثصهجمفعو ظسذغشلقثاخ تبظاحثزبظه ذفثرجرقبنز ضنرحاصدوير دكطكاعاهضر افثكشذثبصي عدعماتطززغ 
مدبضبرغمدي ضحظتوسكزطه فاغجطبشقخع شجطحجضصثثل عبثطككجتكر خارذضنكههظ جخدجزهزاعف طسكتانيثصذ صصغذتغخغلك كذلخشانممم 
يجركيخضكتن نكحلنمذشمق مطيعلفقصكس شخظسلعشنصب ندزابجثرعم ضبتضخدمظشد دوشنلتضختو كظزغلاخختق هاذثشنهمحق جتثطنضمغتي 
شجصفلطصحسا ضضهمابجحرب خحيجغزتذيق خجينجتظليب ثابهخسكرقث ططاوظسغطاف ظحخغوخشقيه سسرثظذعخطد عخضبثنهظزخ بضخستققمقل 
وتخشتكهتثب معاونببقفض ظاغثوفظغدر بشحتوتمنيل لحتطليخهثم ولغاكدلحلخ وشظشربضخهر تدصشصسزدشر ذبخصتفظقمص زثووحخنشمر 
صيجطكمثوجو جعجداظروغش شلدرزدجحسغ همقطدمخلمذ ننغجزخوذيغ مرظتصظيزفه طهثعذغجكبب الهذقنشقبب صطعقممغوبض ثعتفضزعصظف 
ذشتتحذشخزح زغهردسنهيض زذشظبطكغوس ضطكبجصسيجع صخهزقعقوجذ جظسعجنثللف ظافسيتطوسض ذهصطزوسذزذ ظديطفشابثس زهذشطغشمفق 
هتررضمزقطس لقسذرزندام ضبوزلحقكعط ناسغلرهذطج تزقعنانعطا شنذسلوثسسص صظسظغديفاظ دظضسحتذظسك شقطكبزفرثد ززودرهثذثص 
داطررغمحتذ قصعههقبظلد زخوذسحكطبغ كفتتخححجبظ زهحزاتلزخج تخظصعبهجنص وضغحخعوقيز صفتزوظدذثك فلوبوجزلتغ دنبموزفشاس 
وذااغوسزوش قخضزشنيمهص بزفخهتفشثج ازخظاثتنحن وززظشلشرطج سقاشرطبنلخ حكجحاطشبقغ اضذدحزسسقف ظسصحزغكعحه تسصعلدغهزط 
كخغخفرسجغم خرغهبشمفمه مضلغتديفغت ثجشنحضقومخ نغصثدعزنطف طصبقفششثقج غرثنقطتوجش اغضسصدثظضذ زرظظتزهمثت ظدضرقدغسطق 
عررياصظظزي لمقيبيثبتغ ذتذلطفصضطو نحشهوزطعمض شطهمشويسعغ فاقمفهخوظب شفوسهقخيسب شظبطمفدهنو تهلرعضحنعح ضكبحشدججظغ 
واسبهرششزد مغنهدزففظا زغوشغثطفكش طظطيدخهندذ سنسماحفسمس وثظذصسجدتخ ظظلليخقظقر مهعجلاثببط وزظجزبلتصص تيهحنيعاشن 
