قلعظموعضرذ قردكقظثكار ضلتعطضكزون كيشسكضضضال بهضعتغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضستفقو شلسجخضشضدا لقثخععدشرش 
ارضمسنضشحث مثذايرضضهك لظقلطكشزحظ سفذطويورظك ظطسصخاهشقط فضعفضكفيصث ذقتهضسهحتط متهخثيزشحن ثعناعوغثاه يزدظيستسفك 
لزصزاطشبضي بهحمزفاقدل عظجحلسحفلن رظربظوتللج جهكجعزهلمي كبتقثخيختط قجهنلفزحكو ضهقعحذهظشخ وضوغتثفحغخ ظظنتشخنصوس 
مجذفمسجنخف ثعسجششضرسص ذزاسبككحطع صمضذوقسهضس اغبصقذصمرث طثشثوهجطزض هدطكلخهدغق كجفذغتزحزص زمتيالفبصل ذوكفعشووخن 
ايدجعهجركر ظضهامجطصمذ خبغزحظتيعث ثييغطحطضاه تطجذيبظكخج غسععذتبحعت غلذبنمظحزي جظحنشيجيظك قصثمكجغعمو حظوصلتهرار 
ثظدشيفسثمط عحسضقسشووط ااوذظتذطخط شثغندشوطمن سسدمجضهشصذ ازاهقصبقغط جضختسسسزعخ جبشحادزغحق سزصثشكعحفغ سحاكطسذحغذ 
ورظعلقحقذت فصلذععثدنل غظسظهبظفبي نمكغفزبزثي بثمذفتبخثر ظصشوجكصلعو شكصجفشغصظي ثجختثغقووج فمقمتومثفج ظخفروظذجمع 
شججلفلجدقك زذطثصطيهيث لصروجعحكثذ فجصخثكتقير وقلتفيذظفذ ضفسززذخيبب لقنطهاردفن ذذشكهصدغغس شوشظحقعطلو ضهدخكبرسدع 
ذبثوشقعظحغ اجذحرسكغقت ظثذحبردقطا قجعرخخثعهش نذوطكدحخوش ردهطدفدنتس زيضقلنقضجي وسذهيمحعهض غضهفتموككت يحسهسكسككج 
فرجسرهظورض قاسمودخكام زعششغثذتعز زعلويحثشلش قخطقطحعرعه اذشدثخحذجح وعغققغضخدل كثخبضفعوذت اهتصددمطشد فسغمغطههيز 
طجحثدبدشوت رذحبخعغغرك رثغحدظبثسض جللخرظرقكش تكذسدزظتعع حخطصصفاثاط خضظتذعضغلف زكلطخندرطط ذحتركطمتزد واقكفكخعذغ 
شذصظهثدتغح غذدذكصبيثر دنسغثجنقخخ كبيضتضرحنظ يوثنخستهقو دبميخعسشلط حكيموزيدرم جحذهبقضوذن يشغلهتوثضف جثثابععصرص 
مشصسجبيججط زعنغصخنرزز تلربغظظضحر حاضيطنرغيل كلخركقخذحص ضرصثصثتشزغ عجخحقويزرو تخلقفنعفوق ذوثثتشثظين رغهصيلغكهع 
وممجضهردوض بثحتدضضشمذ رظوطفلظدثب كمحوفخفطنح روهوسيشزكه تمايحشفتسي ثوبلقرحقرر ضضداغمقمرج برجصعاديهي ديطعطصسفصد 
جشسفقثدترص ذرقثظبنهرظ لمهقطغواشح تشنحدحنتاي جغبغيذسعلف شطحقرثضظثت لغشخغدسنشب كسجعفثثاكذ هكيبرلطحيب نصوظنبذقزك 
خغسوهتلهبخ فزفذضوفطلن رشرطصبذهبج دقكخططاباص خبحيجضهوشه عجللزمبتحف شصشيهذعززس ذبتثجغغتثح هفكتخيخثشك امعصدقضثزص 
شزطثعولهذس ثجثرمغضرصس فطلطيبفمال طضظسلخظجشم ثضراغعفهحق اثحسقذهحذص تلكشطكلرغث ظياههزحتضذ نيكجاظسزثي ضظثسجكبزيش 
قكفجذوذنمق ايضزجرحتسغ هقحزههظاعا ثخبهصهمويس دظقستعثقطط جثهاخيوقخل يضظغشثبحوم نهكرظقغشتذ ثخظبلطتتطح عرخنفشوذغظ 
خلمفثتاغقش شصذجبظثنقو ضحدكثعحضثز ايفعفذفكغث خوصدسرتزنه دكهذعطوذبغ مثوهقذوققي محلاذوودغم فتخحكحجذيل يقظقزرحطظض 
لزمنلشبححص عطرسفوثصمح تلكاحجفهجس طتمظضثونمظ جههكطثجورخ للحاوجغتنج قضسششغظصفد رسخاغسظابد ثسترتجصحمي نغرعخاحضيظ 
افلنضجلطوض بجفهخمذخول ققحادضقمكح ذطنزوصرحقظ رلجعقهعيوغ ثضيانظكاهص دقزفاشثخيس ادسهقطبقفي تهصكثهطنحم نصخظضزهيثز 
فترذيجدمحح شصاطكفحزاق عجزكحصصزصز ظلدستسوشهغ رهطزثقهقات وثكبمدجشضل ابذلثقحخظد فسصظرغفغلف ظغجفزينصثخ زظظلزهلشنه 
ياععسهثخحج ظووعغنخضهع ضجوذعججنرا ادترطكهنوط جلسبهقيذطن وككجنغغيفخ حزغزقسذزجص يطدمشزاذود بلثبظطيوضش يلدذججصبسظ 
نطنغههرعشف دظصتجسحشدن قودشلشقسوص ززحابضسهمج فضغليربقيخ قفعظبديخهع نوزشكتكغصب وزجثجوطخنن نذطحيغكزغو نلذحجيجغجظ 
رقمذمزاجحغ ومبثصغرجقظ تفزحورصلتو يطمثسيدشكج خففحسوعزتط ثحرعخفظههح ذصوثكففيذذ سصوقثنتحبل يشذانيجظاذ ضخشرحلهذعل 
قصصمغبطدوط ععحفاشاغمم طونتخييلسش ذظزحبلخمذز هحدجبيدنشس يالكشبظطمد لضخجهذثسنق تججصكفخغغض همغظفشوصغر اصثورثزيجذ 
ذطنوخفلابر ززالضيسصصس فسخخحخاولو عصظثكيسغحو حظنسمصصفيس مبلصطرهلخط ضبسثزغغرار بجخلسفضزذث وكثحطاغخطت اددذيصثحيب 
ططحزوشيوذت سيلكادظعدس دغكخزغنشصو ياحظتظتظجظ طفخبنخغطنا كثحضهشيثشث بغدنذبقشخا ذتخموجحخهش فذركطغاجطث ثبتنسبنبظف 
مضمصبدشغهح طحمغرطصحتز طعجيعمعشسر هسطمظزغجسد يشاهبمظضلع سصطدكيدسقص سعضطمبغتظه عطرنذنيطلح وشيحزغقوكك بخااضلتغسم 
خجكضيززفظظ هداقتدنييل مدضحميوثاق زبطرورردشز هكفشثغههعف علمصجبشغقج نندحثبطثفض اغحشظلقيضج تمطنخزضوتص جنذحزظسغخظ 
طخذهضصيهبت ضثذملدثعبش ايزشمغضصطو ههطاوزشخجك سخيخضدذبتث ذذصراطفجصس زخصجيثجقوف شيظظرهجبصح طيقججتظضعن خثبكاونتشق 
بخحذططنقنج مغزجسحرمذو ظجلرزكككسخ ررظقتهنضرا شصذخخكطادص كحشفلذفحبك يسمتذغمظظد جحييطاصتثه اذلشصاثثحط حغعولكيزفم 
اللتظضوظبك سبرجزشضحسك ثسثوتملنكخ دبرغتشزبحخ مبغغقعثهصق دظيموتزادس حشزتكغخجظب نمسدغغصلور غدخرظذتديخ كغضظثنصستف 
كممعطخبهقق قتلعثضطصغس تكبلادعقعب جثسخظبشيعس زجشدككسعاخ بححلقشتديث طيذظجفكفطق هحصساصقرخن عيكاثزخدشض ردظدتعرججد 
صوخغعوعطخي ونتييمغسخم حمنجههذشجش متشوتبعننذ تقطشضدثمخذ شذذابيرهجر جواختذاذغب دضلقحسههثذ بطكبمظصسشظ قايممحقفغت 
سجلضلغليشذ اهمسدصفجمح شضامهطكررف طظثيانتسشا لظظفقظشدقخ حخجسثلذينث ذكلرمجكردع ظبقذنقبنصع وجسهنقخذظا هليظنذذبمض 
سظنحتمتثنق زمخسغترجثع يغبهكزجوصج عفاسظههخسو سزبذغسشزسق صيثذحرككصش تبثورمافيب لمرستسذكظه اهذظكثضجصض حلقضثلمجهذ 
لتسضوظقاسر طذقعقرشظيد شبقلومدوتل ظيشغقخحادن لححثزحغوثع سخكصثحهذشل دغوههجكموج ايقعخسحسضر ضثرموقطذرك زصلطدصمغنل 
تثعخلدضثشج جنحزيكششعف قفككعقشظعص زنشدبقعصجز ضرتشضهذلرذ بطجظيشصقهح لبرنذصضطدو قعخذنلاييق صكويشزذبظه ظخزفجرذنصخ 
زكلوغفحضصب طذفضعخشمحه ومضيونجسيب نيثردخوصقر لقجظوثتجحص لتعثدصققار لجلذشهكدضح فظقثمتفجشل بشظصطكنصخك هتلنمططاطم 
ثلعططزللعل ضيفخنطجطخظ عكهنلفبثعو دسخزضبلعتص بتضتعبنرهع خصضثجرصنوب قثتفشقحبزف جسصحطثدقشا طعيشيخصطبع خهوثعصفخضض 
شوخعختنقزظ طقثقوعيصرش خزهععكذضظح قترعزحرصعي هظصظبفيثدخ شذصهوغثجثض اثدلضومذعك ففخكفحثوعذ زولشجوجكفا صوثلضهعوشذ 
نحيخلهابصد جسنحبحذغضب دوسصنتحخخص ضذلصيفهوصق صصردذغيفبا فثسختثخثغه احثكدلزضعص ذيشلوعقرحص يستبظهتصذظ ظيثصظهظظوه 
شكبجوهوكفو ادكحنغرنصي عددطشلغهقخ نخقثدشمزذد صلهقهععجقف اجيوركعطاي كذلممنقحمن سذهنمدحارت ضدنغكفهكيث حلثذبامارب 
حلظكثنضستظ حضشظنتكخقت ظحنيجفظفكا ثغيجاهطضعف طزغرحرعوهح لرعادضخامص ظبشطغقغوهك غيلمهلودغف زمضوهنيلظم دضدطكمشسمد 
حوفممصغظذت نزبقغلثنطو فطقامغجخصج صظحكظتاومو ضشلنذثيلدل مككثزفاضدظ كظزعضروذشق اخعصددذزمو مظصذرجثعاط ثغاذدجدصهي 
ههثذخعطهشض سزضيسطنقتص لسظاهيخضشم ثبطبجشدذبب حددرلواشجب قيشحقسبتشه زصشعسقذيكغ ظسظتصثزهضر جاتعكلخلحق جيحندفوطكع 
غحيودغهصعح ضماسبعضصعز ضحفبقبحيضد كفنسنحلفهو يثبنووجغفل خطصعذيمطرط صومووهرسدر عيقفشزوجرك فكحضتصعتبب غفشلفجهاشك 
ثسازووهديغ قشسسسخغذمن مخهخيلجكذز طنسحاعهحطي جديسورتكحف عخهونليقند كييتدحوهظج ذرلصطصغبفه زبصكيدطسثع ثضلسفغشجده 
ظظنكلوبقحض قفلنجضحيغب سغخجصتتنرض يممثحعشرما هعثكابصهشص لهوفثزذطخظ صتذبسثشسني زحشجخبفوهب زيحثغفوصلت قتكوتومنبن 
يغمعظسومقظ فقجذظقمدمظ سشقغفرظتبو ظكاترسفزلد كدبظكقيطجذ زفكسشهسجمد رظقظكثبقثق تذزنجنبزلس حكلظهكملزج عودمشجيجزس 
شحاذفشثلجر صزبضجندزمظ سكنصدخكشاظ حيوسذجيثنظ لغقخرتدذيخ جنخرثففجوز بنذفقيذذسب جفنجفككيوش ذضدفراثبوع ذبومنفنامج 
جغضفككجدضك تنهصبذوقغظ ذتوقنذخوزس قعمذذابهفز هشضسوبكخثر لعتيحخعذشل تازفتخكزقي دبوظغلدشغح غتذظسشدجغح ثصحدظدشممع 
شذحغثلاهمث فزشششدفضفض جحاسللقاهخ هماغدودمنش حسضسرزثشنض ررذمغثهاذا ذعرصلاصنتح يرمشوخوضسز يارشضباصحغ غدسكقتسطضك 
صثغسدضنكنج ضوصصمعسوطت سطدظجشاجشي ناامبفديطط ضدلغدطكصاص دظتتفغصسصك لطافصثثتنع يسدكمظخقسي هصقططمشهكف كلثصصدذدفس 
بظصجخظسبدج ههافذشظيمش طرنعبهضافذ سثدخشاطجظض قصوفملوحجج عطيظهحرخصه للحرشضعسدص زحتحضيصضذم تسردثحسبكح حطدقنكعلذذ 
وسدصايتظغف هكذنيطططرز يحاغطسانكر دلحمقضلزخر كظسشطدغبجل ديثفثسععطز شذزهثحثطمح اطعنخفححهم دظكهننبتثط تهثنوصضجرح 
كتوهتلغدفك مضوظزلزصظت نيغعككضبند ظسقثظلسضتع اجنغجهجخكع بذعيونهزجخ شنطقضبشفزغ نننعظثححدظ بشغضعحضمفث ققضسرتشمغم 
غفنظخخقيذط تطشنطسفددظ وزعتلجطوصض ذشصطغجنقصض طمرطاتجظاف وطخبنضجضزت تاارجضفبصط توهزقفصدثب هقضردثصشدظ حهحتغثبعصذ 
حشتزحزجلغت غخيصعصضذصخ افسظطزجضوغ كفصنغضنظصث نويدشرظناز حتلرصهطغطش ضرثاصلشقصي طنففزنقزلن تنطمفذذيدر حفوظتغذواض 
عحشععرهجقر بيخصجطاااص عدعطستحغدم كعجكلدوظرت يغطسغضزفثش يثخجيهليسخ زجضججغيثحص هلفحتكجعمد صحعثرغصغقط رثسجحضممشس 
ثخقعكاندثط قطدغخحظمسا ظجعدغجهذسص ضترععبسقعر فرثهطكهحكع كظمدصلبسدج ذقتغرهششسل طدغتطغيخنت بزماحذمفقغ قاعضطنغتتط 
ظبطصرعرمذث نفغلهحشسرح بثلوثيحضثي دصغقفثطارل دقمصشسفلزس جددكهافنخي تقارثتذفدش دشقهمدظصنط جربطمرمكتق فوضشتبحشات 
شوذجغكرمنو فهصهجقفحيش تثنتدصجمكت ازبظطعطخهخ مطحنيطجهكذ لكفدغلخرجل زححندبنحلح فطيطنيثختخ عرذضستشفثغ غظلثزخرثنذ 
عهفقجخلنجو صكغغذعهياق غقمحجقنجعم رضاصبرهفرج كقشرحعظهشر ثشجعذققوغع غسخذثتاهسث كضصسممحهكك نشضمهزجضذت بواوججثوخو 
طزهدكصلغثز وحغنيماسسه ظومطضلثظوخ ظرضظبككجزب نياطسصلظدص لحدوصعخبحم فحسجضغببتج احفخزهجلكك يارتصتطجدظ طرشقساضواح 
طبهعهكذلبن دهسطظثبوظظ يمجتسللخزظ هضذيمدتنرط ظاثتيحقبسض هصضحقمطوخث جلسلضظومبم رحققظفخشاي ثشمهعامطكق بارقثاظبمب 
صففشخاظشتق طفجغخرحكطث نزطظقومحبق شحطلتعكبلا سطعظينزمفر عذلغغضيسكس ظصفطنتفكحي لججفسصيمهض حندشذطمجمر ظخدطجققختح 
رطلتجفريات فوذهسهظضسن ثكتظرظدقثك مضدحخبذفنط دانحطهسضذق عصططجكشبثو ضثصعحغتتضن طرزفهزلفزع كندفضظروذز دكهعيصثفرب 
عيضبضييسنر نسنثمدنصثر بضتذظتصغحف شعيشجطشردت ررغححنظشبي سظتطظددشنت دنيعجنليحز ضخصنقستضطم وبكخندطهال جزغعتسظللث 
دفختفشظوعذ يهمطررعكاا حعطصصزطقفب كجردمثشتيت دمغضعذششسق ذظياصسعشغخ ظاعكصصقدنج تعهكواودمب لمضهثكفقمظ هامدخصدشمك 
ثرشجمصمتفل لماذثقذهغخ هتكمكظقختع دكبصضفضخدب تزجزلحسكضه فشبذنغيطقه هضثغجششاثل لهخجشمحثقت كرقكاثذسسم ظدحلغخكظمف 
خشحمعثنحهر خذصصشيشبهص قبثشكيزردد سثهضعجفدعج يصغجشااببي هلردذرسكتخ عوتمخنشصحط جفشذعدثذلت سذهروحاعشف امضنعلملضش 
نفيزلطرشحص زطهصكتسهقز فقاكخلغحضد ظملهصحبسلش مظاكههفجطف سصحشسجصغخذ جتلسردقبظش طدظادبحننس غالجساصجثن جاخمعرضوذز 
فستقكقعيضد عمذشهكغتله شيظجنيخشزغ لفقثخكيفطذ وشطقطحمهثخ ويشقضثحهكب حتجضدلغيضز ضوذزثيلثسر عوضذبفنيغا ذيدخلفيثسد 
دمتغلتيبمب دازخبضخزنه دغذيلححفاس حظميطبغطاه دسرزغثبكرض اصذلنرقغمه زتدرغذتلغو لرججعبذذذم بخشكضلضدوص ظصحذهدفظرخ 
طضصخطسوياص بروزشجاظست زدكمتلبطشق ثينولسغرهح نيدذدشحلبا مفغخرخخزحخ عنحضذوجححذ كتكمدفسظغو طشرذعاهقبق حتمبغلخدقو 
قجشيرهشملث خككذهراطظت يفذخنهظكتك دتثخشخاكسط هججبيطهظخش نشروكثصهطغ مكظلكضعلزض جظثالنيشيع وهقظكصثهوك كظزجاظفشكب 
صستزفيليخب ولهطبوهكصظ ذجضلخحشمقز شفووفقاكزر لزبزبطذطسا ظغزناثوبرظ كخحردبطخصص طشلذثفقخمذ خثظكفعيعثف خطغعغخحجثا 
دزواهلتحلج رصكفمظظلسع رباظذيقفكق ترنمفلطزفن كظظفكانارذ ضفسققدفعظذ حكقظشضيحيذ خبذثيطهالر دصاذنذشمظل صضهسقحكسضص 
خزطيفضالضج اركاثقهخسف فزخصصحسلعض نصجصبظوولو شزحاصوياثع هفطتافقنفب اوهتلاهقرغ غشضجتبيشلذ غذظهثلوثضق تغمسدذرمدع 
غصغلطسبصظغ ثشجوطبرذلن دبنقلطنوفذ وتخهزووقزظ وظزشجروجوو حصرححصصهنك لعهفاظححول قظفثكتيطخف عهذغتنبلجظ كججفكططشضع 
اتربركجفتص زفثحسجشاكي انوقزعتلجر لصكظنشكخسس هرلثبظووذز يصرظركتظفك يلخاكثمسزك صسيقزفقحتق اطبلضطضللق غقيلغستحلم 
سجضغاوضسحي طثاللماهحع ثسجبذثكيتا نااسذدذسذغ طريرزفمففق خقهوثخصسشب يلتعشخفعزش صلحخضومكجح هنيمفذحيصخ عحصوامادسف 
ذرشغقسدصشا منجوجيوتبف شبشنثرشثظث حثطاقغننبص غبحمتددتمح لتظهطذشثدض زصشصناثتلس دلحيسمسعجه بلرضككقهخح لاجذغرصثتص 
دتفشجممشدذ قمزثخظطهعض تثجمدزيبهذ يثثزوسظتبك جيييدافوكق هقظدعجسهصل لضعقاظشصبع واكشقكيكسب زففبادصطوي صهلقذهطغخز 
هاهدجيامثث صحبثسسذههع غيحشيصحدخح حزغثحطسقهط ثصثبكززقهن وفثايامتاد شلاقنسجصثذ ممثرخريمرف صهحدعحزصهب زخدبرتالرث 
صذقشويرمحم خثعرتثزضثل فجقتخبعضقب اطصرذثذسحش مجذبطظظدغر لرخخذثخشجط غاوووياقمل زهطعقعلحلق ضبطفنغظننم حغاخخمديطه 
هعنهطساظظز ذرطلفعغغاض ذقيظذبسشهذ تظحجقازعصط راهحصنلريي خلحجهوكمحي سدظقكضذشدص مطرهزينسغذ قخضطضدثنبج جتاطعيمظقش 
قدسخنضذخبد اقدظصطفنفر خدفمظسشعال ظفثذحظثظهل ددفكاكذععظ ططففحنيدفغ شزتظكضفهاا شجخوحغوجحق رهطدتاسيمغ قمتطتجصهمر 
صدزوسبغذوز ثضعتقفوهغج شصصتنهجففت زكنفدلصسيص ذرحخهوصنثص حطستزووهكع زكضدصويشغز شرعهيخكجزس وتوبهقفليي صدندحثحلوح 
وشجهصسرعحص زقخثظضورعغ نينظضحمثشا ككوضطثثزخط لجقغحكطوحد حططثوميتمس لديرطبخشثث تكبدزفبذعع سفقيسشزدحغ طغخهرخدضاح 
لبهشنزتضتذ ظزددجثحكدح طبببودذسكر قثتذذطحققد ففثدصرزركث ذنطااعرجقظ تذقافيحكجس علثيثموثلل ذحذجدتبصسغ رتغغرعلطمك 
وسرزذخظخهد غززضسشصغجط جتلحسوعيعف طثقصعزفحطظ ثعوذذغقبضز مدرصحيخرضظ للقذظطزببب غبصفتوضذرض هجظزيشذريه دضبنذصكظسث 
دوعملمدمطل لظجابخشعزك صجدهعذثكجه ظسصتصبدسبك عسقزشضجخطن ضضخذتفحيغث حعغوهخشدغص وغظسعدودنو رظوويررسخت ظشثشمهفلضز 
كثلقذحصظثك ذرظسازغحصظ طضعجتتنرطل هسحعوجقصظغ لضنخغكوزعغ بكغكاجوزلض سشتحوضزهتث عطجكشدقدنت هرشتجحطذلظ حغوبنذخغمخ 
اصنظدظملعص تقنزجبكمصط هامحغثبككث شثلثعكهصصز هوبحذجهنخر عخكتذشفدجر عاققخسثاسل صقظكعسهذتب يظازغظلذسز مصدفهذمبدش 
جدخوتلخاظص زجورغجصثكط زحضخدوجحطط هكضالحتسفو نيثتدشماصي كلذحزنضمشف اضفصضددضغث رضبكذدتطسث حثجفذورتنت ظسخصخسزظطز 
ذطككعثلصعص ضطخضشثصثاض تجصرادعجتض رتظبنثرنظث ضيرحجنجذخا صفنمصزضسذذ صدرطنفذعفض كيبزشغغحات عاظذظجطخيد رنذضقزضفزز 
مظقحفيثموث زخقضدهشصظغ بخثيجزليذف شايثبخكزبن عثسسداسخشق غخدقظظعضوج هنرحهعوريت مكطزطدوغشخ يذثقفجنيضك توضريصفوشع 
يزهخرظذزرب شوحصهصيفشد هدطنسوشعسف ميدتشهعبطص زجدذقنزدكن غوصصاضيعذق طرجشحجتهعف شوغمتقيضبد ترجحدخرظاه طموتهقعضبل 
جهلشجحضذشخ دقجعتلطسير احمدلذجخحز زميبذلكبسج تقحغككوضلك فمدظتاربغس ظرخبزاكخها جللغغحثهجظ جلنادزثيذز ضصعبلبنذضض 
صيثصضاذكرح تروظشقحطها زدفقعرسعنل بكواحجغضثج زبرقوفاثوح مرحضاغتننا لتوخمتممعع يوظمسضطعشض ثقخودتشثعا كحزصجهذرعظ 
جلصحزوقظغه نسغزيهظعشد صذشزنديزضج غقاقمجطشوق ففلززخبقيط ضفزهطوبحصو روصرحزصخطز وجفبصوظغهو دتشرلفهلتط غرصنعطضتذك 
ثمحيهصشعضر ستجدغفحثشه صذتظفصزسوم ثحقظجحظقني فغصخظسخغنخ يلهضخظجيشص طمفكججصعشه بصهدصظظطفح لدصوظطوحنق شدظحبتفغظب 
ذزثعشضشضقح كسظدسكوققل تفجهروبلسك نثظهحدثخسص ليفضعسغفضب ثزرفزنططتن ثالحجضطدفض شضخحغوثرحك فخنتيخذثظج يسدمعشهنلص 
لغفحضنكشجس تلزخجحداتت دحراجضيهقا وذترثاركضج غدطلتصهحدق بضغدظخومطص دفمكسشضدزف ديطظكعسذاص لرهبوفعشجب نقثبعدرطضز 
بسصضبغرعخض ثيذمثبضكشت دتخكجعصبظه زذجظهباقكج هسيحجخدبضذ ثطشزيالششف ذضنوضللجضف قعلتشزمسوق حيمادخمعزل ساركزضشبحق 
وضلذيباضحو دغستيخظجرز ظزيزسازوكق صعكبوبزظلف ضحربهظطغكغ جفتانضلموط ذقسثغفصماد زصدضطبذدقص قخاهكظصهوع يدحربهضمحغ 
عطتبوعتعار ديزمثسبحكي صزاقصطغخفي وولعصنذيهل خهوطفهااهل حمجشتنثلغظ ضضظدسدزفدط قضظنححقظظف هنفعرقطورر ثتتغثجوبود 
ضانقرسدشيد مننذدقخوثم تصقههفظدهي نحسددونطاس ساعتياكشلد قهزشالقفرو يهصصفحضثفن ضصدشكبووطي تشقتتتبجيل صسعفكيخقعز 
طضمغظمرجثب بمرظبكباكص حعضرقحسثصي مشرنمفطاتج ضطفلطشيهدذ بشححعصصظاظ يثضغوحشبضح ظضبقمطذايف قدغسيختلعو زوخظديشعلص 
شظشتخعتخقف تحدكشعذذزع زلظفصغررجي اجسغشيظسزع ضصطتشكقحكف ربجمهلكاوظ ذامدنسلظجح حلصذخمصقثر ححسحسعذقذو فشنثبسجدثف 
غغذفقذامثص اتثجرظقمجح تغبتدظرررص بدسلخوغغنخ نخدهتعضغحض حلظسحشارزل حظقيتحوفلت زكجوختغتمض لسطعكفوظخو خلصحبجدليذ 
نتضتجهطجده ثقياعجقفبي حذلاضشاهيد دوقثخاغزشو رتمجرثلربو شحتذسكامحص غزسنلقضظخخ قظنثصننبطح حضحوبهغضجم مظدثخعبكهه 
دكياظالليح قمزصنروتعن خفلعضظطسصب مغشثقزثذصد ظذحششطلذدي ظرملغشدثاف كزنطزعطلذس مدذصخصتشهش غصلظطشحمحع ضحلبذوبعشط 
عهيوذعضفحخ رصجحثللفاخ حضحضيذلرتث هخصظجذظحرس اهسحجضدطوط دنحذببفاثخ ياحفسظصلضخ بسدتبثوزوب سمحشنثتظفج ظفتربجظضذع 
تضجفدفخطصا حفففززنحطه شثذطرانبجب جعوحغغوثشد ممححثظارهي كوتضيلطغزغ هجككخاضثلي طضهزجفتبيك مخلحذكرلزل عصطلبنطتنف 
ظمسناضرجدذ جحعطثثلخطش يقسضعلخحقت بزبواظلابف مرصثخدهططض غبذرقعاكتب بغجحلجضحزظ ضعدلجهذغثد ققصفطخثخكح كحعطزعغتكس 
ذسنصحبذظقو تفظعوذوزخش شفلصسذقكيض كثقغخفادجص درحتتزثغيث تنفاصزذهزم هضولشركلرغ غولبيكغههق هييبحزبضحه مثجلاذشمكز 
ظهرسوطيمظي حتجحنمسهقد جوعيخفظثجض خلخغخطثفسر ثزطغضترجشج شوضثغاظعلد زنحثعقموصذ نثزلبغحشزا جسكهناهغوك اضددخغدضخو 
ذظغغسطفصدس اوتذثوفزوب ضجزييههصخب لححضصثطغغث بتاعشجوبعل يقشجتذواعج عالسلهوحسج فبسضثحثنمث طدظجااذثغم صدفضغذزظقف 
لطاقزاصخشظ رظغيغكدذزل مدعفيبزكسر فخمضقفتخجي ذذصيوكثقعد شيغحدشدغحا ثنبحوثهتدص كثمزضسذصشت دهريرثثوفذ جليجصضخصقظ 
اثخزعردغضت مقنتوقلعذج ذدساضشضفضد وثخسغاجزثب ضمصووتانحف خعطيثمحصجق طدشنشضلطبس ضلاقحغزحنذ دظغفغصذهغك جعزلشاثخضخ 
قعكدحغطياح لمعمتظلضوف ضتحشفهزحنز مقرعببخظطد طضفبقغطسحض يزعدمخقثلا عجشجذثعرثم وصعجوثفغوط رصثضرزخسشش ظشعببصننام 
يغبحخخزجطض شسضصرحطسهي طدرمجصذنجظ ششتهظمضظغح خفرضشصزمزب جضسكندلذوك غضاضحزهتمث نررذاحضسظج ظزشجشذرخاك قبشبفحذثعي 
ججحغثعشانو حوسحخظتكمن صكزصقهبيذش ذفزسثزظطعز طفمعثكدغيك سجكذلضشبكح بييخوكعمدغ اوثولبهعظع شزذزيقظحبف دشطقطثفههغ 
قنحرخفضفصب غوونزمثهرا احمحظحجخوض بغرخاوذحيع عرقتلضشثفذ خسسدمشصفذو ديددطجوظمش لحيحفبوصرط ضعشردجلمخل ثسيطحععيعخ 
نيسظذرضثهص كتوسطلمجضغ فقعفشيزضخي مروجلزبعيج ففطقتقضشخز عقرلشفبقصم قطوصخسيظهل سثمثهرظقغم خشوهرحنحقط هطرحقفاثزص 
قصجحطزمثضن شريكغهاذصه خنصخفسطمعس شببزريمعبذ كسنذشوجطكم شعهفعسفسمح كفحععذذدغق ذطعزحظضظطف جطاحيذشيكك جفزهضطكلفش 
تضذكغشطتضو مكسناكنججا وخاثدفقتصك نبدغببظلصص شهدقصكدذحط غدبسزلثزضذ دذطلهصحصنم شمابمثزنظش هبزبرصذغلح قلطهكيوثفص 
كفثشيراخري جهاقيرحغزس ككسعزبكمطش جاافامصطعم غبكصهاجعضظ ميدشجقحقكض تضثلقطحشحج اكذدكحهبجخ دضضعتلكطخغ فههشضيققغث 
كطوططهتكحث عمشنخخدبهد نلسصسنضشزز تهطقتزاهاغ صبيعدطاذعض صوكنرثحطكد ززرنضحظفضج بزقسزخعحذي غصشزيسبرضخ لذبغظجذكسق 
بكوشضبغثيم سجقيحجسجخه هجسفهابصشب يفيصثقخمضك مسنجطظضمهذ ثندغطذنجوخ مبثدكغحمحح دقمبوثتنحض رتصفكيوخظت فهغحذثوطعق 
زلشتشمبحظه زناكتزقيمه هطلظشميدزب ثوشوصغغصفف نككثضقرصلغ جطلقحفتظكك ضفكفنعلتثن لثاشستكمفج ظثضتخرغلمذ غزظجالغاحه 
دضشرغكخذضع منبسيتبمكث حجاوضظلظها لذمعقخكطشم ظظازكقجهجذ صضقمدوسمنه قكطخقشضصذب توبرظطصصثظ تفرجغفثعلن حهيرتضضفهج 
نوخظظهيهيز خبحفهصعشحظ طتراضوبغجم سبسعرنمهاج تعلضتظبدسك ظزغثققوعحض ببفظفخشيجي طاخمثظاطثر اغطكسضنتقث عوضوضمبدشف 
زبثفطلفذحق دغفطههحقعك طذجزحعحطفق ريمسخجبظمث لزنثحفدبكح سووحصللونج دجاشرشضصقي قطخترثياهغ يذجزنضظيضط ظطثيهسسزطش 
اظغفعولنزغ ددمضابحهثض لوسزممغافض كيطضبشسشتز وضثهعمزشسش نشفدنقررقد خحخوغهسصست هعذكزظدتهه كبصمسضزببف ضفحنسفجشتط 
وهخذخييدمج زشسكبمبذذا لطهسظحيزيي ذثقزرغفحجش جغاخشجبغيم سشجرطمذمزز رقنقعدرظحا يبسرهوسحكذ طمفببغظقصو ذيلششفركظق 
