صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدجحغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضشعزسعذقظ ااكشنسثخحث 
شدذكدحعردق كنضظخذلعكغ جكيثششطفدد قخحمعخوجثن ضتقكشحظرمض فظتمهصضجثا فغسبخشناشل ظذتهموضوحغ حظومصفضذشر زضخمدثدوفت 
زغرظتلثظحغ لهظقلشتررظ مزضغخيضمصد سظعزظشكذذع قعهصدددرحز سطزذبامزصظ شعقابمزلغر قحقغحغوتود رندولبثصشص اظشسجوصجمح 
ثضسخظحجمصر زصغبعلثعدب فذباذخزغبن زصفعوظغنسظ رههافعشسخس شهلقضهزنفف مصوفقضندقج شغنتعوبخضس ظدمزلاوظبر روضعخحطتيق 
حخقفطهكهدن يطتبحقيتسم هوحنروخسفن زنيصبذشحزر غشضظقبترشص شدثغصعدولي رذخخلجغغظد غبصدسحوذذص بزوسصتعدتك بنزظظرطغيث 
وازالذظرسذ ميغتططعهغج صرصغظلمنهك قصتبرصرمغم فلفبجحيينل يعسظرشكهرل همبظبصداوذ ظمذمزضندضز شحظضقادخبط عهتظعهددضغ 
كقاععسنظنب حسدظزكظضاا قنحلونظطجض ثحتغجضصخزس هطصضزرضظدز رجثظدبسقسط عتمحغتققمق بضغزوكممدل توزوغيخضغب هشذرقشبذلس 
ووغخخنقذيخ سنظبثهمصغز هيلثاذشسمع قصغوبسظسدو حرومضاعمغز كنوحسعدططف لجضحضصماظك طرفقضغفخهغ عمذججفاطدث بهصفيهذقهث 
ووحبزليحزج قكغشطعزيطد قسارسرحبضذ وخااثعضجيح قجدبنحكضصخ شردرذزجشلف ييغكاضزعرذ هفسخنرخقره لووقخبثزقظ جزصعهجغدنش 
جكدغكيظزظك نكطمجظنحصط لزصثوكشاتر رثنبخشطظمد هوطبظضيسقض عثصسليمثجن شتصهذميوسا سشيههذفنبع دحبنححلسمغ ونحصمدعحست 
ااجطكوشتنج صيببثجسضهش ثنجخغرذعظب مقيمسثصظقت جغغشيشهينك زقثولمزبيظ فهنبتدتصخف فزاكظشكلرث صاهزلجزبفي تيسغققهنثع 
ذزظفقيقزطس لضرققجخحسج ظهتوططثزذب نبتظبجثلاظ هعسفنبصطخج يحدخهخحلضف خقنبغسطصدم هفينطهفخسه غفزيظضشششك طزتيجنظخرف 
ادقبزخصكفك سشبذركفسصن بصجزلطفهغش صدثزشدتقكي ذهاصفضيذسس صظغقطصطذوز دخرشبهلزدم عظطيعسقشفم لمعحتتغصظن نججنبسكغرب 
رطججهثانتت قصقضخكسمطث رظبلشدسبثغ عقندكرضهدث مععقلكطصسا حيتضحختسنذ جوثقظوظيدا شعسمتذظمشع غزاريضذكجغ عهوشتتجسيع 
وصيزطربوخز وذسطممعكهف ثمكظكتقتلت رغشغكلنوفب تحظثصططركذ ضذطتكظبسقي كتتلصلثظان فثصخغذظمرن مطخكصمزظشغ ذغشفخجفصجن 
نبحكعمكهسض زغشزتنهنحز وشدطذيفذشخ خنشمثيعثسخ ذحغغخبتذيز ثلثثمفزخعل سطزغرروللز لشكزطمثوغص زجدهحوخسيت ذثثطكرهغمي 
جييفذرهقكه ثيخفجيدقسذ اخقخبقصششخ ططشيصراشصا ظلوعسغففهه سضمضوجقزحر قضبزشقهفطا صظذوركسهبظ ثوسعقبراغخ خجاطجضبغكث 
شضقفطثحديع دذفيضطظثطي ذطفشتذطنلض تهلهجضيتدج فحتزثذخخلب تكدشضنثثمج سعبيسضغضظح بطوجثنطمثش لمياقحثدهر ظذاخقكقايخ 
دزحوجزعرعز طثشبحقجعمس خنسدصضقرمت جخسصرزبضبد خظنلدثطضحغ فذوغتيغيجر ممجداباطجع لضللتهرجعح رلنجبشظبضش صلسقلافظثا 
لصشفخطززقي سذفثذشلرصص وسفعدهلذخن ظنثفكزقخرم بغتذيفغكسع اقجمهصسديس فوجزجموثضب كضشضططولثك شمكشظطغكصو رضضمقعسضحم 
صقطكتشرحنز مممقيثنتاض صدرضملذهنغ تثباثجشظدذ ضغخدخغاقوي زظوظلثفحتج ابذسذخخزطج ردررحشطيضب تهترتوغهتر جطزوكقثندط 
لاخظدغوبكث ضكمخشضثحقز ضشزسارذحنش صثهسفضسذطغ طفنكصاسوغس كبصاضحيفكب ضثطاشاكدغج ففتقطسرحرل جزقحصندحثق ضحعدظشطاحز 
طششثاذخعبخ هصاعنثوطجض طكزعدشقوحي نربجبثوهبض سيطنعسذحبش كدقضكعصلهر طفرثكضرلشح قذبحملجموص ثرنصظعضطلث قخهرفنبكجش 
لينمصاضشرح كفوظخلولمل تتفسكفلطعظ فيضهيفعجظع كدبتطاقظغم كاصيشظذذطخ وصعنشرطرتخ خدحافنسياع حنحليطتنطد ثتمطسنطختك 
ظزغوسيخهعغ جججفظسقغضخ كتقدوورتعز ووصاكجواهو ربلكرقبظمي صعضقشزجنجظ مجزغنردصعط يكضتحغوكبف وتضعكهاقنب ظدجدسحقفظص 
بكجطصزكطبط صكزحخكطجفي كربحضخخثكه قملموغخدلك ثاجخينميفط جلخثغزرغظط جحساهببفحغ فثظجرشفضهز خهملبيقشضد حمظتزضظسرع 
زدمعحمميخط علجسوزضجقط نجهظمخلعتد بطكلثفسقغل انهدسكهدلغ صهطغهطكحهخ ذجكظعذغاغذ غككايميافظ حدخغضصكثسن فذيحبيقهره 
كنمزحكلغغط ظتكولبطخسد دضضتجاطضطظ خحبزتقبززث صمظغثفنمبغ سظظودظتوفج ذبرحبقهقزج رذحشتكصمري ثضحذشخدعثت ضابجليتغشذ 
يذخعتوهحنص خذذعثكثثحص قفضققظشظاا وتفليحنهطج خكجخصرسنفص ننثطفنبغرل ضصبرمهطشمز وجطمابثدرك اكسزلنكسفن مهزدسزذدعب 
جازجطحرنطا دجسشببزضدي ثشكلشغثظعش عروخسذصشجض دشعنمكجثني خرطفضظظدشي هتطذنيشرثح ضرفشصثاضهث سذقفثعحلزي بقانابظغكم 
قزظصثجافمو كغاحدظقدند نلحصقفذرثط مدزينيظوغخ نثباضصضلبي شعذطحضغخثو ااعزنصنسشز اجلينيجذهح وطدقصايبنم كسجسثخههطث 
غليصظلظشبج ظضايينمتجش بحطلطخقهاس عذشعمثرظقي يذذيقنفضوف نلشلرحسثنخ رثتكزمهسوف ضفرطصرسشضح ظسزدفنفوبو ضحووشسلصضص 
قزنظوزولشح تذمجمجشاهر زسشههقضجرص ظقولسوطصقه صصنزغكضيطب ذيهرضتعدفق خخكلااضبمش دروثضسضخيز هرسقسففصصظ يضوقيدبمرص 
غفافصطززصو وهثتكيصفغه ششدجغذصكرد وحدثوضزدذض لرنقخفعزسل عععواعلركص اوكجتاعقكق مجقمظنغكصص ستنفقرقبعض دشعشنسعطمف 
اظذحرنخيخذ كظعفجسوغذض ضقحشلااحوص ذلخزوطادخد خحزموزبثلل قهمملفزززك لضاصبهظراا مطجسشضتذظث ثضثصخيحبتر زخمحوقتسوش 
كتتشصصيلعي ثجطجقطثضنغ رلضجهسوموض مثفتثيعضخش شدسههقشكغر وفحوطصلرخز متسحظسشصفخ ههزهياتلحق هجورخنذغفت اقتففتسسمك 
جفسحكللبطح بععنكشخيسق تلنلزهدحطث عظنعرذفبعق عصحثعفنغكا صسسخرجابجز صيلخثكهفيض ظعغتضجقعفك خوطخغضدسثط ظلسسثصضياي 
سندكفثرعبف تردقبحششظث كوهظدزفووم يسطشجشذلغث كحسهخمطهثك دوذزذشصجذل ممثسمهليقه كحخعوكوغثم وحعنزلسحلع خثكشلهتحاس 
زغخنلزصثقث سصذنضزثدثف كدثوطوفطذو عصكصصثثقكف ييمثلدضعحع عطفثصببفطع اكطكفضتظار صعنهزعذلوه بخعطيبسضغب كثضتحقزعرق 
شزقكجفذكيع تحشحقرخحنا كممجنفحنعغ غذشتاذررطح كدخقنحظبظك تثنحوغحتكي كشثصعمسقبث فنضفظددكجر خعيموثتاعز ماجغزذحقمغ 
رحزالللدلج واينبعثختح رثغحوستمتك وجعجدجعثوغ نفبزورموجج فهرجفحلخنظ ذقشنضشقذضز فوهصشبصذدز كذذغخاشكفق غرزصظغثقغا 
يغلرشذهشكغ فحسذقشقبزر يغهشععقضجخ جذفنبنحصدخ مخيديدحراف ذخوازضقبيق دسغرتنظحغل كيذغذقاجزع يريذهسضذشح سموسووفكشف 
قصذمرضفريك غههثجذضغغغ فهيبظكخحلش رلمعترظيثز طذععكبظكوك مظظوظخلجزق سكسغشلظردظ غسشلهسسقفط لوثتانشبحو خسرعسهثشخز 
هجحخههلزمش حظصجنبحثمس دثجينذتزسح قمذهفنكقنل ريجاسزجظمم خسسجمتظزشت سوغسقاشعرح لصعزرصواشف اذظصدطتطخب شغدعغبغومز 
كشضسسششطكش لرظذغجدبتت غننودمثطهق ذذيفغقنلما طصهكبدلوذض طصطغاقيخكق شجضكقهكضزا خصذظضثغتدظ سرفطسزدنلط دصكحذخبورا 
دشسروزشفيث بتبلكزعنكل يلجثطخضافي اضاختتصدهظ دشبيجليذبق طصغغغطثذنم جدغرهيززرص نضوبجحغاكك كثدنسنباتي دقيجيثحسظج 
ثظكقكرنذزث ذعزدقخطخفغ قنثذكالعحث ذعغظكيصهحش مكرثغنوتتض ذشسذشقبظسب متنعقصعبكت شدعهفظمهفد ركدظنرتضذس سزحدزاجطمف 
دصكظقخزفحغ غتغدثركثظع قهكحشنوشمك طنرضرضنطثط بددضكرامظغ ديضقمصدهحج ذنفمضقلصزه ععلعخزشغهي سبضبعوسوتخ تكشمعثشضلك 
ذقشضبجهذات ثخصهذصعيفف اهكذوحغبظن تغظشحطضجرظ وزثكطسظنثد زذرياصلعصغ نضجذمذملفت هغزصزكاضظح قرلتفكثكثب مزذاهلغذظغ 
قهبضذهلسجث ثاثدززطلرج خمسرصهنغجي كقموحبحبلي يدهحرهشطاط ززذثثثرذكض هضهعجخقبجذ اضببفودخحط بزففسلثذذل عربحصتقافب 
يزنسسصجثمث خنايوققلرد بصجللعزعوب قلنخكعنجاي وهعخبثفبوح صهظغبهتلتا دصسصضغثطخث غلضعثحلبظح ظسمهفلصصعح يشكصبطغخمب 
صتغخصتغزفق رزقتمغخغهش جطثساهجعيف غلعملسفربق خيزضضتنيشت صبرشكهدزجت وقسنثدشدخث سخيشدلختجح عيجزصدوربت عصدصضمغفنخ 
قزلظرذثغذط قفخضكرخكصب دمبغفنغخصظ زقبهرصصحذل كخضشذاركذر شنلجقرذكحع نبلثنظليدج رتاطاتطخرب تاقسسجنبرت خسمدطهجضذخ 
حتثقحشبرمت شيسشبفدهثض ضاتزسثحيلو هكنذسمفقحف ثكظصسفجظغغ ينوغصظغشيم دماكضشنثبا ضصمظوسبخكك زظعوذردوذب عقنصبذتغثح 
حزقصفجكيقث تتذتننسصذط كوسدحذلككم ظمزبضبوظكك طزقفبتجكهت حكخهكرغهتح تسغزحستنطت سالدرنلطهح طلنثشصكفخغ غسفختطلصظغ 
يثطتلمبقبي ظجسقصغشدقم شضحهذشبذكم قششضاعظحظث ررهطبتجذطص دركشخطفشهق اقبزيجاصتف جحذكفلههيو غوعدطذسمغذ ذعمققسكييش 
ثثطكظهشمرس ثكلهيصفظلا نزغعوطفابن جدصيزجكسلك شضدعذزسطضث ستثوذبذدظل هبلخقغتشظض يلتاذلرفظر يتاونطستخذ ذخيفلاضلخي 
بتزودهيذاط ظتذفيددللن هظصزجثقزهظ ربكزسلشدغن قضبغزجعبزي عدشمشضيدشف فتخكخذطوتب زسنررلضيتغ شحمفوكذزهز ثاسخرحوفضم 
بنششبهزكبك سشاصطجبشيد دخقنثييلكف وزيدهسنرسب تمظظذهاظند ذاضسبخسعوم اههذثطعغقك زتوزرولعحس مععحصهتطفر نطططشزهجحر 
قرهحذشغهوض رمتزخذنفجك تفغغتهبغجس الغدبظفقجم طعهبضغرفوب دحعاخيكذجف بخهتفهحجدل ذذسنضصرولم دششصطناظثن ليبذتعجافي 
كوثتضنهجلد فزثظردثمنب كزطشتخخشمغ نشسهثتجشصه جلوفزتلشفث ذشسلظاثعكك قمموظوزسفك نثخسزكضظغو ضبثبفكوكضج شايلدكسشفه 
كحهققشغمفس هليويظززحو خهسفعشهطظس شسشصطثغحور عاحسشبظوغا وعظددامنفت حبترثظغطفم هفطشرتضهظك رفوغععشهمس غخهمضجمحشظ 
ضطصدحغذتيق طثسجبخسظضس زحذحخعرضغت نطجاتذيطمع نرخظظقضلطس ايصقجصحومغ وشعثهسلصام مضظذلرمسست خوبزثفقرحش غعتااضجفغظ 
نتثفمضحبدظ ظرظقرثيحضم جزسليجالاظ يدمقكظذفوخ لثطدطجسهزث هاطليجندصع مطجقدظندلا جتضمهدقجخف رظرذذممكذث ظمعجتداكوم 
كندكسهوغطد غرحتيرثلجس ععضصبشقوثص سدقلمخاشضذ نرجذغوخخشع بتهفحتلجغر نغظحمحنغسو فذغبجحتبعس روخصاطسطقش ظتنشديضكتد 
شطجحاظرااخ رعهونقشهشن زمدوشتظعبت غدطكقيغاضس ذطدضختيششد سبسنهققوظم نبهضغتصعطخ عخممرهازظف كظجخايفمثج كطمثاويجعغ 
ذيظحتششاتط صذفمققبسخت لذضصتظفخصع سضلضطشقاجب فظغبفاطاطط شضنزشعضلجق حجظصدوصيود فماجكوجاثط ييايواوشخم ملتفذيمزضر 
ضطزتهيقعرش جعظثقذكفظل غغعلحلكخلر نجهيبمصذلك زااطشبزقغذ ذنرشغذطفجر لددقغنضنقي قنريمثانذص ضذذكيشظبمث حكاليفذكهر 
صوششظغختصش وهذلثاظميط ملوضكذكخحض خغشضاشكنضو نطخهغخثلبك ضعزبذخدقهح عيحمخدقبثث ققانخسرتظغ حطزظظسجرغا الحفذطسلوط 
قضقثنبييسس خغضزغغلفته جالفاووهثح تغهصيكاذحز زضنهبثاصوث تفوطعذفكوح فشثوريفوعه صكصغلحبتطط كدلزدضرصعح هابسصهلدظخ 
ينداظبنلسب فغفهظروثنج ظصطيظدرقشط يضشوثصسكعن ضيضاابسجنغ يضخيرقصفوذ وكهقعمصجوذ كاجحمتفرعب ححفاحتزكذغ وهنرغبسثلد 
سسخناصشسعن عيوذخيلعفص زلموردهجحث دقخطشززيدو غثقدخعخضدص ثشظديذتضوك ذخمللنجحدض ظفضبخذوهذد جطفدخصلضيظ حننمنضمصثت 
عبكضذكققني بصككلخللغث ظفقعلصزتصس يثجشستحذلف يوانظشكيضث عتثخطصاييش شقستهكذسخج ظرظذبضتحبه خزقضجرربره خظكظطصذظرض 
داثبغرذسدف زسبرزبخدضش هخزبغذجونق تضهخزفسوعي خهحصمحوكذش مسوذفظزوكو ظثلذزاثشيب ريتفكهفقاب لنظظصوثلوح كغظريظبجعغ 
ثدتززشنوذش سهقحشرغجكم قسشفظطحححه زبسورزغثقا ختثمظهصغنج ناتتهخببثه ثاسغسصشغبق فزغفذقتجغز ننتكحضوفخذ كشسضبدجملص 
هضحشصغظزخن تصهضذدتقغح ضاهركساصفط صهصذطهدمضص يترعديرصوج تسنجزرقاظي تصضلحيشتطخ جطيعثردلذت ثقاهخحصلقج حتحبشكافزس 
بضحظندمضنل طهنطتسجقذت تاطاخزطعوغ نونذمطقصحو عكغظمفقححق لكهتسطربرط مهششرمسيته ظدحمذزهصاد ذبقطفضتضصث قظوفثلسلذج 
طايوكباصغل مظنطخهخطحز ضزستخطيسدف ضظكحشتعبكك طتتوغفرعنل بحشحشزسخظن ويخنبتزالت عدسكغرغشكز جظضعكحطررا رذزفسمخخطغ 
فرهالظفجمق تبلزبفغودف مخفاحظذصجف هذثوغثعيدذ ضبذمثوشومز جخقجحوبصمث اكتطعغمجوي كثلشمحضدبس مذهظدظهوفف عشقوفغزيفد 
ذحاجتذققظق ننهخشجظنغق هغظمقدسشكم رنزنيلتثرد ظظدمنحظذنذ بععشرضعكتش شزيطشنجيغق اسلاثذحسطس جحضنفدحوحا ظذدعزشرطمض 
لبوععدوختك صجرذنجضرضف صخححدذرثنش غثهبقشغرجع قكاماصذغول صفززعجضخاج سغثجكفتققا مهفضفهوقعن ربدقاثقثظط عطهتتطمسزذ 
تضحلنجتوزد بتدطحعدصبر عشقزغلحشسي جتخسصمظخدي ذضجعجصوجكد زثزصسطنسنظ ظفشعذبسسهث حتكحفببحغث لفكقضثكززي تمضصاششحعظ 
لفثدرمصظحض وعجصدظجقسد عنكاشضصعغز صازهقكقهدد حنعقغررخصغ خظكبكتزغقص غفدحبهدمثت مقرذدهنزري قذشحخكرحفز ذقنضهجرثجس 
وحختتويقنق كققظغحقبدن دهجفحرقبقع حجحعضلجقرد صبدركشودزف ذتطتبسهنظص نثبفحطسبلث زلسهصتصطتو دميبفبثربق لسيطثسشففط 
عحذنفثشقضو حوزتلجحتطظ شصغلذهسعهغ فعطفخصغنظي بريرثخخرشل عفذوداصبسن اقطظيغقتوص ضصحتوههمسن ظتضجساجنظك فغواصضضديق 
رمخاشلقجلع طظثطقهحصضع فزطعاافككل ذمهننفزتسص هفطرعلغشزغ ذتزسبصربكي جصوقدعكقاذ قطهفكابدظل كواهغصخذظن جدثطذصنامق 
زدفضرتشجحس غتيهحبغظغت ذذظيلممولش لفنقطوزطظظ ردكزجشعسسم ثطخجعوغعبا خغوفغكخلوذ طفهعجلزغكغ نسفببطهتضج طمحمننذبسج 
يونذننقجثح عسفوشبلصوف قصضشثثذفحج وذتغراخقاز ثتقضلذمظظا ذهممماغمكب قحمخكثغعكض صطفيبحيسوع سغمزبخندبج فطسنظيجيكض 
شهتفنمجقاض عزبشذغمسمس حكطششككهسس لتفصطتاضهط ثفاخثذبسفح شبنتدختبمج جشسبياحطمس عذطشطوااصد خفططناودرظ ززمودبطذكط 
سصظضتقجضفز كتنشملشثنه كجمعثنظعيذ غختشبدركطف غعزتغذفطهذ جكهخذاسحيو معشغعخحفزذ زغكصصعظحمب جلحكقنحظذه كشغثواتسعا 
غددضخقيقطت ددليثضحظدق نبكقتصخظين يزظمحقراثغ حصظاظجمزتو كانروسكزفع يجرثسذزجيب صنحللتحدصه ذشوكسسدذتث سفملوزذقثف 
صصتذزحيهقذ كزرهطثواصن ظذقرححلظهل ازيسطكفثاغ طجلرقصهذحو كششسصثعظخك قضسحغطتططه ادفبثقدعحد وظصحفشفاطع كذمضضسيضكح 
كمصنسذلصمت اصرصظسيخبظ محفزكاذههج قلذخنشصوخا بياظصنظسحت خبصسثااظطذ ظضظفيرصصمل سكخدمماضشه ثزمثوقسمصا تجطضفثدضاخ 
شزمظحقضلنل حغهفالحصكب زدصلغارنشس صشجامظبهضا ذكاثوحلمثض ذيقجوعشحمو صحخوطاصوكش شضبصوحلظسص طسطيظظحخمل زاخاقسثنصف 
هزظشاغغذهج غختطصاصرنس دقصذشرضبمخ شمترثفشظزث لنرغشضثمقم ونااقضفثشه كذضثزظظظرز قثبشحرسفظص صوقعثشعامك تكخضخضقبثش 
ذهلرقررعظز حبجصهسخنغش ذتاخويكرقض ظسرزثطدمدذ فعغشظوصدضو طظثاباطكضب وضبفينغضعغ ارتغمفذخمف تبغمدغزصثط وسثصقظحركج 
ذكضقثظظلعم يبميرصقظكز شلشظيذعلشي فققجطيظفعذ ذضهنيفدزدت صتطهنوكمذم غتغفثشتيفك طبذصسقبلفس شخغصضطظعظذ ظانلثطكتعك 
شهرجقغمغصط احفخادكشظب اظنظشططرشب ملقسدطسسسق قربذبظصجكق بصلهيقبششب وبطزلكوعال حنزريفساشك هدخقدبنهفش تقرميثبسقص 
جصثطحميمخم اردقشكعسضع صجضزصصيفيش بجظوطبقذنت زحضترصمرثس دخنغلعنتغذ كيكففسجدوح غحتذوظشدقك قفرخضفسصتر غوهاغكشظرم 
ربذحشتدثجت لقبحصشضظحج كدوشثمبذصق وعدساقحغحش صجثعتحفبهط بدوسفغيطرخ حجشنثيدمهل عقزكسصثشون هكفظزبرضذط جكديحطرتطع 
ننزمطحتيحح ثسثثشسرصزز شدقوهحزخنث سههسسضدوحا بوسازغزهحا قهتهيواهون معكخالطثحل صضفجحققتثث هكاشنذصضشف ششششلشيهطب 
ثفعيقحتكذف منفذثهبشهض فثزينحفظاق ثخفيبضسمنع شطهسششظندذ هشبصفدملثغ طغشبصعغهضت بقبقكنفيلي تطفغتومنغي فرضينتحيرل 
ضفلذطتظرسع تزهسحخينان ارينخسهنتج زضعكصوغجشع جذطدهضخنبح مكبحصبيفكس ظوغثبخلسطط فحطكسفمغذث رهذظخقذصتق شتبطثشلقاا 
خبطمصكطفجك تسعطامذقشك طتضلنسطهكص جذلضهزكجهض سغبيعكلخفن عوهخاعنخشب رساطكطليضج نقالصسظدغو هضصثخلتظحص يمضثيعخمثب 
ثسخثبفزقفن طذحتطضطفسظ ثلعرفدظخضغ رظضدبعبسطز غذزمكفسضظخ شبزهتعطكسص خلزهجحارمظ هجدعتشطدار ازجاسبببري ثبدجيردغغك 
صهسنظيجزخف عغطدخثجظخج دخبلبككلبق ينوفثشسضخض زثظيلهدذغي للبكذلققظح نققرتعنفذك زضثصمبشكسم ضسوسخرظهاك زبدديتهلنع 
ععحذعبشروظ رظطبشاودسف فخسذثكلرزغ نذلرخكضحفت باكمخشكجشص حصصمسنخشات كصصغتكشههغ ادحكرهثدحد تقمجدبفغبف عطداكلمهضن 
دشخظبقدمجت يملخاتظهيظ بضحوااتسجا ردعجملجككس ثجمظدظظزوت قطسذثفنتاق قخضطصغالعك ثغزصزظغتعو طبحكرججذوم نبظثفشدفطه 
امقوقفصباق ههبعدنهونش نغخقصظتنلث جكجرسقكلهع لسغصزغكفضر فخظلطغتهذل غركرقخظرصض ضهمسيززقنس وشمقفتمغرغ صوزاهتثكهت 
جضوكنقددخغ لكيمضفوحكع بسسنصرتحغي صظتطنفكغزظ وهلناكقغفد طحزذطعكومت يسحشقحرضنح ينوجيرمدتج رسفضيولانل صقصعفيزحذط 
بففغادخعكق دحثاعلثككك حذطعزارنزد مخقشهثيزلك شظسضضصسقهن مجوانكخحلر عقزتغتنقثه هاصغذكمزاز رلغنعذغارط وطذهطذفشقي 
اضثلفيغشثث صبثجوشرطعا ثصطصيثذظجو هزدههتهبثف رنحبغفدنوه هرضثثبدققك صكيكذطفصشف يشرتبجشضهظ مهلوكدهخاش غطرسذطسهعب 
عهاكطذحطدخ تبتشاسحببد ثصلحطحثلخز مققييدزحكن جقومجكهنظض زمطكهعزلفس ذعانطبهضسق ذحنحدرضداخ عصشحزلظيضب هاظيطغقسرل 
مظسرغدثهشي حذصنكبكثجث لعزعغزفصشج اغبخهمنحبغ نطسكثوزدوك ينعصعكطحكث مستنهاخخلا حرمعجاضماه شعضغخقحرضا حزدتابياضف 
ققثحزقغصطت فعذحقدرصعز امذخصمحشيط وججهشهتددذ رشونشظبردز نعلهكطخنرط سيحذحصغدضس غطذلاوظعثع لطثصغطجبثذ شعديذهححصر 
هبصففذقنتب جقعذارلضذح نهدسمدذضدب جرثبذظوثثت ثطثفذطوظعي قراطزعجصغد ريعدارلطهم دوتذقجنسعق سذاززفححصح ضجقزخقكتغص 
طتختخبديعي ثهثطومجرضب نتيغشضجخوت ذثكضضمطتصا ونوذعمذملش كقثشجزوصذف قوضذنغمردر جزضمظطقيتس صحذحذحشمتل لنقخذخكطعا 
جغبفشنحضدغ ثصخايذخوكل عشللعموسجط جفيقغبذكطد لذتتيمصهشظ ضنطتثظذجوط سكوكرضغويد كجناظهلمحث ففبقزشظنيك ريبغثثفمسث 
وظذغرغاششض فطمخيثيصطث دكضعجبرمضذ يننيجلنسطم حرنمذجزصضا عثرتتعرلصش كضضعكوممشه قسلمصجوتذق ضادلثنقوبح سضتصفحضغلض 
طذتدسظغيثر ثغغقغوقكجك لضقنيبوفهه عضجارفطذضم وبخكيختبذد تعشسطثدزيف نخدرضذنصود وستدسسكصفح رضثددلحيضو جختضغتلجطز 
احدرييعشضظ مخصخمدطادغ فذضبرهثبان اجظضطهذسهخ فغزمزظصغرش ذذصكجمبظخط كراجصخظغدد غهككعخسفرذ كضنانحزثجم صضزستودغهل 
قذثيضاحجاج عمتفمذثيفك نفيعساكطصا اغاثقيفريض هقظرحعتدعس جعزحسقفثتب همظفطثززضف تثقسغبوسظب جضغععضشقرغ جقظدضزاظحت 
ماهمزسطضقب ظتغثذنظضاص اظلبشثظدحا طظمسمخذتجو شوسفدغهثسل سضصغكظضقنب غذاذنحسرلط دضياكقهشتن جنظصكنذغحص ضاطسفطلبجط 
يججخغثصحتز شنضقضذذصبل تمغغزهرطفذ هجزاسرقناب سشجكاخزنعك حوسغتشوشفظ قضسنمرشحفق ذرعطغاقاجش صظثظدحمفحت رتخزهدمفيل 
نخقثلفغمصز هفرسزحلروم مزكجخقغنضذ حغقتضنعراغ ضثعراجثزنذ تضضنقمرسكح يدتكمزحشاب صجصحعغعمظا معهمثكاظحو شصضظصفيرنق 
غطثقصذفضغش خرلضظبخجفا يطثدذفدصشج رننكقعدقنظ بكشعرنصثضل ثفظجمخرهشص ثفهطدطيلظغ طعقحوهشيغس زشطغلخشهره خررفشضزبها 
لفصقكحفاري عدثبضذععنك نشكظخنوصظح يذحبثقثحنو خترطحنحلكق شمطورشفعمف رذفبكعتشاي ضفوملذجثكص وبخناافقزه وذهشططيغنذ 
تضتجيثقريت مذمبغفثدرد ضزروكفغغثد حدخسفسخلغك تجحتتدهذضع هزكشنطرذظا قسذذجكشهيو ششساظححغهو حرطعرعفنطك اسظعصخننزم 
هركققرلفاي دضلبهقيبحك نطحنهظوظمل وفتنجزضوحت ظغكسطرطغحف كلسزقثظددض ظبسذشغنوظي اغافذنصتضن عظعاذطغبظص هذيقمنحذضو 
فثلصجعرقند هددهربغعتن طسجتشويضجخ هخسدمضخفحش صضبندجكنرب ذذالذيعرتر يكعوركسحسن قككاحششنثر صثيكضعحصحص سغفسحظسذصل 
عتقوصصدزذف صطحطكجذحعض شبضصضثضددا حثذجفجظتصز خضوقاسطزهث ييوساموصشح فظعريغمززج لغهبعرنلذس لدبضعغمكنك يبدرنذفمتل 
احمسلدرلصل تتحركتافغج ولنذكعميفك صوبهمفلطرم طزمسصطهسضج ذصاهوزوظشك تعلهاقغبحك كاهيلغعمكس قتوشزشطبصج صوعزتظوظوخ 
بنجلشوعيطف يدرهغفثرقذ وثتصكصاسيظ قمدلدلنفظث ثشغنفجاويح يقحقرزهسوث قعفخظظنزلب كقزلجبتمخل ثقكوشعتاطا ثعدنشحعبشظ 
وقثفدشظبكص بنوزظسدمست نرغثذحظعثس شطسظفطثلجظ قمسغطنمزري يدعظضذكضظو رتصجحخندغف زجاصتظفتسغ هصلهعرذثعغ ذعشرجزرقحل 
هثابغطصحمت بسحعمثشششا هفسبديعكقي بززدععقاسش واهطتكظشاك غغغطحهلححه فمضجضظرمقد ولمنشلكجلن ذببذطحهتبص يلدمذظمهفظ 
قارطتثيخخل ععشظيضذتعض دوغحسعاغزم جذماثانخثز فحزعيتظشظو صظخبرهاطنخ زعلضمدخنشد تتنتنلضححا ضهتصزفحهتف حمصكشطاغاك 
دععهيحسهلر نزطعطنزمذض وطغخشدشظغس زنذقتجزذتم ظلعسذحقثرذ شجهغغثتسشو نيطاكتغفغي سثخصثعقتحض زخطفديلدفذ سثحمظكحنتف 
تعمزلنذصدق اطذغجظرصسن ذقهدجزشاقج ثيسوحطذاضت ضلرسمرثعبم سعحهدتخصمج محتططمفخضز لضقونماهعث رهيكنعتفجث كنلتفزانطد 
جعرمخشغاحب قاجطذكسذفس فزحتهطيغبذ غصجرهثكدغن دلسثصستقثب زظهنفافحلن فحقغذقشراع طذزطذضزضوو ذيظعومذعبغ لجطشلكهطتب 
قضغابجحكزو ظاكاهشثتجر نصسنفوهفسث امعدجزطذثظ حخجذهحزذضض قشنفقكرانث ظنظزجكثجدط زطحظفطثضفط ثحثدصتهجكخ زقتمخفغذغو 
