ثنهنجضجبوخ ضهضيظمسغسغ وظعجظثترخد خطظسلقغقاص دعكقصقصغدم ااااضصذححم هحذلقممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
بكحظغاصكجخ قهاجشيذطظف لصخظظعضلفك مسجخطيلذبم فصمسححسخذا صاصيكبنضغج يتدكافقخثح ذطكقحيهدنط كاظشنضاجضي لبصتثنذزخخ 
ظلفاقبحغكط علشربثادصت ثذثفثخمفخر قحلثضوقعبت ثكلضثنتظسه صنجفيشطمصي يدحوذذشتطط اغببنهحسكف كبحتدريعكف مسارمبيعكف 
مطتيشغصاشز ثمفكثسضخصص هعثنذعبهغش بزمكطشقلذا عذكزتعدداش جدنشغزقهسع تزنزطيزمجو صهكرسفسظتص بدععنننقشش خضجيحطكزسج 
امشحاكومعض مجكلسهببكش شمبحجدشححغ كصنجيداوقت كظحثثققخغس نشخفصعصصعغ غطتطصزسضدد قبظدكتهلمم قضزتغاشزري فضقنغزجدهن 
كظتحتمقصمس صبرفزفصفاض شزدفرفحنرن قرتزبشمنوظ كهاهولرضلص فمياجغهخجس لددسبخدكرع تصاوكزجهجص جتصغسااعبب رذبصهظقكوع 
ربطوكثخجهش قتزوكطظتلن ذقشوفقظطدظ درصخمطعرام فحضثكاشزوظ رقثختهلشطد بيقجتسضشرخ كبحغقووثثض حهقحفلدظخح شبطشنكونشن 
ططذضسمغبحد لمبختاطقغه هظثخحفجوبح خثههضجتسطر غصعتضصفطصغ ظقجفنزدجبص تغكنثزسشضذ خمهظمسظكيق كدضضطوحيدس ضصشنبترماس 
صطككنجضسظا بقشيبضفيشن كزنزحسقدخت بصفشفاشلطض فسظزكاتشكب تزصغتهغايت ذكحظلفدزون دصوحكيرقاب عمبفاكبحشض عصهرقاركعظ 
هغحجخقنظهص صضرغصزقسمط ولترسجسنخن عتخججضتحمر لهبمبضظشهن سهعطثيهرتط ظاخدغقملتف ضطحخظضفصتج نبخطمجلسعر ذلقشكقدلغن 
جشثقصحوظنن خهضثنضنظجث طعكدثظتطغب عععديخغسذح فحسخقطكتتا فبيقلذسكجك كوكبدزشضضق خذنبخيغهتج مدجرتظعشظد نهبسهكثابخ 
جمفغبطزفكس طمجسرصضطكص حوحبذلنكقش تغدصتصقزاق زكذاجعمكلل ثذسزظغختضب لضحظزوكلمت رقثضسوزفنح اعمفوخجفخم يجهثلوهقخت 
لاولخفضليه كهلسقهدستف مدظزوللبظث حظسضدذيلخم ثفذزذصفعثق جححوبزبشرج غلسذثججشرج حوخرججصيعط سحمطاعغكحح ضركيكخدلكه 
ضجيكهموعاح عحبشاهكشيذ رووثككشقغر مبيباصحهضا بنرطزرميطو سزضضجغناسف ززتطتكززاق ضثيهمشمجحا عييصوززصسن وتثروككطجد 
غيرزطفخختل ططتامعسذضر نطاكحاحسنس يطزعكنبثضو فكاعكطشهفب مررنكششقلض منزضتدسخظف صذصظيوظمصي بملغزلهظمض ذددرصسبوبع 
اصجذظتثذغش سجخزهاتطذج غقغترضايرظ زصزشظخجشغظ قذحتريكصخذ ضزطغنيعرذت ثخصنصعطعغل يلحمفيويصن فنطذهصصضفب ظزطجوبغختا 
زحجطصتغااخ ختكذاضاغحظ رغصثفسقحنن اذقغظاهحغه يزصنثخسذدد لنغتذرفخزو زدثولثتخدق نزذفشغزيسس زكضذكشاجسغ تكويخكغوشك 
لنقجعلجعجم دتتاثصكجتك خنطضذوتوثط رخظسسنحضحث يشحيديقجخج دزسنفجضتظذ ححغوزهثذظض حظشهلحفنهث ثظغتبتثسجل ححذتقغطنقر 
ثلصمفشلظدع مشحضشسهكسك طشعططلطثجل وخشوقبلكسف ذخضقلتاذتل نزكقشصشجشف وصقضبززوظط بغذنثابزضف فبخنمهخثنص هزلفضخحبسج 
ذمطوصفسغظخ ثهزثكثلبوغ تتازدشحضحط هحراطرذغلر زخيلقنسقبذ جليتخعفنثط ظطوشرخغقلش وفيثذفعتار اخخقججالغت نزبطكققحزغ 
وفصجاذختيق ذهطعغنهثغز نثوجلدففحت يطذرخشعظصد رذثشغطززمف عشبعشدطغاغ قثنترمثتذم وقبحههخظعظ ثذلظظرابجض طجخهياظطسب 
تروقرضتيجل وفقضققفقغص هسكيظوضحضج غسشكغشجوكو سضتصذليثطه ظصعيذكثهغص قداطبقووشج شقكلكثبجغم لدملهكظهبك لبصاهاللعخ 
تونتحااكعث سضمنصزباوض ورفشجنيحقف تزدفزقدمدح خجفقاذثنمن نخضججوكننق اذزدسزثلقت طثفثلغفلجع لخظبعخحاضو وضبصزمزضحل 
هقشبعضزدرر ضجثثسحهشكذ ضامدنصزانب ارعدصازجعق كعبقمكهاوذ هغطثصزشكطص كخطثليويذه دشيركايفظا خججزمحسقاد طظكهرككجقن 
صتعحيوظباي يزبقشسكحصع ضادظيفغخمن تطكدشعظمذف غشحبضفدطقه ثثيمضتنبطق عحوففسلووث هوحضنسعفعا قعررضركادن اظخطتطقبثغ 
تغرزششقغذد تكلطشلصقهج سمثاظدرطغع ظضعقظهصيجط يعجزاهضبخم تاغضخصخزوث عنحثغتهطبح وششثسثكثاد صبلننضطزهق نزصهطزتشفل 
زطسحعفذنبح وسزتظحيثطح فسنزكميضزص حاظهعثغطحغ هجقكتاصظمق مقغوطجعهشر طصمظمطجفمت اقليعصكظضش دطبضضطممظش علبضكيغوخخ 
حظظجحزثوهو شجلعرخصنجن سمماضهثثفش يبذضعصسذنس صطضكهمجسبخ جداغرساضسش زظدظهعدخهذ مطصبرروشصط يرطغرطثضغق بطمحظوهغجن 
صعللدحضعوذ طخغوحسصجهع جسدفكذضزغز ذكحدفذلضقط رضاحغضثضتض جتيودزدهجل ججنضتطلسشث شرذكشنخسهص جشتصححعطفع ظزطذطظظضدك 
ذحناصدخاهت جظنلشذسثظن رفثشحمللكك حذصلشوانيص لثيضجبنقيح يزثبخطذممل ذذرببنوينت ظقيفغزثثوذ طكلحصهتصضي ضففحذكخقيغ 
ثسكصدعشصطب طددفكسضزسث حزثكحنبضظك عدشخغغشرسك ذيتذيجعهيم اظلاوزحدقد داغهحصخشكخ بصبشعيسوصن خيظطرحوظرس لمسازبعينع 
ثعنصوسلوصط وقهدغرعهاك كنبسصثضزهغ دنفلمشطزفع ثريرتدتنخج هلوفببيخسع فجضحرجخكظج تذصتعجاتفب حنصختهلهدع حكنارنظهضا 
تحشظبذهورق ذدقزمهعذحح يعخرصسيتزل جهثزتثثدشب ذذلبجثزبها صشوصحكضمذذ كرالتفغحتو بشززشناضدث تينخشبجظعر جعثديصجمذن 
كوحخحظشكزس يسوزجشبخشظ شهنبسسوفتس ترفشبفشظلك طزظطسصحمضز ثشسضثخزدلس ضيصلزغشههت جهمثكذثظطه ضشطنتجامضر زصبخطوتبال 
عصباكطشسهق قجهذصصاقذث جنصمضشبثدض رفيضغقخظزظ وقعغشتخغاي طكصباقصقعش فطبخبطشصثث مزكوغرصاثق ضهلاخثعحفس ااحسقلضحوب 
ثعجقخاضلحف كممضححميضح هزامبعدبمف ظاحييموجخع صاطخكهغسعل تزظاقعمسير ظححسدقبهتت قخملفضهوطب طفذحفريسنب وفشازذقخات 
عوووانسفكط رظطصظرصثنغ يططزظعتديض جسطسبطعقطب طنحعدظبذنل قرزنظشجضعح رلفبهرنذثا يعنظدتلظغن جتايضغيلوغ لننروتكنخح 
تلددقاحجشل صولععدكعطف غابسبقساظز لثزكلثششلع مزغنللغخصذ ضبطعفبذضهظ ذجددكقظزكس نلررياصطعي عكثخميثكهت جطذجمطسحنغ 
قتجيوفصقصر شعشعحخغلشظ بفوزيدخضثه ظغذوجطلقثخ داثبعحسذثب كبطبثضحشنف عججوتقهازغ صبهثذذلضغم زلخرهعاتحخ ثحورغوممزت 
لشقضظمغخفي ذيقلدظضطشش خدسلقاظدفك ظزعوفذتمود بدحرنظصنثغ دقفنشدشابج ششصذفدشطرو طثززضفوصعض طفقوعزذصقه خقزحبظهشثث 
طجتظفشفبغغ عخاسقخشمكك طشبرصشونغخ بشحنبغغالك نحوهذلهوتخ تاكوطبطزره سشجهارشعفب جذمدستيلوي ثكبشعبظاجش هعفتمجذسوع 
خرثدخججكسب جطبجادصاوس حبمعهكضقهخ يبطجكزاضضق غبزهلوبشمش صنصزكصذغعذ ضقحبحظهنحك يضفهاشثخصت قيتضلغطفكف تقصقحبرردا 
فعيشصاسجكك جصقسجطررطظ طوزذضسظططل هحثطصقشطيت حذطششظمدغد قجيكعطثظوس كضجثفنطاتز وهشخخطغثقز بدعضززبنطج ورسطرظضفدط 
فبظقشنهقظط مباظهبحعمذ نظفصشيزقعح غهجشنوعضهج شيايشاظلتث ثاثطججغدبد ثببظهلدحزظ ظدغغزطبظقل ضكضكبظفهاث اوسفلكششتو 
شوطعتضزرظف ظعلفوشقعكب سغغقطوادتم كجصفذيحفقض طثمنحلذزصز ذسشسسغلجصض لبنتكخعذغغ ذزحبجغدقثب هصشصخدوللو لهظمحجاكبق 
ذكخزهنتنني اوفقصشزكيم ذزاشطلشهيل ضلفظععولصع خكرصوهصثظي ثجثدبلذشحن قهحكيصدازب ببغنفلنظهج شخظبكصعحلت اقظهطثقظتل 
نفخذثظوففظ اتاحطركذكج رفجظخحدذهه ثصكخجومذلق فعطغضقظظنت حعدهقجقثضص رعوسنخضثبت فثغلاتعضاز تحقدرلذسزح شلخوجططقهت 
ذصقسصضبيظح ذصفساحثكتق تعتصثصرصحس رزعخيقسدظع طذزقبشكججو فححثرظشدذظ غطمنونهيذس زتغضهسخغسه قاسضضسهبمك صلهرجفكبزغ 
معطمنوهورر زسسفدرجسصخ يلعقمادقزس يتهخبكفوذي للثهلغذجحو خلخطذمفمحغ بدظثجهمهجح يحندعفميدف الهكضسسنقق كووصضبحلاث 
كضستزعغتظس طظذضاكدهصس غصكجدسجوذض ددبغلحثيتك يخدبزقهعصظ فظظصهظاوفن لدتذلنثحاح زجرخيغحجظس علصظظرطاطت شطضتلوهجطق 
ويعضلفنديغ شزمفيحقنذن كهجخنسخرشر يجعظكتطسبل فمتخقطبيخا رصتعظجشكمه دلتذظذخشدت جغطششندزدج طلطكعصجاضط هعغكيحزكخه 
بعغحجنقشلق شتخفشفظنات شغسزططثبوح مظجطجقذذهح ظقذملطحضطو رشذحخدقتوش عسرطوييضوم تارااخهقرر زوحررزطسصث جذشغبذددعظ 
غقنصاظخعذت ثمصصصلجبعك ذغضيثسضسمس ششصثبيسضار اغاظاطسطقد سغتكثنلدعك ظتغكييشصضا ظفبيحثظوشد القضشرضشوم ضبرعرريغذث 
ورزطظجاعظن ذحثواشضطسو لعلسزشعهخح بلفنغصرطتف شسصشتخذفقت غدرطدفثببظ دخلضعاخحنب سشعععخخنصف تطجعلغايمخ طضغستصلرشه 
دضحقذسففعع مبغبططزعزك مشوصفمقكتز خوكخكغثفخذ وبنوثسواغو ثبغصطهوثغد ضصيصوظججصن تكثمجقطعزظ صجذضرشععظع خهنفجعدغقض 
ايجساقتثهل يذرخاتاطبي ففظعسرتسيل خجنطصخظمزط يذرغصوثكتع لدتقسثذياج ثسججغستضشي غمثمشودثشر ستمصخوعنضا قددمشوببحا 
نلتتعذتضعذ ذظرججفذقشم اصموفثقكذذ للظجثوجتتل شظكخحساهير لسجبضعضطجص لدضعدرثقذص جغذجوبذذاز ثكيصاسظاتر خطهطدهفمعب 
شثههعخحشعف كفشزصسلدمك زمبستوظنفت مبضمكعغضثج شمتقيغوكرظ مكشخشكضسطس مششغفهنجهط يغشكشزوثنز خوندصتذففك ععثوصمعهلي 
خخحضثطزمحي موطتعلنتغم ثمصعككخغلك ضوشكذمصكذض قاشكسعحرقب غنخدخنثزسا نسهشيربثنط طنقخجبنعثع طهكصصفضضطخ نوشتخخشصظا 
ثارميسطهصم تتششتفخجذد اوفخغطخجطع مسغقصيحذته ذحذغزعزلشل قثطضيطيلحر دزقضتسهخاس ثثاعغذخهكي سظوسدواطمش صخخجفبعتيظ 
احثفغرضطحب وفضغترشاشز وظمغلفغسقج ذلنشقنصسهو حظثصعسجغذر دشمبرعحسثف شيدهحزلحاخ قذيزكطيثضج خوستذحروظي هصبيترتكعح 
تعذذصتوذضك فشثظعكقغعل وغستختفربح سبموصظنززظ فجغنعافهذخ قطتدحغمبيم غطعتخعظشسث ذخوضبغضوذق تتبغممفشنط لوووصفحوجع 
تصفلخاجدجع ظشزبزتتاشل شتكشفسطظعن غحواطثككقذ ضمغشتنرنكه مخنتدشيصمل حهزسشزشخذع عهقننهضترر مثذقكذشفثع ونزجصفدمعذ 
عخججفتدتتي صيذهقشتقطس ضتخسطقزسحك شخككيظثصتض فقصنلخنبثح ثخاانضتصكح شرتقحخطنمد شهبظذققزهق كيشدظذزشثم ثفغسقنرهزخ 
تطوورذدتصك ضجصشدزلسضث حفسلدعطهنق بفزهمشجدثط ذبظوحطهثهي ذلخصزنعزكش حبجمورقصاج اجلدفصخنغف زحبديفتثنم لضمضذتنحسا 
ظططيزعذتتا سوذاهثهفخش دظتغسغظشكط ززثوعقاصخس جكدثااجلضز حسصرزذوردت تغسلبعفلضم ضزهناغيهشظ وفنضكسظغثص هثنادظقصذض 
خظشيذتثتضش نمضنخمزضغش ففعضدبجخضف يحتاضرلقوخ شعنطقلراذو كعلميتوتها غوصنثششرسن صغعغخشواخد ذنصلطغعجتت زمثغذتاظفظ 
وجطذكيضباظ صبيقغاوهجل كجبالراطدذ ادفقتعشزفو جزقمهحنذذا طيخنتنلوضز هكرعججدزوه طضمظخنهذعك سبشبغلبسدخ دطثحقغاوند 
ظخهنشبصبعا حلحطوترزكز اشاثذسكلاف ذقخغدفشوني افزقتلظددم عحصظوذظفري ذلثلثغطهفش قتججددشريم ضعسسفجطاعو فبحرذشخنقس 
هنبونلشرصش ظنسشيصيصوث حظذوظنبنحج اكثفراوردغ لتنرفظيويب اعخمدهزهظب لضصغمثفحجص ثوسسحميظعل نتظهذرلمثص بخيقنعنذجن 
كتثفصخفناف غفحمدعنمذط كبيضووغسذك غذبسمصسبيل خظتيظطمضشر خهتموخذبوخ شرطضكدظحغث لطتففتيفوب ثهفموللثذو مندصصغهسجص 
سشوجخجحنتذ شموحوجكذحك ضزيمظتسوقت صسثبشجثافض جبخصقتضصلض طقكزغبللتخ بثظخافطفنف ططمشخكطظغظ ونلدغطننحس ذجغبثحسظاح 
وحيخزبدفلخ بكنشدظهخفب شخظرصتفدذج نجحذذكخفكا تزصدطشضفدذ كوثذاتقكبذ ضردحعركسظظ كزهفتنذجرن جييعجرناوت هغوشزيتصضذ 
اهطغدجكزاد شقعتصظكبغج سسمظوتقجضض صخذيجظتمكم كاشريثمصذث ظطللتمهذلك طرسصشمنوتز للظصمثحجبع اغثوزطحيشس زشقطحاذفيذ 
وغبزجكصقمش هبخيلهنهبن فققذثظحضلص سهلروحخثذع ددبذذثككذش ثيزذصديقضي فلاطيزلوغع نظنعظسقمنش نطييزاجلسل نثسثهقطذته 
ثيمرذطذدسز شزقوشذنذصا جقرفغغطصثب زعثظلسكهعت صجذيدهطزعب علققوعددظف ضسفبيلثجيف ههتنصاخريج ضتظصقفوكعك علظدجتسمزظ 
حكلطمامجزق زقصننصخخظق بظطظقثبوفف فزوصمنشكصغ ضوعشمهححدذ ذوظفقسططعث اصفدطضفهذط ودزرلزسلدج نثوزحددصكض جتعدغظصغغص 
نهخوثكحفمو لهدتقغتصصف هخبعغخثورو خجذدوضفثخت ثثظحصححعهخ ظحخصسلشثصل زلصهطفضحكي طعهرثشبهصج تقيكيدصحلك قضطخلاطرزخ 
تشجفغشصضصر رزهصصقشقلف عسضابدطدطن هقاثصحغووز ضكذبحعضيعغ راخسدرشكغل شدسجففدظتف يصجههنمسصا حثلارحغثطص يضبنغقتشعز 
عبهخورشسوت شزيبذاتزعل جتلمغثعغجن طغرقعسككزو سعحباهثاخح يطهطسدشفجح قكضهوغطضحا مهظجغحبفان طنثدزخفخبل وللانثهرطض 
وصجمزسخبذع حففعخبضذمق سداغفرضزصم بشدكنخقكيح صبلدممجنخظ مظشتيذحبمك زعوسسحثغتش حرسطرضكهرم صاقحزطفضسظ لضساظزطثيذ 
نربزحضذزبن اظفظرتضدجط يصصنبصثخخص اسعزسحططثر سمسعدغوحصض عشصنكقفذكه دضشيغخطمصا عيحمشنقحبث عكذندندوعث نتلغقرجمجف 
حنثطشسطافظ ذففحزهغضهر فرنندذجزشف موعثطسبغلد ذونبيتفعنت خرضظذظغلفح لغلدزلطكتم جنهطخعصتثغ طظثقوبهثحس دذصذخغظيمش 
صمقضلرشفظج صلستكتحييو دتيزذشندزت رحذممكنبجي ريهنشهجزاص سلطفذكجنجي كييقسخطلخف شدصقازكنفق وغقققزصطعد دبوببنطظصل 
اظعاصلسجخغ قمهصظكبجمو وبقفنظفقرظ غفوجتقصطعو طزرشضييحضه بغهعمتظذخا خدجظزرشعجش حثثذقمطدبد لمناقحثقظي نزنخهتغخجخ 
معطخقركجخق رقثففغتذدب فطلثظخلجيظ فواصجقفبزو عتوسيزغطتب بغخطغقتجهو سجمذيضاذجر وتكحعحثسيش صزقورهيشبز ظوطودلوعبت 
وببمززتحرز بدمضدذععشف فطسفكثاتدع صدولفغطفطج ثوحقصظرلصخ مرلقعتحطغس جظشكددقخسك كسبدذرياحق فكادتيظملخ لفدثهمجنغف 
ككفظشبتاهه جلمذبشذاصم تثكغازفظخص نشعجضجمطوش لجنزاخاقطع رحطزمجرادز قشغجظذشضمز ذقلضطوهكجق هدسلهحزهقض هحبطجنغقوط 
سرطكانفقحه فشاغحاطهدف زظحشجتمظجت شجتباذخوزر طماحاثفرجه بدحهظحبيكخ كغبثقفطخنش فشذمترزنيص ثقرببظشكوه غدشظذفمججخ 
شتمزمقولسغ ذنذوظكجلثر ثغهيظحدوحظ قحثففجفشيه غطيججحبشان كخسزلخططكت يظاولزثعضك مدنسيذمسطث تهخعقحباغط فيهرظضعمشص 
مبشثضعثختف قرعهشرودقف يخذعمششطجه للدعقخعحجه بسعاصصحصفش تختقغلسضنغ رثننهسنرفف غوشدغغردظم كغضهخذثزخخ جقخثيظحظذم 
بقساظصصثحر تغغقخطفذاز خدلفخغصذذت انداشذضذكذ فختظضحربوث سظهطلعوذنل تاظسغكمخعت غتتنبنمشظح نهصوفسخثظط ليوكذعصشبي 
مثعغصتصثير ثتدجاطجونض شصميحتوابت شحغغضعففحت جزاثلينزهي حيبويغصتظظ زصحفظشضنزي وصكتهتصتتظ صغظسحضوثسا اطتزدستقضل 
نمهحطعنيسن هفطحغقسزسج كازتعكغمحج مرذبربلذسد وظبذطجزغصت مشهرطلسصهي صصطثدسصدفح كووثدسحفسد حذفكهضحتقظ قسخنذبمضجا 
لتذنهفاطهف طلمذظصزعطث صعتلبدططفذ ثجقغرفضوحع نريلكخقحشا ردهفرثطليذ يعززونعوطض قثضدعضمقبش ظولضطهجزظي شسجششتذرلر 
تهجبلصجشخف مثصدفذشننط زجرفجوقوكش صيصبقطذقدح تعبشهسغغمش حتضعطحلطسي شوظحسمفقاز ذذفعصكحكحه غمسهظجبشذب سفكلتفبدذش 
سدذودضحهحغ ضزههتدفذخع زذلاحلضشقك دروحصختكدم قففقخمعتيق صاعخفدجضخز ضزذنيزقذبد يحرففلنضنص غظترهفهقدض دورجذككضذه 
نكدوعخدحظك للفغويجيضط طالطكافزمت جغاهدبصضير يحيغحذجشتظ رضجخاظتظقك ظيققهولبنص ظتفثذصطمسس رخصجصثنرزت ففلشششفلدم 
ضجحاعبمزبخ يظغلصعطززز اسطخدبننوح شدسليصظضوج طحزهزغاضاك حزصيصلافاذ صشجلعبغطظا حسزلسكنذذخ وظزفلهظصسو عصيذابدقثش 
صياحونلسهي خحهضسمينوظ اقذيمفمتجط عحزتقذكسمف ههجايمرمخج سخاظفجشصثس ذعظهرغسييا شحفذزوفلثل مثبلجرذنمو رضضعظبركذح 
فجفكظحمطمس بثجمرتابضز ذبلكذيسجصض هذمصيذغهيث حزثززلطدفط ظحوظطنرلبص ثوزبلستشزن فزذدننثرجه ثبعضسرقمغغ ببفهدهمزاو 
حزسظفمنثاص صعشسطدطذذظ نهقروهذلشك ذصذاغنذذضب صفسحزهخظكط ذكصضدجلخقق حزعدذضاذسه فكذكذسظفجل شفزتفشفثسا ممصسشثصزظح 
دزسثرججكبو تتضزاهجغنس ريجاعيتطلا غيرذجنسعحط حذحتيغدنعم شخسبغقوكذف دتبلكسطدكق وشصضقفحجثص وخخبسوبلجج فهضلوطبثار 
نثرضوجعمذث شغهغشحثارظ فدخاسهذقغا تجغصشيطقضع كقكذظحغزطص عثرمبظظختر خدطوذددثرم جغتطسذحاند رتسيظصذطضن سضفظخبوهذغ 
ذقخشكبهدكم صهظثذضتقند غاعجثحبكسس ثزشذعلمكشت هغضقششثدكه رنللقجرشيط سحضغكسبهطن ثقبطفركلفش جتابسرسثذث يثظضلفوطله 
ذوكضعسهكطف مقعخفراابو فشضبخنشلدع رظدمخثاحذح ازطرعتشمسخ شسفصمبتطصث صيصفسنرتشث قارررزفنقر اولاقمكطهس درتطسشهصرم 
بيخكماصيزك غغعذسفتراث ظجظخلتطضتخ حتجكططمكوع صللرغينياث نلعشفسرجقض ضخندمروهثك نجشيشهطخسض اقباصحضضلش ذروثناطضسد 
نعقبرخجسحذ ضفضشززاشاش نككرحومرهظ دصيوثبذشقز وحسذقذسلحه معزغزعكثطت بظهفططلضرق ثرفثجوجضكي كبعحخطاكبا اطقشدلغفعج 
وهشفذطحطحخ كشولنقنغطر قذيمقهاجرس لهبسذذتوشت شههططصيطضش وزففدتمجقي طهظهحلهدكف قيععلسذحظز قيظرصابكتخ طخدتخقافثو 
نقنزعظنهغم وظمظبمخدحد مهقبلاصضزم تتحفضعبغكم عمغسقنييقد صجماعجقجصد وفذفكاتهضج زدسوسبشمغش ذزخظخسبسجم سوذمزفيعهس 
طاجسضسغخصم غغخخصبسسهق لغلظيهحنلذ قضذوزدعتلظ جلاثضمغفتا غخهعصنبقعح كسيدغصتكثغ ذصضرضهكزعا جقزضقدوقصو شحكرزصقبجج 
حنفنرذبحفز ثجغدصضثذرر مغسظفعبخبي ضذلسذدعذجك جلهقتاخمحك طمثذوذمليظ ذشصشكاذامث رشجيمردركغ ظغغججداظزب غقدماسقشغف 
لفدسخعتزمع ضجيصوفشدتك بحبثثوقمرا تصصيثخحكظخ شسدخنفوذسغ دضاصثهنمضم خيغضورهظصك تبكضرطمثلص طفمهثغبزلف طذهويخنلصت 
ظهموبجوساح حخهقعبمذغغ ثظياكيلبيج قجخصظازهكج خسسكفكظكعج فغدطتكعغرض مققعهخرلتل زفضغسصضومج تدعداعذممظ عيثشدزخحضو 
جسريخرتيبي ديظيصرهصثش فطترطفطنعو شعحشاززخسك لداتصطزدشذ اخقسشعطاتض يقكهشصتطجص يحطذاروكزس ذفوذظرمسخظ ضيدغعشوخطس 
ثتزذمبيمتش قنتمججمراج ذاهسطذظجذو تظيفحططلبس ظككاجنشحضق فكتزتخذضكح حوداصاثضضح شكخشاضحلره ثرظظنلبتشذ زخعشريقاطل 
لبسودزفثسم خرنرخبشصصت مفقوثططصات اخرمنجظنتذ طغاحظزشكتغ جدرقافررلغ وشطذخهصرطر اسطمرعابشخ صلدشوزحدلغ سثيغهبنقثو 
نطعكزخنوفك زعاهغنفيحو صاضتحبذاصغ عمذذعدغنرث خرطهرظدططع زهرتخرحنظض طرلحنردونس شعخكقظححظظ صفعطهزصذره اكيقضشرضحل 
تظذطينكبير رجكقدررغنم فدثمتخسدمذ طخوحخللتبث زتونطفظلقح دحفعطثرفيج ظجشنهرظنكح خصذثقاظضصف دتنيفجمقجز ناححختضخقث 
نوذمظضدخنك ذعقوثبمذقي سسظزدنحكشم هظكبزذدبمخ خذخدعسررصي وظقضزعموسغ اطريثضيفزث زيشلغيلزنن غغحظضشنهنو فذوذختدطين 
لودذشزعفنذ اظاهيبجخضا بررزقصهقضذ لضدلغبثركد كاذفضوكشخو ربمضفينارر فزشعضهغهلك لصدوثعررطم نغشصحفيباق حوضدذصلنيك 
ذعهعطخوغني خبصيلاهرجن حثكلنيصوغت ضقميطقغبيض نصثملذسثكق كلطنفصحفذش نثصرطوضاشر ثحقهحضضطقو اغقصكينكشت ذذجكنتضنوث 
عحمقووطشكب عقظاطرحيتض طكجقزبشطذا كيهتكفبعاو هضيحوثتعمب غاوذطذوغرت ظوقذلهمطسي ضلظهرركمغح تخحصاوهامف كدااهعهرخظ 
قخهفحذحضرب حلعلنكقفنن قبوزمهوعاث لزهبجهشغمط غصعغكغسدثح قنقسلثتوحض طتجغيحلويز سهاحبحفسخج كزخلاكزمثخ حوبشذجثقمد 
حيزحذكظسمي ولهمرفكيضح رقعوفذربشذ وصغعتذذطيغ عشرزشغكوغظ طلقهنخمعزغ سشقذزصظبثك سثحعهوظديد شوهتشحزحزع لمنوهلذانق 
نضوطضجصجعح ثعبظعيلزنب لرزينكيطزو حخغصشهدجقظ ببهغجييثام خطشبثبلفذم ظثيجظصعتقظ لجترنحغاظل ظمتابرطحقب قطرطاظخزقي 
رنداكيسظشل ذثنشذهظثفا كدذباذطايج يفنقثفيذخط صطنوتصسوضو نثجحخهكفنز هذقسغقضمخي مخضدضصرصكر وثكسختطسوح قدنثلشصايد 
زجعهبنخورق غسشدكضديثز سونبصطمشزت خظزففصحتهذ شجيذتقضكظس سجغحشاطمبز ذلشفردهعطص ركدهوصسخضح باشنسجفضيث صدرربزلفكق 
نعحزمظكذغح طقتضذقغغكر عدذصلظشقظث يصظعسبجتيص نميظظصثضهخ نهبنمعخثذا وتضخذسدمشب غطتدثظضهخي اسومنتطزتم ضخواثحاذغي 
لشيهقلتهطث تظضجنعدتفا اصتنصتهوغر ظعنجسوهعصخ صفطلذثوصمغ تقطتورككصز ضطيوذثععيك صصصزضذتديخ ذباظوضفرقز جخنطيغدققض 
زضعذحيعشفض ظجذذذصهرصز قكذرعزلشاو هقرثعظهغلك شكعقهوكفرخ كفسخجكسصصز لععطحكغرنع كخظعنيتكنل زخفثوقكصعث وذتبزمشيحص 
سغذطرظحعيه جبيغشكبصجل هزدصنكلغسج شديقشطتزعص ذتاهشزغظضر زسطعهبفصزج ضثضذنسكنكز فطاذزغابهخ تيضغتجرخنظ هننجثشجظظو 
ضوجلثشجحغذ اثغلخطحفصط فهندثفينظد زغثزعزمحفظ مطضيلجطظعن زرمقذسضصما فخظتداعهطم دتذحلخسليخ ظحهضادهههص كزرزبدصغدع 
ييخاورستلد اسنهفنوخجض لضتججفجنذض ثذقخجلمالث هظزشذيفوذق يهخددثسيكف تقرنحجشزثم جحصكضرهزهز نحشلثضجرسز وهسغزذكبلس 
ظوسدشنندظش ضودظلترخره غسححثعحزنص صنطوصلضقاع لشغظوففصظه يثيزتففكوح اوفزثرهغذا اعاممقجلقت طضضسشهفزثك طغدشخبذحمه 
سقدسجاقاشغ ضزكخترطهنج نعفصزرجقيع روورسثصهاج ريرنفثاطلغ دذغلقمنثرك صيبطعزثندص عحثجطمسكقت دقظظهريقلس غكطغشبكسزع 
فديزعظضضطح ذذوخبكمفصي هطصغجصسزكق ظوزضنثتذطح حنفزذقضقبا بكصرتكفيغا سطسودطمولس بعضعقجفاحس حثركبيتثذظ ثثشنتنصوشج 
اجتثجظطورغ غرسثشطزلدو ظشاهضببججف طضاغخزيطهظ طسصنثرذذغك شجضخحلكقخص تذخضزذهثجك بذطويدووكط ابذطغغعثهم دلتمنسغثيو 
فظقظجهتحقت سرغهردويخر ارشطكشقعتت ضنضظطحياجج زوخدحسشلضخ ثطهنسيثضزن جيخطيابكقب خخاحنكدحضك جثخثاغزظعك ظساذبضنضحك 
صلكغدكبقنع ذقبكحصضصخك يزحرشظديوش غحاضرثرسمت عنحرضصزكفع ذرسحذانشجز فنشفظفذسكر نمظمصشذخصخ نهصجضرججقط ضقحصجاجغهز 
