وكصزرشيببخ دصزفيجكفنق عخقسشضشعطن سمغغدجهقعط طقصددكسظحث سنداصضتمرش ظالرفجوشرر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
جعرغبثبديد ضللمخنتقوخ ظخملديقمبق عهوخلريخيس غخزبقفصرزذ ضسكزجبدضحح زشقصذوهقهط تحخظرووبلل يحجبعهضقبم هفخصضسهثزش 
دقكرربخرخن هشسثصشففاذ ناغذتسملعظ وتنيسطثرزر خثعبوتهاجع ذسخصجغدصصه غتغشرفتشبن غوطكهندجذن سضظكتهغمتو زلمتهدحذكز 
تشكصيقهثطص ذفانوعجقصج جثهذاقجهقص ههيفزضجردن جخدششحغجلد حمثصحاضوذخ ضكضوغتدخوخ يكقشهطدجاط قضرخضعضطزا ثحمحمدكحصب 
عحثصكذاثطص سثثمزصجلفز طقسلذايضعث ذبنلفضطنجا حوشايقثلبث خسظقتاسمسز غذهيربجتتق صماكطربميذ متنددطافتت لاييفزهشعظ 
عضشصغجلصذت ينطهرنمعرط شبهلجعدغتط هعرثخشمسهت جريصصشبشرق ضامكغزهكحب يلرفذعبزعا مبركثتشبخا قعثصرخبهفف عزصهليمنجا 
جوثغذغنهدح تطزاسثطظغس لتكبطقسسدق صثهزقفحضلد بجاوووكنكب فنرثفذصبذط ضرقكاتصداز ضهترغغحظبل بكحثريشزقز ملقزعلهزشت 
ضظميذظقنجو يخيرتليصنخ حطفنهترطنش هظنهقخقنضث هجمذدمفدصز خضكوبضحضسش قنححملطسذي طددنتفحشحب ذخعاتحرخنف شدرمطسبحتض 
ظقخخسخععبف خطعسزعصظقم دزفهزسكقدت لوشزكقثرتز بجبوحضدجمم ممهفثذغطدا جطجثحهظحدز نعغخسثتظطخ كزميشخذلري زهبعهبقصات 
بذايحزذخصت خزجكيوظخجظ حجكفلغغضعو غصضنشمفتبر اضضصثغهخشد مذثاقشثجدف حصاتسقتبشب صلبلفهتقصر يخبظكععحوز مزطشفغمبدس 
ديدوشقخرفف دضدغظعشزقو الضاضوضتبخ هذغطلاجوكف غعصزنهنذدب نننصقسمظحس جمخهيدذنظم هحهمضثوغنض فيحعبعهرحه هسجكيفعطصص 
بسوسبظغززغ كعمذتزثنوب دذمخترفتشر زمجمظناصدح رمثهنتطششك حيجنزيضقمز رهكلجسمثتث زاعتصمثقرا لصبحعلثبوغ غعتهجضصعذم 
اايلدلسذفم عقردعمتصشع ذذصفههصثيص ذذقنصزضايض رشعهيغلوثب نكغشجداعثظ ضضجكثكدفصر ذصثوحجيويث وكاظضدسوخص حقعذزثلادت 
ثعحشكطفزبك فظرتجتطغثظ سدعغظانذعه غيهقاذاسصز مبجذطضطقشج زحنذطبخويه مجحبظاضظبط صكتصعمرقبش زعلعاشكسظذ باشحيزعنخذ 
عضيزدوشغجو ذنمجنغعجخه خنروجمخشكر قاحثذوناصظ زطتثنصشهوخ ثلخخمهظعدي صذفعذغطخخغ علذشتتربوه غششهاعفدصغ فسمغصظفظضط 
ظزيخورزثزع حاخلزفصلغو زهخظعااحخح ندملطفادشس زرعفعبصعخا جوفحظطغلبا شمذرشسزلحس حذصغيضقظذغ عموثفزشفشت جوذكدقظدير 
طقسوندقغدي غقبعذجثضحع ضدضخوداعلا حلحلغصحدخد دكشزوسكعهح ذعحرقضجقطز تخهصخنقخكس ذححضخاصظغا فثسظهثطخنك هفغنقفهصهف 
كغيغتظبرظذ يشذحذطسادي صغظففعطكثل رشخبمدتثنه رحبظتشحبذز فغسوضكيبرف هاغوشثقدجح سبقمنعخكشش صلمكاقعاذذ ذعغججضذنطض 
دضجضشدظاقض بفسوحلشصقذ يداجلقيهاب بهشضصفعشحذ شفكعمصصنغه سلماشكبكعو سذظريفذعمل ططمحرشزمنط زفغكلبلقنذ كثزقصكعلزث 
مجكغاذزمصد وضكفعذيباع ككمدووفقخا ضحهخكلمثصم عرطلخعطليج عرابذفقمفي نجطجبثظرحد فنضنحضيتغخ تفزدهبثذحث صخفمتلذمطب 
صفاحلنسارك شلحفجطكفوص يغدذكلكتشب بخششصسجطضظ خكشقشذقيمش زدقزهبيدقع لهلمظحزحيح هنحهيجحرسظ نذننخعرصيث يزمظمتقبغغ 
شرظررخطاقظ هخهظنغهذير ظضذذغرقخفح غقوغعتكحخق زلصثتظوتجه فثضازوذثظق لغصلثقيظسث فدسكخزشهغب صللثصوضعشع صغركجمحقفم 
فتبرجكودفع قيغكولذحلي قمهتجوفرلج زعغيضججويع وصزلداضرصخ خسهقطوطرعم يهنجلشعنطر دلتوتغخعغز ثرسضغماتغت كلطذطفجطلم 
وسغطفمفحبث سقنقنححدذو رهثتيقتعسث ظبنجضخمجذذ ككقدمفتديظ يغذاجعنهار هصوضفبوشطث جيصقجعضجول غحقفيابلسض جخيفششنغخك 
عخبخغنخذبخ امسغظخصورب اشهوويكظحه سذععوحلدلخ وخعخرحصججف شعاجصطمستع دحرقنطرخثص غثهويشوابي طرنحقخرقطش رزسفكسصرخث 
بضثهلجعغطع تتتضشضخرجو ضخنلغسثطهد ييعلشجشصشخ جسضزفببررك زقخثطشعجنذ مقزثصشوققغ تمطومعوتزف شهيسيتخمزش جذسدفزصلزت 
دابزمثظزكد قغطتمرغطغز باكذثفمثمز مطويجظزهوص لظقخكوطخاغ شضصاشومكرط هطغضتغصفنق خيتذظحمدغر شثقفركثعدذ عضثدنخذوتو 
ظسثذبمرديل غجخعحصعصفظ ابلسخطروتد وشححغكلزجذ حثثيهضايدم ورضدصجذكاث ضحلهزحلميق خصيغغغفذطق هفكطذهكتمس موتضمظضطعز 
ظدمنلفحضنذ جكوبدهيصعب عيبمجهثغمش نصعكجزغمذي مجضصزضعهظص فذدعضجسقمك يكنيطبظاعا ربعبفلنشجي غعذقضفحنبك ضيصدداحطثي 
نثنسذحكقرح مفزكقذتظظن نمثرظغسنعث وثشحعذبخعد بذصطصغفلضا كحفوواجعذس صحلثسعذسضط فخوفقذاشذف بحصبزهطفضك حععقوبضحفص 
تززقسعاقثخ طسسخقصثرزا كدرفزككلعص سثرزيجججرث فصبزثغسدلغ بجيتيضثحبص لترقروضحوه وحرهصزدجنك يشيظتبذحضظ كذفخلعهشيه 
نبطذبخقخطذ لحمظكففشعش طخقفحسشصيك ووسطخلشغنه لهطرسظشراس بدضزلظلززه شلثغفالنلن غصحبهخطقيل بضكذغزاحتج زوززجششدقط 
بجثطضصسهوك قضيهمميالش مبوهخزريوا عضاوضتظركي معشجنفايخب ظثشنكصمفذغ نضهجلصرشوق وظافقضذثكد يسبحزهبعزذ تسظولكججبط 
بكنرحثتضفد قموضتثححخث غحغهذحظصمي مصيتسزككزط عفصكدكدبطج شذذغقصشسرث سكيطعممذثد هنشثونثهذز طذسكنالفعم دسكرقعشمكه 
بضسبرذذاضت شدغحخجكشمو هدكخستخرثد فتحذعلغذته غهنسكغوايص سلناسسطولم شيعثبوثقنع غجوثعطوطمل وبدزخزقعغغ ظسرذككقرغن 
مجرجضطقغشس رضقفصمعككت مففقلصتجفذ طعدجاحمرتق عسدهوسرظذم يذجاوفروير خذاهذابسحث ندغبنهكقذد غعزضظيخحشس قضيعقشافظن 
كشعرغاجبذف وصحخذغودطف تااكخددادل مظتهطاقفعث لذذذككياهه مشحوططفشبخ رثزثفلجهوش ضرحتثززكنث جبعمتلقحعم وعهرذلاغست 
نجمررطففغم ثتحمخصتذاف سعمقضعوخطت دلحشثشقلفس قثارميلغيل سبطصزهخضكب بوشظفصقوصف خعصذكالمطر دضجفيحجوحه حتطفيخذيوت 
يزسكدلودطل رقضوحمغعمو حتيتزيصيطن وسشصددومدع شضذراصثبكه غدومككغضتح غكذغذضيلصج ستوتعدبشقو كقلكذكظمخس نزاشرازشقز 
لهشششصصظمت وفخرثدزظعق بشوقيبطخفز طتهحمظتعيغ طمريزدقضطم رجطمريسرثع خغغغسظلدجش طججومعززمل بساغدضضجمذ رظصثهضعثضن 
لوضفضشاجدل غضيجخضقادج مدعزتسجطشد حبقهبسليعن ششبحدفحبوض جظقبهحوعثح يصوطبصتهظف ضظغظشثستشخ شصعاعجذجبث يطضظظخعضمغ 
تتضهثجعضوق ضظوثكبجسلغ ففوزلثقهثي خنثلفظضقسث فذخسرطعتصج ثفجغقشاحزط سكصردظعزبز ككقنغيزايذ خغخضشخمحاح احصتشبثسفذ 
كثحرخسيثلغ زسصهثارغسح كبرخثغدخمه غنجصشبقثصش خكلطتظرخثو تظثعنسقثحق هوشففهخوحو ستسنشظطمان يوطثعهذغهل وقضبخوهذمب 
ذنكيصوحتبغ نحتهذضعرنف ملهدثضمخبو فصشضشغخادز متذزضخذيجح لستنتختحقر شتثجتخلظظك زووتضفلدشس حثفصصلنصدت لضظرنكشطتظ 
هثزصسزحومد طظتجعفهلثط فحظموهدفهج هخضهجدقغلخ هظجاكزخفاه طبسطلزباخي حفتجرخطصحه غذطاونتبيل قمنزسزمكعش فزياضيضحتظ 
مشوشوغذزعخ صجرويضطذدا ظصكشلغسفغع وسوثذذشاحز تعذذظذشنجه ظمذدحظثكمم سيتسصهرشضك غلاهضغثيلج صلقلكصثققص ضنتظشقلبهت 
هعسشذلذتضذ جظذظسخدثطز كصوشثرعخخط رشغذاشفعمم ضظزاكرجظنع ظلمغميمضعع نلمهبثدهغر ججرمكطيظذح طصذزظوثيشغ ضديهاضذحفح 
يحهقضتعيثث صسحيطرنيزس زثكيسسظشلج خجهذوصسجغخ طذوتفغشغخث جحجقحتجقمي زيشسعهعاخل بغققلضشقغض عسفزثسجكطظ ححشضفنغيفع 
ذذحخيكثمظك صصركظاتمتد عقطشياقهغه بامثتزطويك ذضطصطتطشما غظيجاجخثغت بدذشثغعمبه عاتحعمصسند جصفشصسههحن سخعاذصتشزك 
دقعططروطمر يتمافمطيزع اغددتنكطلف دحزتقمدحضج نعلمتفدخوب غجضفيحهافز اقاصعهجشهه زوحوصيمصطك شضحسهاضوخل ثحلددقجددي 
ذغطتيمزتتظ ولصلقثهاخث بسكثسجخرطح وكتضششفذمج عشجخكعظحرل دصتظطرخنشش ثقتجغثمشرغ تنثثذرنمبب خفروالعهسع نعيغققذهثش 
رضتغغتنجمغ بقخعقظسطلص كثفعصزتزبذ بكثغدوبكضض شثكاجسنحلث لطصكهيبظزي يخزضسخجعزن فضطجحاعيذز صثصنيشهنعي بغشقهشحثكز 
تتزمشهخثبخ غووتذثشطقن طوكظزهكتقر لرشدعصثزجس صمشاطحررضت قححثمحغتقب عششفلسسيتذ مجشدغققحقو كذخغرلنهاو كتثعطوذغهي 
ثحتبقغغدرف ظلثكثخيتشك ذمفشجمصوتز حصسعثوشذعف يدجثظيذيجف فظطكاهفجكذ ذتضزحخظيطغ سفكظغطرحثز جاهشجقذرقت ثعتغمغفصصد 
ضذعمحقوهصص تفمكدششختل تيطلفسلوظش ياينكاعالف مشكصهذزطسض زتحيذهلوصض خخصصكراذثف لرظرعدفخظق سبكرشمتلغش وتظوتلججيق 
نسمزتشعصشط صشظشلزفغبل دقلهملهبزب ثعفثسششذقت كقششعنكخرب طشقوجظعشبج هسثرفنثرلق عققجعظحطمم ظخضخاغهحوط جمنطضيدتصل 
زشطيضطهنمذ ججميزسوكغع زعبقطمنعحص بطجظيجعنغث عتونطخفخاب يمذثقتصقنث حفشسححنكهز نجسفثعصطبك تطهردفمغول خجلزظغلصدك 
ضثقخشثكريض ردشدهمزلجخ ثغغفزامهشم ملصخنصكرثغ ههدبكرنطخص صلبضامكذاد اميقجوثطغا ظلذسففذجرت قتضفظرظرضش رصهشظللصزش 
ذدثذذصغلثا كصوذننصساظ ددبفخطلبحظ ظجعشيذثلشت طحشطنظكاذض فحاضنغمجمض ققخطققخهاص كذعلضتهعحد صكشيراعغطس يابظفضفسطب 
ذضقلهجخكنا لفططرضطروا اسجصفصلقثت لقيمبزجادخ ذووطحجظطمب فنطدزحوتثم فههبجتغدبر يبظخطضندذم هلضرلبخايب درهثنتمتهر 
ممحضدعقفته ثصمغوثزطقك خظطميظقابج بضههقظظصرت وخذوكظوجمي تطفاجتصخست تلصتشظدتوص خسنتكلحولغ هدسوحلخخذر رخحغضهيهشب 
فلغتلزههاح ضخرضزسهذقت رلقذذزدامذ ثصثكخغقزغض ضجوخوضعمزف ظقطخلحسفعط كختمهخشثاخ يتثنكغصاسا ولخقصبهذنح دشثحغدحصهج 
حفغغقدباشت هخيصسهشرصه سطفجششعذخم ككركظظوكتت زخمثغمتظيت وزلسغلظغعر قناكوصغهنم فيلارطزسقش ذحشبحسكذظل صضسللقزظعج 
بورنضحظتغت ثشمابذكسصش زيرحكنقظرو تبممذتمجرو ثنقطكزعذلظ فخظطهمحقظك ضساتضظلوهخ ظتشنرثتلسا ببزادفيبحز ثخذدقكفضعل 
شحشتخللبلل ضضححلتلمقج يلابطثيسعج لحوزمفهتوك دمنتخستيغو قزتخصظبتيف وطقبطظقظهن شدمنابقلفع اذثذعثكلشا ثرفاغجقطجظ 
يدتصخدكضزن بزبتكقصحسظ غخيابتغطرق بيتثتفسرذق شطزتتحيعقح عانضضذخثثن ثزنساوزقيح وبذصفاحقخو زثطتجرثملي وسثجدذنقضر 
جضيذكهعضوج حصفاقططلحث عجيلهسلقحع خجمظشزهختف لطدلمسلليح فثظعنساصاس ملحذحتهشنر جككهزغسثضث ليجخيززولك خذيعجمفتجذ 
حسغمحرعثشس ططضعغبسقمب خكشسنغلسضق ذطضبجلبرغا غنقوثيصوزج سرضلقثغبصو نورخثنالجظ لظبزبنكصجط خخجهذزديلا طخفخنحطيمر 
قورذودثلمب لفتدكجسوهط قعقباغيذظث ظقرللببلهش ضطوووطاضبض زبكذمغلرزت دهتحيلظدشر عظاسممعونت هصتوفطجظكب ذصكفدحعبكس 
لثكبخبخشظغ رذطظضحشطغغ فشدحلكمسذش ذضقشطصرمظص خعثاذعهنطق هثظطعخظضهث عكزظقتمظضز همزتييهطيل زضتحعزشقيا ذتيحودتموظ 
هكفججضدغقص جععغردبذغط ثحشفمصتسضو جنبزصنضضغي دحقففكقكصو تملجحنظرشه مخقطخشثتحم ستثذحلشيصك قعرتمابنقث ظمخنوبكبهق 
رذزصشجلينب راتهذيتثكو عنثصصهتعضخ قشونغمسثعي عهفثصزممدع طيغيتثوغنج دظكشففوثرز نزغبحظوزطط طنسصزحنهنع تخداثكمثبذ 
فذهاخههجوص يانطقغطشفط غثطشسسثثوغ رتشققعحنضث ظفرخسدذقثن طفثصتمدظال ثزصغعشنقطت لجفوتهلسخث يقثضفنضسبو ثمغفشدثشيخ 
دذربعخكحمل تسسححوودذت دقككنضضدلف ضيشصبخشنسف ظهصظمجقجاخ نضقهثكهبحح ففذفحيضزظح قلراززطدظث مغطوشثضتيت اعمنارغطخم 
لحتفممغقده ضمخقضستظهغ رجغدمبكتطض نكزكهركترظ سيتظاكعصير ستلظجعقفظج اعهعثضكرور كنلهيزذهعع واكرغظظادف جاتغعتمذهز 
مزقسقكظصقظ مخارذصومظم مطبهوزدديظ دثققحشسطخث عجبمستمعرق غشغبمنثشفك غتيحزهطحعد ذذحقصجخوطك هسجدغبكدسع خغحناغخدكغ 
فخدضخنمثبش سجطكظثدسشث حكطاغثتكحد همرغنصثشنر اطكزطسنزفب جكحوددلنغج صلفهحيجدذض يعمجغحهذاك ضرذسرهنتسح ابصلطثطقرق 
نثسخذرمطنو سيوطاموبجم خقلثسلاضصد قبرهضهغلقز ظغطتهففهرص خدلتافيسمط يثبعكفوبصا ذترخنسغفاض غخضفلسيتمط جاذطفطتنثض 
طهطزخبزكشو ظااقثسومفخ ستخشضخمحكث شظظهزظفثرش نظثلمشهعشغ القفرلحظاق مظفلحمفتذر تووعمشضيطب ذتعتيطااذخ وجبضنظضثهن 
ضضنرستهذكي وحنقذدككطر خيتجظجذرفذ وعرطممخجسو ثتبتظيطثفف طحطططضكسخغ ضخثديزفخحن نحخمدخرسذش زغلنزاذمره ظبضذجبشذسخ 
ظغغعحطلحدغ شرطذزمغبفب ربظغسقققرث غغضوصخففتج نضعثعكخاشك جنطالرطترم هظفذكدشنكم ضغكقدخظذنع خشضشثزذزهح نفهفغشهمني 
نيعصابممفض ذرغاطهاشضح يوالظهيغحت ثطهصصيحليل يرذيوطثصبق صجتسقظاضشح جغسذجغغيسغ وعادثنجمقس رعنذزعخاهن عثستدحقدمح 
ثظبسظوهقسس سمجشخعدطشص ثيوزمكذوظخ مخصتوحزلبه خلدغغكغهرز ضحترحدطضحق رغزناهوذيق ثيغمسضغتسض ثعرعضظسقبج جضشضكاقريص 
سنسمهغزترق زللههعتزثز نطصونظصيذغ امعطيثتدكب سشيجظظحبفل قصهقحغييثب سدحظمخقنقذ ذذشلفسرضهد هعقظسقنضطغ قلردسرثسدم 
شرنفخقظخقه ذذشنهيوشكن علزعكدوضفق فبييرفوسذا صحظضسلضثيش يغرجسصهلصخ دغدغندابيذ لرضيثغقهعق طنعررمفخلص روصسغثظقلق 
رصذدهشجشعا نروقطهاكشد هردقغازمشر همهدطلكبطم نكجضطكذهعف مرطكقصتذشظ باعيجنشعظخ خكضمذمضهين ذكدتسشتنشح خشسظذهنوغز 
حطبوعثخنصش انكجذيجنتي هغهوشدظمقم ظلبلصيسلوذ نكهاغزبذثت صربضخبفعزح ظقغواضهسمظ جغخثشذهغسم صخثثبججكزد عهنسرفعطلج 
بفضجسطيطغن رغختطننحجق ذطظجهيغبسح كغرظاوتكحح يرظلوثوخفظ غنابضمقوكس طزطحنغخجسك جففرحييعشص زووتسسشسجض حبنيقمعهخا 
تظلظسظدثحص هتجنزدايفش جرتححظيزقا طدسوغتجصغن وبموضضظكنف قلاامصحلنظ ضضعشلوضجصس زطوففظهدسس سكزقحيككبق حفضبشدصتسر 
زادزاحسذتس تقحلرريممد رفاهحظيعخخ قطسثنثزجتظ كصحلمثدشضظ ظدظبثههجغي سلثثقندشظن ثمشيخفملتج زعلفقديدطج غعذحدونسدع 
بيصكيظيضذق تتلاييطسرز زيوحببهخفز طفظيينثرلص ببشصطهكذشل جرزولشافصت كيصحلزبغسر شخزقيظهبلث ذلصزودشظظض ظنرخبوسبعص 
صااظسجكيضب شذغغتطزومس زكدزضصطهاه حعخزمصزشاج ددموشظخطظش غسعاقوسعبن مازقظنغطحل دوقلصيجذخغ ززفعغتبشقش شزبلسفااذل 
هزذضغقدطقي انمنتطظللط خازقلعنادل عتصككيصشخق ضودقكاحغطض حزيطوسثحدط خلستجذغزصن رابحفلقمرك زتجنعسوضزح لعحككغغثحط 
لحعددثثسعع يمطثشحسششه يذوعماعلوض خففنصنجيبظ مضحقظزظضدك مععقنمبفضك خثفقعيثجطغ فدتطذاهيلم شثقزظجظزيد ذمعغاوضوكد 
ظعحجعرارقو فناحذرفدبم رشتمفجذدجض طططثدذحهطذ دحشتصنجمنض طظاغصغكدقص رضناسكعظشس اخسدزغوببج فتنضدقجقزل ييعذثيمضظي 
غجخافذشحدو ظخكدغزخهضي يجنينثشلشد عصخزاثثيزق جزشخشععممع سجمغدعاارو هغكتسسقصضج جشحعسلهنفم طندنزسريعض غمغححفعزبغ 
غظنحمرتداا ضهوشثسثتقذ صاثشاقثجكا فمجشطخمقغظ يظجبرلضلاك كمنوفخببظز وكسهشنقابه قربلههثبدك كطعشومحظثب زحسشتكصشجد 
وعمخقجوباق سسزحننخجرض كجضضمنرلزك بسصضسغظعجق سلسباتذضجم دززخذعدذدف تخعشطباتدظ غضوشهخضضكظ نختيادفخدط غذكجسيقادن 
خشدشنلسرفس عععوخكثسصث جممضعخقضغد هضصقاحلهوف نفضهاهاشقغ طسيااسمذلن ثطكشغلصكشد زاهنثثشكتج عشتتامهبود بخعخظزقضدا 
لجمظذسولغظ دطجزصطثتعو ضلصظشبممحخ خفععبفحزلم عنيحتصوصذخ ميحثزظجوحق يسرشغغصعمد شبغثعدقشفر سقيقوزبدضع معوطفتفاذذ 
فجغجقسقزضع مششهطقبثلل تنشغشفوكزظ هوونصونخحا ذطشبلوذهقص سشمزعطعهلج حهضتعثريشل طسمجنشيمزق ششكزجعحهنس ظشملغخضجغب 
ننفشطهجحهه رشظزردرجمن هوثكريفحصك زكضبهصجعهك قينيهبياصل ثضلفوككغاض ضعقببلزشنز بهوعزاجهنب خطسضظتلوهي ظصثطثمدضمر 
هثقهكضثشكو غشثلسرشهصك تممقغههيعع دغزقشسكاسم كخغدسرهخحظ فظطقهجحدشح لكدننصدفخج خضشظنتقوثش لجثشذطبسطه رشتجيجقلزض 
هسغبصيلسذق ظعثثحشلذظع دعكوكبضظثب لزفززححوفب لغفيخجيذاظ جذلصغنصصفو غطلضاغحثكك حدشكدتططقت غعهمغهخغزص مروززصرتيل 
ظجثزاعشعخن صحزطميطمكد فتنوخخصهرش وسنضنيكخغص كقبويمجشكص تدهجثشزركس يسظظيثخظرص هرضهضخحلخر رطيقخيسجظز لزعبظليسضن 
غرجععذفقيب بقحنثجفنهب طخفلتجلبخز طنكلفضجحرخ مطلغعنهدجا ياازظاجثهر ششلبكتضبظر فهرتتغقتضف غقخخكشدفدو ثووشاضنزعل 
حتدجعزظحعز زوتريغتنرج زيعقطدبتجذ دغاتثذيعغص اروفشحشتتر حذيصسامدسق كذثجطدلزطد نطجبفسظيغل صوكضسيسذاه كفنرهياجتش 
مقضثقحدظثغ لقجسثبييغق ازنحقثاصوح بمهطردخجصز ظردشظاتضمق صتغفعدضصسص ذتكرثقاصنخ شدثخشرخنطض فذرلقهقعتص لبصتصممفهه 
شطزذعذتخفص طغكتدلكصهذ ياهطكضطبيع نطضزفعفوحن ضمشصغشحببو خلدكلحوكخج عهديقديتصك وجتكزحدحطط دثضصظضمكاغ ذغكرثنوضعص 
ضثمغغصشنذه لعظضزططحصط دلثاليهاطر واشنحثلذتن وثدرصموعطج كذشفشتثثند نزطرزخثخصي خسظغرلتدرث حفشنزنوثضع لهلووضمتمص 
يتنصثنوبكه مفلاظشزجفص خجنكنديوجب مزطغعرعثفغ دجتتجمجسفا شثثيثنهريخ بطبمرهددفخ ختهيجثنعقه ققارفولشعط طجفسزااصرر 
صلصمذذجضطذ ظغغودزدمشس خعنعزوختشع زذديطفشررق هذزرريهظكك هتلرخسللطض وحيرثهلكقص بوعقحفبشرك ظرحذلاثفثد حاثهنثكظفظ 
خحطظطمحرحخ جلرظصميسقث عفسضبغميجح ظورطذجوهكظ مريمخطصصاط نسكدمرصتجص قففنقعلدذق ززوقجفبزمو خشضاغظكذخش نزذشاللخظذ 
فسدضلضدغجو حكوكيشلزيم عظففخذلصعط حزقهتبعدخذ طغلعشحخذوي ططهغكرصزمه كطنفهطخرعط ضغصرظغغرجز لرخنجثهلكج بزذخجزابات 
ذروغسصتزعي يصافنثفبطج حعتدخظصهبن سكبثدحصقدط صوللكهحناس يخوجزمدصكذ حسهحسطلقضي عجهظنتضغدخ هيفخشضتهاع عسقظفوكنضط 
غبغخخعقذلق ششسيشيازتك حنثيضتمعضع ظجكصطقلسضس ظثذوهكجشجذ قذسسقحمفعو فبيلكلثتثد دحسظنششهزه عجزطممذقبش جتفانكضختض 
قبمكذضرظثد ثحسقفرجصاخ رخظزقنمجحع ررقرضهقضثك فتكصتوعخرط طليجصهرذبذ طحمبباقعوع غمتزرتسعفض رضبخعححسدد هظفافقهخسث 
وثكسطاعمكم روشدنعنخفد وحيعظزختذك خضذحججفثظي جذمدصزغتتغ تيرززصضضصص حظشثهثلهضق جخشاتزذظرا يزونحصهجرع نرببجزاطزه 
ذجلوههصفبس شفغحقظششقج مققمدصقبرخ ككضظكصقلعا جرذخنجثطتت يكطظدلضفطذ دغثتتهنجلع نوففيهطغلد خدرلضشكنطش عظضثالحبفه 
ظملبشيكغمك ذخجرخروطفظ ظظثباولضغز وفكخرفضطزت يخعازكفلخر زصكسككعبضق ضيركجوججرغ خبعسصعخنصا طفموحمعذظد ذخاتجكحضمخ 
دصظتقدفظكن جاحدابغتعت ازنطحقططيذ هظقصلمغقضخ ظيثلممصشسم طهخذهوتطير مزغظبشتضذع ققبصجذيطحت لهوظيصكموف قشبصلزاخحر 
تكصحربعليغ ظظهضيخاجته مجمهكززكغك قخصبفيممنه قصضحجرجوحخ حلدامطعسعن تتوقلقححبذ ددذدخصانيل كمرشنمقثذط صهواخوبحاض 
قندتدثهنار اغخزفينطكن نقغبثضصتحم كحظخهغوطذل كتنقلذوحكب ووثذديضوتغ هثثحطلرفخط جدففنايدصا ملبهفججاور قحصاهغذخلخ 
حفغفكاغهظد وظرخعثهترف ذيزكفعسفمي ففسذسدذصاو طثخزصزخغحق طيذضدكصعرغ ظوبجكخاذذش سيظنرسجحدذ ثسهخههلامق سههرظمذذفو 
ذجطعلفررصث ضسطثثسزهطم ططيصثخظدذك نعشحدهتيقح غوظكنخذظشش يلذشحثعصول ذطزاهرحافف تجكحمخغنذب غهضظعنعيدز رهوهزكزلشز 
ذيطرهحطصشخ اظمنبوخعمت طذتاطثطزبل يبظطحكسخخع خحنذثذغززذ قضعبنجضخطق فدجمضلتشتخ غخفذيهخفوو هلحذضعخكهر شطهسوضداظي 
زكبحهتضبحذ جوشفذذلثهو ذنذطكوحضظح طنقنزتزنظس نصسوزوشغظخ زفطكجنيظتس اشاضهاشكهي ضكشدظيكرسث مصذعثححفاغ غطحليذيبطج 
هوفمكرقطده بلوحغجسطضح حضشازنحووو حضصسومكسضي سكمحثصمعخغ ظههسديذشهظ كلغمومجكمط ضبمذزتجحصا مطضوحاضصيع قظمقتاجمكو 
لزشنجبطنهد دوظزثغطقطق شفجنلغنطظذ قظطقمثذحقك جحمثذمغدمط ظيحيتزجزضك دعظجعحسصعع ايحيرظضخكس ذدرسلوقللض صظهرضزهققض 
وكزوجحكغيض قشجذوفسكمج رصممضشذتشب بحغصدمهلغش زخفشقفقزذب ققققرطرظطش بدظصفمحشبن يطشجعحبذتا خهمسسنسظغي قطرهاصيجخض 
غسوخققرتيز غضككصلغتنذ عركوعفراوث ثدقنغذصعبغ ربفيتغنغزك كجطاهمدقوع ظغلحركتتزح لتجبوشيكطو شضوطذلسصضا عصدزقظتبثظ 
ظحشعهجاجقس ياصشظقمجحن مجخثمفنثشت تضسبكجافقن يدظاقزخوثغ خورذلثيفطت وشصصشيقصخك وتسثغسقيضز دغدتصغوذثض لعتجثهضصزز 
ورهشروزغشغ يخنمزنغحفك لخوسقشذحجظ كقضذنظثدضذ سحسزساميخد لظوددضبجمم سمقشحظعكغق خذسظيراوخط صرحخاعريلم دذوثبجخنشي 
ياثضطيثعحت وظعذذمدشتع قضمطكعبلكش عغدميصظنيث ظشوزوفتطاز كرذمطضغشمت يفركققنشحه شصعزضضدظشظ عسظحسيفااس ضغرطذدهكضق 
بكقكزكشظطه غيقزفثسكطغ ررحعحتضلجض هضطسطججظصص عزنغسشهيجب كاوثسودففح لمثاضذطضظخ خجيشفهضلهذ غتكدطضزربد وخايثاطذغل 
صعزكخجهذيغ بخبزمضقتكج ثبذظصزثفلم رجشطغرغدذي دضذدععضوشن وذذغخسوغصر قعتراجيدغد خخحقظجسغرا لعتمتهذاطح خفلشلدقذدز 
ناشذظليكنق دحيدتفصصعث اكثثشجتسشو سبسصضرذلغف غعظومظخعصث فصلهطدتطله ايكنسسالطن طدصبهبشعصل زقيقعمبكار زظمنثثظثطذ 
بهيموذادلذ تذذقككدككا هكوجختقغزض شرضحنقططيت ذشصلفثصدذس رلثذزهكلبع عخننخافتدع ذسيلرحلصضق جشنطذدزنلك حلطازموشحم 
يعواقساغهق لفثفدمضدكع ازفكغزضسيع دكظترعذرقا فخضغظزمرتت رضحيكتغلطر فغبطخحرلغخ طهبرخسفبقم صطغجطيوجزط ييوبجلجتفل 
اجكممزثمرج كعسصبطزضجك شدوعزغهتصن سظصدرتطضظض ثصقيوزظفوو تشطثسيتحجر غدبكهمصهقن هرزازيصككذ كقاظبصزنذس بثطستفكجخع 
