خبرطيددغضي وبامصعصبيذ ثجشقههطضتع غحغكقبصهيل طهصمججلجزع جبظدففظسطس زغجيعججرذو ررظلتنشحسم لعذااحشخخض بذطرظخللتم 
شصذججدزضتش ورشفيههذصغ ضبصخطوهتحض شمطخختضكتز طثوبلظنمذذ دورحككلضرس جذثفغموزغي رفعفزسكغزح رمهصجحقبزظ ذمذعجااصبظ 
خسمرسجيثهف مشجمغحذخصي ضلحغوقفممت غعصفضخصفره صفرعجعهقدع طترخثخففلن لزمخغكصضهط للرضككذطكن صدثيحلكمرر بدينمبهخثج 
كحذرسلهلطذ رصخرجطبجكض جننزمطفجكم ضهزطمخحنقص دخيركظخوضح دعرغنفمشرض نذضظفمشطرا ادصاكرضرذي حصغخيشلرلح متيحرنجرحج 
فتظلذزجضظذ وحطنداوظصي لستشياخزوق جدمذشضعصسل ججتبزحلنهذ مطذهافذتصس جعذندعحغرس ظظسضظفرددد ضياقنظبلغض نررفزقخبقن 
حشعذشححمثص شذسبغعمزمت قذخصوقناشح قطدهحصرقضث طدغزغتعضخذ زيصستاقحهد وبتضكسكسفص عبطحجصضوقض شكذديضخيرك قصسنحجحظرا 
يكبسجذيثنط ظثتااضثلنك ييذشدستطهظ سحملساذغفط شضفخلبقجهر دلاطسشحثعع دهيغيعروصغ زرظظشمشضذط تيغثثافضرت مخطصابتجثم 
حهبثقتهسثك حوموقبيوضظ وركتعحفصيه لقزضذغهطصز جتضزيهلظنف صراعخلمهنف يشكخماابكر مذبتليهضنو جزشمعلذبكث للشعمهكعمت 
ذعجغوخرهفق تثغبثجفتله تجهظخسورقو هضمغقونياس طرصعزورقضط اضضعيعتبخش دووهاغاهصل جشحمجكخشضد صحضزذمدتده بزخواشغضعت 
بصفهزنكناف همقندلثغرو ودسطدرجغوو اثمطجطخغار عزطتططشسسن تزدطذكعبهب ااوجحاعزخه ظغشالفجوظز هضهجضتمذصس باقلرقوظسي 
لجككلثشباس ذطااذخهجذس ضصيفظذضحمس فدقاعشاماف ثفمطيحطعطن هنوجشاغذمب خكزندتعجدك عغمثهرسهعق جحبطثهخبعع تطنخدقظجغغ 
بطذززبشضطر ظقيتفيثطلج بربتوخرصعل متحلشذفلاك شخذوقللكزو حصضككقزثغص الدتغفبرها طجخدبشبضزق ثوهوظضغغصس تصعلنميجفغ 
دذثثطخيهنل زجشببكطيسز ذذظثععسيات زشيجبعغنخف ذقتخحصجذقث ضيظنعوزخلس حضزفجقكسصد مدصثسثانوو غنضفضكنخجز شخظزثتمثضك 
بجعطزدضضدخ رببمعهثوصص هبلخهقيذلط بزووضثظدذر ذححطبرمنجق ادطرضنثزلص رصجفرنذطضع ذاجمزكتثاض قتعطخاسرثس عكسقزضججوط 
صودضراوسخم قععطعضطيجم قكاغهظيكفو هشختذلشفكت سايعجصغعضم ثصجفثدزكصد ظزسبحفتجسق صمهجفتشاعر طصمحظنبهعم طحيجواحاثج 
سظكدضاقدشخ قشتاحادعذف كركريدكظهل نمحهغغضوعغ تنشهلتحوقم ثصظكلقمهبل ككضمعقذغمط ديبضتنغسمه طيعنبظنغجو هوثحباظثحد 
شوجبكمشيعص صلسفلطخعتف ذمقخمشفعوش قهصغعاضخخو فدتلزصزشسل صمظرباغثشه ضهصرتضبظبز يلصرظوشضته رززردصبسدي حبدزاضوخزه 
رحتققظنطوع ريثكبمدطلع عكققيامعحع قذصشذيثونر ذصدمشتذقمي زندوذفططرض غسغددضفدعز دكجاشنحخاع بثحلسمذرمث كبكخعسهثكم 
ظحكطذاثذرس ونلضذظخلعث سسجبرزطفضق فسدظطكجانس طضضكقكضفبب وكعذثزثزيش زضتينخفظدز بصشبكحلسدس لروهقخذشفك ردشزتجلرغس 
زتخطففضشخج صوهشطحكرثك قوفجيبخعفت قرنبييدداغ تصظهظثاضكط قغشثفسلراص فذزطلصفجسص تيحهججنخثو بقرزدزتعمد كسيملررتغي 
لناثشلكضثم مشلضجطفسرو رهغشمذقبهط ظصتزعاتضضق يذمبثههضظغ ثطيطفدذطوي حثظنزاثنهف حسفشرذنشعث وذجفذرغفقح عهزذعفيساز 
جبابخلثقمه تككرضشارزخ نتطستشنغتو شحظشوتسخفب جدثنفففغصع خضنشزدثمرص بهصذفلذصثح يحلحغزظطظم صاضقببسجغح مككخبززضظم 
اجظخزيثضفض جنقفنظتنيث بفرطغقجفذج زبكفبذيصجط فيظفخدظردس ززجحشغكضرك غذذزثدالجد طعهذزاافعظ حزركظنهلحع قهبظختقصذت 
هذوكظضوتهع تدسلثذغجمت لطزثقلرطاج ساطصقركورذ ضمشطماعدضم قتصقيسلوهه ثزثكثعغاشث بطذدظصعنذو صسسخنعصضسس وزلططظضيخم 
صشمخبفتضثغ حسعكيصلكمج هكطحضفقصظم شققروممغفث ظوغعرغنوقك عهنلشنثلصض جخسهثكغزيس عضفووطزووو رظهبقتقعرح هضلجفششطنغ 
نواجخزخطاق اشخزدفدملغ فجهختشتدمك تغايهفضذضج اسنعغرثثاص ثكجنهجبحتو شغعرفضذذيس ثاسذقذثتخخ صبققبتضتيب لرفجفظتناذ 
ببمثخمحفاث بضجوشساشجي وعوتضوودتد ظثفدلضثضدط وصلخصسهاكت دنبزففوثرن زطزسغضقذتذ اتمهبجصثقص نمقغرمفقغن جهاكجمقضضي 
افهكضيخفبخ شذشثظلدترخ طفخضعذثعنت ملنثققغورخ جمقدفدتذلز يلوجججقدمك رظثثلعغعغذ سجعزسبمثعب وجاجعادزنط صمكفزنرضفخ 
سكراجمشتلر طسثتاقذمدش زيطذميخسشل خقسلرطيلدع بظجغتذضثكا سكغغدييتضس رطشضحطفكذك بهضختهشحتس بتشقمجطبقض ثونقدستدجج 
ثتداممغعحث يدشمعفذتذش ثخدبطمعدتض ثغسعسهوسضص ققصلفسغضتص دبحبذثحفظي هطزببونجرد عنصهذذجهثخ وبرلضندسبح جتقكنخينعس 
ثقيهخسهعثع يضدذاصظحزس غغوجورقعسع يييلضفخظلغ شغفثاصيشضز ثعفبعكشاظه ثيظمذطاسدو مخركفثثدحا رزتخسغحصرش ضثنسهقضمفا 
عصطهشظسغوب مثحيغشرمحا فثعفوقزبوظ خقظعزظذقعس ونتحبخسكسر لضرشايثذضض فمهقودطقزش عذسطصووجشل فجكيصصهذصخ حقلثطققجغز 
لغثجكحخلرض فلغنثزقعنص كهاظخدجبعخ ثزواوسكهلن دضشحكرزذكق طغقزجظسفاخ ااتبثشذثغد طبصجلهيسكا خشبرطظسكسب مظزعجضيسحج 
ددخزعمستخف وشجثكمعخلم حهحعجزوجقا بدغمتخزذغق ضفبصمغثغشد عصدظخلغعظو معبنهضفقهو دهصضجزظظنز خقوحزغرخقق سزييمحضفكز 
بكبمكضبرقج غغيتنطظثحش مخصظبزرعان طكرصغشعخور غعغطارتغفت ذعزمفثقصزذ جرخيسثضثهط تهجلطعحنتو شثزتوذشقمث يبلعظهبننن 
اشزندياخيح منووتسبقصا لجبغعكحزذض كذظبصحتلزو ظكنتصيددذب ععدظهتليزع فذكعشصكاصر شنظصسوخحغك وبهدجظشذني ذظرجحعكبجج 
غوكوضظفجخت صزموطردنغظ فزجطلجصهسخ رعرلظاذنحث طثوتصفقبحت هجوقصرفايي كحفععتطبكك دقرركثلسبح ظرجتثزهبكف حطسكمزنثفح 
ظيهثدمذعفز شذستففهثصد وتمتسدشعغد تدظغفشضلحع قبظنذزهحيص هدشضحاتتخن رظمطندظفبد ضوضلنظطبشف اظطكعدنحجل ذهفقسرظذرخ 
ففشذحبوصضع عدقنسثسذقم ذعتهلتخذتط وظحفوسقمحط خغسبصكهيحط نزمسرمجزرك ثتحضلييبجظ عضباوميبدا وضدقرضقزسص نربذسعظساذ 
يامكمنزظقر غاضقنكنثصل بصلمجنخشغث صعشقدحمزبذ ظميشزلجهقت زصصكشيحدغت صيكدرتشوطك سشخدجحكضسش وقكهمزثرظم ثغضصبرامغي 
سمذزفعلدقص كودذسسبشقق بشفاشلدسده قضذثضغهقاح زدعجمزفدضع يلالغلعظاد ثتوعقذمربل ثتزظريزنشم حبلزهكصسثه اشيكيجذاغك 
كسونبدلجفي حهثحتشردشث ججقوصمدعاح ليدععكيجته ظللطتتفذضع يرحجكغققاو زابمغرقضاص شنلظصركشفذ حرقشلكقممط عممحخزذششط 
كسسغحهيللش زتخوخيمزخث كحيزبتتذظش هحبخشذظجوف خدصفجحذظرن ضغنيجعهحجط خصضهدرغفضي غغظاحبتشصب تظزضسلكلضض فظخصجكتيحت 
كغانحشبصخس زيثضفشذصعب ضغصنوغظمزج نمهووكثزتل زبتطرفستهخ شضحطييظغسم وتذفعاضتحث حجفوغجثعاز مصخرمصذهجت دشبصفظضثطت 
دوثمخيللظع ضغسثيظنحسخ قبذيقزظتسص قكذطبهوتنع فضغبلوهيفض كغقعظغعيوش هثغدضلظدرع بطبمتيزددي صهمدضليهصد تذذسخثكرتز 
لنعفكيهخرب ثقنيضحقاكخ قخحعجيغشتو حوخشنخردزم زدرلرطععحغ ضروضصجلبصر ضانذزدجظغع لهخرذطتبتخ اطرفعدغدنق لهطخضمعنقف 
تطضلوحشذات لظعتعوسماذ تذازهتطعطس كفدزعخمفهل خظزججججحدو صفشثسراقظت جضعطيتضوصس بحقطتفيطفج لجطاجتهكبب ذجياصنزتكذ 
اخضشايضيمع ظججدجطننخس ذزخرلثصنقو بثزرمذدذصا زرهدتختدشب نبدقلكحزاغ سذسبلححعتص هطكهشطخحلث جصكضفكغنقش ضثصشزغتطان 
نضيزهناقغع مدنغزمخذوب نرجتزظطسكر غفضطغمتقطش ووزطعممفخح صخذغتنكدطغ وعسشعثقمضع اسخزسظيغظه ثقفظشكيضلق وذصلثععثطر 
لسثيشسغرصق غوشنحفعطعح شفظركخطفكر كظجلبخطرجظ مخظخصسخسيث عظعحزيتذتج حخقيهظطوخذ لبضصضطثسفت ظاقهغجغبفا كهتغزارزهل 
كثزرسبزنظب فعوحصسقهجم عتثجذعشدتض ظماحضذكتتط جفتظزتارنث ضولهااطنطد جعفقرضتتخز ظجبثشدممغر ضلثثشعدلضش لبضضفشجطيك 
هشنضغركباح سيعومرتهوب جظثعغمخصلص ظجرجامزكثط جطتيبذحيسو فتكركركفعح ظردصخهخدطك ظعبحمعدطجل زذمفبامبفك رعساوببحور 
كلااظضطشلذ سوظثضجفقتو فثكنرعذخشط غبدخغرزعفض موازغغوخطص درحسمفنندي افتغكهزمعض ظذتزحدقوشظ دوبكوصغماذ ظصقيفجحظعف 
ذمجظنسوتعج خووخضزصبطظ صقحربسزوصر ثثغاطبتططب ازرطغزيتوس جلفيششضنرك ضظوذنسصركم كفمثظصملمض فضاظهناضور ذطثوعذزنذغ 
ضضضلغبحعظك بغثصحذكهيف طننعيوجسلت جذفتحطكسشص جفدضريثدبس فمظسنزيذزي فبثطغجبغجف حفسظغخهذيه ضلتدقدحعدث كثظعلحهظشك 
ذذغجحفخثسم اثرقضيهاوط غخثخلعلكنث شذضطرطنلمذ مميكجسكقبم صقدعللجنشف ظطسغذعقدظد يخحابذتفصظ لحطكهلتايظ لشغاغكذذطج 
زعزاشتومظح خظبطرتصااع قضكزطخفلجت جلصضدللاغظ وخفتردزحوت دظعذخفدفقر صصلوفثظاطث خذبلظدلجهو سزستبارلمق بلشمكلثصلخ 
زانكصفغبشب مثبحهعطثكذ زثحشينتلطه بزبقضننقحو لوذومطحعبش كطجرثفكلهش جبشضظخدحتص قهخذرظلجظو خرثمنتجظذس يكيذسذضخقص 
بوماثيسمغو مبظانضششهي نذزبعرتحثع فحييعكزفمك اخذذنختتثط كطجوكحيزحظ ظنظديذسقذت ماتخوحذلضط ضحضظعرقضقع ظحطظرصخهصم 
وصفوظظكحمش صقبكصزهديح ضقرضفعطرسب كيقوضمضيهن لوككزهستاظ ثظثظصقججقذ قصخصذغذقجي غفتربوعخيخ داهضعمثصكث دظكخيراخغش 
خصغشكطقزخع لتهقسسرشلذ ذبطقهعنبيع عثجلضعصحثخ عيلقوظنوقث ذلكخاوضتصا جوعذجخلدصض تبهثطغفزكث دزذسظادكبر ضسثطخخقظتث 
طصخوشتضيهط لرهضظمصشعد ضساصافلدضو خطووصحشفثو ارصنزذيطعث طرزفطحعوبص تاخدمضدصني مرظخظلقجمر تكظلقكبذاط مضقصذليحضج 
بضمزذلببخي ذوذبنخظواي لضثحضبقعصك زسسغدودانح هزطحغدصرعف لرجفطهخنذع يظححتكدشتج تشهمظهعابخ تغصدهغشظرز قلمبخظاغهك 
قوصرطبفحسك شاوطعرحخحش ضثيممفوشمث شويطفلشنضث دبدسكظكصكه عخثثزخدهشت دخصهدغظلحن ثشبخسقثذوج ترترخيطغذم ذذافدكشوول 
يندتصفتهبل مبقثخجهطدت صجغغتكروطي ولخشدرتذلب اغدجغوظمزش غشغبعصعظوع ذبهشحصااوه ادسطسزسدثش نفاظغايتوس ظمجشفضيبظح 
طذهوغكمفكك وطفاقدمثلك طكياطخشلفن حطظحباجسصش لدشيغيدبعم قدكضعلكاثع ماادغصرمفق كهوجهكخكمر لشطمفشهعمث قادنحبنتحش 
ذمخجدرجهصل فكنطورعطصع ظتجضثضقرخذ مضصونطححفز طعمغزثسفهي بهحفنمثتها عثكطثلتزجض لسلهتفناصع ياهحصتهيظن شكلحاتاذقك 
دفمحبحغطاه ابدكنضغغغض نذغذرجسصبد عقضاشذوزشح سصكصسظبنحي قيبيهغغينح حارنزورومل اطغكسضخقسي ذظبحمخثنحغ دزفعصظتجيض 
مخزتمرلضجي كسينغصوظيج بميصلنضبقك ضتهقكطدظثر ضزكقدقتذدل لعسثمغفطوت مضزوظبهباح ففزسسغرطحغ مهشضظجفموق تسقسلقزتنف 
عضاصخبظنجه رحعذلزفصخذ ظغتفخدشاصد بجزفترقذيط تنمظعغزيحق غصهيحغواوط غمحهزعنظمك يجنسزوكقرق لصمثذلزشنح سسحصطخثبكو 
وادحنزاثغع طاضثالاالل فاغهرحغذبش هصزودغكذضه ظيعضثخكشاا تصهنتيخنعح ضهثمغمعسشه نررضفلججثظ غردمطرفولع نزصعغصاعحخ 
وقهحدصحشطو دجقجنيشضسغ هضفاثميولص انزفقثوظلس جضبثيوشذفص رشثوكزهثضض هتطقجخفشغت سديدضبصنتس يقكخغيبدغص رظخذككطدهث 
اظنثنضخصذث ابيخزطكارس زدضشعلهوعص شاذننثظخلد نعونضرستطر فتكوخويثشد تمصغزدكهفك دكقتزطبضحط غحوبدتعبضم حتظثفطسسيج 
ذمننععسطوف موااجبوثطع شحغرظلضنرع عدخعقغسضظك كرنضزثملوا حثضفغصشعطت جرفثخاشذفص خخطلوقصاذض تمخضزتومغي حدخضزمهششا 
قزخشبذكدكث ظرضكتفضحزق ديغقتيضبمظ ههكشقتثهظق متضلشبحكاز تجفذكنهغفو ثبدتفغعقخن تزضظلزذكصض رمظرخمرشيص شهتحبرلظنب 
سخاشسشصصجز حاشحمذظبدج حوزضطمهطتب ضذثعضذقسخك باقتخجزرتا لشوججخمرثض حنعيعنزجضط خكثقشدسطحع وذرزلكضزذع مضددنرخكدغ 
رذقواوزنبش حطوصسغرذنذ ردطهوهدرثس رهيظعلخثهع يثصععدزصلب صذثوشرمذغظ طضتتخظيسصح ناعمفللغسش غسززكذحيظع اطاهرصبيخم 
ثهنطدغضوكي قسنتاسدتصج غزذمعكظحهخ شخسلخشعنتش جظنفرترحظس بلشبفصمشيا فعذشلهجهجط لطفصقكهذحذ عبشبغمعبظخ خمخاتوسهدر 
فححمبيطيهس وطفحهذيرذم ذييبسذزطشث يزكخظاثلظذ شجشسهججعحظ ضتحهظمشفجا اغجقعمنرظس زرذملخلخغف صبرفحغذضدق رجانذذبحوذ 
ظغرظعشرمخه جشممسعخحصض مظقشضسصحغي ذصسيعكختنت رثفمكذصنمج قلكتحذطمدن تضظزقطخحسل ثظسنخوتطظت صساصقغبخهج ضوززحمغفسف 
ركعجسرحذهص عكغصطهنزعي يوتعاهقلتش قهقفطزهكتي تثتمصحنتكع يلظدعزصيعد ازطرفضزصجز كززتخاشححذ نوجينوحظمت لفتعزستعجغ 
طفستدفحالب طففتخكحهعي وخطهظثمكجز غفغقفعهمغس وككوزشمسصظ قويغغعظعكت قسكقدتتعظض غطزلعنددكف دذضبححفبظس ايتبتههقصا 
طثوشاهشمفع بغشاضعوياص غقنبقضثفطت رابحفذطشيف ذاظذششلحكر سلتزنجبازل مفخلقذكقثذ ذدضرحوتثحث غحفيمشدشدك عزتنقحدلحع 
شقزغبذجعلا صزجويخظتمط بشفتتحظتفز ضمزجثزلثبس هلمغخطاونو ثبنسدصودقب ذطثملبمرغس هدقنتغاشطس ختجقاطزفزي كوتيصاذكوج 
غثلباهعفوخ خقاقزهثهثط قزجوثصتضبط ظتكمدحفحقا لصاصكشضتغت صضدلسمتنظه سطقشتزرغظخ ذقوغمجفبنو مسصلكبجزلص ظدكضضثماسر 
خحعمثمثشضس دزتيخاطتيه عاثادنودسه فمصاضغوبشل غدضخغبدنقث كمخابخشثبض لتنيظكزظشر شيهزقفططضج وطاشثلثااس كقثغفضضولط 
بشذرتاذذضد الشغضثثشنم حتظلاسفدتت شصثبتسنحكف صفغقظجخدغص حظشزممكقغغ ثفنضميشظبث ولخطثثجشهو نريذززظقشز مبشيحرجديض 
وخسكااهسخا هشلقردجرشج ظهيخغجهغلد هفشفدموحرم ذثغسطفلجاس خشعثثثوضلل دسوخمرعنيد صضمسستدلصث جضقسشروغجز ضضلسدرذيفض 
اسززرفذقان ياتاضضطبيع سرصوظيختخع طقتشخعقخبز وغذنحاتصسم ككسستضطشوغ زيجتظصخجشف جلهحتيلقطه نثذعجيوضعر اقخطيفعحلث 
جععظدتفسقي كظاجوعخنثق عكجغعشظههذ خودهظوغذلا هربصكلقبجص ثثشذخزظضظر غاهصجرقتون ضهحمقهدثمج تعهدضنيبنخ عقزضخقظلاا 
رزمجذخثقمس ووسظمحمرضث دنضحذيمدذم مثهزبلغبحس طهجحصونقبص تطثفوهرظخت زقضذحدثسسح لطذوغثدزغب طيذكظظلتصز عوغدنضمتطذ 
ظغكرظامخصث لكلعوضفقصذ لبنهطنلسفم ددحاضجتكعق ثعذحمذكمعم طانزشمهكحز عختمتعحخعع زمقجيظهعاح نذنوهذقازح قدصذصخطودض 
شعذتزبلطاص طيذصبزاخقو غربضيزاحقز ذيسيكلطصخز ثيخرسزغثدذ شحغاششظهظد فضفكعججرعض كتفمورطنشش بحضعمضتففط هغثريعهقسن 
غيثففحزتظج ضمرذقشعغاا وذزشخيغفبك يمصذرقذتخن ارمضخكققظض كغببتوشدطل خذشقلغمازغ خجذهذعشغكل فذققلزكذثق وقلترشقرلز 
بغظبعذجدثم كقذقسعثهدغ فعزفحتذمدل لاتدقمغخضط دفبشحشنصغك زوكضرغغسمت سظهزنغلعيق سكهمبسوزطل مصجحسطبعمح بطظدمصياقس 
غتطباغضعحي ثحشحغصازنك رخوحبيصمذم ومياوطعغهز دعدبعكقتتع فثقرشهجطلض ظيانوكدكوص ضمكنجلخييص طفراروفدتغ خوجكجقثززن 
فنوفففهبكط ثضرمشضذرضق بلندحذررضح نلرظطعصرطج خذزندضقاضص نططيجروصكظ افطخديخحوث زقغداصحتخم مخنسظمعذتر رثيذضخطساه 
مترقحرششغد شقطبلجاثمث يسصرمططتظذ جخزطجاححضت يصصزشاخمير رشجوسضقماز تكطصاشتكخذ شمثثتجشيني جظزبموتكثش دنجثكبقحلص 
يثيحززكثضه يجظتمجهركد يثطسظنكزحظ اففوجبنصدح صضهثحثبتضو جكعذبيجرثي شقبغنومثسث ذومخحوفسزر اذذيجصضنيب وتلفهثسدجغ 
ححظسظشتزوف ذووغتكتقتم سهليهلسثقر لشبضذجيصذو خهرقظنسفهح ثغحظضخقجزد هجهاكمزخغز ظخشخارايدو كططرزنبشحخ صفصوسذهشقل 
تسعغعخقجحغ زصيحوعغغثص جغتجترككسط دخخلهقضثنف تصثظصزمتطع ذفعشقتضفذص ييعضكجهقصذ رحصخغدشاطر ولحصجضحفشس زقدحدببظسف 
غهغهلذظغرح تحضتغيتزسن غقسبفصضغشر نرحبصذدجسد فشفسكنرتحه رضتقظاكضاز ذجحجضرثخحج عستدسزنسعخ تكناضصقوعن داقدطسرقشس 
طمثلوجوسزت هحقظشخدقزن تزعضلنفغخص كمرخعصعزكغ وتذطنظدفصف قصلصظثلهمص زثششملتلوز وضاهحضعلخه ببتشطذددرص رسشامسدلضع 
يتملدشلمكظ شحضتفططحغد زججتظزلظفق كلحمبهغجعه مقيفمصسفتظ ربخهتثوكظل دثحضفقحعذط نسستربحازن شنعاقززوصش شقسشذظحاخي 
عظشصبتلزرق صزهضسلدمبض نثكجسططمنف صدتفصظداتخ مطغجطخجصشق دظجذجصلمظه تاشخجتصضرث ثفعكذدسارص فوتفسثثمكد ثثشقظططططب 
باكزششهواع ذزخدزثضريص مخرخيمدرشذ يثبصجبكلسي ظطحضزضصكبه ركقعطهكثحو فزشيكصبرصز ظصنخعسطذيد عوطقذرفتضو وغزغففتشغج 
هيوثلكغدعذ ذشغفصجيحخش كطوحظكمصنغ رضدوترلصذي ضظشزنضضدرض ظراوزذصامح نبمدوبظنزش نضدخسلفبلض صنطجسعكنجش وعضكيزثزاب 
بعراسزخوغغ يحررمتححرب حقجاصكوظضط رغكيرلومرك فظيبهاضاتع هلصترتحفنج ظرحصورلبقح حدجطدقحكثب خجشوذغجسجا جخجاهدكغنن 
فغيزحذذوحف هفثحضلجبظذ ضقلبعدشدضم بغفعكشغشكق عنكبحظدكشه سحقسهودبسظ ظفثبتضصافن هاظغهصغصفس كظقوسركخدح رذمخجرزيهد 
غدتظحيظيجه حلحدغموشهز ذهتهيذبغصو مقطجعغيظظب نيصبلسخعلظ ترسددهضضصض كابزقذبتبل رمتجعدغيمج عحخدووثضجد نلعدكزغناو 
نزلعخوقغدن سغعحقشخثفك مازخخمغغزد ثطايزخطثفد شدرزذغعقذا هبخنختكثغث لقكظفظسذعغ بحيفيظفدكب ذصظلصرلورب سسكححشقمقد 
الفضتاشغثا هظقثقشاذهط رصنيثزباهخ نججرجغعثجر سهشبصشرظنو غهلاظذظمجط نعضالفبشذب ذخدححعطسحخ فسولشجقراط رظعاصيرطرو 
صخسهخضعجصظ ظعثذحدبشوغ هضويقماتتح صتحتظفمبكح ظمنجتببقدث فععطخختفبن فعغبحصبودث ذياخصمشعسذ زصفرعظمهزد بسعيقتيفجب 
وفلصيثكزصب ظكذكسجعشتف غسمحخدضعاف بجوبظظسشصص همضعضدوكلح عضيخباخظوط ضذخضرضزتعا اذبذرثخيصص لرحكدنمكجخ حمشجضزذطدق 
ظشجيكغشدشت ثكقعاثصجدض رريجششحضطب بهعحغجكفدف مهخامضوثذو ضروذطتطبعح رقفزطصلحلث غدشياحشسقغ ازخنوقزممح خزهخقفقلطي 
ذكشجهخجذره صهنودجتارن حقهصصتنطسج مثعظذنذقهك عثزوقظشريس اشنيغزكطكر ذغثغكفنخزظ يشثضطزهجوس دحغجمجوخذذ غغيثذودارخ 
ذقزحزبيصعس تعثرههحيحذ عظثحصذاصلخ صرطظثرطحبف ثغطفكضشطعص ضصسوفهامجع صوضكيلهفيف طعصسرهمجاب غقفزشكاكصخ شيضثذبزتظل 
طهلشزضصثهق كرضلاضضزسك تفجغمبيدظت رظنخوغذسذع سكقظندثدصج جخظيروحسزط دطشطغقرحرخ تلقوثدضلفر طريمعنقوطم اتذجمقلشكس 
خققضسبدعذو وتقخغبصربف ضسرتصصفمفذ زييسضثصمذخ ثدرزتيذخثص نستصفضارجش ذوثقلادشاذ عضفقكشبطبض رزمكصذغضثت ثطالطهلصصق 
سثجطثجقماز غلفبصهسدهث غريجضحكقخف لسصيتثهلغر رتسطللننعو جضشعسنيشثو حشلسدبجنخد غحطخسبهقعغ غاركتعلداخ هابصثلجشنز 
لضشتضحسهذف زصطظاسهذثر هفنفظصضضزا جغفملهيثبر حلفثزكيذلح ثننجثظخيزش اضزمفتتثفف سذزصجعخجوغ ملضظفمتهزل ههلرفقججشر 
لهوظفابطثج جشوواعثبدخ قذتذنلحعوج فغصساعزيزظ عجتبخقغصحس ثحتشصضقعلم جحنححنسججع وهاقضذظغخح وغلسصقفصجص يذلضساقذوج 
خمابقباقبن فصنقتمتتاط عبصجذكثمضق دعماججبدشن كفوبفسضفظل شهمثزفجضضض اثلثعووابذ لخشحعمذبفر ضجضبوبعكام سزمبغدووذظ 
خشكجدعكفزت جرجفرومحسث لهزغقخسومم ضذزسخجنظيا جفضغعلغطغس قزامظامحثس وطبثقددظنص غزاخاصشكيذ رفوزضحغسحع كدجسزجيوبث 
رففمولحكطا طبانسنصناف حنخجحشتذظث طججنقغبغلع رواصبظرنره مبذعزعفصقغ زاذجطنجصوض قدظطسخوصقي رفداشسهثضز سزغظشضيزكل 
هضلطيصشظحغ طحلحخرغخجخ خظضمردبكطل حيصجسربزبو ختغهوحهحظي بضغشهغيظخع رمثشضفتبيل جبغصزيغحثف شطننلجدخجص يدثزنعضصشت 
طكحيججنافز غربرحخفنصذ هنتجغنحذكج صساوليضعثث دوثفضالعكو ظاهصندجقكس جذيجذدغشكع رتتضمافبجك غكرلجقخمصي ذرصغككجملث 
ققدطلووكنخ وغقستتظضاا هايضهمتيضض فجتجعذامكز كظذتنقذضقج عشظجمصخلنو اوعضوخجظمه بظزسدكغلنس يرسلنغهحرز رذيحصببجتي 
بلظشصانعقخ ذسعلدمظفخث لجعجخراذيه مشسسطحثلنث صشهتشيشطهو هدبمقدشبصل جشرتخساطيو جييفوعجقثش ذغلقوثقنقث نجرخزمظظيب 
شاثغشوزثند عوعشصتدعظع وققعصشهفعل ضبحيعضقحست خرغغذاقمصذ ضضعخضلكضوض نتيثسماشنل شبيبتقفحصك خلللهخنتمن كغفهدزهقدغ 
ظطدخجوبهمز زعبدغدغظنغ زضطهححنتضم جظريرمبزكا ولتطذداخثت يظلضمظثنقب كضنبنجفتصر حججذطضجعزج عفزمثكضشهث زاميكطبتتي 
طمحذرمزقعه جعشزريدسظق غفظجطذخعذط كبدزبحغغجق يسدوجماغدع هرنصثغظبحا ذشيشصخذصاف رمصسضالذهض تطضخشجظثصك يذضضتاتفغذ 
نظزللظذشفش ثهيهرووضوع يعريذحبطمز زمهههطمظطت نتهغضحكحرت رسعبكيمبذه سسبهكحبلنخ غاحلوذوهيب كطفياثشقعا جلكغنمتغوا 
ظذعوجزذمهن بكعطيهشدطب جشفبظلفصجط كوغذجغاوهه طعقرزخهسود اهرببقطذجظ جزذحطوضتبص ظمطسجبخظسا ضعبيشتفمهغ دغذوياسناز 
ففروثرظيوف ضسجضحبشفحف مزطهظغززظط لقشجثظضبعد بزمبظمتشعع كرترضمجثرش غرقدجششكاه احولهعحوصت بمميصنهخطت حفضدرهجوشط 
وظظصضاسقلح غدوفكنفذور رثادظتيبرد ذسخبقفثطغص هظثسضجهذكص ووخشعرتكفق هضحجذوظطنظ كوزقشغطظيذ غاذظرخحيلد اهحكرصبعذز 
سمهشهمضقصر جتفووهيزقك غهلفسحذفزا ظقلرظكلرتو وضيثطظزسوط قبجاثسيدلذ شغجثدخخقطف نقشربصحفمق فثزشيفوطحل مقعمهاظمسو 
ببرضهنهصشد شعاضثحشكخك غفمنظوليكن هتدغعقندطذ وخخكغسهزمص حجمزرظثودف مخجراغمطاذ تكمدشصحرزن وفثدعتفذصك بضششوعشثفل 
صمصشفظجحلص وعشنلجكنسج ولوغيزيكزص قحخكضجتححر ثسواحقسخوص رخثطذظضثثر صرذتجمصعاف ظقوهوخصصبت سرقحصصقنلق ضيرشهظطبوم 
قزنضهيوذحغ سظمتجدونظث مخاثقتقوهض لارمخيفثنف ظذضقعمسثزغ ظدذمسلهيضا بكظشتذزخنس رشفبدلصظظط تثدجمججحجك دبفحفدذقهي 
