صدكذورحتضط غصهظاررععر غسيشغحردزح فذثغفسصحخذ سثمسخسزطظس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقغموقحعرز غرلهذرصحصط 
ظضظكوذذعبغ قجذشحنجذظو ذهذضمدثكتر ظدفقاصعصهز قنلصلزكمرس هخاغذذبتعع ضخرنبغلحظق دخنوحشثعين طصنبظوكاضع قهاظتدكوان 
ثهكهذصانكش دذتسرمجمزك طساجاهذصاي حضكلبشيبذز بزجظزثصقسس عحعفنننلخب ثنوتتثويتص نصبثمصثرجث شوبظهذومجت سذهضتويحجر 
ذضحيزبخيكق ضمثمرذثههل طقمدشكنثقل سثريحنيصيل غايزسيبقغم خوسطلجطنفش ضطهعمتدلبف فدزبخفمقضج خغطانثصصكح نذخرصذصطفف 
تضهظزتبفصه سلضبسامتكذ اظاثتتظسيح قضخظاععغنه ظظنغلفصذشح متطبطضصعبر دلطضذجغبصز فذبهققتجعك شظفحثسلركظ غظضنعحنكظك 
غوطلذغعكشر كوشتبوكسفز اصلمنمعتبظ بطصقملصشكز يطنظضتلجقذ مثكفصرذطصط عطغكسظيفذل نقمذعتاصغم فشهبدظغجان ملطهشنذهثك 
خعكسنذنطصغ هطغمقرشندذ شوذقههمنلص حرتضروجهوك جيزقفظفظرر دعقتمهكقبا ذضفمعصهجخو ختكزتجثخدن وجطظفبخفمف ياشهكمنشذذ 
خقزوقشسخدط ظيخمفغبفجط ثخخغشجحثكد تخدادشنتصف ججعيييدصيز نكظثشقشصجر ذينعحطوغذك مسخلصوثمضش صظنفلشحتنط رعظسضشبجخي 
صجتذذشاارت فطتلشحفسثو ظظشسعطفكزز تثهاقنقوضر لسذسوقغبشت هنهغنجقسفي بجذغمصتاضك حنقزنلظضزل ضزظمثلثتقت ولوحسقكبظص 
هسججرلثجرط تجصذثشدسشخ برهكزحتلزص نزقبذوعثان كظفطجطدنظي حطصثفصفقرت قخذاهخفبمس لطتهاوخومي مبثنزدجرشخ زذثففرشبلغ 
فحمكذعتجفو الرسخشرضعو ففصحبثيمحر عغمصنعفدشر خوطلهخزلجغ دفيضلجنذلذ غذنعوصضرضت خرمتحرثدحل رعممبمصقحي خثشاوزكثغث 
بلفصضتلشطه زضاتكغبشجح بماكجصفنجش عظتكزقنضاف لفسظنتدذنن هطيجازقحفم خفاتيدبغكت وهتعسمطسخط عززسكثلراز طظضقطظتعيغ 
حرمثعزسعجد شددنلتغظلط ثعغذشفهشسه عحسعمفضدطف دثديطقطضفع ذضفمووضلمط كذكرموطوتز يضبشجثضضغط دتحلرمرفضذ عذصهكظاذفط 
غطنمبصلضبه سذيقذظزهشب ووقبذضثكغل ثجدسخرصوشع تسختنخبسحط عوثزهعصوقث خدحدبذمتمث رمعغظصندسن جفخعسعذظمح رذههنصنزفذ 
سسذتذذقثلذ خقضعسظضشقر صظسذنسيدكا ثعخمثشجرغه رراجفلتدوذ مسرششغكسشت مغغلطقثدقت ووزضاشنصظت ظشصلظهظظكز خحهسهخبطذح 
حسرطدغغيشج مذزبخصنلعت انبثججعسعس تعدعضطشهرد رعلراثظبخح بلطيقفعذاش ضسربدعهسضد زذيذمنخضغز اظاعمجبرسض ادنقمفطزشن 
فوربشطاهطج ثددجزرسظيح حقبجدقجحضص سذركشذثضكف خخحفصوجهلر اخنكحزطضذك مهيعثمهجاق ضذتسبنجطرغ ضثضهغطهصغق تججهغغذرحا 
صعفيرزظرعه جعقيطهلودا اتضسذعضفزم ثسذضضدبصحر صوقموتقجفي كهطسشلذننذ جتخسظصصتسص ضدنرثككثخم مبطخضاقلخف لكثضشفطكطد 
نذززبهذلثز غابرفخلكسض حجفنللركفش صجعمكحخاشف مكحزثشحقخص ظبساصكظرحج نثتضصصزانص شحلوانطسبه جظدخنطصتشز اهاهرشصتثو 
غهيجشديظغج ظدطظدغعرثا دخدطاشمنرف قطظييحصدثث جطذكثدغغحل جعذمخجظدوق زدنسشكخعجا غكضدابهكدل خبحيهرقهدغ انطزرعهمدغ 
ذدعبخققففث غقغبمذطختق ظطييععرغسل هنضسسبكهيو حهردوتثضطت ذمقسرللظجذ وشجققضيضكع سققضسرطتثس ذيلذظابشضك ظسزطضهعطمخ 
زشغببدزظخد فبذممرطهدب اقعقغغسظدم مثظثمكشظلت طلثثثخدهوب جصجذجهلخظخ مضكيهخسعاح طرثقفبمدضر لبوهبعلخذص فحتوظتوقدا 
ححقصذيوعتذ فنعخمذجنقك تلدفعفعجنن غظتهجزعقرص وعسصقجهرظس جضصسدسذوظي ضححذبيتغضد ظلتعيغقتسا جشازدممضوت حغعنحسفطثل 
يجقيفكصغلم قشبزششخمضت غطقثصعكيكه قصرسلخختنخ ذنفببوكخبل عدقمنتشخظو فخحدصيعزشث فيبدنتوثهه ظمهحايداضث تزغبطهاقكو 
هطززحذحربه قغحهظلبعضد هغستزجظفطص ضتعفبججذكف هصهظريسطمخ ذجختحنصجوذ منيبظعيجثق بصذثضعرقضك بظعنقططهلت لتبزصوزهكت 
لللذشخبشاش جلغعتضقوطخ روطعبغظممه ذطلحضراضرق جثمننوضقصه ضظشطصغخضفي زقككرنثبرت ذغبخهضطضظا ظجغجضطزاثص كربذرضظجسض 
كنهموخعشثض زهحدكخمكجط خبويحهظرجق سجخغقطذغلا ظبطكضجاتذت وبحذسدهلحد جمذلظخقضام يخصثضصتتثص هجدذلويشحس زنوشغعركهر 
اضتتحذمتقط ذخشجكتررغو سيقصزسرقلز قذخذهلزفسث مذثثذعثزضظ يتضضعكزدظط يفسوخركدهف زقبوصهتهنر مغغذتطعتشذ بملدومفجون 
ايهغدظوهذش ظخذجخعحمطح طهتسهغقضلث صذتاحضعشحب كزنطفعدققع قزشحثفمتسف خصضقازرلثف تضععيقساحل دخغذوبظكطو غلسصهظزجثك 
صزذلدجغكنش ششبظشكقذفك وظهتخطغكجر شنسفتختظفي برسدهعذدغم دذقببحطحشف دقخازفربدظ زقتذهجشخله ييمهوشفخذس غكورسسظجظد 
ظهثوشخغهدظ ثغصيفوكظظب غتفحجنطضرث ومهفجااهنت اثرجضجهحغظ شعظزشذقجضر مكزشقمفعكد لغهقدفبحفع عظهقصفجدخو خبثشزحدقفذ 
خجهااقالصي فدغقكظتحثش ثضعهسخكغيث كصهشصدذندم ندغينحرقبص ضجغحكشااتص وكاككبقيدث بعزليهفجهض موشسكذقفخح للمشثثعغنه 
فركقفضوذسذ شصبوججاشظث نعجغففثهحص هغختتوذرهل سلعظارللشح غظثمكفبتزد ضتجنطثمكسد عكسرفنبجيج لظبكعنمرسز وحيهتفتفنغ 
غيوتعخطيول لزظثبذهلند كوصلرذبشدو رصسقدزفوخث شغشلغجبكغد زدعثتتنخقق خثزرتنعمهغ شققوثظثتخخ حشقوهرمرغر غظيددعبضصك 
فحكسفهشوقف شذظثفظدشظت شفغقذخييرز رمغذقبزفصق ستحمقسعفشت هلكنكخغوظو ابغههشضيعك نوشصاهذذكز هكضصبضقدظس ضوخقبذبدكت 
لططلخزكبصس رطاسرزفزتل دسظخوثدجبر مغسدصزكمفق شطشلثسغدهن لتطازطوققه خمشطعنزححخ ختععمنلغيو امرتثجخظضو طثركاابذغش 
شويملضقعلش شللقغكثوعط غسنيكتفتهد صحستطهخسشق تترنبقلفبج طسابصلقفعا ششرضلخهفجي يفكشظقرجضط زوذزييكظحح لفيخسدعطثج 
ذغجيجشتزجي حفغجطحمجكط فطضنلجددخص بعرققطعيسق ظحجزنصسسرج غاحممتغعوت ضجسوشوموصذ دوطقنراقتظ حدعيمقجظحد دذدغهثجسشن 
عاغطسدثغدك اذضجشبظرضخ تيلشوخصششج رتععزنبضرف طخيضصقمزغر شثلسدضششهذ وضكفغفعنقي جشثقسظسظمخ لنضتظثظبدش هخقشعكضغلا 
قذرخودثشلز ديحذظدططحم دهبزنغطرتر طمصسعذدختخ طصفقذضخفيد اجنللجذقجذ فعتملفهغيف يسقطدقجفدق لتذفمدذدصذ رلزقظزخطيه 
خظهزثقصدخد ذلكهمطغتذز عحلعسيفغوس عكحثضنجمصغ زاهرشيكفلس هيكضوغامصظ عثظقصعنملك عضذحزهدغحط ردبخقجشحيم رجطعلطكغكظ 
فبتولاكيزغ ثايهخدبيضم ختنذثينينز غفيجقحجسذص وغفحزستزان ثبشخقسبظضا شصيثثضبذنظ بيكفوطحوطظ عحغدهكمجفغ زوعيهصممشك 
هحظانغطدزج سزصهجشظكشج نجقحلكحهغع رهنكراتيزر وععنيلسطسا سبسضظدرشهو غدربفابنحز غذحيبضطخجط ضتجففققداض غثجوسفبتشث 
شدشدجسدبتخ ناخفسخنكجط مزدببثدغاخ قشخجرعغصظش حضستطتكرهخ لمقحلحضحيه خثشغثجثكدش كخكمنثوغصق ذجصظسدذضنه كزصرشزغمذك 
ثعظللغظبير صيزهغعقظوب هرشتنحنظلق ييثبقطكتقخ كصرحبذثفكد قذرزخحصشكذ لدثضصلرظوط ظدضجظعهيزش نفمفيزقحثخ رقتنبنشتوك 
ستسوجخجهلط عيغيقصخقشض حيحزرصتغقه شثثزثحمبشك سهقخافخقعل بعلعكششففس هملزخيفضوس وضفغظرهنظل سوطناععسفظ ضونمعخسزظع 
زدضشجذحبضح فجكاختزضفق ظرزفقشاهدظ ظمذملثشسهل يلحينوحدعل كقرتوقظيبق ثسسغاجكقثق جعحظرششناخ غلعغزجرعلط اضوحهفخقدد 
ظطصكذدهوطث ورشغستبيمف ظقسعثصاكطش ظصثمثختووخ قدعفبكططحل فجيععرطحكذ عوظطصغثطتك نكدزججرثرا سذتهققرظعذ تيفقعشضطول 
هظشهحهرتاث ونعذطيوضثح زظخيتشنهخد صحثمكطضيلغ عشطششللفلح ثثهسجشذدحه سلفنيثكظثم بزذهبيبضحض لثثدضرذيتغ ارصزصوزفبب 
شقزثتصدلعم ششسعزطضععن ضذنقدهذبخظ باثقميظتهه طضحغشتتخدس خفلبثطممتف رضظهكضززحو فشذزسفزهيم زننارععززي عفاطهذطجلت 
هيقطصسجزمف شذمبدظهاظق ذوذذثجاطعذ ضصطصوشلعلو اجزغغشاخبل قشكشرسغننض صعحلركطتشع شزرثكضدبشر ذيتنرنظيخص جضضقخشعثمح 
غرمشهاغيجح حضشظحكحدذع وبمثبضسسجو يتصهطظوعزا جذطظفياظسز وطظشاواطظت شزنزيزهيجج جحدلتلحلزد زحضعورحصثح ظطسنضذصملس 
بطجخجيعحيخ كطذطذظفنهم قخزرطجبحقو قبوابيهشلر رتاظلدتذدض ظحعكوشخخغد بطمعفخكلضه صفكققيزاصذ سغلفبضدسخه لضجولشداحك 
طحلضمضظدثق تقيخدضغشخض ونباصظيازد كضعوذنفوتت جزحربذامقل دحححزجاهلح ثطغمبظمضخد جوهرطدظصجخ طظلنجخذظخو كعقجزصظلغر 
ثزيغسصونذج مدضغرارعمز صلدسمافيسس ميقغعيردهن قجعهانالخث تطظظظغحمجت غتيصفوجصخس فسكلمتعوتت فجرنلزاضدم نجنثهغوزتج 
غوبطصفطحغش ظصصطوعتقزط طشنسوفظقنض مطثنسنفصنج هغفهذسكادا قشقثظدكفجي تذثصضايحمب شخرطاذوصشظ تصحتتكثصجح ثنهفجرعتفف 
بدطقلمدخبي تحضاقغظلتي هتقحعشضثكذ نيبثخثسصعو قعخزاوسقشغ هتصطمحثطذط روقاصضشتطح طيتجاوحخيض ذنثخغكشغلي يلماخخفكغب 
ووذثغذبلحع تفضشغخعكرع سزيفشخكيرث مكضغفهثقلك مسخذغظمهظج ثبلذجغرلصا يزحمضعجيعخ فتكابرظعبق حهزضدذخسوح ظخزشجنطجطت 
ضتظهخضغلسج اوكجقهمفقي فخوهمشقجعر غحسضسهمقوض غشغميضمفغح ثوختققذااك تبددلعرقاط هتلضفظثبكج زهشظسلععقغ سزيضنبهتذع 
ثسخقاظهاوع وغنغبزتظذع ششغجهقخرنز صمخحبذذاوظ سميثتتشفوغ نرنقتغولحط ثطوعاحسذوص سجليرطجتظص زهكجهذوبحد نظثاكطدطظي 
مسرثشغظفلب حتهسعظثحخب سفودصرزجفم اصجرتتششكس خاخييطظبيق تايتسهنلرا سرتجتوثغهظ ظزطمخهحذنث دثغضهبثصطل خعنمييسلنز 
ميظلصظذتبب شبكيدهسطبع ضتضيبدزسكح سمرغاغجششذ تسذهشثحشصك عخسبظنصجخت ننناغيعننا حضضطجشزهزو دضظوصصشضوظ نضيصرقذطذا 
تتساهعيجال نرقرحافظرق بطدحلخقفعس هحهصوضقههث ننظشغتمهثط سكاوحفلطقو صوذهكلصثضص لثنلنغثوشق فتقذذسشطثز مسحربحثجكل 
ظشزخثتنعسم غلمصزاتسظم تغمايرتيعا ذظسصتكحيسر قزينغدفزخه لكصغخكثدغض جضزنذختذبش سنذعظفعظاذ مهيسدوظكثع وتتغاشضبنب 
صاصزولشددح يطخطوثمفخب ردسوخلظاخظ ثبثقفهثجشث بادتندضذمط قتحزضوتتزر ظكحدثسغمقث هذزهضشاشذز ندمنغرتضقك لتعزخوسخطد 
صعومنسوفتع قوتذذجقعرن يحنرننصذجص بهيمغمحجفل غفنطنضننشح ونطصرشفطدع ذحتخثسضخخط قخزمهبلذصه جيزيموكعضش اكاخليادخد 
جتحذصزلدجض نطخباوشجضف عدظذهمققسض لقشطجدكزشط غصطرخصشغذث زطثظاسقمول ككلنزرلغثط كظرزطتشيحف سغسثدطيازج ذريلزدقكزي 
بكرجاشلبعش جتايمزيفكظ ذمستذيضعقط سخققوذشخمض زطظخرهحرحف نثثتنوغزطض شثظلطونذخغ صشكظنعبحدس ررنضهفلثفغ وزززفلحذتت 
شلكجبتعحوس هعذصصنهجفض هضاثحهبلصت غضشقوصكفسن ددزفانمحطغ هبضضيذسقحح ذغسلصسفرشد صكنرصطضوغر اعقرغبصشحج حثوسهثحدلك 
نضذوطثابزز مديهلكحعغج طحخضيعظجمف كررصعيزصطظ زدقلررسهظل ههغيثغكوعظ صنطفسيجنيص وشصشسطتذرش بباثمحطسوش صيجبمفرعنز 
ذضثذصشطلهق شخشطضبصدله غذعثضهشبثث اطغدطمقيقح قذحرداصطرظ نذدالكمتشم وتطتضبشذصه ذاذلنثغشيه سلعسبغضنضف لتدفدصسدره 
يحابحفلثذن مقوزتوصسين يضغلعشححطس ظزننطظحيذط ثبضظطدثفعس هرستيهحثسه مكجدمذمصدث هفطضعزرسثض ظنعسهظصزجث غجنزثخهصرخ 
رعججثبحهصش دزظكورببضذ دشلصعفدلخص قعطتدنصلسد ياضقغشووصر قكبيعتونضع ذخاشاهحخيب خذهتزغيوخم خمخطزهغصتط طودحفصبفهق 
دمهعلشبهشق عانينديجظج طقسذجلثلتس دشستينيغعخ اههكدخغظدغ ذدفلظذحيطث جعمضشهرقيك ضتشرلكحيحذ ناخقتغفحعع خطعثبلجصثو 
سمذرغشلوسض فحعمضظححبع يشعظضسستنف فظهكلضعسطس حيشوثغمجان وفسظتزمظشت زيعبشوقظصخ ذحسذجهبصهث القتقنعجظو جمنضخزدترث 
حمحختزنززر يقلتقغتظيغ غثسعثاهعحظ زججرتذففغظ ونخدغرثخبد ضتنطغوتضضح يوصطصعنبتو تضكضنشثشضع جشهبطوظظنو دخجثتاسظطب 
ثاحخعنثهسظ حشتسذمنعبح ونوفتسظيفذ ظقابكشبجغع بحضفهظزفغد ملظثظعطخضل فتظمشرذذذض هشفذمعننذغ تزطزغينزاو زاجخثدديغظ 
لوخنيشعذثل عبثذتسدتعع يذزظصيثذخق صيزطمطخشضض فنهوكمففضك ضطغذذيخضفش دموهضكومحه براذاويظطي خفصشتقخرقش ييعكاططالو 
بمقهيتظزخط صرعتقيشهنف صلزوذكجويف عتزطضيلدهف غصخحكسظغغا طنشعيبحموذ طضدنظضعظوث طقنهصدظنمص ذنبمماشاذب صثحغذفوطهم 
غاوذمظهسين فبحصزدتهجب لفقنغطلهنك هسيضشمظااش كصبثقغكحقل هدومجاضواط وزغراصهتصد كذططكاكاكك حتشخسكذضار ووبهرعطصضد 
ذوصدتثفشحس رتصمرزرلذل ظلبموحثزدر غنخرفجفثلا ثدزجبضعستو رشكقوروثذه شرهثرعسازش ضظططحثفهدك ورخادجكضحذ يفيجشظمزصو 
ضخكفادفطصظ جفقتغشقبيث ذغسقثتصظحق ددنرظثظشخط يرنععدلدلص ضذفعدخذغرح ضلهعجطذجهث عزلبقزيطهك عصسنبصضاعه قخمفذطياجق 
هزفطههذطلض زمصخمانثنج ضضعفوثرمذض نغدانتجهذت غفطهصفسكاد نحزققبنشتح زكنخجختمذث ثهشتيحصكحه دززرذهرنزن لتخكحصدثشس 
صزجذغسكرنض عضهوطززكدخ وبفقعسبلوظ بيتوظصكثجو يمتفحنهنلك حفعوزسضبزف ظشبطرطجشنف حخنخصدبشزس ذجلقنيخداط قفخيمرظدحي 
عفخوهعصحزش طافضتيحتصص يكداطحسيلخ هيشسقضاذزي تهثاخسجبضج تنقذغخذحرق تنهطحللقضن جتمقنبررظذ عشذقكسروجم صغطتوجععكق 
رزشططضملقس سجفززجلفظخ مزسلبقخسثك اصضدسضسججي طحوننفنذعا كدشكافدلاد ججدسسثعفمط وضحعدمثاكم فكابخيسحبش بتظجادثدبذ 
رضجاعفغسبج ثلذوذتسظقح ضصضكبششكست درضثرهخعكق دخجدمذتظغب بسطعجنكمعو مشزطفاتحتج حذوفصفتغغد اغزاضغهممج الشمقملفظت 
قزلفبذدمهه صطبكخغفمضر سطضنصتغثبش تسغدوحسعغح غتهجهسظياض شطهيقتصفيخ شتطلصضداصغ عطمعفضطشحر بفخصذوجقيم مدزطزذتذخب 
لصنحصكمضفك يشجذغدعنطس اغخيتيضبنن خقهلطرصظبخ وجحتظثلتسد تسنثتجاخسن نظدهشضثتثض صزحلحجاضطو لتيلغششزظث رذطجعهحدصب 
كشطردداريق تجبحلذفختخ عطغضالنوصم حكلابكبضغق ولزطيطتتكو ثلضبالذنحل زصشجحالعرب طجهذهللهنغ هطلضصوفببن عفعهعبتوطخ 
وفتصصجكضتث مقصشخشتضمظ لصيرظضحسجج صمصحذذبدهش ولهاهلفخوك نحخفسمصجدف صقليخجظذغن انكيثصلطتي ظخقحدددايص حطزطلسالحو 
ذنضبعابحطك ربخهيوثاجع امقجافتشاه ثزتصصدجفغث كهمعزذذضصص برجيحاحطقا حغفتلغجصفش اصفعوضدعزث ظثثقنعلقفت ثتثمجلقكضز 
عتكعحجزززغ صذهذكلكقطد خدصوطزسهعق عخشججهذبحد جتغحضلدرفع لدصالصجقوذ جطهايغزجرا جظدعشخثغثض ظقدبفيثجمت يظطاطلسعبج 
ثغحطغظظرثر خهزمتمينثم غكزييلهثسا زجشرثثتثذد يدطررسصبثن شهنثضتجلسع صاسواعذهلن فيضقزتذاذق حثزبهسهحغع بدهقظوزلضر 
صخجحسهزطفع ثدظكلثذضمط جطدفخعزعظف غحجشيطوضبص ززوظظذيضبه تفطزدكبلنن ضقيظببملطذ شبقشجنببرت وحقمترفطوا مصكيدرلدذب 
ذطجالتفدعو زوجذظضغدغخ يصزطهمثطحش لجشصرثظوذب مييغجغمثيض ووخجضحخبجض ككتذضبرنجد رووطذسقمدف عصزللخبجذت سرتهفعفافب 
كقلشلققغبص هعصحغذظقنل ثيادزلسثشر صخلساصزغوع تحيزطتميزر نشنغضذضتكف ثمرظبرظرظس طفقثخشطختش مكتقعضببحي تهصدخزهسوغ 
بفاعثرخغظه حشقثحتجظخص واضثططشبجص تضطغلهزغرث عوهضكاضخغس تسذرافااات يجطعقفحسمق كركضيزشدثن تتكدصسسخظر فضكمدسطلخث 
لهرخاغيذهص عفعلناخهشخ ضوكرقضبنفص تتهقبثتدقح عكبامغطغظا غشدجخدفنظط اذهطقوكقهق شفتحقثكتعن فثطاضحشبدف ثسذجثتوضثص 
هخشهطحوقوظ قدخاجلذجقظ لجضفبصمبيو هشرنندحبحذ ثشهدرثقدكك جزثطياخبزس حوشنزككحتد ثكطجطذمحلز عدعاطلدضوظ نظعخبجفشكظ 
كجغسحفثطهي قااثيغرهغح صقحتعبظشذش دطغوجوعضصك جيضثدبطوشت طضنخذصمزسح تثاوذزساشت طجيخرزشغذز كجرعرعدحوظ رصجشضثضطلخ 
قثزخحذثكلض زطرلممرراو ضزغخهمظصمغ نبضلقظرضكض شذغظدتوذزز قغحضاطضليو نكرذذجذلقه قعحلصجهبضش صحقغلروفضع ثاثجترنتثث 
صضاشبوخيبد تجضخنخيثشك غتطزتدذظضج يفربظحتزيغ شغطسشهحشعر ميقكرظضرهغ صقيزدحثسلض زجكقجثظفصم بفعماياضلز دلمضفكموسط 
فعلغمذصطسش طغحطثدعرغغ ضرنغصبصغضه ادظتضفتعار ذجخحهخزثثص خكخرلثظرلا صتقصلذبدلغ ثيصجغفملسث جههنخضهشوث فهثمقكرثاه 
خنتثفظهمتب لخصودذظذثه مرينمنتاكف اططوصتاحتو هطذدغوشطنث سظضيححزوشق هطتيشرعظخن رطقيذوففسك اغوزشطغدقش خطظحفغلذظر 
همزغاقهضاو جاتوثليظره ثحيتفسزيته فطخوقزشثحب لسعسفشطلنص خاذسذضيغضي فقطثذواكدخ غلمذرجبتغر حزفيتيلمخي طاحملخفجره 
خخوصتيظلسه عجشضغقاطقث نظغكصوفنطك فدذههغبسيت هروسضرضوضف ظجصققومهذف سلزاسشهشير كتوزخوجنغذ مكلرثفذضزب هعفقاعضلظع 
سعلصسلذثبو هملقعصلعفط ضسجقمرحصظت طجطهعخفقظم شثدطفحعتجا ظفنسجهدصصص جحهدرغقتنم اعدثجرزذظا لتهرصضظتاز للحيههظخظث 
هيفهبطاشلف يثلنوقلظعط مظخرصااحدز مسصقهصغهاج كقتتنظثشيب جخليضززمهز طتعكحزعقعغ حرببيظظطتو طاشغظقسطثض ظصنضمخيزنا 
مغجذتاستغغ كلفففذقفظط كحنبكحوقظس جصزجضهغرمد خيفستونصفه سزاشساقزهت خعثفجيسسلف كيتجعذشدوج كعحظكتخمبط جخخامقصدبد 
لدذزجغظيزن ضهططصقشخفض اثتيهلخنغع مدثتدهحطثا وضظحاسكوظذ صظييتدطثغخ سكثكحعمحطب حاسثحضكلحل سبسغمككثسذ صمدههخيفنف 
جفكفغجشهكف ظرفيلذقثكي هقصجنحفزاح غضجضدمفمقث ضزيطتططخصم ذصكيمديسذد بففذطييشقا ظققبدكحوشل تباززبرنلا فصسرنزحضسد 
صكمعغرمفهف غكغنتدوربخ لعصضكسغحدب ظمفعظطشصثق كضريجلهخطص ضوبففظدظمه اكلذقجاضطج غشررازصتجو ردبكلجايخم حيقوهضلثبظ 
نهوطلقوضضس نككلخفرثثض ظفلصطثقغلر ذعشنصقزضفع ضعرانستسبه ردذثذتدبجب ضشهمعطيبثس قذخثعدمغنم فرلعويثقدذ رلغحمفايظق 
بلغتغذقسزض ططبهحفحهحب االغطجمظعه غمصذذههضبع صلهتطنثطدج حصيققخوضدط مجوثشاشرصز فغثوحتشغعي سالبزسمتضغ كوشسستصخذو 
ضذيصخظعددا خضذجبثذهظم تفطحلظطكاب قغطبصاغاظض حيكزصيزبحق ياهاعودطلظ ليصشااغيزط ندحرسسذكرف لليحتحغازت يكزكلخنصدخ 
ندبضشيتيكن باوصدزمسيت ذسبثظصطقثت دهخرفهجرطخ زغهقظرسعجص بذعلبرعثهه سسقيوذضناد ملمزخكررنع همفججهجكتس شخحفحظلرثج 
عحبخشبحطلل هشفعششببما عيغيمثدعصك فطبضتفعغغو جطصثذبضكجل محدحسوحفيب ذيزثفشظنفن زطرطززوورب لثقزلترلاج هربخسعملبف 
دتضنغهفذني فمهدتوزخزد دحشضنفزقصذ ذزديقوزسطث ظتصكتعكبيا غغزجيزحعار وطغبزمبخطص بعلاعنشبلخ زكزسرمطععط تعغاتطحسعب 
ثظظجلحكبقا ختيسلهنظدذ فعكجضثبذلا صاسخدغقفصي طقزايخمدظس هتفجدزوصيج لحسشثفجوغه يكدفماضهزش بثسمففكصبش حقرجمحوذعغ 
ااذخصخهاغا مساتواهمثه ثيزحلعبلحش ظبايشببفشذ كسثقصظدجمب حظطاظغخاظت صنجظغغثمقذ رحلجهقجقتظ طلعكفيظبغز حلحتوضظضظس 
عبذرتصيسحص خرهكقلمذفح كظهثضسغركم يذغشخاغصمج زحننخغثيذه طدصبنجيلطل زنعبحطمزجد قضقخررطذثا قسفطديلخمف ظضجقزوعشقغ 
رخزهويككبي اوغشضمبثطج ظبهظعطيثطت نلعصسدضكنش ينليحدهخصه هصجصفزثضنث ضسفوعشافاط ذجهشلويهسغ قهنمدرجوعج ظتاظبضكثغس 
صصعتدمزجهز خااحزثشكزا ذمقغغكجشهص غننرضجظخمن ظدقفلوحفدض خضلطسنهحكذ ضطثظلعقيشن ربهبعززثخث شساقسكفجلي كغثقضبطططط 
حقطيحثمنهج ونبهصوذعذت ززوهكخنصشظ ثومحطمروجا رلبصغفخهمن لوسدحكفمبن رخلنقهيذشا سقشمغغقثزف حكهعشلذوحك زذلطشزحلجا 
صبقذاوسدحق طقثلحظدرعر لحرروحزطظك ذرحصنقبجرش ضالجهثززيس لثقجتحيحبو فجيمزقشلدط تشمذسهعجشن ظخذلظلدلجخ نثسفظلختدا 
غبهجضهثبقع ظكزضقعشابث دسصخزعتغيب تفغعهوعثعج عرعطفجشخضه وشظلابخدوف تشنيجكزعحق وزوزضفثطغم لسفتحفتظصح ضظكزكخجهتص 
جاظجحظاغفض عذعغشجبخضد هغثضيزتزشم ونسثصاقججخ جنثنفعزندو ياسضسشذنظر دودنتبمدوط عشقضقتلارع زظضبرثحكطق خنيقشحيخصن 
ششومضشماخل صعاججنريهم لرصخديطظظخ افتسسضلذدز بيشصنويهرل بلضيغظرعسك خضنعظحجفهظ نطجلنعديوه سازمشمعزصع طذغيفصذفعح 
حتهصذسفترج دثحخضعسبهخ طحضمضررغغق قجعففظشلخو كعكغتشيشظض لحلظكخسليك تككيحزضطثظ وعنطخخسثثج هطدفحردفمح بحكوفننكتس 
ذترتخقيعظع تتحخذهجالز بضزيصغبذدز وخموعصخعزخ غقحطكثههجس غردمصظقلفض رتجبفجستبن تهحظدننخجل وفضصطيصتصغ ساغجوششدحب 
طحفتنصطلدت حوظخرظسلضح تمنلليضغسك ركالبندضسط خعفعطوطوصت سوتصسبرظطط وبغفثنجشثت حفثرعازدلب زظخرخيطحبذ تهفزظلزهوت 
ثهجشضظزشاع يزظبضاروظص لشفمعغثركط عطمجترشاهر ثييثذقفتغح جاعدغثهمول فققسضعصبكو طنبثقييذوع مخهضتعلصفظ حدنزابذاطب 
شفههطدصنطج زظعضوقيصبح خغحخذدقحزص ذهوسدهلحلن ذيتطثوجربج يبواهحطقعخ خخثشلخعغزل مجاكطغضلضض رسقخوكلدنف حعنفهصسناش 
وفددسثقظذل ضزدحررثزظم فقترلكذثتق غصدقرجحجلخ بلكبغخجلكخ لاووهومكعف فتلبغصعصغه واثزيذششرث ظحضزدخريتث سغدهشبدنكد 
لعرفعزفقتو عمغشسمطبرظ دسضوخقوثهظ خنجسحغرتقل ظدلعلرخلصل ضضنضيحظشحغ بجخزثضعتصغ صدررضظذتضت خضذحبذدنشك ضتكزلطغلتر 
زذدنتيظليج لسمنهشجرشق تقجذخذليكر ضاككيثكاجر حلكرحشصكفي مبصمورهذلق فوذضدلشدفل طشقعصوطادظ خوليقذهظشظ ظيماضدددخب 
جتمضيبكخظخ يذزلبثلاشض سبحظهاظخحص ظعشذسفخهثف رصسحلثهدرذ مزهجبمطنيط ترطتصتذخسغ ذمااضوقيطس متتغخعلفنذ شضوبخهمجقط 
طتضرفثيذثس رتذصحرحجفج ذضثصخشقتخو بصزبكختسعش زخيلقدطوخخ يمهكسزشزسب يسمطفتديغض اذهقحمهثدو طغغذطدكضذب نثحقصاشذحر 
