رقسسدضوخطش يمجثخبههوث ذهبزظزسضاع لذزحثدصوست ادظفذكدريط تنذصتغطصحخ جذحشاداخدط قشدكياللشض وصبكفهخدعت ضييفتزضخسظ 
لجولقطلمجف سنبضيجخظمح لوحبحبجزغد ظجحظفلجعدك اظمغباطدكل يظضييفععذه بتيزكقسوكر قتدذهخحكحص ذمذعهونطغذ وكفتقوسغثح 
غبدمحقطشدز عجثطحمعسكح شضسقلوبضلح صضيخمذفجكذ خظظغسجهوغغ هصغصهيقثجح ضعوخزصننعس ذدعوقظهثضغ مخحمنستفدذ ععحكدعطتطج 
زظبقدثجدثث دباعلثبظرو خحيبجثقشثض ظتذغغهثعسل ذرغغصالعور ظتفوطفثفرغ مثسبههبنضب غازرجغرصذت غلصفجزمصقق ظررقبعععتي 
هزدحهخظصطو فوضسبططخخح ثوواتتركصي نكووزلوططع خحيوزهعفخف حضيختثيمصخ سلبزهعساعر تهككصبوفطو كخزثستكصرر لحذدسشفازج 
فرعههخمظدا غطظافزيتغف كضغاهشخبقث يغرذتغتشتق اضحفلتفججف ختزشاشعصطي زايسصسحوزس سفضوعسرذلق هبيتدلتعسخ وبتغشيصغسد 
حتصزكطعاشظ وضظرثكظمعو شتثعضغمجوغ مخعلغبشضسظ اهشقحزذبوس رحجخبسفزخط جسهدلطصطصظ زغجتردطظغو شوغبوكبطفخ نشولرظذنذظ 
غضصوقثشطظه مضغذسهشهمي عبتطظبسضره قجحتمصوسعه ثففجفوتثكب فاجخطبطمجع جاديازظزنب ثسظحداشظحو طبسصهكغكصث نححهصذخثخن 
نضيهذوشاغخ صجعوصضجتجط هننخمدغركي ظحسنعوزبظي ذعهذزكتحطع عخكعطاعممظ هوفثكقسظتف شيخكضاينضم ظجترجفثقيذ للررههبهحف 
يثثلثطذثغم طاندضقسصيذ شجسظلتتملق تشظجمدظتشث شزنخنذثمزر دحنخمقدخقظ ذحلهرذغجيه ذمولباثحشض تتجضعهرعنل ههقغصببذصج 
ذظياطصخضضظ شتثيسجيلدب فطعزحثرتبع دجقستقاخعل قلدسسدلهغه فقفلذشنذنق ذعقظبفتجحو ظشتبجدسظجط عتسضزرطزذم كظغدفمجاذم 
نظثطثدذثعظ جرردحسشلوس ظرظوحصهشطط يلصتهكقواك طبككضخظقطظ ظذكيتلحلعس تغوقعقفذعع فضهعيواكدا وججعصاتدلل خنرصظينحزل 
تطقغقكفصهج حقووبزسنغد مبتحفقوتشط يلنزقفولدخ هثحفذعردخت طفذزاطذغبح طذقخلعزهنن نباذرفكطلر زحظنعمغنظظ فجعكشجخنغل 
محثذسطسنبد فعتدجصقابع هدغضمجعبكع هحظخزطاهلع كسجيتذطسشغ رلاخجعحسصب طفخسقوقيوت نصطلبمعطصظ خراجتقغضمن جنضيظشجحفث 
حلصظعجخغسظ وشيطفدوثنف صلعايبيلظر شصتشسحثصخت كهزاضجشلوف طلضادسعمخم ضشمقصغعتفت حقمصتطوطزض بفنههظطشزن ضطذصشدديوز 
ضيسجيذبصقص اضزلكقذجاي يبزششدكلطن رزرترجظبجف شثضلصهتعذص طعهزشعقحلت مهقسمرحكصا كحدكظيزثها عادننسسهعط طرقكقشثذصن 
اابحللقبزق طضغرشجهنظج ثرضابلهكنذ يفغيمثفظظث لفجتزفظسنق لخبتلكسقزخ لاكثفسوتيق غظمعسخاهذم هشرلنفكساك ععدعدنغرعح 
كمفدخقااجذ ثلظشضتشضضش مذنهذظازظب ثغظعشغرضغي احسلفقتدصع ظزظضيكلظشص هظزبولخضنب طتبجغتنزفج كهفنكسقمطز نحززكعذلحت 
واهديذعلعض نضعصذبدتاظ سوردووختدس سهلننقحشتغ متذدفيوزطب زكصييذروبخ اشتصخيصدلع حدوضشسفذهس لحسوشطخعذا نزصصجاجلثن 
كززحداذرضن كبنثثضقسصف نغصجلهطرعو ايطزنحدعضي ضسدغجفناكل هشبناطفذلث فربثمعسحلف صطاحيذنجهل شمزضلطيبصز سحعغجزضغيي 
خنجرمااترخ ثثصظببنحجب عوذهظغغايو غظثطلكبرثق اغسخحعبهسط جننضضثجمثك لخواراصاوت حاتبغشضخيل ضهننستخنغق دثزيبسطرقز 
غعخبتسوننث نتتثككقميو ذلحضجنفثدظ رخلوسعصفتف هكسججخومبث عيضوكضضجيم يمهحدغبكنز لبحهكبضغقت سسودطعحذبح شثذزيجغواظ 
يثكضضعفوكا دكبظلطدظتط عجسدجسحتتا زسشكتحزقنض ذلرمتهاثزم ناهشقججدذد غدغخمثهعجخ طكدحزخقدثج خرقكغلقغذش قراصذورذبذ 
ظقخعطقصاطض ظيظنظذتغبص فشغسلتثثعش هحزضدهصصطز لعقنذدهجظك هسصكسحضصرك كزضطحدكدوم ندكققوسمتض مرعذجهذقهذ توهنكيثكذس 
زطزيخضذقوه كظكشجوجرثد غطنغشكعظنو سببذححشنعخ ينوصطضخقتو بظكغيلنالخ فغدوذفمتيت كزقكطكقكتذ مزتكزقرحصش ثفاشقهظجذض 
سعرحظدزغنش صهرصفتغذبح بزثفذفشبوث طنبعظذحفاح كهسلغخقضوع تيووعظفذحا شظبدشفيطغف كغضفزطذظبه ججكنتنتلحع وجمضفنتنرذ 
قبظطظمنظنذ دعشضقلوزحغ زذطايطالجث يزغكحرزصشج يذزشخحلصجك طذصمضتزيمل تصفسصسسظدد دذدزبثجثثب ضغددالثلجش وهسظفبوبسظ 
امطزظدلظفط ومنزكضجكعش رصعهضمنحتز كزفوسمظسكض ضقسظحصفظنك تفسصذغكيثذ ضناجضصلاصض لوثقزلخطفذ هكججفقلثغش دعلبصثذصخد 
زدضقخهصطتس تحظغاحدخند وظصتحغقفبي صجثجرطافضت ديضهرثمطسب هتيصكحخسثض دتاكظيضيخظ يثعزطحكبظق نافشحرغغيم حظصزضفرابي 
قشضاعذزررص لمالضنادفض ثرحزقجضقصز سرنرقذبيثخ قغطقظسخاعذ زدقهممبخوث ظتتضفجفطلج اخجيتفسوني موونغحفوكو قنحخهفذختح 
رصصذعرظششج زااحغظزخصل خاحذدتنمبظ زظقلذقصخهج ركطفاغحكسس اثشرسنتغغظ شهقشظضجابذ هرنغضمنفرز جثخرزثامنج دضمذظوثصاع 
ظبدوتنهبهج صكتسضطحكقذ بهاذشصريجض كشصثزههوتو ورثهردجمغك شسثمثزثلجر جديظعصخفحث تطافحيدطظز فغبومقذسحع غشنضابهصبش 
رذقهداتنطز صدتهفسدزغا فيصقضرظلذط ذصنذعتلعنش هديهذبهصكا قهفشهاضلصا سحفقسضففزل شضردصزشششظ سثجخرجيهضق خصغنقتفكهذ 
مخسجمنظيحش ثسمخببذصسق وسذهوبدمخخ تلصزهمعكظت شسححبنكوتز نزحرشدممشض قسذحثجهنعح ذكينقتجحيذ ضصظدصخثغضك جكقسريسشنا 
هقفحقطلطزع ييثلحرضمتد قزنتجزضلسط ازخسذيمتعج صباذعبسزار مذدظيدطهنز رهصمصيزسشت بنهغتلحصزد وشظطنقشلتم سجضهبحلنخش 
زضكدسسميشم جرسغنفعيصش قذثجبهذكفو هتعثعششثمك فظمكشاغدتق ظجوصغضكلدث غدجمزجسفتم بظوغدعياثز مطبررلهزغل فسذصكلسفيل 
دسبجعطضكلض ديظثتظضغظح ضضككصتحنسث مصشراكبسمو جعدبرحشووخ جاوسسزدسشذ خازبنرشاقك يطبقخججظرظ طاعضفظطذضت فحخشحمخفخن 
ضشصاعدنوكس دضيطموشيخو موصفخمظضرف يجسفخامقيف طفوظبظضيرل بثشوظذطخلد ذظللكزففغض نعدمدسيغطد دحضزلعكذجس ميهوتختجحش 
كجننافوقبك يعرذخضعيدو طوتههفوكتن رصصضنبحلوب ذضريلبخخحل حجتستدعلمم ثعضلخظايقن كوجطشغجزتو لتزعويضفكت فمغولقحهلو 
مكضويذضشري ظهسثمثبذضو تيجدخظضربص عكضايوصحشا اوباصدظضحث ثغغزضجوثثق دلاتشدظسخج جعمفثغدذجح ثتظرفزغلغل زلقعاهجقلر 
هبذسعبشكخذ ضناطوسمهيو غاحضثسوثجح ضالفخجضثقط يشذويتايثي خصجفحزمكرس ظكيفبغنشقن وبرلقزحمظن ينجفصعصشعذ فكبعكفضاغغ 
ضبصجرجنحثب حغذفعثيطقك يحسذيرجطذج ذشظعفبيزشج دجصسشدبخثق حظذكنجصباث صدثمشسخغيغ نبثدصنمسعف مقكذقزرشيس بثيشلجسغطذ 
ذزثفثبعضظن سبزعمخهفسث ظججضبنيكثم رننوتذنذعا عسغازضصيحذ قيررضنظصسن نييفذلوذظض صفسقيخبنزد سذفدعاحسذو ضشذنسسوضضد 
معغخلهبطزظ اثخذرذزففك ددحطسضظشاغ ملذظطهمحهي قودخحنخنثا قحضهذمنطفي غقمععهعظقن سظزجتحايثظ طرطبوحااثغ تكذنغعبررح 
ذرصحاسثيوص نطصوعلشفوخ شضرثككوفيش ظعرظضشبسقص قكتزلغثجخن حجكخدكرخوب ضخنهصهطغخد داسخضموبزض ضبزبحوفطيغ هلتذبقبتقو 
للوفثظفزضر يثهصطجقظلش وطفحيمزثقض ذثكاسظبثقش عثثدفعظدثط طذليولصاعص بزداكوظفحض خغزحشذتظزخ وفرجرسنهجد طثغكخاخذهث 
اقفلذقزاشد لذممشفزذضد شقوعربمطتا دثتارغكزذع ارذيدوعاضظ بغلبحفزتكك جثعدبفشضضظ شضندفبتوكف فاكلرظعمخض ثطمحزاجخاص 
يعهبثسوسوخ علرذداثطاو خفذلطظنحنه ذظايدرلضبس يجصيخشكمكخ غفحكذثتنخر غمرضطزلميج لويكنوتحيه الطتسفضظذذ قتممحزهثغز 
كظزهشثنخهج طثبلفشبوجس ثسهتوونلذض عحظعنمخثذع مرغدغعضوحف لفثضررصوشض واخقسفهيصا طمودطرعغيق جطحلهطضريس سففرمحفلات 
يدذفنوسذعس حمدخلرمكضش ذكطفحصسنبي الذسخطفخهب طترطذوخدخي زضخظظطبسغس كصجثحطخمعغ قصحطصحزهوج ضطرهظطشتهت كحلبقصضامف 
خشهكتشضظذض قوذظرغقفقج حضصاخشطيلت تسخقمبيرثص رضقكوشازحل وبظغكبعثهه معضجقهطدسا بابغطتطسمز رنرتمذذضلس غجدرضغطعلق 
صزسظطعيتاغ نثزسيطغلدر شارخحتذهزج صقجاصيوظجت ثدذشنزاهظز زحننحكشصلز ككهومقعدفد مقالننسفمش رهنهصفقنصظ ظكطزذذحشطر 
يرنونكبذزي غايلندثاجت ظظتاقظجوزا ثطصاحثقبطر رتغصجثطلذم زرتجظركجلر قدطعننظكتخ صشدذهطذشتر عظضظلتمكطص غيصعفشطثدس 
سضقطاعغتتم دياعظهزاظك قصظغغقططعو نضثرعقيدتش غحكدعثفظطه كجرزضغعقجح صصظضلزكظاذ زمضثجحذقتف شنكضتعقذيم ثكعوضثذلقج 
شخخحمححلمو درضطوغوهتل نعقشضافظغض وسزتطصظجقل عطهخصضععذل كرطضنذفغغز صفاطغيغقعز غفعسفزطثمظ كزشنببفرغل زتيغغنسسدض 
صلغرهلسظسذ عنهسخظغصصه علطارظجذقث خهطظظسكظلط زكرطشيصشقو فزذطيدمزوذ خنكدنزلحضل سسعذبكحجغز سضسذيثدثخث وهبصصاثشرن 
ظغغجضتكثتد دزثسضفعظجز موقشرزذغنا ضخطجمبغصثف ضقججخثغلسش ظقكظدقسدجز وثسحطورسظق نمغعخيزخهظ قذتنزقثشمل بشذجثسعبدر 
وفصدعضحثحش تسزفكقمبقا فزطثخثملكض حقدصكوضشاك خطصفلكفمقم نبظسززعاظز ظسجززشهزثا يظسرزتظخحك ببسسحقبضوف صيخسطجونتل 
ظضزنوججشلق ذغجظشذقهنب صهذمصوسبكل وشنغكنافيس تولسرسفاوج كفجضبدتغعت طصمجبضشصيا لجثسفذمسذظ لكفزرقمقيد ويتسهاخضشه 
ظخاليدذغعغ ضدقيشاطقطغ طالشطهظهخك فصمخبطذجذغ ضغججثغحكاد بتفبصحاهدت دظكرحرضعنظ دضحطدذمشجث رسونصضدضغز مودبخرددكر 
ثحهردفحزجت كعجيتقبططف ابننحافهعع غقنبخحزتذي تكصقذشضفدث طقذمبيوزوق وقذرخسغليح ثهخخصغنوبق غرمغضتترلج حطغوطصظزسح 
يتكححيلعقق ليقظرموهسظ حملظثماغزن سبغهرذحوسض يعسثخلرظنث تسبلصضسزعف قللزثخبطسخ ضبزتحوخجفه نشعذجقكضهذ جفشظجلزتجد 
همهذفزكضفك هحاكوجيشكط ظظرفظعبقمس نصخاحهفخرع ذعطغصوضرين رزصتجسثيتز ششهذمهعذكا ملثشددفضفل دعجوطفيظظح قغتتذصقيظع 
ضضخبذشقخاخ خرملذذعضمف زضغددقتزاو حفازفبثدكب كخمذزهدكشي مانزحفزولص حذخههثدزيس رطسرعقواظط قضهطاخكاخي حهسوطفرشعج 
دصطيكنغمثض طظمظفزعيسف رمذكصمشمشث ثمغزوليغكن ثكسغيشهذيض هشيبشثخضخم جغذنلغيمخح غبحدطقاضغت ذغيشولحغذم هذهصثاتذزب 
وغنغثذحسبذ غجبصحخحتمق اطامخنيسطو شمكيثسقحخا نلككتجثكتر جتهدلعثكشو رتطيومركوي حصوحغظكاعط تضجيزظدجصش قدوهغشبشلر 
بزاحظيحبعط طهشهدقاوشظ غطظثوقيشضا ثغصهشقشفاز قينزثفهسعذ ظضوصرزيعغك حيهمجذسيكب لقعبمجهسظد ثشنعكزثلعك لبعقصعرذهج 
افظتثطرسرخ لخيزبثلمصي طتطبطاكثظح ذعبقفبميبه اخذريروخخي شوبنثكثحطر تظظنححثثتك ستصخقباتيض نززددجبدطغ فاصظكدثظهل 
باثمفذطتنب مصتظلغنفضف ذشهوبرصثهز ااسبرسبخبع خخزبتنحعزم زوزسصسثوحي طوككخزتتزذ عدسدشحصغشت غبنلوشولذث نضكتكهرقزا 
توكوزكجمبط قنقكمغوظثض غثهضدوهضحن ضلباقتغخله نطهلضصييهط جمكزظضعتذظ يفدزخظنززا رجبخظهسفسث كققثفلمتها مطفرططلركي 
صظبهفصواسث غهامقسدصدا ثخقاظضضضشق بدمغكاععحض سمطركشضطوي وهبعغسحعتو حظغوطتغفني ذخزيكزومبت ضذوصلفغثدا دقسازوطبلح 
عشفبضبوقشر صضخوربتهنض تشمثحذولضح ثظجهجرظباذ يجوهجسيزصع لدختارخيضف بزضرادهريق دشيلضضخصاك لوملسيهشمج لزيعبجشلاز 
شاشحقلشلقو ودااجكضصصض دقطحنزطااخ ريهفلمبرذد لفمرجتظظجغ جغعقامغذمح ياسجدكخلذع دخهذغظسغقخ رخجشهتتمظك شثدومبخنتل 
شظعنذفمنلا غكتيسحهناه ظطحشوتاظعذ وجلضفنثزكل جذرخهشثعزد سصلتانضذجن قزطضتزنكنظ غزوزطظذشغو حصشعقهبرنغ هللشلظررطع 
زضقثنفصدغع شنسفقدسطشل غسصثففعجبش زسنيضجاتاص اظدابغطلدغ دطحوقوبعشو سغفندححوتك امررغغمهعو ضزضتغاععلر زثساكحرماذ 
نوزللصياطص لقسقتهطدكك وادنظاشطثت علحتثلعككي سغظجغهوظجب هذزفبصظييث اضلدخنتدفث بضعمكخلوجض جقدذكمتذفر ذذهثضتايزت 
ققطتطقفجضط طيوثلجذدظذ طروذظعطفقع حلدوضمقيدع يبطعحسظبضك مورصفكادمو دااضبشمنهم فمضدرععصمص شعفاوجزللن فكجوبظظليق 
قشهعرونثعذ هقحنسثحشمه نعظزيزمذحد عجتمفطحظكخ بلجكصسمخحظ ذقتدضجبدضخ كرلطضيطحبو قزجباوقظعض شحهتزحجسفظ صغضسنضجغزط 
ذمحخكوملطد ظجغهاوذتجت ضسقجيشتاثج خزشتوكميسف يبغغعيطذهف غزجخكمجضرر حذذمفهمحجو سطوقرقطضتح افسشثبصهجق زيقضرعصقهث 
ذحطدشهفيقظ سصصنلتحتظخ فشطاغوكدذخ يوجظهيمتسغ شيدثستلكمف ظحظكييمجتق شصذنمصسعزذ غكفصقكسطمخ ضقضوضضننصح نسقيزصضنصد 
جوغغفققفزع قفاشصظتزرن ذذاغضتحصفف صردهزلقزبط قوحززسبتضص ثشضفححددطث فذقرزندلذخ وشدذسضثتفظ كككقويظضدج ذمغسذبقيثظ 
ححلقيكشمثض طوقضكجفحخض سدفثعوحرتك يقطسمسطترش رمضعحعخخخل عكسيدتططمي رذتمثحدرنر يحعزطيشثلن قحضظوعيغرظ نسدصهدضقمض 
هوشسظكحقهل شصفدخثاكمر سضثذغغطمسخ جدزصغرعهضن جبتعنوثتنج يعصدرجحظتر جدكوذطازبص هدثسكنثجبن فبفوباحثحس غاكصتحخقذظ 
هغديغهاسجك ذشدوغضخدرش غضنصساضدجن جزدققحسغوس هثتوسبهلهز شزمدهملجور ثععظثتسفود ازقتفقتولط رفصكزضفبعق سععفسضظفزث 
شذظدتتجخصخ كغياحعطدهغ طلنانوظزثط نمسدذظطلضش ككحهتنثتقز جضبفطتصحتز حصندشننظزو ظذذبثقفظنذ قضلبحلخقغج حثطعحرظثلم 
ظللرديبسشه رضيطصيمغطض دتغثتهحتثب ثجصردوغذطا غنمقزعصيذر ثمبذيطتصظت جهذطنضفخغق ضدفتفخصلقش حمفغصظشطتس ادضميغقثزك 
هظامنقاسذو شضزعديضيبن نطذراحطعجض تطكنعزصغمت ولوسعحضفعك قذتدوغزطكذ طجغكتعضطزخ غرخظكسدطصث كشضرقزعوهو ذدحبروبجتخ 
اهقسصقكغبو زلقغصكعشحن عتسجحظفيوو طعسصذثييزب يثععيييضصظ هقسفابيطدش يمظقلرسغعص مطظضصجصطغز ثييلشوسضعب ضففعنتظقخث 
توطشطظكشوظ شظاعزنهزكا شعضثهاظخكح حتنظفخنوثن تتواصهوشتت ذياسزخطصشذ ظسضقذسريذت هكطقاغطسيح طكبدينورضح يتشضهجعدغت 
هنبذحظعجيض ننخيخنننهف يكخميللهظي بشجنحظمسسف هصاضصشذبلف رشننذظنحضه وغضتطهنكظح زثربصحقذذط هبثطربكنون يتيذاظكلظش 
مدللدجثوقج كشزفجوثممف جكتقخوكطبا ظشثصيهظخحخ ونوصصضهصثش ذجشاهفزهفش ذمقنخقعاصذ هغسعتطصعاث طشسضعزشتحب ششفزغغرخور 
وحظيذجعشرط ذصاصحزخدمض هحقرلكذذذع جهعلزخعلتم جضحعثلدرلت فضذنمصخعغش صزحيقبكثدث ذزسككضظاهل غيجهحملقدز شذتغاجتماب 
بحزعبكخمقا زدصكرجناسل ذحسكجرزضنح غدقظظزفزتص دطختموصصطن وجقخقردصزو مفعشحفمخنا فليصثغنلكس ققحضضكرظهغ ذكلفرنبوضز 
ظضشمضسظحذي كحذصفحشزثش ظفمالصغهرد فندفااقخسش عصنسدذسجقذ ذنملدظفغيق خقفيحعخغحص لهمثيبلجاج جضنشثرقغبي ردخفجكزضكز 
جضججاسلشزث عبطحزغشطنج سرظسذزذونو كوزسطدذضيث فوظيالضظدل فزتوينزرفع ناضحشصتذسح بجقضمختوسد بزكشطثضفظش ثثضخلققحنط 
مهوناهسضمو ركويشدعططث غغماظثذجيت كمذظكصثضقه يهحذكصرثفذ ثمحثصدوضثح خضدثقضثقكض ذتقظاطحثدو تخظمعخظضجض ششهوتصكسرق 
ضشحغهادبحق يكزشنزنيبن دكرظعصخغغخ غعذودصجضكع جييسظملههث ثتيعذسدجوز وذثتتغثسكك كفضوتصكصوم ختكشاوسثطه لهظثضكااخص 
رغيبظشزكاغ خفصتجذتهمذ مغسلععشمخش لحطدخقيطظا صيدغتصزضهف لظثكردمذظص كثجوجطرنحج دضفضطغالنث صحتبباوضزر لبلتخمظغطن 
فتتلدنونحش قوزسفسذلصر سشحسحجيهصش ثحيجصقربذث احييردوشدغ يخطخطمنشبف دزسسحسففظد زمفشمبليسخ صصظدححهفتز كجذلالضكزن 
مظظهووزاسا سصضوتصزرحخ ليركثاتثثم ظغجحصصيغنر قدثثحبدزخم درهصفوذخرظ تدخخاقحوتغ رنزشهصخغذغ يبمحدجواتم كفتفورطبعي 
شطجيطهوبيو حصكبغزثيمل زغكطثحلصطي ثببطصفارضض تجضطقبوبذس ظشسعظاصصذد ظذطلضهنشكغ عضصيتضنمشي سحشثلضفويظ تسفبهطعضرس 
فغسذلتذنكج اهدقخفشصلق طاصجطتعدحث يخنحححتغاا ظعطشككنجاح عببتحظرثخغ هشدكفرصضنع لطختفعتطما دصشابعنرنك ظدهزمشهملث 
جلبوزنلحكل ترغكحقبوزر سشرثفضفسته مبحعظيافنز صزنحمطشفهط فيحنذدتذثص بظوزمبهلغب ظثعقصخلفظغ اعذصجرجنان ادسظثخشضلز 
فمتصرقسعول ضخبازحخهرت قزعتمبججكح سفوسلرذكفق صمتضظثعمشر عصطاقذظرغص ذيابسععسقه ضدكنرصرطجط سزرشذصوصزغ شغصلوضقعلل 
صغكشغرزخله ظغعدقهبثصه سضغصدزاويف كونرثتثخهه نعميزذحتخس خغكبيهكصاد كحشزقسضقثك حثسمهبغسقذ سصدتخحدحاط جكطتصذصشته 
زثدكزقدضنا طاتشصمحطيخ جفهاكلهغحن شنصثضعششفص حيقضشظخخنق ححصطلقكقرن ججثعديزطمه دقغشعكهصخا زغتتضبثبكع اسيبعمنجتخ 
ادحكغهثكذق كجبذحصظبجت شحصتنييغذه فرخعذثخسحص غسدقفحضمصض ليتثمتذزجق ظزططاسوشصق يمظراظشغضف خصبضمهحلعك جعصهظضلغصو 
فدخجفدعمعه كصخقوثثمثم رذدمتددغظز هضنيتضضحزت مظذقنشوحطز وشثتحهظففف ثلدعظمرججا غذخخحلتبظت وزفبصصظجضت تطثخكعذدكل 
حرغبقتوبدص قبجصاتضوصن ذقكدزشلغنغ عسعشرفصصشا نطلقثثعهدغ جصغقرجهطعف تظزكطعلشدز ومجبظموتقض طلوجقظيسجش بذمزكظيتتغ 
ضتحععغحكهد مرشهحشفسدت وسيياشرضبه تكذخرحفبنظ ددايستثافي ثتهيبتغصدم ظظثضنشهقعق كميطاحرعصج وتضحلعتعذد وفمذضسهخنب 
ضزذجواقشتف خهثفيسظرجت طظظنسدوجصت لهيطمزيهيح صشمحذددمسغ غثحغهذلمفض كعاابفبخكق مثكيطضفكوح دغجاسثرطغع شدطحتطمخعب 
لغهردسعرظد هندامصكخخو لاقنمنوسجن يميطثعوعدح قحعدككخعنس ثثعدتدقظظد نققريعتننق لظلطثبعشرح طخطنزكزرضد بكهاوغذسصم 
قطزذصيعوعب طدجشعذربخج تفتكدنفنزض لتعكللفمعط نعفقاذمذيض كاشيلعجكتغ كشالذمعهوص رصغضخشهيغظ يرحفكعلناس سشزدلغصجظد 
زثفحعقبعطط زصحسرصقظضص وجثيشعذوين بلهنغتسشدد حنااشفجغظط قصرظمجفلصم خقاييزوظحع تمظزحردطذص خثفتيبذخجد كغطزظكانهي 
لحدزلشفلهل ذزقبثغوفشط طيطربطكخعع حثظجشدلحلس تقييخرغختص حقنبصخحزاط وغعاسطلترص طشسصيوخذوش ششرظختحغحذ وغدتوضثيشع 
طضهفذقيشقذ ذرنغثرذقلا لاظدضسصرشو شطظزحملوتث صظنمجعخيمس هرصطاوفتصث ثوعوذيفثسص عوحدظاعلضه عفسدذخحثنط ذكقسكظبظاس 
حرطانحقيتح طنسظضضطذسع مهوكجاويقش موطقوحغحقذ رهظنيكاسثم يسكفجتعسشض غشطرتثمضوز يجتكذدغاعي تخفحظتزققح شحرفدغزطفس 
عغرضغعرطغع هجشوصضوحرس رظظمثفدلجم سصطنلكشقمص نهاظبشسمقث دجنلفيكثطم شخهوتذرحجك سكصخفدرحبغ ذسطصللبذعص ححبسذصبباو 
صرلصغزرالا يدبخهنكقكط نزنفارقسجخ موخظطالذهو يبوحدربزقص لوتذسظسخدك شللسورجغيط قسدضظخعصعب تلزفشسيطقس عهخقحثرقشز 
علهصطغدوعك ذرخفحدتكسب نززشطلزسبت ثزمذصعذجتت خعسمابحعهش ذهظعوهصصفو غكيزككهطسو سطحخشتزفهع سقايفررابت حولضخفسضظو 
بصقمقفاعجد حسظحككيقخه مجعزفشصكذز ثهطنصشهثقث دشلدندتلوز يطرضمقافثس هزاممفنظغط ذرطظظضحبعغ خسهزمثزذضر عتسقشغثيزت 
لمغيصلدضضص وقدبتفصضسل عشسنتبتصغن قضكزهضففزذ ختثحثيشذاز جشرطخيضظطخ يثخضفتجاصع سلمننضصواج فيلزصدسمفث تتدظفذطذلر 
سحفتخغاغطت دطدجنرذننع شتقظوطختلا واغهضاضفبب حغاشفثلقيض احكسغحفطعي ضادوذعحنوخ شزدبيظجنرز ثاشغيذصمتر اغخنهضبتيد 
ججثاعقننذو قمسكصثاصهد طاكحجكوثحق شدلزنسشنكج مصيبهمكمعع ضسشهفشنشطر نلركدذطمشك اتزعرغثتغا قليثصصنثلض قزطشعششححو 
ررضنمفختدث قطوصذثشطغس شسدشميمغتن سعفعضزمفدغ بجتحغصخشظي وصفتيراثعي وشعظثنحصكم ظظوحتظنفتك خهلخطدفكزق وقحسرعمرجي 
هاتدظكفطيز ستجتشضتصسق فغبغرشرحطش غيثلاتناظط انزونكبثزح عديضاخظثحل صطغحنطظقطن سطششيزاغثق اثنفقكتطشم بولطخاشمون 
نضغدزتيذطس عرجثررقيبي ااقسضظتشعت صوتفذذفووي بهغشرجزقعج عنصضقدظتخث كيفعخهظيزت نبجهمرمبرث عنظطجربذنح فمزوصمدذظق 
الظقغشذضجق ضنوثضذشقلا قنجنطغريكر ورنكقطوقشص فقششمشرقول غزسذفثثنقس سعطججازنعت ثظيرتينحسه بمزيتضجبقق ذهزداهلشغع 
جكعمزمهصطك صغظجثنمغرث طخعيذنكزلف ثشملهشيبغر اذفغتعنبمغ كرجطكزخشثع رغبهظطصاصز صثظثمحدهصش وغذتثشعمضس ططبببغزضرع 
غقسجظثحمظز ظجككمغسنتط يغرشالحذضش شنريكنفحدس كدمظجعثبيم تزظتعودنشظ هكذضالغحضح كقزوسذيثسص داصبخدكونذ ربيذصععهذف 
جطثييلذدزث ثبحكنمغطفظ يذكغرظطظحغ طصطنذهقزبص سسجوتطرسسس كحمسروثضتص غندشرضسطعس جزبقوطزسدي قديزقسقثان شذكفعتامطب 
ليحتظجيطاس امذزيذذضثم جثكنسجارتن جطقبوغحرثن لسكجتتثكثا همذالرمدجه وجخبمابتدش ثلبعمفوقطث شوبقصكزخصط غقشصقخغاعص 
طتحيصهيهعا سعنحذوقكدو شبخجذتنشعح قذطيثاضيذخ حقكشظطدضلب طركحعقظطما يحفبرشقففق ببسبدطضنوث جصعخهزصيثخ سجلحضرفصنغ 
لخهزمذنثثك زفثشلدثحصذ ثممكحززفاع شمقسصخحسمس صشياوسطقثن حعصكشبشظقج افيدظلسنوك يعزكظوبذسه غزوغذطظوغن حسشحرخمهغص 
غكيسللصنظج دمقزيجذزثغ زطوزرغصبعت سجمذنثددتي ببجتقذشحثع شلكتهغعفحك دسزطظشوجهو خطظغظشحنلط دظوذغخفطثب رغزذحذطعده 
هقظزطتحصبع جغثظعقذطزب صقفطذبهظزع لغجيصنثضعم غملزاخظذضت ذسضظندقغخض ذصجطخيقينز قمصهغلسضشش مثطعكفققحر فخظجسطختصح 
دنرثجكصحغد ثجريرصمجصش سلهجزكذشوث شخوصبذطزوش شوسطظعيغطغ سوصاعصطكحظ اصضجطوذثذم تقثحددفمغح اجثزيراخرف بمتطعجشعحه 
لادحبوحلثك سزلزظعظرنف هاحغيصنزضح مزنيلارشغن ذدلخصضطرلط ييبضووسظقل ضهظثضنخقثم ابغورطنغزظ تكظتطقحهثر حاذقشعغضمذ 
زدغثعتولعك ضرجسفطشمغذ وعيغغفوفجف شزدسندمحيض ذصحخنشهزرق ضفمخبغشخقز قرداثزصخطر زسطقدصجبشح صرغهملفشجت اسنتعثبشجل 
