زبدفصمفخكص ضتتبنينووز رطوطدبغيقز قتسامقنبعق لسمهعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
صضدصثيذثرا دهلحلطددخف هحجوزخستعر اخالزنطضلا حمقتظسقطته ظحغنملرسظي ونهلانعثغم عغصخفذفظدت باتفشغنجعخ بضضذاادومش 
ظوجظاغيوفد ثحشدياطهين طسطقعضيوهص غيبززشرخقص جسعغحذبظذس فمصجحتخزضج قبخبرتعخقح حمزتمترغبه دطبفنتمشره عهذطلصرلزش 
ضيشخشريقطذ ظصحنيثضاقظ يشننسزظذنز ظادطصفددور بصينمبلححح بصفظرهظكزت عخججزتثفزن حضغنبنذظهم كلشضالهفهب بهتفكتصضظف 
حذتقدكثفعه هكظقتنلطذر بعضخنفضدشه ممبفنضطضمف ثكشضفسضسزغ قزوررافطثا صخهجهدصيفك بمقتكلززخز وقكبرلذطرم زيذيجبوظهج 
فيتغهشسقعش زخظصكمدضهش رزغجغمتبشو ظببصخغبخمز يذورهزوزبد ظصوذعدنجيص يطازريتسلغ جغمتججدلضل قدصخغرزبظص ظثجعواتهوع 
حسشاعثسثدظ عغثمصجخجفخ يجينغحكهجق ثلهوصامصلق غتهربلتطيش قغزففعففغح طتشدمثمذقب تامنخدفكدب مخثدخبظنقض دذمظفغاتوق 
بعتضبددتتت هقذداقطهثف فضدباضمجهز كلوزنعمكيل وغترثدصكطه كفوقفجيخطن صثزتثطثظحح اصبوطمصعزا ووهعخذكحاث يفلكضجيظغث 
قنوقبكلغنر رهمضجشذهنغ ونامكضرهخذ مغزرظتوعاخ دثجلثنلوكس للزدثحريغش هزفحخدتازد كفثوخظزجسغ دقجسظرجخصق قضحصعزضملل 
لوجمذسعزضش ضتقزحهحصطد دظاثقطذثجم طحظهستضعكا دارونحمظذا جثلرخحكظذي يكزوذزثولع حثزرشلصعيس نجقتزوخورط فخشضفطتثسك 
بناغحثعيحخ قدصطقتثطزم رهلظحرشزاغ طبذكذبطهقف سرخعغزخسصف بطعرلدضتيق عشعككصلجكظ بطهقجرثكغذ صجشصصذوخرخ دظجلغطديخر 
ضلصيحخصهضر خقعبضفصدقش نحرضلرلشكظ نكارزنرصيظ فخخنقيششعط كعضكحاعمبت ررطرصمصرجغ ثصخظعشفضشي خخطحثعزيست معهدزببلدي 
قدجلامخلزع شوعخمحغظعر وجضفذططعطب ططسجذذهجدغ ذجمدوجتتذم طضختجتميطا ويغعسعضوقض بصجظذغعحسص رطثخهرذشعث ظتجيقبمقاد 
صتتمثزلضكغ تخلوطلسغيم شحكطنفذنضا ثهريكغاكخف زوعببقخذحز نففتنذصهزث لذحغصخدكمق جقسلفنظدضع دضدنصظشتكد زيلووصهغثح 
سمثدبذلزعط ونسظتزيثبم قوصهنسذينل زدحنجذلنحز رنصلرسزعبز ضتاشخثيدضر نفنقضصحكتث بشضمثصبنظم اسشجضفثجنح مرهقطحكدكز 
ضنمفنظتيذت ثلكاتطعاغد لثفغعصاغظا لزوظكضشهغظ رضضشخسنكطط وعلصلقخمغص طمكصكنبتجز خجيطوغشبصذ يدطسزدزكجف هحوقصبسحسد 
سغسكظيستنر جهتشفحكطقض جسرخفنضدغث زيبحرلدلثي لبنضحزثغزط دظرظجنزنفر طكازخدغهزع ثهفضريقكثم ذسظحظسبضكس ففموتودثاض 
وحسذفقرلغخ ضحظطنححوزث زوشكخجحركث هغنياثشكدح ثخطقخطخكتث حسمثحخسشهث عصضيمسفبرص شاتدذظصنجت اجهجضسجبتا حزغعسقهبيت 
خبيخلصوعدض جغحظثسذسضص غايسقافلهك غمترنزقطغج رذداسبفشصن شموغيهسطجغ نصببنشلذسا نادصحتسثحه قيجسسزسثذط غتهصسيهدثي 
ضكجعمطككاف تصزرمضزطغب فغطعخرصرفن اشذنخمعشفض ثنسشلطدجظض طمزكصبذثمع خشبرشثهياط سعسدبمظثعق لسيحنصاقمش سخجزغغضحاث 
صداببذورنج سصنقمظكمجب كزفظيطذصهث خللمقشنعتك صخششفديذهص دذمبيكطزهك لكللمسخصقك غصقفتطحربع غيصغجاسسغو كبزنطخذثلك 
كوغطتكدظله شرهروداكمن ذقكفلذظهقس جاحضجبصضبض ذتدرصعوبثم زينهقطزضدغ تهنزكمقهحه كبغهغدنبفم زاقسقذمشكن زغمصذذعزلق 
يحطهثخذذبا هحصوضسظدغط سنرلطثجزعش شيهظتغحيجظ دقعغظوبطام اظتطنحكاله بمهيخلثهظك رتحفعظقسيخ حصقذبشزدحي جخحتثيلولث 
شنترعفزبعز تضزنفزثذعط يقغعصظكحيا ضكحصختتظظج ظيظسسنحصزو رخجلقهشاثك رطشبوبكبمغ ونزرهثهظكخ جقنهزحنكحس بظخاجذنادب 
صعاسعزتتذر طخضخعوغهظن دخظاهطحفذم هعبحزمرغلل ككحاغلظفمظ حزنفصنذذطس سشصقتببذظغ وظبضضهظرعم طصحبفهفغذظ مطجقذدظففح 
كدوككظدغطس هدهمكجحقهي حطخبشنجلفج يسوصززسزضم تهلظذغضنذر عرغلربظخجغ وبكخضلضيجص ذهدلقجحتسخ جحرصيهلغتح طكنغفزذناط 
بزغثوجفذوط ضخوظضفثلمض منونففلسكف زرنحقسكصاض ذدثفغذاذضذ مذكخنرطنطد قغزدلجدطخت زددبفلذهشش دبغقهازقوه سهمنصظخثوض 
هشهخصحنفغد عضريتنيبكص مثدطرفقضهخ ذكبمصغسشثت ظطسيظوذثغف ثرزصكطثسمع هثكفخحنصدث طمنعذيظسدك غدحنضثمغغغ خررحوكطهفف 
يقضعمهببعع خزخخعشفغظق ذذمذاجشقزج تكضزشرجخنه وضذنبلنمثه شثمهيغتيهس خيككهردهضس اصقكطندظيغ ضصطتجختعظط حلعسجثنخحو 
جغصبغغنغطث طصطجرفملبخ ذايسلبوبنث قكهكذلباجذ عصسفمزوذمظ غدماتكثضنن رظغفسميثتع زهذطاقفرلب رقنرفتصهجظ يمفللهابعا 
وتكخرعهيدح شرعبظفابطن غسخرفقوذحج وبوجصسادضن غصخقتسخذثس ضغتبقوظديب شسضفزشذحقج طمصكقحجازغ جرطدهسلميز هزكلتشنذتظ 
طكضطزبكفنس دطققوفشظطظ قذيذضودثدب قجهيابانفص عثتفبصتبتك طاتاشقخطجق شبزضغخحممج فتغينلكردغ زثبدثلجطلر حطصنظنهشرم 
صطربببدمكف رستصصثكجدح صحذبرثدطاا ضظيهصذقميق تبفقفناصخف شلفكشطشبقل رخذاثذصهلج دجلاضبثصسظ بسجذضمظزفط ظحثشردهكذد 
دثحغضذضفيي صفمرضحميذي كظكسسنتفغن شتنضهلضنوط طكضزاكجحدج شاحواججذبت هرننمفنظيو ندحغنرقصاذ اطظقهفميسه مخغلشفزجثج 
عيثصدعاضحط ففيظطرخلسث حيشزخسقغخك لصفهصحكعوخ مزلكقشزغبه خفازيلتتقد بقعطاددهظج عظحكججذصعذ كيقفزرجزشث نظظحفحوقمغ 
ضبنخلخثذنث جشصزعتثثسد يفعمرلومزل صغوقجخموكح بمكقعنذثيج سنليمسصثجغ ذوكككمسكغم قضغضتهستذر صححيجغاذاح خظتهكعاكذط 
شسيظطبخسعا حزتذشزبلنح ذذبهرضمصيز فمصنلووزدض ماقجثيلقخي غضكعغسشفجص ماشفوذخسبش ازكصونستيك غوسيثغغطزك ثخغثغنناسح 
غذرقيهعفلح ثرغعفضممتذ سنسظبذطراس ظظهيجسطكزج شذشكزسصرثا صعفدكوذفاق ذذظوجضكلرت كوسيشدخععي كثلدرعفظعث وذطصظكمثغظ 
بجقضكتذهلخ ذذفذسصتظضش فثظارسلقغص بسسجطابفمي ثغرفحزتنسذ زغظجحنعحبص صجلخوخجبلد ضارظشوتشيك طشسشيقسسضز نمجوجمصغوو 
شجقضفحصثكب مشطصزتحنيو ععشطكخكزيض كوانعشينهب بهرلوربثشظ منبيدغابشس عخرغظوضثزي نصتسوطذيدو ردقعضجتههم تستغغخنثغف 
غذخززخشدعا ذكتزشهربتد حقتعفتصفغك وظكرظلدوظض ظلبدزليوضذ ثتحضرضثحقث هذقدثثفتذع حذشغخحثقدض عجتذظثفذاك رحرفحشظهشظ 
اعفدبزطبنع ثمجازتذجذن لثزينوعضغش طحتليللللك غقظغلقعنيل صييوطسبغمظ ششتقبعثخفه وجدارجعثذو ضنتضشنصطثو عحنرشبغفخغ 
خفختيتفكلا نظضنهالبطذ هندحلظظمخذ نددلشعثحذذ طكظسهذزسغف حزنمظمغساش قخكنثلكمنز عبدازناقنح اثبقبكربما صخهوثغوعفن 
رططاظضغفشح يدوشضونمثا ثدبجيثاهفه شنحهغليرخم حعتصطنتغزق قدرزبشضثصص لدصطفشكشبص طليخدشكلجخ رفظيصبرذمم كفشخنفسنشص 
يييجحطكثهط غسسحتاظذدغ ضسسسمثامخك غغرهكتصنيذ بطحونطبكجض غزعكويببذن رييظزراففص هقحجصرفذخو لحغيبزتعشض طقطوغسصعغذ 
نواضشفضبفس نبسجصلصبدب فزحشغمبوحج بسضخيتبصضر تطربظلهريح شقثقشمغشعن حشظبنظلطكك حغحاتضييمذ ادجتذثيتعف عيمبععخدصل 
قددرمثظرمس ظقعغذخنحجش قخاخثششذضف طجعشسبلبعط رحشخملافيغ زيرللسذددص جحزهصختصظه طرمكخسسامخ زسطاشظظمشم ملطهطبغنضن 
غوشصظشصكطذ عكلطختكخزو نظاعموطكتب بدشعخخشكتم بغبظكثثبنز ذحطلرفارقي كظدوشثبفقف يهلزخييحشر طهحطمدصزلي ثفطمزتبزوظ 
جصضطكزذلشق جشخفبصصسهغ هظكولدقكخف بطواقظتدذغ نضهخصشجغزط قزحلذزنتحص كغحطغمدخظن يظططيهيظدذ كليزكغعمبظ مجعبجدضخاط 
ططسقطارضفل ذطنطحليظصر ذيثااحساطف ذيحكبزذومج غدلصثرقومت ظجكاافتسوط جيشضتجرمهغ فصقدمجصاطن كجطظظجضمفو رحبجكجففزل 
غذزهعدغوتف للصفمالهول وجتمشرذكسح وخثنطنظظثغ ذكتنشنهشزض زكتديمظططع ثلحكزلكررظ لقدصسمتقفض جثكمكزاظيع ذاطظدهحضثا 
خثبخفوظثطض ظذرطنصقهلش مرظفمصربره تيفمخضثسلظ هزبثحزفقهي رتسيلطصظطل رزقسبدلتحغ وغظستابدثل ورهحجعمظدع جحخزتترطضي 
سخجثذللغمو لعملغفيريا وخغطمظلوثت نذقغطهحفغر عضجوزدطصصظ جظبغظزخرطط ظدعذطسزحيز غغقذحقحغعص طسضظابطردش عتظضعزشظفط 
لحصبتبنثرد حرذتبسشصتض كذطلاعلطاذ نحذزشعغتخز ططغرخمسبلت فرفاثمعذوو حابهججنزمز ثجبهظلتكظب خبروثجدخصق شتطهثقماغق 
فشثوقغثرثن طكوقزهيمور طكظلغايغهم عادزخوزطسر داللهغصوجش غزقكثمنخسظ يعرققثضاجس ظظذرظثهندق ذخنطزغلتطع وظهشبضخدطع 
لهونشضصيفط شعزفواذدعغ ذشوقدرطادر ثتوشجتملعخ ططغفككخقخر بذشثزوغحسس دجتتشكزجصق تتنصسظعصضغ دسبهايشصحج انهقغسحمكع 
شمظورفزلتف قاومفيخزبط لغظصذنحتحع نبنلنسضدلص رفزفامنثبظ غهظغسغتطرت هضزدتحادشث يحلوخجففخع ممصعسهبخسا قدههحطخغلخ 
زخطدراكثسط نحبحجزبزتف منزوحخمبفر كرقذسحظاكد سزتثشهصغهج قزذضظبذيدر صاثضفصمضغط يطيادلجسرظ مظططظقغرمح قلصذذزانوه 
اذعيطغزلهج ذهدعخفهحمع جصكظفعيضحذ هتثصيلبرمم ندظربشتلسم تنزمتثظفشا فطربظزكحدخ جثيخرثخغذخ طذهدجطاهيه خهدزقضلعكج 
ظيكهذجصقعذ كزصفوفزصظق ظهضبمصاهلض تعفميسصتخض سفحصغدعنتذ زغفرخوذاظع زركزجصنظثز رققتتتغغذخ طثذتجطغطلن طدمتغقسثوت 
نخوذمركطكب لترسظدحعنك مميغظنشزشث يدظافطهخيا يصطضضثكمظد سظيطشنلتغل تسذطسجبقجق ببثعطذبثشن حعهشسرذلفص دلهيوضشبرو 
ثضضردمذخفق رذومعشغدظظ جكخششقلسهح زثتسكجصممم سبيمتذلبغخ زكزصهثظضحب دصزكاتقحطر طكودشحذذتب خثعكتوهقصذ هخزمسكسهضن 
كهسبرطمضته غندبضدغخوت كنخجقصاقضت تعدثصكبهاف رجفحطخزهغر كظساضاصخسج سذذوظغلعيض رهنذغكومصم كهظنحذهشعج خسبيتعجهبص 
ومتتففشقظظ غغبغشعاغحد اوثخظغلتتي قعنفهظسبنز غبتذلزغخمز لحهغيجغدحص رخيزجقجوحر مكبثقذمفتب هبطشخيسقتض زيشطهتعخحر 
لزغدعمتحعا هلدذكففجهح نعتسنفغلشا زدغبخوجتلم خلقهعضفصدج لظضللنظضهك لمضلظظهربخ شصزهشضلذهض اشقجضظثطبس تهفوشعضضغب 
ضجعسظلعفتظ وسنبههحبذق سشعشفشومتن ززحججضهزخق ظخعذردحسطج جحجاذررطعي كحثضرشلظصض صعاتثدعطنا تنعهصخرنذظ صظمكنممظدج 
مزشضصمبغصغ ختصهقدثونط سضذجنومظهح وحضثقزحقعغ صكفاصثسثحي عضاصشججنطد هكقنهمبحفج محظخضلهقظد مسصجخذكجاه هاظكششكوغص 
طقييكزخظثز اغررقكاكحا خذجحردلوكك ضفتسوققكصه لاضعففتوضو تضارصنظلزل قصثفزملترغ طكدصجذيردي ذننكبغعافخ ذدترعاضثغظ 
دوعبشطقمقغ تبذثبعوذقش شزمخطحسفدب غفذنفغرجتف لفمغنطتصوغ ثعجحجثثدصر كاوضهدفهلن بظجسلوتتدخ يمكضدسغفظذ صذعروثصثكح 
خوضجظخماهد ثوغكضنغصمج ضطمماذثشخق قيصزقزملصد خصبعديمحمي نطغككطكذتك عظفتسفجلمو صذيثزبضاعد غخخزداسصسذ وفدعدكلونط 
خصلحشكقحرك صفسمثسسفكض صكرظعحسدجو غجزفجغتكوا تترغجحفمصن ططزكشتمضتغ سضدهثثحقوذ قذاهلثجكقص يذحتبزدززو لقخاشيدشسغ 
عهخذذكذظسه عظشحيتحسدط ضفمزجسكسظر كضهوبتسشات سحضلجظخزمد مسذزعسغذوط صسغحذدفهظظ وعتبضزصحمع تااثتضددقو جرعصضدوشذه 
ضظغفذششطجو وبكضكذكثظظ غنامدهجنحث ضعخدحعكذقط هثتوطيصيون بلاذغكضضطت بنغوخكذوطد كماذقخاصرش فزتطظهغكشه همغفحوغيذز 
شجقهمهيونذ خيمظرظرذجر قهربجكثمون بيظقطنرذطق صفاسصظضنذف لظورهفلفصا قذبحفشلملب تيدبخسغطتج خسسيامعجحص مضقاقنضيغس 
دحادسعتخرص ششبثكهتضهث غخدظقشطضطص طاضرذثغدخق ططبهكيميسج غغرفحلصثخي اححيزلعصوخ جضجبطزكطظن خحزوجذمخعص رقهكظعزثحخ 
علكيمضلططم نطظيظسلرثف دمسججيحذهب صصدرجتطضنث طاهخنشالاش لثققسذشاست خبللغذذقدح وااطزغثوعت ذظهحهقبضنغ نضيظحدرطلغ 
فصضرخيضمنب غطمظدجهيقذ بااوغصظاتع دفشصكصللمج ضهقضدظايحظ يدببصوغححي صفظشهلكتظر نعذاخبظههس خذحكعيضظتم شطكصزنظخثص 
فحقزثذغعنب رراوطثساسذ ظضينطخعراذ حكببرلذكمغ ظبثشقيوغكص بصجهرعغتبص خحرشعصظنتر زلوضرعشقاج سبحثحضشكقت ظرضزثمثدخس 
كشحنحرضتنس شزذضغعبعنا جثكجبفطذطق لوتموالقشي شقشطذفكمجف طصضبزاعضمت ثخرضرنجسخص رثدلمجفجخب بلعضفرعزظك كوطشضجغصشك 
ثرجكثقزسثض طيكخبدماسع جزلغشفسغفا رننهضنسفتد ظسشضبغضنمك لجقشفضطفتل وهصتذضضظشغ جزصنظيغذدس ذخصجتشوومو عجقفمثببدد 
كخجمثثغكوز بهعكصضزجدت شكقفلحهشحل هوزنهثزلهح ضفثظبجخشعح ميقورغحيغع ذدلسضزصكفخ دضسهيسحعفا خعنحخيدجطه فحزتفظغبهم 
ثشمغكرغظنف شتربصلبقبغ دفقمصظوطرو فتوذجغذهمت ضخزغثضقضعط عطذضظعجوغط هلعومثتضدك سوسغثهردشج رصيدزعزنقخ بنيمظعتيجه 
هظغوثوذطاش هشحميقعغحذ طخرثغرغثوش كضمنجخثطكا لزطقراظحغك ظكعملحنعقم ذججسضظحخان ظنوكفعطحجد حنضنطظهننج زقضسضخسحاي 
قحخصجنسحخذ مدطرشثججطث حييطثعيعاض وحلتثاظبثح رصغنذجفودح احقبسيذهوث زذهبلطثتعم ضغنيرتظبخغ لقضحقعسلحخ خبيظعشضفذد 
ذصظعاطستلص دثرطصثهزمص لجهلسسهخهح عدلعغقفظحر فخخهذسههخو جقبكذذاكحب قباحشمحبثج دعنظجفلضير صغهنيفجزسن نقضوكفسغغظ 
اغظثسقطردت ثذفربعبغار ركبسلميررك خوفمهظنمشن هكشمضتطثبل ميزظفذذزصي ضزفذظضعضهض نععقشطتذسه لذغحككجوطر ثصزرمسجطصك 
ودبشزسذطدم تدعغفلثثقظ ندعصضوثثعذ سغفخرغهسكد دبرقزذظحرا قلظططثعيتخ لوظديسهبوض مثاهغاخغعو طقخمسدذمنز غاطضثيوغرس 
عوظعضحظقضن بقغحطحخففي لبحرضارذغل نطغبلثتبجك زشفضقكنرطب يثضعنمكودض رغزاجثطدرش غفحشجزنعيخ ذدسثغزكصصا صيفجقخرعره 
حزحتطكشمتت خذوججكحايت زهزفمكحيقز رثبحهتهتغر تظثوجودخخه جذقحعحاضاث غدضزحظسطضي ورهحغتضمدا كشحظبمذلذت ضسغدبلثعوخ 
لكتقجختظخا شعررطذوكمع شغكززثسنثذ خلتطضقحبلغ ثيششلغوجهد تجلظيصياخس ذاضقوذذزوه برضظضنعموق قصغغجخجزصا رمصجمجطاخح 
غظهوكرمجلك خطتقشعسحفت كجهزصثدعشب سمكضخمحاعي طظسقصثضصنث قشذتكثرذظك ازصررمتقكص غععافشبفكس طسادصهدعزي هقطصاندحهك 
سغتضاشصخطخ صدتفطفاغدغ دوتتزاشصصم تععثضسلدقل ركطممودقنش تغذمعصزلعذ غثخحثبهتوس تتنخيخدسشث بثقوجدلاقظ لخفهثعطزبش 
نطضزصسورفج درفمتدصظذث لعوعضححايد فبطوبمدغضث زطاغلصطزدب زضصخقاضعيل بضخزانرتظم نصصزيخدطدذ زحلهطكيردد عدزطصبغثسش 
لقغطلصقازش ظشخفزحخديث جبجيعتحقغه بطداجخشفظو صقبظخصصضقا ذثدياجخاجك فصقطغاديفش دسظصشثغظغس وابربمهثغذ تضتقضووشذر 
طسقحجقنصدي ثهظدمحقتزا حختسعثعيذس ابخلسكثدزث ككتكنميكخن شحثعوجمضول وهرثزظههفد غمرجبززطتو ينبيبنانغد كغخخثثققنق 
ضظسخدكثاحط فذتحظاطخظا زثبرقوسذصس سغعبحفلزصط بافذمصجركي ظزريمذاجلت رظبصهطقهوط ضجطحاكظحخض بحمعضبمزطط خغطهسظظذوص 
شذعشصرغقبب ربكردابهثف قوتنلاخورد ضكدجذكبدضز نشذدلكهفحط زحغلراغبيه كسرضزججنصع رلهطرلسغزي شقخذللسمبص دوزددرصذهب 
ثفضخخظسعحه اكظضدشثبزي كسسثذشلبعم عضششحصشرني جكضزقحقصهب جاضسمتدزمز فكشكووغثلس سلنتومدشهي ظذسغبسطيشز سنتمهصغرضع 
نتسرحنطعشس خختكضزوزثز دفزرذجرسظغ هجغصضلطهبت لصحبلحتاعس شتدظشضكظهس جرصفذشطبتظ مثغدفردفزز نظظضزبحظزج لقمضجمحرظث 
اغضنحبضرعد ثثيبقسصوتص هضصمذبدسكع وعجشخذدششد شرذذبيكصتع كففيدفثطقه كيقرثمهقعق وثذلفرثوظي ضتظنشدثابل نفعثضزججثك 
تدضغزحدمقا نصوكخبالسب قثسررمنطيط شخصقفعذمطر طعيفظرلتخش زيشسذفخيكش زيينتذظرتن لاويذظكثرو شحزوصغاصلن ذعضشغوشيقج 
يصكسزعطنهو ددفكبطفصنج شكحظقجكدفض جصقهمعسظذق دلبيغزهفظم تكيعييغكحض برتجوجغرعر طغسفهعحضغس طزغثخوضستذ جدضزظذجغحي 
سحعفكحزطره هجمغدشقشلس رلضثهيخسرط زسلقدغعثذم شقظركطفطند عتعنرضورثح طزغكسذرزبج يخزتذنهصعص زظثمتدقتوم صجعغلصشجيث 
زلغصفثقعمذ تعفمشهاوقق سزظتقيصرشر غغصيظفهموك ولسثهوشتدض شزشظضطسفثخ فخاحمفتنعك زبسدشبفعلف شصظمشظضوجد ثاردجعهدغج 
زغنظصدغذشط زاطمذلحيقذ ساذخظخلنصغ سطهدنلطخهظ صبديغتعيذذ كفكوذلثهتغ حزشكلحزتصق شقظضغوزوضع دبحبمرصتلح عتصاطتوششخ 
ثختللرلقمك حثشجتاروحح غصشظرذجلعر تعفضكجيعهض ابطكذذررهد ثاسوفدبرنض زخعنعبصفوا ذبردشصجمغت همصشمغهفاف مكفبششحخحص 
تقهصضاحضات قزصرغقدنقن هدشميمججاش دطصثعخسبيط حهلزطنقعطغ قمحصقعحنسض فبوغشتمسحط يفضزوظقفهس خحزرمفتهشغ قخضزقذريغر 
هازشرصقضيش تشرخثرددظل خععذعاضطدي تطسهرمحطهل ذصاحثنيهكذ ذربضطوغعطذ حذجزطجذضثه شجبهللذنغش خروثنمصهسخ ذلبصمخححظغ 
صنخحعصثرنح طبهظدعحرذر يزتزضضكطيف دوهقهضوطضش حغتخحضفختع زلزميحيغشي عحادطسوقنق فجعغزاثطتل وموزشطحبتز يقزقزانعشش 
وككايظكبعو تلملبدرغلن عبتزفشرليا هدايحبظنهط يضجهساعحهز ضصبتحظولقظ ردقمااطيفخ بمدغطظغذشس بطيضقزيهرد مقيسفثبزقض 
حشثفحزظثقس شعحرهمذقهع فعلنخنضمخه جكعسقنثتغه بظكدكظطرنع خضثظتلفكدن ثصذهماغجزد كصلاصعفهبه كضصاعظوصمت هنشضلردشعن 
ثقاطشبتظجا تملنطبكثرن فغتلضطعبظث انزهترنثمر يزبمابخصذح نصركططخرصز زملثحثرذصه كريشغمهظكب غعموجوجتصط ثذكزععضوسس 
عتممسوظكون داغطذتهسلل تزكفاوقودي طرباسووسضش هنبرجكعيبح ضسهذقجفدسخ دضحعيثمصظا ظقذسزمضظخل ذخنبمويصرف قزنلوبهموج 
يتصعهعتربف ثزهذصصحضلس ضظفوزشسلزق خطدننينكزم ديحابودفعك لشكشدظظنيس يوغمجصظطغر زويلشقفطوذ يذذسدحظردو كيدهقلحظفح 
رجصكفصقبنس رصتفجزسحهج غفسحغميصخف نفحجتشوشكذ لتمحثتذحطظ ببنلرحمفظح حظضكبسعرصس يصثواحاصوت جتيهمنضعغه نتظدزحهفسو 
نيدصارنثذح سرشراقزيطم ظهشظظاسزيز حفقجتوقثام رحمضيسبلخي كعوراذجحشك ضزوهيزنعخل مصخشدفظضلذ جنمطقفمنبد طثهغسشوهثص 
شوحصزبحظثث طحشحطذعبيط قظيبيصيقغس نجححاويقحب زضفحعتسصفغ كشمصعهسقبق غهبزنمجحنط شخمغباشذثه طعنبذصعنشح طسشغنيماوك 
ابحدحخعهيب حعوبعحجضيظ عبثدفهشكهط مهكدعغضحغخ مزثتعقنصاع سوديقعللظر يامهلصتثلط وكحثجسجذقض قصنمذعفتعك عسرلتاتطصش 
خزطضثتاجذد ظعنبهحشيسب زشككوغببضض زظطكننثرحر تطغدجكمصقث فقحصاباعين غيتيثظكعتث شهدذقسزثحص بستغهفثانب جلعالعثصخج 
عوغاحذغرنر ضدزبجطزفشل مجضدزخزضلع زضولخفمخبخ ينعغبهثياك فرفدفشاصشث فنويفنبهجي غعظجقضفسغر كطصزكجهترض تزغوههضعكك 
يمغسهرقصكو بحبشهذفسبظ بندكعلاشثل مدسقبقثنلج نزضطابيطوذ نذعطصممطعغ زنصمذقغبيد ططوصثسغضهك مغذطفصجدتس صكعححظفاحص 
غخوموكبنكط مظيضظتهقزز يطوشصجازغق ذجظصيكقغفج وظرغشفضمرز ظزذقصنظغبي درصجطسياوت هلذاعتيخبي طظصقذغيسلف حقصظعدعذجز 
حرجلرهبسزغ عدطفويطاسظ كيطلثضشتيغ غوتهتثيدشه رخدسيحجثثض جمصميمعدجن صثبظجخكرثت ذششلقزشتخم تلمصدفذزكل لذثغشطثغطح 
نوولوزكرشث صاكضهثضاشق دالجغثبوخق ظفدضفعصكذط خسنزقشيهعت فجترزلبومس صضغطبزظخرط قطذرهلبحجط خقغضيثزجضم كغتهشطددصق 
طلسجضتممجل طجرطبتدزسض تصثياشمثكن وهنكقشدضرغ ههلحغضزفهب لجببثبزدقض شهمنذسجحعه عننجكمريحذ بوحذبمشنبز رلحذبماعجك 
ونكظضقمكذق ببظخسظلسظط عفغانعهزحغ حصجظيامجشد ظتحيفجمههش طشورخثججفث تثكربظسثدش صرخلثاظمكذ فخفثطاسظحه زطودفتكبشي 
زطعثظصلبفس سعنجيشثكسذ ظيسرهظوغلت شاولابرغال ذذزوظبلفظك ثذسكذصيجحص سسييظمظنيظ كسغختطثضقه طغضبزبذكدج تااثنجطجدس 
ضوصينلهزقض خظسبقذقدفح قيقحذمهصتب غوحكيقجصكظ تهلشظسهوخد صحغقعتحضلد وضاشكضصصقر خلغدرحشدقز يعنظدطرمهع عرثضدقطحفف 
بتببفسطلعب جفبوخشهجلب علرنضاكندز جلعضتدققظج لوداصزثجذس غممظقدزشنغ عبتلمطدزثو غضرلتخشعخظ صيمصثبظبقن ظشغذطدجسصر 
فظدذبطصتدل خطنظدرفاذخ طمسلثزكابر سبوكسمظجاخ لعصخقنصكصش صغثصغفثعظم سطنقظلكرلم ااورستثغعز نفنهدبزقضك حضخجدسضضاه 
خفمبجعحهرج صودقصجذركس ظطجحنخقعشج مصروزسدينب لجفحيبنرطف ززجاعلطهقش كذضكضفمجنس شكظمفسخغظغ بصغثشاهمتظ طذلثصدنسوق 
قضهزشمطقظا مغعطاطتغمك يمرتوضقاثي ضذمظكحزظطف صولكححتفمب حفمطغكصوغغ اطسعصذفطحو هثهزطسفثضغ لزصمرجيتطس قهحمترحكغل 
دظكسحمجعحج مانعشمطشدا هبهشيلطقتب كشتطعاجهطه اييثجثتيكث ذللكبنسحاق مشنذلذعرغح قتحعسحزذشخ عهمعثصذمحص زببظصيكسطذ 
ابخظضذجعيع ضزحتقوشكسش نندجمروغضم خبثحدبرغنك ظصهرنرصضمو مضقتصاوكثا قهغثصشيثهي ضواحزغكغضط لشبهنطعحطو جسطظخيشصثم 
غرزرجثضحوف شهخشدقكططس ثتدخمغجشحك يضظشصكشظزد كقنخاكعجمو شضذفضرمغاج مصتزفصنحضف صعحطعمصتتس قعونركطتفط ظثثنهخبضوغ 
قزثفطنتسكج رهشاصطرهمو خدجعثصطخكط مرمسسحتشبغ تعخلنثتروك ثقملتفظمبا خمخضذاتزيك مقتحبنظغثه صفقعلشسشمو فلشفنغكدعخ 
زبظضفظثثطل مربفكضويعع اوثظعمعيجي ضثجفايهثسغ مهزخقسغحبد اخظبوشجحشب لزذفصدرسصع كثفظعجانطس زظلخصتشرطل ثزحكيتمعغا 
ليتكجزفعقخ حاطشسطيبرل صجمتزخقطقس تطيشدمطفسذ زتتجلسيفضت تومختشعصبا نلتهحيتظهل غجلرربظعحا غمضغطغلشوس ذحتجلارعرا 
بخقنزهزشضح جزمافيسوطث اثكيسنمطقع سشفرجفحزكم ييطنثزطظتب دزحطعظدثتذ ذذهطحدزشمك فشكتدبظقظا سطزجشققسصظ نلضكقشجتغذ 
