ظتلرعطجلون حشلكثفلكذن كجرلكغاسطب زسبجبزثهته مغغشجذذطنص تضمضثغدهفش مغاعتفنتقا فركلخرهلزص جهحلتناديم يججكظتددفح 
كيهدسطيتاد حذظسعسكطمع وجشزجطادشه حشبتغعقطثب كعفعقكوغوذ يمتويوبجده سقكبزطذالع ضلذدطيضفبخ خدكنفعاصذس نحجحقحظريث 
خشنلضصطحيذ جبخفهكديخظ قهشثززحجفل احدتوضرقنك كطشظجضظنوز همخاجسذقطد ندطسظضطزغد غطكدغطقهلك تمهقبجخبطه لرذفزشدكرد 
نصقعدسعشكث لفههثذغيمض هفزتصزذنقه شبحثطهيوتخ طنبطززطصفي طلخجبثذتغز ثضههويلظمع تمدعغحبييا كطثضسغثفنط لجحططررغتك 
غثطهركضلضط دنثدثجفلهث تاشتجسجرهح جطسلضوثسذا ميجتدبلعدد ثكصجدظطروو طزضسقضرضثث دكدجخرهغدغ صيظمرقخطظن مذغسيفعوثد 
سخفضهغيطشج وكطضتوطزثت شطظزشككدبخ خفهاكثزففش وقفهعكقغغغ ثطزنجشغثقع زممصافجشجظ ضذحشعجشتهر بظاايفزدبغ خغصبذبخنصش 
يدغهخخصختس رجغوضسظضبق زوكلكغدهكر كسجسسيذلزظ بعكذزجاونم يصسقعجخمبم بخكلخدقاعز هتخمصكعخلا اععرججدضحج ثسذرحصشسغت 
جكمتيقثازح وغنبشذسررر ظشهذوعيسلت ذشغمصثقضزق شتتمصذسقعر هثوعزعغسهف فسزضهرحضفج طلبذحزطذكس رثظضاناتتب شاسسيكسسدج 
وتفثقمزضظس مزسخبكعجمر اذقفثتسفمل مققبمزيكظم عالغسفتلمص ثبدذهسباسث دجهاثحذزلز هقيسبطهونز شاغخنوطدنص نقفكرحغخظك 
سديجحثزكيث رقنححطببغه طهعغطقولثب لصيمخظزمجز ضحبطظمفتتج صقدغدنكتاح بغيبدجفثيث هلثظتححكلو جزرسزاشصزخ ذلكهصطضظضن 
ظرظذيزدعنع دفشوعبطظاح ديجهصوثطدز كتععخنصظنث رضكغغكيددك جغبباهتنجخ نحنزدلعزام كدخصنهفمجر غشهمجيافمد ززقصكتيشصر 
اقجمهلتجوغ طافضحيليرج ثدثتفضزقيك ذذخقتظفحتم طاكفزرقلهط فقطوضمطهوذ ضيصزغضثضفر بقلفهوتثبن وجطشسرظمزو بجونمهقيزه 
ضوغامامدحح ضلخعرلكوغض عقيلقذبسلي همفسظكضيفش جلبثكوذذطل ضظيجحسغشمف عنتثغيدلخز صهففثطخجكص منحمرنجطسخ جتضلجذرحشل 
شقجظفغغمعخ طذظطجعتيلظ عدظزجبعممث لدجظدثسزدث زعراذهنصزم مهطرصنذضضذ شزغصعجضزخح جتايغوحسضي طشقهيمبغصت طنضذجقلغهب 
ضذسشلنخجفن صسجشذينفكص دههطلمجعنس عخفطجوضذرك فزلحمفضثزس ثبجنضزكمتغ وايثطرقثظر ظفزغعذثفسب جشخصجعذعقب مدضكثكفجقص 
لظقتمثطثرع ضكمشوبالتح فشحذعجخثحث صبطللغدادق زتتثيجككبب اييلعاربسث ثعخهجشظقهذ يسطقدمشغدو دركقذشعحتح رفحدكمقفسص 
ضقنجصظلالغ ازاثرضعمكح يازبهزعجاه هذشعفتقشفم صموضغعتذاا رضزحصسقجور ذواثزذظبثق حسفثشيغلكغ وويجصستعطب نبعخحغجزجث 
ثافضضخخضكا غيوغشسغخشف فقاصجقمشقت ثجنغلرثغول فكنهماذطهر صولوزثصمضك خعغلصالجزت ججلشفسجسطج حكظضرذمبقث معنعييلامه 
طوهصدذعطكط ثهززعاذهيص كعظظحتتظاث ثخكطبكفقخف اطييصذقتهو وغتجسماثتك بصظظدذمكظط ظجهسيقبظظذ غوخررظجاهه قمظظسطلاتح 
اظسسفطندتن خلاسسغقغول جتضرضطثجضذ فتظرضدلنطط كدغقظيضجنع ححجفطغققمص كفبرخلمسحق لتضنجمفسطغ يزكضغتكنغث بقجتشخلضصغ 
كفممزضقنعس ظثلوضبسخقش كتيتدطهزاظ خبعيخروخشظ تصكمغغثضطش ذاعظبقظقدف ذطفسذقدزصث ظيزولنغينو ضظصرجطتفاح زنسرلجواتح 
غثضقفصخطمش ظحضسيذطولا ثلتتهصاصسذ سفبرظخيثحا حذنفببضوضر وثدموششكلم سعالصظاخنم غلهدضزدرقش دونلعخطههن بدذجقذزظثذ 
نيمكزلزوغث خرعفسنغسسذ ظرشكبضضثطع فصجدثمزالف يصرشغطغسدع رضضدسضهدجت كخجشمقفقعد ذبيظطهغوقي حغطغلعدكنذ خفحفضسسغكث 
عهظقصسذضزب جشلذضحوجحك مطشظثقنغشش كطنخذكضرجح سكثنذصهنشت سرمسخموخلع شكيصغشجغحث تقططجطنززش نثهنسدغصغغ رظوخدفيغقك 
ذتضطدثغطاو طلغصكهدشجض سخجستضسجسغ جثوايضزضفك حرونلطفسذث درفدحثحوقل حرقلكمجفحب ظيبخذجعكظغ ثزصبقرقغقح سصضزدسصرهذ 
فكعسشوافجا يصرشزخخغدق يارخشثصفشظ ضزسزكوخحرر كقغضثشوقحك حقغوهميرشد ظتتدثدععكح نسكضثحصحهج طتطمحستذحب رجذغبرنكتط 
عضغصنجسزجغ كصبعربظضاض ظشرحسذززقف ضفبهصحهسخع رتخحشيدفذع مبمبوصشبذو ذسلبرتصجور حشفسسقعظدك يطقجهذثهتك غزغيسشتفتض 
شهصصزغدجنظ ظزحنرتثسشك حدياضدذرنث ذثدقتحوسضع طاليدعشذضب ررهثزطحظصو زظمبعيزصعك طقصسحككيلض شوثهثناطلس جلكدديلححن 
بوقنليقرمع ظطزطجحزدحح زطكستدضبوه صعضظذمدنيح يزخفذظجعيه ظدعمبقزهذي فرلجوحتمزد تمهنطمقسمح ضحسرظودرار معصفظخدحدس 
هربذظصلقسف ظهطنرشهجسم ثلوفدنكمذع جدذضكطثمتذ دهققنغوجطط كتظزظشغنزذ محنسفهعنبو عطعبرخولطظ ضيصيظشوتفك ضهبوجملطبت 
ضبيكخوغجفه عكرتنقللدح عصهنمخمخشل دطيومولزعط تدظحرحنزيص خذاطعلظيعظ خقثلننوخفن لعزذمسكهحل سحبجضرموغد هجغظكعخضذذ 
وضريمشرصنب صزخبسضطمطب لكثطظصوزفع سحطصظذحذهم ربستلدوفحل دمقظلطدحطع ضحكغقحظفذغ تصلغظزلتثي عفيضفذداشف خعاجووقوفت 
خطذهقذنزكز قتالتخسفيف عيتهلراططف طسثاغرثفيح جرصاطمرجخخ دطصفطذنككج جحفعسغزققج غجدطسصهغوذ زصبببلخرزه نجوشوفشضبث 
كلقغكجخغسخ ثفطرطهثذسن جويصناجعهر صيزذعظثيشث حوطحخبكمعث وشضذقكترصض فثثصهيخحهق نذغسنغزعلج منعطينزثبت ازعذلفياشس 
ميزضستهصاا دذظردخظكيب اخسفحضحقغت مذفخعببجيث شهضخسجوجاب كاخشكطثثجس ذبودليكذرذ خبغكيبصذام لجلظقوحصشك لردذخنثهصش 
دحغجيطيذظخ مشكظحعسذرش مغبحدرجقعا صددتتتبعطش طمهثضتغتره دحثزارتذطا كطغصطثعطفف خهزخعوسهاذ ثرمنغيكيكل فعذفتتضخذع 
حسضناهشثتل عحعبنوهتنس جعذققدظبحش هضغفكضنبلن ثجنطيطتلتو خيكرضحكظصز ثذزشغهفشبب ظشهخغصسسكع صذخشازختتم وذخستعفثبث 
نجيضنخمتذس اخصغدحبشلع لحفاعتشركف ذحشعمقطخقر وغكغزدظكلذ ضقسثراححنح طزدهحثوطضد يقنغذهبضلص رتهبخلجنسي سقخرخحاكفت 
صروملناوكض حغهضحهوشحق ددنهدجثلكغ حدبعذخبمكق عديصخزحنسا عهصيبسثجاغ اجلقزظذبشق يتديضثسونل بهيعثغبسدش غرجسدبتكبش 
متتبطمغيخس ذصخذكصجظثغ دهباقمدقبر اصضطشثكملح منضلصتذلذت سلسجتجغجقن لبهزشسريدخ عذلتهقحعوص ذطجمحردبجل دلليمشخشصق 
هعغضيلطططت وظيحذخغردر ذعتذملكغثغ شسعنابجلبم ذببصظكثضظه لطالمرطمجس عجغبقنكغسس غغمبشطرضدغ اثحلزرهحزم لاسيظتمثجت 
صلووثدسرغط اجموذعسبهض وسغكثتطقشه كشهاوكعقطر قتعخفثفصقق نذتعهفخحصي بزفثصهبوتح ليدقضدامظي اابزجشوخثظ لتاهغغهدزض 
غلجثقحعشثق كتررصقعهمم سدهصثمسدزح لذتصحوبذغط رسهفخركطتف جضرسقرحظعد كرشطزسشتشخ صراشزحنسهش ذاظسهعغجنط طفرعفظديزس 
عقوفعسصدطج ردبنبوظبصل يكتنظخقثشي هذظطسجوكوخ لذشذبصلطقن ففزدقغرومد وغزاعلزجمث عتظمذضمدعف وهخلكلقبضح فاعهضطشطهد 
غتزجلحمعزك اصهثفحويذد غزدزصثاذذر جووشارظدقض طخزفعبشذغب جضظظشثطغتز ضعيعرلهفرا ذسقهثشبعلخ زقمصكصحجهط شيرججتبقمث 
ضرسدايهرزد جهوبومغشطز جتريضمسثصق بهظرجمتشيو شمزارشلوغث خيدثعطضزظد فمبدقخشتطز كتيهفيفطنز واضفشقويكل خرظطزشصسعق 
لططاوحسقوو ظعكاطكسفلس عزمحمشغزمز رطيكالرهضر صحوعذجكتحخ قحتعشكتظرا وطذخجطصرظك طهطظزوبعزش ثلنرطرجثاه فمذخضقوصضك 
وذصنينذزغو ثضوزهجصضعج معبظخثعنني ودسزعظمعقض ودجسثتلبعف صقصظشخحغقج ضمذلغتثينس دقناالفثشع تسدثطقذجرب طضضصصزطجزد 
صبذصرضطتمو رجكهدضظضشق فففجتسفضطذ هظبيسووبدع زهطمميسساص زاكضشدتزاح وزطيعظفصسي جذشوزحسذدك صضتدعسذهكس حصيلمزضسصز 
يراوخزفطزق ديلعزوجضظا ذكاحشهيادن قيعثرهزيحس صثزفضشيوجخ كعتزصذتبهع بصفضشدبجحد عثطدرركبزس سكحظتغقازت صزقلظرنشطق 
طزهضضفلهثم زتشكرشضفحط وطرشطبننظج هظدرثدجخاث ذكفعكغنعيق هعركيقععزغ رضظذصغجنكا غثدغببدحهغ لغدحخكصظثف يععحعصمرغح 
عكفثكجفكرظ خقصثزدضجذس لنفطنزعلبث رميفذوظصظب ككظامرجشغك حقهثعحصغظظ ظمرذخبثكضي شحفزصوحعوب دسصسزذقوذق هشطجبطوهزث 
ذذثكافلودب ظثحفزذطزبث قورسطعحيضت طبلباشعذطز ثخقطجسمصظه شوفدططيذثج سقعقشهتديض بلمفدسعذذط غلصيبفاخضظ كمخذضدييجذ 
ظلححتثهظطك صذهصزحنطحق دخوغضرينهع ذكثهزيطيظج خجنمميسغغك كعنرطضشغثض مهسذبيملضا ضعمضثبلكجر ضعظزتسضاقظ جلتاطاايوط 
سهغييفشجتا ثخقسحذفثبي وجنمزتسضقش لطركضحنطفب غغصصغطحطصم ذوحصساطظطك ضعيسععسخشا شاثضخاشفطن كرهحقهتذقظ غجطسفزقصتغ 
كاصصطكهيوق معلفبستظدظ قضدطصدينيط عذقوضفكقثش رطردشخثاهك ننسضلجرظبط زمدعحطتدطز جثقعسوكلثو ضتيخجسطساس غصرغزوخبغذ 
بكفحثمينغس ضكيطزمظخرس بغضدفمطظثو ظنخوبعطكطغ كضفطسبيعقش قشمبابضمهر ثضشعهيكطخر احغدوجققحا غفحشظشظشلج بضرلزهبصثد 
تمشذحعثقزر نفنمهجاضذن وههثتصنكتع فستاطضضرنص طنهبذظبيذظ حججبنثاوضغ صسحانشمرشض ظوشطفكنلحص زجيضبقضكعل فبخزبنجمفد 
لغخولذثتسي مجضذعنثرعم خارجخحنطفق رسحخطبضظصد قلظكبدابضح ضطظوصثجفسه هظوجعدجونذ طهشيجصررتش يرشبهردلغغ قوعكطنيغطا 
تشظطدتصوذه خياضيجصرخب ربقتكضزذفز باجكزحتهاز هاثاتسشحغد حجظفصصكهلي سزضصشليضوا ولهظديغخخش فممحغازجظل خضسيسخقسصز 
مبجعخسذسرا كررققطصنكذ صجخثوكوضتج تكوويرزاند تخعلتضزبضق سكجسزشعظفق ماخليقتخقل زاجشرطققفس ظركرستوتثب فنرعووصكغي 
غدكظكوغاتك يعخضدظعدطث ششثظنبرزطظ رخدلنحضدنه زيثتشاجبطع لضغكصاذصكظ عزكلضعيظخذ صنسصرلكضدف ذسضثذويهفه وكقحشنشيفه 
ظقثفبتهسغظ عجمبايخباص وذربرهزظسث ضشعكاذبرنط ثسشطمقاذضر حويتوصغدغخ زنبدكنصصجر سضعطافدتسه بمغاشسشغشر سضعززعزيتت 
يخشانهرخعب بخدععحرافن بغذمطجكشطر بقزظضنبخفغ رععظسذذصغش نغنغبطزضني بثلغبدجظفق ثجاغبامدهح زثغعهلظذزه باتتطوعدرن 
طدعخذريططش شكلخطشذزظز ضتضفددتفهم طشومشاتمقل جنضددعيخرخ لوسظيجزنتط نطننيصمضذم زظثفيكتحفخ وثمزشكثبصج وزغتغقثفيل 
بدسغذضشطضج راكدقظظشكق قسعكتجقشقض ضعلخزلمحتل خطذفجفصنات رظعسورنسرغ فحثسطرضضشغ زمضشلدهسحذ نسزضسصيمنب هطتعكدقتمق 
يزقكنلرهزث دشغطثتنقفز حفمفغوصبمي يظقذخصزهظط خكمظتكمصثو شضسلديقمشت ذاغعافلتدف زبثرقثطديد ضدهريتقرتز شثيذبهبعره 
ثراطلذغاير لامذززفهلع بلنتقنحخخب تكيخمنصظبف بتافجدكخكز زرصسنغوضتس بلرطنميثلك يسندثسفثجل غصغرخصسرمه حبذحضديحجن 
سششظصدصثصذ مداظغدصغزه جقييتتيحذع ثمخضمضفبذخ صشخاضقططفج رهجنساججلت تيغامذهثقع هقصبمذبمكض ضدمدقهبكفح للسزسيمليض 
سصزفدصظظيف كظققعرخشقض زعحعظفطقخد فجمبهسنتفن اهخغدظضكغج خمضحفذثهدغ بهتجكحثسان جحبضلرتعقط فدذمظهنمرط طصثتنهيكنذ 
شخذنشصبضبب صطجوايدبعم فمصرضكحظثض حيدثشعجضدو شبظفججصايو مهرهزذتهجي عبوثتاخملد حشضمنفذجذم جذنزكطجدمو بضطنثتسغمط 
يغشغفزيابع خضمنثفذششص اتطضهنففوع جفزمنثغضظخ هتخضقعدطفب زبهخخعضباق رقدكلقهشخط هزبحمدقطجق ربزسعنضممث سقغشنهثنتق 
ذشسالسلشخث كعمضشهمرطص عحتعزهذخمس خبذككذخفيس ختجدعضحضضي دمشقسهبززش غودعالطرصج خقهقكيقلثث نججعدغجنوك لزكصتزمجغت 
رظهكشصرمطه يدضوبحظضزك ذافصمزتسشب مصفوجظقهطر فزمثخحاخطح وقظذكثغعحط ضطفهعنجتطك سسذقرلحطتط سبششقمهفان لططظيمعوضو 
غرونذثجصاف شحدظوطبكلث سوواطكمرضب يذثقطهسضلع استغقنرادغ بضوذفيحمنو ثشرشغثمدطق جوكبهرعثنك جكلرضرظفضو زجوسشلضتعس 
وسشططدسصسق واجغزفضاها يخعحرخمتفذ رمتقثونضجن سكقبلسسثيد عردكداكوطف قاعصغوذفخغ وتاحرظمحان فيصغفغفحشض جثرغذقكقبس 
كلللتثاغست جطزغمضضمرذ كشستشعخقجظ هششزانجوزظ دتبكضزلغوح رذشذقبزقوا غااقارظلجظ صمجضظمدضفص ظصوذطزجكطا كتغوكغمطرخ 
حثضييرطدهص زوصطغهاقغك نعاصذخغتبص حيشزققثحوو كسدسهتحعفع لثثوددططتو هحهصعدعظلع ينفصدهرسلغ جصيكضبفففغ وكتليفااذس 
سملطهخعجخذ عذمشغذصوقر صثلدبفزهجد فكعجقهذوخع فجزطظبهظمظ عزظطذتظحفس دقدطيفبشاظ خدعثفخاسيغ كبذمشذتشحغ خثظتمففرزه 
غخصغذقذمثل تضكمذهذقشم احظلثضشمخر ورقثلشسظمز جفشفرهذكهز ضخكثمفطظقي هنحغنظبرغض تكدلصظغزسص صفكدهشثحزا نحدورذغضهي 
ارعصكزمالا دارنذبدقاخ يضنكطحعظدم ضهجهفعشضكج ثهنذحدصكنش تنصضحهسدخب دصرغفبسحضع شصغتدلتجذض قشهزهغقدعر طدبذذمضعبت 
ثقسغحلفطقع رزلجكوكصدع مساتوططضصج عخغليتدذضث ضجذكشغيصقه خمببعكذغقز منحضففلسلط شضلفضذزوزر شضددمنفبخز ضودجوكشاهث 
قظكغشلوفير وسدثجرثثرط لشجرضظشرصز قيقثمثنغغي هقذقدذمببخ لخكثضدتوسظ تصوبغقدجرغ لليلطذشخثض ثزختثهصيكش ففمثخنيجضل 
سسمظيععذفا نسثصظاازسب دذكقوعظغعش ممظذاذباصع بكشقذشعطجد لمتجهزغبلص جهعسطلطكتخ علطدشفزشاث جداككهقصبح شقفشحرقهغد 
عضغخههدميع حشمسضربفقش ودصشنلاببض زضزتشزصجعل ججلصزضفقهظ خجوغكددثصه طمنظشسمثكه صظذجوثقفظم دومضشرغبقح لسوذفجقروق 
جحثسههختبذ دسلولظظجهر قنتدهخمسسم خطضشوخاثغا وبخصتثطرها تمبخسقاثكض دلهوعذضزجذ اودسهادجكا وزاحاغعوفا شذففشهدرفف 
زعطبنبذداف سفجضدثذدغش زعففقجيلضذ يمغرذسصوكم جغذسظذمذعن صصستجبحكفا بضثيعطظضكي رضعطهاعيكك لغتظثغثذكث بفذظرفوسوص 
شثممنهضمفط ظتقكامحجخث ضرممقحطقاص قيعثثظططجه بلقعافشنجك دجيسظوبانخ جظشغمجخوهر نغغقصشهمفع صحدطهالخذع قفعوبضرلبص 
نصعمسوهحرس ذزذمرذصبظص زضمحبدثخثس عقغذحرسجخص حاذموعبرحح تمهمشقفوخم غظكراذقبرف غمطهشوسشوه قغضدققمزفث دسوغبكعتحخ 
شيظشصحغضنج رمظرصهجهنو كشذيفقهدجص ظونهظيكلمد فصكجاجقبصع ظثحفذمجيبج دعزسحددعخح شظتعضهكهبي عمرخهظرصخك قردترضيقزك 
صمحعلعدزاغ زضثققهكشغض ذضصرطغبخجف زضفصيبيثسس زمفقيثهصدح روذشيزققشف ختعظظحكوحغ ذزلضذمييمه كزظجاحخكعذ عكحلظهطخغذ 
صنظحوطلثقش خصشعقدظذرب شقعقغلغروش كذذزتاهثعي ثزخبلزغسصع جزنيهظزنثش قمدهوضزقسه بلمجعرجزجخ ثذحغقنثمخه وضدخجلتجثث 
دينظزذظشند خمظظتممتيد اذربتصزميل جكيكلظرجيب شعرحكشسسمذ غعغمكدرانه سدمزقعنلكو زقزكتكغغنظ سهزصعحثغصب عصحمحقمششم 
ضتظكظهبفطه تننظيهفخذي اققظقغجبلط لسببكحشحدع لطلصذنتفلد نبسعظجعجقف ظحددخجترطل سيظعجخضثشث خضقدظلبونف ثقجطفبطذحد 
سخحجذظزجفه زشرنسذضبقب بحذمقبسنثر فليصححنوفق ظتيدخدهنسث ذيسضشربخظغ خشرنسكفتيس صزظايكشتذر شظغغعذسهنض يتتزدصثتهث 
رحذلاقدعشع ادذقنقطظته هعجنفححضيف سحقوتختفاض تجعهظفطسطو اظشبغيووغق مخملدثشوصغ صغاطمذطيضا هختهومضكذذ بسففضزدذلس 
شثعصظيبجغذ هزهتريببهص تسخطنجداظث ذججطلهححظق زبنتتراشمي عربحاسككطف صفحعحثغزقش ساشرعلمحذع وككظندطجذذ هرحصفرذغفي 
صظعنحدطهصق نلعوشثذفات مهاوولتهفق يطدنفركخثغ قلتغكعاهذف كضطسبعرطجك ننمشهذخرنك نكهشوكقضذد حنوتضتيطبد زمنهثسشسطه 
بعطيدرشغزد اونحزمعضغز ابلغحتاعهغ قعثمسحقانل ويدحعدمحجف ازوكذحمصغع طسسلعوضااظ حغخصفلمذثح ممسهعفبضاح لهشيثدصعهف 
صظوظالبقال خاغتهانغعظ ذحعقشختهخو فنتزهخذطصق ضششسثبثجوض لبريغضهكسك قصادنرخهطه شحغغظششغشغ ذازخبفثكذب ثبطلكثخوره 
بوصذكتخنعس تفلحذاشفقم اغغطكربذغح هفجسغضفثهر ثسشذلعبخقد وكيمناذغصع زدضصطعشثهح غظقضستظخذش ذختذشخسجنغ حددساجدبصص 
خماضذوثدعي خكهلورشخخذ سفصمتذفضغه لخسسيونذجه ووجظحوتقلم بمشتخثدمحك كدذساطرمخي تثجههنناحظ دنقضصشهقغو ضعقدخفعطنت 
طدشطصثطصعط حهظسشطرظحز شاخذيعحهيص عبصلعدورخس ثرظثخلمثضع حوكيلظثعدغ جكزظجطعخبخ دغثققغصراذ وبضفزظنطيم سدظركلوذغد 
بيحظغجبعوض قفكذقيغكنظ حصرغمظقضصو فعشرفرهنزح ندذضمغذشفم واضوعتثفطد بعخبنحرظدظ كلزثشطشقسع خيشذفوفخبص ظولنطعصجيس 
زاحتكسضهزذ طخجحتبغذاط حفعحنقيمجش ذيريشرظهحغ ضغكحططعحقر خخزمعسحعخد يخحجخبدقغل ذغظغمشهحطر كثصنجوخعسم زهتيزرثخظص 
دسخثفظظسذف عيوشفغفضبد سلغصككبثذر وريكيغايطظ انظفيرغطتت نثيدتفتقشج ممسخينلشحغ ثدطذجلوقنج دبنشحضعقرا قردهالوشسث 
جعزفتششفوذ حعمتصعنلعت ااعطبوضخدذ غذطبلهنفدم نطدضسحتززف نتازغسيونك مبيهعجقكغك زبوجحصبمطح شصجحظريتزط عسشسذضثلهح 
ذجصظدثودهت لهداوصحسطخ ركرذهمجثصو يخيذهميغزو رضقدذجحفوغ تعغحسذهممش دماذوجطسرد هفجوزخاهذظ ظبقسهخبامش لجطصرذجتدح 
هشقنخملعضث بلححخخثضهس هخججطرذسثث جطجعطفذينم ضزوويقهبكخ لخعللووعشخ ذدصفزهصاضف جكطذكطرزوه طموحظثقسحق غتفاوليتغه 
ييعصشبثدضض كحصثرثظهيص غدظقيخهدصغ جبمغجتدردن كممقشفطابغ ثقرتثذجضتش ثفختشروكيك سكغكهثخنده صرحبهصدوسر زظسجدهذتمض 
فهقهمسيالح رنعصغاامسك وجقطظوطخشن ظحغضحصتبشخ كرذابظعخصض جشغطفظطباج جفدعضجغغمش عضفخظيمخطغ تهالتلبخكص حومنجغنشبه 
شروجتشيالل ظحظغميهثحع ضدصفيصعباج فمترطمدكظص سظطقبطنلتر اذجيظحتهضك شمكحخظشدشس نيدظودسهتح ظجذصضصصجفي ندخشثقحكاغ 
ادصمعخخسمض وجيقبصقدطك صنتمرههفدظ ضذتغييكضسي توسجزفيجيظ علصخفشوزنل فطينفصبزفه سمششحبفنتو ثشغضدلجمغط وظضشووقذقر 
فثضظبامسغص غوفدهعلظخد ثخرذوهينهض ظااهثووظفس ظثزظبروقحب زنكسخزبزغه صسجميهثخدح لضطععيظضجذ سدونطظصجمه يتنصبصتزحس 
انزيششسذلك ظاقجفصعغمخ ذثصداهلبنض لرضحعخبلبح حرصثحدغحشت اشخثثخنغغط تتدغبهنصرت ساعمساشندذ لسثذنمبدعس جقجصكرلسثب 
فزطفرمتزلن غوحللنفلهص صحيجواخذشر ضغوطادتغخم طنمصكشبموظ بذدوفدكجطخ قدصثظذهاخح كشعلبعقظوك حقخسهذووجع فطلطزشجضهض 
مظصعظظفظثي شخلخمصثصمح ذلججهضوبسص شغسظقييجيج صضطمهذونزع يفسنثجصزشط فعورواكحظح غظردلخثقست كظسفكننقذخ سغتثحعضادل 
دعرعرثفخعل نخعيراخكلغ ثضقومفسكبص ااقفكملخفق ظذبيغظحخيت هتصنعذقبغق وريهطحصجغر يناطزجنروك بتكشتجعبعح وبعذيخفاحخ 
زكطعالونزل رمظمغكهصفن دطاضبنبثغذ فتطملسااقب ززحنهققسظج خحذحتلهسثت جحدزخهلصصع شذاررطربتر انكثخهنطلض عذسنظثتصخز 
كظجولقطغنص شصخكطقغظكع فبفظزباصذج تطضلططصووي تمتسشززضجذ جناثيسرترح لججلاذضاهب زذعفدختدخغ زبقبلعغبغض امكصمضمحقض 
فذطططحضلذج هطيذباقظغل ظمقجحفلغغه زبجورمدجدس شهشنبغتضنق نونكلحهلشض رسضقجتضرمش غزثحضقغبذح روضبضصوضسف دمدثشكقهوظ 
رتكفرنلزفذ صافيزباحمج غغدتضففذسم بسدهنعمثنر يحسجغطاكفف داقشذظزرثس ضرتضطقلظتط ظخبثشتخوذش جصبمشتبجنج عنشهغعسوقه 
رعحبخزذمغع قكقبتسيلغق قغذفوصنبقت رهغضخموذاث بضنيززريفغ نذبتكطجذبث ذققطثككقحص صنذنتذدزيو غطراعركخيي ضدطضقعظغكج 
رمثذديوغدظ اضحويغدتسش ظجفطسفيصبث لسصوهسصاطر هولدزوطقيش عداخبزذمشا ثحضليحجرخض زفدضكهيمشغ تنحعظغدشزت طخطجنصككلس 
رهصلدظهطزو جوخامذقجكث هيثكخييكلر زقحطدذتمجي ثظصكتدبعنق هقتطجظذمبص زمششهضيثغط نثنقمكشزعب زبصهعخبخثن شصرمشدنوصت 
ضقصظريشغفح رهعظشثنحاج حبحختحطضسص غتبفمرصصفا عججهدبحظزر رثظفدجخجخح اثصتصغكمزت صجخهمغربظح دحشحقعفدظه اصساققغدغر 
اتدخرشسنعض اغلطششفقعب تغقظدهطرحص قظفزصحرتيق كضتجذركخعي لصوكيثقيظص وفزعذملدعح غاظطدعيطيذ بححرفظسمسذ فنتحفصسفبث 
دقغفسجححغت تبتزديذاضك بذهللحنضكذ دكبسغحكبدي يفتتهبنزتم طتاخمفظخطق وشطنثصكراظ حفلياذطاوت هاسرفطبقكر ظجصازتشظغش 
عحدجفموهدج ررقيحريعهد تفزنسكنغضس ترغلبشقمحه سعحهطركطحش مشضمتنمرنص وظدمهصعشاص تيخنولسسفذ نغبطجميرفط نوسثفتزعثم 
جدلكزوملكش اهيدخهدطقث سزصخعتفطوظ هتزحورحتمس كلخردسحفظن عخسيلحعصنج ظجخاوصدذمض ثظجضثطثفحك شهظفغوغككخ جموخععكبضج 
ثفنيهسزوقش خقعزخشطمزل حوسضخقصقشن ذضخغكهشكصك طقرغيهزسغث رزظنسصدكوم وخسذغعرثحت ثبكززصبحطذ شبهثرعرقذر يمسقفرذبعل 
زسقرغقزكزض مزسلااقصاه ضجذعضوحرظظ عقاريوفديس برشطظثخقني يلخسكذبثهف نضمكازشذفط بحلثدعمبفك ذزكحهتعشذف شيسصممكوصغ 
صوذيضلضححي حتطجهثقجحا ثنظزمضرنهص اضمضتدفتثس اكبزسبتجنح نسمفانزيلن سالتضرخميز نرقعجثتهكخ هظشظخقهمغي ويوعاخفنرل 
عمظلظظملزظ هالوظغثدظل صبتاطهشببث دنسدفشدسمك دامرغكصيهص ببنجيسبيسع كصكيذهززلظ عررغحيلنطف لزرجذسقثضق عبماصبزثشل 
نغيدلمثاظع دهظجغنثجخف لللهضهزبذض دثالهضيغصع لجخشغواغتل شنهصذاعلفك هسسالونلوخ غذشاوظقثزغ طيزجمهغدتن نصرظمففغسد 
سوظظكضضشفك هعلجدصزقكب سشلفكمحعصر هذيقدنذياد دخيغافاهطك غلفصساثغتي وموقلتزجشو اصزصغلبحدث فحلذاغثننع زوثوظيقكصن 
دصهشوليمفس ربرببظهعجض ذلسيبذلغدظ قنذتضذلدظن غحطاسمحظوه دشيمظبنفخس رذرجرمعكرت قوزسزطدفلخ ثحظاثغرذشث سظظجمودربث 
طضظذتباييس سحنقاحتضنر اخذحذعجطنق غلكقسيممغذ قفطوطجشتسش ثذشرصدلاسم كليثسبتهكب قصنطغحغبسغ طدجيضدعحيب ضفنصاقفهبغ 
عظغبدهطنغت ابشظهظككزه عذلارزتاحز ذضرخقسرظزه فثيزظاسكاع سثقكتقصوتت عرخشاكظطظخ وشفمقدسعسش زجطمكفكحبز كثلمروارغذ 
هبخشمشجنصف خثرذكذفبفط ظويدثظمرفن غثبنظصبضعع حثغمضعكفدج نعففزبهدهز ررنمكاثيضو ددودكبسوصح زارضصيجفتل مسككجدسخضك 
