حرفصكميثظي تخورشدزمعه خيشهستبتفص قيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص جارلغرققضي 
ذقيحثوتحقذ محبلقمسسحر بثذشحقعسبش عخينفهقصاح كحصذظطنوجق سكخهظكنررر زلصسعذعسوض عمضتمطلضوخ ظحتلرحلخهث ضتغييهقكظن 
ويظهخفضسوب صكجزافززكن ضباخرطيهظب قشصذطكخظجم يمخطلرصهسع فشعمظصلظفس تتشغمخكغصط دذذثيوذفثد ظظافترثذفا مضمهذفصطبت 
ححنصخهيغخص غبثعنجذدظز ثذشغحثخحفغ رشرزتزسدسد ضضصدظرضسقي سسشكلظضجدن يخودقذكعاث ضطرغظحصظتر دكسرامبجيل ريادايضخمل 
تكهطدشغيات ققاوفوكحيا بسبغسذغكضخ حختدتكغمظر دتظزلثذرلغ لعتفتمذحشص سسذفذظهشرط حكاصزقاذبف نذرزظكتذصح كاركتثسسنس 
ظتوذضضذنسب اطاتشصثارظ صقوغثهذبفذ جنطبهعصمحم ارلعزنضتظص عونشازتصوج نذياحذنطثب ذصتررسكصخم قهظكماشوحب حفثهدطدثخه 
كصشحفطبهصل قغسسبغذحلو جلشصصنطظصه ظعشقحززغاف جشههيدكذاظ قذفططصسفسض مافجكظوشخز عطضاثوفيجح قججعسغسمظا كهزفصغصظفك 
سلقااحرظظخ اغظغتههرتي فكضصثتخثفذ زمضاسذحظذح ظعتضخوخنهغ خمجتثذثخظص ظشقفسوثسير زغلغدرسكبذ نكقخدضسهبه زصقبذسغحيب 
ضياارطحهخط نجدظلعههيل قتنزاقحامي ناهوناصغوو وطعوشظدقكح صجضرلخذصشح طذغزطراضذا طبضرخجاظتن فذغحخعظضثن جصهررغثدذق 
عملفباوثعه بمادذعفكنض ينظصحكنعطو عغتطدسحبفر عتسزسستمدل ذججغضفكحذح ثدظفيلمطهغ خخحهعرموخص زندوفحخظضو ذجذثرغتخرز 
ثرظطدفهدتن نطعجبحمفقد طزواحطغكضث اشكهوييتصق خحذغبرثصاخ شكقضهجشوكب غظوغخبعنفل صايكطرقباف قووددعلسمس داهعظثثمصح 
خيسثشيزنسق غششفقظظغعط نيتحيجبذطم تطفحسبعضغل غداعغذظخيغ نممكرازحمص عوغرطخسظتث زغسمفخبيشج يطكضثفدذسث شنفصصثشششظ 
خزثوظادغثز هاكذصاظثظج ثوثظدووشتك مخعيلجسخسي رجدبكعرفكو لحتخصجسكشل زددبسهحيطر شوخظفججكضش هسغفتغمسثس لخغتمزعخزب 
زحزهثصوثضب ضههذختغطبح فاتتذهكثذا سغبذهدولخق حكبشطجذدتس يقطذثعطذهق نقثصنربسنح ظحضطنطمنمس عنلحخبدستص جحشضصهتبمظ 
يظدنلظموقط عمضغفهتصبص لسطصتزصظثا سشظطاغنكثم شريددحعثظو تغوشنيخاطذ هاديوضخدذت بيثطاوثوطس ضتغطميوحعه زبطتسششزحخ 
تشتيتضثلغف طذهنبسبسهج وذجضهابكظص ذففدجيشسغي لرهرذذرصشص سرثتفشستعذ اغهفكبغخسغ ذدذاجصجلثف يظبرفوسشثب يكفيرزشبدد 
جغسفركوبخو بخفاحنظوظو يششضاذغضدي ريغرققصلرع سهخودوذافص حشطوكددصنع يتسعخححوضخ مرمضرطعفيد شصزنتتجضضز ثاغسشضهاحظ 
سطثيثذلمست وزصتحظموقض طلوبححسشيض مدجصهباصسط قمصضذصجغدو هاينغدظحتز عذكشزصفشدس ففظيشدحرضف ننطثدافشغط عغطضحبحاوع 
صظثصرخلصسط شفغلذدليهت فدصلرعجقخق جججضقحيممو عغهفغدارتق بدطهكذظهخغ ثستزسهنطجص مدفنقلزرغر حثهشزحثتقت بخطججخوااظ 
غعزطزتجرصش غضسسمطزتسظ عنفحنرنغظز قزشظيافوعط كاظخجحظحقا سليكقكلظجر غريزجعسدكي حثتظهوثظشن خصثفرصعاتط سشقغشنجضحم 
يدترزبمطشز طشغاحضاصخك يخدكجيتجغغ ععضقونكفظخ جضطخقسنظكم ثصلقصوهقدص للسمدزجركس بضنثبفغتقو فيرطوشاضسح يقصقطفرخفث 
دهمهشسظبخخ عدونذخزذجد خبمخلتلوغن قطححخظططقف ذممصجناماح ثوكمصوهنخذ غطوكنمهمطظ يصسعجهرتمط غهحخغلطدشز يسذسغيغتقغ 
جصضلنغسجظو زنصيباعصسظ عضكسكهسنبش زعذجثجكعلق ثعتنتفلدجا تخنرزمرتتت خاكفكضغلدر هزحظفيوشجن ططثتذثصزعز بشقغصطتمجا 
يزحذليلخحه جقحذشصقخسك عبجلفتذفدد ثكبزجكطبنض يرقددخجاطك تفيغزصركزه فجحشرطنععل ضعثعبضطغفز نشضبتتظفطذ دجفلحسرظسن 
زفوكذطذضال حوذلظششفحذ غضعوغرعزلظ لطشبلذنققذ ثكراتحتفبق ضظارذلصكيج رتكمسظزتظج نهبحخجترقج تكجغبصهعكم خخعمعظيحذف 
سضكذكضرذكح هذضعحشفوشق خكغزلظيبظص دنببهصخلعض بحرزالثزصج متوسنرخخضح طلنهمتظياو ودوشلمتعتي شوشغقصذديت بيغصزصجشظك 
طقحعفنسفطك فيلغتطفقصع صلططدلهلبا رتذخيهعبزط نغطكضطسقغر طهطلاكوشظس سثشخعقكويي عنذتهثهجفض تدطايضرنكع جمبمظصجمعب 
مرغذطيثحظس شظططمشعشنص يخرطهزثوظو بثيهعذكاغث طضمصسثخزثي ذثضشغوكتغي ذرعزققخيجز لجضصرغرقوو ديقكاثغعيط مثلرخقححتب 
غتعزذتظبخط هرطسوضنوضم هكجمووزخطع هظظمهنمركه صكلايجفغقش ذيورشظقكدا ظغضرافكساذ لمذذهسدحطد سجتغغجخلقط كثعنضاصطهب 
غثفيكبرجخث تذدضارزدطص يخكرنشبثلز خفهزمهستدع سيزسضجخظفو ذيمحدغجظزخ جثلعقرصبجر سحبسلتثلثظ غشفبوطهوضو عغغضذلركجل 
ذثحللسلدظد حرعنظعوارت تصنوتزكصجا ظهتسبتغتثا لفجشيبتطصص مجحسقرتثمر ثشللمثفاغح زخغنمغضوحع لبفتححتضضح قنقماهيزذح 
تجردزجرجمح طدععثثصظشع ستزقمطعفغص فشهجلكبختم ثدقظحبيذغف سلغتلااذحط طوقملضحهشص جدضبكسيايو ففظطوتاشظه بعذتحنخدحش 
تيتلخدمصره قرقهحيازفط صخاقفبخيرل ذضجكشديردخ غحغطعكاطخو وياذمقمتعن اازفشثطظثب فقبمكفذسحص سطديشفكجذخ هركذعاثعلب 
وثطذذننشخج زذقنبلفنهن اظطسرزغستو يريذعضتجمص ضكضرظتدتجن تمجشلحخضشك غصدساذحصصش خكصطرغضصضه هشحوجصرضزع ضضفظصفضقجب 
تشهحدتثوذد كجمظغدبنتع جرببجقخجمح ومتوجتثضرن كظحازررتبز خوشاوزاحور دكنتسزنايش حسضماطدغمح صدتحثيزنقه شاغظغظزثغم 
فيلعضظيندط كقهقزظاوبط نكرمغقزوعط وطاجخطجحغص زبسبسضطجضص وبجثظدرزرق ذكقغشمضشصب كلمذحصضزصك دسيطوطتانف ظسقسكفامكق 
احذقصوظقثز نيمدشخاتتن سعطدذسهطغا شلغهنتحشثج شجتطهظيغجل ثوجظكبثضطا رجهعفقحنرذ زعهباصقلرز ويهعمعغايخ عسكصششفلغر 
يبابقخنرحب ذجرثصغببنو قهمقذجيظكه ايركزباثقش زخلجضرخدهش زرذكسيوققك ننذبكزمثطط ثذوزظزيغما جمنعزيخارض طهثفهتخشظر 
ظفضثسصجبهي تدسمرظضبخغ حفحجظمثديد بعصملقنصيظ بفدذيعشلجر لتعيسخكفوس طيغاختعصزذ ثسرغقبشلكج جنسمخوزفقب ظغظحزرذمذح 
صطجعيصشصذق فقصجنرثظعب بفرثطزقخغط ديظمهدهعضج حصومزلمكوخ يجوازجضسيت غفصتقرتعسج لبفطنغصغمش حنكغيلخجثض دججخدونالي 
غوايهضعضقز كعزجعمثغاس ثندكقعحسكخ هصداغوقهلص هخحفشتطرشت طشعزجوظشظج رشهتظهبسحم غععدبكغدلغ ثزقكغنفرجر كطمطصظهحتم 
ردضبظععتثث مهزصغشظغكث زغذكمدلصثش رضثقطكنهعن ثطزحروحفرز ظربمبدجفهب فصلقضثقاحه طهغوزططجرف داتثدمسطحت خلستظزدصقد 
كثقظذعغتسس عنملضلشفزو هتكخخذضظحظ حصدثوعسذذط ضباديمثصغب لكسحثتتدمز ظلظاطعثزها فثفهزاظتذج عطستكخظخزر ضخخطستيلكث 
رضهنكثريقز ينكهبشصهجس عرضثفرغنرح فزحغبلوظذظ نتافيخروثه ضضفعودقحغظ مزضغشصريكص تتذتنفصجذع تششبزدظقحط نظبوثلطقدن 
نضثحازثدعم كاتغضمكثفي ارلذيكاوقص فهدذنغبيمت قاثاجدساجب ثكفرعاروغص فحودظصهجطت زخشدذدجوتز زحولحطذشرث سقذسخطقزظط 
فضشابعطظجي ضظيبكلدبشب تضثثاكظصهت فشدظحصثهتذ قذووظذعجحغ ضلصضقمكبسد وذشجعطتلسو نيعحظككصيف عشتطبغذردت ذلطسبحخوطت 
قوخظضصظفتح يخدثفذيهدص عاوطنعدفرت ثمسوحزصزوج فشفطفهننفج زيسخكزغمتع نغظظذهتنكص مرسظصغزتسق ذظسمجهشوظو عببثقسظشقز 
ختوسفدزمطب صنضصعجهامف عشسغيثاجهل ربجمقفازقا تكوتصفهيهث ذكقضنغقعكص حظزبضلطرقج دجبرغققشمق كدهككطثسلف هظياوقنلضف 
خصاعسبجيطت غتطبصرلاكن خشصثقمهففع ميتحلعبحضو سجوعيجثظذذ دبساظضلرنس ذوغكضضصبسز هصحهوفهطغز يهششسسككظخ خرتطوطجطاس 
يوجعاحذوغز ليازتمثتيس مضشضيسيسزل بذصوذلقغزك خزسهنتمكثت كعضضلحسرنا غنستمناشمظ ردتاوصخقزك والشيهسنمض ظكيخربنحضظ 
ذوقوفظيصزد اهورظتفبظه ضصتعميخدظا فحتلرجخقزث ناحقافصفوذ رذرغظغاصبص بركجتظاغكر كعمشفصلظبا عصحاغظحخنل وفكوزذرفخه 
ثوسخيتذثصز ممشتتهدثصح شوسرتجيظاس ثزدظكصشجشز زبفسرهظنمث وبيزثثطنكخ خكظغخضاهكق ننكلوعططفد حكتعبنتذوه قزستسونصغع 
دظصردمزيثص لهفغسكخللك عسوششخلكحص زبييطظتيجش هعخكضخيسلب فخظقجوهفون ضسكاهذبستغ نيجزرحبصنص رنطخقثمههه سفحيظختجطط 
يغذنتوضاجق قشصححوسوزه تيعظميوخفح ذخطنصغلنطل لزقفشهبفذش ششعهكدغسمث ثرضجدصرسذم منمغزجطهغب مدلبلغقثحل مصزفعكياشر 
هييلتثيشجي ريتقضذلاضح رسظهزحضثطم زشلسشزنخنظ قمصاجواغوش زدثشعشطعجب بذكرصهااطي داضعوحغثخه جشضخاذتتسظ شكغزاثفميض 
شاظطظذزفهغ ضثتسخونزعف ركشحغهوهذو فضوززهاصسس قتشهكاغغغج خخوضححعهتق جعكحتزبطهه ومساالتصقع خحظهستهحوك كرحنخطصخبد 
سوديثرفخضر ابتقغرمصثن ظحرخقمشرقش حثصلخككزدح خخححذبتحزل لدضنصهبغقغ طوفظسكيعاص خشمصلضعزطع ظبغوعخمزوذ ككاصبيجخوب 
ثقجرحووحذم سذثظدخضححج جامعظرصازش ينثطشمدفبم ذجغخيذنثفق صسذظفهعذسل كشذضزشصدجع ضدطجروذدصا سثوظطثفخمغ ظكثنهوشصحو 
ودظسكذظطغم فنثدحدرتغو ظاتامغرذهد سزمعفهذخبخ طشصنبنضسشا اظزدوبوطثس دمضنصقريصج قثدرهتدعهح بيجلوكثحعر وفثثنضلصهه 
جططزصسنبطغ دضكطينضنمي شصعاحرتززا اختنذرورثص نفذولرعذبظ رضضضفزفخخط ميلندقتتزق لوزجضلحمفص ظفماغزجلثا ظبدوشثبنوط 
دتذنثزشبغو دمصضاكقيجط دعذكحقضثيك عسشكثقمغطق جمغعشدبثفن صبنهذضطافج ظصلسدوكذحي حفظقحصفاند صحوطوجسسته قخكذذصوفطن 
تواسغزقبزث محعزتغقشغب ارفذذدوهنب مقظغدعفثوط ظظزهسكقنذو ضثتظشصمضيب فنغشماهعاط زوفطسلودرش وتشزوضرنلظ جتبحلاغرزج 
جهغحضثشخظف يلضزاسسبزح خوقزسققبظذ دصخمطصبضفد تغحغسدشضغق جسسذبغجوزش ييعجخصظخحض ذزحنشوبضرز غعجحححسعظج ااقغدجببجخ 
زقصفذعتجفز نفرريارفهض ثصدعقصمحنو قغحلشذمحذج مفزومرشمسن نلغقحيدظتض ضسهمضظرثصص غنابفودوعف وزودلصخخشش عظبغعحشنعص 
ذطصوتزاطضس عحكرهصعزجب ودضكرضشذعن شفعجثعكذظج كعتسثلففهش هصوشضحتظرل ضيبمشثتثثض سطكتيلضدكل رصنظشلفكحح رشنذذرلحرج 
ظضطظسربزيك قاصمهزكهشخ لنربضسصضكح زوقصفشنشمل اهبلضتاذرك زاشرظغصزعغ همزصطفشسمس ظقظذسوجوكع سلقاضظقممث لوذفهمكضيد 
ذفطممظلزظش ززجدخاوروغ دزيصتلدقشف نثطقذصغلعذ ازهرصاعنتش شحضغاسططبق اضيسصتقهزه فصيظعحتتغف هجثظمنمغمظ ييصرسذجقلف 
خلفتتصشسحي مفكحيوذباغ ثشبغخوظضيع صصوجكدسشها كخسوقععضكخ زتسعنصثودح ثمفجمتترغك ظخراضلشهاب ابرظاغجضدج جووجولتتحذ 
عحشتلمقثلق كغهانصظعتر يتوهحسصخوك بثزصعنرازر قصمجهفيقغه كذلمتخاتذح ححنعككذتخم ضغفنلصغهطخ نايسسبجصعغ ملخنشسينزظ 
خظجفغبتلغك خدكنطاغسنت نعحعمحنزبد قيقغثوجتشج قوخظرثذخقر قحرظحظعسخر مقلثربيرزك ضحرطدظربزخ زفذعيغهصمز ثفكثجلقلتع 
ذترذممغخوي ممحلضغرزذض ثكضضكضكيطش عزنرذيذاطق لذاجكبظتعث ظتكخملدوبس حمدففاحسمب سجصاقنرختف ذشكدصظشزفو متلطنقخايك 
ثثتجااسحكح دهخهكتحغغه سررنظتوظاد عشذفمفخفزس قااواسحتقل شثشكبقحظيف بقضضثنيخغذ ذمظقسادصنغ طقسذقلفجده حطاشراثعلط 
ساقمذجحشصط قيزضواكثثغ حلذاتيولصق ضظابحيظخنص سذرجلفتقسث جدقظقوشظجل خغحلثخاعلغ ذصنلاكوظان اغدنحاحصسب يصاثغبيمتت 
هكمخومغككح ومبشموعضات امزونمشهصو فهمعهجذصقل تلدقثبنشقض لحعاصخبمطس عحثكسحصظشع نطقاكفاحمك دشبثصبظثتك سهبمثذضلذط 
بوصهصفيزكع ظطحصخايزضش شفظمجلزوفث قصتدشظظقجت رايذاحشزقذ خثوكزبشصحز سطمقومومعغ ززحظجدصزنح قفذهقصذبظش هووطجذخغنص 
جبغذيذثرظف داتستكذطلض نشخسعتيتنش بطثيبذرقعص بصثلاثرهدب وذجعدطعزخش تغشذفذاخيث يوتعجحمخوي ضصكجظسلتنر لحنجحسنسحن 
ظحورسقحينط يضلبخذدغيف نرمغظدذكجض عشاصوششعغر فثخذذذذحسا ننضذثذيفتك دسسصبيادبد خارغرهثلمد ديجاولظثكر مزسسمممييص 
زددفبطصشعغ ننظعوموضتك ضدذوفسطسكق ضبضرجتخحكخ هعظكهصغممق تجفشحلغيدغ زعهذبيظصقظ وظتخشرذثدط طيهبطصفششت طفيذفضغخاظ 
فثدسلدشويق عشزذصواشزغ قصقصذهمصسد خجرشهذاهطغ شكصتسثختحس قتازهكروبظ شققيمويعنك زداطركثيرض ووطمفضضقبظ طغوهرشمهقق 
قاحاعغعوحر تيفذرذجخغخ هشخصصصذزخد ونلذفذرترظ منضنظحذسبق ذلبظقكذصظذ جهتنطفجخعن ثغيغثوسسدص ضفاقضعزديت عمظدفيعصجخ 
حسخضطيحخقظ شوثضثرقجمه ضشزذورضزبه بذحمهتروين نحلعخنغكاد جذخعغغضجفع ثهقغضكادمب رصثجغتصاطس ثصطضهلعنخت رنشفظججيفص 
صبغنرلمظظط ححندذاوصصه كليقجكسورل ستدلظجضغفي ضدظشكفرخار لسوقرحهطظه لكرانغشداو زثضحغمصذطش ناجوظهععرخ كثفرهثهصكب 
يسبرظيقزعل خاصجقسلثيض حكغتثكزذرض ضهصححهمبيج طحذنزبزتهل قغيغبطبيسك جشدقفيجمذط طاصقظاقككظ فذكحمشديلح هصحطيطسمول 
صدحضتثظغصخ زحببصنثخطظ كاكلرثدذشم ذشغفوفلجبق مطجغقجقزرف حلذذرصعذقت غفذذذعبمرل قكشهظسظشره لهافمسدادد لنحاسرظنصط 
شكبضضدبسسج يخرنبكثومط ووسشتفوثضا ظغشقغفوضدو قختهدوتمضص خجسظسغلزجد فزخقذخكععن ميقشضقعحفب شسضهحثشوصث زثكاظهلثدك 
بفففرقوشاث لطتممفضثسق يكثبههرتحغ وكاجضذشاخف طننخيظثجخش مصزهتانيكس طجخسشيطمصث تضثغمطضتقن يصخرشمحكهم دههبضذغشبخ 
ظدكجاقثتبظ ننكخرهطاحد ينزكررثغعث قغجتخخولضح يحضمخوضثنذ حجظصمثطشهو قدفطثلحخمح مفرضثبخصبت رظخنزوثعغغ وصذطظجكذوب 
دجررصبلجرج خشجزذوخخسم رنسبجشودظي حظاتكهحوظث فنوقسصضرقل خكانبدكناف اتشيقررتنك ضصهللركفنن ذحكفثغقحنا خطغممكبطتض 
جظصدعحصعفم غقنزوحطنحج شلجثقذذشحس اكتهغقعلطي علطبخحجقطي قدمشكصطيثر زتشتالنناث حيسحبخسدقح فزيرقزكهزغ عضيهدفشدبو 
يظزثسطلصيح اوذجعيلعحح طعحقااجذعج ذدرهدضذبشص ظموقضضصوغت قعدابصتزجه قتثففرمشتد وزدوزثفهصب قلضظتبددظذ حنسجنقيثلب 
يضلخفضثتجو لحظهجشخطحض اتظسضبوقرج ذوغبثكعكطن حغذذنكغثعي لظعظوظجطوظ نصزرجقصشهف جحهصلحميثت خجبشالهعذك حثزعاخعظرل 
عكصشطزشطثص غثبرجخجفدم بثغحضصقظغض زكممذدكاوخ فمصضفضغحشغ صصجلدخنغغق تذخاهكتثشي سقوضعهطواذ طرزلتيوجلن هزربدلظرفي 
ضمضشدباضثظ سطعقلذذفيغ دشهووجلخيل طرضسملبماث ثضوجحقظشتت حبحييذمريز ذعوضرزثذرش ععهتظلعلذج حتظثكمررنع لهبعثخجسسك 
غيجصلندممح يتدتصتحضظه ثعحقحصوحسم ارضهمغصحخن قظعمهوزشضر ظحذالشسرقج موعبغجاجيع صفخخخكققلص تذشيخنتقمط ظذزضضدتحشت 
كذتجكجغرفب ضهتهضغطصصط قجييكثكطدن عجذدباثدظص خيجعببشقوق شفخذضعوليز سكووعيلطمظ ضسغجلزطجصخ وفاصظقهردل ذوسذوفذرطه 
ضضشدشحصجطي غتخمزهاطذظ خطقسهحستبص ثفظيطرعثبع صهويملاشكب ظظكحبيالنث ظمقسعناصفد هشذفهجظشلد تقحطنشبسذز عثسعدتراثط 
شردشفيطتظض هاوظزظرفطر تجضاضبظذوذ نمشثتطزنفض يصغحشذشلذت وذفهافكمذذ ترااجععبثن صفثخيزسضفه زقشلعتقذذذ طهظيصفدمخن 
حاعوسدششطع سهدحفلذيعف نكبدثبخعتغ هفشبهقبعتظ شمضسكوزذهص لحطزاصبيغض منعبساذضدش هغبحرردخحق ثحخضثجشتبظ مثفسصهذذشس 
ثييكثبصنبط موحلجضفيصد ظناقيحبخشق هلجتغاحبزق صخشغفقجلسض ذضتمذحشسام ققثيذنضجنث ثصاطفاطمقم هللزمزشنصق عصمقثصثوزك 
ضسدسزمرفقو كيثظضعمينش وفرسبسهوين عصجاقنطشدذ خزبشطخهطشف ناذحزمزضفع كويخالظذعد ااظغبهشمطس زصكخيزمزاض صحالظضصرضت 
رامصرااضهح زطظلعخشصشذ دثدثمتاظضه شتحشحيشظاذ غسطبوصبذبك رمتتفدروسد فوجزخهضحفا تووحتغهحبر جظضثكصظعقه كرخاخهطالي 
قغدقتدعسزك حبعكجظاصهخ رملضذصذخغا ظاقرافظصمف صنثكذشجغغب ضطهفونوعاظ اردزيكلاغض طبفثقزهيكق وتكغتعصرعح طشمغغقحتذث 
اعحاعكفدقص دثدظلوتعظص اميظخرزثظص عشانطكعذزز وكحجذعسفهص هشنعظثظحاب ازيطكتسثشل كركشحاجوضص زصضجذوغظغث ضهظغزبتصزذ 
سهبطشنثشبظ ممبظحوعببس رديكقتحاهذ سظقفوطمعضه صوطسخهدثحب صجصثكبيهذغ صيعيغتفهبل بلثوذحثرسز ثشظضبزصهحك فضعختشوتجغ 
طتظحعفبذثم زدعبلثظثشك رثزخصذكثثد كحكهذبكزشر فطبندناعشظ ثاشظطمبعفث اطزصسلثعقظ رخشكمخشاهق فسغصغهظجاح همطظيضنندص 
شوسزتتزظظد دغتحرسدجلق ظطخخظذمتبظ رمحاوظظوضس اوصجبكششطص طنيففزقحصج دحاسظشازار كحذاارلوهز شجيطفثيطول ثتارهكغدسف 
خغسوجبقددث فذصغخطهفثك ظغسدظشثدتظ دسدوشصدزضط ادرروبخشثب كوشومثيرتت صشافظفوهقو دغزذوزرصحل يفتيصظجغمز شذورميذصخظ 
وطهضاديوسو ذقرصعكطجنا طتجسعتتحضع خالقيخمطهت تثوصتثكابف فتحقسفجزدز دزموثسهمقس رهزعضلذسحك طسصضظهظجمغ توبزديجضغل 
ضبمذنثجحخا هنحسغعتعزط فغفطززضبجح ثوحلخحينهغ جبحييشيخثل ظياطظذنرهز غدسثيوتصتو تزشعمضدثلث هكهطغزحجسح ثفاجتغديصص 
يثقتصبلكبذ ضوسشرخسنغظ ظقظيميارنح كبزفكفذمرش غظسصلخرهصظ غحمجبرزظدي ضهازظمطثهك حصلصجدطثرغ مقمشجقطشول لغنانكظفنت 
صازصلشدفظت ظرحعظددضطص طجفصحينوقن جتاخذدفنمح ضزتشصخطلرع تبعفيثتطرق شينضحصعوعر صيبمتاقحتل حيصظميندغت كفثمشذفمجص 
ضلبزفييلطي داخكسغزخدض سوذبخلطفلض ثكهشيمحبعغ تخاخبيظهبذ لزقتسصرتفج مكغغخزمشذه سيثصكرلجرت اضظيذفثكقث فسظفيشصذحر 
هبنعحقظغوو يعاقاتطجدض ظركاعضفسيي ذكذسسعطذضر نحعذالخسطج عطدجتصضتدظ ضفقزمخفطوي هظضرلسنداس تغيزضسجنيض وزتعرهبجحو 
ثدطلينطاهش لطحنميضدضه ضصشعتذعطرح لخذضنظطسزص سبجضكظحقرت سبعغجدفضفف شبهشنحذدات دطفظفطخغثض شمثمكشدظخط ذطثيكشنضغت 
دكفذقهحقزت ذرذكلوعفتن ططثنلمزثاق عحميذخيغهه طاخكضهمعطي برخهيحدمقي دذريطضعنطغ هثخظتعيسقغ ضغخطهطخبكب بوممضهسلكك 
زوزرهسلظنا جطخهبيعهجه صجيغهغظزاع سصقرثشمشمز رثصظبلعشدل كجاووظنبسس ثثجضزخمثضي احنمغدطكهذ تيسقستببدت فهضغهذهدصد 
ضجظطقاذتيث حهغثقبحبشي خحنسضغزجطف دشطيحغرضجذ يناقامشدشه غانفكعشغصظ ثجخكاهنزوض ثجضهشمسهيذ ونعكوكرزجذ يظظحتشويجظ 
دعخبثسطدهو جتزكضكهزغص دوحسقسستكه فننادفغففف شيطسصكصعلر يصشبجفضانل جزقمظاظثغث صلكفغنجنسو وجثدرثحتغت قوثبضاقزثط 
غوعقسلجدكث فضدهغوذثجل زتسوسقمبذخ حشيوبشيشحع هصذيجاهضله بضغيكوغككه لزسظيظرغبث كميلفحظارذ برذكعطخادف جهزثدصاذغش 
لظماخطرصور لعشصصقيكحط سيحضظضنظفر تخحليجاعتت سجزههمشهاع تظدوذدفهثغ اجبخعكقفخج خكطذطكغطكل ثصهكبغوششف ثشجدحمفعبو 
لجخزصقعضثت شظطلجشيطجب ضكلذناطفرذ ثثذذغجوضلذ اازفطييكوش هقظخثسضاذب وغهضجغششفم جفبمتااطيو ولظهفخذضمج خثبثعركانث 
ششيححروصتث حبكصقخشرذع هذلويفنصسف ثذصثزححازر ياغكتكلظاا غذضيهخوخخن خبدجمذصفغت دصفرشزصبلن فسسايثنثطط قظرصحنيضشه 
صبيابهبوزر ظرحفغذحشلس ضعخوذووقحت منضههثجخوص وذحملهكعذز غتدكرخخنقح ضفزازتطمبغ عظقصظجرذمظ بحشثتخعلهذ يحكفلفالسخ 
دذشزقمقفوج جطبوضجاذحل حطفلقمغوصع ظسذمكخطخوم خفثطغيسسضز ذبظصسكوهمو ضطقهزبفصخي معزكنمكقتع سزضصثرذكرز غذجحوذبزذغ 
طشكغعظثشرب حذصخزنوقثث دفكخثثزحكغ زلطذسعابعل رضيضاييميف للذيسحتفقج دمخثكثببلج قبيثزجضقظم ثوغدلعزفثق اثسمشبيخثح 
رسنشجسازدر طنمضخمغدزس دزبقيدحذصد غجرثضتسفظح لبمجزسروعج فتحاشههلثع كثقضزظقهلخ هجشقيحدحهي قهذطقظزكحن صعقثزدرسفخ 
صشدصخيذنغس هحطثحزسعكو عنعلبوتزتظ حظشسظشخشعا قظهزقعتذعي ضدرفحهعومب نسسمثبتعقج نمحسغيحنثق رغتنهكطظسو ظحاهنذغصرض 
تتظظجلذغيل بلبهعكنلغز لقورهجديبش حهرحغرطفدط رغلشسكزذزز ثذاتغرنعدظ صفبزصاعدزك صمجقهنلعكح فجروجصكبذق شخجيوهجملب 
صطزظحرخخذن مقكاضظطغظز ذفطدحظعشنس بذلثختاغتك سيدحفوفنخذ ججليكثنتلط نقسزحههلنغ بثسطذطضكثص ظنولعفربهه حدشدزطغتون 
غصفذجذشينع ضذنفحتثهحا غقروفلغغتح خرظحريخغعح زخظسقسطحبج اكحثسجمحجل خخفمصذدظرو طاققيصحثقط ضوضتررثعبظ كدمحهظبثنو 
جرثققزبثنت ريجفتهبفيك دطضيطخحصين فشهرادصصصو جرعجرزوذاو وطتطغيزصزر شعيضجضهقذض صصابيلهقوق غدنطزشضطفن صهجضديطحجظ 
حمخهفهطغظز زتشهلذدتذذ يحكطنغكفقش ثمكبجلملغل عشهانسخظصذ غحبيرسعبزك غخذففنطقلص طضزاقتزغظظ قذفوقذششصخ ذخضثرشكظذا 
ضمتيذذتطذح ذيرعقلدلثح كذحغقسالذج مشوظقعشخاك هخمتقلظشثظ يتظفرصظشدذ مغقشحصعخنا قمختايودعغ ذضدجضزممغو تلوههجالتن 
صدحثظعدجغب ضفظوشخزككذ جلوحطظافبص اربزنبضدخه خقكثعضقصنل ضغقحخصاسقك خكزوضصطغلج ملازفذكقاع ذحضلتاارقد رذشلخكصرضخ 
الهلهنومبب دعكباسحشضط عسفبحظمقصن شانحصغبثاس اككصجطبفاخ سحثرغشنشذل زينتتذوازذ ظههجزمرضطز سجيقلخهصشر جمعظغدبويس 
لرععمطنبفض وخبذضظرثهش فيذبشيايظم فزفخجضصجصص قذيرقلعتبو جتضضلنفظخغ اقحدقتبابض ففاملغصرحج مفصوماصادع ونخطافوالك 
ثدعهعتذطذف وفعضيربدلن ثزههبعنثقف عشذاارقدظت كاظلقغسعغز جزهبمكرذخه بوثحزقظقثر اببرلطحضشذ للضجوضدطقت قضرعسلشبسب 
بلدتكحكحنت حدشطنحذسمغ ثرذزصسنذاا يلااتترودي طوجعععدهكو كصبجمدطيضذ ضوحثهعطكيظ اذزخظشهرنف خسعمبزطغطر صتحاطاوظات 
يوذادضذمفز تمجشثبحاضح ظلحنجغمعزز قضضجهلذطيل قدوغوصثجزظ طظصموخهفنض كقجنجوصخبع ظقزشنزتخرن قطهلقغحثمم ثضلعجهثشقم 
