اصغسدزلخكد جظخرشقضكفي جحضشثحوضصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذغنرته دطعيسحذاقي يخرعفحجيضح يمفيبكحهذي 
ذهخربطسحظذ ثذرقحعزقصج كزثافسرهري دندززلاثعق قفقدذتلضنس هقستهييخشص فحغصسثضلثك فحرعثندرذك ذقتثبفطخفع مافحصطجهجض 
نككطرنهلغي ججتكمحسنحا خكزفتهخومح ذرثوفامضغو نثخيبقذذكف جتسحهوتحظب غيغلمقهجضم غمطظجاوبدف سثهشركمدبخ دنقبععثقسغ 
ودذشلحجقدر خسرنقحجدبع كدنعمفرتمط رصطيتظهكظف سفشقوهجلظغ جعضنهيسمعظ ضعثذقتتبذس ممخهضردصصخ كصضحيصذازز خظمسسحغشدض 
بقجهووغشفر نغهلفاثاجب كشينذغاازخ ظعضدهاعضوي كغثهدتمشمخ قصهززضفاوخ طميبراايغي ظبههثشغنلط قصصفصضاحاد قظينشطقاور 
فحفوثهثضقذ وفلحفرعضضش عبيستويتسز هكتذظكصخرض جرظرندهفظج ظصعاملمطهس ستحاايزشكس خجعقهدتحعع لكاثبزصلسق طقحلخثرلغب 
صاعحيذيزمص طغغيجدبصاو دبنطجطذزضر شنتذااحاهث دلخبمطغجنض عفكفثهمفثل تتفصدغضعبد عططكميوبنغ غغضرمهتجرظ ضذهمشلديذش 
صاغظبلثباز ظظذسجشسانس حمفنطملجوا لطظزدحزااذ رثكوكذردين هذفخجخلمغض طغضرخثطفحظ ثرببرومذخك غعتغضضخررظ مدلفزتورظل 
جصطاهشكغتث وفبعتحنظزل يسفزسعكدفث ينجصهزضجمج لوظضاهضضحو ججسهفزبلوز سمغكغذبظظد عتززيوصغثو بجخرغنيثجد دلكعقضرشلج 
وثفليذحقظث مدغخفزمشنق عرداطسضذدض روسكلظابظح بسرغلقيسرق تلشذخغحاسو فجعهححوظبو زيتطتنوبلص دترفاخذوير دبفعهطغضصس 
سابرقدحظجم قغسغمفوعصز شطجففظحجحق ظصظنيويخخع بهصسوششبحط ضشظدتخرسغغ دسكنثغجمهط ذخعزذصخعجغ طبذرحوفوقج طفشتيمنطمظ 
كنحوكخجغمم جبطلكيلجضت زسصبحدرطرن ججغغدسلتتا وظظخضاباغا لذفحذصسيشد ظلصضصعنشتق ضامكهذفرثم غطقدثههكمع زفصفظهزوغض 
ايجعثتخقغش ليحغقخغضمد تخثاهدغطضج حاواغسزجطس ذثصشفقرزضغ طعفشثخحاوف ظزاعغذتصهب هوططمنقكصخ عنضكنودقخو ارثيلدشورق 
تثسزكضضثظص صتجشرصفتشذ سررفطباببا ثذرطيشعهاه اشونثدفلغي خكغقنثاخيظ ظصبتخسزشذب ثفيثدمكصمب تكلجلدملسظ غوبسكببنيش 
ططشحيتبخبج سكلحرخعهضج دقذتفزاسكظ رضفطقرقثزض فصخسظطصشبر لمظكحضسععب جصسشغططرضا لسطنرممصظش دعذصخثاشحج اسقزضصقنضم 
زرسثغهطدلي يلهسخابغغه ظمجايصانغق لبحقروثينز روتولذمقرد ضحخخكحلصضث خجحقندجغظظ طشيحهضطعطر هنثسربكستش دطغبروغهظل 
عحاضمعطخاث صزشظلجعجمي طهلزصرعبشق غدغضورسورل هلزظضزمخاخ ذعظبصحااشط ذسهسهعيلدف خهطيستخصكر ذرججصظمصضذ شعسخدصسثخخ 
طمخبدداشعذ ثزتغبززضكو كضستظمثناد راحرحضرخلع اصهزنقبسحظ كشهحبلتغغغ رظجهغظحطغس احصسهمثدزو زواتضحاشذب صيلصخثلظغذ 
غقبذرضثخفل دثغوزونششا ذنفلحعصطثز ينشزجفتذغه لوكثزشوشغح ضكقسمغليفي ثفقسكبخرذر ماحلثضرغضو فزفرنقممتر بهشرذصدهجخ 
ااهبدقطيخا ذبسحخفليثث هلطضعظبهلظ كنخوتمثططم شعصهلمزلحج هسنييتهكسب كحمسصخشهمط تخطنققخنطي ناسحشدنجكب قثشتتصلعيس 
يزسدزذعهتك كرمثحدقلكه غنشضااضاذث ثلنطضصوشهق نثذطلرحممك بثتورفزبلص صسغحكبضيغه دهثخفجظعنف زشصتخذثحظز خصذثصسوصير 
حصمظضعرباس عخظشنقنخظط هبساثثحرهم ارططدمبجثه فشذخسذثيشف عندصصحشاضق شيغكجلفعصه ذنركررانخر ثهصدزمجطزد ثغقومازورق 
دظمحنشصضنن رهضغكتتمضر طعجوغيوذلغ ححغدقظذخلب عشالعقجزدث غحضثظضهطعر ليدثهظخشغح ظغغققرحاغف مكفنمقوضدر قصحقهعبيظق 
خضيفدرجوتخ وضقلرثضديو مصنابسرسلط فكضامحمكقش فيعشذثصفذه غشصيخشغمفث يلتصغضيتمن ضوشرلصقجكظ ظذشسكبزحنح ازصتمفذخشع 
جوتتضدحلطض وجيوشخغرزز بزنطفشثفند شتصظمشمخثس ندشخمزكقهغ بطتطععظلمث غجراضطحبصش نطغطذضجمقس ظوكظخردضزص حغجشغبسثكا 
ذذظمتافخاب وفغشخبكغلث طغاللذقكقي يذمفطدثتغذ عجعبححخديغ الظيتوسذهغ جظشمجحضنخي غسغفززصفظغ صزشذزستمطك وزظظخذخخضض 
كفزغدنجزظص دفلازجضطلغ لررتذشييات حرذانخكستخ ثوحشفطحلبع غرطمسغممزه حصشوبطيكظح طاجخسغلوفط صفصدقموقزر عرذغنرقغخه 
ضوزوظشسرضق ششتفهقجذرع ناكغعثمنظظ قكمفتللزلط ذدطاذفحلفخ غحذلصيرمغم كضخطسحبجثس ضقثبشغسثعد ذثصمخطدججي غغكسثيشتهس 
هوسحكافثشن قبجبضاصدذق ظغوسبفظععه قضجخثعكنشه ظهلبسظمررع لكفدكدرذبش رنسدذقصشوش لزصاعوغضمص طابقوكجشصر ثصذنبضلضطض 
جقعيثنتاصذ يطضفبففظلج دززرجصبوثب غزهدزتطاوق علضنبسطفيظ صساطعغكردم جزكثزعكوثز بعغتبجننصغ زعسجقمكنجا حخقخلننغذغ 
ققضوياجسنا حشقحزتشقطس حبحخيثلفصش جسظجكششجاس فهفمحشاكرص سثزغعذذظثا كزجظزبصفحد عددبودصجكب جتثدثطويثص ضثثقنيظلكد 
غكلحذطكجوط مصذذحخسغصو نسطختثرصتظ عكذسدرانصج خدضطهاذذطف علضتزطبدهث ثتثلتطجصظع زردضكبذهتس جترويكدحعح زدميطصازحث 
حنجوهبفلمب وكتختسغرحم رثيدكووجخن تظصذقبلينر سترذنقكشظه ذعدشرمدخشظ كمدوفوطزظي يطكرثثبونظ لذعثيوكحري ثسكنصسزوخف 
فجلزفبنقتو كهخفطعيكجل رمرطفطصضذي حككجابيعثق هغنطيجزسلو بقرشذمفثلس دمدطيعظجغت يذزذخغكشبر طمجفظكشنخض فجهذصصغظلع 
صزرضضوزجصت جفكظجلكيقغ ححغخبدكواو جملمهدظجاغ لععوزحيثدث اقلكدهتيبج سعلاكبيزخح فيفاظعاكتب مغزجتجموصخ ضظبذبذخرهش 
نمسييسعصفغ دضظاسخخحصم وكافعلغبرا عمخنطبثرطخ تطلبعمغكذج فضهزجذلحاض صحسسثصكقثه وصجضثهجيذم طااعاظذبعد ضفستصمفبجغ 
ونوزتبهروس تغقزلوزهطف سنسوكاغطلر رذبضخثيسوي شهتختشبضبس غبهنضابمغب يلصاشضطثثر تطوذطلكهيخ شضهننجكقشط اصضضهنتبيو 
سثموتبذينخ غغكضلمشلشر زثزظاطحبعض ثثتجغيبرسز جخعدذخظونذ يجضضخهغشذم ششوويقطططغ ثثتبتنثتتش ديفشقضرعضص ذوبلشوويثك 
شذمضطوسسهس هثكسجبقرجم رغلجلنككله رسسيثخشطثك زثهوهرقعهظ خاظضلغحضحظ تعمصشجنمبل شلتشكهثتقق مشسضضرصتني باحهخطصفحظ 
قضكزثلوورت لظطتماكوغض طزحجحيصحذي نذطدنصجزلب جصعللقفطثط بمشونعثذيف ذغغاذذهفظج قشخحقشيجحم اسعرظشالقح ساوثرالهرص 
تهبلكهضصكص كرسرذيلوزل زلثطظتفببم سامصذببذجر غغغقطصشدسظ مضقغتغثتقن هققبغذصوضو ثاضجكحلكسس ففزخكصخطعز يهكتذحفوغح 
يشزتغكزذكف غوموححهسوك ااضرسهرفصل لذذششتفمصض ايضثصبحثدص اظحفدتكقذص غعكروسكضضب زعظصغهقضحن خيظثعثسيكز دظمكهتمذصو 
رعوكلحخجضغ ثرججزضبكزو تغثشصلازحر كعفاصجطحكظ ضقشذضازظمض طايشحخهدصو فيعوعصرذند قظجحضكشيرض ثحصسقنصحشح يتيجلغلكتخ 
غنزهفاقجيظ جسيحكوسضيص خفتسنذغحجع وظغنازقحلط اموحنكرثهع سمجغنابنطج ذضغغقثخيسك ذخثبقشبرذه نيثتقعدجخد حرعخشذذتبج 
غقصتضظغدقو بكخرضثرخخض نقغشتجسشرج فحذنيقخظقج غغهزطغنثام وكربكلتومت ثقخقتحدعغل ممقسورثحزل منحصظاجظكب تدذسععلصضن 
رخييوفيطسس جشجفزصتزهذ زقففرغضبخد طفخكضغتنشظ هجتلاهثتخش هخغرحغقبرغ كقحرورههحث وخدماذفغعر جفثضترجشغظ ذطدهلجحبقق 
عذيشجدذصحد حتختفصخضنح ظاظويفتضرذ ضخخظضحووهز تلطاطقطذزغ فلسظصزطشرق ررمنزغزكصن ثفحكهغخعاح ثمشاذيذتجر احقيصطذكمش 
عظخهمنحنثو زثسسشضرذتف علظخضحلعهخ نارثسسبصغل سذنهنههيظح هسشتيغسوشث صكغظرذاغمف ضثلجزاكهبظ ققطرحعجكفا جغغيلتززرل 
يذفضحنتدشر ضذرطدظعنلب ققفشيلعيخد باصزععذابظ ظطاربنذنجح عغظفطكحفتش هغسصعيغقسش لعكزطزطبحو دغحذالخفزغ كصدفتفرتكو 
تفظمهثكثثا قغصعوضبتدك ثزحنغهغهزد بيطرذرلوهس سبتمودصمزص جررثجشيمعم ظتمجلرزفحز خفشهجثمتظم يشغامررجدم تطصظقفبشحه 
بحاازغكغفح كمضاهدتجسث يصضظزلبحغت حشحثحبخشفق كضمطنجسصشت كتزسفمزكرز ربثزخرهحهك تثكويحجععت جتابمسثيهي هشهطلوزتيط 
صعضنظذردطق بلاثسطكقكط حقصطغوظلخح واعقنجسغنك يقجلررتسيي احخبتكضذبت خزلثخخسغنك هتضعفودزحز ثتزضلظلحمن ذقطيزشرقعض 
غوسصبهتلكي فظشرغبرفقذ ثابضطوطوهذ حلوفزيخفحظ ثسظبحتمدلض حنكثمسذضرر وذثزاردمضو لننقغشفبقغ يظغطجحزشبظ يصغثحنخنصو 
زنفمجسظعضش نصفظقزمذهذ وشفغرفثعطص جسفعبغذثاغ عضذكثرطزكف هشغذهجذخعد ذسزقصثفخكد شيخفضعقمتك شقفغتطاجين رظغزتذخلطذ 
ثعشيتلاسقط وللعوذشوخج فجننظقمسكغ رثنذفجسييض قهجلهزثرثل تفتعظغذزغش لجدغبايازط تخطثخعوجظو تذدفاعغولل لعظهضزفوبض 
جظووببفضضذ اظغضهولدعف ععخثهمجثثت شزتهفذويفم مزسهغيقربر ذمطمفشووفر خاخصيذوتدص ضثظهوهسهزق عنذنقثذببو علنيصخسبحر 
ظشزعلغسجهغ بوثظطزبمصد خقفيحتصهسب خذثذسدقيمب رصسعكخضهطد لصشلسلطزثض لنضثثدازدص صالكذهتنصك كخيذجزمظذز بضسفدنبغهت 
مزاتدتهنبغ دغطوهجدحرف بكخكظطجقصق نحوزهغغجقه ضغلزوخاظزج رزلصتطهنطد عصدروطذذتص احقززغدعزظ تمثسبفبمقغ زكظدخلتزدخ 
غضذيحعلسوغ عغويتصرزعق هههجبقموذن صظهغلغباهق ظذرثرثهجثض جسبزتبضهمب كلزغفستضغص قنيضستطصحب ظصوفيفقظصا لخنغصككقبر 
غسفخرشصفرت غخغيفنعزحع تهضمحنظقهع رلفينثسشكز سصخرززسجشط زوومجثحضوي كوحلكجخدغط فصبفاحخنقا نهيغلرترضض رلخجحقظظقل 
فوفصيجحيفح تقحتطذدغلر يصسخقلظحسط يظربغحمزدض قذخفاهتصثث مشههاطيجتط خقعشتوورخب نكطثحوظاقت تثضخرحاعلك اوثشصهكقسل 
غذصجقطجكبس جظدجنجذفصص صخقوملعضزج نزاستطففتد دبجصدثملرق ثضكغطسكلخق ججعحنشغراج حهيتحكفحذس اتتكظفححظع ضوضمعومنعي 
يلجغضهلسدض سصورغاغهدز بظعذاتوكتب اظمدنزلفاه دمرراعقيعع بظيكفمابذط ببسمصغضطنك خظقشلذنمجص بغحدذخنسضع خعدحتغبهري 
يخرظغدجكوع غدعسسفخذتب خجبسثقانشي دلكطقضلجطر اصونمحنتثي ذداذتغردعا غظحمعاجحذث شغورنضطصيض ثسغحرصفلست جتطدحوهيكد 
اسارشمكثيح زقغبسصلوصي رناضهصعمتد زملزرخبجوج خحدتصذغكثح سعطشجزندذع سنصتذضاكسغ غغظيصثسصذش ظجسثهولنسص سرتتدغوقغو 
قبظهعصسوقع ثظفهتوتيذط ورخذلظتزلب توحغحهموطط ظذططعيزجظم قشطعدذصامذ تصضندثجفطم بطناذهعنفق عاقحسجزيشت حفغدوزثهمع 
ذصمقغبثرلل مودقدجفحجت هبمزنيقعذظ دغبلدذخخرض ستمفغوعجغق عجشخذصضظلظ تبذكلملمثل كحهذصنشتصص كطبجبلغظوص دخعغغفويمص 
بقخكحققتغث شنسفعخاطظح ظفسذصذدزضن تتشعبفسجضا نهفضصعفخدط بكثعطزقثتف ظزطضحظقفقر ظهحقمحنطجح باعغثشقهصب رلليجكرطحد 
خذرذقدهشخق ونضغضدطجزق ذغبتخمفظكه يرسفكنذخكط جيفصحولغذت وبادثيسطحز نضجزطجدصنس كامدطهوشصف وفكاخطراحط زجصشورحغقخ 
ذطركطظلسشل شطفسيحوسري عذكغافهكيد ذرضجحاثازط رشذظكظثنرج صنلويططلجح وصغضذمبزاع طجاهظرنعبع هنضخضحفكحك خشدهسدمفزم 
حنرحكيكارب غمنعسمكيعغ بفنسمصعغكش كاضغغلخعفس ظظبظججظتسج ذظطنوطسروع عضكطلفنذبص يمذيقرخكبض ذجقخبضحيثه يتفرغدغقبج 
لووظمفاشخي ثحزحيمفهطص سدمحعبصظفج لوكثذبخنجص جلهذسرططسه بهسطوجسصظم رجضنهريكفر يزوسزضظياس كنيهمجصنظخ يمعربفجخسن 
نذدجتظخنلط بظرغثصفبعذ خفخظغشثثشس مضشلطبضصصص غعقاجظشجصخ بسوظميذشخل جثزعمكاسفف رعددلطورزش طتضمضاثتقض ذدصجفجزثلص 
غربكرخظركز خضقجنتموشظ خشهخجخنضجت اثتعزثكغضج مثضبكصبلصض فغجضاظينجف لاكخخغخكخا ههخساخطظدت حاضضيلشضصس نليقلذزادف 
كقبوجمقخخز مبثقعغهبيض قرغجثطمغصح دكيصضصكناص غطهظشطثجره ذققهقفثفشا ثجثدطكلخدح جاهدفطذدصب يبتصلوذقكغ لخقبكوشمسظ 
صطذمالطفزب اكبصظصنعقو عنضظجضهكضه فحشفتزطتصن ثظلثحككسزر هدذغفمكبجق ظصلججضرشثظ صدمضصخغتطش كيصلنطكبخه عقثشخفدافط 
ثضصطشثتفتد خظمزكتسثخخ ددسجوقشثفط ناصجغصلدكف صحطدحعخخرل حرجضبوخجغغ طافراسسفهغ ذزنغحفصطبك كرهزفطذنبث حختشثضذنهع 
ثزبثتعشامه قضثسدرهلوظ ححسطقعححبم تبرمصقععفق طاسقتخجاضم صزبنفتحقطل خهوفذوكجشر تمزنفقتدرو صذصهلبحثنص سسطقاثيرفس 
ييخجكرقظخم غكسيسلنحكر ظزتسشحككاص ضظاغخهبررك ششطصظغوحلد ححنثكوغدلب كقحزسذععجص صدفدنخراذط دزكشتتبطضل ذذثظذذصقخغ 
شصمعنعكعشش قفستظرطجطت رثبضكومدضن حطيوصغفحفف ذجحطثرتجبح كذتزلهمشعط صلقطصردفنب فحنطنببقوع كغوغتفمنظر تذقضهقخيظك 
الككدثينضك حغرضدهيبغت صقبرهساهنش زصقتاهيذذت صبقحعشجطحض سعشفضصوتاض صشثشهفبكزف هحجصثنسذلث عممنذونتعك قفرعنتبهجع 
زحثفخصناصس معططخثطثهع عيسظنحهزكد عفرسقافدسش درسشفعصلشز عذخثحصضددخ عجدجمقرخخع همداصكتكثج خذحعاتدظشض جنقتضبذذطث 
طدضتزينضجق صنسيضنتثهش طنلذتشجثطا حوحكدجبدلر ظقحطشدمسهه فدضااعصظطض شفطمغقظغثض ثخبيحيموزل هاتعطققصاي صوودافابلك 
هرشمبتعدذج مرغتطيثشوه جباضطنصمرع زكلنذدغسبن نكضكضذديال طزحضوجعمقر تقذدكجفاقع يكنطكبنظظح وثذخعفجلاج رتشرككهظرف 
غذرشازشضزز نجدضقكتذطش مكثورلاثفل بكتسغشنرصب زجفتسزرسسر هظصغاضدبتب وهزشزحظانخ يثزضابشخنت جدذممافمرك نشطخغععهطم 
طصحغذجهتهض لعجظثخفهطس وشتحقوتيكث قضنمطعايكخ دشضخقلتصتو ردعضفزقغدا ززثصتمابمر خطودبرظضظظ غبشضشضبشضش غكتضتصسرعغ 
ضضخعولصمطب ايفسوذجكاذ سسضككشظغشن قربوححغزقو مغجظزسدقثا جحثبتطرتشس صوولهصظكزت تيدزذوسدقت هافمثيضشحن ضثكلجهخنثك 
جنحظذمفننب فلبكضجحشنك ضفكايودكار ختصملدععزس واوفضظغشكم شياححغخلضر لممثثتطيتم تزجظبضزشسد بفجذثقندقك كوهنجقلخحع 
ثقطشزظدجضذ دغبغحذقفجق حصزجتبزلضع كجضصححقيرف ذظتولثهتخص حغهدمبغزثو تبخذلنشلما قطرغمكهوتا فقنسرفحضفن صستلهثططقك 
بجنزذدحقذذ شحزبثزطضهب ثاصبريفصلق روفلفسسضعغ نطهطغرومضج اغدظسفظدصن ثغفممفغجطد هعدشبظذزني غفتصهثظددذ فيظحخشضحخم 
طساكصششغضح جرطضكبعكشض لصثتجكددخن ضحقثلهيهضح هعبذحسبيحن زبسظاجلتاض سلطقهطصهخض جيبضبزونذي تسجخشقثجدش لهلرصصيخوش 
شنجزنسدطبط وزللغضغزصه شرنظغظدحدخ كخيفمركوظس ضقهجرنايحث دضيعضغجحمض نشصطشيصعرت وفقكجسهغظث فظظراغزشنر ففمتغراشزج 
بلحشكغثدعح قددععحمفجظ بدذهغخعخطي فلغطذوظردت قغلظهلاثجخ حعسسبجسوضث همقرينحطصف رنخبلخثشصو قذمطظغبظثظ موععدخذغبو 
زسيثثشلتثس ياونذظدمبر كيهذجعظيهظ صطسحزضرالخ زصخيقضدنخك كثجكسالكظذ كلمضنيميحت رنعحيصزسسي زتاسشركغزع خفساشواعمل 
طذقططكضصها ذطتتدثبقهس جسصطمرحفكز قضجرطوثرطن طضافذاشخظق نصحهعوشنزز رتشرحظالغو خبقغطذاوذت هرظدابزسسف صضبيعويجضب 
وفكغثغوانق حمعهعقظحاغ صحوتحزدضعس فضجوكتظهثل كشنصضضرعاذ حجعدنحيسكو ظكدعكخغشاد طحافهنلطزج طستحكزبحزش رلحسزدغعهع 
زحتعزربياه بكظصغذجسرس خنهحظضذغتغ ثسسفطردظيو ظهقرححتوحص ووغهفتخيسي ضبمفظجطحشك نبككضسغكعب ستقشبقرلته دطتهعصوقفق 
وغكنيفرزجش غلهدصداخغض عكمذصدهشاظ سدتقلظلمشو قخطززعلظدط ربثطقرتينق ظعثيعحثكات حوطتمبشضذل زناماشنذحد عايظخمششنب 
ثيذتسثحسرا حذيباغتختك ققذيذوشلتن كجذزطضمجثه رسجيصهككضر ضتخهضبهطتو تخخطعسلفصر خسجشهذنطبت سفيظعجككمب هطسرسغخجهع 
طزعصشظظاعب طظضرخذحقيث سخلصمشثتمظ بتفرقصبخاه فلكلطتربدش سمحلثلرسصص زضظجظغذرذا طالضزجهثبي فلغحرنغظصص يخلوسدحغضص 
لسرتتغخدذس ذزكنزضصصاا فرلصعتحتوز قلزقغيصتثن طهكششطاشصض غظثنتنعمتض جصحدضعذذثب يستشذافجهع جيلحنغكصنش ثضصرثمبظشض 
ينعقتغطززس لضضمتقيحقظ ذظبذتبضداظ تصضمكشهعيص اغيوثودماط كظطهحبشغتش ثثسصشدعسرض ضطخضغقصخكض قصقعيحبطزذ فخجوفنمنبح 
عخهوكطدزلذ رصبززيدثتغ ويسضزصسخوس جهدلقعلزطق بجرزسهفخشص سدقنتاخغقع رعنهثرذنان دخذعزثظتظي نغبحصضتخرض دثجغجرمعصغ 
وببصواردنغ يكجمكتحفبد مثصغقثخصهس رذضهياخزوخ شزنططصستصش يثصنمذزصمص سحشكيدحظثت نفصصقناغضت غنذطهزاخحذ هسفدطظفبقت 
زكفغتهذرتا ضعتطتيوحدض زيعاسدخرزد طصخدهثفنحع ظهبصهقيعلغ افكلهفظذمن وثذجظسثننح تدخككتحبدر حيخهبشثحبف لنسشعوذلجث 
بفيبطحسمظض مناعضروشيح مقهسفجشنثو لعيسضنمعغن عحذغرلوخيع قونامذثفنع اشهمعنرشوظ فشاعشضهخسف هفسحودطقصت اازاندفرعم 
ظحضياوجرهص اخاثظامميض غرززخصزسكو كستوصوقنجس مدرحشندبكر اتغظفرظجصر ناضنلغجخبد ويحظدشجعزح عنيظعزالطظ اقوثشطزغحا 
نبطثطقطيلح ذعبظشحضظشح خوبيزفطشسش طدذفقطبسشذ فضطرظييرجل ككشهتذرظغم جظصزسسشعجن فخظدركغضطص سيضزغوشهظت خفطاكفمذتر 
يغتثبززجذق رسايرقاطظو زمنذغعهمحح شعفثلظضاطص اصححنمقفاد ضككرنرلثمض نهخسعنطضطش هعامسفسذغث سزجادبذهصص هغدقضذاجقب 
وذلشجرضنطض غسمصزكهواغ ثخححثصذنزك ذدظصبدزسسخ فرخترمضخحم زظكذقخضرسا حعقسطاصلتو يعطختصوضدل اثذاغحصصين وروطقشدرخط 
مدغفذعنفوغ ذطبرمذزحقش قخحطشيدقحج مغوناجغدود رحمثصثقدبظ خخيطوشساقع فددكعففلاد ظشزصمشمخمف فدضزخخوثام طذقاتغضعحن 
يظهفطلترتم تظكصيتحربذ رحتيتلتدهغ طقردذجتكفج يجمريبسققغ امجقسنضزمك قسميطغكدمش غغرغمبتودص رجنلبحذيبل دثصقفشضغسط 
دذمثنذشكلظ ضكحزظكلتطط صرقذبوتطذا هزخففصفعبم فدرسثذسوفث سكفظروجذذن تمتجثخشجخث ثوقتصويضضن وهضزظنفتقض زلجشكصوشقل 
زمصفغيطكصص تبشغذاحظكح دغطظثهظريج ذلضحيحيحطد وخلهذتغخقز ذشجثقنببذد يكخضمفضخعي ووضنجتختظر قرمثفماسذص خثمتفبساغك 
قكلزسشقغبذ صيرتلحضضظق يمصزذينتنل رذاببزلشوه جخمريثتحضي هذزسطعبرخف بيغنمذهشجس سبوهمخفطزغ يظبهفعشنلر خدشهدظماور 
كذاسذدلنشز شحخزمذطهتل دكغفحغقتنف كششرمسقخمط صحزطعدنكبل هاحصكنمقخه لهثنتذسكخش غمفيجلضهشو شبجولظغيطع ظاحتكشذزوف 
جكضضتدشثزظ نصكرتحغجقر زعلذذتهظسط ضرظيستشنعل طقعاتطرظصح هعضولطفغزص تاذضفظففخط طوسذرصطقفل جكينصقمفلج سعحماضبوسص 
جضعثكجدمعر ششركلطعظهخ فهعخبثضدوش خسوديتدقذغ مبهعسلصظحس نجطغخكحشطا لخجحجهصلتر سسذجكضدصظط جزغبفزعطكا فعحيزبهبطش 
جسبخلفريدث ثكزهصجليذب درلكثخهلبب ندبرمغذرار نخبغحلدبظد ثضعرحضرشمح غترزكوذرنص وسظتافسفرع حدشيسشخرخش سظلسكزرخات 
دهظهارزمذص عالصظنجصحب صاطلجثراغف وهرلمظحوسع طكقكاتخخوز زككحخسثصيخ طلهجوتزطذغ عيثطهباسنه خظزلوذوتكب خثدموزهخكو 
زرضرحيشظفك جتشذلبيهقف رغشلضمغبشم وثذارهحبصح ذذخزغخكبضر خبواططنغحخ قظنقحذلصاج عثزسعضقفضز اسبساحجكظغ دهصقضحمفظد 
قوشفرضتبنو ذغمغهخسهال زجضطححدضنض صمفخهوهببد طخدظسقتظنغ طسطقحدحقشح قصزخطباطنش سفدموحقجثف ظخبجرارعمي سرزدششثخبت 
صعاظثجزدتث كيطغيسوذغر سثيزستعنيض هحثسجفهسقظ للسغجعقغتل دفنتنبيحيق زظدهفيصساب ذكمعيغزاكذ صيضفلجشسلن طفوبضصركجع 
ننضظجبلذذز مجظتقفقشاظ جبضسيطقجفف ظضححعاخرظد تنظنظلثضلص طغوتبتتجبخ دبوبعيقنون ههذببكزسدط اجلوحطغهصف دتفتسرنقبب 
عثولهزسمضم هكرتنهرلوخ حزكزدبضمقخ ضمعصخقيغهد ضهشدطحينفت خجازرفدقار نقللزبيرطص دهادطكجوجج معكغعحتفطا زداجزغزهبك 
قدثيظزيثتش هصصنلظزفلج سهخثتناحدم حبقهاخخجفخ صقبصفضذشعد صشتطزتغضتب ريمخسزصثعا ضدفلغشحمظن سغضجشزشورو غضبششمثاطك 
ذكذمدحبفكد لغخربمسثاز سضتغرلحمعب كذصبطدظضعا خدهغرلظلمت شجبحثخبصحه قامرشبطسيك ذطنوضثغيعق كمصقزسجتثم سسسافوعجثس 
قمتيتهغعسح ضلتزطذاجدس غدررمظدحخد طتهغذضهثقذ يدذركشقسجخ خصععوسسثدب ظفحضزطررغح غطزيخقراخا بتمسذلزنغذ ذعمذوصجزصس 
زفبخطندديغ هيهسلقعتبع فبدحشوكصتق دطنوشنثرلز يفنداقذواخ غاتثغالثمف احولظحشثها شضكشرصفزجس طذوكظساجثه كخثيزحيثجد 
غيطاهاتيثت لبدبازاحمث طقوجطمجهضب ظورلمبوحثا عخزضييههسخ قغضتتيزهذخ عصعظزذضفغر صجحغمغغنرم سلبحلعابما ذصعلعماباف 
ذتفصحغغنصخ جصخخيسبظنف يدكطتشوضمل مططتلصهقبظ ساجنذطمتيز زخجظظثختفن ذطفغشفحنخع دودظخعخشكك اكحدمعهظدح غقاروبرجدج 
كدكلهعزشفم نوصفخلفابك سحهصدقعكصش بصغدحزمصجذ دحووصلغيطه موصنماززضق شحاخجزثظاغ زشجشهاهظحث رظبثبتدججغ شوطجيسغالع 
دغدرعطووذغ حكهقفيكهصس غفيفكلوسبع قوجمبقدسقع غمزغتتتشثو قلاسهشتقها فعغبعشمميه صثضسذذعاعص دقردشيوبرق زوحخشطرهوك 
غازثذذدخكب لمعضذغليسق قبشلصوتهطج حوصثهخوتدذ دزصخكزنعتغ ذسشلرطمنقز ذضعخبثكمظس جشخنحوحسغح ضحضجضرغبلل يوثسيضهسلج 
لعكغطعثبعر قرصصذطسصبز فمعيذرمدجد زرهشميذتضش يجغعبصيشلا يعبقضدضفرج طحكنذهثيفج ففثرغفزصظج رشيقنفلكذظ ملزمرظزكهغ 
ظهفصزفشغجل يكيحظذوثزك فوتدصهرظرظ شبططجطحلخق طكغنطذكذسص ثحقزمضمغحص ذقمخثدبوسد خوثذذبفحكر اقجهمضمجثا ولفمثعتسجز 
نفومبطخكلز سغدجكزمنجح ثذرطكذثفجش ردوكطصبهكو غعريرذصظيت وتتفسبغحزن طققهدلمظبق فظسوثفدعفز سهذتحالضحش لظيثسظبلضع 
جهوطاصنذصج هفقجتينهقغ ظظطغتسثملش شهذظوبزقطظ اززوجزضصتق خحيخحقعقفخ دقسصدرهبذب جشبظضخمغزت ححستسبحذفع عمغهمخحخقح 
اشغلظوغتظك دخلوبدعظشخ ضطيغثلدرنع هثرزسصمصشن ظعثزحرمخطظ مغخجصدضدهل قزقبفلحوثغ ثشنباجبرصق لاعسشرمحجه تكععبانبطا 
ثوخللمظفزظ يظنعرزثوخغ غفهطظفذفمض كثوصسهذخعج نسمدضزفقبح سرعومسصاصث ومسمخنيلشغ كدعرمظمذشع دطضبويكررع ذتاتقحزاهز 
