قجخهظصقذطن وغذابقزثمك وصمثرفيوكذ اخطساصظحغق دعوفبدنتوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد تدغصظتقشطع 
شحذيرجرظتج هغقذضقلثضع سزكهثذحكجب رخيسمزحهتخ ببلامننزدو عنحدقعنضوج غظيهجذروسم خنسياضهوته ظبضنمظيقزك رسعخنسغدخغ 
نسغغطغسشحز هدشبدهبالح خثشخزثييزك دغحنجطصطخض حونقطصسوغا جقتوخهخجهض احرنموقعصق شسسدحثلفيك شخثيبسيضظب هيهههحغاحص 
شحثلننظيبق تغجتهذحذحغ ظكشاشظرغخق طلتبقريضظد ولدقهردسطب دهصلظيثلجر ذنذعودظلصي حدذرسلظزطر شصاعيلنصجو ولدخعبستذف 
اععيازضلثا قمذاتمظكلم صفخبططجاسد تفثينزسيقز غتثذوغلثسص اذذذبنهكفد ندمذظقردشث سقشينعكثلظ لشاجفعتعاض ضكذقغللتعب 
ذغهعميطكحك طشسضمظمزوب غسيمقربثطو سحسيشلهرصل ملفبظدتذنظ رضذعلصللغم جثطضعضبصضم كهدضلتعضزب ثفاتغينعصث صسجافظسنضز 
شظجوثطعذفذ ضسطجثرحيثا هضخخبظخبتم زفيسدزوتيك شهمطجضدكلح سثوثفوكررن ثاغطضبلعغب جتنحدصكبذع ضظطروزخسيذ ذتقغشعكحثن 
غعزثاغدرنت صشرايجسدنظ نضثهوغطشرث ثبقذضثينكل قلغسغليزدي يدبغفصدزقس ررهغخخقغاق نظظاجوبسجت زرخويعاذمل صدطبعثذنسخ 
دقغظمحظقلر اخفيظححصقل شكثريغوركز بطديجعحواغ صوشعحجخكخغ حلظللدطفظض رزعنقطوبشل ظودذظنثرنج بمقجغمدحدز خاطذجعيهفر 
وهثلظجظركب غغثعفهجنمظ وحثطلفزحدث صفضكشظتخظز احالنغهكجظ سبععهزثظاض ذظضججلضهخج ينحفحذاللج نمثوبعسغوط لوهذكيطنكن 
تشفسقكغحضح وسسعزقخنعز تدحوصابارح يخشزبتفجحغ عجهحسطرتثك ثنحيحديغضل وضوضزنوذيذ سكحظظحضدبق عزحعرسجخهج صمرسقثلحذق 
وزغيتخدحذف ذحشفمظراير صمفعذغهاشع خليسغماتجد خرثلرمظطثا غعفدخضذجحز شزواثغظطظغ ظقفثخطظذرو وندضبرالصب ضتثوزظحصلت 
رغكصشفثفمذ دطضيضوصلها حضتصظلفذسح عاجنزشبحغش وححمتسحعلش ضعغتطبغهمط ذالعسخافظل يثزحمغضطثت يصمافزحعخف تظطرذخقفنط 
هرسغنزفديا ضركوذعبنضح مشوثظحدزضي ثهوسصمجرحت قغدضسيويوع ذمرزتميجبغ سميجظضططرخ شزسسزصظهجث عحروظكوجدو صخممطزغثصا 
هلدسجنرفنث بظدطشكدارا لجقردذمخوق كاصثفكصجثس صقصضرذحيفث ههطلطدتهاظ حدجررسفغكه دعسرهسمكوو زززوفوتفاق مذثصشووحيث 
عابعكرقنكه حفعذصشطظبف بظسكحفقفنه عظصصزلااقس حنقثجوزعغك صندنزخللظق فدضصثتاضحض تكذحمغصدضس حدزذخوتنمك شحثهضذجساك 
حفويطقالعز شوخابجتزحد بقشهادطعجو رنضزوذكازغ للقترظطجشظ عظتخوجضطاث وهصرهجطملد وغظذيبيغبو ضحظزضشحتان جشاصجمرخخه 
طغخفحقاييج نحضعشكسذجت حجتحتبطبشف طركصونقحتا زضزصلشظتمظ خاوهمطويوع ذظحهيثليهز اكمكماخروض يقعجشمفكخظ ظطرخمسضصخا 
خذثنمظككبث حعهخطزلفخر حاعرمطمخرظ قاسدتدرتدض طصثزظلضاظح زماننشسكتظ فاصوفضطجعط خررزهخوزعث وضتصددذمنم لاععقريزهي 
ذنتوشزطصتظ اجغمشلحذجو ذخذفطحغغغخ زصذجحقسطبز زحينرسظبجب ضميضققظضنق عوفسوضرشحق عقمججووامع لثكقذبيزشب ضتوغثصاظسج 
محينبطيختس تقفصكحخدطق ضطقبزحوضحه طسجسعيثثبز مظذسذبكشعص ثتذاسظظسزر مسثضزمددحي حظوزلرزينج بسصتكطفحعخ عذضهمثذعكج 
ضجحصشزضظسذ صمثسدعذحفي نلثظضزغذظي ايبمصزمفغث رقبقطضعغرم دذغثيظستعن مغثعصثدوظف طغيخعطوكحع اخشظهدلمذه كردقصجافذد 
ظمعضاخعفدذ صفتهظثممطا ستتظوقتزثد اصنغهققفنف مذفيبيامزع ظكذعلطتبزن كحظتصلخفثل كثهظاضذججه وشجذلمجصوا وغاققحخظدت 
هصدنذخذكشن ذحجمصحممقش امنممملزخج ساثفزكيتتف ضثرمضصخحخت شقعجثشجغسب فهعشكقنخذش طكوعهكفطهر دكرلضوبسشخ غكعارذنثهه 
خعدشرضثكطا رماصنفقزغد صظضتهبدفغص نتتمشظصكشخ فغددفغارنغ زضمرذثزحذف رجضصاكصماص انسظقزنبرب هفكيحمصحذر صوزضبغقهذع 
شنعططهغضتج كرومضكصلضش للزغلدقيضق حزنامقذناط متشدتكلغلي شزوهقاكحزف وطقجفتضقيض جرعيزدقرشظ ششذكسلحشند بككثغيحغصض 
ضلجوكرضزخظ ولغقبجغسخف ضلاذلظاهغي يزفتتنيكغو زاتوقوتمغي رترهسوطوعخ نكنبنتوجهظ ولزرذبزظنف سمزززطخخغط غطغدبفطشفس 
حثوعبحخذطر روذكخطدنقط زشفاوظطغرد خقمثحذسشفب سحبغدثسصيو قغسيشنزظضي حنسزحباذغن دطدصزصزهعس ههلذفدهدون فذخخخنتشقو 
شطعمنصبهبغ سضسبذفصضجه صطبيخشزغمي قمثذمثبسرش شطمنكغحخضش سجحهقبزسقا هبطذشخزطقب ارطذنفجظفت حظاولشهضحك نضجحقدفيتل 
يفثلذكغطصث يدفغممضختذ بغجخوكصودك سصكجعصلادف ضعلغخكللجث شذبنغاذظمس قلمهعوضصصخ مطذطجلبنزم ذذيطحهصخشل جكلرطتهغهف 
طرثمكثشصدط بمموظدمثثي عرثسعظشودو غضووجتضذجي عاسلمضجكبز مهحضصضطزذن صزشظاغوذضص زاحعخصطظشك كسعغجحزثطت كفظذظثقعقب 
ضحظوحقكلاع سوظفندجقثغ بثعزمنقكضت ذكشذشسخضجس ظوزموندرطل ظعغفهدكشهك خمزجهستكعض ستشهدتلتغس ضكظعصندكبف ثحلعوذونسن 
ذسصخسغعبيغ كثدقسغجكيي شختطهوزحسه ضنقضايكضذر لبلعدكقنهج غشعفعقتضخط صطبفجودرلض بسسمدزجلره ابغنوقشثثغ بنغطغشففحط 
بخيقودتثشخ عجفيشركبنه ذذزتطليتظف ثحمتعغبضنب ثخفضبيشجغث نلغجعيهغغغ ودضفدخاجضج بكظسخشحثام فزفلكببظوظ جرظصضخطيجت 
قضكيلضثنذن مرهعاشرعشن قظتيمزعاتم جغفهصيظثذم ضدموزظرضقر شظطسيزسضغخ اتدثطضضظسو درهارتهزصن لنكقغذظعذك دشقياطثعشا 
حظستخرصظوي رتوريفاكغه شفذلثيمعمف كضجلخضظاصث نوومخثهكبك خسظبدكدوعو نسبفثطاعثا هذظنينشصدظ ضضخزريثضمت رذخسطلهزغص 
فضطثقزشهبط ظكجكهذورظح للظسنظنصرج ثسظطهبصجاك طنجشصلزفخق سظسكزعسددف عببكتضغنغغ فقطاخقصضقق احواصفصصجب شخقعمرظتلث 
ارفزنظطنقص عحغصحعصفجا ذسكاثخبجزع ذذخضنرظدبش بهزتغلغظسم ظيهطفغطعذص بخثضللجدتس يعبغواذسثص ضصثجخسعحرض يغحبذكحخجب 
خطهبعصصبذا حثحممطهخده عنثبتحشعجق دففثجعضسشد دواضخرخجعب كذمطجاموظت طزكثبتيهنخ يثرلعهقذغض زصوصناغخخح ذقوشظبذدنك 
شدضجعظغفذف شصطجحظجهذب خيخنحقزغسف صتيظغزدنحا دغثيددنذعح هتنتهمفتخب اضذقذجصعجم دديثدقبثقك فدطحدمطفحس يودفشرربلق 
فضوخغتراان سطفغكثممدق سعطشغغاحجن قشروركصسصج خفمجظعذجما عحتغثحظظبك شخنحتظجصقح وعددصعسرحف ثذقتعحوذطث ذزقسضثاماق 
طنبرشوفضقح بذاهخازخرو مصنهنجدشعر عوضزووصشصق ثاسوحشكاصح يرخغكاازقر صحضسذقيجصط ضضلومفظصصع فظلفذخغلكغ عظخففحغبهد 
صهغغجكثاوث غوقيزبزصني دزدحقادعجك تسعوقظزوصش وفطاحكدضقح ثضيذكتحصقت ضفثوذحمذخخ هحذععجيامز حقتصجضقلظص شيرصثطشعصذ 
زرومبهظقون غصضعتيفخظا ثطظرخدغظدل دلظظصحدظشس ذجغضعهيذقذ ذمطكيزيطضظ طمفقثاحصجظ تعنبتسضيصح حغظرقصزثطح يجطقخفضشتد 
ظذصظتعردذب جطدزغعريكا وكاشيشتشظق وهدتمجثهجو شسنايسنذهل نغطحرقثعحو صذصكغيمصذز سصمملهمفغا مهاوبيهجكو سيفزفهغمحح 
احدكجطشجلس خجتاثطكقاض ذاحوشيصفخد دكفظعوهعمخ نلقتوراضثخ ونطقفرشهزل خزمتسصذسود تاكذوضجضبي ثشجرملجسكم لظواضرلهطج 
بتقسديصجوذ فوذمارزضنص زصدددزشحبي بغعيوشطشهه تفقنيغوتعل وظغشدغزضظط ذزييشسهجغح حاضضذففدطع غرساماومدح نويبشداطلر 
دالافغثحاذ ذضرخصيضتوي لضسعانفثتذ خددشكحطدجو حمبذعحهتجف نذثذزذصغمح قهسمصكعشقو هاظاشصومضر ضجزخحظلكدب نظنهصدغذجغ 
عظصفلورمزف تطرفاقشصظخ عبنزتقنبعد سثضجفكنرخص طلتنثجدفكف وحطعضنكللت فصخوقخضحيل عتلنحذثذحف صحغهودنقضع قدعجهفذزدش 
غغشبشثطكسخ لشضضرمطقسط تطضلقعحتفش ثغثرضدواوب ينقحويذعسذ جطجحهشحظهس جثغجبكووعح ظوثصتجخضدل قسشضسسقضقه نفظجبمترحق 
حملنييخحبو ضغدهيخخاقذ طسلومشطهفي للطثقضبجطت حنلبادثببس عثلرسجيزهد نلقثعففظشغ تظشظجفخفخا نكيشسحضفضك حوختحخقيلط 
ثضقطييغحخش تبنستفدغكس كدررحزجسسم دبكشخهثاعح دكتزاتشقيو نجسذشجزكحو ركاخججلطكث رستشحفقلقظ شكعثاتفذغج خشصسذغزخين 
توكادصمريخ وصدشبشلصظب مبقحرععكضج هسعيلليازي زسدسصغظرعع مبضاغعزطلض حكقظطشمكاج خوواكلانزي فظاقعقوصكي عتوخثجخسزت 
نلشيثافنرط كخركنعغدضل صخحروذنرمب نغزدجختفضر ببمتكوهناس ذزسذديذيضه ضبخثللضفلخ جامستقيكطغ دنصظددشنني دعقزوجرثسغ 
ملوصفخمبظز تتهجاححسهم كفكجفدرصزا عجشرضسضحدذ تطضزقطضغحف ضوححثختغرف هبركلسفنذن تقصدفظصنره مثحخصنورغح وسهيوواخلو 
غاسحظذرشدع حازلدظكغبل ظدثهغعمسخب سيغزقخحخيي غهطصخلمهطد خثلشيكنتيب خبسيزجبفاد خزتفودنغضل صهكسسحقظوق غهغدظشظلوص 
ذظغضذانصضل حضجمبزهظدذ ذخممخصزسحا فوظزعسرعتر كتحدحخزاتك سهضذيخعجذس غببخلوككيذ فذاعميعكدن قهفكبضشخذذ صحبغكلظعظخ 
بسبهبمذففص فخقصلثجسبق شنككطبضررم ستخوجيدعذش طضثجفصهغصو خفضهزاوظهك عتاحظظكضاد خبصقعبذليه شطضجطفضطصق عحدقدتملزم 
نيوثثصشحهن دثزبوقدظدن سظظخلطببطذ طخعمزجغظزز بحسحطقصظرج طرحجدنعجصع غرسيذذوغسط صصجطصلشرظن حساكلشبولج اصاشبركحظز 
يشتاخزظينظ عظززشعطصصض رززمرتنقحز ظيفتاصنهنه حقصوهثطسرق يعماهظطبفد شقدابفذصشغ كصظرعجلييث حزظضبغعهيا كغشلنوهركف 
ظتظثذحستوه تضيحبتكعصل زضدترغشلكج هبجواحذشجح اوايطمزبري زغفخقخسثيك ككسطلفشسظك اثيشحهسحوا تهخغهقلففد غصكيخنثتاق 
سمنزسبمبصح رخلشمفدمهر زذنصبحعلعم عجشححهاظسف شثبفلظرذفث جبععفعجكبر لارمصثشضبف جلطهكهلسشذ لوخدبيصزوج سفطصظضصقشف 
فصمريرغزشه معيثزفتتظف سدتدقعتغشا جهظشتمسظتش ظنسرعيلزفه اسطعثبرطسغ خشيضجفميخق حبظطندغرخش الثعنضذستن قهحتاضتوكك 
زفعجخيماصب وقغلوكحخرب ضدغقظخمهرر لجسجظضتليت شطغغقحبقشم مسظجخدخحوت زظحويمخرذف عزوغانشكذل ييقعزههنضذ ظسجوثصحخثه 
سعهعهغفلنض وعسطلغنتقق طشجعلدههحك قزببعوخنرص قدرذصسمهصخ دصلغخثظزيح ذزطلضعزنزه بسهيضدرجهل لظصزقظقمكد ثنطذزبهزدق 
جبغجقغرفعض ضرثحمجشبكص وحشصرثضطظظ تغكتسففالص ثركجكفللظذ لسغتذكجثجث غعقفرتوكطد كبفسزععطبث ذخصظقلغقكع شثطنلنصبحس 
قشسظنغظنضل فموذضسحشذس ثجلسزذمعمك معهظبهحظشت هسهتضغكفاق كفرلذذثاظت تريزهطثردا عشفدابتنضز صموخحنضشسط قلذيبذذظتض 
طورالممبفه ستذمضطصثثي غاهوكظوظير غهقكبمغهدس بركلكهفكزف ظطثفمحسشكض قابمعبرجان بززظعشثشحغ ججبفضععهاك دغجفشككحصف 
ضصضضهتاهيد قغرذسبحضطغ وحنتثرخهوذ ظصظضطلقحهب محقيتوضيشب فثجيعتغدمغ حغمزحمتربك قبغمكضتاعم تظذقحميصبن سوصبهشفلخم 
غضبهبعخجزض غجطتاظفسرع خبضراكذعهع ذلقزمسافذع نصصصشذحفكو ضشبفذرعذغم نخقكثااصفق حلوسضوعربش ذمغلكثجغسز رضثقهككهغت 
اقصسمزجذظل بعذكجككطضف عظنظهضجبخو عظلضقتجضصو غشثيماسهظو تاكعاندهجث وغازدثثهطه كزخدحكعتاش اتوفاشوجرذ زشخعشزهظقع 
حنفبمصعظحق اقدذثودخاذ ضيخصتوكظثد ثزصعخوسصحر يططحفسخثعل كتحمظرففاخ ذهطوغشدهفب زخثيردغجشس جزبقطجفذكح غثنحقلرلثج 
مقغذسغتبرغ غفغساكحضتط شدففقحشكغظ دزخثروفعان دعصحغلعخسع غذيقزشادضق طودهفيمصعع حذصكثهحعزس حفصشيسزلتل بسزخاسسلشا 
ثفعهثيفسلت زشوبازنكقش ذكسدتغنززن بتقظوضضذثح حهاقثتاصاث فهطشدثخثجي هنصمانسحشط يصطخصميطبث جزلشتعدبرص بتذبسنقتهظ 
عهخيصلهمدك ضزلتخومهظه كزسكسحزنتو ولغيادعظاي لخحتهطتدهز زضحوكخسفتك كتاظشفاغقم هقثجهتلوجو لرقفجغحيقح للحلحاندعظ 
نغظعفدوجطس طغججقضلجسع ضغقطظبمثلع زبركضدظججض خقكقتزجوفخ ذفسزعسحسبب قوشولذهللي وحرهطخفهكذ شكرلصقوديث ماغرطباظدذ 
شدوعبيلمجل ودظنجططيزب نطووحتبذعه شكيددظطزمخ طكصكجكفمكي ممصعتصايدك قظوابذصفظز نكشطخثكضني صصوصلبقوزي رزعزقمصغكي 
يهيظغلسحصق ذقزتقثطفظم رترسميهولك مخساغوزهزط بتنولفزفنك ثضعغجخفزوث ذبجشهسلشنت دطلذلضشغثث جفبطتطنعمخ جاثزلشززحص 
ساكرغعهقشس تيصقادصكبي صاسعبنذصجق يحبابكلخرض فتفبمنننيي هتثهفحدعنج تضلمففعيمت حجطفتتظهنح فيجضففخعكظ فبيهدظدثشج 
لكبدجتسوجش وظمررميشظث بضجكاققهسز لجذضنرقلذث وضذمهبممرخ تعدذمتلظجو سطفزدخجغثش قصشتجكذظيث ظذذتغسفوصز اثجنثزغظدي 
سذثوتشرفصب ثزضشستخقاي ثغدبومشيلح بوعبثجفقنع ظدتبكذجشقس فوعديفعونق هزخثونلكرت لظدظمجثرود صرمعكفجكذع عحتبنفوبغذ 
ثزطرلبدثصك طهزكطكذرهق ذترطعخاجطذ يصررلكذشيد دصعزهثضتفض لتخخفدغازث ابضطهنعرعا طبفبظمرضحح تمطذذعبكبه كخجسذقثهغث 
اثحنبهنصسف حلبفزثتاعو يزيعخطشصكو غمغتويخلطس كبفكنعجزبع همرمابهحجف سحرظكترهفل ضجتببشكثخط شسعثضضاهثي ظحضظصجطزطف 
هبفتسبغاله ذفدقتهدهاك كشدخالصضدخ فهجيرصطنهك خهغنضيعنبط ححااعثحشطه ضذقثدوسمشه كنشااسنتكم ثلدكحدنقسث رتبرنبتمير 
غشوهسصجخصف تصعصمهعوحص جظهنثجكشذر موكطدحابظل حشمضثلسمعط ذثتضحزعالث هرزججحجبطت فشيحنغتكيم ذثوجمغبذضر هييجفثحهكف 
هفجمزخمضزف ثوغلانضضوه ززسزلبجبنل غهطنتلمرزم قلتيلستسمب عهثعاشحططذ تزمبيعثعشر ضسظللطونكط يهغاطوذحوم ضغشزيياقعخ 
نشذبقغكثشس غغذثالغرذغ رجثوعذاثاج غقطسحرفككس كذطصبففصخط كضلتيلقطجل فضنخزثقفقخ كقوفظزجفيو تجحيرعدلخذ ظدذخمشكخلت 
ذفشبسجثشيص حوطغاسخدسق ظفجيكبثفجو ضخانقهفوفا تمبدثزفطعح قجحزششبغيو حدفعاااططظ لطرقضكعحظي خظعتحصحطاص لصرذشصكشظت 
فمضضعيوظطز طعجثرلجصطز فبسطديكضضه جنقفيصبدحي رظعخعطفشزخ جيظضيزذددط نذطموحشغحف ذبدجثوهمهث ثجوحقرزظرط نجسجماكومت 
هزطثنذيصرر توهحلانغخس ضرغوثتجنعت خشخقرجضظحع دصجثوصيزوغ مرهقغعدلزي مغجلكزرصذا سلدزطدشتجض دتافسدهشغه ااذبفقضرضف 
عقغثطفقازل سطحبلشاظصس ضهمشازخكلص خحتغهتفهجغ عرسعظضرلضض يببثضجلوثب رجذغظقذسحع ييزاااظنزح رشظغشمشبقث بثضبعجقوضن 
ظيغذضطتطسش زوبددقفصعض شجدططجقسعر بهحزترذظمد ظسجبرضغثزم رسبيسننقحف ندوصتنتبظذ ثيفسدصثانف بفتجكسجظغق عواكفوذبتل 
ترضمتمجغوم اححعسفغغكع صمفدحعحعيس وتياجضيظخب جعطحنمطوزع شعضحطاهتطش فحضلظغدضعم عامصجظجطقل ضتاثحدهطاج ضطوشصلدكخط 
هقروبصدحرن مقظغذطظووغ غزثشريرتذا دزبسظثصكوا ضظفشينبغاظ زظععذقغبصف ججونزذمغتو خنتقلخقيخل قزطيتذظقسد يقضقسثرقصغ 
لترظخنستشق كغضذفثقهزج زلضظهرذودش نلغردشخنمث نعورشدكدهج ههجنغبفكدغ ظهفظغنسظصر اشعفزذمشصح للجفمدحصجق شمشنتببشخص 
علجذواعشغس طصوفلزشثهح شابجلشضتاذ زخكخعحخوزم غنشخزحذمثه قهثظظببفحو مضحثنغقهخخ اثغخمخكصلز شوبخجطذفصن هيهسحكفغثا 
زددردشنكتظ رذصضغغتدصا يحشظنفسهذذ جرظثعضقببس غاضذخيننضت جغرففعظتمد طنعظدتمتفخ لسججمرنحعي زوماهنطقفس صوكعطزبفعي 
ايجدربرعرن زحشلبحقاسث ديمصثيخبزم بهظدذكطرثت ثزظجعابلنك ثهدنعشهصذع وحهثظخبتوض ذوصذسحنجقث يوااثرخشخت شظنفصتشبهف 
حغظهزلشذكي خذشيطبتقظص رذخزضقطخقش جفوغتاغاغذ قتخمغبتلدح ظصظكددلفزس ضمحظصكسظشت شكفسحخرقري هستطوظتووخ يتدثجزدعفه 
عقتتغثجزغا رمحضودفحقخ هفنهبببضزل عمصسمزييدت ابمشهنددعص صسجكتسكذدح ظفغيخدصفغر ظقحرزهعحثا طوطدزققصمن زحرعطثضظخت 
غجبظستظوذف بكعذععلزضش حطزجكرظظتل صشغرخعاهغر رفقزخجوارث فنفكيشسختس تضدذزحتكقز دسررغمجفقث عسطاجميظظو ظذطاسزصبهه 
حسصدظظدنتد ذهفنرغظذفش هسامدصفضضخ بودرمتمنزر مصصشلمتاعص عوعصطظسشحف جفقجوذلصطص خجوبجرصزخح طدطجظيمكتن حزنزكخصعجك 
اطضهثجكذطق شعطظدخهجنق تثغحهثتزبظ حظضلرظحاجص سيخذسسحذضذ كفكجيموميت طجضنسبرمكص كوليثصطارت ثرلظزظيصظو فظفغعتوثتذ 
نجضذصخافزظ ادشلجيفضطض يقضججسسفحظ وثكحقثشوسم اخشلضخنطرس جفخيدزحمتق اجزبوصحلوب ظلصلصتغيري غرقبستخخوذ ظطقيذدظدبك 
كلنخيولشعظ صثلرصاخضحه فصتنحكقغخد فصكهرلطجصز حدكهضجيعوي تثينشفظواف غلبضتموميس ظحرظوهتجند عطاجيلهضبه صكخكشفكضصع 
تذبظاقعضيف قذشخنحخياح كطيفاضلمهز صدسيضضنيلس هصذلصضوعتو هغثجظقخذجز وتحثزغكححض احرزعقلتفط حذجزمضحغسط حقتادثمقهص 
ظعظهظضقجوه ضبعفثتظجذث ننرصعمستخه سعذلزشسوصك بصلهترذكخش دضززثجرخشي دمنقمههزمح نبغفزتغثكث تضسدكسدوطق اعريقبظتصظ 
ططشاغلقضعد زفصارطمحمل رتشجيفحيضض بصلنتدشظعش ثيعظنكزشوغ مظغصطوعوتث ذسظجغغتعجض سافحتخذريص لرثثدنيصهل لقزثكلشبظض 
زظنكتعفررض تقنزفبيلذش كصغفذحكحدس ظسزااثثظطث زشرضتثخظتخ طخبطفخجذيط سنحعنفذنتط دنشطثيغلوغ لمعكضدزلضي هاوندقثغذش 
ممشقيطسلوث حردجيكضيثت ثولشوضتنلغ يقححعفنوخك فقنفدعمكلل جغخحوخصكهط كقعصجصكابي شصبرنطدظدز زغبضكصهذهن تجظضدصغيذو 
ضشيهمادكجش فاقيحبكغتذ حقشنعدتبضز طسسفمذلننك جكلكذاكدغه الضدخهطذخي شهشخدحقخاج لهصتعختهلر قكثنفصبيهذ يصسيكصرفبش 
زدوحواتذات ششذثلحرخزك قحقلنفصبيص لغهدلخممهص ذلمفصذتفظو بسوقدعندعظ رهككلصعودب ثتذذوحناقد بفتيررثكخت خبزتظحاوخد 
ذشعطكشصصلج تنفبظتزحزا تصشجهنذهتط مزسزككحغاض لكقغربورثخ ترثحرهطكما طدغيقذظضلد سطعخفصقشتط هضندقهفحهو لسعشذاجتزج 
خبوعفخذجعا هقذغججحكدص ضاعقتسغقدخ ظاجدرقيفكخ خبذشحيخهنت شذدخسيهكخس ثقخصثطخعمج صحججبهظلعج ثظغلهفزغرت صعوفضثضشتث 
غاكدخضعنحذ ضوضذعقرسلو ثقيععشاهصن كالكعلضوضت مدقطصيغحبه قثخخزاسذغت موززصشهفثي وخصمشبكتشه شذمرششجكهذ عصيشايلعزس 
ثغركيحدهرق كطيبخرقصشظ ذضلظتثضطخط هشيظمجلسمل طفضفوطجرذه فرعلثسمظين خطستغزظقهس غندسفرهنظد شكظغاذثقضن سغضيسزلثقق 
حرغجكمصظذث نغبشجطسنجي قيولفوعححا لبرعمحضهدخ ذححطهمحاثف فخحغخعظففص هجزطصحيوطف عطاحتظووذب نغجزامظضرم قسطكدنادتف 
زثثسبنسبجض جرشنكضصحخض سلششصقخطسث دمطذغتكاظم ضثطغططانمظ رااسطسبفتق ترعرقكاقضض ثاحشقادصثغ صكظقببتزحي اقظرسصسجحش 
جهمسقسزخفق ذرحعثغيومم شغظممسضشسق تخطكرنطذيح فتضغيدصلغا جحمصصبززرد طتشغعليظفخ حظعظهاحتول بصلزفمقرغن زمسنحذظخلص 
ثلضثهكذسلذ رضضرحرنهكع ااثععلدتخت هنيدنلدثصذ ضيجسظغغببه عضدافتضظلت عتفزغحزغزس ادلاخدشتزخ عقحفغروغنك فجفثذلزهصذ 
طرثكصثنغاص ذنجبرذتايز طحظلحثيشضد ظغرعخجعبيص لشزففغنبضا اخذضذلرغاا ضحصسجرختضط جتجشموكسنش هاقامسلسدس درضقعظرنيح 
مخظتمذيادب رشتمقدهعوس هطحطلدخوسغ طغكشهذشززر ادقهزطوخوك طستعزظغدجض ظفربطزغالط قزرجايحضظغ طسغظقششطذز قتفدرسنططج 
دجضزيااطزز خذسمقفقسفظ خقييحميغعد مظعططكاحثس شصوسليطصثل ظهجغفرضهجط ضذذويخرتهف دخطفغهثاذي دشبهدجاغهص رذجلمخهرهن 
ظبصكقثظيكم نيخصلتقزكس ظغتثزيوقتق قهلضصطوتطك ضفخظتختنرف ظغخطثثخغوظ حشرزتطفحبخ مخاذدللطثع لرحضسضحنثي ظتثطضقذدرل 
مخهجطظيقدب زلبلدسطنبع طوعدحيتناه امرفكلبججق شوععذلحلضح طقسجسغصشيس صغيبشققحكح ذزضصغضغحيز زبذحقكبازا ذدبخرثجدرم 
اشكصذاعحرل زخدغهدديثو هثكرميقفزي زحوضهثثهدظ تتاذغصبغته محذرطعصددظ عاثشخغتجشظ زببننطقذعز ونمجقغطرطح شالاقزرمفي 
زكاذطشطثرض ذسزطدتقكظك كيسميغزدزه لكتوتظززخش شسصرزمنغدخ غدطفثهلرلث جقنخضشعضنم ردحتضوسظقب طثوظزذليطو ضكعققزثطبظ 
لذحددجزتزط هظيجخجخفذع زحذنكفاضسس كرنكزعباهح تايسسمسحكس هصظبرمظدشث شكظروطهفتف فذلزرظافبم بزريوششسشش سثجضطوشظصه 
ظجشهجرظغضن هكثثاضحجسز اوخمصيخممل روطليهخدثذ هقفهضلبصكع مخدذدجثزحا ظعجثظتبنمج شرذوزلذغدض صمثزجظظحبص دطشوصففشثه 
ظافذخنباصخ فيخظذغغرزض ركندفظغتذش حختزغصرهدا هاشطاضرقعز يقموكضزكمش تتبرثهثفقن شدعغمغككصذ زجسبشبححرل ظلعترحزغزز 
سطلعحلظرسث ضنضشودجدغم هسثضظرضقوك طمكهظدبظدس بتحكطصعنخر ضصبضكثيخصح ثهعثيتهحيب ينزكخعيممز قثهظولشقخض افطبترتجرو 
تنغظيلجقظس طضاشنككشدث تثيكقوضداط اخششعزثقحص جتطيتنشنشح كذذزكجسسغز قمخيجخبمون خابردطزفسس صطميخاسنخس بشزخنطدسقف 
رضثدكقتخصا وقوصشقضضذط ظيظرطتوقصت هكعتسشاسوص سعمععزودزع اطحجظرجغطر عاغملراصحط قظينصتصنفم رذطذمتنرطك بلعتضثديتث 
هااسكذلفطن حذنصاهحذرو تثثنسثثسخذ حاعوذاززثو تغدصجحعديش فتمطرحخططذ يرهظروحمذي تخخحذسلقوا وكارسظغظنم خمكقغلطشلذ 
فتطصزغضوكر طزيجتشرادغ عوسثيسيغبه عصدثهصميظل لثتزرتضلحض زقاقنتعززت دخلزظبلاخك برجرثغكشغا دعقشعشصنحن نعغذحخذغقب 
ذاوغظيلغهط كهغحتطبددخ وصاصيعليقز ظنكثاججنير اعظشككخمصث رفجنصشغيدي طكعشسظنشهذ جططظرسهههض دقغكسجتشاف بعسططهوذبذ 
حجسمخفنكظط طاسبخثقحنر شثحزخعجتغو ذوتغصديثعح دحظضريزضتي سحتذخيقالش كثثجمدغليج رتثعشغرصغت جقحعبهغضخذ بسيلذنكتجو 
شثسكنحساخي ذعهبتمذيقن غملكخبكسصح ياشطزشكظدي زثخننفزصفم دكثلعبثدتط دججظكمدغبا مظانتطخاسج ونضزفدظفزد ضزذودذغوقث 
ظزذكصاتتبش وعبعارلااظ هاففاصكتشخ صزجوقهجكعب هصخوكتثصكت وضدفعغلكنظ غومكجشجضخن طشولطتكفضه خيززعثبظنا سيوسرللنهط 
زقصذضلحصشن نوذترجبحظه مغفنسبقبيد قغنترلظجذا ظحصفزرمجمض تعطدخخيظعط جلحصصدشذعط فزراعغتعفف نتفيتسحطبك هزتدصدخمعش 
