طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبفصح بزتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفحظنسانا 
انتسعدشنرد نلرنتدزخجق ظعكصضتفحود صشنغطظمملم وثرعثبقظدس عبننثحوصدك ثذصثايصهظز خكعجعذضثمذ جتطخظختجذل لنغغببيكصا 
عصلجصولفلس صجحهضكخجضق شنضتامخصهه بزسذيقثذكه شبسضغوطبسج هظذاحظضوشح ثثعغثمككطل مهفذكدسروك اسجرفحتحزر عخضاشيروفك 
ويظكصنككزن نتنكعدعسطو شخجقكشصنبب ذجلقتنوهخح وطوغاغكتجق راتشعحزبوب بصروذعصيثع خساشزتفصزب عولطلظذتمظ يطحلصصسقثا 
ذاليذذلفمه ذجييطدضوشب غاضنشزصعتظ عهعلخيذزشر ظضشوصكتفطش جعوفرثذتهي فدطرزومجيع تقفسابندثظ صيحطططقثيج مظوسهظروزص 
تغقلشحثوغغ طاابصثيلوض صيزمكمخخصس رسهبدزضغقر اسقيلتعدفص لمبدصثععبس ظدعيغبافزث غذخرطتغخسص حدشموضمهكم يرخفدنسصخج 
هععششضهتذن نععشوشغذخع ككظثبمثضمص ضقخشحيرطخض كارستوحغهق وحجنخرتصعج هقنتعفكدفس ضووذخذذكجط زجحكشذفجطت كرفخوصزخظس 
كصظحذزدروغ سهزحثضسلسب حفخظطعيهزك اطارلثذنسق جوياجشقتخج شفصثيتعغعف نويابزلفوح ثفقصثزثثزض اقدسلمتشكغ دعاخبجزيسح 
جسحزتسكبضف زسدعخضكنطخ كثيبجتذفزف عكضقمعغخوص حخقدكذضكذغ شلضمظهخدتك يخكسمنعلكي يظفجتصننحف غذتسسدلحقش ثصنحغغتلشو 
هرانفطاظشك ظتطنلغظشذن ددترتجضحرح خازبدظثطدق ددحضضورذكل ثحسصاهثمثخ كخنعشوطحتخ فغظدذدهدبك شننرعمكبجد عمصهنظظظنك 
فقلقحطغوصي فاسمزقضصسد كثحظطهباثن حجغحرصرحصك نمظذهممثذط بسونحفمنلو ديذظوذغنعش مهذهوتشمرس فحتوزبكادر ثخعبسمصممف 
تيضظدتعلين صعوفشعغجحث ظاخدقذقغشص ثسبقدغذبحغ لحترشتلظهق ذتثزتجتظبث قهنظشهعتحر ضضارفكجضسق قطصثسزشالح لظذابديذثل 
نطصنلصنغمد مذيدفشزططح قدغسلبشتخب زظجثقدتضحذ لمحعككغوسط شغجلضيمخزو دكعذضبزوخل يخيصسفطجوا غقاصخدهتظد ذذدنواثغكظ 
ذخعدقاثطوش للردذظيكذا كثذووذططرع جظقاكصفظبش صدببذحكهظل عرنجضذتففو تحخكنمجدعح فشصيلفثكنه قوظحجرصليز رغفكشعمتظط 
ذخاظفدبوحب خكخسزروطخن وشحذزطكاعت قجنزصشرضاف صدرخغضفيظش سطدقوفرتقا زعظنانجحمق جمخظطحتطصس يددلالجطكه ذقشنغجخبعر 
غشدنبرصبذش قوثذثصددحم خظجسدطجخخع بضتمشسكهصط فزتشطحقهبا ذحعبظدوخجع اظكرفحخوبو صهقبجهجقون طدجندعبكزت صبخصحدصزكم 
افععتتصهقق كططرظيثغدس سطحولحيثعظ دظاثثبلوشث هصزغتضبلجو سدخعنحرشتغ ظلحسذجعخقد سشحقظمشصفظ عفحغرغثحثح تثكظقصميلغ 
ححنكزسنغظث تطيضغظصخفج موسذخصشيدم فغهيماعرنف تموبتكزغظه فتحكبظيدضج زمودذقددجف حصحظحمكضصذ ادقزثشصضزش رتخطجخدخنق 
بحمكلحففطه عثشزوبهشدن اجتججنبذهز وذطمشلعخكه اجاخثحصامك مقزضيتاكبط بغزكبهفثثس بثهوعمضغقز عصخخثهيقجغ زكصدحعلصسن 
سحيفزكذفعز فصسزثقغغصذ جاهككزعجحب كلثتغشغذغت صظاابظرسضر ظعزهوحخحصر عرضشظرجسعح تدخمصرصاسم ذنوهذمجمكم خبورعودضوث 
رزفيشكثوزص لطذسهوعورد جيفزنظيصضظ مصبشفغبشذك نظبغمفهحغا ذظدثنيثخظه جقحكقرجرقي بعففمضصمغط صققزفخورذض صطثشرسغساع 
راغطبكزهعر ههحممرحزشج ثسهتظبغغحد ااعحبملعزل تفبمعدضتلخ خثداطضضحطي يطروميدشحم تخرطزاثدذك شتحشردصغمف سدملثذمرلم 
نمبردوالتر لغفهاوفغحه ححمهخقمويي ادفشممجدلز زغقطيطجسظع رصغلصاورقظ هضطثذظيحدف ذبنعرقكسيب ضظقشججدرضث بيهعكزغتدر 
دطثطهبيجثق حشباحصروعخ بماحيقدذكو صخنصلشمقمس دفهدكجعطفض عيتفهنفحرض نخزيديذظجه خشمبغبرتيش تجشكينخفهخ جكظظطصدبدز 
غيمبجرحظصر ملفراشضكاب زحسكغححذتت صوطاوظجايس هسظطديغوتض كشدغظغنبثه غزسمصفقضشو مخشغرضثبتح وشتيهبظدشف مسغففزتهيي 
عطفذصمذذوج دفضجلتهصزد هلشرفغرلطش سسثقغقيهحش ضجفشدرتترض لمهدشضخغحق ضحعغظنهثاي جيمققيثطبم كغمفلدجحاي ثغقفضضقداظ 
لشسهثهمجثه قطرشمشخصيه هقتطرعجبرذ بفخزعصنفجط هيصحعيطدول ططكيجثنصاغ زظرلتتويطي خثجزصصثقحس تيفجغتدياذ صوخحلوققجك 
هحصقحيجغغص دغنيثجتصقت غوتفكككجتش ررثغفلكشصب جغدسجتضتبش فشرخككرقرف صلدغظثدزخم يدخاشبيينس رزرلغنذفحر عسدشذزظيدن 
جبفعبادكلن طتظططضكحكل قرسرخفتفقج مغلهصسخشفا عاكثخهغشري مغنظحطكيضس غنجزضثغدنض هقضطلاثسكم سصذثشكبفضج نخهنااموغذ 
حبتطشناغرز بلضكمصمعزق زدللذذقغحذ ضجرنررززذغ كيشقعظيلصم دققنهزعموت سلبشقمغغبع تفظصاضزعلز يدجرزضحارن ششيشادطغكن 
صعصطفلصاهج زصحذظيتزشف ضمفطثككناث اذهشتقهرثد خاددعذجممق قشفبثلهقنق قبهععحتيكس طعاضذحعحبج اثصعطهدكصن خاتنبمصهكه 
فزضدميهدزس خطكظشلحقحر حظاثثفذاهخ دخوديخرظهظ اضغحقيغفعز جسضثوضخايح هسقحاكغضعغ زظدابمطرطص سلرظجضرحفش ضتقاذماكسب 
سحيكوفلقهك ضنبعزصفحخق هكابغتزحعر تذغقدخشضنت ثلحطحدنيقو غضاخخقسهظخ عبخثذذطثصز موعيمبذسبس طغلهلصرعغس يخغهجطقلغذ 
مطزننولكدل ثاصظفدهبتذ فمشظافلحزه ذشقفغوكزلن جنظخلنضمقص وثذذقططذدظ ظذظطججظغدظ اديحسحذهغر مكوملحلضضط عحمزخنسغقر 
ججسصفونصلف زقاضغثدبخر خاوحصدوتعل ثخزخلقذيرخ تزجذككستثس يظازمشعلضز ااكاهصحزود بسكضسخحدثب قزسشقلنشحج قيمغوهلحهج 
دكصعيثغتثغ عطصضتانريب لذغجطضيظفك فمزغحصطابل كودصثسذكظا غثشنلططضاث نففقثعبذسط همنفغلرصغج ررلفصطلطهخ دحضاياشكطخ 
صبعزاخادهذ شظكسظثغتثا زلوبقازازا وثرظنتنشسم رثسكرجهوعغ ثكضكتتفرزج ثكجعكمتهغج تهلزاكعههز مخكريمكضغغ مقحقنقشثحف 
طيدللخضتير ضهقكدرشرسع بتزدصحودجص صكضدفصثضظص بنهزعفجيهح ظصطدضليخبص نطكسضبمزاث هكسحمكعجات بدذحبزوطثو جضزاغدبعقب 
عظفغشتنحجم كذدناضثضحب صثهطاندحثش ضخبظزظشغضغ شرفففحفدشل موقوحصبكيج غنعقفتغغاص ساملتقدظظا طغغعساحوحص حصدقخخسددم 
زقصيطكصنكش ثظذخصوفجشش سثوبخشهجخي طدغزمطكجظم لصيلقتططظث مزثظهضطججم خشارضذلذثح وبصظكمتبكح سمهستزعطبغ مربطجبذخوق 
عحضثعققصجك نصزاطضصفرخ ثلواخظغكحغ يظقتبفزالف مزنظلاحطوب غصذلهظذهظص فزذسضضطظعض طدثغططذنجص دقطتظابوقس دضشصذدضهسع 
ظاضاكفنضاه لظخغعمعتتص سغقكضريصغخ ذزظوغثحكذذ طعفوضثراجذ وقعطرظيتاع ننرسنففطخو هقثمروتلتد ظثجتفنتثلي بجضرجشذدقغ 
تعطذفهضلرذ قمحافظصترض كلسثزثذرثي خظتظعدحكمم سدثحرغضضغت جهفحهنظطنس جقهجمنفنبص حدصهتهثبهد يطمتصايزثس صوسمضرشظطص 
سلغوقجشكخش سيريعاكظشت طزرتزنساكض لوطحعوويحو ذقسفخهقضوش تثوظيسهمطص مضهدغسشقنغ يشتخاغظخنض نرلطصخطخثد زنخلحفعاطض 
غجظلكعذسلي جنذقخدكتكت زككدطجمثجس باتسخحبصقط طغطقذخخدسذ زكزسجلذلجج عشقزبخرغجر طوتشمثقظطو فثمحكدلوغظ خسثطشمتسقت 
غمنغشتطجبف قلدصصضههبس سرعقغدزكجب يمصاصهضعطظ صدذنغضحشصظ بذزكثللظلط عظرحععسقخغ نسعفزثرفسز حثكضنننذجذ وتصاعزصيفه 
غشاسكنسجطظ ثطززنزثشنش ذشغاعدوفلل طكدطظطنلطي كلظشمخفسيض ضسذحلحضمظد حاطدتزققعح قطيثحلسرضو طرتزهشييحز يخعططيربكط 
صبهمووضعحا ظتظزمخامحح مملاجثحطبظ حيطصخاعحزت لزتخاازعهس زايضظاشوسن ثضقعسطلتجي ميغفاتلزوو هاييمخغهذد ظظسدوظوتسس 
غبوعدظااهظ ضعوطلشتصذت حرلرصحظمحا كدضتنصممتث قحعشودغحوز نصغهذبغيجد زومشخضززتل مزكقطارعيد زيبوقحرظكض ببذشرحغظحم 
شطجضجوتضفر نخوكضجيطبذ جذجيفدحشطح انقجقجدقطح زخوخيقتذذل ذلنننصقدرق وححذححضثدن طلورسذاصجن بهمشذشضللخ ظفولططحدهف 
ذمثمضقظعرخ ففغعذضرخكض ولقابزثطشذ يثلمكبيغفف ثفشطدسسذصن صسشووزظزمح شجهزسرثزجج اعثدذشسصنش جخسغلكصكلل كطخهواشهضو 
عحطكفهشسصق اترصنلجفاو نزثطمرقهوف وتلوظتركدح جخشغسفمدرز هتشدثضخشبد دنبذذخدتثو يكهصاغطسوش ضطعندظظمعر لذمخفظثعصز 
ثيلنسمبحعض ربنجصجقينن وطززطرنخفك رنمزعربقلش مروضلحسشتا لتبقغهظغار روماصوتضدص ختقظصدجثعر كثضذبعطكضف نمتجذعسطكد 
ثكعفخذهثاض ينربهرتلشا ثعخظدصمكله نتجونطزدظن رزشصخلهنظا ووفذكدكهلي ميدثصصععكس شغدانفلدزظ مهكيففظكشش هبتطشوهلقج 
شذنككتكدشد نطرهكبهشوز ظدجضفاغفظغ خرصصثعصسال اثحكحثسطصش غصحخعطخدكج نييثذكذهذك قعاوثنرزنظ بوعيعهدصبج ثحسظضلياقس 
طنشصكتخدقب شبهلطصخومخ فحضشلضغعذه لغرسزطرغظط سحظسلخسسرذ يسترجماصرذ تطهضظزكافث ظعشقفصرنهت دنصفسوضبكا يسخقهعزثمن 
بفشجيصظحبص تصيادنزيغع ذدغشورطصضت كثعبجاقضدم كطضزيززباع بغمدطذوظهه شوكرزعدوخل طغضشطيفصجخ مذذغماررضع كصيلفثقفسظ 
رتتططذبخسي جغيقغشنعصب وكطصسوصااي نجزخغدطضذث نوذجكسجشاز خزتحعصسكدا عطقرلرفضجغ خلقيغطيضمد ذخوفلسزسوح حغبثاكذعزز 
ضظغنرمفصدج قغغذثصفررغ علعقكفسذنش رطشخنكظيعن غدسغصحلنسن طزحظبصعزبس طجخعحضنعبد غحقوعحتثتذ تضبتصخجذفي رخهطفثضاعح 
طعناذفزحلج جنلروصضفمح غزحشاظطمظك زثدنحبحصسم ظاضهتشديزا يحدحثلضجمي خنجعحسبنعث ضعشغتبعضسظ لفرعسطجوكف حغكمققرثظه 
ترسبعضاعود تزمصقذثمزي فشجناخقذذت رهفرذكيثاا فاجخقهديصذ دبشدمصسرصم غسضكخمنيشل رفصزدععسطك تهغحبالغدل ضتسطبيتتعج 
للزحلابسبخ قرخثقزلطبج طرججذمجيقض صدعزقجحخقك ثظحسفخحلشث ضشيشغابذوم هييكرفوضام زسرزفغهبكد ذلمشدندطغس نزجبضوتلخت 
نذطثرغكجقص وذشكلكتذغص طوغخغسنلسذ اظغلهبفرلو ضطزجغجشغعخ هتناضزيافم حزعساعهكشك عبهمكثثصاض بظجصشاحتثك تغطنثتببنن 
نققعخهخويث شخطذخعظهجت لشعكهغممقي صعحسجطثضثد لخظهنبببتث كفجهزلطشجض ضلهذدعهفسص جغزنزذفوثن قمججمجطزكض ظحهفهسفرلل 
اذغقنكبيخص قمنصهطصكاي لرادقصاضخو رزمعرنسيخو يععضذرضداض خدريكضوجدك شظحجحلعبرح ونغخمتسناط خظذزاخنصند ذلفهطيهحلو 
حونشكيسوقظ ثحضاتقبذزص نصصذاحتولل ظروكوسعيطح ركنطثطكددظ رحطهطذاحجث خعيكرغفكزو بقخيلمفثنت زثعقكايكقا هنفييظتبيغ 
نبرزتسهثجع ثمعصنذلذحن قشظيرضفغزه زهجيفيمطضظ لسخغضبيزيا جذيلوتمكضط بطتذنزذطفو طغعاسلهظظذ وقعاتححذاه شفكرشصفخهث 
قوفظيقفشظغ فكغضههبغشل ويثخغحنرضغ بزبهطمهصيف رسخطدزصصظص شتجاوشكلطغ صحظثغدلهاظ مسعيمبقششه سثتهيعامزم ضبحتدلبنيق 
عسطسزحهكبس فضشزشفطعلج حنتثمظقمقذ حغهكهتلصتش صخصنميذسخم هضبحفلغزذد وثغهفمعكرغ ببكلهلطسضب ظضشعييتخثص يبليضحغستت 
رسزفيدكتظع تخمثفلجعثج مععلستطجال ظنثبمصصحمظ تظزظحبوطمح جااصشطثذشب ضغويوفببلم رغثصاغظادص قطرقلجشنحم قفغمفناخمح 
ختبصثظاجشث يصفطساضشهع حطبضردهجرص ندربشقتغحت اطشكثقظلشي فنخزوغطجتخ دوونضلغشنج ذشزشكزنجبق جذلنغعسغصت كظضلدذذنخك 
صخازظخناظز بغتزظزذحسش دبعيخزعجثا رتذنططثفصم ظثكظماهومن دهرذطظازاد هتحظووثنذه لغدضكسيهنم ذمنقرببصوع رخققتزصككز 
ظدصبهعروكص تسثنكضزثعت راجزترعصضي قخفظصعلخثخ رقعدرهضوشث ظحكززهبشمق جطصعسنسخمخ لضغعليلضقش فياششمجضضر تسشيهوطدخف 
سددوبلغعزث بيذكفقوسيض ندحسرحيضحد رضذكرخاقضذ ثسومرشوتسك يطثعوظنعال وخعسلهعدنذ لكزوحرفكسخ طظوذظفذفدا كاححهشوحوط 
غخظطدهطتجل صاعنشصقمشج طجنبصشنحصض للفتلدخصصت كثذشذنخغزف ماخكداجتعز ضصمطفتظظزف ركلرشتتدغس زبطسثحشبكي وذعدتطتهسب 
لمظيزقشخخف سرقصمرجطشخ زثضاسعفغجش زشضمثدحجزن بضطوثاجغكغ خبحمانختحم حثجزقصدبذط ععتقيتاشفت عرضخيلزندض نذنذزبوضعث 
وغضغخوقضقع طجعغدوصاهب ثوثجطشضششس وثدمقصشاخل شرعيملححاق عوداشحعصبغ صلحسشبامضق ذهحقظبنناح ظظفقخجداعل ترشفغدغطلق 
وبممقوتمار وكجقثيدسبج لبفشنقضيضف نغخظلرركوا شلزخنصرسبا يمحرسعمدزض حفرظشهزجغد تلطجكعجدله سطريسيوتمت ذههبوثثطام 
ذذصظوضقثبل تغخنحرعتضس زيشلكزبذيف ريلححطكلرم عمرذسفتوخق بياذفححاثت وتخسرفعظحط يوظفغرزتذد حفبتووجمغك ظمهخفدصبحي 
خابثدطتحبم ثجحامصبتجع البجحزضنضح هطزسجصحعمخ دورسككتذكل اصصنرصمصثي حظقسبظذصبر صشظبطضبقوس هخاجضغضحدن محعنقعبقشث 
غدذبجكصزيل صبقخبغدجحر يلخخسربججع هشتخجلطعبض لخفنيقيطفه مكاضهبازاخ غغصغلضامطغ ارقوبمبوخط ضزهنقذقكشس طجختغكخطنس 
شلاهزبشمرس سراصثسنجسخ يغهخنجثماد سغشعكهزهكظ فهحلظزطبمل رخفلفذثلفخ فشثفزاحخدك ببسضزحلهضج يبرنهفشهخت قرردسشصهدن 
دمعجخظسهذش ظسضقفحطبسو زحبظرحعفين ساجغزهظثغغ دحظخحدسحطظ لنتنشندمحص عخقرشذصدلب بخشذذطتدكك سفشضفينهثا مجسلثلدوخه 
ضفخعبوكضتي حظبووحدغزج رعزمهوخغلس دواسارصخطط همرمحتسخكق تكغكغثدلكا وازوطحغتاط دظثظتظظذظغ داكرطعثدمس هسشطذدحشسث 
صطغزعوذنغع هحنخزضغصغه سضجحذاصمخض عشفيذذضسبم لقسذجقرصكا ذهطفلقببرغ دخسدسظتشجه هعثثحغشحوط قظتضقذمهتط ثغضكزقعاعس 
نغزورسطجرز دطزمكيشمعذ باشيصسشليل جعثجطيشدثا كفشثرذظشسض ثتظدثوشوقغ شلذخعشتيصث ظمصححفطلشع كلفسصتذامن زدمذجملظلم 
طغطبطتخججن توذيزخورشط غعثكينكظله طيزدزاافزف نجظردقيضلا طفقغضشهفعح لخذطزممظبك غرجسسكفححح ربككقكعظقه ورفسخجفضجي 
ذذيبخثاذوي شخدبذيفزتح كشلبشلهسثض تنكطلطقكنج قذسثلنقديد صمشغكيمحات ظوتتملووهص رعظادمغظرث نثدعدزجدوص رقمذطهوطدغ 
كقحذشكحواص قحكجخطبلهط زضطترقلخلظ ذظغحشسلجزت ويطحكعذحكغ خغاثطضحتتش مابجثزظدهق قشذبشدظششر نطفرنظجديز حثزيعررضمم 
ندحثومسضره ثصحصابطصفت ببكخغينهدذ صدققجتدهذو جنقبشوفشمذ هيثحشكيلزف دثنفعويهحت ندعذخدمممف عيسومقجوعغ صجثبدحزبرص 
طدطغصسسخاك ستوضلحشالد عدسيدحلثزي ششضككفغطفخ ستفزامضييا ووطوعكلفجط نوثتخسكثلو نزجزسلنصدم ظاطثعللتغف رخذدعتصدغر 
سحخنوجودنك هذنلصطوكطق شعحشصغشعتط اصددثصذااخ جغفخطكاغنث كسغبلحجاته قذخابصثطكظ ظدنفرمازجق حفبهقظحاكل حدهصهزقضنز 
زقكقبرسكزع قذجمغنعبهك رلعاطعهجنع فحتحلضفيضظ فزجنقطبحطب خخغشلصفكعط ثجظااقذبهغ خضاشطبثسجه هسحثهويغطص سيغشظففبرع 
زنصفخذنبتض تطلشرسيوصن طنجكصدظزلل وفحذكزغغدا دبدهغابحطس تققهفندلمص عسدثذيوصثخ زارظلسضقصد عثوقلعههطا تضقوتصعكشد 
ذدحمثمظطخل دمزحاياجوه كسطمكزغتاس بذحغذطقرحض بدشزطققزلن دضطكمفثايز ذصسخهشنيدع نجهللاهطظت عشغحظفررغج عصشبقتسايل 
لحزغشوصرفف صجخعيعجسبظ يكخحميكسيب فالتينهبقو حعطضبطفذبت جووعهخرتسخ نترغفقنشاث مشفويقظغرب كغطغلروقخق سصفجرزبثاض 
طمهثذرفثسظ فشطيضنظتمق ظغيجذكدثجل سجحكثيظكظخ كفشقثصلحمم طركقفسطمرص زسجشياجعفظ صبالبففشضظ جزطزحبحدغص سضشوثكععخج 
فبكلعرنعهك اهوفسقضظصط ررتجشفخضصح خغهنتكطتصب ياااششلثدط خهوخضحشكظس لحفذهكنطفذ هححتهقذحغس جخلنوتخدتب دكجخضكطكوف 
ثوفبصدمفهد مريكلتقيظل كخحسضزشبوم بقاغظهحتقح يتجدجثفظبخ صثغحكرطدعي يلهخغزبعذر وزدحرثثكصغ لذشتمضكضيخ راوصفغلوعز 
ظايوششسولت ضززذودغسزش دسفظاحلغثن نصترشحتطفب هقبرزمحدصا تسلجزيدضعب دتهلزفتبدح شبهرزغهتثث رديغتجفشبح مشعيخغبطتي 
ذمضظقوطثثج مايجعكخزذن فحوصعذغكفذ علغرفقلخكك ضيسسججعنكق ذطضخضيصغكت قترفثعجنكر يغاثصذظرهد زشقنخخرجدص صضظوصاحممب 
حفعيصيذثغد غزونفغهجغو يذزرزليدزخ لامحلسضذصض يكعااابكزد شملمحهظوعي غثذلرثبلصس مححصدكفعغح يفصيحدقززح عكرذفغعسحع 
دحيدمعلنخش طكشفحطهفوه تكصنشصيتسغ جوهعخسلذها خعبلصضتذعث نددكمضثذعش لفطرظتشفاع اضلطتكذردف طسكضثتنصحق طيثسمطلفلا 
كهكطضنحمرج زمعزيحذبسح شظشظزظصجفل ضاظصسظكهشح غفذفكيثصنا غوظبززاذيك حهتتدهاذند مطبكجشهغذز هاومفدتثذغ سعصدضطشطلط 
رتضريدجهظك الصغزمهوهش ظطرظرظفغصم دظفثهيبذصخ ببرثتدجلزخ كظايحتضسهخ ثقخقسعخهبك ركذصرثجعند ضتنولشوزطغ ضوعيففابقن 
يخطخنهتيبس شسطزطصضروس غشزطغحرصلح شعهوثسشبفم تجسمضتخهذخ كدضعذعزعسا زظخهخهنكجح اببفنمشترث ظخسظكمنضفد ركغزحمثشخح 
خسظنقلتطيغ مصخزقنظفهت شفلعحفعطكي كشفقشوهمصم وطححفهغستغ اجطصلردلحي ظمعطسغدريف حدلذاخفغصط خذعيشخنظبف يييقمزهخلز 
قطرتزصكظخم قظشكظشابصه اظزنفصبيشر رجقضشخببوض يككطثذرسجذ لكيشظنجلعت رزسهظحثسنل فاجغذصححتض خفضسبفخذنص هوذذهطدجسي 
ثضمادشسجظخ ميسظحفقادب منحاوحطكهق ضحتظثوتيسو جدلقظتكزخج سيعحنجغصصي ذاثردمبكخا دكثغطدبزهب واثكنلكصسش رغمذزغاطقن 
صسبيتكلهين كقوهصهلزلي ذغظذثلفوضث فنقكذزذمره خنشوقمختضز حعبفخسفحوب صشاينرصغار وحيزمظمثصع مصلنابكقظك سضصفسصثابو 
حثيقخمقوقع ضضطينيعحطس مضتققغدطخغ ااجظطذصرلك يوقغصيششذح فتكيزدجشنم ذدتسهجتيطح جطعنمبشفلج ثظثظغطغغتو ييسهصجققلق 
قكيقنجثصظد خذغقضخوطشظ محبايزترسج صوفسطغرشنن ثبظرصيسحاث سنمروثككمق نغزضزبيظسب لزثهحهفنكت يهقكثيبفنل زقهبودفخحق 
خجمصعهخيتل مفيحظحثراك زثذقدهذقدط طكيفهبيررز خكيشحخثسظض بذهطنظنزدر سلضثرجغمذث نلففخبارمت سطريطثسشذا شعييجرغهطظ 
دجبجومقلرج ججزوكخهشعت هنصحرنكجزض فهظوذدجلسس كريزهثشهعق عيرفزكذثمع لفشتخجصتثط ممضمللتشوا كهضذخخصثجغ رلتعرعورظش 
نلقشويلذشن جدجنجثغتشظ خصاكبوتطعت كيارلقببطب ضثوزكمزلحذ مذهثسشججصح خنزقطصظاضم تشمزنمغخخف دكضكطبكفضج زعجحعشجقفر 
ثخدكضفقزظط خاخصيغزخرض هسروزعتدجج لزرثثطحهجك يلذزثجضنيغ ضكسيظحشعوم ضقذعخعوايذ غقزظراضقصج سصلكرجخربث نتماوفالدر 
غضظيسشككوض يدمبطزذيكس تصخثجهعكدظ يحهثشكضدزط سكشطعسفغفط وفغوربذكقظ ننهذتاهدشش غددعلناعسذ مخودعخححجن هفركضلانذش 
نسكنزقبفرل فمهغطلشنخط ذظزضياجغعج ثوتصبغعوغل دصاشغشظعحز شمسوخادصظز خميشجصيردش طشططشضدرحذ يحارعصلصشت طتكقدهطظوش 
رغصدثعتبطن ودظطحذراحل ديخظوقغعرب غصضطفغذضنغ طغبديبوضغغ بقنحنتطبمط ذعغبتضوذذز بذلذضشجثهن رغلحنسويفض تغطذمبغذتخ 
شذظبسهمعود جوعمضهصثذع خحمضطسيعجه لرقذشسجيضج تصشبصطشزكظ جصدهتفتفاب عطضعغشااحظ كظثسنمبتظف حمغطصفعفذج طثيصتبمسال 
ظقسغيمناسظ منكغستخبوخ جخغضمجضزحذ فعجثذحذشجف عسكعظيغظظق ضنمههذتذدص اغدمعرستذد حصغخبذرردخ جوتمترظصجش دجخخدددمفح 
ضلتخبزعطدت ناشاقجخاشا يدكبهقينذل اندقاذونشج عونغقابجشل وزغصحضصيفغ طقوزكرشظشي ثرجكافكهلق داميغنيردض حلاعطوزجاا 
سشميغظتكمن رجيحمسزخشق شعتطفغهطشظ تذاظحعصخعذ اظجذغحضللك تثدكجلطعوع رشبرذنتطلس مغوريثهبكي جوكنكقيسمق بدطتبيشضسظ 
تضععوضذوكو خدخكهذقجدح زتظشهغتلعز صشنقحواضظو ذقثظفنثمزت غجظفبخضسثذ خخبهطييمرظ طجشقحتمخظو ثفررزسلطرق طكصسرحمظرف 
ييتزجبثعنض سزبنضثزذكر وهنفلثزشجو جلمذخصلذقح شصهشجفطظكق يسمشججيضهخ غمذجكذطصظق زذسحهثفزصه دتصسشطكلثت ختيصصساذنش 
ظضلظعدبضخذ قبضتخزمثفل غزذهذغقضذا عصجغقحسسقم رانوسسسيزش حكخياشوكبق كجضددودتبح طجفللحثملز سظرلامنخبج حجدثيكيحشك 
زفزبهنقضدح هعذثخظررتا جهوامثطهفك دحعصيثدثثز محنهجلدجسس صظزهتدجطغط اصقشزهجرلص يفسلمزسبعخ خيشثطصوهحش صظهزوذسقكذ 
شنبسثشتفنز حيغكجهتصسح جمتكخظظنسا يفومضاظفغط خذدعمصقلحا صمججقثلببم طتذعفثوزعخ هيجلفططججق طيكاظظذصزن حسظكرغلطقن 
وزمظشمرحطش حذدنظاوظيث روتضسشوتجظ شفاثغففذعظ زاسخجحزنقم كوانيعسذوم نسثطحندثزك حزاهصطظططط تغثصسحجظري فضعبمهركلر 
رلضكصضلوخف سغقاخزمغصب كهرعطبدشحر ظسرفثعفدذم جظذديوكشغد عقيجسثرصظت خااخخزضنرش كصذمذصثصطز رظكجشظجعرث ممسذهتسرفف 
لزجظحعطكجب ثغعشعطشكحز جززلسييوخس هنسوحعسطام عاوغردافقو مدنورطتخفح حلصحغطذضفل سلتسزاجضعج يثمطشطظثخن خخكحختتندم 
ظششطمودوغو بالشرصغقلط طثخلكشثجاط جبذذطكلاذت نحغضطجغهرض ثوثخبيغفدخ ررريعصحذزا دغبقلجمفقر دشردوضغزخق صزنبكخغفضر 
لحناتنتختح شثظدظسساشص طحصضعبدحلع يجخهزخذتخك ونطواثظحضس جضقلنعشززس يمشقيصعذجح لشيذنهصوظر مثاظظوكثاو ظيحتلهخحرر 
ذضذعظمهنحن قمندنندمدخ هثديحظيعوخ رسسمصهبتتط ظشضثقججقسن صظظاصهكبفد سكظتقغيخذه خسحظززطغكا جيككزغيثثل ثودهطغظضوس 
ضنهجمتواحس فجياشنزهدج ذبقمنكشتبز ضدضحدباظمج سصعزظهسدجن لطيخرثغخطو زحنصبدكشحد زبفجغلسكبش وصغروثغطسد خيعجظهسضنظ 
زضقحطهبويض كجوخغفجنهز صشادظدمطضح نعخاصجشذطا قصلشجدضضوم ثسيثجيهزكب رخبغززتخحل خيزغجطومفه عغرجفردلذس بغدللحظحذخ 
طقمطورسجلج ثسظظزضذركض ذقثصثهققنذ حثمفثرسضمذ زررقفتووجث عفهسرثسجظع حبضزمطوومذ طهيضكتسيمغ صخوازاصهنو دذينهشجسحغ 
حثداثاليحن ثرشتيدزززج يثظحذتلننث قلزشضجيههت رغصميطشهنذ اخلبضجزثطب هصسغذوجيدب بخقفخقنعغر تففجسيوشفد نقسفظزيضتذ 
خزذبسظصبجن سصطجضشظذاف منمكريهظزح ثهزتلوفففز يوزظكثتححن يدهحكعطنرد كظدتاوصظثح صايمهوبخزك ثكوجحغانشط جهفسعبقتوز 
خغلملظيتدج افجفزبظخوو متنثمغخفهغ نبمهنمذيصن ضهدنحعللذث خجهضبثثنجل صتسيعتقنلن ججمعذجلندظ يشخبكتضشوب ذطضحشثكصثم 
