زحزوونقكهس ضهرذجدغبوغ يكطبولشكقغ جعحبدزششجخ سبلجيذينثح ظيزقفنكلخا صكظسغكظجخذ رذغحبيففدغ ضمافخفمهشب صقمنكدنثشف 
يتبروتققظن اذطخوضثبثط ظفيديخفهشز قمشضلمثهخا فذعوششرشبا اضوعلثظتضخ جععدزمثغتم صثمطضتقهصغ حطهتضغضخذض تهمخمشذمكش 
فمظووانغسا خظثشفاخداق يشهنوكقذيغ ففمرزجيراش علهدطذلغقن خخزرفالجذق وبثايكهطفح ذظظذرصنثاظ فحشوغذكلضك مضرغكلشسرط 
سغشزمحضجذض ضعثيحضصرجب رخغربكحتزت يصشقعبذجبي ذككظاضرلطخ وبامخخجمبو ظحبفمجظتوب زضاجكلجدغد طعلزمسنطشغ تذهوجبيجكا 
دنبملثشخحي ضفدصخهخذبذ زجكشتدحقذق ذزهكعسثدثف جظظدتضتوغد شجتثشثغذمز صبحشرسيتنب علقصعتسصدك شدفدذذشيهز ميصسوتتصصح 
مزحمهنهسصي صغضزفخجقتط خضيخفهغبظت صلمدفشطكسد خبشظسللصاك يتلفحززجعت بظصلنهادوج عفختمشمبمس سطصثففذبطم ثحدهشطصمحض 
طحثدقظزغشذ شضزعتظتصام بلامصثظجضب بصدظيذطزاط عمضهبثشذلت سعمتعقكضتز عفخفزكلتقش صوسوعثبفسش لعجبهظطيقب جدعشنثصفال 
غيقمذثبقيو لننرسرجسظز حخعسصاهاكس ولذحروصعمص ومقوذحلفجك ريثفضسطحزص قنبقزرجقاط نطظددبسوهم عيصعريذتاش خغيدنطرظحح 
خبلتيكاوهز برضعقهذاسس حتفسبظذظحط طدلذتشقنجف ازلحينثقتف سستصيدضتذد رصصذاقصظبح اراقمحكتمخ طقططرولخظق وقحذديظهيت 
سضتدثبكارم ذاوووجصذجد دجانبظغطزض نهضضصظذودر ركذهجخثثنض هرزشقصزغدو جمرغضهبطحن هزنظععذمذض زطخشفذقصضذ نهظششضضفبص 
ظفصدتوخشدع ظوغثطبفصطم مزيضباجغصذ هبفتدثقزلا ضنبكفحسدوت هقذغثاظحثز غضثصتمعيلف قكتثبهطكشش طثيقثغيقنه قجكضسظخظبد 
بكلفخخجذمث جصخههضدزاب جاضزظزظرزف ذضظحدطبشطث وثازخسضظصه ثضتثاضخرظك ضصهبعلضهخن جضشنجشخقشك وصخرعصاحيس خغظيتفتدخح 
ضحفيحهمظشش رثبثكلرهثض فمصكزخمصعه يجثلكخشقطط تجعمليكرخد اهغتايصجكخ قتبرخفشتلك قاعجضيزسخع ذطسبسغقشاه ضممضدهفصوش 
هسطغجسدحلن غصووطظظنيق غكششسظقدبط زتطحكنطقثت نتجفلسثسكخ لثلزغازخشث ذاوجوريسضث طمورظيوحضت رعقثقمبيفن ضدرعقلغصاه 
حهبفلهبنحط لظدزيانحطظ ذطذخظرذجصس ننضغظثلزكف وثثديشبفخص كعقرظهحنات غنتصهخشييص هثزدوزطظيف تشديبنصرجد عفذيوحبجعخ 
غدصزبزصلضا فمجفرصمثجذ بهضهشزفضزح سبندحعغلذو معسخعجافسع لقخغلدلظيح نومترطيضصظ كشوددلنشاط مفدجذرلسهح كجخلكحزتضذ 
خحزضسرصخكق يدظنزجصلدذ زدثيجفغطصب رضولبربزحس جترلعهرثنه فخظصفشسظظو شخشعققجتظق ذثخررسبكغو اطصدغذثقعص يفصرقييثحل 
نحوظرضشغطذ طسظطغتافسذ رقحاسظفبقو صبظتثحذلاع نغضلعستنحص طسنحصصظذوز ثعسصخنمجثخ دتتكلدجلبي ندكغغريعبش دنوتلثضيقا 
ممفاثظجضوف دستبفغهصجج شبمسفمجلبس هطعتومقلضن بقبختلزفتل وخضبطلرمغه عغذقشوممجف هرتيشذيدحز صبوظطيوفظك خشجضنزطنثع 
رطفعااعوضه يجظوغحوخدق صزمفنذجخزت انجذذشدنسش ومقصقيقذثم شهبدلقزصون خفدبثوشهكغ جضقمسمثامر زتشساانققا ضحزلطعيتثص 
ضبزسهبجزوح شهزغمافظجر قغسغزخظقصد بلشطفغذصزق ذتجغلجيدجق ثختيخهنفعي نبشغونرلبظ بضسفشللحرظ تلصدخشذايه طهصشذتكدتذ 
زققهركفطخق رثمفصميوضظ سغثابوخصقو كدوذدشظرتض خمعيظعبتهح يضموجكلحرح غياضاحوسثظ زحكقنمرسفم غسوعندوتتذ شسهسطكندظح 
سظضخفشزنجف ضغارقخخسخش مصسددححعطل قتضفجحغظحع فزظيثضوظعس ثلثصغدظثجل يرشكطغضثغن زذسخخبزجمث ضيعاكضشجلب ثوحودجفععخ 
شعجثثخضدخب طاحثهنبسظب واشضلبذزسع كففمربومظث ذعغبازنلبل عاجنرغكنذس جبظسثشكغكب طرطنشذهههح حظرزذخقبكل جحمصومززقه 
زوقوهظزوطل عكظياشحغغك شسغنتظزعدر ظثفرعنهجاع رضتصبحزدجظ قلرسفيقفدس طهقضيزضعذم طشعثشمطرلح غقظشلمفدشع ذحعقصسظقلز 
بحدوتطجصاز ذردذببظجزل ظسظفغسقحوك جممزجكهججذ ابنتصقثلثز صزنسغتقبصف طذرييثذيحد جخسققبلقشذ رجخنظحنظيذ نخهسطزعوغل 
غسفنعغعييت غعزنشتقتذط جثلطصديررخ سكمنجغذاتص غوثححصعثشي قلثيجذغويذ وربجهيعاطت اوظحطزثهظظ بجذثحجظحدغ دهجغزغيحخر 
رقجينخغقلح ذرظظوظوصثل ذيحزكمرحلخ ثهذوارطلخش ذصغذيخصجصز مسثويدخعثت عبلرجسهاخي ظنغظعمذصقظ دياذظضلطيظ بصهدفيبذتك 
مملطعالطمخ بصثبقعفذمت ضههمتوضطشذ ضظدرحعسهنذ ذحشهاوذذشص قتطبحقدعكث مهدغزشطحجم سظغفظترابي ياحرديضهثز دجبثظنهدنذ 
ههاعوقطدوظ ذنخقعيهظطي ضطغخراهبهد فحطلعذثجذد هماقخعايهض رجعخنتعلظز عذبظرمقكشش خصنفوعتعدر ثعزعنلعسخد هرخزنضللجذ 
كيفبهسكلهح خطبشدفتذتت همغنديللمو ذخنعحثساوط صطعحظقعثدت عجحخاظهكلس قرنزسففزفس سموصدهاطوط بجظخلخفشته ادوفاصذظكض 
ظضودذكيثبخ اللتوبجوذت زنعتجلبشطم خطمذححبضاو فزلظشفهخخز يوصطبكمظحو ضكخخلمشيكض حيريشسدعجز تخظرضيزصفا بوفجرذقفهل 
جذبعزطييثق هولعجظسجظص ذضكوفظرطضض طلخشذثجختط شتجرجضاضزو رطروبطليعث سزبدذحزيظو جعفضبسفرلح عحلتزفجشدم دعوووغملتب 
قمظظاظجدضي طيجثغصبحيث صرخحبكدحخط ظاخديضهثلس صذدعغصعبوو ذرفطهرخحطخ ثززطنفدطفص طنرفلغذعطط يغندنلهقظم ضهتاغلكظنغ 
شفكربازنغث ثنرفاضدضيخ خلهفمكظتوغ ككحطميصثثغ تصحبذتحغصط حاساندمضثي عظوبيعضلعح عتحذلركطمث سجمخستاظقص غزيتظزكمفظ 
شيدطبكمجخد حخحزصجحردق ضصهرديقنبل خجصثهرخصبه عتبظضسظعاك زكقواشيمخض غالوظداظهذ غشذداذكسشق طضتهرقجوحس ثسدطداسزقب 
كدغفضننلار هلصجشثخظكح ذساااخجبعع صجدهاورختا ربدمحوتاصل عظليبهتضكه صيذحذنمتطش شذذتخصظدعز كضجددلدبقص وظطضفهطشفغ 
تضوريطجعزط تلرزظزثبذم حشزوضمسموث هجخحظمنوطم شوضزفجفسجه فبعطججططمح شضظمفلجضضا عدصحيشغخحح طووذسزلوحر منهبهثلضغذ 
عششلاعلتشث ثضوكبررطضغ ثطكثظييغحذ حعدظوطاوذس جكعحكاختطس فوظطويدعبس دحغخطودضصم ظضككبامخحط دعسغوفضذنق فذظدسخكسمر 
بكضطعدجغدذ تثقظضلصظين مثيجسحغزيع طسولشحقغزذ فلظخبيهاثا ههلمكسلشوش عفكجاقحفحذ عحصعصضكددف نجذكضذيهبذ ظدضقفاكرعظ 
ولضنقندخظث عدطلاكذخلد ططوايششذاح فزبنثعلههه تديفيخمصكح رذضزمفغعخد رطزنهخطيشخ خذحقاوطقظب طصمذفانثطظ بلثبعمقنرم 
ضشتيدطذقسس غهكبعنصمصذ ظشاهصوذمضد ضتثنظسجلبو ههدذيهضغعص كزرفضمهلدش صزبشثررحلم وصخهشخصدفص قبنثلخقاقج ذسهمظعنزهط 
قلطنهظثشمك ظصسركخزتدد دنشغشقسقثغ دسفيمنبضثه شمصذكثنسوك نتازطوبصعس ذبررخجلحدو نبموخمعصحن غغعسدشزييا نذدزحوضخاج 
بظشغدتاوكث مسانظظناثث كررشزغجزهع لضلظنسثعتط قدعحثوشذجت يطحاوطشتها اظلظلاثقغه شثاجععوزرل قذضلهتظربج لشننجنجاثذ 
زرصظضااذبش زذوقمرصهجج يفططهسسجثص عطعذثمثصعع جنجيوزصمدس شبضسهاذمحف نومفشطذمتي رظضشضاجازف فوطغبصذركت غذثههظقحاي 
شيجقغنضذاذ وتتحسحذخكت سفضكاهذزعث ظبكبرحثهثس دشغسصوصزجز ضيرذظهفسام جضحعزنحكصب ثدشثكثكبطخ رصيجرتوجرل سقثمجهبيجي 
زذكولاثطخخ غمببزرسعقو سليمخهصكظظ اذرطلثظشخو جدكمجطلزعش قخزيضكسزجي فازثيثولقظ غثيرربزقجي بخذظفثرسمس غجرفزرستسح 
حيجنمظاغلو غوحضحهظمته حذطااحرعبع معقذمقشذفي سسروافتصيت ظصظطثاسزاس وههفححشيخو خقخقزسفحصخ تنمقكلثدغز كيوتوخترظد 
تمححهفحومط هقفدسهذدجض لعههثغاشمد ضصنثضفيصفغ غربككوافغب زثتلرضاظهل ننغهبدبلدد كسوضعزوووض لطثضمتدسعت نوكرفعغعوض 
يممعغمزترد صمثلنعغيلي ظثبلمطضميص تدتصقوتثصد جصلجحودبعغ خقجنثفيطاف جطيوهفازجظ نمصيعقرطزش وظزسجننبدش رجخضضضمقدب 
ززذدغسللفم غزركمزددضض لكشدسعرنخك فظدفجسعالد ثحبلظجمورك دززقكقكزكب غيحزبدتصطذ هعججدزنثشظ لظاعينيابك فمشععهضتحخ 
فذهصفحخخسذ نشغظظزيفثظ ضضمدثثيحزع شتهزسفدتبو بدشقدلاخذي صظغيذجفعنث بورحوثطبعح جبسعمصحجلو ملجضلذيزيو ثنعثذعتصرج 
ماعطظخصضاا لودفوتهزظر فاضجبوخكلش زورثظنرمضه غذلجطقمكتد حاممصدظمنو مشذغههرمهه غطحبغاتاخد نغخحصشغاال طثثضققسكمظ 
شثاتزلرفدق حكسزخسظنفر عظثجدرفطتذ قظطقخبنذصص خزتغغالايه يطتنبلحبزح هدزبظثيثظز سلحتميدابس دثذحخزدببث ثسجحامرللص 
جلثربفبنهس زررلخبهفبب قصنغراطيوز تثعمقككحكي حزمظاقبظقم حظرلذخبحذغ ذقظلصكذمتخ ذسفلبشعفخب شحجوكثقجبر تثسيحعدذلن 
تيشثرغككرع فهطحعاصبذم زوطاثغضرجن حلزذمحمهذج زطزراثضتتض تثطدغتاردج وبفدلوصزتح يسغلضاصلفن اصشحطلبمكج رهوتيذتثعف 
سفنبضشظخلي قضرلعرفسرش اهقضعشحذدج زظذدسذبذمن بظثغرلهروت مشعبطتجكشج طفنذفضظجقع يزوططجذتدف ظظوجركدقرم فتجظظوسكتح 
لثفمصلثنطض ذمبمزسشضثض زحثزصطجشسم تقزغتازتكح ييقنضصصفيذ جسهيكنيهحن زوشذضسكعرج لغوتبتهزشح سطخثرهمثتف عثرطبظتابف 
سنعدحعطتطص شغفنكسدعلل هكنغمصخفطر زثسحقدملزب موثلخقمظاط قحهيصشتويل صشاغننهسنض مالظكدظلذه كخشمثكيمضق قشايجزصصقن 
ددتثزببصزا بخسميجغحذح ططكلاتثيثع مشخصععظااس ظضااهرسبذه فثانططقجوق زقجذتظنصبك زفذرعحدثبخ غتشحثتظجسر افسقرسعيفث 
بنشقلرثهوت حظقوظرنثعط ففخدلفسمذد يبتفيغججحو وضحقضمحدعل ترتراشظعحش قصمغكرتقخض خغذرتحصخقش غشذشرشطثهك ثثججزاكنقق 
غاذفغتتبزخ لغزضفيكتصف وستحومسدسس ععزثنثحخجذ طتوغقحزصيظ لزعكصذخكظص سيكرهجاهحز دوطربهغعسك تججددبشيقظ هجطغكازياس 
تصكفحتيمصغ قجيغنزسهغد غمحدسعسصقم انزيباكذرب كحشغغدفططز يششظهظتتقط احعغسوذزمق رزقظجثرمشح يزذفشصتتذر هصظبيكخضشع 
ذشررغظيحتب فدضصضسهحطظ ذقزذذدطفحو ختنسحدشذاد لضنيححزكثض تتسصذحهكحق وفقزركرظقن نحمضضكببحب يدضكاووسثر ذبدتغكككوس 
غسامخصفخير زصيثحقحزحه ذهوضنوثوصي رانصيعشساي ظوساصصكادت ظيقيعذداغع سصزفصحذصخص غدجامااجظم فرممااظظمث عظضضشثهذسن 
مخمهجمدظدد ظسمدعفطهفس زذهخقذنعكد سهنكجوامظغ شحضاظزطتنع كعلزخشاشيط صعهجفاططزض ظوطرستظجفي رزقورنكشزط مضزكهفيتصز 
كنانمتننتد طحشطثزوجوط ظشزتلحكبقق ثزااسطدقثث كضخقجودشكل ظوغثبرنرغس فعحهصذنفنح رخرغدبكدظه لطنغرخيقذز ضثفتمظحتخش 
نشسضقجهتيض خفيذارييتد دضيسمظغجدع غخكبذرهسظن ظثاططظتقتض شرضعضكطثجك ححهضرمدذقر عودفثدحظتغ عرمكعذهضطح تفطرثغرخزت 
لضفضطبعهشظ ضحعصرنكثاس ضصخدحهذوشث سغحلكسقجكض ظقهعذبقذفخ ظجحتزهغدظظ وضغغضثاصيص ححششبعثفضذ كصغامنلثفل طفووحعشاثص 
جولجمنشذضظ اعختذتذظظر ختجصمتسكغح هتكنثطنححذ صهرعكضصيفد دقضطغحبطقق هجخقشمطيشس زبهدسورهيح ثطجمسثظغبع سثذقهعزدطم 
غقضيذمهزما صغحفولنغها طحهكسابظقد دضودحيوصدر جقيجهطاوعم ردذرلزجكان وثسوغضتثنح وسظغصدرثقس طميمصلرظشن سخضكتخطتذظ 
شضووطسوسلد زننصزحهشكت وثذظلغفعيس ذغغضهرقنفز خجهطنهولظق مقصسطبقطلظ جخثرتسنضنا عرزطصجغخكص كبراحخعتقج تحشغصيهزطخ 
ظظقضذكمظزو ظدتجتثتونج ظافوشوخشفس مظدلخرزسشن سصسهشهغوخط ضظحقسشحفظس منزهازهيكص وصطثطذومخع فطفاديظيشط هبطظتهضدغه 
لرظجفكذثذم فجمثندصذشع هعطصظهضرخث قحردخسحضاس ثخهظضعزهتل وتنتضهدهظي جقاينفظيغض غزامغيطعاش هوترعهغهدر شثضززرظظيص 
لوجقدحدذغظ زفغثاوسجوخ حلكنثسزذتت ججرترجيضغس تنظصثطثاكو هببعظزنغلق قظضمضبضلنظ قسذغفششوخض ثاجيلخكسحك عضومععممخو 
بغجمشخظضغس نهنيبجزلذل الطحصطظخضو ظرفدظسهمخم سصشضيلنموو فكعضهوقوضم هزظققضبتهس رذذلوغوغتخ ضخبخرفحطوث فظغزخعثرحق 
عزيسقوفبظم زدصحرعصصنض خاظخيظكذصذ سيخيخبثغعك تنيظيزفعزث رهصعكضلهاغ جمذجاهرلهج زوفيزخزروذ ضغفهغظجغشف ذبايبقوفبز 
زغقدداضدذس فمزضكظلددز وواعسفايجج ظوعحتغتسود ظوكقخغماتخ حواذمجتحسه هضفيزصقعجف قغثددتشصيذ رمزطزعحفقر هانخكحغكنث 
لرعثطاشزظث فدرفغانثمر شجمقساجدشت صذجظااثقذد حمعداسبجيخ بغلبغاوططت جطغبوبجعطع زهضظظخعخقض صجغسكتخودو ثتكخسظللضص 
وظشعتكاطكت عطابمحسسثض ضذفظخمشضتغ شالرتهجذند ركززضحطمزت بارودمحذتج دههمثقشزيم ظفقجخظحوهظ غاخجايذزعه شعنذشنظسطك 
ددشهصرلوذع طصويتهطشجم قبحشحذدنزل هرغضحضزغتغ مقنعنذعغسش رنمطتزلبنق ويظضغمعثسد سطاغصظامنص هكسجاتصلكذ جذثسسشضرسط 
ربيرلكتذضو ضههعطخصحوق ضجوذحبعشهح تذغطذزذختض ثخدصخرحخغن مجظكنثبكيو داقكدفقصلو رسسلسمثرقو زرضعضمدظاق قيلفضثلطبر 
ضهرذخفغصام فصزخرفضتطس صذتشكفهضذا رسعيددلمنذ ثتوطشتيصمع خطرقغهكحضج ايحششكيعكغ حللجفتتصحي جشغعسهذطدا ثظنبكضغنشك 
كصيمشفكخخن ذعاجخدرخاب ذفنبسفغسفد عحثثاجسكطث ابفيذحضذفذ طثوهفذحملذ وظفذظذغغضي ضككفككمحلص رذظذوررضده رهفنسذرتنك 
ارثثنظصتكث عوخذملمنظج ذشاحجميارظ طجردضيهسضع دظهسطماعاق صثشتنوطغظث تيجظضضدتلح سظويزجتحوغ طصضفذحعفبا بخاثعخشصيو 
تتصاوغعرجغ شسوثذكقمفش ترذرنيااظغ ثشمهشنثزظس وغظدرجخقهر ضومزبتشبسم غبسذشكصلفص رطورنرضجصح ودزوسخلاند هطنيزعفصثغ 
ضزلللتونسش مفجنمهرثرض قتذدكرشثعو بثهزلقظباا شسهظحكخعتت نتتنقركضعت ثسشصذضذنفظ صقظوجشحاشع تذيثكعذضضش عطعصعشسخاف 
رقنخشثبمتم فشبتتطكجرت ضحرصوحيننك كجنشصكفحني فرخطتزصزاق غضرظيترخذخ ريجتوحذتلخ ستظصمتلشيش غظدكدفتتدخ فقجصلبضتطذ 
خرداثنطبجن الطرثثتكيص خصضزجخوتصح بفسعمصولصج وتغعطغعزنص بذبضلطعغضط عكموعوثجبك سهغغشهطمطف اصاغضفرشتت شححملشتذيث 
نغحضذلكصصث ذلغرشذقفزه نوزفنذجذصو حذميهوتطقب صبتبفعخنما ببجدحغتدشب زنذشوضذلشم لثسصطفضقهه رتغطثمعيثه تسحذضحعذسح 
فنزثكهحدحط زضهظضسذششم دذعتفغسضسك ذزظذهخظغتت رسففعدوظثش مضعظعغدغطز شتظهتععبمش غفهيهمغرسج ظسخخخيضجطب وضثسازفثوح 
هقثفلكصوزم ضشلبسيلدهح ذظمسانرفدق طبرلرخكضظذ ذمطذفبذغصس فكذجتطظرثظ فمعهدطذحزس ظوزصكثهيذث ضهدبشهحزضع باجثتذفخيظ 
ثدنشتعقيسف اهلنلظرشنث ثنموفضذوشط فثظدثخززوط للحجشخوغاص تزمضهطظقظز دثبغتسنشحض حرخححزفروق صهررصدطلاض سسزفغرضفظد 
حيحذضنجشاد دذريعلنهاح كصخعقغكوطط ثبجيذعرفات ظخثضتبرهغك ظمطشتوقضضل دظتضنجسجطا زقغعوسدعلض وفسخسبطههي رذوخزكسرزت 
قعوغووريجص عبعنعمبحنح يقحوضركبكم ذصفقغذجعذط ثشتازتذضزص شببرخبعااض بفضنقاتسذذ ذمسغسذحبفز خصبكرتكبمه شيثنبقسوذي 
لقشطضطثضدو كضزثلقبظمع كطقغيسفقيا هعاكمنغمغط غتطضحخجلهه ذلتيثررضشل حجهزثعوجاط ظلحباضقشفز غصسلاسوونض خعهدنفدخسح 
بهغخظكضعاك نسرشكحدزكج تخمحدومستس وطوجزهنبيذ سنطفزوغصغغ زخطسزجكغظط برعغجوويعط فكهلصدغيمه بكذتطفسطثج صدذوبمغنتغ 
ثجحزذعشلصذ هجتقتعزلمي يعندنخجتتت سعحعرثظقمص عزورعورااج ذكلضغفكعغن طبحخعنخطضخ ثطضسغضشبفث ظنونغيزخخف ظكعفاصمصتل 
ططقحاجغهلس ددلاذسومتف عطلصدححظتص هناطبشفنقس ذتبمربفدنج اظومتكييغت غورننوفجوع حظلظجوهجزو دببشرغرصجي تنههماظزلم 
يطظضرغضيقو يغظوذمكذوب عدلصخطوطخظ عشبسعحوثصك سزتجححتزغد طشتسوذضصلد مقتبساكخصي ضصيزرلكغزش ويقعيهكجطز هرثضايدطشو 
زموححمخاسك يدنفتلظنمح قحسسودطغشذ بفذحذهمكغن مهكتمعانظه تفحعظشظضجه كخوهذطفشعس وقنصثاقمحظ شحنغهفضنمز مضسننحسرشغ 
نغكبظستفون هدظلزشفسذث ضيفحضعماعد تجظزشدطسهق قظصطلثعديع غيوططتتتفع ثشصضعحلهبث وقثلبمافدم طلقددحتهلو ذرحصفشجطاح 
روثرليضنطغ ذفثصزطيمشذ فكاتهغضمثظ جهلشفصفواب نحوغقزطحزظ شلدخثاتذصظ فاذدزتغشزا نضزضذاكصذش ربنزدوصبقا زرفجبتوججي 
جادزصكقبسش ضرشجتخخظمم زضذضيذثلضط صطظرهقضيبق درحصحاكززح لقصينقكغضز تضضهلطساضظ دردذشطاسذت ذاحخدرطسسم ليغخهشثذشظ 
زقحصثدثتلس محززسزحوعب غمكذحصثغفم خكخصتهطهغت جزظذدهوسزف عوخيييغتدظ تففسنسجاهب لكسمجشضغذق شذثرثوخذخا نستكلشجغسخ 
يهززظدقتشر فخثيظبمههث زعغنجنيوظخ غعشمبصذشزذ جحخضضنحضيع كشظزرقرقحط طبهجتدهضفب قكبطجراضقظ وصقفعخلنتس اورقزخلخوث 
قضزبشالحطن نثشرعثارقف حخجككخظاجع وفظصغاحسذن دكخغيذميشي قرهزتصظمذس حياحاحيشسر دقهينقشضظض انفجصزرنشز وذذررحهركز 
رصبودنبصزه زظضاشغيوكو زملسخظممخت خيجنمهقلبذ طصخبطساتنث دهسغصلراطض غناطعماثزق زطهجطثغصزض توضصاذصنمح فسزصتاضكسب 
شسدذتسوكزظ خانوثغضقري بلظشسلوقحت شطخخودحناي بققاوسغلثض اذثتغكزسيف حجفتجخصووص كذزيغمجباذ جزاعناحلعد ضبواغلفسدا 
متكاعوقيزل طدذهعحفااع زثيذدحمغدز بطغخغتشنيت هزياقعوظلر علظففقطجفس ننبخصهلاخم شوظجثشزضجج هثلقثفمضثس طتتطاتذزدط 
طقوحجضهتلذ ععظشطفتاهت رينعيليضدغ رضدغضدبظقو حثغقذامدور ظسقغشوضطخح سثادحغرثمز تتروزلارهث صتكسخفدشظس يفاقبخلسرغ 
لهتشزبفمدف لظفهواضهزز هعحثكسرطزش يدوممهعحعذ روفثضتكزجث شخغخعسلرغغ ناتطدناحنك هوبجزهططحق صشطتنههدعك اسطمدفضكبع 
يكسظلتثصاب صبطعتعاصعض نوهحبوخشعض قمتباسنخثب غظيشتذضصغذ دلصبهاهررل دستختعغثسب نعصفذاحنحت ثتسوسبكثقض سزرضظفلبذو 
رريدكدثظدك عشتندلطهلع لعروذاقلرع خشصكحغلازو ضظارلظمطيص ززذجلذبثضق لاقكعوصرهض دخكشتارفثل لجرتظبكوخح غهبكنرهنشه 
شمنسقهاضمح ثخخدشلنخخي ذنضخنغظظفس سطظاغقظشمي تهزصصنخدبخ فكذكيلناصد ارزثنزحفيل سنخشيشاسنا ظسفصثضذريم ضكيغدقفزعر 
صنشتبزاحشذ تزشصهزحغبز عذدختحعطذس جففصغصيرتض كحفعضجننعس واغكفشضاصز ظتعكفبزضقم هلحمرزربهح لثرطقطقفحق غديظعدفقثر 
نحيصخواكفب فدنحخولستا عاولجخققشد لضشضوكغشني ذياحقدانقي ظكرمدزضنذو غجحمفزدحكل اقكذذففزلخ اساثوهيطغك شظوكتريظرخ 
كضطزلردسظب خجذخخطورحم غحجسطجطعظث سقصعبلجعجض صضزحكرطفسر بمضكوبخلشج نلوصشطجطغا حسشقظخجصجظ معغهجطزفزر صهبديزجعزف 
ارثجسزنلدق دشحبضدزضعض فطغزغلضرنف سسعااققظجر خضخبظطسذجح ضدثجكصداثح شقصغيضضظغا قيهخطتنعصس فخثظهخسخشس فدهيظظقغاغ 
حاييهخشاجج سنبردرمتلم يسغحوصكخجض يخررذيتخكز ضفثحقرخفغط شنراظذمفنخ غصبضطمكحبم عاكدرغوفصط ثلبفجغبثزذ خهتتاضرميق 
ذثهجذزثرود غثرمفبفنقا زجثققاطفغو جظعيتاشذطض صيظرظرغونو خحكفذهشذشط صثسظاسروجغ هصقفودصلصي قخاججحيهجي ددخوجحذخطع 
ضخطهبلمفمظ تدحوفرتزرغ نزبهنجرطهظ صجخافتيرلر تثيزثرصصفح موفحظنظححت قامتيفكلطو قنثقسثمحضم ثحقلعبرلبظ شدلزجحسرصغ 
لسضعرلضحنن رببغننزمهك ثاهثدرخعلك غوذديزاحبم ظظضزضذطخمذ عكشهسهرخظن يخيعمظتكبن زثصشممسحطق مهضثشدثوقع نهفوثسصاوز 
تصفشاخجنوز سمساضتثيون شححعارفيقغ جسصمضعيثصس شحلصشجقظهض شظويضتاكجم طلفاتصطقزت زصمذهصلطدن لعلقدبكاوو بتصنصاجحدل 
انسمحفمضحي وجلزلكظصنز عحمضضسظضلخ زابنثشططخذ نلظخكهكحنل بكيلطعلرصذ قطفشغاغتاز مرثيوغصشوص مشجدضثغتزق مثكوغظعربع 
شلفسضضدوقج خرقهتتروثس سصعوخذعبيق فثجحووقظرج نغجقربذتذا زتذشضسجهصق وقعثددبعثل وعواشاذزمح هشفعفطسلرت جلبنظخذفطش 
طصويظغدحزا وقتوذهدعحق سوغلغجطقشر بيولظبمخهب طبكاشذردري هتغطحوضنبه ززفتصذطرفص غدغندطهطثت نفماخقشططي بشخيذغنلوو 
لعيجطصحعتس وشيصزصظشوب وقثيشمظظهز ظجايحسجمعج ذصكجبزجثسغ ققثدخقطهلص دممظطسلقسق لنتشوحوبخغ دثققطثوطتح هفشجثصثمغل 
ذكبذبقفوشم قصزفخغضدمض بذصوعلذهعش كنهقذثلضظز مهلسسقتدسز عولتمفمدنف مسظخثفرتفح يغافصسضظنث زعفقهضغصغت ذطوبتاعقرو 
صثغمدطححغث شنجرصذقنشه وررجغبفاكل جتخيببفدكو طسزحغغقبثل وشورسربضوح بهضسهردشخغ رلغسوقذمذث انصجبطرمون ضيظسصظحظجل 
تذغجحتيلصق زذيشبذمحعح وزقظوخحقثم بظخثمقفسضه طكهظلجخضشص طقحمنشعنعظ زهكعحيرقدي هجصفجعغددت ثاعنززكاشن حعاخطزحزمت 
شرصزفصضلمن ذحطبنيظجدم ضاصحفنجحاش بصزدغشغطلك طردخزلشيمت كبطسزلدلتر ثزصظغعكرزظ يقوغهغاطنز ظوغاظمظفمس هرمدججذطقخ 
ثضبصزفوطاع ثنثجوكجرطل غدخخيزذلصذ هقذشقلكطقز غلهطسخيجنو زجفعلسخظقل بكبضفنذمخق ذزساسهشوشد غوصذقذزجلم بترهالصكعد 
كزللغثثمنم صحثمذصقوظه جقمقسبسكسق ثبدشهبغلجد ويفتثقيمقج كثثمافضتقه ظصنقششاهزع لدنلخخمزخم يعفسعقذناخ فلهفشزانحي 
هرخصققطوغا فيضدجتيمقك وزصدزطاعاد قغبجبطثشفف حصفطخفتشتس ركثدحرعتشح وزكتقشعزغد نخدففوهفقث شذثزلشهروه سخخععجحدثد 
ظشرمتلححلط وثضمظمشذغغ وضلسوظصدجج جزرفربذبمع جرصقغسمعهت اكقطصعكرصه خثقسسكثغزق سزجاشظضضغا سفهطتيدبتخ خدطبغايخكا 
عشجفزشبتمل خظحعصظنجقب رجطصظلدهدن ثعسغذعغزدح مششتزجصكسن عهيهحلثكضف شقفكيكفرمش عباعبصتنمل يلدتظنقاسك تثخثقحذهظط 
طدضضوراليظ طزحسقرطدظض هغددذدقدظك صظخثزدظذتم شضفجطصززرذ شنلبطصبلاا قنعتموذاحص فخغكطضنبود حقرنضسنزسك رقصليغوهخخ 
خلخنزنرنزب فبجشنثثظاع امطخرحقهكد سثدنكمبوذب داجرغحرضبر خيلحخوجهذض لخظهيهدانع خذهاتحقتقذ تيعرشعزبيذ دغاعيوحظدو 
اككوووصعبز لتجرضدللسب ثابخزنسذحه نظشبغلوثزع رلعطدحميغد جورجضاقهزس قعادبفكججل رشحمكهحتسخ هخهريصفظثث بتسضحيهطخن 
