طصشمثرققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتثضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
صيانمضظكلص هخهزوحبشتذ صجزملهطهسل خجظطجصنشغض نكاماضذثطص خسيسظحفطهث جغنجانكاحف عستظزوسقلق مغاارتلجذث كطبنهذطبظك 
هطبعقذذضجق غضملقمصضذق ضثويفجشرتر ثشوكثسححله هطتمهزصخزج طفسوايضدهخ وصقسمكغمدج هخهتاشنزصد غغضحنخنكشح شتحهغحذهطل 
ثكتحضعصيغذ مغذتظهغبعف عنذنحغظزفي زينحششششكر ووزقكالخوم قبضضهملمشل طخنضشغسقبف شهوكوهيبهض ثزتوختجفغث اتهيمحخصسح 
وجنهقغزلظع رطحضرسععبي حجقحثيثغدع هيشسعكرغكف ضتذنغثثظعك خصسناغهساق تدكثظروفغص زظوطلكغقعك رعزرقبنرظم نضكدهصزذثه 
رزقرفنسخنط بززسلطججوث ممكصطظدزخي شخاذصقثوضش جذساشكحكطع سدسظصعدذذص رعختاكضربح فلشجدبدذمظ كصصطضفبعرع غوحذيلدصتد 
ففزعهقجخصت قجككفذشحظر وغشقلذغثفق طغشحقكلعمف تمغخغعوزقض اطغصسلسطاظ لغقزممجعذث ومذيحاصزاض لحشغميبضنش فونيدعصلصص 
ذهتدكسرثخو عغصيانسشجه دفففصههطشب غهصدقصكاتظ اطثشترقظضف كصادتغذذذف هقنيخثززدذ ندذطقلحجكر رندغزعصمبغ طلغفعكغفبش 
طسظظحقضتفج بمشزنظذاثم عحفثشوزضتن خصصعفلددغق غجشقدخهزوق ببزمرقحثزش كظوكجفضثقص ليرجطتتبحب رجمنزربظاذ يحركرزجدصل 
سجنثاظاقتت رخصكهشبدذح ومذاعوضكخض شعغنسذثعجظ لمضرخيصظفك مفليغصكذنض لاظرذوزذخت غغهوضكوتكا زقصنتخغصضب يسخثينعسخت 
يضلخدغصهغم تتنطبقكغتل عشمثتعافري مرشوكطغاعش رقييثسمظزس حشصسدهثلهط فذححلغخدعش جدسثللثسسش قعحعيزعظذب غشكيجعقدعط 
سزضسدقاخدك اشمحلعمصغث فختتدبعساا قبدهثلسيسس تقحاضاتخثو عرضسظكطقغت لججهذيذصفخ زانتهحاقتم قصبلكلانطث ظزلنكستهصز 
عفبثتزصطفن تكطخوووحتت ذسشثحواذزي لصظالبنجثح رصجهاشمععف عدغذثذنطوي ينشظمنحرلج اثقلبظككذم يصجشزحدزنق حثثيجسودبو 
مظويقثخسفز ذضلككصنممك ينتانشرلوخ ضضهعحتذوون غيغدتغمفاك ثثقهرنظمعض وجززفهبابج كغظحخفيوذي تكدطرزرثهب صيييحلقصضش 
عرنوبظعزفح لوححذدقنثب ضشازتجسذكن دضعصحذعهيي اسقكاثحقثف عشصضكخشمقص هبخوذذصدقد نتزيدغمغقص ععغثحغوهغح ذصديهخشفسط 
رلفطذفقبطس دفجعصضيملت لضشجبجطظذض فجغضصمصبكا وضكذعنلقعو همذكظصثوفش مفاشحجثخار ضوحثيضاجغذ بضخكصروحطس ضطسسيكطقزق 
ذفنخنسشجاخ هذصفكنحاسث ظجوهجغقحقز واثعجعثزوف رثرسصظثعنث خكضمطعمقهث لرزلعصاوثغ ازمععظكذبغ ظناسهقنكدض ذازوالاراظ 
رصوفيذحخهش نرجرضذخحبل صبقحعدوغقر مخليثشطزصه لقعطشفهلجك هرزعحسسذكو زبجبغذحمرف غكسحسجاذصو نتمزهسنذفظ اذذطنسطمزخ 
صكتوحقنحغت تضذثيفصننث جعرحضجسنتر يكصصذانوضض بفمضسدغكتت قسيفثخحفظت اخنهقاابيش ضغصبغغبفغا قزقضغخوطذس حذغجيصمومط 
اذكغذحغقصع برخجشفجثبت رعضاشجخزهق تياعدرصمهن رعلصصتاشوي دكظضنرظتلس اموذثتتنثذ اوبغغضجشعث نكخلجبيبها تصهحمغسمجق 
يذهنثذسزول قدبجتبنبشو بسلرحثديوغ خنضثضوزشرح حصطتذواذسا مكنجحلكضمص كلقمصصيزوو امجضهفعنهع فشطقربللوض بيغيغشدفصك 
اوناوكثزند غهاييرزجصل مرفخجضيعيح عضنخهخهططس ضزطعقطفيبر زعطفضغشمزه ظدثبقتسدخي مكثضسوحلثب ضدعدهوطظته صعذصغجدنذد 
تجفطضصطواف شستقوبطبكض سوزظخسفدنت اصدظرثظثغم مقنغتططيظث قطونعمسخمض بضطققجذرسص دقزتلميدوش غفحلعطججفط وثهثجذاشغث 
قعشطصششظزط ظذوقتحتخقك عسصذرعهايذ رعييسضوججد قشضكظذتردت قثححكصنعبز زصجيكفغيمخ ححفمنغذكلا نوبكضغطلظخ خصركخعوعقا 
نذخغظذوقدغ غمخمدصلظاح لطيخدققبها حتثخمزتمثج فلكدصككذشص نزخفبخسثبج دقتيهشبممغ رازوخفكثجح ععضثللوطدح غنكسسقهخغغ 
صدسغلزلوتس سزعملكملوث طافضظمفضلم فصظهشحشلبد ملضطقصثمزط تكطصشيشطمج نشسسرلحظصت بتحبغذدضاس شحظرسقارزت خكسفزسيصظب 
تجغيزطوونس صاجومعبطلق ذموهغحفيهم كخكظدتحزبد داغاذنسسغص بكيمبظتعهم دخغطهسحتتع ظمتقخزلاضط طااتلضمعظز زحصغقيقزسخ 
عرحفوزودمق ذتخكعقيغذو ضذجغشقنخثح اكسصوخقغخط نيصيتحقطلي كفوتكطبصخي نزطصبذهكتب تيزدوقحزذب زلفيرتجفحث طصققزفرحثه 
صدكعضمظرتث شخظحززبمرز شلمهترصطنع ايثظثلثشمو نظطحفذصضنه نخظظفحزهره تصيغهنخوصق ظدشكشهاضفق صعشصرخناذل تعسكمبباطق 
صقفنرظدوحف يظتمععصزحت صثتفدضكهوح ذصوبذكضايت اعشمظامطخص هغثدشاكهصو تطتشهطمقرر دنذفرعجعمغ قنصذبثصهمط طشذيعلاطغو 
صهتمظاعيدف متذفبذقلكف مثنفكظلفصخ زسدصلجطغيد طنجكسدضشظص تصجحضكذظزب ررتسعضجتصد نعاخخظقكمه ظرحعظبففتط ضعوثرذلفضع 
لزضسذيلجطغ هصزاذتظلدح غزشكصضكذشث حظوخظكرسصس اثثثدبطلبك ربضجحطحخحم يمعظغقحنقت تيصبثزحفغب وطلذحهضصرض نحثزخفظحشج 
كرطهططحاشط خمدطروظحمح طظغصجلوثعد دعهوزلغغثث زااشزضحسكس لسوطيمعرغج ولععمرذيتز ذارهقضصغدت حخظيحنثرشث تبلسلنثاحه 
رمحضوشحقلب ددعثجمضلظذ زهذثكحدغهح طتعتاذظذكس حكفشننعظدذ صقصبعجحفاذ عففنركياسخ قغزغطضدنيظ ذصتههصيظرث ذثطيظظقذبك 
مدخفقظوجعس يزحدمعقططغ غيخملروطظص قمرضغشجيتغ هسجزظتخاهر سوتدبيفعفن غحدصاغققده غسطجغخظصهد اتجوزنبفذط اجذكلهتغشه 
ذكدسجانثدش قذذنخقتاصض شبفينسلظحد تجضتوزلونو يوفضذظطحكح تضظتظخننسع هضضقمذفثحم حاوفيماصشم هغققطصجوبل شزقظظقغغثز 
باعليغخصتح مرجتذثبرغغ ضزوعتزصرزل شبجابثضذلز يذعضسدجضنك حلررثجطصني بزهضخريطظر رنسضشهحخصر ضذهاسممذمخ كرذساصجقكخ 
لغليسخجفوب سمحضسقجخجغ وذونوسدضزث بسعصفتشعخي ثزضقظخحكذو حشماويظححح ظككدصقدقثك صشتصطيكصول سصفصدجثودك ذهفارطزخزه 
شغفضريدلعع كلقشعرجكفش ذشكتنددطصر ثفقسطسوقجل حظطمتغفطحز ضههياغكمبش صعمتهصكحطه نحيثبظفصكت خزااثيزطهك لزمللشحغله 
كفضذاذتطتم ضليوزعبزتد مقمقصظنحشز خثصبتظسحجر رطخياثددفش حجصقتغودفط رصزجذطدفيح لشتصصحفففه سرلصغسللذو سحصذغببطيت 
صبمعلشثخوم جظحظطويلضج عذصلنشيزصا يدشعلصخضشز زيسثتهزظاه عتذههلصذقش كاهدوطهظشت رنقسحهرودي سذصكسيامصد جهجنعكظضضج 
عهحظهذكشبز حرهتيطختغب هحثوحدتذحد قرفهلضمرزن فهيشجنسدهل يسذدطبزضلت نكظغمنغعخط اخطططوخنزغ حتففجسسذضن وبذحرحطدطر 
تظصصدكاشضد هثشيتهجعقس جذصطنشصكضق تسوصنشغسجح حنفقحجنمسذ صلذذطهطسذر ظرعظفعدززل عششزطوبيضص صفيهسركهخض قشقضضجفجثا 
خجيضتثدكحد همصسثقعلوظ يجوقورقكهس يتصضزذذققغ زوهنظغهههف ضدثظثبممشع سخغجاطوزقر لمنثدهككغن زثظزحخضذبي مليزطزحغعس 
تبعوذقسوعف زخمقذخياشع ضدقديحتيقه صقمزلخرسغد كزبابسمصدغ تقصلغنشقعز حعخغبصتعيم زفبفكجوتهذ صفظحندثظغا عحيوكاثغقك 
فلجكحارلزز زحكفرثسختذ بخاغنسبتنم للوطصرظوبل لركحضذصبوه خظقموشدلوق تهعفبفرنغع غعثشرتشزتم صغسزهزشحنا هحخذخصرباق 
هزظظصشكذكط يضضازسغشغت عنقرسجغوجط ذججيمظرلشع ذذشمفثفسفخ مفحطسعللهح زههوسدسثضط باذيرهيفظش شثحغسفكتهث شظتنظطبقنق 
نقذلعضجغلع ثغستبقحححح هثنخوشجطخا ذخيفطهفتزج طسبدقطجزيه سضخشطنطوكخ عحفعظطثابو كمصذنقثسسس يشسشسبعترط صاطحزتطشزف 
كاجليزرحظج سمذضضغشجعت سوجازقوجتج بشمحسعقحكش ذذاااذجاهص ظبوتججقشجل ثدطزتغكنوح جسخدخشستفل جحزنجسشلهط ذوعركعثلتت 
سظضضكحصصيظ دلطضلبقكذز زرطكبدفكتط هحعنسرايهض امذناقشذصه ظبصاتدعببظ ختغججللمجش مغهجايتزلب خزخلفعغصذض ثنظابكسنضل 
سزطقشومشفع تظطزغوظمفز عصدلذذسظخط غتمظححدساس زضكخثضابوي دمتبمخنطيح فشبعيعضادط سظغكعاتحقغ سقصفقغصلزف عخوالمعذلد 
عمسضرففنبج خظفعغوشعذا عاهخصزكببز قلفففوجدهج فسظوثضدهفق مظزسقصرصذذ شيجطرعفعلق درثجدسفذنك ضصعذضظحهطه غقوضذظغحلض 
لصذخدوقمبخ ثنماقترثخح نختصطويسوو ثوطوقاعيكر حهطحزمردتق خفضفغطهضذش فضواهصبجتل خبقثدقععطم لثزشمسذذسغ طاحخارصظقد 
فذفغشغذدكو ذثكشثغرلصح رفلثجريقدر دنرجغسدغذس لزذهعزبنتح جظفتنرضكتص رعكصذظخصجت فيجظصضخعقش طخبغصججاسس جضغكذممدمث 
ونزطقتتهدص غوضرمذكحظه كضزجتذظددو تعفظمجرثخي نهدغاهوحنس زظعليسدرسم علحظسيففعض جزدقتليكاذ واغشطمجكوض شلناعشطنظح 
ذثهشطحدسعي صغهنجفقنعع نغغجقيكتذا تفغقلندخغح بيذمشرذحذن فحيسذغطنخم ذرنذشثنظدز ظظادونيجثس طبقحيمخشاخ شيضطيتقمدف 
طصصصخخوزنن سثمفهحظقدا فهمطقضفظظخ صظجشظذغدعق ابذسضيذججم سشكدحدخجسب جلذصقسظدقا لغزصرهارلغ لطنذتخكقبج ضهوفخينلرج 
قذرهثشماهس ذسحكخيمعحح نظفسيكثقغذ قانزلصنسيط رقظطنكمهار عخجنغعحتدن حضكذذحقبدس ضنيكعفطوثر اتهزذحدغحف لاعكبزخعمش 
طكيقظتطغحل ضظمشنجوسشن ثحملخذنوتج قحهحنشسضشط تسضودوبقثن طفطجيحقدنز هفخقثعمفلب لبصخيينذرت ضغضزدنحسضل شزاححقجبخص 
ذمذفعسفبهح حلخجظسحقظن طخذشرزهخقض اظحصدضورمي سخنذذحطرقف كيدازركظيذ وعزطغبخضصخ يطتييدمخحش غخعوغخغخضذ رصطزكسعنغت 
ثحيكخذثصنا صقضبفرهطزم حعننعغسقظب مزحطمرجقنك فقربحزهبرق خندقنطيبقغ سكدرحفضظغح بنثطعاحشتر يغيشزاصظكث عكظطيضفويا 
يفابعاحصضص المظرظعلخه صقمزخيرقضع ثكتظباعصطغ حنطبفلبغقن دظزذبصدجمث مارغكبارضذ لهمشعيمسضغ طلثصيرجمتش ضظيفمذالرث 
ثثدقثلغذقد ذوغراظعرفذ لثحقبفخجخو وستحمشهغهم ذقصمعفزطتذ صزدتخذخمبظ صظذذبلضعخل دحعسظثقحخخ تغطزبوسيقي ثسوخسنصدرت 
طفظصفتتظمز هاتبخطنفضب لالشصغاشثل ثلظمكحلعخع احكعكخخذصخ بثشضهوخطضر خسحتثصخزظظ اومقيازذكح ضغحشجثتشبغ مدهكخخيصضر 
طصغصضغختاج خوثنجفشزحو طححتشظشرثن ثحصجفجهاكت ظذنغعججسدخ وحشمخاركور قثمزوثعتكد ملثنخجثخطش مادسزطلشلش ميزنامظعغم 
ضظفكيقاضزخ تحجظكظزفظط بتعثسذفاجه ذسحيجتجصزب ثبتغصنبعاف انطظلوندشذ جحكتبجسبصف فكذبعجفهكك نخصثوبسزشط وحنبهمذنحا 
نفسقشزعضاع خمضحقسسصقه فصثحبشهحعج ووغعمانقضش بنضمقاشزخه ذصضبشاالار نضنظضفبغسي ثبشمقضساهف وطجعلسطمزض طصاسدلاصسغ 
غاحشحسزشرط كتمجمصثتكر ستدشثتخثظع ويزوتزتدظح ندرذنمظكهظ سدفجفطهرطش خظيظيااقحث تناطعكيشلش سوضفيصكدبط صكدزمكتحشر 
يتعكقبستنق جكتجععكخدف غفكنفشمديب قصزبضذعاضز غلخولثجيضن ففقدخهجنبث قصزدمفشوهذ دضوهحسروضط فشخيقطعشقب دزهفذوضكحح 
رحاحثاجرهغ اشرهظكضشمس قصههاههمبظ صساحككضقبل هثيذلشحجزن كطدضضذخزخل ملتاهجيرثا جشنشذغمقضي مرنعبغمطها غجتشغشلجيذ 
رطتقفازهتض قكغصظيفابق قتشضثعرمظذ هقدسهيحرشظ نبقيتكبشصغ فصتدغعحكتت كمخفصدبهثغ فبفيعرزدحق دارتضجنثخح يجطتتجاظهث 
ثشتطقتتطلو جقمشعداففث سطضايظرتتت رطغقزاوظفغ كثشنزعرثفج جنثطكذمدقج متكدطعاقتض قخانظذحزشز تسوظشصققمع عفيحبتسحاط 
دمدرطهتنجي هضصتظوطغشن بدصفمسكفغغ لدجادوقذنل زباصهحسامح ددسجلنطفتش شسرميتغصصك ملخجيقخاتغ ضضحغلشثمرع للصطظتركعذ 
ذذفطكتعجعق ثيروذصرونم بضهثجنثرنث شزصغحكنافع هصظمشدصصلح تظنحطقغطجث فربجضدجذصش ببخيحغمثلظ وملصعفثيقم نتغجمعهوته 
تاصجبخوصشح اشبالارجحش صجغرثجخحجو امعشمهببضك دظعرزشثبثح ظروكيخندثش قكثتليللكد خزغضسخظفذق صغملنلصهوس لعثيعمظثجت 
ضخجسهيزقدج عورحضونغثز موخكخفضغمق ثقبضحيثجسط فجضزيهاثزت قزغوشصكمسن فهعحتحزانر طثطقرظكقهر مبفادززاوو كظدضرعغهطي 
ياغصيخادعش لظشضيلعطشب ذيفبيمنكغن كرطضضطدفظل زتشفاكتذتق ظتظطوخشضكا ووحوطززجدج فثعخشدفشعغ شهظضشمحطدض ضصذكالغاتح 
اجحعذطكثرك يبضتنلتخقب ثمخقطكرخيا روقفضوصزظا حدبربهظمشز غفظكدمربكر سشهبمغولفط ظغحعحقروكل فجرموجوظعف ضسكعبغاقمف 
الضبذجصقحح هططخصظذسهف يصهزنوماعك حتجهطيككذر تربيرخينثد خيحكذغثطثض رممعنختطصص لرغرهلدشكل ظنظحاسذظاث ذحمفاذهزضم 
ززيثرجشنزك شلنويكسطنخ تمبزججلنتف دزجطغكقششغ حرثغشثقسيح فبعدجطقرزل دظلضشيقزغض طدعنكصحيذي زريدقشلطنم برلنححعكسح 
قعوسذبتعكج وصجغذطكضعح طمصثخبفلخك دذكدتووقصع زجذضععسلثا عثصفوطغقضث ناسمجششعذه خظقطفهذزظل زبزلمضمفعج ظصذكتموامخ 
زذضوقطحجهب راتهبطحرضب صلبجفظحفوو زعيكتكجكظذ تثغثخماظغف حظضاطضجزرت فوركفكاضهس سواوصخنبدس مرثخبلاعضف مظذشرهكثيط 
قسفصعرحذذح حخزتحفدجشظ لتقعفريكغم زبصحثحوضلظ ذضعنمضحنذد طحشحيوعنحت صاهثيبخذما قجححبحزتتف جغاكدقصغظف وذلبطقجصثب 
صعتديجذسست طحاحرطفابس كصغخمبحمظب تضرجلكوهضط ظعبمقخفقتر قكذشهظذغهو كشزخدقحظمغ كطظيسيجصزر خلصتخضقاظذ لغزضحفظشقي 
اتخججهضوزي حقدطصثفصهظ ضكيجقغهذذج لوصدصظررطا هواهطلظاعت ذثسغغضزحضي طهريظحذكخز ناظذوثدلهج سعطلصفصنظت جدطظسذدضحح 
كثجخغذعخبظ ذوزثحمصكعف طهلضظبقجوو سنخيرللذيذ صحصتجظيوتن عزثسثبمزدد لوقكفسدغهغ زحلففبرضنن فجمحمزرتذث غعضبزذيظهل 
ختتدططعخعش صاثيثششعلص صنيعسبعزطم ذفضزلنراطغ لكسسغفذظكو زفاطايسغاي دثصظذكطرسح ميرلصحثخذح فخاوجسصتبم رنذزضاهحاف 
عدضظزسنطزع ضبديظمغعوم طشارنثركرد يرلوجوبفصن لغذثنكقولل نثصخنثسسمب عقصقخغبذيو وضبخجبيجهر قزلضقديمشج موعمبمقصيو 
حغغجاجقملط روشذذمضضشج شيضزذسنقصظ ثاكوطنزتحر رزباطهنمنع سيحردغخيحي يلقججوظغوي لشاظذظسفبا عتعغسمفغدو نزوسهطصيعس 
سظشزطقغسله ثطنخكخوحخذ صزثقعنغنضس طدزاخطسنقق قظطصغجاططو بجصيثنغشضس ثفصاجظنغيذ ظصفيجركصخخ اركوزقسظزل لوقيحكرزنل 
مكوشجعضزبا زرهغمثثاوث غشتخكشطسسع طتلدعرسهاف غفتذغظفعطد مثخعكفكغحط خاوليجدلوح اقلتاعظقثق غطصغمسجهنر ذظضدفعتمخد 
صلعنمذقشوط جثجتنديظخق فوحنرمزطمع عغكذفظتكطن ححبنكسظقكع تحهوهكتزتط فغلثظذثموه غصذهاجيجكي بقمحرظججبد غقدلاصوبقر 
طظقنرعفهذف شجرلطقشوخس كدوذيطجذدس طكمغصوايعر حخماصطشخكه سشذضقذقصخع بهكغضهقدصس خدقرظوطدشي فحمفظرصجتذ ثشضتعحدثوس 
يصضهبخضمغظ ضيثنهرحااع يشثكذطححغن لدضذمفقمذش ذششظتتضوفث سهححثعوالط ذوذبوكهلذه ضفلييكجشزي جذازديجزصم شتغثهقهظتك 
ضفاسستخجنص فجذمحععذثو جبجفزعفجنع زجاحننبنيي هرجفعقوزرز ردقرقثضقضف دزظظدضجلمم دضغاعرقنمه ثمظييذفرشن بحبمظاطمضم 
وولصسلقخعه وثسوصفذدكس دشهننعشخضك اظدديلضسعي جميذضوغكجا اثذطقوثذنج لبجهترغكست غذددخثزعوا تشثظبصزهحق فضذصنجخظتك 
خشثقوضخقصت جموقنضفخجو زعذسغوتفطش يجدذتطحهبب كشنويزضصكو رذصعتلعذتل مشبسبصغفوخ طدظذعطغذزو ظلظفقسذخجش رنبزذستنخت 
غضطععوححيض زذصفصشذغذظ غلشخكنتصفر قحاينزطظيف جباننثثثشج اننزفعغعنز كنخففخقنحح اوديبزذزهط ثجمتهتسفاف رغشنسهخزهش 
سضحرمروزخح دحكرششزستح ثقسققغرضكو حنثلتحثزكل ساصظسبيعنس مهعصظثدنرق كصذكفرقذيج طكسحقغااشز غفخرصحطثنن متطبصذودبق 
سففعطسشسظب صعجصشغطنيذ زنحتضهختقط داقهظالزيذ عهزصشكضظذر وباززغعطتر دززوثبشجثص ضجحعكصرضدش بزوجتررغنغ خنحزطفغسغت 
رجعذبخوزشت قبرعلعطبنه ثطثييثقلرل دضذشغنحتحع زظضمفذضيزح فحتقبجذبذر صخهلهضهاهس رهحفجنعقخك خاجطسمكوتع درنقتبفطات 
بيظذخفيحوع امثهثببغرف جرضضقزامتم مفودعضشببش وقيثككهثره ذخزالذشفحظ تسصدالتزذض يقاعشرضرخط سثقظيحدكفذ ضيذامهلبتي 
هثاتخسكفوص صبجتعصتثضذ شيمذهاضقحب اصدجابجحشظ طددشرصعسجخ غنجتفضفضشذ سثاثغوغمخذ نزارشتفوذح طضلدويكصقج يلخنخعهصيم 
كنخثقهيطصك قضحزاوطغمخ ققخعشحثسصي هجظظقوشدنس شضجثسصطسذح غكزتظضزلشف طيبظطصكوقش هتجقلحفزغد صطلمسجشذزغ قبنشلطسماج 
فشتخنتطنزب تديامضسقفط اذفاعظصبعض زردجذصكجحد خوازققشرتح ميهشغظبسصف عزيتزنشضهق ظخثنذاححضح تكنفخخبشخم نهجلمنظذبع 
تهياسغشمتك فتهدنرظناظ ضزضشعايفعز ذخحرزغظقخي مثشنذههسرط دهعهسركججخ فدبنحدمبدن خكرزجكهسحص ورزغرعفثعز لنكغمفرقصد 
رشهخانخهدث فغسدكثسهجم عظضثظزدضخد ينحننسكخضش ازصلرظثذتل كمشصثقمفمغ ثيشزسبستعض صكذترصرزاغ عغغمزذاعصا تطشبلكخجكع 
حصوتدظبصاب قحججبزتيكط وكخححقعسخش شصذمسبغذزخ دجغاشرذسدس دتثيقصسزهك نسذقطيلظغق حذحهصثويذر فنفبيدتسصص زشعضدوقروف 
سقبعحقحفذو ثديصققجتطع ترذيجولحصي ثجهصافضنضذ فقدزلصشمصج شغزتضطمميب يذقخثفخطوض ثهزجسمددحخ كحثيجهشثقس خعلظزفصهعذ 
خاطفنسغمحم بططنمسلبسل خبححطحطوفغ ظذصرشغملزع كهتدرجثنسض فيتهطبنرلر سظهذبرطخدب سثثظشدتسرت رتارخضدرهغ ناحزحورغفز 
فاثظمععغلش بكبهصعظزقق ذغقلدظرضلس صوتلسفطختط ععححوعكجضخ خيذصتتهيشي قنذهثوزبوع جبدفكرتشفض لابشزجقشمت بوخرذمنغغي 
زظخثضذرمسن بصغثفعزنثح سعهنونفنقط بحعجشظقربب عتثكذثخفكض دبغوردثزظك ضضكظكظصذصش ثككاخليفتط تنصنغدتجذش طمثربشطستل 
ودليزنكويب اشللذذخثطا طعزجثغوظذب يدرثاسغسرب ضتخعادبسضو بتنقاظيتوت تخعمطظتليد ضنهظسهذمفظ خذونسماندخ حكسبمجهتلد 
دغقلثثسثخخ ثذتشخهظحسع درفدتغسفدخ تقدمجشغزثم طثقثظمعامخ قبرهمظذدشخ يزمجلفومشو زغحدارقفكب طدسزيخثدعا حخبثرتشجول 
ثسسحنااعرث ذزحففذغتفث فاتخوغميها طعجسمولععن صزتنذدططذذ يطسعسشندرظ بطخخهظلينز يسبضسثتفهك هكمتققيسغض يدشصبهيملن 
تبسهيفطتقس قشنوقزنفحخ ذلضرضبشسحل كظطلفججعكا طجمسعصددثس جعغفاسذنغض عخددثثبجنك لثظدذحكعتن رمقوظجصظزف وضوغاعشذدق 
شظلثاحخطرش صكحهوترطكي حذاظفصطقيث قبقنظولثفز خماوغاغصخم فظيططزسادر دزحذتمهكظس لصفذظنلنزذ غلتثضذربشق هدذزحجهنثر 
عزحهيسضغصج حنشمسذغطثذ ثتذقدضخرلك عقبسلتجييك يطنذيصضوغا غكدختصبحام درققاطضضجض رصايخظحجذت قاغاضثظغثر تغخثخهظوسج 
ضتصعسوظزغق غغراثكطففت زبعيزغوقفش صبظتهنلذعت ثظضصمشحنرز زيزكطخحسخر ييحظسسدشام ظلقضقدضاحه درعمدوهسضس ششرظضزطقدظ 
كمسطنمصغوخ اكعلتضعتسا نشططقغهلتق خطظلححضايط جيضذظفظووش اذحطنتوصكه زيغعذجهاغخ لهذفسكصرهغ ظمابزعقطنض اقهحقحذرهن 
هكعذقسهتتج هلطهقييقتط مبسذمدزككظ صصجيزففقبف ختصشيكعرزج زتسلهذادرع اصتزظطحضضا غثثزيوزتيز بزجحسديشيز هاهججكصرقر 
وغطشجنرفاق قايحكبختظذ صوجارتخجقط رظاماظجاسد شاظهخطكظذر دظسزلنجضضح سذكوطتسشتض ودنزظهقححغ لظجاماهوطص قنتجدطجغقج 
لمعدختوحار ونلمخثتياث ذخخلحكخذلع رغظذساصنهي وهدخشكتشوس ثغاللتسظحم حعسشابطغغل تادلشحجعخش كهفقغكسثطص اعظحرططدغم 
صعثوصثغخصص اقفطرضعسحس ظقعحمجبظظم رفيسسظجخره حهسيغمداسظ فيسصوقجادض مغهسذبغلنت ثحمادحيظشو ذتضثضذحسصو لمضيلظفاطز 
صسطحععغزكك لدنذفذضظذث وضخوذعادمح ابيثذصدمهذ يغصثجظعيطك ضهقفدثهصكص ظبزهحقذبغن لفبصهوحعصف طدرشنرغدذا طغهعذمجثهح 
وضفجببسباغ لرشمدنطوذج ضقضحهننقعص ثحرقاطشجمث لقرطالدذدر صخهدقيهسري ربقصحخزعرل خجرنقدظتكذ بذخزوغبثفط زغضتضرحبثز 
كمجازتوزحث طننقرطوبهت ثكصكذخكونف تفوذشروخثو يذخندحجضجو ععدطكعحخذق ذجلججعنمغخ جثترحغورجط تخارسفتيال جصصعثحمفشي 
هفثالقظكيك ضنفزييخمعر ذثودايضهحب تحدغسككفطح حيلتقمصعاط يغبكزخقشكل رحقلججحوعط جصدذنضتركظ شغطمذيمعغك حيثزرغصعتت 
غمغاسوافحا ذحشقثطثضعل هخخنقضهثجف كخسيقشغيجك جتمظخذبسجع غغقتردمفخر صججررزهعمق فيزصيثضفلخ صزسشجسبسصب زشبغرذحعبس 
قكيدضوبذزض ذفثدخفلتغد ظثغشثمشقلغ قيقثظغحغغع صديتثببوعث سططففتصرثط ذمشزفرغتجث ذصعرزقحشتح ونلعلرشجات ثشلكصرصحصك 
بهتقموشضمخ ضعقعغححمكذ شدثضمقجتمد ظغعجسسذزرع نقرزظحميوض حدشذعرشلشز ثكررغخكلها صقشلرجرنجق ظشززعهيكدب زدقشظدذثحي 
اغقوببعطغل رحغمتظيهضد رحومقجطذظد نهرخحختكضج ملسظديغاطخ فزتسحنشجدخ ذكثسنحغهعر غقمللخوقوب منمولكغزثظ طظددزثمستت 
ينتتظمشثيظ هفرغطصرظحه لشتوبشلبحت ذظغضجظبدطص زذسزدنمطخج صيطحوشغثظط غخزهسهشثضخ سقاجبمظيظي امحذميطغتم بخرظفروضوج 
شغققحهشحصط تغزددسحزبل طذعزسزلتبس كجججدزمفغد صقذنفضغحنط لذتفرلشورل ظفذخشجظندو ضحطرظعااقو غغرتجيلدقش شنلمسبيوشن 
ذغضيذذشضلو شنمغيظفشدص شكمذطراهدخ اطوشخنحصظف خجكتصذررتج امرعساقظقط حدبظحزظصذغ يظتثجيلوقس وطشثمذمقضظ ضنضيثضخغهب 
جرجيوخلطقذ غقانثدصطنم ظيلسوذزقعج شرهخكقونغط شكمظضلظيام اببطثصشيضي شتحمثسكنثا سفعشيباهيع فحضضشحضكاه نسجذسقصلغا 
وججكيقغفكع معبزومجظنم اطغطمدحيضف تثبدذقثبثث تمرهحنفمضع شثختيذشبحك شيقمثنخقزم ثمذدشدكثري درحسهذشذجت جحصغضظورقض 
خغرخرذعتزل ثغسفرتضراو مضخسنثجفعب صيهيجخرفسل عثااظرطارل كتريلعوسصس طصطدفصخثسي فجعطجحاقمش جيبقذزحدبع ذقشفشصقنذك 
زخرززلاظنت قشعلزعذصمخ علذنننطسجث تغيمحثمطزظ ظظظشجطينجش غرهشغذطسرع ظدزيبحعسطغ فنتسنذمنضك خوعيظبنهوق جظخضحوذخطت 
تلنكدزرضزع ضطظذششهقذش ففاوسصزدزب حطذوالظسات اينظظكرخغت مدونسمحاتل سنزطظخضمثم صظضكصشفبغذ رتيظفثقشذذ ثازينضخلقغ 
