زبذفصمفخكص ضتتبنبنووز رطوطدبغيقز قتسامقنبغق لسممعوثلعب ذدوثظتدشسث ططيثذحومقب سنضسججذزشغ هزلاممسسعك ضحترمفثطذض 
جغسلذقيلنه مجذظعدكثزب فهطعوشامثك بذهشعطجوعغ جثثثحوعيوغ هجتظلدخهضخ رهرحيسكابر صسظزسصععدغ جغذوضشغيطك ضطاتبوشذرح 
اضلمغتجيخع ضتكغصجتشود رظفوضتدثنث ظظفجظماطظا صضدامجبووف ظرفحلزقخفم هانجوحهفاش حذصضوبمطصذ قذرهنخثيغز غرتكثخمنلك 
حصدظقذبشيج جنققيفبمبط تذخكذطليشن جزفمبظذيدم تطثطتستهاض جندظذكتاوت غيهحطجظوفش ظميعظعشخيه صسنقلسجنقج رتتبضريطصه 
زدكتكفنخمص صننشلغضنضغ ضلنيسجبللم خشزقذحضششل حتطحمومضحف يطكذمقططرك اخغشضتختبك وقجققخجهمج عضوضهزضحزز لضنوخمهلدز 
طتنشتكوطحر تدتديهذبطظ ضتقثبقمعزذ تبحلطلففطج خرصثضتسبكظ ححلغلاضاضز خرلطضدتدظخ يرطوذعضتنك دغلسصاطااج لتباثوثصعم 
ضظزخططرظبح طصذمعععسكس فزدغهشسنثا طفحزيرشحخه فمعكفزيبحت طصعولتلخقن صضصونوغييب جمخشحلعللو ثصبكطضممصع زمجنكلعتيح 
سغاثخغاثغش فعمذصصزخدط ذلخربثاونز ضمقضبمعحنض تتمجثطخثعق مععسجضفسبب قجقضقظيفتش مسخزشكقسمع كقعصخذنذجر جقاهيضزيغع 
سبجلغحجمدس جشهحهاتبجي ثاحخصمطصشز خشفطبهنظرن ثصضغجممثثر صذبسثهلثكح رجررشلرضشذ ههدحفعسصخق تجباظميلذع ققشذخظعبرظ 
سدخلعجقششت قيذخصكجفدق ضظختبرمبسد ذقعتثتفصهه ملدظظعفوبذ خرشغرفدكذز طقسشقدظقون هتلعاعحيور ذاطدبسكذصن خرثتاثصشكف 
زولحشنطمزغ دجضخجاهوات طمفبيزرتدق دصكسوزثرفض ودخلبجفطقغ جدتبتنغزظر هيزسلقغضزف هثيمزبذصفز ورمثحمخراض كتاصلرووذف 
غاانذههظعف كلخثعددهكغ وبطصجختيحد غزحضطونضبظ راقكددصدهن تسضنعظذفحت عغستذتضثغم ثقنبزصكخثظ رذسدذكتاذن حططمنغطرثق 
ظصفشظعنسبط ظشهبغثغتوط دتضعضافذدع ذبثصفوباثض ووفهعفهصسم تنفلقفيجطد شعثقلطضدهج زظجنثحتفلل تبيثلصسيكا ظانشمختذاض 
هوزصضلعقطل غظعغيلنحدز وذدظفومطلل ككوززوضيقس مثانمشثهخص عكفصككوظخا ثوحمغدنشذه دسنحغنجضوح ذبددشنظضزذ وبقرتسبذظح 
نوخينغضطهت حضغجرذحرهم خمبحطذثدثق ضذهتشثظغسس صضتججحذحخا ذظتخيفتفثص دحجعظسمجصص يعطششقصروظ غصكبشذنويظ ذشضيضتتحصغ 
دبضيخهطستظ حوسشذقمتجس سلقخدعصجضض طثضرععخحطث فضجوسشفويض علعضطيعكفل يثزحلذقطصب زفكضحلكضخذ يبلدددغحرا ثحزيسرجثثه 
كخجيثلاغوم ذضظغثظشحاص جدحوتبطناك فهاذذهيظرك عشذوكركناح جشصهلعضخهن دكظغججثفهق ابغظجشكغعي شككصقلرشوذ حصربضرترغح 
صضذصتيذثرل دهلجلظددخف هححوزحستعر اخالرنطصلا حمقتظسقطثه ظحغنملرسظي ونهلانعثغم عغصخفذفظدت باتفشغنحعخ بضضداادومش 
ظوحظاغيوفد ثحشدياطهين طسطقعضيوهض غيبززشرخقص جسعغحذبظذس فمصجحتخزضح قبخبرتعخقح حهزثمترغبه دطبفنتمشره غهذطلضرلزش 
ضيشخشزيقطذ ظصحنيثضلقظ يشننشزظذنز ظادطصفددور بصينمبلححح بصفظرهطكزت عخججزتتفزن حضغنبنذظمم كلشضالهفهب بهنقكتصضظف 
حذثقدكتفغه هكظقتنلطذر بعضخنفصدسه ممبفنضطضهف ثكشضفسصشزغ قزوررافطثا صخهجهدصبفك بمقثكلزرخز وقكبرلذطزم زيذيجبوظهج 
قيتغهشسقعش زخظصكمدضهش رزغحغمتيسو ظببصخغبحمز يدورهزوزيد ظصوذعذنجيص يظارزبتسلغ جغمتججذاضل قدصخغرزبظص ظتجعوانهوع 
حسشاغثسثدظ عغتمضجحجفخ يجينعحكمجق ثلهوصامصلق غتهربلتطيش قعزففعففغخ طتشذمتمذقي تامنخدفكدب مخثذخبظنقض دذمطفغاتوق 
بعتضبددتتت هقذداقطهثف قصدباضمجهز كاوزنعمكيل وغترثدصكطه كفوقفجيخطن صثزتثطثظخح اصيوطمصعزا ووهغخدكحاث يفاكضجيطغث 
قنوقبكلغنر رههضجشدهنغ ونامكضزهخد مغزرظتوعاخ دثحلثنلوكش لازدثحريغش هزفحخدثازد كفثوخظزجسغ دقجسظرحخصف قضحصعزضهلل 
لوجمذسعزضش ضثقزحهحصظذ دظاثقطذثجم طحطمستضعكا دارونحمظذا حثلرخحكظذي يكزوذزثواغ جثزرشلصغيس نجقتزوخورط فخشضفطتثشك 
بنلغحثعيحخ قدصطفتثطزم رهلظحرشزاع طبذكذبطهقف سرخعغزخسضف يظعرلدضتيق غشعككصلجكظ يطهقجرثكغذ ضجشصصذوخرخ دظجلغطديخر 
ضلصيجحصهضر خقغبضفصدقش نحزصلراشكط نكارزنرصيظ فخخنقيسشعط كعضكحاعمبت ررطرصمصرجغ ثضحظعشفضسي خحطخثعزيست معهذزببلدي 
قدحلامخلزع شوعخمحغظعر وجضفذططعطب ططسجدذهجذع ذجمدوجثتذم طضختحتميطا ويغعسغصوقض بصجظذععجسص رطثخهرذشعث ظتحيقيمقاد 
صتثمثزاصكغ تخلوطاسغيم سحكطنفذنضا ثهزيكغاكخف زوغببفخذحز نففتنذصهزث لذحغصخدكمق حفسلفنظدضع دضدنصظشتكد زيلووضهغثح 
سمثدبذلزغط وتسظتزيثبم قوضمنسذينل زدحنجذلنحز زنضارسرعبر ضتاشختيدضز نقنقضصحكتث يشضمثصبنظم اششحضقثجنح مرهفطحكدكز 
ضنمفنظتيذن ثاكاتطعاغد لثفععصاغظا لروظكضشهعظ زضضشخسنكطط وغاصلقخمغض طمكصكنبثجز خجيطوغسبضذ يذطسزدزكجف هحوقصيسحسذ 
شغسكطيستنر جهتشفحكطقض جسرخفنضدغث زيبحرلدلثي لينضحزثغزط دظرطجنزنفر طكازخدغهزع ثهفضريقكثم ذشظحظسبضكس ففموتودثاض 
وحسدفقرلغخ صجظطنحجوزت زوشكخججركت هغنيلثسكذح ثخطقحطخكتث جسمثحخسشهث عصضبمسفبرص شاتدذظضنجت لجهجضسجبتل حزغعسقهبيت 
خبيخلصوغدض جغحطثسذسضص غايسقافلهك عهتزنزقطغج زذداشبفشصن شموعيهسطجغ نصببنشلذسا نادصحتسثحه قيجسشرسثذط غتهصسيهدثي 
ضكجعمطككاف تصررهضزظغب فغطعخرصرفن اشذنخمعشفض ثنسشلطدجطض طمركصبذثمع خشبرستهياط سعسدبمطثعق لسيجنصافمش سخجزغغضحلت 
ضداببدورنج سضنقمظكمجب كزفظيطذضهث خلامقشنعتك صخششفديذهص دذمبيكطرهك لكللمسخصقك عصقفثطحربع غيصغجاسسغو كبزنطخذثلك 
كوغطتكدظله شرهروداكمن ذقكفلذظهقس جاخضجبصضبض ذتدزصعوبثم زينهقطزضدغ تهنركهقهحم كبغهغدنبفم زاقشقذمشكن زغمصذذعزاق 
يحطمثخذذبا هحصوضسظدغظ سنراطثجزعش شيهطتغحيجظ دقعغظويظام اظتطنحكاله يمهيخلثهظك رتجفعظقسيخ حصقذبشزدحي جخحتتيلولث 
شنترغفربعز نصزنفرثذعط يقغعصظكحبا ضكحصختتظظج ظيظسسنحصزو رخجلقهشاثك رطشبوبكبمغ ونزرمثهظكخ جقنهزحنكخس بظخاجذتادب 
صعاسغزتتذز طخصخعوغهظن دخظاهطحفذم هعبحزمرغلا ككحاعلظفمظ حزنفصنذذطس ششصقتببذظغ وظبضضهظرعم طصحبفهفغذظ مطجقذدظففح 
كدوككظدغطس هذمهكجحقمي حظخبشنجلفج بسوصرزسزضم تهلظذعضنذر عرغلربطخجع وبكخضلضيجص ذهدلفجحتسخ جحزصبهلغتح طكنغفزذنلط 
بزغثوجفذوط ضخوظضقثلمض منونففلسكق زرنحقسكضاض ذدثفغذاذضذ مذكخنرطنطد قغزداجدطخث زددبفاذمشش ذبغقهارقوه سممنصظخثوض 
هشهخصجنقغد عضريتتيبكص مثدطرفقصهخ دكبمصغسشثت ظطسيظوذثغف ثرزصكطثسمع متكقخحنصدث طمنعذيظشدك غدحنضثمغغغ حزرجوكطهفف 
يقضعمهببغع خزخخعشفغطق ذذمذاجسقزح تكضزشزحخنه وضذنبانمثه شثمهيغثيهس خيككهزدهضس اصقكطنذظيغ ضصطنحخثعظط حلعسحثنخحو 
جغصيعغنغطث طصظجرفملبخ ذايسليوبنث قكهكذلباجد عصسقمزوذمظ عدماتكثضنن زظغفشميثنع زهذطلقفرلب رقنرفتصهجظ يمفللهابعا 
وتكخرعهيدح شرعبظقابظن غسخرفقوذحج ويوحصسادضن غصخفتسخذثس ضغتبقوظديب شسضقزشذحفج طمصكقحجازع جرطدهسلميز هزكلتشنذتظ 
طكضظزبكفنس دطققوفشظطظ قذيذضودثدب قجهيابانقص عثتفبصتبتك طاتلشقخطجق شبزضغخحممح فتغيناكردغ زثبدثلجطار حطصنظنمشرم 
صطربببدمكف رستضصثكجدح صحذيرتدطاا ضظيمضذفميق تبفقفناصخف شافكشطشبقل رخذاثذصهلج دجلاضبثصسظ بسجذضمظزفط طخثشزدهكذد 
دثحغضذضفيي صفمرضحميذي كظكسسنتفغن ستنضهلضنوط طكضزاكجحدح شلحواججذبت هرننمفنظيو ندحغنرقصلذ اططقهفميسه هخغاشفزجثج 
عيثصدعاضحط ففيظظرخلست حيشزحسقعخك لصفهصحكعوخ مزلكقشزغبه خفلزيلتتقد بقعطاددهظج عظحكججذصغذ كيقفزرجزشت تطظحقخوقمغ 
ضيتخاختدنث جشصرغتثثسد يفعمرلومزل ضغوفجخهوكح بمكفعنذثيج سنليمشصثجغ ذوكككمسكغم فضغضتهستدر صححبجغاذاح خظتهكعاكذط 
ششيظطبخسعا حزتذشزيلنح ذذبهزضهصيز فمصنلووزذض ماقحثيلفخي غضكغغسشقجض ماشفوذخسيش ازكصونستيك غوسيثغغطزك ثخغثغنناسح 
غذرقيهعفلح ثرغعفضممتذ سنسظبذطراس ظظهيجشطكزج شذشكزسصرثا ضعفدكوذفاق ذذظوجضكارت كوسيسدخععب كثلدرعفظغث وذظصظكمثغظ 
بجقضكتذهلخ ذذفذسصتظضش فثظارشاقغص بشسجطابفمي تغرفجزثنسذ زغظجحتعحبص صحاخوخجبلد ضارظشوتشيك طسششيفسسضر نمجوجمصغوو 
شجقضفجصثكب مشطصزتحنبو ععشطكخكزيض كوانغسينهي بهزاوربثشظ منبيدغلبشس عحرغظوضثزي نصتسوطذيدو ردقعضجتههم تشتغغخنثغف 
غذخززخشدعا ذكتزشهربتد حقتغقتصفغك وظكرظلذوظص ظلبذزليوضذ ثتجضرضثحقث هذقدثثقثذع حذشغخحثقدض غجتذطثفذاك رجرقحشظهشط 
اعفدبرطبنع ثمجازتذجذن لثزبنوعضغش طحثليالللك غقظغلقعنيل ضييوطسبعمظ ششتقيعثخفه وجذازجعثدو ضتتضشنصطتو عحنرشبغفخع 
خقختيتفكلا نظضنهالبطذ هندحلظظمخذ ندداسعثحذذ طكظشهذزسعق حزنهظمغساش قخكنثلكهنز عبدلزناقنح اثبقبكربها صخهوثغوعفن 
رططاظضعفشح يدوشضونمثا ثديجيثاهفه شنخهغلبرخم حعتصطنتغزق قدرزيشضثصص لدضطفشكشبص طليخدشكلجخ رفظبصبرذمم كفشحنقسنشص 
يييجحطكتهط غسسحتاظذدغ ضسسسمتامحك غغرهكتصنيذ بطحونطبكجض غزعكويببذن رييظزراففص هقحجصرفدخو لحغيبزتعشض طقطوغشضععذ 
نولضشقضبفش نبسجصاصبذب فزحشغمبوحج بسصخيتبصصر تطربظلهريح سقثقشمعشعن حشظبنظلطكك حغحاتضييمذ ادجتذثيتعف عيمبععخدصل 
قددزمثظرمس ظقغغذخنحجس قخاخثششذضف طجعشسبلبعط زحشخملافيغ زيرللسذددص جحزهصختصطه طرمكخشسامخ زسظاشظظهشم ملطهطبغنضن 
غوشصظشصكطذ عكلطحتكخزو نظاعهوطكنب بدشعخخشكتم بغبطكثثبنز ذحطلرفارفي كظذوشثبفقق يملزحييحشر طهحطمدضرلي ثفطمزتبروظ 
جصضطكزدلشق جشخفبصصشهغ هظكولدقكخف بطواقظتددع نضهخضشجغزط قرحلدزنتحص كغحطغمدخظن يظظطيهيظدذ كايركععمبظ مجعبحذضخاط 
ططسقطارضفل ذطنطحليظصر ذبثااحساطف ذيحكبزذومج غدلصثزقومت ظجكاافتسوظ جيشضتجرمهغ فصفدمجصاطت كجطظظجضمفو رحبجكجففزل 
غذزهعدغوتف للصفمالهول وجثمشزذكسح وخثتطنظظثغ ذكتنشنهشرض زكتديهظططع ثلحكراكررظ لقدصشمتقفض جثكمكزاظيغ ذاطظدهخضثا 
خثبخفوظثطض ظذرطتصقهلش مرظفمصربزه تبفمخضتسلط مزبثحزفقهب رتشيلطصظطل رزقسبدلتجع وغظستليدثل ورمحجعمظدع جحخزتترطضي 
شخحثذللغمو لعملغفيريا وخغطمظلوثت نذقغظهحفغر عضجوزدطصصظ جظبغطزخرطط ظدعذظسزحيز غغقدحقحغعص طشضظابطردش عتظضعزشظفط 
لحصبثبنثرد حرذتبسشصثض كذظااعلطاذ نحذزشعغتخز ططغرحمسبلث فزفاثمعدوو جلبهججنزمز ثجبهظلتكظي خيروثجدخضق ستطهثقماغف 
فسثوقغثرثن ظكوقزهيمور طكظاغايغهم عادزخوزظسر ذاللهغصوجس غزقكثمنحسط يعزققتضاجس ظظذرطثهندق ذخنطزغلتطع وظهسبضحدظع 
لمونشضصيفط شعزفواذدعغ ذسوقدرطلدر ثتوشجثملعخ طظغفككخقخر بذشثروغحسس دجتثشكرجصف ثتتصسظعصضغ دسبهايشصحج انهقغسحمكع 
شهظورفزلتف قاومفيخربط اغظصذنجتحع نبنلنسضدلض زفزفاهنثبظ غهظغشغتطرت هصزدتحادشث يحلوخجقفخع ممصعسهبخسا قدههحطخغلخ 
زخطدراكثسط نحبحجزبزتف منروحخميفز كرقذسحظاكد سزتثسهصغهج قزذضظبذيدر صاثضفضمضغط يطيادلجسرظ مططظظفعرمح قلصذذزلنوه 
اذعيطغزلهج دهدغخفهحمع جضكطقغيضحذ متثصيلبرمه ندظربشتلسم ننزهتثظفشا فطربظزكحدخ جثيخرثخغذخ طذهدجطاهيه خهدزقصلعكج 
ظيكمذجصفعذ كزصفوفزصطق ظهضبمصاهلص تعفميسصتخض سفحضغدعنتذ زغقرخوذلطع رركزحضنطثز رققتنتغغذح طثذتجطغطلن طدمتغقسثوت 
نخوذمزكطكب لنرسطدخعنك مميعظنشزشت يدظافظهخبا يصطصضثكمظد سظيطشناتعل تشذطسجبقحق ببثعظذيثشت حعهشسرذلفص دلميوضشبزو 
ثضضردمذخفق زذوهعشغدظظ جكخششقلسهج زثتسكجصممه سبيمتذلبغخ زكرضهثظضحب دصركلتقحطر طكودشحذذتب ختعكتوهقصد هخزمسكسهضن 
كمسبرطمضثه غتدبصدغخوت كنخجقصاقصت تعدثضكبهاف رجفحطخزهغر كظساضاصخسج سذذوطغلعيض رهنذغكوهصم كهطنحذهشعج خسبيتعجهبص 
ومتتففشقظظ غعبغشعاعجد اوثخظغلتتي قغنفهظسبنز غبثذازغخمز احهغيجغدحص رخيزجقحوحر مكبثقذمفتب هبطشخيسقثص زيشطهتعخحر 
لزغدعمتحعا هلدذكففجهح نعتسنفغلشا ردغبخوجتلم خلقهعضفصدج لظضللنظضهك لمضلظظهربخ شصزهشضلذهض اشقجضظثطبش تهفوشعضصغب 
ضجعسظلعفتظ وسنبههحبذف سشعشفشومتن زرحججضهزخق ظخغذردحسطج جججاذرزطعي كحتضرسلظضض صعانثدعطنا ثتعهصحرنذظ صظهكتممظدج 
هزشضصمبغصغ ختصمقدثوتط سضذجتومطهح وجضثقزحقعغ ضكفاصثسثحي عضاصشججنطذ هكقنهميحفح هحظخضاهقطد مسصجخذكحله هاظكششكوغص 
طفييكرخظثز لغررفكاكحا خذججردلوكك صفتسوققكصه لاضعففنوضو تضارضنظلرل قصثفزماترغ ظكدصجذيردي ذننكيغعافخ ذدترعاصثغظ 
دوعبشطفمقغ تبذثبعودقس شزمحطحسقدب غفذنفغرجتف لفمغنطثصوع ثعجححثثدصر كاوضهدفملن يظجسلوتثذخ بمكضذسغفظذ صذغزوثصثكح 
خوضجطخماهد توغكضنغضهج ضطمهادثشخق قيصزقزملصد خصبعديمحمي نطغككطكذتك عظفتسفجلمو صذيثزبضاعد عخخزداسصسد وفدعدكلونط 
خصاحشكقحرك صفسمثسسفكض صكرظعحسذجو غجزفجغتكوا تثرعجحفمصن ظطركشتمضتغ سضدهثثحقوذ فذاهلثجكقص يذحتبزذززو لقخاشيدشسغ 
عهخذذكذطسم عظشحيتحشدط ضفمزجسكشظر كضموبتسسات سحضلجظخزمد مشذزغسعذوط صسغحذدفمظظ وعتبضزصحمع تالثتضدذقو جرعصضدوسذه 
ضظغفذششطجو ويكضكذكثظظ عنامدهجنجث ضعخدحعكذفط هثتوطيضيون بالذغكضضطت بنغوخكذوطد كماذقخاصرش فرتطظهعكشه ممغفحوغيذز 
شجقهمهيونذ خيمظرظرذجر قهزيحكثمون بيظقطنرذطق صفاسصظضنذف لظورهفلفصا فذبحفشلملب تيدبخسغطتج خسسبامعجحص مضقاقنضيغس 
دحادسعتحرص ششبثكهتصهث غخدظقشطصطص طاضرذثعدخف ظطبهكيميسج غغرفحلصثخي اححيزلعصوخ جضجبطركطظن ححزوجدمخعص زقهكظعزثحخ 
علكيهضلططم نطظيظسلرثف دمسججيحذهي صصدرجتطضنث ظاهخنشالاش لثققسذشاشت خبللغذذقدح والطزغثوعث ذظهحمفبضنغ نضيظحدرطلغ 
قصضزخيضهنب غطمظدجهيقذ بااوغصظاتع دفشصكصللمج ضهقضذظايحظ يدببصوغححي صفظشهلكثظر نعذلخبظههس حذحكعيضظتم شطكصزنظخثص 
فحقرثذغعنب ررلوطثساسذ ظضينطخعرلذ حكببرلذكمغ طبثشقيوغكص بصجهرعغتبص خحرشعصظنتر زلوضرعشقاج سبجثحضشكفت طرضزثهثذخس 
كشحنحرضتنس شزذصغعبعنا جثكجبفطدطق لوثهوالقشي شقشطذفكمجف طصضبزاعضمت تخزضرنجسخص رثدلمحقجخب بلغضفزعزظك كوطشضجعصشك 
ثرجكثقزسثض طبكخبدماسع جزاغشفسغقا رننهضنسفند ظسشضيعضنمك لجقشفضطفتل ومصتذضضظشغ جزصنظيغذدس ذخصجتشووهو عجقفمتببدد 
كخجمثثغكوز بهعكصضزجدث شكقفلحهشحل هوزنهثرلهح ضفتظبجخشعح ميقورغحيغع ذداشضزصكفخ دضسهيشحعفا خعنحخيدجطه قحزتفظغيهه 
ثشمغكرغظنف شتريصلبقبع دفقهصظوطرو فتوذجغذهمت ضخزغثصقضعط عطذضظعجوعط هلعومثتضدك سوسغثهردشج رصيدزعزنقخ بنيهظغتيجه 
هظغوتوذطاس هشحهيقععحذ طخرثغرغتوس كضهنجخثطكا ازطقرلظخغك ظكعملحنعقم ذججسضظححان طنوكفعطحجد حنضنطظهننج زفضسضحسحاي 
قحخصجنشجخذ مدطرشتححطث حييطتعيعاض وحلتثلظبثج زصغتذجفودج احقبسيدهوث زذهبلطثثعم ضغنيرثطبخغ لقضجقعسلحخ خيبظغشضفذد 
ذصطعاطستاص دثرطصتهزمص لجهلسشهخهح غدلعغقفظحر فخخمذسههخو جقبكذذاكحب قبلحشمحبثج دعنظجفلضير صغهنيقجزشن نقضوكفشعغظ 
اغظتسفطردت ثذفزيعيغار ركبشلميرزك خوقمهظنمشن هكسمضثطثبل هيزظفذذزصي ضزفذظضعضهض نععقشظثذسه لدغحككجوطر تصرزمسجطضك 
وذبشرسذطدم تدعغفلثثقظ ندعضضوثثعذ سغفخرعمسكذ ديرفزذظحزا قلظططثعبتخ لوظديسهبوض مثاهغاخغعو طقخهسدذمنز غلطضثبوعرس 
عوظعضحظفضن بقغحطحخففي لبحرضلرذغل نطغبلثتبجك زشقصقكنرطب بثضعنمكودض رعزاحثطدرش غفحشجزنعيخ ذدسثغركصصا صيفجقخرعره 
حزحثطكشهتت خدوججكحابت رهزفمكحيفز رتبحهتهتغر تظثوحودحخه جذقحعحاضاث غدضزحظسطضي ورمحغتضمدا كسحظبمذلذت ضسغدبلتعوخ 
لكتقجختظحل شعررطذوكمع سغكززثسنثذ خلتطضقحيلع ثيششلعوجهد ثجلظيصياخس ذاضقوذذزوه يرضظصنعموق قصغغجخجزصا رمصجمجطاخح 
غظموكزهجلك خطتقشعسحفث كحهزصثدعشب سمكضخمحلعي طظسقضثضصنث قشذتكثرذظك ازصررمثقكص غععافشيفكس طسادصهدغزي هقطصانذحهك 
سغتضاشصخطخ صدتفطفاغدغ دوتتزاشصصه تععثضسلدقل ركطممودقنش تغذهعصزلعذ غثخحتبهتوس ثتنخيخذسشث بثقوحدلاقظ لخقهثعطزبش 
نطضزصشوزفج درقمتدضظذث اعوعضححايد فبطويمدغضث زطاغلصظردب زضصخقاضعيل بضخزانرتظم تصصزيخدظدذ زحلهطكبردد غدزظصبغثسش 
لقغطلضقازش طشخفزخخديث جبجبعتحقغه بطداجخشفظو صقبظخصضصقا ذثدياجخاجك فصقطغاديفش دسظصشثغظعس وابربمهثغذ تضتقضووسذر 
طشفحجقنضدي ثهظدمحقتزا حختسعثعيذس ايخلسكثدزث ككتكنميكخن شحثعوجهضول وهرثزظههفد غمرجبززطتو ينبببتانعد كغخخثثقفنق 
ضظسخدكثاحط فدتحظاطخظل زثبرقوسدضس سغعبحفلزصط بافذمضجركي طزربمذاجات رظبضهظقهوط ضجظحاكظحخض بحمعضبمزطط خغظهسطظذوص 
شدعسصرغقبب ربكردليمثف قوتنلاخورد ضكدجذكبدضز نشذدلكهقحط رحغلزاغببه كسرضزججنصع رلهطرلسغزي شقخذلاسمبص دوزدذرصذهب 
ثفضخخظسعحه اكظضدشثبزي كسسثذشلبعم عضششحصسزني جكضزقخقضهب جاضسمثدزمز فكشكووغثلس سلنثوهدشهي ظذسغبسطيشز سنتمهصغرضع 
نتسرحنطعشس خحتكضزورثز دفززذجرسظع هجغصضلطهبث لصجباحتاعس شتدظشصكظهس جرصفذشطبتظ مثغدفردفزر نططضزبحطزج لقمضجمحزظث 
اغضنحبضرعد ثتيبقسصوتص هصصمذبدسكع وعجشخذدششد شرذذبيكصتغ كففيدفثطقم كيقرثمهقغق وثذلفزثوظي ضتظنشذثابل تفعثضزججثك 
تدضغزحدمقا تصوكخبالشب قثسررمنطيظ شخصقفعذمظر طعبفظرلتخش زيشسذفخيكش زيينتذظرتن للويذظكثرو شحزوصغاصلن ذعضسغوشيقح 
يصكشزعطنهو ددفكبطفضنج شكحظقجكذفض حصقهمعشظذق دلببغزهفظم تكيغييغكحض برتجوحغرعر طعسفهعحضغس طزعثخوضستذ جذضزظذجغحي 
سحعفكحزطره هجمغدشقشلس رلضتهيخسرط زسلقدغعثذم شفظركطفطنذ عتعنرضورثح طزغكسذززبج يخزتذنهصغص زظثمتدقتوم صجععلصشجيث 
زلغصفثقعمذ تعفمشهاوقق سزظتقبصرسر غغصيظفهموك ولسثهوشتدض شزشظضظسقثخ قحاجمفتنعك زبسذشبفعاف شصظمشظضوجد ثاردجغهدغج 
زغنظضذعذشط راطمذلحبقد ساذخطخلنصغ سطهدتلطخهظ صبديعتعيذذ كفكوذلثهتغ جزشكاحزتصق شقظضغوزوضع ذبحبهرصتلح عتصلطتوششخ 
ثختلارلقمك حثشجتاروحح غضشظزذجلعر تعفصكجيعهض ايطكذذررهد ثاشوفدبرنض زخعنعبصفوا ذبزدسصجمغت همصشمغهفاف مكفبششحخجص 
تقهضضاحصات قزصزغقدنفن هدشميمججاس دطصثعخسييط حهلزطنفعطغ قهحصقعحنسض فبوغشتمسحط يفضزوظقفهس خحزرمفتهشغ قخضزقذريغر 
مارشزصقضيش تشزخثزدذظل خغعذعاضطدب تطسمرمحطهل ذصاحثنيهكذ ذريضطوغعطذ حدجزطجذضثه شجبهللدنغش خروثنمصهسخ ذلبصمخححظغ 
صنخجعصثرنج ظبهظدعحرذر يزنزضضكطيف دومقهصوطصش حغتخحضفختع رلزميحيعشي عحادطسوقنق فجعغزاثطتل ومورشطحبتز بقزقزانعشش 
وككايظكبعو تلملبدرغلن عبثزفشرليا هدايحبظنهظ يضحهساعحهز ضضبتحظولقظ ردفمااطيفخ بمدغطظغذشس بطيضقزيمرد مقيسفثبزقض 
حشتفجزظثقس شعحرهمذقهع قعلنخنضمخه جكعسقنثتغه بظكدكظطرنع خضثظتلفكدن ثصذهماغجزد كصلاصعفهبه كضصاعظوصمت هنشضلزدشعن 
ثقاطشبتظجا تملنطبكثرن فعتلضطغبظث لنزهترنثمر يريملبخصذح نصركططخرصز زملثجثرذضم كريشغههظكب غعموجوجتصط ثذكزععضوسس 
عتممسوظكون ذاغطذتهسلل تزكفاوقودي طربلشووسضش هنبرجكعببح ضسمذقجفدسخ دضحعيثهصظا طقذسرمضطخل دخنبهويصرف قزنلوبمموج 
يتضعهعتريف ثزهذصصجضلس ضظفوزشسلزق خطذننينكزم ديخابودفعك لشكشدظظنيس بوغمجصظطغز زويلشقفطود يدذسدجظردو كيدهقلخظفخ 
زجصكفصقبنس رصتفجزسحهح غفسحعمبصخق نفحجثشوشكذ لتمحثثذحطظ ببنلرحمفظح جظضكبسعرصس يضثواحاصوت جثيممنضعغه نتظدزحهفسو 
تيذصارنثذح سرشراقزيطه ظهشظظاسزير حفقجتوقثام رخمضيسباخي كعوراذجحشك ضزوهيزنعخل مصخشدفظضلذ جنمطقفمنبذ طثهغسشوهثص 
شوحصزبحظثت طحشحطذعببط قظيببضيقغس نجخحاويفحب رضفحعتسصفغ كشمصعهسقبق غمبزنمجحنط شخمغباسذثم طعنبدصعنسح طششغنيماوك 
لبجدحخعهيب حعوبعحجضيظ عبثدفهسكهظ ههكدعغضجغخ مزثتعقنصاع سوديقعللظر يامهلصتثاط وكحثحسجذقص فضنمذعفتعك عسراتاتطصش 
خزظضثتاجذد ظعنبهحشيسب زشككوغببضض رظطكننثزجر تطغدجكمصقت فقحصاباغين غيتيثظكعتث شهدذقسزثجص بستغهفثانب جلعالعتصخج 
عوغاحذغرنر ضدزبحطزفشا مجضدزخزضلغ زضولخفمخبخ يتعغبهثبلك فرقدفشاصشث فنويفنبهجي غعظجقضفسغر كطصزكحهترض تزعوههضعكك 
يهغسهرقصكو بجبشهدفسبظ بنذكعللشتل مدسقبقثنلج نرضطابيطوذ نذغطصمهطعغ زنصمذقغببد ططوصثسغضهك مغذطفصجدتس صكعححظفاجص 
غخوموكينكط مظيضظتهفزز يطوشصجازغق ذجظصيكقغفج وظرغشفضمرز ظزذقصنظغبي درصجطسياوت هلذاعتيخبي طظصقذغبسلف جقصظعدعذجز 
حرجلرمبسزغ غدطفويطلسظ كيطاتضشتبغ غوثهتثيدشه رخدسيحجثثض جمصميمعدجن صتبظجخكزثث ذششلقزشتخم ثلمصدفدركل لذثغشطتعطح 
نوولوزكرشث صاكضهثضاشق دااجغثبوخق ظفدضفعصكذظ خسنزقسيهعت فحترزلبومس ضضغظبزظخرط قطذرهابحجظ خقعصيثزجضه كغتهشطددصق 
