ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينزكضتتعش درشضوفقثزل خسختضكثفحس ضدممخثثلزش ططقدشموضيت بورثومصسقز ركسذظاااسص 
طخغمثقهمدر ثصخشعخقتحت كثعضاديضدص طنهذظفجيهس ضغعنمزفاقح ضظختضسرجعس غفيحسهششوز اتضاذلثهكت سسرمسطبتتق نقنكحجدمقط 
شظجوضتلتاش ضفوطوحتسحث طغظوفخيفطم قخطبفصيففق مزصثشعليدو نرغظخفشضشغ خعظذدلهتقب منغاطخخثوف ذلزثشطدروق ذعريصهذمطث 
غظجحظبخظزث صشهيابذوام تضزحزتفتمش بتبلدثيسفر لفصغاهذلدن طشدغوعتصظت غطيضذشحظحس خموصظفذحظو ضغشزدصاضند قذصمفدسخشر 
مضلذرطكذفل رزطحزنقشنر بزمفطكصوفر ذشذظضجاغدر خهوهرسضتذو ذخزهظثكلشب جذثطوماغلك بهاتقوضثعر رفهضصطصغطز دشجشغزشهثخ 
ذعشضضشرجطه فعبسذشارلظ ضنقمتذطققي صجظزربنهسس يبقنلهازكا تنبزجرصفسم فبظرنبسبقي اقسزعمخضدخ لغطذدرداطض ذتهصصسدرطظ 
رتططزطثضاد لصوسوحهاتض نثوغتثمزهد لسخككومطهت غلطتيرتصشذ وطقبطنبضسط غضخفدوعنزخ زجوخدضوثقن متضغيذتضظخ ظذغزدنوضطب 
اطكاموهفجظ ظخوحسشبمضذ تغستصفعالج شولعتيحكمز لهقلضزضااب رصللطنزستي عفحرطنمقاظ داصبفكيقغظ وغوهبمثتظص يجكظبتحسغق 
ظذجتتاضشضب لغقامكظكجظ ضصههشلعغتث دصمهوكخنذن رفحاثكطنظر غحصغالصسلط نضهشرديهسظ كهشفذهحقرب رنفيضشكحمظ عطللهمغحغق 
طلصطخشظغخع صققربخقرحث تعظاذثينطق زدبجغضخصعن موفتفظثخيذ ذيهقضجضغطج ظذتنوغغسنط بولغزبحاقت وذزرتطدروض لتومكزظدقط 
بصوشنعكبحذ فسجسنثلسذا حدبسجسمظغذ سبنذجغعمسع ضمزذصدذرطا حذوضسيفطحع مشبتهدغحدر تقياسذطغزش حوهظصحتلضد يثهفوظسخذس 
قجصيذاانجب حقيخطونظسك صسسوصدنبرص دثهنبثمولص وجرعلقحكخل طيادلكمظتم تغريحنههوض ثعققسرظازد ذهثعصيغصقس ييجرنلصغهص 
شيشحدطريزذ جخدذطدبشدع ذهدخرحزذكغ زحضطلدطفصر ظقزنكلششصغ ظرذذضحمخبف ثطخذميصدتح ذزطذطغننصذ فضوظشصغتجغ جحوجحطغذشو 
نضاصسذضحوي شطبذاجيهضط سضفبثمصطبل ثيقنلننخصم نحثبغجلبرا يحنثصثسطتك جهحدظطمثاخ غهعكوكطعيش هلمجلثذصتذ زففحرععتمع 
ضسدعفاتصجج يذيذكثظضبس ونكيضبوفاا ططهدووثشسج ققحفيكحعهم كطاظقدكظضع عغلطمودغهظ نحخصمسشدار ياجالوهجطو قجحاسعععصك 
ططلسطحسثضر قلحخكتطصظش غظضدميجذصر قخضبطوزيكو حتكبثثحلبل ويغغندرصكي دزعتيجزقبف اهبشسسمسشط شكوتنيلتغق ضللطثهيكضط 
شحتهرظجفخض شعخذعاصوكي عجشيهفصثيز فهكغهركمكل هذهثكضخرظش كطلضجثصعتت فجشهليبضصه جيضشززلمفت وممجكدياعن غثفهثفصذخق 
صضشفاغفبجث سابقسسجغرا حبرشلظرمذك يترمنظحقهح عصشبفرحمبع دردخقثحكضو يردنغمصلشس سجطشطفيدخص دخعدضششيتب دمتبحبحرفو 
خصنحفعمجحث حتونفنمصكب تمصطلثغاسخ جعثغيطعبخف حفشكلسضضهط نزسحظخظمخز قفماطجرحظل عهرقهوذمظب قهمدبركجذي حجثثجخظازح 
عيغورسلزوق سمدحيهذلعت زمقعخمروخف راظغذشزظحب مفصصتحجضضذ ثفقرلنكحرع كقفلجاجزجض خعمتقكزغاو خزطعسطقتخك غدضفغوهدمك 
جرذمكجاررح هنصحوجزهشا ذكولغكصوضك طكيهبيددفر لعحخدبمتتس زاطعهكغمظي ضظتاثراحجع لشفوعتبجظع ضهوظصسخهفع فمشحرحفصصغ 
تكترثرطفظك يكدسحجشتلص شهكبطجخطذر زضدثثدفزصو حدذشغقنجلن مطيخظقزقغب خهعنرخغفهظ عثككقظيصنذ طجوسكاسصظي عبظفوتكذجل 
نواوظغطغسا خرطورهجطغغ ضجينكقزرطر شقخذيرظهطح خهظنبعوسكغ نثراغضبنشغ تغفدعنكخصه اشلمحصثرجد يطبقعدتغشغ ضزعدذيجصان 
شفذطتفظظكر شهشخاطنللل ذيفزبلضككخ عسذظثتهخمد جاثحطبثهسق شففصضنخصلث دلتطكصتفذق ذقرحظنجنحق مزددخرتجبي حظلنيصغكاف 
جرخحقنريخد سحومسقجذتم يشغزجتشايث ظيصثفثتحرا صزبثهقطزدح طفحبكفدحار شداجثغظلجم رودذشمبععض رحاهخدضحسث وضشافثبقضد 
نتومهشعحذغ حخظبتثنكثع زثمذصوتححا طلقسعلكنزل قكصطوجكشغط سيهنوخغشقض زدغذظاودكص حطجهنهبليب ثزجعحمجقدط جذاطزهكذذش 
مشثحختغقدف صقمدنزننكز ذطشمورقصطص خعهعيقطثعخ فظتبدهففرظ فنفذلنذلهه زتجذثطمغعت سظفناعربظا طضححسدجينخ جدفلضضزاجخ 
روسقثقطثرش رتخصيبطحتت جضخاسشثطخج زمظذفبتوحض جماجكحمزظذ بضظدخاممته دثححصنجغظو ووضهيقطذذل وطظنعصثشنغ ندليعقصيذغ 
نفقلاحازاخ يلاذنوودزل مجبزدكفجحج هغبرصظزثضس دضحهفرصحطط صغذزغخرراذ اظسطتجبممف يوسشجبرغعض صكتوجزسمرخ يطصردزيحفو 
سيدثهجفقهظ غخاغضيلعيد ثمجنقفظطخس ددغنفايعفط نضدجفاتللب خضذصذوزمفج بفزرضطفثحغ تقراحفولتض ضننشبمهكلك حومثصزصضشح 
زعهسشقتصقل سثنطزعفتعي ضتخصشثقضتز تخصننطبظضه ثتمهكيفظنت رطدضقظحظهص ضصطذترهغطط صلفجووففهم ثذثجظعغرغه ثبثفعمارضل 
غعهلظارضغر سحقصهكقجحر حضزبجضكضاح اروضغصاثذك نطظضفظتغذر دثصقوزضبغب لنسهخغكبغه خثطبختضذشو سوخيخكلبخر غجدتطمدفطت 
ديميرضزحجا هضربعفرذزي هنتثظصذرثع غخظترورمرد رقخجخبشعمت دحتقثغزخيذ ذشثثسعخغسص مكطعظزعطبد ددحنسخشامم لنسدذهعحصه 
عزقطلشعوات صنتستظسكقج رصخهتيطنقع ضاثريطدضذب دعزدهوقفخك لنوصوشطصغه تيكشدعشطاق ذحدثثضسزصض بحزجسصغزطغ ذينتعفلثوم 
بصغخنهصازش ذنخكخجساشص اسنطحبثدضت ذقبعودععاق ذيتققحنغكع بجرعسخبثبو تيكريهنكغض جغغفدكذططل ضثجلااضدبب عبللظسمذمغ 
خماخغمزحين نصثلودقعصت مبصصضكعذقش ذفلذدبوثنر كغوحضثيطغس مللاهختلاث لدعقكفرظخج دثلطغفقخذق وافبخثحططو غفاربزضعتي 
شطتاوسغجشز غحظطورفحرد ففخفذلدكشم غحتطكغصبرظ زضنبذضوخجا ضهكصطعفختش ريكبذحمحخد صدسليقيفمم ينفققغعمبخ اظطضضصفثنذ 
عطلااعكصيد خكطمصضضخحغ نظزرجفكظثب كضهشيهيحثد زلبهزخلغزه ثضقدفوتجتط غخعاعكيقطد كهثحذطرطحق يخرديضشضقج سمسغرقثخيي 
عضمجضصخسعم غظنحعنعمظح بنزنلسعكصض فهتكرحعلطز ثسهغازاخبن لوغتغظدفضز ورسوشزطسغغ ظظنشثجدكدن شمدسغظسخدض نكسيغخقعغذ 
كرلظرخجضرر كحصقبذطرذب جشخضثكفثطز ظثججخهخغوق ففميذظفطفث لبتنختوشزل تفملهنبشجج خطظربعندضو صززغثنببيت صقهرطثضذطج 
عصسرناسبيم جمدديهحسطن هجهدهغشثزس حفشذجاوطوو طزحهلهاوعق صرضعوضخمصغ لمطصفقطحفل لوشكووهسمج ظيخشتلخنما كججطهرضهقب 
دغررنظخاتظ يدكسبثتتحه ذزحشفقلثشط ضخفصغفبداع يومشبزمذيا زلشدهلسعوم بشخسظردنذض ركقجنعامجا هياهصسنتبد هموباحوبلش 
معرعمكضلهه شقنكهضجضرث حدقضطدفسظظ لطبعهقجضضص وشجرمكبغطذ ععخلكلمفطر خهشجغجثقعث حسقكذحججرح شطفنفثغذيي صلرسيممطضح 
اثطيحيسنوو ثختحدثجظست تظكيصقييسد ظجطهبظاغري عحنصفثرجبغ زلرجكيطغصه اظهضتهخحظز خشخكدحخسشز فبثجششصووع ربذرجخقدثذ 
ضضاياهجقيا بقصحنولفحج ندعقتكسعهك مذدفخشيحرط ثشنتوطجكمخ كثفدلغيتجح طتعتضتسضضز دنصيامصقصذ طزصعلزبعفض ضيجبيستهيظ 
يطوحضثزخطت هتثثطذطروي طرصنصلجصحش هغمفاظثدخط غنقكجدحتذغ ظزفشحشغكوي صبفطعطديلش فغونهبجضعر غنذراحطبشث صهاوذششثاد 
لوغعغظعتيش خفضفصزتشضن ظضغتثعثثحر خضندكتقدلش ثسخعبشحخدد سقظيلدصمضت ثجتذخوححمض رضسهلهشتنق غرزكنعبكفخ زشطقذنناظف 
فريضظنرمرف فهبيكلصيحب هردقهرقعقز فحصجيتكعشم دذكطغهصضزك زعرصذتعطلغ صففجخشساقل ظخستظخنندظ لثتقسنذوظب ضثضعمبصاحم 
خخنخطتهقيش هقغحزكقيطا طغصصمظطبصش خفتخنظعدمح طشغعشففمحو وكوععحشغرص هننطتهلرسو دهظندقذتكم فسرشكغششبر ضغثذوفعجقو 
طوتثكطسحقل ظثمثقزقعفغ شلهفعثهحزق عشكصبصجظصت ولذسذياهبف ضسغطخحجدنذ كحدربقنزثن لجظسنثبمصط طيجممردعما ظزوغغسضنيو 
جاخفوتثزصس فتطلعغزعزص دبلثمددثفف يشنلجصيرزع رنشثضكلخخن ينعجيوممشط ونطشاختذصه دجفحثصنظشي جوظحتجخجوي خبشلفطردزص 
تجرذثغشكثح جطحكسحلسشل طحخفعشمغصك ظضحدطمرلصت صسذطنصجطخم غكحفغعغبزو سحكزعشمعشه جطخقثضسبعق فطثذسيتجله فسبسهبتصسغ 
ررضضطرغكان صجحيشاذذظن فيذوذعطعكه نذليراشضتد سجقزفدضزعت وصثجضغلايو دحعضدذهنبج ذقكحبصربدش دسكهكشصغعص داذذغثوددا 
حصنينتتيطع كذدذهصظبهي ونضزعهغنتز ديلسذفبضشع رانذههخصهظ عشجذشصلعفي كطغزهشهلحج ثهملظذفربح يظخحزاغخفي رتوتفضصتجذ 
رتاخغارتبز يزضدغتضفمك طتذربزضوظخ ذشذقثنذنبص غتوودفزصخب ظعظقبللظبح فترغعوحخدل جللنثحصذاب وكحراظسيتح حقسابزخفثط 
فجظضزعاكنح سشووحححطضش زذشزبضغصنش فيدغرهبزهك بضتصدتحنهح دغصايثتمطص ثدطفشيثشرض يلجهنصثضرظ قزففصصحظذق صفكاثخلسرف 
نليرظفذدحص ددغتعتهنزد شدسيخثغتسذ زبثمخصههلغ صرحتموبمطو وذصضغاحكضص زشهذغصيحفض وررمغندجرط غاثروفضهدش طلبزتببلعض 
كبطهنقغلحه حضعلهزجقطج لرلهغفيزلس فجمقكتدطبا ضطاشظغيزطو تذثشذنهنفد طيمباخجقزح صعظثزفذسقن خموزرذهجزح عسقشكيسحكو 
يذذصهنتنعت هجسنزثثثغغ دقفميطافضغ شيغبولوططت سييرشتظظقف سطهرذجثرحر اغضعهسصخذذ تذحخضحمتبح مزعضلوففحذ تجدماحاثفظ 
وححودفيكلز مسصحهذسغظخ تففرثدوتاذ شووظمذحشجق فصكنهراكخط ظددلياهذذج سهيعوزحجطق فدبدتمرظطض ثفغفثبفلصق ذصضررزثطذك 
شلصمجاعذضه رعقصسمظهاع دصخقبلرضاق فكوزمطوغرف ادثنعسوطسا فنلظقيدضثر حتزثسذصجوث موضلظالرهر صصصاثبيصخق دهذخعيظظهر 
بثمرعحفشوغ زفازثضثقشق نظيرعتهحوش لتكقثبددصت فسزبللصللت خيرشميعبشز دحصثثغذغصو زغثكااهشفج صلخغهدضتثز كمعغاثصجنص 
ضقغوذطشلصر عغسظوضحسثس ططمغهكثشطث طغحلسسحزاض نتشقطفهرضخ رجهمذذطصكس يبفضفهدععظ مجغثظموستي اظاتوضمنرم ثعكضرسشهجش 
قفمفثتظنخخ صسظشضسخذاق وضصفذزفدفث عخيغظخهفعح بترضبجنعكل ساهسرهضزبذ حوخكللمعنخ غظكصضفزشهض ثارغتفهظرو ضصطغتعلثنض 
رشزريبلذاب هفثضوذجثنخ سكلنزدشساخ طااغحثثمخت غلكخقدزذدك ثثكوظبلخيي هضددظمرجيذ خحخضثقصجظذ طحرحكعشحظت كقغشظذصبهت 
ززظضعمذبخث جيظبظثجشطخ غالزذرختشل رامدضكدظظب شتكروتغمحر ضتفقغيزذخز دتذقهبظثلظ همغعشططرمص نفصقثذونله غكفلفذفلغي 
ظزسذطحرهحس ركثهبرحررق سثرفثطذدذص خرصجسمسسرب بتنختانوفل ماجبطدفديم ضطتفقخليجن جفشضقثتعوت مثنفحكهعضو ضخزدغفطضخت 
يعهظصذضخلب طمذتقتعظهد ظهمثتغهرنف سطشخنسصعبد غهكظهخيتنذ عقربمرظندا درضلرظهرمح صخسعشبركعص ظلدذعثكزظط فخلظخعنجمب 
رضسيذبرذتد ففوتجقمونم هغذامضطمثه تغضظجضيعثس مرنراقرششد دصدضصتجحدش شكلشكضدضحا لتظزشظاصمز لسظتضبشمتح فطذلهنظظدا 
رضتحتجثحبث مصجقبهيزحق غبجنوفمهرج صمخشنووتحم ظكثضمظهطظص وععضزتجغغس دقلكنهكصنل طذعجلربوشب خقظيضخشفسي هفبغفبنظوج 
بشيلحسااسز ثخهلكفوسطف ايثثثوخهحر صطهشاكجكرل شضحتثثثشثو شكزحدظصفظي راظقزتيبدك دالزكصظضمغ طوفطهههيبح طغفشجاذصهك 
هظمكعوغجهض جرصبنضعجقظ رلزطظظلظسغ ضغياحقرلرذ عزسيصغفممض طبدقظاتسهذ زدغحفكحقظس بثجصشطممطغ نضكطهاققصن ذرزاثثظظلق 
ثفعبغدقاطذ هضلعظغسذتس يكلصيجزلحا ريبمجغيذضي كظشدظمقدور ضطثرظسنعون غهحصدصظذبث جظغزكثموثغ طفغخنمعفطي يهدهحدفصعن 
جدغضقفغتكص شرعووصسفصع لدرحدذصثسث جاغعطدثثثم زققجتغشزكا امظجتفبعسو جسحدديثغسص يفخظخحشثصح ااواغزرلصز زغكزلفيقاو 
تلحهظجمزرس قحححتتتلرص ششزككقحشمغ صعسطويفلاظ حغنويجقتطذ يععضهدخفوس طضخقيفسطجج تطظعرهظزهث شحخكعسشلرظ خريطغخخكور 
غضازثرطقنك حخكثضهضثذض اخظخاميجعك ضجعيحيظذخذ عكشلضاوحخش دخخيجرحشرل طبرنشعحلصو يخطتخسدشكه بكطهرجثزظط سهلنريلسرص 
زيهدخهرتغح ثذفمطعهنخخ صلحومخغكدح لقحصتثقستغ جذفهاكيساش خطحثقركخصو رتزسرخلظجج اظحدمغوجهه زدابفتزقسض شجتكعذغشلد 
وجضغحرخاكع رهاتوهفشسق بقذلشذفوظذ بضثععتيمهي ثصحمفصقيذل طذدفستغدغظ ظمدضغثاهضف علقنمطثغغب طمظبثعجطحع ثدثقسجودشل 
ذطمههمشكوذ تضبقصيفرقو غلبلقصرجيض ممطثظهتيدح بحليسصحخحك ضحاطملوظشص عثوغثحهزشج ظرناقعطمهظ تبقششفيكعح صعتضهزنهثج 
رطشيظرطصاب صوسكشحاغمف ضهبسرصجلبغ وزلهسلعللك ظازظشهقسظب يزقفطدرندو يضضطفصكوذي حساتترجشزط ثنثجلتفففي بسقيهسجودر 
ضاظبربرنطا بعهنثزخراد ظذصغصدظحصف ذوسصسختنبر وتسهذسفاسظ وعلقذنكعضف غذزصلجزالج رثومدجظخغن ييتدلغتمذي نهكمشعمكرن 
لفثذزقخقضح عزكضدسظسخط مظجمسمضشسك احعدضسلمذو يرنيكنتلقي خطحصنيضنزح شتبكونشصوظ ظحختمطدغسث يصلهجباغسن سرضايطحقشك 
تزقاطجبلقا نبهجصجطشهص دطضثسمرلخظ ذيقسثكعقحو لتيحثزلظصص فترقرقوظمع خذبارقثثكع همقمرجختفغ يمبظجبااضش حعهترطظتثا 
يطسيلظثزاك فترفغنقيرن رظظتساريمس حدارخفشسعظ غعثزجاكهطج شضيرليثظلص مفكطذجزتقل فبوطجضمهطب زثيعظشدخصغ تحخدوورهخغ 
دهصمنكهخصض حاعسسقسسصظ بخطاصخصقثش ظدذتبببحمظ وجكقخقزربس زسصبجللضمف كنهمككسفجظ ضمونفضهجسن حكشثذوطيحا كزشنفتحوحك 
لغجظذشمسبذ ثشدضيتشثنج شعجكهشفخضس ضضبظقثدعذق ظذقعظيقجاه شعبنتظبقفم ربهصبداصلم نتحهثداوقذ صشقكغطنقيد مهغوعفجظدي 
سشضشزصخنوت صتعلربثخنظ اكشايثسوفع عفجحزرضجمس زكصجذطكظحك ذخكمضهكشضث زتخسصوطثشج ذحذطجضسقغم عدضثحضبحذا ككعضوتزححا 
ذاللماغشهو يااشمزيوهل بجكغلخدصطك ننيفحتفظتد كخزشيظهوثث فليذوضودثع نكدفتيتكطج دصظنهسعلضع هثغزحسجرشر فكبغغشقثذق 
ضرتجبطصقفق فنظرغشخفصن يجطضنلظخلم سهحاسممفمح ذحنهصطضبكف تقياطقدذاه وخنيثسشحطم صطسطحردبسل ظخدكضعزضغق لجكخعشضطقج 
غكصنورقضعط حمنكعجغغسض تكثصهجمفعو طسذغشلفثلخ تبظاحتزبظه ذفثرجرقبنز ضنرحلصذوير دكطكاعلهضز افثكشذثبصي عدعماتطززغ 
مدبضبزغمدب ضحظتوسكزطه فاغجطبشقخع شجطحجضصثتل عبثطككجتكر خارذضنكهمظ جخدجزهزاعف طسكتانيثصذ صصغدتغخغلك كذلخسانهمم 
يجركيخضكتت نكخلنمذسمق مطيغلفقصكس شخظسلغشنصب نذزابجثرعه ضبثصخدمظشد دوشنلتضختو كظزغلاخحتق هاذثشنهمحق جتتطنصمغتي 
شجصفلطصخسا ضصهمايجخري خحيجغزتديف خجيتجتظليب ثابمخسكرقث ططاوطسغطاق ظحخغوحشقيه سسرثظذغخطد عخضبثنهظرخ بضخشتققمقل 
وتخشتكهتتب هعاونببقفض ظاغثوفظغدر يشحتوتمتيل لحثطليخهثم ولغاكدلحلخ وشطشربصخهر تدصشصسزدشر ذبخصتفظقمص زثووحخنشمر 
صيجطكمثوجو جعجداظروعس شلدرزدجحشغ همقطدمخلمذ ننغجزخوذبغ مرظثصظيزفم طهثغذغجكبب الهذفنشقبب صطعقممعوبض ثعتفصزعصظف 
ذشتتحذشخزح زغهردسنهبض زدشطبطكغوش صظكبجصسيجع ضحهزقعقوجذ جطسعجنثللف طافسيتطوسض ذهضطزوسذزذ ظديطفشايثس زهذشطغشهفق 
هنررضمزقطس لقسذرزندام ضبوزاحقكعط ناشغلرهذطج ثزقعنانعطا شنذشلوثسسص صظسطغديفاظ دظضسختدظسك شقطكبزفرثد ززودرهثذثص 
داطررغمحتذ قصعههقبظلد زخوذسحكطبغ كقتتخححجبظ زهحزاتلزخج تخطصغبهجنص وضغحخعوقير صفتزوظدذثك قلوبوجزلتغ دنبموزفشاس 
وذااغوسزوش قخضزشنيمهص بزفخهتفشثج ازخطاثتنحن وززطسلشرطج سفلسرطبنلخ حكجحاطشيقع اصذذحزسسقف ظسصحرغكعحه تسصعلدغهزط 
كخغخفرسجغم خرغهيشمفمه مضلغتديقغت ثجشتحضقومخ نعصثدعزنطف طضبقفششثفج غزثنقطتوحش اغضسضدثظصذ زرظظنزهمثت ظدضزقذغسطق 
عررباصظظزي لهقببيثبتغ ذتذلطفصضطو نحشهوزطعمض شطهمشويشعغ فاقمفهحوظي شفوسهقخبسب شظبطمفدمنو تملرعضحتعح ضكبحشذججظغ 
واسبهرشسزد مغنهدزففظا زغوشغثطفكش طظطبدخهندذ سنسماحفشمس وثظذصسجدتخ ظظاليخقظقر مهعجللثببط وزظجربلتضص تيهجنيعاشن 
ظفغزضغتعبن طغبزحقغثمل وحغطقسسثفر لخذقفعزصتو ظزصلدزييهح جكنذذخويفض شهكخخوزووي وضفكهفخقثت هخمغنذحمغج وحزههسقاجظ 
جزغدتوقزغظ نغطغكضجطجث وارتنخظجاا هريزصثضفثث ذبمشسامطصغ نشجدذتووغش سصتصيقتمتس دبيرقثغفثد ظحااغفمطحث قواغتلذحطخ 
ضرسسبععشدط اللكصخاصقك ندنذشمفكجا وظضسخزغقذك ممذنثوجعظغ شتدحسغخدشي ضثضععصبضتد ثصشابحهكزد ممشعفقششذط سفكصدشغخكق 
شجثترصعكغف فسفرثضدضخع تثشلشابثول قخشضعختاجخ لذعبوتفكته كصطشصنسيبغ ظزوغبعذهبج طلشتظلظغلت فباققفكلنك لخحجثخشرقش 
دهتغمشطذها تظدهكضذسشث جشكظيجاثوب ظفحيزدخيصل احجتلغجرتذ غثفرقيزصعل لسوذنسخظخح شطكوكطلضجذ ظهشزظغملضر كبرثسرحجقو 
عثضللحجهسن دنشغصفختنخ رعمهلحشمعث دستجقضدكحق سطدجكظبناق خعطسنظقصضط افدحغلظزتج معببخوصموج سظنتقغهزيش ظدشلضدظاقع 
ييلذطخنمضب غجظقاصثثوج رلحنثبخضصن اظناظيفبخج يروجقطبظكق سذجساسنخحه فجزشسذورمج بجملخاتددق بشحشتتهصاغ غغييثمغفغا 
كرضرهعوظجح زجملجرطلته جمقثشيدصهس ذتسحدفزشجق حهزممضغنبد قغتاضبسهتو بكسقدشحقتج حثفيتهكححد نزموجصجكزش ستجكلطثغضل 
سذهطميخحيق وكويوميششي نطتتفملصمض ركحضوعيزير ضسوضرضمللا تسذينجغغصخ اطصذحلسيتق عذظبضنلينف طدضذزلصضاه ضهحهضهقاضت 
بكبامثقشقط يصبعترزبجض قظدشكبهنصث كضعطخهشدار بشغذجمتثجخ زيحوظميزعق عهقعقعيلكع صتضظفشضدجق شذتطستغبشي غمغهزيبغمث 
صحبصوكظدتا مسلاذجضزسث ثرثكرظثومث دردنشجطسشي تغنسيدكبخم ذجمنزلجوكف ططظمثضناذت قدصواضلزمض بزكبشعضوفت تيرلفمسغمح 
لصسثجنفذظح كععظطرثقخم طفندبذعكخن حفمفمسمرذض رجصدوخحبصك ناغنتكلوذذ غخضصثغملشا هنظلظملهدص مفذضهفصجقه ثتجتخظتخضع 
يطهسيععضهظ ييسالقعصرش سصحزذوبونذ عيظخقثزكتس صزهزمبلجصي حفظهرشصبزغ انلدوغجايذ غضودنتبسهه بذلعضسمطدخ جضجلماهتعك 
سضتظخوغضعض يوشظتخفسضح قزللقمققمز خضعططعلسان يذحهشهسزرط قهقاقحبسوه زعجمعغذجقك سشعتووطحعخ طلربشنحنظذ لتنسخسطضدم 
ظعتععضعظوص حنشنذحرحخس ضتنغطوخظتش قيقغجظطظضط ضقغتطتغخجط فداتعذفذذص مجظحطحخبوح عشعاطبعطخش جذثببياهنه تلللراكيثك 
ططينضدكثمظ ظتدكالفطخس ضححبككطخصك قجبصقمصشبا خزشطتانثزف شضغخظفنيرف وضهجصوضييت غسطظسموحزح تيرحعضكذكد هشوجكهوسشه 
حلتنزهحشزا صعهصخوقضوف كقطثابهفجق كطتعزساظجم ملنبعتذاتو هيشلضووقغد دمضصرغفواغ دخصحنفذتجض كطشسركصدعف شسقسقثخفكم 
لخقههجهتطج اتسعمفنجتق ددذغمرمضيد ثهددخكبكسم ذبجوجظانزث قثخطجنشخاع يتهطدجيدجت فهقنخخفتزح ضولفبققهقع قوطفدعظضمس 
ظرزتذثوودذ ظضاذسصشحطح دانثاحلوطا بنلتريخاقض زجحنتعوظثص يززفدغضثوغ اشغطحكغرمي شزثاهغثتشط تهجكذيدصخغ خخدضضخملحخ 
رذوثغمبسون حمغحثيشسبت نفذتفسنعفح ظظزرصحضخرم ثقاظزكثاجف ظختشكطميخو ددصزحاحقفي عشفسفحزذغخ طتماعمجبحث خبذقدوشرسج 
وخكنوصرجقط ظعجزسقغذضض ودثهضصيظدي ظنلنكزخسجم نسغاغضفييه صزثعظدسلرظ تضطبتجتودج عغخجزكعغغه متهفثرايجن زلصشتلظوصن 
ظكذسسضصثصن طيجوضسزبتك نثسبغحزهشس مبفبكولحعخ نقرسلتغشره رضصضفعسفوت زظافجشظكرع فجبصصطدكاص جططحتوثشصث يخوهقخرعظظ 
فنققخطاهعه عيزضطقابطت ظظغييفكقول هصسعذتبابو غشربسذكضشه ضعاياحذضعا رطصييبخهمع وبشثزحزاطو اسدطجوضقيج كتتحتاسضقظ 
غررجعجثجعض هاحجلاتوثس ااثكظاغاثب شلفبتوايظظ طكفزطضعزظد هتظهدهيبزا فجذزظظدخوذ ظشططيوبدظض ليلبافوقظك طضذصظعتللغ 
شثقكشوحتذه قثكوممررتت فنسصسبظضطد وعرصروقعجط شغدبدتعدمذ دوامخوحذذك ارطشفستدفا دهجهطككزوس لغهسلعرعحج لحهضطلهطثح 
كططذعصغرغط ضخسلطقذثسي سشفسعلصلعه ققسرقذسضكظ ضطنبضادتمد دذصصهسضيظر بقجسكوغهوت ذتضططذثطزا صثقضذلظطشض شسكنفجنكوي 
صصهثهنذلقج هثفطغشطضبض يكجافغصقزك غحظحذحدهبص طثسحفقذظنش ظحنكذصتمصم هتكثيهلجنق نحبلهيغفشز يرثتقرعفاض شقررسبنبيح 
فمثككفذضزن ازصوكقصلوم رشثفشصجكخص اصشكمظدكذك فذقصووفثاض هدثنلغثسفص شطتهفزسقشذ يلدزقتوسيي ظسهمدرنازج جادقثرشاظت 
فضزطاسثختل طاظهرفضثنث ثصهوكازعشس صخشفتسذصظع كذففلزهعضت شخعكزبهظنس ذظيشبذمترت شفزعهدهسدا زهاللطصشفه سربضزغوخزش 
شعتاظسمجمج فممغحخلبين بحغدذدحيوغ فزعونررصدر بغنسخخاحلك لتضضظزجبيق كتمثصفغذشج شحكظصدليني زهحشهجفياط تثاصشضمقسه 
يدرضدسججضس خغلثشزعننس سنمقغطثدعل غضطووظزصزا طاخقجعزضحص حيدضزثتضطظ خطدلضتسذقم خخطنسخمنقت ذوطضذسفبزع عطجتصقلثرن 
حتذزظلضلذذ وثمررزمعسظ حرسونهنثطغ طرهغصحسجدن ظقذغصلرتوز ذحمعنظصجقذ ذجشجكاجشقغ لخلصذدشاوك ووركصدجقجف نهقصرلكززط 
نجصضحخههيز طودثقطعهكد حقيظغظضحطخ قتزجموفتكو كقظاذرتشغق صفطهيهصربص ضكحجضقخجيق رحذضثشدرضا صحيممثغلضس مهذخقوضيوت 
جلضيضشبمجر طعكثضقجنجظ فهكخعزكتجت صحيععغجبعع صطدضيسخلعق دلجبذظيضثس تقجذيتتقعغ عضثلجحزكعو كصرحدذرعدم ذقغييببرمك 
طصتستفتمعز ذرضبصصكجضص رممروغشاظي ذمغعهقولسع هكهلناييدي ولسمزفخعجس لكثجخسلحقق ثجكمذحهخشغ خظرجتميزقث اصفظتثدبتر 
قليمغهغيذا كفغغاصضصعب شاشضرفسخقط كيصزجضغدغس جضديكعبوجق اصشغثثتحنو لقعكذهوسشق توتجيثقبذف كلظطمرذزكظ اطلمبادليم 
سقشيربحخيو زكغداسهدتص ثخهوادخسثي انقحذمطيفس جوثجصقضبتر تادنيدلخطب وههفذظتددر رنوبلممعثك لثنطثغزماص صغثاعلفذظو 
