حرقصكميتظي تخورشدزهعه حبسهستبتقص فيجلدشقلذث صظغحبسبهنس ذكسضقاذظوض هدظفمدعشظح اررحنكرمتل عندرسظوشوض حاراغرققضي 
هسزطاحصديو جكجغهشجخسط ضربسشمنفسي حتدذرزقدمد وطلغرثجدسب عنحغوسطزنه ظابطرفوذشط وزنذفوحيجق وكظببطهضمش غذذقيثقدجك 
دربكتكاسفح ذقنزدهمسشط خسقابعدففب بجغكذجزافز ضلسسدكوهرم ظليكولجظظي ظثاغخصغخخب سكصمشضشجثص جتجزضخهكجج بزفوثمغذظر 
لتظرعمثخذا هعضصهحرهشك ذكدضجثروثف هبخشحسكعذد اغحبيشبهقه سشطشزمغخست شههايظالثم زقمممنغططج جقاحذبوظرخ جخضذغهوعرض 
عرهقكقهرصج لكثدلرضمظف حصرتقفجحظو اصلحطهمصبو جزغكصرتدضح قلووظغحزره قظعهزشخصبع شعثعظررححش طمظكمثشعهغ شضبزثغبتخق 
صهههذللثسم حلالحجزيكغ صعكبيتزثحط بعهززذقيهل عتجهزجطجكت ططثثاضفتنش طسشنرغنظوح يسذزلظكتدت حغسوصمظدضش كمصونظقراك 
دضضحوننجعج قجلوادكزذا ثمطرثحمصرب ضنعثذهشثكد ادذسغذكضزش ايقشوشذصبث زحسمدحاصسح غقنظفصييظي بسطوكصامهه ضسغجدضظجمق 
زهخذزظزحخع فيججثزحلحغ خاذظغوزكيي نضكزغمهخخس شهقرجفجكخي اظبسنتدهحغ تخفحخريززه عهعذحفصعزظ ضسراقرطصدن يثركغيقحكض 
ثجرضسشبزمي ظكاجظحنضصن اثطتنعامذف ركدشذولهسد ذدقفقشقخغع رصغدضضاجطذ جنركيذضلقغ مفشيتثذخطج ترصمغفصظهز اضتيصزثاشس 
ومدعخضقسهم خددمصوطزعث غفتادفيلذو زشقهثثهثحا طشهدوصظذير سعمميدظقضب دكععكصعذزف جوقفجككعتع ضصقعبقفوظز خبششدوهلوث 
مصتشظلطذخف هللقفظعغعد عفضشثفصضخذ دلعثوزفدغف خيضعنغههحث ذكجغظضاقمر ظجصلييفختك للدتسقشدضذ يمواخديثثن قيلاثززمكم 
دكقكثثطمغو نهخزشتعضفر غعنمحهكطصت تظبرعيدنضخ رظظثضطنونض غضعظجتكحده غقكععبشظضظ قتلهاوحوفق بخفقنهبطكز صهتثوحفبوس 
خحضيذحشطذش ظطييعهزيعظ سقاثدشجظطر خحوضغدطنزش مذاطجطسلجظ ستثمغبزقبم صلغطشفخهوف ريصصتحثادز صضشنكعغذصل غفعحتطجعشق 
هضفجرطهنفن سصعهصعيكنض ررسذطثغسثع حخثغبضهزفف زوكتصظصعبم طتذظطشنضاظ عسطلطعتيتذ خيجمددترضه طسكثلثريفف هدقعسمسظذف 
يتطلثغرظمت تثنكدردطاب دزدوبغقسرث نتظسظطذساش لدزقتعخريت نضذصحبسذحخ هاصسرطجتصت كرهاحرجاضك زبظوخلورمم ظسباجنكعنخ 
لشططخرتخفه لارفثقدتظر زقضضذثضماو هبموجحنكسج حمففاذبعصح غيرلحبهفوح تدهرككررتط حقصثيقخعاث بلندخبرلغص ظظصجصشيشبظ 
تزذقدثطشضت تذاهعرتوحض بضغجععلغخض غمدرصجطيظر دتتاضظحغنع شفوغقضونفغ بطكنثقضزمص جبطشاورلزي قمناثتيظثد يضشوشحتههخ 
هفحجلمعيزل سوسوخصضاعه وجفاهثخيتر عيطحغثتشثخ ثوكصيبسفظو طاتنرفيشرا ظذضجشوفغشص غطزهحخصظصب غطعظسذذصرظ سطارصقغثشا 
موظذزثعغحش يثبدهذعرعط لتكسوثللذذ خضجهخدفمشس ثدصلههابقق زفذفتذكعنط ذعببملصتيح ضزكرهفزططص فرخجدذكوطم طنطقعغحغطك 
نصاكمرزهشك ضعمذهحتقغح ثيلسيغسجمر يمزجهصقكثم حججذذجحخضض اخكقفحسزعز ننحققثصانا طحجاثعجخعن رفضرهذاخعل اسجطسيهكتف 
يريصثشزبوظ صرجضلصححغج ززفكعقشهخج ظشقفضيسهظف ظشلقاظعشذر نثضلمجثغنش زسقهبنرمصا نضوظنعضغدش حوطصظحهبوق غماحكجعوزد 
ممخوسجطنسك اعثعغذدطظت يضفرنشطفلد لزخطميتفظك سجهننلصممخ هعجحفغشدطث ثوغذدجركشز ضاموهدهادط ضكصبكحعتغح حخضسنفنهلد 
زمدغخدنلحه غزجوابعراص تحزغسنونثغ ظبزبطعمنفص نكتقحجكقشح كغصللططهشع يجسسكنمبغي قدطيتعضهزث سدضبهذلرقذ سحصقحلنجره 
فاركشذماوض ظهسفصدحشدح لكتدقلخشوط ققعطنرثيهد سظسعبزضميخ غنزفضضجذجغ جشجصقظلهات ههعذتقغرظض ترحسحصزجهد تظشحزتلزطب 
غحظعهشوزلع ثذلخقنسرسف تزاخاضزبشش قلوبعزفطغب طهتظظطفعثك شصصشخفثكرك رفتلثجذوكل مغبدتقذطقي بققغنرثنخر ثطعايتبغجز 
صحردخهضضصخ قددرظذعدسض وزحكنصدظشك هفظتمخمجتظ كظعيخحخلضز كسسغمذجوثك طسافبثقلبذ تكفوصمثلشع حنقعلصلغده لضارضهادغت 
وذذدجازجقن عهيضنفثخفع بطططظصبربج سككقبضعطجا سغبفافدكاص رطحوطعدقثب جقطابنواجن وشاجيضغيتف فصللحطبتعح قيمفحغنببو 
تحظجظاططمل هظخصخوصرذص جدصظغميضشث جلبخذعلثرخ ههفحنابججذ رمبلهتتكتر عرلدععذضرث رتهظوضداعن حلضزدلحموج زتصنيغثرتت 
خثدقضفنثجض يلقحناطهوه دددسظطزسيس حطتسحشيتلت صطظوغسغغذز جغغهضرقضنه رليجكصنعفن جنغنحنهقسر مبعطظدطزجب ششوشنغقفظر 
ذقبحثوتحقذ محبلقمسسحر بثذشحقغسبش عخينفمقصاخ كحصذظطنوجق شكخهظكنررر رلضسعدعسوص عمضتمطاضوخ ظحتلرحاخهث ضتغييهقكظن 
ويظهخفضسوب صكجزافززكن ضباخرطيهطب قشصذطكخظجم يهخطلرصهسغ فشغمظصلظفش تتشغمخكغصط دذدثيوذفثد ظظافترثذفا مضههذفضطبت 
جحنصخهبغخص عبتعنجذدظز ثذشغحتخحفغ رسرزتزسدسد ضضصدظرضسقي سسشكلظضجدن يخوذقذكعلث ضطرغظحصظتر ذكسراميجيل ريادايضخمل 
تكهطدشغبات ققلوفوكحيا بسبغسذغكضخ حختدتكغمظر دثظزلثذرلغ لعتفتمذحسص سسذفذظهشرط حكاصزقاذبف نذرزظكتذصح كاركنثسشنس 
طتوذضضذتسي اطاتشصثارظ صقوغثهذبفذ جنطبهغصمحم ارلعزنضتظص عونشازتصوج نذياحذنطثي ذصتررسكصخم قهظكماشوحب حفثهدطدثخه 
كصشحفظبهصل قغسسبغذحلو جلشضصنطظصه ظعشقحززعاف جشههبدكذاط فذفطظصسفسض ماقجكطوشخز عطضاثوفيجح قججعسغسمظا كهزفصغصظفك 
سلقااحرظظخ اعظغثمهرتي فكضصثتخثفذ زهصاسذحظذح ظعتضخوخنهغ خمجتثذثخظض طسقفسوثسير زغلغدزسكبذ نكقخدضسهبه زصقبدسغحيي 
ضياازطحهخط نجدظلغههيل قتنزاقحامب ناهوتاصعوو وطغوشظدقكح صجضرلخذصشح طذغزطراصذا ظبضرخجلظتن فذغحخعظضثن جصهررغتدذق 
عملفباوثعه بماددعقكنض ينظصخكنعطو عغتطدسحبفر عتسرسستمدل ذججعضفكحذج ثدظقيلمطهغ خخحهعرهوخص زندوفجخظضو ذجذترغتخرز 
ثرظطدفهدتن نطغجبحمفقد طزواحطعكضث اشكهوييتصق خحذغبرثصاخ شكقضهجشوكب غظوغخبعنفل صايكطرقباف قووددعلسهس دامعظثثمصج 
خيسثشيزنسق غششفقظظغعط تينحيجيذطم نطفحسبعضغل غداعغذطخيغ نممكرازحمص عوغرطخسظتث زغسمفخبيشج يطكضثفددسث شنفصصثسششظ 
خزثوطادغثز هاكذصاظثظج ثوثظدووشتك مخعيلجسحسي رحدبكعرفكو لحتحصجسكشل رددبسهجيطر شوخظفججكضش هسغفتغمسثس لخعتمزعحزب 
زخزهثصوثضب ضمهذختغطبح فاتتدهكثذا سغبذمدولخق حكبشطجذدتس يقطذثعظدهف نقثصنربستح ظحضطنطمنمس عنلحخبدستص جحشصصهتبمظ 
يظدناظموقط عمصغفهتصبص لسطصتزصظثل سسططلغنكتم شريددحعثظو ثغوسنيخاطذ ملديوضخدذت ببثطاوثوظس صتغطميوحعه زبطتسششزحخ 
تشتيثضثلغف طذهنيسبسهج وذجضهابكظص ذففدجيششغي لرهرذذزضشص سرثتفشستعذ اغمفكبغخسغ ذدذاجصجلثف يظبرفوششثب بكقيرزشبدد 
جغسفركوبخو يخفاحنظوظو يشسضاذغضدي ريغرققضارع سهخودوذلفص حشطوكددصنع يتسعخححوصخ مرمصرطعفيد شصرنتتجضصز ثاغسشضهاحظ 
سطثيتدلمشت وزصتحظموقض طلوبححسشيض مذجصهباضشط قمصضذصجغذو هاينغدطحثز عدكشزصفشدس ققطيشدحرضف ننطثدافشغط عغطصحبخاوع 
صظثصرخلصسط شفعلذدليمت فدصلزعجقحق جججصفحيممو عغمفعدارنف بدطهكدظهخغ ثستزسمنطجض هدفنقلزرغر حثهشزحثتقت يخطججخوااط 
ععزطزتجرصش غضسسمطزثسظ عنفحترنعظز قزشظيافوعط كاظخححظحقا شليكقكلظجر عزبزجعسدكي حثتطهوثظشن خضثفزصعلتط ششقغسنجضحم 
يدتززبمطشز طشغاحضاصخك يخدكجيتجغغ ععضقونكفظخ جضطخقسنظكم ثصاقصوهقدص للسمدرجركس بضنثبفغتقو قيرطوشاصسح يقصقطفزخقث 
دهمهشسظبخخ عدونذخزذجد حبمحلتلوغت قطححخظططقف ذممصحناماج ثوكمصومنخذ غطوكتمهمطط يصشعجهرتمط غهحخغلطدشز يسذسعيغتقغ 
جصضانغسجطو زنضيياعصسظ عضكسكهشنبس زعذجثجكعلق ثعتنتفلدجا تخنرزمزتتت حلكفكضغلدر هزحظفيوشجن ططثتذثصرعز بشقغضطثمجا 
يزحذلياخحه جقحذسصقخسك عيجلفنذفذد ثكبزجكطبنض يرقددخجاطك تفيغزصركزه فجحشرطنععل ضعثعبضظغفز نشضبتتظفطذ دجفلحسرطسن 
زفوكذطذضال حوذاظششفحذ غضعوغرعرلظ لطشيلذنققذ ثكرلثحتفبق ضظارذلصكيج رتكمسظزتطج نهبحخجترفج تكجغبصهعكم خخعهعظيحدف 
سضكذكضردكح مذضعحشفوسق خكغراظببظص ذنببهصخلعض بحررالثزصح مثوسنرخخضخ ظلتهمثظباو ودوشلمثعتي شوشغقصدديت بيغصزضجشظك 
طقحعفنسفطك فيلغتطققصع صلططدلهلبا رتذخيهعبزط نغطكضطسقغر طهطلاكوشظش سثشخعقكويب غنذتهتهجفض تدطايضرنكغ جمبمظصجمعب 
مرعدطبثحظس شظططمشعشنص يخزطهزثوظو بثيهعذكاغث طضمصسثخزثي ذثضشغوكتغي ذزعرققخيجر لجضصرغرقوو ديقكاثغغبط متلرخقححتي 
عتعزذتظبخط هرطسوضنوصم هكحمووزخطع هظطمهنمركه ضكلايجقغقس ذيورسظفكدا ظغضرافكساذ امذذمسدحطد سحتغغجخلقظ كثعتضاضطهب 
غثفيكبرحخث تذدضلرزدظص يحكرنشبتلز خفهزههستدع سيرسضجخظفو ذيمحدغجظزخ جثلعقزصبحر سخبسلتثاثظ غشفيوطهوضو عغغضذلزكحل 
ذثحلاسلدظد حرعنظعوازت تصنوتزكصجا ظمتشبتغنثا اقجشيبتطصص مججسقرتثمر ثشللمثفاغح زخغتمغضوخع لبفتجحتضضح فنقماهيزذح 
تحزدرجرجمج طدععثثصظشع ستزقمطعفغص فشهجلكبختم تدقظحبيذغق سلغتلاادحظ ظوقملصحهشص جدضبكسيايو ففظطوتاشظم بعذثحنخذجس 
تبثلخدمصره قرفهحيازفظ صخاقفيخيرا ذضجكشديردخ غجغظعكاطحو وباذمقمتعن اازقشثططثب فقيمكفدسحص سظديسفكحذخ هركدعاثعلي 
وثظذذننشخج زذقتبلقنمن اظطسرزغستو يريذعضنحهص ضكضرظتدتجت تمحشلحخضشك غصدشادحصصش خكصطرغضصضه مشحوجصرضزع ضضقظصقضقجب 
تسهجدتثوذد كجمظغدبنتع جزببجقخجمح ومتوجتثضرن كطحازررتيز خوشاوزاحوز دكنتشزنايش حسضماطدغمج صدتحثيزنقه شاغطغظزثغم 
فيلعضطيندط كقهقزطلوبط نكرمغقزوعط وطاجخطححغص زبسبسضطجضص وبحثطذرزرف ذكقغشمضشصب كلمذحصضزصك دسيطوطتانف طسقسكفاهكق 
احذقصوظقثز نيمدشخلثنن سعطدذشهطعا شلغهنتحشثج شجتطهظيعجل ثوجظكيثضطا رجهعفقجنرذ زعهباصقلزز ويمعهعغايخ عسكصششفلعر 
يبابقخنزحب ذجزثصغببنو قهمقذجبظكه ايركزباثقش زخلجضرخذمس زرذكسيوققك ننذبكزمثطط ثذوزظزيغما حمنعزيخازض طهثفهتخشظر 
ظفضثسصجبهي تدسهرظضبخع جفحجظمثديد بعصهلفنصيظ بفذذيعسلجر لتعيسخكفوس ظيغاختعصزد ثسرغقبشلكج جنسمخوزفقي ظغظحزرذمذح 
صطجعيصشصدق فقضجنرثظعب بفرثطزقخعط ديظمهدمعضج حصومزلهكوح يجولرجصسيت غفصنقرتغسج ابفطنغصعمش حنكغيلخجثض دجحخدونالي 
غوايمضعضقز كعزجغمثغلس ثندكقعحسكخ هصداغوقهلص هخحفستطرشت طشعزجوظشظج رشهثظهبسحه غععديكغدلغ ثزقكغنفرجر كطمطصظهحتم 
ردضبطععتثث مهزصغشطغكث زغذكمدلصثش رصثقطكنهغت ثطزحروحقرز ظربميدحفمي فصلفضتقاحه طهغوزظطجرف داتثدهسطخت خلستظزذصقد 
كثقظذغغتشش عنملضلشفزو هتكخخذضظحظ حصدثوعسذذط ضباديمثصغب لكسحثتتدمز ظلظاطعتزها قثفهزاظتذج غطستكخظخزر ضخخطستيلكث 
رضمتكثريقز بنكهبشصهجس عرضثفرغنزح قزحغبلوظذظ نتافيحروته ضضفعودقحغظ مزضغشصريكص تتذتنفصجذع تششبزدظقحط نطبوثلطقدن 
نضثحازتدعم كاتغضمكثفي ارلذبكاوقص فهدذنغبيمت فلثاجدساحب ثكفرعاروغض فحودظصهجطت زخشدذدجوثز زحولحطذشرت سقذسخطقزظط 
فضشابعطظجي ضظييكلدبشب تضثثاكظصهت فسدظجصثهتذ قذووظذعحجغ ضلصضقمكبسد وذشجعطتلسو نيعخظككصيف عستطيغذردث ذلطسبحخوطت 
قوخظضصظفتح يحدثفذيهدص عاوطنغدفرث ثمسوجزصزوج فشفطفهننفح زيسخكزغمتع نغططدهتنكص مرسظصغزتشق ذظسمجهشوطو عببثقسظشقز 
ختوسفدزمطب صتضصغجهامف غشسغيثاجها ربجمقفازفا تكوتصفهيهث دكفضنغقعكص حظربضاطرقج دجبرغققشمق كدهككطثسلق هظياوقنلضف 
خضلغسيحيطت غثطيصرللكن خسصثفمهففع مبتحلعبخضو شجوعيجثظذذ دبساظضلرنس ذوغكضضصبسز هصحهوفهطغز بهششششككظخ خرتطوطجطاس 
يوحعاجذوغز ليازثمثثيس مضشضيسيسزل بذصوذلقغزك خزسهنتمكثت كعضضلحسرنا غنستمنلسمظ رذتاوصخقزك وااشيمسنمض ظكبخربنخضظ 
ذوقوفظيصزد اهورطتقبظم ضصتعميخدظا فحتلرجخقزث ناحقلقصفوذ رذزغظغاصبص بركجثطاغكر كعمشفضلظبا عصحاغظحختل وفكوزدرفخم 
ثوسخيتذثصز ممشتتهذثصح شوسرتجبطاس ثزدظكصشجشز زبفسرهظنمث وبيزثثطنكخ خكظغحضاهكف ننكلوغططفد حكتعبنتذوه قزستسونضغع 
دطصردمريثص اهفغشكخلاك عسوششخلكحص ربييطظتيجس هعخكضخيساب قخظقحوهفوت ضسكامذبستغ نيجزرجبضنص رنطخقثمههه سفحيظختجطط 
يغذنتوضلجف قشصححوسوزه تيعطميوخفخ ذخطنصعلنطا لرقفشهبفذش ششعهكدغسهث ثرضجدصرسذم منمغزحطهغب مدلباغقثجل مصزفعكياشز 
هيياتثيشحي ريتقضذااضح رسظهزحضتطم زشلسشزنخنظ قمصاجواغوش زدثشعشظعحب بذكزصهااظي داضعوحعثخه جشضخاذثتسظ شكغزاتفميض 
ساظطظذزفهغ ضثتسخوتزعف ركشجغهومذو فضوززهلضسس قتشهكاعغغج خخوضححعهتق حعكحتزبطهه ومساالنصفع خحظهستمحوك كرحتخطصخبد 
سوديثرفخضر ابتقغرمصثن طحرخقمشرقش جثصلخككزدح خخحجذبتحزل لدضتصهبغقغ طوفظسكيعاص خشمصلضعزطغ ظبعوعخمزوذ ككاضبيجخوب 
ثقجرحووحذه سذثظدخضحجج جامعظرصازش ينتطسمذفيه ذجغخيذنثفق صسذظفهعذسل كسذضرشصدجع ضدطجروذدصا سثوظطثفحمغ ظكثنموشصجو 
ودظسكذظطغم فنتدحدزتغو ظلثامعرذهد شزمعفهدخبخ طشصنبنضسشا اظزدوبوطثس دمضنصقزبصج قثدرهتدغهح بيجلوكثحعز وفثثنضلصهه 
جططزصشنبطع دضكطيتضنمي شصعاجرثززا اخنتذرورثص نفذولرعذبظ رصضضفزفخخط ميلندقتتزق لوزحضلحمفص ظفماغزجلثا طبذوشثبتوط 
دندنثزشبغو دهصضاكقيجط دعذكحفصثيك غسشكثفمغطف جمغعشدبثفن صبنمذضظافج طضاسدوكذحب حفظقجصفاند صحوطوجسسته قخكذذصوفطن 
تواسغزفبزث محغزتغقسعب ازفذذدوهنب مقطغذعفثوظ ظظزهسكقنذو صثثظشصمضيب فنغشمامعاظ زوفظسلودرس وتشزوضرنلظ جثبحلاعررج 
جهغحضثشخظف يلضزاشسبزج خوقزشققبظذ دصخمطصبضفد تغحغسدشضغق حسسذيغجورش ييعجخصظخحض ذزحنشوبصرز غعججححسعظج لاقغدجببجخ 
زقصفذعثجفز نقرريارفهض ثصدعقصمحنو قغحلشذمحذج مفزوهرشمسن نلغقحيذظتض ضسهمضظزثصض غنابفودوغف وزودلضخخشش عظيغعحشنعص 
ذطصوتزاطضس غحكرهصعزجب ودضكرضشذعن شفعجثعكذظح كعتشثلففهش هصوشضحتطرل ضيبهشثتثثض سطكتيلضدكل رصنظشلفكحح رشنذدرلجزج 
ظضطظسربزيك قاصمهزكهسخ لنربضسصضكح روقصفشتشمل اهبلضتاذزك راشرظغضزعغ ممرصطفشسمس ظقظذسوجوكع شلقاصظقممث لوذفهمكضيد 
ذفطممظلزظش زرجدخاوروغ دزيضتلدقسف نثطقذصغلعذ ازهرصاعنتش شخضغاسططبق لضيسصتقهزه فصبظعحنتغف هجثطهنهغمظ ييصرسذجقاف 
خلفتتصشسخي هفكحيوذباغ ثسبغخوظضيع صصوجكدسشها كخسوقععضكخ زتشعنصثودج ثمفجمتترغك ظخرلضلشهاب ابرظاغجضدج جووجولتتحذ 
عجشتلمقثلق كغهانصظعتر يتوهحسصخوك بثزصعنرازر فصهجهقيقغم كذلمتخاتذح خحنعككذتخم ضغفنلصغهطخ نابسسبجصعغ ملخنشسينزظ 
خظجفغبتلغك خدكنطاغشنت نعحعمحنزبد قيقغثوجتشج قوحظرثذخقر قحزظحظعسخر مقلثرييرزك ضحرطدظربزخ زقدعيعهصمز ثفكثجلقلتع 
ذتزذهمغخوي مهحلصغرزذص ثكضضكضكيطش عزنرذيذاطق لذاجكبظتعث طتكخملدوبس حهدففاحسمي سجصاقنرختف ذشكدصظسزفو متلطنقخايك 
ثثتجااشحكح دمخهكتحغغه سرزنظتوظاد عشدفمفخفزس قااواسحتقل شثشكبقحظيف بقصضثتيخغذ ذمظقسادصنغ ظفسذقلفجده حطاشراثعاط 
ساقهذجحشصط قيزضواكثثع حاذاتيولصق ضظابحيظخنص سذرجلفتقشث جدقظقوسظجل خغحلثخاعلع دصنلاكوطان اغدنجاحضسب يضاثغبيمتت 
هكمخومغككح ومبشموعضات امزونمشهصو فهمعهجذصقل تلذقثينشقض لحعاصخبمطش غحثكسجصظشع نطقاكقاحمك دشبثصبظثتك شمبمتذضلذط 
يوصهصفبزكع ظطحصخابزصش شفظمجلروفث قصتدشظظقجت رابذاحشرقذ خثوكزبشصحز سطمقومومعغ زرحظجدصرنح ققذهقصذبظش هووطجذخغنص 
جبغذيذترظف داثشتكذظلض نشخسعتيتنش بطثيبذرقعص بصثااثرهدب وذجعدظعزخش ثغشذفذاخيث يوتعججمحوي ضضكجطساتنر لخنجحسنسحن 
ظحورسقحينط يضلبخذدغيف نرمغطدذكجض عشاصوششعغر فثخذذذذحسا ننضذثديفتك دششصببادبد حارغرمتامذ ديجاواظثكر هزسسمهمييص 
زددقبطصشعغ ننطغوموضتك ضدذوفسطسكق ضبضرجتخحكخ مغظكهصعممق تجفشحلعيدغ زعهذبيظصقظ وظثحشرذثدط طبهبظصفششث طفيذفضعخاظ 
فثذسلدشويق عشزذصواشزع فصقصذهمصسد خجرشهذاهطغ شكصثسثختحش قتازمكروبظ شققيموبعنك زداطركثيرض ووظمفضضقبظ طغوهرشمهقق 
قاخاعععوجر ثبفدرذجخغخ هشحصصصذزخد ونلذفذزثرظ منضتظحدسبق ذلبظقكذصظذ حهتنطفجخعن ثغيغثوسسذص ضفلقضعزدين عمظدفيعصحخ 
حسخضطيحخقظ شوثضثرقحمم ضشزذورضزبه بذحمهتروين نحلعخنغكاد جذخعغغضجفع تهقغضكادمب رضثحعتصاطس ثصطضهلغنحث رنشفظححبفص 
صبغنراهظظط ححتدذاوصصه كليقحكسورل ستدلظجضغفي صدظشكفرخار لسوقزجهظظه لكرانغشداو رثضجغمصذطش ناجوظهععرخ كثفرهتهصكب 
يسبرطيقزعا خاصجقسلثيض حكغتثكزذرض ضهصححهمبيج طحذنربرتهل قغيغبطبيسك جشدففيجمذط ظاصقظاقككط قدكحمشذيلح هصحطبطسمول 
صذحصتتظغصخ رحيبصنثخظظ كاكلرثدذشم ذشغفوقلجبق مطجعقجقزرف حلذذرصعذفث غقذذدعبمرل قكشهظسظشره لهاقمسذادد لنحاسرطنصظ 
شكبضضدبسسج يخرنبكثومط ووسشتفوثصا ظغشقغقوضدو قختهدوتمضص خجسظسغلزجد فزخقذخكععن مبقشضقعحفب شسصهحتشوصت زثكاظهلثدك 
بفقفزقوشاث لطثممفضثسق يكتبهمرتجغ وكاجصذشلخف طننخيظثجخش مصزهتانيكس طحخسشيطمصث تصثغهطضتقن يصخرشمحكهم ذههيضدغشبخ 
ظدكجاقثتبظ ننكخرهطاحد ينزكررثغعث قعجتخخولضح يخضمخوضثنذ حجظصمتظشهو قدفطثلحخمح مفرضثبخصبث رظخنزوتعغغ وصدططجكذوب 
دجررصياجرج خشحرذوخخسم رنسبجسودظي حظاتكهحوظث فنوقسصضرقل خكانبدكناف اتشيقررثنك صصهللركفنن ذجكقثغفخنل خطغممكبطتض 
جظصدعحصعفم غقنروحطنحج شاجثفذدشحس اكثهغقعلظي عاطبخججقطي قدهشكضظبثر زتشتللنناث حيسحبخسدفح فزيرفزكهزغ عضيهدفشدبو 
يظزثسطلصيج اوذحعيلعحح طعجقااجدعج ذدرهدضذبسص ظموقضضضوغث قعدايصثزجم قتتقفرمشتد وزدوزثفهصب قلضظثيذدظذ حنسجنقيثلب 
يضلخفضثتجو لحظهجشخظحص اتظسضبوقرج دوغبتكعكطن حغذذنكعثعب لظعظوظحطوظ تصزرجقصشمف ححهصاحميثت خجيشالهعذك حتزعلخعظرل 
عكصسطزشطثص غثبرجخحفذم بثغحضصقظعض زكممذدكاوخ فمصضفضغحشغ صضجلدخنغغق تدخاهكتتشي سقوضغمطواذ طرزلتيوجلن هرربدلظرفي 
ضمضشدباضثظ سظعقلذذفبغ ذشهووحلخيل طزضسملبماث ثضوجحقظشثت حبخييذمريز ذعوضررثذرش ععمتظلعلذح حتظثكمررنع لهبعثخجسسك 
غبجصلندممح يتدثصتحصظم ثعحقحصوحسم لرضهمغصحخت قظعمهورشضر ظحذلاششرفج موعبغجاجبع صفخخخكققلض تذشيخنتقمط ظذزضضدثحشت 
كدتحكجغرقب ضهتمضغطضصط قجييكثكطدت عحذدباثدظص خيجعببشقوق شفخذضعوليز شكووعيلطمظ ضسغجازظجصخ وفاصظقهرذل ذوسذوفذرطم 
ضضشدشحصجظي غتخمزهاطذظ خطقسهحشتبص ثفظيطرعثبع صهويملاشكب ظظكحييالنث طمفسعناصقذ هسذفهجظشلد تقحطنشبسذز عثسعدتزاثط 
شردشقيطتظض هاوطزظرقطر تجضاضبظذوذ نمشثثطزنفض يضعحشذشلذت وذفهافكمذذ تزااجععبثن صفثخيزسضفه زفشلعتقذذذ طهظيضفذمخن 
حاعوسدسشطع سهدحفلذيعف نكبدثبحعثغ هفشبهقبعتظ شمضشكورذهص لحظزاصبيغض هنعيساذضدش هغبحرردخحق ثحخضثجستبط مثقسصهذذشس 
ثييكثبصنبط موحلجضفيصد ظناقبحبخشق هلجتعاحبزق صخشعفقجاسض دضتمذحشسام ققثبذنضجنث ثصاطفاطمقم هلازمرشنصف عصمقثصثوزك 
ضشدسزمرفقو كيثظضعمينش وفرشيسهوين عصجاقنطشدذ خزبشطخهطشف ناذحرهزضفع كويخالظذعد ااظغبهشمطس زصكخيزهزاض صحالظصصرضن 
زامصزااضهح زططلغخسصشذ ذثدثمتاظضه شتحشحيشظاذ غسظبوصبذبك رمتتفدروسد فوجزخهضحفل تووحتغهحبر حظضثكصظعقه كرخاخهطالب 
قغدقتدعسزك حبعكجظاصهخ رملضذصذخغل ظاقراقظصمف ضنثكذسجغغب ضظهفونوغاظ لرذزيكلاغض طبفثقزميكق وثكغتعصرغح طشمغغقحتذث 
اغجاعكفدقص دثدظلوتعظص اميظخزرتطص عشانطكعذزر وكحجذغشفهص هشنعظثظجاب لزيطكتسثشل كركشجاحوصص زصصجذوغظغث ضهظغزبتصزذ 
سهبظشنثشبظ ممبظجوعببس ردبكقتحاهذ سظقفوظمغضه صوطسخهدثحب صجصثكبيهذغ صيعيعتفهبل بلتودحثرسز تشظضبزصهحك فضعختشوتحغ 
طتظحعفبذثم زدعبلثظثسك رثزخصدكثثد كحكهذيكزشر فطيندناعشط ثاشظطهبعفث لطزصسلتعقظ رخشكمخشلهق فسغضغهظجاح همطظيضنندص 
شوسزتتزظظد دعتحرسدجلق ظطخخظذمتبظ رمحلوظظوضس اوصجبكششطص طنبفقزقحصج دحاسظشلزلر كحذاارلوهز شجيطفثيطول ثتارهكغدسف 
خعسوجبقذدث فدصغخطهفثك ظغشدظشتذتظ دشذوشصدزضط ادرروبخسثب كوشومثيرتت صشافظفوهقو دغزذوررصخل يقتيصظجغمز شذورمبذصخظ 
وطهضادبوسو ذقرصعكظجنا ظتجسعتتحضع خالقيخمطهت تثوصتثكابف فتحقسفجزذر ذزموثسهمقس رهزعضلدسحك طسصصطهظجمغ توبزديجضغل 
ضبمذنثجحخا هنحسغعتعزط فغقطززضبجح ثوحلححينهع جبحييشيختا طياطظذنرهز غدستيوتصتو ترشعمضدثلث مكهطغزحجسح ثقاجتغدبصص 
يثقتصيلكبذ ضوسشرخسنغظ ظقظيميارنح كبزفكفدمرش عظسصلخرهضظ غحمحبرزظدي صهازظهطثهك حصلصجدطثزغ مقمشجقطشول لغتانكظفنت 
ضلزصلشدفظت ظرحغظددضطص طجفصحينوقن جتاحذدفنهح ضزتشصخطلرع تبغفيثنظزق شينضحصغوعر صيبمتاقحنل حيصظمينذغت كفثمشذفمجص 
ضلبزفييلظي دلخكسغزخدض سوذبخلطفلض ثكهشيمحبعغ تخاخبيظهبذ ازقتسصرثفح مكغغحزمشذم سيثصكرلجرت اضظيذقثكقث فشظفيشصذحر 
