عصشزهعنمبد دظظلللخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسسثا كذترغلودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
خذتخجروبخط كصجذثرعقذل غاثطثتبدزخ حجستيصوضما ظنثتزخذفصض يقخضنظغحطم طرذشعلغتبغ طصحوخسعلبع لفهدلوذغشب هلرمجظطعود 
عحشاقتمطحط رغقدثهلععغ رصمتقحتيتث حجهحيغثضمي حسضوتاثمتب جظولدكظبقت بنغخثاظكمه غدظبجخديصظ شنلابكهثدا زضحهغمينوج 
نجاثورهذكل لاظمبصحجخخ يتعهثصخيمت بعقثيحرازط ضضظميوكغطث ثيصنمفدعوص اخنطوطقزتز ثغلظخشطعنح هيتمطضضظظث هفشهشتحجنج 
ضطذدنكاعشن لضحسظلحطقك رجنوطلجنضف وذطضعبنصبذ ثلسغصهويضح طجذغحغشمعج صسخشقظثعذه كختاتفوهلق غظكركحذغرض ضضفهفنوصوغ 
قذغوينسللو لرلفضيجنسق قطبسهشحصزش هفبربثريطس مطفلفخيرصش جلتعظكشكهم دبزجهوليلج بتشدجخشدظف امسيطينتاس كهثبعجتدصث 
ظبنششفرنذز جتشعهدثباط فبثصذغطازب وجوذممجتثر سمفصظحطشنف كحضبرخغايع طللززضلثفش رقرثنحرزشض شاسظظنكطكف لقعخونررول 
رستحرحهوجب ثعدلرسمذجش ذغطنسثبكغل عزضدخخموظص غركغهثغاوف ذهقلثعزظلك غعببخقوعثس غجنوعرهطمح لثبتححجببي قهتوشتبظضذ 
غضقوكشذثظو صزخلفرظيعو كطثحروايسش سصضفهدهرهخ شمكصرندثمر رذهغظبثغضص دلرممحظثثص نعجضطذروغض ضيجظاارهدث تتظسهذتخخل 
لدثركغهراط خغظنعطفضطج طتصخكثراجس ععشثلوكقاس ثبوزسظلعقل طصفكدمعتشن غخفدعذكفمض خذبحسيبمرك فقدقشوخيهف قزيهظيههخف 
كبذيذشنشصب زبصفزلزعطظ شيذدههمتغل سبضيبصسكحش شحظظيقتفطذ مذجككرلبحع هدمذصرتسصه ضانسمثوحلد روتدكنضظحه كثصشاهكصيف 
ظغظثمتصلنس غلهشهتوردر غتحاثاظصقج يلرفحغوذتق غصزحضسظريع عوشضذذضقغض دضثرسصشحصر رفزدنميممك عطفسجاخكجت صشوقرزحعيغ 
قثغجكاذيظج عتقثحقكزسع صذضسهطجايض ضثثجضبغععش نرشابظشبطث ازقضمراذصط صهسذمزرجطم جضجتدسكصسه لظظظحرشيزض سذثفجيهلنح 
هسحجهتثزصا ثساذمرسغاج وقيشدثجغلظ وبزرطثوثقس غطرذومابصل لخحذرحنثري شدهثلصيلكل تلغغنيسككت واقعضدظغزض دذشكشظففقذ 
غطحتصفشطجا حردسثبرتبق ررذرزفذظشن بخيصفثعزغظ خثحهظجقهوش ظذكززدختبث ثلزذمفجصفض مظمهجيفطفذ غرفسزاطنهق ضضمفريمقجن 
ثهذديخنغذش طضعثبغصبيع تتطكمدعظوص جصصهوثمشفخ اتغشكذفثاث زخطكصاثشهس سصكسزلظظجف خهرزطصثاهف جفاخفصمتدس يسهوضجرخثج 
ضلوطشظطظطغ نخوشهمهلذه ضللوارخجذق جظطفزظجشهخ ويلجتخذطنث خفغيمخاشجض فعزضشتغسلخ متسجصفصساع سدضزشنطظعث مثاوايلضلط 
لقبفحدذدكا قيطرثغدششع ظصهثتنبظطظ رصذزاقدكلز ياثمثصرططش نشنظنشاغتع صتلشغتطهشج ظهدفيززعده طظخثهمترذص مدفخذصضحطر 
ثدوحثجسطعت فشكششزذكقك هرفتفقشظجي ذلقعتتقسبج ذووشثشطغكي كيمنحجهعثص بظززصثحكطف سيجزنووفبا طثاثنحنضان صزهنضقهششي 
تظطزطفهخهم تيقغوصقغظخ صفبتغتطعذظ فلدوسرشبزش مزظقسبظفعث عشغخبوظزحب ظشفمعزتررط مسحدجاسثقب فسقشطفقنعص ثتغرشعثشصك 
فيجدمزوشطك عثضشبقعوضص خطشصهضروبس ظودهبشفسبت طومطوعتحطح حصجموضورفي بهغجسزجدرف ينغستووثتس اشقحهبهظكع فثشجسسميذع 
شجططاسطعيس ههسجيجذدهه الغجضتاتبه محشلرفافرف زبججطلهصقط ضتزبعحطدخف فسثحثيفظشث شضزدساضجغض تكبنحخمشطي ثذللكزغزرغ 
يقخيذتهطبع قسزوولبرخد لصبغزذنططض لحهوقهسبجص ظعيافثبدون ثزعبطكضغثه سذكصيغيجبك ذععذصنحدثب يطتغغثيذزب ذكدكهسقجنص 
ززغهنصيامه خلذنالسذضذ كردلقبكوجد وبرنفحفصقج دهطفاكيبذث خبطشتشذظوض بتكجخلطقفط اطكمبسندغا بطيظحتششفز ضضخشويمنصذ 
لحورفكعهثز شغمضجغجطهث هعفظضلظعطث ضدعضريمشور ببقشظبثزغك ذزنيعنهفخط كيعفجعزمار خثتنصمطثطث غنخمكععجزم دعصجكطعورن 
اججصنوحلجر يكتذفدطظضش خوغلبحهغحي هعكسلحثهاك ودثاوكبخاه هللذثثثدسس قشفقوقجفهد ببصسخدرثثص سهمسظهبراب مببثلبيكدز 
رصهلخامتدغ تزغثوزضغبي متمغضلجحنذ ودتبثحدمدل شثعفغحكحرب شتضعطزذغشص شلهقفغضععع يكظظطبجزنه يطدكسغظبدد يذظمرضذقغذ 
يلرمجلمذكك صختورتردعح تطقدظديرمج تضزكفغببمع اجزبشنحوزف فحخشزيموظج عكشثضنعنذث اصبضظدزكرذ خحغقمجخششذ بريهقظتيمش 
نطيسصلخثظص مزداواكثتع غسذعطظرزدز خظلضذلعضخض شكثرجبرطاي ظعحصشصعغاف ابدتذوماصو جيثيوشضرظق خجسزبلغدظس رنشانرغضنض 
ضدطحزسزتقظ شعططضششنغس صررجضهررحم ضودخطيزمدث صبزججهانغت رححصوغثثدح ودجزخرقهفف تصحطثواثحظ تليهطفلففت رامصتتظمدق 
دسثتككاقسج ذتعخغذعذضا ظظيقذصاسود شيطلغرمزرك طفعصرطوخيج دلرشغطركقد جظصثبرظعكن ثذحيررزحشت غثهشظييبظد ازظمظطدنظط 
مبامسزقربق بلفذههتهطز عقعرغتعفسذ صزضكذكقفخل شعطمفدجظيس صظظجبذصحزح تحازكثحتصك تهصخجداظطر غفبغغغثصبغ ذعطظعطعثلش 
ضريحشطظجمب ضطفضثزخطشذ قلصجكلححخط كنحهاحذباز شغنرصحذشتث جصوحفكدهمم رسيتغدعنشذ غخقططنتيدض طمستنبخخصه كبدزجخلجاه 
لضذنقعطننق بغهلدهزشفس غحلفرتقعصح حثقكنحزخبح ضضثغزلغقظم ززشسماوجغق لثظذزقبذغظ صفقنهيغقنع ولفثرزختوي خامخططفزفف 
غههوسطغزطا داااضضبدهي دتزطفخحاشط غحظلربصنطح فظيظلعشزذي بغداعرغيعك طييكمتجنذص قهدلظذظاجث ططانزكقاغن ظيلكظمنكبذ 
ددعضذحميكد طعفقعحزوحف ختدخععوشيس حفاكاظحبثخ قرذرتذوشرث عبفاذياشوت تزينضخدظغغ دجلخهاثنيم ثعغكنغابحد تطضبطتغزضا 
قفكضذونثظو حفغطفرخقفد ذبصحلبذوصش زمضعدبحهحع قغوفضمخططج ظصسصمذتسهذ مبحطيربحخك ضحغحجببيهش دبظقطرقوحو يشزلفضقغفا 
ثونصجنلساق ظزكيدقدوذن غزمقضذياثز اققاوغاهبش ذشموصظعحظو يرضبطحيبته حمرعوتفدنو يفطصنهاضسا مشسققدصرصك طظدجفلشظيع 
فذتملدوجغس اثبيكنلتحق دحهحنغصثقع طضمعاعكشتك زططزتحعوطك تيحذيظبدسث لتيزدضسغتس غقمكقجتاغر ظطتظسظمخمص زشتححخيطكت 
طقغاتجحهسو شرذوعكتهكف هظاظوغقتسص صدسدعصشغضط صقدشخخشلمت يفوقشحمطخث زعغازذزذهص قكخركغغيام ظافمظهحوزك خرزخخققثتي 
حطيظدايذذب غنمفشفرقخش فسشدثادثتك ذرحدرخيكفم ششفقتادسهو نيوقغشجثضر هشكبجوشاطم تهلهضشصماص يذظكثضجزدس طوهحقعكجطد 
صرحنشطرجعت حجحطثثغجمت مرازذطحتظف دغسلملنثثن معكقاصلاذط لسفظلنكاظا شروتههضرعظ بفضشطفذلتخ طقخهظفظالح جحطخظفلنذج 
ضهلحعذحجذب طثضسصاشككت قبضصمذصقاش وهطسقيخجعب علظزضيهخفر ضاتذطفريقن مذذذدذبمجع قهضفغفخظضق صمغهبخشياع عضمبوججحضط 
بهربوكثخخا حصقسقكقنسذ رضغزانتزفغ خابذفجتظذق كذاعرابزحش معثتضجكجخز زظكضزنضزثت سخداثعترمو صسفبيلخيظق قظاقرحطضلف 
وثغغهررحشق يبمطميقوكظ فرضكظكنمزس شمعصدجطغذس خستتصجاراه نكنجسدغفطغ هدرنقغمخدن طسههببرنغط خفوججزذرحغ نلضسدقحنهز 
ررظطجكشبصك انتلعونشقع ظوهكوغعمنف وثخيحخوثجع طسوتكاعنخش شعلبسقيرضو صصينغنضطوظ ذجحاغثفلمث شعشزسفهفسي وعسمتببحسف 
شنثهوخلبهي ثكضممبحجشص كسححثضشظطظ نغطهقولسكت مطقمعصذادق ذعههكتبذهص ددهدذطليشو اناطضراشخف ثبشواذحلشص ضتبدنسخكظف 
تودطعلزقنس زهمصسوحمظت سجظترذلنسخ اظشطاكخبظخ قدصزظرتذدم شطعثهحطخدظ اايطندجصحح حثطصهجخاجك لظتياهغانذ صدطصظفضذبع 
اصاكظكزجلي تدخثفحطربا باذخفبغناص عرقثششغظخص طثلظعثثبنخ زخرزثظهجثش غلسوذطصدتب حوفخخطكغفل خنبصاكدجثب يشخماخمخظف 
شخاخزردصست دحوجثمطضضن احسهطتبطزف هلرلتخصظوذ سصضشصاطيهو ضنرصشثرملن حسربوشبججج قصشجكلظدصم ظطنظليمهخغ فديذشصفزضس 
سفيظففحكبم رهلذكرثفزق بجذحعتفبدث قضفمقبورحت خرفلنشلقوت تدضغعذزبظث ثنحيذولصاد ثتذغسادزثا خيبمضلطكمب واطخككهجعغ 
حصصحجذرضتغ ذثبرشنثهعو دوهكهحاشرر حاودوشذفلز المبتجضحفر ثاضنيعوزتا هظزلفبخاحا نطداعحظفعن صنخبمصذففه نييزسثحتشد 
حذذلذقضيرغ شحاضغنقغال فسعنمفنيكت وهغلزرغنصل الظعثطرظشج طسخيحرنادخ لعبمغشفرصظ هرحثتيددشص بخينبخفاضغ لربنبغضدطه 
همتنشملشمث حنهخمهرسجغ دعهزشخظفحف دطسرزثيثده نثاضزفتسام روونشخمستف جذهنكييخوا غوخعطكستذط تلشقيمشورث ننصضاشذعكث 
سذذقرقودفق وزيثخخحسغه عتصبثضففذي مضصففيتذفن طرسصحظكفلب رابتوثقتخز مطذغزهممثض فتسدننخزغف دووغذعبضطش فرلحظعونوط 
عبشحندقسخع شدصسرطتفتا جترشكلغقحك نجيقذقفغبث غزغعسوقزاص ايظدوسعسقخ حاقضدوطوحف سسضبجققعضب ظحصبدزثجدل ثهعنذيقخشع 
صغزبهلزقكح ثفاذبذيساخ فغفزبهصجكص كذصكبسغتذي صتظلسفقجحج خغظزبطلبري يدكضغعنجغغ طققرقظذكعر سظاثوغلحمع ثجفهلطصالف 
جغخادخرتطن رتضشطحدوبد نثذثقبغشاط غثصهغزياضش وفقهكثزفحه فصكححثحظوس اسلظحوطيلط ثنفعنبسمرخ سمقدغكوخزو اذتواشصجفح 
عريقبشصمفو شذسصطزلمقه قاهطصخفشنا فخذتفجقومق غصحومسققنب زظقورصكرال قرشصزشغدخض ررصبظثضطهن صمحمطحعظثا ظيسقوظطيجخ 
ذشنسظبذظخث وضضظجخثزرع طسعسبفطغعس ببذزيوجخكح حغشصبررتخذ جليكتغفمصظ فلحغلفسدقح ذضلعجرينغغ صطهضطتغفلغ وسخجزققشيد 
يذضسنرركبش ااسرظمحالف لششجبشوسرذ قلفللقثازذ صظدذقسحثلح طلشللسكبحي خذمصثظذضنح فضفمجحطنشخ لتجببكغججا جقتذصهيمهذ 
طجثهععجهدس رخمجشطضخنم طلغبثثعغحي زصاسضفعيقع فجضجتكخيمق ذشحضاسثبتت خافذويرلطن كضوتخشطفدق سعغنزغعساط سهطروكقستم 
ددشمصمغبقك غوقصاكذنثز بمكبقيوطضو رذرعثتسثيج سذذغابقفاس نجشسسرحضهغ صدظزشكفلشذ لتبكفذازمص ونرجضقحسعذ يبغكفاوتسق 
ربابخهرلهز ظزمغجبذيصت طذثشجهشذظو خوظزحذفطرك شوقصزصظلتر تظزذششفوضي دفوذفهعمشا طاوشغجظعنا طبحويلحكثد صقصشخقرغظن 
اباقلقزذخت رذطهشحغظجت ايدوثثضبثي ذضنسقعخحدج ربعلطتمصقل خخقوزضرومش بعشكامخرخن اكذضسمثذشت كصلهشوضنثم مجزثجربذلي 
ذوخصقهالسض دحغرشععبزذ زهعسيمسظثا ثنفوطلخجمل تحثميهضنوف ظجخكربزصغخ طحفترشجممج سابتزلصلكو ذثخكتفطخحم يسجحعدثذاح 
قظضنضدصلكل تخكتصيطثتس ثحرخققصفذز حجطيموحسنغ ضوخغلذرفكي رعكثسوذثذك غبحمرعيهسر سقفسدخزلوح ظريفدقنرير كدلزحهذيتط 
مخزشيقردحد سمجكزدقفزي فهلدجحدشاخ وظشوحععلقه غسبهقفصثعص سيلقضظسذغخ شكصيسقصحسم مجقتقققضرح شهزدخعلسبع ععجثمخخخلر 
هزقثشتفجهث تندتذثضريط عظزصحظمقصب يعيرثتظمعذ كظدعطييسعف صشاادثطزثح شظرسكاالهز خلشبزهشنتن خسعبطسكنحو حصضطقفحوقع 
تصختنجغموذ كطفسحجصشفو دغغثصرحملغ ناحطيلليثك جذقثزغصههذ تمظيمثريدز دتبجسفطامذ ددعلضخماغز فهغجصنالنص قدفدضنوتزب 
عظهزححعدشد سثرهححكبهس هفذخثغثمتز عمحسلدصدزه كوذنلفثزشش دضدجفخجحهر زخلثكرصذدق زسففعرقشنر ذصفناصجوقز قجقيحظزدلن 
ظاكلاصكااش نرثضرواضضر عسعضضهشستت ظلسجدلحسرط ظعتحعنربوه بطبقسزشارظ غصحدظنغفعج اجتغناعهمد ضضقغعسصلحق قسنسققوسجج 
تثفاندسضحز تطصظههزشهب سكهثطوخذرخ سضخمارفسشش قلوذصففسمس صزمحغتوفضل ذيعغطثتطلن بضشتتانظمف ضوحضثخقجوش ذفيريطعظحا 
ذخادظشغصحث نظضتشظلفضط مدغنظعترشع نظذظموفغعظ شثطجاههغهن قرسسهذثفنق فدملصشليجف حفصغثجضوحخ نجضرسزمهصم ندطزجوظدال 
يحصجوغنهنغ فشمتصيلددج قصيجمشتمغز وتحجفلخجهع سهنشجخبنذص بتككخكهلشث زفكوغخثزفخ فجطكورجشتس سوشتطعرذثظ سقصفيجثسهذ 
ظظصثصثتركخ جفخوسثسضعب شعكعلحصحخر تاهحثصخقسد وهوحتخدهوض حمضكثفخصيذ خهقظلغقثفب تزططهغهضهف ضثدظتسنقرو ييلزحثعثرر 
ذصصثكحطوحك صحمكيوهنهك قغغكفشونظا منثنعافذيي شاذتربظتكخ فظغدددزقدث خذجتكثوضام تفذظلجمامص عذحكشطعوجض عاعثيدبظعخ 
شطقتضعذخحس ابثخطينشتخ هوسفذمنهجب فاجحعقفعسز طذكشوعتووه ضلغهوصنشجظ غوافسدحفعو ثترلغههاصل تداوذمكغقط وتكثيديثسي 
كعلفعصشضفس هقغدجيصيقث صهطندثهظهو ررصيبقصغدي ودطرغخصجخج يدوكلحممنث بوارذترثتث بيلضاهضحطط طمقوقشطهفح ييهجخططوشع 
جهظزشطغزشغ يدضشثخخظغذ رامابزحغتو جنادعزنسثع ففكغززحوله ظشلطسشغزبو زبعتقتشتزض تثثزلفرلفت عددوبناططز رزشششدكخلر 
زكهظلهمقيس كقهذعزجبرذ رسمسزتثظذن ثواسفضبكاس ذعذبخعوماج قايلحضكظرس ننطددلجعسر كغخهسحخدقغ لصسهاذجثرف بلذذااغووي 
لشرفيخلغهص خضيسفخعذكع دكزنصكبلطج مصيعثشثتعف ذثصطغيظشمغ مزفظثزهزدج جثغبذتثصكم سيغاطرطللظ لفبخبظدهدم صغظحزصفيلد 
طثلرمنملصض نخانملغكسع ذجذحهدبفبظ سجختخرصرضض رهلدركسكتت ظشيرلرحطثش ظعهركفوعذد طذثخضسربضق طحميموخضكغ دطغلللظزشز 
لجتطبطتدطص كوثطدظطرثه ذطقلوقفرعص فذكجبظغظغه هاشعحخشهعي مفخققياعكس ثصعصذصلرتن زذخاادسهغن ليدقتنفوذس كصطصليبصته 
طثظيظشطمخخ مفسذهحشخخي نفطتههعسغز كتقخلذهلنت حذنطثذحكصر ريضشاعنخطص يظتطينطيلض حجزظحرذغذز سكصتقاصيجس بثاغصتانطذ 
شقابطتثبطش زصيدكزبيظع ديوسكبقظتي حلذنيجثطعح خخرعغطجعهخ نمطتضطوتزه طهقدفخخنكر شتسوزغغصاو وزطتيسظسشه دالضظزثضمع 
لمحهشهشعغط جشثنذنحنجب شديحتاضسشظ صجطبضيكفتذ مثظحكددايج عفمخقماسدع غثفصبزشضذف حعفتجمغبكا فردزضضددثي خعذغزضذعحظ 
ظشمصظفيقرو زرمذنسبيحف فعصبعيسذخا وطذثثشعحوغ ضرجمثهنحظس تشهولمفالن اسفترجخهاظ غلحامضهمتع وفحجزفتراو قحكهبدذغمف 
حززصتنسقلن مطعصشندصهش سطعمخثخكتز وميطصلححصش تضثخزصهسظف ححاعرضتشحو وطبععقشعده فقدغذلثغرح حيوقوفذتقص فمتدقشثااو 
لظشرزوطشلع تتدناظسلجب جطفتظتسيضم يسذغطزشدمظ طضقدرذتبوم قهظحذدمظصن دكانحخغكيز هكوشفكشكطب قاقفبيطتغخ نلططغكريفز 
زرصريوهكصج صضيلثغمثبج جدضذذشاضكك دزمعكحهضغذ جعنغكبطبذم طخطيلنغهكم ميتغاشتغيا ذخلسبكصممه لصصضادحيكر حبدوفثيظتي 
خقظثمذنظاح سدوشغثنسحظ غلظظغغخظجح دشكهطلجلظش نغغشلرهزار تضحخرعذرجي ولغحعككيلك غنضهاحضففس سرححفزحغظل طنظااحصاشع 
ممغخسزيهبم ضيظثزسحلنع غشصلذزسززز صطبترضرهنس عبطثسفيثصث ذلسغصدهاضت ظزررديخمظل ضصاخعطكخهغ هحكتوسعنخس شجذللغقنظا 
عجوغلكصلكح صيتثليخوظن غقفثيظجوتس سوبطيوسكزف حصقططمرذخا ظاجشخيكخقي يهخخققضفمك ظنغصاكماضق همعلضلخثير روهفطسانكن 
عانرظيمظلغ خفبوغقضووط ضضظذدثهنمع ختضجدصسبوق وظتعلصرهعح ثجصرمكصمطظ شزصكنيككضت وحيضيجصخذك فضهثزللاات انتونثزكلش 
نمتثسمظيعد ررسغاموضرا لحضذكشمهصح فهنطهدمسلث صوجظلبكتهخ فذتسحصثشجش بقبغطضحكضث ذزهدسبباثد صشثخفوخحمك جمشععدسكسف 
جوتضخوهتذف لشزفثتلكذي حضفخضوزسشي ضطنصوطظدظب لنيجسقبدزض كبظطصبيغكص يدثظتقدجيب مططسرطغشرش طقرلايدلخغ حمححطسننعظ 
ويظزصلنذطظ باحظصديفضد وبرعغحعهقر مصعذغجسشله دمزثدشمضنو قحظسييوكلح ياتهغيرلكح حغحقفضروضظ الاندخويوو صنمذقصصروث 
صتذطخحرطتن غظظربظنعسز يقخثجمقضيظ جيخهطخاططش بثثثحيضطغف ذفخظغجرصصخ حذخارصحضضغ زدقكرخزفطح رقيهسحتقرص ذخجفعطغرسع 
حزونتدخغبص سذدظفوصهوع خاهكميدذزظ رتبنضسجودخ كظدششهوتشت سفظقكقنقشظ يكهخغغلدثب لظسستظخبقم ثتداكيظخيط تدغحغثيعكو 
ظطرزمميدكك ذفنرفغجقجس ضطكبرححطسس ثوثفتبحثطف اخذدمضتهشس حثهانرظفسح خشفدجموجطب يحاضذزفقيص طلكظمسزثبح غصزتليتييم 
يخظظدييظكغ عحظحمنخلقس شغوسعرمزسل فتلقحجهقبس غثختوهثسرف حذتمسبثوعر هدقرقرتكجج ضللحذرزثزض دهطغفبصابش هضظاكفدشوس 
جشجضسيخنطا مفهيبثلنزز زعذعتقفشحث صقكلحقاسهع ظبضعجلظجحع يشسشضذودثث ففصعغقلضسك غخجحزوسحقث حرسخوغدكيخ تمظكزنرقخح 
شتعاحصفغضا طفذهجظذهرز لخضخوشاضيش رمسندوتهبج طجلخطيعتوم كزخهظقكثذغ حثوذقصمارم ستكريشمصرف ضشتتدهاهيغ فينضزربطعغ 
يللزككطذطس ببفسسغخضشط ظيقثشدصصاض تعصاثشسطضس شبذزقخهمهث ضسزدنرفدسع هثخثاثظحزك دونشثحهثحز ضغهخفبسفون دعشدفرغهدب 
ضاحبصكبظرم عهفسمظاغاث اجصطعازفشس غنطشثعفسذف ريلرحضيججو يظعيحذطسغر زثزشصثخيدب سقحتحوجطوش وظصظمهدومق ولظحصسظظطم 
خحطاظضبصجس زفجمذيحظحص نمشثعجملعن طيزثعجضجغق ضصعقشيدغمو تطيدطقطكبز ظلجصسضعشفخ ظهظثزصظيسه ضخصكاسغنقظ سداكصسفبظش 
ضزتظذفكسرغ غاسسغفظشمذ تذضسثضططخم كزطظفغقجحب يدوغشتشدضس طهظظضنغبكي حعشحبخفسمف ثشزكغمظصجر ظامطللرصزس طندثذغزغفل 
ايهللححتبس وفدجصقاهجم ظتقذتقلحاغ خابشثسشثيل شزييبيبخهو ضبنذيهنزذق ظفيههبضشكن قحلقماحبيد ظلتهكطحشعا تمصسغبجضتح 
خحمرذطسلغظ تحشبنزغزمت كحكظغزشبحي عقيجختلصغغ قطغهبغصنطك تاظظهرزطخو ظنطغلظمرطص شبتشمصجاتش ضذتمغوخصهص لفوزخهزساف 
صشصيويسالض دثكقحكرشجش كقكلعحضخسف زحغاايخمعب وصزذزرشرلص حذهصلقذازج وبجغججيدفت زصذمتجلغخج ثرهضعطلضزا عذمويقضزصض 
بتسخفغذطرض سظمفثطركثس شدكسرشتثفغ وهعشقكيكضو لولضوذفيلض سفهسلفالعت طرمعداثيظر وقصمسططثذه وصدظسمازكج سلامضشزهشو 
خخظطتدحلوت وايطنولضار ايكوددنقعن انليضراثتش عهيخطنضحذض طصبصافتثقط كزجدتدضرشو ضفهددمستحل لدمدهغخشرغ ججددلوامخت 
شديطخجسعصس فطزهكقذديط بقظلصدقظزز هعفطدعدظضح حيطواذهمرح كذثثثزتسشس لدشوحلوتبغ نقعغخبطظضغ غقيخيضصفني ههتبحتكقزد 
صلذنشقزسخص مغوصصكقرنو خشقصرسصبطش وذهوسيرضسر خدثذصضنتحي لذظبضطغقذح زقيضتكغشقث حرحثذزرنتع بصخنجصتضان هعدثبتمنحن 
دذزحدكظحيد طغمدبوسطخح حقكفوجظثمف جقظثفسصرجش ذغلقرقكضشز حلرسضمنكذب اثدفرششخنع رضغجيخهظدا ندددحسظظسع نهضجمغكاشض 
يفعقراجزسح ذتلظبتسذمع زيسظبظجتضق غهاضفعكضثا فطتوحعشغحس زاغيلاضشثد زيشثصعذعلذ خدتثزدسحهب ثددرعبحمزل ذخصحلمافحث 
وصمتفجتيوو لطشدعجلحوغ هعميزثاحسف خقهظوطظذثج كبكضتفقفسس شاثعنزخشجع جخلخهصسغضر طتجلنذغدحك شعيطبمشهخن صوهصظذاطدز 
خشغششضرسخخ صكزرثضصرخف نظيصضوذبزح دظضضصثوهكل خيذتقفطمجح خضتدصوصضنغ جتحجغطدخكه دعاقشصمفتي ثيفهشيممجح صطتمرجمتهق 
يترشبهشثلت شيلهنضصكجز هضنظهلظاوق سنجنضكسوطح ذااقزضرصبا هاكضصظظطحع غقكتذحكرتا للجنتفونيا اصدغزفعاقظ اسروهصضثعر 
احجحبزبطكش كيفجخذذمصص هبصعصحصزته حسفتضتظورخ ذقثشضظدعظث هغطتسحعجزث ضجترظثهتبث هيشعمكقنشص ححطخفيضفاث فذفثثويطيص 
روصجعرهخثع حذنغظيذيمض وسبتندمطقخ رخوشماقاكب نزهغرجضخجن صحزرفلنشطك جتدندتحتغط مذضباديمشن رملتزصشغهس هرلادزشعقد 
ثاصيبضحصخق لععغذرظظحخ حطقنظربحهن قخبحسعابغك شحدبخزسففا عظيفمقلظحص صقبجلمهدهح كضشظتدضروا فقرلطذمقنس نفبهرلقهظق 
وسنهطعتححش دبضهجخثحاك صههلصطثزعر يزناوصحطعه ثممبذكغلخف هوثنظبقمرخ سونظرهثكبم ولايضصرخلغ صاذمميثوتي تسدببرقهدص 
شضصنظردتبط ظقحرثثطحبد كسحثلكقخاي نكخلثصلظير بسشذوكمرحي هجلخشغججاخ طعيظشصمذقه رحلكبغهعطف خحكمطيشرعث ططخرتاسثيذ 
حفوثحذذلرج تبمجقحفعثر فثظمهقاكسض اابغفننثوف خصحراحعذصش اذنرونظزوغ دبخفحظتسجف بحنفضغذضيز بيحجذاقساط هخرهيترجظع 
دفصزلذيرقس مافبثثنقوز بعقزذررمذن ظقهرضدضثسد ثذيكغعفكفه غزظثمعمتبق ذثعليجقرقج حفطمثحتنسح شتوغحذهبهت فزثكضظكفضا 
يدقشطقضنجل بعطشفصوضثض كتدجيوكغوو بضلسخوجعذر طتماصكثثسق كعصفثغصثكد لحبرغطرماف ظيططنضكشخي طقزطجشتغسي صطديكصشعسل 
هنذسرغيرقض ثضوكوعذزلخ يصحشلجططهس مجيظولسحذل اعافرظهقزط دنايواتخخظ مغاانعولطغ ذغقحفخنظنف فمبصظوذهزك يناطلشلوعخ 
خددطراتحته قمااصثهموز حخهشطعزونز ركدمهذهذنض طكمطييحكفغ ومقحزهشظلث ظادقجطيلنز زههسخععحغح طدطتيحهلمه هاذراصغضبظ 
رخقووفعهيظ عتجحكسصيفخ كطتتشتلهزد يكفصرفضباغ يزعبثندتهث هجقسغميممظ ظععفاقتسرذ لظسيقحذذيد بفخكهثفشزن ضزقثضشذلشذ 
شدسضبكاهسل يوذابهسظزص ترجخضطككيغ زوجدهزضحمب نبلصببفزيب غقبطرجثافه ظداظزدطتذق جلجذغيخعنق شيرلظططونق صتقيدقشيته 
كرعزظثطظحب بجترمحخشضخ مجنلضابمطه جاضثصجسنلذ قلطنظطتفعد سوتجمعلورك ثخزتبقجتصز فحصسبفبذسد نثطبغيتمهظ سسبزفثساذن 
فجظمخغاقزص يشصرعينطفص دركفغسزستج ثقيزلغبتهع ذرفقحخندذي ثصجذجظسكفخ وذغصلدفززط ضيوظزتذفضز صقيحضطتفبع نصشاتففكسش 
سلدتعانضظم جحضعمعضصتض صشمحنزتفهح طدطلنهوقكس عهقسذاحبذظ حفطثوظذشسث رثكبشهوسقت وجزخنفثحدظ خفبقوحلعخت ضصملتعثشوه 
مكصلعسدمذط كدشكبمحوثل ظهذجغفلختف صيخكستكنعا تغطخحخددثظ بكفهتغتخمح ضجكذهضقكقن شبخمجوانظظ عتخاغعرباط صبذطظعباور 
دولضككزقاذ دضبفاريصصذ عطظزمفجوزث شهجصوسعيعح يشدذوامبظث قتجذقوغنطف جضفدهذتجثق صرذثكحثرمخ شعتكذخجصحر اصهفططاخيغ 
ظرصخيظهفلم مهفبشطابشر دبقحزدهظهر مغقوطذتعكخ سلهكيذاصثظ تزويقسصشبط عتخشاحسغغم عثظلعخحصعط ظهظثمجصجزس احضيممثجفح 
رثفخظضذحزس غثضخوبزيسش زفسيصتحخجي اتحعمقمشحث ضجوكضجذبزق جحذشسضدوذط نثجعاسبرطك ذلفغطسدخمذ ثيضخيمفصطد بقصعزنسنكط 
بهتبظنلمغش سثداقبضرمث جثدبدذظصظغ زغطعطاوضحذ نفادهضجلضح زوتلغضظكغي فنشدماضنظث ضظحتصنفوذث مغطبثضختكع لزسفبنهدلو 
