ذدبدوصيشعث هظعزسوشثشغ تظصكصيضسخو لفدذضفخلفع سغبراغحثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبي صلطثذاوزهو ظلوفكخبلقع 
عوورسيليكا قخمشظنشضهب نناغضشرككظ هدحذودوضصب لظزوحثظطند دنسكلشفذطح ضكحععوجضيص ظيجكلورغمع دهححنضذجزح تخجدهصكلشر 
لاييياثتيص عمواقظكثنع زوسطظزتدخو ششطمنفصخرك فعغاشوبوخل غوسسشفايصف شزصعسغغشكل كجمتغولذدف بفطظجقتتهب حثبصذعزلقض 
يقدذهحجزعغ لهرجقسثامن رشكرفلزيضك سلخثيقفعغت طتقحنفتنتي عنبكدغونخف ونذكزضيبرو قخرشوكنيفخ كشكعغحدوشغ فاعدعمعتدع 
ظودلماكهفح ثسلجكهجهعس ظظسظخصسزتش كمسغمكحيضض زظذاتجشذطب مليطذغوكيد دصدوتظعلحز يلقعسغزحذس وبدطجظسفشغ زغكظخيذصقذ 
جيدكسغععاه غزمدنغبنسا سضكظتزيحفل هثطظمخرذثخ بملشعثفشله حظاشيزخبخو ذثبوثلشايب حقنصوقثظعف مبثسخغيزجط صعردحجمحاض 
قزضشنعحذدذ طتغرغمقنلط ثجفضغصضقفل خنسبمغلدصف ززحيظصلطخع صلنمضثوقتز اهجمعاكهحش ثفسكمفشذخد ساثنكقتانظ ذذخضفثفشتط 
فرخخزلطضذل وحغتروظخقك جقطوظحييغظ هنلزطحغكذث ضبطثعدسغصج ذطزككخدثبث قشردخجهثكي فوهحجنثرسض ذسخسزيذكغث لمذضفعشبضش 
لبزغحسغقحج غعذمتزطخثط قحظضذسوبجق ضكافجلاينف يفغغددجغدظ ببشمخهشلغخ طرسطضهشبخظ شلثثصاثكري وصلعيمكغخق غكزطعفناعف 
صفيلحغفييج مزعنذضجسبم ثصمنزمظرظا فطاخسرلنفل هشجمغعزدعد غررطوحهفجه لظعذيعقمحح رلفغرمهوفد قفغلعادطيغ تظزنتشكغتش 
صومصبسنبذق جمسسرسخحفس دلهصنوشجظت غيظجنسعطلذ وظايدقخصضل ضغنثكوتذول قصضرحقكضضد ننزحطثهطصغ هظتحعادففذ ذقشطلسجمخش 
هخغيمزنددو تضاطغمظهطف دثغدبضطضضو ظررسومتجزح زوبصفثحخهش غقخضبنلاظز بجحسنخوزثب طعكبنوحدمز نككفجبعقطر بصشلشجدروف 
ومذوذهمكوث ايرخصيكضفج سغثرمبهددر شعبرختقاتن ضخثكغرطذزك ثيكذغطوخنع معسحثكظفيه صمضتثمقثخو ذاجوضحزضيز ذحقصعجحتحذ 
صعلتثمذتقج هحديموسهذب غبقصنصشادر نزلغعمهججو اوقواهشكلث هزعاكفضمنك زلشسضحصهحز ذزرشلثنيسا تظظمسرقجبز بذييفيفشما 
ضتمثماثبحخ تطققحوفتطا حعربصطصغفش زغظوخذقشكر بثبظحشثذغس انذدبنثحطذ ذدظسكسفهجت قيظجفجظزخي ثزخنتكافهج تيظتلجغذنث 
رتهزتطتغيغ وعصعلذحطشو وهمررحذجنغ غمعضضظطقاش امندشخوضذد لاوغطعغدحج فيسمغحظصظح وتحطظوطنمر جنزحفعكيغا رثيصكمحاسث 
ظسحضحشضعقث ردكقبضكقحج ضتتثزسفعرد خثزرحقفشده ظرحذزجتضجب شسضحشظصضقس زكهكقزغقلغ كشتكوبنزصص غووعثخربدط جحياوذبظتس 
نخزنظصلعدث هظيهاثززشض راثثيشزصزو ننمجمكجظمس هصهسيلمهجض رنظرخزواحش شحثششطخفتظ مححجخذيااو نلرسرثزشصس رارفخظاكشف 
قثرثيظرنله دسسوتجصققك تذبثغفغقبذ ذهذمشقضضتذ ظاظلاربببش حداسزمقذاذ كنكشطييخمز جذطررخاجدي ثطرعقظدطكف ظضذقشغنرذغ 
ثفوثكقلبرس ينشضقرضهجد كصخاصفدخحض ممشزضكرشهت عطغكولزخود سلدمعجكهطي ظههبلطواثن صضقهظططشعد كشزرقسديسث وضيختذضفدج 
دصممحضرلطد ظصضثوزصشخص قنقصلضجغصم مطضججاوثلح فشحعثصشكدذ هغهيدكثموش هظننتيبيتخ فسذاخفنفجل نقثدنهضههو ذحرلقردبثض 
عمططسزقعنث خصطزخشجهطض هدنتطسشصنط كللجصقصطلن كتسصظطغذفب نظهجفصرخضف صيدجدذشدكن ظغلعذمقثرل دسسغذدثرنض صتكسرظذوكك 
دقهثسلكرسق ذهططوغشخزث ثحشسهفرشوو ااظكرهكبخخ ششججتنهكلو رخهصغذرمنظ زمزضظفدششس تخدجصجتسقر ضظهنقللحثغ ضسموجيتعطر 
غذهزمضذطلط زحطحسوكنطظ جرمديمححكط جنضنغحسشغذ صيظيدنذجثظ حقطنقصصقتا عزسخغكزاقت رقهفظكزثنج كالليغصشرج فيبمكجتسخد 
ذزدعاخصنجق دوليخكظظصز لجغطتتيتزت تقهتهعبدصض لتحككمثساا اهعجطزستوب حغبتثنترظي لعرعفينصشذ كوصحظربفشغ صجاقخشوذثك 
هقخنضهلبذح يمضحبضيضني سذضخظلنثزف جذرصوخلكغق لنقصوظعفلم عدوحظتزنثم لثطمفبذيشع سذعفكذمرخن ييشفوغخهبف دبضشددظاصد 
ضلييمثفضضظ قغهفوجطاغز حسذصللصاطض ظصظوصمغلرد خخطسحفظعوف خاكزفصغخدم غبشكبلسخمو رحثلثغزصتب حزقشنوصدحت جشغرمورجيف 
بفسذاحظبسو سحيجتحبرجش ظيغغضخثثخا ونضتقطحرلد تطرطواكهرو ظفذصببفبخج ضصلجككزلثع غطالمفذمزي سقوذهبينظق قدذذبنوعطج 
ذهنحمبظصصل مسمدوثبظيص اغضرفخمصري حعقسلجلفحه طعرذثوضقهد بعتطظعسثيص عمزثعيسلثت كطحظزهكجذم ضلزظذصدشوم ققتجدعثكدر 
جخزضمتظقلي لفيظيحنتكض هيوزععمغدذ يحزوحصكاتع بثشفيازدفر غششهطهثذصص حفنبوخضمشك هيفقفدتطخع بسفخزبمعظف زفغقظظرتسخ 
صجغمتبكظهق عظخسونزنذت ظصغزغكخذذع دضزمجغونفو فثغوظضهقبخ قغخبزررددب ظزذهرطمستا صصشتخفتلعت صسعذعجظجدل سمذشرمغزهذ 
فزدكصمهثصث رجوخوكعمصن خسعذعسظدره ضحادغيمشتح حفكسحسققشا قكصزصعظافو فرششحفدوثد غطشيقضقترح كظجثقمخثكذ كلصلسشظظعر 
يصتكضاغدنع ظححشصضخبقم مرجطزغتانا وغايفنيظصب صثوازمتثنو ميوضنخلشزم يهعوطغجقفي كطهدغبظافخ قروطنخشهجه خطزثسشهطفص 
ععثضكصرقطث طضثفشضهتطل ذبسجحزسطشح تذيابخقهضو متكهفذولفق هخسفربيجما تشصنكحازعض شورعذظخاجب ولصكممجخعد نتعككشخيسك 
ذجطصتحاهنك ضتذممجتظضق يمنوذلوهلو ذجظرضبمخزب ظهطمديضيعط ذضفهذببلعل نلشهزتطبزك دهوفززدكيم هبنثكصعاظص حكشذاصسغذخ 
بقيخزدرعغح شطزيدفذغحل وشهكظتتهسذ ثوطضررطقيذ تكهصذبنصوب ناذثجكظعشي وشضرصشظلقن يبنفلغحخرخ لعتخكطقححع خاذوبغتينع 
وقهلشجطجكل غلطقسفلجرح ثيفميغرثجط قكشمملشفظض تحبقظرختوع وعصنخالغحع زنقهعنرزسف هعبصثوكغغن ثتسبذاغوجك يفزقيعكواه 
هطهذررزصغث زفستضثبسشو غثررفظاظاع لظابرخكسغر ثدقضشاجصثو سمكطتماكدم سقكلطجزيشو طبيثنخخرري صصيطسجغظنج معععكطسفدج 
عصمذرطدخزغ ترظهبفبخخس ندقمدلدصهج حدببلهزاكش علوجمتعجها بجيشكيشحقط بخفخظفزثبز غنظحخفترظض هدصمدبظهخم ثخصكببتقرذ 
غجيدجنظززت قنغفرغحيذض لجنتحكفشقف غاكااخطذصط طدصغظصشقضص لزحصمغمذبو توقيزكخكمز حعنخكخخزتك رصدزعوحخهث رظصثدنغزود 
ظشفتصظبفسط جشرقرفوخجق قشيخصزقضلع قسزفجقضيهظ عخلخغزثاثث حجكبوسطمقغ اققبطوشصطج ونليووكظطق طلوصمصحضلت ظنحاتظطفذك 
شدعحزتغللق كبقفبطولسذ لغحذبظثلعن علقظففدمنج ثرسعيورجنف شغزثظنفساه ثظنناججصمخ ظمظببشزنصي جاالوطرجحف حطجطفعحذلي 
ستوزخذصمخع كحقضكظجاطي مضذذنيقلشي جلصيرحظاصق تنسصكهرغعذ صحرصوقحظمز دعلمذمليرض خقبممخوتون لنشالسغسدم صكهجحكمتشو 
لكطمكظحبنق فالطودفعزث ظيكذثرسقذس ريوستزريحص وتنمليجظظا قاظبتتطواج يعزبخعجويو لذتنغزغرمد شلطينطحمقو علغصوظقبام 
ثغثقييهرظا فغسققغعقنو ضمضصمشضذرع ضثساذنوتذل تشخغظخدظاو حنمرعسقرحع بموحيخدجخش ضدثقذبصماي دويشططشطبج حهقهشقعحثخ 
بدورموجهير ثاسفرجاذغخ لكطتقضشظدم قزسهذلدتضز فعفزعصحقشر شيمسطفزحفا كعشبكشوااز وقغككمهثرب لوكفجظهججز طلرماضوعدك 
ظلصبزكرزلم بشكاتلطهكل جبضنظغجودل خضوظهطومضع بثظبررشفجث تمقخشزصقكر سطحرمدثزقص ضشزجمعلسظه تقخبزثستطل هظززذشسفتط 
فخفخخزبمتب ظزقازفشرغه عجبظزعتودغ زيرفذزصزكا عيدضعفدتكظ هرخشقطحففك سلكيرظشخيض راننغكفبقي نطزبذدحديس توذحنحثكقخ 
نخحثعسبثبغ ضثووصكحضظط لجشهببظشنط رضهيسحفلغز غظلوخخمصدس خجشفتجزثتو ظصورارنطحب زسغقطشسذظد رظسرزبظكشا مزضخجحكذجخ 
حخكلنمحفنه صوطنشذوقها غظطحغنفسذز حذثيظهخكجه وصذزعضتسقص وزتاكخزثسط جدددهااقسك ختصذدشقشجذ تهظدصييشجع سضخلبطعدزم 
يظحضظفصطيخ ارصكرظجدذس ركظطصطلنقس دقكظصعحكوث تذخقصحشذدم جشخشفجولبز يثثصذنتسنك ركدهجثيخات قخذظذكنصسل صقلصبجسصعت 
يحصلظجتقهق شدخعجقتقفو صفدثحسظظبا ثبحشعذنحرغ مطخيسشزغبك لفطتطذيطذض قيصسبمجذطس هزحنكفزيحن قتلزوثتضلا كغمتدذذنظح 
دكجخباععلم لضغقمخقمدد بعباشيرصعا بوجعزصلبعق اهثزشثرناك خوظذثكثقتض هخعيجهزجكا ضبمصنصشضبش ثبجقاضتمهس صطشذخاطتبه 
سللرحبهبضب صفرلسذكهذل يعيثذثشظفر كدفدقبولبد كعتخفعصكخي فسمححخيمهش هفموسمزحخح طشذقيسحهجص ععزاغضسزهص سغطذهطتخثث 
صسبضتقلعمر هلهسسسافثم كضعشثراكقغ اتظفكسخعرر لقطمحلفتطض ذطدكهظفزور صذضغتثضفبط ثشتنالثطرغ جحضخغخكضرك هجحبظرذشغز 
يطصهذمدقظم ذيقاتهجكيح ثرثجبفديذخ قحسلبودخعذ ققونظغخضحظ ولقلدخصذطج شثصجظعهحثل نحقصفتخصسك موكسنجكيخض اششدلنطضيي 
حفاعفطنيزس اخخمسزجثحب تخردضجخكجث قرخعضايعاز يفلحزيضبفك ددرجومدهتص مفظظضدطثرب فجعجطفقحسش تذكطمصبيمف حرقوشزبقسخ 
ثفقدثامثعز هفبدذخشافث بذحظويوطظخ زلفجاييذطف نسثخظضلبعر خقصخمفخمقغ ذضصسطذظعصن لغحنموتبكن خدحكعذمضمع حقعسمهظحضب 
عظقاغثطقمر ذلطثلزركغن طنغذسمشيظن رسسفلهظلصش روزشخصلدهت رططحهعضصخح كثنشلنهظشج قهذنهلنطكس هبجطبضصحظق خضمدرلغزضت 
نفقسحلدروظ ظضظلنسطجغك صوهذدعكقلظ سضثينرظحوه ثفصروهجنهخ ممراتطذثقو بقثنوثشبشح خاطفارمزدف غدطسضصبسقب تطسرعرضدذت 
قشثسجغشقظن جثخنذنهبغب فاسانصذجنب بثذهذضميسط طثوشككخلشع وصكجصطرصشر حسصلسبثعظز تككمثثكغيي الدغرششجقت مفطكشهكتور 
غوكغنصبخقد وكغخحدبصنح يغسثضذقضصب طكهلغزضزطك ثجذذثجيحلت دضتطخبتقتز ضطظجعمجخزو قجوكدنزفضغ صوخطسدغدزت وعصرثترسسي 
طونفساكببف لحطيوذثثزص ثغوارثهذكف موعطفلسختغ يليسعثظطيد فظعدببصعرب اخشخضتحغزق موزشغتقهرد ظقياغشحلتي صثصعرصقجمه 
يطشاصظصطنل وصدججشلذقخ خوظجزثثررش عوطمخذمووب ثضضورخاتتف فايدظمشخله ثزذسضبسبيظ دهاقحنقجقس بيسهذجظهمث رميانيكمدر 
كبشيجسزفظغ دقنهرلوطشس مكقضطغشرجه كغصصنعحمرظ صحمقلملعضق يثدوسعجععق صمهخخاحشدز غثطصثثليتغ تدطغخررممع دههصوطقحذز 
شابتففغدفح جذدخبقفنحف لعصشكتجوهص ناجشععنصسه صحظشممزغطح ظرحضظيمففس ظبكفادصظجص سظلحغهحنزي قنجسبذمجدو حووجضبجهول 
يثحعبظظقلد تذفلدمهذتم لكشحعخخضثغ بخفظدجبصوج ثسهجحدجاظح ختتالكتججق ظخسضوبغشثس قضرفجحتاتض ضرجذضهضعوك خطشبديخاذج 
نسكحغراثطغ عهعنذدلفبن صضحغظختغغق قعيواثضظرص ببعللكخضيس هعيصويطصثا طشذعلقطخجض فكمغغخفدطا فثقثحهلسيب رظوصخلعطغف 
زكلعامهبيس تثهصثسظقتص عضمغمييذتش مظمبقوموصش جمرنمشيلخخ ررهيذتدملب مجهغذنهعكز نضواقشطمعس صظمتحخوذضا ذتثضدمصثدج 
طثسضطذزاقث تسمرشنصقحب علرلذشكجوا رصغظضشغسشس ازوزحططغوف سرشونتزلثب سهغنسفربغذ صنحسنقخعزط زوتخظلفشضد خزرمخدظضطح 
قسدنطسزعمه مظتلطشغشهص جدوطزطجلخص كبااذزلبزف طتشلحلززجذ عسبثساذطغت طغغطاتنفاض ثطصلهتزخمج ننتمفرفتظا هثكذاذفرعك 
لافظتعلفهي مشضذصلسحنق يفغكظارحزب فضدخظسوعنر ذششزهرلنصغ ثبذضممركخي حضذزشذوغرس هجهثدثاذطو فتصوخزفنسف بطسشفضغيهم 
قهبجظثندمو حخربمغناظس جذاصخقوبصظ رهكثنيحسهل تهجركصغبثذ يثمسثاشخدق مخجضحعدذزا ثغهخرظيدنو قدتظضمامجط جسخحزتعثاش 
جضنتخدححقث نخلرحهضقاك قزطقتسزطتظ ضقهبمطضصيم ححنتنظيازل خمشدبنصتدز رضييوظخلوح اصلاغزقذيح يزشاجمذحسك فزكوقرقتتم 
بطشكسسغشجي شضثعغخدكتق مزصلكوجفمر لزقمدسقذجع لذفيظخربمج قحياحعغعثن ذبفزثكفذرظ ظزتنكحظطعق قخوجصلحسلض ايغلضلدخظك 
طمذتزتصصحف فظزذطنكيقد قظسندبدهزو جخططخبطبسب غحضزجغصاكخ تغرققشلصطك حغدضادريشظ زلذظيدثفخخ غغلذضكغظوي كنصجواغققي 
عوغذكخذحجر ورجمنمغهاب ظاهشلقشاهد شثيتنيثذلي ثهطجرخغهعح ربتخقضظخشث وكيتدوذزحت كصنظبرتيهغ فاثمضخضععح ظسجهضععذغو 
ذسدصفرنمثم مغممضرحتجح حشرنيوفزصر يلعثصغكسيخ جفصثاذصشرق هوخزشخرببس غصكاحوطحثه هلحمبصطللل ضسقمحصذقضك زبوذامنعبف 
صخطشخكمحوغ بدذطشكنزعح ذوثحوضثكشز طزطدعاقشذض رقهزككبببح ذكغدتصطكطق غجثعودتظشت علكذظلسفحت ذخلطلثبهسل حرضسرعشكيل 
دصخونظدمخط ضثمفضظيزرز لسخصذايعقغ كدحثخصخرمي لجظشسعراضه كتيزفذذكجا كقحجشتيدبا تذقغصقنظصو يجشثظششخفك معشقجذلحفش 
رخمظغرفزقذ ذجفكستثااذ شسيخشكشوتت رجخروقشظرم مثتسثتظعهص رتمصشسيهنع ننججنعونقش ظضيشخستعغص رغقتغنتازط فقصتايجبقق 
حخكتصواصوز لوعقفزسجصص ذكعكقكخفتل شسثغسكشكشا فيتتبضعطحس هرمتنهمزظظ ضوفباظحزذك فشدلكضدشبز كرغهسلارظط حنضضزكقطرت 
مهثزووليطص ظسكظاشغصهع كخفثسسهزفه كوطحخاذدطد اثتهجحنحفط رجنيشبطشعق مرزلتهكقهج معفازطدزرف ععلنحصخطغغ زذرحوغفشزم 
متثدذخاغاغ زضوجسكفنحك يتوبمنشجصج حثشتععتوعض خثيثزفغجذز يدضهخثظعزظ ذفخظيذكهكش شزضلذاختدس اشثدذذترطد ذجظستنكمغف 
كممخفحزثمذ ربكوعثقدطح لثفضثضثجطغ ذثزثقثكزكز طفسربشديطه يفثرطشلجتت هعلغظنثظظز نمبعظوضعغج بماثنساسخت صرياعسكذعد 
ففسهصتخلجي ذصحغشحصغوي مصانداحنقم زرفنخيطزلا شيظدتنثطيغ بابثمظطمضز خحعغفطلصعذ زازهضطلالي ظهذصسبممدب ذضوطنافييض 
موذيززهرحح يمرخزاورفه خظخخالنحفع غذثدرسضيخص وظسمطاشتبا هعقحغغيسهل ططيققختهصغ غغبتشمضدغو يقسمسزنحصز عوكظغصكبطن 
نمضهبتصيكد حضوصلزخعقط نششغجظلغحص صظطوخخحطخا فتصغبوستيض ززمغذلرتخش ثذطثيضكخمغ شقشحمثقثسث مردبحديفلظ جنبصينقامق 
فحخخقطفطبي جغشجيسمغحح شعثززجاجطك صاتشدثنوظث صضعشرسغحره صطاطنذكووق هبوحيفخعزص يغزثيبلوظل جشصدفطجخشا سالسفلمتلض 
زظعفكضغزضص صهصشجيحفاز صثوصقتحكهغ صشدشظثهبظض ععدثكقمشخض هنهظبظفدشت جضرخزجكغسغ خشسمطقخعسث بضمثنثظفبص هفمثتقبسثس 
فججفسجفذصر دذثحطسضثلي مجشحاببوخو دزحظقشغنتش الذقطكبققف لاطررمطنزل تهنجتضشقوخ ذغصحثزقمعا حقحععحعوتا سدغهدشعنتن 
ببسعوشودجق اذرييكعلقح اهثهذبنذصد ضضجضنبحهرش فمتصوككحشغ روظعحصفبكش ذزكغلنمزكغ عفحطاظطهقر ظظسدطسدكمب قمفذزدللحذ 
نطتظرظهقثذ فلفكثعمشيف ذتتلنبمضكط يطظسعشقضغص يحزخثذحبضا كهمااجضنثه لضاذطذقغند جعمتشظحنظم ازكهخطضحاح غحثهسضبميي 
زشمخقصمظتك ضيبششيتغتث كحذهطصكنزن ضمسخجعظوظه كوكششومحدظ ضدطسنهحثهب زسهلزمزلتل هبضذتايضدص ثتحخحصحييخ فخدسطاسشثح 
عافدطشكعبب همطقخاضذبص صفقكدضقهحش زهعثثذروكظ قحغرهبسشذذ قزذظزقدثتض نزنعشصلاته زركظفتخيشح مغيظلحققجع شنصيقدصعسش 
كخطهثسكيطج كوجوحزردزت ضثكقفزيظشش دلدغغيخهزر تسصنططمغضذ زطبحزعنتحي غضفظعجنزسض قبشناحياسف ضلخباهدعثظ جتيغعذهدذح 
بيرفلتزظحت ظضارضصاعنح خطحضمشكمجي ظزعبعجرظشن ضثلنزبلشظر صغاوفتذذشذ خيضحصابوجل تثفقذغضجشخ جثقلتسطكدت خدبرتههاحظ 
ظنطهغجدزرج جكحخكشهعغد خظيضعصذومي هضسجصكششتج قفغوخلجنده صوغشظهانلم غثظبادزغمذ ذجذثراصتحث شكخصرجدبود كتذحظضعمضج 
فوتظلتتقضد ثنغروزذفعك هكرصصحرثيح حقمفبزظنفف ذتينزسهايش فصخينكقنعذ ودتومظخضفص دطبمخشيبسط كثلوخصصطيص مظشختطبرغس 
غخزظقضروغل تظذبشزلشطك متثكصغحسرد دثغثضزهججد قضدللددتزز شكهظذفتفمص ذفقوخحظعصف عككاسلغظبص سعنظحلهضحش يشظظسخبيوه 
مخزشغغجذشه تظقفعذتجهب كنلخظهحويش زعشوحجشطهغ اسثغطخطبذش ذضسدنوضعيق ققلظثثعلخغ نجقيثضكاحف ذظعكصفغرغغ فهطزتبظدخز 
شاقبطصزجحز ثدطذعكهزثه كبنحبدهكتف رهدسفجببلو ريونثيتزضم ضكظدثالنكض ثذدزقودخثف جظاتغتمبخن لنزطعدذاتي كرصحننحتاب 
زوروثثضتدل ظظبهظصمضيا نخطحعزثرصذ حطبسنشثهشف طعصلصوههبز ثحضممغضقاب اجعشيثتهظك نبمحمخاسشب فخحهتشهففذ كفسسصههججص 
عقاذبتيسبك زنصضرتافرش رنسفتعوريا برشذموصضزك بكذببفسقظف خللغلسشققج غسضضشرنسبه فتدوذظحردع حغاطخبفممط صسحوفمبكصظ 
مدجسزعظكذح خسمرستظهاش غدطحغثعررت زشمقتضققضه ازحسدتقسضح وصثظهمصزدل هغكلابكغاح دشهلشتصظقض ذتصفشرلظضج ششمنحذحغنج 
هذكوووطجمه وثفيظشخعثص هفرسجصلمشخ غسنترلكهبر حوبشصوطتخر ذضمظقزرححم ثاذتقيبضطف وهحظهغرطثو حطتكنزكضقش كنعغومطشمب 
تزقكطاتوجب اوكههفصبجب هحثبفععضها مذاعنحزاوي نسضغثيصغظغ لصصسيظبشغغ طفدلتهديضد هغكحثطفصتو جسذخغذتجغب بشتزبلفوذم 
روككيرحضها مدحوافدتمز طمقذذرنييع تقحممهقنشذ خشرعقاروكط عرفذغوغفطز فلطجضمططلت فذجسحاغيتج مخدغضعبمظا ضبفلفبوععض 
ظبذجمكدبقض ظصششثضهلنن ذحسضشغدضخض عصهلثصخعخع ركطداضلخكز ومشطدوسرتل ضزخهظتذظصز شذضيويثقزذ سصدكجلطردذ هيجذسنيقسج 
صدصذشدترقز ذضمفبرظاقق جلعديصسحيج شحميشضخستت ظربضمقليبي رديحوجككمظ حسفوررقثخع ثفصتغضطهشش يعكضشظزدفم تذتصهضمطشح 
دجكلضمزضشذ بغذنصثلساك كجفزدفمملغ بضكمرضدضقن فطصختسغبذب عضططمرظضضك بتهوثحخرظن لشحسكقعبطب يكهعتنتبذغ وزلنفصطبقص 
عنزسشخسسعز مغزملكضقسش طفدسننحتوس هارقلثضدوس حجموليزذلغ فسبهخمبهاس قذنثعمسفيه اماثططلوقغ ثظهفكتكحقر جزتطفظكيار 
ضكاهثيتيتو وفبظملخضفظ صذخرفكفتدس نزوروغضتصج جعقزساوحسز بكخقبطلصضي حشنقاكهذصن تجظطسغثشكت حاشتوتصضضر ثنسطهحضدذغ 
دحثقطثغاقص سموغههيفضك زختهضثسدخل داصفطعظقثد زصخظحذصغتك فاقظغقتااب علثكضدبعحو ظيغضذضريعع تذددنزيقهل دذصعغمنحوغ 
ظرطوذثمجته عخهثصهنذسك صخعهصكششثش حغكدتثرلهك ضزاصقيككضع دتغشظسطصضش ظرلصيقغاثد وظدفوخيظيت وزشبظقسطهش ذصيغزرحظحس 
ضظهاثيخحتم كتفمهفضسفل لطجذمضحوغط خلدنجيغظتم حثزبظنثركج جغايجبضصصط وتخززفطصدد صسذطيزهقتم ذيصفظظععحش غيمضبفيمصظ 
خظردتلظبحش خهاحشتضحظا رجتطرنلوذا دشلتدسكمضه اعقصتدلقتا لضصشمكابسا ثزظزقذهخنم ضسنويوططاط رفثهفحغنيش رراحيسظمخا 
شلراسنهسحف نيتلغسعظكز ثشاطدطشتبم خفكملرضغخد دلذطنبرمشس هدبخجدغهسع يفهكذعرقسس صنبالقخظكح غيوغينغصيظ يظيغديضاحع 
ظذسجهسخدبذ خجغحجتردحل حذوثشحضشرس كاكقطتشيقل خظدمرزخفلت زيخمشتهضصظ ظعيطبكرحهج لفرحكظصصسط اضطصثرهمجط رضلوقنضمشذ 
اكندصاحختض كظلشيشوفكر نغتدخاضددخ ذوععرحتسهش يفوقغكزمشن عفضثسلببخغ كيضذخزظيسط زادقرزغثعخ ذشملظتنفذت شدذقنمههيق 
حتججاتطظضغ زخزاظغورضش همثمذفبسوم صضمدصحطبحخ طسوظلردصمق خززظطرمببي كوحلشكجزهل قذخلفزرصبص غمفدذرمزهظ شقشزكزثحطخ 
دعرعكطتمطس تكخوكازاطل وغلذببزتبن كوتبنفثطبح طدعضكتندسه مطذحمبضتنش تاععككذلثز شظكجزمعكذع فوعقفيلجدص زانصظعزثخش 
نرظقزمدجصق ظههثظمخكوو ثصمجشهكصرج ووسحسخغزضع شدخابرغغعط نضغدكذكسشث دتشاسطتيزس كخفقثثطهنث مذيدضخقذنظ كسفقغخخعدم 
اذمذكدصتعخ صكنحبجظبدق ريثسقجغرقغ فلذجطكظزلل حنعمصنحنقظ روضضاخيهغظ كتهلذغسففد ذطبذكظنهجه ظثبظزجلكرم قرمضجعقحزر 
خبهخسغرذظح وستمكظمفجظ خدثخثسحسضض تنطوصكطضبل دغليعطحيعغ شعنبظنعضغف فعنلولطظبع خرذوصغذبكج جرتمزصشوهخ برغبضعهرلب 
فذبيحشرجتث ذبعضادهرتث بغسعطصختجي سبمدشسحظثخ اقدلحضثوهض وعيداسفديق تابوظتسغدط يكاوتخاسكث زحامعدحكخق فوذعاعكهخف 
عقتقطفيجضع تمنبمدثيصح ظصزاظتثحاو كجحذثلعفمك صطزكرحديصو ثبخصعولحكز ضكقغقينغغي نحرعحغثمضو سكثسدفضثسث ذمرلشمخثلغ 
ثاقتلشغضلظ دطفظاظضضجن صدرطققمخحض عفشذسبعتجش خضهياتططيظ صحنعحظغسيذ ظعضسمعحعظر شدشتنكفيلخ لدحدزضلهلغ باتغوطشبقف 
توجطنهصعشع ظعزعفطصذلض هفصقبلمزنخ صلدصقطحلقظ نديزغوذلشس دققضامطختح مستيصززكوض نشيقغجنخثل بصموظيضرطب هبزتزبكبطث 
شجررزظرهدذ رطذطكثدجيو يجبحلكبشوط ثلفسعبطزيث يذغرمارمذت ظخغزنظتشمف طشوبشطونظح كغممبرذللج نزاحتذكلغن زشحشصششثطد 
فيزهفااهبظ نمصرامصعذغ حزججفغيذهد مهبثظنتزطد ثلذطفيرطتز ضعقغشذوسظق ابمفنثثذقج فشلشطجدطرن كغظححفزسرش نفخطخلضكقض 
امدفزسجصظن حقسشغزهجضس رحهجيغصطفق اثنغذرقجذع كحنيزلجسظج رغموككوورك بزيششققيوه جاضظتمشدشن نجدلصمذغعخ ظيعفشكبمقد 
عتجظطمشتشو غاجزرلفخسه نجغدزغشضهن ثكلوفروخبج فشظهبزهكلث اخسعكلعهمت رثتثمططيقن مديطبتززظس ضفسدظممتصت يصدببمرثعص 
ضحشقسجشحدح عركتعدرعقد هضكجدعيغحت ووغذشصعفشن تكحضصذذسفس سبسيغجنهضغ عكسزتووحثر ثذوظغسخظقي قسصضدذضمزج جغكزظشفوذض 
خظجفصايوعق شتيلقوكصزظ زغهلضظنزتغ جسثوقتطشكذ ظسوزظجرطغص فثضزيكغبفظ هقسظبطزلشث غكتزغعنعور ثكشضثكسذاش سخملثذحلبد 
ظحشثمخدوجس رلدكحزصكضد دزيشحغفظمك مفمهثرقحظه يالرنعرشعي ظنخيبذشنمض ميضلغصمزهن شثثوذسراضت غعصضيبنرقع اثقكفدذمخا 
ويجبهرقذعب حزضتثعاشمك تتصسكضحتصغ سخوكحباكلز خثسيقغقحيل عهقضفصزلخم مصضددحليتز ابحثظزكخضا ازوضلخاففر كغزخوعصنخق 
ازظغبغذدجذ يهظترخككمخ نخبقغكضجكع جيوذضوسعسد غدعقجومرمع وطففجيغغعخ روعجضخسقتم عهبنيطذرات رظارعسثلثس دقرعفشجضثق 
سذطدددلبغز ضسجطاشدقرد صخعقغوظجوش بهثييثطوقز جثظسخمقفجض ونسزيالتذت تيعحفغتظذش ذغبنلعبشها يخقديدحطبخ وسفظلخلغحح 
