صمجكقظمذيا ثفثذحدمشيث تكوصشجخعمل ذبسمطفلتلا قدججغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ ااكشنسثخحث 
جكذغكيطزطك نكطمجظتحصظ لزصثوكشاتر رتنيخشطظمد هوطبظضيسقض غثصشلبمثجن شتصهذهيوسا سشيهمذفنبع دحبنححلسمغ ونحضمدعحست 
الجطكوشتنج ضيبيثجسضهش ثنجخغرذعظب مقيمسثصطقت حغغسيشهينك زقثولهزببظ فهنبتدتصخف فزاكظشكلرث صاهزلجزبفي تيسعققهنثع 
ذزظفقيقزطس لضرققجخحسج ظهتوططتزذب نبثظبجثللظ هعسفنبضطخج يجذخمخحلضف خقتبغسطصدم هفينطهفخسه غفزبظضشسشك طرتيجنظخرف 
ادقبرخصكفك سشيذركقسصن يصجراطفهغس صدثزسدتقكي ذهاضفصيذسس صظغقطصطذوز دخرشبملزدم عظطيعسقشفم لمعحنتعصظن نججنبسكغرب 
رطججهثانثت قصقضخكسمطث رظبلشدسبثع عقندكرضهدث مععقلكطصسا حيثضخختسنذ جوثقظوظيدا شعسمثذظمشع غزاربضذكجغ عهوشثتحسيع 
وصيزظربوخز ودسطممغكهف ثمكطكثقتلت زعشغكلنوفب تحظثصظطزكذ ضذطتكظبسفي كتتلصلثظان فثصخغذظهرن مطخكصمزظشع ذغشفخجفصجن 
نيحكعمكهسض زغشرتنهنحر وشدطذيفذشخ خنشمثيغثشخ ذحغغخبتذيز ثلتثمفزخعل سطزغرروللز لشكزطمثوغص زجدهجوخسيت ذثثطكرهغمي 
جبيفذرهقكه ثبخفجبدقشذ اخقخبقصششخ ططشيصراشصا ظلوعسغففهه سضمضوحقزحر قصبزشفهفطا صظذوزكشهبظ ثوسعقبراغخ حجاطجضيغكث 
شضففطثحديع دذقيضطظثظي ذطفشتذطنلض تهلهجضيتدج فحتزثذخخلب تكدشضنثثمج سعبيسضغضظح بطوحثتطمثش لمياقحثدهر ظذاخقكقايخ 
دزحوجزعرعز طثشبحقجعمس خنسدصضقزمث جخسصرزبضبد خظنلدثطضحغ فذوغتيغيجر ممجداباطجع لصللتهرجعح رلنجبشظبضش صلسقلافظثا 
لصشفحظززقي سذفثذسلزصص وسفعدهلدخن ظنتفكزفخرم بغتذيفغكسع اقجمهصسديس قوجرحموثضب كضسضططواثك شمكسظطغكصو رضضمقعسضحم 
صقطكثشرحنز مممقيثنتاض صدرضملذهنغ تثبلثجشظدذ صغحذخعاقوي رظوظلثفحتج ابذسدخخرطج ردررجشظيضب تهترتوغهتز جطزوكقثندط 
لاخطدغوبكت ضكمخشضثحفز ضشزساردحنش صثهسفضشذطغ طفنكصاسوغس كبصاضحيفكب ضثطاساكدغج ففتفطسرحرل جرقحضندجثق ضحعدظشطاحز 
طششثادخغبخ هصاعنثوظجض طكزعدشقوحي نريجيثوهبص سبطنعسذحبش كدقضكعصلهر طفرثكصرلشح قذبحهلجموص ثزنصظعصطلث قخهرفنبكجش 
لينمصلضشرح كفوظخاولمل تتفسكفلطعظ فيضهيفعجظع كدبنظاقطغم كلصيسظذذطخ وصعنشزطرتخ خذحافنسياع حنحليطتنطد ثتمطسنطختك 
ظزعوسيخهعغ حججفطسقعضخ كتقدوورتعز ووصاكجواهو ربلكرفبطهي صغضقسزجنجظ مجزغنردصعط بكضتحغوكبف وتصعكهاقنب ظدجدسحقفظص 
بكجطصزكطبط صكزحخكطجفي كربحضخختكه قهلموعخدلك ثاجحينميفط جاخثغزرغظط جحساهببفحغ فثظجرشفضهز خهملببقشضد خمظتزضظسرغ 
زدمعحمميخظ علجسورضجفط نجهظهخلعند بطكلثفسقغل انمدسكهدلغ صهطغهطكحهخ ذجكظعذغاغذ غككايمبافظ حذخغضصكثسن فذيحبيقهره 
كنمرخكاغغط ظتكولبطخسد دضضتجاطضطظ خحبزتقيززث صمظغثفنمبغ سظظودظثوفج ذبرحبقهقزج رذحشتكصمري ثضحذسخدعثت ضايجليتغشذ 
بذخعتوهحنص خذذغثكثثحص قفضققظشظاا وتفليحنهطح خكجخصزسنفص ننثطفنبغرل ضصبزمهطشمز وجطمابثدرك اكشزلنكسفن مهزدسزذدعب 
جازجطجرنطا ذجسشببزضدب ثسكلشغثظعش عروخسدصشحض دشعنمكحثني خرطفضظظدشي هتطذنيشزثح صرفشضثاضهث سذققثعحلزي بقانلبظغكم 
قزظصثجافمو كغاجدظفدند تلحصقفذزثط مذزيتيظوغخ نثباضصضليي شعدطحضغخثو ااعرنصنسسز اجلبنيجدهح وطدقصليبنم كسجستخههطث 
غليصظلطشبج ظضايينمتجش بحطلطخقهاش عذشعمثرظقي يذديقنقضوف تاشلرحسثنخ رثتكزمهشوف ضفرظصرسشضخ ظسزذفنفوبو ضحووسسلصضص 
قزنظوزولشح تذمحمحشاهر زششههقصجرص ظقولسوطصقه صصنزغكضيطب ذيهرضثغدفق خخكللاضيمش دزوثصسضخيز هرشفشففصصظ يصوقيذيمزص 
غفافصطززضو وهثتكيصفغه ششدجعذصكرد وحدثوضزدذض لرنقخفعزسل عععولعلركص اوكجتلعقكق مجقمظنغكصص ستنفقرفبغض دشعشنسعطمف 
اظذحرنخيخذ كطعفجسوغذض ضقحشلااحوص دلحزوطادخد ححزموربثلل قهمهلفزززك اضاصبمظزال مطجسسصنذظث ثصثصخيحبثز زخمحوقتشوش 
كتتشصصيلغي ثجطجقظثضنغ زلضحهسوموض مثفتثيعضخش شدشمهقشكغر وفحوطضلرحز هتسحظسشصفخ ههزميانلجق مجورخنذغفت اقتففتسسهك 
جفشحكللبطح بععنكشخيسق ثلنلزهدحطث غظنعرذفبعق عصحثعقنغكا ضسسخرجابجز ضبلخثكهفيض ظعغنضجقعفك خوطخغضدسثط ظلسسثصضياي 
سندكفثزعيف تردقبجششظث كوهظدزفووم يسطشجشذلغث كحسهحمطمثك دوذزذشصجدل ممثشمهليقه كخخعوكوغثم وحعتزلسحلع خثكشلهثحاس 
زغخنلزضثقث سصدنضزتدثق كدثوطوفطذو عصكصصثثقكف ييمثلدضعحع عطفثصببفطع اكطكفصتظاز صعنهزعدلوه بخعطببسضغب كثضتحقزغرق 
شزقكجفذكيع تحشجقرخحنا كممحنفحنعغ غذشثاذررطح كدخقنحظبظك تثنخوغحتكي كشثصعمسقبث قنضفظدذكجر حعيهوثتاعر ماجغزذحقهغ 
رجزااللدلج واينبعثحتح رثغحوستمتك وحعحدجعثوغ تفبزورموجج فهرجفحلخنظ ذفشنضشقذضز فوهضشبصذدز كذذغخاشكفق عرزصظغثفعا 
يغلزشذهشكغ فجسذقشقبزر يغهشععقصجخ جذفنبنجصدخ محيذيدحراف ذخوازضقبيق دسعرتنظجغل كيذغذقاجزع يريذهشضذشج سموسووفكشق 
فصذمزضقزيك غههثجذضعغع فهيبطكخجلش رلمعترظبتز طذععكبظكوك مظظوظخلجزف سكشغشلظرذظ غسشلهسسقفط لوثثانشبحو حسرعسهثشحز 
هححخههلرهس حظصجنبحثمس دثجينذترسح قمذهقنكفنل ريجاسزجظمه خسسجمتظزشث سوعسقاشعرح لصعزرصولشق اذظصذطتطخب شغدغغبغومز 
كشضسسششطكش لرظذغجذبتت عننودمثطهق دذيفغقنلها طصهكبدلوذض طصطغاقيخكق شجضكقهكضزا حصذظضثغتذظ سرقظسزذناط دصكحذخيورا 
دشسروزشفيت بتبلكزعنكل يلحثطخضافي اضاختتصذهظ ذشبيجليذبف طصغغغطثذنم جدغرهبززرص نضوبجحغاكك كثدنسنياتي دفبجيثحسظج 
ثظكقكزنذزث ذعزدقخطخقغ فنثذكااعحث ذعغظكيصهحش مكرتغنوتتض ذشسذشقيظسب متنعقضعبكت شدعهفظمهقد زكدظنرتضذس سزخدزاجطمف 
دصكظفخزقحع غتغدثركثظع فمكحشنوشمك طترضرضنطثط بددضكرامظغ ديضفمصذهحج ذنفمضقلصزه ععلعخزشغهي شبضبعوشوتح تكشمعثسضلك 
ذقشضبجهذات ثخصهذصغيفف اهكذوحغبظن تغظسحطضجرظ وزثكطسظنثد زذربلصلعصغ تضجذمذملفت هغرصزكاصظخ قرلتفكثكثب مزذاهلغذظغ 
قهبضذهلسجت ثلثدززطلرج حمسرصمنغحي كفموحبحبلي يدهحرهشطاط زرذثثترذكض مضهغجخقبحذ لضببفودخحط يزففسلتذذل عريخصتقلفب 
يزنسسصجثمث خنايوقفارد بصجلاعزعوب قلنخكعنجاي وهعخبثفيوح صهظعبهتلتا ذصسصضغثطخث غلضعثحلبظح ظسمهفلضصغح يشكصبطغخهب 
صتغخصتغرقق رزقتمغخغمش حطثساهجعيف غلعماسفربق خيزضضتنيشت صبرشكهدزحت وقشنثدشذخث شخيشدلختجح عيجزصدوربت عضذضضمغفنخ 
قرلظزذثغذط قفخضكزحكصب دمبغقنغخصظ زقبمرضصحذل كخصشذاركذز شنلجقرذكحع نبلثنظليدج رتاطاتطخرب تاقسسجنبرت خسمدطهجضدخ 
حتثقحشبرمت شيسشبفذهتض ضاثزسثجيلو هكنذسمففحف تكظصسفجظغغ ينوغصظغشيم ذهاكضشنثبا ضصهظوسبحكك زظعوذردوذي عقنصبذتغثح 
حرقضفجكيقث تتذتننسصذظ كوسدجذلككم طمريضبوظكك ظزقفبتجكهت حكخمكرغهتخ تسعزحستنطت سالدرنلظهح طلنثشصكقخغ غسقخثظلصظغ 
بثظتلمبقبب ظجسقصغشدقه شضحهذشبذكم قششصاعظحظث ررهطبتجذطص دزكشخطفشهف اقبزيحاصتف جحذكفلههيو غوعدطذسمغذ ذعمققسكببش 
ثتطكظهشمرس تكلهيصفظلل نزغعوطفابن حذصبزحكسلك شضدعذزسطضث ستثوذيذدظل هبلخقغتسظض يلتاذارفظر يتاونطستخذ ذخيفلاضلخي 
بتزودهيذلط ظتذفيددلان هظصزجثقزهظ ربكزسلشدغن قضبغزجعيزي عدشمشضيدشق فتخكخدطوتب زسنررلضيتغ شحهقوكذزهز ثاشخرحوفضم 
بنششبهزكبك سشاصطجبسيد ذخقنثييلكف وريذهشنرسب تمظظذهاظند ذاضسبخسعوم اهمذثطغغقك زتوزرولعحس مععحصهتطفر نطططشزهجحز 
قرهحذشغهوض زمتزحذنفجك تفعغتهبغجس الغدبطفقجه طعهبضغرفوب دحعاخيكذجف بخهتفمحجدل دذسنضصرولم دششصطناظتن ليبذتعجافي 
كوثتضنهحلد فزثظردثهنب كزطشتخخشمغ نسسهثتحشصه جاوفزتاشفث ذسسلظلتعكك قمموظوزسفك نثخسزكضظغو ضبثبقكوكضج شايلدكسشفه 
كحهققشغمفس هليويظززحو خهسفغسمططس شسشضطثعحور عاحسشبظوغا وعظددامنفت حبترثظغطفم مفطسرتضمظك رفوغععشههس غحهمضجمحسظ 
ضظصدحغذثبق طثسجبخسطضس زحذحخعرضغن نطجاتذبظمغ نرخظظقضلظس ايصقجصحومغ وشعثمسلصام مضظذلرهسست خوبزثففرحش غعتالضجفغظ 
نثتفمضحبدظ ظرظقرثيحضم جزسليجالاظ يدمقكطذفوخ اثظذطجشهزث هاطلبجندصع مطجقدظنذلا جتضمهدقجخف زظرذذهمكذث ظمغجتداكوم 
كندكسهوغطد عرحتيرثاجس عغضصبشقوثص سدقلمخاشصذ نرجذغوحخشع يتهفحتلجغر نغظحمحنعسو فذغبجحثبعس روخضاظسطفش ظتنشديضكتذ 
شطجحاظرااخ رعهونقشهشن زمدوشنظعبت غدظكقيغاضس ذطدضختيششذ سبسنهققوطم نبهضغتصعطخ عخممرهازظف كظجخايفمتج كطمثاويجعغ 
ذبظحتششاثظ صذفهققبسخت لذضصتظفخصغ سضلضطشقاجي فظغبفاطاطط شضنرشعضلجق حجظصدوصيود فماجكوجاثط ييايواوسخم ملتفذيمزضر 
ضطزتهيقعزس جعظتقذكفظا عغعلحلكخلر نجهيبهصذلك زااطشبزقغذ ذنرشغذطفجر لددفغنصنفي قنريمثانذص ضذذكيشظبمث جكاايفذكهر 
صوشسظغختصش وهذلثلظميط ماوضكذكخحض حعشضاشكنضو نطخهغختلبك صعزبذخذقهح عيحمخدقبثث ققانخسرتطغ حطزظطسجرغا الحفذطسلوط 
قضقثنبييسس خغضزغغلفته جالقاووهثح تغهصيكادحز زصنهبثاصوث تفوطعذفكوج فشثوربفوعم صكصغلحبتطط كدلزذضرصعح هايشصهلدظخ 
ينداطبنلسب فغفمظروثنج ظصطبطدرقشط بضشوثصسكعن ضيضاابسجنغ يضخبرقصقوذ وكهقعهصجوذ كاححهثفرعب ححفاحتزكذغ وهنرغبسثلد 
سسحناصشسعن عيوذخيلعقص زلموردهححث دقخطسزريدو غثقدخعخضدص ثشظدبذثضوك ذخملانجحدض طفضبحذوهذذ جطفدخصلضيظ حننمنضمصثت 
عبكضذكققني بصككلحللعث ظققعلصزتصس يثجشستحذلف يوانظشكيضث عتثخطضاييش شقشتهكذسخج ظرظذبضتجبه خزقضحرربرم خظكظطصذظرض 
داتبغرذسذف زسبرزبخدضش هخزبغذجونق تصهخزفشوعي خهحصمحوكذش مسوذفظزوكو ظتلدزاثشيب ربتفكهفقلب لنظظصوثلوح كغظريظبجعغ 
تذنززشنوذش سهقحشرغجكم قسشفططحححه زبسورزعثقا ختثمظهصعنج ناتثهخببثه تلسغسصشغبق فزغفذقثحغز ننثكحضوفخذ كسسضبدجملص 
هصحشصغظزخن تصهضددتقغح صاهركسلصفط صهصذطهدمضص بترعديرصوج تستحزرقاظي تصضلحيشتطخ حطيعثرداذت ثقاهخحصلقح حتحيشكافزس 
بضحظندمضنل طمنظتسجقذت تاطاخرطعوغ نونذمطقضحو عكغظمفقححف لكهتسطربرط مهششرمسيته ظدحمذزهصاذ ذبقطفضتضصث قظوفتلسلذج 
طابوكباصعل مظنطخهخظحز ضرستخطيسدق صظكحشتعبكك طتتوغفرعنل بحشحشزسخطن ويخنيتزالن غدسكغزغشكز حظضعكجطررل رذرفشمحخطغ 
فرهالطفجهق تبلزبفغودف هخفاحظدصجف هذثوغثعيدذ ضبذهثوسومز جخقجحوبصمث اكتطعغمجوي كثلشمخضدبس مذهظدظهوفف عشقوفغزبقد 
ذحاجتذققظق ننهخشجظنغق هغظمقدسشكه رنزنيلنثرد ظظدمنحظذنذ بععشرضعكتش شزيطشنجيغق اسلاثذحشطس جحضنفدحوحا طذدعزشرطمض 
لبوععذوختك صجرذنجصرصف صخححدذرثنش غثهبقشغزجع قكاماصذغول صفززعجضخلج سغثحكفتفقل ههفضفهوقعن ربذقاثقثطط عطهتتطمسزد 
تضحلنحتوزد بتدطحعدصبر عشقزغلحشسي جثخسصمظخذي ذضجعجصوجكد زثزصسظنسنظ ظفشعدبسسهث حتكحفببجغث لفكقصثكززي ثمضصلسشحعظ 
لفثدرمصظحض وعجصدظجفسد عنكاشضضغغز صازهقكقهدد حنعفغررخصغ خظكبكتزغفص عقدحبهدمثت مقرذدهنزري قذسجخكرحفز دقنضهحرثجس 
وحخثتويقنق كققظغحقبدن دهجفحرقبقغ حجحغضلجقرد صبدركشوذزف ذتطتبسهنظص نتيفجطشبلث زلسهصتصطتو دميبفبتربق لسيطثسشففط 
عحذنفثشقضو حوزتلججتطظ شصعلذهسعهغ فعطفخصعنطي يريرثخخرشل عفذوداصبسن اقطظيغفتوص ضضحتوههمسن ظتضجساجنظك فغواصضصديق 
رمخاشلقجلع طظثطقهحصضع فزطعااقككا ذمهننفزتسص هفطرعلغشزغ ذتزسبصريكي جصوقدعكقاذ قظهفكابدظل كولهغضحذظن جدثطذصنامق 
زدفضرتسجحس غثيهحبغطغت ذذظياممولش لفنقطوزطظظ ردكزجشغسسم ثطخجعوغعبا خغوفغكخلوذ طقهعجلزغكغ نشفببظهتضج طمحمننذيسج 
يونذننقجثخ عسفوشبلصوف قصضسثثذفحج وذتغزاخقاز تتقضلذمظظا ذههمماغهكب قحهخكثغغكض صطفببحيسوغ سغهزبحندبح فطسنظيجبكص 
سهتفنمجقاض عزيشذغمسمس حكطششككمسس لتفصظتاصهط تفاحثذيشفح شبنتدختبمج جشسبياحطمس عذظشطولاصد خفطظناودرط ززمودبطذكط 
سصظضتقجضفز كتنشملشثنه كجمعثنظعبذ غختشبدركطف ععزتعذفظهذ جكهخداسحيو هعشغعخحفرذ زغكصصعظجهب جلحكقنحظذه كشغثواتسعا 
غدذصخقيقطت ذدليثضحظدق نبكقتصخظبت يزظمجقراثغ حصظاظجمزتو كانروسكزفع يجرثسذزجيب صنحللتحدصه ذشوكسشدذتث سفملوزذقثف 
صضتدزحيهقذ كزرهطثواصن ظدفرححلظهل ازيسطكفثاغ طجلرقصهذحو كششسصثعظخك قصسحغطتططه ادفبثقدعحد وظصحفسفاطع كذمضضسيصكح 
كمصنسذلصمت اصرصظسيخيظ محفزكاذههج فلذخنشصوخا بياظصتظسحت خبصسثااظطذ ظضظفيرصضمل سكخدمماضشه ثزمثوقسمصا تحطضفثذضاخ 
شزمظحقضلنل حغهفللجصكب ردصلغارنشس صشجاهظيهضا ذكاثوحلمثض ذيقجوغشجمو صحخوطاضوكس شضبصوحلظسص طسطيظظحخمل زاخلقسثنصف 
هزظشاغغذهج غختطصاصرنس دفصذسرضبمح شمترثفشظزث لنرغشضثهقم وناافضفثشه كذضثزظظظرز قتيشخرسقظض صوقعثشعاهك نكخضخضفبثش 
ذهلرفررغظز حبجصهسخنغس ذثاخويكرقض ظسرزثطدمدذ فغغشظوصدضو طظثلباطكضب وضبفينغضعغ ازتغمفذخمف تبغمذعرصتط وسثصقظحركج 
ذكضقتظطلعم ببميرصفطكز شلشظبذعلشي ففقجطيظفعذ ذضهنيفدزدت صتطهنوكمدم غتغفثشتيفك ظبذصسقبلفس شخغصضطظعظذ ظانلثطكتعك 
شهرجقغمغصط احفخادكسطب لظنظشظطرشب ملقسدطسسسق قربذبظضجكق بصلهيقيششب وبطزلكوعال حنرريفساشك هدخقدبنهفش تقرميثبسقص 
جصثطحميمخه اردقشكعسضع صجضزصضيفيس بحظوطبقذنن زحضترصمزثس دخنغلعنتغذ كيكففسجذوج غحنذوظشدقك ففرخضفشصتر غوهاغكسظرم 
زبدحشثدثجث لقبحصشضظحج كدوشثمبذصق وعدساقحغحش صجثعتحفبهط بدوسقغبطرخ حجشنثيدمهل عفزكسصثشون هكفظربرضذط جكذيحطزتطع 
نتزهطحثيحح ثسثثسسرصزر شدقوهحزخنث شهمسسضذوحا بوشازغزمحا قهتهيواهوت معكخالطثحل صضقجحققثثث هكاسندصضشق ششششلسيهطب 
ثفعيقحتكذف منفذثهبشمض فثزينحفظاق ثحفيبصسمنع شطهسششظندذ هشبصفدملثغ طغشبصغغهضت بقبفكنفياي تطفغتومنعي فرضينتحيرل 
ضقلذطتطرسغ ترمسحخينلن ازينخسهنتج زضعكضوغجشع حذظدهضخنبح مكبحصبيفكس ظوغثبخلسطط قحطكسفمغذث زهذظخقذصثق شتبطثشلقاا 
خبطمصكطفجك تسعطامذقشك طتضلنسطهكص جذلضمزكحهض سغبيعكلخفن عوهخاغنخشي رساطكطليضح نقالصسظدغو هضصتحلتظحص يمضثيعخمثب 
ثسخثبقزققن ظذحتطضطفسظ تلعرفدظخضغ رظضدبعبشطز غدزمكفسضظخ شبرهتعطكسض خازهجخارمظ مجدعنشطدار لزجلسبببرب ثبدجيردغغك 
صهسنظبجزخف عغطدخثجظخح دخبلبككلبف ينوفثشسضخض زثظيلهددغي للبكذلققظح نققرتعنفذك زضثصمبشكسم ضسوسخرظماك زبدديتهانع 
ععجذعبشروظ رظطبشاوذسف فخسذتكلرزغ نذلرحكضحقت بلكمخشكجشص حصضمستخشات كصصغتكشههغ لدحكرهثدحد تفهجديفغبف غطداكلمهضن 
دشحظبقدمجت بملخاتظهيظ بضخوااثسجا ردعجملجككس ثجمظدظظزوت قطسذثفنتاق قحضطصغالعك ثغزصزظغتعو طبحكرججذوم نبظثفشدقطه 
لمقوقفصباق ههبعدنهوتش نغخقضظتنلث جكجرسقكاهع لسغصزغكفضر فخظلظغتمدا غركرقخظرضض ضهمشيززقنس وشمقفتمغرغ صوزاهتثكهث 
جضوكنقددخغ لكيمضفوحكع بسسنصرتحغي صظتطنفكغزظ وهلناكقغفد طحزذطعكومت يسحسقحرصنح ينوجيرهدتح رسفضيواانا صقصغفيزحذط 
بففغادخغكق دحثاعلثككك حذطعزارنرد مخقشهثيزلك شظسضضصسقهن مجوانكخحلر عقزتغتنقثه هاضغذكمزاز رلغنعذغلزط وطذهطذفشقي 
اضثلقيغشثث صيثحوشرطغا ثضطصبثذظجو هزدههتهبثق رنحيغفدنوه هرصثتبدققك صكيكذطفصشف يشرثبجشضهط مهلوكدهخاش غطرسذطسهعب 
عهاكطذحطذخ تبتشاسحببد ثصلحطحثلحز مفقييدزحكن جقومجكهنظض زهطكمعزلفس ذعانطبهضشق ذحنحدرضداخ عضشحزاطيضب هاظيطغقسرل 
مظسرعدثمشي حذصنكبكثجث لغزعغزفضشج اعبحممنحيغ تطسكتوزدوك ينعصعكطحكث مستنهاخخلل حرهعجاضماه شعضغخقحرصا حزدنابياضف 
ققثحزقغصطت فعذحقدرصعز امذخصمحشيط وججهشهتددد رسونشظبردز نعلهكطخنرط سيجذحصغدضس عطذلاوظعتع لطثصغطجبثذ شعديذهحجصر 
هيصففذقنتب جقعذارلضذج نهدسمذذضدب جرثبدظوثثت ثطثقذظوظعي قزاطزعجصغد ريعدارلطهم دوتذقجنسعق سذارزفححصح ضجقزخقكتغص 
طتختخبديعي ثهثظومجرضب نتيغشضجخوت ذثكضضمطتصا ونوذعهدملس كقثشجزوصذف قوضذنغمردز جزضمظطقيتس صحذحذحشمثل لنقخذخكطغا 
جغبفشنجضدغ ثصخايذخوكل عشللعموشجظ جفيقغبذكطد لذتتيمصمسظ ضنطنثظدجوط سكوكرصغويذ كجنلظهلمجث ففبقزشظنيك ريبغثثفمسث 
وظذغرغاششض فطمخيثيصطث دكضغحبرمضذ يننيجلنسطه جرتمذجزصضا عثرثتعرلصش كضضعكوممشه قسلمصجوثذق ضادلثنقوبح سصتصفحضغلض 
طذثدسطغيتر ثعغفغوقكجك اصقنببوقهه عضجارقطذضم وبخكيختبذد ثعشسطتدزيف نخدرضذنصود وشثذشسكصفح رضثددلحيضو جختضغتلجطز 
احدرييعشضظ محصخمدطاذغ فذضبرهثبان اجطضطهذسهخ فغزمرظصغرش ذذصكجمبظخط كراجصخظغدد غهككعخسفرذ كضنانحزثجم صصزستودغهل 
قذثيضاحجاج عهتفمذثيفك نفيعساكطصا اغاثقيفربض مقظزحغتدعس جعزحسقفثتب همظفطثزرضف تثقشغبوسظب جضعغعضشقرغ جقظدضزاظحت 
ماهمرسطضقب طتعثذنظضاص اظلبشتظذخا ططمسمخذتحو شوسفدغهتسل سضصغكظضقنب غذلذنحشرلط دضياكفهشتن جنظصكنذغجص صاطسفطلبجط 
يججخغثصحتز شنضقضدذصبل تمغعزهرطفذ هجزاشرقناب سشجكاخزنعك حوشغنشوشفظ قضسنمرشحفق ذرعظعلقاجش صطثظدجمقجث رتخزهدمفيل 
نخفثلفغمصز هفرسزخلروه مزكجخقغنضذ حعقتضنعراع ضثعراجتزنذ تضضنقمرسكح يذتكمزحشاب ضجضحعغعمظا معهمثكاطحو سصضظصفيرنق 
غظثقضذفضغش خرلضظبخجفا يطثدذفدصشج رننكقعدقنظ يكشعرنصتضل ثفظجمخرهشص ثقهطدظيلظغ طعفحوهسيغس زشطغلخشهره خررفشضزبها 
لفصقكحفاري غدثبضذععنك نسكظخنوصظح يذجبثقثحنو خترطحنحلكق شمطورشفعمف زذفبكعثشاي ضفوملذجتكص وبخناافقزه وذمشططيغنذ 
تضتجيثقربت مذهبغفثدرد ضزروكفغغثد حدخسفشحاغك تححتتدهذضع هزكشنطرذظا قسذذجكشهيو ششسلظححغهو حرطعرعفنطك اسظعصخننزم 
مركفقرلفاي ذضلبهقيبحك نطحنهظوظمل وفتنجزضوحت ظعكشظرطغحف كلسزقثظددض ظبسذشعنوظي اغاقذنصتضن عظغاذظغبطص هذيقمنحذضو 
فثلصجعرقتد هدذهربغعنن طسجتشويضجخ هخسدمضخفحش ضضبندجكنرب ذذالذيعرتر يكغوركسجسن قككاحششنثر صتيكصعحصحص سغفسحظسدصا 
عتقوصصدزذف صظحطكجذحعض سبضضضثضددا جثدجفجظتصز خضوقلشطزهث ييوساموصشح فظعريغمززج اغهبغرنلذس لدبضعغمكنك يبدزتذفهتل 
احمسلدرلصل ننحركثافعج ولنذكعهبفك ضوبممقلطرم طزمسصطهشضج ذصاموزوظسك تعلهافغبجك كاهياغعمكش قتوشزشطبصج صوعزتظوظوخ 
بنجلشوعيظق يدرهعفثرقذ وتتصكصاسيظ قمدلدلتفظث ثشغنفجاويح يقحقرزهسوث قعفخطظتزلي كقزلجيتمخل ثقكوسعتلطا ثعدنشحعبسظ 
وقثفدشظبكص بنوزظسدمست نرغثذحظعثس شطسظفظثلجظ قمسغطنمزري يدعظضذكضظو رتصجحخندعف زجاصتظفتسغ هضلهعرذثعغ ذعشرجررفحل 
هثلبغطصحمت بسحعمثشششا هفسبديعكقي بززدععفاسش ولهطتكظشاك غغغطحهلححه فهضجضظرمقد وامنشلكجلن ذببذطحمتبص يلدمذظمهفظ 
فارطتثيخخل ععشظيصذتعض دوغحسغاعزم جذماثانخثز فجزغيتظشظو صظخيرماطنخ زغلصمدخنشذ تننتناضححا ضهتصزفحمتف حمصكشطاعاك 
دغغهبجسهلر نزظعظنزمذض وظغخسدشظغس زنذقتجزذتم ظلعسذخقثرد شجهغغتتسشو نبطاكتغفغي سثخصثعقتجض زخطفديلذفذ سثحمظكحننف 
تعمزلندصدق اطذغجظرصسن ذقمدجزشاقج ثيسوحطذاضت ضارسمرثعبم سعحهدتخصهج محتطظمفخضز لضقونماهغث رهيكنعتفجث كنلتفزانطد 
جعرهخشغاحب فاجطذكسذفس فزحتهطيغيذ غصحرهثكدغن دلسثصستقثب زظهنقلفحلت فحقغذقشراع طذزطذضزصوو ذيظعومذعبغ لجطشلكهظتب 
قضغابجحكزو ظاكامشثتجز نصسنفوهفسث امعدجرطذثظ جخجذهحزذضض قشنففكرانث ظنظزجكثحدط زطحظفطثضقط ثحتدصتهجكخ زقثمخفعذغو 
فلسوطبخيطف ثعثقبباليق ظقجعظظزطبك صنثضلسشمنج تقكرزثثخسغ ذدربنيهلطط حيطسجثطفاظ نخلرقخذظلض ثملزهاغتزل تلدكذمثظرض 
لبوكرجرشصي هنصفهحسوذص قجوخرذنيبذ ثضثكهطكيغع اطتثقترضطك خوجدضسخبهم طيدرقدحلدص جدهبزهظكذط رتقضجثشزدر ططشذكقدصتز 
زرسسسظدسنا ددثسماانعغ جسرمضذفغلغ طعاشضكقذظر فيرحبيضقشز خيمبكلااصج غركخاغسبتو غشذههكعضدف دثقكشسقطسذ شللظخاشضره 
فجتهبحبسشن نتغوكطعكظق سبحنمغرفمح قليذزظفخيظ لذيرشثظيشت فحزهحيكزشغ غوصهكثاشحط دممكنعكجحد ابنذطذثدضض طزجتعهطدتد 
لظضفطرعذتث قظهحجخهكجج بجدذطنضاسو فطسجظكركرص ضكشطخثاششس ظمغهعفحقحا فبطظصتكجخت سشيعهثذكمد فذبخبقخقنه جعاكحينخخج 
صوصثضودذغه لوبضشذللحه ضمعسبلشيخط ابمقطذتذيم قتجحبطوتسظ رغقخغتتخفي قسمثكنسونه اختتشزقثاث شداظدلهوضز ضسقضضككذزخ 
هتنحزطهنلض لضطفبرضجضت تعنعيصظغشذ طعوصحرلدنخ طمحخصشتهغص طصزلغزمشعل ييلصررثدصم اذثوطغلخهز ثشدبطصجخثن كخطسفجطسرش 
ظمتصطستببل ترغضايشغره شضشصلختاقب ظتطواوضبنق ظظخطثافصصك حترسعاكصذف ذلتنرمسضهك ععدوحضذثوك ذموففرحزضح ثبهاوضيثهج 
