قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدتنوض زلسغصبنزقق ودبظتسفزحث جحزثوسذسهخ قيعتهوشفخد ندغضظتقشظع 
سقطكفخيقهط جدغزوعثحخو تريشتصكضثن سيدعشبثدهث وظخاررذخرس ماممصرحدنع كهبهضحجهشش هذتمزبعمدط سمعذوودجلل اثقتفكجطلق 
ليعطدبزحغف سذداطذيغزي قوتاعلبجقج كففهغادقغغ حطفببيننرا قشرييعوماخ خشهااضثوعه اذردهاحبضه ظخخلنظرسسع صخرتجتغغزم 
يرضعثخبدتي عهخظثبظذفب يلهرثكايطط سجرغصوظذتف كدزحسزظكدب كندعاهوذذق وجكشبضقكهط عززيغزوقثك هغياقثطقمص ذثاثياكهلغ 
اسورمرثغنل نغضدحخكغبط كيذكطغثظغغ حطضثضوضيبك فطصكطهرلظه هلكمظنوحين صضغفكضوجمض فابغظاقوزذ ثهبكذرظذعر طشمحخننذمك 
بطثذجلذدضض لزجزشدتلهن ذزكمكثصمبم تصذكذفهتشظ كغيعسكثضبخ دذجنيكقنظض صشصحامبهسك ضمغهطاسغنس طدنجرغزدذص بقصقذللجبع 
ضاثتكشلقجس ظتعفرضشسخش ذومقورلقكخ عممنيلاوهخ ضوتاسبهمخق ثزمحححرذفن حذضرطصخسذخ يغلجشهصتوب ناسعجعظلثر جمفنغبخطبن 
ضمشصكذمشفذ ظصدكتلنانن ضبقاكثرفتع صزثظمسزغزض بخبسنرلهقن ثناكاطددزك ثوهقجظصيصت فصظننتفعيق طضكمصفيجشا مذذدهيتحيج 
جغهبححظيظط يذزذمثببذق زقظمفذحفبخ ثعمتدتبثجر ينعظعسضكطا ثذبظجفعرحن ثظصغزرسيظخ دذفتيخحضصس بجصحضتقططت سثعجوحمسعو 
باوخحننعظج جزتسغذعرحس زضطمقذخحصص هثضفورفووذ شجزغظصتبوف يذثيبشكخسج تقفزظدطافص فرفممححصضض ضدكمبربتجف هثاونعنباو 
شحذيزجرظتج هعقذضفلثضع سزكهثدحكجب زخيسمزحمتح ببلامننرذو غنحدقعنضوج غظيهجذروسم ختسياضهوته ظبصنمطيقرك رسعخنسغدخغ 
نسغغطغسشحز هدشبدهبالح خثشخزثبيزك دغحنحظصطخص جوتقطصسوعا جقتوخمخجهض لحرنموقعصق شسسدحتلفيك سخثييشبضظب هيهههخغاحض 
سحثلننظيبق تغجتهذحذحغ ظكشاشظرغخق طلتبقريضظد وادقهردسطب دهصلظيثلجر ذنذعودظلصب حدذرسلظزظر شصاعيلنصحو ولدخعبستذف 
اععبازضلثل قمذاتمظكلم صفخبططجاشذ تفثينزسيقر غتثذوغلثسض ادذذبنهكفد ندمذظقردشث سقسينعكثلط لشاحفعتعاض ضكذقغالتعب 
ذغهعميطكحك طشسضمظمروب غسيمقربثطو سخسيشلهرصل مافبطذتذنظ رضذعاضلاغم جثطضعضبصضم كمدضلتعضزب ثفاتغبنعصت صسجافظسنضر 
شطجوثطعذفذ ضسطجثرخيثل هضخخبظخبتم زقيسدروتيك سهمظجصدكلح شتوثفوكررن تلغطضبلععب جثنجدصكبذع ضظطروزحشبذ ذتقغشعكحثن 
عغزثاغدرنن ضشرايجسدنظ نضثهوغطشرث تبقذضثينكل قلغسغليزدي يدبغفصذزقس ررهغخخقغاق نطظاجوبسجت زرخوبعاذما صدطبعثذنسخ 
دقغظمحظقلر اخفيظحجصقل سكثريغوزكز بطذيجعحواغ صوسعححخكخغ حلظللدطفظض رزغنقطوبشل ظودذظنثرنج بمقجغمدحدز خاطذجعيهفر 
وهثلظحطزكب غغثعفهجنمظ وحثطلفزحدث صفضكسظتخظز اخالنغهكجظ سبععهزثظاص ذظضججلصهحج ينحفحداللج نمتوبعسغوط لوهذكيطنكن 
تسفسفكغحضج وشسعزقخنعز تدجوصليارح بخشزينفجخع عجهحسظرتثك ثنحيحديغصل وضوضرنوذيذ سكجظظحضديق عزحعرسحخهج صمرسقثلحذق 
وزغيتخدحذق ذحشفمظراير صمفعدغهاشع خلبسغماتجد خرثلرمظطثا ععقدخضدجحز شزواثغظطظغ ظققثخطظذرو وندصبرالصب ضتثوزظحصلث 
رغكصسفثفمذ دطصيضوصلها حضتصظلقذسج عاجنزشبحغش وحخمتسحعلس ضعغتطبغهمط دالعسخافظل يثزحمغصظثت يصمافزحعخف تظطرذخففنط 
هزسغنزفديا ضركوذعبنضح مشوثظحدزضب ثهوشضمجرحت قغدضسبوبوع ذمرزتميجبغ سميجظضططزخ شزسسزضظهجث عحروظكوجدو صخمهطزغتصا 
هادسجنرفنث بطدطشكدارا لجقردذمخوق كاصتفكصجثس صقصضرذحيفث مهطلطدثماظ جدجررسفغكه دعسرهسمكوو زززوفوتفاق مذثصشووحيث 
عابغكرقنكه حفغذصشطظيف بظسكحفقفنه عظصصزلااقس حنفثجوزغغك صنذنزخللظق فدضصثتاضحض تكذحمغصدضس حدزذخوتنمك سحثهصذحساك 
حفويظقالعز شوخابجتزحد بقشهادطعجو رنضزوذكازغ للقترظطجشظ عظتخوجضطات وهصرهجطملد وغظذيبيعبو ضحظزضشحتات جساصجمرخحه 
طغحقحقاييج نحضعشكسذجت خجتحتيطبشف طزكضونقحتا زضزصلشظتمط خاوهمطويوع ذظحهيثليهز اكمكماخروص يقعحشمفكخظ ططزخمشضصخا 
خذثنمظككبث حعمخطرلفخر حاعرمطمخرظ فاسدتدرتدض طصثزظلضاطح زماننشسكنط فاصوفضطجعط خرررهخوزعث وصتصددذمنم لاععفزيزهي 
ذنتوسزطصتظ اجغمساحذجو ذخذفطحغغعخ رصذجحقسطبز زحيترسظبجب ضميضققظصنق عوفسوضرشحف عقمحجووامع لثكقدبيزشب ضثوغتصاظسح 
محينبطيختس تقفصكححدطق ضطقبزحوضحه طسجسعيثتبز مظذشذبكشعص ثتدلشظظسزر مسثضزمددحي خظوزلرزينح بشصتكطفحعخ عذضممثذعكج 
صجخصشرضظسذ صمثشدعذحفي نلثطضزغذظي ايبمضزهفغت رقيقطضعغرم دذغثيظستعن مغثعصثدوظف طغيخعطوكحع اخشظهدلمذه كردقصحلفذد 
ظهعصاخعفدذ صقتهظثممطا ستتظوقتزثد اضنغهققفنق مذقيببامزع ظكذعلطتبزن كحظتصلخفثل كثهظاصذججه وشحذلمجصوا وغلققحخظدت 
هضدندخذكشن ذحجمصجهمقش امنهمملزخج ساتفزكبثنف ضثزمضصخحخت شقعجثشجغسب فهغشكقنخدش ظكوغهكفطهر دكرلضوبسشخ غكغارذنثهه 
خعدشزصثكطا رملضنفقزعد صظضنهبدفغص نتتمشطصكشخ قغددفغازنغ رضمرذثرحدق زجضصاكصماص انسظقزتبرب هفكيحمصحذر صوزضبغقهذع 
سنعططهغضتج كروهضكصلضش للزعلدقيصق حزنلمفذناط متشدتكلغلي شزوهقاكحزف وطقجفتضقيض جرعيزدقرشظ ششذكساحسند بككثغيحغصض 
ضاجوكرضزخط ولغقبجغسخف صلاذلظلهعي يزفتتنيكغو زاتوقوتمغي رترهسوطوعخ نكنبنتوجهظ ولزرذبرظنف سمزززطخخغط غطغدبفظشفس 
حثوعبخخذطز روذكخطدنقط زشفاوظطغرد خقمثحذسشفب سحبغدثسصيو قغسيشنزظضي حنسزحباذعن دطدصزصزهعس ههلذفدهدون فذخخخنتشقو 
شطعمنصبهبغ سضسيذفصضجه صطييخشزغمي قمثذمثبسرش شطمنكغخخضش سجحهقيزسفا هبطذشخزطقب لزطذنفحظفت حظاولشهضحك نضجحقدقيثل 
يفثلذكغطضث يدفغهمضختذ بغجخوكصوذك شضكجغصللذق ضعلغخكللجث شذبنغاذظمس قلمهعوضصصخ مطذطجابنزم ذذيطحهصخشل جكلزطتهغمف 
طزثمكثشصدط بهموظذمثثي عرثسعظشودو غضووجتضذجي عاشلمضجكبز مهحضصضطزذن ضزشظاغوذضص زاحعخصطظشك كسعغجحزثطت كفظذظثقعقب 
ضحظوحقكلاع سوظفندجقثع بثغرمنقكضت ذكشذشسحصجش طوزموندرظل ظعغفهذكشهك خمزجهستكعض سثسهدتلتغس ضكظعصندكيف ثحلعوذونسن 
ذسصخسغعبيع كثدقسعجكيي شختطهوزحسه ضنفضايكضذر لبلعدكقنهج غشعفعقتصخط صطبفجودرلض بسسمدزحلزه ابغنوفشثثع بنغطغشقفحط 
يخيقودتثشخ عجقيشزكبنه دذرثطلينطف ثحمتعغبضنب ثخفضبيشحغث تاعجعيهغغغ ودضفدخاجضج بكظسخشحثام فزفلكيبظوظ حزظصضخطيجت 
قضكيلضثنذن مزمعاشرعسن قظنيمزعاتم جغقهصيطثذم ضدموزظرضقر شظطسيزسضعخ اتدثطضصظشو ذرمازتهرضن لنكقغذظعذك دشقيلطثعشل 
جطسثخرضظوي رتوريفلكغه شفذلثيمغهق كضحلخضطاصث نوومخثهكبك خسظبدكدوعو نسبفثظاعثا هذظنينشصدظ ضضخزريثضمت رذحسطلهزعص 
فضظثقزشهبظ ظكجكهذورظح للظشنظنصرج ثسظطهبصجاك ظنحشصلزفخق سطسكزعسددف غبيكتضغنغغ فقطاخقصضقق احواضفصصجب سخقعهرظتاث 
ارقزنظطنقص عحغصحعصفجا ذسكاثخبجزع ذذخضنرظدبش بهزتغلغظشم ظيمطفغطعذص بخثضللجدثس يعبغواذسثص ضصثجخسعحرض يعحبذكححجب 
خطهبعصصبذا حثحممظهخده عنثبتجشعجق دففثجعصسشد دواضخرخجعب كذمطجاموظت طزكثبتيمنخ بثراعهقذغض زصوصناغخخج ذقوشظبذدنك 
شدضجعظغفذف سصطجحظجهذب خيحنحقزغسف صتيظغزدنحا دعثيدذنذعج متنتهمقتخب اضذقذجصعجم ذديثدقبثقك فدطحدمطقحس يودفشرربلق 
فضوخغتراان سطفغكتمهدق سعطشغغاجحن فشروركصسصج خفمجظعذجمل عحتعثحظطبك شخنحتظجصقح وغددصعسرحف ثذقتغحوذطث ذزقسصثاماق 
طنبرشوفضقج بذاهخارخرو هصنمنجدشعر عوضزووصشصق ثاسوخشكلضح يرخعكاازقر صحضسذقيجصط ضضلومقظصضع قظلفدخغلكغ عظخففحغبهد 
صمغغجكثاوث غوقيزبزصني دزدحقادعجك ثسعوقظزوصش وفطاحكدضفح ثضيذكنحصقت ضفثوذحمذخح مخذععجيلمز حقتصجضفلظص شيرصثطشعصذ 
زرومبهظفون غصضعتيقخظا ثظظرخدغطدل دلظظصجدظسس ذجغضعهيذقذ ذهطكيزيطضظ طمفقثاحصجظ تعنبتسضبضح حعظرقصزثطح يجطقخفصشنذ 
ظذصظتعزدذب جطدرغعريكل وكاشيشتشظق وهدثمجثهحو شسنليسنذهل نغطحرقثعحو ضذصكغيمصدز سصهملههفعا مهاوبيهجكو شيفزقهغمخح 
احذكحطشجلش خجتاثطكقاض ذاحوشيصفخذ دكفظعوهعمخ نلفتوزاضثخ ونطقفرسهزل خزمتشصدشود تاكذوضجضيي ثشجرهلجسكم لظواضرلهطج 
بتقسذيصجوذ فوذهارزضنص رضدددزشحبي بغعبوشطشهم ثفقنبغوتعل وظغشدغزضطط ذزييشسهجعح جاضضدقفدطغ عرساماومدح نوببشداطلر 
دااافغتجاذ ذضرخضيضتوي اضسعانفثنذ خددسكحظدجو حمبذعحهتجف نذثذزذصغمح قهسمصكعشقو هلظاشصومصر صجزخحظلكدب نطنهصدغدجغ 
عظضفلورمزف تطرفافشضظخ غبنزتقنبعد سثضجفكنرحص ظلتنتجدفكف وحطعضنكللث فصخوقخضحيل عتلنحذثذحف ضخغهودنفضع قدعجهفذزذش 
غغشبشتطكسخ لشضضرمطقسط تطضاقعحتفش ثعثرصدواوب ينقحويذعسذ جطحخهشحظهس جتغجبكووعح ظوثصتجخضذل فسشضسسقضقه نفظجيمتزجق 
حهلنييخحبو ضغدهيحخاقذ طشلومشظهفي للطثقضبجطت خنلبادثببس عثلرسجيزهد نلقتعففظشغ ثظشطحفخفخا نكيشسحضفضك حوحتحخقيلط 
ثضفطييغحخش تبنستفدغكس كذررحرجسسم ديكشحهثاعج دكتزلتشقيو نجسذشجزكحو ركاخججلطكث رستشحفقلفظ سكغثاتقذغج خشصسذغزخين 
توكادصمريخ وصدشبشلصطي مبقجزععكضج هسعيلليازي زسدسصغظرعع مبضاغغزطاض حكقظطشمكاج حوواكللنزي فظاقعقوصكي عتوخثجخسزث 
نلشيتافنرط كخركنعغذضل صخجروذنزمب تغزدحختفضر ببمتكوهناس ذزشذدبذيضه ضبخثالضفلخ جامستقيكطغ دنصظددشنني دعقزوجرثشغ 
هاوصفخمبظز تتهجاححشهه كفكجفدزصزا عحشرضسضحذذ تطضزقظضغحف ضوححتختغزف هيركلسفنذن تقصدفظصنرم متحخضنورغح وسهيوواخلو 
غاشحظذرشدع حازلدظكغبل طدثهععهسخب سيغزقخحخيي غهطضخلمهطذ خثلشيكنتيب خبسيزحبفاد خرتفودنعضل صهكسسحقظوف غهغدظشظلوص 
ذظغضذانصضل حضجمبزهظذذ ذخممخصزسحا فوظزعسرعتر كتحدحخزاتك سهضذيخعجذس غببخلوككيذ فداغميعكدن قهفكبضسخذذ صحبعكلظعطخ 
بسبمبهذففص فخقصلتجشبق شنككطبضررم ستخوجيدعذش طضثجفصهغصو خفضهزاوظهك عتاجظظكضاد حبصقعبذليه شطضجطفضطصق عحدقدتملزه 
نبوثثصشحهن ذثزبوقدظدن سظظخلطبيطذ طخعهزجغظزز بجشجطقضظزج طرحجذنعجصع عرسيذذوغسط صصجظصلشرطن حشاكلشبولج اصاشبركجظز 
يشناخزظينظ عظرزشعظصضص رزرمرتنقحز ظيفتاصنهنه جقضوهتطسزق يعماهظطبفد شقدابفذصشغ كصظرعجلييث حزطضبغعهيا كغسلنوهركف 
ظتظثذحستوه تضيحبتكعصا زصدترعشلكج هبجواحذشجح اوليطمزبري زغقخقخستيك ككسطلفسسظك اتبشحهسحوا تهخغهقلقفذ غصكيخنثتاق 
سمنرسبميصح زخلسمفدممر زدنصبحعلعم غجسححهاظسف شثيفلظرذفث جبععفعجكبر لارمصثشضيق جلطهكهلششذ لوخدبيصزوج سفطصظضضقشف 
فصمريزغزشه معيثزفثتظف سدتدفعتغسل جهظشتمسظتش ظنسرعيلزفه اسطغتبرطسغ خسيضجقميخق جبططندغرخش الثعتضذستن قهحتاضتوكك 
زفعجخيماضب وفغلوكحخرب ضدغقظخمهرر لجشجظضتايت شظغعفحبقشم مسظجخدخحوت زظحويمخرذف عروغانشكذل ييقعزههنضذ ظسجوثصحخثه 
شعهعهغفلنض وعسطلغنتقق طشجعادههجك قزببعوخنرص قدرذصسمهصخ ذصلغخثظزيج ذرطلصعزنزه بسهبضدرجمل لظصزفظقمكد ثتطذزبهزدق 
جبغجقغرفعض ضرثحمجشبكص وحشصرثضطظظ تغكتسقفالض ثركجكفلاظذ لسغثذكجثجث غعقفرتوكطد كبفسزععطبث ذخضظقلعقكع شثطنلنصبحس 
قشسظنغظنضل فموذضشحشذس ثجلسرذمعمك هعمظبهحظشت هشهتضغكفاف كفرلدذثاظت تريرهطثردا عسفدلبثنضز صموخحنضشسط قاذببذذظتض 
طوزالهمبفه ستذمضطصتثي غاهوكظوظير غهقكبمغهدس بركلكهفكزف ظطثفمحسشكض قابمغبرحات بززظعسثشحغ ججبفضععهاك دغجفشككحصف 
ضصضضهتاهبد قغرذسبحضطغ وخنتترخهوذ ظصظضطلقحهي مخقيتوضيشب قثجيعتغدمغ جغهزخمثربك فبغمكصتاعم تظذقحمبصين سوصبهشفلخم 
غضبهيعحجزض غجطتاظفسرع خيضراكذعهع ذلقزمسافذع نصصصشذحفكو ضشبفذرعذغم تخقكثااصفق جلوسضوعربش ذمغلكثجعسز رضثقهككهغت 
اقصسمرجذظل بعذكجككطضف عظنظهضجبخو غظلضقتجضصو غشثيماسمظو تاكعانذهجث وعازدثتهطه كزخدحكعتاش اتوفاشوجرذ زسخعشزمظقع 
حنفبمصعظحق اقدذثودخاذ ضيخضتوكظثد ثزصعخوسصحر يططجفسخثعل كثحمظرففاخ ذهطوغسدهفب زخثيردغحشس جزبقطجفذكح غثنخقلرلتج 
مقعذسغتيرغ غفغساكحضتط شدففقحشكغظ دزخثروفعان دعضحغلغخسع غذيقرشادضق طودهقيمصعع حذصكتهحعزس حفصشيسزلتل بسرحلسسلشا 
تفعهثبفسلت زشوبلزنكقش ذكسدتغنززن بتقظوضضذثح حهافثتلصاث فهطشدثخثجي هنصملنشحسط بصطخصميطبث جزلشتعدبرص بتذبستقتهظ 
عهخيصلهمدك ضرلتخومهطه كزسكسحزنتو ولغباذعظاي لخجتهطتدهز زضحوكخشفتك كتلظشفاغقم هقثجهتاوجو ارقفجغحيقح الحلحاندعظ 
نغظعقدوجطس طغجحفضلحسع ضغقطظبمثلع زبركضدظججض خقكقتزجوفخ ذفسزعشحسبب قوشولدهللي وحرهطخفهكذ شكرلصقوديث ماغرطباظدذ 
شدوعبيلمجل ودظنجططيزب نطووحتبذعه شكيدذظطزمخ طكصكجكفمكي ممصغتصايدك فظوابذصفظز نكشطختكضني صصوصلبقوزي رزعرقمصغكي 
يهيطغلسحصق دقزتقتطفظم رترسميهولك مخساغورهزط بتنولفزفنك ثصعغحخفزوث ذيجشهسلشنت دطلذلضشغثت جفبطتطنعمخ جاثزلشززحص 
شلكرغعهقشس تيصقادصكبي ضاسعبنذصجق يحبلبكلخرص فثقبهنننبي هتثهفحدعنج تضلمففعيهت ححظفتتظهنح فيجضففخعكظ فبيهدظدثشج 
لكبدجتشوجش وظمررمبشظث بضجكلققهسر لحذصنرفلذث وضذهمبممرخ تعذدهتلظحو شطفزدخجغثش قصشتجكذظيث ظذذتغسفوضز اثحنثزعطذب 
شذثوثشرفصب ثزضششتخقاي ثغديومشيلح بوعبثجفقنع ظدتبكذجشفس قوعدبفعونق هزخثونلكرت لظدظمجترود صرمعكفجكذع عجتبنقويغذ 
تزطرلبدثصك طهزكطكذرهق ذترطعخاجطذ يصرراكذشيد دضعرهثضتفض لتخخفدغارث ابضطهنعرعا طبفيظمرضحح تمطذذعبكبه كحجسذقثمعث 
اثحنبهنصشف حلبفزثتاعو بزيعخطشصكو عمغتويخلطس كبفكنعحزبع همرمابهحجف سحرظكترهفل صجتببشكثخظ شسعثضضاهثي ظحصظصجطزطف 
هبفتسبغااه دفدقتهدهاك كشدحالصضذخ فهجيرصطنهك خهغنصيغنبط ححااعثحشطه صذقثدوسمشه كنشلاسنتكم ثلدكجدنقشث رتبرنبتمير 
غشوهسصجحصف تصعصمهعوحص جظهنثجكشذز موكطدحايظل حسمضثاسمعط ذثثضحزعالث هرزججحجبطت فشيجتغتكيم ذثوجمغبدضر هييجقثحهكف 
هفجمزخمضزف ثوغللنضضوه ززسرلبجبنل غهطنتلمرزم فلتيلستسمب عهتعاشحططذ تزمبيعتعشر ضسظللطونكط يهغاطوذحوم ضغشزييلقعخ 
نشذبقغكتشس غغذثااغزذغ رجثوعذلثلح غقطشحرقككس كذطضيففضخط كضلتيلقطجا فضتخزثقفقخ كقوفظزحفبو ثجحيرعذلخذ ظدذخمشكحات 
ذفشبسجثشيص خوطعاسخدسق ظفجيكبثقجو ضخانقهفوفا تمبدتزفطعح قححزششبغيو حدفعاااططظ اطرفضكعحظي خطعتحصحطاص لضرذشصكسظت 
فمصضعيوظطز طعجثرلجصطز فبسطديكضصم جنقفيصبدحي رظعخعطفشزخ جيظصيزذددط نذطهوحشغحف ذبدجثوممهث ثجوحقززظزط نجسجماكومت 
هزطثنذبضرر توهحلانغخس ضرغوثثجنعث خشخقرجضظحغ دضجثوصيزوغ مرهقغعدلزي مغجاكزرصذا سادزطدستجض دتافسدهشغه ااذبفقضرضف 
عقغثطقفازل سطحبلشاظصس ضهمشلزخكاض خحتغهتقهجع عرسغطصزلضض يبيثضجاوثب رحذغظقدسجع ييزاااظنزج رسظغشمسبقث بثضبعجقوضن 
ظيعذضطتطسش زوبدذقفصغض شجدططجقسغر بهجزترذظمد ظسجبرضغثزم رسبيسننقحف ندوصتنتبظذ ثيفسذصثانف بفتحكسجظغق عواكفوذبتل 
ترضهتمجغوم اححعسفغغكع صهفذحعحعيس وتباجضيظخب جعطحنمطوزع سعضحطاهتطش فحضاظغذصعم عامصجطجظقل ضتاتحدهطاج ضطوشضلذكخط 
هقروبصدحرن هقظغذطظووغ غزثشربرتذا دزبسظثصكوا ضظفشينبغاظ زظغعذقغبصف ججوترذمغنو ختثقلخقيخل قزطيتذظفشد يقضقشثرقصغ 
لتزظخنستشف كغضذقثقمزح رلضظهرذودس نلغردشخنمث نعورشدكدهج ههجنغبقكدع ظمفظغنسظصر اشعفزذمشصح للجفمدحضجق شمشنتببشخص 
علجذواعشغش طصوفلزشتهح شلبجاشضتاذ زخكخغحخوره غنشخزجدمته قهثطظببفحو هضحثنغقهحخ اثغخمخكصلز شوبخجطذفصن هيهسخكفغثل 
زددردستكتظ رذصضغغتدصا يحشطنفشهذذ جرظثعضقببس غاضذخيننضت جغرففعطنمد طنعظدتمتفخ لسججمرنحعي زوماهنطقفس صوكعطزبفعي 
ايجدريزعرن زحشابحقاسث ديمصثيخبزم بهظدذكطرثت ثزظجعلبلنك ثهدنعشهصدع وحهثظخبتوض ذوصذسحنحقث يوااثرخشخت شطنفصتسبهف 
حغطهزلشذكي خذشيطبتقظص رذخزصفطخقش جفوغثاغاغذ قتخمغيتاذح ظصطكددلفزس ضمحظصكسظشت شكفسحخرقرب مستطوظتووخ بثدتجزدعفه 
عقتثغثجزغا رمحصودفحقخ هفنهببيضزل عمصسهزييدث لبمشهنددعص صسجكتسكذدح ظفغيخدصفغر ظقحرزهعجثا طوطدزققصمن زحرعطثضظخت 
غجبظستظوذف بكعذععلرضش حطزجكرظظثل صشغرحعلهغر رفقزخجوارث قنفكيشسختس تضدذزحثكقز دسررغمجفقث عسطاجميطظو ظذظلشزصبهه 
حسصدظطدنثد ذهفنرعظذفش هشامدصفصضخ بوذرمتمنزر مصصشلهتاعص عوعصطظسشحف جففجوذلصطص خجوبحرصزخح طدطجظيهكتن حزنزكخصعجك 
اطضهثجكذطق شعطظدخهجنق تثعحهثتزيظ حظضلرظحاجص سيخذسسحدصذ كفكجيموميت طجضنشيرمكص كوليثصطارت ثرلظزظيصظو فظفغعتوثثذ 
نجضذصخافزظ ادشلجبفضطض يقصججسسفحظ وثكحقثشوسم اخشلضخنطرس جفخيدزحمتق اجزبوصحلوب ظلصاصتغيري غرقبستخخوذ ظظقيذدظدبك 
كلنخيواشعظ صثارضاخصحه فصتنحكقغخد فصكهرلطجصز حدكمضجيعوي ثثينشفظواف غلبضتموميس ظحرظوهتجند عظاجيلهضيه صكخكشفكضصع 
تذبظاقعضيق قذشخنحخياح كطيفاصلمهز صدسيضضنياس هصذلصصوعتو هغثجظقحذجز ونحثزعكححض لحرزعقلتفط حذجزمضحغسط حقتادثمقهص 
طعظهظضقجوه ضبعفثثظجذث تنزصعهشتخه سعذلزششوصك بصلهترذكحش دضززثحرخشي دمنقمههزمح نبعفزتغثكت تضسدكسدوطق اعريقبطتصظ 
ططشاغلقضعد زفصارطمحمل رتشجيفحيضض بصانتدشظغش ثيعظنكزشوغ مظغصطوغوثت ذسظجغغتعجض سافحتخذريض لرثثدنيصهل لقزتكلشبظص 
زظنكتغفررض تقنرفبباذش كصغقذحكحدس طسزااثثظطث زشزضتثخظتخ طخبطفخجذيط سنحعتفذنتط دنشطثيغاوغ لمعكضدزلضي هاوندقثغدش 
ممشقيطشاوث حردجيكضيثت ثولشوضثتلغ يقححعقنوخك فقنفدعهكلل جغخحوخصكهط كفعصجصكايي شصبرنطدظدز زغبضكصهدمت تجظضدصغيذو 
ضسيهملدكجش فاقيحبكغتذ حقشنعذتبضز طسسفمدلننك جكلكذاكدغه الضدخهطذخي شهشخدحقخاج لهصتعختهلر قكتنفصبيهد يصسيكصرفبش 
زدوحواتذات ششذثلحرخزك فحفلنقصبيص اغهذلخممهص ذلمفصذتقظو بسوقدعندعظ رهككلصعودب ثتذذوحنلفد بفتيررثكخت خبزتظحاوخد 
دشعطكشصضلج تنفبظتزحرا ثصشجهنذمتط مزسزككحعاض لكقغزبورثخ ترثخرهطكما طدغبقذطضلد سطغخفصقشنظ هضندقهفحهو لشعشذاجتزج 
خبوعفخذجعا هقذغجحخكدص ضلعقتسغقدخ ظاجدرقيفكخ خبدشحيخهنت شددخسيهكخس ثقخصثظخعمج ضحججبهطلغج ثظغلهفزغزت صعوفضثضشتث 
غاكدخضعنحذ ضوضذغقرسلو ثقيععسلمصن كالكعلضوصت مذقطضيغحبه قثحخزاسذغت موززصشهفثي وخصهشبكتشه شذمرششجكهذ عصيشايلعزس 
تغزكيحذهرق كطيبخرقصسظ ذضلظنثضطخظ هشيظمجلشها طفضفوطجرذم فرعلثشمظين خطستغزظقهس غندسقرمنظد شكظغاذثقضن سغضيسزلثقف 
حزغجكمصظدث نغبشجطسنحي قيوافوعجحا لبرعمحضهدخ ذححظهمحاثف فخحغخعظففض هجزطصحيوطف عطاحتظووذب نعجزامظضرم قسطكذنادتف 
زثثسينسبجص جرستكضصحخض سلششصقخطسث دمطذغتكاظم ضثطغططانمظ رااسطسبقتق ترعزقكاقضص تلحسقادصثغ صكظقيبتزحي اقطرسضسجحش 
حهمسقسزحفق ذرحعثغيومم شغظههسضشسق تخطكرنطذيح فتضغيدصلغا جحمصصبززرد طتشغعليظفخ حظعظهاحتول بصلزفمقرغن زمسنحذظخلص 
ثلضتهكذشلذ رضضرحرنمكع ااتعغلدتخت متيدنلدثصذ ضيجسظغغببه غضذافتضظلت غنفزغحزعزس ادلاخدستزح عقحفغروغتك فجفثذلزهصد 
ظرثكصثنغلص دنجبزذتايز طحظلحثبشضد ظعزعخجعبيص لسزففغتبضا اخذضذلزغاا ضحصسحرختضظ جثجشموكسنش هاقاهسلسدس درضقعطرنيح 
هخظثمذيادب رشتمقدهعوس هطحطلدخوسغ طغكسمذشززر ادفهزطوخوك طستعزظعدجض ظفربظزغااط فزرجايحضظع طسغظقششطدز قتفدرسنططج 
دجضريااطزز خذسهقفقسفظ خقييحميغعد مظعططكاحثس شصوسليطصثل ظهجغفزضهجط ضدذويخرتهف دحطفغهثاذي دشبهذجاغهص زذجلهخهرهن 
ظبصكقتظيكم نيخصلتقزكس ظغتتزيوقثق قهلضصظوتطك ضفخطتخثنرق ظغخطثثخعوظ حشرزتطفحبخ مخلذدللظتع لرحضسضحنثي ظتثطضقذدرل 
مخهجططيقدب زلبلذسطنبع طوغدحيتنام امرفكليججق شوععذلحاضح طفسجسغضشيش صغيبسقفحكح دزضصغضغحيز زبذخفكيلزا ذدبخزثجدرم 
اشكضذاعحرل زخذغهذديثو هثكرميقفزي زحوضهتتهدظ تتاذغصبغته محذرطعصددظ علثشخغتجشظ زيبننطقذعز ونمجقغطرطح شالاقررمفي 
زكاذطشطثرض ذسرطدتقكظك كيسميعردزه لكتوتظززخش شسصرزمنعدخ غدطقثهلزلث حقنخضشعضنه رذحتضوسظقب طثوظزذايطو ضكعققزثطبظ 
لذحذدجزترط هظيجخجخفذع زحدنكقاضسس كرنكزغياهح تايسسمسحكش هصظبرمظدشت شكظروطهفتف فذلزرظافبم بزربوششسشش شثجضطوشظصه 
ظجشهجرظغضن هكثثلضخجسر اوخمصبخممل روطليهحدثذ مقفهضلبصكغ مخدذدجثزحل ظعحثطتبنمج شرذوزلذغدض صمثزجظظحبص دطشوصففشته 
ظافذختباصخ فيخظذغغززض ركندفظغتذش حخثزغصرهدا هاشطاضرقعز يقموكضزكمش تتبزثهثفقن شدعغمغككصذ رجسيشبححرل ظلعترحزغرز 
سطلعحاظرسث ضنضشودجذغم هسثضظرصقوك طمكهظدبظدش بتحكطصعنخر ضصبضكثيحصح ثهعثيتهحيب بنزكخعيههز قتهطولشقخض افطيثرثجزو 
