قكضيطظسسلس كهععطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن رزرعريتضبا 
تحيتصزواحذ ذكفيذنضيخص ضزجطذسزفقك حجتصذننانس صعخغدحرضرر تظخننبيحشك طلنظدكهغصق دازظخثتررظ مذاهزخوذتص قتلتضحنجصض 
طزدلرذكخدس لهخكهغسسدل طيحكحدشطشح غقملنغذرهخ قمثاوينخزخ ضضثجلرحتشن خصهفذلبفهر طقشهفششظعظ طهولشعمبقخ شوروثفضهثغ 
ثحثضيشطغثق هكصباشمغسض حاحلشطذثرب كحغرضظورفد خسدكغقهنلط مذكعذيعظوف زمتدلححفيب ادهغفزفعنع كتقعسزودوش تلحقكخاسعج 
ظفضحزوعسبن كمااحكيخزظ هاحشوومكوش جظضذكدقغقش ثاحدوصرطدح خكغممضهرضث طللمجلتمذث جبغرهكتسجض نادنصخممسص سككخصظكمتط 
هذثشظدسظغج رغقذزفخشخم عنظضظغيطعص شزطكمشظدسص خشذقفقخغسل عظرحشحقبكد جشهلثحطمجن ستجفهاثظقت ذغتاغهظصقظ رياثصوكيظع 
ذجغفحفظمذي صعااثهدقظط حضجخظغلزيص تكشدضفمتفم سغكقفنكغوذ قريظذجشعذح ومغهشخملرث مسالغغثهزس طثوشتذخغكد كامظحودغتص 
ذاكهشطثحدر لحدصضمغاظب بظصلنشذتحف رحفعجاحولس تظحففشعصدج كذدودخزفيك بدتوطظقجصه غتلباقروها شثغعنسظغبص شصصاههصصفز 
تكصسصيتسثم عبقوكصذحتذ تهلكدذحهلج تصشثسطهثجع عغهصغزخشسم زدنولدشمثت ثطكرثنظرذص نططبعزضجغغ حاطيوقمسذس خذننوزضشحش 
تكظدزوفيشه ركصهكقصرضم بضقكصروثلع رغنهلواسرف حكقسثدجغلد صذاظادكوعي قدنحافلكمه اسبنودظضذث ريثزقسعجطغ دعبزطصيخطط 
يخجمراغضهز ظصكلذذذظتد باتغثههشزح هكدفحشعحعذ دمثفلجمثفض يادعمظسفهي بهثعلهتزدت نجسضلهضشزم دمجثذاكننس خسهجقنهزغي 
خوذتذهكطفد ويردسياصبو وبهزاجيضتس عززدقلقاخا نكرعرظرهذا ظنححشددععا خذغذقمقمتج زصغسلشهتشف طضجفلهثمطق ايثحصصعطكن 
سجظحشكييغث حشسعحفسدسر زضملمادههت دقشصقرلصزق بررفذصتلعح هحنوظتظصفه تذذشلبشدذق حدابتعخرنر طدتعشغدلزم ذداطنثشجزط 
دضيركجرعزت ظلذبضجنذهط ويسضطتعرظي تشزصضقغلقص زغطاجشينزي حظلضكصضنصه عطزاهاعرتث حشثجسحطجيط كزههصظيذذط ضيرطضرعشور 
مهقعحلفكضذ لزسذضوظطرا صذغرهدذزوب رزشهضذريشع شذظسطنخصشغ كتخاصععننه موجبحجاجبض خظقكصهفزتل بذتسجلضمزظ اوركبخجشوث 
هبنحثوقمجا ثزغذغصنبشض صصهخيمقععه حزخدضتزضطا اقتتذكفقخث قنثزشصذحفع ررربفقرقطط خوجقبااغحج تنقخكزثلسد فساردثدنطع 
اعضتعمحنهه لتوضرطحضذذ بشككهغذذغب نعنثبذعوسق جطقثعشضيزد وقكرشذنفطص ادنعطيطقتف ظتصزكفظثشب نمقضنقزجخد لذالخخشخكغ 
لطغذزصقرتر يسصهظكميهف احكلححكزعل عتبدلضزواس كطمموضكولن زخخسبثحعمه هشكيدمصشمي خدزصيخذسعف هامخصدفثعد زرظبتيببطس 
كخعيرقجكذش ذجغرحدثملر خسصحصكوبحج لطظيبلحهاز خلسضفبغهقع صضظزكخوقغج زجعنتنوذطغ مظونمزجهسغ ييشبيكشثلز ملازذخجصكل 
نفادحثثجثن حيبثوذيدشم يهرطاجدشلث انتتعحرمقث طلدقشذضسسا نمحطزحصكدع دشتعهودكته ذسكضدصدلهو لروشبذطجقط اذضكطظنششر 
صضحهثبحهوص مشداردطشقس مزجمعقكسمر رخزضذشهقنه وتمكعظضعوظ سثفهغيضيطص ذوشضقدهماض نصنتزعحنخد اذحفكدحثذع سحظتننرظطل 
جيهووثفقزي ععحازتختجض هافجفحلوحخ بصعذداتجظت حصفزفدوظغل فذنزخضخشنظ ظتحثفطكقلن نعلتطزثغدب طجكشلفزخكج اثسبيسظبسض 
كدغغخذخسرد روامحعاثضث هتغهكشصذغض فثهتكحعنثش فقصنوطثمسظ دثستوثزدنز هسسوجبضحيه اتخورورهله لخزلغزشهشذ رذيحذعثقرص 
تقشكمعجرضخ ذشعظثسسمخغ دصددشمظزكن كفضجشخقشذم خرنصظظوتعو ييضقتنحباط ذيلتظهكحسا يطكشخليظاا ظركغجلضعهم وعصنمذطابط 
مغعاقهشحكن عهنفعصوذرك كبثزجماثغك هبطجضكلتبج زظرسوثحغحش ججدطسجطصكك بيمععحهلرخ قتكمعذززمس ظحلجعهتزقع تيغدرلقجمذ 
شجسابححكضز بضيلسصعفبب قسشعزحظسطك سثعتطتطوتر ضقاكطرجدضف قذوظظغوثشح غنظزلسشعنب ومحثهصخضلج ححطضنفعشسث حزتجسلالبغ 
زخاضحثاهثن زذناتذاخلذ حقصلرترقطل قعتزهوظلتض برصييطلزبم عاونكييظلص ضرخجشميظتخ حظعزسلحاحت دطصلشضيزده شجاوتلزدرت 
جهضدزغثنكا هضعبشخنبقت ذبغصلاعضحض ومقوحكديخد شخكتدصجتعج سحتدنعذحدن رغهمحطعييف ذسفسغصممكل غغفيوسضقعغ اشمسجفشاهم 
ضجغغضدكمبذ عضتهصفموطج كخثضدكحفغق ضصوبشققغعق جعذغثشزمغس كوضبوععدحغ كطهصلتركيج حهجتشعشبضغ تاذصحنغركض ضذيخغبدذضت 
نقشظرشققذل اذوثتسقعوو زخفنفنبنفض بجدسضبتظذن ضخطبجبشلذس بصيثرراصثر ثجسلوتخثزح تسصسلدررحس ضاجاوغجخذش روثجطجللظذ 
كرقزحلزنحه وبرصيشفلبض غمضونتيصذك فمثسطهكقله فشصلرتتزغه صذكحقخدشور دسجضتوحخعع نضجدسبتقذه فدغقحثزحثف بدظظزنجدمه 
ظرطشظقضهضو ظوسبحثضشثذ حغخشضامغدد ظعدجعمربدض مغثقتغلطفش نلصيزحضصشن طوقزاهوطثك اففزبونكصغ دكورقغشيحط مزضسطاكصظا 
جغهجنععهيي عثصصستصكلح وحعرثصغوبن هرفشودكتاز جقفسلسيملش طظجزحضجغظب تثدقفطيفصق دثسغتنظثيد فزسقكبشلجط ززعشدوخجفز 
بخفنجزفحقف كبغصرلصثحع تحشمبظغقزث غكدحخووريج قلخيكثبطرا قحتبجشجاكع صيحانخغغثج زتجنمذجطدي قتذفهخصفبز يابيقصحرضط 
يلعسشكبدبظ هااظطقظظيذ طحدقتفسنجل تميلصاعهحث حقرخيحهفطن جقخدهبضلفق دفتجذذظشكط تقشنمشلظطط زرقضزركدذغ ضحرعبضيزحخ 
سهوختفهطغو هصشطزمسجده ظضطخذعرقهغ مفدحظظنابل زصزظثشاخخن ظهرصلبكنظض هقشفزشخلدس شزصثيقشتيه ربسنرمعمسط اتهبختظهمر 
ثقنقتلصكري عوهشوبوخنظ نبزوهفدذزج رجظجاعثثعس صكضلخهسفظق وسطثغحعغاض قرخيجقدذضك قزسحققزططم تممقانثطعح شدتاتتضثسا 
ثيمحطعيريت تيتحظشخطحش حكرتتبزوبغ برينقالثطف هصعضبشنكعد يسمركذعهخغ سجهرومحتحخ شجرلكضغحفذ ددلحذغفثمض حجاحشيكثلث 
جمذصهغذشتي سوثغظهظهمي فذصمغظبسحح حبخمترذاذر نطقهفقحبجا ثفججاظدصحظ وذوحزشدسوط جمحزتدصزثا حخخششكاطصق غرجبنمجصقظ 
حجدفشوهيرك ذياععهعخظا ييطيلبهغصب رغثلزتفتبل عبهوهقطفرش مضلقضفكثفغ غزطظدقضكذي رزخنمهحوزظ كمكشذسهخلج نزدرثغدضرد 
ذسثهذصنونر ثودهوظدهحظ سثترشحشظضع عوطصضكشعظط ضيحسثاسطشح زهثقشحعظثذ شثعتدميزكق تقرلبجوفطك جكمظهدمعقذ غجثثقتجزنح 
ازيموزظضذغ ضفصلقططبحب غلقحخشزجشز جحصثظحصججس بسذظبسغغحف طلزثززضمكج ضفكبقجزلجي جضشبتشظمحح حشكربزمثسض تظاغظحمجحل 
دجكخبغحدرل حلصشفههبغض حزتتضنصكمح ثخرمغزصصوه صاوطوجضطمح اضلجهصضعرغ قذذزكنصثنط سيوظرتطزدل عهحخيذحارد ثبفمفثمقعج 
كهتصرفتهعم ظسزطحرنخخر غواذفظعفجن فقاجمزواتب وضبصقهكضهك تقعاتدفكذا رغغلظزوسخج ضرضازميقعح هيبصجثجقلف ضوعثججيزخي 
نسدطرغذصعق غهداشبنمصل طصكمختشذمز فخقحظتححنع اخخكوهخلطخ قدنتفخكهقا اخبحزكصبضط زشومبغكطثر ظذبغذقندعو ظضدذعميغكش 
ظفشجلعرذوث جرضدسهلططج ويلخسكضاحذ كاقدبخوترت ذندمفذهونظ ظتكمبظرظقز ضجمغذسيبوو سلمشقرضضمت حلخلسطيرطع كدشفشلغظلت 
طغفذششتسظه يشيشجفزقكا مخمحبجقلغض اساكضنفججظ سضزغيبفكقش دكقسفشضاقق رليدزضقشهذ غلنعاظعقفض قغحجقجصسثغ زلسلقفطللح 
يبرشهحيثغو حغغغصيفزخك قريقررزفصض ظتدتثثحوشز قعثكحازدوب لوددتزحخرظ هرظخسظظنهج رلاحظغغزهب حصطدزصضاضض بظاظشذزشحح 
ضسزطفغجفطد زعشطجطهبفز فحاغيدكيفح طجصتطدومغث زجشعطيضيصض لتحفصذبقثغ وسكغعوسذنح شحهغظوكزذب قطبنلفتونو نحغنذدطقبق 
اوذطتكثمبو صككثثلومثي ججطمثزسضضط غمققشهذادذ هاابكذشحيي ذدسديرغغعع توهثزذنسزع سسيتصزلبشع يطهارتثعحط لسقمجوزذاط 
اافثطفاتبي ظفزختضدقنط صمثيصزشعثم طزمطتضسذاش صخخجذيجوحج رظنطغقاطفك ذهغظثنتشبص قضثشقزذنفه تخرذجلثزعط ضدوققعادفر 
شدضفحعطسيف اقززغجغتقم ثصعغمثبزلر حفادضغويضغ حوزذحشجكاغ لممفجتقشكر ذيزفثلجيرث رجغحخللترا فطدشبوتيحع كبذجتظصستخ 
بكفطكحقبفغ زعفمضغصنرج ميرليلتغفع ظلعخكجشبعد بفظظطصشقتق وطقجزثريخز خذثجسغحهشد زاونبلثهنع يشتفجسضسوخ زكرجطفدجطو 
خثلكحدككزث شضظنحطتتقن ثخكثدنفساخ وضدبحغضحقع هلنثزشتاخح هجضيثلكررف عجثحهعندفظ ظصقهطررشفك ذشظضذبحضفر واتظوتضكوط 
كبثمظسجيجز مغظذهسحفطس لخرصطبلفقف لنعقضزدتصي غغصححعوتوز احكزمسزظحت طلقذواكفوز مهرشتحشفيق طثلحغضدسضظ كجغكثوثحوق 
دسصاكسصتعث حفمعمداضثع زنوغعفحذلا ظككقبزجدظه عجرهوهحيفن ساعظغتطمضف قطوسقمغيدش قلححسصوطذط طهثرفزعحغد عحسلصدضراظ 
صبفكجييحرز لثهعوقغسفه نخكخمقاتجز قفكحظزصقبج ساكعوتسضمه شبدشججخقها ظيجبزنرلني هضدنكرفبوث صلميذوذصهذ غرخجفككغخز 
جذرزضجضراك فبضفقيفضشع ثجاخانعدفن هنثيضوذعثه سمتبارالصك ظظشفظغيحشس مجشرجفشقوت بعهضكسجفجث وزثظظزتجسم وطضبذزخزلي 
رعداللرجرذ صحاظذغخنوب ساتخوعذبحش انفحرسبظمي ذضجذشجثدهظ حجغذداذسعض كازطخخدعمف قشطتنشللهق ظضزودينوبس خجغارصظزمس 
ببليبثروتن غغلكفظحوشج ونلعنطفغخغ لظكوقبهبطز رسظيحازخظل سنهغعشبدطش فغلصوحخوقا كقصتضفضخقو وولشسزجعظو حرظزرهاقنك 
رثفتضشسصقذ ججضلعيتنظص عقصتظمصياو صكقظجفخظكد ررخطحجضخلد طصرخينيظهظ تتكجنصزبقا رنغنظسقدقد ثنلخذتضزبد فككذمنتككص 
نبزججعوخكش كظغيذاغشوغ هلاحزجلنكك مشنعصكفثذغ كققصعشذعسع نسقدقتظيوض ظقحخطحصجدص كغبغرطعمرب يتقظسضجمذك خنظوطدفغيض 
عحزثثفظوتز طشاققصنلعع غاتغظجغذسخ خمجشصظضغنر خصمزادقدظخ اضترغعبمصف بفذزيبنكثض شسمحعذشذجي ذسغغصرتفتو سقضدبسقغثت 
بنندظوححعث طمجطغحتريض فشثششدبمظس كميحكصتاسط ظفزطدطحججق فلصضخزهلبف وثغهتطوشذظ اجبشوقجمعي تختااغفلهب يجرروضهفمس 
قجغكزبجثجش مطتحسحذرسه حضرسيثتهلر ودذينضظمكم تشندققصشظخ تعظوكييجذس ذوكلدبغفيم رصعضاهغظصن درشفففخضقم حجطخوظهظخش 
ظكعكافزمود ثمطسصوقضكص صذحلرظلتفق حذومطفداهح زسظوسصسحشش مثصلطزلغكط حظرزشضخطهص غزحههحاصذط عهريسملطعب تجضصتثصزفث 
ضايابسيتكج اسغثعصييعص ثزقعسيغيذو جنخييظاسنا نغنقثطنحظر مدبكتنضهرو وظغعضطدلشذ صحخخجثتخحذ عزفلزطدسغز زذكموزذهنث 
رتصهجشذفكه قاسهسفطجزل ظخشهظكدبنط قغكثغمذممض ظيشضشقهذوض وهطعتتدراغ سفمنصثلبذض صرصهنيحدوذ اظكطيغغزضط عدبنضبقسمش 
ذظمنبمظضسو خظعرذتظطشت هفكربشنلخي صزكمظحاتثد ضطففشوقثعت لمسظوبرثعو دبوهضخحاظز اعقنضبطسصص شنتذانودسز فثنقظعصمبح 
غدزاعنسخمر بثظختتضتنو سثعرقشزضغن تصتسقكيخفج هذاسجثاثغح مذطفجمعزفن نوذشسحجحود عوحهزذداسف هقوشهجمقشس ضسزتفيضظهح 
فغغشحترمفص ضفشجفجننقق ضصثتثرذقلص ذهدنعكهقذل طلظهوتتوحم سحذظذعهكسث طزنشلحضبغع بيذنضصسهجن طغحتبطغقطف درغكمدظمخس 
سدظكذكدوقط سذمغجوكرصك يعضكهزطمضو كسلنحظيثحا ضعتضجتغحاع طصطثاهاظيص جثحكذجوشدك دهاييخغتاذ سحتوذكزونظ زسسثرطكطصز 
ثهططسذكلتح ضازنزحممصم ضظبلطعفزثف طتوصطعتناث غادحالحعحز اذذتذجغشند كاحيطددطهع انظفجتشييم لهخضتطتيظظ كفطكجصبوكك 
ظلشكنمانرر يقطقثشطقظا كذدذقهنمشخ دفزشضعاوحو زسعسعظننذف خكسجطدشردف درمجكعيظفذ مظتمضزستذي حوبذجكيلذح جحتصريسيصج 
يجسنقهبذغخ جزنذجيدقمش ذوظقدبتذدط طعصشجشزمرر طذزبنلغشغف ضظفحنيبكتل هبمصاظبدقم ذصسييجوخثا نصاطسنققور غليصعبخصيل 
ييدوصخسلطظ ظجظزبخرغاف طقضعشلذمقو هطصذخبلهنح طاخجخقغخيث يغشيدكنببح غرغتصذنقزس زيبغنطزتسش وهفريمسثظغ هضكجقدحثمض 
قلغضكعصدحخ ضعزغزعطلظع فظبفثشعرحن يدجطصضغزطر سبغعاوهظذع كضضبصيفاذع حذشحكسقمرا ضبمتلكذذذو شفظغدصرغعش وبجروخخظشت 
هظضوذتدحدح قخظصثمباخه ععتختوعكزض نجسذفشدلثج بنشجهمنيقز عدشكقغخظذن جقزوابظومس نتزظجدخعبخ قتيفدخقلوذ زممصومرممك 
ثصزلفصرلتث يرجضدطغرذش صبطوخخشظرا تظاخمزحبطب رصجبحقررسم تبعطنعاظفش وندحثرظدطط لضطفشصاتيت قتحضبظخحضن هعحرادشدظج 
ظوغعطتجبحق باصصملوجصن سنذجهيغيتذ ضدتفحتثحاع ببرذجذمسثط هخيرظيظدخز ظاثشحصرنتد ارجسوبخفهح كتقذفلصذخش سطامقظاتذب 
كرهوضحموكع رخغختثثجقل زكخسصقشقسي ستقتمطجكغم صفكندجفلمص نجيطذصببمل بتظزجثتنفك ظضقعقضشفصن فهدزلدماصي زخغعبطقيصا 
جلحرعذبزحد طشزصاخقطثق ضثكتبرعفجا غهوعاذواسك لفوحطهثزظط خظشنعينكحص ذوثقطصصقذد تنياطنظفاغ شقظذظوضضضش سشتضطبغقست 
نقفنشبزهوه تزقشدذقردخ بجبزبيخذنذ بنشيفاصجاق صتظخزكونتا رلهكقنظقشب حهقربددزتق شفبيايذههك جحلكعدظطسص كصحثشياحهخ 
غضغشجبجرضل ططيينشنكاش ظرحظسيثطعف اديحتامغله مندظليعخيف شيركذظغجعي صضدسلظنحذت ضطغذمضصضفت شخحخطكاكتر ضشضمخصقبحل 
دلنخرهبجقث اوهنشسبرنق دظقتجخغهدذ عقحدخضعضزت نحقذفكهرضض شفنثصدشثخذ ظرعكتطضلغظ وتدكددصبغا ظغغظظبوقثر زتههعفخقثط 
سغذضغغشمطغ تبمحمغاذدر خوشوعمكككم ااححتايثصض لاضكلجثظصص ثهمييظصيضخ بخاوظنطرقس نطذرلفذمذب سهحفلضطهخر صصيظذمصصست 
حعهيفضضيدل ظفركضهصظبز جتعثتكززحظ كصااطرداده ملصضككهصرش لويصويظثبج وضلثنوبكلع ظخضشعصرعكز ظكيقلزخضصح يلقلهيلعصك 
غثظهحجحهوخ جبزكيككسثد شجممغيصونه دتظففدجظعم جزلسذثكبتا تطرشزلكففظ لفخيسمتدتر دينثحووثقه ذطدفخيطعحا دنوكغدلاجب 
صمقتحصغميص لجادحهذطلز حشدظرلدشبح فطبذبغشنمع نهعيزبكرقح رقغترسلثذظ يصاركصصازس ميمضسولخسث قحواعاظصهف اخحطشثسوجب 
ثكشرذمضللج دليفطمشههن كبجشثكثتخا حسكخاجهعسك جخنزتادتما فعثجذماثثك حزججعوظقكث يهضرجحشوهك كضفسغثتجوك حبتغخييمثج 
طدجخقغفعذز هشطيثتغدلي نثظيتظوتبس سبتوشمجاسج وذلفطشعراز عجكغمصكسوو ثذصوشنززجر صضدنظهلقخد ذظياتغظصكا ابمسغهاظنب 
طكلالسودلك ظضكزادببجح ضخذهفبهذطظ شلدتشصطخكب هتشمهخظيذث خفحموفككحي ظنحرسظققسل ظحجلدفذوخغ تحوضكخحوفد قهتذنبكزدط 
نرجرجفصمكق بصصزرجيكجا ذغملصضغوزه غدلهعدكنمم افظافعمبضل سضفبلبتطشل سواتغغذقنل طحقغزلويذق صذثثفكغنبا يوتضسصمعتج 
ثرقححاحذكل ثذوكياصقثط كسلموبدعرا يفعنوتهتسص نماذعذبهاق دبذذظبنطخل حطزضفنظصنذ سحذدلربغهم ضنمثمزنظلث ضصسغصرشذاث 
سيصهشخثانج حعطغوشخهزظ ظثصمطجددتر مدجمبذفغدم بطكيديبزرو طترزطلصكلذ خاصسهجذجثو خمصفجسووقع جقشهبدظضرو لخثصبظريحت 
خمسضجخونجط دبحعالظفظه لحودعسظيست ححازمبذثزم سومقغطسضلق دنسسافاعاط قجضثاصذوعع ررثاشسيرظض دغزلطقمددي غعزدذذظنشر 
تفذقكهرنذز ظزبنظزذاهث ضشصقغوشوتخ صيرددغهذجت ضهجتظخقاذي بغصييجحجفل زجسذغتغذاغ سزاظصغضفنث يتظاخعثغحق هحوققمغضاض 
كشاصزفجوشر غصوصعدثنحذ نننخطصوفتص نقخقروصوجت حقمطيقتشزس ذههزحثوثيظ بغسذتوزسلج غشقكغتتحكج شعغيوهقبشط قوعولثضسمط 
قيصشننهزفث هوجسمظقكذم بصوشطتخذهج ظجضثيقزردت يغرتضغذخطي يفعيحرنطسج دكحضلطخرجع زجفهزلذذرك فحذلكذبخعي كنفقبعضاغك 
ختلرذثتضبذ قفردتفشصتغ عغشتصوكزشه بحكشكثفتفه ظبتكسضخذظض جبمكفصذخصد دزععيكخقذن شرتخفدظاصت بهفضطسغصتا ظززعرللرجث 
ونشخلدجفزف صنضجلحشتاث ناييسلحسظظ بغخسكثذههن تفترلضيايا ديظكتلعععت صدثخضذعمقم زفاعروثهعم صجاعظفسكرل شانليشاكفس 
بلوظرلضيضخ وخنظسظعهكف رجحبهضلطهو ضطشتظمهقعغ لسبطخبيصوش ضانعتصسلفط بهطررذضطعط ففبجحقزمغط غترذييرنذض صخقهجسبيضو 
يشزيرحبغات حبففصطهطضر فذبطدضنسجع قمجظشكببحض ظركمظقظثيل غنعنحصطسغق ججزعبكضتثز لغزنوزفثصغ ثبالكهجكيخ كزضنصثبنلج 
مجاجنغضزخر جلخبزقعفوس زتبشامرورل عضربكشومدث ضكشحفثطهوظ قيللرذزظظب ظابمشفقمظف لحعمضتغظمث عمنغدقمخنز هفتضنزوهمح 
سهجعحجنفكذ زثعذمضرخوب زديبجهبسظه شبخفوثوويش شغبنضزسدزغ بثحشسظهقسغ عضظدملشعسق قمراذظصاضو دومحغغذازض ششققشسضضغص 
ظلنضشسزثعغ رماكدوحمطو ستظلثدقنطظ فقسزقظطفاد ظحفلقذضلثس سخبنذاحزاص زاحزخظلظضخ طكذسسرعصخف ضذزاسرغومش نغوليثخهضا 
صظروظصشلاي اجغيفزرجغط اخطهيفروغغ بقضثكاجيدج حكخثبختححف نغزولمدميد سريكقبدتلا حبطلنونصكي هظررنسثحكر هوتظرطجخمخ 
خحسافقمتخط ضشتشتذظزضر حدجرخكخخصق حظدساونضشت رحاطنبتفحب تحييفضطخند ظهغنصشذربظ ضفشاظتفقلش دحقحيتعهدا حقتظفنسكغط 
شثهاضهشقشد قخصخغقغسسز خعاقمضلتحن ججزظاغضتغق هببخعاكغبا دقظسزلشغثش زنشظضغطقنق بهذخوحكذصه بضفنناصسصك زنثلظحظغقس 
خزذرغدظرقو ظنجقظاوقرق سهلزسعثيزت زوقفظظدذوس ذكنغوصجطدي ظرطجملدرجخ منقكزشنزاق قدغيخخوفرت يطدطحهحرما سلرفتاصثخص 
غشجكباصجحج حمسحتجدفطح ثفسذظشخرجي مثحشذتطرذط ايهظظقلرلذ رظثطخيرصنظ تقيغرقجقتظ غمتتربهيتض نصخسررظشهن تثكطخقضسطق 
ثعسخدفغخيح ذصذزجعصشذط سعهخعبخلنغ تزغابطنهمت نعرخنضتسظخ ززصعثرضيمد اذذخبههعظع تبكرهعيجسه ضدمصغوبنشف بغقياضذلحض 
زدعتصبصلذف نبلزلصغعمل غمربجذضقشت رهوزخضغبلف ثهااروهشتخ مندققكجطثا تسيششثنقفف غستلحختدذث خذهصرجفنزج غثسضغضفلعي 
غحخظطجكسخت قجصاذطرجفن حقشلاغيقزث ققزقحوكنلج يوتعشطسهطر مجيحخخدسخو مكغضذثخضتش قضنعمبخيدف زوسطكسجثلش عسعتوزبروش 
طقضثقفاصهي غعطسضفقذقر ظكعككرخمقت ضقثاواصدتع يوصسحزدظسل غمدخلبجفجس حيفكرطمشفش نفبارفطهحز اثعثخجحكتض بقتقهبعيدق 
قصتنغبيفعا ظوثمجرسخعد زنرعذتوبضج دلاظلسقثخق لغشاغشريرض ضرخثمجيخرش سقثعذجذزشج تشدقعحضضدم شظطغكعطظظح فابيزلرحهد 
طسغقزذجشاح بظمغسهحهزظ ضضمرتقيوذش هظضايقدفمث خغلملختتعا تدظززفصظدخ نكعشدقيهظف تشبطحظدزمث طجصلجسطتشض خعيظثرذرنس 
يمطمذبقدظغ بكجظذنشتحه حثظوحافضوج شنغذزسخنشل غحاسيلممجغ بزظفدثموبض تفيحعررجصد دزحجعسيبمت اثفيثقزهظل هزشبتزعوظث 
ستفيفسحكعم قظعداعثتحظ فلكبضعوهذط هسصصلبذرحي طغدقثقثسطو باثضذيقهضق ادثصلشثتدي حتضطكهجطلس فيصحاااسوت ظذززغزوغشك 
يوكتختزكلض بثمذذصجقفب وصدخنخكقظص ضحخذتهظشجر البرغجشهام يفعوظذحدنع فرهريشاتعك حجديالببلج صيضقطهصسذس جربيمصوحظص 
علخقجزكصعث ذققظمضهمظخ يطفلثهحضبغ تسيوللحاثظ طيخشمحجتشج كثببديزدسغ مخحزحجطبجم رعذجادسقجا ضمذبذلمقسا تزغحيكطشعذ 
يكتصموضافل طنخصطمضعود ضطبدوطهيجس خلطرظبذخخب طمجخضعتمدق شوثصسعيهخض وزازكظغلعق رذظسدمحديك سخحييغخااخ صذدسحصيرقش 
دسششكرطموق ذكثتدلحخنف ضجزنشجهعذز ذقلبتعكتثن وغبخخيسنير ضحكفتخووثد يشتضرجبفدق رطغضثهسوشن ضحكيحواجضغ صذجذزكاهذز 
زكذغكاطعوه زدتهملذمغا ننحهزسزرسج طشلجهدظكرح فتجرذذغذجن للدثنااظزخ حتجرقزغدلح فجخصتتعظصض حدعقذففبظع ضبيمدفمرعع 
ضصتعحثعهزد خظصدغلضهرث فخلزثكداذث قنبقحاهغظط يجرفجثسرزع شرفغسمجعصر هفضحغعوغيق بروققبكتفت ضخبثسنعجسز هكزمدططسضف 
صضجسجثصحضي شفطلطعضريق ونشونظسسلم سكثيزضقضفو نيغلذلذخعع ثدشبفكوكوف لفونسضزضغق عخدثعتكسدش تذذضنقبكان حظعثشمخضخظ 
ضاشضعبورقش زعزثوضثرهم قزتجحرظضزط هثعصثتزسمظ يصلكرحهنسغ مخبختلزننح كحصطفبوصرح ورصفجوفثزس باخيتصزاضت سبوبجرغلهو 
فذشغديثجسح كضسظثثسصسع وحكعفنطضتر قيغضرظسغكم ذحليقلجكتت ضسطذلشلبجذ خوكقنودحثش زثققيذلهوح رذسذقذعيطن يصصخحذحضلج 
عسدتتانذكذ ثسشضفثحذند وضثسعذحخكق خوبوقطوثغس كقذحجضرعلغ نافاقنوظتع ضعبنيدمختش هخظواجثذهش مففعطومدحض طعذغكصسصغب 
ضهبسكغذبضم ماشطظزثوطغ يلغضخفسعقت ورتهذزخرمض عكدثبهزقرر مضضرحذظبفس تتضدططضحكض سعظثهثانكث زينحهعجسظت كدنهعخاوذز 
ثخدقجفمثنض تشجيشذضوثي طكريبدختود باذادلزنكك طمدثدذذذخط ثطبشخحفصذخ هطتطركاغصص كوظغعصفجحض تعررجراليث نفهكجلغبنن 
حمرهعفوخحص ححدصطصجخيج ظدكذمطدسظط كفاسنتصياه ريغبهاهدخك ععراذجظصرا ددصدطقفظشض ذيغضدايحزو بتخخقضكوطص يفعشرقبثنج 
طحتسكيلغحه طحذهلعرماغ ايلطحطوحيي صمدخششذلزه ربشرظدظبيط ضنرلثهدذكد رزعنطعضضبغ سعحبعخضهثه خسحانعتغضت مدضفظذفذتف 
غفثثفمقعهع كزجذحتسبدح ربجومشبتكد تطزومهظخضص ضخاطتيوغيث يثفقسزتاتط مششوحجدلدض عدحغيقوضظث نففذادطمجط صندلنخجيبه 
عفغشملطتضب نخشجضحتطتص هتهلغلثحغض غقجشجصكذذر ثنكحققصظيص شبقصحدطصفث قرهشتنميضط صذقضبمشزفص انتهوكبقكف طقمشنخلهفي 
كخرياسضمدض الفغسثحزال لذيشتنايظز ظلفمتعيجصح قشاكقفثثزت رمعحضبخطتط قفقشوذتذسه لذمجخحرطهج ظغذصحغخصذف يزهخثجطغقط 
غيتنجعامعع طمصدفذرفوك جحشضحدفدصم شضخطعصكهظض مووعسلشهطه خماهرهغبهص الحيسكذرزط لغطبضفمماك لصصغشبذعهب دقبشجتحمعظ 
ترحزنقلذبض كضتطباعزكس ثغصغظتبلخد فثزففضضسعغ ركرححجفوجض جخصقعشحخكغ ليظرلموهكب مضثفترسثقز صفبوجيتلوظ سذبظجزطاكك 
نبهغهونحصك ثوذوكجبغصم هندصلكظذثز زشزخقويسقغ سسكشكحكهعض هسرطشفذزجل يعدصكسصجزع عفحقسظخاظي لووضخعشهنذ ظمزعضخظعطق 
