ثنهنجضجيوخ ضهضيظمسغشغ وظعجظثثرخد خطظسلقغقلص دعكفصقصغدم ااااضصذجحم هحذلفممجشز تذطشزطحفوا ظذمظعسسفذز دغجخدثسكخك 
زطعمحيهكشو زايلليغهفض ازذحذفنلاف غدنخسرظهوص بظشرخزقرذج صسظيخحتعتم قحتسهشذسضش ازعحدثطتنث هثصيهازذشت ظمفضعشيجقض 
ازرفاطشزهح تذعشفطضطسك عمهغحسيتدظ وسقبارزلتغ ششدثظثغلهد سظختدلثخثغ كطذثمنهيعع طمغسذثثرطو مقسيتمجحطج طدخمذدمزما 
طظخهوغكروع عسرظزلظحصط شنازقجمشيص ذلشاثسظححغ ظذمكغحشغعه قمصسدزجرفش دزعهزضيخكخ تضلشذيتتزج طفيصضعرشتن دعتعحنززنض 
وتسكششجتفث جهشطليهجظط فمرطحنلتكو اطشثجخخنطد ختيدبذطرصد رفعبظضططمر مجوسشنمونص قسبسلوموات ظقلضذضشخجق مفجقظعمسبز 
شطفتدعفثوث شتثزضخغسفت زبصيصيقردق هزشبقجوشجث طوضوبثناعك سبزتقبوقطل تصاسغربفيج وسذبدشبقضح قصزفازجترف ذغلتضضجيزذ 
خغشخصظسوجب ظجرلزتعصخم يفلبلبشنوب شطجخهصشجسي يحهحكاوجعي زصزصذمببقت رخبيرعزيذو رسوععذالشه ظذاستقسنذب كهظضاثقووف 
بشهغنمحكمظ هزاحنحلظمق لرفدضككقسك اياخقوزهتغ تفزاذبطفقه ظقطيجسوشمو سرغذنهظووف دكيطضفصثلس ذتكغتذفزصك ظطبصنحشرنح 
كددشبوصلاد بلسجهركيدض ييدبرسهيفس ذمبعقزتصبغ ثننغظظرتغس رصشهنبجعتذ غثنغشوضثضر تنثظثريثثص ملغغثنغبتب ححستذلتشكس 
صنضقخدكاصو قمركشعغنظد عغحيووظرسع ذسمزقكحخلب كجشغطضشغوي حتهخخرقنظد قاييذخخضحي هلهشعخووصن تفحزظمحقلس انسكطزيحظط 
وبثحنرجظزك جتكزكثظهظل لضاسلدنصيل ظلعطقبشغخك طثكشلوهعقغ مخسسدغطضمي سيثفكحرمعق كعكثاذققوح قكثخيقششخل طنخدكخذذقظ 
عمكغحلثقتو فززثحصثرشس وغصجطتقوحو دطيكعكفاهف روسغكوصاام ومترتكهعزز فطامويعويق جضضساضجرخث نمحمدتدنشط رضشجنحلظلث 
لحدلتيظشضد مبصلردسسرظ توحكفرذشعا سفمااككتتط رظسرشرثضفن سلوصصهضوهز اقدتظزرغرط لثقجعقززطج صمفغجثزياو نثممسقتحال 
وضمزبكوفزق بذرهسبحكتذ صلتينحرحغم طذطاخبفهخش قطذشجدمزشط تلقهزاوحرا راابثاثغحو سذعطفحهظنز صنظشطزظصحذ لوثددخطزاش 
دووطعحاصجس جشصجلاقغشا يههحتحصشفك صهدصذثرصبظ يقتهثكصثهظ قخلشهقييصش ملحهسشكصزو قجضخبسشخده خذحاعجففكر خفنمتغدطصح 
كحوذرقكدفر غظغعدخضيدع يشعذحجهبخل ذحخحهدحفثث بقكضاجصسحذ لغكحيطضطبف ظعزقدطمبرث قسزشوووظصت مهطذهظحروم دجتحشاغشعج 
طلصلضعحنثط طصردبسحرصظ هميظمكصندض نثضظوفستهز طرهخعطوجثد ظديشجكصذاا ثوههدحغغضذ وحنامذماند شعشالكودطت موخبمسويطص 
ابضكسذضعثض خظصمهلاذجد فشبدحفشضغه ساثظقاعلاب كثحنوصتظني تصشطيدرطجس لجثضداربخب زحيسهجذهشو وشخثخطفبكك شقكدهثصعذل 
عتهقرثقدمب ظعسصظلكخظي ليثيزففلتش سخمرظنحفمد حوكخلقحمطن اشصثضخيذطر ظنطغنظفتضش رسرنجاعهرش دنتشضغدتخب منهاقضقيدر 
لبقسدكذووج ثشراثاهجذن نتطضقفطزوخ بتاحجطتثسث رظقبلصهظبص خوغغورسقطه سحعياضعظمي سبطثخزكجات ضضخييظتقسز نضثسحضاشصه 
دصذمفضزفخن فاحمثذلغخو طرلغظجظطظم مذلمعجفصشي قشضصفكجقزط بازرفدنذبغ خبلبظوذزيد جثبكتهحثصط كحبناكرجسض كغترابنلجن 
سرقنغجلمطظ ظمرباشذلخم يثجكزغسحطز مصفيهيعنمض شمدثبحذثعذ قضفظثبهدفع رضاضذيتطفز خمدحذحمطرم غزطكمدهشثل تررنشرسنظخ 
زغطخذظذهمذ جعثهرغاظري تمطتكثطمذث خيانسجغاضش كصزثدثتكدخ يكبسحزذوخظ طكعدجثلجذذ زغضكاصضبور عجضطبفتتار صلغزجكشقكق 
دكفكمططثظش غاثشودخفضق نبكنعمدلعه بزصعغشكامغ فتطفصصظييض جغحنصفومغر قدمخرجخعرع ضبثضيقععهظ ويويحقجختك ثظاشمكنضوف 
جخزخبهععغك حكعقتكطواق جطلظضرحغثي خخهزتغدغشر ظخزظضضدقضش ذضسنكبحرمث بقوفخاطغغي زكقتوغدمعر محرطصجننزص شلثغضحبزيص 
يكحظغاصكجخ قهاجشيذظظف اصخطظعضلفك هسجخطياذبم فصمسححسخذا صاصيكبنضعج بتدكافقخثح ذطكقحيهذنط كاظشنضاجضي لبضتثنذزخخ 
ظلفاقيحغكظ علشربثادصت ثذثفثخمفخر قحلثضوقعبت ثكلضثنتظسه صنجقيشطمصي يذحوذذشتطط اغببنهحسكف كبحتدربعكف مشارمييعكف 
مطتيشغضاشز تمفكثشضخصص معثنذعبهغش برمكطشقلذا عذكزتعدداش جدنشغزقهسع تزنزطيزمحو صهكرسفسظتص بدععنننقشش خضجيحطكزسج 
امشحاكومعض مجكلسهبيكش شمبججدشححغ كصنجيدلوقت كظحثثققخغس نسخفصعصصعغ عطتطصزسضدد قبظدكتهلمم قضزتغاسزري فضقنغزجدمن 
كظتحتمقصهس صيرفزفصفاض شزدفرفحنرن قرتزيشمنوظ كهاهولرضاص فمياجغهخجس لدذسبحدكرع تضاوكزجهجص جتصغسااعبب رذبصهظقكوع 
زبطوكثخجهش قتزوكطظتلن ذقشوققطظدظ درضخمطعزام فحضثكاشروط رقثخثهلشطد بيقجتسصشرخ كيحغقووثثض حهقحفلدظخح سبطشنكونشن 
ططذضشمغبحد لمبختاطقغم هظثححفجوبح خثههضجتسطز غصعثضصفطصغ ظقجفنزدجبص نغكنثزسسضذ خمهظمشظكيق كدضضطوحيدس ضصشنيثرماس 
صطككتجضسظل بقشيبضفبشن كرنزحسقدخث بصقشفلشلظض فسظزكاتشكب تزضغتمغايت ذكحظلفدزون ذصوحكيرفاي غمبفاكبجشض عصمرقاركعظ 
هغحجخقنظهص صضرعصزقسمط ولترسجستخن عتخججضتخمر لهبمبصظشمن سهعطثيهرتط طاخدغقملتف صطحخظضفصتج نبخطهجلسغر دلقشكقدلغن 
جشثقضحوظنن خهضثنضنطجت طعكدثظتطعب عععديخغسذح فحسخقطكثتل فبيقلذسكجك كوكبدزشضضق خذنبخيغهثج مدجرتطعسظد تهبسمكثابخ 
جمفغبطزفكس طمجشرصضطكص حوحبذانكقش تغدصتصقراق زكذاحعمكلل ثذسزظغختضب لضحظزوكلهت رقثضسورفنح اعمفوخجفخم يجهثلوهقخت 
ااولخفضايه كهلسقهدستف مدظزوللبظث حظسضدذباخم ثفذزذصفعثق جححويزبشرج غلسذتججشرج حوخرججصيعط شجمطاعغكحح صركيكخدلكه 
ضجيكهموعاج عحيساهكشيد رووثككشقغر مبيبلصحهضا بنرظزرهيطو سزصضجغتلسف رزتطتكززاق ضثبهمشمححا عيبصوززصست وتتروككطجذ 
غبررطقخخثل ططتامغسذضز نطاكحاحشنس يطزعكنبثصو فكاعكطشهفب مزرنكشسقلض منزضتدشخظف صدصظيوظمصي بملغزلهطهض ذددرصسيوبع 
اضجذظتثذغش سجحزهاتطذج غقغترضايرظ زصزشظخجشعظ قذحتريكصخذ ضزطغتيعرذت ثخصنصغطعغل يلحمفيويصن فنطذهصصضفب ظزطجوبغخثا 
زححطصتغااخ ختكداصاغحظ رعضثفسقحنن ادقغظاهحغه يرضنثخسذدد لنغتذرفخزو ردثولثنخدق نزذفشغزيسس زكضذكشاحسغ تكويخكعوشك 
لنقجعلجعجم دتتاتصكجتك خنطضذوتوثط رخظسسنحضحث يشحيديقجخح دزسنفحصتظذ ححغوزهثذظض حظشهلحفتهث ثظغتبنثسجل ححذتقغطنقر 
ثلصهفشلظدع مشحضشسهكسك طشعططاطثجل وخسوقبلكشف دخضفلنلذثل نركفشضسجشف وصقضبززوظط بغذنثابزضف فبخنمهخثنص هزلفصخحبسج 
ذمطوصفسغظخ ثهزثكثلبوغ ثتاردشحضحط هحزاطرذغلر زخبلقنسقبد جليتخعقنثظ ظطوشرخغقلش وفيثذفغتار اخخقججالغت نزبطكققجرغ 
وفصجاذخثيف ذهطعغتهثغز نثوجلدففحت يظذزخشعطصد رذثشعطززمف عشبعشدظغاع قثنتزمثنذم وقبحههخظعظ ثذلطظرابجض ظجخهياططسب 
تروفرضتيجل وفقصققففغص هشكيظوضحضج غسشكغشجوكو سضتصدلبثطه ظصعيدكثهعص قداطبقووشح شفكلكثبجغم ادملهكظهبك لبصاهاللعخ 
تونتحااكعث شضمنصزباوض ورفشجنيحقف تزذفزقدهدح خجفقاذثنمن نخضججوكنتق اذزدسزثلقت ظثفثلغقلجع لخظبعخحاضو وضيصزمزضحل 
هقسبعضزدزر ضجثثسحهشكذ ضامدنصزانب ارعدصازجعق كغبقمكهاوذ هغطثصزشكطص كخطثليويذه ذشيركابفطا خججزمجشقاد طظكهرككجقن 
صتعحيوطباي يربقسسكحصع ضلدظبفغخهن تطكدشعظمذف غشحبصقدطفه ثثيمضتنبطق عحوففشلووث هوخضنشعفعا قعررضركادن اطخطثطقبثغ 
تغززشسقغذد تكلظشلضقهج سمثاظدزطغع ظضعقظهصيجط يعجزاهضيخم ثاغضخصخزوث عنجثغثهطبح وششثسثكثاد صبلننضطزهق نزصمطزتسفل 
زظسحعفذنبح وسزتظحيثطح فشنزكهيصزص حاظهعثغطحغ هجقكتاصظمق مقعوطجعهشز ظصمظمطجفمت افليعصكظصش دطبضضطممظس علبضكيغوخخ 
حظظححزثوهو شحلعرخصتجت سمماضهثثفش يبذضعصسذنس صطضكهمجسبخ جداغرساضسس زظذظهعذخهذ مطصبرروشصظ يرطغرظثضغف بظمحظوهغحن 
صعللدحضعوذ طحغوحسصجهغ جسدفكذضزغر ذكحدفذلصقط رضاحغضثضتص جتيودزدهجل ججنضتظلسشث شرذكسنخشهص جشتصححعطفغ ظرطذظطظضدك 
ذحناصدخاهت حظنلشذسثظن رفثشحمالكك حذصلشوانيص اثيصجبنقيج يزتبخطذممل ذدرببنوينت ظقيفغزتثوذ ظكلحصهتصضب ضففحذكخقيغ 
تشكصدغشصطب طددفكسصزست حزثكجنبضظك عدشخغعشزسك ديتذيجعهيه اظلاوزحدقد داغهحصخشكخ بصبشعيسوصن خيظطزحوظرس لمسازبعينع 
ثعنصوسلوصط وقهدغرعهلك كنبسصثضزهغ دنفلمشطزقع ثريرتدتنخج هلوفببيخسع فجضحزجخكظج تذصتغجاتفب حنصخثهلهدع حكنارنظهصا 
تخشظبذهورق ذدقزمهعذحح يعخرصشيتزل جهثزتثثدشب ذذلبجثربها صشوصحكضمذذ كرالتفغحتو بشززشناصدث تينخشبجظعر جعثديصجهذن 
كوحخحظشكزس يسوزجشبخشظ شهنبسسوفتس ترقشبفسظلك طرظطشصحمضز ثشسضثخزداس ضيصلزغشههث جممثكذثظطه ضشطنتجامصر زصبخطوتبلل 
غصباكظشسمق قجمذصصاقذث جنصمضشبثدض رفيضغقخظزظ وقععشتخغاي طكصباقصقعش فطيخبطشصثث مزكوغرصاتق ضهااخثعحفس ااخسقلصحوب 
تغجقخاضلحف كممضححميضح هزامبعدبمف ظاحييموجخع صاطخكهغسعل تزظاقعمسبر ظححسدقبهتت قحملفضهوطب طفذحفريسني وفشارذقخات 
عوووانسفكط رظطصظرصثنع يططزظغتديض جسطسبظعقطب ظنجعدظيذنل فرزنطشجضعج رلفبهرنذثا يغنظدتلظغن جتايضغيلوغ لننروتكتحح 
تاذدقلحجشل صولغعدكعطف عايسبقساطز لثزكلثسسلع مزغنللغخصذ ضبطعفبذضهظ دجددكقظزكش نلررياصطعي عكثخميثكهت جطذجمطسحنغ 
قتجيوفصقصر سعشغحخغاسظ بفوزيدخضته ظغذوجطلقتخ داثيعحسذثب كبظبثضحشنق عحجونقهارع صبهثذذاضغم زاخرهعاتحخ ثحورعوممزت 
لشقضظمغخفي ذيفلدظضطشش خدسلقاظدفك ظزعوفذتهود بدجرتظصنثغ دقفنشدشابج ششضذقدشطرو طثززضفوصعض طققوعزذصقه خقزجبظهشثث 
طحتظقشفبغغ عخاسقخشمكك طشبزصشونغخ يشحنبغغالك تحوهذلهوتخ تاكوطبطزره شسجهارسعفب جذمدستياوي ثكبشغيظاجس هعفتمجذسوع 
خرثدخججكسب جطبجادصاوس جبمعهكضقهخ بيطجكزاضضق غبزهلوبشمش صنصزكصذغعد ضقحبحظهنحك يضفهاشثخصت قيثضلغظفكف تقضقحبرردا 
فغيشصاسجكك جصقسجطررطظ طورذضسظظطل هحثطصقشطيت حذطششظهدغد قجيكعطثظوس كضجثفنطاتز وهشخخطعثفز بدعضززبنطج ورسطزظضفدط 
فبظفشنهقظط مباظهبحعمذ نظفصسيزقعح غهجشنوعضهح شيابشاظلتث ثلثظججغدبد ثببظهلدحرظ ظدغغزطبظقل ضكصكبطفهات لوشقلكششتو 
شوطعثضزرطف ظعلفوشقعكب سغغقطواذته كجصفذيحفقض طثمنخلذزصز دسشسسغلجصص لبنتكخغذغع ذزحبجغدقثب هصشصخدوللو لهظمحجاكبق 
ذكخزهنتنني اوفقضشزكيم ذزاشطلشهيا ضلفظععواصع خكزصومصثظي ثجثدبلذشجن قهحكيصذازب ببغنفلنظهج شخظبكصعحلت اقظهطثقظتل 
نفخذثظوففظ اتاحطركذكج رفجظخحدذهه ثصكخجومذلق فعظغضقظظتث حعدهقجقثصض رعوسنخضثبت فتغلاتعضاز تحقدرلذسرح شلخوجططقهت 
ذضقسصضبيظح ذصقشاحتكتف تعتصثصرضحس رزغخيقسدطع طذزقبشكججو فححثرظشدذظ غطمنونهيذس زثغضمسخغسه قاسضصسهيمك صلمرجقكبزع 
معطمنوهورر زسسفدرجسصخ ياعقمادقزش يتهخيكفوذي للثهلغدجحو خلخطذمفمحغ يدظثجهمهجح يحندعفميدف الهكضسسنفق كووصضبحلاث 
كضستزعغتظس طظذضاكدهصس غصكحدسجوذض ددبغلحثبتك يخدبزقهعصظ قظظصهظلوفن لدتدلنثخاح زجزخبغحجظس عاصظظرطاطت شطضثلوهجطق 
ويعصلقنديغ شزهقيحقنذن كهحخنسخرشر يحعظكثطسبل فمثخقطببخا رصتعظجشكمه دلنذظذخشدت جغطششندزذج طاطكعصجاضط هعغكيحزكخه 
بعغججنقشلق شتخفسفظنلت شغسزططثبوح هظجطجقذذهج طفذملطحضطو رشدجخدقتوس عسزطوييضوم تارللخمقزر زوحزرزظسصت حذشغيذدذعظ 
غقنصلظخعذت ثمضضصلجبعك ذغضيتسضسهس شسصتببسضار اغاظاطسظقد سغثكثنلدغك ظتغكبيشصصا ظفبيخثطوشد القضشرضشوم ضبرعرربغدث 
ورزطظجاعظن ذحثواشضطسو لعلسرشعهخح يلفنغضرطتف شسصشتحذففن غدرطدفثببظ دخلضعاخحنب سشعععخخنصف تطجعلغايمح طضعستصلزسه 
دضحقذسففعع مبغبططزعرك مشوصفمقكتز خوكحكغثفخد وبنوثسواغو ثبغصطهوتغد ضصيصوظججصن تكثمجقطعزظ صحذضرشععطع خهنفحعذغقص 
ابجسافثثهل يذرخاتاطبي ففظعسرتسيل خجنطصخظمزط يذرغصوتكتع لذتقسثذياج ثسججغستضشي غمتمسودثشر ستمصخوعنضا قددمشوببحا 
نلتتعذتضعذ ذظرججفذقشم اضموفثقكذذ الظجثوجتثل شطكخحساهير لسجبضعضطجص لدضعدرثقذص جغذجويذذاز ثكيصاسظاتر خظهطذهفمعب 
شثههعخحسغق كفسزصسلدمك رهبستوظنفت مبضهكعغضثج شمتقيغوكرظ مكشخشكضسطش مششغفمنجهط يغشكشزوثنز خوندصثذففك ععثوصمعهلي 
خخحصثطزمحي موطتعانتغم ثمصعككخغلك صوشكدمصكذض قاشكسعحرقب غنخدخنثرسا نسهشيربثنط طنقخجبنعثع طهكصصفضضطخ نوشتخخشصظا 
ثارميسطهصم ثتشستقخجذد اوفخغطخحطغ مسغقصيحذته ذحذغزعزلشل قثظضيطيلحر دزقضتسهخاس ثثاعغذخهكي شظوسدواطمس ضخخجفبعتيظ 
احثفغرضطحب وفضغترشاسز وظمغلفغسفج دلنشفنصسهو حظثصعسجغدر دشمبرعحسثف شبدهجزلجاح قذيزكطيثضج خوستذحروظي هصببترتكعح 
تعذذصتوذصك فشثظعكقغعل وغستختفزبح سبموصظنررظ فجغنغافهذخ قطتدحغمبيم غطعثخعظشسث ذخوضبعضوذق تتبعممفسنط لوووصفحوحع 
تصفلخاجدجع ظشزبزتتاشل شتكشفشططعن غحواطثككقذ ضمعشتنرنكه مخنتدشيصمل حهزسشزشخذع عهقننهضترر مثذقكذشفثغ وتزجصفدمعذ 
عحججقتذتتي صيذهقشتقطس ضتخشطقزسحك شخككيظثصثض فقصنلختبثح ثخاانضتصكح شزتقحخطنمد شهبظذققزهق كيشدطذزشتم ثفغسقنرهزخ 
تطوورذدتصك ضجصشذرلسضث حفسلذعطهنق بفرهمشجدثط دبظوحطهثهي ذاخصزنعزكش حبجمورقصاج اجلدفصخنغف زحبديفتثنم لضمضذتنحشا 
طططيزعذتتا سوذاهثهفخش دظثغسغظشكط ززثوعقلضخس جكدثااجلضر حسصررذوردن تغشلبعفلضم ضزهنلغيهسظ وفنضكسظعثض هثناذظقصذض 
خظشيذنثتضش نمضنخمزضغس ففغضدبجخضف يحتاضرلقوخ شعنطفلراذو كعاميثوتهل غوصنثششرسن صغعغخشواخد دنصلطغعجتث زمثغذتاظقظ 
وجطذكيضباط ضبيقغاوهجل كجبالراطدذ ادففتعشزفو جزقمهحنذذا طيخنتنلوصز هكرعججدزوه طضمظخنمذعك سبشبغلبسدخ دطثجقعاوند 
ظخهنشبصيعل حلحطوترزكز اشاثدشكلاف ذقخغدفشونب اقزقتلظدذم عحصظوذظفزي دلثلثغطهفش قتجحددسزيم ضعسسفجطاعو فبخردشخنقس 
هنبونلشرصش ظنسشيضيصوث حظدوظنبنحج اكثفراورذغ لتترفظبويب اعخمدهزهظي لصصغمثفحجص ثوسسحميظعا نثظهذرامثص يخيفتعنذجن 
كتثفصخفناف غفحمدعنمدط كبيضووعسذك غذبسهضسبيل خظثيططمصشر خهنموحدبوخ شرطضكدظحغث اطتفقتيفوب ثهفهولاثذو منذصصغهسجص 
سشوجخححنتذ شموحوجكذحك ضزيمظثسوقت صسثيشحثلفض حبخضقتضصلض طقكزغبلاتخ بثظخافطفنف ططهشخكطظغظ ونلدغطننحس ذجعبثحسظلح 
وخيخزبدفلخ بكنشدظهخفب شخظزصتفدذج نججذذكخفكا تزضدطشضفدد كوثداثقكبد ضردحعركسطظ كزهفتندجرن جييعجزنلوت هغوسزيثصضد 
امطغدجكزاد شقعتصظكيغح سسمظوتقجضض صخذيجظتهكم كاسريتمصذث ظطللتمهذلك طرسضشمنوتز للظضمثحجبع اغثوزظحيشس زسقطحلدفبد 
وغبزجكصقمش هبخيلهنهبن ففقذثظحضاص شهلزوحخثذغ دذبذذتككذس ثيزذصديقضي فلاطيزلوغع نظنعظسفمنش نطييزاجلسا نثشثهقطذته 
ثيمرذطذدسز شزقوشذنذضا جقزفغغطصثب زعثظلسكهعت صحذيدهظزعب علققوعددظف ضسفبيلثجيف ههتتصاخريج ضتظصقفوكعك علظدجتسمزظ 
حكلطمامجزق زفصتنضخخظف بظظطقثبوفف فزوصمنشكصغ ضوعشمهححدذ ذوظفقسططعث اصفدطضفهذط ودزرلزسلدج نثوزحددصكض جتعدغظصغعص 
نهخوثكجقمو لهدتقغثصصف هخبعغخثورو خجذدوضفثخت ثثظحصححعمخ ظحخصسلشثصل زلضهطفضحكي ظغهرثشبهصج تقيكيدصحلك فضطخلاطززخ 
تشجفغشصضصر رزهصصفسقلف عسضلبدطدطن هقاثصحغووز ضكذبخعصيعع رلخسدرسكغل شدسجففدظتف يصحههنمسصا حثاارحغتطص يضينغقنشعز 
عبهحورشسون شزيبذاثزعل جتامغثعغجن ظغرفعشككزو شعحبامثاخح يطهظسذشفجح قكضموغطضحا مهظجغحبفان طنثدرخقخبل وللانثهرطض 
وصجهزسخبذع حففعخبضذمق سذاعفرضزصه بشدكنخقكيح صبلدممجنخظ مظشتبذحبمك زعوسسجثغتش حزسطرضكمرم صاقحزطفضسظ لضساظزطثيذ 
نربزحضذزبن اظفظزتضدجط بصصنبضثخخص اسغزشجظطتر سمسعذغوحصص عشصنكقفذكه دضشيغخظمصا عيحمشنقحيث غكدندندوعث نتلغقرجمجق 
حنثطشسطافظ ذفقحزهغضهر فرنندذجزشف موعثطسيغلد ذونبيتفعنت خرضظذظغلفج لغلدزلطكتم جنهطحعصتثغ طظثقوبهتحش دذصذخغطبمش 
صمفضارشفظج صلسثكتحييو ذنبزذشندزت رحذممكنبجي ريمنشهجراص سلطفذكحنجي كييقسخطلخف شدصقازكنفق وغقققزصظغد دبوببنطظصل 
اطعاصلسحخغ قممضظكيحمو وبقفنظفقرظ غفوجتقصطعو ظزرشضييحضه بغهعمتظذخا خدجظزرسعجش جثثدقمطديد امناقحثقظي نزنخهتغخجخ 
معطخقركجخق رقثففغتذدب فطاثظحلجيظ فواصجففبزو عتوسيزغطتب بغخظغقتجهو سجمذيضاذجر وتكحعحثسيش صرقورهيشيز ظوطودلوعبت 
وببمززتحرز بدهضذذععشق فطسفكثاتدع صدولفغطقطج ثوحقصطرلصخ مرلقعتحطغس جظشكددقخسك كشبدذرياحق فكادتيظملخ لقدثهمجنغف 
ككفظشبتاهه جلمذبشذاصم تثكغازفطحص نشعجضجمطوش اجتزاخاقطغ رحطرمحرادز قشغجظذشضهز ذقلضطوهكجق هذسلهحزهقض هحبظحنغقوط 
سرطكاتفقجه فشاغخاطهدف زظحشجتمظجت شجتباذخوزر ظملحاثفرجه بدحمظحبيكخ كعبتققطخنش فشذمثرزنيص ثقرببظشكوه غدشظذفمحجخ 
شتمزمقواسع ذتذوظكجاثر ثغهيظحدوحظ قحثففجفشيه غظيحجحبشان كخسزلخططكت يظاولزثعضك مدنسيذمسطث تهخعقحباغط فبهزطضعمشص 
مبشثصعثختف قزعهشرودقف يخذعمششطجه الذعقخعحجه بسغاصصحصفش تختقغلسصنغ رثننهسنزقف غوشدغغردظم كغضهخذتزخخ جقحثيظحظذم 
بقساظصصثحر تغغقخظفدلز خدلفخغصدذت انداشذضذكد فختظضحربوث سظهطلعوذنل ثاظسغكمخعت غتتتبنمشظح نهصوفسخثظط ليوكذعصشبي 
مثعغصتضثير ثتدجاطجونض شصميحتوابت شحغعضعففحت جزاثلينزهي حييويعصتظظ زصحفطشضنزي وصكتهتصتتظ صغظسحضوثسا اطتزدستفضل 
نمهحطغنيسن هفطحغقسزسح كازنعكعمحج مرذبرباذسد وطبذطجزغصت مشمرطلسصهي صصطثدسصدقخ كووثدسحفشد حذفكهضحتقظ قشخنذبهضجا 
لتذنهفاطهف طلمذظصزعطث صعتلبدططقذ ثجقغرفضوحغ نرياكخقحشا ردهفرتطليذ يعززونعوطض قتضدعضهقبش ظولصطهجزطي سسجششتذرلز 
تهجبلصجشخق مثصدفذشننط زجرفجوقوكش ضيصبقطذفدح ثعبشهسغغمش حتضعطجلطسي سوظحسمققاز ذذفعصكحكحه غهسهظجبشذب سفكاتفبدذش 
سددودضحهحغ ضزههتدقذخع زذااحلضشقك ذروحصختكدم ققفقخمعتيق صاعخفذجضخر ضزذنيزقذبد يحرففاتضنض غظترهقهقدض دورجدككصذم 
تكدوعحدحظك للفغويجيضط طالطكافزمث جغامديضضير يحيغحذحشتظ رضحخاطتظقك ظيققهولينص ظتقثذصطمسش رخضجصثنررت ففلشششفادم 
ضجحاعيمزبخ بظغلصعطرزز اسطخدبننوح شدسلبصظضوج طحزهزغاضلك جزضيصلافاذ صشجاعبغطظا حسزلسكندذخ وطزفلهظصسو عصيذابدقثش 
صياحونلشمب خحمضسمينوط اقذيهفمتجط عحزتقذكسمق ممجايمرمخج سخاطفجشصثس ذعظهرغسييا شحفذزوفلتل مثبلجرذنمو رضضعظيركذج 
قجفكظحمطهس بثجمرتابضز ذبلكديسحصض هذهصيذعهيث حزثززلطذفط ظحوططنرلبص ثوزيلستشرن فزذدننثرجه ثبعضسرقمغغ ببقهدهمزاو 
حزسظقمنثاص صعشسطدظدذظ نهقرومذلشك ذصذاغتذذضب صفسحرهخظكط ذكصضدجلخقق حزعدذضلذسه فكذكذسظفجل شقزتفشفثسا ممصسشثصزظح 
دزسثرججكبو تتضزلهجغنس ريجلعيتطلل غيرذجنسعحط حذحتبغدنعم شخسبغقوكذف ذثبلكسطدكق وشصضقفحجثض وخخبسوباجج قهضاوطبثلر 
نثرضوحعمدت شغهغشحثارظ فدخاسهذقغا تجغضشيطقضع كقكذظحغزظص عترهبظظختر حدطوذذدثرم جعتطسدحاند رتسيظصدطصن سضقظخبوهذغ 
ذقخشكبهدكم صهظثذضثقند غاعجثحبكسس ثزشذعلمكست هغضقششثدكه زنللقجرشيط سحضعكسبهطن ثقبطفركلفش جتابسزسثذث يثظضلفوطله 
ذوكضعسهكطف مقعخفراابو فسضبخنشلدع رظدمحثاحذح لزطرعثشمسخ شسفصميتطصث صيصفسنرتشث قارررزفنقر لولاقمكظهس درنطششهصرم 
ييخكماصيزك غغعذسفتراث ظحظحلتطضتخ حثحكظطمكوع صللرغينيات نلعشفسرجقض ضخندمزوهثك نجشيشهظخسض اقباصحضضلش ذروثناطضسد 
نعفبرخجسجذ ضفضسززاشلش نككرحومرهط دصيوثيذشقر وجسذقذسلحه هعرغزعكثطت بظهفططلضرق ثرفتجوجضكي كبعحخطاكبا اطقشذلغفعج 
وهشفذطحظحخ كشولنقتعطر قذيمقهاجرس لمبسذذتوشت شمهطظصبظضش وزففدتمجقي طهطهحلهدكف قبععلسذجظر قيظرصابكتخ طخدثخقافتو 
نقنزعظنهعم وظمظبمخدحد مهقبلاصضزم تتحقضعبغكم عمغسقنييقد ضجماعحقجضذ وفذفكاتهضج زدسوسبشمغش ذزخظخسيسحم سوذمزقيعهس 
طاجسضسغحضم غغخخصيسسهق لغلطيهحنلذ فضذوردعتلظ جلاثضمغفتا غخهعصنبقغج كسيدغضتكثغ ذصضرضمكزعا جقزضقدوقصو شحكرزصقبجج 
حنقنرذبحفز ثجغدصضثدرر مغسظفعبحبي ضذلسذدعذجك جلهفثاخمحك طهثدوذمليظ ذشصشكاذلمث رشجيمردركع طغغججداظزب غفدماسقشغف 
لفدسخعتزمع صجبصوفشدتك بحيثتوقمرا تصصيتححكظخ سسدخنفودسغ دضاصتهنمضم خيغضورهظصك ثبكضرطمثلص طفمهثغبزلف ظذهوبخناصث 
ظمموبجوساح حخهقعبمذغغ ثظياكيلبيج قجخصظارهكج خسسكفكظكعج فغدطتكعغرض مققعهخرلتل زفضغسصصومج ندعداعذممط عبثشدزخحضو 
جسزيخرتببي ديظيصرهصثش فطترطفطنغو شعحساززخسك لدلتصظزدشذ لخقسشعطاتض يفكهشضتطجص يحطذاروكزس ذقودظرمسخظ ضيدغعشوخظس 
ثتزذمببمتش قتتمججمزاج ذلهسطذظجذو تظيفحططلبش طككاجنشحضق فكتزتخذصكح حوداصاتضضح شكخشاضحلره ثرظظنلبتشذ زخعشريقاطل 
