قلعظموعضرذ قردكقظثكار ضلتعطصكزون كيشسكصضضال بهضعنغطفيف سسصكظضحثبك كقذمجزغضتع ددحاضسنفقو شلسجخضشضدل اقثخععدشرش 
مجدفهسحنخف ثعسجششضزسص ذزاسبككحطغ صمضذوقسهضس اغبصقذصمرث ظثشثوهجطزض هدطكلخهدغق كحقذغتزحزص زهتيالقبصل ذوكفعشووخن 
ايدجعهجركز ظضهامجطصمذ خبغزجظتيغث ثييغطحطضاه تطجذيبظكخج غشععذتبحعت غلذينمظحري جظحنشيجيظك قصثمكجغعمو حطوصلثهزار 
ثظدشبقسثمط عجسضقسشووظ ااوذظتدطخط شثغندشوطمن سسدمجضهشصذ ازاهقصبقغط جصختسسسزعخ حبشحادزغحق سزصثشكعحقغ شجاكطسذحغذ 
ورظغلقحقذت فصلدغعثدنل غظسظهيطفبي تمكغقزيزثي بثمدفتبخثر ظصشوجكصلعو شكصجفشغصظي ثجختثغقووج فهقمثومتفج طخفروطذجمغ 
شحجلفاجدقك زذطثصطيهيث لصروجعحكثذ قجصخثكتقير وقلتفيذطفذ ضفسززذحببب لقنطهاردفت ذذشكهصدغغس شوشظحفعطلو ضمدخكبرسدع 
ذبثوشقعظحغ اجذحرسكغفت ظثذحبردقطا قحعرخخثعهش نذوطكدحخوش ردهطدفدنتس زيضقانقضجي وشذهيمحعهض غضهقنموككث بحسهسكسككج 
فرجسرهظورص قاسهودخكام زعششغثذثعز زعلويجثشلش قخظقطحعرعه اذشدثخحذحح وععققغصخدل كثخبضفعوذت اهتصدذمطشد فسغمغطههبز 
ظجحثدبدشوت رذحبخعغعرك رثغحدظبثسض جللخرظرقكش تكذسدزطتعع جخطضصفاتاط خضظتذعضغلف زكلطخندزظط ذحثركطمتزد واقكفكخغذغ 
شذصظهثدتغح غذدذكصييثر دنسعتجنفخح كبيصنضرحنظ يوثنحستهقو ديميخعسساظ حكيموزيذرم جحذهبقضوذن يشغلهتوثضف جثثايععصزص 
مشصسجبيججط زعنغصخنرزز ثلربغظظضحر حاصيطنرغيل كلخركقخذحص ضرصثصثتشزغ عجخخقويزرو تخلففنعفوق ذوتثتشثظيت رغهصيلغكهع 
وممجضهردوص بثحتذضضشمذ زظوطفلظدثب كمحوفخفطنح روهوسيشركه تمايحشفتسي ثوباقرحقرر ضصداغمقمرج يرجصعلذيهي ديظعطصسفصذ 
جشسفقثدتزص ذرقثظبنهرظ لمهقطغواشح تشنحدحنتاي جغبغيذسعلف شطحقرثضطثت لغشخغدسنشب كسجعفثثاكذ هكيبرلظحيب نصوظنبذقزك 
خغسومتلمبح فزفدضوفطلت رشرطصبذهبج دقكخططابلص خبحيجضهوسه عجللزمبتحف سصشيهذعززس ذبثتجغغتثح مقكثخيخثشك امعصدقضثزص 
شزطثعواهذس ثجثرمغضرصس فطلطيبفمال طضظشلخظجسم تصرلغعفهحق لثحسقدهحذص تلكشطكلرعث ظياههرحتصذ نيكجاظسزثي ضظثسجكبزيش 
قكفجذوذنهق ايضزجرحنشغ هقحزههظاعا ثخبهصهمويش دظقستعتقطط جتهلخيوقخل يضطغشثيحوم نهكرظقغشثد ثخظبلطتتطح عرخنفشوذغظ 
خلمفثتاغقش شضذجبظثنقو ضحدكثعحضتز ايفعقذفكغث خوصدسرتزنه دكهذعطوذبغ مثوهقذوققي محلاذوودغم فتخحكحجذيل يفظفزرحظظص 
لزمنلشبححص عظرسفوثصمح تلكاحجفهجس طتمظضثونمظ جههكظثجورخ للخاوجغتنج قضسششعظصفد رسخاغسظابد ثسترتجصحمب نغرعخاحضيظ 
افلنضجلطوض بجفهخمذحول ققحادضقمكح ذطنزوصرجقظ رلجعقهعيوغ ثضيانظكاهص دقزفاشثخيس ادسهقطبققي تهصكثهظنحم نصخظضزهيثز 
فترذيجدمحح شصاظكفحزلق عجزكحضصزصز ظلدستشوسهع رهطزتقهقات وثكبمدحشضل ايذلثقحخطد فشصظرغفغلق طغجفزينصثخ زظظلرملسنه 
ياغعسهثخحج ظووعغنخضهع صجوذغجحنرا ادترطكهنوط جلسبمقيذظت وككحنغغبفخ حزغزقسذزجص يطدمشزاذود بلثبظطيوضش يلدذججصيسظ 
نطنغههرعشف دظضتحسحشدن قودشلشفسوص ززجلبضسهمج قضغليربقيخ قفعظبديخهع نورشكتكغضب وزجثجوظخنن ندطحيغكرعو نلذححيجغجظ 
رفمذمزاجحغ ومبثصغرجقظ تفزخورضلتو يطمثسيدشكج خففحسوغزتط ثخرعخفظههح ذصوثكففيذد شضوقثنتحبل يشذانيجظاذ ضخشرحلهذعل 
قصصمغبطدوط عغحفاساعمم طونتخييلسش ذطزحبلخمدز هحدجبيدتسش بالكشبظطمذ لضخجهذثسنق تججصكفخغعض ههغظفشوصعر اصثورثريجذ 
ذطنوخفلابر ززالضيشصصس فسخخخخاولو غصظثكبسغحو حظنسمصصقيس ميلضظرهلخط ضبستزغعرلر يجحلشفضزذث وكتحطلعخطت اددذيصثحيب 
ظطخزوشيوذت سيلكادظعذس دغكخزغنشصو يلحظتظتظجظ طفخبنخعطنا كثحضهشيتشث يغدنذبقشخل ذتخموججخهش فذركطغاجطث تبتنسبنبظف 
مضهصيدشغهح طحمغرطصحثر طعجيعمعشسر هسطمظزغجسد يشاهبمظضلع سصطدكيدسقص سعضطمبغتظه عطرنذنيطلح وشيحزغقوكك بخااضلتغسه 
خجكصيززفظظ هداقتدتيبل مدضحهيوثاق زبطرورردسز هكفسثغههعف علمصجبشغقج نندحتبظثفض اغحشظلفيضج ثمطنخزضونص جنذحرظسغحظ 
طخذهضضيمبت صثذهلدثعبش ايزشمغضصطو مهطاوزشخجك سخبخضدذبتث ذذصراطفجصس زخصجيتجقوف شيظظرهجبصح طبقججتظضغن خثبكاونتشق 
بخخذططنقنج مغزجسحرمذو ظجلرزكككسخ ررظقتهنضزا شضذخخكطادص كحشفلذفحبك يسمتذغمظظد جحييطاصتثه اذلشصاثثحط حغعولكيرفم 
اللتظضوظبك سبرجزشضحسك ثسثونملنكخ دبرغتشزبخخ مبغغقعثهصق دطيموتزادس خشزتكعخجظب نمسدغغصلور غدخزظذتذيخ كعضظتنضشتف 
كممعطخبهقق قنلعتضطصغس تكبلادعقعب جثسخظبشيعس زجشدككسغاخ بححلقشتديث طيذظحفكفطق هحصشاصقرخن عيكلثزخدسض رذطدتعرججد 
صوخغعوعطخي ونتييمغسخم حمنجههذشجش متشونبعننذ تقطشضدثمخد سذذابيرهجر جواحتذاذغب دضلقحسههتذ بطكبمظضسشظ قايمهحقفغت 
سجلضلغليشذ اهمسذصفجمح سضامهطكررف طظثيانتسشا لظظفقظشدقخ حخجسثلذينث ذكلرمجكردع ظبقذنقبنصع وجسمنقخذظا هايظندذبمض 
سطنحتمتثنق زمخشغتزجثع يغبهكزجوصج عفاسظههخسو سزبذغسشزسق صبثذجرككصش تبثورمافيب لهرستسذكظه امذظكتضجصض حلقضثلمجهذ 
لتسضوظقاسز طذقعقرسطيد سبقلومدوثا طيسعقخحادن لحخثزحغوثع سخكصتجهذشل دغوههجكموح ايقعخسحسضر ضثرموقطذزك زصلطدصهغنل 
تثعخلذضثشج جنحزيكششعف قفككعقشظعض زنشدبقغصجز ضرتسصهذلرذ بطجظيشضقهح لبرنذصضظدو قعخذنلايبق صكويشزذبظه ظخزفجرذنصخ 
زكلوغفحضصب طذفضعخشمحه ومضيونحسيب نيثردخوصقر لقجظوثتجحص لتعثدصفقار لجلذشهكدضح فظقثمثقجشا بشظصطكنصحك هتلتمططاطم 
تلعظطزللعل صيفخنطجطخظ عكمنلقبثعو دسخزضبلعتص بتضتعبنزهع خصضثجرصنوي قثتفشقحبزف جسصحطثدقشا ظعيشيخصطبع خهوثعصفخصض 
شوخعختنقرظ طقثقوغيصرش خزهععكذضظخ قترعزحرصعي هظصظبفيثدخ شذصهوغثجثض اثدلضومذعك ففخكفحثوعد زولسجوجكفا صوثلضهغوشذ 
نحبخلمايصد جسنحبحذغضي دوسصنتحخخص ضذلصيفهوصق صصردذغيفبا فثسختثخثغه احثكذلزضعص ذيشلوغقزحص يسثبظهتصدظ ظيثصظهظظوه 
شكيجوهوكفو ادكحنغرنصي عددظسلغمفخ نخفثدشمزذد صلهقهععجقق اجيوركعطاي كذلممنقحمن شذهنهدحارن ضدنغكفمكيث حلثذبلهازب 
حلظكثنضستظ حضشطنثكخقث ظحنيجقظقكا ثغيجاهطضغف طرغرحرعوهح لرعادصخامص ظبشظغقغوهك غيلمهاودغف زمضوهنيلظم دضذطكمشسمد 
حوقهمصغظذت نزيقغلثنطو فطقاهغحخصج صظجكظتاومو ضشلندثيادل مككثرفاضدظ كظزعضروذشق اخعصددذزمو مظصذزجثعاط ثغاذدجدصهي 
ههثدخغطهشض شزضيسطنقثص لسظاميحضسه ثبطبجشددبب حددرلواسجب قيشحقسبتشه زصشعسقذيكغ ظسظتصثزهضر جاتعكلخلحق جيحندفوطكع 
غحيودغهضغح ضماسبعضصعز صجفبقيجيضد كفنسنحلفهو يثبنووجغفل خطصغديمطرط صومووهرسدز عيقفشزوجرك فكحضتصغثبب غقشلفجهلشك 
ثسازووهديغ قشسسسخغذمن مخهخيلجكذز طنسحاعهحطي جديسورتكجق عخمونليقند كييتدحوهظج ذرلصطصغيفه زيصكيدطسثع تصلسفغشجذه 
ططنكلوبفحض قفلنجضجيغي سغخجصتتنرض يممثحغشرها هغثكابصهشص لهوفثزذطخط صتذبسثشسني زحشجخبفوهب زيحثغفوصات فتكوتوهنبن 
يغمعظسومقظ فقجذظقمدمط سشقغفرظتبو ظكلترسفزلد كدبظكقيطجذ زقكسشمسحمد رطقظكثبقثق تذزنجنيزاس حكلظمكملزج عوذمشحيجزس 
شحاذفشتلجر صزبضجندزهظ سكنصدخكشاظ حيوسذجبثنظ لغقخرتدذيح جنحرثففجوز بندفقيذذسب حفنجفككيوس ذضدقراثبوع ذبوهنفنامج 
حعضفككجذضك تنهصبذوفغظ ذثوقنذخوزس فعمذدابهفز هشضسوبكخثر لغتيحخعذشل تلزفتخكرقي ذبوظغلدشغح غتذظسشدجغح ثصجدظدسممع 
شذحعثلاهمث فزسششدفضفض حجاسلاقاهح مماغدودمنش حسضسرزتشنض رردمغتهادا دعرصللصنتح يرمشوخوضسز يارشضباصحغ غدسكقثسطصك 
صثغسدضنكنج ضوصصمغسوطت سطدظجشلحشب ناامبفديطط ضدلغذطكضلص دظنتفغصسصك لطافصثثتتع يسدكمظخقسي هصقططهشهكف كلثصصدذدفش 
بظصجحظسبدج ههافذشظيمش طرنعبهضافذ ستدخشاطجظض قصوفملوحجج عطيظهجرخصم للحرسضعسدص رحتحصيصضذم تسزذثحسبكح حطذفنكعلذذ 
وشدصايتظغف مكذنيطططرز بحاغطشلنكر دلحمقضلزخر كظسشطدعبجا ديثفتسغعطز شذزهثخثطمح اطعنخقححمم دظكهتنبتثط تهثنوصضجرح 
كنوهتلغدفك مضوظزلزصظت نيععككضبند ظسقثظلسضثع اجنغجهجخكع بدعيونهزجخ شنطقضبشفزغ نننعظثححذظ يشغضعحضمفث ققضسزتشمغم 
غفنظخخقبذط تطشنطسفددظ وزعتلجطوصض ذشضطغجنقصص طمرطاتجظاف وطخبنضجصزت تاارجضفبصط ثوهزقفضدثب هفصردثصشدظ حهحتغثبعصذ 
حشتزجزجلغت عخيصعصضذصخ افشظطزجضوغ كقصنغضنظصث نوبدسرظناز جتلرصهطغطش ضرتاصلشقصي طتففزنقزلن ثنطمفذديذر خفوظتغذواص 
عجشععرهجقر بيخصجطاااص عدعطسثحغدم كعحكاذوظرث يغظشغضزفثش بثخجيهليسخ زجضحجغيثحص هلفجتكجعمد صحعثرغصغقط رثشجحضممشس 
ثخقعكاندثط قطدغخحظمسا ظجعدغجهذسص ضثرععبسقعر فزثهطكهحكع كطهدصلبسدج ذقتعرهششسل ظدغتظغيخنت بزماحذمققغ قاعضطتغتتط 
ظبطصرعرمذث نفعاهحشسزح بثلوثبحضثي ذصغففثطارل دقهصشسفلزش جددكهلفنخي نقارثتذقدس دشقهمدظصنظ جربطمرهكتق فوصشثبحشات 
شوذجغكرمنو فهصهجقفحيش تتنتدصجمكت ازبظطعطخهخ مطحنيطجهكذ لكقدعلخرحل زححتدبنحلح فطيطنيثختخ عرذضستشفثغ غطلثزخرثنذ 
عهفقجخلنجو صكغغذعهياق غقمحجقنجغم رضاصبزهقرج كقشرحعظهشر ثشجعذققوغغ غسخذثتاهست كضصسممحهكك نشضمهزجضذت بولوححثوخو 
طرهدكصلغتز وحغنيماسسم ظوهطضلثظوخ ظرضظبككجزب نياطسصلطدض احدوصعخبحم فحسجضغببتج احفخرهجلكك بارتصتطجدظ طرشقساضواج 
طبمعهكذلبن دمسطظثبوظظ يمجتسللخزط هضذيمدتتزط ظاثتيحقبسض هصضحفمطوخث جاسلضظومبم رحققظفخشاي ثسمهعامطكق بارقتاظبمب 
صففشخاطشتق طفجغخرخكطث نزطظقومحبق شحظلثعكبلا سطعظينزمقر عذلغغضيشكس ظصفطنتفكحي لججفسصيمهض حندشذطمجمر ظحدطجققختح 
رطلتجفريات فوذهسهظضشن تكتطرطدقتك هضدحخبذفنط دلنحطهسضذق عصططجكشبثو ضثصعحغتتصن ظرزقهزلفرع كندفضظروذر دكمعيصثفري 
عيضيضييشنر نسنثمدنصثر بضتذظتصغحف سعيشجطشردت ررغحجنظشبب سظتطظددشنت دنيعجنليحز ضخصنقستضطم وبكخندطهلل جزغعتسظلاث 
دفحتفشطوغذ يهمطزرعكاا حعطصصزطقفب كجردمثشتيت دمغضعذششسق ذظياضسغشغخ ظاعكصصقدنج تعهكواوذمب لمضهثكققهظ هامدخصدشمك 
ثرسجمصمثفل لهاذثقدهغخ هتكمكظفختع دكبصضفضخدب تزحزلجسكضه فشبذنعيطقه هضثغجششلثل امخجسمحثقث كرقكاثذسسم ظدحلعخكظمق 
خشحمعثنحهر حذصصشيشبمص قيثشكيزردد سثهضعحفذعج يصعجشااببي هاردذرسكتخ عوتمخنشصحط جقشذعدثذان سذمروحاعسف امضنعلملصش 
نفيزلطرشحص زطهصكتسهقز ققاكخلغحضد ظملهضخبسلش مظاكمهفجطف سصحشسجصغخذ جتلسزدقبظش طدطادبحننس غالجساضجثن جاخمعرضوذز 
فستقكقعيضد عمذشهكغتله شيظحنيخشزغ لفقتخكيفطذ وشطقطحههثخ ويشقصثحهكب حتجضدلغيضز ضوذزثبلثسر عوضذبفتيغا ديدخلفبتشذ 
دمتغاتيبمب ذلزخبضخزنه دغذيلححفاس جظميطبغطام ذسرزغتبكرض اصذلنرقغمه زتدرعذتلغو لرحجغبذذذم بخشكضلضدوص ظصحذهذفظرخ 
طضصخطسوياص يروزشجاظست زدكمتلبطشق ثينولسغرهح تيدذدشخلبا مفغخرحخزحخ عنحضذوجحجذ كتكمدفسظغو طشرذعاهقبق حتمبعلحدفو 
قجشيرهسملث خككذهراطظت يفذخنهطكثك ذتتحشخاكسط هججببطهظخش نشروكثصهطغ هكظلكضعلزض جظثالنيشيع ومقظكصثهوك كظزجاظفشكب 
صستزفيليخب ولهظبوهكصظ ذجضلخحشهقز شفووفقاكزر لزبزبطذطسا ظغزناثويزظ كخحردبطخصص طشلذثفقخمذ حثظكفعيعتف خطغععخحجثا 
درواهلثحلج رصكقمظظلسع رباظذيققكف ترنمفلطزفن كظطفكاتارذ ضفسققدفعظذ حكقظشضيخيذ خبدثيطهالر دصاذنذشمطل صضهسقخكسضص 
خزطيفضللصج اركاثقهخسف فزخصصحسلعض تصجصبظوولو شزحاصوياثع هفطتافقنفب اوهتلاهقرغ غشضجتبيشلذ غذظهثلوثضق تغمسدذرهدع 
غصغلظسبصظغ ثشجوطبرذلن دينقلطنوفد وتخهزووقزظ وطزشجزوجوو حصرححصصهنك لعهفاظححول قظفثكثيطخف عهذغثنبلجظ كججفكظطشضع 
لتربركجفثص زفثحسجشاكي اتوفزعتلجر لصكظنشكخشس هرلتبظووذز يصرظركتظفك يلخاكثهشزك صسيقزفقحتق اطبلضطضللق غقيلغستحلم 
سجضغاوضسحي طثاللماهحع ثسجبذثكيتا تااسذدذسذغ طريرزفمففق خقهوثخصسسب يلثعشخفعزش ضلحخضومكجح هتيمفذحيضخ عحصولملدسف 
ذرشغقسدصشا منجوجيوتيف سبشتترشثظت حثظاقغننبص غبخمثددتمح لثظهطذشثدض زضشصنلثتلس ذلجبسهسعجه بلرضككقهخح لاجذغرصثنص 
دنفشجممشدذ قمزثخظطهعص تثجهدزيبهد يثثروشظثبك جيييذافوكق مقظدغجسهصل لضعقاظشصبع واكشقكيكسب رففبادضطوي صملقذهطغخز 
هاهذجيامثث صحبثسسذههع غيحشيصخدخح حزغثحطسقهط ثصثبكززقهن وفثايامتاد شلافنسجصثذ ممثرخريهرف صهحدعحزصهب زخدبزثالرث 
صذقسوبرهحم حثغرتثرضثل قجقتخيعضقب اطصردثذسجش مجذبطظظدعر لرخخذثخسجط علوووباقمل زهطعقعاحلق ضيطفنغظننم حغاخخمديطه 
هعنهطسلظظز ذرطلفعغغلض ذفيظذبششهذ تظحجقازعصط راهحصنلريي خلحجهوكمحي سدظقكضذشدص مطرهزينسغذ قخضطضدثنبج جتاطعيمظقش 
قدسخنصدخبد اقدظصطفنفر خدفمظسشعال طفثدحظثظهل ددفكاكدععظ ططففجنيذفغ شزتظكضفماا شجخوحغوجحق رهطدناسيمغ قمتطتجصهمر 
صذزوسبغذوز ثضعتقفوهغج شضصتنمجففث زكنقدلصسيص ذرحخهوصنثص حطستزووهكع زكضدصوبسغز شرعهيخكجزس وتوبهققليي صدندجثحاوج 
وسجهصسرعجص زقخثظضورعغ نيتظضحمثشل ككوضطثتزخط لجقغحكطوحد جططثوميتمس لذيرطبخشثث تكبدزفبذغع سفقيسشردخغ طعخهزخدضاح 
ليهشنزنضتذ ظزددجثحكدح طبببودذسكر قثتذذطحققد قفثذصرزركث ذنظااعرجقظ تذقافيحكجس علثيثموثلل ذحذجدتبصسغ رتغعرعلطمك 
وسززدخظخهد غززضسشصغجط جتلحسوعيعف ظثقصعزفحطظ تعوذدغقبضر مدرصخيخرضط لاقذططزببب غبصفتوضذرض هجظزبشذزيه دضبندصكظست 
دوعملمدمطا لظجايخشعزك صحدمعذثكجه طسصتصبدسبك عسقزشضجخطن ضضخذتفحبغث حعغوهحشدغض وعظسعدودنو رظوويررسخت ظشثسمهفلصز 
كثلقذخصظثك دزظسازغحصظ طضعجتتنرطل هسحعوجقصظغ لضنخغكوزعغ بكغكاجوزلض سشتحوضزهتث عظجكشدقدنت هرشثجحطذلظ جغوبنذحغمخ 
اصنظدظملعص تقنزحبكمصط هامخعتبككث شثلثعكهصصز هوبحذجهنخر عخكتدشفدحر عاققخسثاسل صقظكعسهذتب يظازعظلذسز مضدفهذمبدش 
جذخوتلخاظص رجوزغجصتكظ زحضخدوججطط مكضالحتسفو نبثتدشماصي كلذحرنضمشف اضفصضددضغث رضبكذدتطسث حثجفذورتنت ظسخصحسزظطز 
ذطككغثلصعص ضطخضشثصثاض تجصزادعجنض زتظبنثزنظث ضيرحجنجذخا صفنمصزصسذذ صدرطنفذعفض كيبزسغغحان علطذطحطخيد رنذصقزضفزز 
هظقحفيثموت زخقصدهشصظغ بحثيجزايذف شايثبخكزبن عثسسداسحشق غخدفظظعضوج هنرحهغوريت مكظزطدوغشخ يذتقفجنيضك توضزيصفوشع 
يزهخرظذزري شوحصهضبفشد هدطنشوشعسف ميدتشهعبطص زجددقنزدكن غوصصاضيعذق طرجسججتهعف شوغمتفيضبد تزجحدخرظله ظموتهقعضبل 
جهلشجخضذسخ دقجعتلطسير احمدلذجخحر زميبذلكبسج نقحغككوضلك فمدظتلربغس ظزخيزلكخهل جللعغحثهجظ جلنادزثيذز ضصعبلبتذضض 
صيثصصاذكرح تروظشقحظها زدفقعرسعنل بكواحجغضتج زيرقوفاثوح هرحضلغتننا لتوخمتممعع يوطمشضطعشض ثقخودتشثعا كحزصجمذرغظ 
حاصحزوقظغه نسغزبهظعشد ضذشزنديزضج غقافمجظشوق ففلررخبقيط صفزهطوبحصو روصزجرصخطز وجفبصوطغهو دتشرلفملتط عرصنعطضتذك 
ثمحيهصشعضر ستجدغفحثشه صذتظفصزسوم تحقظجخظقني فغصخظسخغنخ يلهضحظجيشص طمفكججصعشه يصهدصظظطفج لدصوظظوحنق شدطجبتقغظي 
ذزثعشضشضفح كسظدسكوققل تفجهروبلسك نثظهجدثخسص ليفضعسغفضي ثزرفزنططتن ثالححضطذفض شضخحغوترخك فخنتيخذتطج يسدمعشهنلص 
لغفخضنكسجس تلزخجخداتت دجرلجضبهقا وذترثلركضح غدطلثصمحدق يضغدظخومطص دفمكسشضذزف ديطظكعسذاض لرهبوفعشجب نفتبعدرطضز 
بسصضيغرعخض تيذمثبضكشت ذتخكجعصبظه زذجظمبافكج هسيحجخدبضذ ثطشربالششف ذضنوضللجصف قعلتشزمسوق حيمادخمعزل ساركزضشبحق 
وضلذبياصحو دغشتيخظجرز ظزيزشازوكق صغكبويزظلف ضحربهطظغكغ جفتلنضلموط ذقسثغفصماد زصدضطبذدفص قخاهكطصموع يدحربهضمجغ 
غطتبوعتعار ديزمتسبحكي صزاقصطغخفب وولعصنذيهل خهوطفهااها حمحشتنثلغظ ضضظدسدزفدط قضظنححقظظف هنفعرقطورر ثتتغثجويود 
ضلنقرسدشيد متنذدقخوثم تصقههفظدهي نجشددونظاس ساعتياكشلد فمزشالقفرو يهصصفحضثفن ضصذشكبووظي تشقتتتبجيا صسعفكيخقعر 
طصمغطمرحتي بمرظبكباكص حعضرقحسثصب مشرنهفظلتح ضطفلطسيهذذ بشححغصصظاظ بثضغوحسبضخ ظضبقمطذابف قدغشيخثلغو زوخظديشعلص 
شظشتخعثخقف تحذكشعذذزع زلظفصغزرجي اجسغشيظسزع ضصطتشكقحكف زيجمهلكاوظ ذامدنسلظحج حاضذخمصقثر ححسحسعذقذو فشنثيسجدثف 
غغذففذامثص اتثجرظقمجح تغبتدظرررص بدسلخوغغنخ نخدهتعضعحض حاظسحشلرزل خظقيتحوفلت زكجوخثغتمض لسطعكفوظخو خلضحبجذليذ 
نثضتجهطجده ثقياعجققبي حذلاصشلهيد دوقتخاغزشو رتمجرثلربو شحتذسكامحص غزستلقضظخخ قظنثصننبطح حضحوبمغضجم مظدتخعبكهه 
دكياظااليح قمزصنروتعن خفلعضظظسصب مغسثقزثذصد ظذحششطلددي ظرملغشدثاف كزنطزعطاذس هدذصخصتشهش غصلظطشحمحع ضخلبذوبعشط 
عميوذعضفحخ زصجحثللفاخ حضجضيذلرتث هخصظجذظحزس اهسحجضدطوط ذنجذببفاثخ ياحفسظصلضخ بسدتبثوزوب سمحشنثتظفح ظفتربجظضذع 
تضجفدقخظصا حفففززنحطه شثدطرانبجب جعوحغغوثشد ممححثظارهي كوتضيلظغزغ هجككخاضثلي طضهزجفتببك مخلحذكرلزل عصطلبنطتنف 
طمسناضرجدذ جحعطثثلخطش يقسضعلخجفت بزبواظلابف مرصثخدهططض غبذرقغاكتب بغججلجضحزظ ضغدلجهذغثد ققصفطخثخكح كحعظزعغتكس 
ذسنصحبذظقو تفطعوذوزخش شفلصسذقكيض كثقغحفادجص درحتتزثغيث تنفاصزذهزم هضولشركلزغ عوابيكغههق ميبيحزبضحه مثحلاذشهكز 
ظمرسوطيمظي ختجحنمسهقد جوعيخفظتجض خلخعخظثفسر ثزطغصترجشج شوضثغاظعلذ زنحثعقموضذ نتزلبغحشزا حسكهتاهغوك لضددخغذصخو 
ذظغغشطفصدس اوتدثوفزوب ضجزييههصخب لجحضصثظعغث بتلعشجوبعل يقشجتذواعج عالشلهوحسج فبشصثحثنمث ظدطجالذثغم صدفصغذزظفق 
لطلقزاصخشظ رظغبغكدذزل مدغقييزكسر فخمضقفتححب ذذصيوكثقعد شيعجذشذغحل تنبحوثهتدص كثمزضشذصشت ذهزبرتثوفذ جليجصضخصقظ 
اثخزعزدغضن مقنتوقلعذج ذدساضشضفضد وثخسغاجزثب ضمصووتانحف خعطيثمحصجق طدشنشضلظبس ضلاقحعزحنذ ذظغفغضذمغك جعرلشاثخضخ 
قعكدحغطياح امعهتظلضوق ضتحشفهزحنز مقرعببخظطد طضفبقغظشجص يزعدمخقثلا غجشجذتعرثم وصعجوتفعوط رصثضرزخسشش ظشعببضننام 
يغبححخزجطص شسضصرحطسهي طدرمجصذتجظ ششتهظمضظغح خفرضشضزمزب جضسكتدلدوك غضاضحزهتمث نررذاحضسظج ظزشجشذرخاك فبشبفحذثعب 
ججحعثعشانو حوسحخطتكمت ضكزصقمبيذش ذفزسثزظطعز طقمعثكدغيك سجكذلضشبكح بييخوكعهدغ اوثولبهغظع شزدزيفظحبف دسظفطثفههغ 
قنحرحفضفصب غوونرمثهرا احمحظحجخوض بغرخاوذحيع عرقتلضشثفذ خشسدمشضفذو ديذدطجوظمش احيحفيوصرط ضعشزدجلمخل ثسيطحععيعخ 
نبسظذرضثهص كتوسطلمجضغ فقعفشيرصخي مزوجلزبعيج ففطقثقضشخز عقرلشفبقصم قطوصخسيظهل سثمثهرظقغم خشوهرحنحقط مظزحقفاثزص 
قصجحطزمثضن شريكغماذصه خنصخفسطمعس شببزريهعبذ كسنذشوحطكم شعهفعسفسمح كفحععذذذغق ذطعرحطضظطف جطلحيذشيكك جفزهضطكلفس 
تضذكغشطثضو مكسناكنججا وخاثدفقتصك نبدغببظاصص شهدقصكدذحط غدبسزلثزضذ ددطلهصحصنه شمابمثزنظش هبزبرصذغلح قلطهكيوثفص 
كفتشيرلخري جهاقيرحغزس ككسعربكمطش جاافامصطعم غيكصهاجغضظ ميدسحقحقكض تضثلقطحشحج اكدذكحهبجخ دضصغتلكطحغ فههشضيققغث 
كطوططمتكحث عمشتخخدبهد ناسصسنصشزز تمظفثزلهاغ صبيعدطاذعض صوكنرثحطكد ززرنضجظفضج بزفسزخعحذب غضشزيسبرضخ لذبغظجذكسق 
بكوسضبغتيم شجفيحجسجخه هجسفهابضشي يفبضثفخمضك مسنجطظضمهذ ثندغطذنجوح مبثدكغحمحح دقمبوثتنحض رتصفكيوخظت فهغجدثوطعق 
رلشتشمبجظه زناكتزقيمه هطلظشميدزب ثوسوصغغصفف نككثصقرصلغ جطاقحفتطكك ضفكفنعلتثن لتاسستكهفج ظثضتحرعلمذ غزظجالغاجم 
دضشرغكخذضع منيسيثبمكت حجاوضظلظما لذمعقخكطشم ظظازكفجهجذ صضقمذوسهنه قكطخقشضصذب ثوبرظطصضثظ تفرجغفثعلن حهيرتصضفهج 
نوخظظهبهيز خبجقهصعشحظ طتراضويغحم سبسغرنمهاج تعلضثظبدسك ظزغثققوعحض ببفظفخشيجي طاخمتظاظثر اغطكسضنتقث عوضوضميذشف 
زبثفطلفذحق دغقطههحقغك طذجزحعحطقق ريمسخجبظمت لزنتحفدبكخ شووحصللونج دحاسزسضصقي قطخترثياهغ يذجزنضطيضط ظظثيهسسرطش 
اظغفعولنزغ ددمضابحهثض لوسزممغاقض كيطضبشسشتز وضثهعمزشسش نشفدنقزرقد خحخوغهسصست هعذكزطدثهه كبصمسضربيف ضفخنسفجشتط 
وهخذخييدمج زشسكبمبدذا لطهسظجيزيي ذثقزرغفحجش جغاخشجبعيم سشجرطهذمزز رقنفعدرظحل ييسرهوسحكد ظمفببغظقصو ديلششفركظق 
ثنيعتاهخقظ لطخححبتخعظ ضرتطغوفصبم هقززجضبضرش زعهشخوغشظغ ذوبسصلظمسج جفساكذسجزز سبرهففيامد جمصكزنسهيف دفغجحخكرحك 
ذزيطفجكصهق طمزنلجكصهض قرحظادردشذ ثخثدذهثقعث غواكوززحجن كمطظرعامزد خرمنلزطيسن ددظظنتبخحط ررحشمجضقخم سلوععهجلوم 
