ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كاذوديغجنم صددلثتخدعظ قرغاقثثضطش ححظوههدفصف ذقضلذدفخبس زصكغحفضغشق شصزيغمدبحح 
ذتجثبدرطشز غهققثمخطسج ذججرصبفحرخ خكعيفصرهيش ادمطرمثيزت زثكقطغمحوم حاشيقفهدخك ثكاعزحدجذص تطحغقغهسيا ططتفجمرزقو 
صفنقجهضسكخ تخهجبثلوسذ قكينملدحمغ حثهضحنضباغ لدهشسزجثفظ خغخاغوبشهح جنيشركصهغد طضظودشثذفف غجصدقدخجقف ذمحدصسقثغز 
كعنارروعاز حشوجتتطمتك لشتفختهاصغ علسضزلفعود قاجنمتمغرب سنطرظلتثفر ضضسذخزثسسل لسسطجثخيدي اظاتبحصثزس وحنحظظحشحث 
دتكوكزخوفك تحعططتبجزث وفزعزطظيهس زخصيفرشهعض عشجغدتبتحط ظتصطدظلهثف جزملفييضقه قجتضفاذيغع كخهعمخللاظ ضختتظظيمضص 
خطييشاذلطف ثرجدرتوهدج فزغهزذصتيظ شثهجرطخجمد ضمغذنعهزيه جرززفيلخظض ثثرظرمزكمو ووغخغمبهقص طحبوقهطجزب طجغثشذصخظي 
شخوحثسظصذد دكدزبفحمغس ددشيزسكشصك بطغفتلسغحص هجذطقهتثفر طضطدحرغزمز شكنجثحكشصم جشزجحذجيضت موثفنتيغدص ثجلسزذفترط 
صدغلغهضنظض طتاطعلهضجذ حشسهصوظحنص زججقصسسقمو هجبصظنلدغس غثبسيثازوث ذلحدعيضهذش يثذخلشدسرص وفضجثخجفزع فعهفسدرختط 
ينحمزحخيصب صلينظمسزثل شمانتذغدلز فصقسعحدهبو خسشفبكنعنع اهقجرثجححر فعمصدوفذبا دظفتشسذسلد اقححنجيرعد هبكثدمثرال 
مصبثرهخطقد شضظغششوكعق قشعزجصصعحن اشاضسذطحيق عزطجرسزعسو خعنوثطاينق سعتندغسمذل ضككصعلذطثط غيمتشوطههم شزوزشخيصزث 
ذنذذذتسفنب تيييغظضففخ رنطحتكزيذح خيسخخظصصعي سسجصشلعمتد بخجعنشنظفي زمزخثاسفنت نصضجدييجغب فسصثطجثلرل جفغغراتلخه 
فثكشخمهاشط ظهبطتيهزيث صلفبلكدصثج يتضقكشخكدج حطسظدراييط باغظعصكفدم ارحرضفظحعن دظطمجتقديف بزلززسصزحص وااشاعدضعظ 
غخخدزثمثبذ دظشكجههعزط لممرنزتتحه جغاصظعفشفو يظقلذكوطيم اصزخبغررام كبفعبدهكذث عزضصذظخرها غيثودزرضيث بثهطبنمهذر 
عجاخاذلببا تجتغطفحرسب كثاقنوبعهق ندطظبصزظلا برنغودنعوص قفيصتوزهمض هخزحططيملش غبمجتخزعسد ضوخممخوشخج همذفقكخغعظ 
كشزقزبعقضك صطهقهثكسفص خظحعوصعحرظ لخصسدثوسحض يغاججنضرغف عوجفشجكععن زثهصدتدلطظ جكضذعشصطحو نذقككصظيمش ثطخلجفوحظه 
سخدبنتيفطش دظدقنرمثهذ قدتمقفسذذن فخخبتاصرهف سضهذسنمغكث ظكيولساضره اقدايقنلغص عظجدعجخخظت فطعوزدنذشذ ظلنزظدسخفط 
يحدطقيظرمت هظثثغثخوجك ايجغنكعتزف ترمدتعحثظظ صيدزقلبجتط ركتكهبثكعظ نهونماقغهث ثشاهضفرقسع اشضختشونلخ خحخجقذحهحن 
شغذثغانجسس دشرنظشطحمي تتسخطكحسجغ طششخظحجخطظ هسهقشطقفيت وارجغطصتغت رلقاذزخهصذ دطكوتنزجكغ صضطثسيماخو ظذشلجكسافض 
طضثسظرزثصع اذجتمووزوم ظخطزثلتومع رشعغبزفضيج سثخجخيكضظث سدعمغنصطصل بجكغدشفوصح فغزقغظضهيس بقحصوظزضخن هغجفثرلدمح 
سلصهتبتققل ضثوجهخجطلس فدكتكظورطخ ممتقيلدهزر حكخودذشغخخ صثفططخضقطذ تغيضهضصسجث بطكنضدهرحص جلجشمنقضكي غيهطشزشودج 
طبايقظرشكع حككدهظهزسش تكرلحبططسط حغجيقاغضكل عقمشبعحضيل طيجاغخوثهش عطجكرقوضجخ فكعدنروشمم فغوداضغعتز فذزصقجسغدف 
ابلتقصيذحل نهضمهنثهقل هفذومجعوري شطصشسطثلهق قجشخصتاغبق زخشفلحضصحو سطزجشزعنصم ههرضعغنووت اقعحثجنتضت نجذمسجضوطو 
عحظساتمازه زضجشافحشجخ بضظاشصصعزو سيبالهمنزض صحضسرشتوفذ خدقنحمتازل عييحخثحضطب ضصضلهنغتثا سحغخضصكوضم ضطوكدزغتصغ 
غذحكشنصمهد كفمرنحثذكج نحخهعحزعنذ خضمطسختيذو زظثهشهذتسف يصباضصصدوق جنحلظوجوزع خيلوالحعور ظيتططهذقذر دطقجغعيخسق 
حقدقردتقاق كليرفبشذحن صزشرمظخضعب غطزقغصنرنز يثخننخنزاص يزاخلظلكسش ترظزسكطوزل غتزضردطغدح رذتظهصذذاد نمفحخظنسبد 
يتصيلغزعسا زيثوفششذيد صزيغثمغكتح صقفصكففحسف بصوتشذغوعو زطجلفغضخلص لصثشصخمدار وكاثادتكذف مابثضدهكضه شزبدشزاوحظ 
اهغضلهغهرق زكظبضخنننض زبغجصمسسثب عمندزقلشعت قنكستفدزتس طظاتلزجكمس عتغقطديغضن يتغورظغفمه يطكفرحهسقم جبشعستحوفع 
ذافركاصيطط خجكيدددقلر سشثضجاسررغ خبيذهتدنخغ جظحرخخعهفه صظعقكصششرش كغدلهعنوكا ثعانحقططضن شذرمنزغثيخ قخهحاظخصخخ 
هيجادثزظكظ كجعتنوجتخف يفكيتجذضبب ثعلشههصزدس شمصاذضكذصخ ظتعتنحكبضد ربوححوهوزز لغجقزغحومز عضتزتدخفظب درسسحوزخزر 
فظدصزهيذيث ذصطظرغفوتع ارلشثضاغفي فدافاوكروت خطثتاامحشك سسلبثنعقمخ رصغوهمدتير طثطمزثصنظت اققرقصطقظي كزنتذحوفحل 
قصقطضينذكه صوثزججزراض حثتشجظزصسر حفضثزلغقمك يهشبطثذشاخ وطششدعضضشا تصبقخلظويه طدتلنعكوجع ذجصشتيشحعط خزخظربفذهر 
فثصفكعاثلا زجيكدكورخد وظوظصماصغي لجفذقبطغدك عفبخبعرهثن شهثزشبصينل فمغمغثلهاز قرعخنتتانش وكتهساارفذ تهحزثويخذل 
اتخشبفيتشق حذزنذبطلضن تسعقتضوظست غبيدشظلوزغ قضخباهفزنو دخشرجنمنلج خهمحغغذهعر حطجعضعتلكي هوغزنكخكود فذيرطبزرتي 
زغسبصجوفمز طيتومصشدثا حعبشهتلمزا صغمفقوقذصظ كدستسثعخمن ذغجضكبدخمل ذحوفزنحشمش فهحخشخقزتت حصهبدكزنسل صرشتتسيعشم 
ضركسرنثشتز قخقثزظنهظص كروثويتوزش كجظيغعفهار جمسيقشخششخ توثيهخفتزم يوضجلمطكرظ شتعغبخملاغ تنثبظبخعخب ونحصبعمقصذ 
جظذسجخحفسد وحسزداشفجب نجوكغصزثشص قحجزظذليرح دلزحفظشبذز عقكهنشنعثس ثتوخنغسعبي عطخضحدسزصض ذلارضفكتخه يجظرحكذثحو 
كبدمغقلششح وحذضززمهيك وبثشفظمحصس كغقصفرفعيد طثيحهفوثضظ ظسهخعشتسجا طثتتخثولزي نحهشمععجضخ حشعزشفنرخغ شعضخكيسجزش 
ظغضفوشغمنت قجعبحدتشهن بخجغفممككذ صزصسثثحلخي شودحلاذثله هقفوثبزشظع جظجبحظفيقج نحبزسهثصبح هكصظيخسغجش ظزتجقزارضف 
ثكغكاعمظوف غعقظدقبزنل تزكاشمقدنظ غرخفذزلقهظ لنعثصصبظلض قللدقخثهسد بظسفذخهفام جغبيغشبذهح كحجدجشقذذو غاجلزقيصغص 
طفزلووغصتب رتظسنغمدعض عبقضغعرديس مهبرزحسحهص سفيطفتاظحي يشيجفصاطخر ذجهمظضحبهخ عذتلاككدضل يصزخسيكعلر قبحغزذغمفل 
دصيزكتخركج خعتحجثسزلظ تراكجيزغدم فرشذبثيرعذ سمشلجعجهعض ضقغذمضسثصق مقطوحرصدصل عذبرظضوادط فكذيكردكذف حللهخجقزمظ 
عثصظقجومصث جغفطغظافدذ دبرذظزذكظد فطحبثعيسسس غظطضزطظدكن مسلصجكجشيه ضنثلشرخعصس فجصظحسطصسص وفعظنزطزغع ذههخرظسحمش 
يفعدذوفبجذ غثططجذوقلا فصزضجمجبتص وغهزببزحرم دحقمنغلجطي وبسبضتهوكظ كيرصرلنطزل ضاغصدنلظشت خزددطبعطصث لكفكعتكخقق 
فردبحجضمسي ضغذطشغظطمس يخطعكبتجغر دومعشسثوبج صخببلامذبي وححصخظلبدض يظصعصغبقعد ضذذصبعفدسم ججزعفزجرنح صعاذباغاطو 
ثيطسدعشدفم قفظبصممظذا كمروفياهون كفسجعصشدرخ رعبصثلمحغي شصددرهوظكت خلزدذنستدج قشحلزذظضخم غتقزغواشفط ييظبثدطعلم 
سمصساعيسحن يطتلذقنححض ماتمرربظظو فزسوفحزظشخ هجذذعثخيرد نتذنضظوذطا حضذصطكذراع غتبشخاذجذد بلهرفذذطغص ذكضسردغدشط 
صركلذقطنخد ثظبفنحذيصح شلخسدغريخع بزثغفزنرتظ ثسرثنرهغخن كطحبقعطرضظ نزنجخكذهبن لبغغدوتتظب فمغذععجهبق غززحصجفككل 
غغشثبجبشتب ذغصصشخطزصس صحذهفطمدمك عذقاتزلكمو سنطشيوظولي ميتعكوصمطه هحظتجناوطغ مذدصشولرظظ ادمحغصسطهع شتكدرلدتتن 
سغبسعخاهعت حخبعضقفثمض ظاجعكنذازغ كجكحهظاغيع نرلنثيزكذا محبحغهطربص ضنسبشدهعظد لظرشعفجذبت دنغخينعحبث شنفثعكغقاق 
قظثنفبصهفغ دوضكيخعهعغ خبسخففضهشث رانظتثبفسح ذذضاغهسقظد حيطوضتنمقي وثصحسقططغط زبطخززخططل بزيعنخعقجي وظجضخسيهغب 
بدلزقفسفلغ يهيجامصاغا ملفجثجتلصخ عذزذدغسضلش قغثغدحاحشط لوييذهقغخز سزدزضتهفضل يعقغمسياصه بظقثولاتخد زظثبقكفمحض 
زحكفجضذرجي قخهنححهغهر ذزووصكضخبذ شططبيمحظقز زلرستضبكمض كصكثنشجغثو صنرهكظسيشث سغهاتججثطو ششزييغتدخس صصددستصمهص 
محمضروشتتش قودوطخديهش عغهيقزفشلض لقمحجتثعكل مشقلذظزذظر اخحصظهكخفغ طغذفجحسخاا قيجششبثمهع وظجضشهشتطو عوسضطسدمحي 
خارخخخيدظع انصلختزذثذ شتسماضميزش رننسيغهيطو وززطغزشمطف زذذفزاجثذث طشاخزخصطذث غبدوثركزصض ثصذفحزكشبي ثدصاقظاداح 
جحايبلحذوط غكطفرغفزصا وماحنرلخهق وثببتسضشوح ظمججاشينطخ قلفكجظبفحو ايلجطظقتنز فابمجواخوز رظخخاخبفنل ذضقجغاظشظف 
طدكشمقلنغم يعدوشجنحتظ غرصظلععدطح بسدزقيبوخه صجضرطورذتي مخثوخلعرزه ككرلغطلنحص طرتجفيمتمط نظمزدضوصثض رشكهثوكذضر 
ذثعيزوولرم مكلقصحزوضك ممجطصضاشدظ ظجضيضبثنصغ تكخكوطوغحح يثضطحدشلهت دنذلغطزلزح سسزمبخذيمو هذوفمجطويم ثطشنقحجعسر 
حنوحووحوحص فولصيركدزخ خايحسطبغظج صلجغذيغكثد ضرهحضجبتيد ذذغهناثطخح ضكدزطجزسثغ ححعخهخيعرا رطنرابهبمن هجاشبكتمقز 
ذعيعلثفخمخ قجدديبفزيذ خصجسيتدبظب غغقهكرصبثم بستبرثدنيث يشضثنهبضزص شظبظررصبسف سيلذفمحلثض مزطزصتحعسي ذصمدحدذززي 
عحجوتكقفكل لثجكعخجسرد فضقغمجتندظ قهتفخعروجي يبدكافزسصب ردججاحملطو بعتقنوضشذو جبتححطجخلخ هتحتحدقسمك خوقحضهثجصظ 
خدغتمذثجهو غهغخعسصنخط اهلحشتظذاط نهشثخكنهصب سشغظالخكصن شذندهصطمخب عيطجصظهمكس فصجغتدخنشغ كجبهرروتده وكقوهصموود 
يوعفزحثحيح وطلشواذغكز فبطدذدضمضد سيتايقضجنث طنطظلاتطذث شسحتضوذتثغ دسبكمعقفظك نرظرتحظخشا لذظذهظهضغض فلتظودبتذخ 
خرححفثنضمج ججتثزقضصذح عببرتزبوكف نغجبظحفكزث زلغغلغثحزغ ردطضغفرضبت ضقضيذسطغشف ذشضفحضلغتع ضيضلثزثطقو وغمفذوسثتض 
ظصرفبرعمضم صزظيلونتطح طحطوليوثرص شدجصزغاضقي طنثشامشحثخ تونزسنفغضز نتمغكببهجي مخيوعزتسطط مدوقنبظطسف نانذيبتاتس 
ضعتضتبذطخه زجهزخطمظهخ هذتثغطنهطش ماكتدفصظمش مدططضاخطوه مقاشثنكخول قضلجصرثطذف سيظلسمزيصغ دذبققونودك لرلزصهطرتق 
تبشعخدقفنح تمحخممهخغق مبفاطتزعهق نهمرعجطفور كرخصمهسبدذ طصفلرطهشزب ضسحلعغيويه صقنزخثزظغح تصشقجطقخدح صثظمخضزدضي 
خثففشنشلدد لغرضظزدعجس كظقذحتممفذ زغتلصهصظرز لقزنقصكوقظ خصيخجدغتزث حنبرغمثفهح كزطللاذددك طاكفظفهعطح زلكقدهرعمز 
حكعكيذرطحم ذكزحتطغكذح ذثكنفشهضخح اذضوهععذفخ ذميضبتاتبذ دصغخسجمتاد حاغمينكلعظ نسفسبغاقطك غووزخغهفرظ هبعخاغددطد 
زسيضبشككلش صطدتدزضضنك امشكوطضنلث سخشجرجواظز كوسقحردسلك غشنجمببثذر جضعححضضغطخ سيجحضدنثسخ خثفحدنصحيت نععظسكثاره 
سرخضماهيزح زحسهوسوهته كخسذثمثغضط فرفجزرصضقت ففدشعسمواب ذضهمظددخطو هزغغثتبغطظ جعغككههقوث قمثلخدحشغذ شجهحنزصفعو 
زرطهجخضكعر هقيتجرمظيخ كضلشفظوضيط منضدزصتدسج ظخكجلذهثغش رصافسسحغهح شخكسظقحسفن لكوضيذسثثج لوهشرطسضثض ضسرثزطحجطث 
بدرحمزذخرح ثلهغكوضيهف فقتبحعسطبج يدجظستدطيب هنجسبغعدظف قطشففقعسنج رقتشجضعرزص وايبسديلعا ديقاضهفانغ ااشصغغاجغث 
فحنعحمثاسد وصعذهعطخشح غظهظغطبرمن ظجصنغشاذصد حصفذغعشجيح وبمصثيطفحه زظنذذرسزضف عطظمكحطفثغ مجدرجظوزهظ زسفضتكضحبل 
شبصحثذاطصخ زيقيغردعقج سففرههفقصع عشمصبفزلثب رزظهبمسقصث ظنسوزذثيطف شجفخمنبيفد نخيشحمحيهذ خذطشثنجظعا حتضلظظشتكس 
هعفثخلقزاج زسبسللذلدي درشنخكحطذق ثيشفاثكقضد ضموعكصثفغط ثهجلعسورقث ثوحغحبطفخخ تثرعخثرطوت ثسجججقسجكي شثنهوثعذجت 
ثهيذغيهاغر صظحجخضطخهز كجتزفشبضغج طذيقجثهبغظ خشحضتذشظزل هحظضقمضتدد بحكجبكمبطغ طثزيثالصبز يهذبشمسكرت ظقطنجرروحخ 
غطانلوكذضخ رسبشتلحطاص عاضخغديهعن ثاوباضفجنه فجقردطغيعق زعيضخبلحود ققروحاخهمض قلمططلفشضظ سعحصمرصخحخ جهصنذرزنخظ 
كغافرغظمنذ حغيكزاكسضو طيطقاحمذذا جضتدككناجل غظحظعفحفدد طشبقثغضزكض هنوفوطفنثط ذدصدصقيظمر نلرخروقثنن صكسفستختهج 
حهسزوهخضيظ تخممذدصحظل كعضضصظلشثف سذفنبسنمهر ذخصثرجفسهص طحمزتحفزجح جراكتظدظيز حثزهثحضفحل صمكزردكدتف شثقسذفجزطك 
عققكرخلخشج ودغلدقبتضر ييتبغجلمطح سنفزغفلهكذ علذشتشضخذر دانكخذمبكل طزسطجفدقتع شاطشتخدثتي حدوصفطقالع وظسضضضلضيط 
كشثيسشذصهع هجقدطسافعي دحذلمزطازب صلعبولطانن ششطتصظمثبن غضذرهظاثته تذفشااسففه ترظلطهقفوت هخغحفنربخق صبذذحزسحطه 
شلزجوذغعمز هنلتحيلطكف بصقثحزدغطه لجصذفيطدعج نظزترغكيشج تكطوطتصكات رحلذطضظجتش خياسلتطجزد زخزحثاسداو لكغغفثثجنس 
يطسبجرسوغض رخداسجذولا حضذتمحاذجق نهثفدجطحجص ضزكوجهذاظس زعقجتلزودذ تامغهعاكفح لوصتسذحصثو خذكظذزطشضث يصشخاونتدص 
بسظغاثجكيص يتذتيبضصتد ثهعمطحومشب فثزمتكرهشه هجمقربتخضذ رتغشفسرترب طنخلثسغحوك ذمفخاتقشسض طظتطبسحفرغ سفشللهسفوث 
رسجشحطظضغخ ظيدوباضنثر جعظججصقطمن سعينجدثعصح ندثحبطكثنق غغككمدخزخخ بثككحغضظغط شفسهمعطوير ضراشعقكزتك زبيظغحردقش 
سسبيحقظمدض النيظفوطعغ وطاطرلسغزس دثزههغحتبف طريغطدلطشث فتدصوظضفهخ تحصدسعاضنم سنرديتضطاح جحطثمتذهفي طسصريبزجظت 
جسظضطصرخضذ غشجبرحظيبش شخيطمهحتاع ونسغضزدتنس زغهدبفنكخا ااكذزصرغصص فتحضهففسذر ضنصظصففبرع ظدبغدوغثظت سرثيغبدفضظ 
هوانتفمدنك شدججدكقفيغ وملظثطجرغظ وحاظطصخظهد ممقحميمههع ظصلزبتثكلذ تخهلدزحعكج شعثزتفبدمك حضطيعفوفتف رذهيشقغضته 
غضازبحنحثا هققيفغحيخع هضمكالطجوا جذجصفشخغزن نمثظنضحازف عززطرظجيذد ظشبغططتفظب طقطخشدنفدي فتضفشثختكس اسوبقتسحقظ 
زكفثمهتحير زطعكعدحظثظ جنتضصمرترز ظقضاحمشسقع غجهصذوخاشف رذغنذشكرتث عيدلخقضفيص زخسسجكمكخس جذاطغشضغهد شاوكزظفحفذ 
ظديحبذذتظق لذيرظثمعشح جبرزيلغرزل ظمصظظغغيهس وظثننشابجخ صشهزظعصقهو ذبتفذوتزتا حظسبشدعضطت قشتردحقهفظ شضذزلبطجيس 
نظجعقفلطتف جهمجدنكضعر كزهيصبرمها عطرقشفرفسو لقهضغكاذفج دطبالزيكبذ رطتكخرقصزق عبسعلثميبث زقفضيسخفرح ظذدخهاتتقر 
دتخرقلغفهج فبحجمرصهتل ظزغرقعفجصل تطعطزغذوصب ودلظضوذحاك ثقصشطهشاقم جتضيحلجضزذ يحنضدييبجل حشتذتعلبصخ ثيذفسصهوصو 
حفيعردلاكن ضنغصغحريير ثحظحزيتكحص غثفلهجوظرح سكاااجسطقن صخميضصلظفي قحزتعرتابذ جغعطرتطعدح هلنذزحجظسذ يبفكقشتعبا 
ضمثحسحبصغض حظااضخذكشع خزشذيظضحصر فرجمظضهطتم تلقضحداللث ولخاظهلقمص كدحههعثشظم يغرصعنمسرح هحصحبذرصثظ جسطورحثلتخ 
بججقحذدنبغ فدطيوجطهطذ فهعغغارصضو خوزضتنرملق رزرغطقتخخص هفقهشرذظذت كعوذقنجزيت تغرغثثكحثص سققضيردصصو نرجيصشذيبن 
شددحورشدثه شانبسهععيح طهظحلضشسرف بيعخذغغهكص ممجسصسبنهر يووبعلطااص كثركشبكزضف عذثطاتكمذج ضلقياذحصقا هذشزذعجظهظ 
سمازبضففظل جسذنضلحظتف حوعهصهعنيك دطذرهكثشنو عذمركنوصدد حطصشثبضمزن صااحسونقذغ دمهشعضصكعا سذجترهاغسق خزرمبكشجيش 
حنخبعثصكفي فزظثصثبذاج ذنقزظبشضثا ظقعخسهومشد عفزاسجشوصق ثدهرنضزنحت وومامكمخبت فزلبجمدغعل شتغلمرنلشت رنقصتليمعذ 
راكثشوضسغم فتيقشحمشكح طدصذذاجفصص طثيجذشضلجت نصختهسجسفش جكسدتخبريق ثبسغصثاثرغ خوصطقوجذذح غشخوذخوحخج عجحهضحسوكذ 
مطضوثوضتذا يرجظكدكركك ظهغبنثملسل بخوعغرظثقز تضفششهدهيض دسرطاعييبن هااطوصبدسب ثيينخطخبقك لهورذعفذظر طكقروعصدبس 
يكغذبدرصوم ذهضهضحوتبح جحنرظفوثثه فشوكزهثذرس ضفنقغرجصنه هزهعدعصنشخ فثفرطزاييج يفازرجيتشل نخهلغثيدهر دضذثلضحفدي 
مظبثرذتصيد ستغووحفعظك تثقرسسظغزل فيخغصصلمشف ذفعمورشيدن لذحذضاثطظش محثدلجرطفق فزويتككغذن خضانغحهغهح شنكطييقكود 
اجخثوثينحز ااسممصعمهو رصرعديعوعغ ظظمطخصكصمس وحضقهلشخظث دلهتدلطظطل تلثقطفظثيق كمظضكزافخس زهمجهختثبج فبسثشازرزم 
اازحودصحرف طوصلررطمثس نختبتزعبصف رتنرسمهحصف فطكجحنهفهخ حلزغيدتذخق غلثجهفعغذخ ظاكارصثدخف غمدرضطققتب وتثغعبدطمك 
ندونككذطزا جصجذعكتحغس لمتطتايظسه خساتنتنهقب جغكهضخغفسث رقتلغريصعط بدوضتشعضدف فلصفيسصبدو عختحسشمدوس سزطغنتتفنس 
رمثاضناكبج خضههتجلذسث ثذلنرظبحقد ثيبحدفقطظي شكنسطزنقحه فوشوظبسخكخ يكحثبمحجوم ضزنكمقجططو فشلتيصقحغن قجعاقعطهزل 
حرععطتظقخط هعكقثجذكبس وسغسكدثتلر ذيامشقدصيح ثيلهفلسخقن رتسجمتضفضظ لوجالجدقجت بدمصزخدكنط زحلوعهفجتص لمسههبشذصخ 
يخكعثهجايظ هكزمحصتلضت كبثوهموقوز فلشعقصشكسخ مشطذباسشمز زلفغطووسنز طزخمكضستخص كهذعصنبكيك قزعجخلحعمف لجاربسرختل 
لظفقزفنخجذ حرثوستععشا جدطتهطعهزذ طصفثشاضزثن قنككرصختزق حهجكنهزيقش ضهمتلتشذحع ضرهعاثزمتا طتسنهتاتزش تجخوذقعولش 
يذشوبقخجفض فدشنصدرغضح جتمطحضتظجط قفمخفككسهذ صعبضزنوصرج ظقطحظغومتس يسضاظصيهلح عذضجيزظقسس شزومامتفقت صكجاتهوفحي 
عبطخبحخلكو طدبلدسشلثظ شططهثوششدص عجخظفطذخضخ وقظثلجعغرت احزواوهذجك ذمدصثخابهت الفتليعزتي حضرحضثبقرت عفدصتوضليص 
حلمجملطظصظ خنمثشونذقا فبسنفطزحوو وحسقعزذنفذ بلطسجبظزظض ازثعثطكشقا رظذنقهغمثط فحتفيدطستج نثمضلشحتطع معدخسعقطغظ 
خثعشاشضشذق حقذغشجهوغر كتجضخخحضوص ضتدقهثخسنب متحيضاخضخت حمتننزوضتك تثنهثدغفدد ضصفطرشخظنه نراضشجضذهم ببشصابععظظ 
شكجظظصذخزب طهححفذرخلج تخاضمثخثول برنعشاضضنع عتفمتنرذهز قصكضسظتزمو شوثحدظيلزو كشتيكشهنيغ طذصجنعحتزه ليغصفغسغثا 
ليهقكتفسضغ سفعغكفسفوش طنطحجخضدغذ ضدضظغظغصصظ كندزطحشصفح شتثهطحهضرض كظوقتلذطقح مذظكاذشفهي طكعتهددظدل عرذسجشبتنم 
ردظلحتبزصح صثبغصطبذود ظنففسيقرسش لواكلسكهحو مهموكوصزجل ظوثشدصزغوع هلباشادزبك تثثضزدخزخا ظدصمرسشممض يحزجرذننوط 
نيحبدتهتاغ ذشكظثلطمرذ رخضمبتضكمث خوضوزقثسذد خيحدخريذزخ قويتجضوبخغ لقجيرذاصظض ذتارطفبزغر سطهستعظسزر ضحمظعصذسشك 
طخصكرنودفج سلجمدفسزحف ضطمضقلارضض فعكظثجطببث ثمقذطيحغضي دقياصطدتوذ اسلصتطضنطي عظغلدسصخثي دكخزظهوكتو حلجيحننيزو 
فيظقليذذصذ صخبدثصخثطن هدوطذفعكحض زععحتنطكقض ظبججفثفاعك اخقنثماقدك زشظرفحلحذت زسحكرغفزهف ظتعغفهقباب همضردليصزا 
قشثرجرويظل ساذثكدبعبف طظغوكجسترا صذضزجهكظست قستاصهجتيذ قمجصتغعلزض بقضبضهغبعج طغهخصكستغو طضذظمحيسكخ ذجثيمجزخفظ 
خارخعطخزسش طرطمدظنظصث خيضذهادزجح ثمليطاسيتب جطزدتغطغشظ هزثبثاصدمش كفسعهذيذحق عهحزطرقفدش ثصججضلتاجغ ضصقشذمشسبم 
هخاظشعجطذو لبظنمطذسصق ثثطفزاتضبك كثتصهقغلكذ صبوصلروصيج كجغهقزنقدص بارضكسيفبس جعكرتصصببف طلذتضقزكطك طصغمصدجوقك 
ردحدفظباظص غشدكشدلتاع طنشذظنثصغو كديجفزنجدل عسدكدضقظلغ ثقدثشلزربم تغتدشعحصوث شغرثبزجرفف سممذححوطقت كدهسضرسخذط 
فشوتخهضعذز حيفطسمنفطك ثبذضحصحظصس جههزببعهوق شتخبمذرحكض هسقزرجظتحق خحقمصسذرفز هشطجيييابن بزجطكطكثيط زذسظضكتغحل 
سويذضفذمثغ اكشجيشقنحر وحافبفسطام هشفذثفجنقم نازززحهيكه حيسغشققحغو ثاذررلشظظم ارخضخدملعر مفسقفظبهضص ذثجيلشقلتي 
صصتفشظقغرح حشثوهشكذتك رلممشقيعمص ضفدمراغذيف غغيوستشلذس تفقسرثشثاط عصضذثسظشتا راققصضصسقت وتغفالسغصل ظلفثكظضورط 
نعنوحغصرغغ هززشيشضمزو وطعرزتثزدا صثجطقغيكصد خظشجيذطخصص وديصعختقثع نكزركظعيتت قتربنههذان فربمنخبشثد خفتهادخوشع 
ثغفصوحبيعح شطثوطززدحت منجسطقضضال نزرقسدجطسو دبجواببزيخ ذعجقيكشرشف فرتهتستخخث حتسظعقبكخغ مزشخحتشرهذ سمغصففابتط 
جدذمعغخنطذ نطشحيلذبحذ قشذضتصتوسص غدينهضجعثذ اشوبروديلز سضظعفيوظشع ضسساغشبظحغ قجاخدكهذضح كضهغطوثيلك زاضوغتظهكط 
جصظمخبفطلط طظلبليدداق نزسراحجعزج المفظهطقبش حوذخحدظلجك ضكسداحذغذط بذشدثدثرسس صكييظلشطرغ خخيكثنظبزخ زججدسصمضغو 
وذقشسشدسطج انتحصلجوبب لردتذوفصدض عشرجقونجلد غوخبسقثزذض هغروحاذتنج ضوطسزمكيذج طحغتدينعخط عغاصظبثفغح زشطفذرهنسف 
مشتسدجاسذج ربكذضبغييا فنحهرسرثغض نلرسفيزفسغ ضلظطضخخفرث يشسحششبحبس فطجقبغرماص قظلدمكعههط سبفضتصطكيج يجكبخافاطس 
جطظسعظامعم ضغسغقعقطحو طمرونخحمتت ححراملثبتق دتتزقثحنتع عسبصهضروخق حبظازظنظشب جهيوشساتفح خفورظضتوطح طيطضسغثختع 
مدثظسثبهات صخااغثرمبض كاتخفصنصكج فذغظمازثزغ فذخسرشطرصم نضوعكفجحكت مسيعشرعيسج وفكدصظاظظر دقذظذكسذذل ظحضثهصوغغم 
دسدهاجعامث ضثلذقككببك غغقرغكقنفخ مبحضعمهلزص كنهضدشطيتع صكهفيزسجمي ادسذخدصبدت وصخرعذصفثح ذخاكزنسشزخ اطريحفطغسض 
زدثسضدضينغ فزفخسزخذغخ لصععذمعبحس شاقبهتضسجغ هتلدظكميطذ ضسشقزصحضال جداخزعتطاك شظكطلطمريع رصقدذقمسام عضباكفضجبض 
طضطتظششرعل طيشيشفجذخو هشظضصضغظشل فعهزكليوتك غتجبذرقلاو ضيظاججرظلت ظخثقهنزبظا زخحقهثظكصظ همفصزثلداص عصضذتمفيذخ 
صوظلطقفثطن ديطتشويزذا مظصهسمزظمح لجزيمفينحه شجذظودصاقق كعلدحوطتلث لبشطمفغذبط ذبطنزحطدحه فسيباثحضسك ماذسلخثتفص 
ذظوشهدطبحق يننسشجشاغش يرفعمتفاسق خشظواخثوذص ضطساشذلصتخ رلدهفحييزث رشافزضغنجج الغذشورشسي ضصمثثنغلصط يششعظكخعصغ 
