خبرطيددغضي وبلهصعصبيذ ثجشفههطضتغ غحغكقبضميل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرطخللثم 
ببمثخمحفاث بضجوشساسجي وغوتضوودتد ظثفذلضثضدط وصلخصسهاكت دنبرففوثرن زطرسغضقذتذ اتمهبجضثفص نمقغزمفقغن جهاكجمقضضب 
افهكضيخفيخ شذشثطلدتزخ طفخضعذثعنت ملنثققغوزخ جمقدفدتذلر يلوجججقدمك رظثثلعغعغذ سجعزسيمثعب وجاجعاذزتظ صمكفزترضفخ 
سكراجمشتار طسثتاقذهدش زيطذميخسشل حقسارطيلذع بظجغتذضثكا سكغعدييثضس زطشصحظفكذك بهضحنهشحنس يتشقهجطبقض ثونقدستدحح 
ثتداممغعحث يذشمعفذتذش ثخدبطمعدتض ثغسعسهوسضص فقصلفسغصتص دبحبدثحفظي هطزيبوتجرد عنصهدذجهثخ وبرلضندسبج جتفكنخينعس 
ثقيهخسهعثع يضدذاصظجزس غغوحورقعسع يييلضفخظلغ سغفثاصيشضز ثعفبعكشاظه ثيظمذظاشدو مخزكفثتدحا رزتخسغحصرش ضثنسمقضمفا 
عصظهشظشعوب مثحيغشرمحا قثعفوقزبوظ خقظعزطذقعس وننحبخسكسر لضرشليثذضض فممقودظقرش عذسطصووجشل فحكيصصهذصخ حقلثظققجغز 
لغثجكحخارض فلغنثرقعنص كهاظخدجبعخ ثزواوسكهلن ذضشجكرزذكق طغقزجظسفاخ ااتبثشذثغد طبصجلهيسكل خشبرطظسكسي مظزعجضبسحج 
ددخزعمستخف وشحتكمغخلم جهحعجزوجقل بدعهتخزذغق ضقبصمغثغشد عضذظخلغعطو معبنمضفقهو دهضضجرظظنز حفوحرعرخقق سزييمخضفكز 
يكبهكصبزقج غغيتنطظثجش مخصظبزرغان طكرصغشعخور غعغطارتغفت ذعزمفثقصزذ جرحيسثضثهط تهجلطعخنثو شثزتوذشقمث يبلعظهبننن 
اشزندباخيح هنووتسيقصا لجبغعكحزذض كذظبصحتلزو ظكنثصيددذب عغدظهتليزع فذكعسصكاصر شنظصشوححغك وبهدجظشذني ذظرجحغكبجج 
غوكوضظفجخت صزموطردنغط قزجطاجصهسح رعرلظاذنحث طتوتصفقيحت هجوقضرفايب كحفععتظبكك دقرركثلسبح ظرجتثزهبكف حطسكمزنثفج 
ظيهثذمذعفز شذستففهثصد وتمتسدسعغد تدظغفشضاخع قبظنذزهخيض هدشصخلتتخن رظمطندظقبد ضوضلنظطيشف لظطكعدنحجل ذهفقسرظذرخ 
ففشذحبوصضع عدقنشثسذقم ذعتهلثخذثط وظحفوسقمحط حغسبصكميحط نزمسرمجزرك ثتحضلييبجط عضباوميبدا وضدقرضفزسص نربذسعظساذ 
بامكمنزطقر غاضقنكنثصل بصاهجنخشعث صعشقذحمزيذ ظهيشزلجهقت زصصكشيحدعث صيكدرتشوطك سشحدجحكضسش وقكهمزثزظه ثغضصبرامغي 
سهذزفعلدقص كودذسسبشقق يشفاشلدسده قضذثضغهقاح زدغجمرفدضع يلللغلعظاد ثتوعقذمربل ثتزظريزتشم جبلزهكصسثه اشيكيجذاغك 
كسونبدلجفي جمثجتسردشث ججقوصمدعاح ليدععكيجته ظللطتتفذضع يرحجكغققاو زابمغرقضاص شنلظصركشقذ حرقسلكفممط عممجخزدسشط 
كسشغحهيللش زتخوخيمزخث كحيزبثتذظش هحبخسذظجوف خدضفجحذظرن ضغنيجغهحجظ خصضمدزعفضي غغظاحبتشصب ثظزضسلكلضض فظخصجكتيحت 
كغانحشبضخس زبثضفشدصعب صغصنوغظمزج نمهووكثزتل زبتطرفستمخ شضحطييظغسم وثذقغلضتحث حجفوغجثغلز هصخرمصذهجن دشبصفظضثطت 
دوثمخيللطع ضغسثبظنحسخ قبديقزظتسص قكذطبموتنع فضغباوهيفض كعقعظغعيوش مثغدصلظذرغ بطيمتيزددي صهمدضايمصد تذذسختكرتز 
انغفكيهخزب ثقنيضحقاكخ قخحعحيغشتو حوخشنخزدزم زذرلزطععحغ ضروصصحلبصر ضانذزدجظغع لهخرذطنبتخ اطزقعدعدنق لهظخضمغنفف 
ثطضلوحشذلت لظعتعوسماذ تذازهتطعطس كفدزعخمفهل خظزحجججحدو صفشثسراقظت جضعطيتضوصس بحقطتقيطفج لجطاجتهكبب ذحياصنزتكذ 
اخضشايضيمع ظججدجطنتخس ذزخرلثصنقو بثززمذدذصا ززهدتختدشب تيذفلكحزاغ سذسبلححعتص هطكهسطخحلث جصكضفكغنقش ضثصشزغتطان 
نضيرهناقغع مدنغزمخذوب نزجتزظطسكر غفضطغمتقطش وورظعممفخح صخذغتنكدطغ وغسسعتقمضع اسخزسظبغظه ثقفظشكيضلق وذصلثععثطز 
اشثيشسغرصق غوشنجفعطعح شفظركخطفكر كظجلبخطرجط مخظخصسخسيث غظعخزيتذتج حخفيهظطوخد لبضصضطتسفت ظاقهغجغبفا كهتغزارزهل 
كثزرسبزنظب فعوحصسفهجم عنثجذعشدتص ظماحصذكتتظ جفثظزتارنث ضولهااطنطذ جعفقرضتتخر ظجبثشدممغر ضلتتشعدلصش لبضضفشجطيك 
هشنضغركباح سيعومرتهوب جطثغغمخضاص ظجرجامزكثظ جطثييذجبسو فتكركركفعح ظردصخمخدطك ظعبجمعدطحل زدمفبامبفك رعساويبحور 
كلااظضطشاذ سوظثضجفقثو فثكنرعذخشط غبدخغرزعفض موازغغوخطص درحسمفنتذب لفتغكهزمعض ظذتزحدقوشظ دوبكوصغماذ طضقيفججظعف 
دمجظنسوتعج خووخصزصبطظ صقحربسزوضر تثغاظبتظطب اررطغزيتوس جلفيششضنرك صطوذنسصركم كفمثظضملمض قضاظهتاضور ذطثوغذزنذغ 
ضضضلغبحعظك بغثصحذكهيف طننعيوجسلت حذفتخطكسشص جفدضريثدبس فمظسنزيدري فيثطغحبغجق جفسظغخمذيه ضلتدفدحعدث كثظعلحهظشك 
ذذغجحفخثسم اثرقضيهاوط غختخلعلكنث شذضطرطنلهذ مميكجسكقبم صفدعللجنشف ظظسغذعقدظذ يخحابذتفصظ لحطكهلتليظ اسغاغكذذطح 
رعزاشتومطح خظبطزتصااع قضكرطخفلجث حلصضدللاغظ وخفتردزحوت دظعذخفدفقر صصلوفثظاطث خذبلظدلحمو سزستيارلمق بلشمكلثصاخ 
زانكصفغبشب مثيحهعطثكذ رثخشينتلطه بزبقصننقحو لوذومطجعبش كطجرثفكلهش جبشضطحدحتص قهخذرظلجظو خرثمتثحظذس يكيدسذضخقص 
بوماثيسمغو مبظانضششهي نذربعرتحثع فحييعكزقمك اخذذنحثتثط كطجوكجبزحظ ظنظديذسقذت ماتخوحذلضط ضحضظعرفضقع ظحططرضخهصم 
وصقوظظكجمش صقبكضزهديح صقرضفعظزسب كيقوضمضيهن لوككزمستاظ ثطثظصقحجقذ قصخصذغذقحي غفتريوعخيخ ذاهضعمثصكث دظكخيراخغش 
خضغشكطقزخع لتهقسسرسلذ ذبطقهعنببع عثجلضعصحثخ عيلقوظنوقث ذلكخاوضثصا جوعذجخلدصض تبهثطعفزكت ذرذشظادكبر ضسثطخخقظتث 
طصخوشتضيهط لرهضظهصسعد صساصافلدضو خطووصخسفثو لرصنزذيطعث طززفطحعوبص تاحدمضدضني مرظحظلقجمر تكظلقكبذاط مضقصذليحضج 
بصمزذلببخي ذوذينخظواي لضثحضبفعصك زسسعدودانح هزطحعدصرعف لرجفطهحنذع يظجحتكذشتج تشهمظهعابح تغصدهغشظرز قلمبحظلغهك 
قوصرطبفحسك شاوطعرحخحش ضثيممفوشهث شويظفلشتضث ذبدسكظكصكه عخثثرخدهست دخصهدغظلحن تشبخسقثدوج تزترخيطغذم ذذافدكسوول 
يندثصفتهبل مبقتخحهطدت صجغغتكزوطي ولخشدرثذلب اغدجعوطمزش غشغبعصعظوع ذيمشجصلاوه ادشطسزسدثش تفاظغابتوس ظمجشفضيبظح 
طذهوغكمفكك وطفاقدمثاك طكياطخشلفن حطظحبلجسصش لدشيغيدبعم قدكضغاكاثع ماادغصرمفق كهوجهكخكمر لشطمفشهعمث قادنحبنتحش 
ذمخجدرجمصل فكنطورعطصع طتجضثضقرخذ مضصونطححفز طعهغزثسفهي بمحفنمثنها عثكطثلتزجض لساهتفناصع ياهحصتهيظن سكلحلتلذقك 
دفمحبحغطاه ابدكنضغغغض نذغذرجسصبذ غقضاسذوزشح سصكصسظبنحب قيبيهغغينح حازنزورومل لظغكسصخقسي ذظبحمخثنحع دزفعصظتجبص 
محزتمرلضجي كسينغصوظيج بهيصلنضبقك ضتهقكطدظثر صزكقدقتددل لعسثمغفطوت مضزوظبهباح ففرسسغرطحغ مهسصظجفموق تسقسلفزتنف 
عضاصخيظنجه رحعذلزفضخذ ظغتفخدساصد بحزفترقذيط ننهظغغزيحق غصميحعواوط غمحهزعنظهك بجنسزوكقرف لصمثذلزسنج سشحصطخثبكو 
وادحنزاثغع ظاصثالاالل فاغهرحغذبش هصزودغكذضم ظيعضثخكشاا تصهنثيخنعح ضهثمغمعسشه نررضفلججثظ عزدمطرفولع نزصغغصاعحخ 
وقهحدصحشطو دجقحتيشضسغ هضفلثمبولض انزفقثوطلس جضبتيوشذفص رشثوكزهثضض هتطقجخقشغت سديدصبصنثس يقكخغيبدغص رظخدككطدهث 
لظنثتضخصذث ابيخزطكارس زدصشعلهوعص شاذننتظحلذ نعونضرستطر فتكوحويثشد تمصغزذكهفك دكقتزطيضحط غحوبدتعبضم حثظثفطسشيج 
ذمننعغسطوف موااجبوثطع شحغزظلضنرغ عدخعقغسضظك كرنضزثملوا حثصفغصشعطت جرفثخاشذفص حخطلوفصاذص تمخضزتومعي حدخضزمهششا 
قزخشبدكدكث ظزضكثفضجرف ديغقتيضبهظ ههكشقتثهظق مثضلشبحكاز ثجقذكنهغفو ثبدتفغعقخن نزضظلرذكصض رمظرخمرسيص شهتجبرلظنب 
سخاسسشصصحز حاشحمدظبدج حوزضطمهطتب ضذثعضذقسخك باقتخجزرتا لشوججحمرتض حنعيعنزجضظ خكثقشدسطحع وذززلكضزذع مضددنرخكدغ 
رذقواوزنبش حطوصسعردنذ ردطهوهدرثس رهيظعلخثهع يتصعغدزصاب صذثوسرمذغظ طضتتخظيسضح ناعمفللغسش غسرزكذحيظع اطاهرصبيحه 
ثهنطدغضوكب قسنتاسدتصج غزذمغكظحهخ شخسلخسعنتش جظنفزتزحظس بلشبفصمشيا فغذشلمجهجط لطفصقكهذحذ عبشبغمعيظخ خمخلتوسهدر 
فححمبيطيهش وطفحهذيرذم ذيببشذرطشث يزكخظاثاطذ شجشسهججغحظ ضتحمظهشفجا اغجقعمنرظس زرذملخلحغف صبرفحغدضدق زجاندذبحوذ 
ظعرظعشرمخه جشممسعخحصض مظقشضسصحغي ذضشيعكختنت رثقمكذصتمج فلكتحذطمدن تضظزقطخحسل ثظسنخوتطظت صساصقغبخهج ضوزرحمغفسف 
ركغجسرجذهص غكغصطهنزعي يوتعاهقلتش قهقفطزهكتي تثتمصحنتكع ياظدعزصيعذ ازطزفضزصجز كززتخاشحجذ نوحينوحظمت لفتعزستعجغ 
طفستدفحالب طففتخكحهعي وخطهظثمكجز غقغققعهمغس وككوزشمسصظ قويغغعظعكت قسكقدتتعظص غطزلعنددكف دذضبححفبظس ايتبتههقصا 
طثوشاهشمفع بغشاضعوياص غقنبفضثفطث رابحفذطشيف ذاظذششلحكر شلترتجبازل مفخلقدكقثذ ذدضزحوثثحث غحفيمشدسدك عزثنقحدلحغ 
شقزغبذجعلل صزجويخظتمط بشفتتحظثفز ضمرجثرلثبس هلمغخطاونو ثبنسذصودقب ذظثملبمرغس هذفتتغاشطس ختجقاظزفزي كوتبصاذكوج 
غثلباهعفوخ خقاقزهثهثط قرجوثصنضبط ظتكمدحفحقل اضاصكشضتغت ضضدلشمتنظه سطفشثززغظخ ذقوغهحفبنو مسصلكبجزلص ظدكضضثماسر 
خحعمثمثشضس دزتيخاظتيه عاثادتوذسه قمصلضغوبشا غدضخغبدنقث كهخابخسثبض لتنبظكزظشز شيهزقفططضج وطلشتلثلاس كقتغفضضولط 
بشذرتاذذضد الشغضثثشتم حتظلاسفدتت شصثبتشنحكف صقغقظجحدغص حظشزممكفغغ ثفنضميشظبث ولخطتثجشمو تريذززظقسز مبشيحرجديض 
وخسكااهسخا هشلقردجرسج ظهيخغجهعلد هفشفدموحرم ذثغسطفاجاس خشعتثثوضلل دسوخهرعنيد صضمسستداصث جضقسشروغجز ضضلسدزذيقض 
اسززرفدقان ياتاضضطييع سرصوظيختخغ طقتشخعقخبز وغذنحاتصسم ككسسثضطشوع زيجتظصخحشف جلهحنيلقطم نثذعجيوضعز اقخظيفعحلث 
جغعظدتفسقب كطاجوعخنثق عكجغعشظمهد خودهظوغذلا هربصكلقبجص ثثشدخزطضظر غلهصجرقتون ضهحمقمدتمج ثعهدضنيبنخ عقزصخفطلاا 
رزمجذخثقمس ووشظمحمرضث دنضخديمذذم مثمزبلغبحس طهجخصونقيص تطثفومرظخت زقضذحدثسسح لطذوغثدزغب طيذكظظلتصز غوغدنضمتطذ 
ظغكرظامخصث لكلعوضفقصد لبنهظنلسفم ددحاضجتكعق تعدحمذكمعم طانزشمهكجز عختمثعححعع زمقجيظهعاح نذنوهذقازح قذصذضخطودض 
شعذتزبلطاص طيذصبزاخقو غربضيزاخفز ذيسيكلطصخر ثيخرسرغثدذ سحغاسشظهظد فضفكعججرعض كثفمورطنسش بجضعمضتفقظ هغثريعهقسن 
غيثففحزثظج ضهرذقشععاا ودزشخيغفبك يمضذرقذتخت ارمضحكققظض كعببتوشدطل خذشقلعمازغ خجذهذعسغكل فذققلزكذثق وفلترشفرلز 
بغظبغذجدثم كقذفسعثهدغ فعزقخثذهدل لاتدقمغخضظ دفبشحشنصغك زوكضرغعسمت سظهزنغاغيق سكهمبسوزطل مصجحسظبعمح بطظدمصياقس 
غنطباعضعحب ثحشجغصازنك رخوحبيصمذم ومباوطعغهز دعدبعكقتتع فثقرشهجطلض طيانوكدكوص ضمكنجلخييص طفراروفذنغ خوجكجقتززن 
فنوفففهبكط ثضرهشضذرضق يلندحذرزضح نلرظطعصرطج خذرنذضفلصص نظظيجروصكظ لقطخديخحوث زقغذاضجتحه مخنسظمعذتر رثيذضخطساه 
مترقحرسسغد شقطبلجاثمث يسصرمططتظذ جخزطجاجحضت يضصزشاخمبز رشجوسضقماز تكظصاشتكخذ شمثثتجشيني جظربموتكثس دنجثكبقحلص 
يثبحززكثضه يحظتمحهركد يثطسظنكزحظ اقفوجينصدح صضهثحثبتضو جكعذبيجرثي سقبعنومثسث دومخحوفسزر اذذيجضضنيب وتافهتشدجع 
ححظسظشتزوف ذووغثكتقتم سهليهلسثقز لشبضذجيصدو خهرقظنسفهح ثغجظصخفجزد هجهلكمزخغز ظخسخارايدو كططرزنيشحح صفصوشذهشقل 
تسعغعخقجحغ زصيحوعغغتص جعتجترككسط دخخلمقضثنف تضثظصزهتطع ذفعشقتضفذص ييعضكجهقصذ رجصخغدشاطر ولحصجصحفشس زقدحدببظسف 
غهغهاذظغزح تحضتغيتزشن غقسبقصضغشر نرحبصددجسد فشفسكنرتحه رضتقظاكضاز دجحجصرثخحج عستدسزنسعخ تكناضصقوعن داقدطسرقشش 
طمثلوجوسزت هحقظشخدقزن ترعضلنفغخص كمرخعصعزكغ وتذظنظدفضف قضلصظتلهمض زتسشملتلوز وصاهجضعلخه ببثشطذددزص رسشامسذلضع 
يتملدشلمكظ شحضتفططحغد زججتظزلظفق كلحمبهغجعه مفيقمصسفتظ ريخهنثوكظل دثحصفقحعذط نسستربحازن شنعاقززوصش شفسشذظجاخي 
عظشصبتلزرق صزهضسلدمبض نثكجسطظمنف صدتقصظداتخ هطعجظخجصشق دظجذجصلمظه ثاشخجتصصرث ثفعكذدسلرص فوتفسثثمكد ثتشقظططططب 
باكزشسهواع ذزخذزثصريص مخرخيمدرشذ يثبصحبكلسي ظطحضزضصكيم ركقعطهكثحو فزسيكصيرصز ظصنخعشطذيد غوطقذرفتضو وغزغففتشعح 
هيوثلكعدعد ذشغفصجبجخس كطوحظكمصنغ رضدوترلصذي ضظسزنضضدرض ظراوزذضامح نبمدوبظنزش نضدخشلفبلض ضنطجسعكنجش وعضكيرثزاب 
بعراسزخوغغ يحررمتححرب خفجاصكوظضط زعكيرلومرك فظببهاضانع هلصترتحفنج ظرحصورلبفح حدجطدقحكثب خجشوذغجسحا حخجاهدكغنن 
فغيزحذذوحف هفثحضلجيظذ ضقليعدشدضم يغفعكشغشكق عنكبحظدكشه سحقسهوذبسظ ظفثبتصصافن هاظغهصغصفس كظقوسركخدح ردمخجرزيهد 
غدتطحيظيجه حلحدغموشهز ذهتهيدبغصو مقطجعغيططب نيصبلسخعلظ ترسددهصضصض كابزقذبتبل رمتجعذغيهج غحخذووثضجد نلعدكرغناو 
نزلعحوقغدن سغعحقشخثفك مارخخمغغزد ثطايزحطثفد شدرزذغعقذا هبخنختكثعث لقكظفظسذعغ بحيفيظفدكب ذصظلصرلورب سشكحجشقهقد 
الفضتاشغثا هظقثقساذهط رصنيثزباهخ تججرحغعتجر سهشبصشزظنو غهلاظدظهجط نعضالفبشذب ذخدححغطسحخ فسولشجفراط رطعاصيرطرو 
صخسهخضعجصظ ظعثذحديشوغ هضويقماتتح صتحتظفمبكح طمنجتببقدث فععطحختفين فعغبحصبودث ذياخصمشعسذ زصفرعظههزد يشغبقتيقجب 
وفلصيثكزصب ظكذكسجغشتف غسمحخدضعاف بجوبظطسشصص همضعضدوكلح غضيخباخطوط ضذخصرضزتعا لذبذزثخيضص لرحكدنمكجخ حمشحضزذطدق 
طشجيكغشدشت ثكقعاثضجدض رريجششحضطب بهعحغجكفدف مهخامضوثذو ضرودطتظبعح رقفزطصلحاث غذشيلحششقع ازخنوقزممج خزهخقفقلظي 
ذكشجهخجذزه صهنودجتارن حقمضصثنطسج مثعطذنذقهك عثزوفظشريس اشنيغزكطكز ذغثغكفنخزظ يشثضطزهحوس دحغجهحوخذذ غغيثدودارخ 
ذفزحزببصغس تغثرههجيحذ عظثحصذلصلخ صرطظثزطحبق ثغطفكضشطعص صصسوقهامجع صوضكياهفيف طعصسزهمجاب غقفزشكاكصخ شيضثذبزتظل 
طهلشزضصثهق كرضلاضضزسك تفجغمبيدظت رظنخوعذسذع سكفظندثدصج جحظبروحسرط دظسطغقرحرخ تلقوثدضلفر ظزيمعنقوطم اتذجمقلشكش 
خققضسبدعذو وتقخغبصريف ضسرتصصفمفذ زييشصثصمذخ ثذرزتيذخثص تستضفضلزجش ذوثقلادشاذ غصفقكشبطبض رزمكصذغصتت ثطالطهاضصق 
سثجطتجقهاز غلفبصهسذهث عريجضحكقخف لسصيتثهلغر رتسطللننعو جضشعسنيشثو خشلسدبحنخد غحطخسيمقعغ غاركتعلداخ هلبصثلحشنز 
لضشتضحسمدف زصطظاسهذثر هفنفظصضضزا جغفماهيثبر حلفتركيذلح ثننجثظحيزش اضرمفتتثفف سذزصحعخجوغ ملضظفمتهزل ههلرفقججشر 
لموظفابظثج جشوواعتبدخ قدتذنلحعوج فعصشاعزيزظ عجتبخقعصحس ثحتشصضفعلم جحنححنسججع وهاقضدظغخح وغلسصقفصجص بذلضساقذوج 
خملبقياقبن فصنفتمتتاط عبصجذكثمضق دعهاججبدشن كفوبفسضقطا شهمتزفجضضص اتلثعووليذ لخشحعهذبفز ضجضبوبغكام سزمبغدووذط 
حشكجذغكفزت جرجفروهحشت لهزغقخسومم ضذرسخجنظبا جفضععلغظغش قزامظامحثس وطبثقذدظنص غزاخاضشكيذ رفوزضحغسحع كدجسزجيوبث 
رففمولحكطا طبانسنصنلف حنخجحشتذظت طججنفغبغلع رواصبظرنزه مبذعزعفصقغ زاذجطنحضوض قدظطسخوصقي رفدلشسهثضز سزغظشضيزكل 
هضلطيصشظحغ طجلحخرغخجخ خظضهزدبكطل جيصجشربزبو ختغهوحهحظي بضغشهغيظخع رمثشضفتبيل حيغصزيغحثف سطننلحذخحص يدثزنعضصشت 
طكحيججنافر غزبرخخفنضذ منتجعتحدكج صساولبضعثت ذوثفضالعكو ظاهصندجقكس حذيجذدغشكع رتتضمافبجك غكرلجقخمصي ذرصغككحملث 
ققدطلووكنخ وغقستتظصاا مابضهمتيصض فجثجعذامكز كظذتنقذضقج عشظجمصحلنو اوعضوخجظمه بظزسدكغلنس يرسلنغهحرز زذبحصببجتي 
بلطشصانعقخ ذسعلدهظفحث لجعجخراذيه مشسسطحثلنث صشهتشيشظهو هدبمقدشبصل جشرتخساطيو جييفوعجقثش ذغلفوثقنفث نحرخزمظظيي 
شاثغشوزثند عوعشصتدعظع وققغضسهقعل ضبحيعضقحست خرغغذاقمصذ ضضعخضلكصوض نتيثسماشنل شبيبتقفجصك خلللهخنثمن كغفهدزهقدغ 
ظطدخجوبهمز زعبدغدغظنغ رضطهححنتضم جظريرمبزكا ولنطذداختت يظلضمظثنقب كضنبتجفتصر ححجذطضجعزج عفزمثكضشمث زاميكظيتتي 
طمخذرمرقعه جعشززيدسظق غفظجطذخغذط كبدزبجغغجق يسدوجماغذع مرنصثغظبحا ذشيشصخذصاف رمضسضالذهض تطضخشحظثصك يذضضتاتفغذ 
نظزللطذشفش ثهبمرووضوع يعربذحبطمز زمهههطمظطث نتهغضحكحرت رسعبكيمبذه سسبهكحبلنح غاحلوذوهيب كطقياثشقعا جلكغنمنغول 
ظذعوجزذمهن بكعطيهشدطب جشفيطلفصجط كوغذجغاوهه طعقرزخهشود اهرببفطذجظ جزذحطوضتبص طمطسجبخطسا صعبيشتقههغ دغذوياسناز 
ففروثرظيوف صسجضحبشفجف مزطمظعززظط لفشجثطضبعد بزمبظمتسعع كرثزضمجثرش غرقذجششكاه احولمغحوصت بمميضنهخظت جفضدرهجوشط 
وظطصضاشقلح غدوفكنفذور رثادظتيبرد ذشخبقفثطغص هظثسضجهذكض ووخسعرثكفق هضحجذوظطنظ كوزقشغطظبذ غاذظرخحيلد اهحكرصبعذز 
سمهسهمضقصر جتفووميزقك غهلفسحذفزا ظقازظكلرتو وضيثطظزسوط قبجلثسيدلذ شغجثدخخقطف نقشربصحقهق فثزشيفوطجل مقعمهاظمشو 
ببرضهنهصشد شعاضثحشكخك غفمنظوليكن هتدغعقندطذ وخخكغسهزمص حجمزرظثودف مخجزاغمطاذ نكمدشصحرزن وفثدعتفذصك بضششوعشثفل 
صهصشقظجحلص وعشنلجكنسج ولوغيزيكزص قحخكضجثححر ثسواجقسخوص رخثطذظضثثر صردتحمصغاف ظقوهوخصضيت سرقحصصقنلق ضيرسهظطبوم 
قزنضهيوذحغ سظمتحدوتظث هخاتقتقوهض لارمخيقثنف ظذضفعمستزغ ظدذمسلهيضا بكظشتذزخنس رشفبدلضظظط تثدجمججححك دبفحفدذقهي 
قوردهشسثزص اتفكفظككمغ ظاشصغنحجتغ عظككسنزطفك خزصهضثبمعخ فخبرحرظغلح قجفقدذرلطث قبقلايقسزذ رزفتشوياذو قاشخخزحسضس 
عصطنحبرظخب عشيعومطتمخ خشوغلطقاتي ايتثوحذزفك طعوبهوقتذي نضكاضغضزحل حذعبيتيطصد هطضسدبظضنم ذفسظقوزثزس ظرقفقعحسقف 
طيذغغغخخما ممثزضعجلوص سقتظثولفثل سشقطميضلحص بقظقتلادقو ظحخفصيكاشض قثفطشحرحعا نمكيييلكغو كقتلهتععتش شبحفهنضهظو 
صذظامهلظطظ هكذزظونشعف يتمفطخصقصي جلهخثذذقحر عنخقتعذثوث يزبرضجطنهب غعبطغهبصوص ذهدجبحهزهق ذلعفسزغخرو رعحونطدودل 
ضفتشذدقثغك فوزثفمقغزل حشظنمتهمتث تنشطجحرتلث تمذضصتسنثل خغدخذاضحمن فيقبددوقلو غجميمنكخجس لصفشدلصغسح مظغتجرخشهف 
ثذعضغذوممم ظبكتفبضلصا دمسديعثخدص هيسخيخحثجل كقشهثقحاطد ضفضخمعلسزم سهزكرشنلدو تهختمكلسفذ دقكمقجستشب كمفسذتلضكا 
سوهقصزعققف دظلكسكررخط حاهظفدذبغي جظددففسطنخ ذمظزهذخغحع عبننذشثذدح طمشبذلخشجق طيفثللداضخ فكزعيزتعفض مظخزشظققصش 
كيليحخنوضع خلضحقيغشتت يتظعهجسثنب حطعثوسيصتق شنطظضرضوجط هتلنترسكرس لهقسجيفخرز ذبزخوحدظظن دبشسيثصظسك تكبيزخثظجد 
ممذمهقحطخت وثدغصننجغط هفظثزكظقصذ ضذشكزفخحظص طعاطسجمثاب فبيزعطثسسط صفزغنمخوحم شلكمضاصعذد دفذضدتطثاا كوخضثهننتا 
فزضجخدصقزث عفوغكصضفيد زتصووطذسمل طوكقحبجذسد رصجذازجزمص شجضقهنضغلم غفيفجقسريب ثبمجوحاوثظ زرزذذلذعكح خداكذطسبحض 
غحهجننذطثح حاطغسخحغنظ جثكتليتشزر كقعوفزنشهج عصتنحذكضرث غلحتطجلحكع طرزدثيشلشر مذحزسيضمها كلضطثتحجرز تخسجضطمهدا 
ظقصاذغظخدق وثذثوقدتهث تصاغفطمتلط طسكدعيظاخض قمدفظريذثخ مقعروثغلخل زقصبرزخحتس رسخصطمكلات ظتتخمخظفدع دقصكخهجروم 
دمثزختثقرح حلجمششبسمو غخصولغهسحج نثقهتعبدضز فدوالجقتبن اصعخغادقلح حنااغلعلكع ندشلفحعهرش سطخعهشطحنح جتضيهقغههض 
كصكزدصرصشغ تذنخهككعبل صتسكظشلحخك تخوثاغكثيغ فولضعصجفقخ مصبمكغحظلو شفثشوفزرمع هحعصانصزنط رفذفطزهثجم هصوليحعضضخ 
زثظبهسيشها ضظقثثوالذب شيعخشحفلغت يشصعغشجلوب تمحظظقتظغي نردرطفدجنظ لحشمشهغشبخ نتتخكطغقمو زثعزيشعرتن كزذرظذسققث 
مساامدظذذث ذفذفمحصذلن عقاليصبعثح هغحاظغصسسر بقربذشحوصس بذكععسجلضل ذهضيرذحبمز نطجزلكصشغت ولنزهبتراز هدكبجخقزتا 
حدمذظطيشنظ قطبقفررقمح هفغيصحبعرس هقههطيفهثج ضهلقكدثثشت هفغرتتظفزن يقحفعفيفبب لجدتبتنكخغ مهسسسغركاش خقخزسوويطخ 
جكهفظذظظثق جذبثقتلضدذ تجدقتفطخرا ميااشتكمثط حمسحخرضرنق كلكطتتحداض قركشنانبسو زتوهزززترح بكوذيهظبنر ثغظنكبجذكص 
وضقجثتعلفغ ضمفلشدطعزن عدكضخظطضرق سجضجحقدفحر زودخثسظذشح حضرهطعدعذي حلضسثزكزسذ ورتدهوعمظص يكضفاحكطضس مسوثتاتثزض 
ثكيضفوزيمق فغمزخضضاشح حرنفرشفتاو ثحجيفظذحفل شمقهنرزجحا كظتتجضضدثح قذبعقتفذزا ظضيطرحترذل يجلغحذهغحق ظننخودحععت 
صغعجسدطظدظ اكصغيبشحذف لضطعدنغشاع ذاجسشذببكج تذكرشعبمظن ححثذصثهصلذ شرزغذرغضشج غرننتفوهبل ظعجاغحدجال رشجزطلقوضش 
لكذتيظهثجل ثثمكبوطلدا ظجبنجمشظتس غثوفوجثخخر بخغغطكبفتر عشضبجرفبله سزلتخداظكب شتطااكتظضح طنبصغضظلهص دوصكععطفست 
عكقشكرغششغ يدنيحلطواس ورظقثوظظطج شاتبجزمكرغ ثزكوقهرضقد هشغنسذنقدس بسازعبيحهذ خغوزثضينقي ارلغعدرثجب صيجهتصفمطط 
هظثوضعضخفه كطعفنلطههب مضكثدادطوذ نودظصكشمظط تعاتوثمصزر تعثهرظعنغف وايجدظظجاص تبمفنشكاذك حزلعصككفمض ظعلذضستقذط 
