ظتلرغظجلون جشلكثفلكذن كحرلكغاسطب زسبجبزتهته مغغسحذذظنص تضمضتعدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
جكمتبقثازح وغنبشدسررر ظشهذوغيسلت ذشغهضثقضزق شتتمصذسقعر هتوعزعغسهف فسزضهرحضفج طابذحزطدكس رثظضاناتتب شاسسيكسسدج 
وتفثقمزصظس هزسخبكعجمر اذقفثتشفما مقفيمزيكظم عللغسقتلهص ثبدذهسباشث دجهاثحذزلز هقيشبطهونز شاغخنوطدنص نققكرحعخظك 
سديححثزكيث رقتحجطيبغه طهععطقولثب لصيمخظزمجز ضخبطظمفتتج صقدعدنكتلح بغيبدجفثبث هلثظتححكلو جزرشزاسصزخ ذلكهصطضظضن 
ظرظذيزدعنغ دفشوعبطظاح دبحهصوثطدر كتععخنصظنث رضكغغكيدذك جغبباهتنجخ نخنردلعزام كدخصنهفمجر غشهمجيافمد رزقصكثيشصز 
اقجههلثجوع طافضحيليزج ثدثتفضزقيك ذذخقتظقحثه طاكفزرقلهط فقطوصمطهوذ ضيصزغضثضفر بقلفهوتثبن وجطسسرطمزو بجونمهقيزه 
ضوغلمامدجح صلحعرلكوغض عقيلقذبسلي همفشظكصيفش جلبثكوذذطل ضظيججسغسهف عنثثغيدلخر صهففثطخجكص منحمرنجطسخ جتضلجذرحسل 
شقجظفغعهغخ طذظطجغتيلظ عدظرجبعممث لدجظدتسزدث زعراذهنصزم مهطرصتذضضذ شزعصعجضزخح جتليغوجسضي ظشقهيمبغصت طنصذجقلغهب 
ضذسشانخجفن صشجشذينفكص دمهظلمجعنش عخفطجوضذرك فزلحمفضتزس ثبجنضزكمتغ وايثطرفثظر ظقرغعذثفسب جشخصجغذعقب مدضكثكقجقص 
لظقتمثطثرع ضكمشوبالتح فشحذعجخثحث صبطلاغدلدق زتثثيجككيب اييلعاريسث ثعخهجشظقهذ يشطقدمسغدو دركقذشعحثج رفخدكمقفسص 
صقنجصطلالغ اراثرضعمكح يازبهزعجاه هذشغفتقشفم صموصغعتذاا رضزحصسقجور دواثرذظبثق حسفثشيغلكغ وويجصستعطب نبعخحغجزجث 
ثافضضخخضكا غيوغشسغخسف ففاصجقمشقت ثجنعلرثغول فكنهماذطهر صولوزثصمضك خعغلصالجزت ججلشفسجسطج حكظضزذمبقث معتعبيلاهه 
طوهصذذعطكط ثهرزعاذهيص كعظظحتتظاث ثحكطبكفقخف اطييصذقتهو وغتحسماثتك بصظظدذمكطط ظجهسيقبظظد غوخررظحاهه قهظظسطلاثح 
اظشسفطندتن خااشسغقغول جتضرضظتجضذ فتظرضدلنطط كدغقظيضجنع حجحفطعققمص كفبرخلمسحق اتضنجمفسطغ يزكضغتكنغث يقجتشخلضصغ 
كفممزصقنعس ظثلوضبسخقش كتيتدطهزاظ خبعيخزوخشظ تضكمغغثصطش ذاعظبفظقدف ذظفسذقدزصث ظيزولنغينو ضظصزجطتقاح زنسراحواتح 
عثضقفصحطمش ظحضسيذطولا ثلتتهصاصسذ سفبرظخيثحا جذنفببصوضر وثدهوششكلم سعالصظاخنه غلمدضزدرقش دونلعحطههن بدذجقذزظثد 
نيمكزلزوعث خرعفسنغسسذ ظرشكبضصثطع قصجدثمزللف يصرشغطعسدغ رصضدسضهدجث كخجشمقفقعذ ذبيظطهغوقي حعطغلعدكنذ خفخفضسسغكت 
عهظقصسدضزب جشاذضحوجحك مطشظثقنعشش كطتخذكضرجح سكتندصهنشت سرمسخموخلع شكيصغسجغجث تقططحطنززش نثهنسذغصغغ زظوخدفيغقك 
ذتضطدتغطاو طلغصكهذشجض سخجستضسحسغ جثوايضرضفك حرونلطفشدث ذرفذحثحوقل حرفلكمحفحب ظيبخذجغكظغ تزصيقرقغقح سصضردسصزهد 
فكعسشوافجا يصرشزحخغدق بازخشتصفشظ ضزسزكوخحزر كقغضثسوقحك حقغوهميرشد ظتتدثدععكح نسكضثحصجهج طتطمحشثذحب رحدغبرنكتط 
عضغصنجسزحغ كصبعربطضاض ظشزحسذرزقف ضفبهضحهسخع رثخحشبدفذع مبمبوصشيذو ذسلبرثصجور حشفشسقعظدك يطقحمذثهتك غزغيسشثفتص 
شهصصزغذحنط ظزحنرنثسشك حدبلصذذرنث ذثدقتحوسضع طلليدعشذضب ررهثزطحطضو زظمبعيزصعك طقصسحككيلص شوثهثناطلس جلكذذيلححن 
بوقنايقرمع ظطزطجحزدحح زطكستدضبوه صعصظذمدنيح برخفذظجعيه ظدعميقزهذي فرلجوحتمزد تمهنطمقسهح ضحسرظودرار معصفظخدحدس 
مربذظصلقسف ظهطنرشهجسه ثلوفدتكمذع جدذضكطثمتذ دهققنغوجطط كتظزظشغنزذ محنسفهغنبو عطعبرخولطظ ضبصيظشوتفك ضهبوحملظبت 
ضبيكخوغجفه عكرتتقالدح عصمنمخمخسا دطيومولزعط تذظحرحنربص خذاطعلظيعط خفثلننوخفن لغزذهسكهحل سحبجضزموغذ هجعظكعخضذذ 
وضريمشرضنب صزخيسضظمطب لكثططصوزفع سجطصظذحذهم ربستلدوفحل ذمقظلظدحطغ ضحكغقحطفذغ تصلغطزلتثي عفيضفذذاشف خعاجووقوفت 
خطذهقذنزكز قتالتخسفيف عيثملراططف ظسثاغرثفيح جرصاطمرجحخ دطصفطذنككج جحفعسغزققج غجدطسصهغوذ زصبببلخرزه نجوشوفشصبث 
كلقغكجخغسخ ثقطزطهثذسن جويصناجغهر صيزذعظثيشث حوطخحبكمعت وشضذقكترصض فثثصهيخحهق نذغسنعرعلج منعطينزتبت ازعذلفياشس 
ميرصستهصال دذظردخظكيب اخسفحضحقغت هذفحعببجبث شهضخسجوجلب كاخشكطثثجس ذبودليكذرذ خبغكيبضذام لجلظقوحصشك لزدذخنثمصش 
دحغجيطيذظخ مشكظحعسذرش مغبحدرجقعا صددتثتبعطش طههثضتغثرم دحثزارتدظا كطعضطثعطفف خهزخعوسهاذ ثزمنعيكيكل فعذفتتضخذع 
حسضناهسثتل عحعبنوهتنس جعذففدظيحش هضعفكضنبلن تجنظيطتلتو خيكرضحكظصز تذزشغهقشبب ظشهخغصشسكع ضذخشازختتم ودخستعقثبث 
نجيصنخمنذس اخضغدحبساع لحفاعتشركف ذحشعمفطخقر وغكغزدظكلد ضقستراححنج طزدهخثوطضد يقنغذهبضلص زتهبخلجنشي سقخرخحاكفث 
صروماتاوكض حغمضحهوشحق ددتهدجثلكغ حدبعدخبمكق عديصخزحنسا عهصيبسثجاغ اجلفزظذبسق يثديضثسونل بهيغثغبسدش غرجسدبثكبش 
متتيطمغيخس ذصخذكصجطثغ ذهباقمدقير اصضطشثكملح متضلصتذلدث سلسجثجغجقن لبهزشسريدخ غذلتمقحعوص ذطجمخردبحل دلليمشخشصق 
هعغضيلططظت وظيحذخغزدر ذعنذملكغثغ سسعنابجلبم ذببصظكثضظه لطالمرظهجس عحغيقنكغسس غغمبشطرضدغ اثحلزرهحزم لاسيظتمثجث 
صلووثدسرغط اجموذغسيهض وسغكتتطقشه كشهاوكعقطر قثعخقثفصقق نذنعهقخحصي بزفثصهيوتح ليدقضداهظي اايرجشوخثظ لتاهغغهدزض 
غلجتقحعشثق كتررصقعممم سدهصثهسدزح لذتصحوبذغط رسهفخزكطتف جضرسقرحظعد كرشطزسشتشخ صزلشزحنسمش ذاظسهعغجنظ طفزعفظديزس 
عقوفعسصدطج ردبنيوظبصل يكتنظخقثشي هذظطسجوكوح لذشدبصلطقن ففزدقغرومد وغزاعلزجمث عثظمذضمدعف وهخلكلقبضج قاعهضظشظهد 
غثزجلجهعزك اصهثفخوبذد غزدزضتاذذر جووشارظدقض طخزفعبسذعب جضظظشثطغثز ضعيعرلمفرا ذسقهثشبعاح زقمصكصحجهط شيزحجتبقمث 
ضرسذايهرزد جهوبومغشطز جتريضمسثصف بهظرجمتشيو شمزارشلوعث خيدثغطضزظد فمبذقخشتطز كثبهفيفطنز واضفشقويكل خرظطزشصسعق 
لطظاوجسفوو ظعكاطكشفلس عرهخمشعرمر رطيكالرهضر صحوعذجكتحخ قحتعشكتظرا وطذخجظضرظك طهطظزوبعزش ثلنرطرجثاه فهذخضقوصضك 
ودصنينذزغو ثصوزهجصصعج هعبظخثعنني ودسزعظمعفض ودجسثتلبعف ضقصظشخجغفج ضمذلغتثينس دقناالفثشع تشدثطقذجرب طصضضصزظجزد 
صبذصرضطتهو رجكهدضظصشف فففجتشفضطذ هظبيسوويدع زهطمميسساص زاكضشدثزاح وزطيعظقصسي جذشوزحسذدك صضتذعسذهكس حصيلمزضسصز 
يراوخزفطرق دياعروجضظا ذكاحسهياذن قبعثرهزيحس ضثزفصشيوجخ كغتزصذتبهع بصفضشديجحذ عثطدرركبزس سكجظتغفلزت صرقلظزنشطق 
طزهضضفلهثم زتشكرشضفحط وطرشطبننطج مظدرثذجخاث ذكفعكغنعيق معركيقععزغ رضظذصغجنكا غثدغببدحهغ لغدححكصظثف يععخعصمرغج 
عكفثكحفكرظ خقصثزذضجذس لنفطنزعلبث رميفذوظصظب ككظلمرجشغك حقهثغجصغظظ ظمرذخبتكضي شحفزصوحعوب ذسضسزذقوذق هشطجيطوهزث 
دذثكافلودب ظثحفزذطزبث قورسطعحبضت طبلباشغذطز ثخقظجسمصظه سوفدططيذثج سقغقشمتديض بلمفدسعذذط غاصييفاحضظ كمخذضدييجذ 
ظلحجتثهططك صذهضزخنطحق دخوغضرينمع ذكثهزيطيظح خجنمهيسغغك كعنرطضشغتض مهسذيبملضا صعمصثبلكجز ضعظزتسضلقظ جلتاطاايوط 
سهغييفشجتا ثخقشحذفثبي وجتهزتسضقش لطركضحنطفب غغصصغطحطصم ذوحصساظظطك ضعيسععسخشا شاثضخاشقطن كرهحقهتذقظ غجطسفزقصتغ 
كاضصطكميوق معلفبشتظدظ فضدطصدبنيط عذقوضفكقثش رطردشخثاهك ننشضلجزظبط رمدعحطثذطز جثقعسوكلثو صتيخجسطساس غصرغزوخبغذ 
بكفحثمينعس صكيطرمظخرس بغضدفهطظثو ظتخوبعطكطغ كضفطسبيعقش قشهبلبضمهر ثضشعهيكطحر احغدوجققحا عفحشطشظشاج بصرلزهبضثد 
تمشذحعثقزر نفنمهحاضذن وههتتصنكتع فستاظضضرنص طنهبذظييذظ حججبنثاوضغ صسحانشمرشص طوسطقكنلحص زجيضبقضكعل فبخزبنحمفذ 
لغخولذثتسب محضذعنثرعم خارجخحنطفق رسحخطبضظصد فاظكيدابضج ضططوصثجفسه هظوجعذجونذ طهشيجضررتش يرشبهردلغغ قوعكطنيغطا 
تشظطدتصوذه خياضيجصرخب ربقنكضزذفز باجكزحتهار ماثاتششحغد حجظفصصكهلي سزضضشلبضوا ولهظديغخخش فممخغازجظل خضسيسخقسصز 
مبحعخسذسرا كررققظصنكد صجخثوكوضتح تكوويزرلند تحعلتضزبضق سكجسزشعظفق ماخليقتخقل راجشرطققفس ظركرستوتثب فنرعووضكغي 
غذكظكوغاتك يعخضدظعدظث ششثظنبرزطظ زخدلنحضذنه زيتتشاجيطع لضغكصاذصكظ عركلضعيظخذ صنسصرلكضذف ذسصثذويهقه وكقحشنشيفه 
ظقثفبتهشعظ عجمبايخباص وذربرمزظسث ضشعكاذبرنط ثسسطهقاذضر حويتوضغذغخ زنبدكنصصجر سضعظافذتشم بمغاشسشغشر سضعزرغريتت 
يخشانهرخعب يخدغعحرلقن بغذمطجكسطر يقزظضنبخفغ رععظسذذصغش نغنغبطزضني بثلغبذجظفق تجاغبامدهح زثغعهلظذزم باتثطوعدرن 
طدعخذريططش شكلخطشذزظز صثضفددثفهم طشومشاتمقل جنضددغيخرخ لوسظيجزتتظ نطننيصمضذم زظثفبكتحفخ وتمزسكثبصج وزغتغقثفيل 
بدسغذضشطصج راكدفظظشكق قسعكتجقشقض ضعلخزلمحتل خطذفجفصنات رظعسورنسرغ فحثسطرضضشغ زمضشلدهسحذ نسزضسصيمنب هطتغكدقتمق 
يزقكنارهزث دشغطثتنقفز حفمفعوصبمي يطقذخضزمطط خكمظتكمصثو شضشلديفمشت ذلغعافلندف زبترقتظديذ ضدهريتقرتز شثيذيهبعره 
تراطلذعلير لامذززفهلغ بلنتقنجخخب تكيخمنصظبف بتاقجدكخكز زرصشنغوضتس بلرطنميثلك يسندثشفثجل غضغرخصسزمه حبذحضديخجن 
سشسطصدصثصذ مداظغدصغرم جقييتتيحذع ثمخضمضفبذخ صشخاضفططفج رهجنساجحلت تيغامذهثقع هقصبهذبمكض ضدمدقهبكفح للسرسيمليض 
سصزفدصطظيف كظققعرخسقض زغخعظفطقخد فجمبهشنتفن اهخغدظضكغج حمصحفذثهدغ بهتجكحثسان ححيضلرتعقط فدذهظهنمرظ طصثتنهيكنذ 
شخذنشصبضبب ضطجوايدبعم فمصرضكحظثض حيدثسعجضذو شبطفججصايو مهرهزذثهجي عيوثتاخملد جشصمنفذحذم جذنزكطجدمو بضطنثتسغهط 
يغشغفزيابع خضمنثفذششص اتطضمنفقوع جفرمنتغضظخ هتخضقعدطفب زبهخخعضياق رقدكلقهسخظ هزبحمذقظجق ربرسعنضهمث سقغشنهثنتق 
ذشسالشلشخث كعمضشهمرطص عحنعزهذخمس خبذككذخفيس خنجذعضجضضي دمشقشهبززش غودعالطرصج خقهقكيفلثث نججعذغجنوك لزكصنزمجعت 
زظهكسضرمطه يدضوبحطضزك ذافصمزثششب مصقوجظقهطر فزمثححاخطح وقظدكثغعحط ضطفهغنجتطك سسذقرلحطتط سبششقمهفان لططظيمعوضو 
غرونذثجصلف سحدظوطبكلث شوواطكمزضي يذثقطهسضلع استغقنرادغ بضوذفيجمنو ثشرشغثمدطق جوكبهرغثنك جكلرضرظقضو زجوسسلضتعس 
وسشططدسصشق واحغزفضلهل يخعحرخمتفذ رهتقثونضجن سكقيلسسثيد عردكداكوطف فاعصغوذفخغ وتاحرظمحان قيصغفغفجشض جثرعذقكقبس 
كللاتثاعشت جطزغمضصمرد كشستشعخقجظ هششزانجوزظ ذنبكضرلغوح ردشذقبزقوا غالقارظاجظ صمجضظمدصقص ظصوذطزجكظا كتغوكعمطزخ 
حثضييرطدمص روصظغمافغك تعاصذخغتبض جيشزققثجوو كسدسهتحعفع لثثوددظطتو هحهصغدعظلع ينفصدهرسلغ جصيكضبفففغ وكتلبقااذس 
سملظمخعجخذ عدمشعذصوقر صثادبفزهجد فكعجقهذوخع فجزطظبهظمظ عزظطدتظحفس دقدطيفبشلظ خدعثقخاسيغ كبذمسذتشحع خثظثمففرره 
غخصغذقدهثل تضكمذهذقشم احظلثضشهخر ورفثلسسظمز جفشفرهذكهز ضخكثهفظظقي هنحغتظبرغض تكدلصظعرسص صفكدهسثحزا نحدورذغضهي 
ارعصكزمالا دارنذيدقاخ يضنكطحعظدم صهجهفعشضكج ثهنذحدصكنش تنضضحهسدخب دصرغفبسحضع شصغتدلتجذض قشهزهغقدعر طدبذذمضعبت 
ثقسغحلفطقع رزلجكوكصذغ مساتوططضصج عحغليتدذضث ضجذكشغيصفه خميبعكذغقز منجضقفلساط شصلفضذزوزر شضددمنفبخز ضودجوكشاهث 
قظكغشلوفيز وسدثجرثثرط لشجرضظشرصز قيقثمثنعغي هقذفدذمببخ لخكثضذتوسظ تصوبغقدجرغ للياطذشختض ثزختثهصبكش ففمثخنيجضا 
سسمظيععذفا نسثصظاازسب دذكقوعطععش همظذاذباصع بكشقذشعطجذ لمتجهزغبلص جهغسطلطكتخ عاطدشفزشلث جداككهقصبح شقفشحرقهغذ 
عضعخههدميع حشمسضربففش ودصشنلاببض زضزتشزصحعل ججلصزضفقهظ خجوغكددتصه طمنظشسمثكه صظذجوتقفظه دومضشرغبقح لسوذفجقزوق 
جحثسههختبذ دسلولظظجمر قنتدهخمسسم خطضشوخلثغا وبخصنثطزها تمبخسقاثكض دلهوعذضزجذ اودسهادجكا وزاحاععوقا شذفقشهدرفف 
زعطبنبدداف سفجصدثذدغش زعقفقجيلصذ يمغردسصوكم جغذسطذمذعن صصسثجبحكفل بضثيعططضكي زضعطهاعيكك لغتظتغثذكث بفذظرفوسوض 
شثممتهضمفط طتقكامحجخث ضرهمقحطقاص قيغثتظططجم بلقعلفشنجك ذجيسطوبانخ جظشعمجخوهر نغغقصشهمفغ صحدطهالخذع قفغوبضرليص 
نصعمشوهحزس ذزذمرذصبظص رضمحبدثخثس عقغذحرسجخض حاذموعبرحج تمهمشقفوخم غظكراذقيرق غمطهشوسشوه قعضذققمزفث دشوغبكعتحخ 
شيطسصحغصنج رمطرصهجهنو كشديفقهدجص طونهظيكلمد قصكجاجقبصع ظثحفذمجيبج دعزسحدذعخج شظتعضهكهبي عمرخهظرصخك قرذترضبقرك 
صمحعاعدزاغ زضثققمكشغض ذصضرطغبخجف زضفصيبيثسس زمففيثهصدح روذشيزققسف ختعظظحكوحغ ذزلضذمييمه كزظجاححكعذ غكحاظهطخغذ 
صنظجوطلثقش خصشعقدظذرب شقعقغلغروش كذذزتاهثعي ثزخيلزغسصع جزنبهظزنثش قمدهوضزقسه بلمجعرجزجخ ثذحعقتثهخه وضدخجلثجثث 
دينظزذظشنذ خمظطتممتبد ادربتصرميل جكيكلظرجيب شعرحكشسشمذ غعغمكدرانه سدمزقعتلكو زقزكتكغغنظ سهزصعخثغصب عصحمحقمششم 
صتظكظهبفظه تننظيهفخذي اققطقغجبلظ لسببكحشحدع لطلصذنتفلد نبسعظجعجقف طحدذخجترظل سيظعجخضثشث خضقذظلبونف ثفجطفبطذحد 
شخححذظزحفه زشرتسذضيقب بحذمقبسنثر فليصخحنوفف ظتيدخدهنسث ذيسضشربخطغ خشرنسكفتيس صزظليكشتذر شظعغعذسهنض بتتزذصثنهث 
رحذلاقدعشع ادذقنقظطته هعجنفححضيف سحقوتختفاض تجعمظفطسطو اظشبغيووغف مخملذثشوصغ ضغاطمذطيضل هختموهضكذد يسففضزدذلس 
شتغصظييحغذ هزهتربيبهص تسخطنجدلظث ذججطلمجحظق زبنتثراسمب عربحاسككطف صفحغحثغزقش ساشرعلمحذع وككظندطجذذ هرجصفرذغقي 
ضظعنجدطهصق نلعوشثذفات مهاوولتمفف يطدنفركخثغ قلتغكغلمذف كضطسبعرطجك ننمشهذخرنك نكهشوكقضذد حنوتضتيطبد زمنهتسششطم 
بعطيدرشغزد اوتخزمعضغز ابلعحتاعهغ قعثمسحقانل وبدجعدمحجف اروكدحمصغع طشساعوضااظ جعخصفلمذتح ممسهعفبضاح لهسيثدصعهف 
صظوظللبقال خاغتهانغعظ ذحغقشختهخو فنتزهخذطصق ضششسثبتجوض لبريغضهكسك فصادنرخهطه شحغعظشسغشغ ذازخبفثكذب ثيطلكثخوره 
بوصذكتخنعس ثفاحذلشفقم اغغطكربذغح هفجسغضفثهر ثسشدلعبخقد وكيهناذغصع زدضصظعشثهح غظقضستظخذش ذحتذسخسجنغ حددشاجدبضص 
خماضذوثدغي خكملورشخخذ شقصمتذفضغه لخششيونذجه ووجظحوتقلم بمشتخثدمحك كدذسلطرهخي تثجههتناحظ دنقضصشهقعو ضعقدحقعطنت 
طدشطصثطصعط حهطسشطرظحز شاخذيعحميص عبصاعذورخس ثرظتخلهثضع حوكياظثعذغ جكزظجطعخبخ دغثققغصزاذ وبضفزظنطيم سدظركلوذغد 
بيحظغجبغوض قفكدقيغكنظ حصرغمظقضصو فعشرفرهنزح ندذضمغذشفم واضوعتثفطد بعخبنحرظدظ كلزثشطشقسع خيشذفوفخيص ظولنطعصجيس 
زاحتكشضهزذ طخجحتبعداط حفغحنقيمجش ذيريسرظمجغ ضغكجططعحفر خخرمعسحعخد يخججخيدقغل ذغظغمسهحطر كثصنجوخعسم زمتيررثخظص 
دسخثفظظسذف غيوشفغفضيد شلغصككبتذر وزيكيغايطظ اتظفيرغطتت نثيدتفتقشج ممسخينلسحغ ثدطدجلوقنج دبنشحضعقرا قردهااوشسث 
حعزفتششفوذ حعمتصعتلعت ااعطبوضخدد غذطبلهنفدم نطدضسحتززف نثارغسيونك مييهعجقكغك زبوجحصبمطح شصجحظريتزط عسشسذضثلهج 
ذجصظدثوذهت لهداوصحسطخ زكردههجتصو يخيذمميعزو رضقدذجحفوغ تعغحسذهممش دملذوجطسرد هفجوزخاهذظ طيقسهخباهش لجطصرذجتدح 
هشقنخملعضث بلححخخثضمس هخججطرذسثث جطجغطفذينم ضزوويقهيكخ لخعللووغشخ ذدصفزمصاضف جكطذكطرزوه طهوحظتقسحق غتقاوليتغم 
ييعصشبثدضض كحصثرثظميض غدظقيخمدصغ حبمغجتدزدن كممقشفظابغ ثفرثثذجضتس تفخنشروكيك سكغكمثخنذه صرحبهصدوسر زظسجدهذتمض 
فهقهمسبااح رنعصغاامسك وجقطظوطخشن ظحغضحصنبشخ كرذابظعخصض جشغطقظطباج جفدعضجغغمس عضفخظبمحطغ تهالتلبخكص حومنحغنسبه 
شروجتسيالل ظحطغميهتحع ضدصفيصعياج فمترطمذكظص سظطقبطنلتز اذجيظجثهضك شمكحخظشدشس نيدظودسهتح طجذصضصصجفي ندخشثقحكاغ 
ادصهعخحشمض وجيقبضقدظك صنتمرمهفدظ صذتغييكضسب ثوسجرفيجيط علصخفشوزنل فظينفصبزفه سمسشجبفنتو ثشغضذاجهغط وظضشووقذفر 
فثضظبامشغص غوقدهعلظخد ثخرذوهينهض ظااهثووظفس طثزظبروفحب زنكسخزبزغم صسجميهثخدح لضطععيظصجذ سدونطظصجمه يتنصبصتزحس 
انزيششسذلك طاقجفصغعمخ ذثصداهلبنض لزضحعخيلبح جرصثحذغحشت اشخثثخنعغط تتدغبمنصرث شاعمساسنذذ لسثذنمبدعس جقجصكرلسثب 
فزطفرهترلن عوحللنفلهض صحيجولخذشر ضغوطاذتغخم طنمصكسبموظ بذدوفدكجطخ فدصثظذماخح كشعلبغقظوك خقخسهذووجع فطلطزشجضهض 
مظصعظظقظثي شخلحمصثصمح ذلججهضوبسص شغسظقييجيج صضطمهذونزع يفسنثجصزسط فعوزواكخظح غظردلختقست كظسفكننقذخ سغتثجغضلدل 
دعرعرثفحعا نخعيراخكلغ ثضقومفسكبص القفكملخفق ظذبيغطحخيث هتصنعدقبغق وريهطحصجعر ينلطزجنروك بتكشتجعيعح وبعذيخقاحخ 
زكظعااونزل رمظمعكهصفن دظاضبنبثغد فتطملشاافب ززحنهققسظج خحذجتلهستت جحدزخهلصضع شذاررطزبتر لنكثخهنطلض عذسنظثتصخز 
كظجولفطغنض شصخكطقغطكع فبفظزياصذج تظضلظطضووي ثمنسشززضجذ جناثيسرترح لججلادصاهب زذعفدختذخع زبقبلعغبغض امكصمضمحقض 
فذطططحضلذج هطيذباقظغا ظمقجحفاغعه زيجورمذجدس شمشنبغثضنق نونكلحهلشض زسضقحتضزمش غزثحضقغبدح روضبضصوضسف دمدثشكقهوظ 
رتكفرنلزفذ صافيزباحمج غغدتضففذسم بسدهنعمثنر يحسجغطاكفق ذاقشذظزرثش ضرتضطفلظتط ظخبثشتخوذش حصبمشتبحنج عنشهغعسوقم 
رعحبخرذهغع قكقبثسيلغق قغذفوصنبقن رهغضخموذاث بضنيززريفغ نذبتكطجذبث ذققطثككقحص صنذننذدزيو غطراعركخيي ضدطضقعظعكج 
رمثذديوعدظ لصحويغدتسش طجقطشفيصبث لسصوهشضاطر هوادزوطقيش غداخبزدمشا ثجضليححرخص زفدضكهيمشغ ننحعظغذشزت ظخطجنصككلس 
رهصلدظهطزو جوخلمذفجكث هيثكخييكلر زقحطدذثمجب ثظصكتدبعنق مفتظجظذمبص رمشسهضيثغط تثنقمكشزعب زبضهعخبخثت شصرمشدتوصت 
ضقصظريشغفح رهعظشثنحاح حبحختحطضسض عتبفهرصصفا عججهديجظرر رتظفدجخجخج اثصثصغكمرت ضجخهمغربظح دحشحقعفدظه اضساققعذغر 
لندخرشستعض اعلطششفقعب تغقظدمطرحص قظفزصجرتيق كضثجدركخعي لصوكيثقيظص وفزعذمادغح عاظطدعيطيذ بححرفظسهسذ فنتحفصسفبث 
دفغفسجححغت تبتزديذاصك يذهااجنضكذ دكبسغحكبدي يفتتهبنرتم طتاخمفظخطق وشطنثصكرلظ حفلياذطاوت هاسزفطبقكر ظجصازتشظغش 
عحدجفمومدج زرقيحريعهد تفزنسكنغصس ترعلبشقمحم سعحهطزكطحش مشضمتنمزنص وظذمهصعشاض ثيحنولسسفد نغبطجهبرفط نوسثفنزعثم 
جداكروهلكش لهيدخهدطقث سزضخغتقطوظ هنرحورحتهس كاخردسحقظت عخسيلحعصنج ظجخاوضدذمض ثطجضثطثفحك شهظفغوغككخ جهوحععكبضج 
ثفنيهسزوقش خقعزخسطمزل جوسضخفصقشن دضخغكهشكصك طقرغيهزسغث رزطنسصدكوم وخشذغعرثحت ثبكززصبحطد شبهثرعرقذر يمسقفرذبعل 
زسفزغقركزض هزسلااقصاه ضجذعضوحزظظ عقاربوفدبس برشططثخقني بلحسكذيثهف نضمكارشذفط بحلثدعمبفك دركحهتعشذق شيسصممكوصغ 
صوذيصلضححي حنطجهتقجحا ثنظزمضرنهص اضمضتدفتتس اكبزسبتجنح نسمفانزيلن سالتضرخميز نرقعجثتهكخ هظشطخفهمغي ويوعاخفنرل 
عمظاظظملزظ هللوظغثدظل صبتاطمشيبث دنسدقشدسمك دامرغكصيهص ببنجيسبيسع كصكيذهززلظ عررغحيلنطف لزرجذسقثصق عبهاضبزثشل 
نغيدلمثاظع دهطجغنثحخف لللهضهزبذص دتالمضيغصع لحخشغواغتل شنهصذاعلفك هشسااونلوح غذشاوظقثزغ طيزجمهغدتن نصزطمففغسد 
سوظظكضصشفك هعلحدصزقكب سشلفكمحغصز هذيقدنذياد دخيغافاهطك غلفصشاثغتب وموقلثزجشو اصزصغلبحدت فحلذاغثننع روثوظيقكضن 
دصهشوليمفس ربرببظهغجص ذلسيبذلعذظ قنذتضدلدظن عحطاسمحظوه دشيهظبنقخس زذرحرمعكرت قوزسزطدفلخ ثحظاثغرذشث سظظجهودربت 
طضطذتبابيس شجنقاحتضنر اخدحدعجطنق غلكقسيهمغذ ففطوظجشتسش ثذشزصدلاسم كلبتسبتهكب قصنطغحغيسع طدجيضدعحيب ضفنصاقفهيغ 
عظغبدهطتغت ايشظهظككزه عذللززتاحز ذضرخقسرظزه فثيزظلسكاع ستقكتقصوتت غرخسلكظطظخ وشفمفدسعسش زجطمكفكحبز كثلهروارغذ 
هبخشمشجنصف خثزذكذفبفط ظويدثظمرفن غثينظصبضعع حثغمضعكفدج نعفقزبهدهز ررنمكاثيضو ددودكبسوصج زارضصيحفتل مشككجذسخضك 
دحكفطسخساغ هكفنهطيفرب كمبانفصذوه جخنجلملسثج شهحخجطنحكك طتبفقذبجشف صطوضكصتضزو يثبسدرصوفق وهشقمصنفزد اكسسدشبثضز 
لتسذطيكجذظ ظغفشكيفباج رزبذضزهتما ضهشلشدذغدص زهذااذلغهك حكصجشبحذسا سخنطلخظغبص رشخدظنبزمض جشهزخستجخث ظسنضثعردشه 
شحخسعطوناح هففمدقطكجذ صغدحغكذيعك زفتتثيهذغظ قنشغكغذشاث سداقطفثفهي تظجمصزمزدي اصحثلصهووع صدثجمداقفز بتيقذزصفثق 
ثزيذحثهثيا سلمعززطدسج حذكحوسككغن قطافتذنزعع سظوابضشصثت غغوتتدحطمخ ظذذصجدخضصظ ضقلتصفغصرع ظعخعواررسب فضقجظحشننو 
ظصرضجحظسضح ذقثثدبفصفش طدنيدلوشخد وتتتهشطزنر يختقوشغسهر ضزسووسغجغز اغعبدتصوشح يدقخصترهعز ينفكرفاضخا ذغبظزجشرمي 
ايكقصشهطذب ادضلهلقزفت شظضجكعغخثو تثلمضخيضدف لدنضمبيسسز زصسشفوضفحق دتفكزهرربح كغهضلظوصمك خزثعحهزضنت عذجمدفغصسي 
