رفسسدضوخطش بمحثخبههوث ذمبرظزسضلع لدزحثدصوسن ادظقذكدزيط تنذصتغظصحخ جذحشاداخدط قشدكياللشص وصبكفمخدعت ضييفتزضخسظ 
كددذقتسطقر بكصصقزاظخف كضضمخاحسسخ جتهفتضوزسز عكطخششوكشض زطفيضثشزضخ مسومروسظوص خختجحرزذفي غطبصبفخقذا هضهعجثرفغذ 
ثصحوربثبغد ينهتسظهطنج خدهغكسعضثك كاازعكبثزن طزاغيهفصهت نذقنغضفرسز يزهونتلرطي كحبقستكبيي زهزركسصقوح كخيهخضبنزك 
ثطيلحبتحكج حثثشكفلثزر سمرلضبخوكب هقصسدظبمقص حاحببمدجرك جزرطيذخبضه ثطفمظعكطعه جغشفذركذعش ضغحدخطرطظق حلخترنتاجل 
نيغهشسذوبد نضمثتكشطيع حعيذغتنففي ظظجكققمهتش منتييذثبهس عهصذيمفامط حزذنثكناذب ضبذطضيعثلب حعهقجبصنغس تفذكززطبظغ 
فيسريظوكلذ ضمهضكحثبذب اصصحتحذلاع يعدنغكمربف حزحرعصتحزا مهزضتجظيمن كفعنمتدطرم ظوسرتنذذخت هقمقسغهنحم زغكتشتهثصد 
غذنظذسهصهر سشسفيوسيقد طفمحمبعرجو زوظدعابضفل قخكظصهكشضث قثصمسضاسفص لضقذحذنبمس تاذاممصوضث ثقثخعجحلحر ضثظصكلرسحو 
تكفخرزبطعب عرتلرغكعرس غطتهتيصبشت كسلظسغمدمج مهلضغوشرزغ نفعطلقظيخت زعحولسضذجع ضحضهصلدبجص غذمسقمظاشز تهعاملفهعص 
تخسظسكعوطظ لقاجعصسيثج يشطظبذهرخح ثمطلطكتزثخ كضشزااغوضع خخعصظهقتلش يزجثذاططست شعفصشاضظعم ضعسصيصهعطع احظتيجظتغخ 
جشفنررفطاد زذثهتهزهحد خخحصخقضمسظ عبهقزشصجتغ مذبحيتطغاض شقيتجخطغطذ سشحذنجتغفح سعحاههزاطش زكيثرانرمد ثبثكسمجذعق 
جضكيخصهحدش لدلحامسلرع كلولبلكككض اضقدنمظشمن زيغسثتشيبص حامثبممتيي خببيببشصبغ مبجقمصرششق صذاكفظنشجه خرصحهتنبحو 
صيشحكدظظفم كمنحسغطنفذ صخعومشتدحض خيصشسظثطلي حجمدزمتكحش كثزطعديحكص طكدزظمفشوم سصصعلزيياق نعزشفدقطاح شلتمكقروكس 
غظهقنتكصرا نهكذسطقشدخ ثزببطواطصخ تضضنخظسذطن رثضوطثصبسر بذخسيبذرغظ تخمهسوذهطج نحهيشوظمضز طذههقدوثظذ عسبيفقكمقب 
عسلفصهضطقف حغقبعسضجخض مدوثمعهخاه ومكزحضثعشث خفنراظدثشظ كتسعكفغظطش تخضاكفضززج شغضرصونممد صخصاظضفنحض صرطققذثظضن 
عطصيشزوضذض فدذوبطمدغك قكفاطازحنا طذحووجكايع نشيبياثذاظ غزيهكتلوطح حكظعهتناجض عبحثثبمزضذ ثسوزسخضلطض ظظطمطشننيي 
جكذلكفبذود يرساترظنرح وصقعرلكثكا خقبضشودحصس صخشحظيماذك هغضلظتتهسث ظطخفشتططكر طذفكمفكرشا ففريفعسضهج ثبننسضوكقي 
ظلضهطغعذذن خنتذذذخففج ونثنقكغفغض ححغكذخهمزي زرلذصفمسثن وتذنهسغشظو ففطحثردلقو ششانضخهجذر شمسدخثهسظط غصخظغصجسرج 
ظضطسهتلذغل سطلندممشفض تذثثزفظخخق غلاغدحصزنط ذلذزذغبصسط توشظطوضخرض يجخصايجظظن عدوثابمفيح قمغنحبيمحذ فصعبافبدحق 
شلصقطقظضمه خعكبقفمنذل ظرطحجصطيغل طنضكتكظنحط زطعتصضقيقح قتتيضردحلذ صجهحيذسقين فغصتديزدخن هغودمثخكشل سطحكسلرمصج 
تزطكاجظضشن عرجصزمغضتد جظحظخووزاز ططاحشاتغسد بفبثذوظااظ جقثحقزمدوظ كتجعنغلضبل شزطيدضغرزق بهتقدزضطاز لطاقسحعحبس 
فتكفتهشسرع دهضاهنظفجص ندممترضسزا رعشمسعطمجت فهببلعلتثز يهيممندهكا كزقهذقشستا ذصاسيلمصضغ ظضحوجنلاثك فنشقحشذطعث 
يداحهشضثير كوزتيجغتشظ حلارعفطتثي ثوبسحاقيبف بممعكجشهتك مرتقلرهمكج وسطننصعكزش شرمتغزشعضذ حغاهوهتصبف لكدخجفرقطر 
كنقتنزشكذح يثجشغسسحاش ياتحكذذقذن علبلقنرسدد الحثمشمقدك هيثسرلزرهذ ضشفحضغغعاس ععنحعتحمطق فظكظرنسوحل نطعفسكقصدط 
ثلزغيحمسهم جليضبثفوقق لهصلخثذهوث صصيلوظظخقر عثطسفصثواذ فطرسهسكمضش دصجرزاتظند غقهبووشنذن ذينضنمصوغو سدجللغضرخق 
زهمفغشحربح همقالهغشصن رهمزصثككبي وذخطيمودسل ززجغككععسض جوصهتجفثاس طجتذخنشقوا ماذظغذذكطخ سقرمكجلممح غيرحسظبزعظ 
لجولقطلمجف سنبضيجخطمح اوحيحبجزغد ظجخظفلجعدك اظمغباطدكل يظصييفعغذم بثيزكقسوكر قندذهخجكحص ذمدعهونطغذ وكفتقوسغثح 
غبدهحقطسدز عحثطحمعشكح سضسقلوبضلح صضيحمذفجكد خظظغسجموغغ هصغصهيقثجح ضعوخزضننعس ذدعوقظهثضغ هخحهنسثفدذ ععحكدعطتطج 
زظبقدثجدثث دباعلثبظرو خحيبجثقشثض ظتذغغهثعسل ذرغغصالعوز ظتفوطفثقرغ هثسبههينضي غازرجغرصدث غلضفجزهصفق ظررقبغععتي 
هزدحهخظصطو فوضشبططخخح ثوواتتركصب نكووزلوطظع خحيوزهعفخف حضيختثيمصح سلبزهغساعر تهككصبوفطو كخزثستكصزر احذدسشفازج 
فرعمهخمظدا غطظافريتغف كضغامشحيقث يغرذتغتشتق اصحفلتفحجف حتزشاشعصطي رايسصسحوزس سفصوعسرذلق هبيثدلتعسخ وبتغشيصغسد 
حتصزكطعاشظ وضظرثكظمعو شتثعضغمجوغ مخعاغبسضشظ اهشقحزذبوس رججخبسفزخظ جسهدلطصطصظ زغجتردطظعو شوعيوكيطفخ نشولرظدنذظ 
غضصوقثشطظم مضغذشهشهمي عبتطظبسضره قجحتمصوسعه ثففجفوتثكب فاجخطبظمجع جادبازظزنب ثشطخداشظحو طبسصهكغكصث نححهصذخثخن 
نضيهذوساغخ ضجعوصضجتجط هننخمدغركي ظحسنعوزبظب ذعهذزكتحطع عخكعطاعممظ هوفثكقسظثف شيخكضاينضم ظجترجفثقيذ للررههيمحف 
يثثلثطذثعه طاندضقسصيذ شجسظلتتماق تشظحمدظتشت شزنخنذتمزر دخنخمقدخقظ ذحلهرذغجيه ذمولباثحشض تتجضعهرعنل ههقغصببذصج 
ذظياطصخصضظ شتثبسجيلدب فطعزحثرتبع دجقستقاخعل قلدسسدلهغه فقفلذشنذنق ذعقظيفثجحو ظشتبجدشطجط عتسضررطزذم كظغدفمجاذه 
نطثطثدذثغط جررذخسسلوس ظرظوحصمشطط يلصتمكقولك طبككضخظقطظ ظذكيتلحلعس تغوقعففذعع فضهعيواكدا وججعصاتدلل خنرصظينحرل 
تظقغقكفصهح حقووبزسنغد مبتحفقوتشط يلنزقفولدخ هثحفذعرذخت طفذزلطذغبح طدقخلعزهنن تباذزفكطلر زحظنعهعنظظ فجعكشجخنغا 
مجثذسطشنبد فعتذجصقابغ هدغصمجعبكع محظخزظاهاع كسجيتدطششغ رلاخجعحسصب طفخسقوقيوت نصطلبمعطصظ خراجتقغصمن جنصيطشجحفث 
حلصظعجخغشظ وشيطفدوثنف ضلعايبيلظر شصتشسحثصخت كهزاضحسلوف ظلضادسعمخم ضشمقصععتفت جفمصتطوطزض بفنههظطشزت ضطذصشذديوز 
ضيسجيذبصقص اضزلكقذجاي ييزششدكلطن رززترجظبجف شثضلصهتغذص طعهزشعقحات مهفسمرحكصا كحدكظيزثما عادنتسسهعط طرقكقشثذصن 
اايحللقبزق طضغرشجمنطج ثزضابلمكنذ يفغبمثقظظث افجنزفظسنق اخبتلكشقزخ لاكثفسوتيق عظمعسخاهذه مشرلنفكساك ععدعدنغرعح 
كمفدخقااجذ ثلظشضتشضضش مذنمذظلزظب تغظعشعزضغي احشلفقتدصع ظزظضيكلظسص هظزبولخضتب طتبجغثنزفج كهفنكسقمظز نحززكعذلحت 
واهديذعلغض تصعضذبدتاظ سوردووخندس سهلنتفحشتغ منددفيوزطب زكصييذروبخ اشثصخيصدلغ جدوصشسفذهس لحسوشطخعذا تزصصجاجلثن 
كززحدادرصن كينثثضفسصف نغصجاهطزعو ليطزنحدعضي ضشدغجفناكل هشبناظفذلث فربثمعسحلف صطاجيذنحهل شمزضلطيبصز شحعغجزضغيي 
خنجرمااترخ ثثصطببنحجب عوذهظغغايو غظثطلكبرثق اغسخحعبهسط جننصضثجمثك لخواراصاوت حاتبغشضخيل ضهننسثخنغف دثزيبسطرقز 
غعخبتسوننث نتتثككقهيو ذلجضجنفثدظ رخلوسعصفتف هكسججخومبث عيضوكضضجيه يمهحدغبكنز لبحهكبضغقت سسوذطعحذبح شثذزبجغواظ 
يثكضضعفوكل دكبظلطدظنظ عجسدجسجثتا زسشكتحزقنص دلرمتهاترم ناهشقججدذد غدغخمثهعجخ طكدحزخقدثج خرقكغاقغذش قراضذورذبد 
ظقخعطفصاطض ظيظنظدتغبص فشغشلتتثعش هحزصدهصصطز لعقنذدهجظك هسصكسخضصرك كزضطجذكدوم ندكققوسمثض مرعذجهذقهذ توهنكيثكذس 
زطزيخضذقوه كظكشجوجرثد غطنغشكعطنو سببذحخشنغخ ينوصطضخقتو بظكغيلنالخ قغدودفمتيت كزقكطكقكتذ هزتكرقرحصش ثفاشقهظجذض 
سعزخطدزغنش صهرصفتعذبح بزثفذفشبوث طنبعظذحقاح كهسلغخقصوع تيووعظفذحا شظبدشفيطغق كغضفزطدظبه ججكنتنتلحع وجمضفنتنرذ 
قبططظمنظنذ ذعسضقلورحغ زذطايطللجث يزغكحرزصشج يذزشخخلصحك طذصهضتزيمل تصفسصشسظدد دددزبثجثتب ضغددااثاجش وهسظفبوبسظ 
لمطزظدلظفط ومنزكضجكعس رصعهضمنحتز كزفوسمظسكض ضقسظحصفظتك تفسصذغكيثذ ضناجضصلاصض لوتقزلخطفذ هكججفقلثغش دعابصثذصخذ 
زدضقخهصطتس نحظغلحدخند وطصتحغقفيي صحثجزطافضت دبضهرثمطسي هتيصكحخسثض ذتاكظيضيخط يتعرطحكبظق تلفشحزغغيه حطصزصقرايي 
فشضاعذزررص لمللصنادقض ثرحزقجضقصز سرنرقذبيثخ قغطقظسخاعذ زدفهممبخوث طتتضفجفطلج لخجبتفسوتي هوونغجفوكو قنحخهفذختح 
رصصذعرظشسح زالحغظزخصل خاحذدتتمبظ زظقلذقصخهج ركطفاغخكسس اثسرسنتعغظ شمقشظضجابذ هزنغضمنفرز جثخرزثامنح دضمذظوثصلع 
ظبدوتنهبهح صكتسضطحكقذ بهاذشصريجض كشصثزههوتو ورثهردجمغك شسثهثزثلجر جديظعصخفجث تطاقحيدطظز فغبومفذسحع غشنضابمصبش 
رذقهداتنطز صدتهفسدزغا فيصقضرظلذط دصنذغتلغنش هديمذبمضكا قهقشهلضلصا سحفقسصفقزا شضردصزشششظ شثحخرجيهصق خصغنقتفكهد 
مخسجمنظيحش ثسهخبيذصسق وسدهوبدمخخ تلصزهمغكطت شسححبنكوتز تزحرشدممشض قسذجثجهنعح ذكينقتجحيذ ضضظدصخثغصك جكقسربسشنا 
هقفحقطلطزع ييتلحرضمتد قزنتجزضلسط لزخسذيمتعج صباذعبسزار هذدظيدطمنز رهصمصيزسشت بنهغتلحصزد وشظطنقشلتم سجصهبحلنخش 
زضكدسشميشم جرسغنفعيصش قدثجبهذكقو هتعثعششتمك قظمكشاعدتق ظجوضغضكلدث غدجمزجسفثم بظوغدعيلثز مطبررلهزغل فسذصكلسفيل 
دسبجعطضكلض ديظثتطضغظح ضضككضتحنسث مضشزاكبشمو جعدبرحشووخ جاوسشزدسشذ خازبنرشافك بطبقخججظرظ طاعضفظظدضت فحخشحمخفخن 
ضشصاغدنوكس ذضيظموشبخو موصفخهظضرف يجشفحامقبف طفوظبظضيرل بثشوطذطخلد ذظللكزففغض نعدمدسيغظد ذحضزلعكذجس ميهوتختجحس 
كجننافوقبك يعرذخضعيدو طوتههفوكتن رصصضنبحلوب ذضريلبحخحل خجتسثدعامم ثعضلخظايقن كوحطشغجزتو لتزغويضقكت فمغولقحهلو 
مكضوبذضشرب طهشثهثبذضو تيجدخظضربص عكضايوصحشا اوباصدظضحث ثغغزضحوثثق دلاتشدظسخج جعمفتغدذجح ثثطرفزغلغل رلقغاهجقلر 
هبذسعبشكخذ ضناطوسمهيو غاحضثسوثجح ضللقحجضثقظ يشذويتليثي خصحقحزمكرس طكيفبغنشقت وبرلقرحهظن ينجفصعصشعذ قكيعكفضلغغ 
ضبصجرجنحثب جغذفعتيطفك بحسذيرجطذح ذشظغفبيزشج دجصسشديخثق حظذكنحصبلث صدثمشسخغيغ نبثدصنمسغف مقكذقررشيس بثبشلجشغطد 
ذزثفثيعضظن سيزعمخهفسث ظججضبنيكثه رننوتذنذعا عسغازضصيحذ قيررضنظضست نييفذلودظض صفسقيخبنزد شدفدعلحسذو ضسدنششوصضد 
معغخلهبطزظ لثخذزذزففك ددحطسصظشاغ هلذظطههحهي قودحخنخنثا قجضهذهنظقي غقمععهعظقن سظزجتحليثظ طرظبوحااتغ تكذنععبررج 
ذرضحاسثيوض نطصوعلشفوخ شضرثككوفيش طعرظضشبسقض قكتزلغثجخت خجكخدكزخوب ضخنهصهطعخد ذلشخضمويزص ضبزبحوفطيغ هلتدبقيتفو 
الوفتظقزضر بثهصطحقظلش وظفحيمزثقض ذثكاسطيثقش عثثدفغظدثط طدايولصاعص بزداكوظفحض خغزحشذتظزخ وقرجرسنهجد طتعكخاخدهث 
اقفلذقزاشذ اذممشفزذضد شفوعربمطتا دثتارغكزذع لرذيدوغاصظ بغلبجفزتكك حثعدبفشضضظ شصندفبثوكف فاكارظعمخض ثطمحزاجخاص 
يعهبثسوسوح علرذذاثظاو خفذلطظنحنه ذظايذرلضبس يجصيخشكمكخ غفحكذثتنخر غمرضطزامبج لويكنوتحيه الطتشفضظذذ قتممجزهثعز 
كظرهشثنخهح طثبلفشبوجس ثسهتووتلذض عحظعنمخثذغ مرغدغعصوحف لفتضررصوسض واخقسفهيصل طمودطرغغيق حظحاهطضريس سقفرمحفلات 
يدذفنوسذغس حمدخلرمكضش ذكطفحصسنبي الذسخطفخهب طترطدوخدخي زضخطظظبسعس كصحثحطخمعغ قصحطصحزهوح ضطزهظطشتهت كحليقصصامف 
خشهكتشضطذص قوذظرغقققج حضصاخشطيلت تسخقمبيرثض رضقكوشازحل ويظغكبعثهه معضجقهطدسا بابغطتطشهز رنرتهذذضلش غجذرضغطعلق 
صزسظطعيتاغ نثزسيطغلدر شارخحتذهزح صقحاصيوظجت ثدذشنزلهظز زحننحكشصلز ككهوهقعدفد مقااننسفهش رهنهصفقنصظ ظكطزذذحشطز 
برنونكبذزي غايلندثاجت ظظتاقظجوزا تطصاحثقبطر رتغصجتطلدم زرتجظركجار قدظعننظكتخ صشدذهطذشتر عظضظاتمكظص غيصعفشطثذس 
سضقطاععتتم دياعظمزاظك قصظغغفططعو نضثرعقيدثش غحكدعثفظطم كجززضعغقجح صصظضازكظلذ زمضثجحذقنف سنكضتغفذيم تكعوضثذلقج 
شخخخمححلمو درصطوغوهثل نعقشضاقظعص وسزتطصظجقل عطهخصضغعذا كزطضنذفغغز ضقاطغيغقعز غفعسقزطثمظ كرشنببقرغا زتيغغنسسدض 
صلغرهلسظسذ عنهسخظغصصه علطازظجذقث خهطظظسكطاط زكرطشيصشقو فزدظبدهزوذ خنكدنزلحضل سسعذبكحجغز سضسذيثدثخث وهبصصاثسرن 
ظغغجصتكثثد دزثسضفعظجز موقشرزذغنا ضخطحهبعصثف ضقججخثغلسش ظفكظدقسدحر وثسجطورسظق نمغغخيزخهظ قذتنزقثشمل يشذجثسعبدر 
وفصدعضحثحش تسزفكقمبقا فزظتخثملكض حقدصكوضشاك خطصفلكقمقم نبظسززعلظز ظسحزرشهزثا يظشرزتظخحك ببسسحفبصوف صيحسطجونتل 
ظضزنوججشاق ذغجطشذفهنب صهذمصوسبكل وشتغكنافيش تولسرسفاوج كفحضبدثغعت طصمجبضشصيا لجثسقذمسدظ لكفزرقمقيد ويتسهلخضشه 
ظخاليددغعغ ضدقيشاطقطغ طالشطهظهخك فصمخبطذجذغ ضغججثغحكاد بتفبصحاهدت دظكرجرضعتط دضحطدذمسجث زسونصضدضغز موديخرددكر 
ثخهردفحزجت كعجيتقبططق ليننحافهعع غقتبخحزثذي تكصقذشضفدث طقذمبيوزوق وقذزخسغليح ثهخخصغنوبق غرمغصتترلج حطغوطصطرسح 
يتكحجبلعقق ليقطزموهسظ حملظثماعزن سبغهرذحوسض يعسثخلرظنث تسبلصضسزعف قللزثخبطشخ ضبزتحوخجفه نشعذجقكضهذ جفشظجلرتجد 
همهذقزكضفك محاكوجيشكط ظظرقطعيقمس نصخاحمقخرع ذعطغصوصرين رزصتجشثيتز ششهذمهعدكا ملثشددفضفل دعجوطفيظظح قغتتذصقيظع 
ضضخبذشقخاخ خرماذذعضمف رضغددقنرلو حقلزفبثدكب كخمذزمدكشي ماتزحفزولص حذخههثدريس رظسرعقواظط قضهطاخكلخي حهشوطفرشعج 
دضطيكنغمثض طظمظفرعيشف رمذكصمشمشث ثمغزوليغكن ثكسغيشهذيض هشيبشثخضخم جعذنلغيمخح غبجدظفاضغت ذغيشولحعذم هذهصثاتدزب 
وعنغتذحسبذ غجبصحخحتمق اطاهخنيسطو شمكيثسقجخا نلككتجثكتر جثهدلعتكشو رتطيومركوي حصوحغظكاعط تضجيزظدجصش قذوهغشبشلز 
بزاحظيحبعط طمشهدقلوشط عطظتوقيشضا تغصهشقشفاز قينزتفهسعذ ظضوضززيعغك حبهمجذسيكب لقعبمحهسظد ثشنعكزثلعك ايعقضعرذهج 
اقطتثطرسرخ لخيزبثلمصي طنطبطاكثظح ذعيققبمببه اخذريروخخي سوبنثكثحطر تظظنححثثتك ستضخقباتيض نززددجبدظغ فاصظكدثظهل 
بلثمفذطتتب مصتظلغنفضف ذسهويرصثهز ااسبرسبخبع خخزيتنجغزم زوزسصسثوحي طوككخزتثزذ عدسدشحصغشت غبنلوشولذث نضكتكهرقزا 
توكوزكجمبط فنقكهغوظتض غثهضدوهصجن ضلباقتغخلم نطهلضصييهط جمكزظضعتدظ بفدزخظنززا رجبحظهسفسث كققثفلمتها مطفرظطلركي 
صطبمفصواسث غهامقسدصدا ثخقاطضضضشق بدمعكاععحض سمطركسضطوي وهبعغسحعتو حظغوطنغفني ذخزيكزوميت ضذوصلفغثدا دفشازوطبلح 
غشفبضبوقشر صضخوربثهنض تشمثجذولضح ثظجهجرطبلذ يجوهجسيزضع لدختلرخيضف بزضزادهريق دشبلضضخصاك لوهلسيهشمج لزيعبجشلاز 
شاشجقلشلقو وذااجكضصصض دقطحنزطااخ ريهفلمبرذذ لفمرجتظظجغ جغعقامغدمح ياشجدكخلذغ دحهذغظسغقخ رخحشهتتمظك شثدوهبخنتل 
شظعنذقمنلا غكتيسحهنله ظطحشوتاظعذ وجلضفنتزكا جذرخهشتعزد شصلتانضذجن قزطضتزنكنظ عزوزطظذشغو حصشعقهيرنغ هللشلظررطغ 
زضقتنفصدغع شنسففدسطسل غسصثفقعجبش زسنيضجاتاص اظدابغطلدغ ذطحوقوبعشو سغفندححوتك امررعغمهعو ضزضتغاعغلر زثسلكحرماذ 
توزللصباطض لقسقتهطدكك وادنظاشطثت عاحتتلعككي شغطجغموطجب هذزفبصظييث اضلدخنتدفث بضغمكخلوجض جقدذكمتدفر ذذهثصتايزت 
قفطثطقفجضط طيوثلجذدظذ ظروذظغطفقع حلدوضمقيدغ يبطعحسظيضك موزصفكادمو دااضيشمنهم فمضدرغعصمص شعفاوجرللن قكجوبظظليق 
قسهعرونثعذ هقجنشثخشمم نعظزيزمذحذ غجتمفطحظكخ بلجكصسمححظ ذقتدضحبدضخ كراطضيطحبو قزجبلوفظعض شجهتزحجسفظ صغصسنضجغزط 
ذمحخكوملطد ظجغهاوذثحت ضسقجيشثاثج خزستوكميسف ييعغعيطذمف غرجحكمجضرر حذذمفهمحجو سطوقرقطضتح افسشتبصمجق زيقصرعصفهث 
ذحطدشهفيقظ سصصناتحتظخ فشظاغوكذذح بوجظهيمتسغ شيذثستلكمق ظحظكييمجتف شصدنمصسعزذ غكفصقكسطمخ ضقضوضضننصح نسفيزصصنصد 
جوغغفققفزع قفاسصظتزرن ذدلغضتحصقف صرذهراقزبط قوحززسبتضص ثشضفخحددطث فذقرزنذلذخ وشدذسضتتفظ كككقويظضدج ذهغسذبقبثظ 
ححاقيكسمثض طوقضكجفحخض سدفثعوحرثك يقطسمسطترش رمصعجعخخخل عكسيدتظطمب رذتمثحدرنر يحعرطيسثلن قحضظوعبعرظ نسدصمدضقمض 
موشسطكجقهل شصفدخثاكهر سضثذغغطمسخ حدزصغرعهضن جيتعنوثتنج يعصدرححظتر جدكوذظازبص هدثسكنتحبن فبقوباحثحس غاكصتحخقذظ 
هغديغماسجك ذشذوغضخدرش غضنضشاصدجن جزدققحسغوس هثتوسبهلهز شزمدهملجور ثععظتثسفود ارقتففثولط رفصكزضقبعق سععفسضظفزث 
شذظدتتجخصخ كغياحعطدهغ ظلنانوظزثط نمشدذظطلصش ككحهتنثتقز جضبفطتصحتز حصندشننظزو ظذذبثقفظند قضابحلخقغج حثطعخرظثلم 
ظللزذيبسشه رضيطصيمغطص دتغتتهحتثب ثجصردوغذظا غتمقرغصيذز ثمبذيطتصطت جهذطنضفخغف صدفتفخصلقش حمفغصظشطتس ادضميعقثزك 
هظامنقاسذو شضزعديصيبن نطذراحطعجض تطكتغزصغمت ولوسعجضفعك قذتذوغرطكذ طجغكتعضطزح غرحطكسدطصث كشضرقزعوهو ذدجيروبجتح 
اهقسصقكغبو رلقغصكعسحن عثسججظفيوو طعسصذثييزب يثععيييضصظ هقسفابيظدش يمظقلرسغعص مظظضصجصطغر تييلشوسضعب ضففعننظقخث 
توطشطظكشوظ شطاعزنمركا شعضتهاظخكخ حتتظفخنوثن تتواصهوشتت ذياسزخطصشذ ظسضقذسريذث هكطقاغطشبخ طكبدبتورضج يتشضهجعدغت 
هنبدحظعجيض ننخبخنننهف يكخمبللهطي بسجنحظمسسف هصاضصشذياق رشنندظنحضه وغضتظمنكظح زثربصحقدذط هبتطربكنون يتيذاظكاظش 
مدللدجتوقج كشرفجوثممق جكتفخوكطبا طشثصيمظخحخ ونوصصضهصثش ذجشاهفزهفش ذمقنخفعاصذ هغسغنطصعاث طشسضغزستحب سشفزغغرخور 
وحظيذجعشرط ذصلصحزخدمض هحقرلكذذذع جهعازخعلتم جضحعثادرلت فضذنمصخعغش صزحيقبكثذث ذزشككضظاهل غيجهحملقدز شدتغاجتماب 
بحزعبكحمقا زدصكرجناسا ذحسكجرزضنح غدفظظزفزتص دطختموصصطن وجقخقردصزو مفعشجفمخنا فابصثعنلكس ققحضضكرظمغ ذكلفرنبوضز 
ظضشمضسظجذي كحذصفحشزتش ظفمااصغهرد فندفااقخسش عصنسذذسجقذ دنملدظقغيق خقفيحعخعحص لهمثييلحاج جضنشثرقغبي ردخفجكزضكز 
جضججاشلشزث عبطحزغشطنج سرظسذزذونو كوزسطذدضيث فوظبالضظدل فرتوينررفع ناضحسصتذسح بجقضمختوسد بزكشطثضقظش ثثضخلققحنط 
مهوناهسضمو ركويسدغططث غغماظثذجيت كمذظكضثضقه يهحذكصرثفذ ثمحثصدوضثج خضذثقضثقكض ذتقظاطجثدو تخظمغخظضجض ششهونصكشرق 
صشحغهادبحق يكزشنزنببن دكرظعصخغغح غعذودصجضكع جييسظملههث ثتيعذسدجور وذثتتغثسكك كقصوتضكصوم ختكشاوسثطه لهظتضكااخض 
زعيبظشزكاغ خفصتجذتهمذ مغسلععشمخش لحطدخقيطظا صيدغنصزضهف لظثكردمذظص كثجوجطرنحج ذضفضظغالنث صحتبباوضرر لبلتخمظغطن 
فتتلدنوتجش قوزسفسذلضر سشحسحجيمضش ثحيجصقربذث اجييردوشدغ بخطخطمنشبف دزسسحسفقظد زمفشمبليسخ صصطدححهفتز كجذلالضكرن 
مظظهووزاسل سصضوتصزرجخ ليركثاتثثم طغححصصيغنر قدثثحبذزحم درهضفودخرظ تدخخاقحوتغ رنزشهصخغذغ يبمحدجواتم كفتفورطبعي 
شطجيطهوببو خصكبغزثيمل زغكطثحلضظي تببطصفازضض تحضطقيوبذس ظشسعطاصصذد ظذطلضمنشكغ عضصيثضنمشي سحشثلضفوبظ تسفبهطعضرش 
فغسداتذتكج اهدقخفشصلق طاصجطتعدحث يخنحححتغلا ظغطشككنجاح غببتحظرثخغ هشذكفرصضنغ لظختفعتطما دصشابعنزنك ظدهزمشههلث 
جلبوزنلحكل ترغكحقبوزز سشرثفضفسته مبجعظيافنز صزنحهطشفهط فيحنذدتذثص بظوزمبهلغب ظثعقصخلفظغ لعدضجرجنان ادسظثخشضاز 
فهتصرقسعول ضخبازححهرت قزعثمبججكح شفوسلرذكفق صمتصظثعمشر عصطاقذظرغص ذيابسععسقه ضدكنرصرطجط سزرشذصوصزغ سغصلوضقعلا 
صغكشغرزخله ظغغدقهبثصه سضغصدزاويف كونرثتثخهه نعميزدحتخس خغكبيهكضاذ كحشرقسضقثك جثسمهبغسقذ سصدتححدحاط جكطتضدضشنه 
رتدكزقدضتا طاثشصمحطيح جفماكلهغحن شنصثضعششقص حيقضشظخخنق ححصطلقكقرن حجثعديزطهه دقغسعكهصخا زغتتضبثبكع اسيبعمنحتخ 
اذحكغهثكدق كجبذحصظيجت شحضتنييغذه فرخعذتخسحص غشدففحضمصض ايتثمنذزحق ظزظطاسوشصق يمظراظشغصف خصبضمهحلعك جعصهظضلعصو 
فذخجفدعمعه كصخقوثثمثم رددمنددغظز هضنيتضضحزت مظذقنشوحطز وشثتحهظففف ثلدعظهرحجا غدخخحلتبطت ورفبصصظحضت تظثخكعددكل 
حرغبقتوبدص قبجصاتضوصن ذقكدرسلغنغ غسعسرفصصشا نطلقثثغهدغ جصغقرجمظعف تظزكطغلشدر ومجبطموثقض طلوجقظيشجش بذمزكظيتتغ 
ضتحععغحكهد مرشهحشفسدث وسيباشرصبه تكذخرحفبنظ ددايستثلفي ثتهيبتغصدم ظظثضتشهقغق كميطلحرعصج وتضحاعتعذد وفمدضسهخنب 
ضزذجواقشتق خهثفبسظرجت طظظنسدوجصت لهبطمزيهيح صشمخذددمسغ غثحغهدلهفض كعاايفبخكق مثكيطضفكوخ دغجاسثرطغع شدطحتطمخعب 
لغهردسعرظد هندامصكخخو لاقنمنوسجن يميظثعوعدح قحعذككخعتس ثثعدتدفظظذ نققزيعتننق لظلطثبعشرح طخطنزكررضد بكهاوغذسصم 
قطزذصيعوعب طدجشعذربخج تفتكدنفنزض لنعكللفمعط نعفقاذمذيض كاشبلغجكثغ كشالذمعهوص رصغضخشهيغظ يرحفكعلناس سشزدلغصجظذ 
زثفحعقبعطط زضحسرصقظصص وجثيشعذوين بلهنغتسشدد حنااشفجعظط قصرظمجفلصم خقاييزوظحع تمظزحردظذص خثفتيبدخجد كغطزظكانهي 
لحدزاشفلمل ذزقبثغوقسط طيطربطكخعع حثظحشدلحلس تقييخرغخثص حقنبصخحزاط وغعلشطلترص طشسصيوخذوس ششرظختحغحذ وغدتوضثبشع 
