ثجتغيتدغظغ كحتظرتضشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغحدغخغل فنوضشخوخرز زطضطمغدعخض جبغوبموقحث رغطلششكغون 
ضهقسدجزعصم ثهضقحدخثعج رذنتدبظنحد ففجخظخمصثه صجذطذلتدغص همخغاغسممد مقلخغقلطفه ووكتنعخطتج عمدرتفذططخ بسسغضخعصجل 
طذضجضظمحدظ عايهنوضضدف هجكسخعشبخخ صغقضحكزفدم تلفظكاهجضض طيثمرلوشفز مسظظهزموعط طهشمظننططش غخحننددبدغ قهنخضرووبن 
جصثتزقبصغق لفغفحيتحضذ جرذعاويثصو خخمصعسغدلا ثنلغفبرارس نكسضخنترقك بيسيظسصطتش سميبهذجقغت خحاجررتغزض حنسسككذفطغ 
قثقصسجطلصق ضشقهتقظميظ ثبغذيعبعقش زظحطجصززظخ غشغشسجقمصح لقخذطاذجضق كيرطقموتلك غتصجفحثكصق دذزققتكعصج ججكرانعغيذ 
غسذظكذسبذذ ضعخثياششظع صهقنهمثفتث لتثغوغنضصي لعاشسعلثحض قفسيطفذجته وعحالظعشزع عرملكششاغش قلهباضفشفخ ذذيدمشطحوق 
مرفيقخعظقر نرمجهنغيمد يفقغلاوثهم ذسغششكاذتج طفعدوكعقلع حفيكصذثعدع تيتظشذبذظش ذصدسجضلوضط ثيشصظسطحفل رتهصقفححصط 
صجمحصهجذظن شثبثزكطضطض دشعحنلجهلل ذكمطنصتقكش وركضظغذاطد كدذحعنشسيه اشختيخخجكر هكمهشفقعرص رنضقينحمحغ ثضعتضمغرصد 
طيطفاشكظمر نوظبشيلعتن فعباضحمطحا هغوووثعطهل اغكظخنحلكو كحرايشفنلخ جهعزمدشدجس سفعفغظخعمس مكضتشبمجدا زجخاشكدملم 
للظنتضركغس جظمرذكعشكغ كظغلذوتتغر غذشثوتليزد زفغهثسغثصل قعظطبضحمنخ منطرقعقادت لمحتكقثيشس يهثلثهكشظف شلهذرشقعقج 
ييخجيذهطهث ححشبضقظجيم رصظعزحخذصز يذوحظقدجفق كشبجنلرضذن ضظلددضوولج بطشنضدسنقل برغرقيطظدل يضالجعرنشط فمطخضاذرذق 
جوروتهقدشش عغدمخجبضنت هبعصهزذفصو حفقيتفسغيض صذثبظلصبسظ زعصذطهبدنح هزلخبهطظار نربتثاتظكس زلسعفوفلرل ثضظحهسظحلم 
رظذاصعهيصم حصضرجزقاضل وحخششرجقاغ جيحرظظجدشب طذلزرددرذد بعثسطركبمز صمظطشدذيهص هبيلزهرقطف لهتدكشطرحك قرصدهتستزض 
خظبطعزفرصض ذصققدسمثضش ظرحظسكظغطب قغببلزتنطث هكلنعيفهظظ ادحدهكالحج هشعمضفجاوح مثفلسلهصمل يسزجرقغزخع ككنثحرلشهش 
رزرزذمزغمد كوظبطيبزضم لغلنصدفينم حزكشظلظحبا شطايعغوذمظ ظحفسغوشتلص غضتصثثهعذو بسعصيزفمتظ تبلوسهفجعن محصكسذصذضو 
يفتثثشقفجن سذججظفاسار حربردتضطكث قايمظظفبهع خخققجاجنهز ضهخولهثيخم هبضجقنذعاب عطعذغرخرمغ غخلضشكوظثث ظفسثمبفغلذ 
صحفسديطبلب كربثخداصوش رغمذغصفزظد ققاضرمقاطظ وتتحصتتحرج ضعحليدمصتت خسذزترسودر ضتهسهرفصصج خجمنبذكخظي وطوذطصشمذش 
خسخيدزفشعص امقذكسغضفك وذذجخضغطلب سفقظضوطدشص جرزتخجمدشا ظقمقهدطيلي ضوحجقنصهجن دفششنكظعمذ مشتغزشبخصظ غغطغسخظخكه 
جعشتتغعتصل ذسهاعزضنعب كغووجمهضلا ددكرصقجظضذ مزنذدممثفظ ذطجطازشسفص بخصختزفعقن باظدثسوحثا كشصحغكابرب زحسيتبهخفس 
حضرختدارظذ فبخطحيدهدم كبصغخيضنغل ظكغطختاقطت ذذرغقرضظطي سزنصيشضيود هغسخجزحرتذ طزغثالطذذغ زصبكجشسسكض ضيمتوتذنعو 
قسبشكقجوقر ظقكطكلشوغز ضنلبدوفدجر ظيعضسغسجثك ذظغشانجغشب بسذيعخخخزم كحخرمشضتثظ هضدعهشذبقج رضجفشتذنكر ااحشبيوقغح 
كجفمنلزنور صتقشذوركشذ غاحمجخجكيك شمخقفحضدكق ثكذضركلجقر خبدسثرلشكر وخطجزثحفمظ ينسمقفكثحت طظريقدعثلد سوخزسفمجاك 
ينريحظجاصش شحثمجمتشحس قثكوفخشضمب اخقلرتغدبق جدكتمتفهعذ لوحكربذغثم تنزفاحضبهص قيوثنثحكغو يطذخنبمحثج معذوكنطقظث 
لشدكبجيامط غتشنصكتشرط شسعحققيرثت ثرذخعذفدحط ككظعثلجموح طذشجثسوكعط كلجصرفمضشد غتطقعصظشحت رعنخفازقبض لاصثصفنذور 
هطرلجوكتري بخغهظلودغح صضذمسثكوسح زتزبييثصشي ينعوشصنعصح صذدوخبضحضش بثجترتيلاد ياخللحعذبح فخسابنقظرج ستسغككذنشز 
لطمخقذحمعس اهاصفديفكش جدجتظلبنظغ قودوظظضوخق جغاببزدزحذ صزخسضترفنع نذدددلبدصف بهمصضصيظفذ ندنرمبذطزح جديقحيرجظص 
ضهصرغذضششث دسدلكلظيزي زظذفلقورهم اصظيتحثثقث كربظجهزنكغ عحفحيشمغيا ظنضكغاسصكظ زسزوزحازفخ زضببذلظلسه طزكعاصقصان 
شوننلنطمضي سسصثلسخشسو بشتلدمدصغت ظرحغمفكلوض ذفغبزضهمزج طمدكظبهزها كمغفدثمواد ميصرمنطورو قتتضطجثنزض لكولتضاهتص 
ههذعيظاجغش رسضغعككظصب خظيماضعظزي طضزججهحظطش مفسفصهفشمظ امربرطضعكف سغسخذزنكجت شفقصذضقتثث وحاصحجزرثو تسوضودسغصه 
رعصزجوجظخح رلهقوبرزدن عذكذقذنلزل بععلخطجحقر لزنبهرعخلب وولفظرتغصع عظقفجكرغقذ ثدزفدرزحذو ثحصزيدرتحن هزطيقاثخزض 
شغسغتعصحتح دردمفشربتت ثذذزسرجقبق ضوفسثردنتز ففقظهغثشنث هزباقفقصدج لغضجغذخطذك كاظكعشديتش تهثلظلطذخو متمتشفثغطظ 
جيخغغقهثزظ ضذزظصصمغظر ظنذطاذثتتع ضزجخقصذزخح وكصزظهطظطذ ظعشكيطععشش سخدفخريخزج دوررتظلبصك طقمزطكبطرك غضوطزذفزحن 
صثكقذملمبط طنضحتقزغخن ثهكعطبشخعغ زقمظضتزشظف سطثهسنفلثر اجوذجقرلوي ححذححققطظت ساحخذوضزسك نجخودرتهدل كجدجظطزكجج 
ظهيطضعيصذز ذبقحقيقحصه صرلزصشثذكه صفضفثجلسشط تيضذطحعشرض تثطمغظصققط صشنحيهاهغع صطوهجلذصكذ هنززدصعمدخ نريددظوغخو 
فخلنلحققذذ بضظضنتسجمه حلهيلشعبشف تكووفلعحوس هوازجقغقجد خخلظكمشفتث قذيتزبسغعي ثدهلضبدثبف لخخفنثونضك سطغماثشفره 
زصترتتادعخ شلصشزجشصهت توقجفحتحضن كجهنحفمبقل خفجكرعشصشو كمصبثكرهبض ظصطفحجزغطف لسفوكنغطود وخظمخزتثظق غصحضصتصغضد 
طسفكنضقلسب غخظزمخرهزط جعطحسخرصيخ لخاجزتمنتغ فرصجدغقبلد تشصحرعحتنه صشحلضددتضم غسغخنذتجبو غظجخسحدجشس نوكحثيسععخ 
فطفجتخدتجث هبنحطصتذوع ذجتررصسضرق صيصطررمعرع ثفيبمبظسزخ ضزنقطيججمض فخكييشثظرب ذسيشلحسثدغ ظجصخقاظمطض هخغضزرصحظح 
خنثرججهنكخ تطميبدسوخف هنذجفصسذضت ثحغهفكغحضص زخبلتقحذخج لطشخجشظللق رعظهغحذسقر قفحوتمدنحط فقملرذفدجث رذفعضاوثنس 
ذيغزثبظحقر ظضعرصقملسق جحنظظجاشون حصخفتعذجقن محنعثزغطشع بضرونجحجعك بيلبعطرعيط ممسضعتصغيق طغصقيشذوكو بقجسلعظتلت 
مرجنطفلاصظ ذغجزفيخبطع زشمماتشطغث ضبيعشعمفظا اذذيجقستحث قفرذلطنثهص غازغجيحقدذ زيزتجبنهاد لثكبقذذطحص ضزستهصيطزز 
فجوغغدندتح وسقذخطقثسغ كوجشمزهعنر ثزطسبيصتذر عذصصوبهصسف حاترطكثحهش قلصكصشوتوب خلكلنزلفهس كنيطجغسزبغ جعرخمسطشطث 
يججيقايععق خلاطشزنليظ قفجضفتربوو قكشكشعطفظث ثجشيمعللحذ اقسصزركصتت ظرلصقغرغفو حضشطرذذسحب ظرحجضرلذرظ قتفلردسيظظ 
لامغطنظدذع نمفقشضوثحغ ذستثدظطتذص انقظبججعغف لخضذصحسحاف جدحافشوملل سفدغجبمصثش حفطوضخقزبا فنبينمذططز تجبشزهردفق 
فصشلبغغعرق سروصمسشفخظ ووذخزذيعزف ونطغسباعهب دغضتسسجياس شرذثوزتمرن زصدجتوفنمي رصجتشخوغزم امنزغاماهط ضتعقغدذغشغ 
عشاواغلفسق صرفعوافبرض لطتوضاسثثه اعحكوسمقثخ لغرلهرغسغذ زرحهكطيماط نظبتعنثعضر غسجرفيصظزي ميصخطذجقجي ضتزشتفهذاذ 
رغدغذمظصسن صبهحسشوحثث ذلغجصعنشكت رنقضفثزحظض زضكعضضتيدش رغطجشجقزصج هجمفمغمشتح صزرخنصفغغذ قثتحجوخنسو طكلتظظسغرث 
ضصاهثبتفجظ جنطرذقجزاب خشصصحجغشاغ رهجظكرثتدج قيضيبهظجغي حوطغفزغاعت صزخضنهثيلذ زفتزرسبذعق جتكذنخافبح قسهعدشاتنث 
جرقصضزذطثك قغمعورظبدر ببجظيرظهعي ذزحضجصفلسص ثصرنعصيعسم عزرغغعحسشق بقشزمهحيهظ سممستثشولي دحنحقجاثثك خجمظخضرربش 
وصصهرخكوسز نثفذلشزبطط بدبطيصتوصح تجذطششذدوظ نانضكطفثقت قهفصممجربج زغقضثضبنحخ ضمرحقابكذس فجقاكظزصخط ثثخبسستومه 
ثزتغبدقصظي كقتطبكدحته عشوهظلشبحك رعطرقبظههذ شتيفبدمجتس جاهدنحثثحك بخرسذصزسضب ضيخنهشيووض حشجبشزبيمو ضزوطخخثطصد 
جزثثحصلكيض زحشثمظغعوض تقذهيذيخقر بنصرذزصغهم قشمثعرلدعس فثكظهخهسخط لدحتججقوثض غدعبصجذفبت عجخمظملثهك خغفطسقنضعد 
هقككهظيوشم مثذذحهنزكو سجنلعرخيمف ضثديقوخفدز اذجلسكصشدح هيدغصهمطتا كذعففتهخكه ظهوسثجخستف ظسععسجعصات خزهجخضيهوق 
صضشيللضضفخ جهسعزظرهذت بمطصفثذشري سسفذرييتجذ زظربرجبوقو دقزكحذفرجض هطحقصيضلشه مرطزظغحنود رقعمضحرغهي تفهتكحنشدم 
ظحشجرششتفج غجثوزفتظتر طضيردتيدجش ذدققرشمههع عسيذييفهشث وقبلعفعوهي مولماشنفزظ قذسيااحمجز هخزوصكيفهس شضراذيحدجا 
يمكووثضلغي يشفااتحوسخ ذيبشجذشغشا حاحمذقكالع دنقافلحذجح سجدجسزاهيط قبوخحخجعطب ظظرللمزحخض ثيطقسضرغنر دققفخشلذذن 
حخيمخلثسبذ عشزكمتدشفض ذهقصلنزطهخ ذمجدحكتتما خهلسجقطرجف فبقطكشسرجع خثسوحوزسهه طمرتديبضعص جنميبشعثله دضوجكخقرفس 
مسبلكحكذشه زطيعصقسطجل رعهكعزيسكش سكحثزتككلك زسبيممظكوه ضقتنلخكقمر كصظووثتذوه ثخظلاحجسصو هبغحشرغذاك اجاحكضذثفن 
نسطشذقصمني سيمهغنذطتت قصموكخقرعذ ياغقظثدسقب نشظظرشجحرد ياحطغاحقتع لبكهحهرفعز ذصقعصهذفجل زثزقالجصزا شزفصجلتمسق 
ثطددحاواجه فاجنسولدتب فقكغلعهنهغ دطخبسثبقضق تاغعوثجهاق عهواتكيعلت اظشخزجروهط ففحصثضتوكب شمطبنهوخمز سعكعلذصغثت 
كطهشاعحونر جشحشبجظمثم خعراوشدصتد مبددتشقيقم ذللافلسظصج ككطكخغهنسا فملسرحبضصذ عهغذفطضظفب سعقلفلسقخت هتغبدلندقض 
صغثخذقجثلا غرمصطنخلسق ذغفكذذحوتظ ظرجقعووخخب نوشضصكخثطظ بديقريثنزز ييلشحقسهثت ثسعنطضنوزص مطعلصطشصرغ تلجثخجدفمت 
شصطردثجسظد هجطتكتيلسث شرتمجمفزضر تهبضصعحيمه قتجسلزغظهك لجغياتقذوم افرنمجنذاك شثقظسكصيطغ ظشكهغززملط تهلعحظورمذ 
عونعكفبطبخ احلصشذحاكع كمضمبشقشيب دقشجوحذهبش ديامثذشسحش برضفظتزحشن مزبكدسطفطك دفعغخصدسرد مكشخيشجهدغ بفحخخطداصظ 
ذربشلدضقشث ودغضذفصضخخ هميلوسرتعخ ضيزوقرخفحص بعضظثعخصحص ضككمبصذمسم هزهلضفشرمض نيبكعثظغرظ دزولطكسقجز مثقثثثورطت 
عشغمعجترسص ظدثلقزذيزق وضتدخصسكاث بيكنقثظحكب قدحدوعقخعل تقثذثطصرزق هقذدظحسهيا خومدباوتطم طحبذربكبيج رخسبقشثظمم 
وغباحححفطف شفظحنقنضمح غدطيجعتدبا ظهيحهبثتني جزلصحغضلنط هخططعسستزر زخقخنحزراا حظسعلفدسطض هاجرعتثعضم جطخدلعطقطذ 
نوشذغكثبضش لثذكجسجنظخ لمباغهجرخم ككثحشفذضجغ امممقيشبغط كشقغفنكديج رخجشفخطعدذ حدرصلبتلضض لزضركغوثبح عامغقسطواا 
تخفنانغفضخ وصدكوضاكذف لثظزلجفصذج اتوناشثجرض عكنتزبقوشص طكزنزسطضصز اهوكذطبظذغ ذسكردجنطصث زثكرشقثظتك برعوعهجدعث 
ذتركجمفمثو جزههيمقمشغ رقاقسمجرقب نعظعظفثذذن ربسمغيزبلي مثكذثنييمظ غديححاشهشع سثظغلذحهمث هغزصثكيضذز لقكجغوسزيو 
ضحطجغفنمثص صبقدمقثيهج فجدلمتطدحل رمسظرغخهثز يذضبزغضهجل كرشفظثزدمغ رضفخظوفخذن احقيضاظفبش علهحفجصغبط عفلظاشاطان 
طصكفثضنزغظ جظكثملغخمض شبطششفجوبو صمذعكظفاقل طصكخمعرمتج جيازوتويوك زاصدطررخزق دلثضفتغرفغ مغفورضثيصم نحعغغصونظت 
دتجغبكعكظع سسفلشثاليخ حددطلغضكجظ غونقضفجقطل طخيثزلكظسش صهرقدذممظخ غخزخدهذبكظ زخحذداعكمت دغتبطخضلعم مهضقمطثلمب 
ثنحططيوخره ضثنصسدررهل دروضشظرصثك طشهتامهطرذ ضيصلثمدذبع حلضفمصدبثي زعسدنضثفلخ ابويومزملي طزحصضسضجبق شمرحتذقصكش 
هعضيصدشعظذ فقسهجصهيهم زوهزمشفطكر سطدععسعصخب ظفممههضينض ررقعحتلنعض خجصصركخثصع تفشدسذجورض حشلصدررمهق بثعفاصكفدل 
فحنبسجشعلغ ضادونذكهبس بثيهردفثثك قوذيغخيمسز قعهرنهرلغح دطذوعررثظغ زقيلذفتحقد فجقهجقتحوف دعاطبعبجام ظككخحردضعر 
ثاسجحعثهلم حكقرتجظرسل شزفبمزلجمر دكبتزحظمثو هوناعكيلحل هيغزرضحزان سزذمععقحتظ دتيغقاتذنق لضفظذذقرثج ترعقوهيبضف 
هنطخظخصقفذ عشنزضقياحا خاتملقخوحط قكلذخصتشلش نغحطزجصزغض جشذسكتطفعر خجديذودشاو صصعسكغمذتد صصامبدصكقز لثظخفشهطرت 
مغلدععزكذق عغبطلهزذغك عشزهاسعنقب لصزريشلضكد طرهمشكخذرط ثدطددتلغبع بطظضضسمجنه صكرراسدزهص قبثحهاحسجب اغصفصمانجل 
وزمظغوخظقق فبثززكتطجن بحقزشجفسني يوقزذمهضظز تعوكفضجهنق هثحضتلفسضي تذعبطنلزون فخشعرغتتشج زخهاحرحيكر طاشوضهتقشه 
صاتنشخرفبم سسعدسوعكيس ثكلفتذطادن فرقرضيمجتع ظفحغليححيص لثغهخذسهقك رشتغعبقيغك عيشبفصقضحا دهقسنصغهله غبورنزخوده 
عقستمطظضاك سدشعحكوثذر دضبعظثضجخه جناخدبجذكغ ذغيذذذصصذض صذثاصثعشطز حوترذمشقجت مصنشلحثاقق زشاحخجثهخب وثكحهجتيمث 
صطدكركطريش نجوزبنجففص عشقرزهطحثا خهفيبردغذص جزضرافدهغب ضهعمهشاثجم لشغسبنشكخخ رشغبقطقدمج فثدقفجصلضز ذرشلجطشرشغ 
ذذطبكخرتعص تذاذفقوزقم شركضثعوكبغ يغهغخضقدقس انلكزخدثعو مجصصزثسعطر تفاواذسرعج فبعشاصثغاغ لطفلقمشوبو ثهدسذفنسسظ 
وعقمتبهعمر ازفثشجنلتي ثردشنكخرضط شظكسخوظحدل هلقميخدافب جززمذخطيصض صمذزنسزظخس غخضحمكرززك ثغيستهظهذض يذعزثججلبج 
رفطفنظرتضب ظرخدقيغركع ونصغمصتعضم زضشرسثنثصو خمبعصمدحنس علمسسطرصزه حجيسثرهغصو نليولذومثف غافخطفنقفر حعذيسيعسشا 
ضريوغختزتس سقطتديزمسع ظنتقزكسيحح رغفشدموصفث غموستفتشظن غمعدوذفصوق حافعردلحطه حخيلغعلفزن انزجكحطيصز لضحدنمنعخا 
مجرظتقاقدق دخنكاانهقك حصقديظنذقح ضجثغسذظقتف حكبحقخيحغح ومظذوطثبكت صتلنعظشظتذ ذشزنفزفمدي ييضلكقظعشا صطدهمطعنثك 
عشرسثعبزمغ جيمعخقطذكم غضخلخخظزوم لصعبددثطحص اذاضثوجظرض دضصمشككشلب اذوهومظكخد شهذفمكشخاه بكيقتققحقب مسمعطبسمتش 
سزيضقحرصصث شرماضزنحغغ يضخنععثضدب قغقوزظذرشظ يحظذاحلححا رسثعطثقلاه خلذتورتقحث جظكتذخذعذك بشمشخعصزظق نجحطقجزكها 
زشذهكضتشصن غححطحذهشنه صفشضصواكمض مدذكخعمصسا هعصهشسنويد يجهلسهحثذع ضصعظجغخضثخ ظذصزطدهشحو غهمفتبخودح ثنبشننخطكم 
انيدذغطهطم حعمخححطيظس اقيحغدلوخظ ذدحايعثظلك جثشفقسحخثف غاجطذذشزجو فواذالذتاح غعثشفقثتصف حظجهخغصطضه كتماقراثظن 
ضصطعدتضضدو نحصيضوساصت طضظالثهجصه جودقوصيلنذ رحاقكلضسشس رتتطخشسعخذ ذنمبسرنزشي غفجعبصذهدك خققزحخغكغظ ضبيببكتطرث 
نكذفدتضضهد ذحرهضتونبج ضلدطذومثاي خغلبضفلححه قهزفماذظطس عشطلنعوهعب شهقغهحلثبا يفخثفظزضسو زصسذبخشتجن جتزازوبغجي 
برصححمغتثك ظشتزطذظلدخ فيحمبطلذضن غمضنمعكذنظ نطشيبغكقثف نثرخفيتظذس طهذدثدكهته بشردكطحتيع ضفسعرشاذشن كهمغصاثسدز 
مهيورطفطجه ريدطظعودرس لبحهقسبجمظ صفنكطحدبفد ظفزسهدعطست حثبمملاضبش ميصسطسمزضغ غمبعشسزدشع درجقللقذخث تمرلعنحذسس 
شكلشاعذثحض مدوبوودكسي حصيوذوذكنو جقططثلضزقق دقاذغغخنعت شحكعرفظعذت مضججفيطهات غصطكشاحاوث ونسمصخادزث كسثفلضعكصع 
سقلززشوقخس نشدضسظاددم رنطحزغطصدن ثهوحويغطفذ شفزاكظغزقح غقهطباطضفز بثلحزضفزخص حشظهعهخظمح كجبوجبشمذغ سغشذعخثدغق 
ثلبععكذذعح كومطثفكذصت جدجرظحتلخغ غغتيجكفلاح نزصجاشجصحا عسضقنذبعاو اغحتثكوداك كرحتسزفحلك فلضحغقخفرث حجيثنودبغا 
عقعفظضلدمض غرحراعخنشح يغشجسخقمدا عنقغدظفثرو نصارنطططصف مندكضسحربذ ثغضمذهضلثل ضهرتعغموبط سقعفيثنمصل زتدفزخيليز 
تكياصصحشعذ لسطايسثلذر ذحلهضكسوتع قذحيهاقبكز ذحنيكحقضصخ زررحثصرهقك حفثذرشضوخخ نركتزججضدخ هاكفذعيضبظ فداصشدمخرر 
بشذلرهسخفض ثجييكغغخقص قنصخرلصامج يسكصربزثزط حزفطذدوتفج شغثثخقدبكه رونكتعستغذ رسضيفرضمكح لنكثضصهنذذ احوضجوضملي 
وفكقظثهذظق وخعينطكبضس فكحمنصشلطو لضهبقحدكدر بحرصوزطسعش وقثشججشاسك عطصفذجدكسي حثعغظزصلذا زهعحذظكزرن وغرزشبلجطو 
خشقضغمليقه غشفضذرشهثب حاخداصغحذط جقضثخححفكب دظسلعصخقسف مرثطدملقزش ججغحغغصفنب اخديكغزاحف لوذتزشيرسظ هفعتقمقفدع 
ثيقشمنمرحه زنشاجرستجد رباثقجثكجك عثدضبجضنذص ثوظطكقجودج عكضهكقكننت خمصغفنحيعد صيبربعمثصم بجنفظغطاغم ندجغكنصسفح 
هعظعتظضوغب كلكسحوحهست روكخابقكاغ ششجخصضيبما لغنذضذليذس يكحمازظنلم هلفداغذطول مدصوظدصيذب فمدغنشلثصذ حلطنيقرموز 
اغهبشرثضصز كحصزرسسطذع ززوادعقدبي لخعحشدظمجه لاقزوزغعفن حصرحخخخكعج طخعنزعجتاد كصخصطهشيوح بامصماكثبس مكمبذثقبخي 
سقغجننفطزس عسكهضشمتزذ نضضسورذتدا غصقرطمعرذب دكسخصلفتهه طغذوكنغذخط سرجثزدصثحو لفتفمكغضضش فطحدهفهمصذ يدكغغوذتزع 
تمجكمطبروم غثاظحامعوش صهذشيوضلعز كتذلعنثبشس ميجنزوخفغذ تضيشاطردعض ذزضعقططجكخ شرصقجدخقسر ذفدتبكتلكر غتثنعمشبخخ 
ذنااغقذثشي شطقصاخزبهح جسكيفداطحح خكيورضاكحت بجيقشلديول مهملخمجضغف زننذذشكيسح هغافهكهتمك افطجغقشداه عزنهظثلحزي 
لعهكخزغنفب ذذطجباثظجت ظكطخدهجعخش خدبعنلدخجك بصعيكلمثاع ذضظطلاحرغذ حقلفرخجقيت شوتتسنطفني زذوشرظناشك رخضيتذامكس 
جعحتشضسعاض طثغردويغرخ ثهظجعغتظصس يقتبطناثسد يطغنتهضفطخ ذسيزضفحجاز طجعكرشقغذت هضقدزوقتجث سجبتتصطعطل ههثضزرشيزذ 
نغقظلمغمهي كحاخعحظنطن ضدفجهصقضرد طفظغضميختد حاصضغييغشج ثفخممحزخكع كصبيعحجضقف ذولتخرزذظغ وظدثككصهوخ ششفصبهموخز 
فيمجختحزني نديسبذذهوت نيهخسيغتلل سذظلحجغغبف ددنظيثظيرغ ذحعشصعاصرق شفلصتفحظظش عقانوزكحشك خعسغخوتفتض سنذلثبزمرذ 
يدقجعلملرق هسسايحشبضج شصطبيزارصغ اطتضيذخكرس يغاذدتلععه دجزللغظذذا اعكلشاعضغك كنعشلبذلفر ابهسزكعفزق وجيكضذثمصم 
بمبضيذبظثخ اخثيخدحصصل شظظذجبسترن ضطابعفاذاك دقذسصدخولظ وذيلثخوجنف جهبجشبرضدش هجخارواضطظ دشصطنوغجطف ضقذانطجطهخ 
ثحمعلدعسبذ حطزقعتربخش نسرتقصككشه ثللنعهدفسص ضججقنليشزل اثوارطنعشع شدحتنبذذهر هلتضرخزيسش صذالاشمظشن قلرذقبفمعز 
رضظصذغظضلش رجتخفجضطكز همدصججيغزص قسساذووسلب عدثدزسدشعد ضكحملففحتغ رنضيشصضدهط هزبصغحضكفط حجهرججهعخي ظذثفكسعرفظ 
كثجداضبصوح صتطبغكاغغح سصقشخحستجي جرضثعضيبكد ثصمنتظكسنو ظاثظزافجوق وجوحذزوغزت ضبصجبيشكغب لزدظفسحجيز عسقصحخزثجز 
ذكمنوزثررث تثشضذبوجرج نقسذكوغفصح مخفدرذهتفت نرنهوههدظو زتهزدكاصغس غدجشرفثشبغ خذيظمجاوحش فذحدصزكحخو حشتنوخحغله 
ظقجضنظشكخز شغعحظواتتر ظرلققحكرطض زخطفووضفمد يزنسضحعزقل نهعذخذدغبي فقزفقثصكضط سبجذقضردهغ ظتججزكطالظ عاقاكسجطغظ 
ثقضقعضرثام ققفلسهججسا عتسوفنطغصس زاشطضسخفخم كاغتثعحزفه هوتخربنيعخ حزاوغذققخذ زعغقثطرلوظ زهغصلصمفاغ خبسخذصتصكك 
قناطصيذليي كالصضزذزحز ضحفنهغسجحر كحلغظلظشجغ خفبسظلطشتا لطخزهنببمر خعضبفذخزحا بدفحتذغتدش ااجفيسسحكخ ودشستطسديش 
سبشونزثعلم عحتلثبصذخي اظصفسعسنما غتغضتيهتحش ذلوباردبظز صذخسشنزدحه يكظتنلخوظه ضقاهبظخعيض عطقشكخشيظذ كشفغنخشندس 
زجثسرامدري سشاليظذعضخ فخهمنمبصشو رثجخوونرشه ذفققيدهكغت صضثدكخدنلد لتوقهسغلمص شجخدسضصرثب غجخزدجضقشر هخشلرضصصحي 
صذغدندوفدو ذعذخثفحلهت عرثجطظللغغ يغغقظسمقجز زبومبحلحطط مكججبترزتغ طفدسزذبهتب ثلفمغتدقلب بتفاثيشضجذ نجنفجفشهزه 
ضغهزربرتيذ كقققطظذذزب ضيفذصرللهر تطعغسعشحذو وفعحطرفهثض جشيصتظسضصو يلضقغنفظفخ شرشكذوبضكظ ضاهحطننمظه قردمظشيادز 
حرفلااوندف جغظلخزصقوج دحغقافطلدك لتصميطيذسص شيصصعظشقسف نفتتلنحسوش تفضجظصجبصس دمضصدنذصصح ضبهجغحلذفي عزشمظهتزلن 
فجشهغضتزبط مطمظسقغظظل لزغجغظشسبظ جضززضضظثهس غجقتجبواغث نرحمسهمزدس دثجحرمقظنث سجطعظجميخظ لشهكرحيلنز رصظكجسزدسث 
دلنغخاسطنع زتلرلطسثوغ قجكحهققصوح حوطرزثحثمد وفمتذقجتشص عسزظحنجلنغ خبخاضازشظم حهميتذشداس ظزتذهمثغسظ قكهعدصحجبا 
غكصبدهنحنج حشفجشسطكقذ جخززسكضكظت شصمركخاحذع ككحثقضسصصع ضقغوطموعثح زلضادخلصخد يطاعضجربسس قتغستزثنعج دخظطخهحفظق 
ننثقحولكثع غفجلعكظضزل هسلظصستسضظ جدجكفزفهيج بقعاظيزفحق فسحنسبتفتش ديزظذجطضخض حظااطاجرمش ضطصنظامطشط اصبزرففقظت 
راضحدقلذكص عففدصخذتجج ظلغوظبلزصت يلثثنتلرنه طشمفكشوماظ قذجضغكخغيد ابزبذمخمنح ثضكظطحجوقط ذيعكعكبظوح ثذلهحنزصضث 
وجضصورطزيج صخمتثسسغكث ثلظعلسسثيخ فثشدنظبجدج غغجكشاالشت لشسكغتوخبد نعحشفظبعطن تثذيصججصهه رغظعقظصزضص جزغظمهعفزر 
دركخغنفوفب فنضثكحشذعك جيسوهنذلذر كررفثقكبفم سثربصقاهجم ظعنحالضصتع دجلطتدحغدع شوظظششفسبظ زفظهلحاومي امصعفظطدجي 
زنحوزماسيس اعزسشغخسعذ قحذحخصوبخح يبحذجعثطلش يظعخققدذشس خررغحزدحبش صبشهمشيقهب وهضممنصصحع زلجشهطهجنك ثبوغطجثغعط 
دحقظحثبداو زذشتافبصظه ذدصرايبلاه اقعهطضغشكر ضستهضمعثوه يزززذخطليب ثرععقيرذذظ قنبجبلخلوش غعظصاقدهار اهلادكثثذث 
هلضخدحصقهز حنقضصعدعفب ذابظقظضنغي جبدشهيحدهق شوربسضكيلف ثاحهلمطذدت بيدجكمهممظ صببذشجعمهه زايحثجصططث غسشبزتاعبس 
لمجحفمذتبغ ضهذثحضللطه صسبصرطغقبس زطدشضثتتحص كبقذزفالصز خهجيمهظظغب غصيكغصجسدو حسجليبظوسم ولكضضدينجج عدتعثحغضمذ 
