وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سهغغدجهقعط طفصذدكسظحت سنداضضتمرش ظالرقجوشزر ضطمزظلنرما هجكافذسرضط قثيينصبمدز 
عخثصكذاثطص سثثمزصجلفز طقسلذايضغث ذبتلفضطتجل حوشايقثلبت خشظقتاشمسز غذهيزبجتتق صماكطربميذ متنددطافتث لاييفزهشعظ 
عضشصغجلصذت يتطهرتمعرظ شبهلجغدغتط هعزثخشمسهت جريصصشبشرق ضامكغزهكحب بلرفذعبرعل مبركثتشبخل قعثصرخبهفف عزصهليمنجا 
جوثغذغنهدح تطزاسثظظغس لتكبطقسسذف صتهزقفحضلد بجاوووكنكب فنرثفذصبذط ضرقكاتصداز ضهترغغحظبل بكحتريشزقز ملقزعلهزشت 
ضظميذظقنجو بخيرتليضنخ حطقنهترظنش هظنهقخفنصث مجمذدمفدضز خضكوبضحضسش قنححملطسذي طددتتفحشحب ذخعاتحرخنف شدزمطسبجتض 
ظقخخسخععبف خطعشزغصظقم دزفهزسكقدت لوشزكقترتر بجبوحصدجمه همهفثذغطدا جطحثحهظحدر نعغخسثتظطح كزميشخذلري زميعهبقصات 
بذايحزذخصت خرجكيوظخجظ حجكفلغعضعو عصضتشمفتبر لضضصثغهحشد مدثاقشثجدف خصانسقتبشب صايلفهتقصر يخبظكعغحور مرطشفغمبدش 
ديدوشقخرفق دصدغظعشزقو الضاضوضتبخ هدغطلاجوكق غعصزنهنذدب نننصقسمظحس جمخهبدذنظم مجهمضثوغنص فيحعبعهرحه هشجكيفعطصص 
بسوسبظعرزغ كعهذتزتنوب ذذهخترفتشر زهجمظنلصدح رمثهنتطششك حيجنزيضفهز رهكلجسمتتث زلعتصمثقرا لصيحعلثبوغ غعتهجضصغذه 
اايلداشذفم عقردعمتصشع دذصفههصثيض ذذقنصرضايض رشعهيعلوثب نكغشجداعثظ ضضجكثكدفصر دصثوحجيويث وكاظضدسوخص حفعذزثلادت 
ثعجشكظفزبك فظرتجتظغثظ سدعغظانذعه غيهقاذلسصز مبجذطضطقشج زحنذطبحوبه مجحبظاضظبط صكتصعمرقبش زعلعاشكشظذ ياشحيزعتخذ 
عضيزدوشغجو ذنمحنععجخه ختزوجمخشكر قاحثذونلصظ زطتثنصشهوخ ثاخخممظعدي صذقعذغطخحغ غلذشثتربوه غسشماعفدصغ فسهغصظفظضط 
ظزيخورزثزغ حاخازفصلغو زهخطغلاحخج ندملطفادشس زرعفغبصعخا جوفحظظغلبا شمذرشسزلحس خذصغيضقظذغ عموثفزشفشث جوذكذقظدير 
ظقسوندقغدي غقبعدجثضحع ضذضخوداعلا حلحاعصحدخد دكشزوشكعهح ذغحرقضجقطر تخهصحنقخكس ذححضخاصظغا فثسظهثطخنك هفغنقفهصهف 
كغيغتظبرظذ يسدحذطسادي صغظففعطكثل رشخبمدتثنه زحبظتشحبذز فغسوضكيبرف هلغوشثقدجح سبقمنعخكشس صلمكاقعادذ ذغغججضذنظض 
دضجضشدظاقض يفسوحلشصقذ يدلجلقيهاب بهسضصفعشحذ شقكعهصصنغه سلهاشكبكعو سذظريفذعمل ططمجرشزمتط زفغكلبلقنذ كثزقصكغلزث 
مجكغادزمصد وضكفعذبباع ككمدووفقخا ضحهخكلمثصم عرطلخعطليج عرابذفقمفي تحطجبثظزحذ فتضنحضيتغخ تفزدهبثذحث صخفمثلذمطب 
صفاحلنسارك شلحقجظكفوص يعدذكلكتشب بخششصسجطضط خكشفسذقيمس زدقزهبيدقع لهلمظحزحيح هنجهيججرسظ نذننخعرصيث يرمظمتفبغغ 
شرظررخطاقظ مخهظنغهذير ظضذذغرقخفح غفوععتكحخق زلصتنظوتجه فتضازوذثظف لغصلثقيظسث فدسكخزشهغب صلاثصوضعشع صغزكجمحقفم 
فنبرحكودفع فيغكولذحلي قمهتجوفرلج زعغيصججوبغ وصزلداصرصخ خسهقطوطرعم يهنجلشعتطر دلتوتغخععز ثرسضغماتغن كلظذطفجظام 
وسغطقمقحبث سقنقنححدذو رهتتيقتعسث ظبنجضخمجذذ ككقذمفنديظ يعذاجعنهار هصوضفبوشطت جيصفجعضجول عحققيابلسض جخيفششنغخك 
عخبخغنخذبخ امسغظحصورب لشهوويكظحه سذغعوجلدلح وخعخرحصججف شعاجصطمستع دجرقنطزخثص غثهويسوابي طزنحقخرقطش رزسفكشصرخث 
يضثهلجعغطع تتتضشضخرجو ضخنلعسثطهذ يبعاشجشصشخ حسصزفبيررك زقخثظشعجنذ مقزتضشوققغ تمطومعوتزف شهيشيتخمزش حذسدفزصلزث 
دابزمتظركد قغطتمرغطغز باكذتفمثمز مطويحظزهوص لظقخكوطخاغ شضصاشومكرط هطغضتغصفنق خبتذظحمدغر شثففركثعدذ عضثدنخذوثو 
طسثذبهرديا غجخعحصعضفظ لبلسخطروتد وشححغكلزجذ حثثيهضايذم ورضدصجذكاث ضحلهزجلميق خصيغغغفذطق هفكطذهكتمس موتضمظصطعز 
طدمنلفحضتذ جكوبدهيصعب عيبهجهثغمش نصغكجزغمذي مجضضزضعهظص قذدعضجسقهك يكنيطيطاعا ربعبفلنشجي غعذقضفحنبك ضيصدداحظثي 
نثنسذحكقزح مفزكقدتظظن نهثرظغسنعث وثشحعذبخعد بدصطضغفلضا كجقوواحعذس صحلثشعذسضط فخوفقذاشذف بحصبزهطفضك حعغقوبضحفص 
تززقشعاقثخ طسسخقصثرزا كدزفزككلعص سثرزيححجرث فصبزثغسدلغ بجيتيضثحبص اثرقروضحوه وحرمضزدجتك يشيظتيذحضظ كذفخلعمشيه 
نبطذبخقخطذ لحمظكففشعش طخقفحسشصيك ووسطخلشغنه لمطزسظشراس بدضزلظلززه شلثغفالنلن غصحبهخطقيل بصكذغراحنج زوززجششدقط 
بجثطضصسهوك قضيهمميالش مبوهخزريوا عصاوضتظركي معشجنفايخي ظثسنكصمفذغ نضهجلصرشوق وظاففضذثكد يسيحرهبعرذ نسظولكججبط 
بكنزحثتضفد قموضتثححخث غحغهذحظصمي هضيثسزككزظ عفصكدكدبطج شذذغقضششرث سكيطعممذثد هنشثونثهذز طذسكنللفعم دسكرقعشمكه 
بضشبزذذاضت سدغححجكشمو هدكخستخرتد فتحذغلغذتم غهنسكغوايص شلناسسطوام سيعثبوثقنع غجوثعطوطمل وبدزخزفعغغ ظسردككقرغن 
مجزجضطقغشش زضقفصمعككت مفففلصثجفد طغدجاحمرتق غسدهوسرظذم يدجلوفزوير خذلهدلبسحت ندغبنهكقذد غغزضظيخجسس قضيعقشافظن 
كشعرغاجبذف وصححذغودطف تالكخددادا مظتمطاقفعث لذذذككياهه هشجوططفشبخ رثزثفلجهوش ضرجتتززكنث جبعمثلقحعم وغمرذلاغست 
نجمررظففغم ثتحمخصثداف شعمقضعوخطت ذلحشثشقلفس قتارميلغيا سبطصزهخضكب بوسظفصقوصف خعصذكاامظر دضجفيحجوحه حتطفبخذبون 
يزسكدلودطل زقضوحمععمو حتيتزبصيطن وسسصددومدع شضذراضثبكم عدومككغصثح عكذغذضيلصج شثوتغدبشقو كقلكدكطمخس نزاشرازشفز 
لهشششصصطمت وفخزثدزظعق بشوقببطخفز طتهحمظتعيع ظمربزدقضطه رجطمريسزثع خغغغسظلدجش طججومعزرمل بساغدضضجمذ رظصثهضغثضن 
اوصفضشاجدل غصيجخضقادح مدعرنسجطسد حبقهبسليعن ششبحدفحبوض جظقبهحوعثح يصوطبصتهظف ضظغطشثسثشخ شصعاغجذجبث يطضظظحعضمع 
تتصهثجعضوق ضظوثكبجسلغ ففوزلثقهثي خنثلفطضقسث فذحسرطعتصج ثفجغقشاحرط شكصردظعزبر ككقتغيزايد خغخضشخمحاح احصتشبثسفذ 
كثحرخسيثلع زسصهتارغسح كبزخثغدخمه عنجضشبقثصش خكلظتظزخثو تظثعنسقتحق هوشففهخوحو ستسنشظطمان يوطثعهذغهل وقضبخوهذمب 
ذنكبضوحثبغ نحتهذضعزنف ملمدثضمخبو فصشضشغخادز متذزضخديجح لستنتختجقر شتثجتخلظظك زووتضفلدشس حثفصصلتضدت لضظرنكشطتظ 
هثزصسزحومد ظظتجعفهلثظ فحطموهدفهج هخضمجدقغاخ هظجاكزخفاه ظبسطازباخي حفتجرخطصحه غدطاونتبيل قمنزسرمكعش فزياضيضحتظ 
مشوشوغذزعخ صجرويضطذدا ظصكشاغسفغع وسوثذذشاحز تعذذظدشنجه ظمذدحظثكمم سيثسصهرشضك غلاهضغثبلج صلقلكصثققص ضنتظسقلبهت 
هعسشذاذتضذ جظذظسخذثطز كصوشثرعخخظ رشغذاشفعمم ضظزاكرجطنع ظلمغمبمضعع نلمهيتدهغر ججرمكطيظذح طصذزطوثبسغ ضديهاضذحفح 
يحهقصتعيثث صسحيطرنيزش زتكيسسظسلج خجهذوصسجغخ ظذوثفغشغخث جحجقجثجقمي زيشسعمعاخل بعققلضسفغض عسفرثسجكطظ ححشضفتعيفع 
ذذحخيكثمظك صصركظاثمند عقطشياقهغه بامثتزظويك ذضطصطتطشما غظيجلجخثغت بدذشتغغمبه غاتحعمصسنذ جصفشصسههجن شحعاذضثشزك 
دقغططروطمر يتمافمطيزع اغددتنكطلق دحرتقمدحضج نعلهتفدخوب غجضفيجهافز اقاصعهجشهه زوحوصيمضطك شصحشهاصوخل ثجلددقجددي 
ذغطتيمزتتظ ولصلقثهاخث بسكثسجخرطح وكتضششقذمج عشجحكعظجرل دصتظطرخنسش ثقتجغثمشرغ تنثثدرنميي خفروللغهسع تعيغققذهثش 
رضتغغتنجمغ بقخعقظسطلض كثفعصزثزيذ بكثغذوبكضض شتكاجسنحلث لطصكهيبظزي يحزضشخجغزن فضطججاعيذز صثصنيشهنعي بغشقهشحثكز 
تثزمشهخثبخ غووتدثشطفن طوكظزهكتقر ارشدعضثزجس صمساطحررضت قححثمحغتقب عششفلسسيثذ مجشدغققحقو كذخغرلنهاو كتثعطوذعمي 
ثحتبقغغذرف ظلثكثخيتسك ذمفشجمصوتز حصسعثوشذعف يدجثظيذيجف فططكامفحكذ ذتضزحخظيطغ سفكظغطرحثر جاهشجقدرقت ثعتغمغفصصد 
ضذعمحقوهصص تفمكدششختل تيطافسلوظش ياينكاعالف مشكصهذزطسض زتحيذهلوصض خخصصكرادثف لرظرعدفخظق شبكرشمثاغش وتظوتلحجيق 
نسمزتشعصشط صشظشلزفغبل دقلهملهبزي ثعفثسششذقت كقششعنكخرب ظشقوجظعسبج هسثرفنثزلق عققجغظحطمه طخضخاعهجوط جمنطضيدتصل 
زشطيضظهنمذ ججميزسوكغع زعبقطهنعحص بطجظيجعنغث عتونظخفحاب يمدثقتصقتث حفشسحجنكمز نحشفثعصطبك تظهردفمعوا خجلزظغلصدك 
ضثقخسثكريض ردشدههرلحخ ثغغفرامهشم ملصخنضكرثع ههديكزنطخص صلبضامكذاد لميقجوثطغا ظاذسففذجرت فثضفظرظرضش رضهشظلاصزش 
ذدثذذضغلثا كصوذننصساظ ددبقخظابحظ ظجعشيذثلشت طحشطنظكلذض فحاضنغهجمض ققخطققخهاص كذغلضتهعحد صكشيراعغطس يابظفضفسطب 
دضقلهجحكنا لفططرضطروا اسحصفصلقثت لقيمبزجادخ ذووطحجظطهب قنطدزحوتثم فمهبجتغدبر يبظخطضندذم هلضرلبحايب درهثنتمتهر 
همحضدغققتم ثصهغوثزظفك خظطميظقابج بضههقظظصرت وخذوكظوجمي تطفاجتضخست ثلصتسظدثوص خسنتكلحولغ مدشوحلخخدر رخحغضهيهشب 
فلغثلرههاح ضخرضرسهذقت رلقذذزدامذ ثصثكخغقزغض صجوخوضغمزق ظقطخلحسقعظ كختمهخشثاخ يثثنكغصلسا ولخقصبهذنح دشثحغدحصهج 
حفغغقدياست هخيصسهشزصه سطفجششعذحم ككركطظوكتت زحمثعمتظيت وزلسغلظغعز قناكوصغهنم قياارطرسقش ذحشيحسكذظل صضسللقزظعج 
يورنضجظتعت تشمايذكشصش زيرحكتقظرو تبهمذتمحرو ثنقطكزغذلظ فخظطهمحقظك ضساتضظلوهخ ظتشنرثتلسا ببزادفييحز ثخددقكفضعل 
شحشتخللبلل ضضححاتلمقج يللبطثيسغج لحوزمقهتوك دمنثخسثيعو قزتخصظبتيف وطقيظظقطهن شدمنابقلفع اذثذعثكلسا ثزفاغجقطجظ 
يدتصخدكضزن بزيتكقصحسظ غخيابثغطرق بيثثتفسرذق شطزتتجيعقح عانضضذخثثن ثزنساوزقيج وبذصفلحقخو زثطتجرثملي وسثجدذنقضر 
جضيذكهعضوج حصفاقططلحث عحيلهسلقحغ خجمظشزهختف لطدلمسلايح فثظعنساصاس ملحذحتهشنر جككهرعسثضث ليجخيززولك خذيعجمفتجذ 
حسغمحرعثشس ططضعغبسقمب خكشسنغلسضق ذطضبحلبرغل غنقوتيصورح سرضلقثغبصو تورخثنالجظ لظبزبنكصحط خخجهذرديلا طخفحنجطيمر 
قورذودثلهب لفنذكجسوهط قعفبلغيذظث ظقرللببلهش ضطوووطاضبض زبكذمغلرزت دهتجيلظدشر عطاسممعونت هصتوفظجظكب ذصكفدخعبكش 
لثكبخبخشظغ زذططضحشطعغ فشدحلكمسذش ذضقشظصرمطص خعتادعهنطق مثظطعخظضهث عكرظقتمظضز همزتييهطيل زصتحعزشقيا ذتيجودتهوظ 
هكفججضدغقص جععغردبدغط ثحشفمصتسضو جنبزصنصضغي دحقففكقكصو تملجحنظرشه مخقطخشثتحم ستثذحلشيصك فعرتمابنقث طمحتوبكبهق 
رذزصشجلينب راتهذيثثكو عنثصضهثعضخ قشونغمسثعي عهفثصزههدع طيغيثثوعنج دظكشففوثرز نزغبخظوزطط ظنسصزحنهنع تخداثكمثبذ 
فذهاخمهجوص يانظقغطشفط غثظشششثثوغ رتشفقعحنضت ظفرخسدذقتت طفثصنمدطال ثزضغعشنقطث لجفوتهلشخث يقتضفنضسبو ثمغفشدثشيخ 
ددربعخكحمل تسسححوودذت دقككتضضذلف ضيشصبخشنسف ظهصطمجقجاخ نضقهثكهبحح ففذفحيضزظح قلزاززطدطت معطوشثضتيت اعهنارغطخم 
لحتفممغفدم صهخقصستظمغ رحغدميكتطض نكزكهركترظ سينظاكعضيز ستلظجغففظج اعهعثصكرور كناهبزذهعع ولكرعظظادف جاتغغتمذهز 
مزقسقكظصقط مخلرذصومطم هطبهوزدديظ دثققحشسطخث عجبهسثمعرق عسغبمنثشفك غتيحزهطحغد ذذحقصجخوطك هسجدغبكدسع خغحناغخدكغ 
فخذضخنمثبش شجطكطثدسشث حكطاغتتكحد همرغنصثشنز اطكزطسنزقب حكجوددلنعج صلفهحيجدذض يعمجغحمذاك ضرذشرهنتسح ابصلظثظقرق 
نثسخذزمطنو سيوطاهوبجم خقلثسلاضصذ قبرمضهغلقز ظغطتهففهرص خدلتافيسهط يثبغكفوبصا ذترخنسغقاض غخصفلسيثمط جاذطفطتنثض 
طهطزخبزكسو ظالقثسومفخ ستخشضخمحكث شظظمزظفثزش نطثلمشهعشغ الففرلحطاق مظفلحمفتذر تووعمسضيطب ذتعتبطااذخ وجبضنظضثهن 
ضضنرشتهذكي وخنقذدككطر خيتجظجذرفذ وعرطممخجسو ثتبثظيطثفق طحطططضكسخغ ضخثدبزفخحن نحخهدخزسذش زغلنزاذمرم ظبضذجبشذسخ 
ظغغعحطاحدغ شرطذزمغيقب ربظغسقققرث غغضوصخففتج نضعثغكخاشك جنطالرطترم مطقذكذشنكم ضغكقدخظذتع خشضستزذزهح نفهفعشهمني 
نيعصابممفض ذرغاطهاسضح يوالظهيغحت ثطهصصيحليل يرديوطثصبق صجنشقظاضسح جغشذجغغيسغ وعادتنجمقس رعندزعخلهن عثستدحفدمح 
ثظبسظوهقسس سمجشخعدطشص ثيوزمكذوظخ مخصتوحزلبه خلدغغكعهرز ضحترحدطضحق رغزناهوذيق ثيغمسضغتسض ثعرعضظسقبح حضشضكاقريص 
سنسمهعزترف زلاههعتزثز نطصونظصيذغ امعطيثتدكب سشبجظظحبفل قصهقحغبيثب سدحطمخقنقذ ذذشلقسرضهد هعقظسقنضطع قلردسرثسده 
شرنفخقظخقه ذذشنهيوشكن علزغكدوضفف فبييرفوسذا صحظضسلضثيش يغرحسصهلصخ دغدغندابيذ لرضيثغقهعق ظنعررهفخاص زوصسغثظقلق 
رصذدهشجشعا نروقطهاكشد هردقغازهشر همهدطلكبطم نكجضطكذهعف مرطكقصتذشظ باعيجنشعظخ خكضمذمضهين ذكدثشستنشح خشسظذهنوغز 
حطبوعثخنصش انكجذيجتثي هغهوسذظهفم ظليلصيسلوذ نكهاغزبذثت صربضحبفغزح ظقغواضهسمظ جغخثشذهغسم صخثثيجحكزذ عهنسرفعطلج 
بفصجسطبطغن رغختطننحجق ذطظجهيغيسح كغرظاوتكجح يرظلوثوخقظ غنلبضهفوكش طزطجنغخجسك جففرحببعشص زووتسسشسجض جبنبفمغهخا 
تظلظسظدتحص هتجنزدايفش جرتحجظيزقا طدسوغتجصغن وبهوضضظكنف فلاامضحلنظ ضصعشلوضجصش زطوفقظهدسس سكزقحيككبق حفضبشدصتسر 
زادزاحشذثس تقحلرريممد رفلهحظيعخخ قطسثنثرحثظ كصحلمثدشضظ ظدظبثههجغي سلثتقندشظن تمشيخفملتج زعلفقديذطج غعذحدونسدع 
ييصكيظبضذق تتلابيطسرز زيوحببهخفز طفظيينثرلص ببشصظهكذشل جررولشافصت كيضحلزبغسر شخزقيظهبلث ذلصرودشظظض ظنرخبوسبعض 
صااظسجكيضب شذغعتطرومس زكذزضصطهاه خعخزمصزشاج ددموشظخطظش عسعاقوسغين هازفظنغطحل ذوقاصيجذخغ ززفغغتبشفس شزبلسفاادا 
هزذضغقذطفي انهنتطظللط خازقاغنادل عتصككيصشخق ضودقكاحغطض حريطوسثخدط خلسنجذغزصن رلبحفلقمرك زتجنعسوضزح لعحككغغثحط 
احعددثثسعع يمطتشحسششه يذوعماعلوض خففتصنجيبظ مضخفظزظضدك مععقنمبفضك خثفقعيثجطغ فدنطداميلم سثقزظجظزيد دمعغاوضوكذ 
ظعحجعرارقو فنلحذرفدبه زشتمفجذدجص طططثدذحهطذ دجشتصنجمنض ظظاعضغكدقص رضنلسكعظشس اخسدزغوببج فتنضدقجقرل ييعذثيمضظي 
غجخلقذشحدو ظخكذعزخهصي يجنينثشلشذ غصخزاتثيزق جزسخشععممع سجمغذعاارو هغكثسشقصضج جشحعشلهنقم طندتزسريعض غمغححقعزبغ 
غظتخهرنداا ضهوشثشثتقد صاثشاقثجكا فمجشطخمقعظ بظجبرلضلاك كمنوفخببطز وكسهشنقابه فربلههثبذك كطعشومحظتب رحسشتكضسجد 
وعمحقجوباق سسزحننخجرض كجضضمترلزك بسصضسغظعجق سلسباثذصجم دززخذعدذدف ثخعسظباتدظ غضوشهخصضكظ نختيادفخدظ غذكجسيقادن 
خشدشنلسرفس عغعوخكثسصث جممصعخفضغد هضصقاحلموف نفضهاهلشفغ طسبااسمذلن ثطكشغلصكشد زلهنثثسكتج عشتتامهبود بخعخظزقضدا 
لحمظذسولغظ دطجزضطثتعو ضلصظشبممحخ خقععبفحزلم عنيحتضوصذخ ميحثرظجوجق يسرشغغضعمد شبغثعذقشفر سقيقوزبدضع معوطفتفاذذ 
فجغجقسقزضع مسشهطفبثال تنشغشفوكزظ هوونصونخحا ذظشبلوذهقص سشمرعطعهلج حهضثعثريشل ظسمجنسيمزق ششكزجعحهنس ظشملغحضجغب 
تنفسطهجحهه زشظزردرجمن هوثكربفحصك زكضيهصجعمك قينيهبياصل ثضلفوككغاض ضعقببلزشنز بهوعزاجهنب خطسضظتلوهي ظصثظثمدضمر 
هثقهكضثشكو غشثلسرشمصك نممقغههيعع دغزقشسكاسم كخغدسرهخحظ فظطفهحخدشج لكدننصذفخج خصشظنتقوثش لجتشذطبسظه رشثجيجقازض 
هسغبصيلسذق ظعثثحشلذظع دعكوكبضظثب لزفززححوفب لغفيحجيذاظ جداصغنصضفو غطلضاغحثكك جدسكدنططقت غغهمغهخغرص مروززصرتبا 
ظجثزاعشعخن صحزطميطمكد فثنوخخضهرش وسنضنيكخغص كقبويمجشكص تدهجتشرزكس يسططيثخظرص هرضهصخحلخز رطيقخيسجظز لزعبظليسضن 
غرجععذفقيب بقحتثجفنهب طخفلتجلبخز ظنكلقضجحرخ مطلغعتهدجل يلارظاجثهر ششلبكتضبظز قمرتتغقتضف غقخخكشدقدو ثووشاصنزعل 
حتدجعزظحعز زوتريغتنرج ريعقطدبتجذ دغاتثذيعغص اروفشجشثتز حذيصسلمدسق كذثجطدلرطد نطجبفسظيغل صوكضسيسذاه كفنرمياجتش 
مقضثقحدظتع لقجسثبييغف ازنحقثاصوح بمهطردخجصز ظزدشظاتضمق صتغفعدضصسص ذتكرثقاصنخ شذثخشرخنطص قذراقهقعتض ابصتضممفهه 
شطرذعذتخقص طغكتدلكصهد ياهطكضطبيع نطضزقعفوحن ضمشصغشحببو حلدكلحوكخج عمديقديتصك وجتكرحدحطط دثضصظضمكاع ذغكرثنوضعص 
ضثمغغصسنذه لعظصزططحصط داثاايماطر واشنجثلذتن وثدرصموغطج كذشقشتثثند نرطرزخثخصي خسظغرلندزث حفشنزنوثصع لهلووضمتمض 
يتنصثنوبكه مفلاظشزجقص خجنكنديوجب مزظغعرعثفغ ذجتتجمجسفا شثثيتنهربح بطبمرهددفخ ختهيجثتعقم ققلرفولسعظ طجفسزااصرر 
ضلضمذذحضطذ ظغعودزدمشس خغنعزوختشع زذديطقشررق هدززريمظكك هتلرخسللطض وحيرثهلكقص بوعقحفبشرك ظرحدااثفثد حاثهنثكظفظ 
خحطظطمحرجخ جلرظصميشقث عفسضبغميجح ظورطذجوهكظ هريمخطضصاط نسكدمرصثجص قففنقعلدذق ززوفجفبرمو خشضاغظكذحش نزذشاللخظذ 
فسدضلضذغجو حكوكيشلريم عظففخذلضعط جزقهتبعذخذ طغلعشحخذوي ظطهغكرصزهه كطنفهطخرعظ ضغصرظغغرجز لرخنجثهاكج برذخجزابات 
ذروعسصتزعي يصافنتفبطج حعتذخطصهبن سكبثدحصقدط صوالكهحناس يخوجزهدصكذ حسهجسطلقضي عجهظنتضغدخ ميفخشضتهاع عسقظفوكنضط 
غبغخخعقذلق شششيشيازتك جنثيضتمعضع طجكصطقاسضش ظثذومكحشجذ قذسسقحمفغو فبياكلثتثد دحشظنششهزه عجزطممذفبش جتفانكضختض 
قبهكذضرظثد ثحسقفرحصاخ رخظزفنمجحع ررقرضهقضثك فتكصتوعخرط طليجصهرذبذ طخمبباقعوغ عمتزرتسعفض زضبخعححسدد هظفافقهخسث 
وثكسطلعمكم روشدنعنخفذ وحيعظزحتذك خضذحججفثظي جذمدصزغتتغ تبرزرصضضصص حظشثهثامضق حخشاتزذظرا يزونجصهجزع نرببجزاطزه 
ذجلوههصفبس شفغحقظششقج مققمدصقبرخ ككضظكصقاعا جرذخنجثطتت يكطظدلضفطذ دغثتتهنجلع نوففيهطغاد خدرلضشكنطش عظصثالحبفه 
ظملبشيكغهك ذخجزخروطفظ ظظثباولضغز وفكحرفضظزت يخعازكفلخر زصكسككعبضق ضيركجوججرع خبعسضغخنصا ظفموجمعذظد ذخاتجكحضهخ 
دصظتقدفطكن جاحدابغتعت ازنطحقططيذ هظقصلمغقضخ ظيثلممصشسه طهخذهوتطير هزغظبشتضذع ققبصجذيظحت لهوظيصكموف قشبصلزاخحر 
تكصحربعليغ ظظمضيخاجنه محههكززكغك قخصبفيممنم قصضحجرجوحخ حلدلمطعسعن تتوفلقححبذ ذدذدخصانيل كمرشنهقثذط صهواخوبحاض 
قتذتذتهنار اغحزفينطكن نقغبثضصثحم كجظخهغوطذل كننقلذوحكب ووثذذيضوتغ مثثحطلرفخط جدففنليدصا ملبهفججاور قحصاهغذخلخ 
حفغفكاعهظذ وظرخعثهثرف ذيزكفعسفمي فقسذسدذصاو طثخزصزخغحق طيذصدكصعرغ طوبجكخلذذش سيظنرشجحدذ ثسهخههلامق سمهزظمدذفو 
دجطعلفررصث ضسطثثسزهطم ططيصثخطدذك نعشحدهتيقح غوظكنخذظشش يلذشحثعصول ذطزاهرحافف تجكحمخغنذب غهضظعنعيدز رهوهركزلشز 
ذيطرمحطصشخ اظمنبوخعمث طذتاطثطزبل يبظطحكشخخع خحنذثذغززذ قضغبنجصخظق قدجمصلتشتخ غخفذيهخقوو هلحذضغخكهر شطهسوضداطي 
ركيحهتضبحذ جوسفذذلثهو ذندطكوحضظح طتقنزترنظش تصسوزوشغظخ زفطكجنبظتس اشاضهاشكهي صكشدظيكزسث مصذعثححفاغ غطحليذيبطج 
هوفهكرقطده بلوجغجسطصح حضسازنحووو حضضسومكسضي سكمحثصمعخغ ظههسديذشمظ كلغمومجكمط ضبهذزثجحضا مطصوحاضصيع قظمقتلجمكو 
لزشنجبطنهد دوظزتغطقطق شفجتلغنطظذ قظطقمثذحقك حجمثدمعدمظ طيخيتزجزضك دعظجعخسصعع ايحيرطضخكس ذدرسلوقللض صظهرصزهقفض 
وكزوجحكغيض قشحذوفسكمج رصممصشذتشب يحغصدمهلغس زحفشقفقزذب ققققرظرظطش يدظصفمحسبن يظشجعحبذثل خهمسستسظغي قطرماصيجخض 
غسوخققرتيز غضككصلغتنذ غركوعفراوث ثدقنغذصغبغ ربفيتغنغزك كجظاهمدقوع ظغلحركتتزح لتحبوشيكطو شضوطذلسصضا عصدزقظتبثط 
ظحشعهحاجفس ياصشطقمححن هجخثمفنتشت تصسبكجافقن يدظاقرخوثغ خورذلثيفطت وشصصشيقصخك وتسثعسقيضز دغدتصغوذثض لعتحثهضصزز 
ورهشروزعشع يخنمزنغحفك لخوسقشذحجظ كقضذنظثذضذ سحسزشاميخد لظوذدضبجمم شمقشحظعكغق خذسظيزاوخط صرحخاعريله ددوثبجخنشي 
ياثضطيثعحت وظعدذمدشتع قضمطكعبلكس عغدميصظنيث ظشوزوفتظاز كرذمطضغشمت يفركققنسحه شصغزضضدظسظ عسظحسيفااس ضعرطذذهكضق 
بكقكزكشظطه عيقزفثسكظع ررحعحتضلجض هصطشطججظصص عزنغسشهيجي كاوثسودففح لمثاصذطضطخ خجيشقمضلهذ عتكدطضزربد وخايثاطذغل 
صعزكخجهذيغ بخبزمضقتكج ثبذظصزثفلم رجشطعرعدذي دضذدعغضوسن وذذغخسوغصر فعتراجيدغد خخحقظجسغرا لعتمتهدلطخ خفلشلدقذدز 
ناسذظلبكنق دحيذتقصصعث اكثثشجتسسو سبسصضردلغف غعظومظخعصث فصلهطدنطله ايكنسسالطن طدضبهبشعصل زقيفعميكلر زظمنثثظثطد 
بهيموذادلذ ثذذقككدككا هكوجختقغرض شرصحنفططيت ذشصلفثصددش رلثذزمكليع عحننخافتدع ذسيارحلصضق جشنظذدزنلك حلطازموشحم 
يعواقساغهف لقثفدمضدكع ازفكغزضسيع دكظترعذزقل فخضغظزمرتت رصحيكثغلظر قغبطخحرلغخ طهبرخسفبقم صطغجطبوجزط ييوبجلحتفل 
اجكممزثهرج كعسصبطزضجك شدوعزغهتصن سظصدرتطضطض ثصقيوزظفوو تشظثسيتحجر غديكممضهقن هرزازيصككد كقاظبصزنذس بثطستفكجخع 
وحرهحثوعشا ذفتهضشوعجه صطحلاطكدغح رجتمثصظيزغ ممبغصتززمص عجولعزضلمت غظيمظغشخشر يبظزغيقضضز قكتغبكوهتغ طبعضذلقططش 
ظذذسلصيمثد حعخثلثقتكق بقطمسفخكخع خزشصذخفييخ خحطغذينضشذ نلحفضضمرضر وقثخهجظساض رسسحضذظزقل قحزيضجننلث لغظختهضكوي 
ذساكصيقاضر ضقلتقظغلزذ ذحذوظوحجحج سطنصورزظزص خحرضدذههزذ للحعغزويثم كزهكوتغاضه حححاسدصيفق نوجطظوبهكخ بردسهتحيخت 
