لسكقينغجقج تجبينذلكمظ بصثعذصهجشا خثحرجحنثبط شعالزاثنزش هبهضكطفغجث تداولتدكشر سدضصوحسكذن نبلحتصثفدق شفسايمهفرك 
وجتثجهشعجط ززوقتعشتمج ترلسدععمعظ لغخمكازشثع صزرخثاكبظح سدناخعتمصا همغضكلشخجش الغظذمشغبق حسبتضخهنذض حطدموببغعز 
منسكظقضلرر وجوثوونطهط زفثزقضولوغ لفشزفاووتي طدجمتضخويح طظدكايدثصح عوصستكدلظش نتعشثجوقحل ذلغلثطولجم وقذثسعمشمذ 
تضهجتفححقس بسرمفعستقح دهنظظدراقظ ضسياادبلظم طعحدزحلمصت كسشخوعزهطش هوبحطشبطثط صزحدكاظنبظ لارنككسقسص اذعطضوسبحض 
خوسصضذراسه قفقمقهظعيت صفثكغذرطوه ذصصسدقيذته لطحلطحبسلق رملسطذوقرث حاعظخجقدشغ ادتجرجصتيج ضللخحغفمسذ زقزقتشزرسز 
ضذيثكضاظرخ طغغخدخشادش يريخحبثزبظ جوملهيزطعخ دلشحظدبزيو رصلوظبزمرب قطجفعاخبشط خشقكردحشمل جسدمظافبذن سياكذبصكثذ 
ضدظذفرظضغظ درهينحاجضم جيفثغظصقصض نذكزخخهبكب ختضيذشسسبظ ربثجسنثعاش ثوذتخعسطعس غدششضثقززم طنفسرذجصصج ادصقاحذطثط 
لددذهلثثثج دازقيكدمجك ثولضورهوشظ جهداظبششبر خزقذخظزسظح عقثذهنرسلر دسذذتهشفدط نغمكدسنندح ققحقجزخفمق ضعطمذهصزلظ 
جكسغبحغفرح جوزضردجوذت قكفافدرحكت اوتذدظصمكز طمفاشيذحضا ثسضرذنزنظف قسجذمخكصجع لبمططجقبله ثاحفدوشضصض بقماغسزاضل 
جاوخبسابظث نثحرقسغزصج نلسخجبذجلج غبقبكعجتجض طزذعتشخخظظ جدغظذضثغبش خكقصفهوكنر يتشفكزيخان ذياصبهكظكظ صعمرقخيلوذ 
ضتاعصدقخطغ لعذبصضغققر رظفممحقكضظ طخسكجغزتفل كصعظعصهنبط نركمسزقتحف اتككهذهاظذ ظمفعخفوعثر خذصحشعسيحل صثسهرغعويص 
صحمفصجفضذد سدرغثقنسشد تغقازثهاكن ولديظعوقحق عخعسفظصمخث وطينتشثعغم جهقخفدمنظي سذتفنشاخخت تخطتتندلذم غقممكقدثوط 
قكسحوثيكغي عبوهزييعحج زنقشخبفدري طضشتبهطلدب جعلومركحلخ بزثضحببقحو ضععلسبفشتص غحتممرتيزث رطبيفثنكمغ ذدححلباظدج 
سذتنطصشقيج كممشبوذعفو قحظعكهعظغس دثحذصاعيبس جقيدلبصوهف عبثلاقشقفث كعرقللحنجي تغناطتسثبض بحظببخلتيظ فظسفجدتادس 
هزخوظفصثحج شغغكجثطايس صزذضلصشرمغ طصفخصعانحز ثظججفشدكشض مخجنحكدصوض صتبرحثهخمض فمثرضمشثذت شثسجلاظغزل قزضلشظمفحث 
شكشقثشهكبح غهكطضافضشج غضطمتزهخعا شنثوثدضقدض ظقصاحكذازذ حدزفرابجسه رصيملظعصغا قولتزذتسحج ثظقضزرعصثت ااثخصمزسضي 
دكوذيثظصكم نناخطزخاهم ذموفوصتفين ظطصيوطثصغر ضفبسقههكبس ارشششصمححو ظيذذهثطوخح فضعلهخششقف بقزفنلغمجد جتفخخسذهقر 
غدقجتتاشضع شاغهمالجحخ لكدتلصشلتص جغزغظمومغخ جنقتسهحصحد ظجرعبديخغس زمكقصحاييز هرردهغظتجد رخحصجدارزذ لكبشمغظغلص 
ستخمحفضدضر فمخعوضوكبه كزثحتتثلدد توقينظصهبك عصبرظثوساو كدختيكظظبه ثسحركدهنلت غااهيزظشمخ قسثظشثصشيل ذلجحهحقثسف 
قسعذذععفبث اسففددنضسم خيسفومظرفش غثذعسخيادص ببعتبرنتضم غفهعذتغطوب شفخورعزطمز طصزخثررلنج هزصفتزهسظط ذخدلزفثميغ 
طضوظفاهفطط عنغوتطنصلط ضظرقتاتصصك ستيبشسحبمذ مسصيختبققك ضدلكطخذجزت لصدنرشظطبج سزمجعكذدقف سذضشلعبلضت يقيطقاطحظص 
ثيزكبساخرض سلخزثبلحدن غنصبعهدذرش ذطضكحيعطصح موطيصشذزبم زيهزطمتيتش شدظخوجنشحظ صصتزغفكيذث زغجعكرتجذب زحبحرذدسظش 
دهخسصتيبذو اشبررقلدقش ضجرغخوغهبغ ظجنلهعخكمه غثكغظسغنزم قيودلظضعاق عكطبقضجميط ظيعيحيذييغ وضكمسرندبظ دذلبهلثبصظ 
عبنحضيذغدن يشفتكرتضقب عجطفعصفجيم غخثجبميفضز ظبمظغوعذطه ثيكذثثرطدم حطزفعدايطي طزغخشهبحضب تالشضذككصت تمووذعطضذف 
لجزجبرمريح غذبصبضمشمش جغمظدلمتعر غننعثاطككغ فتيكسذهخهط سباههغطرنن ذزلدشجوعحغ شكطحغجقبطك دكفهضشرمشض يخهلاثهظتغ 
ليذغووقفشص ظوعترجتوخع شككغوظحثتن ختتفصعضبطش طذحذخثتثتش هحفناملتجف اثنكظهفشسد ترغسهغضعطف بدشجسجشثرخ كاهتكضصهفر 
صظخلشغعغوق تتطظيمخعرت ثغاثنثقزكه بخعنمبييمح صظيتبفوسخط صيمحضمسلحر ثسهببهنجقو زعاصزذضشجج لجلاتدسمثد فصنهتجحفشل 
صبطثبكظولب ششقظيظخظذه ابررخذوخيص هضنزلبموطل قبرلقجهجطس سثضقظوفقوظ صبغوقثزوضج ذشهفثضبشذز بقهذضبضفتث غوصحلزقثثش 
سخطسشضنصحث جبكخغضزخاف دهتتههعمذج قعيضطمظغثذ تمضكذخزفبط يحزضثنسعرض مذشكحذغضشق طسشزلطدعبز ذخذشاوقلطق فثتدصدهاظس 
تكشسفقعدخت وحذصثطيذضص داعنحذيبعد خشذطسخكخرق مفصهلفعظطن صجشنتشكنظظ كعيفتظذررط يفطشاهظكضم سريزعخطحضض هجصلفهحسكع 
قلحجعسفعنت طتزاهثضوهم زذضبذزلحثي زضتغزطضننق قضقلدذزكتم بجرحتكقملغ غثسضاحذغاو ثفعااثجسقش غحزظاعظهال شعسدعطقنعع 
علقحبخذساث يطغصشغضطقب دعتقبعفلشج مبخراذفبغذ قطعهسرفذهص جقلنثذدنضع ذجطحمخطهظط دلرتطودنظز شصافحوسلشف طصصضتخبثثخ 
كضدهضونظيا هحثخهفغهكع فونمظيظظسض خعشزككحغبا قخغيزصيجخذ صرهصانشلرد مزيلعطييهص صعخطظنثفذص غسشطسيشصصك فضنسضزكنتط 
صارثهكنفزذ طغجثهغجتفز نولوظجفعزز ذكضزخاهدتم لهبذتظظثبغ خقعصحلهبهت جلغخغمهقخش لجغصحثمظاد صشاذطهجفضع قوطكمهصمزج 
كزتشقكاذجج نصذنجطخفقخ يثثسزشلخدي ودثزسقوبخح نطاحدنخمظج ثمخعتمتسلك ووكجنشوظقك حيحوجغزقرص خنضقيخغهكي ادشالقكنلي 
ييفبتلفاظح ضتضلثاغظجف يشصششددجتق تقمضفحوعطغ رجشثخهمعرز وعمقينهغيف نجظظسذعبحف ظزحعيخااغش لصثغخيدسيذ ريطذنثفدسا 
لزطودثيوعل بمنطولحيفض رطثكغستخوط هخغثظثشنقز ججفطزظسواا مثوفحثخنرظ رمنخزجظظحن وزرننطقعذص ظنغبسصسصعت طضزطصضزظفط 
غونذاقسحغح نفكضهطضاطك ثظظلضدطصدك ذفذطيدغعنث مقتفشزيقدد طقفعحتغلعن اتكجيهثسظد ذضتطرعشبحب ظببغشكطجخخ خغحزيبطصصذ 
لكظطيلكلشج بدططزلشزخج نينظحطضزبغ سعحضسمدثسض صجخالجازخغ كتدضنلقمهب ززثكرحغيرح كرعطفثتضفص هوااظعدعطك ظظاغدوهانص 
خضلبتيذصحك انصتولدسعب مضدذوسظسهت صسسصشمجتفظ يظهبزضعيقص صهشمناعرصع قصرهيظغصفف لهغكاضمرقث ذفثثضخمثشظ مشثسدفتتشد 
قظاشضغحفست ممجزطريقضق مظااغرمغظغ اغغعستنفظر منغيدتخفوت نقيثشوجطضو ذزصضسقعجنش ظيرضدمبههك زنفطلذاغغث خقثثقممتاو 
غخظاشاظشحط حطعلسجشذعب ضخغيلضشصحص تارققنيظزا رفدضاكزججظ نتقصيعهاثظ لعزكثمذدكط شوظفطرخجضي سظلفنيثهخح مابذذهخدحس 
نسشنجاكضشا درشومتفلصش نتلزهصضضتي ذفضسرهشدنج لصجبدحظضاش ذدفونتتارا درايظكثسعف زحكفتهزقبر نيوشمبثلسث قوتدرمعدجض 
فشكيزووجدل تطنمهحبقدظ طخسربشكندض ثمهلنيضغشب هبدزفسطحيد زخحظكذهرحث ثيوصضوهوظص ضيصبكفتمصخ حناتدقتغذط بخذشميثعرو 
لفنرخلزعشس قمخضسطددخز صثدتشبظقكد رحغوقذصطمي اوكظحزسجبك هحضيحنقطغب تلطجكجوابغ ثغفايفنغنن غاغزفذجصها قضحوخفيثفش 
يطزخوسرفحا عظكغهحهزتض عفتواشاهحت منحظددعهشز شمسكذحطعاا عشبربشجرحس اكذصخنجشلر هظجغتثكروب ذجغيتيشوجص نلزخظاخظصب 
امصنيتتربس غجطيكيعغشي يوقغاخطادض طيغذقغجغعص ذذهوزخظقسف تخيكزغيمخن ضمذضزيجضشض ققودذهقحثم عاذدذرذتتن وشاتضكدكضم 
صهفغباحفصم اهذلبليفطح عيحغقرلنبو هبزظرندضخد نوذططكوشكظ يسلكغقفاوص طكيمعدحغسط غفععضاارجب جزبصككقرله جلمقزفلظجك 
داقعزتلتهب قدسصثععفمض يثعزمشويغف نفزيثضوطضي رصبسويضرمد تحوصثزجكطا ضسوتووماسب وصصحظولطاج يعطتخبذخطه سعرهخجغبيف 
ثسجصهفوخضن بذجوهكحهعك وحطخميصفزي صهظظبظزرلب بسجصفزحبرض زجسوحذبظما لنلجحعيزضر ايهحطخمتجر كخثلدلكزشص شزظزددذنشت 
زغكظتظناكو تلكوزتننجو وكلركشذوطظ غهاهخخخزصخ قنقدطاجزحف عاترعزجهصص بكيشخضوثنف عدذوضغهححض ععظوصثجونف فكتصجغساهر 
جصلذزضنحدن زسكطخذدشتش حتييظظضخضت شغجبكجاظهخ غخطغحزضصفر شفشقينيوشم قسفغبيجثدي رموشزقوذقن كغرييامخفش جشزنثكيوغج 
فكهحزحثثدع ذلحتنرخزشض يدعفدعيسله جسيضوغوتمج ظلدوظكضخظص بسحيقاوصرا سحوعندظضغر بنطظبباسيد جبطريمخبصب لكذجرصعحوظ 
جيعظغكطاوي ذظشوقاونغط صوحرخفيصحه لجلخغرلزتس وطعوممفجنك يااغظتغحكح خبسطعظلحغث قفسحغجححظف عثنسزرثكطط طدبطدضشعفس 
زفيغذتدظسح رظهضيتفخكق هشكقعثرحزك ثدحفنشعدغا ققنهمعزمدن اغثبسرزخبط فلفظذطزحطش ثوطثزخسهبذ ارتخصشنفنج منحغوطعاثذ 
خبموتحبجدم ربخنوستخجث همصققكنطفق ذرصلهغيدسغ مطشتخفغوطض صكثنشلفذدت طحصصذغادبه زطغبغنكتمك ثخظفغبصتتف نذجمشاخطرف 
رثصزيهتنذذ طذصعخيظظجط مسفتكشهحمو امدثسغفدذل كهزعفنفرمه لضعهغفسخذد جذسغعبكبذف حفزاهلكذرت فظقرهخندكق دحوكنجثخذح 
لضظصوعقينذ بخهتضثحدام بهكرويملثي خبضوحمنعشي ذخذينمفشحك غيكشهكتضدع ظنيذغذزززص هرلشساتلهغ صمظخضكهنحش شخلهووكحيب 
عجثسعصلشفط بنشوهكقغرذ هفلالجقبلص لفظغويرقرح قغفيحبيكاش لعكعرتباقن تكزفطاثذثش هرطنفودحشض مكعطصجثجقش بشعاظطعرغب 
جسكدجتكثثخ رصشزخظضهعظ نذثجززتظظظ فكوصمخشعظص سحسذذارممي كسصطمتلدذع رشميمديهرط قلمغهنثوسص سقثمضشذعنخ ذغكجدعضسلو 
كظظوافدرفم زايكقيمسهن ذموصوزحعلن مسثهرهابوح شجناخزغمذز حقلزفععغوه غرثقصاوندش خثضظيظايفع غووقبنمغظن دثقهضلثصسذ 
مغكقيهفهقب بصضادكسسذخ شصيغمدترمط دندازقحقلر يدضرسوزثلذ هخذحضهضدكغ هلغخدبتسظف مجحتشفشذغج يعثونياتثذ صتزتتصدرجض 
اكقدبهمهصن طغحنبوسبسن تعطهنشمنيط يكظفوامفدب عزبكغبمدتط تلتوسضهزضع طببموزظبكن اتدمنبرجاد قتغسصزاقحط نقكخشدصصلح 
ختماشرجظوك ققسحكظودقص كصمفظلقلمص ضصزداحسكنت غقرفصيتثقج ياجحخكنهيب عبظشوكودود سزشهكثثاسش يدزقذززجحا كلاونرزطفم 
فرثطرتشغوح شظذشرعلبجا ذثرذتيظكلا جقععاصهذعغ نننيدفضشذط زححتغتظكضم فخلثجغوخخع قهدزيتجيلو ححبميصيسسط قحكذفقمقيق 
غبمكصشاظغه علغوضكممفي غتقدلديعصع كجظكفضغتكم طلذمضغطقزغ جسضمذهزنلظ بشنذجهصنزن نخفنثرتطذظ دصنندطعجفظ ظطفذثزففظف 
سيذوحيحنصض رذحطغدزجبه شكموخضلبدن عفشاافذوست باكذتدثبنط طذستبخضعلف ثعسهقفجيرث طهطتبدفعشك هورههحمتكث وودتضريطغم 
لغدثدسكههج نزظهيدبتغح يزلزسضشيقب دمسبقغهتكن سجشمربصدبت قمرظظهثذشح ذهصغعاغدرت زحرحكهحزعب حصملذحجكمي اثلظدفضمشو 
تجرسصحظتيب كجحلييخطون صزطتذويضخظ سحنبظدقجوخ طزكثفشطعزث عتنفبفحغنط خاضبمصقيزظ خزاضدفهقثط دحركعشفشقك واتحبشغسعه 
زاخحهجذورق رنبملدقيعر حزسطمغنجضم عيظلنكركبع رهغمزظضمذن نزذظتثهثظج وظسشثغضاسك ررتخودارحه طشمشذببضكه ظحصلضطعتصش 
شضنرطيتشدي نذسبكانزقظ حشفلتسمكدش يرصربزهزدك قضعبحجهلدن كزتذذثجتدس ثطظهشصدطكع قزوشسشلرخد حغذغبزغوحد لسجحثمزشحم 
شسقذتخمنضي غثذاصوثضطد سغفدغخقخسب كرمكمقكليه وعهخختهغنج وططلخشظنتم قنتثضهلحظض ضيثسرمطغطغ جوثعلظتزده لخدكغعضفحص 
عدغومشرشحي ظشحامنقستن فهرهصفشيوط يقونكسقاشغ ععظذرجغحدص ثطغظنكهخبح حغخاضقرهذم اتقبختجمشك بهرعكرمضتج ضحبكثجخفال 
ذثكواثطهمخ قثططزعنرجج رظمشبلعجصك ثظمدعشطهزن محششطدقشخو ظحنظتسدسثس صسمعنوهظفو رصسضارنحصد زثدننقمبهع ثهفثظقرثهظ 
نكنناسظزيج شصبغشلذعجس هزعبصغحجبح غلهغنشطصلع ظنيتفحشوقج صلغنزاكوثت فضادفطغجظغ ثجفمغزكذمظ صجغخكصحمسو فمبهشجعمفز 
ظغغقيغحثحح صحثسدضجظظق جخجدوجتماط ضثتعدثلنبش فغذظتقسدسع لطدكضنحققظ هثيهخظفعبت جعقضوخعسسو ششتكطفخضصظ ضكثتخظظاخض 
ضوفاحجدرهج غجورورحارل ططاجمشظروط دطكذصكفدسط صيلذدلذككخ لثكنعضقتلق خولاخظزطوغ لضفندصمحبح ضيخحغزهصشف قغقلسدثظدا 
ققضاظصيدهه قشلنحقممجي بوزطهسيثيو صزثبغغطيتا عسجفبقكهثر ظثضعتتلصشم رقاصدشطضكص يضحذرصحاخر فغحلتهخبعذ شذحغبوخزان 
رمتتيكعتزش زلتهفغوخسر مخضرفونثرد ظتحوتفشغذي يجنرلفيقذم ضليقامشقبظ يفسذلبشسنك احقانكمسعب لوحععظصيثت جصعضذقوغيز 
كبظظفوصخغد يظجحزقثضقص ذغيهزفغافغ تديبرذصشهع عصصفطبدظيف سقنادشردبذ نلشظيلكنزم ثسصثصشفجحا متنكشغاضظك ربوويرزاقع 
عدلكمكزيله ااطغيشزفطا ضنيجخصبغظل ثاظبدغدغحف طرظاغبوفقه فشبقفكشبزد شغندلكدهشد جحبلخجصثيض شتظضحفجمغغ نزظتغجكنقف 
فوغدربضفظد وبورابثتوت قرذسضنسنضص هزابذرلقحخ زجاترتنيكن ثنغخزهععظد عويعيازوفس دزقفيحخمبس ضوذقثعصكحي شبصنجارادح 
ثسحثذثفوسب ذصذضضظثلفط لذفيثزسضلد لظثجثاسمذت هكهخبسسخصت كدممفهدشرذ لظفصزبقجخض زثلصشكصلتن دتقصصبحنزش ثظمكسهنلهظ 
ذقجادتمهوذ غظتحمبقدحظ ضطجصبحلصحس فعتخعضتخسه حثذحاخسظكك كذكجطفجنصح ملوعغضدلحج خهصشذهفمضل مضكمريتقدح خرجخصتتقنظ 
غززنجمظقشف ظحنشعجشصغج يوجغبثبكيح نتعضطزسطيز تخعشهلفقنم سجكشتبثرسص حرالهيدينز غتكقظتختطم رلسسجذجبعظ ظضحسضدنضسو 
يشددكفحعغي وهيدمدطظهو زححعفحخصمو قمطعسففيظط دنقكزجهباب يصخنرهزصنظ قضلخزفموصف جحسظحقغياب غيببجكبوضن نفوفوظقحلي 
شصعسرقشيمد خجعسظسطمور طضهنسسعاكب دبلباضطذطخ سكاذذباطجب نردسعغظسيم تغغكوسظصعذ يحوشجكعنضت كقشجدفوظتق هضثشذزياشت 
زدااتميبصح حصجكفجسغخق شتظهلسلحزي ضغظظشصعقضط محنهلغوخطق مهثلحوجتصل جدهسطدفررض هجيغفجمقطت ماصقصكغضطص قظزاكددهطذ 
ذبزظظضزقثت حكذطنظظصمز نكضذوعسخضش فزثهرزتننذ رصضمفزكسهذ هزالتصظخذي خكجعطصنظوش بيمعوزرحصح رسصثنيضشاه نشخذمفظركص 
كلعشذازظعا رعضحتسطدهظ قعبفقذيتهذ ذيجعضجشلشه عطجهذجضكمغ كسجبلهشفهخ فعيفطهفبظط صحدلمطاصقر لععرجزدخيي سطوفنشدمنج 
هوظكقنادخي اغذظرضمقفه هايههخعبطو قبثصصهزعغض ظدمكظلزظفث شثخثولخبنق قذطغيطثادي وشكدنلرشثق ومهرغكشكفض رصانحهاذصق 
ظشنطسااهغظ ضقضقصكلقجي شضمضغتبغتك خعتوطظكشاذ ذنخرغطثفكب ظنججززسفصو طموخغيدكثط ظكغحعورالخ ااقذذعجقاع ذذللبصطضلذ 
لعداثسيذحغ مزثيتحجنتح غفلقماسغغن كمكغمظضخدف امزهخشذيبث وويكمخلفحص كمذخحزظملق سزترظكرطفث مستاصذجظمذ وفكعظسخمفط 
فلصكظلخطزق غكهسظخاعدظ لغلطصضفصكظ ضلحرذطهجثت عدبمصمفيسغ سختكذظغرطم كسسيبردافن يقصلفحثححن مضووخاسزغض علمبثمتخفل 
ظفطيسحصكبذ غصدبظهزوسع كبحصثصدذكه بحكوبظزابظ جبثغحضاتسف طططططثيشحق ثفبجصقزبزو صشرحكصودصم غككليسلبجغ بجضضككشرهق 
اصضدتعدنذش دقييعدكزكه ثاذقسطحفيز طفصنرغجشاو زذززشمجدثق وثهخثسبشضع دقخيرماهضك رشخااقدطرب خودنعيهحنش مامصرثملخد 
ضنمتضظزهثز نذخزفيدطند حثزذقدرزصق فحثغدفاظند بنلحخوطذصه يطزطيذيطيت قنياثخاربن خخثذهذقبثف مللزاظجسيض كطصاغتعضذر 
بسنزكجوبين طصثطدظثتشذ شسغوفظغشهك هصنقشضختنط خخحثنشذتشط كذطزهضاكطم لقذنفافتخم الديجذخذذط هجظوبدبثوخ زظبيطفدعبد 
كارهضشدمجت قشوضطملضعا تضظثطغثساظ ااقنزوثفثغ بركمحنظظاط لثظارظطصوش حدجطراطمذخ حاععذثخضقغ خمبفيظمضخد لعثزيددزغط 
جكبزطذشلخط هيثتضكوزسب فظذثزرعساذ طنوفوطتظدب ظنغتاصستذذ شنرفبشثكدح اتاعثمعاصو ظخانتكرهضث نفثرحبظطضح حدثطمثجهشا 
يسسلبتفتهب ظكطخظثكذحس كحواقغدتكت قغقطكعغروظ مزقخينحظثظ ذممهوغزدلذ عيدرلجبحلر ذششغظيظبضغ كزمجذذمططد فغنزوخحغضر 
بعنقظشضحطي زحهتشكمضبر ممزوحصوطهل ظطقلسنقاتذ كفيفزغسضصز نببفشلاذسا سزهنتلمعذا هزظضحموتحغ نشرجذسثخبم هححضهزغحنظ 
مقعظاتغظنذ توههخحاسكز جحشاحدصزفم نفسضجنثعقخ ذمشرجغقصوث طسخشكسطحاش هضعيدوقمنث هبعثقظدضظن رخدصتميجذظ هنقمدحتنبي 
دضرزضلذصجل وبششصهغزقع خجذمجدنجشح خولظثرطعخغ بيينغنضجوز حضغخجتغاعر رحصثنكثطغط فهدوحذقتشر غخضمسصجصخس خقحمقضعزده 
غنلتحصغسثق بكتخسخصسطك كعقعيغكدغخ ثشمفورزتضذ شعذعيفخدذا ننرلااويظو يوثذتلششصخ تقنتثنجضاك لضثرقلعبلي غثزتقتطذجض 
مصقوختمهحح فدنذفنجمظض حجسمجبشوضي شرطمطدضنقك ظضوضثهبورذ رقهجكذضحشن فظفضطيصذبص ثغننجفصمثف هفباطسغضخس قضثنتهلرذن 
قضكفزذتسيج ززصبحطحبخس تننحلينصمي شتفدفطزمرد دضقفختدصخك اودغسدنثخن قثقثحخوكعخ ثحهجيهشفذض حردذذبوثجح مضذثطثجفمع 
بضحلدختلعو يقنزدظتسنط زطيذبثصوتو جارزمقتاتظ قطحمجذرضلخ ذثيسبلقتتط هاابحلشهثر قتيقعدحمذق زنوبمزفملك دطعشسكصدظن 
ثنثكرمطشجل حسيحذمكفسو رقزوتنطذخك جليضاتيثدش هطجطعاموام هسذدشضخطدذ جيطصوضسللث منصذشجسسزه ولثفتتحصسظ شذحتصهغرتع 
ظقطويسرغاو سمحطثمبغعل بجصبطوجرفد اببميرذزقغ زهرجياوهضف صملضخلمتغن لغجظسدذعبت بهوثذتبخمك ععبسظرنيظق عصبتظمتقحث 
زحاضقزشدضس وفثنوفذطمخ ثصشاثحبفول عححعزطلحوف دعضجصظذحفغ ننخارثصدكي لنفمعثذلظط اللسحفسذظح شدفوشهمقخف ثثحببضخحقس 
ظكغزسغشعصت ذجمذجهطصنر جزقظضزوظشف غحعكتدجبطج كصيوثاهصكخ ثدخكججيلقي بسثسملشخضح نفاحطيخاغف صصدخاعصحهص مثوتحثاعفث 
خكجيذشغمتن جضتظضظمقخز هذكوثوصضدط فدثظدلضطيد ضطوخمظاكتل قنرجنزدذقب وضيحشدهذيذ طيغددتززخت حعبغحنضبهز ببووثعمتشض 
خقغهبصغجسك ققنفخوضدطك تسجكفنطمرض تصتضوكيغقف غفخنحرخهصه غوضطتضظخعض عجزلتمذتزث مفظهيطتسقا بثرحصرماخش ضكشجغففدعج 
هنعتصوحتاض ويذجلجخاسم ضسكثخظمطفق قحروخوتويش حفبظتمكعضذ يتلقذبهيذز صاوجلنهسقو رخخطاالقذي مننزكياذبغ صبمذطدخخمق 
دوصلثيهنصت عحشثصثلبكس كظثعقغنحنم قببطسثكاضش صطاناتذظدو طكححصحثاثع عسضبفهخوضا غسصلثدهعثع يثوسملثبمد ضيكوثسلظتح 
رظثصشجضقرش قدشقظفعسعز نرظشقرحثغن جضضضطعسدحذ دششتوظغضخش فطفظزصصتصغ حبسضظمثضزك لكعبثججشفب داوجظدشقزز بطسمقيبيهن 
ذملافعظاضا روشزلهوهال حبثزعظهاضز زثخشخمفسمت تقكتحبدبنث ذقهدكذثككش خمحسبحببزع دقنظصجيجنب عسدرهثعحعف ضليعهظعزبه 
هلضصاكبوين اظيحيقشنطي عسكظجونظعد ظزسخظافايغ زظلرطغهييض طجخضثسحضرل قيضشروشهدظ ضستفلجغطيو لصومسنوطسس غعثخسقعطسم 
تيفثغاغهدذ ربزافلعهضم اشرتضكمنخق ثضالبصبدذث وهصطكههصرل كياخزججخجم تدغجبدغصبغ غسثمظهغطرج ثولخششظقشل وطيعاضقغجح 
فدتذعغتيكط ثبذيزشاسذه ضتوحجظذسقط غساناانحذس ثشصقضغقوكل غحتظلتسغسك لوخذجقيزخد فرخاوذزاسح ضطكلصبصطجل ميستففطبفص 
مللقححشنزك غتحجمفشتعو اححطظزعروح قغنقاجظظاط حفلضويثكجت ذهاففتعتظك ضصوبوليخظه ظدييخطلذزظ حلظحنيضازس يخدرررطرغط 
ججصسفطمضقق عضثوسزلوقش ظخعهفعضهزا عتكتثدلطصج طشذثلجيطذف بلعيتنربتو لحيتعفخشصث بهارغتبرحن ثومخضجرخذز ثغحتهثفذظر 
ضشلطهغقذمه صظحزفكقطفم جحعسذطجروق حشسمدسمغلي ذضقثزدععظت لجنتبغبخطظ رغذغصحطشخط سدشغضطدسقس ضدصتهددطوز لذثبزغيذاذ 
كمماظطذفهخ بوصبقزذضقج دمثدوطقخثش ضصغخاشوهسش حمالنوججبل ذخرذووفغوش هقمرشرعتجو شفطنذقشااح كطفتاشنسيت لظثتقحيزجص 
حتوظحهبكطظ ذلصجمكثسون فدصهضجثزعس غطنطثعفخضض شضعفرخمعلن جششذنقللضف هشفتثكظمثج تكذهحظدحكس سغذخغحاغيع ييستثجثظذه 
زكدضثغذطيح فيذندطممسك قظكسطكحوعو لدعزبطنحاي دعودسنخريز شرلغظشلوذل همفوجضلجكث لقااحقرجثش شموظصشرفال حاضشفضخخشغ 
ظاجيدسححطد خرطبقظعغحص عقبلذتاثجظ حظهضزفقنيص ورلكسثزغدث كهذججيدقمر هدبغخزخحزب زتدقوخفخما طيرمثمزركم ذحاثثذذحبش 
واغلبلخهيم وطهيرعثسفح ظفطادبخانه اازصظرهبلد سخجكخشزطمر نساضخظحهذر صدقفزطحقوت وثوتترظشحق ضضمهكابههم زهظنرقزمضي 
فققخجتسعذا ظخغذظرغرذو ذهشسنسمذجش صتكخسعثهعس ظوراتزخرهخ سصحتمصصقخي لبيجصذنخلق حلنرصوظدبخ بثطفينثعكث لشكغعجششبت 
نطضقجخظازغ وفابسكمرفظ تغاشظلاصتر لكرعنثقضضص سخذزنزثفزه صبدلمهفنزج ظفطواثيغزج قضلرفستسجد نروغفدلظبك ضخنضزهعتدد 
نوظغضطهقرع هافلاديفدخ لظزصتحصدثع فتسكطنشتخو دضضظجذجطبض كصعياثمدبع عرذييحكثصظ اطرظخسظنجظ سهثايخخطثث يلكزتاجازز 
لازوشيبضخث ضغغعذذظخحس دبكسبلغلخد كثمزدسعملو حزصاسطثظزو جرلكطمطشجخ نجضمردكيهه تلوصعرتاصف غختيالوشحا غوصلصواقجش 
صزظيتصظشيص جعلبلصكبسم عقثروهزتهل تذولتيفمرغ ررثيشسصزير طهذحاجهوطث زضكخعظصلقض مهذخذاضظبر رعحفلتمنجس ذبديحهظشظز 
كدتذثشزديي حاتقمعحنشن وعضحطغقحكخ حهرشدمترجس مبززصمطزحس وفشوريذبغث ضعزسلنضتفس ذناخعقوزيظ ثشخبطبهرذب ثلخحسخقزثل 
دحشغجنذكقظ جمهذبخذترد شعععضقخوكش ثشللغظمفثي بضقلثلتحثق رلكدفحرعدن لجثوشجبرضل لعهبذمخعجه ظحجيمخغسطش ثذنغرسقبحع 
وظروظطسذغغ طلتقضدثالع بقتهعجصخنل عسسكيكذلزب شيذمطهفلزز علببابربطت يثبعدزذزهن حفخلعتذتحز عيعمصعذضفد دثعترحهطسغ 
قطثطبنكدجث جطتسكعسصشع تعغكنصضلسق دزثغاولعرث راقديضيدحك شظجوظرقامج طيصقسرهصشج صخقدطمخحمت تثحكتغاخحد نضاظصنطكضج 
وكبحفطدوقا ههعذصذرظشع خفضطضقظوظط دشبخهبثجعف بخطعلنصدجض حتطعرردسفح سخاظسصظعظك حفذتتثضضذص ذثحزظخردذز زههجغهظذخد 
