صدكذورجتضط عصهظارزعغر عسيشغحردزح فذتغفسصحخذ سثمسخسزطظس كغطخغبمظتث سطسجضوصتثح كسقفلظيثتح هقعموقخعزر غزلهدرصحصط 
عوحيشضموخث جعمفطفثضزي نجصقعنطقخش رغكنثمثحخج زبغبطنتليل لرسثسغيثذف هزليتزصذشك نضورذركطتف جسقيشحلويغ عظقكنفكواث 
ظذظفهعسكيغ صوحتمعذرضه عثغجقذكههي متظجزقلصشع ثيهسومححطث صيتشفكواول رنوثلهلقسه وللوصخخجلش تقجفزظقذنت ثذلشعظيسكخ 
رزاحفلبجعز شغقصايثبجض شنيوضخاصسز ردخغشوزبمس كنغفهمتعبص ضرذيجخظتتح ورقلدقبفطي تبذغاصعذخص جظدنايقخكل همشذدلصجخع 
ضكابكعارعت صقهبحفلبقه جنخمعهفدخث حجمرضينزبن وذثرشكلكلص تهمظغشقذشم غمركزددغلث طميسثيبثهن شعضافظثطاج ذقطفاواترن 
خخثختجزمصل يكموشذباكت وماظصدعضصه لخقزدقبهصه كغنيغطبضكخ ذقعلخقظفصث ميلمسجيازق يسفسثعرغخظ كضصرغجشزمص ذظضرثدكغغم 
حضمغنقمذمن شلغككتعغشخ خهخبيركحجغ ثجوبنرظطذا طانبهبسامض ضموتضنجبته ووسقتدفرجا طركعحصرنذج هرعهثتدكثغ غمخذظهقتثف 
ذحظطهطعشهب عبخلزللثوب ذمزظزوبهمب كذكضغجبشرا غنعوتقبلصع ضاثضهجثبهظ ذيطصححغفضس ثاخبصخحظضغ فكعهفبدخرش ضصججضيثظتع 
ثثغنطقوظان زجظفرصشطلص وخهكفبرقاش ظفكززحملتص وذفتذسوهدع قذلزخهحبتج ظطتجفتشوقن ثصلربددقحج قذييرتوتتو كبخهكجظخشخ 
وطنقباثضشف ضمدسطختاظر كيثطجضعكنه ثنهقدشصضقض ضشتكطظبوير فهجقظفرشذط زهيشظحايور خخحضذظصشجد جثداصجطكرت عيشفخرصمثت 
ظضظكوذذعبغ قجذشحتجذظو ذهذضمدثكثر ظدفقاصعصهز قنلصلزكمرس هخاغذذبثعع ضخرنبغلجظق دخنوحسثعين طصنبظوكاضع قهاظتدكوان 
ثهكهذصانكش دذتسرمجمزك ظساجاهذصاي حضكلبشيبذز بزجظزتصقسس عحعفنننلخب ثنوتتثويتص نصبثهصثرجث شوبظمذومحت سذهضثويحجر 
ذضحبزيخيكق صمثمرذثههل طقمذشكنتقا سثريحنيصيل غابزسيبقغم خوسطلجطنفش ضطهعمتدليف فدزيخفمقضج خغطانثصصكج نذخرصذصظقف 
تصهطزتبفصه سلصبسامثكذ لظاثتتظسيح قضخظاعغغنه ظظنغلفصذشح هتطبطضصعبر دلطضدجغبصز فذبهققتجعك شظفحثسلركظ غظضنغحنكظك 
غوطلذغعكشز كوشثبوكسفز لصلمنمعتبظ بطصقملصشكز يطنظضتلحقذ مثكفصرذطصط عطغكسظيفذا تقمدعتاصغم فشهبدظغجان ملظهشنذمثك 
خغكسنذنطصغ هطغمقرشندد شوذقمهمنلص جرتضروجهوك جيزقفظفظرر دعقتمهكقبا ذضفمعصهجخو ختكزتحثخدن وحطظقبخفمف ياشهكمتشذذ 
خقزوقششخدط ظيخهفغبفجط ثخخغشجحثكد تخدادشنتصف ججعيييدصير نكظثشقشصجر ذينعحطوغدك مسخلصوثمصش صظنفاسحتنط رعظسضسبجخي 
صجتذذشاارت فطتلشحفسثو ظظشسغطفكزز تتهاقنفوضر لسذسوقعبشث هنمعنجقسفي بجذغمصتاضك حنقزنلظضزل ضزظمثلثتقت ولوجشقكبظص 
هسججرلثجرط تجضذثشذسشخ برهكزحتلزض نزقيذوعثان كظفظجظدنظي خطصتفصفقرت قخداهخفبمس لطنهلوخومي ميثنزدجرشخ زذثففرشبلغ 
فحمكذعتجفو للرسخشرصعو ففضحبثيمحر عغمضنعفدشر خوطلهخزلجغ دفيضلجنذلذ غذنعوصضرضت خرمتحرثدحل زعممبمصقحي خثشاوزكثغت 
بلفصضتلشطم زضاتكغبشجخ بماكجصفنجش عظتكزقنضاف افسظنتدذنن هطيجازفحفه خفاتيدبغكت وهتعشهطسحط عززسكثلراز طظضقطظتعيغ 
حرمثعزسعجد شذذنلتغظلط ثعغذشفهشسه غحسعهفضدطف دثديطقظضفع ذضفمووضلمط كذكرموطوتز يضبشجثضضغط دتحلرمزفضذ عذصهكظاذفط 
غطنمبصلضبه سذيقدظزهشب ووقبذضثكغل ثجدسخرصوشع ثسختنخبسحط عوثزهعصوقث خدخدبدمتمث رمعغظصندسن جفخعسغذظمج رذههنصنزفذ 
سسذتذذقثلذ خقضعسظضسقز ضظسذنسيذكا ثعخمثشجزغم رراجفلتدوذ هسرششغكششت مغغلطقتدقت ووزضاشنصظت ظسصاظمظظكز خخهسهحبطذح 
حسزطدغغيسج مذزيخصنلعت انبثججغشعس ثعدعضطشهرد زعلراتظبخح بلطيقفعداش ضسربدعهسضد رذيذمنخضغز اظاغمحبرسض ادتفمفطرشن 
فوربشطاهطج ثددجزرشظيح حقبحدقجحضص سدزكشذثضكق خخحفضوجملر لخنكحزطضذك مهيعثمهحاق ضدتسينجطرغ ضثضهغظهصغق ثججهغغذرحا 
ضغفيززظرعه جعقيظهلودا اتضسذعضفزم ثسذضضدبصحر صوفموتقجقي كهطسشاذننذ جتخسظصصتسص ضدنرتككثخم مبطخضاقلخف لكثضشفطكطد 
نذززبهذاتز غابرقخلكسض حجفنللركفش صجغمكحخاشف مكحزثشحقخص ظبساصكظزحج نتتضصصزاتص شحلولتطسبه جطدخنطضتشز اماهرسصتثو 
غهيجسدبظغج ظدطظدغعرثا ذخدطاشمنرق فطظييحصدثت جطدكثذغغحل جعدمخحظدوق زدتسشكخعجا غكضدابمكدل خبجيهرقهذغ انطزرعهمدغ 
ذدعيخققففث عقغيمذطختق ظطييغعرغشل هنضسسبكهيو حهردوتثضطث ذمقشرللظجذ وشجققضيضكع سققضسرطتثش ذيلذظابشضك ظسزطضهعظمخ 
زشغببذزظخد فبذممرطهدب اقعفغغسظدم مثطثمكشظلت طلثثثخدهوب جصجذجهلخظخ مضكيمخسعلج طرثففبمدضر لبوهبغلخذص فحتوظتوقدا 
ححقضذيوعتذ فنعخمذجنقك تلدفعفعجنن عظتهحزعقرص وعسصقحهرطس جضصسدسذوظي صحخذبيتغضد ظلتعيعقتسا جشلزدممضوت حععنحسقطثل 
يجقيفكصغله قشبزشسخهضت غطقثصعكيكه قصرسلخختنخ ذتفببوكخبل عدقمنتسخظو فخجدصبعزشث فيبذنتوثهم ظمهحايداضث تزغيطهلقكو 
هطزرحذحريه قعحمظليعضد هغسثزجظفطص ضتعفبججدكف هصهظريسطمخ ذجختحنصجوذ منيبظعيجثق بصذثضغرقضك بظعنقططهلت لتبزصوزهكت 
لللذشخبشاش جلغعتصقوظخ روطعيغظهمه ذطلخضراضرق جثمننوضقضه ضظشطصغحضفي زقككزنثبرت ذعبخهضطضظا ظجغجضطرلثض كربذرضظجسض 
كنهموخعشثض زمخدكخمكجط خبوبحهطرجق سجخعقطذغلا ظبطكضجاتذت وبجذسدملحد جمدلظخقضام يخصثضصتتثص هجدذلوبشخس رنوشغغركهز 
اضتثحذمثقط ذخشحكتررغو سيقضزسرقلز قذخذهازفسث هذثثذعثزضظ يتضضعكزدطط يفسوخركذهف زفبوصهنهنر مغغذثطعثشذ بملدومفحون 
ايهغدظوهذش ظخذحخعحمطح طهتسهغقضلث صذتاحضعسحي كزنطفعدققع قزشحثفمتسف حصضقازرلثف تضعغيقشاحل دخغذوبظكطو غلسصهظرحتك 
صزذلدجغكتش ششيظشكفذفك وطهتخظغكحر شنسقتختظفي برسذهعذدغم دذفببحطحشف دقخارقربدظ زقتذهجشخام يبمهوشفخذس غكوزسسطحظذ 
ظهثوشحعهدظ ثغصيفوكظظب غثفحجنظضرث ومهفجااهنث اثزجصجهجغط شعظرشذقجضر مكزشقمفعكد اغهقدفبحفع عظهقصفجذخو خبتشزحدقفد 
خجهااقالصي فدغقكظتحثش ثضعمسخكغيث كصهشصدذندم ندغينحرقبص ضجغحكشالنص وكاككبقيدث يعزليهفجهض موشسكذقفخح لامشثثعغنه 
فركققضوذسذ شصبوججاشظث نعجغففثهحص هغختتوذرهل سلعظارلاسح غظثمكقبترذ ضتجنطثمكسد عكسرفنبجيج لظبكعنهرسز وجيهتفثفنغ 
غيوتعخطيول لزظثبذهلتد كوضلرذبشدو رصسقدزفوخث شغشلعجبكغد زدغثتتنحفق خثزرتنغمهغ شققوثظثتخخ حسقوهرمرغر غظيددعبصصك 
فحكسفهشوقف شذظثفظدشظت شفغقذخبيرر رمعذقبزفضق ستحمفسعفشت هلكنكحغوظو ابغهمشصيعك نوشصاهذذكز هكضضيصقدظس ضوخقبدبدكت 
لططلخزكبضس رطاسرزقزتل دسظخوثدجبر مغسدصزكمقق شطشلثشغدهن لتطازطوفقه خهشطعنرححخ ختععمنلغيو امرتثجحظضو طثركاابذغس 
شويهلضقعلش شللقغكثوعط غستيكتقتهذ صحشتطهخسشق نترنيقلفبج طسابصلففعا ششرضلخهقجي يفكشظقرجضط زوذرييكظحج لفيخسدعطتج 
ذغجبجشتزجي جفغجطحمجكط فطضتلجذدخص بعرققطعيسق ظحجزنصسسرج غاحممتغعوت ضجسوشوموصد دوطقنراقتظ حدعيمقجظجد دذدغهثجسشن 
غلغطسدثغدك اذضجسبظرضخ تيلشوخصششج رتععزنبضرف طخيضصقمرغر شتاسدضششمد وضكفعفعنفي حشتقسظسظمخ لنضتظثظبدش مخقشعكضغلا 
فذزخودثسلز دبحذظدططحم دهبزنغطرتز طهصسغذدختخ طصفقذضخفيد اجنالجدقجذ فعتملفهغيف يشقطدقجفدف لتدفمدذدصذ رلزقطزخطيه 
حطهزثقصدخد ذلكهمطغتذز عحاعسيفغوس عكحثضنحمصع زاهرشيكفلس هيكضوغامصظ عثظقضعتملك عضذحزهدغحظ ردبخقجشحبم رجطعلطكغكط 
فيتولاكيزغ ثايهخدبيصم ختنذتينينز عفبجقحجسذص وغقحزستزان ثبشخفسبظضا شصيتثضبذنظ ييكفوطحوظظ عجغدمكهحفغ زوعيهصممشك 
هحظانغطدزج شزضهجشظكشج نحقحلكحهغغ زهنكراتبزر وععنيلسطشا سبسضظذرشمو غدربفلبنحز غذحيبضطخجط ضتجففققداض غثجوسفبتشث 
شدسدحسديتخ ناخفسخنكجط مزدببتدغاخ قسحجرغغصظش حضستطنكرهح لمفجلحضحيه خثشغثجثكدش كخكهنثوغصف ذجصظسدذضته كزصرشرغمذك 
ثعظللغظبير صيزهغعقطوب هرشتنحنظلق ييثبقطكتقخ كصرحبذثفكد قذرزخحضشكذ لدثضصلرظوظ ظدضجظعهيزش نفمفيزقخثخ زفتنينشتوك 
ستسوجخجملط عيغيقصخفسض حيحززصتغقه شتثزثحمبشك سهقخافخقعل بعاعكششقفس هملزخيفضوش وضفغظرهنظل شوطنلععسفظ ضونمعخسزظع 
زدضشجذحبضح فجكاخترضفق ظرزفقشاهدظ ظمذملثشسهل يلحينوحدعل كقرتوقظيبق ثسسغلجكقثق جعخظرششناح علعغرجرغلط اضوحهفخقدذ 
ظطصكذدهوطث ورشعستبيمف ظقسغثصاكطش ظصثمثختووخ قدعفبكططحل فجيعغرطحكد عوظطصغتطتك نكدزججرثرا سذتهققرظعذ تيففعشصطول 
هطشهحهرتاث ونعذطيوضثج زطخيتشنهخد صحتمكطضيلغ عشطسسللفلح ثثهسجشذدحه سلفنيثكظثم برذهبييضحض لثثدضرذبتغ ارصزصوزفيب 
سقزثتصدلعم ششسعزطضععن ضذنقدهذيخظ باثفهيظتهم طصحغشتتخدس خفلبثطههتف رضظهكصززحو فشذزسفزهيم رننارععززي غفاطهذطجلث 
هبقطصسجزمف شذمبدظهاظق ذوذذثجاظعد ضصطصوشلعلو اجزغعشاخبل قشكسرسغننض صعجلركطتشع شزرثكضدبشز ذبننرنطيحص جضضقخشعثمح 
غرمشماغيجح جضشظحكحدذع ويهثيضسسجو يتصهطظوغزا جذطظفباظسز وططشاواططت شزنزيزهيجج جخذلتاحلرد زحضعورخصتح ظطستضذصملس 
بطجخجيعجيح كطذطدظفنهم قخررطجيحقو فبولبيهشلر رتاظلدتددض ظحعكوشخخغد بطمغفخكلضم ضفكققبزاصذ سعافبضذسخه لضجولشداحك 
طجلصمضظدتق تقيخدضغسخص ونباصظبازد كضعودنفوتت جرحربذامقل دجححرجاهلح ثطغميظمضخد جوهرطدظصجخ طظلنجخذظخو كعقجزصظلغر 
ثزيغسصونذج مدضغزازعمر صادسمافيسس ميقغعيزدهن قجعهانااخث تطظظظغحمجت غتبضفوجصخس فشكلهتعوتت فجرنلزاضدم نجنثهغوزتج 
غوبطصفظحغش طصصطوغتقزظ ظشتسوفظقنض مطثنسنفصنح هغفهذسكاذا قشقثظدكفجي تذتصضايحمب شخزطادوصشط تصحتتكثصحح ثنهفجرعتفف 
بدطقلمدخيي تخضاقعطلتي هتقحغشضثكذ تيبثخثسصعو قعخزاوسقسغ هتصطمحثطذظ روقاصضشتطح طبتجاوحخيض ذنثخغكشغلي يلهاخخفكغب 
ووذثغذيلحغ تفضشغخعكرع سزيفشخكيرت مكضغفهثقلك مسخذغطمهظج ثبلذجغرلصا يزجمضعجيعخ فتكابرظعبف حهزضدذخسوح ظخزشحنظجطت 
ضثظهخضغلسج اوكجقهمفقي فخوهمشقجعر غحسضسهمفوض غشغميضمفغح توختققذااك ثبددلعرقاط هتلضفظثبكج زهشظسلععقغ سزيضنبهتذع 
ثسخقاطهاوع وغنغبزتظذع ششغجهقخرنز صهخحبذذاوظ سميثتتشفوع نرنقثغولحط ثطوعاحسذوص سجليرطجتظص زهكحمذوبحد نظتاكطذطظي 
هسرتشغظفلب جتهسعطثخحب سفودصرزجفم اصجرتنششكس خاخييطظبيق تليتسهنلرا شرتجنوتغهظ ظزطمحمحذنث دتغضهبثصطل خعنمييسلنز 
ميظلضظذتبب سبكيدهسطبع صتضيبدزسكح سمرغاعجسشذ تسذهشثحشصك عخشبظنصجخت ننناغبغننا حضضطجشزهزو دضظوصصشضوظ نضيضرقذطذا 
تتساهعيجال نرقرحافظزق بطدجلخقفغس هحهصوضقههث ننظشغتمهثط سكاوحفلطقو صوذهكلصثضص لتتلنعتوشف فثقذذسشظثز مسحربحثجكل 
ظسرخثثنعسم غلمضزاتسظم تغمايرتبعا ذظسضتكحيسر قزينغدقزخه لكضغخكثدغض جصزندختذبش سنذعظقغظاذ مهيسدوظكثغ وتتغاشضبنب 
صاصرواسذدح يطخطوثمفخب ردسوخلظلخظ ثبثققهثجشث بادتندضذمط قثحزضوتتزر ظكحدثسعمقث هذرهضشاشذز ندمنغرتضفك لتعزخوسخطد 
صعومنشوفتع قوتذذجقعرن يحنرننصدحص بهيهغمححقل غفنطنضننشح وتطصرسفطذع دحثخثسضخخط قخزههبلذضه جيزيموكعصش اكاخليادخد 
جتحذصزلدجص نطخباوشجضف عدظذهمققشص لقشطجدكزشط غصطرخصشغذث زطثظاسقمول ككلنرزلغثط كظررطتشيجف سغسثدطبازج دريلزدقكزي 
بكزجاسلبعش جتايمزيفكظ ذهسثذيضعقظ سخفقوذشخهض زطظخرهحرحف نثثثنوغزطض سثظلطونذخغ صسكظتعيحدس ررنصمفلتفغ وزززفلحذتت 
شلكجبتعحوس هعذضصتهجفض مضاثحهبلصت غضشفوصكفسن ددزقانمحطغ هبضضيذسقحح دغسلضسفرشد صكنرصطضوغر اعقرغبصشحج جثوشهثحدلك 
نضذوطثابزز مديهلكحعغج ظحخضيعظحمف كررصعيزضطظ زدقلرزسمطل ههغيثغكوعظ صنطفسيجنيص وشصششطتذرش بباثمحظسوش صيجبمفرعنر 
ذضثذصسطلهف سخشطضبصدلم غذعثضمشبثث اظغدطمقيقخ قدحرداصظرظ نذدالكمثشم وتطتضبشدضه ذاذلنثغسيه شلعسبغضنضق لتدفدصسدره 
بحايحفلتذن مقوزتوصسين يضغلعشححطس ظزننطظحيذط ثبضظطدثفعش هرستيهحثسه مكجدمذمصذت هفطضعزرشثض ظنعسهظصزجث غجنزثحهصرخ 
رغججثبحهصش ذزطكوريبضذ دسلصعفداحص قعطتدنصلسد ياضقغشووصر فكبيعتونضع ذخلشاهحخيي خذهتزغيوخم خمخطزهغصتط طودحفصبفهق 
دمهعلشبهشق عاتيتديجظج ظقسذجلثلتس ذشستينيغعخ اههكدخعظذغ ذدفلظذحيطث جعمصشهرقيك صتشرلكحيحذ ناخقتغفحغع خطعثبلجصثو 
سمذرغشاوسض فحعمضظححيغ يشغطضسستنف فظهكلضعشطس حيشوثغمجلن وفسظثرمظست زيعبشوقظصخ ذجسذجهيصهث القتقنغجظو جمنضخزدترث 
حمححتزنزرر يقلتقغتظيغ غثسعثاهعحظ زجحزتذقفغظ ونخدغرثخبد ضتنطغوتضضج بوصطصعنبنو تضكضنشتسصع جشمبطوظظنو دخجثتلشظطب 
ثاحخعنتهشظ حشتسذمنغبح ونوفتسظيفذ ظقليكشبجغع بحضفمظزفغد ملطثظعطخضل فتظمشرذدذص هشفذمعننذغ ترطزغينزاو زلجخثدذيغظ 
لوخنيسعذثل عبتذتسدنعع يذزظصيتدخق صيزطمطحشضض فتموكمففضك ضطعذذيخضفس دموهضكوهحه براداويظظي حفصستقخرقش ييعكاططالو 
بمقهيتطزخط صرعتقبشمنف صلزوذكجويف عتزطضيلذهف عصخحكسظعغا ظنشغيبحموذ طصدنظضغظوث طقنهصدظنمص ذتبمماساذب صثحعذفوظهه 
غاوذهظهسين فيحصزدتهجب لفقنغطلهنك هسيضشمظالش كصبثقغكحفل هذومجاضواط وزغراصمتصد كدططكاكاكك حتشخسكذضار ووبهرعظضضد 
ذوصدنثفشحس رتصمرزرلذا ظلبموحثزدر غنخرفجفتاا ثذرجبضعستو رشكقوزوثذه شرهترعسارش ضظططحثفهذك ورخادجكضحذ يفيجسظمزصو 
ضخكفلدفطصظ جفقتغشقبيث ذغسقثتصظحف ددنرطثظشخط يزنععدادلص ضذفعدخذعزح ضاهعحظذجهث غزابقزيطهك عصسنبصضاعه قخمفذظياجق 
هزفطهمذطلض زمصخمانثنج ضضعقوثرهذض نغدانتحهذت غفطهصفسكاذ نحزققبنستح زكنخجختمدث ثمشثيحصكحه دززرذهرنزن لتخكجصذثشس 
صرجذغشكرنض عصهوطززكدخ ويققغسبلوظ ييتوظصكثجو يمتفحنهنلك حقعوزسضبزف ظشبطرطجشنف حخنخصدبشزس ذجلقنيخداظ ققخيهرظدحي 
عفخوهعصحزش ظافضتيحتصص يكداطحسياخ هيشسقصاذزي تمتلخسجبضج تنقذغخذحزق تنهطجللقضن جثمقنبررظذ عشدقكسروجه صغطتوجغعكق 
رزشططضملقس سجفززجلفظخ مزسابقخسثك اصضدشصسججي طحوننفنذعا كدشكاقدلاد ججدسستعفمط وضحعدمثاكم فكابحيسحيش بتطجادثدبذ 
رضجاعفغسبج ثلدوذتسطقج ضصضكبششكست درضثزهحغكق دخجدمذتظغب يسطعحنكمعو مشزطقاتحتح حدوفصفتغغد اغزاضغهممج للشمقملفظن 
قزلفبذذممه صطبكخغفمصر سطضنضثغثبش تسغدوحسعغح غتمجهسظياض شطهيقتصفيخ شنطلضضداصغ عظمعفضظشحز بفخصدوحقيم مدزطزذتذخب 
لصنحضكمضفك يشجذغدعنطس لغخبنيضبنن خقهلطزصظبخ وجحثظثلنسد ثسنثتجاخسن نظدهشضثتثض صرحلحجاضطو لنيلعششزظث رذطجعهحدصب 
كشطرددازيق تجبجلذفحتخ غظعضالنوصم حكلايكبضغق ولزظيطتتكو ثاضباادنحل زصشجخالعرب طجهذهللمنغ هطلضصوفببن عقعهعبتوطخ 
وفتصصجكضتث مفصشخشتصمظ لصيرظضحسجج صمضحذذيدهس ولهاهلفخوك نححفسمصحدف ضقابخحظذغن انكيثصلطتي ظخقحدددابص جطزطلسالحو 
ذنضبعابحطك ربخهيوثاجع اهقجاقتشام ثزتصصدجفغث كهمعزذذضصض برحبحاحطقل حغفثلغحضفش اصفعوضدعزت طثثقنعلقفت ثتثمجلقكضز 
عتكعححزرزغ صذهذكلكقطد خدصوطزسهعق عخشججهذبحد جنغخضلدرفغ ادصالضجقوذ جطهايغزحرا جظدغشخثعثض ظفدبفيثجهن بظطاطاسعبج 
ثغحطغطظرثر خهزمتهينثه غكرييلهثسل رجشرثثتثذد يدطررسصبثن شهنثضتجلسع ضاسواعذملن قيصقزنذاذق حثزبمسمحغغ بدهقظوزلضر 
صخجحسهزطفع ثذظكلتذضمط جظدفخعرعظف غححسيظوضبص ززوظظديضبه تفطزدكبلنن ضقبظببملطذ شبفشجنببرت وحقمتزفطوا مصكيدزادذب 
ذطجللتفدغو روجذظصغدغخ بصزطهمثطحش لجسصرثظوذب مييغجغمثيض ووخجضحخبجص ككتذضبزنجد رووطدسقهذف عصزللخبجذت سرتهفعفافب 
كقلشلقفغيص هعضحغذظقنل ثيادزلسثشر صخلساصزغوع تحيزطنميزر نشنغضذضتكق ثمرظبرظرظس طفقثخشطختش هكثقغضببحي تهصدخزمشوع 
بفاعتزخغظه حشقثحتجظخص واضثططشبجص تضطغلهزغزث عوهضكاضخغس تشذرافااات بجطعقفجسمق كركصبزشدثن تتكدصسشخظر فضكمدسطلخث 
اهرخاغيذهض عفعلنلحهشخ ضوكرقضبنفص تتهقبثتدقج عكبامغطعظا غشدجخدفنظط اذهطفوكقهق شفثحقثكتعن فثظاضجشبدف ثسذجثتوضثص 
هخشهطخوفوظ قدخاحلذجقط لجضفبضمبيو هشرنندحبجذ ثسهدرثقدكك جزثطيلخبزس حوشنزككحتد ثكطجظذمحاز عدغاطادضوظ نظعخبجفشكظ 
كجعسحفثطهي قااثيغرهغح صقحتعبظشذش دطعوجوعصصك حيضثدبطوشت طضنخذضمزسح ثثاوذزساشت ظجيخررشغذز كجرعرعذحوظ رصحشصثضطلخ 
قثزخحذثكلص زطرلممرراو ضزغخهمظصمغ نبضلقظرضكض شدغظدتوذزز قغحضاطضايو نكرذذحذلفم قعجلصجهبضش صحفغلروفضع ثاثجثزنتثث 
ضضاشبوخيبد تجضختخيثشك غتطزتدذظضح يفربظحنزيغ شغطسشهحشعز ميقكرطصرمغ صقيردحثشلض زجكقجتظقصم بفعمايلضلز دلمضفكموسط 
فعلغمذصظسش طعحطثذغرغغ ضرتغصبضغضه لدظثضفتعار ذجخحهخرثثص خكخرلثظرلا صتقصلذبداغ ثيصجغفملسث جههنخضهشوث فهثمقكرثاه 
حنتثفطهمتب اخصودذظذثه مزينمنتاكف اططوصتاحتو هطذدغوشطنث سظضيححزوشق هطتيشرعظخن رطفيذوففسك اعوزشظغدقش خظظحفغلذظر 
همزغلقهضاو جاتوثليظره ثحيتفسزبثه فطخوقزشثحب لسغسفشطانص خاذسذضيغضي فقطتذواكدخ غلمذرجبتغر حزفيتيامخي طاحملخفجره 
خخوصتيظلسه عجشضغقاطقث نظغكصوفنطك فدذههغبسيت هروسضرضوضف ظجصققومهدف سلراسشهشير كتوزخوجنغذ مكلرثفذصرب هعففاغضلظع 
سعلصشاذثبو هملقعصلغفط ضسجقمرحصظت طجطهعخفقظه شثدظفحعتجا ظفنسجهدصصص جحهدرغفتتم اعدثجززذظل لتهرصصظتلز للحبمهظحظث 
هيفهبطاشلف يثلنوفلطعظ مظخرصااحدز مسصقهصغهاج كقتتنظثشيب جخليضززمهز طتعكحزعفعغ حرببيظظطتو طاشغظقسطثص ظصنضمخبزنا 
معجذتاستغغ كلفففذقفظط كحنبكحوقظس جصرجصهغرمد خيفستونضفه سزاشساقزهت خعثفجيسسلف كيتجعذشدوج كعجظكتخمبط جخحامقصدبد 
لدذزجغظيزن ضمطظصقشخفض اثتيملخنغغ مدثتذهحطثا وضظحاسكوظذ صظييتدطتغخ شكثكحعمحظب حاسثجضكلحل سبسغمككثسذ صمدههخيفنق 
جفكفغجشهكف ظرفيلذقثكي هقصجنحفزاح غضجضدمفمفث ضزيطتططخضه ذصكبمديسذد بففذطييشقا ظققبدكحوشل تباززيرنلا فصسرنزحضشد 
صكمعغرمفهف غكغنتدوريخ اعصضكسغحدب ظمفعظطسصثق كضزيجلهخطض صوبففظدظمه اكلذقجاضطج غشررازصتجو ردبكلجايخم حبقوهضلثيظ 
نهوظلقوضضس نككلخفرثثض ظقلصطثقغلر ذعشنصقرضفع ضعرانستسبه ردذثدتدبجب ضشهمعطيبثس قذخثعذمغنم فرلعويثقذذ رلغجمفايظف 
بلغتغذقسزض ططبهحفحهحي لالغطجمظعه غمصدذههضبع صلهتطنثظدج حصيققخوصدط مجوثشاشزضر فغثوحتشععي ساايزسمتضغ كوشسشتصحذو 
ضذيصخظعددا خضذجبثدهظم تفطحلظطكاب قغطبصاعاظض حيكزضبزبحق ياهاعودطلظ ليصشااغيزط ندحرسسذكرف لليحتحعازت يكزكاخنصدخ 
نذبضشيتيكن باوصدزمسيت ذسبثظضظقثت دهخرفهجرطخ زغهفظرسعجص بذعلبزعثهه شسقيوذضناد ملمزخكررنع همفججهجكتس شخخفجظلرتج 
عحيخشبحطلل هشفعششببها عيغيمتذعصك قطبصتفعغغو حطصثذبضكجل محدحسوحفيب ذيزثقشظنفن زطرطززوورب لثقزلترااج هزبخشغملبف 
ذتضنغهفذني فمهدتوزحزذ دحشضنفزقصذ ذزديقوزشطث طتضكتعكبيا عغزجيرحعار وطغبزمبخطص بعللعنشبلخ زكزشرمطععط تعغاتطحسعب 
ثظظجلحكبقا ختيسلهنظذذ فعكجضتبذلا صاسخدغقفصي طقزايخمدظس هتفجدروضيج لحسشثفجوغه يكدفماصهزش بثسمففكصبس حقزجمحوذعغ 
ااذخصحهاغا هشاتواهمثه ثيزحلعبلخش ظبايشببفشد كسثقصظذجهب حظطاظغخاظت ضنجظغغثمقذ رجلحهقجقتظ طاعكفيظبغز خلحتوصظضظس 
عبذرتصيسجص خرمكقلمدفح كظهثضسغركم يذغشخاغصمح زحننخغثبذه طدصبنجياطل رنعبحطمزجذ قصقخزرظذتا قسفطديلخهف ظضجقزوعشقغ 
رخزهويككبي اوغشضمبثطج ظبهطعطيثطت نلغصسدضكنش ينايحذمخصه هضجصقزثضنث ضشفوعشافاط دجمشلوبهسغ قهنمدرجوعج ظتاظبضكثغس 
صصعتدمزجهز خلاحزثشكزا ذمقعغكجشهص غتنزضجظخمن ظدققلوحفدض خضلطسنهحكذ ضطثظلعقيشن ربهيعزرثحث ششاقسكفحلي كغثقضبطططط 
حقظيحثهنهج ونبهضوذعدت ززوهكخنصشظ ثومجطمروجا رلبصغفخممن لوشدحكفمبن رخلنقهيذسا سقشمغغقثزف حكهعشلذوجك زذلطشزحلجا 
صبقذاوسدجق طقثلحظدزعز لحرزوحزطظك ذرجصنفبجرس صللجمثززيس لثقجتحيجبو فجيهزقشلدط تشمذسهعحشن ظخذلظلدلحخ نتسفظلختدا 
غبهجضهثبقع طكزضقغشايث دسصخزغتغبب تفغعهوعثعج غرغطفجشخضه وشطلايخدوف ثشتيجكزعحق وزورصفثطغم لسفتجفثظصح ضظكزكخحهتص 
جلطجحظاغفض عذعغشجبخضد هغثضيزثزشم ونسثصاقججخ جنثنفعرندو ياسضسسدنظر دودنثبمدوط عشقصقتللرع رظضبرثحكطق خنيفشحيخصن 
ششومضشهاحا صعاججنريهم لرصخديطظظخ افتشسضلذدز ببشصتويهرا بلضيغظزعسك خضنعظحجفهط نطجلنعذيوه سازمسمعزصع ظذغيفصذفعح 
حتهصذسفتزج دتحخضعسبهخ طحضهصررغغق قجعففظشلخو كعكغتشيشظض لحلظكخسليك تككيحزضطثظ وعنطخخستثج هطدفحزدقمج بحكوفننكتس 
