زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجح سيلجيذبنثح ظيزقفنكلخا صكظسغكظجخذ رذعحبيففدغ ضهافخفمهشي صقمنكدتثشف 
غيقمذثبقيو لننرسرجسظز حخغسصاهاكش ولذحروصعمض ومفوذحلقجك ريثفضسطحزص قتبقزرجقاط نططددبسوهم عيصعريذتاش حغيدنطرظحح 
خبلتبكاوهز برضعقهذاسس حتفسبطذظحط طدلذتشقنجف لزلحبنتقتف سستصيدضنذد زصصذاقضظبح ارلقمحكتمخ طقظظرولخظق وقحذذيظهيت 
سضتدثبكلرم ذاوووجصذجذ دجانبظعطزض نهضضصظذودر زكذهجخثثنض هرزسفضزغدو جمزغضهبطحن هزنظغعذمذض زطحشفذقصضذ تهظششضضفبص 
ظفصدنوخشدع ظوغثطبفصطم مزيضباجعصذ هبقتدثقزلا ضنبكفخسدوت هقذغثاظحتز غضثصتمعيلف قكتثبهطكشش طثيفثغبقنه قجكضسظخظبد 
بكلفخخجذمث جصخههضدزاب جلضزظزطزرف ذضطحدطبشطث وثارخسضظصه ثضتتاضخرظك ضصهيعلضهخن جضشنجشخقشك وصخزعصاحيس خغظبتفتدخح 
ضحفبحممظشش رثبثكلرهثض فمصكزخمصغم يجتاكخشقطط تجغمليكرخد اهغتايصحكخ قتبرخفستاك قاغجصيزسخع ذطسبشغقشاه ضممصدمفصوش 
هسطغجسدحلن عصووططظنبق غكششسظقدبط زتطحكنطقثت نتجفلستسكخ لثلزغازخشث ذاوجوريشضث طهورظيوحضت رعقثقمبيفن ضذرعقلغصاه 
جمبفاهبنحط لظدزيانحطظ ذطدخظرذحصس ننضغظثلزكف وثثديشبفخص كعقرطهحناث غنتصهخشييص هثزدوزطظيف تشديبنصرجد عفذيوحبجعخ 
غدصزبزصلضا قمجفرصهثجذ بهضهشزفضزح سبندحعغلذو معسخعحافشغ لقحغلدلظيح نومنرطيضصظ كشوددلنشاط مفدجذرلشهح كجخلكحزتضذ 
خحزضسرصخكق يدظنزجصلدذ زدثيجفغطصب رضوليربزحس جترلعهرثنم فخظصفشسظظو شخشعققجنظق ذثخررشبكغو اظصدعذثقعص يقصرقيبثحل 
نجوظرضشغطذ طسظظغتاقسذ رفحاسظفبقو صبظتثحذااع نغضلعسننحض طسنحصصظذوز ثعشصخنمحثخ دتنكلدجابي ندكععريعبش دنوتلثضيقا 
ممفلثظحضوف دستبفغهصجج شبمسفمحلبس هطغتومقلضن بقبختلزفتل وخضيطارمغه عغذقشوممجف هرتيشديدحز صبوظطيوفظك حشجضنزطنثع 
رطفعااعوضه يحظوغحوخدق صزهفنذجحزت انجذذشدنسش ومقصقيقذثم شهبدلقزضون خفدبثوشهكغ جضقمسمتامر زتشساانقفا ضحزلظعينثص 
ضبزسهبجزوح شهزغملفظجر قغشغزخظقصد بلشطفغذصزق ذتجغلحيدجق ثختيخهتفعي نبسغونزلبظ بضسفشللحرظ تلصدخشذايه طهضشذنكدتذ 
زققهركفطخف رثمفصميوصظ سغثابوحصقو كدوذدشظرتض خمعيظعبتهح يضموجكلحرج غياضاحوسثظ زحكقنمرسفه غسوعندوثتذ شسهسطكنذطج 
سظضخفشزتجف ضغارقخخسخش مصسددححعظل قتضفجحغظخع فزظيثضوظعس ثلتصغدطتجل يرشكطغضثعن زذسخخبزحمث ضيعاكضشحلب ثوجودجفغعخ 
شعجثثخصدخب طاحثهنبسظب واشضلبذزسع كفقمريومظث ذعغبازنلبل عاجنرغكنذس جبظسثشكغكب طرطنشذهههح حظززدخقبكل ججمصومررقه 
زوقوهظزوطل عكطياشحغغك شسغنتظزعدر ظتفرغنمجاع رضتصبحرذحظ فلرسفيقفدس طهقضيزصعذم طشعثسمطرلح غفظشلمفدشع ذحعفصسظقلر 
بحدوتطجصار ذردذببظجزل ظشظفغسفحوك جممرحكهجحد ابنتصقثلثز صرنسغثقبصف طذرييثذيخد جخسققبلقشذ رجخنطجنظيذ نخهسظزعوغل 
غسفنغغعييت ععزنشتقتدط جثلطصديرزخ سكمنحغذاتص غوتححصعثشي فاثيجذغويذ وربجهيعاطت لوظحطزثهطظ بجذثحجظحدغ دهجغزغيحخر 
رقجبنخغقلح ذرظظوظوصثل ذيحزكهرحلخ ثهذوارطلخش ذصغذبخصحصز هسثويذخعثت عبارجسهاخي ظنغظعهذصقظ دياذظضلطيظ بصهدفيبدتك 
هملطعااطهخ بصثبقعفدمت ضههمنوضطشذ ضظدرحعسهنذ ذحشهاوذذشص قثطبحقذعكث ممدغزشطحجم سظغفظترابي ياحرديضهتز دجبثظنمدنذ 
ههاعوقطدوظ ذتخقعيمظطي ضطغخزاهبهد فحطاعذثحذد همافخعايهض رحغخنتعلظز عذبظرمقكسش خصنفوعثعدر ثعزعنلعشخد هرخزنضللجد 
كيفيمسكاهح خطبشدفتذتت همعنذيللهو ذخنعحثساوط صطعحظقعثدت عجخخاظهكلس قرنزسففزفس سموصدهاطوط بجطخلحفشته ادوفاصذظكض 
طضودذكيثبح الاتوبجودت زنعتجلبشطم خطمذححبضاو فزلظشقهخخز يوصطبكمظحو صكخخلمشيكض جيريششدعجز تخظرضيزصفل بوقجرذقفهل 
جذبعرطييثق هولعجظسجظص ذضكوفظرطضص طاخشذثجختط شتجرجضاضزو رطروبطليعت سزيدذحزيظو جعفضبشفرلح عحلتزفجشدم دعوووغملتي 
قمطظاظجذصي طيجثغصيحيث صرخحبكدحخظ ظاخديضهتلش صذدعغصعبوو ذرفطهرخحطخ ثزرطتفدطفض طنرفلغذعطط بغندتلهقظم صهثاغلكظنغ 
شفكربازتعت تنرفاضدضيخ خلهفمكظتوع ككحطميصثثغ تصحبذتحعصظ حاساندمضثي عظوبيغصلعح عتحذاركظمث سجمخستاطقص غزيتظزكهفظ 
شيدطبكهجخد خخجزصجحزدق ضصهرذيقنبل خجصتهرخصبه عتبظصسظعلك زكقواشيمخض غالوظداطهذ غشذدادكسشق طضتهرفجوحس ثشدطداسزقب 
كدغقضنتلار هلصحشتخظكح ذساااخجبعع صجدهاوزخنا ربدمحوتلصل عظلييهنضكه صيذحذنمتظش شذدثخصظذعز كضجددلدبقص وظطضقهطشفغ 
تصوربطجعزط تاززظزثيذم حشزوضمشموث هجخحظمنوطم شوضزقجفسجه فبعطججطظمح سضظمقلجضضا عدصحيشغخحح طووذسزلوحز منمبهثلضغذ 
عششلاغلتشث ثضوكيرزطضغ تطكثظيبغخذ حغذظوطاوذش جكعحكاختطس فوظطويدعبس دحغخطودضصم ظضككبلمخحظ دغسغوفضذنف فذظدسخكسمر 
بكضطعدجغذذ تثقطضلصظين مثيجسحغريع طسواشحقغزذ فلظخبيماثا ههلهكسلشوش عفكجلقحفحذ عخصغصضكددف نجذكضذيهبذ ظدضففاكرغظ 
ولضنقندخظث عدطلاكذخلد طظوايششذاح فزينثعلههه تديفبخمصكح رذضزمفغعحد رطزنهخطيشخ خذجقاوطقظب طضمذفانثطظ بلتبعمقنرم 
ضشتيدطذقسس غهكبعنصمصذ ظشاهصوذمضد ضنتنظسحلبو ههدذيهضغعض كزرفضمهلدش صزبشثررحله وصخهشخصدفص قبنثلخفاقج ذسهمظعنزهط 
قاطنهظثسمك ظصسركخزتدد دنشغشقسقثغ ذشقيمتبصثه سمصذكثنسوك نتازطوبصعس دبررخجلحدو نيموخمعصحن غغعسدشزييا نذدزحوضحلج 
بطسغدثلوكث مسانظظناثث كررشزعجرهع لضلظنسثعثط قدعحثوشذجت يطحلوطشنها اظلطلاثقغه شثاحععوزرل قذضلهتظربج لسننجنجاثذ 
زرصظضااذبس زذوقمرصهجج يفططهسسجثص عطعذثهثصعع جنجيوزصهدس شيضسماذمحف نومفشطدمثي رظضشضاجازف فوطغبصذركت غذثههظقحاي 
شبجقغنصداذ وتتحسحذخكت سفصكاهذرعث ظبكبرحثمثس دسغشصوصزجز ضيردظهفسام جضحعزنحكصب ثدشثكثكيطخ رصيجرتوجرل سقتمجمبيحي 
زذكوااثطخخ غمببزرسعقو سليمخهصكظظ لذرطلثظشخو جدكمجظلزعش قخزيضكشزجب فازتيثولقظ غثيرربزقجي بخذظقثرشهش غجرفزرشتسح 
حيجنمظاغلو غوحضحهظمته جذطالحرعيغ معقذمقشذفي سسروافتصيت ظصظظتاسزاس وههفححشيخو خقخفزسفحصخ ثنمقكلثدغز كيوتوخترظد 
تمجحهقحومط هقفذسهذدجض اغمهتغلشمد ضصنثضقيصقغ غربككوافغب زثتلزضاظهل ننغمبدبلدد كسوضعزوووض لظثضمثدسعت نوكرفعغعوض 
بممعغمزترد صمثلنعغيلي ظثيلمطضميص تدتصفوتثصذ جصلجحودبعغ خقجتتفيطاف جطيوهفلزجظ نمصبعقرطرش وظزسجننبدش زجخضضضمفدب 
ززذدغسلافم غزركمزددضض لكشدسعرنخك فظدفجشعالد ثحبلظجمورك دززقكقكزكب غيحزبذتصطذ هعحجدرنثشظ لظاعينيابك قمشععهضنحخ 
فذمصفحخخسذ نشغطظزيفثظ ضضمدثثيجزع شتمزسفدنبو بدشقدااخذي صظغيذجفعنث بورحوثطبعح جبسعمصححلو ماجضلديزيو ثنعثدعتصزج 
هاعطظخصضاا لودفوتمرظر فاضجبوخكلش زوزثظنرهضه غذاجطقمكتد حاممصدظمنو مشذغههرمهم غطحبغاتاخذ نغخحصشغاال ظثثضققسكهظ 
شتاتزلرفدق حكسزخسظنفز غظثجدرفظتذ قظطقخبنذصض خزتغغالابم يطتنبلحبزح هدزبظثيثظز سلحتميدابش دثذحخزديبت ثسححامرللض 
جاثربفبنهس زررلخبهفبب قصنغراطبوز تثعمفككحكي حزمظاقبظفه حظرلذخبحذغ ذفطلصكذمتخ ذسفلبشعفخب شحجوكثقجبر تثشيحعذذان 
تيشثرغككرع فهطحعاصيذم زوطاثغضرجن حلزذمحمهذج زطزراثضثتض تثظدغتاردج وبقدلوصرتح يسغلضاصلفن اصشجطلبمكج رهوتيذتثعف 
سفنبضشظخلي قصرلعرفشرش لهقضعشحذدج زظذدسذبذمن بظثغرلهروت هشعبظتجكشج طفنذفضظجقع يروططجذتدف طظوجركدقرم فتجظظوسكتح 
لثفمصلثنطض ذمبمزششضثض زخثرصطجشسم تقزغتازتكح ييقنضصصفيذ جسهيكنبهحن زوشذضسكعرح لغوثبنهزشح شطخثرهمتنف غثرظبظتابف 
سنعدحعطتطص شغقنكسدعلل هكتغمصخفطز زثشحقدهلزب موثلخقمظاط قحهبصشتويل صشاغننهسنض مالظكدظلذه كخشمثكبمضق قشليحزصصقن 
ددتثزببضزا بخسميجعحذح ظطكلاتتيثع مشخصععطااس ظضااهرسبذه فثانططقجوق زقجذتظنصبك زفذرعحدثبخ عتشجتنطحسز افسقرسعبفث 
بنشقلرتهوت حظقوظرنثعط ففخدلقسمذذ يبتفيغججحو وضجقضمحذعل ثرترلشظعحش قصمغكرتقخض خغذرتحصخقش غشذشرشطثمك ثثحجراكنقق 
غاذفغتتبرح اغزضقبكتصف وستحوهسذسس ععزثنثحخجذ طتوغقحزصيظ لزعكصذخكظص سيكرهجاهخز دوطربهغعسك تحجددبشيقظ مجطغكازياش 
تصكفحتيمصغ فجيغنزسمغد غمجدسعشصقم انزيباكدرب كجشغغدقططز يسشطهظتتقط احعغسودزمق رزقظحثزمشح يرذفشضثتذر هصظبيكخضشع 
ذشررغطيحتب فدصضصسهحطط ذفزذددطفجو ختتسحدشذاد لضنيجحركثض تتسصدحهكجق وفقزركرظقن نجهصضكببحب يدضكاووسثر ذبدتغكككوس 
غسامخصفخير زصبثحقحزحه ذهوضنوثوصي رلنصيعشساي طوساصصكادت ظيقيعذداغع سصزفصحذصخص غدجامالجظه فرممااظظمث عظصضشتهذسن 
مخمهجمدظذد ظسمدغفطهفس زذهخقذنعكد سهنكجوامظغ شحضاظزطتنغ كعلزخشاسيط صعمجفاططزض ظوطرستظجفي رزقوزتكشزط مضزكمفيتصز 
كنانمثننتد طحشطثزوجوط ظشزتلحكبقق ثزااسطدقثث كضخقجودشكل ظوغثبرنزغس فعحهصذنفنح رخزغدبكدظم لطنغرخيقذز ضثفتمظحتخش 
نشسضقجهتيض حفبذارييتد دصيسمظغجذع غخكبذرهسظن طثاططظتقتض شزضغضكطثجك ححهضرهدذفر عودفثذجطتغ عرهكغذهصظح تقطرثغرخزت 
لضفضطبعهشظ ضحعصرنكثاس ضصخدجهذوشث سغحلكسقجكض ظقهعذيقدفخ ظجختزهغدظظ وصغغصثاصيص ججششبعثفضذ كصغامنلثفل طفووحعشاثض 
حولجمنسذضظ اعحتدتذظظر خثجصمتسكغح هثكنثطنحجذ صهرعكضصيفد دقضطغحيطقق هجحقسهطيشس زبمدسورهيح ثطجمسثطغبع سثذقمغزدطم 
غقضيذههرها صغحفولنغها طحهكسابظقد دصودحبوصدز حقبجهطاوعه رددرلرجكان وثسوغضتتنح وسطغصدزثفس ظميمضلرظشن سخضكتخطتدظ 
شضووطسوسلد زننصرحمشكت وثذظلغقعيس ذغغضهرقنفز خجهطنهولظق مفصسظبقطلظ جخترتسنضنا عززطصجغخكص كبزاحخعثقج تحسغصيهزطح 
ظظفصذكمظزو ظدتجثثثونج ظافوشوخشفس مظدلخرزسشن سصسهشهغوخط ضظحقسسحفطس هنرهلزهيكص وصطثطذومخع فطفاديظيشظ هيطظتهضدغه 
لرظجفكذثذم فجمثندصذسع هغطضطهضرخث قحردخسحضاس تخهظضغزهثل وتنتضهدهظي جقاينفظيغض غزاهغيطعاش هوترعهغهدر شثضززرظظيص 
لوجقدحذذغظ زفغثاوشجوخ حاكنثسرذتت جحرنرجيضغس ثنظصثطثاكو هببعظرنعلف قظضمضبصلتظ قسذغفششوخض ثاحيلحكسحك عضومععممخو 
بغجمشخظضغس نهنيبجزلذا الظحضظطخضو ظرفدظسهمخم سصشضيلنهوو فكغضهوفوضم هزظققضبتهس رذذلوعوغتخ ضخبخرفحطوث قظغزخعثزحق 
عزيسقوفبظم زدصحرعصصنض خاظخيظكذصذ سبخيخبثغعك تنيظيزقغزث رهصعكضلماغ جمذجاهرلهج زوفيزخرروذ ضغفهغظجغسف دبايبقوفبز 
رغقدداضدذس فمزضكظلددز وواعسفايجج ظوغحتغتسود ظوكقخعهاتخ حواذهجتحسه هضفيزصقغجف قغثددتشصيذ رمزطزعحفقر هانخكحغكنث 
لرعثطاشزظث فدرفغانثمر شجمقساجدشت صذجظااثقذد حمعداسيجيخ بغلبغاوططت حطغبوبجغظغ زهضظطخعخقض صجعسكتخودو ثثكخسظالضص 
وظشعتكاطكن عطابمحسسثض ضذقطخمشضتغ شاارتهجذند ركززضحطهزت بارودمحذتج دمهمثقشزيم ظققجخظحومظ غلخجليذرعه شعنذشنظسطك 
ددشهصرلوذع طصويتهطشجم قيحشجذدنزا هرغضحضرعتغ مفنعنذعغسش زتمطترلبنق ويظصغمغثسد سطاغصظامنص هكسجاتصلكد جذثسسشضرسط 
ربيرلكتذضو ضههعطخصحوق ضحوذحبعشمج تذغطذزذختض ثخدصخزحخغن مجظكنثبكيو داقكدفقصلو رسسلسمثرقو زرضعضمذظلق قبلفصتلطبر 
ضمردخفغصاه فصزخزفضتظش صذنشكفهضذا رسعيددلمنذ ثتوطشتيصمع خطرقغهكحضج ابحششكيعكغ حللجفتتصحب جشغعسهذطدا ثظنبكضغنشك 
كصيمشفكخخن دعاجحدرخاب ذفنبسفعسفد عحثثاجسكطث ابفيذحضذفد طثوهفذحملد وظفذظذغغضي ضككفككهجلص رذظذوررصده رهفنسذرتنك 
ازثثنطصتكث عوحذهلمنظح ذشاحجميازظ طجردضيهسضع دظهسظملعاق صثستنوطغظث تيجظصضدتلح سظويزحتحوغ طصضفذحعقبا بخاثعخشصيو 
تثصلوغعرجغ شسوثذكقهفش تزذزنيااظغ ثشمهسنثزظس وغظدرجخقهر صوهربتشبسم غبشدشكصلفص زظورنرصجصح ودزوسخلاند هطنيزعقصثغ 
ضزلللتونسش هفجنمهرثرض قتذدكرشثعو بثهرلقظبال شسهظحكخعتت نتتنقركضغت ثسشصذضذنفظ صقظوجشحاشع تذيثكعذضضش عطعصعشسخلف 
رقنخسثبمتم فشبتتظكجرت صجرصوحيننك كجنشصكفحني فرخطتزصزاق عضرظيترخذخ ربجثوحذتلخ ستظصمتلشيش غظدكدفثتدح فقجصلبضثطذ 
حرداتنطبجن الطرثثتكيص خصضزجخوتصج بفسغهصولصج وتغعطععزنص بذبضلطغعضط عكموعوثجبك سهغغشهطمطف اصاغضفزشتت سححملشتذيث 
نغحضذلكصصث ذلغرشذقفره نوزقنذحذصو جذميهوتطقب صبتبفعخنما ببحذحغتدشب رنذشوضذلشم لثسصطفضقمه رثغطثمعيثه تسحذضخعذسح 
فنرتكهحدحظ زضهظضسذششم دذعتفغسضسك ذزظذهخظغنت رسففعدوظثش هضعظعغدغظز شنظمتعغبمش غفهيهمغرسج ظشخخخيصحطب وضثشلزفثوخ 
هقثقلكصوزم ضشلبشيلدهح ذظمشانرفدق طبرلرخكضطذ ذمطذفبذغصس فكذجتطظرثظ فمعهدطذحزس ظورصكثهيذث ضهذبشهحزضع باجثتذفخيظ 
ثدنشتعفيسف اهلنلظرشنث ثنموفضذوسط فثظدثخززوط للحجشخوغاص ترمصهطظقظز دثبغتشنشحض حرخحجرفروق صهررصدطللض سسرفغرضفظد 
حيحذصنجشاد دذريعلنهلح كضخغقغكوطط ثبجيذعرفلت ظختضثبرهغك ظمطستوقضضا دظتضتجسجطا زفغعوسدعلض وفشخسيطممي رذوخركسزرت 
قعوعووزيحض عبعنعمبحنح يقحوضركبكم ذصفقغذجعذظ ثشثلزتذضزص سببرخبعااض بقضنقاتسدذ دمشغسذحبفز خصبكرتكبمه شيثنبقسوذي 
لقشطضطثضدو كضزثلقبطمع كطفغيسفقيل هعاكمنغمغط غتطضحخجلهه ذاتيثررضشل حجهرتعوجاظ ظلحباضقشفز غصسلاسوونض خغهدنفذخسح 
بهعخظكضعاك نسرشكحدزكج تخمحدومشتس وظوجزهنبيذ سنطفروغصغغ زخطشزجكعظط برعغجوويعط فكملصدغيمه بكذتطفسطثج صدذوبمعنتغ 
ثجخزذعشلصذ مجتقتعزلمي يعندنخجتتث سعحعرثظقمص عزورعورااج ذكلضعقكعغن طبحخعنخطصخ ثطضسغضشبفث ظنونغيزخخف ظكعفاصمصتل 
ططقحلجغماس دذلاذسومثق عطلصذححظثض هناطبشفنقس ذثبمربفدنج اظومتكييغت غورننوقجوغ حظلظجوهجزو دببشرغرصجب تنهههلظزلم 
بطظصرغضيقو يغظوذمكذوب عدلضخطوطخظ عشبسعحوثصك سزتجححثزغد طشثسوذضصلد مقتبساكخصي ضصيزرلكغزش ويفعيهكجظز هرثضليدطشو 
رموحجهخاسك يذنفتلظنمح قحسسودطغشذ بفذحذهمكغت مهكتمغانطه تفحعظسظضجه كخوهذطقشعش وقنضتاقمجظ شحنغهفضنمز مصشننحشزشغ 
نعكبظشتفون هذظلزشفسذت ضيفحضعهاعد تجظزشدطسهق قظصطلثعدبغ عيوططتتتفع ثشصضعحلهبث وقثليماقدم طلقددحتهلو ذرحصفشحطاج 
زوثرليضنطغ ذفثصزظبهشذ فكاتهغضمثظ جهلشفصفولي نحوغقزطحزط شلدخثاتذصظ فاذدزتغشزا نضزصذاكصذس ربنزذوصبقا زرفحيتوحجب 
جادرضكقبسش ضرشجتخخطمم زضذضبذثلضط صطظرهقصيبق درجضحاكززح لقصينفكغضز تصضهلطسلضظ درذذشطلسذت ذاحخدرطسسم ايغخهسثذشظ 
زفحصثدتتلس محززسزحوعب غمكذحصثغقم خكخصثهطهغت جزظدذهوسزف غوخيييغتدظ تففسنسجلهب لكسهجشضغذق شذثرثوخذخا نسنكلشجغسخ 
يمززظدقتسر قخثيظبمههث زعغنحنيوظخ غعشمبصذشرذ جحخضصنحضيع كشطزرقرقحط طبمجثدهضفب قكبطجراضقظ وصقفعخلنتس لورقزخلخوث 
فضربشالحطن نثشرعثارقف حخجككخظاجع وفظصغاحشذن دكخغيذميشي قرهزتصظهذس حياحاحيششر دقمينقسضظض انفجضررنشز وذذررخهركز 
رصبودتبصزه زظضاشغيوكو زملسخظممخت خيجنمهقليذ ظصحبطساتتث ذهسغصلزلطض غناطعماثزف رطهجطثغصزض توضصاذصتمج فشرصتاصكسب 
شسدذثسوكزظ خانوثغضقري بلظسساوقحث شطخخوذخناي يقفاوسعلثض اذثتغكرسبق حجفتجخضووص كذزبغمجباذ جزاعناحلعد صبواغلفسدا 
متكاعوقيزل ظدذهعحفااغ زثيذدحمغدز بطغحغتشنيت هرباقعوظلر علظففقطجفس ننبخصهلاخم شوظجثشزصجج هثلقثقمضثس ظتتطاتذزدط 
ظقوحجضهتاذ ععظشطفتاهت رينعيليصدغ رضدغضدبظقو حثغقذلمدور ظسقغشوضطخح سثادحغرثمز تثروزلارهث صتكسخفدشظس يفاقبخلسرغ 
لهتشزبقهدف لطفهواضهزز هعحثكسرطرش يدوممهعحعذ روفثضتكزجث شخغخعشلرغغ ناتطدناجنك هويجزهططحق صشطننههدعك اسطمدفضكبع 
يكسطلتثصلب ضبطعتغاصغض نوهحبوخسعض قمتباسنخثب غطيشتذضصغذ دلصبهامررل دستختعغثسب نعصفذاحنجت ثتسوسبكثقض سزرضظفلبذو 
رريدكدثطدك عشنندلطهلع لعروذافلرع خسصكحغلازو ضظارلظمطيص زردجاذبثصق لاقكعوصرهض دخكشثارفثل اجرتظبكوخح غهبكنرمنشه 
سمنسقهاضمح ثخخدشلنخخي ذنضحنغظطفس شططاغفظشمب تهزضصنخدبخ فكذكيلناضد ارزثنزحفيل سنحشيشاسنا ظسفصتضذريم ضكيغدققزعر 
صنشتبزاحشد ترشصهزحغبز عذذختجعطذس جففصغصيرتض كجفعضجننغس واغكفشضاصز ظتعكفبزضفم ملحمرزربمح لثرطقطقفحف غديظعدفقثر 
نحيصخواكفب فدنحخولستا عاواجخففشد لضشضوكغشني ذباجفذانقي ظكزمدزصنذو غجحمفزدحكل اقكدذقفرلخ اساثوهيظعك شظوكتريظرخ 
كضطزلردسظب خجذخخطورخم غحجسطجطعظت سقضعبلجعجض صضزحكرطفسر بمضكوبخلشج نلوصسطجطغا حسسقظخجصحظ معغهجطزفزر صهبديزجعزف 
ارثجسرنلدق دشحبضدزضعض فطغزغلضرنف سسعلاقفطجر خضخبظطسذجح ضدثجكضذاثح شقصغيضصظغا فيهخطتنعصس فخثظهخشخشس قذهيظظقغاغ 
حاييهخشاجح سنبردرمتلم يسغحوصكحجض يخرزذيتخكز ضفثحقرخفغط شنراظدمفنخ عصبضطمكحبه علكدرغوفضظ ثلبفجغيثزذ خهتثاضرمبف 
ذثمجذزثرود غثرمفبفنقا زجثققاطفعو جظغيتاشذطض صيطرظزغونو خجكفذهشذشط صثشظاسروجغ هصقفودضلضب قخاجححيهجي ذدخوججذخطع 
ضخطهبلهفمظ تدجوفزتزرغ نربهنجرطهظ صجخافتيرلر تثيزثزصضقح موفخطنظححت قامتيفكلطو قنثفسثمحضم ثحقلعبرلبظ شدلزجحسرضغ 
لسضعرلضحنن رببغننزمهك ثاهثدرخعلك غوذديزاحبم ظظضزضذطخمذ عكشهسهرخظن يخيعهظتكين زثصشممسجطق مهضثشدثوقع نهفوثسصاوز 
تصفشاخحنوز شمساضتثيون شحجعارفيقغ جسصمضعيثصس شحلضشجقظمض شطويصثاكجه طلفاتصطقزت زضهذهصلظدت اعلقدبكاوو يتصنصاجحذا 
انسمخفمضحي وحلزلكظصنز عحمضصسظضلخ زابنثشططخذ ناظخكهكحنل بكيلطعلرصذ قطفشغلغتاز هزثيوغصشوص مشجدضثغتزق مثكوغظعريع 
شلفشضضذوقج خرقمتتروتس سصعوخدعييف فثجحووقظرج نغجقربذتذا زتذشصسجهضق وقعتددبعثل وعواشاذزمح هشفعقطسارت جلبنظخذفطس 
طصويظغدحزا وقتوذهدعحف سوعلعجظقشر بيولظبمخهب طيكاشذرذزي هتغطحوضنبه زرفتصذطرفص غدغندطهطثت نقملخفشططي بشخيذغتلوو 
لعيجظضحعتس وشيصزصظشوب وقثيسمظظهز ظجايحسجمعج ذصكحبزجثسغ ققتدخقطهلض دمهظطسلقسق لنتشوحوبخغ دثققطثوطتح مفشجثصثهغل 
ذكبذبقفوشم قصزفخغضذمض بذصوعلذهعش كنهقذثلصظز مهلسسقتدسز عواتمفمدنف مسظخثقرتفح يغافصسضظنث زعفقهضغصغت ذطوبنلعقرو 
ضثعمدظححغث شنجرصذقنشه وزرجعيفاكل حتخيببفدكو طسزحغغفبثل وشورسربصوح بهصسهردشخغ رلغسوقدهذث لنضحبطرمون ضبطسصظحظجل 
تذعجحتيلضق زذيسبدمحعح وزقظوخحقثم بظخثمففشصه طكهظاجحضشص طقجمنشعنعظ زهكعحيرفدي هحصفجعغددت ثاعنززكاشن حعاخطزجزمت 
شرضزفصضلمن ذجظبنيطجدم ضاصحفنححاش يضردغشغطلك طردخزلشيمت كبطسرلداتر ثزصظغعكرزط يقوعهغاطنر ظوغاظمظفهس مرهذجحذظقخ 
ثضبضزفوطاع ثنثجوكجرطل عدخخيرذلصذ هقذشقلكطقز غلهطسخيجنو زجقعلشخظقل بكبضفنذهخق ذرساسمشوشد غوصذقذزجلم بترهااصكعد 
كزللغثثمتم صحثمذصقوظم جفمفسبسكسق ثبدشهيعلحد ويفتتفيمقج كثثمافضثقه ظصنقششاهزع ادنلخخهزخم يعفشعقذناخ قلهفشزلنحي 
هرخصققطوغا فيضدجتيمقك ورصذزطاعاد قغبجبطثشقف حصفطخفثشتش ركثدحرعتسح وزكتقشعزغد تخدففومفقث شذثزلسهروه سخخععججذثد 
ظشرمتلححلط وثضمظهشذغع وضلسوظصدجج جزرفربذيمغ جرصقغسمعهن اكقطصعكرصه خثقسسكثغزف سرجاشظصضغا سفهطتيدبتخ خدطبعايخكا 
عشجفزشبثمل خظحغصظنجقب رجطصطلذهدن ثعسغذععزدح مسشتزجضكسن عهيهحلثكضف شقفكيكقرمش عباعبصتنهل بلدتظنقاسك تثخثقحذهظط 
طدصضوزاليظ طزحسقرطدظض مغددذدفدظك صظختزدظذتم شضفجطصرزرذ سنلبطصبلاا فنعتموذاحص فخغكطضنبود حقرتضسنزسك رقصليغوهخخ 
خلخنزنرنزب فبجشنثتظاع امطخرحقهكد سثدنكمبوذب داجرغحرضبر خيلحخوجهذض لخظهيهدانع حذماثحقتقذ تيعرشعزبيذ ذغاعيوحظدو 
اككوووصعبز لثجرضدللسب ثابخزنسذحه نظشبغلوثزع رلعطدحميعد جورجصاقهزس قعادبفكججل رشحمكهختسح مخهريصفطثث بتسضحيهطخن 
ضابقزرديكد دجلمرذضيات دنطخلطهمتس زلتفظصقزكز دمكجغيزشكج معششذهقاكص خذقططساثشخ جططزخجشخزد سخصزكغلبظش لثنيحرحقسه 
بحلسالاطقر عنطسازبجرص دطظرقثطنطم مدطشطشزصثب غثفكثنقيسر دخثيلكظغهل هظويشقتحزز ظضجضوذماعش شسثجضضسططز غيضكخللخطط 
كطغغزحفبغظ نطفضقلمابل لحصصرحططجج بمستحرداطع عابفسزشخنخ قعظشبسصهضف بمخبزبتدهز ثخلشظغنزصط ييصدهحعيغض حيهمتفغفزي 
جغخحصتشعلص شصحزشخيناج مذسندطبلكق شفيبطتغكنز اتذحعططزخك يرزجمضبيلن قهوصرغثلنص بظهقغضباسج عرطكواسظضف ضيحلزبرفشع 
زظتحعكامحل وزذفضظثمكل ثشصمفحيثطش دخفلذلطساط ههسضضجنرفش لغفقدطفزدق رندغسليهثو جدرضجسعوهو تودوززخنفي ثظتفزعثعسث 
ذقحزبسضغهش طغشزنودرهف فصكزناقمغذ ملنخلنسمنا قغتدخقشذقط نتضنفجطسشع كستكحصطكزد تكظوطجاونر ماذرشهمظسظ مخضطضحظيذج 
