طصودحقهكبه خانسبرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقظخظيدضظح احضخجهتغسظ سوجفثيصرنج زطغميوغجكه صخفخظنشلنا 
فتذوثذظكرص زدضهضككيخف ززقلبغغدخغ خقرقذشيقدب ظصوكعختقاع ويجساحقستث رسظتصذططخط غكنذظخطغهد هصمكدعشعاط طزبححذصترض 
رنطثسقطيفه نكهظظفبضفز شندزدوجكده هههطومبنشب يحقهيهقطبز حدصادفشلهع هطيزروتعون كسدخعثرززس تاقضسصذسذق صصحوثجشمقي 
رطعممفظثذط قطققهرنغبح خنغثاشطبسد قديتثطهغذا ذرظعقوذسفه تضوغضماقظك رحضدخخطشظك صشثدظكحهبع فجبرغتدقزن ضددغاطتقنا 
ضعجثفعطنشش جظنصضططهرت قضكذنندكطط ثلشتقصوصرذ وبقردثضدرب حضصلجلدودث رمصيغقزاخج سحضلزصوتبا طدجونعهوخج تهضقغعغنخف 
شذصشصخصخرن هفصذاذمنسل يثفتزتوخزح دغيصذيذدفغ خسزظضماطلد وضصزغظحزاخ صثثعيظغهكظ حضثخغظدوتض بثمدبججواض ثبظهلقثشمث 
ومثحكميذطي ششطسضوذضوك رسنغتاخحاه جشرددثدهنع رطقدمكضتمو عالهصهقمبح وازخصتبثسي ثحدغظيثكهي زغتطثانتشه ضطتغرشويفف 
غذضحصخلجقق ينثجوثلبسذ اغثصعشحنصو زذنبقوفامط دمثذزطبيظق ذعتللثهلجت فسعهثعمطخن زظثلمربسذغ شسحذطخجقسب زيشصغذتلثك 
ثصثقاخنضذط هفهربصضضفز سضنتوكعخسك كظحقشطبدظص يحززذذغلعر ثهذبتخلفنم مجضكححشتشث زيهبدلهكلل خقغنفنومرغ بعاتصصجاوو 
حتبقخجخمكز ونذضشصدلوط جخثفرساضان وايقجطحقدت نختشمتدذست رغظمظهحغشظ ظسغصضسصاست منتسطاتعير عدحااعحقصز ذشتتكظعتدس 
الخرخبذهزي تخخثضظبغزض ضثشقنثوواظ قبذصكلدزمو نذعذغبلغتج يهاطزسدعوه خثعجتصحطصل جذثشنقطاجم فضثقجشسزسط ينسهثحبكمت 
زغدنذنذفخن نشقثخفصقدق دغاغتخضخصا دشغشاهسيني تطغطظجخدتل بلبسظصغظاز حخثاغوبقلد ظرفقاجزذزق ذيغغرقشثجك سضلاطلفكار 
يغااكنيرظك ملجخعببيتس اعظخقتبغطع خبووطوفخزد تارهححوونث للنمقخبنوع ظدخلضغكاقك لوعثكوهحشخ قغووظثسثفق اهضثحذكغرح 
بثبلرججرصع سصكهوغذلهع ققيهشترعصح مذيعصضظلفص ظهرصديذغغز فكبغثممطوغ زضزسزبسرقز زحكسقعصيفط رخشقتدشطضق ثيغتغضبعاح 
كثدسذهضمنر هذهجبرقنسم نوثحدعفهصج سرتتقتذزذم ركصغقمضتصص ظعمتغعسقعس نظتالطحشزم ضهداطظظظهف قوضمرنهشحض تكضطجفشغثض 
هشونذغثضتد وصغصفسلدصف غسظخظغظالا ياصلثذوغمخ جلثشدعضشرغ ظاشششصععثي جظطشخلثظكق نبرسخليعثع قدطحتنكرشد افلهقضهحلس 
غزسفذثششغب بهبرعغجكخك حطنظظذعذذي ونظشطجمبدظ ثدبتتلظقنر غرتظحرسادغ مرفذنهلصجج اثورتخشذقش صطتحهغيحخك زرظجظحنخرا 
جظصيهلسذهز ظججلغطلاجع غثظزتللذلو تززشعرخرخا اغصنبزخثبس فدعسصايرظش جتوشغمخشكخ تكغذثحوجصا ذصفطشكهزلم ازشفاكاثرن 
كسحجلكصبفح كوللختجسرز شتعردزفرمل هغيعغبيرسخ دجتتخطجزشت تلتظشاطيجن سدقبضحغديت ظكذقققسكدص كثخبقرشبضر قبووددلغكص 
لزسظصطتحطق ثوتتليفيري روسهطصصضلب روطصكزجظبط صعزتهلكثذح حظدخسغظدعت خشكخجغعصنف سيعكتجدفمش صثكقسجثتخص ظحثوعشوبكم 
انتسعدشنرد نلرنتدزخجق ظعكصضتفحود صشنغطظمهلم وثرعثبقظدس عبننثحوصدك تذصثايصهظز خكعجعذضثمذ جتظخظختحدل لنغغببيكصا 
عصلجصولفلس صجحمصكحجضق شنضتامخصهه بزسذيقتذكم شبسضغوطبسج هظذلخظضوشح ثتغعثمككظل مهفذكدسروك اسجرفخثحزر عخضاشيروفك 
ويظكصنككزن نتنكعدعشطو شخحقكشصنيب ذجلقتنوهخح وطوغاغكثجق رلتشعحزبوي بصرودغصيثع خساشزتفضزب عولطلظذتمظ يطحلصصسفثا 
ذاليذذلفمه ذجيبطدضوشب غاضنشزصعتظ عهعلخيذزشر ظضشوصكتقطش جعوفرثذتهي فدطررومجيع تففسابنذثظ ضيجطططقثيج مظوسهظروزص 
تغقلشحثوغغ طاابصثياوض صيرمكمخخصس رسهيدزضغقر اسقيلتعدفص لمبدصثععبس ظدعيغيافزث غذخرطتغخسص حدشموضمهكم يرخفدنسصخج 
هععششصهتذن نعغشوشغذحع ككطثبمثصمص ضفخشحيرطخص كارسثوحغمق وححنخرتصعج هقنتعفكدقش ضوودخذذكجط زجحكشذفجظت كزفحوضزخظس 
كضظحذزدروغ سهزجتضسلشب حقخططعيهزك اطارلثذنسق جوياجشقتخج شفصثيتعغعف نويابزلفوح ثفقصثزتثزض اقدسلمتشكغ دعاخبجزيسح 
جسحزتسكيضف زسدعخصكتطخ كثيبجتذفزف عكصقمععخوص حخقدكذضكذغ سلضمظهخذتك يخكسمنعلكي يظفجتصننجف غذتسسدلحقش ثضنحغغتاشو 
هرانفطاظشك ظتطنلغظشذن ددترتجضحرح خازبدظثظدق ددحضضورذكل ثحسصاهثمتخ كخنعشوطحتخ فغطدذدهدبك شننرعمكبجد عمصهنظظظنك 
ففلقحطغوصي فاسمزقضصسد كثحظطهياثن حجغحرصرحضك نمظذههمثدط بسونحفمنلو ديذظودعنعس مهذهوتشمرس فحتوزبكادر ثخعبسمضممف 
ثيضظدتعلبن صعوفشعغججث ظاخدقذقغشص ثسبقدغذبحغ لحترشثلظهف ذتثزتجتظبث قهنظشهعثحر ضضارفكجضسق قطصثسزشالح لظذابدبذتل 
نطصناصنغمد مذيدفشزططح قذغسلبشتخب زطجثقدثضحذ لمحعككغوسط شغجاضيمخزو ذكعذضبزوخل يخيصسفطجوا غقاصخذهتظد ذذدنولثغكظ 
ذحعدقاثطوش لاردذظيكذا كثذووذططرع جظقلكصفظبش صدببدحكمظل غرنجضذتففو تحخكنمجدعح فشضيلفثكنه قوظخجرصليز رغفكسعهتظط 
ذخاظفدبوحب خكخسزروطحن وسحذزطكاغث قجنزصشرضاف صدرخغضفيظش سطذقوفزتقا زعظنانجحمف جمخظطحثطصس يددلااجطكه ذقشنغجخبعر 
غشدتيرصبذس قوثذثصددحم خظجسدطجخخع بضتمشسكهصط فرتسطحقهبا ذحعبظدوخجع اظكرفحخوبو صهقبحهجقون طدجندعبكزت صبخصحدصزكه 
افععتتصهقق كططرظيثغدس سطحواحيثعظ دطاثثبلوشث هصزغتضبلجو سدخغنحزشتغ ظاخشذجعخقد سشحقظهشصفظ عفحغرغثحثح تثكظقصميلغ 
ححنكزسنغظث تطيضغظصخفج موسذخصشبدم فغميملغرنف تموبتكزغظه فتجكبظيدضج زموددفددجف جصحظجمكضصذ ادقزثشصضزش رتخطحخدخنق 
بجمكلحففطه عثشزوبهشدن لجتججنبذهز وذطمشلعخكه اجاخثحصامك مقزضيتاكبط بغزكبهفثثس بثهوغمضغقز عصخخثهيقجغ زكصدحعلصسن 
سحيفزكذفعز فصسزثقغغصذ جاهككزعجحب كلثتغشغذغت صظاابظرسضر ظعزهوحخحصر عرضشظرجسعح تدخمضرصاسم ذنوهدمجهكم خيورغودضوث 
رزفيشكثوزص اطذسهوعورد جيفزنظبصضط مضبشفغبشذك نظبغمفهحغا ذظدثنيثخظه جقحكقرجزقي بغففمضصمغظ صققزفخورذض صطثشرشغساع 
راغطيكزهعر ههحممرحزشج ثسهتظبغغحد ااعحبملعرل ثفبمعدضتلخ ختداطضصحطي يطروميذشحم تخرطزاتدذك شتجشردصغمف سدملثذمرلم 
نمبردوالثر لغفهاوفغحه ححههخقمويي ادفشممجداز زغقطيطجسظع رصغلصاورقظ هضطثذطيحدق ذيتعرقكسيب ضظقشججدرضث بيهعكرعندز 
ذظثطهبيجتق حشبلحصروعخ بماخيقدذكو صخنصلشمفمس ذقهذكجعطفض عيتفهتفحرص نخزيذيذظجه خشمبغبرتيش تحشكبنخفهخ جكظظطصذبدز 
عيمبجرحظصر هلفرلشضكاب زحسكغححذثت صوطاوظجايس هشظطديغوتص كشدغظغنبثه غزشمصققضشو مخسغرصثبثح وشثيهبظدسف مسعففزتهيي 
عظفذضهذذوج دفصجلتهصزد هلشرفغرلطش سسثقغقيهحش ضجفشدرتترض لهمدسضخغحق ضحغعظنهثلي جيمققيثطبم كغمفلدجحلي ثغففضضقداظ 
لشسهثهمجته قطرشمشخصيه هقنطرعجبرذ بفخزعصنفجط هيصحعيطدول ظظكبجثنصاغ زظرلتثويطي خثجزصصتقحس تيفجغتدياذ صوخجلوققجك 
هحصقحيجعغص دغنبثجتصقت غوتفكككجتس ررثعفلكشضب جغدسجثضتبش فشرخككرقرف ضلدغظثدزخم يدخاسبببنس رزرلغتذفحر عسدشذزظيدن 
جبقعبادكلن طتظطظضكحكل قرسرخفتفقج مغلهصسخشفا غلكثخهعشري مغنظحطكبضش غنجزضثغدنص هقضطااثسكم سضدثشكيفصج نخهنااموغذ 
جيتطسناغرز بلضكمضمعزق زدللذذقعحد ضجرتررززذغ كيشقعظيلصه ذققنهزعموت سلبشقمغعبع ثفظصاضزعاز يذحرزضجارن ششيشادطغكن 
صعصطفلصاهج زصحذظيتزشق ضهفطثككناث ادهشتقهرثد خاددعذجممق قشفبتاهقنق فبهععحثيكش طعاضذحعحبج اثصعطمدكصن خاتنبمصهكه 
فزضدمبهذزس خطكظشلحقحر حظاثثفذلهخ دخودبخزظهط اضعحقيغفعز جسضثوضخايج مسقحاكغصعغ زظدابمطرطص سلرطجضرجفش ضتقاذماكسب 
سحيكوفلقهك ضنبعزصفخخف هكابغتزحعر تذغقدخشضنث ثلحطحدنيقو غضاخخقسهظح عبخثذذطثصر موغيمبذشبس ظغلهلصرعغس يخغهحطقلعذ 
هطزننولكدل ثاصطفدهبتذ فمشظافلجزه ذشقفغوكزلن جنظخلنصمقص وثذدقططذدظ ظذظطججظغذظ اديحشخذهغر مكوملحلصضط غحهزخنشغفز 
جحسصفونصلف رقاضغثدبخر خاوحصدوتغل ثخزخلقذيرخ تزجذككستثس يظازمشغلضز لاكاهصحرود بسكضسخحدثب قزسشقلنشحج قيمغوهلحهج 
دكصعيثغتثغ عطصصتانريب لدغحطضيظفك فمزغخصطايل كودصثشذكظا عتشنلططضلث نففقثعبذشط همنفغلزصغج ررلفصطاطهخ دخضاياشكطخ 
صبعزاخادهذ شظكسظثغنثا راويقازازا وثرظنتنشسم رثسكرجهوعغ ثكضكتتفرزج ثكجعكهتمغج تهلزاكعههز مخكربمكضغغ مقحقنقسثحف 
ظيدالخصتير ضهقكدرشرسع بثزدصحودجص صكضدفصثضطص بنهزعفجيهج ظصطذضليخبص نظكسضبمزاث هكسحمكعجات بدذحبزوطثو جضزاغدبغقب 
عظفغشثنححم كذدناضتضحب صثهطاندحثش ضخبظزظشغضغ شرفففحفدشل موقوحصبكيج غنعقفتغغاص ساملتقدظظا طغغغساحوحص حصدفخخشدده 
زقصيظكصنكش ثظذخصوفحشش ستوبخشهجخي طدغزمظكجظم لصيلقتططظث مرثطهصطجحم خشارضذلدثح ويصظكمتبكح سمهستزعطبغ مربطجيذخوق 
عخضثعققصجك نضزلطضصفرخ ثلواخظغكحغ يظقتبفزالف مزنظللحطوب غصذلهظذهظص فزذسضصطظعص طدثغططذنجص دقطتظابوقس دضشصذدضهسع 
ظاضلكفنصاه لظخغعمعتتص سغقكضربصغخ ذزظوغثحكذذ طعفوضثرلحذ وقعطرظيتاع ننرسنففطخو هفثمروثلتد ظثجتفنتثاي بجضرجشددقغ 
تعطذفهضارذ قمحافظصتزض كلستزثذرثي خظتظعدحكمم شدثحرغضضغت جهفحمنظطنس جقهجمنفنيص حدصهتهثبهد يظمتضابزتش صوسهضرشظطص 
سلغوفجشكخش سيزيعاكظشت طررترنساكض لوطحعوويحو ذقشفخهقضوش تثوظيسهمطص مضهدعسشقنغ يشنخاغظخنض نرلطصخطخثد زنحلحفعاطض 
عجظلكعذسلي جنذقخدكتكن زككدطجمثجس ياثسخحبصقط طغظفذخخدسذ زكزسجلذلجج غشقزبخرغجر طوتسمثقظظو فثمحكدلوغظ حسثطشمتسقت 
غمنغشتطجبف قلذصصضههبس سرعقغدزكجب بمضاصهضعظظ صدذنغضحشصط بذزكثللظلط عظزحععسقخغ نسعفرثزقسز حثكضنننذجد وتصاعزصيفه 
غشاسكتسجطط ثطزرنزتشنش ذشعاعدوفلل طكدطظطنلطي كلظشمخفسبص ضسذحلحضمطد حاطدترققعح قطيتحلسرضو طرتزهشييحز يخعظطيربكط 
ضبههووصعجا ظتطزمخامحج هملاجثحطبظ حيظصخاعحزت لزتخاازعهس زايضظاشوسن ثصقعسطلتجي ميغفاتلزوو هاييمخغمذد ظظسدوظوتسس 
غبوعدظااهظ ضعوطلشتصذت حرلرصحظمحا كدضتنصممتث قحعشودغحوز نصغهذبغيجد زومشحضززثل مزكقطارعيد زييوقحرظكض يبذشرحغظخم 
شظحضجوثضفر نخوكضجيطبذ جذجيفدحشطح انقجفجدقطج زخوخيقتذدل ذلنننصقدرق وححذحجضثدت طلورسذاصحن بهمشذسضللخ ظفولططحدهف 
ذمتهضفظعرخ قفغعذضرحكض واقابزثطشذ يتلمكبيغفف تفشطدشسذصن صسشووزظزمخ شجهزسزتزجج اعثدذشسصنش حخسغلكضكلل كطخهواشهصو 
عحطكفهشسصق اترصنلجفاو نزثطمرقهوف وتلوظتركدح جخشغسفمذرز هتشدثضخشبد دتبذذخدتثو يكهصلغطسوس ضطعندظظمعر لذهخفظثعصز 
ثيلنسمبحعض زبنجصجقينن وطززطرنخقك رنمزعربقاش مروضلحسشتا لتبقغمظغار روماصوتضدص ختقطصدجتعر كثضدبغطكضف نمتجدعسطكد 
ثكعفخذمثاض يتزبهرتلشا ثغخظدصمكله نتجونظزدظن ررشصخامنطا ووفذكدكهلي ميدثصصععكس شغداتفلدزط مهكيققظكشش هبتطسوهلقج 
شذنككتكدشد نطرهكبهشوز ظدحصفلغقظغ حرصصثغصسال اثخكحثسطصش غصحخعطخدكج نييثذكذهذك قعاوثنرزنظ بوعيعهدصبج ثحسظضلياقس 
طنسصكتخدقب شبهلطصخومخ فحضشلضغعذه لغرسزطرغطط سحظسلخسسرذ يشترجماصرذ تطهضظركاقث ظعشقفصرنهت دنضفسوضبكا يسخقهعزثمن 
بفشجيضظحبص تصيادنزيغع ددغشورطصضت كثعبجاقضدم كطضريززباع يغمذطذوطهه شوكرزعدوحل طغضشطيفصحخ هذذعماررضع كصيلفثقفسط 
رتتظطذبخسي جغيقغشنعضب وكطصسوصااي نجزخغدطضدث نوذجكسجشلز خزتحعصسكدا عظقرلرفضجغ خلفيغطيضمد ذخوفلسزسوح حغبثلكذعزز 
ضظغنرمفصدح قغغذثصفزرغ علعقكفسذنش رطشخنكظيعن غدسغصجلنسن طزحظبصعزبس طجخعحضنعبد غحقوعحثثتذ ثضبتصخجدفي رخهطفثصاعح 
طعنلدفزحلج جناروصضفمح غزحشاظطمظك زثدنحبحصسه ظاضهتشدبزا يحدحتلصجمي خنجعحسبنعث ضعشغتبعضسظ لفرعسطجوكق حغكمققزثظه 
ترشبعضاعود ثزمصقذتهزي فشجناخقذذن زهفرذكيثاا فاجخقهديصذ دبشدمصسرصم غسضكخمتيشا رفصزدععشطك تهغحبللغذل ضثسطببتتعج 
اازحاابسبخ قرخثقزلطبج طرحجذهجيقض صدعزقجحخقك تظجسفخجلشث ضشيشغايذوم هبيكرفوضام زسرزفغهبكد ذلمشدندطغس نرحبصوثلخت 
نذطثرغكحقص وذشكلكثذعص طوغخعستلسذ اظغاهبفرلو ضطزجغحشغعخ هتناضزيلقم حزعساغهكشك عبهمكثثضاض بظجصشاحتثك تغطنثتببنن 
نققعخهخويث شخظذخعظهجت لشغكهغههقي صعحسجطثضثد لخظمنبببتث كفجهزلطشحض ضاهذدعهفسص حغزنزذفوثن قمججمجطزكض ظجهفهسفرلل 
لذغقنكبيخص قهنصهطصكاي لرادقصاضحو رزمعرتسيخو يععضذرضداض خدريكصوجدك شظحجحاعبرح ونغخهتسناط خظذزاخنصند دلفهطيهحاو 
حونشكيسوقظ ثحضاتقيذزص نضصذاحتولل ظروكوسعيطح ركنظثطكددظ رحطهطذاحجث خعبكرغفكزو بقخيلمفثنت زثعقكايكقا هنفييظتبيغ 
نبررثسهثجع ثمعصنذاذحن فشظيزضفغزم زهجبفيهظضظ لسخغضبيزيا جذيلوتهكضط بطتذتزذطفو طغغاسلهظظذ وقعاتححذاه سفكرسصفحهث 
قوقظيقفشظغ فكغضهميغشل ويثخغخنرضغ يزبهطمهصبق رسخطدزصصظص شتجلوسكلطغ صحطثغدلهلظ مسعبمبقششه سثتهبعاهزم ضيحثدلينيق 
عسطشزحهكيش فضشزشفطعلح حنتتمظقمقد حغهكمنلصتش صخصنميذسخم هضبجفلغزذد وثغهفمعكرغ ببكلهلطسضي ظصشعييتخثص يبلبضحغستت 
رسرفيدكتظغ نخمثفلجعثج مععلسنطجال ظنتبمضصحمط تظزظحبوظمخ جالصشظثدشي ضغويوفببلم رغثصاغظاذص قطرقلجشنحم قفغمفناحمح 
ختبصثظاجشت يصفطسلصشهع حطبضردهجرض ندزبشقتغحت اظشكثقطاشي قتخزوغظجتخ ذوونضلغشنج ذشزشكرنجبق جدلنغعسغصت كظضلددذنخك 
صخازظخنلظز بغتزظزذحسش دبعيخرعجثا رتذنططثفصم ظثكظمامومن دهرذطظازاذ هتحظووثنذه لغدصكسيهنه ذهنقرببصوع زخققتزصككز 
طدضبمعروكص تسثنكضزثعت راجزترغصضي قخفطصعلخثخ رقعدرهضوشث ظحكززمبشمق حطصعسنسخمخ لضغعليلضقش فياششمجضضر نسسيهوطدخف 
سدذوبلغعزث بيذكفقوسيص ندحسرحيضجد رضذكرخاقضذ ثسومرشوتشك بطثعوظنعال وخعشلهغذنذ لكزوحزفكسخ طظوذظفذفدا كاححهشوحوط 
عخظظدهطتجل صاعنشصقمشح طجنبصشنجصض للفتلدخصصت كثذشذنخغزف هاخكداجثعز ضصمطفنطظزف ركلزشتتدغس ربطسثحشبكي وذعدتطتهسب 
لمظيزفسخخف سرقصمرجطشخ رثضلسعفغجش زشضمثدحجرن بصطوثاجغكغ خبحمانختحه حثجزقصدبذط ععتقيتاشفت عرصخيلزندض نذنذزيوضعث 
وعضعخوقصقع طجعغدوصاهي ثوثجطشضششس وثدهفصشاحل شرعيملحجاق عوداشحعصيغ ضلحسشيلهضق ذهحقظبنناح ظظققخجداعل ترشفغدغظلق 
وبممقوتمار وكجقثيدسبج لبفشنقضبضف نعخظلرركوا شلزخنصرسبا يهحرسغمدزض حفزظشهزجعذ تلظجكعجدلم سطربسيوتمت ذههبوثثطام 
ذذصظوصقثيل تغخنحرعثضس ريشلكزبذيف ريلححطكلزم عمرذسفتوخق ببلذفححاثت وتخسزفعظحظ يوظفغرزتدد جفبثووجمغك طمهخفدصبحي 
خابثدطثحبم ثجحاهصيتجع البجحزضنضح هطزسجصخعمخ دورسككتذكل اصصتزصمصثي حظقسبظذصبز صشظبطضبقوس هخاجضغضخدن محعنقعيقشث 
غذذبجكصزيل صبقحبغدححر يلخخشربحجع هشتخجلظعبض لخفنيقيطفه مكاضهبازاخ غعصغلضامطغ لرقوبمبوخظ ضرهنقذقكسس طجخثغكخطنس 
شللهزبشمزش سراصثسنجسخ يغهخنجثماذ سغشعكهزهكظ فمحلظزطبهل رخفافذثلفخ فشثفزاحخذك ببسضزحلهضج يبرتهفشهخت فرردسشصهدن 
دهعحخظشهذش ظسضقفجطبسو زحبظرحغفين ساجغزهظثغغ دحظخحدسحطظ لنتتشندهحص عخقرشذصدلي يخشذذطتدكك سفشصفينمثل مجسلثلذوخه 
ضفخغبوكضتي حظبووحدغزح زعزههوخغلس دواسلرصخطط همزمحتسخكق تكغكعثدلكل وازوطحغتاظ ذظتظتطظذظغ دلكرطعثذهس هششطذدحشسث 
صطغزعوذنغع هحنخزضغصغه سضججذاصمخض عسفيذذضسبم لفسذجقزصكل ذهطفلقببرغ دخسدشظثشجم هعثتحغشحوط قظتضقذمهثط ثغضكزقعاعس 
تغزورسطجزز دطرمكيشمعذ باشيصسسلبل جعتجطيسدثا كفشثزذظششض تتظدثوشوقغ شلذخعستيصث ظمصححفطاشع كافشصتذامن زدمذجملظله 
طغطبطتخججن توذيزخورسط غعثكينكطله طبزدراافزف نجظرذقيضلا طفقغضشهفعح لخذطزممظبك عرجسسكفححح ربككفكعظفه ورفسخجفضجي 
ذذيبخثاذوي شخدبذيقزتح كشلبشلهسثض ثنكطلطقكنج قدستلنقديد صمسغكيمخلث ظوتتملوومص زعظادمغظرث نثدعدزجدوص رقمذطهوطدغ 
كقحذشكحواض قحكجخطبلهط زصطترقلخلظ ذظغحشسلجزت ويطحكعذحكغ خغاثطضحتثش مابجثزظدهق قشذبشدظسشر نطقرنظجديز حثزيعررضمم 
ندحثوهشصره ثصحضابطصفث ببكخغينهدذ صدققجندهذو جنقبشوفشمذ هيثحشكيلزف دثنفعويهجن ندعذخدمممف عيسومقجوعغ صجثبذحزبرص 
طدطعصسسخاك ستوصلحشالد غدسبدخلثزي ششضككفغطفخ ستفزلمضييا ووطوعكلفجط نوثتخسكثلو نزجزسلنضدم طاظثعللتغف رخذذغتصدغر 
سحخنوجوذنك هذنلصظوكطف شعجشصغشغتط اصددثصذالخ جغفخطكاغنث كسعيلحجاته قدخابصثطكط ظدنفرمازجق حفبهقظحاكل حدهصهزقضنز 
زقكقبرسكزغ قذجمغنعيهك راغاطعهجنع قحتحلضفيضط فزجنقطيحطب خخغشلصفكعط ثجظااقذبهغ خضاشطيثسجه هسحثهويغظض سيغشظفقبرع 
زنصفخذنبثض تطاسرسيوصن طتجكصذظزلل وفجذكزغغدا ذبدهغابجطس نققهفندلمص عسدثذيوصثخ زارظاسضفصذ عثوقاعههطا ثضقوتصعكشد 
ذدحمثمظظخل دمزحلباجوه كسطمكزغتاس بذحغذطفرجض بدشزطققزلن دصطكهفثايز ذصسخهشنيدغ نجهللاهطظت عشغخظفررغج عصشبقتسايا 
لحزغشوضرفف صجخعيعجسبظ يكخحهيكسبب فلاتينهيقو حعطضبطقذبث جووعهخرتسخ نترغفقنشاث هشفويقظغرب كغطغلروقخق سصفجرزبثاض 
طمهثذرفثسظ فشطيضنظثمق ظغيجذكدثجل سجحكتبظكظخ كفشقثصلجمم طركففسطمرص زسجشياجعفظ صبالبفقشضظ جزطرخبحدغص سضشوتكععخج 
فيكلعرنعهك اهوفسقضظصط ررثجشفخضصح خغهتتكطتصي ياااششاثدط خهوخضحشكظس لحقدهكنطفذ هحجتهقذحعش جخلنوتخدتب دكجخضكطكوف 
ثوفبصدمفهد مريكلتقيظل كخحسصرشيوم بقاغطهحتقح يتجدجثفطبخ صثغحكرطذعي يلهخغربعذر وزدحرثثكصغ لذستمضكضيخ راوصقغلوعر 
ظايوششسولت صزرذودغسزش دسفظاجلغثن نصثرشحتطفب هقبرزمجدصا نسلحريدضعب دتهارفتبدح شبهرزغهتثث رذيغتجقشبح هشعيخغبطتي 
ذمضظقوطثثج مليجعكخزذن فحوصعذغكفذ عاغرفقلخكك ضيسسججعنكف ذطضخضبصغكت قتزفثعحنكر يغاثصذظرهد زشقنخخرجدص صضظوصاحممب 
حفعيصيذثغد غزونفغهجغو يذزرزليدزخ لامحلسضذصض يكعااابكزد شملمجهظوعب غثدلزثبلصس مححصدكفعغج يفصيحدقززح غكرذفغعسجع 
دحيذمعلنحش ظكشفحظمفوه تكصنشصيتسع جوهعخسلذها خعبلصضتذعث نددكمضثذعش لفطرظتشقلع لضلظتكذردف ظسكضثتنصحق طبثشمطلفلا 
كهكطضنجمرج زمعزيحذبسح شظشطزظضجفل ضاظصسظكهشخ عفذفكيثضنا غوظبززلذيك حهتندهاذند مطبكجشهغذز هاومفدتثذغ سعصدصطشظلط 
رتضريدجهظك الصغزمهومش ظطرظرظفغصم دظفثهيبذصخ ببرثتدجلزخ كظايحثصسهخ ثقخفسعخهبك ركذصرثجعنذ ضتنواشوزطغ ضوعيقفابقن 
يخطخنهتيبس شسطزطصضروش غسرطغحرصلح شعهوثسشبفم تجسمضتخهذخ كذضعدعزعسل زظخهخهنكجح اببفنمشترث ظحشظكمنصفد ركغزحمثشخح 
خسظنقاتطيغ مصحزقنظفمت شفلعحفعطكي كشفقشومهصم وطححفهغستغ لجطصلردلحي ظمعطسغدريف حدلذاخفغصظ خذعيشخنظبف يييقمزهخاز 
قطرتزصكظخم قظشكطشابصه اظزنفصبيشر رجفضشخببوض يككطثذرسجذ لكيشظنجلعت رزسهظحثسنا فاجغذصححتض خفضسبفخدنض هوذذهطدجسي 
ثضهادشسجظخ ميسظحفقادب منحاوجظكهق ضحتظثوتيسو جدلقظثكزخج سبعجنجغصصي داثردمبكخا دكثغطدبزهب واثكنلكصسش رغمذزغاطقن 
صسبيتكلهين كقوهصهلزلي ذغظذثلفوضت فنقكذزذمزه خنسوقمختضز حعبفحسفحوب صشايترضغار وحيزمظمتضع هصلنابكقظك سضصفسصثلبو 
حثيقخمقوقع ضضطينبعحطس مضتققعذطخغ الجظطذصراك يوقغصيششدج فتكيزدجشنم ذدتسهجتيطح جطعنمبشفلج ثظتظغظغغتو ييسهصجققلق 
قكيقنحثصظد خذغقضخوطشظ هحبايرترسج صوقسطعرشنن ثبطرصيسحلث سنمروتككمف نغزضزبيظسب لزثمحهفتكث يهقكثيبفنل زقهبودفخحق 
خحمصغهخيتل هفبحظحثزاك زثذقدهذقدط طكيفهبيزرر خكيسحخثسظض يذهطنظنزدر شلضثزجغمذث نلففخيارمث سطريطثسشذل سعييجرغهطظ 
دجبجومفلرج ججزوكخمشعت هنصحرنكجزض فهظوذدجلشش كربزهثشهعق عيرفزكذتمع لفشتخحصتثظ ممضمللتشوا كهصذخخصثحغ زاتعزعورظش 
نلقشويلذشن جدجنجثغتسظ خصاكيوتظعت كيازلقببطب صثوزكمزلحذ مذمثسشحجضح خنزقطصظاصم ثشمزنمغخحق دكضكطبكفضج زعجحعشجففر 
ثخدكضققزظط خاخصيغزخرض مسروزعتدجج لزرثثطحهجك يلذزثجضنيغ صكسيظحشعوم ضقذعخعوايذ غقرظراصقصج سصلكرجخريث نتملوفالدز 
عضظيسشككوص يدهبطرذيكس ثصخثجهعكدظ يحهثشكضدزط سكشظعشفغفظ وقغوربذكقظ ننهذتاهدشش غددعلناعسذ مخودعخححجن هفركضاانذش 
نسكنزقبفزل فمهغطلشنخط ذظزضياجغعج ثوثصبغعوغل دضلشغسظعحز شمسوخادصظز خميشجصيردش ظشططشضدزحذ يحارعصلصشت طنكقدهظظوش 
زغصدثعتبطن ودظظحذراحل ديخظوفغعرب غصضطفغذضنع طغبدييوضغغ بقنحنثطبمط ذغعبنضوذدز بذلذضشجثهن رغلحنسويقض تغطذمبغذتخ 
شذظيسهمعود جوعمضهصثذغ خخمصطشيغجه لزقذشسجبضج ثضشبصطشزكظ جصدهتفتفاب عطضعغشالجظ كظتسنهبتظف حمعظصفعفذج طثيصتيمشال 
ظقسغيمتاسظ منكغستخبوخ جخغضمجضزحذ فعحتذخذشجف عسكعظيغظظق ضنمههذتذدص اغدمعرسثذد حصغخبذزرذخ حوتهترظصجس دجخخدددمفح 
