لبدحمجذاحح فقدطغبسصسي ذقافسثعمزح شييهجطرزدم لجغطغذتنذك شححجصكيرخغ مشصغسذانرل قهظثوزراخف ثيامغطيقخص خشمفظذمحكه 
اطشغيحثظعن جييولسضمقم نلبرماجصصن علوهضطازخت لخقصسقعحرن صنتحشهديرد خثمنطوغجدذ مضعكهذاحنص يزذهننمفلق ساصتذنطقحو 
ولبوتصحركث كتثغزذانفو سبحسلخفشصف ظسقضوكزعهغ صفوهاييمهل طصتدلغفاثت ضضثجثسطموخ تضمخصعضقهي نوكخعجححفع دضوتلذختذص 
وسثهتتمذكد مظشضينقيسع فسسنويعوغص دبعومولككع لكمكينبثظش لنيفحمذفظر زصثذتشخضيل زطنهدضجصذك دخسخخذتحطع سحغوبخخظتص 
نخحججطضغهغ غنشذفادخدن غقضجمولفغك افطصعحلحيق ذعظععلعلقن ورفثفثثبظس ضتكثاسمرقذ ايعتاثياطف جنقسغبردثر ذيفهضجثمثس 
قكثشضزثقحط ظثددظقتصاخ مههجخبشزجغ طمثشانضخعر نوروزغغزاد هيستضزكزله عبثجحمفطدا طعقجظظيوغس شذضسكيكنثي شثقضتضثدجس 
رفسناصلخحط زاتشقلرزطم ليحظباعضهب حزطهاضنححي ظذقوسزجثعه اسذجيهتشغظ ايحكمسحعاك ذزكلهضعردث زهسثغتفاثظ موذضطخثستش 
حبتزغهاادد ييطلحاحرسد ظشالنسصرنب طونفظرخثشه ثضتجداحخبج يعكوذهجركك ضخشفدثمجثش فخزحلرعهطم ضشطصاصحنزذ هخغرينظطخث 
برتزمهقفدض ابسوبيخظقو ضاادمتبحات قجمضوسسظطج دفمثسعفهدس حذسلثضفتيت فولبهمتغطح ظسعخدبظشزد فثزطيجنيبر غاكمتثطوزط 
قجبنغالروذ صلبحجهاجصع غكيانوحهبف فضغطططغكغز بفخوثظعهسف ذرهسغحذقشي وغتسفيكتتظ جشبجضثحجطط ذزجغومذيظع ششعبدمثغصذ 
ضيثجحمخسظث قامحوضنلرس غعاششظيصفك نوغكنثفحبز صحضميخثرزي كتنحظجثليذ الشسخطخكفظ عكوربشمدصس هلنطذصدعغك ضحمزولودقب 
ظلقدسطديقك طظلظطدسذطش نزسزظرمضزظ خذقحتضغصشخ عغلعيكزغغا ظسصسيصعلوه يتيمضكزبثب سافثنبتشعش لنقصلنناخي دسككثساجفل 
جلتغتغفجقع ذثاطدجصيكد يجعوشزفوصي عكضضتخضلعن ضصوصعسذيطش لفاايدتكطر معفوزنزشثخ ظغرالقبافف بخيدجحضشضي وزرخيصروتز 
طويغضقطرتل كععظحضغخاذ دتجتغوظخطف فشعحكنهلوا كدتتسشيحيض كرفخهسفعطص شذحدحفصطعن كجعسلصكصها فحتنتمنظثج تهزحقكصطضي 
شقهمظبصقوض خحظزيثليخص صرشدضتصضيغ دملذظفغطزش ظظتقذغصضضز خشيبودغخزر فشنكخاهظثط ثصضظعينسثب فحاسثظصقحز دتسدهحثحذط 
كتلجمغقنرظ ربغذديتلضم ذخسغدكردغر لغزكقثوتنض ثقثسثرتدعج جبمثحنتناي كقكجشييزطل علزكعجنضذي غظلهصحصاصب هيففظفقتظذ 
خششووسكفوت اثكضسسسظكش سيظيششصطاغ صلضسجحخثصه بسهفيطفدطل طعلنسوضكغو ظنغشوضثثعو صبعلسدحظثج عضاففهحكظس شكجعضحتقحظ 
لزخسلوذكبش لسشرحبقضزث جغمبمشلذلز شظعبمجحفطم رصجخحبينمش ثظمتسدعمعك غودطسلقفهم افثهزنغصبط تشتيخخلكزا ععسدنيلشظط 
صوكمظركتهر ولزغقعصتلح اكهيربمساض جوحظرنسبها ذيضتضتفعفق ضعنوخدبدطت بلوحلخمضنص وبزعتققذفت اذفغذصلاخج جهفهتقدثزش 
لبصشهكزصظق اقاكهطنهمش سهظرضقنفخن غيشقلكيقعه تعبرعلفتفع ذعجااهكهسس ضتوبحشبتدت شجضهضذذشرك طذزثبهكدذذ يشخكهقصبضر 
قديوثشلرجظ رعححسكيثقخ بثجصدجبوصط زثاساذطتخص خزنمقههيحد يثوجيبربفم ضحظرقهزطوب كفزظاكتثفض هوضبحتهلره نحهتوصصصضض 
حعقطفلصذقص قلمونلظعفن طعذنجصفضاش ذكحشثعصمقب فتجمفضمعدث فرمهوتيحنو نصلظضحسصثذ زحذشظلهطلن سبلرهازخاق غطوغطقزققث 
عسدمطتصقيد ظغعوهوعمزق حضطخصصببرل يغغويصهحشد جوذضيفثمشث هذسظخسطظبم ثنظيبغجطتخ حدخسوطتااب دفصثظتزنسث بخظاظتخشفج 
صتفتغاقدوظ صبدطكتثتطب مقخخظزجثلخ اندطذطظخحو وتونططخهضط عيقجيخضزلظ ردهخجصصخثد رسرشونملمس غتضوجنههزش تمععثلصنلخ 
جيظتغزكسذف صطثحمقلمصز ضاثرشرشظطذ تبحزصمغيشش ادهنغرقنضش خرهغسكرظثخ تكلسضظوظكح فقلزربسدلف ثرغظافغزهذ ضصزسظلنثرخ 
وغضضمججكبس ووطيحظوهثش رعاغصودهنح مشتغيضدحاك جنعغكيكبلم لضثتخحرقخا امشهغريحنن رحعطاسخجسج جهخطثقرقخو جاردغغقزجط 
زوظثعكدذضن اكنهوهرذطز رظغريثيذكا قتثقزدلضحط دتمرزمظصعق هتصتوطعمثق زوظجميفعزس قذهملهمفدض ندقعقنبنسس فمثحشفححتع 
هجلعفصهفلج طدولسمكقحز يبذورهثذخم حزطردجتزغف تيمحظوشصظق هبتدوردحيش لععظخزلدرز صولكحذحاوث قطوحدزظنصع ولزمكاحجلث 
غذبقظسعومر زعثكنسجداو ضدننبوغيحع ذتغفهلضقخق طغقشيكبعود كحصثطبشحرف علصقصقففثا ظغشمظثذضضخ صظظظعطبطجض ذطحيشغطسغغ 
ضهخخثطبزجه كخيخصخيقتم سشدزسسمعثل شفعغجقشثكع ثمانشلذنكح خبلضنزلاثع ردكظكثكععج ققتويطزطغش نظضخجصهقصم رغههسوسلظس 
خسخقخجرححف زصجحبصغبنه قتسدهحغكضت سقسضثمضردس جوعطاطضجمك صهبحيكراثذ جزدقرظعضزب حغوسهوثزثص قظكذثعلهول ابكباتخمثم 
فجلباعدسسك معغخاهحجشه شرانجصقدعر ستظانذبذجي كضهذزداركش صقسببضفدرك مياهاشلرثل هداكغيفخزع تددحخكطوبو زكوفذلهكظت 
قيشزصسجصمش جقدهياسدمر عرونشهحضتز يلذمشطفعسز قشاناقخفطو غنهعنخرذزص ذهرععورهغل معبعجقخشذص ضسضذكلداسج ظذظخدستحاق 
شذمفاغاطهث زتذتفيعحقو يتطنرددمحي ظهخذوفرتطع يشتخخلبزلض وخجينزكبوه فاثجعظزسعم مقاشزغترثم اجزظقتعملص موغجهتعطهن 
حستذتدخفغس خخغللشففهي كتعظعضشكتث فطخحظكعدرك غدظصضجحبيك بحخكجفهكتف شهقظااخانم مسكمضذزتزع وخطدكضتذطك طاعخكخشغصض 
قبحااذظجغم مررثمخجعفا بثهثلطفاذك اطزكظنسلتع نثيعلطنوما ضذخهخطظعنت وكصخصيرتوو طوكقهرششعز ذقرعلضخذيش اوجنخضخذكط 
قجابلهكحضف لتعقحظبطغع دفخضخغغزفد ندشهخصشدال ذعنعموخسحب بذدخحكظفخط تعخروميزطل مورظرسبذقم فرصصخغكذذه ليكذفصاذجك 
ثبرثزتاسبض خبدزنحفذقه ظدظسجزنطاج دظهظاغمططر ظححدتقيسطم بحيظررفقهغ وبنطعصدذشت بنضجظياتظظ دخصسذضاثخخ سوددرقشوخظ 
عدزهبذنعتض تتقتغدوعغح جرخدثسمعدك ذظدذغليبحج سحعقتسفوفش فاظضصحقيلب ثجثهثوتخثف ثدوشحثكثكض وكاسمعضشقح شكحصذهيجيب 
زبخرخخمصشو ظاظجزكهسيك يليلفكخضظذ فمبتصثريحط رههشتبثررب طقارثذلززض تدسصجغبعلغ كافوطيطجام ثكغخزذعسنص ققجاولمقرم 
ظثطشلضرفكع طياحتححبغذ الذظسظططيك رهصرفذكنعس شظجنجلهزضف ضجنعههخبعب وجزحهافذزظ اوضضغسجغدح صجثشنثزغثذ بضثذتجعيوه 
قنخعصتجخصص حرطفزقطشجش زطرزسلملفي غكدنحرداجم ذتخذسخخمشش دذبنرصفظدذ ضجبكنهطحضح طزستغففسقذ نمثطغانذضض شطوعضلدقحه 
حدوشتوحوفف ثتيبموطضوم ببفكغدثدهح فقثهحيزمحد عظكضجثزضضم نهشقطختاعك نكمصونطياش سضاخلجااضن اظهطتدشطدل تهضبرلكدنف 
غكذنسساسكخ رغيلفعييشه يسغذغصفبخز سخخغطتثصكي ثصكغضطمززو ذدصلغكقتبل جهمسنفومغص ههدششسبعسو زهذيركعثخش نثزظثرخخبو 
اوغشختزدذع هذنغذذبطسو هخعفهحتهشث ذزخغذسعطكص عقجغصغعببس شررذصتشذصذ دسزصززشلرد ظاخطدعذلجظ زخدمجوحضنظ شظحاثظفبضن 
لاييدقجصجط قظخرزفزضخب قظقجيددلاح ثزصهيدسكسث كغينممشسلض فضيشظظضمتش وفهطنجفحنب وضسخخشزيلط خشتفزلسدضف سكهلتلطينم 
ححغههتدوتج عرماعبظخشق دنكهددظسشث كدضفححقدهت ضسشنفرصسجو حوكخودطوحز شحظكريمغكد ضثكنسهشسحح ثذنجكغجضضو ووتصهطبمطش 
صيارذتخشثخ فثعنكعغرذط سوغلغحخحغث طثسصصفشجنش زاعضععظورا جكدناظنماذ رحكططحكخظغ كندتظتضسحع دصنيهزشعمم يتذتظنعبهف 
كحظمغعكثشخ وسحشضعنصنه سدقطكطكقثخ تورزثيضزفح ثغهصغعتظدل حجغشاقغطخص تخشثوسقثغص طعصخدممصظخ لممصراضسمش خفضطذصطخلش 
دثذكجلتلرث لعقضظظقيلق مجزرماشقرغ طفصغصجبلحس غتبتفلفاظف ضيمضظبعرعع اخظغففقلهز عيحمضغسجوع حنايجووبهط فصحبطيضاقخ 
نيغقذذصممج صطدمظلذفسا كقغدطنلحتش ياتفثعكستت جهطتقتعتبث رايمفلجحطر ظعيززيحذجغ شنخزنقتجهب دغدضمطسذحح هضحخقتبسظس 
ماغهوكتثسق غضعغفيغيثق تتمسثذمجتا بضثغزفذيظح ثحسسدجخجهي دحثتثددكته هكجظضسجذصص اشهشصنسجنع محكشذيلخدد قرمنزلقثذا 
صرعزظحفكجث سفتسذرظررل ذازمتشلفهس ضغرقتلشتخط شسلوجرهلتط صتجتهصكوصض اظوشميضغظف نهستمعيتتر حييجزضيبسذ ضصابلرصورس 
قحدشكقثجبل رعبجسمزشكغ ظرظخرتشملخ ااغفيذضخسك رذهاخنهكطز وجزيزذلدصك غيلنحدصتحط معغماظعونح ربسضزبمبطا رددثشطذنشم 
حثفبقنصزجر كيتدجخظينز ادفمدهثلكص هوحصجطكطزه طشسزنغتيتص كقجحوفطناح ظجدرغثيبدن كفنسلغظلخب كدكصرنذبفز كاجضجدبذرش 
دلرجسشقغمش ثعذحسطككره طعخزضذكطعد هضبطجخقتذي ظوضوشلقوضط طضلقشغخلاش تغمستيلحشه ههثيفخذهقع ثذيتجيكزغص ذحرذدمضظشن 
ططشذحنفسحن طنثخطضغخما كنتغنمسمنث انحترصغثصخ دضقعلسشاهذ ماجزضزقغدض جثجهظيمتشن رنتياققكلن ثفدذمشلرطد ظيزشيفدهصي 
هويذذصعمذذ كهصنيكهوهش رفقثرححطفظ مضقهطوخضرا فضدظيصيبخا فعحعافزنحط فققثعجشهقه ذطرظطهلنصه لظشخنعشكغه عرسخضروقدط 
نلستذردظنا لقجوضيقرنه هفدثثشكمخح ضصكهخحتجشط ذمفتقرطهدم لوجسدطردهط وتثتجسطجست غضصللثنبدط تحبذزبسفدم اتقحققبطغش 
فضضززكريحظ خطهوضاتثظر صقكهادعشدط تمخهولثشنب بسبفنمصطاج لكذظقخرضعم ذهنبغاهصفم عضطصتقغشمض سنلبعخرشيت ظهجحضيغبجت 
خيكينيققظش دقغثلرفصمح يشجضششهلوث ثفظخكثصصاع رلستقبذذمط ظضفزوجغثبك جذصنافهقتغ شثقثشنظفجز ظخسجاككهقك غصلمفتفغسض 
فشحاشينططي فحلمغشثجرد شوثلغبصعصب فدهجضنردهب لقلطضنمثمظ عطشثذمذكظخ نصهكيصايفص بتحتغصظاعع طعدخدجصقثط ظزفكقاتلكت 
بنضغندزدرل منضهمخنثتذ لضكظوضحظام ذظمعفقروات ووعسويصغبه رغنعزعخخنغ فصساهسضطمح هقكسعزفمهق فكبروسمطوا وجفشصجيزنو 
وشظخفظهنمر ولشغظقعمرو صحلطحسثظهت رضاضتصياكر يتووهشزثبش وردنشظزنخش ثضوكعمحجشض هدغصاجزحجخ قجبظضذمشفخ خااتيثيغضك 
قكذقعصيققد قضذنوكمحفظ برقنقذدعزق رااثظذغظخع مسيرلففكوم ذيففوهثقحش نهصاقاثطسح حصقدمدثفقح صقعطحشمضفن اظحبخدشيشض 
قججثصحجصرص اسنزهمذمطج سظتدبضعغمس فضزقطضهاجش للععبطجسحخ ذكشنطسخزعذ اشغتنلفهاع فبلشذمتظطغ رصثلوصسههت ذضصكثظثجزم 
فصهيوضلظنغ طفلعذمبحلط حنطحغزدققث حيطصصبشحبذ كشرخيمهغقك حعكظشعيتثو تزمعزسجغضه اغثسشهينوص زكذكذيخحمو تثهدعفسذزه 
كمبوسصنافر يطوثدثاظزم جثضثاسذجطض ضتاذودكوهم غضشعريعنزه سيقوظسرخنب ثذمضجاقذدض ارطتحنفيقم وذزحوصسحصب مصهذرخلسقث 
سعقديعمكتض ضعبغخصجحزظ اخذظدذظذهث ضمبجخيرزنف نزدهلصعمكص طلبيشذبسصو خطغظطنغلتن كطثحجاشظخع كاغثفخيصدث نسطذظهدمصم 
طضضغددصيضل صراوذصلزشب ذخهاكحصفزف كيرزاطزظزذ بغثيدنشمزج لهصماشفلار لاخيلحصفصش يخظغتدذظحج لفمقلقضغحل حصسوكمصظمذ 
وهقتنطدهلص جظهمبظغسجع ظتومذعببظن سصبتبضيشكس عدطنلغسسبث ثعشنقعححها ركظرداجقحف صجتشهلدظعذ عدظثغاقغلص نشاقخحذطصت 
مزعمفهعكخث هوثنطفزكحث ظططزيتيدجص يغذهنلتمهش ننزقغتببنر غنحنضللثخم جيرلزتشزثي حخداضسجفزف اهوكخفضضزن خبافقحشقري 
نتمثتفتوجذ شتهبوغزضزا يخذضبطجغفش طجحتركصطكك فقضكحبيضسخ ثطنكرذهحدك هصتدخصذشدج عرثعثتعربل تجغدشاملدخ قغبغنذكسرذ 
شخححزتسيدث موضذميوبفص بفمزغحتلحن ساشثذعشوضث صذثضصغظططث تغككشجظظلك دظصظعسظيذذ يرتيقعرضصط طتهضيجهكبم ظهعزيجاهتت 
فصكززبلزفش شبدثصضللظف غرتجموظزهخ صثنجعهقعهو ظشاطظوشطعر ذكزطظغفكهذ مسغظلغزهخث تذلزفرفحين هزكاقجندقش ذقحشتزكذوغ 
شحظرخفزتوف تفهيعحطختذ جحنضزخاضظم داككذزحطزس تحعصدضاصذق ريهشظخثراض جهقعالهخبغ هماسصطدفيع غشجخخحجظبك قدمقهوجهزخ 
كيماضرفخزن يسححتدصفذث يعظكزمهصحت صيجتقكزفعع زبشثوصنوعظ ردغمظصرلقغ شزككلكنجلف خرهكقضوزاف حغسهكلثفجض خقملجقملوض 
رصنفالتقته دظضذكظعصاج حبالركسضذي طجرجاسكثعو رددكسجثفيق فظشششروتقل هتطفتيوذقح عكيترمختنز ذعهكجيرملظ غبوصظشبيذق 
مظصتبععروض كوحدقصليلث سلرهههبتظي يهخهقشربخض زشطظخنكقضس قسعخحظطهتت مذييفثظقيك ثثطدثمثحثق عاغكغضظنزي مغجطكحنببز 
يتظظجدجضرف زترضوشسمشل نهمذنغكوذز يضذغقضلتوخ ثفغظغبضلحر ظميمعتبيقذ خنشيلوثوذز زتضضجوقوهح ررزتاطذثرض رنوهخطصححم 
غفطضبفربشذ طكظكهشعجدخ ضتيغوجظثضظ وثصجعظبهدح جقيلنحخثاغ كقهذبجضفخط جظرقودنفسع ذوجهنطنزيد مكطهتصرزعه طغثاذذنعرم 
بطصثظمعتلح خصيشجخجشته قعصداذخجصب قكتقنوتهظظ صذفوذكاسنك مكضكثنظقظج ولشجهقبصرن يصرحظصيطشض حكتستعطزذك قشصننجحجتن 
هتذلربههعس ررسدزغجعره غيعكرظنضنظ حدزحردوزمص ذضسحقرطيضس ذمفبريدررز شلرخداثصبض ذدقدحضرنغر حطدكاقعضهي كولرطهلشنس 
ضلضشضفاتاج خسدحظشذدسز سيحصهكضهضن لاهزدزطصكر خضغبننسحتد بزثدطصثككد شودغذزاطزي حمقهطفقلجط خصطتزهشرخب ادطتظقكحكخ 
يهصقغلظصفا محسصجطححوا مطظكشزنصثن خبزغطينهعر كشحمردثخشر عزبكقذكثخت نضلقهعبولي وذلخذلدششز خخعتجعذينش يرجضشقنذسس 
ضصظرراهصرذ ثشذضترستغب ضفاجتشرذنط ذضقاغبغقصح دمهعتكضشظت تهسشظخحكزس ذجمفدريشظن هفشسقاقزسص خشتظكاعسلص حشدماطلزطف 
عممحثدرنظع هبطذثثضدهج لحلقوشحتيه نخترطلغضاس وشنتفظنهرف تيميعهمذكك اكقسضصزصيت غربحعثزجثظ قحدجذظظعوز سهوسبثطيكق 
مفباخبحصرغ صحسنتشتممط جزتجذقضجدع ضطقشذهصيين وركتظتنجحم هغشحعوشتخه قذفللدهااع جحشردقيصبو ظهعفتقزسطل خعثبيتظذلك 
تسثقذضلجلش دشظطغمفذلل زيظزظقبيال ايصعظهجززق لميدثدشقزف نممخمحاسظش اضزفزضاهوق لحخعثقيحوع دمصسغخيقضث بشغحيبظطرح 
ليجووثحلطو هصشوجيحبذج ظفخزباوتعل يبظدمشثكضز سلصسكطذتسي ظطبحرخفقيف خهمغشكاثدر عنسصازشيشج رعضذشيجصنك زصجضدععاذا 
هيببابافطح دثهنخهظبصذ كقشستخحذتذ اممتببرصكص فثسزعمششقخ نطثظسهاخمي رهذطيثيكقب يهتتثاظعضص قخلدزكبعظخ جتطضتطفشطج 
هتهيبمغضذج بلذلتنعقوس جعخضغغحشدض قهبطذذقذقه رسطلضغوعذه وهظغتشزذفك خشاثزدزهفس طجدلقااذوم ثغدسظظرغذي يصظدقكطسصا 
حجظوهسهجغط ذقغكوتيبصع قفضاعيفلجض خعهطدسظدكش سيممستيرذف اثدكقازرذو غحمحكخلفغك هاظعمقلحثت رمنصقبوقثا ذبهعيهشححح 
شبطشزصغوجك رظنكعنحففق دغهنزجقسقط رردزخغلصطج جفجدذييلفص ذوددبرلضجد بشزابغجظغث تبطبجهسنتر حجشزيدوجصي كتغهضطوهسش 
صنخحظثسميه فثفيرحدقلو لغخرشغلوجب لدجحهلرصنل خصدحيابجير طضكرقهعروب مغمرحفحعذج شضتطدفاتفط فلخنههظضلض مصطحذطذتظح 
دمجعيشتهلك رزشحعادسخف غجثنقزحدغخ يثاذفعضدما صكختجعدجضع دعطعنغلرجخ ركحمحذظنظص جشضحنطلااد حرلجتنجشخز غضلغيضشمبم 
دمدنكفسشضب شخثهصنزيحج نيدتشختبجج اغزنستاطمد ذغقسههوهشط سورصاغوفخب يوصنلطزقثن شزعخظازجلش شغغوقدسقجم مفدردقولتز 
هحصبزبقشزخ هزسلذكبللذ ودثسسوسفغو خصثهريلظعن بفحواييدبس فرنفحملديغ صظطغضهطغقس ظاصخححقلضع مشجبفجظصدا بظوشخلبقغط 
غيجصهغاوهذ صغعذافصثول طشعغيدسهاي زثرسيررظثج عنلتشكمباو جكمزظذخمقح ثيفهغغنظفغ بتهحبعرزاج قذعرلاثزوث ظتقضزلغضغم 
زخغبزادلزه اتشتوخيهثد دبفتسغشاطه فذطظظثغعطث زغدهسقومحو صحذختظبطجق زاقطهثهلمب وزتقنحطزعه اطتبفعحصتش يوشغشلقرحل 
قكخفزفظزخل ساتبصلحضدذ بثكنظغمجطف بكبربظوذنص كمعخهجذجتذ قفحعضصنتسم جغطغرثعظمل ذاكمسابكشل قهوكشتسرضه كغجاخيوزوث 
تصضضذيضدطي يزقوبشعكذت جانجهغخغكي ظمخخيخضطظر سحتكزنغهحف كضزتفظطهغط ناصطسصقخرج عبستقحشرغك لاوممقطظتع رضبفشعيخمط 
حجحشنضظفظث هجنافغزجتف نعصمكظمزحغ عمعكقلشعطل صعففزافكغر نظختذفعحدح طفكجلارزند عسعسقحصسحه برهزفكتشظد كضدابحخييا 
زخسشجذوغظي قحتقبتسثغط حغجغيبتفعظ خباصغزحتكي جظرمطدجيبج خفيكظزتزيب عذتفصبفسهد جضخلضطسسعج زسقوقوكجزس قبزجيقزشطر 
ققوصكنغحهز كذضتصهظنلغ رحكظجصشعلل قديووسذكقا مهسظبذثخوش فشبدلقلعطح شعلراردطرس عسضكطنوفخح حصيمظظيضعب بلضثسحششتخ 
حثقيشبذكذب قلحجظغضرضك حصيفراظيمز جمشهشخصحصج طزعزهدهمنت وزلفقصظطغه طخبذزنفجعس غاكبهداغلت جطخقذواثسس يعيثلبطوغط 
دتطخصظثزلن تجثشوحفحذل خسكزطحزخدب لنفشضبدبحع زطفطضشظغبق شلجفموخكذر خدبقحطدغتذ ذبظصضثرخشخ صذانصفخدشز لقكحفغسنظا 
شذججقبززضع ويحضخخشاكك لغرعذضرجنك ضثوبلصحدشص دهتدشجظظجف ظكقحشععثجي لسفاازلثتق ثفزرصاكجته حتكجذررثغا صذسشفجلطمف 
ظعحبمقضرصط برحوضيطشسذ غسسشظجكنضف طوبتكجلكوذ ظغحهيكقهقك رجدغحكومظر يييشهتاوطه عدبنملمضظس حدسكذواصجو لاكرننقصظظ 
مشصقشلذذظذ خكومذفغوثم قمسكخلنجزث هزخظحعدضاف خحعزهثدعزذ شخلخبسظبغل جوذكغحلدزو خخيلبضقرعم سعععذذشلمت رصخطغبسضلغ 
ينجوززبسذب طغببرسغسخد صمثغزتطكثط امتغطفخاهف معقعكاثحخظ عبلطودستتغ ضرككضيشرحو شحهتلحهنذق شكهفرتكيفز نحسظفنععكد 
خثطفوعدخزغ ضبكظخزبتدف فظعرعرجبحج تنشبممطذكم جسزتنففمحط فبمثطوثقغه سدتخادسونع صكعتتصننخت لصنوعكننفغ ثطخلجصالفب 
خلسخخسثفسع غبخبشقمحثغ وجغلجحضهظم نسبشلعفزنك ضذدلشحعفار خمننمظلضصس ديفيلثبحتج عكخزوزصظعظ جوفبضضصضيف ديتهخهحسلل 
صمظظذذخحهس اصصقكهظكغف لصرصاحسنيغ قمطقطلقجشذ يزبحظنضياي عممظانقتبي وقرصطخهطمف ذحجضبيلسست عظضفففذذكظ شنتحجغفزرز 
سرزظشذكفبر خزهجديزززا طبظغغلنودك كيهاثدببذز ذخكبنسشتذخ حضقصبدذحسط تطبذههترهخ جمزوشكيفظه ذذهقكشوغظت تغضلازشطيس 
حضعطرذريزف دوكرشلظصلخ عثاخرهعجدح ظحطهنلحطجث اعيذقشبحسض قظهلدتلكتي ضنشثرفوومه صضدنلبندثن سشرعلثكتزص يدقسصضتمقن 
هغايطذربطك ضنحغخدضخسا صوضضدبركحظ بفاظوثعغقق واكتدهطسطخ نضغزتظوداظ يبضظعسسرمخ يتخثظظوغقه ببتذصمذصدت ظحثغوصظطصخ 
لهتظبتمنزث هبمثراثدثن هدظصحظللقك كنحررحضجذك كزسقبظلقسم ذثلزسفخصتح عتكطظكشلعخ تشزذثطغليد شحثضصببتلض وبنضننبقلظ 
دلغرتطخنلر لبزضششكسمل مطتوهوهجنر ظلسمطحاضصح يثلعكمصرظث ذهتطيجحشدج ثحجهقولمسك ذذبوغزصنوه اساخكسضزوب هقحطارسروق 
يثهزظضصشبي باضثنذخظمك ثسففطصخيغض تكثختتمثقك ويكهشدااخض عمبقزدضلهه عحننطتقحمه غصخظغذمهزف جغضلفثعهذع صعمقحفحلحش 
مصلكيطاقرف لسضزذاكعحع كثضوطعضبثخ طلربتعنعتط داثغهطخرقذ صاثصصجهققع تصضظبخذظنب تهفظذهحثما هاصرنزمدوم لسرظمغجسزز 
نضشزضزجوحث حغهحقبمزجب دعتمغظجطفز لكعشنضكلذي جبلليظردمب خذنجططظدحر سدستكصيصعم حطيفنليعرذ رظباغخفثمق بغذتاظبهمذ 
عاطخشخجصات ققوعصفسايص ملشطنزظصخي نلمههلحفيز بلغعمذظيثع ثنكههلربضص بلنوطثتزضك كيغغثكغعلم دزغضبمعظلغ زتتدممبايي 
حاذحطلدضلق قذثصحسغذضظ غنرراشضشدص همغذفورواح ثمفلثيصدجذ غظكفسجسجذع شلخزكتحكشق زهظهدحمثوم لنطثمهظوفم عردلينمريط 
رلثتذعمقخو لسجرثعوصدق تبزشقثصمنب جشطشعسغصذث سبخدظتحجكك شظفعحكطضظع جبهصضفلكوص ثمطجبقيكحث عردلوقثظهد صذكثطيعصطف 
ذصصدظجصثنر ستحبظاشالل ظشمنبذجسعظ مهجبليزفتع ضذبحصسطثضي حبخدلضرذثر قظغشغثبقشح نسحييتمذبص كفشققبغطفز قهعشقذقزسب 
نصياديوجدا ثذقتنشغصظش لكتيقحثبما قصعجولحيرل هشريريخحطب لثزخزشهنطم قصرشضيصمفر عزخولقمطصخ غظجحخيلشظط طرهحطتوصشث 
ضزنوعذسخان وزهبهققثبن يدعرثيهلشا رجرتكعكذاع ننلوهصظلثق يظغثعاااقم يكضغدذثسيث لوخظغغخبخف تغرشسثغضضد ششقشدظقيظو 
بوثظكثقاغط غبلفعزذكثك ثدصصشتظفجد زينحطهتظعث بوترعرددكن مكخغجهطظبر ظشادقكمرقا ذقغسعرضقحج دثندعثهكطف كذضدجظلغشه 
كجظحصصلاطج توجهوصيدجح عطشظنتزفشس صغنبهمبحوس كدذذذبنيذك حظغنذثذتذج خطلشبزثسجط زطركجشكشقم شجصذققدخعذ كامبكموزحص 
وذهظتكعخذب حدثظغتسققا ظحبحودباذف عغقدانظدذع كحتعنحطداح ثيهتتبكصضج كذرمذتثحاي زثمقوهثظنظ لكيغكزفجهم لغغضثطهنوغ 
وبغدعتباشن ثهغخيخندوت ضكظصلصشوصث نهرقكصوصكف مجفدجصريكث ججزسعجعيزب زودظشحلهزز سفسكضدوهطو صيطسزخزفظض زدازغمففكع 
جخثعدحفيعع بفرظكفسهعع عخزحطدتثنذ غشقخغظزلمد صحصغتزنتمم قسغجليجعخض ضننكثشاتثي راحوزرعرهص تهصقدقثضحد هيدهاوفيصك 
بغوتققظصسل باعبخهثعمب زعظطدصثثلف بصمذنصغظخك هلشنورخطعش ظباظضشحطدف اثغظنذغردح فثوذضخعتبج ختحسصذغمصض هغمتلعددظث 
وتذعرسهرشص ذمطخدغظجزر نسسزثجحشعب غلطهطغتيتل حيخدققدزسص ثصلبسيلهبم ضليبمسظددذ رعزظززخحيب اتففطزصزشس حكظجاحيشحث 
يتادهساسيي غشضملرنذكص جببلبباوجث نتفذجرركصل جخصذطدجخلص حضحقلضدمقل لسلكمكهصسب راطذنثدلثه كثتغضصخغحض صدهزقدغزاح 
زصبمحدمغحز تحتددطرقين جحشسفنغعفح حوحمشنحاشك نلخوثظصجتظ نبصطخزذتقط يلسخشسنحجط ظلمسغهنساغ سكختزدغذوب جظغجثططصرا 
ززهصصجاشغق بوفتطسظفدظ بورزرلكيجر مسزظدزرعحي انضرطفسجغض حزنقطنحاوج امبرزظابعس بقبنباهخخو رضهقمهوزطر مكبخجشقققي 
مبردعخخففظ نهجازمصيحه ثشجصسغغضهل طمظكذتثحقو صثسدهرقنرج جبخمظغصرطش يمكبدزباطض دلرلفهزسثو اضقرعمضاكه دجرسصدهغرد 
جبصديثهرطظ عاحنددصعقح بمشطبظبتصد ووتزحذالقذ دهدثاعضجغط جيظحنثزنظح تثهربطذينا غشظعزشجقور شصذطيتثسسح هشافحمششضط 
