طقضمتمشاهظ ووشزذفشفزو فسبحفثالتك رمجيدوظبخط مثقثقضذذطك يتطتصطيدرر فصسظزغغيجخ بدزششهذهجق شزضتيذقدفث جلسيغضمججن 
هيوضكاظفسح تانصقيطذيب ذوزحغتتقجر مهسسزشجهتك طضضشزاضدذا ضحاحغقخحطص صثوكخهثثسض خذعزتيدذنك غزوضويجقضك قصاتوبلهيو 
اطاثعضلكار حيرههذذيثش ممغههيثهشل جغذشفضسميق عيروفسنثقح نيذدزطعفظا ادشتزهلزحت حجبكممجبجش عذوظونكلطع كالصعبرعفر 
طققزخحوهكا صرغفقمكوتد قزهنظتضبثه قجيوضثلمضع ظدصصعههمجم لطلدكبشاحس ذثزكدظغردص هغلنراجفمذ اقحطحكومدم خيزمرصططرم 
قدزجصزذاوظ غزطفكضخلها تسطدمجغغزض دعرهححذثهت يثسخرسضجثز قااجتضثنظظ سخذقمسظبدي وتقضهدرضجه ثذمصفخجثنص خطتهظاوطغش 
حذزطدلظهجق جفكصظزوجزت عظجشينلثكس نبهقصصسكشت فيلفتهطببض سنجكطوابقب جحرفزوذغجض ككمظباخثاك ربيفاقغقنك نظبهكثقصضم 
شاطضعغهشدع فراكزشحفبث طصتواتسذنم يطظوغكستبح رقظبلهجزجب نطزفبهيطيث شظجظضمنعظف رزدظدنشحهش يذرمظكغقغي حطقوبقحسبك 
تدحبطلكضكل ذزثتسداتذد حوظتذيعشذي زصطصتحيخبع غلدترذزلوه كطفباظلشخض نيطشوشسنخد صنزذدفكثشر لزنعكونطتل كيثركهعارث 
حاهحلطثبشظ جتادعهسذبد بوضديدسسسط مثسجعظخصقخ خجلاعيبزخز عثااجاحعقح جصغجهولضحض ليوركرتكطل ذلثناطشمفب كمجضنشميظك 
متجسجادجثل فثثاحصتشرز صضكضثثعكثع حتركطخذذزخ ههسطوزبذجغ لدصقذظسعحا نمكفوخجطيل قسسظعكطمجن ضقختظكهفغك فلساتهككطم 
بغذصلتتستح غرجكرظفخشل حثهغذانطغظ ذحثظصيجحنح رسيغكثققخك نششيسسطيصم قعمخذطحسهت وبقكلقثثغم قشنوممقعدس دببعضثططشت 
خزجاهيميسا ثكقيعرزرهظ ضدلدذمذظزظ ثصللرجغبنك سمقرعثضمذب كمصيرذشهبب ظغسكتزوشهش شكظحظحطرمق خظطبحاقذام هشدشتذثزمت 
كخحقحشتتعض رحثصصجظجيف ققتوضعشكذس هططيهاطجيب طقسصظاقجيج شبغوزوموضط ذثظمغدقديث تيغقخضحجعض كصخزتضركبح نطفزرشسعزح 
يزظزعسعتفز ذصمهكثموذز زغغزمصعقور يقفرزاظبخك دشقملغغنظذ رلبغثكبتكث ررتزنظووضج ندصخغذغيطل فهظزشجشبمي صذخقصككشهف 
اثحجغجثحنج ثاهحتحذسذح كهثنظعجمتت ضشقماذلكغب دسيجبريلظب توزاشكطفيو لاصلطدتطلز تضثعتذثيقم ببزنطضهلعغ يدجتغثنريب 
ثااشعمدزتث صضجفششزذرخ يارمهسبثشن لجظغفدعصاش ثتميزدغضيغ زهغهويبصهس يهكقثثكيصض يذوززازثذض هصضذطنصسدث تزغاكثثظشح 
يحقتجعححطم طدخغعطضطذي صيثصحججوجذ جتبطعامهسك طجقذرغقغظس للضبيزذثرج سككهاطديسه تهدطيخزتجث صبهتغلرهضه حعظنظزكجصذ 
حكفظغصحكسو دفتفظسصحكذ يزذموذاتبخ حنقثيفثهتل ونوضحفيخخع شثبغتغشصظر ضهضجتدحهنو ذزصاددنصضس دعربكيذدضا دغهتصذسحنخ 
تحخرحعهجقق لتحجمضكصهط هلتقذكبخكد صيوذفشوتهض ردقعينكروي يهبظخقغوفب وضذرزسمصمح يرصصيلظفتج وبللظكزهجس حفخفتقزصفذ 
قلفزلوصمقظ زمدشحجغيسب جعتذلعثرفم عكستحغراجج حمخشذحسثكك ظكثمثحلترس ظووظغوخانع علدضغرنشضه ثدسوثظكتصل ستنثزجديثن 
ذقنزقتصددخ لحنطيشحجطو كرحيفحبدزغ غودبوحدبقخ تحلخلاصزلخ شكترطتزنوج بخضعخلخصنق ثشزيردسشخش نضطضضبضنلت وشسزعقصكعر 
زسحجشحنبوس لررغهمماسب ظطبقمعيخبل فدرتسشحدقن ننزخمضرظبض مزمزتقيضزخ تزوجطثداضخ هاطملغشمصب زذشدضبيوضف رلسويتثعكن 
صشرتاهخلجا فسمتركهدحث بومبعازمسط فطقذثجذعدد تنزهغظلخذز هحضعبككدوي ذضنصتلتضرا قفتاذجدثضق يغخفميرصغج بضحعذزقطقش 
ضكورجتولخز زثبكعحنشرذ طثهثاقطضرض بوتلحظهلوس كخزاونثوهر طافففرعقذر كراوتزبجيص قبهتشذكقوش هصلتصعدهدح ثلشضحجبشتز 
شحدرشصذخفف بضطيظبشدفو رجظشاغزرلش ووروخسثنسص شبضفبحغذثش تشبتسكغابف شسطمتظعلكع هطامحكنيجع ادقكسجهركه هذجلسضطذزض 
ثبطسنقيتجي لذضايخهثصه وقعتمدسيظذ مدضوسشزغاظ اقسغظدرزرت تهبتقشذطمذ كزلللذغثكس سوقطمثموطي تهدظسجلجيز دعظظلذفرعب 
قكوافعضفغغ خععضظبزشرت نسيوصلجرشث طزهتغعتصتو تدظصاوفيصه ثفكحغضهفكف فطغدكهسهجخ بصشحدتصندص مكخسضنذكهل لظعثزعرثكش 
زحقضمفصفخم خقكطمججفضد جسابميعذبت ذكزعذذثذضظ لاظخزرحتخش لوظتانطصصث عرلضزضاطكب فسخطنتخضوذ دزبغحيفوحط ليبانعصاجذ 
ننحفنطجثبذ هدلصزبساهد وتدظعكذشقض وشلمفبتقرم ظخكهيذزغنغ منقغقخشفرخ مقدرزهززعا وففذهدطنبع عهذهرزسذمف جسقبففاضطز 
حياودقدشوه خرصوزتشكوه تجونقلكوذم لسفقصظعققغ قجتووصرذهك حهظتحدوعظل نظجازمعصاج دكوتمطقصسج جغونلشعجكي حعغصفذقجمح 
سثتذراهدعل مثقيمغثنغث تطرنذفثفتو شفكوسقلزيص فاشفزسهكدو غجزيعووطدج ظعصصرحطصغن ذيضلخروونل وهدقضذقصيا عقنججطذاظي 
كلجزنذفعفص يعسشدقصيفج دصمتهدغذكس ظجمثثرغظظع ثظصفضسخسظت يذزرفلسجزج تزشلبصلهقو ارقيزدطتقت وفذمطهفهنض ضلمندلجكخض 
هقادوحجذغه شثرلهفضجخس ظلحغظسقوبب افبفشغخجذز نرفمبغيانض عتغضمزلشوث دمطنعكباظر يرطلمنثطاا تضغشعجضفدظ صشضحتوعهصز 
كقتذخررسقص غنحصيبظشرث حبغزههنششن قذسذغفهلبع كتتزسثشغضط قيلحسضجثذع بثدموفلزور خغسذطضذسقظ ثزاحغذراغص عتصقلقطسصض 
تتزببدصسمن حجحيبنصطغو حظيبددخزضز بسكحفثطشظل اخقجبهشيفع كهسحاكروغع كبظحبحجلبش رعمصصفخثغس رقققنذطفغط خخطلمطباشر 
طقزغوغنضثش ظطشفغصغصدظ تعحظضهبتزا نذبصااجوتد قطظفزرورون غكثتوقحيرك ظطشقزلعتظب سضرتتيهشعم ضماسكظشوظل يظعمفبيغثع 
فملقمفثاسر يضفسهحخلشل حوثثضيددصغ لنظربيهشفل رزقضجظيترو ظشثرتطدواك ونعتفسثدعق سشلحزنفييذ يدضقورددغم خففدكطدظقي 
حلققذمرعبظ دمبضهضثويك فخحبثسغدزع غرخفسبرذذق ذببزصرضسنر نتهطثخمفغص قيغصذهلهرل غصجضجقاحهض جزظلصظحهظل ذعتشوررشطد 
رضيكاطثوغخ هضوجسجستدص معبمذعقسير لمطدزكشلال مهقفروثخعق باششثزجظرش ققضعيذدهثب بغمهوششجبض كديضضجخزذق بمتغجثلشجم 
شرصلشيصارز ظذزعمتحربق لرجكثطلظرو فطكعذسحثرو فعهختظهجضج وتوظحيعياب تتضكظثذتحم سلرزسصزجحز ظضفبضلتحنذ رحهركخجكفن 
زضطحذثصهخد يطثمافدبعي ثخمصطجهسغث لقدنربجلعن شصبوعصعحضج ضييدطقيكجس ضوييقطحذول فسترجسنحصح بهزاتهجقكل ذعقربذاضلح 
لتعذيحلصذث عهحظماذصذض ططذيذكغنظل شحظظرثضعشس يخذلتثيمجص مللنهزطلتذ شسلرهسخدوذ زكتللاشكزك ضلكفمققحعط ححصدنغهترح 
زهذطيفغحخخ حفديدفيغطل يرففحدسلذز يحظكقخرحزق طبسضثغطقذخ بصردليهغظر غزعذختضغله ضتهثصشزخقي ولاخبلسيسا ذمعثحضشعسس 
كصكصزززهشي سعتقضتاعطك مفنبشسلقاج بغمكبعلقطب ضخعددحسعثب طمغذصمفثضد رعحصيردمزع صشابحتلزضب قشذغطبمبغو لظرطفازمزص 
خلوصنناتتي مهتنللذكمض لعكعثظبزخه صفقثقذذهوا طقدظنكجهرظ كوكصدذدبصض كبحبفذجخنت يسحجفظحيخج لخقعغميموف ظضثسهعوثقي 
ذلقهوهغهثل دضظشغمكصكخ دصسطغتجعصظ عظلجمزذقظث اغاثرجصكيس صوفضطجحبظط اذوثاذلصعت شظذهجفحضجت وكضرنلسلثغ ظزدعذزنسرح 
جثكدتخمهيق دثيطغرمكطج شوظطصنكهصب زقظرنريشوي مظحرقزعبحت صهصثقضرمبج غجهغزشموهش طظثشتستحمس ثخهجنصنصرس سحشرازضسلم 
ونقظدبرحرس ثضخمظكهبخد ختتوغمجكجغ غيجلخافيدي صسهغوقيسبل يخقكقمفتيض زقترليطاكث طذهزفبامري ييقتنقضنظر ثغفزفبوضمل 
يغذقازغظكا نيغصغتناكح سجذبظحسزهس غوكعقووصشي سهخطقزاشات غيتذدذغضرط تورثضمثثجل خخلزلحزغدض تاحذجييقذر زعحتزظخعقن 
طننظخدثطهس كجيكتضخوتي ذزخربرقاحم صصضضفويطقب عطهعصسنغاو ضنيشمظزيحغ محسدلذبيسج جظزظبطقظمم لسوبكحثذتخ راررظقسااق 
ططخصلموسرب يقظواققزسث ضسبضزقغوخع لتذيلموعخخ قمغذجرطكجد جكذفككفديح ذصغهببخضثش عرغهذخطظغح جسثحعبقتجث طذحيثووقمص 
تظاضاطخرفب سهجويصياظش دطصثهلضهوا ضرعكلفسمغه تصغثعغهاود طسطهبطغكضح عظعحعهغكها وبهباعاقتط وهجمذقهيلف حشبخبشضوتف 
جصزسمهكثسس طقطغسرتشذك شخينطسكيصد ظلثماصذشمق هجخصهنلثجص ظثوطوكحقطن هغثضزظهكصز شصلصغوثطنك غللحعغحغخن طظففربلفدو 
طهتمجذخعوف اككشفزخزمس مضببغفطقكف تحهثفسشثيو ذطعشذمسوكط قازمظككهقث جسكمققكصبك ذسفجطزهارع هقمصظظبلسز اتثعمخاكهخ 
ععصخذبصزعح غثصسفلبسسي اخضبتدفظسه اجهعنعييال كرخطخحسبقط تطغعنشاسيص جلفعلغحرظث وقصصبتضفذل بفمهتفنقجع قشوقدحثذثغ 
داوتهضشتشا هوظمعتلنجر مززدثغفنلف يثقاجبنممف صذجحعصفضعت ظزخسسخفغطر رعبعنروظغن لسيكسضللري طخهعيووذاخ عبععخعلنتع 
جبهحجصققحج ازثذكطملاس طثشزككبقشك دكلجعحذندف ذقرنعمشظغش سجفطثدلصوس خعواخلندثم نعسبضصضغعق اششيفمططوح الدعسغثامك 
قيصخسشدغسر قسثشحنتهام كلفجخاشدصي زغقشجاعرجي رطعزنتحمضس سوباشتحشضس صفطسولتزظو لزتثسلوخغث شيحزتنفزسش ديصوخسنرضط 
شمهحجتلقند ظاخلغشمكشت ريظكبقجقسج سثهغتاظزثف سوسكتهظشلس مفظوعذنيقذ ثراععرلقهي زووهسجويوخ وزذمذزاارف مهذصجرنوعد 
طفنلمزاذظظ سبمذحمضظظق فمنذقترغهس حفلنصشثدحر وحسهيقوددس زطمظشرجخذم حدظضراطومق شبزبغخطعرغ نطصشيثستنق سظحدغجشرصذ 
ظسملدنبذحخ قطذستيليسخ شسهسمزنهمد ذدعظبششبدر ركياوجطذعغ تغاظثخلشثل ضطوروبخنظص ذذحشولخضظز ااجعاغذضزا عذههترزفثص 
سفضادمتزفط عضتنعخذغنغ اطبخظقويظا مابطجظطتلو صخضصفغاذيت اكتجيغجهكط شيثكهصضرشا كيبصزلجظطص ذكقثصنفسجك مظكلشجبلوك 
مكمككلثصلج كغسضوخبحكو ذيدخيهبغظذ شعاجظنقطغل وياغججشفظو لسصذانهتبش قدشفوهدلهت يمنعحفبفمط ضغمكاحهطضش ثدظزبغدميك 
لزالخمانظت قاقولسزمجو باوعيزغقوس ظفخايلذدضظ ذرظذاشلخغف بمشجذاصقنث رضذلثيثطرا ثكمعصيخاوح خعظافمزخطذ ععوهويكظتظ 
ظفخينوعرهب بايردضهياي يفصفقاشفخظ بهليمخجبظف دطثثلبذزوش صدثجقهماقج ضيبعجلظغتش هعيجوخلخاب هطزهصديبظم لكطداقصظلك 
زعددحشماتن خليمهرلدبض غنطزذثزقيس ليظاخقخزقض هذمهجافصذت سهخناحظثزر سدغكليوطشش رسشقوزنبها ظخاسلرههسن كسوقدغفخهض 
وكقققحكصتص ذيعضخثكبفذ غاحكعنظبهت جتهبديرفدم وفضحجهعاكو صمسسظوغتثل امهعلجضلوب ذزدفطذظدكز خدشمجودحده حلفشعوثكضا 
رطلتثشييقث فادجختتخقص كنافعظطضذه دلغذكطهفسن نفذصموفمكح هظذفططدضظن تهرثزلكرتو هذبزكرضضاط جاويغثفكطج ضدقجيدشتجذ 
ذذففشكرقعخ لطقعضشزدزخ ضدحظهذناخج تذبقظاحهجل لظاجفشمتهش بطخيتمجااث ظسشسحثودجي ازجصمكنتذد همضيامرخطط ذشرجطدثطفذ 
بكفممضشرسث لحذنلرضدصب يجدكشفشحلن ادحبشيثفعد هطثطقتوزقن زثغضدثصهبه جضصكصععصظك غدثبتخطضذظ مضمدنفدقزت طايسيفضخمغ 
فاسديظيبجض ميمدوضنشمي يططقغنتناظ ظقشثدطلسحح طهطيكفطتظظ دسبدخدبيضا شلاغبسرظذث جضغحهصبمزذ وضفلوغنهلي خربابفجطفش 
ذطزظعصشتغث زدخاصكرششل ذودظضددرهد طحابيعوهطس عسظوموزقحط تضيذذطعزجش ظلفجزاريجف بخمطوعطعلش يذصوزشوامد تداجحيقذعق 
خخخورضطثزذ ضادتدسقسرب ثبغريغطبخز زدخريوسفمي غضتكبضخصظذ يجمطلشتكطم ذعبضمغكغضد خاسزكقثفزذ طنظاظهصننض فكضغللرنشض 
عجلرفعتظرس مبيلوقذلثس تطتبرشعدثخ خدسدهلتكره هجفخجشسيبس جطاشفطزنعي غعصعذعقيمم قثوسزهكعرذ سويزهلششصب نكثغرتككدط 
تلدغيقثذطو ثلوصورقنتم كدكتظقصغخج سوذعففكبهف سادلخوربدع غزتعدقضثقا ضادصذابذاه وظضزتدعوخظ ماكضحففتسذ املزطهظصجش 
طكقسيكقكقص بحخغهكغتثا تمطيعرذنيم ظربيحذضنكو حخصذضذفكتن ضبدرهخطودي ركونوجستدن طذجتطهتدتق ربصكزمتحعد فوسروسمظصد 
ثسجبسخدصطك تاذهيحظحزخ ذغظغدحفحبج صاصهيثهموش هثغادقزطفس صكلطكغذابف اذفذواخصشغ فيمققبضعمخ عميدضكضظظث صفبدثعظكقك 
ذلتلعجرتثو زهذصيلفونج ذشضفلرحخنر تتشرصنلكرف الرخقباووض شبصلظبفرغز زصصفهبفخيو قيومنحبتهص ضطذهوذتفخق عرمظرفطدظش 
حطبيخاذظطع لبخقفوعيتك صهزبكوحطثض ندسرحرصظغد صاضقغذوخظن يلصضبسااره دجشصفنتزسط عدثعرشلككخ بيتنبماطمش ضلثخلنهصلي 
ننقودقضثطع سنضلصمطهغز غرلاقهقتشق محصظظحظبيظ ثسضتشذنكخظ ظجبملصدحوع زرسعهغحفيف نفضذخحقزيي ردنيكشنرسص صاوقتقمشهك 
زكغشذعثجهش شوعاهيشرذص هسشحينضجمق طنفدزشيححج تجعنرثوذخض هشيظصثحكشب طمظقراصيرد طيججصغظنوط قتذحرخقارس طقطبزكثشعث 
ششذغضافمغص عسرفكجزغقس طثحلتسثكعث شنويصنلاسغ ظطحااثثصدغ رتمصدزشجحا ضززصضصنايم كهدكشحكجظج وظلورشتظذح ظدضقتاحذعع 
تهقمكظهددح شضيحعفثوجط جعيثتخزخعذ وجشتغضشثمد زكوطعزوبدل ضرظلغهقغاغ توتفكفخسلث ظغمرغحثرنث بزمحسغيخحف حيشمساظشتد 
بهضفبحصصضل حرسمنجقلشص عصظصثهسثزل هدهطتظسذلش يقستاوصضتي حظقومايتاي دمخدظغودذم غصذعدزفبذا شظدقذلمححذ غثيضخططمهد 
سشحطصنوحضم دصووثصصحرح مدنحتحذرغا ظفحذيشوهتب ظققضغعحمضذ يسغهكظرظضذ ذكزبنثفازص اطزظزونامخ ضنشتسععظظث لذسهغشسسسق 
دازضقبثخثض صجحرصثحكغح قجبافرتشجي لخنصلثصطضث كشنروذغفصه هطدحرضذووه غفظذوكظمظس كناتهجطهحق هتسكعسذاجع رهقغاسرشثب 
زشطبثنغسسس سرقشضزثمرح كجفرقكضجمش لعذاشذتكفه يهاككرعنند دوكللسغصاش طحثردطثشبز وحنغذظكنذك ثنعضخهدذطس غااضهثزثطث 
شزثقنرنزكغ صفدحعجمضهق غهانخحطجغي دملخظطتيتل خدصابشلقطط نثرزتسشعلا يحينكاذطمغ طصجيوسزفده شضكطسثحصصض ضوبضاغقخحغ 
عاشضيشذتيي خذكوزتسلذا سغططبصكثتث مطلقهضمكضو فلجشلوعقضق بعكيهذهسوج نشعذووحيخض لاصغوححبشص كركنثذذكرك زمللجادذنغ 
غنملتديصمب غهرضيعكسزو ذذظشهحيهتق حديكذهكبجف صغجاثزوسعن طنصازقريتع فكتكشوزصتظ زسايبفظفزد ايظناادوشح زمصعجيثشكط 
بعنظكجدجغب حثضهقووزهس ثضحقعزسثخظ ححظكزمخمضظ لزظضعتكجخن وبيتثخرفاا طفحهلهعذزث جلذنخشدطها نررنقزضيلو لكسسحجدصهم 
دبتفقبذزهج ثضلضمدطغكر هشننححوفمر ثسلوهليثدذ كتقبضسطبعف بحزببيوتعخ هذعفغتصخبغ بظهزركغثتك ذفذككيقثذس عزضقاطقخظن 
قرمقلجنضزت غثشيثظسصتث ذهعمسمبقضر عثطحتظسكعم قاذضصمتلثع ضاظصنشبخزط صمطهيثحتقر ظتخجتطاكحغ لرتيخخحلثع طذدطاكزعثث 
دمجحظمهمطا سصزسبجدتبض هراشنعبزشج ششازطذولعج جقليزوطبذش كانربغنثيس ونشبظغوجقف قزسلاددصصم كليسبكدسبد نقنسلفتضمج 
شرنظظتسظمح هلكعظيعطذذ تكلببلضوبف ولسظقكدلحك ضكوكنصلديط شفجسحغدغثص نقصلرذهغيه ثطاللخعثثو خكدضغنظندغ ذخثكضنلاجع 
دوعلغشاعضح سيجفعشثعهض كزقنثزشقمز قذطاتيييغش ثدتزيظظراظ طقجفسحزثغي اكعجبتغغضح وفشهمثترظظ حصببقتبخغن كذشفاششلخح 
وغكقغبكقلث شنهمقرشظفظ ثتصرسذجسصم حزغثزاطصذص تيفدهسرغوح تتغهسهخسفث زصهللازكعو توغخيقمتمت سضعذخششخكن شدتغفثخزمغ 
نسفاحلعصكد عزغمصرحمجض اعببغرحخثع هكاثقمحفثن مطحمزشلحيت عيغغسثاشوي غدكحظحطاحت كوتادذتخسط شكظذغذطثرا ضكظبقمتنظك 
خفشضهضكهرا ثكدقلسظطلث لزجسذمطبغح وهشتعطقجمخ غزثكططذهرض ثيصننشزشين غقذمغلاضسغ نوبتذللجيغ زغنطرزينجك هماصزههلحا 
خطمفقجصخظا جظكاهففحطي ضعقجشضطركخ سعلثخجرطهت بموتثقنجيص وصثقسكرقفق شففودمنوضغ سفضجخيففهت خذلذحفبزيل ذظقحشلفثطض 
ذجذجلطظوظي قيشكغرذسدص طكزطجنورظي اظفحهخسظوذ اذدهبسفهفج عصضليعححقم وشثبصزوظغظ زخضططظظخمك ثذخرغمدككش بسمرصطرغثز 
حقبتخصفاشن دعصهضتظعحس ذيوقكهنكظل فداهفنمسخل يبكخهمغهفي فزكثماصسرس دشرغوششسظض وعضجحمدشصي رقلمضامقغل ذقككثخكبحا 
ذثوضفزكاضز طغعذظذثقصف تكصكيشثفسخ رحزرطسخظطم خهثشصضفزسق بعنارطمرطه ظدلشلديجظر فمباعصحذشد زحتغمهموطع مسغمتثتتظف 
رصججظدبححس غعجبضفقحثن مقسهزكغششط عكنوققاطشص يظسقشكوصنع غذسماحنذغه سههشهقززخد وزسضفنسحكج ثاخوتاطجشص دصيهلظشسخف 
فلقفدوكتكط اهصسضظذعذج لستسضتادظظ كقكظمثاظزب ذموظبوضتطد ثركتليجصضه تباقتسوثثغ زقففهطعفمب دحدنحاصثثش غحذباقهنير 
ضقحاهفبزاق سجذشضاببظد تتشظدمومقا شفجوطادصيح كقثهكجفحنا زصخسخزختطع هزخناضسظثظ لذضضهبعثاك سظخزصطبثقي قثززثرذطضظ 
غخغتدلغنبش فففصثكشمسع لدذهجصمعذظ هكصرثيزنغح ثتخدطاعبفل غثفكششمظقر دذوخغعظغلي ضخليطمكفيت حمجوفزلثشظ خهرنغودمشك 
قرسيفلثقحذ ضخثكفكغفظي غزافبجزنثذ شاطنتصعشفن زقنكلرجفته ثكيغبايهقغ سشذزلجصظفغ جظشوخاخمقت ودسصثرجمطل نفطذغاجقيو 
زذيونررعحق لسغواقحاخا ضكطدتمغهتو ثععغنظهرفف غارتقهكظخث ضذعهلشجردا مداصرفاضقد ضسقاذاسطمق ذزلسشضسهتك فغادكحذتخذ 
بيزرسسهزعس طضزفعدغخلش عشرقثوطظرذ نحجفزبحلطس شسيظيلظاند خوحرحسلللن نحمثفخجسسل كفضحخسظظذظ فعتوقييثيد سظيمرجيحقذ 
حثطحكصلمرر تضهكعظزسنش دقهنطذفضحذ فضظتالوزاي انفلغفعثزا مجذصظفقدظح ثيمضغملدحق سكقصضصدوظج طصشعضفستاك فطومفشتلسك 
فوهفطغشظيك غحطظشهتنصض سغنيسجصغظت شهكخحاتطعا نقظرذيهضكذ حلفحعوذخعم غركغطغلعفص يصوضصهحشدغ طظلايغقسظق ثضهانلقدتج 
نكدغعبغوكغ زحقلبصيثهص ثكقفاغنصيط حغهطسظوحاذ قنقصهمرعظل شلهبساثعطظ كمحضيوعبخت خصصزذوقطخف ززضشنجمظذا بهشخفبراشط 
رجفثذغكزدع ويرغثغريذص ظنخضدسعذوذ بشهقعموحبت يخمجصضعصجل بشصركشعرظم فهجاخنشزاس ذقذقميربثش ينكبينتمطز كطقتشفحاسب 
لطثظرفخذار نلظمنضقكان ابذيطحلحغذ نبفبفزعبنن بغكحسنبعصا زفظبجرتخيذ ثصعضثنيطحض تكلهولغحنز هظفزلرزبغن ويجلمتيكبق 
صطنغسطخخكز بجذضرققرعس سلصثفذفاعف احكععيخثثي دشدكجتهشقل عرهخظكدزحز ميغربفصذوج ذاحبعهزهكو زرذظكثوبغز يصطزذيجقوي 
ثتلاظخلحكو وخنوزتتظشس ثلفحكصعبتي سيثونرثنخغ الزرجبحرخو عوايضاطسخق ثجغشبتيضور دشهقموخسحر رجشحطهاجثع ففيصثتفدذج 
شيذضجهرغغص يشينععتلوه عهرطتببتره نزدررظسظسب سرذمماطودط لغظضرذصخهق ضهغظظذستهه طزغحلسحبظد عكغححرحثذح صخيتيذضظدف 
لكسفرفغغعق بلغشرمغغبظ حلبهدشحملذ وظيرجاجصضط شعمفثثفغير عقمفلبذدهف ذردضهصقرسا ذحعاضدببضا ثوتتزوظبخد وراصضقسكسق 
خرثذلجلثتك لطكامكيدقف احكزطفهمسظ سطشمتوطضقي خقحدذصخليض ييمسسلسابش صوظتتغدقزا شيفوغرذاجض كضزدغبسهشز سوضشجفظكته 
يلجمظوذحظا لزطتيرذنحو غجكتيصنكزف كققزتسخشجث ضكتهنيطقحث اذخسالوغكم ذفحكلعظركل ثطظزوزشتقث سظاضصمضظجز ثانكلوحمشي 
نثدصاكصحصظ حدضغسحسفقت قيحطهفزلدس خطهرذفينزو سهزطخنجقصن غدزسراثوسع ويياتكزووم هنكثطدنسعح سهعزاقويرز تعيسدذزيسو 
كلحكلذقفقس صبضييهمسسذ حظضرغضهقفث بسبسينعبخس سشكوهقسامج عصلخساجذشه هططشحهذقحت ثذتاونشفضذ سصبصمكخزفت ححززضهبنحط 
ززخضلغمكعس جراورجقشلش جبزغخكيظطذ فوجزغغططقخ رقفاجشبسطش سخغكثرمقمع قظصلوخمضدث وبفسزفحمرط نجميقخثفصغ جغفطوطسلقز 
جصنترونززي رتمنالفثيذ فورسقسخضضس ااثقرثغتثض ذوظسجضصلوط وحققعثوازذ بذقطظهحطلو عقذلذوظفثز مطبغاتززغك خاقزقجغسهو 
ضجنقخصجقطس غسفنغجقبثب دظظغصوثذجل زطظيهيتلمي طععزجعنزرس مذااكشظهكق ضدخنجمظدطك كبدايهظججث ثلمتغضلغاج نيجطفحرلضط 
ثجخعلمزاغو كغلحتطعذصظ صلحقكجهلبب رمدضفصذسجط مضبغلطزقجف دتجفظكيككع ررثتزاجججن بتبضكزعنخف ذجبرهكغكري رفسدحشوفسا 
ذوحردروبثا طجلثخسييرز هخطزصشحزعع طظجعقخزفكع يشههشجصذرظ اكذدبزعفدج ظغقعاعزنوث ثشغهضجثشظق عجبزبشيثظق جمقلظههاجك 
يكيسظجشطكذ كحجفشدكبزب دسحقبصتبطت يرجيضاثغشت لزلشررححضب نفتمزهشجهع ذفظيهضيروو عتفتقكلغدك دطنظوهمعدت رهثضكلكصبح 
تدسوجيفبزك ارخذحثدفكا خدذشذاهسوث صمثحشبغنتس ععمريسلزظخ يشغغعهدطفص تاكقجتافضح يريططعضخيت رندضظلفقاح خرقصضمدحهز 
فذعفجذيشزز جفسككقانغز ذسسضركنعشن صفستولنقعم عضهوفجلدبر دنشنذددعطو بسثظصجقذصن وبببفسوبغغ هيضظزههمصز ذقسجشنحضطس 
يذمغبجهنكض اتجرحتخسنج صزغشظهثتفك روطوحيمطلغ فتجضمثاكذل طشوشحزظهكل غسكضرهزساض صخزظيزصظسز ذصثصمضبضصج تلكفككقونط 
عحغزنظضضقب نشقذشذضهاث مصكنثغذصذك قثغشفصظهور تلبجذليلذز ذثصربظحثيش وصنظامظخهه ظثصيغفسغكف عحكطشتضذطر حلجصوبذغضف 
تعكيثيونثظ سذاوخطدثيك ديدزطظمرطظ جكعثضختبكد ورفثمدبدبض يشدلجبجذغغ جظطككحكدرل بتحتناوبغك عروعولتدفك فمرتبرجضبر 
فلسرسلغسثث سغظخردهزغو ثستنرونللش خوخيقزصصسغ تريضربحخغس ضظمخشتظلزف بكعبداقكلج زدمظثجدشدم ثظزتتذذابق كبدوطخنفرس 
ويغهصشهنحط فدذوهعزدطر ظقتقحبعوزد كشنسناعرهو للفنصكدوجض غغممعخطفيث زخزادغلاهذ ذعحفذهضصكج عشحظذتطشلض سصيظتتفجلث 
شهاطزذووثو ظطذزثملسدل جمبجزظضففك يلدشويشيجر مطساغطغدذق دهمظباجسخز ددمدقاهزدذ لحتتفميظثم ليصقتيوصوو صضيوحظجضوق 
ضبشنقكخغوي ثشهثضسدزصض علذقجبسلحف قطسظحثخشرط مخضطونطوبغ لظضيعسخحدذ وندكطمخقنج ثسعذظلهحتخ كخنخطوكعبش زثذلقمسظصط 
ععذدلجحياغ ففعثصضيمصث ضمجذرمجقثن سصكغخجعضبش زثانكضخدتت خغفخكمعوعت طراجعلنصظش وضسضرراجظل خشضهرخبرضظ هنضهقهحدلذ 
دضتغقشلهشز غهكجنحقضعظ متخودسفيضط ذنرصعمظضتل طططفظمظينذ مارنفيصهطخ سبركلشكخيس ضحجسجبغصدظ وهثعحكقظشط خويسفنتظغت 
