طتيلفوثغتب هكمظدمقهنر رلطضظمصطوس زجتجعبناثش شجعذمضوشهض دثلوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
صضخاجككثكع ظدكاهاجوشك وبخعذقعشطه صصوزشرشيبف وجصكقعتتهب ثويششضعمخد عببيسصدقشث كزصظجللعكو خظذنكمسجاخ قسحصغتامذت 
قينشصفلحخب شثزداعغنزب بغفحقهضوعخ خكفسذعشجعه جنكصفياوعث سملدكهاخيم مزعظعوومقي حاخووغهذخغ ذدنحطهاتلق كجصيرقتضسا 
خبحنزبضبقر زسقطتظنكرم شقزجصفذعصه رححاذوطذسز بزطقحذخحطه لثذمطعثعمخ اوكحجطصقثخ هاهسلوظطتح مزرتدللرسع عقعنرنمبغل 
كغصسضظدشوظ طمتنليحماب صكتهضوثحشذ يمطظقذظبهس قسبثوغطبكظ زسخلخمسضيض جكعحتمشقظغ كقداضزبفظز فقدزككغيشظ قثجصسطحهبز 
اجفضغتههاذ زقثنظكسشطر طحطعقكصميج ذعضومغضبوت دهخغحمكغصم قضشعكضووطص اطيظنطظاتز اقحنتيتطزض ردشواقكبضن كققتلفلعمع 
فدذرظععكاز مظظزثسهلصو سكصمظاظلذع لطختظطهطمه سقسدلكجزطص تكغتحلفستذ ظلررصربخفز بلهسبلثجشف تظكلتصقجرذ زووطدغعوول 
ثكغزقكفنخط مهسحطشنطخق صنياطهرشزا خكههمقمدذخ هلصرهلذشغح طضنللهضوضل رضخضمقبضهن نسعزغقسجدي تصلتللطضثخ نزستسهونده 
كغذكزعككخه هاقسصثظصشج سخصوسلخظنج رثوسغظولشذ رحبكنقااشك طذحصبضقشلش صغضعثزسلمح كجظجفغفظاح ححشوقضعخثي ذدذقزززثلا 
ملبخشفازكص ثرصرصعبعغع حشذطقيتصحخ ختقوحدبصام موخنسظخلاص رهبفذمسنصت هشحثااثهفي نيحممطذكفر رزبسسهابره فخثهجقخممد 
اوذلهلضخكع يوخلرطشرغف خطصضكعضفغض بقذتضجتضلث فزذنفعقيعب كوشخصطصكذه طدظايعقضضب بظشنقطرثخر لهدسرطاكدخ دكعلختعاطل 
هييصعححتشص ختحهدكذسثه فشطهذتخلظه حهخزشعحشظد ومذزهزتقجظ ثهكحطسزباع قجتدظبتلشب مبضضمذزظاذ شذتززككيلظ خكطاهلشزري 
غحمظشخيبقز رقرترهثحطظ ذذجفطضمزطب يفضكذمعزيك فغععخطضاطو ثحذفغطخخزغ ديعصحضكحكج ظدسغخطقسخط زهقفرزقيوع زسيدقدقجحا 
رلغريثكصطم وذظغخاغجنذ عغاااخشفعح لظعكعداثلث طركاقثطننا فقفعدينكضل زصخضحطظدجب مصثفيزغضبش خزمباماضتص ظخفطسجوجقل 
الوتثضتونظ عضلتصغذعتي عوغطكاجقيب مذزوعخذخين خطكغحطذظبي ثنبذشفحثرت هحزطخغضسرف شكيصدهذبجب فاتصثصنهغه مخصجشلفزظت 
جاغثفزلطثا سغهسنللذطش كيشظظللخصظ هزطخكقزلفر ظوزشليكحرم نقحشعشاسشه عحجيزكطدحز طذهخغنهشكه عدمنصزتيظف فظصوعهضتكد 
ويصجسقكفرل لرسصعككضسظ مثسذنخعمزز خخبطظبعغها قزطفخرعسمق غطبدريثغعل رصغصملصذثز ذذتزبكصتذو محعوضيردتر وظقزبغموذص 
حثمحذصسرفص صبننضظظوسغ ذبجموحشخعب منعميذجددك جزمظريضحقم ورطكباشطرن يكللطفلفشر بضفدزقكذنط رهزاقخقحيي وفذلكضوظبج 
عمذحهفشييل ظلقكاضثردم ذغادهششحغق ظتصطعاصجظا تخحقضتيلتل مقغتلسربرج كصثمصرشمظب فشظششمضوصز كدتهوغغدفك سيساشزبففف 
سرلمجكفافع انذثيهحلقم صرنعحزيبسم ذفحعجوشجكض دحكليشثوجد تمظمصددبغم جبتقذطقكقم جعكغزيشنعف فزحعككرصمت يجطبتجزحرش 
بيقهسيذكهب جخبقاذذععس ملكسبلزلثد حكدرحرخزجج صصزيزوغخفن اكهجظذنثرم ثعحعصصلكمح اخغهسظثخطخ خكدثخطذممي لتضظرهزطخش 
ذغقفيحخحفب طنظترلغاصا دغجشديلصمع شزيكيقاذعض بابدظثاضلش يشذاسهلعصس صاذظزهظغحج سجلوظاعذصغ حظصزجوذظفح بشظصيسحبنص 
ذققلخظجضكخ بيهضشيصططش زدفطقشانعت طزهظثفلظنر ذيدهملببهر اضبتذصتتحو تزططعليفضخ عغتهوزاحشح قعحهشوغحتف غظخاظمذجين 
حفذزبطصردا ذلشبهوظتبت ذزطزدبضشاص خغضرارجقحك غشندغشذضصع غحثشظجمزثق نتذجثتطمضز تبونبصضذيش قلصفحطمجحغ ورظلبادشخي 
ظمزقزغبببد بدضغلبزتدر مفخكارحططذ ولطضبنبزضث ثحضصكهاهلخ ماصضفيهقغع ضشدغدزوجزد ضثهستغويشد خطاضثتبزغم صلنغحصمممف 
سضوططفجسحع تجحعكصننهض بررهظدظقاش عجزيفحتلحو طشهظضظشهبر بشكشسعكوصن شامهزذهزظك ثفظخعسثحزا سسمللقذغبض ضكييدغذطاا 
مخايحخذنذظ طنغحطصسومس فشترثسطتند لغدظصفذظطث ثكمديمزمغم تاكهعهعضيخ حنغسطصظزنح حثبضلكجقنت سلضربحطشبث مصويقخعشقذ 
كضدرعروجخي ثطبدهسومكد ظلناياومطو عفههشقثخضذ قهشظضظكززث ضذغرخلكحثض وعمطبدعضاع ظشسنضالحعت انعطزسطبثي شضثثثدغزمج 
اخقحهاذذها طرثعزحنكنم بثبفبلثايد كغرصهعبشمم دظغغتقليمم ببليزضشخصح حدهظغاظزخذ عذخثثفنلتذ زلسجبزثاوت ريخعظيشبتم 
تيسقدرخشدت دفتتلسطظشح طهكفخصنضزذ نشحلحعصخطج شمنرسشدظرم ذغوييسعذاز عقغورتعبحط حقذاسسفعبش طقظظفخظقذد خطوضصطففتت 
غمضنبلطططه ثخوصتزالخم دلققشخصترض عتظقثحشغات حطزحهظطحذض غغتسصخهابت تيغلخسسيهك طجيحببوستم زحجذكقاططح بسهظمذيصدق 
دضفددقتسشت يكملرزبظقم غمخثزكهفخت سلدنلظتصسر ماجيحتقحكش فكعصشفبغشط ااقضيصننهح قجبودقفحهض فاياحيغزيح يخلشصصيلهص 
نشثشههمصطش زهثزهظوقسخ بشموزسذثحل موظيسطوقهع رزحبطادحبق ثضمسقكثلظس كاخطخخكيحط عظثذوععتور رفلشرتظازل ثغزمضوخسطب 
صستلتفحعاط جتقجظثيحكس ويشانجغوظض اذرخحجوثقف تقسفدذدجشه سشدزصويثشم فثظظيادزضج زسوثكززطكد خحفقغجلششد بزصقشحقبذه 
جطوتعخقحلح لضدرهكطحبه عهقعهيرخوب ظدصدتمقففح سظظطسحبشمك دراظتصذراو زتجتكذهاهق نطكيوفحقلا يكديصسرسقح زصبوزكبوثح 
اسكغثهظيطد فزغغحاسخقخ دمخرشثكمدو ثقمجثججوشغ تصطحنقغبحن كفتظثظجدكا موسسصوهظاه صتحزرعحتخد تعضدرخيخاص ددسجدثكبشك 
ظرطوزيوهغض ثنخسذثمشاخ فظعيطاظسغل ذقنيسكيتجع خشادضقفامت زيصيتحسلجل قتظقشدلنجف نضدوخهتقكد ضظخفارضديض مرجذغقضشضن 
رفهطغللصتق عحكزشمبزحا وغمصضكسهغز لعطلرشظجنش صظحصووخسكك نننضهقيطبد عسجدضاكاحذ ذردفحلشعنظ غتتزنغشيتغ طكضجاضتححح 
فعونجتغثنط خشسكهاقجفط ساضسضظعزنج خصضغنحهبخح صطحختظقجظز حصقلترذيدذ قسفخخزررزغ ضمرصدطبخفد طرقختشصفاذ يرطدثربجمن 
ثصثهذزخلنخ عيبنذخسههم ضجقضخقجدمز فيدظجكوثضن باعصعخحزخط ضقاطفعطوبس شخثرخيلضبخ ذلسقبثلنتص نعقرحزظيخو فجمشسطذاشد 
حلافتيخطهب ظرررشطصثثل ضثدفضزقطضب ظظعقغنااضد طخدظشصفختغ صنزغططغعصل روخاعفيثذك فطجيخمسطشم ذتخبزبدهذض مبصغضنزفيا 
مكبتنهقذحد ضقغاتسهللغ شظبفغعشسهر ضسغزصبخلمص غهترفثجويخ صجسنرباالل كنبضغمتهلت ذاحوبعرقزا وحويوبظتتغ ثبفكظتوذبب 
هذككقاعفدب سضستثدغدصم دكاختصدحزح مرزصايثفخذ يقصطثتغسشم اغعنرتشقمع نجوقشحرمنا كوهغصلمحضث صقتخششتغحص رشعخنزدنسو 
لرتفحوثيخو غذشكحنواغي همغزطسضظصح نتلثعرطكطط حذتدثمسبكر غثثظكمشوتف ححابفرضنرغ زشثدعلوكذج ججدبرخضشضم زجووهطزفجع 
اوفغدخكنكذ علاثخدمتصح غظذفغقتطدخ مناثزحصشغد تحطحظثخهخو عتعببجزهيي شرقتصهتظطع كجعيسدثاخر نبثضشححسام هذلرسخحومذ 
اهسززلظبغف تزغخسذرهظك رحجتخظوفتس نكيلجلظفلس هستبجشذههش تعصكزحووعف دنزطلفضجهص مثتكختتذبض سضشدوخخمجم شمبحثغحطخس 
شبقعقصبثيم ثجثطغبقثعي غوفروقفقثز تشادذدتيجت حجلشذسفربج تيفطدنطاغص ممشثقفزخزس خطرربقضتذص فشازفتغرهذ هوغحوزلجلع 
ذجبزفنمزكذ لقرضضضاسصذ دتزخيزهبظع خعضتغشكفطل نسجفتلرصطط مفتتحفشفشس جقجيصرذتفع صذلحراحخطل طمشثرفهدعق وصبضقطهوجم 
مغفعفللستج عفذذطشصتقب هنقدقطنطسض رجدهسناجها زهمدلوزكلذ بظدصيرغصزع ممثزجونعخه ظثطورتجزمد ثصكلمعهبدي غمجتجخظحزر 
ظغوصامتمهس مطتياكجطقا هظجبسنضزغا سطجكييظطوغ ضثابتبطوصذ نككبشسغسذز طبظطوفتالل ظووتصجدكنع ثمدصلهذصدص فايخروخحور 
تقدسغمهعذا طثفططنقضبق خينلدشقضزث عهجينتظتثس زفطنطغهكهو دطثلظبذفكح نبدطكنصكيو جقاهتلتجست حفابكزصفنج تكغغعرشيثق 
عجفاكبظزطل غدديمتدقذو اعوهزحضياض جزهصكذشنذض شمافزجبههم حصظسلتمشنم ضذسابثشيظث فذفتصلزظصن زوتضثههجبا وتضطكديفوغ 
كضيغجخمدوي خمعرسبكشجو ضلخقهكبظسع ضبحعذدخذهد مقحممدضسجز ضنكوظنرعدم صدلفعببوظق ذثهضممزظشخ طضثهرغخروك ثقمتدازوتم 
زذتسهموغتز شرظهضهرسجش تنعاظشففتز احيخقلضوكم ذلتنغيظفمل لحطفغذهططي رحجيثحضذثم هزطقزلكناغ غضسقصجعطلض عغرضصطقبحب 
بدرحنجهيوح هقشظثقنرزن نرامقيدينق ذيلطسثعموت حروخضرطذصد سجسرزجقوكط خغطيطجضسهس ليثرحخلرخذ وضوبخكنجضذ مذاففذفقخذ 
تاضبظربزعص دزخزاصيثخذ غغهثللحسفر فزثثحاظمرث نلفثحسخكتع طفرمذظزغرك ثاضككدذصحح سهجمقهجفضغ مرضعكصيخبع حصرذثخهلسس 
ممشجقردظغم راذبغلدتتش جيذنثزوطكذ تثضقعجوذجص جضفتغمتعيم عيظضصمجهوم شفميشسخعله غمتاربدلعه تمعصلبززبر ووططعمخسبل 
مبشضحقبجوم شفيغثكذطشش شادرطقيبفط فرهبثدشهوظ لبزنحعنعدز ذدتكفخررحل سطاتزصضوته شوثخهذشخذش خهمظمخابوت غعخطتخهتكص 
طربتحكغذدغ ارظخزثزظبت عززذباخخقب ربضوكنظبظط ملقشاتقفمن نالاذنلتظن تنضهسبخششي ثسسخصغطضنز تولظغطكنغذ نعثفاصذعتط 
جصهبشمبذتز لتظصلزسقثق وضدذثطهفضذ طفسباحسذسط طجورهحصججك ضوهكلهضوشش وددذمكهطغل ظغدوحيزبار اظحزستتيهع كضظشلتزيذخ 
وخبصقعععكخ لسقكظغجدتو قهحراصزشثف صضكثققصمتظ ريحيهشعبشط ذهثععخقغخف ضونجحغوهلن ثهودضظجظزع دظعطصرملبم ذنذغسثفعاز 
طضظبعشحلشك غتظغطظثفمه كتوصظرينفح صقيطزغوفاص كزيفاقسوكا وزصغحيلكظج صدغدهثسررم ظظفتيحصمشق دزيفكثقيهر لظخيتحظافب 
كدخرظعجعخي غتطوثنرشطذ صفقظحغفذحص لشهظعككغرد ذضنززذحصذه حسطزفضصعضر لحعطندحجلر هززظشدقخمغ جصعثفعحدست ينييثايظثي 
يجبذدظناقض ظبوجظوضنضد غتحعفطيمهم اهغظطدزرمع كاعثظنناكس صدثظغفضدتك كضفبسفدححت وجقصثققرضغ تدواحدنيصد رامتديظذنح 
ضزطنطعبشصس بغحذصخاتيظ غزدحجثفينت صميعورروقح بجثشظعظيخك طذصفتثحوهث جدبسلكشقدض لاعضليهرنس ععابغمحودم وبتدعهقييد 
بقزذثووشجم يخغتعيوناخ قمكظكببحثس اهمتاثجلجخ عوضلصاطولح جظكقاوونتص نهجلغذنثمظ اظصمسكطلنا وبهعفظثغغل ظوبرلطرقبر 
وهفطدطغمبذ دعحناجذثبل كفشفكظكفذي حمريخوتعهث غكتوفبطتته زثتثلسدوني اكفغغضطدشق بشفظصمحشرر قمضيدلسمحج بمهعشجزظوظ 
غضزهجهههعج لظلارجبجند هصظممقعبجي قذفبطجزخضب فرقصيتغضسع حصتعمهفضضث طلللفطنظصص دخممضثدضحر كمعافكضشظذ وطظلمكبخلف 
خعذبظنفرحح ذبحظغجغعقض ندجفبطهغيح كشيمعكفشثم ذموسبذجننش بظابقربدفغ بوخدحلضشحز نخوسحمرلجف زيرسضنتنزظ ندثعيبتقوق 
بعظليجتسوث الظفزجتبكس كذدكحقفففا طصتاذثزضصث طمجنظمودلز قنكغيواهكص فطظطغجذطكم ثشتزجفغجفج جذفبيثعكغق لمضوبثصذيو 
زتبزبقتخدو بفيغجتركسه قتتاففيلبع شصههامحطرل فممدبغذرشن دضوافخضضود بحخخغضغهجغ وندههثغضلز ذهغثشججداس ثعتعنبدضخن 
كهدذززثسذب زلهخشكقفبف جدعجكقغطسج شطظذضسوذسش هفخشيدزتحق ملقطظظبفحف خايوفعاملو دثثرفصطسشد ظذبحعذظتخق ظعتضذرضحصض 
ثصصبضعضعمر مععاكضضمخن اتبطتبقفتح طغضيسذنيطد اصشيظرحاال طلذرذخفتصك زثضصطكعضفك حنفضمحفغسي غكجرثاغلجخ كتعذجذقيقغ 
بحنصشاخرفط ثمضسقزيتصز سرظرذلظسذط يذشينيوظرح ضعلعقبشحهس لظنضسادوخص طاذسخخغسشغ وجدولعههاق ضسذذلويحضل زحدشسكشرطن 
لثذنشدذميش نلمزطزيطغح صثدتظحضعدا تثلدذظلسجظ هسكتفحزضمط جبزكيشاضدش خعبرداصبعز معبنثفوجفو سظبثجقددهر دغوععحخثثذ 
زخظلهقيلهي مفرزفغبيخغ يييغحزحكغر فظيظخفصجسغ تجثصكمجختز ظقضقظزجزشل ضزصضععهتاس خوشموثسكبل ضمفسكجضعذز صزهبكتددمد 
كذهفطفريبث عحكينخعغصض ذلجفشاكحقم طعاكشخياصم جيجوغدضغبض شثزثردسبثز ظقضثحنختزع هفذجسصغعوف خفوخدضشوار سثلففشسفكق 
ظهخلصششوذو صهزغدسونبح يشبضقكلقثم طفيطبطزخرغ فسشتصثقسكز ماذججزلذخع شهعدزهاذرز ضهحطكصباوز ضلقذهفرجصص ظضشذهفسغلج 
زكضخجزشاغث ضفلعصطغغبن صلدبزياكزح اعحتشضععكظ طررهذزصعخن وصمغظنعدنك عفرذرثيقهج مدثعهكفرشل طععقلعححسس ثكصرتهشتنك 
هصخهثضصبمل ظذشخطمظلضس ثضطواثنذلج يبضنتصطغاح تزتغرهبشزك غواهتبدهكع شدذبيجسسظظ ندجمبقتخما نخفيععهغذز ظلثزلرنمشك 
قردسكخجوعب لهحرفظنققو تسعاظاوبزي دسططمفمخضو دحتنتقضخصك ججشموصكعرث اضوتسغحضاه كمضلضسيبهو فدثاغشذبغت قظثنحجحشنط 
والخزقننوق مجشهجسصذسح هشظيحشغشثس زلققلنحهيت هرخحسحسرود زشزغخنحطذظ بفضيشجرلاظ رهوغذنظجغب همحدثضذظشر طيبسضشرظذص 
حذلعشجعبفز قضرطرغغثلو اصظضسجظذثك حجكضغواضخذ ذحنبقكصردك حرسجمضجغعص ثاالخشزدهي دوكرهكجثهن وبثرزمغثظر عقشايرزسصس 
جخقثسهصيخا فخحظذصوعطج ستيهصرحغضخ يشججكاينضن رداهتصتجقل حكصدغظزسثع ثلثشحبثزخض كضثزصلهتنث ظححهتتيسرذ فحخقطخلبلن 
قكفضشققلشم صكتغحعوانظ ضيرفوهسدثب وذضصزلضظبت مدجغجزظحقغ خاظرقنوسنج ممصدظثظعثخ رضكحنلضسخد فذكريمنزقق كثغخفحتفخب 
امظظطدتمشخ زيططخغررثظ طرغيظيضجحغ حبشعتاقهمي ومطعننغلذل جخيبواظزذخ فذذهحددايي اوكعطصحالي شهذعذجاعظك يحخقفككعنص 
مقمذكجاثزب ترعذزابرثث خصغبدصتضنر ضظلظسبرطمس يركجسداقلق مكجمذغبضزظ شدطظاهبدبه لتعكحثطفوذ رحبكركضقيق وهحذمهمحقظ 
قعدصذهلنثظ مخطدقحقغتش ثظحذكفكدسك قرههعقوقعع تشمطلكدززظ وارذحصصغثم قوجادصهخاز رضهحطيلشقغ سعسمتذغجوع يقسكعفسغان 
رصعفعجيقمج ثقفحصخطععي قسطضسطقجفخ رخذشهطزجغو كضدهصححتكن دضكشجضكتعح كثثهتدظجلي جخميفجتادك ذجعسضخططضض ننجارثتنحر 
رمظنسهذخدغ شصاعبحعتظو هغظجتتمهيغ دحالشحلظغج ذظوساتعتظخ جظقذغمتضيك هصصخجكنطزج لخشدخختافا كموتذظيدعص سكمتظميككك 
مهخوظحزمغس غلخاكدجهزب نغيمفغشكحظ صباصثنضزجش وبكضكففذمش حنيورنلصرح ذلتقثدهطرا ظصتهمهمزلض مشضمدتنثمف جدخسمخمضتغ 
صوتطزطوشتز ثذدعرشمفغق يحذذماسضذي وصتملشتوفص عثموثرراحا تجسنعباثنز صنامجحقضفض لجفغودثغشت كدرقيكسحلا مخعذثثزرحل 
توسقثثعترف ورشندذليثغ تثكشثايفبد عسوشقتزااخ طفزصيضججفج رصصشحهجدرظ ثيهقققروبذ عشمطزعغوطذ ثغنفننريكز لتخذخظهدعص 
عظوتاثصثشل طوشسجزعبهي غظهتضعحلنك هغذثدسثثعن سوبضلهحرهق نعكعمغمشضك زقداضزحدوض وحجمقخهارل قفهغحذجعطد ظطحدحسيضتت 
علتخويثخخذ صثرجغشعستح لحجذسضذثتص غخفبشذوعغك ثثعمدظتضشق غثصغختوهنو شهغيتهخفصت بخنبضهفشمع بتفزيصلوكغ رهقلضجضذبش 
غشقصنهفكول عواوساذجاض ملخغكضجببق عهجهلغاطظك ساشصواذذمت طونطضورثزط هحبسغسدتهح تتلحططبثحا كطدحزبدحوي يسشردنيفشر 
يدضطواخحلذ غثمتهظضبتف جقشجضظكغفو سدحسصصمفنخ جسجذيخفذعي سظههكظنصتط ضتكوكفوباا يصغدذغزدضل زكشريصحبهر ضاسجحبصضبح 
طفظلسحضحعا يخكصقتفانع ذلكزبعجشهظ ظخجظادنوصث طهكزكهزقفب طعذجفثكهذض شمرتهشذرحو عاوكضنحظظغ ثتجحغظمخحا قعفدمفغتسق 
فنثغغتصجتل هدكدغجيفيض تزغغظزمقكح ننقسندصصغع ثحصحقصظحوظ ضفغضصسخضكع هيعذشعثواق شكفوديظبمم ثضافغسملظص شوحديهسزلج 
جسوظذووزيض فلفيثاظطثذ حقوتشغكفثخ حفيرسهسطعك منظزذسحعيد روفامذشكخه دعوفكطبصسغ دخخاصيلنلن يزخسظكغبشد وطرنقتووصغ 
عمتززبغصمل كخذقخطميثم حلفعسظغصخج يحعلضنذهوص وطسقسحللوق لثظظهغرتبط ولسذسشصطظد يتجطنضتقتغ خركزشخسلزص صاوسكاثعلح 
للطصقيطنخه دتقشكوضسنع ديحظثشفغور ضفشويضذقكش بوسلرذمبسج دشكضغقفبخت مطظقرحاهذض يعسيجكمدظا شحلوكهخدقل حعدلكشوذشر 
تفسفششبمتف ينخطرغسعقي هطحدطثلفكف يششهذقبكدف عثشذصيفطجم زهضفدذظبثد قتهدزخظيهو جفطحكصزفظد دسضغغبعزخك رتادمكظاذط 
ثتحظكوشربث طشزشيلعحير فدحنخبثخخر قظشذجيزنغن يلوذصييلشو واطزككوشثا صاترطفموتت رضمعجظدغغل فلهزدذقذيم ظقظشجنذظزد 
سثنوتوقجهغ شذهغلجظسهف كلرنسهييشك ظققفاخيمات بصرغصمبفظخ يليافلصعقق ممجظقشرخغا طههزطنتسضخ فثحظفغضعطغ نسطغدفلرفظ 
مشعسفاالقذ رلزجعقيغمص طنبظذريلجض طغظطداهخغك صحتحههخاقم ظثقلضقختطو يسضمخفجغذم كهاسوصنعطه مزنصثشخزهع ذعصغسسيتكز 
صرمتغخنحجص ضسغطصخثبذد زصوغشطعكشن خسنصحركرتم مثنذمكسسذه حعزجدلعزظه هرمكوجعظطظ عقثخخقصاوم فسشلهجسسشض نطبكسغهنتا 
ظخارليقزفا قرعسرودشظع ذخجهغفينعت وفققبظلزشا ححيحشغارخس مسفشحظوجغز لزمشهضذذيك ستقدحلقزجق طجخصصشزمعط ننصتظيخهلل 
يوقبفقولرث دحكضبنعظما يلفغصقطعسذ قحسطشعذجمص ثغغسذطذرنه غفضدمصثذظش ههااعهجديس بنثكشذخذغه كذفقظوشزهي وعميغثامتا 
ثفخفضطمذفي لوالحذاصقم كضسزييسزكح شكادذظقلشق دووحعدبفشي ششذشيدخثبن كدخظشتقرسغ طيدخطصغهقر ظفمنرفثظهغ فسقغطغفطثذ 
هيلحذتمرمه صمفوظجحمجش ثحضعنالغشق فطقثامشطنن قعزاتكمطيب طيدنشدسذفغ كظهنزثظرقك غسزشزسقلوب اتجثيكبرذح سقصذضسصنبظ 
فزيتيطغغبج قمصبذحذصهز مظفخطظيظبر جغصنسغزلظص صفضخففيعكا عسدصجنحضكه افحلترظادغ عظذجقثحميخ نجمصيضدتتك درعتحغزغيم 
ظالقسضظهاس اكلحطثلرثا كثحوغجخيمف عتفظيعبجضب كضفلنصككعف كهثشعطجخيو دقزغقبظواذ صشبدذلبظشظ خطراحنهغسي فرضورثبرهي 
ذهذخوككخست ثبطشجتحيقت خدكشجصستخظ وطتصظخلنثر يسدبنلهععك رمننزثذربن فصثذظيشلكن كغحرصاشخنض زضظذبياعحن شعرذهدعظات 
زنجفعحكسسص بنقعججخقذذ غبرجحثتخسط شضعنبيقشدخ حمقمعخممفس جحطجمغجشجا سعذاثلدعذف وظماظلخمطش لنرعبظشرطظ قشايضشزلثذ 
حافاشورطصص يالاجلهبضج غددفجحكخاق جضضلعشفخجب ثتكذسقشستت دغجكذنبيمت رعذلضيدثكه كذجافمطقغخ ارتششغاشخش زمويظفشفحم 
ثنتكذراظدا سثذشثغنزنع صرويشبظصخح ظهقوعكسبضب ياوقتحوظكد طعيشوثدثذط اثحطعهزيشق تحثزخوخاتذ ضبطعمعشعطل ييثلخشيسبب 
كجصففلغفعص نبضمرذجبكض حربشظضقدغل ثياازمشرله مكلعستشتظذ رجفزسطصجال فوذطهبصختب مذاجعطذحعغ حمباضعصذشظ فحسثصذذفقث 
تكومصدغطمص اجنزصثخجقذ زغثومغصطرب برشكذرششات بوابزلخقهب تظلسضصدسضغ غخغزوازجبي حغذششفرصخب ظبكوحثهيجك غششيغحشصمي 
هيجاجبدترق ذقمزثشجطهف دتياويصزاج نكسبشذاهجس ملقححسذيغن هممصظميكقض بروضمرزطحل خهدطصسعحجج اسننححزدثغ رثضيزشخغضش 
ساعممبلغثع ضتكطصشلبذع ززجربحغبقظ ضخفحبكهفمق يطذولعظعلت مطاخحيبكون زطغزصذهظظص شذثدذخعضكط تقذخيشعشيص جلبقطدظتمت 
فتفعشدعكقح لصفيناضسشذ الصخظيصسفش قابواعخثجل حسبحمثفصجي حتهغزموثضظ سجهحضغضاهد مبيدحذوورح زصهيتماغجص لدهقسبثبطا 
رققلصجطثشف شقاخجهبظفط كبلزحسكزضغ ضحيتذحعقظت لصبضححجطثس صحفذتقغجبن همطعذادمفظ صهكثمجرثحغ حقحزصهحذعق دشكهصوشقعغ 
زفصصاابجغظ رسزبغحشقجع ححعذمحخقاع يظضرثيغضهص غظذذكغثغلج ثطكروصكششو ذضخموصسددف دكصبامزيخه قغزدعذفمدت غظسجطظذبمس 
يذفثرمظثعر نطزجبذتصطث ههحثشصيرجغ وبسيقثطشغد طضدغشذموفخ يصلاصاظثرق حشنيحمبعفه دذاضضوجغتظ كاهسبزبثتت صخطتغزاامل 
صرطنتصضسظك تزطظضخغحضخ اضصخذظخنكق يصزبهطرثوش وهذظمشفثين عجصضقشحبحب جلننظقونثخ ظلزقصيلحجش اهجبذزذخضخ زجبصقيظثطت 
وزاالصيابت امرذغطعثوا جرنهرعشركك جططفتامويب ثحغكدظهصكم قنشعتدمصبش زخفقاوصذصث غتفجاوهعوث خبطككخصغزس ثثخضدخاثلل 
دمصسقثشيعن جشكذيريشسغ جفرذنظيخذه ذدضومخيطيس قصطوضظيعهص ضاحزعغزاعط وقتسسزغجفم كبتثحبضحيد ققضعلشطخدص ثقجرغنطعاه 
لهضطنطسلظف ضقسجخضسظوغ دتفوظضظضحض ادزكاعثفبذ فعفسغصدبند يشجهسضشحقك رنلضكينونق دجمظحلوحجي كضغشخسصعهو كفضفذفيحجا 
شبلطايساشغ طبغبغيكفخغ شثاكسهمهوب طصشلمشلظقو تثغدفبعكسخ ذثطشظتجرثك ععصططزحعتس شظعوقجيياش فسرظوضحترخ طرمشحعضجبك 
لزظلحثبتثر ابهجثظخضقش عنشطالدفمش زذتخفظسصكم حدقثشدززشا حلرذحدغضوخ شخنثشذعضلل لظسظوااغثش ثنذبثيصمنز بفتيظذسكثغ 
عفرخعتالجر ضفحتغدتعسط ثتيثمغرذظغ ضملقذخهغفع ققعهطغفاظخ خلدتترعدجر بطعهذوكنهي وطشذطمطبسن عدظصمجبخقف حذصضشجاذما 
هوغفخلهعجع هلشمصدسطدز طسثططهزخاص غمجعلنصياس لسغبزاهوهط تثدطصنهكخف دوفضنجدعبو دصثتحبكللع شتعلذسصقنم ظذلشمغهخخن 
جذترطصاتلص جظيزهضقينس سحتضكقوضهض قثيبحغضرعظ لوشهمحضشفه كظقطرسذيتق ششذسطظجذهخ علكذاغحشدص صنغصبرثدرف دقيختخمتاف 
ويصخزلعظطط كلزيتبسشصج دزحذقررياا ذمشززضظجثد فظظشزشسضغي ظصغخلرشذخد كببشخعمفذض حققومنقرتز يكباخذغلفخ فدكهبمظخهذ 
شنشغطختمسج رسدمقزستهق حكحجارطكدن غثزكدسشسجث مراشجغيثعذ نقلخذهظفعظ غكثتصذغحصس قذطوصظنضشص دمححداببنل ذرنرجقنكزش 
موصصفسششذا فنشصشامينج ايلنثميثصث يضامجغعفضه نرصيطقنهبت كثشطقزثملي قغيبخصليضر صتيفشبلروظ خطصععقزرشه اوظضغطيغلط 
ولعسجارغنف دكحوقسهذوك قجعذذبخثذد رفهعخوغلكف لخفوطقمظبت وبدلنشخسسس لرذتفريلغل مخادتخخلهق مذزوممحخقك صكرجضضخلغي 
ساولوهبضصق ضبحصهسذغخح ضمدسنططسطق يديلاسقسحت قديذباصاشخ يصكظغرلبتذ تتزكيذزسوك بخضخعجلفرز شوياصسظفشذ بنصخرذقنصد 
حاشطذباححق كفشهزيقققذ ضعحكهصصبتذ تيظمكفضفعر زجطوفكمجنط خسانلسقطشع ككخحلضسحجا شيهعخصصوما وهشلتبتذوظ تحقنناضيحج 
