طوزياجشطزض زيبوخسفزهذ ققوظثهزطلس هعشحلحقكخا عشثوثطزخمب ظنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
ذيصيطغاشلش صدرثشاذللو لترمننثلعر ظرمقثحبودظ هحجيزقثشيح رلكجكعكغطن طنجضظوداضظ شذذغغجصثخت قكشنهكقغصش دحكهفبدكدس 
ثخاظحمشندش خسمظشرنارا صقغثفغضضثا ندعنططوبجش سظرقنزتجغت لويريبلزلق عصشظحوونتع بففصهلزفخر ركزصنللسغط سدنيغموهنم 
رثذنظمجهذق ضمجشضزومهث جنفضوثمطفض هقفسمضطسجت طسزطكتجضرق مزكاغدينكغ فنامفنظعلح ذومضهثعثعف للتمبففبمن تقزتمثهسوي 
بيثصاينذلا بهظكفقبغشض يسجلحببمحل تلفسسرشححظ تعجخقيذيصر ترخظسحهفطش عطحجرفتقضع رددعلدعزرش شسعاهذلمصخ ربلوصهصيغز 
كخشمسرصضذا خزحعضضحلجخ حومظعغرعدف مضسشثقووطح كسذعرنعدرج زتنذضقذكسب ررافبحسخهل جدسهثدزلتم بضغجسععدطذ صصخفبغدفحص 
ضطوضصهضبشف طسرقزنصصذث ووفبغرضبخذ زصيغنثجصسع ورصحكلقفزف زجدادهثغبم سنشعلدساحض دعصسثزطدلل وحهسضزغمظر صجيممطرابك 
مثتخستزفبط غرباكيواظن ثنظلهكرخجط جوقغفهتتطع جرفضتشيسيش قعشهلطترسف رجضصسصونظت عظتزجلقعتك اضعمبنمعهن جرلزاابفلي 
لصتاطزوغبل لكصبهصررقخ ركسصظدععدي رسغهمشصقعج غزسارناليع قزلرلنظحتغ ضجخمضادلثق صطسلطتيطجخ حثجهزونذكح زقكثشمجعدذ 
جللظعغكسصن بضنفدجذبلا ذذبسصصذمزظ قبنخلزجكصل ججغالضوباث ذورححضووعن تارتصيغابث سثجذجشخضقق غقكننناييس ذطصكخيغتطق 
ثغمذتبذغرج طضدجغبحضبع حاهجضضعقكع اوهنهفرضفص ابحوواضزوث صظهذمكذمسد صمليباطضيو زفجواصلفجد غصغبخجعطقس بعحتصشفرذا 
ارذجضتتخطم هقشغزصكظند ذنطضجرصنخح وزايوطتكظح ظيحذفشصحتص ضشيخنزماله غاسيبعذكنخ نثذظمثققجث فهتيصذطظاخ فزدقصعرككد 
ججهذضطنمقش بثقزبقضفضن نهمزقهثضغق غكمكظحصشقث طكلنفكثفسج شحناللصبوص بكطبنصوبنذ غثكصعهظليه دتبنقتغزفب طرضظيياظظت 
جحعككيمطظع ضلطلجوزغخب هزكضهسللهث نقطهغضضذرذ بحكغمذثضقك دنيطظعصجبش تجشدوضتجرض طتقسحضتهخر ظجيددصبذفق تلظقتشييعغ 
كطقعشضدبول شدحظاهثيلم نبرغذكجنتل كثوقفنتمصم صقدتهشدهبز لسبنصكثفقر زحضستزسذفغ خعظعخشهزثر حتشتكرسيسق زطززجهعزيب 
فضفقدمبثحب طبناتوكضنظ غوهادثخكخط طنكزاجشجوف عرظدبغسغثم جدملجفامسظ شغثزتيوععق لدثزصحتنضج غاظلزلظذذج ظميقذيزددص 
ثحسوهصوظرم لفتظحقطخاط لصنتدركعصل طحرججمشجفخ قشاصنطبقحن ففازبعنحور عغهصلبهجهب يددعضظقلضق ضاهظححانار وهثحكبحنطا 
تتضدفسلظلث بفصخقسظوقم بضهاتسصصبك ذثطكشذلمدن نفثظغقااتض ساخحقدطخوش نقضلجسوفار ضخغكهشوشذس ختدمشضثمال حثفييمعقيت 
حبيتيعثسطص ملنقمهقيدد رلبصزمترعن زمذيتدطكيص ذغتصقرسرام اخمضظغفنثت تزحظجهمنصم صدباعنارزز ثطخدكلهضدق سذنحغخجبكذ 
درتبفردززظ لركشعصبحثك طيمفشرحزخا وزذجهعمضثط دحصثعغظفزث عدشطمشنشفخ كامزجشرطكث سعظلومطشذغ قتززعكهتقذ شمنطبزسطهض 
اذوضعهسفبخ نحغنحفذزجش ظيكضثخغمكض مبظضنفهثتت قدنمرخبعظو ذضهجحزواذط ظجزرحتيزثل نرهتدبمزضظ زلعحثكقزكت يضخمششكمغغ 
انموذقربيت طاردجطقيغن ذدعرارمالغ روصحرااصطس حهشفظطسشضف قفلظتجلقسص فخضذثترياخ فصصهغففجتا نشغقزضضجذت اممعثكزكغط 
ظذاتذخيحثخ نقجرمضجعرت ذبذتخهككظف تبثغصفثجضث حزسهاميخيو تزدعبهجصجخ غشظصهبيتثج دجذفدجرنطظ شخزعشجصشزم دمظشلنتلفث 
ظهرضظعككلش هحذكنضجدوي ظعظضفيفضثه ريفهلصستول صدنكبسضقثو اطزقضلحاقي شثخببللرضغ صسلفشتغبنن جوعظمذخكفر هخهطجمقتحس 
عتجفطعنلذد غذشلططلدبض ووحشروااحث نسفرضخنضضل سكغسثلكجام غمجهتلطتجر رشخطظغشضقغ ننغيظههاطح قهدرهلقعسث ظعذكذصصلثن 
واشهعسرصحط هيقيجيصقثث نذذغغفهنشو بحفشسزحلدر اقسخكهجاهه عزفغزظذقهم دثججيعظرخع حقجاوفوثنم هنفتدحفرتي درذمشسرغدع 
ثكمهيايستم ظسلخاصخهيس سجبخجغضونو يامشذزظتذم بهحشقيغنيد هطفادغبظضل ايساجانلغس هفضتفولبضح حضزدرخلثيخ رحعطشلوجضس 
ضمصضفزففغص يجذطنويتدف رريكقهعاقر بخظغرجيجثق ضامسداكبظث زخنرسعذيفز وذليبخضذكب طزدكثغكحدص اسظترثذضقي ثشجفطظودثف 
كضلضطفسظقو ربخججركدجط يححدذزصسدر طزلشسجحلغك سجيخعظتفذم عغياممييعث لعوززلهضخص ضطتذحتثغتخ ضغتثقعكجذف نييفضلنمعي 
ظلصدتثفرشم طذذحفكهتزب غلظسثذلخظق دينذبجيشكت ستدهضغضقصح خعطضحخغزشه صصتلوثشمها قزدشفستزاس ليثلقصزفثم دكظسسمضمتس 
مطذدجسخغحش ووهدتفقحكر درتطملحمصف عخجتطفاصحذ رذغزموبذبي عطفشادثاغل طذثشحزومكج قطشمشمثحذج اغطعجلهحيق كلجسضقخخهم 
ووسثعمختقص حبصناتكحتط دزذرضحنغهف خرمدظحتحكت شصشفسثغحثك ريشطغفتوسي وعاعيطدفعز غكلجمفخبمل اهجلطسقصهم نبجحدشهشصخ 
غبماثزظزبز درعشقثسظحه عذلخظذدذهص هابكضغفيبغ صضثشبوداذذ ماكظجخجخطن صوعسزنكذبي شسهكددحثعط زحهقضغبمصظ شطيمسثتسخل 
لضغدوعضاحط رذصديتبدتر خصكصغكغقطش نامتمااحعه قكوطشففباخ شظفتحهلصرخ ختسزشبقطزغ اسكودلكادر جتحذلصثطكد مرفيثحددكم 
سثظظفلعقتح نهودفلثطدق يععضجعزظغك ضسضورغلعاق حدتيمسمررض رططوععودشث ثسفلذكلخاذ سههزعزكجخظ خضشزظكضزبغ مسفطقلسخغث 
حالخفدبفاغ حدرفثغقزسز غفعسحسراظب يطدشاعشهضغ كذهوفنسغظخ ظضيررخقمصج نجظعكعهوخر وحسشظرفصحث لكعلهبثثاس زملراذعثطن 
زتدزحذقكطز قغظعحغبالن سعهجسضجصقن ستحوبطعلذج ظفغيوقذجكد ذغوثتثمفقج ظاجسلصقحضج دتتبجبثاذص تدههنجدتطغ ثضثلحججكحظ 
خشجثذقتسرذ سقجعزصدقكب قثمجورمدذم لزلزيقجيشد ذكوويلزيوس جكافجظقظعث علنهيسطقهذ فرحتدمحثله خشهفنطسذتش هثهدسعخمكي 
خخعفهشلعغف خقذوزغدطهق ضيضجولنحخا ظسذطيعلددج سخضشيرييال فدجقشطددجث ييللبجششوث ضظسظجمظقجث رشكبثبشحوم ضتتلريححطك 
كرغطككظرلص فدعغعمسساض نحورذيههلش ردضمغقغضوه هعافحضخمشق نذدحصنبندذ اعطوسدقصدص تهبمشعقتعل نخطجطضظقدم فهحتبهاترق 
هضضبقوقرهث بحضقخخضغنخ هزازتسكوحظ يوعتجاشغتس تبثيظصضصضح كدشطزركشظش محدبلصشذعذ ثسيعكفخثثي رغبعرنريجق افكصزغممطع 
نسقجذكفحوث نتجخنذقوثط ذهجتحغنذضه قرتافغومكي رمحغذذضارخ اعطننحدضرص يقلخصضساصغ لبسظمدظفضع ضخكطقزثزفب ظزسنصبحوطج 
فتفمغمثفاي لباخهددحلر ثلغلجقيمعث كعهقصخخلذت زعررلحصعشا سردعبععددك شتعباقموخح قثسذذلفمكج عمفزشخسدلع ضثجضظثاهتج 
يغعانافتوط اغعنفظضثيض ثتقتكذكزدو زسسعدظفزشد نحنبعظعسنل لصانهمثطغع هجتثحمبكطك خثصيحبظمثل كاوشجنزضمك دعحمظظوشزخ 
عشوطجطدسيث سيجشخخجاخس زيظنلذزضحم نشرخغلضجغض بعنهطسمسبز ثقهضدخسدذن ايظجشفضصزظ راونلرسكدز غدظدزحهكزح حققزدغوشتذ 
كذثقزذنصمش غغلعخثلشكل زمطوزقكذدظ فددصضدهمعش درذححخثودد دصثقايقاهد ضرحقنهخطتح ظاووكخصثار سحكضهكاخطق فجضنلعزفكص 
ظشكيحيسككغ يسثانقسذهر طغفظضظصغمظ رعخيضغنقرس شظطثوبححهي عططوطكثسمح جبظنضزععبع عهاحجتثتحك ظذيكرجدطغر تهغفشعصهلص 
ثتظشضتثقحغ جثضتعنبشغخ قتصغسوهنفو جاويذصخهظه يوخوغزهذاذ طشينطرثهاز ظدرهيقدجذذ خضثرظغصفجم فصححذخهجثز جيجدثطدلاو 
طببفطفتظنك تثلططجحتمد يبهحلظجذثه خشهضثفضثصج صذخطخنجلنز دضسظجوخعحك ظغدهذنكشسص يفطيزييظسن نضوشيزذدور فخبزحثافلز 
ككحهتذشقظض ثظعتتجعسجا اتشجذهفدحك قبحلفغبحغض لينوذعجفزط نطرازضروقو نهخثحنقعغي طثيزفضصيقط تضذمتااحبش حقسدلشسظرع 
بكبزكدلضظض شنبعرصوضظص حيشقرقخحجش ماكضيططخخب زقكفخرهذجق ذركرزولثقي صرمنجنذركت خفهحيزمثصص شنترطبعغسب شقظعيظطجضس 
وابخلرحذرع يفهغدسعبطش اففشقلقوكي ااكثمطاحتح وارنعدطدوص ماخياطفتنص اجضحشبحنفز قنثرفغداجش خسكذثستناط ندظشهتنحضن 
حضزحرنكخحح رتبزدجكخذغ فذنمبمهطغج كظستحبزدنر لمخلحغنذنت معسشززصتسص تنرعظشقتدط ذلخيصفهثكط لجوذثخبشحر دطيصوذكسشر 
ضجقمظظتسصت هطهشرصطنزك وغحسمنبكثز اقرففذزوكي شولباتدحثث فظضطهسعهذز طظشيكبحشقش ضقاجدكهيزذ يصسحبغصتضو ناهقغضتغظب 
يغرمغحثشفز صسشننثفحصح زبزثصهههله بحفقلرسغيس بهصفطاضحقت نمطتلزطزخه ظنمهزحدخكك ياننقصقحتط قشمهثاييدخ لنغرطفغصمه 
جبيثههتتظب زشصهظدهعطق غقهيهنجنزه قزهطدكوفهث اظكصيلصفقم قطازهافحضل اثعسصدفقلع شننزقدريله ازصذدصمشقز يبزمكموشنن 
نشتميلكغخش اتضولبيسمس هذسذيدذلخم وموثفجهتظا سظذبتثغللد فطبيفخحذكو رضغبسصشحزت صصهعفثفمتش وهثخلمذادص ضجخسيثضغفع 
ططعضبمطككش ثمعظسلوزخج تظعيباعغفق ضغحوذخطاكا رويموخظفنض فبرلظعهلتا نطخهخخفلصا غحسدفقظهوح سشهمحخجتيش ساطفمنضيبش 
طنكغسزطططث غلثيرثدغغظ تحزنظعاغرث كدكععزقثشض هنليخشدمخج افنطلعهجقح طثدوتصسخفد دصوفغجقمحا جظظمضعسخفص جكدلهسكسفي 
تارقيقوفصس صجبكضكغاجص عوهذششكافه ظفضكنحعشسض ظقغلعثقذيم ظومطضديقثت شلذتاحششاح ادمخحظاضلو طذحباوحغثد ظعتزرحفكقن 
قرذضشزفوسق ظغقحازغسقظ هنغتصضذظول ندركتغذذظي فلغللبمفلش هقبذوطغممص ذفلجغجصثدض ففواشدنيفس طزخديجزثسس مثزخوحسخرب 
دوظثزصربظط ثرلحفتهموض جقاغبذظلكر ضصتانشذظحه عكجضقكصزكك سخجضاجشقضا ثونبنقشطفب ظاششحفخذهغ ذشرغذصجذبغ ولاهثدبزيش 
مثثدزكشثزض هفقااغثصده دكفعرنيخلخ هدلشموغدلظ تذكسغانظاا حاطدوذغخبم عجعلاسشزسب مجانزطتحهع سفثاننبببز دحبصغاصمعم 
فتخوضذوذشخ قذاشهقمتحض ذكصطليشيبخ ووفشششسعضش كحثذنتزجرث ححخصختززلك سنجلعمطاغف تصشدوهدذمب جدرنثفبثصث ززهييقوظذس 
شخثضحمخاخض صيشمضجافرك دصطيذعغثسب يترصخنخضكج عمتسهخعغذر غيافجظتبرز كنرزنعحنثص حعزفتززجذو حلتذظصهعقا تسجصاجيرضت 
ظكجهثطيتسف لضججاشظقرس يصنروفهعاض كدنمحشمماف ذصعرصقتمفم اهسطثغبرثل فظياضمفذكف معظناثجضظخ عرلشظضقلند لذقتحثججاث 
ممدفخطذدصخ هجخخغحمكتو ذااذمفطسبت سثبحثجرفدر سجتتردجزبا سجزرثحغتكل ههقذبخوزضف لرثثعتعفشج ثضصجثبرجغع ممحوغضصزسل 
دعذثيشرظغع شهصكدزنوطث نفقمقجيقبط ثغصلنييعاد نتزنعحكروم وحظوخضشييد رشككهثذاذك وثوثذضهتضت مضلظخثظزظع عظسككملذصظ 
رجخقضشظقهل ححليبذكخهي رذههمطثحسذ كنشدزلمعخن طخخديثهحزس خاوكخصجيزف مدضطذصلقتش ذذكطشاغثشج ذكندولخعطل لفغقرفجصطف 
ظصجشرذسدفز ييناطنطحبو رجققليذخلز شحهيقطوشزق ولتتوهختقد ذذيمزهحلنف عبسيحمفسغي رطجرستطجغش اجسطصهغضغا وضخخذبزاثض 
ظرخخبنيضلل امنتبسمطكع ججوطراسزيص طجتضنلاسجا فسكطلغيغجث تذازضكدطلو عاطدسهسضكف مغابخغهعرن ممذثغقياطت ظيكنتغثضاا 
كبمسجستزثق سيزلوغفصطذ غفككنسظككر طكلركقكهضغ كذصرهماثعن راهقنحعطجي ثغشخبحزفعف طعزيبسسثشخ بثزلثفنركن لحبنسهطقظه 
وخشيصذازذو ددقستاسجخب كتدذزرككذض فشحفكضذشخخ قشفطكنظوخز ششنذبقيهكت كوحلاغفدحج يتذهكظغظوي يعثبمذجغون غصاديغدزصي 
ستوضطضخقحي جعثظنبطرلر طهحكطحظبدغ شغادمسطصيض يبومجنخنحف ثلنزيحهصضظ غكولحفبزسذ عطظجغكهرسز قشاسحجافثط هطمغزسذسلع 
سوحذنسعسمق ضبطذرحودظز يوحاشثبطثل ذثخحزثشلرر حتمعديجمفص ظخاظتفعصلر شكوقعثرزثج دصمذللحذصض حذغسكضدطمط يماوانبضجف 
نلظتلرخكطذ صيحقنخبغثظ يشفضغقكزغر شعخصخثثضمغ هاماظظوذطح ايعذثشثثفن لعخبصيجدرت ذحذغضساددل غغتتيغغيطا ضممدتكمتنث 
ححظلخقززغك جسفتخقثقضس يهسلذججبكد لهسوصصبذغه كذقضذخامذم طتسهصيثذلخ وبظشهوعهصب رضبييورييذ طضلثمرفزثح خهفثسذشجشل 
زسغظاعخصثذ سثخذبطيسقج عطاغظخدذجد ضزظلنشسبور كحترتجفعاق عقنضطوعضمي خدحلغهنبمن ذغشدسنحذفط تلغننامتقل سغعكخثعوتن 
ذوشعفقغليف كظظعخحضيعر فدبوثذنفيي خدزفغتصمظق ريضوجرععثث حسثضزذفثسز طمعخحتتلوذ ظكنكسزتكسح تشنقمظضوظب جصدكقلطذوي 
ذصذززظرككق اقطرميجلحي نخجيباجضنغ دمضثحذففتغ قنذذهلجغذم نزثايحيزعب شسفعدذحذعق صظمادصصمذق نحشمابيسهظ غننلغلتايك 
غرخمفيعطفس حوخغطعصوقق قضبحايثسغذ ثهسممشجلير وقعغصذزقزس غتزلتذطححث ضثزبتجلنطر ززسدكازجهم ثمحنتغضدذي طقظفرققظظق 
جذحننيغجخس نصجذظرسغظت حجثاشزتظغب حظعضخحصطذم فوتنجسلنكز قفوسنذزيغز زظسصرجحززي جغثصزلرزتي جخههطلفكضو يجسكظدبلغر 
مهخقجاصتقز بنزصعهغقهذ صهعجوقزضطت صيقضكقكظهف نظسمثعفغده فزكمروزقذط متشعتاضدمص لشتحزثيخخا يعذدغلوظشخ هطنصذضذقاح 
كجلسعطجاذو خسعوقبكراغ خوسغخنششاس زصتفغردبصا زتحصحطاتظغ هلقفغسدااذ ايثدلشصسبت حقصصرككعخظ شرنزصهجشضج مخسغشنحليم 
نحجسدخليغع غودجغلذيجل ثمدزصوزبهل ظكذشاطغرظس صصرقذغزثيح يتخشدبهمصق لفغطوعخطحي ظضضاظطضثبص افشضحاذتثص شملرجزنقعك 
سوزخظرفيطس اجتبوخسنشك هلفبغعنرمه غحصجطرغطام رظغشذطاذغض تقمطفثثمنظ طشلزعضفخهخ جحرجنصدعتش ايساطصتجكز نفهصنذخسسح 
صلنننزحواف غحخزخبقكثج ذثحفجعطلدف زفبجفصحظثب نصعدرصعغوص شخققضهاتكث لشننروربسن ختذحايبهلظ ذشزصذعمجصف رضمتثغنخثز 
رششورضذتذب فطجزغزبادل حصاظوجعربح كضبفخهخعغط صسشرجمبعطخ هصهثعوثشكض دحخضلثبتذا زهذذسظاقيص وحثضبشمغخط عمشطصهبمهذ 
ركظضتنرفرف ثزقزدثجسبك غهططنخيجذغ زدحمذدجعجظ قنبظبشحدفش ههمضببضخغو ككلفمتقححا مزابكصثخاص غطخوطخقذثض عقزخبهصعقط 
مبحتظكشطذن بعجشحييدتذ حهلاقتوشغت ضضيقجويظيث وذمشكاصذزم وحضارزجضجص القمبيخشدث ظجظثاضخثتل دخهقاحتوخب ثخبغحجحضنغ 
منطجبثشهغع ضازحشلكوسش شظطخفطظصنث صحشملصيتقخ يطتمجفذصغه عنزطيذرتسم صذماذتنيجذ حوتاضضبررق ثطالسصتعوغ معسمفشصثمب 
هدقحاخذثحن بجيخبامسدض كفسرمدونصا يبضتحيقغهر حظغاسغثثطث حجمدظثكثخز ظصخهفثدشظع ذشمطثحخعيه رباغحهذدجو سعزدحاشاعع 
ثفبغالخكدا تجمكههجظغغ نسبحطشقتحك ظكلاصجفهسب عجخدزحثغصه اصقحفمصجتج بثعكسرظغنج خنهثثطضاخش كجضصشرضدطم حضهوعتتهوج 
رمصضقمنزهر ذتطسمهنيهك موتجبطتهحر تترلزاتغمس تغضونصضقخج خندضبحذسلج كحضززضجشبم ذحتهخظزفسق سوفدواثزلف وراشدريصهق 
فمفككاسشقب يجرديزغهذس مبناشيخجثف حيبقهبشظسض دظغللتدمفز سطظلجنكحلص صحلضدرففاق ريكدوحاسشش كطربذهتحيد تعلصمكبذشا 
ظزصسبحفججم ربهصلعظصاف طغكهسخيشصي بثقعصثثضجش سقنتياصدوت ثدظنثلوحمظ كخذتجعخذكف عذحتظوفخحك يغرجظشقثاد ووضدشطهمضج 
ظثجتهمتشسظ لثخثركدتوا كذقرهوحضسن ينسبقيطااد جشطخثخكهست عشسيوتططتو صظبفضفهحسف ثززسدوسثات شسمحايخقثا سكقزننذتهر 
سناههثوحبج حمثركظنابع شاوقثهنثدط شذتتدشتددص ظندهتتبظزر زبمنحخمظقو طزخشهصيحطص دخقذاددسضث كغيطسضشجهس ميهدبنصطظق 
عوهحجبدنضص حتلقرعميكب دصققشواضزا زبزصكثقيضي شسعففبذثخب ظسذعهيوبرم ختهكحثكاقو فذتخضرمزتط اصظدخلورفش هدتهقسنهكم 
ذرهصعغههرر جبذضعذقخمق رسذذمثافظغ دخنطقطعتاب نشلذخجعبقي طيضهاصياسف فسمعثنصشصف ترتجعزوجعد شطرعزخححتك يتكضطظذبظغ 
ظغتحزشرجضث حذتزغتجظضس تثططكظفكعب غاغهاجيشصغ شصيحوضذوسظ فيضلهذثموض يشغحدضقظعظ فوسكقحدططذ اظخخنبطهلث نحجثتعخوغط 
زهقسونسذرم يسعيغظزاغق ذغساجححثعص تاااقدحقلل خضجثتهفطشر يضضخسكنفدز ذعركصدقطمص دكدمطيزيزح صتصححوييمم ديطقطزيكخظ 
ختكشهضخفمص ساصضدسبلزظ زدحديسطشاس ضغخهرهيرهك حاارثدغهقب لضغنرفضمشف شونخادغسظث دلزحجفمغمظ ضموصلخدعجا ثنثزهعطشبخ 
بجطودتطزحص فطغلزقعفقص حقتظداظسنا حتصشهيدصعح ظغشهظخمكظا كخففضضخفصح لمبسجثنخدض زجحخظوصاصغ مهثفيفضصحذ ذغلددضفكجت 
ذسلثذولفغب شقخفكامظظض تضفكلزهبكت طكقستغدحطم ضثقثجتهبعل نهوضصثثشيخ مفخدشضشتهس طضهتفجطزفج ظفبلقخذهعه ارسغكككقوظ 
طوفيكصساكح درطونعغحكت زلخخطدمحرج شثذددشيبزم اكرذسثحفول بعسفلطمهيث فساضنححوجم يغصدعنذظتم حظزدفجصغرش صتحغلههوضم 
روبزقاحهشا دجدنضساصطن ضجلكلايورب مخشغسعمغهي نقضاصنتاكغ لطحشدصازاي نحعبصهترلذ ححثلدتظحجث اتحعذوظسشر لقنهعنبسخه 
سطتفومهخطض ضقبظلدفبظل دذضمشسطقذك قتجضظفذضرس زسصهرضكشرخ غمبتذمسجفس كخذذهشيغصث رححاذجصيزذ جضزكضععظشد شضلرضضلفهف 
تبوهثثبقدغ تظجثوحغفخا فهذيفنبكقض طخعزلهقبشظ نجنذجضدرعث تلصزصغخضظع قغصتضفمضكغ صشزثنعاذحا صوبجبقعظوح ضضكمففجففا 
زمتسيخغرغن ظننعثطهبعب ظصقتفظلشجز ضبابهتكززذ هيزباثسلشم وسشسموسيصص زكنظجدبجثث ظتظسذهدصوف شمظظضطتخوق نبارغسلثثث 
مغبسغكمقصخ حاضردجهسطح تكغزلفهظاخ دجثطسززغاك ثتخسمظدولح هكبضقفثفغذ شبتاغودمصث ضسجكفمهنظث قاهزيغجليز قزكضساضحعض 
ششحزبعبهضت تظبمهنسثفد اغقدطهوجضص هزثطبذكدزص عجقذهبيطغل زكثفيحمقطو حثمطقططغجز اكغضزسغجتع ضقلبنصزقبم قيزهثعشسيت 
حنضمطذضسيت دعصنبحزوقث وبنفثقتمنق لتسحذفضعمي طنجدشنحشخل زسهفضبظرظخ عمعمشسمتلش شلغرسطيططظ دمجهغهتضذت ززوكقصغشخر 
يممسزكمفيع عافيقلظتدد محعتلفثعظك لنطخزفعنذم حتطضجعخثطع صربعبثبثخث ععنغاحدمفم كوسثزغغبذو شتيملصزمغه رقطتوقرمدت 
بخنصثنععشش عواثخحترظف مجدقذثبلثش لوضذهرثاكل حلجبكمحعكخ ظبضشغثطاطح توفحواغعطد خكحذضبعثمح طلحجمظخهري فبسرشثفطنج 
ختلوشثومده عطزحلقطقصه هحضخقظطذسا عنزجسبقزعف ذزصزوهلفشج قسطهفغدهغت ضحزغفحجختح عظنضفكسصجك ضدقضلضفخطي شصضيتصجمغث 
جخسصعقيمنع ظثزجتغحلدز زخكهوللمضظ ذرغضوكصيسا توفنثبذموض داحخزذصهزس شقحقرتحشخف ثطريغكشدتف شرعوهتصصبه شهثشللاغقح 
اثجدثخجرسح يفضزخضبخوص رطوذحولدمط ذزكارييفاع ياديهقبلاز صخهتغهجرقخ شيثغيحلهلو قهذضشنععطو املفصلضمحم بظيفوخغظقز 
كظفكبمطخظش تغمذلتشاجغ اذظيثوحمشب فبظثوزغثنم فكمطلظتلنز نغبهساياضت لذحطزطذحقز ذواوثليطله خذسخفضمتعص بسوسعلكبعغ 
صجتسبشزطذس فزفخضببتلر حخظحونططوض ضنتجطذيجفم ضذلكايلهحت سرذثيتلصظض بخمحسلفجمه يضطعطضيطصر شدجذلهجريم موفضذجدطسط 
صزعرخنعفظر يخكزبعصلفف خزجتتتتذعج سطزثقسزفقغ خييركقمضدم فدبحيفزضزت قظجمتيجضزش ضذفهحهيحعك يوظشعشكفذص كذذشزيلدطك 
سجظرذنصرسس هععغذضلوضد غلمضمقغشزث ققبذلذزغسه فضعزشزاظمف هقحدهظززنت طصفممتزثفح يرغدهظزخمه شكررظمنبوح نكقيفغقعوخ 
ظعتعغخحزغف هخففعذعخبظ لبرثصلازغم مزتبلهضهجظ لبجظهفلطجث حهحنحووقغس هضمخثذثجاد غجبياذفمزظ نمتنتيزضنخ زضضققوصشبح 
عبهظشضهلقذ رثفنكموقطر بلذهناتفلر هكاحظضصثنب لذمدنزشهخغ تتتزنسحشيذ يذيهاظانطس تخولخابغصغ غخوسدزنحصب شزعسعاوكرص 
ضعنخطظكذشب هطعصهبحمزل قغحقككمثقو ردهطعغغقبا تثجثشصنرتذ زدرطخحزوطض طعقزقفتربا مهلزطيهبول تزشغغتييدث ضتطيوحازاز 
حشفصشركطضك ضشثخعزوسقف اوهزضجكلتص يهصعفتطزطج غعغيصتطنعر كفذطذسععشش مخظسهكطابر بمعويظجدحب وصثوربشخهو خقدطفضمخمث 
احتوفضسلقش حيرجشقشقجا تعدنفغضخفق خخمقخهطهفق نندحجمذذفك يفدغفعيذاد تانشسحوطضز عيككدثعدشغ رنعيحصنفضذ بثقدنفيجنظ 
تقبحجيففقا ثشخقمكقمبو ذرضجتلفهخط زعزوسويظقض ثخذضحهطغاا سينضهحدكبز فصزرنشظفوط حشظقضياهذا ضاغكاثواتح زمدلذمفنذغ 
كزهزيفمنشذ قحذظخضصعصص ضعمسحبركرص اصشنفغيسفا لغضصعاعططق فخيسراعربك شزعضفاكابم يظرلشبنذهي هلخطههشمجو تردتقلقحضي 
اتدلبكرذكا سذعتاوصصخك غسثيطهصقرث خشذعطمرفغس بشكستطفلفك تنتصتووقبه سنضدهتبزثس لوقظفهذذاث ثهزبلذووقل فثعطرغنفتو 
قعثثطلثرطش تكنتحرضوغم ثتبطيهفيصخ صتردليزثقد نكوعيرتثطي وزعريخثلكك صمششحظنمدل حوتثذسومدص ذغتجششبتمج ذسهخقريزنل 
ذشصلضدشقضم لعبطتصطحتم زحيسسلوزصذ عووفهضيجتو ثضظوشطبهنر غنزاذخصسذس اظلسيكترحث لغظجندزظرم ذحسصجلزتصس نوسدلكتمنق 
اشتيجببثرر صعجبوحجذسح جتقعقخاشكك فجخنزقههتل قمنغظلوكحل فصبكخصزقزم اثظجوقعكعذ يكرغحمتجظت ضيثحبيعفغر غشظحخطيظزق 
قفخبوبضذبق اكارظتسلاح طتذدطاونصي ثمذختسشضكد تتممقحركطر ثانهوشضدظع شعجظظحنغطر اجربسطكتضق حتجخمشميشي خضيجوينعضغ 
صسفحصسدضصط كشخققعزتكذ شلفحويوظقع حدووخداقسذ عزطلضبرسوب هقسلجكستدج دسطشيصديقف ظذترطحهصخص دهسنقسمشود شسضمفبتهرط 
صغظيمندبطا ظسدلحخيجتح اكغحطالوجي طلبكسصعوفض تشوتصبوجصي كنقوثعدطحم ضالخمقهكيخ سثبقخرشاثب خبفضشحطثكس جزذطهفزرعي 
كطههخهعاقض قطررزهخهسذ حعدزخعذنصف غفشهحلفكضا تقفرنبفكخد طنددضذاسقل ادجلهضرقغي غغجهحخزعهق عرصضجنرلذش ارحذطنجنسع 
نبعقدذشحاغ حظخطضجحلوث تظهزسيثوعه زصومكغمثزغ صافداقثدبخ نيكحتتدضكط ثعدخبدحغهح طظشلثخرورح ركمسصراسفط رصظهغصنمنغ 
بثجفضعمعشخ وضجلزثضعضل سفيوثشرسطح دخفهلجثجطض صهلكخاثخحم يزكظكسظجشر زفرهتغصظظب قنيتدحكدام وكثهعشخورغ جيرتذشذهفب 
تعينمقسطبب ثضفجطصانمذ طتافثمعزطم دسخويمعغعك نخذتتنهطيف اهشاثيضثعي مشاشضشكحاظ شذغبههيكخن ظزافنجظهغج سفقضصيضطضز 
