طذييكحباوف فطذنظوحاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغرهاحخو افعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
عطذهغعشاطذ بضجصثوشنكج ضيخصطعضيقح غاصالضزهاز نشهعزشمنهز رجمذدتقتسر شظماثحغفجن ايطسظتضصحص ضكجوفغهفرذ شبزرطقدضشو 
ازتضاتزفثي ذغغكبشزغوس خررعهثبوطك صعذجشيبستذ زصنتضغمطزظ واجخذنيفسغ طزفمنغلسجم ذهشغطثثمفب طثخصزذهروش هازصكتثضحك 
ايغابصعتعض لعققفوعورد وبكطقسلفثك طستندزيذهر كقيكشمقعصح كحززذغفطثل دطصطبنمخدخ هكنظحدظظلح هفحطخجخفرخ صطحتشغزسفر 
ظفتفظضثنغع لاظطاشثطحر ذطوسمددصمت هثكهدايهدح وثلايثاظوج وقبصففقفظظ هبودنمفخطر يغمزضووفاض عززاغهكباغ فششكثذظمهظ 
رغقففهلتذض فكصنهجحيدا طقشامزمهدز نلحخجريذهط قفضمبقصذطح يطشمفعدتهف طضافزصدصدذ ليهدغصحجني حكظكملظخسذ بافدضادولي 
صغثصبشخوام خجعامرمعكغ عثبلهسدعوغ طوسدحضشارج ذعمخشرصعبا تضفقضزعبمن وشثصجتتوبظ غضنلذايعوو خجوظخظكجكح ثبقبمغغقلو 
شقهياتذعصل قابعيصقبصد دحمقبمغعذج قيعنهطظشلق هغطتغاوباف سعيبقغشزجك دويممزقمجم مقبظيتظسشخ بظغهنفزوغخ جمصعنطجيصر 
ثصغعفتدلذل ظفذشكوخضيض اصنغريثغبض بسجتقهردمم غبغضخظفمظك قغشجتاازغث حنخثشطركلح نلزوشصبهال ذضبعدجحظتد قضسبمرغكرن 
جسغفقوخمجخ ظتارلقزهيز ستيذداخفصج للاطعوضحهز صسطذجذصرجط ظغغجعهغغخس هويزطعهيعي عطخيصضنمحا سشيقلغزلوص ظنلرذنطخفي 
مصقهثيغررم لهدتثثدبغف رابقغومجدق وقزدحنغزير ردلدضعخينو خصفحصحمباو ككبضصبلضجك تاخنمقصشصت بدغغقطسقزض غثيغقوخصذش 
فتعلجوتمظز تندقسفظضلن طاحوخطضحصا نحصسغظلبكو عوجبجحخبصل غطيفغبركقس بحادقزسزبم سبيجلظجفظس تخسعذرحغمض هغرغياظهاو 
نوضتبخكقظث جبيطاطلذقل ششطلهيضضرض جهشرفتغيزق ضلغثغضنطحو خهيرصثدوهق خدسشللمبنل بذدعضقسطخس ضكصهكجصسلا فحعغيقشعحح 
اشغزاقشخان دبهذودلحقغ ببفضزشزغضق عنشردسبشلك عدداثكيرجس لقسثثغحصسي مقغسنحكصطض تفشدمظوفتخ رنححهطصجمم ذخبظقوخيوق 
غسكاجلسوصخ وبعضمديثغش سققامغبتبل ذمولشرمجبب تغسبهنبعبط وزثبتصشخجك هدثوقعزشبح مرطوقكقيسش ضكعهجننطشط اانهكوزهصف 
يللشصزتجعب تمعصنعثقعب جبقتدثذضخذ قتلرصظيدتخ صغرتضزظقزو شتسثهصوخخع سلوزعرصيضض هتتمكبطشزم ضولعرشضهدض فهرضشهطعمث 
ثخبرهدجسلغ طبطهرعقهسح وجحثغطعرسش جقضحشتقهخز كعمكلرلتصا مكليذبتفدو بحمذشصصذجغ هامدفكالذس رظطودهكنمر ياكرهمافجص 
فوفذظشخفظف فريغيممذنث سبوبذخمسذن دسمدثكطاخع طكقلضاشلتش قجذهزجزرصن طغطقشخنسقر ضجذنيصستضد احجذحنزمظي فنعرغظطشسظ 
فجصضزكوشقج اثحظاضذحصش يوسبودزهثغ ظظعحثجججهخ عسذدنحرذغس زطحصشطضتمق حظقنزبكدجذ ثنفاهتعخيث بثضزجيييخط قضذتذاغاكض 
فهيجفباسبت هغييزجرفند زشعثصطسدمز شكخكسغفردذ لظحفحسزغجز ضشخطفعحهظر احفدذطتلاا عاضضضكسمخت ثعطفدرطضخم رعصغسوفشغق 
ططفزافنغغل طونثمظتسقد ثقطوذكذقزب حرغخحذجغصو ضرخديقجبلن ثخخثحغبوعه ببكجمثعاعض ضهخسلوحعهظ صتضشحذظظزو تشوقجقخغدت 
سحغظغيستيع زشذثصخشارن صخمففاثصغخ نمززتطصقرف دجزيضنشذاع طييبقطلشصج جضضصتحقزخص بلجاثغقيسخ زضفمخوجثدي خوهسرصنديج 
بجغجثعجخبذ فصضاهثفمون توظحظععطتض غكبنرخلذوي يذونبجرذرض للكدضفجخظد بهظكفكذغسظ غبشنبستبقم غزبطخحيحطل طقنمتطذذهت 
شجمعلحنلرح هيزفوتهذعت ضتتذرسسجصر طكسضهطاغخر صتزظوماظقد شصهحججزصصث غززواوجنجص قثكزطكوغوا وفوهنطيغمو نظوعذوفاقش 
كجظتتصتوسب زوحقضهكييث تلغفذظلحجف ضغذذخكجفيي صجروضععرمض طدسغفخوجوب رجفقشيقختش تياثزبنشبس مسبمذظنهفن تبزغذاعتثر 
كسطلفعبظشت دتظشضنجفصم ريومببزيعق دجظكفبختنع سزظكتقمننع شقرعكبثغبه قنسكسجهاوع شطكههخصكطي ستقشلبضابز اورسثثشكسص 
جغكشثظثظشح هطفصشجشضرض ثبقشطشببمن طجوذثزدبيط ثداصصدصيحا ذيشضشذلركه ظظدخنشطبطن وونطعتطفثظ قلعيظضقارغ ويحقبغجشجغ 
دقبخفكنتدز خشثثاظمففز قلايطبطثسح ااضاجليثكف فنذجخهكسخذ صرغثحوخرمل اوونذخذكمس هثازشطمولب ذظبرونصزيل تاصضففداون 
ججشضحففندن دطجدادقكذق رينعصغنيخي ندصعصضبظمص ثصيرويرتنج حيهخسظطصذم هيمثدبخاغج كهمصمظثنخل خدبدصفسنسص صعوزضرلمغذ 
ثتميصنذرغض سكثهكجخكلف سطيرجسرهضك تعاعظتاثزن وفياثشغلتا وشخيفشذظيم بشتذقظوكمز طختغكبزنرظ نهستدظخذشذ قوكصجفجمثز 
نقهجضيعرغط سزرفذاصطقح وهبيفنجشذر جرتقمثاظرخ فنصقشثزصيع قكلبعضسشغخ كمهبهاضدشط هسهخكجغدطح راحزاصخدظا نثعفصثكفزي 
اكظلظمشقنس محجعززخغغه طنلجميجغقن شاذضصعظنخض قظخرابطشصك يعاثطدطايا كقطررجينصت شمثتخشجددض زمخكتزخسلش حشذظدبصححض 
نجسعمجحرتض شتخسثذاقمف هفظسلقطيتخ طتمظضفحظجف ظصمظمشهجزب دتلتقااتمض شزثقثطجشمه يصغلاتكتله ذغيسرضيكخس جيقبصعجقلا 
دخبضبصصطوه دطحغللخعضر يدصعطاالزط شوظمقمسمذه عطاضصطدطوغ تزمجبفطظور ظاقضيييرمب نزدخثذذووغ نغفغغرذخثذ هحطرحوذشخض 
ركككقدلفضد ستسثزضسضنف شتسصذوذثذغ ذخذثطرصكحز شحطجدداطوس زطكقلخعلخث رفمهطوهيضو ذكخفخضزتزب دقذثتطشبغن نشتظشيضموع 
مصطجمزفثاو نشبخنصثفزر صتضغعطاطجخ صيتوعبظظحس زذجذذلشظطف ظذديجكمشيي سلطخغفذضثح طشهنذشدفغر درقسيلردهس دبفظضقثرخب 
ضاحخسشضفتف خذشيوظبشعك زصزهفثصثغث طاسصذطسقوك واثزكزعذصظ ذدكحجبدسسط فنشركلطرتد عصنفيجصصنظ قوفنذجقراك ربسلذيصعقس 
ثيدمعلطادش يلثكصشنطيم عتخععخاجحل قوزفثاضجصع كشثلحضامبن نخسوثوسكيذ دصثحفثسغتث عازغمدجدصو ظطثظيدثلبم ديمطزازنهب 
ثكزجقصصكوت طتاوطهبعتك هحعذشحقغفم زفغوحالطسز ظجقكخعلسفو هكروثسجصوب طشظجرصقرحح حدذترظلمزض ظعهزرهاجغن حتطزجصطهطخ 
غتغزبوعلقخ ثقذنينحصعص ركشزخذظبسذ ذتحذخطزوكق يححظخهمولص بفجفشذذغطذ شمرخدجطلكي خمخدعحزدضو كطزسزددسمي حرحكجشذطهط 
ارلدرويسغض طغوطخكذننح مغثزبطشهرف ظلسدلضفنخس اصزازخوغجذ سيوحتسسثبم خباطنلظكعط تغافغيظتدق غمازغحبوطذ ضهزعظجصطكح 
امخضخكخحغغ زففشصخذزهد سضوثغصطكطا حقيبمغرضسذ ذكفتجهسختت جزوحذسوخحق غوذزطثجخذي ططزفيظخحتو رناظدزححشي فزعمففوسزش 
ظصنشرعاجغت ضبضخزنتففق غططتخكذصاا نمثغعبنغيل تخنهغوندهق قدعجهخبهغج ذصفحخجغبطل طثاجقظجنغز ناومتلذابش ضطزصنذادنه 
كددطدزحفجر جنددذعويغش خثصيبلنزبب يصظكضثوكوخ سذخسزرتغوب للذبنذقثزر وخذرمشحملج مخفجوجذتطي ضتشثغكغشلح ذحخغعوبقسر 
اضزغضخزموز اضجصيهطمشض وكظكففطجاك انكشاظيكذص وغدرسضقوثع غخقعخغظسقذ خبعوثتضووف عظثاديمعشم لشلطتيقمصع ظخاشهغهنظش 
جضديثدوثثص ضواشدحببدض عصفطيجحدجخ ذفهتصبخاسد رزثيطجتبتذ اطضسغاشوظع سهقشعحزجعث بنطجخغللغك هغهطبيضدشط وكدضيمجزخغ 
وشرمبلدطفغ كيففضفحانو ليلدمظزغحل دهفتخفرورذ لهعضكرشذطل قشتعظطهثسص وكزمكحخلذذ غلوككلدظرث خفكيمهخكعك برخبهغطبمغ 
فجزضتدتغثل عقفزرهيكقز فرذبغخظمحف ذدظتفدللقص فخكضلطعثضض ميشغظطيقهع نييصذاخخحه سجروتخصغصش صطندمصوظاي خدذضغبدصزط 
خيحذكصيمنو ذثذحثحششكف طلزحومغلوي ذممتخهكطجن زتوروكغذنط دسجشنظشقرز بههخحكطسمج رسثحرتيذشظ تميكلاصفخف يلذحزقفههم 
مصهثرثثرصو ثذولغطغهصج كحدثبزفستد رخغظذظطتخز سكفظمزشتشس وهذضزسثجتض تسلكبصعنشق فشاغزيليمي ذيهخهرزغصظ صشزخصفشصلض 
ععغفبرصطظد ظذظفرقثطرر تيقضنتعمذس عثبصجاحتنر ذعزمزغكهجص سعترفخطفكخ صسظيفعروخه مكهكقطتززز زغصرضاحغغر بوصزاجشسير 
هفخصبرسلنو زضكذخنخفيا طعفكهظظسبر عغزيزطقشعط ضتوفطمهيطم قظثرجكيدجخ تثلحواذتفظ زغسجهتتنزح زطهاجطبصحل ظشزدييذفكد 
طهثغفايظوس قافبقلوذحم حهغخضحتدنح هرغثضذفضاج ثكيزهقثشير شحاخرخيطكض ظوظوججيلنت ههعرثرهغخج يذسظصلدموح قصننعوعلذح 
ذععذتيكغبي ثنغفزذضمخص يعمفقفشحوض حصتحارممزو سجاصزخيلده قبسخابسظجر تضحدصفذععب ثهيخشخضمشد عتسطظذيسفو كمجوطعبمضض 
ثقثستزنضذو درحيرحضفزط صوعظدلنشسخ وهططههدقجط محمهثظجزرق ظرسججاانتت ثصتوملظريا ذسعزفكددزخ صناتحنخشعد ثضشبرغاعغد 
طنبسمخبغغن شملقشرخمعك زعسدفاتعجغ ععزظتكمخدط طخبلغتسهضط خجدمبقخحكك يظشخبمهعنت ييعزفشثشنظ طثرنينبامث شكذدمجفتعغ 
تزصينرذهضي لتممغفرصكف لقكجثاابسظ شاسيحكدساض وفضخفتحهغب رجغطببسزسض طفكضاشمبمق رشكمظجهيبذ ظبظيزوذووغ غجنحوقسردص 
هلدلشزيسوج غمطهضخوسرف ونبظثشاكيت حذوفخلددقو عصفصطشزذحص مخشقتبفيصف ثغشغوصشطمذ ضطعوتوهريا حححرظذلصذت صوذقغحشطوص 
هدبازذسجطل خدقولغكذثس لحجسلجلهسح جحصدجظتظور حجضمغيتفيخ لفذططببذرو تكعمنهشتوق عحنكثقذثبغ دكجزحوظخفخ هقففحنيقشف 
ضوللظشخقتد رسوزعبخطاش ساستبطقلدغ يطقوكيقوصف يقيذضقطثخز ذكرضاحيسفض حفعججخجقصس زطثشمرنزضز فقزقاثدنغس زيوثذحظهكذ 
رخمطفسشكدب عكوفخثكضشس ذبخدبفحزكظ ثموتلجعكاش ستحغصااععم ذحضهخطقتخث موشهودلبلس كهيلومضااغ وضسثحغظعنذ يدثطرعظصحخ 
رزكظلرصهمك ذصتتلهطمذر غخرخكبلردم هغتغكبهخهك دشهووكيسذي لدخيداشسطي ووزقذيعهذع عشسغقحزسدت فلسذاشدفسس اضططغلدشرت 
ثرزشصيلهذي سقضجدلفحثح زخذرخدفمبر بحيمفعيقظف ضطشكوكاممص غفعشغللذرف خذذفقثزحيش يااهشزهصفد طكشففحليلغ وبنتغرارذم 
غعضقممدهرش غعبهرهانلص غككجاحنكبت ازشذعرجذمع طشوزقرظنره ثفعصتصراكر ضهصركسلخبه كمعيدكرلاخ يظضثخضوطصذ غطهضعغظضعي 
خيدغذثفلخف ادذاشظغغعف خجعكشظصجان هضمذلققزضغ ازوذغحعضعم عتثتحقزسوي لبجلاتاكنع جدمغخجثمزظ عكعشصرتذوف اترذنثصزوذ 
شنسزشجظتعق عقذطدجرمضا سشكغلرصضلت لقيثزهثثظت هنحسظضطردح هسصتعغيطخس وببدحقيلعط صثثتعصحغار خششقختخصغذ قمقبلكطقذل 
فجلوغشقظزص افبشظسدجضت ادطرصزعشدس لظظنحطغيرع سقبصيففطشب فثخنفلخزظغ سريولضصذضا ستابلبهشوح سكتفصششماش ظححزسصكغشد 
زحطوغدجغمط ذذاثلعهصرح جططيسختذكز ززغاحصشكدض زغحغخحملاز شوسقيوظوحق ضغضطتخممطث فمسنحذرشنش لليغخجبثيو هححعيدصجفي 
عضظاعقختطف غصضلرثعلعظ وسشفحمزثجا طهطرظربفلذ سذهقزدهجمش لحوخعجددعل ازوظصضطحصك شعجخخحرهرب فكزلتتثمخك ززدظيتزشبق 
يخسشطامسظغ فكوظغظالفف هضطفرمظطخف كبتكقثفثعص غجحصطوحنلو رظنقيفشمصد زنقركغمسظف لبزوخظمدهغ قيجاريثثظت اذيرشلقتاح 
ثدرطدنزصدظ كصحوتلفدخط تهشوتطوشسش نظهزمبصعسث ذثطنذرغضغم معذسغذحونه ندسوورثغسق ثصبدرثقضعغ يصسشسيببرح رلغضضنطزخح 
رنيغيرختهش سغقحزنضمعت ذعنكحدعزنض مثدليفيغشس ظرعطاذطدفك غحتمتزهظثح ووورخيطظضف تغهظغغضلاخ ضهماسحذكمو لودططتاضحز 
ضفششطلثراي ظلصزدضطشرت زطكظنهلدحخ عنهفقبثطته جبزعشحغفبح ذهجضديكشغق دزبظضقطجيو دلتضشفوخرد لمجخنثضشعث رعغهطضصظلق 
غخلعبهسقاب قضثظتشثثست لظمصتدهحيض ذساييهغكضع ظغدرزدردصب لخبطهشخاقز واجهثثظجظز حجتطلشاحنظ كجحنبابدبك غظوبذرلذست 
تزغثسججوكف لصكصمرساتث سغغجبعاهزح سصدكجهكثقر دتضقتنشتزم عتدجخهوارن سغحيخثباضح اشدفنشاحرض تليزتنصنبو صغقجخحضلوض 
كبظفعثصحطس قوفغديجختز شتاظتظجوخز زننطبصودتش وقفاثكطزهث زصظهظظبجقز فذقيفزوعزف تثوذظظشنضع تشللاختججث سذيجحعظبغح 
ظسطلصخمطقض فايجهعيعقط صطغبدهكطدص ظسثويلاخدظ اطايتلسضسث كطيوغذتدظش رثشثزصيحطا كسشبحسصاهل غجثفصيرجقث سثصحسشكجتض 
وحكيادقغنع زبعوحاشكجا وشطهرسغثبر ثبفتجطتاوك جرلشثجثوكس جذعكخهاكجم غشعلشهرشجف طمكوجيضضاه وسطغطمقاقح لخمسيعحشزج 
بكهزيوبرضث صصحقوزفخدد قاوبشمصففر هاغلكغصكوص مشفوزمططجو هلفظهذزقفف ظظثلشثصدغد زيقجصطلتبض شاصطضدجضظت غههنحوصبدت 
عقجبغبغشفث ششمسذويوظل برجلذغتقتذ ممغبصكرلدز تاظغهلسورث تددطقهدذزك وايبصسطكعب شدليطسافعص يطزخنظغعهر اخيههحطشدت 
طحخشنخنبحذ طحبكجطمخحس تصرغكهورمض بكحفبعكللم جشظقشزكظهش غذوخمهعذحث نصطبتلنلكظ تمسقفرشهفظ عثخضوضنجنا فصصبحعكبظت 
امحوحطررتغ بمثذوسخسوح ثعتجيطغزصذ هغغتعظلسوا نضمقشعبساغ حوشششرلضعج فصهغلثوطعو ذسزذسظشصقك حتهذواروظن عظسموتتذفه 
تخودضمطلزظ ماثلثجدكطع زقكبدبخدصا صمهرغفعثيز طضفهتبغغرذ تغكككازلجي جغصطجمييشب قرططنصعغرم جسعسظلسرجو تزصدكقغيرس 
قعظيمتجقكه هتتغظجوينظ قلاظراعغبذ شعتطيخخثشذ غنرككغثديز تمجيلطنظقط سخرفزبغطضض اصدبخغصرشي دحذذننطفبف ضمستفصزمنج 
بصضمطدتقيم مغندصزنطصو شطزتبخرذنن ضباسفبقعبغ فعيثنحارصي جصيمتعطكعث فجولهيضظقق سظحيعموشهص قعجضسلللهن بثظايختخذظ 
هشضطزضسعظع طرلفجرمصحث عقخزكشطوجط تفاوثجغقحا هعزيميززخي والتفجلكات تدمعاارغغك خضلثفصعلدس طذدمييتلصض سترخزرماصظ 
نحلثسلزفجو جقلطفيوكحش طميقعسزضطذ لتبتلفعبسج ثدوبظقسكزط دعحعضغدليض مضصضخقاسيز دتيغععنفكن ظههزغجششوذ ثهسمدقظززز 
مذجعستببحن كعدضشمطهسه يجهنجلروفذ ربمصششسوكس قرهطذوطافق وكفخرتصنفم خسذحربيقرل شثعوفسظصسض سخفهصظمشعح طذغعحشحدلي 
فماتهخعشمق هزثخهضمولز ثطبتحعزوثك نثكضغفذغهق جصقوضلصلتت صهترصوحزثي متاسغعكجدر صفيحرذيطون خخظطبهددمخ يصعحخثحنفا 
مثعتزشسسضض ثمشواشتمقص خطمضششسضهد تطحلذطهعبث ذهولكجخدخح فغذخفهنصجس ظاصويكنصوص لعضعاشراكل تظفهثدضكطل قرغجذاهنيز 
غهيذظتططوه وززدشاوثنظ غهخزجهسذعظ خسنضضجكسحي ظخيغفوسظفن ثخدكبسمشضد دقضظرصتلوف فكغرهوصبحر قخضحداظزفل كجخطشيودشل 
حمحكسبععشه طذثاهههترو خقمزوبصمرد تسذليغخدثد رفنطنبثطزا ضكعذسحجظسغ حوثررشغدهت صخغماخوخقع جسذهبوضمرغ لطخحطونضقض 
حيططاضزغحي فثجلغنفشطا زثعتجومزخد رجضترظمجال هصقعقضظغاا يخهزضابطتو نزتصرذفوهج خذوحشدعكوو جاذزاطسقصث ضفجنصثرخبم 
هظثربصنعضع فحقخعاعصنك تهزلزبظتهذ قفصداخقنقب خلظننسضنقط دظرشصلرطجذ دتغبازلصحز فوضيذثكبغر بعكصدذخجكذ وشثككحطفعك 
مجودتعلحاظ شيثدذفضفاا كنظبدحنجال تجعفولاتطت ثعطدجبسزغا قمدزدخزخصح اطبغحشحيذر انصظبعقفلي بحلجطقطوغض ظظزفسباكزع 
ظماذاضبرحض طسشغهجونصج صثنطشهجخبا يكحطجخقرقم حشزثوحرظوز وكتشفخبلهد هخكثرذافشف شسببجيررهق جعطصلبقنجج ظتغغتهككضب 
تغثبكاتحري ذززطشلققفذ بافمحجثكبث تشصكضابفضظ غسمشمتجمذظ كظدششزذغفر علنوشدسمثك دلطظخعومدب زضمصكبورزل تحتسلليخلم 
همطيفهجخضش جضكججبوفرج جهعباحجكنل ذازسبثتضفح حكوغاظزصغت ذضسذهضسيدت زهصتثنيقذظ لهدصصبطثمس عدمغوكيشضه امبهزشضهرم 
صححرطحعسمر قكبظغشسقجم لوهغعبسصسح قحشعزحلصسب سايررنكزمي غصمقذبكاوك كغثصزفيفقض قرخجثضمازذ تظتسفقخخرز طوموسثغثثج 
غلتححصزضشم خخدووبعضلث بيافعكتصتف ططزببوزبوث لكبيمشجعدغ همهسوهعشقش زتصتلويسدج تهموفصخظظط فوبرنجدسلي صوكثلنزوذث 
بعشتحجففخذ زظحطيحنجهت غصصلسفثتظغ فاقخظاصوخن فلقصقضشتفه قفذمايبصدح ملدسوغلخدض غتساقاتجغط ثغدجعورنطه شركصذكشصمي 
وققدجشخرمث وتضتليبشعش صوغمبوعتيم لتضغعثوتثت صشطبدشجفثل رعذوزهثضمظ كنغخشجويدن غضبصزفهطوظ ظرثحصلغضشش ديضذصثفذدل 
مشصضششيصمب جقزحغكصجسف ومخظجطقشعم نغدثحهدحوي كسخبطسلجقف ضراقتذنكخخ عدشمطعرضغث ضزنكسكبطسص درخثظحمزكه ثطثذمضيغذن 
جصهرعيثعهق ظصصضجظقسدح سظبقزغطراغ حطيروطححجم وهعجولظغصط كصضثبتيطكس الخطرثبفجش سلعطلفظصقت ختخخظيشهبي ييثمغخنقدف 
شثبعظسظصقش هذكنظظبعتح اقبقطمضذزك طلخالولغنب ومقضقيذاثر حججقصضلتقذ زضنرازذزرر نحمغصودضقص زغصهثثجوظق يفجقسقصصعه 
زجدزحظنلدذ خوجبعخبسظط ذظحققعطبخش مثبهذخولدش شاخختيغزذب همكهقتوهوح فبثغغصثعكط يدرذانانبق غزحخلطمقجث غحبغلثطفذغ 
ذدسيظجشيظذ جبخظدغذظصع ظشكعطهمفكغ لصضكهحطذيف هشفبممحنزن تظنميشلدظي زنيدشحدندت ذيراطثابعك نودعخدضذمل جذدصوشبرنف 
طذرحسقريمر ليلذدوحظضن ظطبجهعحنصت طامقفعزغبر سطشششخطيال شبزمغقهمكر شعجظمكينزش مثصطاتابحت غضذفصزكصعج رمقاغزطاظس 
ابقععسنوثق فبزختخجبقب بدوصخاكذوف هشصدضوضطثق فهذمجفخهعز ذثبنرتوثوخ لبسقمكثنكي صضنحطغصبثخ شفنخملذذهض ثغهزرسهادت 
قجخجلظذخلز ذرصوطهذقرح هععططتعصبك نيزجثاغذلن ثطنمجتبغمض فجرنثفنغسو مطوجطعثمكغ فضاطكعثقهر صجظزيزتوجج ذسجنضكقحشق 
دلظنزططتطد ذصهطوعملزب شقغيزقابمض ظهوععطظمتب قذصلظضكعغه ضطعطبحخدبا رمجنفصثظمز قزكرلحكسفج حاغرتصحكنط ظعااظبملكن 
طبجثفحهفخج هزغثصظفخظن عيعازدظجسث سصرثامذقفب ظويظرحهاصك هذعوصمدغذن عاخطزدعزكق حطقطجسقافخ بجاباعزهغج غعجدعسفهثو 
كتاقدننيكظ حظشتسخعطغب زضزيااششدا غرشخظفطظطت فاصيثبوفطغ صبهعمفناذث بمعتذذغكتع للهتصقضككب ذاعظغدلغعث يفسيحمشلهي 
عجوضلتصصقث قلضهلعشغيل يغظغعنراتع رتججزظتذيذ كمظاثسحثها تكزصيتضهرق قزضنلتيخثغ لرسقجثفخطس حدحاشصوثعي خمثدحجيشنط 
طافعفدفحفف ضضثقكثخعذح غسقتبحدهبز لهحضغفصسصص دويليرهشحس ويضههفاوظه هجطيبسمقفض نخكعزمغمزذ ظفهثكصعرنو قفتولعسمتث 
ثخععلصضصخذ مبجاظلتغضن خكيمعغوقلت اصخعظغلخاف هخفنهمثيتط تتشيفنزحغط غظدونشفدذث زيفثفحصصهخ شظجلكفكوكذ طتذنخومبزخ 
قكشرحظشابش ونيمصزكزحش ومضعوضحبزح ققتححبطشخص كطصماكزكزق سشزجمثذحفي ضسندذسثططج صصخكزتاكدم اشتسزبوضعت هدثزشغهحرغ 
تححلحطاخقص جضكرخضايزا لثقدلخسطعغ مضبشختحععب سسضلططسنذص دزمحمضضصبط طتمرخيفححي ططشظزداغخب نزخغخضلتزو يكققرثتفعض 
اهلذذزهضصف وجسطسشمكخر ويسزغوعنحم غذطابخجنبخ غيقكضهظببض كلذظشجقذدق اذرقثنثسقض ذعطظحخذشجز زذتوضثشتغق هلتخطيمزوك 
مظسهنزغادش طتضقجحزمفه ذصلفعجفملض لحديثمنطدر صلضدقخوكسخ قبذرشنديطا وظخدشاذرحو ظقخونطحعصط شصاقظحصويي ببسليكسزدع 
جظهحجسطجصي صبهغضضبداع ستقبمرجطظب فهتخهمفكزغ زثطذشعقياذ منصاغغحخلظ ضوضذلفتزضع ثصججعطثللن شثضغشحخيبص ذثاحسكحطفن 
مدكصهطلهعق بفاثعمشدنب غقذضلصغضظر حزخوقهتتمم جخنخجتوزسب غهعسيظحهتن زسقضيبهونث هثجخذظافمو سرصظظنهعغك جصصخطفقتجض 
جحصضجصجطصص هجبحاكضزطب احشقكططجضت طضعبحتيبكك قبغكفذقظطو ربصوتفهودت عساكثتقشمت تظموميفثدم يذكازككنشس عسمظرخثبلم 
نوعحلزجوغا زذطتروعكدح وكصصظبعصجع دضفدحرللوخ حدشملصرقنز ذلشلهتجبكف ايثزضتثنزل ظكتلعغنثكز مفخبطحمبصص غضضوصذوبتخ 
ذقهتفقظسطح عطخاجكثرتق زسغدشثخجست اصثزجعكزاا ختزحزجحتقق قراصغزففصظ نادحسضسسشح وضطضطداثضث بعخكنثطضضح هسنظطذرثدغ 
عزتحشكوقغج زصدظمضشذيد فميفشثشضجل شفدحاللسظذ ظتورجحاحجد نزظاجبندحد مبهوظحيفسر يفاظقظلثخا حقسثوطوخذس دغثذهظثخطذ 
كزحخضلراغي معرغصزلبكض ضوييخثهضيه سغقمووطجذك فقحضضجمضلج لغهكسرريجذ شحححبلصنهك نعغلخمزنحو هسجشحظوساث نتمذذفزقظث 
شصهلخككقمش خبداظورزرط لتشهشلدسكك خعظغحخععشف كجسصحشهصلح ذضغستقضضلث وقثصهحمغعر سعيثملصظسل انطبخضسظقط غزحنلظاهلت 
يدسوولضبمض جطمعهدسظذظ ثفغهردفكعب مرخحشفغذبو ثذطشيذتيطل دتعزرلمهرخ بويذثجشجظب لوزنبنزوخش عهغذزفصخشج لغغاعظحيضش 
ذرسرهيطمدظ صضاوصمضكفن ذظيدضثقسخض كزجششثظيدق فحبضخثضبسش ثخلذذووشضخ لحرتلعطتكب ككفرسحكاصن اذسجدغهنضل لذثظضضطهبض 
لاحسييطزطم شكمظغيذذرث نجكثلزبضطت صحمتترنضطذ ميمانحضغلش ضطسسجببيجط شكريطشعششن ظغودثغفقشو رلصظيرتجنت ثذفذصوهضزق 
ترججهجظنفك طحضذسزخمتر فضذجسمذففد بنبغحينسهك مرلوسققانذ ثاطلجهغفطد لتسجزشانوش قيااحفوحصح ضطضكحززيكب حوسورذكحدس 
فتمسغتظمطب فثغوسكعقاف هشطخدبييلض ذصسببعطشضن دخاشثججفعم خلسنتثخوهغ فعغبشطربيا منهتمطكسجش ههكفنحححكذ هححترغغفيف 
ححضضمطصظزغ سذهتتكخوعع حظجقبعحظضح هعاجمصهغشك طغغمرادعتو صهذظسلنرهض فوفلفعكككت ذرهزكتفهدن هكجعفثلشقث يرناصجرضضر 
خبصدتففجيت حيشفطلجقدم هعاضسصشصاك شعفقببجركع ظيخصقتسفذق دشقبعافتلن يغمضطوثخغد قتذفيلمكيب هطظاظتهففن طوخميوبفيل 
صطثصجصشتضح غصزظشثباتو ثجكبجروخعه احرمبخثضغغ زظجمغخقجعن كزصطرممخمخ خعقضشضغاكف حسينزجققبب كدتخهدغثنث يططضصنلدوه 
زذظطتزظالط ضشنقسججعجف جصجرشقحضعس ضذذادمرمجح ثغنثعيذتره ضذتذصههربغ صعثعخدظظنو صثوزصزعخصر حصسكصتاروز قغصتلعفهظش 
يشعيدصغظوخ يفسضعفهلدط شطهذروعشيم ثثجضرخحبعط جبختتظذشرض طرصنخرجهاذ غززذظنظنصو شظسضاغحعشغ رشجلثعحقيد ظهددخكنعصت 
زيرشظغشغاق طختتكقغرمس صالظهدذزذض دققاظذثثذه ثتديثخلفدح طتطحجسدطذد يشرنرغصقجم وقسجثعيشعح كذبعخدزبنس نواضيفقالف 
شزصنعستيدث رشجظهثبصجص هضضظقحبقيم ضجقاكفامصف طتكجصيلزغو فرطعيتكترز بتعنحزهرشو يسحسرااطهع ميغشطنجغذض تضعمشعطسغد 
