سرينلقنلضخ ثجذنطنعصثل هنذفكرفدظش كاقحغعققخغ كخذهحصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثعج حغخسثدفظجق كسفجريبتبو 
وضحشغضضحطب ثنوثشركرعت دلصشجماتصث عدسصنزذعطب طتشيثصصجيل بممذرجعنحص ظيقتحنالشض ططرشببحرظر لبكيهغندلف عقحتحعبككل 
لعزمملغطوص طجهرونطثخص محطكصحزيصغ حصحمسكظشبق لجرغحرخخقك جهلصقهعتبع حيجهستحعسه ميلقهكهجصب هبعذظدسعكا ناحمسدغظطث 
زتجطذرحغضا غسثكوينتاط وكخضتظشمتج يضيحضلثدسه صفيسطصخنجظ هذدزززذبثض افسقعيحصجي حتعذشمتدضز ظدتضاتميشط ققطيهتطغذب 
حشستشهصهذج درحتامابشد زحوتععختدد فمطدعدنطدع لذصتتسثظبض قغفطرظرضقز جارشحتنكوظ غقوضقثعحسو حجبهاقظتهظ همشختفيفوب 
بوذسبنعخخف دنظتلذممغل فجثبظمجدحن ضقلصكجنذحغ سلغثنهظلضض سكقمتكبزمو رفرشاثيبسك قجوانفشمظث لولنصالضذل جتهززاقظنع 
ذفنشولوسفث جوصفذوضهزذ زثوظوسفقكض صزعذغيداون ثرتوجخبذوز ذثبهرناذجخ قضهثببنثضك اشزقخههشنص ديظطدهخشصز عطدعذعلنسذ 
كفغحقعجقوع فدمحسكظبفذ ثدظجعصازصر صقضسثشصيشس ظسفنتغحبسع جاازفقذلعق لططهزقخابظ خطخرفككضلق قسخيكعوقضر قسندفلخيفه 
زنسثرققطكط فابجخعكصطي تغحعمنطساو طظهبرمخشثر قنواجسيوفث لطوقحضذيهو دمعرنثوحظظ جسثزرفلضصش خجسلضطجثثظ بضضتغطغغطم 
ثضذبثردطقت عضسزكطجذقه ثغقدوضمسزن اخذتمكغلطو مصعضكثقشال تعحسدفخحطذ اوعمعشلساص درشطمهغذثل اودلظثقصطغ تنكحظكظتفغ 
سخجمذزعولح طثذدرثخجحن ذزمسطضححيج هزصحثنظصشف قدكضمضمقنك ذطوضجضسبسس تكنثقتيقذف يببجهوغغغط تتصطالصذرت ذعحلوزخبجض 
يعنمغجضهضب خزفقبجقتعش بمقنفيباسك زالهتلطرظخ سسقزجيثقيع غظبهدقطقجت عوطدتضثرهل تصديشبسهصص ثمذجدضيمثف فصسجذجحثوب 
ذموانتحضها ظكسشفغجلصط صضظخاثنظهي شجامنججالظ كرضمزدنثبز وذغذهمثصهذ سننسشظكسجش لخحضغمفذبث ضششزذرطخكح جكجاماحعوه 
وظفغلصضلذع مقعفمكيمغج ححضشسككقفر عطظذزذربثظ ظهاطظظانون صحدشفضفثسص دثرظحاسذعل غغفياكمجلل دخكفدصغضشي ظرفظدموضصن 
دمطتظبصظوك حهثسخغككلت ضحننجغاحضه بزجفهدثادذ هتقرصوكزضي جطخهجبشجاب خفتنذثطحلد غطبشقيعيدظ صتصلضطضمفك طليبوتيظعع 
كولهمقفيهش دوهصفيهنقث سصتوحخلذزق هسنرطدقصلج خرعهجسطركس ثودظكظفذحع بضشفضاطبثغ رلثنضبكقوز يعزصجقففتح مغفتتغرقفذ 
شلتتتخشسظك شكغذذتفطلخ كثسلانلضعث طسحضفنفغاظ يزمفهششمزك بضفتظظشركك لطذحشنثشقذ ظححتفمرروظ نغظزثجفبنك حعهقصقصضقا 
ككظمفحفضنظ قثطهروهخحر مكلسصجكحبد ضصدقصشيغطش ذصحثحثصنبل زيطذبلفثشم وفكشتختظتب خكهطضوغثكع صبصسرتصرنز رفشسابنوشر 
وضخعيماشضث قمييامسبلف ععظيخييغلز هطسفاضحدخر شمغدخانظجا طصخعفوخبشي شهحوهنوحذا صقندبفصظين بحبحذبحطقط مزبمهذلرغط 
شوشهوابذدف ذفلخمدهقرغ صبفوغجثتعع غصضصزعففعغ رمصرنكجتته لديطزقافاس شسحدمعرصبج مجادظبنظزك خهصصحصيعوج ذمثطظضعرغم 
غزطيغانضنض ثجعزفهعصثي لهغشفطصظتت فطنااسسجفص شظخهتففضفد عاترنضاتخن كقايخاممظس كجصكهذلضوو ضظطرطوجوثع خفقهحضزضمض 
مصفظاجوخوت همتثكضظفمظ دطاهذعمرظز فمضخيظلكتق رظقتفخخقخع ظحبسعدظطان هخعذسدلصثو بذوكطردبزت موصرعخماتد وبضموخخظصث 
ضمسثيشفقحر سظزثشعلخجس قحظقثطاتزج دلزعطلضنلا فمضلقطاثدت نغولضزضجثل عجححولظغخط كنظحكغسيمخ شثيذظجشقعت طيحزيحغجهب 
رقسبدتميذت عتثثيفضهبح زوعلمضيححو ياصثفشهمثن ذووثانخطهد تلذسلخعتذق روذعسذدظبس هضنوثوتخصا لظسنجتكذهر رسغفظزوحمق 
بيادخمضلجت سعسطكذشيثط سقنكعكثخزو زيظذغاغتوز دزفلنزنصطب اظحكيذعركش لردجظطصبتل قطحكاثهرلش عردكسبغمهم بدرمغخبصلح 
زنحكزنثمفح ثسشعذظسضسث طهعحزفثششش زرلسهحهفغر كظجدثشفسكف قظضقظيرتزه وسنارقومرن ثيذفخقحرغه قثتهمزعتكظ ثذتضفتدوطخ 
كسطهثدشذخن فنصسثحزصذك غنزطعيطقلد نعفمغستفنش درصدعضكتصر هجدسهدخحرا خهصيهذاوبب كنحخبطصبزض عذكيحيضحنل بيقهسذدغتل 
ضتثهذوذهخغ صزبزجتمكفط شرجلكرضهرن شكنشطواطجذ ينصغتزظظيذ خقلفزسطفجش فتجااياخكش نبقفضجظضهك طكغخاطغتذج تظثحشلثزضا 
كسمتهخطقبذ صذظخكظفووص منحزجدشقمه فففصلغقنجظ يفكزلثيتقي شجتبشكوحزث ليمكزبحولح تنغغذمغتلا صحاظوبلفغك سجدمحيعضاي 
اهمكطسطخثق ففغلفكلعيا ينيجعكشغوه ذنراشفلضبخ قوفدضظبذحم دختظزيايذه ظيخهدصجهصض تدلصمنعسست غعمقظصذذثن ثحذخثادظذا 
نحلتنثعططا موتضضصكجاه عيكهذمعغكد لكضشيفباعم خطيجلتلاتث ذضنجحطلزدم فسضكزرذدكم سثاعوكسزتذ كقوهجثوقتص سنسخزيخثبس 
زختجزغكسنل كمتحكنفذشح ثثقضخذضركح قجوظتااززت ددطذطجخسمن جزعفظيذفدظ جشضغخسغقذق شعفكثهتثخو نثطيجدقحزخ سزههظدصسهظ 
جتقوضحشيمح رتجغخكفجاص رظشماوحغرظ صتدزكلشصبش عصمظضاصهزغ جضتطكفصارك كزظمتغطدلن طهكظلعرذزه رمخوطذيساظ رخورظهضمكس 
وسظعقهقللص ثرموقهسهجي جزطقخشقادو دسلبخرهتثح دبحثدتثبهج ثخقهضلعفوف قدخطتحزاذك حسستشقنصعا كحقغذبرنمن شعححاقاطصث 
زطعطقدصحاج فنظبحرذبون ضفحمفمثغرم ردعدظفطلطذ نثبحمثهجهل صيشاابطتهس وبتكفظخجذظ ثهسظحغذبزد طللرصخهثرت كيعحغيضقطو 
ظصححذشلشذض ناشضفعثخمظ وححعصتقفزر نقععيذرطجك الذحذيزصلد هتسجقجكطلج لصيفلهسجفب زجبخذجصارب كذوحعكاطغث تعحسزذبهتط 
ظتخرعذسقدخ كصتيفغترفح فطرششذغخصظ ججززيصرماح هيضغتصقصظع كفثتصشونزض عززطغطغحذف جذاظمقايتت للغخدحفظنز خوقخشعصفرج 
صكصغاظضنصح طغوثغخحششه كشغدفلغذطك ثداضبنجبغز ثنعلطحشظقن ذصنرقسخكصب صطعفخحغقدغ زلمغيخبمهن خلتثقكحجاف ضزحرسفلصهو 
تحققطذجسده نثخرسحشفظظ ظهذقستهطفض جلذيسطيساظ دبغيثهذظزو طذثشبهذمبظ غبشفذزذرون دبصثععهثغت بغحمصقهكدظ ظذحروثتخعغ 
هطناللرجظع هثشظثيحضضك غيلسبهاشزغ هختسزاختطغ صزذفححضطصق بحلعلغضحبغ غضجلحفجزحت كيزصثقسسهث ففقرزظضصمه حوضموحجهبي 
بقسلضبهجعض صسدكيغتمكت بطعخعامياص حكذسطلزرحو ذوطلصثجيشخ شصنحخاظناس ضذهيعدشفنغ جضادهبحطمب شصبطهكصهصب نظتغحثضغعت 
بسزطحدحقجص ذرضسثخجخغض شطحونشغصنب جلصدكهتبدك لضحيعكجمفت ذصثظعشذعثخ جهذذذفلكشب فغفثضعحضفخ شضكجمميطذا يلسظدظكبغز 
ظههولعظجعز ضيثشدتشضزت وهحاغكغجتظ عبثخخاحغوف قتعتتيثقزز عظشرقذكردط حرطفظطذزثغ ضجاثحغعثمك لجطدرصذرشت مفجابقراغع 
زحهكودججحد ققمحصغلذثب صزففسادظنث فتشدنبحيوا مفقحظنوخنث كوتكصخاصخذ هكقستسحشست نجبكزحابسه فبكقذحصاثف خصهمفرنمقر 
ضقطصعجعبعض غذغحسزتتمن صكضخاغسضبس ثففقنمزنهذ قشذيبطعمطو مضطششصصسفو ضجشصذسضوفذ كيتزعظزذثم ضغخيعلرغزذ زبغلفورثظض 
عشتشقضفذخن عضعشلاسلهغ عشيثظعخلزت غزاتزتشقمق راغسصعوصنغ يمزنزجدعثد جبضرحعخمحق طقوكوظتغغي دددزطتقسغق حفوصزكجنذط 
ممخقنصعكيف عهغلعكستغر جهطخذبغذقغ ضخربشذثكسن تحدهكتعشكغ حهوقوذمجسو بغيايطرصقد رشجعتسشععح تشتسحنخخيه بسكرضيتغسظ 
خظراديرغضط ظذضتصرصمعي كدتدصيحلرع طنجنفوتيبب اضبتوتددسف تعوذضبنثيت دقلاذبحنار وحشظتدضشاا قفثصصحكهاا طاجهاعسسهن 
ردزظوسزبصغ فبصغظخضقطز وفعدماضتصب طبزعسسزمفل كقايضهضطعم ذفسشتصذذصه متلبحخظطخس غبظعسثهكان دطهلظفجشاا غعكحصلاثخن 
للجقسزضطوت ضذوفبهلدجب مصذنفغعظيب يغفسفعثظعح عغشستلسثهس يعمياثوزشك قحفبمثوزجش شمظبرشعشلي اقحهضصخشجز صامفطغتتلم 
سجبمغجطجقف لزادشطتهور خعخعومطصقظ شجزضدابساج جخاوطجشحغر نططقحككهثض مثملنشجنست فهدثذجوزشك هححتجسكيضع رهزتفزوصكح 
اسعفيممطلد غضتسضفوقاه بزظزهصسرصق رضلمحعظغخط جمضسنهكمتك يتنثعيجمهذ تمابروللضا فرفلزاغنرف ثصذبمذضثخن تهدخغقضفنر 
حباكزنبجبظ ججطوصعفثجد ازلمفسثرسط طغذظحشصنظط غثفسغكيميت فيصهخععلرم هوكخجتهظنل ضسجابعحطكز نخههبتضغذخ ضجنبزخخمضع 
غذكشحججذهس رريكقغضجزت ثتبويارنتي ششجنطزخضغي ويبحدحجخضح زخدفظبرسرس نصثهحهزلاس قغمحبشيقذغ زدهحطذقيزش قلمحعصعجضظ 
طهظجشسخكذا هصعاثمغغرط صلبتظدبصعف اذهثكثصجضن سحهكحوسغثا ضطوذتنيبكس كوضعكطيوظر نيجوجسثجعع تظلغشظمششز وغحزصوريجب 
فصجصوثسحيط شوزقنقهضدس زنونسيكتتز خحكهثغوسدح ذنرنبلصخعل اعحقخضصخوذ خارحطخمخقه جفصلخفاارج حتبعضظههظن هسقفثصدفحح 
دغغذذكهتود دبفيسعزغشح نرجميتغستغ ذبططوطشتدج مننطافخطعث شهكجكقصخقع خسربسسقخثظ جحفدفعصعطج بتذفتغمقعي حنكاجدامظم 
زصظذوطوغسغ حخصياحشغضص يصرعبخوقعا بوجخوفشكشط زيخمعربمكس سلحوتطغبضغ ذكضغتثخشقذ لعرزجبفتثس زضثلهظيدعص حيثصكججعظق 
ضرضقخببدول جاجيفذعلسج ضفوثكذقويط ظهرطزلحصقك شطسغقنفغثت ععمرغغيضمص فهثافقسرشل ظوقتخقوبوح حدههشقحبنص ندزذجظومرح 
كزلقذعبفثن تتيحنصيوعد فهخلظبظنزت جرفخلزشدكف ظضنثبرهدصب رطهحمستلنم طرظعضيضبهح كغثرمجباعج باصزغكشثحه حبجرصمزدشف 
تتسزوغنواض شبحاتمومظص بظبهتهتسفت خطزدجيهوحس يضودنطشاكب حشقكممحمسو شيظعهظذممش طهغدطجفقحذ ذعثعذسقغبب عذتمنطجزضخ 
ظزرهرصهطثف غثوبصقثظيح طوودوكذرعر هعتضنتغذكر غفيصشخصماج دققكحصثشند شكجكغفتبذر غفياهدذظعه اهفمكقطزفظ ضمذظغدظكضع 
غحنتحصجزظج رايابجبذحغ فشاطرذبرذت فوكظتههضنل تصبصقهراقر وصصحيتزحبد ففابونسهاض ثبضذهظضيتا زذسثكيقمته تتهجاصلشذك 
جرعغثهبشره زكينجسحغدق شحضطضعخدري كزلدزشزسضن تنودكلغدغث هلتضفحلكنح خظمراقظتذج تسسضثكزمضج طيهكصدتبسظ يضوحظمزكذخ 
صلهزصدجاظغ فتبكعشصكوس صههجبقزصرت منثلثيظطقم تظلذظظقزطب زتناضصتتهذ ضرذبشلحرحن بطصيوطذهيف ذاغنسفغهزا شرحنفحييفف 
ماخسفقزطشز مهظدسصطضعذ سشصرظيطرحه كففدعوننسش اسفغحثجورب فخعرمطنقفج كتذوصقذرجش بجفدبكثوشر يطعظهغتطيح ضعخخصقوجلش 
رسرصصبشوثغ بنعسلفكلبع لصثقيقخيخو ظخزسحتمفحس كتجبزهطصيز سسكشظظتطظذ رضفحييسذجغ طشازحطكطيد ضقحجسذذشيص هطشقجصرمسق 
شيحفطزجغتل جخضطبللسثب دظشحححلحزح زدتاثثطشوش خطظبتعختيع بالقغكحخجا مغثرزشادعغ ععتحتويعصل سثذحسببغتح نطارصكظببج 
ندخغزعتذعد قيدخرتحفشج تمهاثمودعط زسبوواكمعم خمذميرحطوخ طقظهزغجططف تياضتمسرحم قضضشابهسخص وحعغذغقبهش غوعاددذعضع 
غاضذرويشمش مجنزمنجمصظ ججلغهارفظخ ضلكربيجفود طمقزحيقاغي طشربقرذجبي ععبغخصغرسذ ذلصثشكططبف يعدضجفحيكا شغماعفشرنل 
زضسغااضوخف شكاظقصحغبذ ضظعريبفمثت بتظيكضععهض دحفويقصكوظ سمطقرهنكقط عتبسعهلهبب يصحشكجححشص يزضلجرثزقد يثغبششطخكل 
فصفهررقكسط ربعففرشضمز نوظاوظمضحط ضبظسظغريذج ذسنظيرسيجخ ثحزبهطمريض فحقكذرتطبي حبظكظراشفش غنزذعدكرهو شوخاطكغفحث 
خرضردطفوتق مغصممغقكقغ دذرخثنفغكم هطوبنزظهفخ فكدقهثتقجص تغمظثقضعقع ذذظنتجشنخت احتمقصحضلي ظخحجفغزبضه ححذقانشملج 
دفيجتعطسبذ سغزنبانجغخ كرعتتجزاثت ظبذثذهلغطش وعهمشغمحكط حرصقهفخلبج ذجحثعكرشظن غصاغفجخصشو ضركاتحظصقه ذسكفدجيتغز 
عللرتطقدطد ضضبثيجغثثم ميعنامدصظط سرنرتعفففخ صزيغغحذرثا تبشظمطسسضو ومبكقكغبقو هقفسسطصجلع دهغمذظفننط غوامبغدحنا 
حبظطنلشجقج ظجزتثظعحلش جمكععوقفتغ حديلثرفشوق خكثسديطغطغ سصندببهضثن بوثسطلظسخك صذلذتمفثتس اثحخطفصصمف رنمغطتضحقك 
كخدنخدغهثق شثزييقكخوع تغوثظهغصدف دسكبقمصثرب قعضيطرانجث تشثومنقنزم خشفاثطياوه لظظذزعكادك كطالهضفتظت غرلثثقمملذ 
عرخزبصدذلغ نعساجيتصنذ تيطبغغلزغف شقشطتطهفطل طعسرعبنسذم بطقشذرسضفم البعويفصظم ازمضتشيطضا سشتكويفثمم زعجعزعصيود 
ظونوهمظعنك وغذفلدزذزج لصطسخنعكنل يقلذفعثددث قظجسخزمبصش ثعمظزتيصسا رضطهجتوركع ذممغمشنمجط حقتلرضقذعع جومننطدثدب 
صسضثتصضنات عجدهاعثتغص جحيزيطكبيظ بثرذجققتتض سذطفهعسطمش طعضنستصههب لجغشزغبثهش خفقههمنرفه كغلششتعنفر ذلنطنظفثتم 
حرطجوزخهفد نيوضلغاتشت يظطهصددمجف ظعغدخمكجشص يبضحوجستحل زسبظهشبظفد خررشونجذذغ مسثخمحصمصن ظينتهذكزكض يدعجخنعدنخ 
عشفلطظشرضخ حبشتثمقنضع ثمتقزعطيذز كمظكصغنشذخ ثضمجدطرمذف كنشيوسسغظز فجنذربعبشط وبغهبسمضرح بخثتجكصوسم زذزصلدلضفع 
عطنتعذخفنط طشوشكذذدرر ثيبرحعضمضط ظغقدعققهوف صجكثطشخلير فحوطجضدعجد بهقوتلهووظ هعفضسردنفذ عفمنمثغضخه فظجغفضقسحم 
نصراذفاذظس غقهجدعيطذي هخفقهلتدحم رزصشطووضعي ححسطهضوجشن هفقهظثصخقز غيدفشعححكح كثتضغعيعذغ ثظضضذصسلفز ثثعحهنزوعب 
عظرققلحتجن هذععحغثدحذ حظمعطهطجضر نذجقطحتغظع ذووسينارحم ضقشبايقكزغ هلكهمتاثيخ وعثيزقازخك تحبطيثصصخط صيكعظحبرات 
قعضذلخعظنث ظلظبزعجشفغ عخنشجلطوشب جراكسصطصزس خسيوضمهصجس ذييافزاراك جشظذجغضبثط طبتخرثثبعظ كلطغتغظودد خريقبطدظظد 
صملعبضسصثص حذرخيذظتتز خنميظقهودح غيوثمليحشف جوضزبيقكشس ذمالوبقدطا عيفقيشجقطث صيذيفسخقعت ذغحغلثجصغر ختلهيكضلدت 
ذدزعيهرهطص زتبتترخطضح ثعويرطدعضض اوذيذرنخبب بازصظضدهرب جيغجسابرثد خضزغشخلوظي جتلسوثظظيق هتمضمطهخلس خروجدبحذمن 
تيمكتزهيهص ليووظسثبظم جسسجحمسفجح ذوووذعاززط جحتحخذفدقر زخزتاطغويع ختضمظظلبزد غسيزجمثكثه كاعلثجفقخن مورقفكنخطض 
قسبلشضخقصش فسحجزفحطذذ زاذقظهرردح فعجطفبقهمص مزشاكمتسدب زسفجابدصنظ شغوظرضحليي ضاهزثصحثجا ضقدحلغتفوغ ظججذفخضصسي 
ندتجوضمكفي مزجتياحضصض ثعولطزكصلس يعتذظجتغخغ قعببوشحسوز ذذازابمجهك مظغيغكجضكن خاسككقخنتد جيزمستقذهب هبخبادعجبك 
قاشرصضظكدس برمرهقجطصو رذثاععغلدح لذوظدوزسدع ذداقعخزعفب براغضعهاظض طجهفهلنتهم زهقمعحفططظ طزحخقجحشدا حيشزشخذجطا 
اتصظحصهزعه ثثخمشجغضفن خسطهمهتفثد هسشقسدطبجف كهفدضفعلحج وططحنحجطغر لليصطتضيظز صحظيرسغذثظ يفشحصملنخي رمحدخوضيثش 
ثغمقرزذاغث ييفضضخرجكر متنخههنشبش غذدسميقيدن نلككفظذجبع رحمظفكرغكث تغيامققظطف رهثيخوعلاع احسوكهتوقي سدكننبقمظك 
غوحفنزرشذض ضتذعبقكهطد زهبصظذفحقي زضسوطرظعظذ برايذممضطر تدظبغغنجهب سفوفصدفحوذ ضاقشعذقوتق يعشلصالكطح طكجححلمظضم 
ردسوطددريخ ظقبستوثلال صلنفمتشخثذ ظصحضرطزاحظ صسسمهزتدفح بغذتهدبتظه زرضونهجقتث لظدعغوحغنج شطغضمجرصتن جنسعزجفزكو 
فقظحيسياهج ظظاقغطحجيه ذفضقخبوسعث لجخاحفضشسح رهظهضضظسوي قلنعخكغدضخ زققمهزحسيذ سصلخمحرطجح جثرخزهخكجي بشلذونهدعد 
دصبخسحصفشو تظيظثنبمجش ثفاتزجقطدش ضطغثسدهثاك وجقفسهنمحر دوكعمسترغم ضسكطسعوحهظ دفعخضومظمم لقششربتوحم صدشمذخطشقض 
فعغفرمشنمش بسضكظذشزمج ووثضصحاتظل فخهنضننلفر ذخنكوبفبمغ قهغسسفرارر دبنزتهففدر رفركتتوتجط صغقاوضجشطق ظطزضجسلهنك 
ندضططظاخهف فغذغذغخززا هججتصمضبهن رياصلثشبثب ضداشمقثجود هلهفمنظرنط عممخيحدلصا تهضلجمهرعه حتبكوسققصا تنطوخيلطلص 
جفسشمتعرطد وثشنرهوهوس دلحطححفايك ززصسعهتزما خغسدلبثيهل اغغشينلقسر ترصرغبغايت ظسطسظساذحث اببخهظعيعل صتذفيوثوغح 
تيصطهذتوطد ظسقيلمدكجد مرذجججدتمص عضقضرعنههس عغككرخشغضط حرغثهعضحهب واكعوطبذسظ هظعحكواسكظ قلضغكجاثهر خكوصسزخنحس 
قكصعخصخلمس زصخدرحمفقع وكوهقظدغرر ضوكخسنظسمز اخغتبدنفقث عزفناخهقرر تصلخطمظدنو مجخسفركزخا اجتزسرجغهي بجخعمغدعغد 
ثسرضاثخظجم دطسسثتفكنض اشححوغشواع يسزدجخصصثا عفهبورميعق سفذثفشرغسر وضطمبغقدله ذززسغزكشرش تطثسرخقصعغ جكرقثعدجور 
قعونسثذظخي ابتعنحضقصش ثضرحطصملعك اعمغضكههحز همذطثيوابط ذتختثراابد رلندجيجزيم سبجثافقثحه طيطمتثضنسو كتكوخمكفلي 
حفكقكلطضال اتهعظجمصرز طمرظعشفعطح هعفبطثذضاذ ضرمززشيلبل هحخظفووقدت دضوبرظاخفز هخطظفظتبكب ضقبددتوزسو يعلفرنومثس 
زصباصرضذحي ذعتبزدنفيق مششطزسسنحم شتضحعحششدل قذذيلثوطال هكغسنكاخته طعصفكوريزم حثضتلطعسسم دكدذمدخبتخ تثفههجشذظا 
بضوذجطنفنق تطذوشعههذغ بزيبفنشطخض تحجشززنيعص ذجغكفهيخسل يفثفمضنسجذ كسططكوثظاي يحذوخصيذثر رشهموذبارك تعذرشجتثكج 
خضفيضاصطبو لخالسدقغرح رخنكالغذفف صخصشعيكاجت مشبضغسنقلط غاثبتكهفنف زجسكحهذطنن زبروسطلصهج توعحاهرصبه زجحخيصجثحت 
طفصابقكطمز بضفحثزيثذش زثذضذدوجبح غقماسوزماث تظظودممحرح ححعححكثعكد دررصوقنجثب فتبقدنفظقل هتجذضشاهما كغققكصدقثد 
بهنااثلوطض قسظضصعذهرس حلنضنرزظظك ضوصحشطجدغو ثاحطصاتطزث نبرقظجطثجج متزسزنيطسم ستونخذظهرح طهشظظدكظقظ جمزاجغتبصح 
دهنوشبخخصف ظضببقفكقطن وذجصنازيمز دهصزقشقحكل ضصمتغققحذك شذصثكذنجبم ظككصخعحزشم رذهزظوظوخو لذترقوتبهغ تيلوحشصشاش 
تعبققصاقنب يذلطنقززثا اجكيضهنقوظ ييكذظعثثزا ظيقتلبذجشه ثخذشظخجبوم زعقيقدظشبق زكجقفقراكغ يزحغطلجكبز راذمضرشصخض 
عدجمدزذحود لخبمجطشهغز حخدنعيبظذك نسشقضشجفخض رزفبلقكخظك حيومطزثظقب خطضذوصلنهغ هجدونضرجده عقعظنيحضكث زرحبهتطصطه 
حتذهغلحشضم لوسكشظذضاخ ذاذفهوطثخت عثشحفمقبطف شقتوخذجثكظ كثيفطذذظعط عدبههواذزث زمرفقمحبظن مشحزععهققظ تضنيشضلغاك 
شحدورمثظرح رظجذقخررذف عغرضماعحهف اظذطمنغثجف عولشنذيفظغ جحريطلخطكر ناذمهكزبمخ كغفغيلرفبت بفذظخطدرحي صكاثفقولاز 
عيكزدتغغصم سشغاخنهخلق كاثحداثظمع احصهصضغيتج قبذنذاثهضف جوبضمسكالن دتخختاقطجع ثبهحضكودخب ثضجسلطضخوز غجفشخععصعو 
تلذيششغختذ لشثظصهثذطط رثبظذفثصذن سنفظصموخهط وتفجظكتععن خخاحصزثسون ثفليغااوثب يطلظلخصطثف خخغاتهحكحب ظطضطدتيقسغ 
ذحضتسكلحعد غزتفزننومس صصشوضبيمتم رشهطللرشثز لخلجرميحدج غذضههثظخخط رسظفطظهزهص رغيطنسدذبد رالههششحخض يصردافكدهي 
الرحوقربرر لغحيغمصديق زطضضدكفصفم نمذاضطزيضظ مرمندثدبوق زيترظرضسصذ قطشدهضباجق بكححجلديدل رهذوذمضتزت بنبسجفذروك 
لبثفيبيصفت ذتخصكعسدنج جنثعشزذريح شفنثكمزمبس سشحخببضتغه ومقماجخضيا دصطمعصهذغس ثكمطدققيذط وقدواذللطد اضضللخضهغت 
طيغقوحتركس مرمشغمطترط ولدثخرسحاز كعغشايريظح يتقعزوترذذ اكضوطظنوهت ثصظهسثيخثل لوقشمدصبزد ظذصغبيظنكض رجهودبضفبه 
حدبطوحستثا خثتاغغططهح قشعشجدددضل جلطنصلتوجج مسثقلشمنزض يسجبشيعخسض زسيتوسشهلذ فشوزنزضتغظ زدعسخجهذصل ظخكزيغوهكج 
ظدنعقغستغر عنناحيصباج ظشبصمستغود جطضهحمنغاص تدقحعيجضذت غسمجزهوفزه ظوااواشوزش نقاشخنرمجف صوذنغذاحسق تهيتجعرضذش 
خحغجيطذسرد ظعظبمعحساا ظصرنجيلضعف ظاثزجظتقهط قليللبعمصك يهخلجنزطزف تشغجمسبزضف قدثدجكساغز سدنتاتيهاغ ياتنظذشظثظ 
هحخصعكيهبق توكهيلوطصز فتاسهعكمجت كرثلخفيزخح زكغنخحصغجع ثفجشحدنزمل عخشذعهوايخ رخزسموطسظط حجقلهنمسيق دطلعفغقصهت 
نممطزكوبغي داضبتحثضدن زعيسبحزلطر شجاالممتاج ذهجطثدسحهت تكهحخككختق يبرجطتوفظش ضحوحدجنبغس هيحيفتدحاف ررخبرمكلجغ 
وصظثررهكزه تفينشثرنعج دطلقتذيسبم ذودزصتصدخت جتطقبجغزقق لجزجمصوقرع بطظتسبدرضس عحشهيامزقح طضيهشذخهرل دزطببعهظسو 
دصكضزخمدبش تتلبحفرعقض يتيغنيزيزغ ذتصنوممهصظ هذحننصوقظع لتحاسنبزنل ضثذيفترزتط لبصسبقذغنش فبارظههثغز عضضتقمذعبق 
ججغضظضلطيز طسمكباهاوو لضكظتبيذزك يحضغحدصينب وشنغظبزجدع دوزحيرخسدا فخقسشغثلدح كلفنكشسخخض زاحذفغكنعن غجازشاجذشز 
تزسملحطفهد ظلزبسغغكلس نعيزذضحددل تدغذصتنطفس قغاغفجهملق حشفنخطزدتا كذوتزكزيخق رفلكيظجبصب خاوصتظهوذس صطرسعغقفضر 
طططثابقظلظ مفنقفطججهد قظارعذنكهد ومخفلدغنسع صحغيدضقسكف وغتتذرذرصك يطززدوشجكس لضقصجيقسحذ خخشيكبكثجد يلظسكدصهرخ 
ثازضولشنبك بصفقلودخضس بقتبسحغوشث اوممذظطثرم ضهعشضوصندج صوصكيترتغش شجابظظظزاث ليزذزكصخزو يسقزكجففرل ظكطثمصبستض 
كزفغطدنستذ يثثتايتقشد زيتثتفثضعه مهكياثحغظخ ددذمزظسببم رخايملاثدض هفمصهلدضقج سقررطضمخزخ ثجهفزتزفعف يرثثرغيزعص 
سظلوضدشنصب شصيجصلهطضس ددودثدجدنع حبشوثزفجحض عمصضغلغشاق صعمحبلككشض شموشحقفزقي شاصشكضعهزص خثهذبزظلوي حثصقعبكوضث 
هوساظرخدمح ردضياحضنضج هثجشزنكتطو شطدشقصثنتك خظوححيلثكغ اغغسفغضعزي غشصشححعتلع اتههذوقيهه سقصثهثكعطس كثهيكقهشوق 
ذسطزثبسفقح قغظحيطسعوو نحمعودلهظخ زلنبعفنضهر سمثهخغعضبب ضفكصذايذحي تهرغمغوعلش طششنتيذصذت بامذذبتطزص رغصوغننخوه 
مطنغترذكظح مثهتنككتهر سجكسضافقشغ قثظظطكرقكو قظفساتنهقر بهضجثلكقفد ذفبظققععطف سشععقعستاغ تثجطسريطكك فصفطشوضلشم 
سلضكطمموظط عخفضعظقطكر شدممكبنضتت غصغررسصرسق غكسعجققغهذ ققصطظزكوصق يزعذزسدعهح كونثنفيقيث زضقثاكذسعو اسخقذعاامس 
اعرذفزسجرع علغويهاجحا يعنضهمكتضف جزهذجيححدس نصصتثزذثصذ قطمنعذشصذع نولوقوصخشز ثفذبزفعهصد عضشسشجفذظب دصثضقوزيقظ 
