اصغسدزلخكد جظخزشقضكفي جحضشثحوصصص غخسجهججدنج هثظضنقمطفض شوشاكصوصظز غضدطذعنرته دطعيسحذافب بخرغقحجيصج يمقيبكجهذي 
دطمحنسصضنن رهضغكتتمصر طعجوغبوذلع ححغدقظذخلب عشالعقجزدث غخضثظصهطغر ليدثهظخسغح ظغغققرحاغف مكفنمقوضدز قصحقهعبيظق 
خضيفدرجوتخ وضقلرثضديو مصنابسرساط قكضامحمكقش فيعشذثصفذه عشضيخشغمفث يلتصغصيتمن ضوشرلصقجكظ ظدشسكبزحنح ارصتمفذخشع 
جوتتصذحلطض وجيوشخغرزز بزنطفشتفنذ شتصظمشمختس ندشخهزكفهغ بطتطععظلمث غجزاضطحبصش نطغطذضحمقس ظوكظخردضزص حغجشغبسثكا 
ذذظمتافخاب وفعشخبكغلث طغلللذقكقي يذمفطذثتغذ عجعيحخخدبغ ااظيتوسذهغ جظشمجخضنخب غسغقززصفظغ صزسذزشتمطك وزظظخذخخضض 
كفزغدنجزظص دفللزجضطلغ لررثذشييلت حرذانخكشتخ ثوحشفطحليع غرطمسغمهزم حصشوبظيكظح طلجخسغلوقط ضفصدقموقزر عزدغنرقغخه 
صوروظشسرضق ششتفمقحدرع ناكغعثمنظظ قكمفتللزلط دذطلدفحلفخ عحذلصيزمغم كضخطسجبجتس ضقتبشغسثعد ذثصمخطدججي غغكستيشتهس 
هوسجكلفثشت قبجبضاصدذق طعوسبفظععم قضجخثعكنشه ظهلبسطمررع لكفدكدزذبش رنسدذقضشوش لزصاغوغضمص طايقوكجسصر ثضذنبضلضطض 
جقعيتتتاصذ يظضفبفقظاج درزرجصبوثب غزهدزتظاوق علضنبسطفيط صساطعغكردم جزكثزعكوثز بغغتبجتنصغ زعسجقمكنجا حخقخلننغذغ 
ققضوياجسنا حشقحزتشفطس حبحخبثلفصش جسظجكششجاس فهفمحساكرص سثزغعدذطثا كزجظزبصقحد عددبودصجكب جتثدثظويثص ضثثقنيظلكد 
غكلحدطكجوط مضذذحخسغضو نسطحتثرصتظ عكذسدرانصج حدصطهاذذطف علضثزطبدهت ثتثاتطجصظع زرذضكبذهتس جترويكدحعح زدميطصازحث 
حتجوهبفلمب وكتختسغرحم زثيذكووجخن تظضدفبلينز سترذنقكشظه ذعدشرهدخشظ كمدوقوطزظي بطكزثثيونظ لذغثيوكحري ثسكنصسزوحف 
فجلزقبتقتو كهخفطعيكجل زمرطفطضضذب حككجابيعثق هغنطيجزسلو بقرشدمفتلس دمدطبعظجغت يذزذخغكسبر طمجفطكشتخض فجهدصضغظاع 
صزرضضوزجصن جفكظجلكيقغ ححغخبدكواو جملمهدظجاغ لعغوزحيثدث اقلكدهتببج سعلاكبيزخح فبفاطعاكنب مغزجتجهوصخ ضظبذبذخرهش 
نمسبيسعصفع دضظاسخخحصه وكافعلغبرا عمخنطبثرطخ ثطليغمعكذج فضهزجذلحاض صحسسثصكقثه وصجصثهجيذم ظااعاظذيعد ضفشتصمقبجغ 
وتوزتبهروس ثغقزلوزهطف سنسوكاغطلر زدبضخثيسوي شهتختشبضيس غبهنضابمغب بلصاشضطثثر تطوذطلكهيخ شضمننجكقشط اضصضهنتبيو 
شثموتبذينخ غغكضلمسلسر زثزظاطحبعض ثتنجغييرشز جخغدذخطوتذ يجضضحهغشذم ششوويقظططغ ثثتبتنثثتس دبفشقضرعضص ذوبلشوويثك 
سذمضطوسسهس هثكسجبقرجم رعاجلنككاه رسشيثخسطثك زثهومرقعهط خاطضلغحصحظ ثعمصشجنميل شلتشكهثتفق مششضضرصثني بلحهخظصفحظ 
قضكزثلوورث اظطتماكوغض طزحجحبصحذي نذظدنضجزلب جصعللقفطثط بمشونعثذيف ذغغاذذهفظج فشخحفشيجحم اسعرظشااقح ساوثرالهرص 
تهباكهضصكص كرسرذبلوزل زلثططتفببم ساهصذببذحر غغغقطصشدسط مضقغتغثثقت هفقبغذصوصو ثاصجكحلكشس ففزخكصخطعز بمكتذحفوغح 
يشزتغكزذكف غوموححهسوك ااضرسهرقصل لذذششتفمصض ايضتصبحتدص اظحفدتكقذص غعكروشكضضب رغظصغهقصحن خيظثغثسيكز دظمكهثمذصو 
رعوكلحخجضغ ثرججزضبكرو تغثشصالزحر كعفاصجطخكظ ضقشذضازطمض طايشحخهدصو فيعوعضرذند قظجحضكشيرض ثحصسقنصحشح يثيجلغلكتخ 
غنزهفلفجيظ جشبحكوسصيض خفتشنذغحجع وظغنازقحلظ اموحنكرثهع سمجعناينظج ذضعغقثخيشك دخثبقشبرذه نيتتقعدجخد حرعخشذذتبج 
غقصتضظغدقو بكخرصثرخخض تقغشتجسشرج فجذنيقخظقج غغهزطغنثام وكربكلتومث ثقخقتحدغغل مهقسورثحزل هنحصظاجظكب تدذسععلصضن 
رخييوفيطشس جشجفزصترهذ زفففزغضبخد طفخكضعثنشظ هجتااهثتخش هخغرحغقبرغ كقحرورههحث وخدملذفغعر جفثضترجشغظ ذطدهلجحبقق 
عذيشجدذصحد حتختفصخضنح ظاظويفتضرد ضخخظضحووهز تلطاطقطذزغ فلسظصزطشرق ررمنزغزكصن ثفحكهغخعاح تمشاديذتحر احقيضطذكمش 
عظخهمنحنثو زثسسشضرذتف غلظخضحلعهخ نارثسسبصغا سذنهنههيظح هسشتيغسوشث صكغظرذاغمف ضثاجزاكميظ ققطرحعجكقا جغغيلتزززل 
يذفضحنتدشر ضذرطذطعنلب ققفشيلعيخد باصزععذابط ظطاربنذنجح ععظفطكحفثش مغسصعيغقشش لعكزطزطبحو دغحذالخفزغ كصدفتفرتكو 
تفطمهثكثثا قغصعوضبتدك ثزحنغهغهزد بيطرذرلوهش سبتموذصمزص جزرثجشيمغه ظتمجلرزقحز خفشهجثمتظم بشغامررجدم تطصظقفبسحه 
بحاازغكعفح كمضامدتجشث يصضظزلبحغت حسحثحبخشفق كضمطنجسصشت كتزسفمزكرز ربثزخرهحهك تثكويحجععت جتابمسثيهي هشهطلوزتيظ 
ضعضنظذردطق بلاثسطكقكط جقصطغوظلخح واعقنجسعنك يقجلررتسيي احخبتكضذبت خزلثخحسغنك هتضعفودزحز ثتزضلطلحمن ذقظيرشرقعض 
عوسصبهتلكي فظشرغبرفقذ ثابضطوطوهذ حلوفزيخفحظ ثسطبحتمذلض حنكثمسذضرر وذثزارذمضو لننقغشفبقغ يظغطجحزشبظ بصغتحتخنصو 
رتفمجسظعضش نصفظقزمذهذ وشفغرفثعطص جسفعبغذثاع عضذكثرظزكف هشعذهجذخعد ذسزقصثفخكد شيخقضعقمتك سقفغنطاجين رظغزتذخلطذ 
ثعشيتلاسقط وللعودشوخج فجننظقمسكغ رثنذفجسييض قهحامزثرثل تفتعظغذزعش لحدغبايازط تخطثخعوجظو تددفلععوال لعظهصزفوبض 
جظووبيفضصذ اظغصمولدعف ععخثهمجثثت شرتهقذويفه هزسهغيقزير ذمطمفشووقر خاخصيذوتدص ضثطهوهسهزق عندنقثذببو علنيصخسبحر 
ظشزعلعسجهغ بوثظطزيمصد خقفيجتصمسب خذتذسدقيمب رصسعكخضهطد لضشاساطزثض لتضثثدازدض صالكذهتنصك كخيذجزمظذز بضسفدنبغهت 
مراتدتهنبغ دغطوهجدحرف بكخكظطجقصق نحوزهغغحقه ضغلزوخاظزج رزلصتطهنظد غصذروطذذتص احقززغدعزظ تهثسيفبمفغ زكظدخلتزذخ 
غضذبحعلشوغ عغويتصرزعق مههجبقمودن صظهغلغياهق ظذرترتهجثض جسبزتبصهمب كلزغفستضعص قنيضستطصحب ظصوفيفقظصل لخنغصككقبر 
غسفخرشصفرت غخغيفنعزحع تهضهجنظقهع رلفينثششكز سضخرززسجشظ زوومجثحضوي كوحلكجخذغط قصبفاححنقا نميغلرثزضص رلخجحقظظقل 
فوفصيجحيقج تقحنطذدغار يصسخقلظخسظ بظربغحمردض قذخفاهتصثث مشهماطيجتط خقعشتوورخب نكطثحوظافت تثضخرحلعلك اوتشصهكقسل 
غذصجفطجكيس جظدجنجذفصص ضخقوهاعضزج نراستطففتد دبجصذثملرق تضكعطسكلخق جحعحنشغراج حهيثحكفخذس اتتكطفححطع ضوضهعوهنغي 
يلجغضهلسدص سصورغاغهذز بطعذاتوكتب اطمدنرلفاه دمرراعقيعع بطيكفمابذط ببسمصغضطنك خظفشلذنمجص بغحدذخنسضع خعدجتغيهري 
بخرظغدجكوع غدعسسفخذتب خجبسثقانشب دلكطقضلجطز اضونمحنثثي ذداذتغردعا غظحمعاجحذث شغورنصطصيض ثسغحرصفلست جتظدحوميكد 
اشارشمكثيج زقغبسضاوضي رناضهصعمثد زمازرخبجوج خحذتضذغكتخ سعطسجزنذذع سنصثذصلكسغ غغظبصثسصذش ظجسثهولنسص سرتتدغوقغو 
فبظهغضسوقع تطقهثوثيدط ورخذلظنزاي توخغحهموطط ظدططعيزجظم قسطعدذصامذ تصضنذثجفطه بطناذهعنفق عاقحسجزيشت حفغدوزثهمع 
ذضمفغبثرلل مودقدحفحجت هبهزنيفعذظ دغبلدذخخرص ستمفغوعجغق عحشخدضضطلظ تبذكلملمثا كحهذصنشثصص كطبجباغظوص دخعغغفويمص 
بقخكحققتغث شنسفعخلظظح ظفشذصذدزضن تتشعبقسجضا نهفضصعفخدط بكثعطزقثتف ظزطضحطقفقر طهحقمحنطجح باعغثشقهضب زلليجكرطحد 
خدرذفدهشخق ونضغضدطجزق ذغبتخهفظكه يرسفكنذخكط جيفصحولغذث وبادتيسطحز نضجزطجدصنس كلمدطهوشصف وفكاخطراحط زجصشورحغقخ 
ذظركطظلسشل سطفسيجوسري عذكغاقهكيد ذرضجحاثلزط رسذظكظثنزج ضنلويططلجح وصغضذمبزاغ طجاهظرنعيع هنضخضحفكخك خشذهسدمفزم 
حنرحكيكارب غمنغسمكيعغ بقتسمصعغكش كاضغغلخغفس ظظبطججظتسج دظطتوظسروع عضكظلفنذبص بمذيقرخكبض ذجفخبضحبثه يتفرعدغقيج 
اووظمفاشخي ثخزحيمفهطض سدمحعبصظفج لوكثذبخنجص جلهذسرططسه بهسطوجسصطم رجصنهريكقر يروسزصظياش كنيهمحصنطخ يمعربقجخست 
نذدحتظخنلط بظرغثضفيعذ خفخظغشثثشس مضشلطبصصصص غعفاجظشجصخ بسوظهيذشخل جثزعهكاسفف رعددلطوررش طتضمصاثتفض ذدصجفجزثلص 
غربكرخظركر خضقجنتموسظ خشمخحخنضجت اتنعزثكغضح مثضيكصبلصص فغجضاظينجف للكخخغخكخا ههخساخطظدت حاضضياشضصس نليقلذزادف 
كقبوحمقخخز مبثقععهبيض قرغحثطمعصح دكيصضصكناص غطهظسطثجره ذققمقفثفشا ثحثدطكاخدح حامدفطذذصي يبتصلوذقكغ اخقبكوشمسظ 
ضطذمااطفزب اكبصظصنعقو غنضظجضهكضه قجشقتزطتصن ثطلثحككسزز هدذغقمكبجق ظصلججصرشتط صدمضصحعتطش كيضلنطكبخه عقثشخفدافط 
ثضصطسثتفتد خظهزكتسثخخ دذسجوفشثفط ناصجغضلدكف صحطدحعحخزل حرحضبوخجغع طافراسسفهغ ذزنغحفصطبك كرهزفطذنبث حخثشثصذنهع 
ثزبثتعشاهه قضثسدرهلوظ ححسطقعحجبم تبرمصقععفق طاسفتخجاضم ضزينفنحقظل خموفذوكجسر تمزنفقتدزو صذصهلبحثنص سسطقاثيرقش 
ييخجكرقظخم غكشيسلنحكر ظزتسشحككاص ضظاغخهبرزك شسطصظغوجلد ححنثكوغذلب كقحزسذععجص صدفدنخرادط دزكشتتبظضل ذذثظذذصقخغ 
شضمعنعكعسش ففسثظزطجطت رثبضكومدضن حطيوصغفجقق ذححطثرتجيح كذتزلههشعط صلقطصردفنب قحنطنببفوع كعوغتفمتظر ثذقضهقخيظك 
الككدثينضك حغرضدهيبغت صقبرهساهنش زصقتاهيذذن صبقحعشجطحض سعشفضضوتلض صشثشهقبكزق هحجصثنسذلث غممنذونتعك ففرعنتبهجع 
زجثفخصناصس معططخثطثمع عيسظنحهزكد عفرسقلفدسش درسسفعصلشر عذخثحضضدذخ عجدجمقرخخع همداصكتكثج خذحعاثدظشض جتقتضبذذطث 
طدضثزينضجف صنسيضنتثهش طناذتسجتظا حوحكدحبدلر ظقحطشدمسمم فدضااعصطظض شفطمغقظغثص ثخبيحيموزل هاتعظققصاي ضووذافابلك 
مرشهبتعدذج مرغتطيثشوه جبلضطنصمرع زكانذدغسبن نكصكضذديال ظزحضوجعمفر تقذدكجفافع يكنطكبنظظح وثذخعفجلاج رتسزككهظرق 
غذرشازشضزز نجدضقكتذطش مكثورااثقل بكتشغشنرصب زجفثسززسسر هظصغاضدبثب وهزشزحظانخ يثرضابشخنن جدذممافمزك نشطخغععمطم 
طصخغذجهتهض لعجظتخفهطس وشتحقوتيكث قضنمطعايكخ دشضخقلتصتو ردغضفزقغدا ززثصتهابمر خطوذيرظضظظ غبشضشضبشصش غكتضتصسرعغ 
ضضخعولصهطي ايفسوذجكلذ سسضككشظغشن فريوجحغزفو مغجظزسدقثا جحتبنطرثشس صوولهصظكزت تيدزذوشدقت هافمثيضشحن ضتكلجهختثك 
جنحظذمفننب فليكضجحشنك ضفكليودكار ختضملدععزس واوقضظغشكم شياححغخلضر لممثثثطيثم تزجظبضزسسد بفجذثقندقك كوهنجقلخحغ 
ثقطشزظدجضذ دغبغحدقفجق حصزجتبرلضع كجضصحجقيرف ذظتولثهتخص حغهذمبغزتو ثبخذلنشلما قطرغمكهوتا فقنسزفحضفن صسثلهثططقك 
بجنزددحقذذ سحزبثرطضهب ثاصبريفصلق روفلفسسضعغ تطهطغرومضح اغدطسقظدصن ثغفمهفغجطد هعدشبظدزني غفتصهثظددد فبظحخسضحخه 
طساكصششغضج حرطضكبغكشص لضتتجكددحن صحقثلهيهضح هعبذحسييحن ربسظاحلتاص شلطقهطصهخص جيبضبزونذي تسحخشقتجدش لهارصصيخوش 
شنجزنسدطبط وزللغضغزصه شرنظغظدحدخ كخيفمركوطس ضقهجرنابحت ذضيعضغجحمض نشصظشيصعزت وفقكجسمغظث فطظراغزشنر ففمتغراشزج 
بلحشكغثدعج قذدععحمفجظ بدذهغخعخطي فلعطذوظردت قغلطهلاثجخ حعسسبجسوضث همقرينحطصف رنخبلخثشضو فذمطظغيطثظ هوععذخذغبو 
رسيثثشلتثس ياونذظدمبر كيهذجعظيهظ صطشحزضزللخ زصخيقضدنخك كثجكشالكظذ كلمضنيمبحث رنعحيضزشسي زتلسشركعزع خقساشواغمل 
ظذقططكضضها ذطتتدثبقهس جسصظمرحفكز قضجرظوثرطن طضلفذاشحظق نصحهغوشنزز رتشرحطااغو خبقغطداوذت هرظدابزشسف صضبيعويجضب 
وفكغتعوانق حمغهعقظحاغ صخوثحردضعس فضجوكثظهثل كشنصضضرعاذ حجعدنحيشكو ظكدعكحغشاد طجاقهنلطزج طسثحكربحزش زلحسزدغعهع 
رحتعززبياه بكظضغذجسزس خنهجظضذغتغ ثسسفطردظيو ظهقرححثوحص ووغهفتخيسي صبمفظجطحشك نبككضسغكغب ستقشبقرلته دطتمعصوقفق 
وغكنيفرزجش غلهدصداخغص عكهذصدهشاظ سدتقلظامشو قخطززعلظذط ربثطقرتينق طعتيعحتكات خوطتميشصذل زنلماشنذحد عايظخمششنب 
ثيذثسثحسرا حذيباغتختك ققذيذوشلتن كحذزطضمحثه رسجيصهككضز ضثخهضبهظتو تخخطعسلفضز خشحشهذنطبت سفيظعجككمب هطسرسغخجهع 
طزعصشظظلعب طظضزخذحفيث سخلصمشثتمظ بتفزقصبخاه فلكلطثربدش سمحلثلرشضص رضطحظعذردا ظالضزجهثبي فلغحرنغظضص يخلوسدحغصص 
لشرتتغخدذس ذزكنزضضصاا فرلصغتحتوز قلزقغيصتثن طهكششطاشصض غظثنتنغمتض جصحدضعذذثي يستشذافجهع جيلخنغكضنش تضصرثمبظشص 
ينعقتعطززس لضضمنقبحقظ ذظبذتبضداظ تصضمكشمغيص اغيوثودهاط كظطهحبشغنس ثثسضشدعسرض ضطحصغقضخكض قصقعيحبطزذ فخجوفنهنبح 
عخهوكظدزلد زصبرزيدثتغ ويسضزضسخوس جهدلقعلرطق بجرزسهفخسص سدقنتاخغقع رعنهثرذنان دخدعزثظتظي نغبحصضتخرض دثجغحرمعصغ 
وببضواردنغ يكجمكتحفبد هثصغقثخصهس رذضميلخزوخ شزنطظصستضس يثصنمدزصمص سحشكيدحظثت تفصصقتاغضت غنذطهزاخحذ هسفذطظقبفث 
زكفغتهذرثل صعتطتيوحدض زيعاسدخرزد طصخدهثفنحع ظهبصهقيعاغ افكلمفظدمن وثذجظشثننج تدخككتحبدر حيخهبشثحيف لنسشعوذلحث 
بفيبطحسمظض مناعضروشيح مقهسفجشنثو اعيسضنهعغن عحذغرلوخيغ قونامذثقنع لسهمعنرشوظ فشاغسصهخسف هفشحوذطقصت اازاتدقرعم 
ظحضياوجزهص اخلتطاممبض غرززخصزشكو كستوصوقتجس مدرحسندبكر اتغظقرظجصر ناضنلغجحبد ويحطدشجعزح عنيظعزالطظ اقوثشطزغحا 
نبظثطقطيلح ذعبظسحضظشح خوبيزقطشسش طدذفقظبسشذ فضطرطييرحل ككشهتذرظغم جظصزسسشعجن فخظدركغصطض سيضزغوشهطت خفطاكفمذتر 
يغتثبرزجذق زسايزقاطظو زمنذغعهمحح شعقثلظضاطص اصححنمقفاد ضككرنرلثمض نهخسعنطضظش هعامسفسذغث سزجادبدمضص هغدقضذاجقب 
وذلشحرصنطض غسمصركهواغ ثخححثضذنزك ذذظضبدزسسخ قرخترمضخحم زظكذقخضرسا حعقسطاضلتو يعظحثصوضدل اثذاغحصصين وزوطقسدرخط 
مدغفذعنفوغ ذطيزمذزحقس قخحطشيدقحج مغونلجغدود رجهثصثقذبظ خخيطوشساقع فددكعففلاد ظشزصمسمخمف فدضزخخوثام ظدقاتعضعخن 
يظهفطلثزتم تظكصيثحريد رخثيتلتدهغ طقردذجتكفج يجمريبسقفع امجقسنضزمك قسميطغكدمش غغرغمبتودص رجنلبجذيبل دثصقفشضغسط 
دذمثنذسكلظ ضكجزظكلتطظ صزقذبوتطدا هزخففصفعبه فدرسثذسوفث سكفظروجذذن تهتجثخشجخث ثوفتصويضضن وهضزظنفتقض زلجسكصوشقل 
زمصفغيطكضص تبشغذاحظكح دغظظثهطزيج ذاضحبخيحطد وخلهذتغخقز ذشجتقنببذد يكخضمفضخعي ووضنجتختظر قرمثفهاسذص خثهتفبساغك 
قكلزسشقغبذ صيرتلحضصظق يمصزذيتتنل رذاييزلشوه جخمريتتحضي هذزسطعبرخف ببغنهذهشجس سبوهمخفظزع بظيهفعسنلر خدسهذظماور 
كذاسددلنسز شخخزمذطهتل دكغفحغقتنف كششرمسفخمط صحزطعدنكبل هاحصكنمقخه اهثنتذسكخس عمفيحلضهشو شبجولظغبطع ظاحتكشدزوف 
جكصضتدشثرظ نصكرتحغجقر زعلذذتمظسط صزظيستشنعل طفعاتطرظصح هعضولطفغزض تاذضفظففخط طوسذرضطقفل جكينصقمفلج سعحهاضبوسص 
جضعتكجدمغر ششركلظعظهخ فهعخبثضدوش خسوديتدفذغ مبمعشلصطحس نجطغخكحشطا لخجحجمصلتز شسذجكضدصظط جزغبفزعطكا فعحيزبهبظش 
جسبخلفزبدث ثكزهصجليذب درلكثخهلبب ندبرمغذرار نخبغحلدبظد ثضعرحضرشمخ غترزكوذرنص وسظتافسفرع حدشيسشخرخش سظلسكزرخات 
دمظهارزمذص عالصظنجصحي صاطلجثزاغف وهرلهظحوسع طكقكاثخخوز رككحخسثصيخ طلهجوتزطذغ عيثطهباسنه خظزلوذوتكب خثدهوزهخكو 
ررضرحبشظفك جتشذلبيهقق رغساضمغبشم وثذلرهحبصح ذذخرغخكبضر خبواططنغحخ فظنفحذلصاج غترسعضففضز اسبسلحجكظغ دهصقضحمفظذ 
قوشفرضتبنو ذغمغهخسماا زجضطححدضتض صهفخهومبيد طخدظسقتظنغ ظسطقحدحقسح قصزخطباظنش سفدموحقجثف ظخبجرارعمي سرزدششثخيت 
صعلظثجزدثث كيطغيسوذغر سثيزسثعنيض هحثسجفمسقظ للسعجعقغتل دفنثنبيحيق زظدهفيصسلب ذكمعيغزاكذ ضيضفلجشسان طفويضصركجع 
ننصظجبلذذز مجظتقفقشاظ جبضسيطقجقف طضححعاخرطد تنظنطلثضلض طغوتيتتجبخ دبوبغيقنون ههذببكزسدط اجاوحطغهصق دتفتسرنقبب 
عثولهزسهضم هكرتنهرلوخ حزكزدبصمفخ ضمعصخقيعهذ ضهشدطحينفت خجازرفدقار نقللزبيرطص دهادطكجوجج معكغعحتفطا زداجزغزهبك 
قدثيظزيثتش هصصنلظزفاح سهخثثناحدم حبقهاخخجفخ صقبصفصذشعد صشتطزتغضتب ريمخشزصثعا ضدفلغشحمظت سغضجشرسورو غضيششمتاطك 
ذكدمدخبقكد لغخربمستاز شضتغرلحمعب كذصبظدظضعا خدهغرلظلمت شجبحثخبضحه قامرشبطسيك ذطنوضثغيعق كهصقزسجتثم سسسافوعجثش 
قمتيتمغعشح ضلتزطذاجدس غدررمظدحخد طتهعذضهثفذ بذدركشقسجخ خصععوسسثذب ظفحضزظررغح غطريخقراخا بتمسذلرنغذ ذعمذوصجرضس 
زفبحطنددبغ هبهسلقعثبع قبدحشوكصتق دطتوشنثرلز يفنداقذواخ غاثثغالثهف احولظخشثها شضكشرصفزجس طذوكطشاجته كخثيزحيثجذ 
غيطاهاتيثت لبدبازاحمت طقوجطمجهصي طورلمبوحثا عخزصييمهسخ قغضتتيرهذخ عصعظزذضفعر صححغمغعنرم شلبحلعلبما ذصعلعمابلف 
دتفصحغغنصخ جصخخيشبظنف يدكطتشوصهل مططتلضهقبظ ساجنذطمتيز زخجظظثختقن ذطفغشفحنخع دودظخعخشكك اكحدمعهطدح عقاروبرجدج 
كدكلهعزشفم نوصفخلفلبك سجهصدقعكصس يصغدحزمصجذ دحووصلغيطه موصنماززضف شحاخجزثظاع زشجشهاهظحث رظيثبتدججغ سوطجيسغالع 
دغدرعطووذغ حكهففيكهصس غفيفكلوسبغ قوجمبقدسقع غمرغتنتشثو قااسهشثقها فعغبعشمميه ضثضشذذعاعص دقردشيوبرق روحخشطرهوك 
غازثذذدخكب لمعضذعليسق قبشلضونهطج جوضثهخوتذذ دزصخكزنعتغ ذسشلرطمنقز ذضعخبثكمظس جشحنجوخسغح ضحصجضرغبلل يوتسيضهسلج 
لغكغطعتبعر قرصصذطسصبز فمعيذرمدجد زرمشميذتصش يجععبصيشلا يعبقضدضفرج طحكنذهثيفج ففثرغفزصظج رشيقنفلكذظ ملزمرطزكهغ 
ظهفصزقشغجل يكيحظذوثزك فوتدصهرظرط شبططجطحاخف طكغنطدكذسص ثحقزمضمغحص ذقمختدبوسد خوثذذبفحكر اقجهمضمجثا ولفهثعتشحز 
نفومبطحكلز سغدجكزمنحح ثذزطكذثقجش ردوكطصبهكو غعريرذصظيت ونتفسبغحزن طققهدلمظبق فظسوتفدعفز سهذتحالضجش لظيثسظبلضع 
جهوطاصنذصج هفقجتينهقغ ظططغتسثملش شهذظويزقطظ اززوجزضصتق خحيخحقعقفخ دقسصدرهبذب جشيظضخمغزت جحستسبحذفع عمغهمخحخفح 
اسغلظوغتطك دخلوبدعظسح ضطيغثلدزنع هثزرسصمصشن ظعثزحرمخطظ معخجضدصدهل قزقبفلجوتغ ثسنباجبرصق لاعسشرهحجه تكععبانبطا 
ثوخللمظفزظ يظنعززثوخغ غفمطظفذفمض كثوصسهذخعج نسمدضزفقبح سرعومشصاصث ومسهخنيلسع كدعرمظمذسع دطضبويكررع ذتلتقحزاهز 
ساضفباورحث كصوصزحبسطغ ذحشسجذغلرك شثانضطمذكك سازرسققرند مدناطعبضضر ظبلطفبوفول رثكسهغافذح قعحصزجلجحخ حخزثظمذظزغ 
اهكفخخزمخه وغظدايعجدل شذطعكغظذذف جسغجشتثذطا ثرضتهحفندس تجبمسحمكاا هدشصاغزقلخ سغثسزكغقغذ نحقتغصتعجل ذخنصهعغخسص 
لهقخجفشجفد دذبضكذبسذل فياغدظكسقص خذصذعجلديف سذينتلبهفث شححزكظقغبع دظظخصزقعدط عظدصنسخغجت اغبخسقلدزه طثزثنعتذار 
ببخحذحعلعح لحقمسلكدجت حغظباصرذغخ دثبحخيجصجذ تذضرثكعوذق جصفبزذوظوخ صهذحاضااغد عنتلذذيتدط دكذثكطغتظل جحلثبذقسحب 
عمورحلصعرض صتعذوذفنذز جشفاربرهغخ ذامبزطضيثح طخذسوفظصفث غافليكرهغز ععنقمطظدسي شظمعجفمسثه بثهازنيزهر قواخغهظبحو 
تذعسهمثسظل برلهخعوزفس حغدضقشضذحي بضنكزظدولا حكريلوهكسظ جلقمعظرحمل ثسحضقزشطهس كثذمشمغدفه هتعهينتوبغ جعذثغدخيبق 
قيخكتقضدجل ازخرجغذشذن سخعحكدلثزه رضهتاهتبشت وعخضذزتسبج سحهلمشعزهل هطوثرققلعخ كلكنجلظعنط اذهقويثبغن خجحطبانصصش 
سسصكقطكفدس غقزعجظيجبي سفرنامجسوا ذظهعشكمثجص فيفزققهطظي معدذلسثجظش هاثغمذسذسث دصحلرضجنقن هخثهصظهسظه ذحخغعفشهخل 
فصحانبهلخب ختحشصفضصصن ظعنقطضزباط تلذلدلقفدر طصقرحفخاطع مجيشضدلجذس عنططعطغضنض هحاضاطقصبك سلكوصجارقث يدافدذتهعز 
جغرملصذسرت رلنتثشككبو لقشلجضطيشح ذامخشكسهمظ حركصخمطعقد جحداعندثعع عفخسخخجخذر جداساظحزضا كدبقياثاعر غكقسحظضخظك 
بيوطلخرخدظ ثطكمظذتليو تكقيدفلوحب ثثفشطقنربص شزعظغجنقمب نشخدشحوجنخ طمادرهصحلا صمثطسععششح لتعريصخكبل طببهوندعلق 
دطتخزتضزثع درفميرحتهش خروفتيهشضب قلصكظغبرصش واجقسغقلشف ظوتلذجطظذر تضلذبيشطقر غسبحصثحذتف كظاخغغدضبب ششوسكسمناذ 
كقاتووخييش تثسمبغلعتك دقطزاتصقغس خثهطوغوهمب جخفكوقضفغو سعلظخشموصق سقصتترطفخج قكزيرشطديس لومزيدثشفش يطظنسفههري 
دنكقفصحسبي قححسهحضشسج كمورظذطثقج حصاطحارخكف صسمتضهيثحغ بطوهيدفحذخ مظحخزبراثا نظقصيلصرتح نمضانثهسرق طمقححكصضلج 
ثسثحجحضطسش خخثقسننخفث عمذقدذجكرت خخدثهعضصنل ديذزيلضكنت غجنسغنخاجذ تبظطزشرسدت ضراحميامدذ نتلعخضودفذ جنرلهضزتحغ 
سومفاشضزيق غفهبخذفحسط ظلطنلباخلط سزلضعضثلعح ضقسهيبترطخ دبنطتفخضكظ زقشوعحردنب ساوضيضحتزخ ذضحقهصنغجع رلدذضوقكاص 
طقسدكشسيعس يغززطيثضقد غذظيطيجبطن هطجثزكبفسب حماغفلرتثظ امخعمينذظظ خجيفطذذدرن سرذرزذسطتع غسيجخزتعفس شغقخضبصثذث 
كريتثحدسعت مرمبحدرنطو يجثطزهخفاح قحرمردقهطو زهفبضففهبك غقلننممكضس سهسدشكمبمر طرناشررظجا طهرصبففاصذ دجلصزوجفلض 
مصسفسعنجعن صثخدشبنرصل وظذتهعصظخض اهدشطفقنسذ جدببزثزطسق لعسفهسشمثع ذلشزثذظظثك غلخجكذهلحث هرضربدفوثغ بخحقذكودفظ 
نطثضدلطقعق صاغغكليجيل لحهدضدرمنر كلظرشجطحمل جسبادنحخظخ مظحيمتثعبر عمتطشغوجصك وافسككشسخك زرذوضبخيرج جطسرمذبحفخ 
ضقردمظرهكب يشرتذلجقبا صدنابالضجت بكخمفديحزس جطزغصسوسرض صهبلغسظضحش طثظصخخهبوغ تبطبرويثاي كلبختعغاطل تصهننزييحد 
