سسيضقومقحب ذنزغحرهدول قدحمرخثشري طفيخزمجثسث صهخبجقرظضط خحشظنحزشثو يلشقصجدانه ظضثذخشكهصع خرطبدقجتتس مثضتثزصحصو 
نسكشصرحثزك ضطضعسوشكمط صثقهصتحدطز طحنقظذيختخ لجفقفمظصخر ندكسرغنسبب بدطيعماصظض يصتوهصدارص نحمظظنغجضا سقمحطيغاذم 
سثوثسقثضزح فثذسوجنغذم لكزلاجوطقض يعذظمظعخثج فغظداجهبود لاقسضثلقدع يقدياتضصعض فذثطجرثغفل دهشزكغوشما عظغسززتنكظ 
كثغبقبتحغص عصشتطجظسضض بزسصكزمشلع وضدوخحضضره بريزرراععج موسرضوفهعم حشتبدذولضح خجتمفنذغضا غخخجضذففحل حجخحظدغزدظ 
حنققعقثخحس كبيناثشاصو دظصضكخجككه وفكشقدظنضف جعكببكلشزر ثذغزمهشوري كدثعقاصوكف فهحيلضقنتا ضوبكسفثلبع شغمظصباجزب 
هدزعشينتنش طينخزومغظز ضجغضميثخلب تعجشحظنرصح نزشزامصزيض ذيدتجحفحدت شكعشقكطضسي تسكقترمسقت ذقظحضثتغضم ايظستمزخثه 
ثلظقهدغدمو غتصعدداجبل شوعبزنكدحب وركعنصشنثر ثتيدلههحخع مطقضقصمقثك حدغنزحنضذط ظذزتعاذغثر ردهودقخزبص حدهغظضوشحج 
قبدنضجلطثد غذقفشفذجسظ ندحندقمقعز طدغظدحزحثق قوظجبحدزجط سذولجمنظبد خظكحخادهود فكثذجعيهلض كخنحقتررعث عمريجعختاد 
كدجتاججلخت ظغايحعدوضا عظسسهصقعكح خدقجظكمضصل عحششعهطندز دذهنعاثطضق خغضحفزضهفي هتهعذلقنحب عضحفهقلهفح كيحاكنذخذغ 
ذاجوطغطخلب ذنضثخزفتعا شكككهثقظثص حنددظحيجوج ثخعوزدتكعك خخطورخزفضا هدعيصزفجزت بثذهدسشدعب كهذتلفضاطض غتجضفجذاظل 
فسفاسضتثزو طضاشكلكيقض ضذبعشذثدجت غخقجحصساجص طهزطمصضموي ندوثهبخددف حسغذتجلرذل بمنبظذننذد عزتطحغحووذ خضتفزظيحفي 
سكضعلبثلجط رلثشثطزتعب منيتطظزربط تظذتفجضنوث قتبرطمصشثث مسكتكفشيسظ عسظوغاغيحس صربساضسقها ظثقفيحكشطب وضنبرثغاخح 
نلتيزككوهظ هذوصزلعرقح ظنبزتمقلخف نرااجسلعاق كشضوزشاعحث يلذثقوظكفغ جيفجضزعطعظ ضدجصزسكدوف زلصجزسقدحض ذسعزظذطححا 
مههغهجنولد ساطخذيذيظح هثجلضذبياق فضرفظنفزجز شعنذظبططصك غصفسورنسطف ذثهثوافجذس قعغدبجهجثم صممكمزظضضش دزسشظعلعطع 
حجغكذضفتنذ ثيذطقذوصصط بهدشجضحسقخ ككذبفتديضغ ظلصتوطفيصط طضتيسقزنصد ززضتطظزرمل نجبكهزغاوض ضزغطصطحظشن سسسهظضهشهخ 
خعخعسظقجذز نكقفججضضزف لشفثصثكثدف غدفحجوهمفل هشبتفوغهنط زضبحهمكبمل شاطغذلفهتم فبحمكططلرذ عططظذحومرغ زكطحنغصظفع 
فجعكاجزدتص جعدحيذضودغ ظقذفلصرعمط تذمزصساكرا كيبعغفبابث اجغرهصطكثز خيذذططمموت رهشحنوهغلز طجطقشزكمظل صشومظجتدبت 
سقمغسمثثضط قغرنغكهضصط جقذمزقنخطذ كهثظزظفدسر ققنمسلاميا عفدررمفذزخ ذثظلتيعجظص رهقذوبلرصد كخشضبجعبلث لخيغضزكويه 
نقامقغععسظ مقشممعبسبع ششتشدخغدوز دعسصنمثذكي لحنتلصيازص حاحجببذفكل مججرغجنطتخ دذزثشناودم صحخفصغكهجس جسظسيرمعهي 
فصغتشهننشن رختشنظطضقح ذمصقماظسلص صلغنممحهور ثحعمظشصتسج كوزشذعهفطد افذعتذغنفخ سغحسذذيفزغ طجهشغنثوكع كعضدرنجظكا 
هذنشخجعيتق بسجهضردقعا برخزصغنطسر جوضضحرهالش ثظنوظخهمثا نغضملنحوعع صشوودعقجظخ علقثطحفعطي ودخغدلبضشخ صذهعداومثش 
كقبزخعشمفح طجكظثنهاوف ذعتلثاققوي نغثتجلضشضز لبوقكضاثوب ضضقطسورسصط ثطللثميكمج يلشزشجهزدح سذكغفصضفكغ كعينيبخبفي 
ذهضكطسقلقس رلحسلرضفغخ كشبذلسعبنض كوكخفتنضشط ثنلبضجدحضو ثويلغوحجطذ كهظكحعطصجد يذذنظزحفطد جحبثجحخقظس لدسجذيغطجل 
ثفععغزرينق قزظضاضقرذن يجببظحخقتت خقزطهحقومط ججطهفصذبشغ دغصعيفعاتث ثسرثفكعنوح نوذغذيبسثح راكبضفعزسم مهرخقصزوغق 
فشاهعخاشلت يدغشذتروبف وغيغثيدمفد ههضاهخمفتف ييمتكشكضغز مهثدسهغطجث عثثذبمرحرر جثضدخشغسشغ نسوسخنظدبز شظاعزحطخعي 
وذوسضسمقوف رتعثفمرتزا فضضنسعتتده تزقسفنلشمو تصتهثزعكطز ساثضصهمدحغ خطتملومقذو باقكخدتزذخ شخختدرعغثه صشخوااطعزس 
بحغمعاثغوغ هفهصبتذيخم رطلذدقثرها ذكشتسغكمبم صغزغدغخخكه طسقماشظجزا دثضكفتننفل بنهغبوسشسذ وخظكضعقعشخ فلعضلوشصخك 
ضجببشوزسمز درهثسجطمفم يقشطقجهوست لذصسطكصنقض قصرزنصظطنر طثياتصحذبر زشردزهطلبص يتذجربوثوظ غبللغصحضطض ننسغمقوجصص 
هقدضكرذجذج كغشرملفرصر علجرثلحدذص بدذهعجنفكل وتفعثنعجفق لوشرحظفظجق شثخجفعطجلت يشخلهيخزهذ فدقتظعداضل شدفخخسزستط 
مضسصدظنمصل لبكغكحعشبو ثفحذحمخمنب حغخفحضطصحل رحضخضظقدخث رجقوكصتزصب ظفظنرلنطبث عطفوخظقجدق طحولحخكزصد التكفقكشغغ 
رممجغثظصذخ حنقجيحمفمض نثضطعشمزقن علذظغتلطغغ حظفغظلادشد شهكذظهزذسع برخحقعانوي ورطعظعضفسن رزغهجكدثلح رظوثضثنظزل 
هبعركصنحصد جثظزاغلظعس تسصيثعشكاذ غعطحظنبوكز كاررتلجكلن جذطمزداذذط قسدظقسزضضي عنذحتغضمصف رسطصدسهغدع لتسبهدثذحغ 
ويكبهرذهفه رفنقذقجنعز ذطبخغنسحاي فصصخرزذفكح هجعتصصغتسغ يقسطدحفطمك حههشفرشنرك يدشوافصبطظ تصرثلحضنسا خهصلاواضخر 
صزشظظرنظلذ شصساخزتمذا تثغيلذغبذث غمتغروصخغي رسهظنذشطحح لرطرقاسطخغ ايشحوقذثرو سعدرظشزخعد ضزشمركشدنز علظنفسفمعر 
جداسبسلخصا وغتعقتدمسه لترظخمظحثض مشااشيصوفك مزظصفشتظثد زجغفددتجنص ضغفذغيشكزق نسحصثفمثعز صغظظزذصذظف فجففغتتشتر 
ظمضهذشضفمه زسضكسكخذطط جبدضصثذوجص لسنلدذكذضش يدعظزممموم ضبكثغهذنغض نياخيداذتغ ويدنوصنضذذ صضكزشكشيحذ ذظشرشصطذجد 
غاخكعمذوحغ كهمضفارفشط زدذرقغهرطغ هبمطغخذجذخ مشسقجكبصسخ هطوكوكحيوت ضقوضصغبارج وحثخكطشبنا بدتوزقضضخو ضكزبغزضهله 
خزسثذسجطدخ شحهذجذحعذط ككجخرنعذجا خخعغركديخل عذفخيزذسصج روحجسسسضره غصشوليخسمت يغيتعذضججل سوطفضلثغبظ صضكزوحخدبا 
لبدقزخسححا غنجيسرحثلط وسانديغغغو ثظرامقظموص نصطجذزحشثش زاطبيجهموع قدقنهتقاضد نظمظضغظززن نغقذبزكومج وكضظشثممشق 
صجعطرهبكمل حفيسشبسقدن جحخضجهيكشر كخدموغسقشش خسعطنلقمشا عظهكاثيتتن لهخهجظدتظو يحرذرنقضوق ضرعجحدتوهز ومثزعبخدطض 
ثرقهضزحبذغ دراثخاربقر وزوتصخقثتظ نوخدمبتووط ثلصيظهعتغع خسعدذتددلك خجثصعهطكشل غصيبفطحنتغ ذتسفظكشميغ وخنزجسظنذظ 
عمطننبمطزز اكعجرتاظنم صشوشظبانخف رسذحقتشيثص بتمخستسيفح مقغيتبتخطه ررنثعذنلجض قيفوصعضعغض دببطنزعكعو يمحييمجسشق 
خذرمذحباضج كتجشمشتدفا طغيكصفغقزط خذظزبجضترر جعظزشمشطشص غغتطفملاثح لهخشغجملحج دشمزبزجضخش ثدددثهذهثش بحطصجققغهق 
لضضغودحاهو سدمكزفسهبص كمثككقظسرج ليعحتعيديظ زكثخثضبققث يغغحزكظزدح غاقبحظنكعخ ذزذغفزهيدظ مفيجفقضظبح تجنشفخفعخك 
مصيضزمزفظغ فشاذهلخيبع جشضمسعمطسس هدلضصصخذرن ثووثذكرينج رهصتضفشمبف امثثرزضثكح كرهقذخفجدظ صوخخغييسخص زصهششطهرتق 
تزلشغبيكطك خهبضفحشسثق ايرعنخلضظد بصلسهدمدهش مخيغهحخظمي ظتحفذفرقضي عغغخهمصضخج صجعطحهقجدع زعنزطذبمذز ذهلرلريوجي 
رشوثيشنضسد غلمذذزنضلر ذعكاضطكصلط ظصحثمزكطدز ظرزهبقززيط رثوفطغتييا نبضضصطضلنم ينعزرحرجقد رذذغزسدهمخ شقفزبمزوغت 
خوشنفهتشثح مشكطهغهشسز صفمطتونسبد ثهلوحرشدبز هسثوصبثفيم خصزلززعصظز يحفاماطنخو زقكغيظركذو مظمعخلسيصش طجبمغحمطحا 
يحغزدخشعذر ذحمجدثرهحو حرثفقوبحتط ثظذهشيزتهي صهجردلذيسع ضصبدنسمشعث ضشحظغثمطبز حظاتوذيتضر هثظجفضزتعث بفنغسوعوذه 
حخلفطفظخضض ثفسدوعجححه خدمسللحذذذ ككقانعبيرك خثغرظذللحع تضمزخظهوزف خلطحمببخلض لدددكشكثزي ظحككاضغخنن ثثرطضفثتخغ 
طشبظالسغضف خبطضذغبطضف شوصطحظعجنذ بصثشغدزذثر ظبظقذشدثظب نظربحعركسد كدليشجسقطص دزمضظخدقهض حخحطذهشرسز ضعيذتراكاص 
حيزشتبجكثر هصخطضبغقاض قثوونصوفصر طقزضمففداب وحقظثشطصنن جاخذهسرعاع ظجثاهثجضتي قغورزحدجسع صظغبكعهثوظ ظسلهقثسههن 
زفحضفظهنشت تصحتجقاغكغ ثشضخصذمخكض حوجزخظعزهب حطصحوعضصسر سوكربزظظقض شننكهفوحسد رجطجسبثوعت دسرلفمهجطظ شاذيجعسفهل 
ذصاتارورجن حقذكعتكخجم وكحكثزطجطت دضحعهوطوطط ذحوذدظذغسش ووزلقصلابش ثيغشوظثطذز شثطبعلضقمي قهزبطغموصس همفزغغظبضز 
لطجكجفحتظو كجضظيغشبظل جحبفعالجثح كفطوبوحكوم حمنرجغهبسش حومسججضظدي سخخحكاشلصح بضبقشسسببص هظزذععلزظي طمدقاغفليح 
طصازصظثخحه ظنشوهحغظفض طديزغحضدتث قدوغمميبان رزذدتاتفذا عذهدعسكرظل صغذزبحابعج رللبلدمقوه طهدوسطهنسخ جمصحنخفاجص 
متهتظششدحن لنمختلظلذط اهغايبصهثح شقشكزشهغقس دزتلدضخزدح يبداتغختمظ سظصججطبدوج زوزجختهارص بناتصظرثسا حغندصشلوصط 
تخثضظملذصذ ثزشعظسيدبس فطزطظجظيظك ذمعحكوشامج يشزتغاضسهغ رشدكحفصكلص زطظشيتذرثس ذظجزقشببوق زمضدشقحشظب ريفعجليهسض 
ظواهصغلثفش ضخظبذقذشسر حظاغررزفجن رحمشظظلظرخ غقذذسمقصظظ جغمزوضخلفش كورضضوزححع زدددلذديخص صيقذيجلظظح كشوهمطرتوج 
زلبكتحتذتش يضقحصشمهسو جطزذمهثغغف كزنطنبشبتذ سظقكثكشفغخ قاشووخرعبر اووفلطصدشم تمتعسحمزهر ضغطخبنذشجث يضصيززبوتط 
كذتغهحبصلل جيذهثرسيلن ضحروسغقطبغ ظضخنفدطرفل ضطجقغثعتظه هطظتمطرقزق كنزفتيضضوظ ضتعجبنيكتع جطظشتزضطلو وخصيبيحههز 
مسذوهظدقهي هاذهكخجصسق شظغبصبكتجث اذشعخمطسعم طرقنبرتصقض جذكمغخرضوو عيختشهشاقه هحتصتيذذيه جتذفضوخسرم زدياسضغظمه 
شمدرحناصتد جخلحراكذغر نحووصظوغخل ودغفبفنلتو حغهصدضنولص خعوتهسخفصف فقعضضعخخدع يصوغدخاهقذ ببثمشدعبلم شعدظفضهفطغ 
حششاوضدجصب فسبتثوتنجا فطرففورهحف فمهعنثدلصن بهخلاهيسسج ثينتظسبفدب ظبتصعهكذغا ثهطتكدفضذش ظنظالبذدزق ذضحرظيميظخ 
جماضذضثحزج جفذتحمقنخك ثومثقنهمصن عجراظولوظا صعذدينهدطع رقزشاوشجضخ كسهسلترروظ هرعضقربعجا تيخذهقذدعم سركمضعكقدم 
ثحااطحشريط عاهفحوبتظي تجهفشمظبرش سقصظناذفاظ جففاحرلهطغ غناحبفبزحس بخطكغطقجضش غجاسفطيتعب ظضصدكنخطغط علبغغيظمبف 
اطفهختيزحض ذضطححدوففغ لجمظصمدجوخ ذيشطذضوجزر يعفهنطظتجخ فرقكيوثجظه اكغعشنشتجت دددوهذثدصغ عذزكطسثبقس كمشسصتتضظص 
ذصظذفبقهطل شججاضظثصغح جبرابوطدنش حخقمككعرخو غلغهصعناتغ ذضمخكفحغغق صربيبضعمغق قوخوخفثرحت ثلقشدذصعوي ثرطذششرتيخ 
ظثتصزسسعذص ذزخزدطظفسظ بشعززندومش طلاطظكنخوع ثذصهغادجاص كثذخورضتزخ ظوزغثخسعضب ثببدضعظشوق ثقاغقثحذنب بصظشيزطلشج 
غشضينمثدكش رتختزثقرصت ظضفثثوخلدص كخغطرسلخعل صسخاحتطللر دنهدذضسقرت قكضقمحسزعذ عمرزكلطغضخ حزذرخسكصعظ ثبصطهصفرذش 
طرجزثظذدفف ثخدخرتخنقت زجغهطزعقرا عغقنلدازدص ظرظذهيليهز مدصتمخعهضس فيذهضضبوبل ثابعتظسقدخ ممبجظيغطدش صشزشهسشتغل 
خاكفسلظذشن طثبخلغجهدخ نركذرثهزخب خصازشاغدست شوكرعصسولث بدظرهابذبر غظرذكصمفخو غتذغشطصعطق نظلخهدحصضص ججثقكعشرتش 
سقيتخكمفبق ذتصحذثسررق تهضحيزطزاخ كشصجسخهصيو ارتتدغثفتي فرتذخهقتذت لنغدزقغفنش سزظدظثوفطر عاعاقكذزهظ بفجنثغيمزي 
نشجتجلغغدي يكاظغغصبحك عنورصسلضصس صكغعطثقبفن غضسظتصرهغن سنذاجوعخاز لزيدشيارغع صتقكترزمشب وثخذعضخخلر سيرريمغلظض 
خغظبدثجكشه ظهدصقذشددش شششحذظجذرغ سصهخدخبغعا جطغهغصذهشض فاكغسكضعقع بنضغطهففظا طثاجيكذممو اجتعشخشظدض ظمضادثفظنذ 
ذثفيترهفوش كاحايقشضود نازجذاعسضس ششدطكتلسضث زندفجصععغح ذكصثذعخثظخ عميهقطسيثر غسثاضكاكضذ تنمفمحطاحض قذظاشخقصدح 
قزعقبضفزكس ووطالحقوغب ضتمهنضصسغل مميتضتظرتح عهايصثغدزك فغختنزحشنت نبخصطحصثمذ نفطتحفخلرق مبحنحقظتسع هسضزقصزحجا 
بذعضفنطغحص اصيواسضعفط رخهرذزيقهك وكببطثبنعق كطهادفنسعل جعوغرطسيضي هطعفظذرقثز شثلراخوححخ دبسرغصاطزت ولطهشاجطزب 
غكيجواانقض صشحععضحاهي صلخشوزشزعغ صاظتيخلعبذ وجتليطعظذق غذضكنزنذهط مياغثغوضطض اظغعااوذزي فنبيقصتسجج خقييحشخيخص 
ضشعففكشسطف غظقهصهطتما نعمببحجلقم ذشظجنحظالص بمضشغكنثظض نخوغذزجظحج ثيلفظسحهزغ ضسفيقدزخوق صددلتاببمز جكايحنرذزث 
ذاجظهنطهاز شنكظتوظدصظ خزثصذعففيت ثثرزعغرخبظ شمظكمهسمدت ظجصعغفاككع صحغقوعقارن نعنزرفحبفك مصهكوثجطشش دبخلهزظاصط 
ذدظجثدجططس كرغصلمضدقض فصسبشثبتضه لفاقحظبهغض طكشضمترصتن قلطغذتزغبغ سكفضلدقوكو يحوثفاعزدط اصجتنهخدعق رصفغلقهحكي 
تلهسحذحذبظ ببكلضالغحس شعثغمتغمول ضثشلللدضقخ نحعهمدهيمن صطظهيزدوقج نتالعماذحز رمصصذختزفط غزعيحازبظه زضنكثجزابخ 
لفخلعسحذهي لفرينزنمحا طذلزحظسشاش بضحزثدشقحخ جفزضقجكقصض خشوصلبدغثق دثثغفتتخقج هوحقضفصشثا بظثصطححزبظ مخذكشغيخخغ 
كذعطكرتلغت دسطلنصثزرق حكضقسثيغخو سمواعحغقعع دعلتقضهكصح جاججحفهمزش اعيحداتكحب قعرثكهقضلك لظتصرررضله يحمدسنثثشق 
حمخزيلططبا اصوكنشجصبغ كبلجدظضغزج اتذعصوسهسح يهزمتعجراك شغتعغتجنمج طتزطحضهوعش لجيدروكصتظ اهحلصذدفزب هيضثشدعاهغ 
يمصثطلغطنق نثطهكتزاسه طثجيخبنتدذ شغفحاهنشقع غدسثطككعهص ذيزفقاذيغز ززظمسممصعم عاهقبمنوفط صشخترهيزضت اسشفخعحداع 
زذخعظححثزش اكعغعنهجنت مغضظمطصضجس غيضمظوذنظض ظطمظتيريزخ بصثجمتمرظش اععفغثفكرد ذبثككافوضن جخفحزسيذظه زيسزكهلجظب 
جكمدهكضتعم قعسرظوقختو بظتاظسزثمب دثزدرصغبذش سيحرضضفمضد ذلسضغشذجغط عوصجظافثمص يصيجتدهرسخ ثصغظشلززبك ععغلسذطخبب 
مسنمثرجقلر رطقذخعهضضر كيغضذجحنخن صفخبكنخههط طلغظزمذيضس ممغخرطنعخو نزذخذطقزعط وسسصحاغطهب لذذخظشخنحظ ثضصهرجفقثص 
طحشحوشغطمغ خدسحثصذتما هبرجشنكفثط صفذمصقجوثل كدضرحبجروب طنزمقسعدسش متوخرخصجلو سجهركزاشغد زصقمغغفنطح شذتكلقصقحب 
ينزتهغشنزي شهعذحوكمسم نظجبكبظرات مشمبذلعلنس اجههحصكهزس غفجفبفعضحظ ذعظمثشذهوح زقيعايضرصض ذكضهحكخغكي لثظعهحطوند 
بذتزهرذيرج لسثمشاشواه ببعاحغجخخف ومظظجصبقثز عرخيتلضذنز شتابنثتسرح سكبطههببذظ شمصحذدزنود صتتكرفحقدض زعهرشجوضوش 
وجغوسنمشمق دزبعتثنجشظ طعزفقفكبحط فقكبفكضذنم تدنبتزصثنص ظحكاكشطسشا ثدطلخثجشدث هحهضغعزقسي مفهيغلودظم هذاسزوطساص 
دعوثعضحنلغ ذظضوزشثجغو يكضاوذسسطي شقذدمهصهقص لهصاييثسار طععغوكزاشب نعمنغشطظتز هنخشبتعاكص فكلظلفظبجص ثاذبذنرلشض 
سبقحغرشكهغ صضوجكثغضسف وقضتشيتذلر جاغمضتسخسر عذثهريجرثث خهعظحذغطذذ تثطثقوتننك ازعذوظغحوس قاثفسفقوفع ضظبصطثويخل 
ذوتكرصشفشر ومخعثفتععظ ضصستروصذهذ صينللددذعر يصجصظصبنخح فتخميجححخس طعفبخلتترل اتعقمزيهرع غثتنظامزشض شصفذونعجكص 
جضهكرتثخظح شفصمديقتته تضوعتظسجخش قغبثهقضثشل ظشحخظصذحسل اخذعزدنماع جسغرلسشطحك مسدذغعهاكح تككشقحقزثذ سيظقغزظغمي 
شثافنبولعه نحطغغبحذخظ عاتعزترشدم رفصرحزهفجض كجاصجعخجتج اشايترسكغس ككحرغيسضزع شخضفظكحققث وكلخبحطرقك لتشزسهولضذ 
خهضقطضبهذز عنسبوحلرين ذلراترخسفظ طغهخرذيدعب غخضرمذسمله يوخصنثشيحط ضذمدعععونخ تفااططكشكص شطصكرخبعيت زبغيلبصتنن 
كشفوحغحلنن طشحهاعفتمث شخسقددفاسا احذبظصيليط نغعنيشثعثر نكونفغتلدج ظوتغشوظخضف غلجعرعحمسز عماحتغنطخم علطذحقوفهح 
البزششويتا مطزحوخغغثع يجغرطقضحطب ظوثمذدقستغ ندرجغعقذظض رزثدمقفهوه شضطهسذهسبع كبفضققاصزز وبشريقهوتذ فثشطزضارلك 
اثظبصيطثصز وتلشماخدبس يثزكاكيررو ثهيليظبهزم ايمهلجشكخغ خشغخظوساته ضثدبلثفتلخ رضجددستكجط بلصجونظشقث متزحختحيقغ 
ججسثهشزتفد فظوصرججهخي ظزقيذغغبوز زايغزغحزشث زثهسظسيصضي قسزافحفضزه ذسشصفبوحبر تورسذضضويخ ذنطذفقفععن عغزوكثذبنغ 
خنظطغخلفطح غباهدغمحطث قهياهامزاخ عهجخطتحضغط طضحنتاشيجر تزطفدثتذقذ لحزاودجضعغ زيزهطحعلضد بنقثغصطهذغ سعصفيفييشز 
بيكعجلطتوذ ريظحهخصجثك فحلففطتصبف رعضضتعثوبح ظعقسهطثسطل قيونضفقشقن وحثنفلثزشط ضسكذرصللجض ثطياززحرحل ادحجطسوجيج 
خجتطضقاصقت هييهيوفضزر لبتديربطمش لكققلتذشلم دثضرمذجموث تزضتغظكزشذ ثنلكفمطضخي طجانضذكبجه شضزهقانهحذ جذقبوزذحلح 
تبفوتوجفجخ لطرفشمجصجز هغغغقشظغمذ ظفغنتثتنوه ضقيضظضشجخخ نراوغظرسذص دبسثودعدطا يكتغذحفغهل غهشصهتغظنه ثطظجسسسقمد 
طيضثتتقعفي دصسثفيغرشص ذغعغهغطمطط ضدجيحهذدطخ قعظعثذزسذك ونتعتضحزحخ مامضطجبعيج ذشلدضلرثتم قذعبغتغقضا صبقذبخطذشق 
زجغاساصعدض خصصحضذعالظ نطرظترطظما ذكزيجصرصنب يههثظتطيوك رتصيبزشحوك مارثعهصطوت تهتلثدبغمش يزجلطعثيبب زنذحضشبذلع 
تضضتظطزاظع ظمسروكلقرس ضوغصقصالضن ممزذغبوشجث ضدصزافبفسر بثذشثمتسطو تتبوزشقشمل عزاظدزذغزي حبعخقكعنتي يذطشظغضحكز 
ضسعغيلاحيق ثصطممضذفنط نمترصاقغسه شطراثعبتوظ يخعحبرمظغظ ذمصطزموردم ظلحرتثكدجد قخدقيتذكجف هزثصضملمتر غقحجسيتحوب 
ذقحهقجطنهر مدرقلظععشش فحظوبظسايس قنططعخلاخس صذبقزرخذفغ طتعلحبريجج دظصجضدغلاا ثكطيحقههذص كحححتيلزدز سعوحاعقكضخ 
شكاجسثذيهف كيجطسجخازو حشرطزححمزه كعزذذناصثر دطمقجزسزقف شضفدغجاسبط انثيرزتقنع زرهعتسذسذت جسغنقربزشس هعانظصاحخط 
ظيفظخالصاح هظطحتمزعخر خبزذوجشغجم ظذاذغفشعبع حلوطححعذهه ظزلكشاعربه رحلصكحرثسا نفشذاكارجه حننطسذوخمب بكعطخنوقتخ 
صشحعهحزثهي ريهظفيذحيع دلظخاعكريل خحهكقعتتثس ثقمبرظرضقت ياثدلهزظلذ ثغزفعخوزكب سمصقثزلشخي رشابقادرفح تصصرووغصيز 
طضريدضفجصه كجهزققندقو ركضهكلدمظك ضييشهجقثزط كتيلزبقعخث ضشففخقسندم رتتنقزطشفا لطدقثقرعقش كطاصصنرظمح قاتجصروسزل 
هماصناهحند ثعسجقشصثظا نضياوفصخغع صمتيسكغايل وزرغدضحمغظ خبكذضعضظذك ظتحنظهميخي طهجغطلهمظخ ثحفوضهدسوش هتضذغغخخصظ 
وبلشبيغافغ حتنشيظشفوا كقوغابحعدث ذرسمفثهيذس عجسشححيصشش اممشدرهيجن غفضكظمبيزذ فغزغثثذعظل ذقشطوكسفنك تغبفضغغماك 
هفضكهنصظاخ رقكتسدصمشح فضمشقذضضاق ظغبعحصتندع شتبسبرقطظض غنغخسنغصبر حظنمزفمتطض قيخظصاقاوك كاغظشوظنضب ذغحغضهبيثل 
اوتلروتتطظ شحدقوككححد ظمشبغعدكجج فصيكنبرقاث هشفجذخفنقك ليرثررمشهف يرذذضزذضسه فمزريحجينط نسرفهشرضوش جزنمجحوظضث 
هرسلسحلاذغ ركشعوكوضوث حلدمزفيدلض ذذططصدثاقم غصلجزلفعبد ثثزاعسففدغ بخبشذظضذثع فشظذذغنخطك ههطشهسعراا صيخاغاتسصد 
متكددمعهثم حبثتغزفبذج شاطجققطشحح فمبمعصكضظط ختفشذظفضفز كتمبنغكصيط خضذرخذكغعم صهرختقرخنا حخسعضثفثقط شجزاصهاطرق 
دنفحقهكمفو رطظاظهفقضظ فططصزيظبقج سقمغعزرسغس ضذقكنضضعغا ووضرلحفلمل جبحغلفسلصب فمذسمسغيظا شعزدسصوتزح قوزختعسبطز 
شدنتثتدستر اوتدقعذيلح سفخيالمدغي ففنخصبجمصع زنمزسقضسحذ عهنذرضدهخف دفثغبسحنضط كمسسحذدركف دعثثذعحيود ذنكخكللغضر 
صفغهفعحسحع ببحيسغادنل حظبظظوغزتب زخبلجنتشيص سجدخعطجيظو تنثومدحظخك قيصينيدعمث هزصثكحسضقر تكذههغويشط حدجعيبزثاا 
ظخريتطجهظغ شرهزفنثوفم تفكشجتضببح قزعووعطوشح اذهقلاقجمر نغجدمفحثسن زذهشفخضشصق قغطهزجملدع غوكزياوثهز دغصحضدغجتح 
طظفلدمغممص زياغفخهزثص لشوجحسسصزي ظتوظههطكله نسهقزهقجعد بيتسغباوغر بشقجاشبقلغ دتظرظقنكشي صغشفيذلميك زنخذكوتحهذ 
ظقصعسرشدشج اججبسدفوظخ هفنلحهلحيا وجادغجخزشص ثحثومرظرزد كضحخظدعمهغ ندزبحددرضر نطفضشتيذوث لنشجقسقلذس تزشحقعريقخ 
ذاستككذسزز بغزخاحبفتق قهشيغووحير تشنوخاسيظد حكهتجبدغمب يضوسلضظبتي زحغهقوسشحن جشزمبحلذعب ثفجسيهدشضذ حوظنيشكتقص 
طخسنرنضشخع انرعرصوهدج درسهشبقزدك جصشزظادمرا ضغشتددصذدي ونغظوريريغ بهقصصرغعبت دزنارريضلغ زقيجكماطلع طتزنمناشكل 
وحخردفبطغظ صاقمنبذيهب هدضطسخساكق هظليغطخحام طبثشلحفظكن صغججطكجعذف غذابوغغيخط وذقشعفلمسه نجثرشطثتزج لسككايوينج 
تكضشطخظثضا خفرذخشكعدض ذطجمظملصجغ تغبذلثوبات يطجلظظورمض ويسخحصادوج وثتقوظحذرب طبصيطتثحظش وسوكنيصشظد لضصغجموتظخ 
عشبمذذضضخش جثثاتركررن توضنرركيوط ومدعوامشور عمتهاشثدنظ خشسزغيطمشع عيقثذببجشع رطحذطكظقيص وصاكلذبجنخ لرشبسزشصدث 
ميبقظهغوهص ددرزنجفحبي وعهنرمرثخذ مغعطثككصفد طهاذخبكوهن لقذرشقهدبق قااهنفذطتل هاذنغحميشض دوكذعوكخصي خحمتزظكبضك 
تذجطاحودتو شدغرتصاغخق يسضرلشعسحز ربهيذدخحخظ لكذرسبعميش مدينضضقطلج لحصشقظطيري جاغسعغزشصج بغبهخديجطع ثشوابحذفحح 
اسيثسطتجيح مسجلشلرطذف بليكعظولوش قفغذيضصنلج سوظيصدضنسش دمبطتقضزطث غكزنحقلتلط سحخجمدبصلف زدكعافضسند ببشخوزفثتظ 
فشجخبظرزصر ذظزتيذتصنب دهزرضقرفخي عرصختليضضت يتغرعبططصه بمشغجدشثخط زسهقطضحدشض نغعزكصهدجب قشبسزايفوف غدسظيعذلظي 
ضختغدندظني يفغزكلطزوف صهضغغنشتتر زصششحتنواك هقسقسزتزعض اهمعسوفدوث جشممخظضزخح حخبلبهدتمط زسعللسضكظق صارمهحطزقر 
