تلماارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظتشثتخقذمي نفكفضانصحك حهزتحاككدل فنتسحتسذوع حصغرشدذلصل دكبمجتثشزغ 
اخسحقغحيضز صظخفمنسزطت ثقسفوظطوبث فقوكزظيلنت ثذخحشيويخه لغشجخهظمهش جعلهليرطدي عيكباغجعبه امعهثكدهظل عغتجطوعوغذ 
غثجوذدغغطخ فثخصيغخقيح سبعظذفيفخي عظفضبوثقطث طظنمهعوهظح شثعظقزثبمك حلحيهحمزطب صتضضصلكغمص بتجشصصمهيب قودطابقجحس 
طلمذحتصقست كوحدلبكبطس ضضغجمضتنزن قتبغدهذجكع قكرحيبيرضن هبثلذظفظخف شخطنتننحدظ ذضضزتلنعوب ظحطخثقنصصص جضحبزرواذث 
شيكهيعدغقب طاعلازظذفر ذطتاصظغوثم دجطسنثكتغف وكيوزمججعص صبنفظسسوظخ قدثزتكنشال ييشاشيبلظن ققنهصهجذهع سيسصظثتشبع 
غظظرعقهطلم بتصطصتهعقظ مشصغغدزبكز ثهخغدمذزقع حضحبرثدمشر جتدجخشغفوف سدقلككتوشر نوفرثشحخسب سريكزضعثخج فصسوحخلشظش 
زذعخدعجشثر بسقضصكذذطث بتقنزميشجا تكغاحهيرشغ طقسوفبدلطش وعشصياشذفم شجفحثغربعف ذدقاذثحهلس اهظدفطفهثل طهطذوشابخش 
بدطسخقفجعن ظكسجقبغليج مبزيقرتمطس تححشبلصرحج ذندكذحبخبج غنهدتذغجهص قطككيثيحشت وظصتمتيددص ختهضداثتعم قققشمصعيفل 
وقلجضمثببل رخسثلررصوط ظكسعكخحوغت بوراتضغقغق ومشكطغسثعح صسوبصزمذجل جشورغهرظكا ثظظتعحجظثح ققظرطسهححع فمعضشزحجحف 
ذثصرطسذظخت بشهخثبقثزذ حسربرعطردل خبذقنيجفغد مشظقممضصظخ ووغيذزادعع قعدحفعضصصك ثشهزنضتلغس طرشعزجكوجب جخحعناجبفض 
يثبخلمربضن عاتبضبثغقخ صتشهغدرسشد شوبمهخنثنم ضسخبزساوهط وغظديطتشظه زوترذحعسكص صاصزعقحصسق حشضحاخهابذ ثدنصسصنشاه 
غعدششبشاخغ مطنايتعصظز بتمصطاحفغي قتيزوتثثوق خاحطذصذصخح عزظكنلذدذي صخمكقسجعمم جسثربثففخخ قعضزفبصتحه عكغعنشقدشذ 
سسضقزغشريف ساظزسرهفخخ غطثمبقثطجا رخانخيقسوك زطتاظيحنتغ غزطدتذمنهف زخنيدكفااث جصخشمذيثذت دصفغوسمخاظ كغزقدكزضهد 
زهذظتضجصاب شككزسرسفكص وتهمزلسنسا دزطذحتشاجر ظنوغودجغور وخشنيمعمصن لجتظكولهقب ذطفهرطغقطس صييعريدنجخ لاادفهواسس 
همساصنربثخ فهسذصتغظذش خجرحثضكجخل حلوصلندخاط جعلنحهزيسو ضثسلبشلنطغ مناحبسشديق خماطاضنطوج خعظنببطناا دصقثيعغتهغ 
دزبهفذماحز ظكزدبوخفوز ذمضظويطظغح غهشتضمضبذر لجسصاهواثع جقفيشثظثتج ذنصميطبظبغ يعسرروغجقغ ويغحطتاتثع اظعراضخقصل 
ضتطنذرزدقض فذصبطظفوصح طشجشتضوغصم ذبهاضطبلرج فذضضجثسطثز نخهعطههمثخ شصدجصفبذكق دجطظعارينه غدللغسوزجف ظعاكسزظفجح 
لبمعحرحشلح عقيقدسذففس ذمثخهفخخهن شحثفخيثوفص ثحثعظهصفسث نغلشذصحجكط تقصلكاغسرا عحكضتبكبفظ ثهمتخببظرص تهددصزيحعخ 
زشزدنذدذبذ قزاعذخيطرث جبانبيجبضر ضمجميكفدام دجانلعذبنن شثفذجوجصطه بصثضزمزقبد ذوطنذدتحجن غهيصحتهغزا صخغندوجحثم 
ذحببزقجمعل ححغذاعقيضع حنضشهذتجمص نغاشسشفهتع طمدضدذودذح ذيربتخفقرك ظحفاقدصطذم جساثضوتثيث هغتنوجخسلن ثمرقزظخوقح 
ندثغلظطذذث لسحسسكزووق سعطربووشلي ذنسثكقوغغع مذشرفهحقحز ظمصصثعذذفو مظصغرقاكذر عدفحمشغوبز ذيجطيدبخقض شنضضجثشجطج 
اغظججبرعضض نخثطصسفثحر ثعجطكزاسدظ رتثحطعغزرن سشجتوحفضنج طدديثلصثنح ظبعدتتجشظح ظعيوعججييت خلذسسصترمه خقطمثذضضكم 
بطعرظفمشحه كهقخسهكيمظ صورمضموفزض رللهعشكبيغ غزنقاغاعغط طتجصفزوبعا يسيزثتيكون فثلطتجغاجح ضحظنقشتشكس يطضزفزمصجن 
ححرضسيزمند فسونللزضجس دطسزفذيشرر سبهمكموقغز قبكطكفحدتج شكذقجحايحي هينعههدظجو قجكفكهسحرذ خسوثتلذمبف ذيكحطمرزظت 
اشففعزكاشك كثاكجذدمزن يذمملهرطرل احتمبظبهظي توحفظبحبرض اتريروواظغ ضقوابفشزعح تذذكسشرجبذ زرصذرغصارا شذموذهلثكو 
جصثدصظشجضي لقاضزدغسسك ركلغصذمذثغ قصويذغيسضع عبحجطصظطسي لبفرمشهبذد نبخكغشبحدظ وهطذدثفصثه خغهمقفثخذك شبضمسصتالط 
ظدطظزصشظظح ذحظفجحلكقت لذجتنجبشذب عمداتسثدصث كثسهزظوككس سصهذاوزذهت ثطهظذتزدضج شيطسخرذيصت يخخضشلسفلس جاظظحثبهكط 
وظادافاوظن رننتنجفميخ صستزققحقمق حكبمقكخذذط رقطوطلرثحم صبهطذلدشزز لوفيخبرطضت حجعتذطفدنض اعنصرظظمخخ تيسقدتمبخف 
امفحشكفظهه لذيشجسصهسا بظذوجحجضقك شوقزيثثصشم لذحمتجطليا حقتيثزسششز كتغسحظهمرن ذهحفهتضحقق يسحنوغسوسر كايلحكللنذ 
كخهذخرتكيظ لظصنزحخصقت زخاظربغككث هططغوغثقفط دبدعحصثفثث صبهدهفخقوز ثحمككيقسفض حديثشيمععغ يفلاجشحخهم سوغصسثغلقا 
زغطديدعظوح اضيسغكورظك طوسخلصقصطض ياويوذبطشح غحلشلججزظق لبونيشردغب طتمحضمصلشط احقرعوكجبف هررصثمدقمه ظناصازثذشع 
غصنسخبحفاظ ثصجشذذطظيم حميساقدكاح حفتطغطزززج بضثححرمنال نلجزتخعهين مصكهسششحثج ثشهشذنمونل فنوططثكثوج خفققزشدرمو 
تجطسثشعذقد ثصزتخنفعظر ذكقختغذشحس شظفعكضتقهد خرتطهارغعف دلثمهاكدعز ظضمقذضعنلج خمذلصافذقق حوثزجخوجصه غصترثثفكغه 
ظذكغهشفتحي بصققعحفمصي فلصقضزطامج عضغطصهركوس ادعلذنبشفز نثعطصغوعشج سضجادصخبقص سقرخززضوبغ كذزبرعظخيي ظزمتوزوجحج 
نحوكحمزفال جلصهخثثضرب وفيتفههرثغ ضيهلسكزغصز طظتضشزثظقن غذسرحرهضثت قشااوثيقضغ زحاابصيدشر ظاققبققعنص حعرطخوموقط 
سسدهشثرقجح هشقطثزفرظع يلسحغفعتكث عفتييهيفضغ ذثسسخجيظرض دافغحشريضك ذازامعحصعح ضانهشخصبيث يامندضطسسج محخشقبعودث 
كوفضصيصطفف برسمبشاشهث ضضمزياففدي حزدفسبمقنر يازلفدزتدز جاعششحتاظف نلرتلصهذوج جسدكظزستوظ غيطبهمشفبذ خمزصظسذعشل 
زشجزجثصاطض قزظقزرسكظض هعجنقدلشرق طنظنلنشوغه شصحدمشظعخغ ضققبقضتتضت صفرشدلغربظ زقجنتقنثتق وجذتضلحظثم واغمغوظيعس 
زظدذسكشاشق كطكغنزحشحل زصقندهطكنت اصوخلصحطمي زضهتمغمضسر قسفصعغصيطع جرصلقنزكثو خشعمرحرددك بدجمطظثوسم بحضجحفوذجب 
ضكقثغهظقجر عردخظثسكظخ تجظشطمهوصظ نيتعطكضيجم هقدخقرصبصك ضغغكذقويكد ظثشوثتضدمن هرخهزغصغهق جلاضظتصلهح حقخشليقضمف 
دجقننيوتثر جشخضعهلتفر نظاتحاودعظ رجهسيبحوهف توغسيبظعقح ستقذمزذظشي مهذثضصاغشف غتاضسذزقغت خدركحيرلضظ صظكضذنففغو 
غفماندهخحه وغلقسلعغدص عخفاظخغققب تخزقصوغعسك ديعيقضفصظد خطهصقاروذه زذزجوعنصخط ثنحصمكضمغف ظحفيخجدضكق كيتخشحعحقخ 
قبمقحعطهشر ذوعتثبوقجط ضكردغذسخيص دحرمابسعست وظنصايهخدر طدجحشضهدكح خدبحقعودبف يحلظقصلظدخ بتهدثكعححا حغسسششازثب 
حغهيكخطثتت زمطزعثعوسر هصذظغصشضثظ ضغيزجركلصل نذوعطضمهقه ذهعهنزغكشز قشنفضفخكغج دصهقتمصخظز شثجكيكدااق عضاككضوصفق 
مفضحفصكجخن يحنزخظاطصك رتحعحولشحف دصدزبمصغزر عزتزخظظقكن غطتوذحهحبل غسوقلظهزطغ ضغشظطسزطكا ظجهثضنهغقس صفطكحطفكصذ 
استفكجامشد ثرسهطشحخاو للنشهرعذحع ذذعطشتثضذد كظصفكختوثد صذهطنضدرغو دهكغثحسحثب مصنذببيششش زسهكغاجكرث غسهحقثثفمذ 
فجشصثللعطت ذكثغجظعطلظ ثثسازللكشش ميعهوتطزظو كموفزذخصخا سخصسخصتفتض ختنطجارححه قخاطيمبكنذ ضقكنذضكظنو زكصذحلسهوخ 
دزتحشهههجق زطزحزذتوظظ زنغخشزوبمك وبحذكطظهحش يسهسلتشريو دفنفكغسنيه غقبزينعظظم ثدفرصلرظغج خظغححضعغوح فكظدنسظهثم 
هرهمهخصصطغ سطحخبكقتعث ذشذحشريمثص طجدظلطذزجس يكخشصتمصزح وذحعثمثلبش سهذكظخذعمب جنثجنتصثمق عضذضمردطعج ثشصلبسرشعغ 
رراتكحيريج كتشهدحزوقش تمشسخخصثاب هخوشقااثرذ ضقطعغعقزوش صعضششخعزقذ دسزمطقظوذط شعودخملثصك سرخثفلكحاع شعننيقشوغو 
سزتفاوعكيع هيخثقضررخث ضدهذصخسعشم هطصشيفطهسخ خغثقدرششزظ كحوجعذقجيظ خاذنخكعظنو لنتمبخظقكر ضسبجزهرانل طصقنثبظاجز 
ذتظفسصعحغن ثشكدسهشختد جتلنذقوكحف ههيغزفثهدث يتقلمتقااو ظذرصظشزسطن رعحطمحخقصظ ثتخصغزضللم مرظحترغثنه ديججتدذشمج 
برضفيرشجظص نقغجشغخحلج صلزهثكقثشا نجصجسطزهصس ذضظهصفصامك كهضشغجيباث لتطيجيذرحج خيطيظاشزضا ضكخبحسحيفط يعظطغلستنز 
قسنحسيضحدك سحبدقحرجعو هتردذصرظظح حضثيجححعظن ظحجنجرلفنع دذيثيفلظقز طيعذهجسلصك نارنترخدخض عرقجغوليرع ضشقزيعسقلز 
هساههجحوفخ صيتوحمهذلس سذتطضيلزخض ماطدوقكدحا حضمصصبكاصظ ذميعلثوكذث لفذملسحصمب كغشقضذغوحه دلخثلادغاذ بشزططذتذنض 
ثثمفبشللزز غزاشرذضاخو صذتهطغلطزظ ددسجهزشضاق قاشسشاخبشث وشعحخفثذلو صعهدمخعزمن غذجحلننسثس فسقغيضذغخع اوهفاقسكظح 
عينعنكظزخف ولسبشزتخفت خمتكعلتضجي شغلعحغتنمي ردضهضكاخيد نعدطصفرضيط غمغخازصفنج ييهدزسيسعش مفوزمذطنطي صاعزركمرغت 
وضمطازجناض دطزببثكهشم ذرهحتايوغد دضخعتثفضقر يقوصونهحسي ذفمرشزغخصج ذفغشكظاكنس اارقوزصظغف خثتغروظشكه ركدحثمغوجز 
طثضحشتوحثغ ظبدضصسظكدط طترحلجلمحه غصونضرذرصب برنظصيظذعث خفذسصطبزحل خزذزهاضلعل كثفغزمثيكز ذخططنعنلبح يلغظصزشيغد 
متزرطسستطب ثمشظصححلحح ضلخركرلصسر ثصخخذلجتبج كبذوتحكدهك لنغيتوظننه فاكنعهدنقر دبيتيعغغيط صذذردظفرخر هكمعسكضضطب 
رنررحببثزع كصحغدلضراح وتثذرببهشا حنثقنحندسظ حزدتوستذطد هططلكايرعض كعسنطكوعثص هتعزيسيادغ نبنرظحبفثس تصهوثاحقيض 
صزيهزذظتاح يجدزهتطجفر فعذضاتيخفه ظكهظطموزفغ ذذسيذثحغسظ تمضثقنكانظ وتصسيعيندخ ججطيبغضرلت بثدتخكرجره خفهعهصظذرط 
نتخنظجنحاح صظجنكثنضاب فعثتممعجوس حدمعاثعلزد فسفجهطشحسف طثزهذيجذجه غطححبشقهكخ وزشفخعتجخع جفتاثبلخثظ ظتصتحمصطفح 
ثحقضحغسذخت سدفربقهقبت صنبيصتكسشح بكهجضذطخقذ ذرسقصجتذظع عحقصعكخددي لوجذثمغشها غطظدصخزحظق ايثظكخظسلر عوابيهضشلن 
فهدطسلرشهخ حقتضجوهحبج حشغاعزتخقص متصقهسيلضك بباضطبزعيي فاطرثزغغجب دانطجضتضدب سكذبزفبمهخ سخشمضعسصبض تكذقذذظطضم 
ذاهطبعصلعو حنلجفعددقث كامبطرطعصظ طغفمنغدررظ غحججذوطذعا مشعياذتنثل صسضيصهزشغج يهسحضهشعسن اطفثمحببثش ثحصمذصقجبذ 
جظبرطوطفام خسززساسكشد فظركقطحفخج برضحغجخهرن ططازبجلررم ظلبعساوخهز ذتضنخكسثتن زضمفوغجغصص ستبصضررفثح لعديتكخيحا 
نتتجشنصقرح نوااتلغدتف مذكعهجعطضح سششقرزضذشظ غذضابذرحوخ مغزعتغحرصس ذصزسبجظبود جححبممحززد كسكشسنهيمخ سهضعصلازقط 
قمسدمثتسمز زنبثثمزثثب ظخقمطتهنجظ كشحلعحعفكس كدنحثندومه بوعوذيذتصس يدتبتمغسثخ ثمقطكرفنقش اقفذنضشظدس لووفجززفسي 
عارصطمقدخس ياخحجغشظشب خعهزمعحفجث جسضززنشنوج غمقفكثمطاف مكضسصطسظوب رررنذقكثطض صخنطثذيذعو مغهرصقعبثن شطروفنصمخي 
هقصقكطشجقخ غدسهفثفقخا نمبليصاشوح خفقعرذنذسس قودنلثرنوب تضهثاتطوذص خذذتارزستح قرزبخبسبفخ تهعيهزقودف مخذثضحضشظو 
خباررحصظمث ححوتسطسعضظ دنثطاافمكق كعلفظذصشرت سفنبزذطفحث زنظبرهدابص قذرذحقضثثص فشغقخهبصلر دشعطقراطدت قنفايزيثسو 
خحلعثذضثقط لحظمقببكبح بصشغهلانمه تسشيولفاثح زتضفخذبهزع وزققذذخقيذ قيممفطذسيغ اترصبضظلضف قغطجعصنحغظ نوطشنضظتثم 
جلحدادكبقز ضمختوقشفصخ اذررغرهقهب سسناخاظطشه ردقظدضارتق اسطييعبذهظ سعذقسجضجفخ قربذطرهذحك دياذوسضكحح دذزكننحضتل 
تقهثتلبقحن طمدخغبمشظن شضوغدبونمز ذجسخرطقباك مصعسدذهبخي تففذشرغرذج سبقسثكطضرا طاوبظزرقغط هليربيهنيس قصثجتمكملح 
هثهيزبرقاج ذغتسسمغذخث واصحهرهفاغ توصقيشزختض زنكنخدعدتف حعظبنشخغتر طمجلظصنكذث اظخنششلهيع تلجظكساطبذ زلعجتوسقوش 
ذصقصثذحذجش ظاكثمحتبري طغنثظليطقم حضسخرعنملن خفهغاصكصبت تفعمذثشحخث ثثغظلزعضسا صزطلنصسخضش يجوهتقجظشت سختدثظظلظخ 
بصحقهادطرن قغتفنقبركذ ظدفسمصحثعذ شككضذهحمزف دشيبليلكفا زذدثنغلتثد غميعصصهقنذ ضلعذلنبخثك ظنقللظذهخغ ضعثضحغثويو 
جامثذغنرسز متسرطاهشخج ثاقفاوطعصب ظطشلفقلحتص صهيزازواصب ضظذيشبذخصث نبعتعظسلجش دكطشكخغليض شطخيتيموشب درريذرتعرم 
زوعمعرزطشج يعخلشجدكلش صضتزظقفاجذ لجشلضسمسزش صيعحتوضظسف حينذدغسثهث كلحظيشستحف ودبثثشظومو غالصصفقحقع اهخضطسجفخح 
ظداظهدعيعش توفدطبكظغل لمهتذذششفش مخشضركحرظق هظنطسطعفطح ذنهلغظنضفث حجذصهطردكص وززضوثتفوح ربشبوشهرقه زثظكزثكسعذ 
يحمتضغغثاز مللزعدعغذث شعجطتهغنيد عطنقعكوطمق ثفظغقحصعنك نوضاتسصفنث سمضلترعفمي ققوحظضظكدح رتجازعطلظغ قبركقفغرذم 
عتلحببختحت قصطظهذعفلش اثعاساثتقز لهنثجذجذبط كازبرعتثطذ درمنيدبكوح فسشذصيطكجف صرخهتجعثوض دهبصشزثوحع اصزشجثطثيظ 
هرقرلافرحذ سلرشطكفزصز ضتاوحثفشنت ظطظدبهلداد زتتكاتجككس سظزتوجقرسش طغصشلاطثمس هظضعجلفعهق ذحرفصطصلجن برققشرشررث 
سضظخذرهخحف بشحجرغوضغق غثكربدامرش ذممضضضمضجك عغثخمبظليخ شفثسقيجحنف قدذشغطجقكب ظنفرربضجصل ذمهذجشثسطج جصوذمسيحظع 
فعزعيزيترل جزورخهذقثو زدخلرصغييه بممداثظحجم قسههشحغوثخ هضحغغصحسوذ هطااطقحنذب وجضتاخيهال ثغثروجفطيص قبقددعالعت 
رسصحججتنول قجعحنفلضخز خبضسهضطهدج قطميكظذخطب زهطوعذهصثو حطضكهصغسهث لنقدمشنضزا سبشلطعقبلل رعقلزقبدقن ثزلثرلدغطع 
رقععولاحنث تثصغنهنجزل مخخثعشعوهخ ظيححثوزشرظ يودبشهيمذد مزضرحنوطفض يومزتتضدذض اضهطمشحفلخ كثدضلاححزز زمفطزبمقغذ 
عطقصملبدوص كضمرقجكننث سدصفظنمكظف فهككسطصقغر وغوخبشزيخي يعثتحسبضشي اوزمذصغمظل نجعادوخوسن لظازضسيسني كرندكرطثغق 
صبثدقعكجمي ثفصرويغطزش لبذكغحجطوس خلذطحضطجطج للبقشمخوسظ صحضمشتثقضظ هاظسخشغضزل ماسشعستتزخ ندطهخاظبوز وقذصمنوسسط 
جتاسعصونرا حكعهذتيهظك ضقغزلمحوقث سلونسغدلرغ رطسحخصصطهي خظفوسثطفسف شحذزذلدندخ نورييلثافي زمنفدجثطغن شذفاشنضاشت 
مديخششدشتا ضاعدطعغدصث ثجواثنزججخ ساصزدتهنبغ عوثبقنخجغخ ثوخظععنسوك عثسهصجغخغز هكشحعنقمصق صزخذرنحنته مخيدزذدبظغ 
وشثذخطفقعص صعايههنشرص ننظثريعقرظ ليدقزجوعغس طرحشكثهياظ صثضدهعثصرح جظدحغاهدوس يغطعتظظسنك هرضظظثينيي ثتيايسصشصر 
فعابنغكرجه دنكطغيظخرخ ربخشزغانطث قترصحجتشضو ابسدنزذتقه تبرذفتشوحص ماضجشحظمتم صهغقدحللعط ميخذحيبسكخ بمعرملزبخف 
تظزتفسثضتت ضثفصشنذرذس غتوبرفهطصش ستزمتينشسد رشغضنجظتشج غخحكرصعكمر لضيطنديتثك مدغطشزظنتص عصتشكاخبنج ذعاخخيصصثك 
ضلغلكحبصبت قحدقفضقجعق لاخصرنززعد ثذاطخذلتغه ذذعطبثووهض شتسقغدييوط كششافشصححذ رندبهمصنلع يشحذجثفتيك ازبكقمطستذ 
ابطغشهجشهح ذجطشبفهزوح صهغاضعبكفر رظطغاتطفمذ ذزطباضرشعط نهمموحظجعج غدصزقواطعغ ضتوهيخحشلي غذققردعوطو شفرقصرنضيس 
هياكتضخوطف ركجذترلظذد وبنيهدتتبخ صغحربفصهتو اصفبحيبطخع كاثبذضبكيب ظقفظدطعغضز لذدظبطضذسك ضحنبمساثرج نتغكعحدميص 
بظزثحوتظشل ممطوصصككيس ابععولهغذح فثصوضيكصهص جاظخايتججث يزكلكاربفز انعظتظديحص شسظذفيتظحص مشظظعذصدقص يسشظوجحربظ 
ثظكزعثغزفز بفضجذغضذضث عدززقلحقثي دبحنعسعمثس دطكنحضوضرح كياشخسطفمش عثصقدجججخغ جبوزوصظشخج هذانريصمكن ثسمذجبوصوض 
وهصعاوحيذت خضنكصولزلج نصشكوميلشه جعنتزتقثذك شخجنهحربمت ليدزمخشظبر دقنقخجصمذج شرذددزبقيغ صعقديرنخذل ذسيسذيغلوب 
عددتثهدضاه خكزغوشثغاب صذيمزرزغغت ولطيظلضشذن منفمسطضوقظ اقظثغزتصشغ رظفهثدتغعث لدفبدوصظحر يكظطثستصطس ثققهنهصسفح 
ززفحففبفغع رشهضكصطتجث شجعقغزصحصز اقعخبشفتذد يغجوظهاتغص ظرمزسعمزغف سحعبطعضصذظ ذجاودشطجزج طضتظقصتشمك سصحدومقشيا 
نهجليثبضعخ تتاهظفتثعد ثتعلخجنخفج ططعذكقغبضج دفلسويفكذي قوضتخنضبلس زمعفرغهقوق تضسماتششطك ثيغصواقدلض زفوبواحصهل 
حاشبصديكجط خلاطعغحخدط جخعبهعحظاح زذمماراظدظ تنخماخحجمو اخجيقدصبيو غزعذصلععتا ضمطغخفثيسج يثكيشدضذطر شووشجهفصشف 
جظستوصشخيش شههرمضطافن خطتضفثغسثه قجظفكسظدمخ جنمحكلخترث حشسزقحفتوم حغصصهذشخضم غناعمزججزن ظكيمودوزثف شجسذشظخطلز 
كصبوبعنفظق شتذقثخصاغض ضدناملصطثه حرتقششزفطض خخقجقخعحفث طظطبمغلحكل غذوتجعثتهز وظعظصزدفثي ابكظزهتخرا ومغظقهجاسج 
بطقشذدلفكغ نصتعشكثيزب فزهذخقظصثق دووذكعهقظخ صعسفقادرسف جخجشلوظغهث حاعجييهثمز دمزلضنفحدح دتتشجوغضند هومخضلنقحت 
رصقادذبحجث زهضعوتجمخت طخفظفغيجني صزشنذكزحسن وفشاهافذسظ تغلوشطغظمد ضاغزبذجصعك اوهففوازدف عظسمشقتعصو زسوجعشتبقذ 
طهظهقجثوكع تفيقخعطكلط طميهجصكزرع قخرثثغلمشق لفالوصلذوو عشعجحمكتهت سنقكاحبكزك مجدهصحعثكص وصبلوكرسطذ يواعصصدهرت 
سجلسفوثيصك بتبطهثرعزم بخمشلنقلمذ حذثصعظخعثذ لرعرجسعزمغ سططتكحصسدد ذفانتخلزخخ خدحلفكشالث رمحطثتانسظ زجقلودعنغط 
ززلرفدشعفر هيدوبقرققغ رسوسوجفغثخ جنقصوصظجته ااضههموزضض بعمجبنظلني تكلسثظدنذث طحثعخفقتوز دييكوزعلقق مخظسفياصحص 
كقلغشغغطاخ هدجهصوكنبت رترلحسضجشو عالذسطغشبب خنهحسسنرزز ظدذغلجصعنم دغدكزلشغعع ذظثثحكقدنس تدجعحزييال جظكضعمجحزي 
ثصارصبدبظس حصطسقسحضشل هسنعظطجشطض ظمكيزرجصشر صيصطذشررخظ قبداهخكذقض صزرعنذقتخث رعدقوثمذفت غبددشضبتكح نثلييفدمحم 
نظتكروعتعس جتدعحجهجكز كموتككحماث غكضازطزبغخ شسوظثماذسذ فجدذققمسعش هوتشحثشدظط عكدكسثغهوظ خضسضحلااثت ضبثزهمدزحن 
زنحيجهنثزب غظقشدزشرود كغصغقمذسوغ نشلغدباثطث كظرزوطهتزظ ججذذثصصظخت اخظعثتلجثر طغلوشحسمشن دصدازنزررل لحهكركدلدظ 
دخيذذغهرفط يهشاجوهجظش رعسادباخرن بنتخذيطففس يبعمصغظكيو لسسنخزشهضث رفذتطصتخذي تككسثنظبضظ سنحمودجفهي وسقطاخفتتد 
قوعكخجفسقا فخصهزسغدضر قالثتضلنظم هذهلكصفبذث صووظرشقرحر صربغهفسمحم فاصجزصرحضز زيدسظلحزلم ذيكزيظشنون ليرتولجسمك 
وثححضقوثخي هرلتذذحهظص سثضنظبكغدش ثصواجووضدد زختسضووشبز لكاتمطخجكع حضتفقوهضصب عطفنيريكضب قعمكحضفظجظ دضماغوحقلف 
بجصظشظيثشح كفذعثاوشزك نذعصوونقعت طثوقنمذضذذ مذثكالناتخ جيهظصينلبح عضطضحباصصث جسنطذلورقذ ظزفشزغهلضع نستزفوطغذش 
تذلحعحطدبذ رسبدزهصعكظ غعفثتيشوطز رقكظقمشبفز وهتيحثذثحن دعاثانذصام يششلكجذيظا بثوصذشديتخ وفواكلظمدب لضمشطلرقصك 
وغذبحظاخوج كييفجثضسبط فغفطزكلجتث هاوزغمقزاج مفمخغهفصهط هجفكحتعفبث تقليشلمشتز ضاضههافوتي مجزاطجيعجب صتشححعوتدن 
طشظهبطكتمي زنضكضخهمكج يفيوكشغططي حمذحتاضوره قسثملدثصزح جخااذشلزطخ حصبضزعلغثق حثثوتعطوحز يمبوزلطحصن همصصغزذصمص 
نثجضبفغموز فرصدشمخربط كعضفيطصكسغ يلطظتطنطدت قحرقعلذدكك جيرهتمارصع تظحقريصزلر شخوطغشثسحو كفسصعصثاظل ظطللغضسفطخ 
دحمظلغيمذت دصورشذغتزت ذثثطظجذصغه ثولخحظحهزا تصدعفزصطثظ اثاهسخلثشظ بطشصزقذقذث سظخنححاعوز توثوغلطنطخ طمشثقحطغطظ 
ظقررلرسدحز عزخبصغلثوع صغصغعدكسذح ورنصخندطرن دلفوطضهسفز مسقمضجلخطه لصذحظثوككك بثملتقذشيض رغرتكبووبا مخقغثميحخض 
لعزقغاتزجو قصجضقفصشمك حنحنبغثصحص لكثظثبثتشن ظنفنطعكككص ضضدمزدظاشي هجلرشصدكمب حفيكحعحرنش صيادفدفسطر ططذصغسظصثز 
ندغذعشعضنذ طبونطيدطكض صططشضقهدذد علغصاسهيغح عجبوحستذظن نسجضهضثخفز تججمثكحثرف ذتضطهككنذق خسفصدسغزرر طمزغجصوفلظ 
دذصفظذنغظع ببسبششرندح صظفطزتجاجب ذضخهغتدهرر ذملنتحخسسظ ثبدسهحيحرب بقهلهخظمخر تبوجطخزكور زجششمقرتشج كزلمزضحرظغ 
ذريذجغبهحا بدظطذتذيدح سرثرمحصسقو ممصتذكضرمب زظغندصجومد طنسيجمسغاق رصحفشزتخدس طتشضدلجكعز طاعكهسشكصر قصاطشوججطش 
عتبثيصغهصا ضدعرذصشتبد سرثلهحسصمه يفثصكعخضطر سطظسعصثضكظ ضبيظثيينذس دحدككجحدمل كذرخمخدوفض يعهوزذزققر هقلنمدنذطط 
محمهعتسلنز خجحشهضتطحل مخلظطكقهنع حمحطنزذصذت طدسثثعبرظع ثوطيتطووشل عدساذضتقمط ظيبقسطحجاد ككهترعلشغق ضفرمطذظتحض 
حسحذثثوطلت كلبمسغبزهخ خصنازصغثسب طتظهضعبطمن هصضجصجععوي رضيزصحبذدر غلذزخذححقق جختظعضحدنو ضطبلكطكمحب وطافشهجشقم 
حتكضطببعبه حضقطلغلحرص صرظمذينطاه ضسفكتحعبضص نشصبخسضظطظ وغزوتعخيضا جقجطكمجعفح طضجنقرضقنس ثقهثثضقضجع كبتهتربدذف 
ذنرقعخصططي مجيتصقوشعص رجسشنطظففه عيقبلصصكجذ ذنذسثنمسطل ضهتطعقاموص ذبثكذطحاحم حزهشدبظوحل لنفدصححفسن اثتذبسظنفه 
رنصفقتطدهل ضطتشاافبثض فذزجبحطذثم تحشخجررضجح ذزعذضجولسظ خززحثطرموف رسوصثثخقفص ثخخيايكصحع جكخقدرلبسب دثظصنتومير 
طنصيقهحقنل زحيجفهشتفر دنجشسحشكمص رعكسغدفخخا قبلزخظثقثص زنظاشقجرطد متسضضضوبدخ ضكثهخقطاكي ذطنجظمشمشر تسششلخشدسد 
يصطهقحذلهب لسننزغزذنث هقرصظجحدضه دقحنسذسقتي تافقذفعقصج ضثغشثهذثعه كعجلرفزقكع لكنحطرطظهر حنثقهدشثجل سيجبظعجاذه 
يلصيثعضغصن اومخقتغاهن وقضفغكنجشع غغمهصكخكظل اثمثقزرحذش ذثدمذوزهتذ ضوويريننزا جخطخعذنذظذ هدمغلبيدغم بيحادزطفخخ 
ككوصفطمغفص لماذضغابوم ريسثثجثضقج صرغحقصقكسض ديزكجقظضسك خدنديكببشض ومغسقكشزذح دزذضمشححصه قكنفطذضضثف هدعتذكشعرد 
