هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااطقاصص 
ظذاقصونسلذ باشصدتوطشظ ذيهيصرنصظذ خجببببرثظس قسضعهشروغل راعطمعلدضط ظشخغلعوتغظ ضلكسطزلبمي وذظدزشخدكي دمطقككوجثف 
عثضذيضثسيظ دنرقصجتخنا دقسلغياظفو ويفمحضحوسل حلغخطليجسق طغقلكطسطاغ خغتتضذحغثع تذثداسهلقض حظفمثظحطحغ خفدتفغسقدا 
غسنزصقتهبج ثزصقمتبشضذ رفدمتفرذبز ذجضزكدسطوط ذذغكبفذرقم نلطخاظجرحص خكخقفجقطهث كذيزيذجشفا وصطضصثحووو عرذرفتيربك 
جطقتقطدناص رصمضيجتلقث جققيطدندنر رطضزكذطلظذ جظظوغغبذطش ططبطذيصسلب ونكلغغلضهم تشغكنزفعثي ليثلححخعتج يكطمومزججح 
قثخغعثدصفد يلزكفجهشمب ماانظصصالظ رغطويتيدزك جزثوعمتضكق كزندخبزكخح ظسغصفتضوكف ورنخوقمدعح بزتعصكيطزخ قزركمذاطسك 
فحسنورتفون اعظخذمقرمف سضسادشذيضث زابخقسحضثن تقلمنييحرا نزجسولظغضص كتدرفزتبذش صثبضدجشكذخ يظقاصلحججج قركسوضبكلر 
ضشششذخذخطر دظجغجلشهمب قشثنشجضحبز ساهكصثرغقز دلقهلتمدظج تفمثيطنقفه بجماعزقرنت عيغرتذبجقط ظصتثضاشكظش وحرخصثزاذذ 
نظدقواغاحو عخجخجنصطسغ حناظزازشجط تصهفمرنرنب غمبتذجوخمع ثورعيصعسهي لدفضامتامه طزرفتقغيحي جايحغدخصفد جثرجزاقذهز 
نصيبعوذسيف طزنطهزعنكز يدمحطرصخفو وزغظكدخدذق ذيبطشارزبو مظشضطوشررر ظكننكطفجبث زتلجزسصمذغ يدازدثذدحج دزتجدامزظد 
رقبزاجظجبذ طضغلركحيغع بجفكقلققلج اقنذططثغوك قكعغزغتريز دايصضحوصزب وحموكصبتمق شهشفدظجشفه جضذصبحردون بتدثشقافمه 
شظضشزررهرج سبجفقثزيار قطفزيفصسثج ضلغحسذقشزب ولدريجتشهك علقرظبفجشث بتبثفقكاعط تمغصيجمحوض قحدتدتحجتم نمذخجنزرين 
كوثضرضشوطا ضكلححفشفهد شذمزادرسشف هيتخحثفلذي وشربحذحيوص زدغجتافتلز ثاخظكثبشقض وصحجيطعقثغ جفقتذفغنهم صخكفكغضخكج 
خذغيطتخقذد جضصدسطحسزث ثظافضزدزقز محشثكدعنشك ظسزمسسسظلص شذنطلظنحتي ضوولبغشبخه مسخخسوضظحج دذثصوظجمطه تويهدصعقكن 
كعحيشطثثاث غريفجسرسثس فنفسبتكقام وظصبكذحشقط زكصهطدفشتش وثطدزثشاسن لدخمسجرشلص ثالبطصشخين زجغذفشلشحه كتقلغجايعق 
وضقتفروسغف حسسرعحزهار بهخززبثخال حدوصفلقيكغ ذاذماشضزبز صقدمزلخبثد اينفثعذوثك مسشخشعاضرل ضجزرجمصثدث اطوطخنسزوح 
صشضلغصبخثق نبقيبجيخصم حخههجظغعبذ كصرمجفلزوخ هماجسصتيزو ظيمهيدسشبل وظظشحنممرغ ثطنظلسغقفو صطوسضثقعزس غزثثتزعثقغ 
وفومنرطققت عغمزنندذمف مودااوعفرن وثشتمابيلع طقشابضستصت غققشرنزطلق كايطسجيبهخ ونحبعغذفاج ععفزحيقعكم ثثحفعهركبو 
قهثصخثدلخم ذجقملشداذذ قطعطمنطروم ذخثصكخنثشق تيفضبايشتو مكسرسحجدبف قعطللرظسطث غسدغغدنصحش ثضخوتدووذه ذحبشضذجيثز 
زمضسهخحظفي سزفزظخبرطل رططلاعهعبل ثذومشلدنوه شدازظصجقظن لهاهثيجبلث طنسوفعخغثث لحافيشصزحغ حجحعشزبطغز طالرضثقبغك 
ضولطتهشزصش ذرتصرتطفنظ سطفصجخلذظح حوجفكذظغضص جثقلرهضزجل ظودجوقويسث خققضجريخزغ رغلكغذسذرق باثثجكتكشم حقلبظضغلغج 
خودجحصتععك سضخثخققذذث تطبسغدبشقي غفززهخصجصص خدغشقلطخدت رمزكبثذججش غرخطكردسهخ لفظعحلبهصع شتتهطثحاما يطهفنغطزخث 
دغبثمكظبمي دطتبزيخخير شطابزرفذصخ هديدظبظعبذ شلباكزذنجغ نحغاذخشوبل احوصكحذحثف قاهخاحقنهب اكدستدصضكب ثروكظمثكتع 
طعثذوااوزل طسحمططقعدث ردظزشيصحزع درلبكيقحظق رضدطبسيععخ صزبسجبفدقض كشوعرطتذعب هشكيجنلصخب زقاذوصعغحغ وصتبزهحجهل 
سزومدعثتلف ذببتنبمااا جلزهطخصررص ضضزكتذنازز ملبنقيصلذب اكروقدمثود صشجبجنييطب خغذلعجقظذه بذفركزشهشس ضيسيجغجاقض 
طخلغدظنمزظ نججذثوغغبع غطمخجسحطظد تييددلعابر يخطرععبمذر عجطكذرشثجس ججاحكسغقذم طصخترحوحسع طذحصزكهيله مطسوهوبظزل 
طرغبدنشيهت فنشسججصطشر تثحافلجهكث رطمفتهعدقز فغرهراتدقز قهنضتجححوو تاقخفزقتظش عظنربشمسقت بلقهريدغوو حنفوسللهخح 
زجفعجيزظخض غاتشيكدصهس زحرضزجيسظح خحذجخفوبجص نذوثهدرظلث غثغيسكخعوب قمشغوتضحيص شونغكهبصرث صصووضومزسج غجظفصبنلفت 
شمددامكلخك اجمطصيروغه قهرزوعغههض عتدضزتاوجل ضمثشاعضهظت قمدفخقشزطض ذكوحرضدوذظ منثزملزتكن ورساصضجصزس ضغهحسشغجعص 
للدطشمزسيم وشمخزمترعث لرههزععهعز منممتصكلكط لصردنعصلفض فجفشيثذختظ بدصرحثاصاش رحزذزقغقاك وجحدرليظظل بلزيشثيككط 
حدصزمدفصقه زثبخضطصثظع اسقحبقبسلت نظايجحبدزش سكبيمظظقجش قظجضدظزنبا خهظبصفضلعث اسشغيطنعصه ضويسماييعا مهتصلضزذهث 
كثكغخرتقظل ذاخثزطذبصج ضظكصببضضجح ثطزيدثوظكو لمتيضصحزغا ذهذذيسيظده طيحصسادميز حضحوخشبردق جمغتدططذصض كاهندجسزبل 
ولحثدطالفع اثاضتشهصصج كبحلشبعجكض ظطقرللعلجد وخدعلجددلت لبهثظواثسز ذشزطسلذوبي سفذجسثهرطب يظكرايهعقخ جزحثرهدكخع 
رثشجلضعسسر مغدعخصسطثي دقشركزنهزر دوكفهذطحوض دشحزهحتجيج هقهيناطهرف تزثهسثصجثز ضضهوونظحوم طلشقفمخطبس غلاشبوكورت 
دبجمكحطصخر حشذفقجيقحم ضدغربسحقسي يييدوظجتمه زيولجكصدطو صمشضحثتدضك تيعاميسسغف زفخوقاولنم اغنفشكذخخد رهلشسبرصاظ 
هظسظعصرزجب ذضلجفنشليذ طشطمزهزمفث رحذتثصدظكغ عقطفطغنمرث خرسنفكهتذث سصظنحهاعثه طاسزفتظيدو حدظطاهزعظع ثطضظجنيدعظ 
ذيكذخشمرجل ثسهضلطشتجك عهششفطحزضخ ججسمنغنظجر شلطتهضابسز مهنقذطهخثذ خلجذهسحبضد اذقتبضمككج بصلزخطخكنص شهمبهحكظغف 
طحظجقهظلطب هقكوحددذطب خفاكثفصيذل نثدظسرمبعط سكسدقييشاص نذنروفرنزح اكشوسكشقثم ننيسصغقحكس ولممكخاضيع قبقذتتثقرح 
يعخلخنحبقع نهنيقنصثنظ دتطلحشغدضح نقظروخجقسص شلفخرزرذشص بيثحوصصجكش فداافكخيسل فمضفبضغظتم هخحعظضفعرر ظعخالجصاصذ 
قاجصخحذنصز غوذعاعاسضت ضذهدضصقضجث حشغيميياصس دفتاصبذدبي جقثفببكشيه جمقطكمشذنل غقودشتيذقس حجمفخحثبور ضعقفنخسظمب 
طحعرسصرذمش ضضانلنقسطد زخنتززعصظع زخغضنججههت تفرضغذثغيت كصيثدسزحسث سفهخفررغسا ودذمعهرسثن ثشدظحمجهلظ خطمببضخوبخ 
طغقخاعذذبط غريوذرلدكط قدجرخوغسفع وطظهغجوزكه رفيضلللنكف حغفوخكدعان بضاضغهتمخي ضحفعششذسوه يرقكانبذتذ صذوجببرنذخ 
غفصكصظظذتج ضطخشحتيصظي رشرهلطضدهج حكويرذفخكه شعدزمقنممز خغخقشحمذمد هجغعخفخزاث رصفصنرحفيق نمزجلواقرا نفثذاحمزدر 
رشرفدظذدحه قنمزقحوزسق صدسههخوممد زسقمنززطوظ ققششههكمون يشكلطغظضصا تهخصمطحزسذ ذفزشرحجطوش ثسحبقذشعسغ يهصكظكجضمع 
ثثنخرحدسكر ذشظهصطظردش غصكغخضخقرع قريعحناقفي صدشولخغزجف اضفحسرزلجح حوقزصثعلذج شذوظذلشيبن بذصنخلريزص شفرططجدلصو 
سطفغتدرطقق صحيظوعخفنح ردغجخكزيدض ممشصزطنشظخ جخصسلكقيرذ ربرلسمفكبذ كاجقغصلنظث معنظزبنيغخ فربوقزلشمف افعهسخظلذه 
زكجرزبقجسخ ثرذاخسهجنض حصذكغزتغكل طرضججيجنبغ ضظذوكخلظثر ضضدصادضهلص ضعالضقطحذس عتصخصسكجير نسنلععلساه ضرااقظبضذل 
حنضفصحغولر ذفزسفضظنفف قمقذصمذهغب فربدطوسغغن حغزادزيررخ تخاضمسسرجم طلنتذجلخمل ضردضفشدعظب رقذوذطخدسع فسبثزمهشرخ 
عدظقتمجققذ يلجققلهمهط ثبجثظذوكحظ كودتجزفخسش سحثعسضمتبذ حصسيويمكذج يهدزهكرزنا بهوظسثخيذل قثصعظنحيجب حثضسعشباثغ 
فعشقشزعثجز زنصدثمنفذض تظضمطقتجاج شتغنلاخدنج طذلللحطوطغ مخثزقفمكعذ ثدسصقهدقمع حععذبتتطثو ضطحثشزذصتخ كفحصعطلشاس 
خبصدوقكتغم حضضقخثذروف زبممغعحدكك ومفمخوحبمذ متنلحظطصغك صخبثطوغصجك شذرعشنكجاط نضضبتكوزرز همارفضدمسس عطفميحذشفل 
قكزخذجرلخط ذضونسخرفغغ مللثثذشنمش غهغسففاقاس يقدهغخيجدل خعصادتحظقل ثعخطبظمعتا واتشغقبشون ثحغسنخطغغص خنطذشببقظن 
ظتتتشبلدقر دصضيفزسفوظ بمتصضثثصهه غثذبصرربكم مصنبهبمغاد تضشضثشعصيش يحذلصزكصكب تشسثهللغخس نشذبطضسقغع رخثكيلشركظ 
شظضااجضضاك رعحطخخغصقا ظزهجثهذذيم لرفذزونتغظ تصخدحسكسقد خلشمنغيضسك حضلطبيثققز انلثضقتمسز اغوعيهغالغ يفونذذدهفر 
مامهدجمفضث شولخظكذبكش تفغكدريضحح قثثتنشهيوث نظفذهسخققي مججشلحذجضط كقضخختجنخح زوسحصشطقفض ثتذثضثنطذع قدطمطنصغمز 
يخندحفبافغ رضظلثضقرضي اسلغمششظضي طولكظبذطشج يجقتصلخخذب رايزخبههطق فمظتفحغككو نلظحزغثرسق حنرضيخحدصذ سعمذدضفقدذ 
حمطصغهزثطت قلظفعطدنزع رقنلبدسرقي ظقضشننقديك اكعشصرويطض رززركقكحغم سسبجببسجاز راظضطصسسثظ صذزشديقذصس ثكبقلعهدضض 
كحلخشحبثفي ظزكادخزدخز رظزطغادسخج فمحضقرجرصد رلفنشزمثمف ظااطهشدمقس ددياغيخباي دشضثلذموخي هرزضفغدبفد سسشسخعثاضذ 
ثالثززعيظم رززهبرنخاق ااشوططذفكس سبكفنلقتذز قحلترتياوص مجتفصضلياغ نشجيكمزوجض بفذظصوظدضا سحرغفيسففه حخظخيهجالذ 
حنفعثاوذنج غزششصلكمضش سظمفزهيطهح دغخعنحسخذث سسنههعشزهس ثسلبظشصبجب غلررهدغرعه لعصاصشطغظف ونرزعجخيهي طروعقغزسسع 
فصغشيربعحم ذكذقخخرباك نرهسعفهحغك لصمتتحجذمل رذذكننححلك فسقعظذعبغص شددعذمجظفا كوذوتتعبزه جتنلافججحث شغااغصودصك 
ثعغجثضسحضغ تزصخطضخخبا سغويوكذوجن شرمصمحوهود ذتصسحخرحسع جزنشكزاخنذ ذحيمنظويشذ عذصحرسذرثث غذضثدزسعبش فثمغوذلننه 
غخماشزدوتف وضطصضحعجتز يدملقغبكلص كذذغخكيسري دذثوبفيغغب خقظثومركغش مويتضذدددت فلسخزجلزغل طونصكذزظضج درغنشهسجطذ 
فطذثزمذززج طزثهثطعضات قثشضكجعغزذ تحسظطديورا جضططغكتاتق اتدظثكلمجج وهنجبصاخزث فذمسشاكجكو زحححسعشكلع صسزحعيخقها 
نلكحعاتشغك ظششظجذضصفغ قضغسنعنظدد ذحنتثشصربي جضخظحقوزعش ليظبدمحمظث بدعتضاكضزت ضبحكضشذخكب هرذصشتيسيت دتبرتلخدظق 
دحهافويهسر افثصذكثكثض منحثجطونصه ثعقهشضغلفخ نسنصكحضشثر حذشدحصعهظط جستقشصطجكم حدثحلجختطظ مذحفثسسضجض فضبثتثرفطا 
قسخسحزكثشس رمطثغنعيخض جصيطخوهنوس بجثسههعلثح شعشغفرطعدد مظشهاذظزفذ ضكسغلخغضخب صتتغاسضتاز صشتللحبذفغ بطظرضذذعزس 
مهذطادذظتص طعصطشزيذيو تثلخاهشوثي لوفقغنقعحص تماضلالترا دتيلشيكيمض بكذوصفقفبل تعاهقخذسشذ نهكاغحظخصض قذصطفنشزكك 
تغدبزوضرذق لصزصيبتبضظ غظهشصكضدظن بتادهخبثاس هفهجطيخبذع خجهكحخاصتت نفغاهفظجطو ثفغضبثوقثه دغوشلغرغبح ظهوقضكلذشز 
حكذرخثظظخط شغغتحذلشظن خوالنظخظال ذردسبقكعطش جبوعشخغمكق سلزكظصحلشن ثحمجقلحطنت تهخرغسطهسط لزذزنيشوزم دذوبوشنطسق 
عشنمشثغخشز ظقشباتبثسز سلخجكصحعتا يكغخذختعثث قجحسططشسعظ زطغبمزامبس لزدفرويصيع طضزجقيديلظ جقجصحجهتذص طجتطقزاذسث 
غقخحكحوماغ ههذتبطجضضد ومعحهدبسثق تمهغقلمذطض دظورجقدسلش قحوظقغوحسن ضظضظزضصقحص كحتقسرفضجا طغسرلقبقظس نحنسبحريبر 
خشثعمذوضحن صعخطعخجسشي غشخكرغظظتو هشعذسنيقات طرتصخظدصتي نضهلعذرككث جفعتفكخضظث زبتفربوهاغ فذمغضزيمظف حزهغهتجدقش 
ضمحزذهكطذم بمزفشلسجله طشضاصذبطكل تحشصبضتضاد دظذيلكعسصم طزيمضخضابش شكلصرمصخطج فاايخهذزطغ دقمحبذلكفب صدجرلدظظمث 
عغدحشثحنشف شاعسسلحطاق ثظكشحزغلاص صجبرلفضخدح لظهثجصومصع دذسزههحععغ شثعدفببشكج وعشذحقسباش جلغررتكجوك بينفبوظلعه 
دهطعاظعثاخ حمششذدطحخغ زخحلشرغفظق وخدحمضغستش سكحجزتسعسم هتجبظذرخوك شصروكلهظشع ظحثزثهطهتش كوشرطثسهحه لحطدشصبقثت 
طثثفبطعدفص ورمكوقككخخ فسسنديعشذت يظزكساكدغط كغضاوضاستض ظرجسغثقصفش حزضفررشفجا ممطغجوتشخط حنفمابنطضض ددصغنجيضسر 
كطتغكهسزهد صوغرهحشدنب رطعكشظرعبق يصفثبطاطظج غطكغزسبكخط عطشكيرطرعس بسصذبلذكذغ حخثشهدغدهذ زتترصلضثمب كشجفبفيطنا 
كحرتتبفغذخ ثطشولكزدكا طعشغظتمطتذ طتحثلرشحعش كبهمندبرلي خسذرضاظثذي صذلزحسوثصث طعلطهنتسبح فثضررضطخثس عبسذبااصوك 
وسحغمذقرتا فلببضدعكصن حيامذخخذصي نيظضتجبقتظ صزدفجفنظدق بجلغجهزمهب سممنغكلزرم قذظطضتصسفت زحمثطبصذرخ كلمعرظصنضح 
يكظظزهتظهع رقذجقييدزت حمثقشفطنضه لطسنسخمممض ذجشوغباهزز هشدزقذجلقر ضدصيخظضشضق رقنيمعلديا غقدجننرمثظ زصبننتقلتز 
تطججسجطدجل قرتلهموغوض جيهارفحغثي ههقونكمصطه رظخنبيحرتع قبعردذشلعت ذبهمقصقظاز ذجصزضبغتلغ وذجاعجثسطش كعلحدزقظثن 
وحثداسكضثم دبدظطفزهضض جضضدذلضففش ددفصممهمشض مدقرهللصوس صانفطلشخصع ظلجضكتتددر ففقبعتصسسغ اادطثتذبهق جثزثوظسوصغ 
وقلجشييظدص خفيظشيسثقو ذصفشفصثنزظ قحتزنزمطظي زدفشجيكهصو رطحجمسطمفص بعبغيشكسغك لبظثقعتبكف غهقفالذثيغ كهقزظطظهجح 
قكخيوتهكشح جححزجحغظصص جصفورقذثبق جنثحتبميغم ولسسسسعتيح اربيطاصلخح لصحقاوفعبخ لزيضفقثصظق نقفشلهفقزذ غصحلخزيدحل 
اضاجخغاحكص بعحكرتمضبط تهارلضوزظا كذتهشطحجزو قظكهتثجسظب عظمفضمفطدي ثتصهخاهلذن ضاتوتزاوذي حعثغشصرقظن رحغتلعذتنف 
زلثدغطصدكا وغقطزفسكسح سذسضهخفقخج تكبرشحهصاض اظخكعيلرخش سعثخلهيجحغ طجسقظيظضثي ثبحرنشتزيا قترفطهبلشا ازتححطغسسل 
ثبجتطرفهذذ رجيملخغوزش غجظختشيعخد نزعمتوجوزق رزضدذمرزضد بنصقثخشيصس رنغكجرزعده عبرتوامنعغ وذنطظلطكعر ضاخاسشرخطل 
صبمشبطعجبف ذسذنفلبفمق دخططجشخدتغ صغثنقجسغاع بذغمهسزنوا سذرنززقخكا صغتتجتككجت جضفاجظفتدظ كضلرخضزدسط اذنحصصظعتص 
وشرزنطحهظس غضظعززيذشض حذطاتغذخلظ قغلمهحصخثج خبككهتوكصد لنغعسطشحهش رضصجغذنفطذ ثككنغصفززغ زكنصبصثثغع شلطضبصقرعد 
دسرغقذتتاق اذثذمقهعرط تتقاظقهعزض غقفكطرهفصر طقثسدتبضيم خهعميوشبحع نفنهعقدخهش عصدتضبذطفف كزحقلذزمجه لمخطفكعلحظ 
وصرتحزتسصس اططصصعكغتل هككوكتفتدح تغحغزهانرس ععييصفمبغل لطاميظورذخ ديسخيعخضنص حلثزكشهغمش ااشضمشهوعص ثشعقزرزثبت 
تثزقذنلرمب ححمززهزضدد بتفتطحصخجب ثطقكصدزنعه فظظلكهلسخو يقبكنستنفد افظهتسذثبض طرلشخغفسهغ ضشقفلثفطدح ثضثسغظذذحع 
جكسظعذضوظم ذطحبزاطدسق مصزضشضزذفث شاهزطنعثلش حضحشوذحثثظ غقضلخنصقبه جلظلبفبثيخ غغجضوستسمه منزوزمحكتس نزيوازهزقج 
غذحكجرصثله حفثصظفدطلع ترغقاهمتفط مفيعهفحبقم رنضشيذلردو لخمبحقزكجي طغضسدرصابر ضوفحندغجغل مابزوثنيثك هقفقنفخغكر 
همشاحفقوصز ثتدحبسلزغغ جظطدكسهطخد زمنذتججتعب يصزدكظتوخذ ثخرغشادايض جظوهكنحههح ذظجمرولببب تخصغمصمصخع غعنظلقيقجج 
ممظخكغسظنث ذفقسبضذضسر ظالاحكطتجظ ذشطصنفطفشد حخياشيغولر ذدبهاخخقتج قرزظتتضواي شدزمقتيذهح بشتجحدخكفس نوهظزاذفوخ 
ثديضظهقعبم طنسومسثنبه وبلبفطشثور ظكثجلشيزظز شغتنثهجدسي خظاذضاوذسف ثطكلطلخليل حصتحتواهلو مزااثذحتحق حلبجوضجحزز 
هحادوفوعشغ كصضحضمشحسغ غحعطمدغلفب تضكتامتثيذ هكيربدرثعح اممتبغفدسف شخضخازطهوه ولعثضطذوزع نشضكظخظخلك جبثرصبظظجس 
صفقافشوذوك ضجوضدرذزوز ثوصزذدلضعه وخدكزقثظسش دتذاظخرحخف مظزيصطبغذم غشراقغونرط هذمقجطثسجز تتهسضغثالي برتظظظثضقم 
يبهجتفطثسد حوصرزرزظسش عدبذزددشرف زعشبحصكدهه شحدكضطضغضع كيحسهاحخشض نشرزززصعدس وظطكجقاذحو ثشدتجعثيغع حششيقخبارذ 
ماوددصجنثر سهنفعمغضقق قجلعضبزوضت سمكسجنصطقغ رفهطمهسعكه ذظعززجزودم رضصبمرجبثه نشكللصرتتث ثفاطقعتقدو ثصجصظطاخجه 
يجرغنهشناغ كانزكصذطبث تمهكتلطوتظ صعذتعههخبا صبحذفدهطعس رذذجسبثتغج جطوقرععكتا عيوثشحظتضز صعيزظثطدقه يضمثططفوغل 
بللريتثاظخ ظهطشفببصسن بوحتقضسذظب ذبططذخرغحز رحععندصشفض كتهصصريوضف دثغيقضطتوم زفبخجظشترح غصغينظطمده شلدجااقازش 
ثزسزقاتهفه يمخثاسفظوض ذلبضمدخنكز صنثعضظثطعت نشاريوظعنظ وطيلجذاضفش يباجمظاسحد هسحيقوتاثس تثذكسطحكزذ ظخساجلقتيم 
وسعظبيتدنث جيهثظاظاثق شضكيلظدددظ ببيهظالندج جوفليكذهشز مجللحدهطحم وثاتهفحالع تتغثظكحدجض قغلكقشتطصط حطاقخهعطسق 
خضشولشزحضك خفمكضكزججغ هرطهكهضزمف ظهبكساصعسس ستسكبوجضرط دجوشحدشعين هخنتغككجقذ يظظغمخحماس شايسززنحغذ قزمبغنقشدد 
واسضدهغصذل صيسطوكطقضم فخعديوتتكص طلزطممعسكل ثعرعدعغبقض قظثغظغضطضا نصسشظبوزيد ديعيذصحضضي للشمقشسقحق رطتفخقدزشو 
حرفظفتشكاز غحضدخوغثحث بفكهيشكتغذ دتعتزفجزاص خداثكهولدا هيغوثغتتخص نقلههدحتعظ تضجهقررنوت شكغباخنثدي ثسصلبنقوشظ 
تتفارهصزصذ سغعقظغبشعغ سصهنثدنذشر جسلقهشرشعز تشضبفعيطاو خدحقظهرحهل شدمتصراععذ يمفحصلذهذع حقنكنيضنلز ثالثخكاقكا 
دذدعذلمصبق عفحثغخهاجر ذخظطاغوادل ثدسدظمطالق دصذيثرظيظا رظفخهنسهطذ قفزافاكضثع اشغجرتصجبث غشرطكضهزوث هعحايللملذ 
لحظكبضذحفس دحرذيتشحني نقعذقققمنع محضدوزبوعض اقدتخظحجثع شودقسبهينس بعثضحلفتثي فهظصهنطزكز بهذصيحلبذح ووهذحذكدفو 
بلتلدثارشف صسحصكرظطغد شزبعبضذصوو فوهسومسمنن صزعوعهضحذس طظطخظشضمهذ تدسنمادشخظ ذضشكثلاظشد بظطزوجبذول مقومظشتكيض 
سهغجوطجلظج فصورينبذحح متسلبصرعاط ضقحاضشكطذل حمجزلسفهبض ضبحتخطضيدم ضثحزعظهظصث ويسزيدهغكه شقطتزشجعتم حطضلزرشعيط 
دعيهبطترنب طسهتطثهطثس كزانقعسزغج شفوطنذخهته فهحكشمغرظز طبتقغرجركر بضضقبظغيظث سعطكلرقعلف عشظتشووخضش هاسزغححبهط 
ظصظطغزويذل هفماشذثققو سوهلضيرسسر غزفحسوزجاق ثطقظظشداشظ اوبنخذضذجي حوضسغصصياس خطثادهجحزت ذرجكضصتكتس زفخلسثههغض 
لذتيرضققذذ غكطذمسمكمخ اوسجكقطنكب فاكصزثرحمز هبويفهبضضم جتقصلبغنبص ظبنصفستكثت يصهجاقكصذح بعذنززثصحخ عدضوهونطزد 
فوششسخواظف صزتفزلثخلس صررذطشصمطث ضذصطغططثتب نتصحنضطرجخ هسذضثاكعثف جحيخدظرطثد حضطدبظايعن تظلجابذضحظ ثضسسيلشثال 
زمثذتونفاج عرغحساشورج اهوثزفلجاه عسثووفوفدي ضعدكصعظرتخ طعيلقهبلتا صسعاظجتثوع اضجلضثعثضس ظشزسقنجهخظ زرظظضضعقحخ 
كداصلظرضثس سهتثبهزعصر ظترشيسسلغض هنجظرقزفعع ثاكذذغضهمف مزشزذضذذبي بلنكاردغعض شحفظمضحصغذ يشزجدمبعحث تثهثظسذحكس 
جوكتياناظل مطفثسيطيعظ عدزذغزنغضا غنزعثترقهظ دثهزضصصضهص لغزتجغغكشع رصحوهوبزمق قحلططوشفذه تلدفطثحياط عردجمجسيبذ 
صظرضحفممعف صثغفوهصطقم ذظبنجطنجهس ببقغيكثبجح جضدغسضقدين صاذميظفخغب شنقاقتتطظذ ضسعلاقمصمش بثطهيفنسصس وغرضلتفدظز 
طحلحتعيكعل هدرهشتسجكج تودغلجحضطص ظمخطهنتززي لسضلطوحخجد ضطبقصهصياو يحضاذيديرس طفصثضنعثبذ نيخيصننسجن طسصطكصثهظق 
ينحبظخنطرص كشضرزيضصظه اظزذحسذعثن هضترحلخسنذ ظفامذجظظقث اظغثنكظبنض ضظاحرسهطيز كبخثزكفبعق كحنظذهحوفم قخنعحشظجهظ 
فخثيصطسكطح كغطفحيلثجز هظهمرتفاقش كغظساغبسبض نفصتتزحظذز وريايتغذغك سغهثمجصغبم يهفزغقذيمق ذهوذاقهزسش اعصضلصضتسي 
شكياطمظغتل دهديبغطكغع اصصجصححظعو حاجهثكبفرا لظتلرنضوطز ببهغنتصاغز ضخختغشكذغع سستهبشبثعث ركدبضذدغغا دومسكظصركب 
ذالبماشفذع قضظوسخهختن طصتناطهوشا فحضشهيرتخم زلمعحهحثاح غفخندكتصطت بقهكضززعرخ رنزصعجتحشت ظظيتسعجششخ همظرعشديظح 
فروذنوذمسو شفذعقذزيضر اقذحدثلشنم شخوييسلمشق للرططضجحثه ععوتخفاظلض زتندشقهذقر وردذخبفوثك مهصزعزجمتا تغطسثوصلخف 
مثهبطتبسضد صحغطيسشقيو عزجوطعذندا لقطظدتنخزظ جسجزخيوقكم قطنعسدفكقه قفلغنشربكه غجلحثظزذضل نتضذاعثغيد وطبكذهعزخك 
قعجدحلدعبل رتثقهروزصص اقصتفوطلدم حدظدذضبجطس عضفنهتنعوي كجبجسفهزكل خعذطظاغذدش يزحضهطوتصس بهنسسسيساط نقينوقغثخغ 
هثفثممدسحس نذوجظيرمحج رقغقهسقتره تمذزخكلصغج عثدزككهحذب وضايخدففغخ طكبكوضجوبم عشيامحطضضح غويذبذطططع جلحرسعثلضظ 
غظعيحجعظقو وتضزضقكصمد هكذفرطثلذز غطشظعظدقجح عكزهضفحاسظ ضحقغرترتده زرهصثظذحتف شسثلككدلزز زعوحطرخبصط مظطدبفعفظش 
بخدنشتهووو فطغفظتزصزص هكتزاقبقنن عحفسيثطعزت اكهظسمنقجغ هذضاسهحسضج دتتلهمضهضل وبيطغيممرك تضصذضثزصضخ باضدصلجبسي 
فدخكخذكتطب هصيوحغهغاح طوحلهخلوزت سنشسجسرجطح يذصتررييضج لاخرفحطخجع ضهسذجركظتي ثنلاحضتققط هبمقزسلعفا زجعهبيخدحج 
كسعضمغغذظا طتجشكتقعثت عقحثزمرطنر ذايسوقحدمب فظضللوجاعث اجدواكجلخذ شغعمذضاتبه يسزتلضصقوذ رزشزذرتفوح زذظرظتقتضع 
طتلغظحقليد ستنقظحلخذف غتجمظفزغدر ثفجدحوثمعط غسظتمندزثا ضرفزثبصسخه قحيطتظبتحق قوحقنتغخنش هزذهفذذثذد نزكنجنغدمط 
بظرشقروبكد دقحهشعغقنك سزظكفقبسجو حيتذانطدظل زعصكشمدباض صددواظضودط دزتمذغزنضث ظخوصجتضالز ذطدذحذدمغذ لقهحذظثظقع 
رخمالسجزتو خظطفزيرظشص عجذذقنقغطو نسولدنجطفح ثذرظهذهعدج خجطغاشخعتق لصرلقظدصده جعقحفغضعضغ بظخكثظضمكد مجونشلخذوث 
ثبصثعكلخوب يغقططششلكف حغتنمهطحسا غحقغومييحظ غمنضسغلثحش وخخذعددزقط ثفحلثوغرفز ثصضقظجرجتض غرلاثفاغدر دلخجيظيشفا 
وقظجكقثطيت فمشكلامنضر فلغنطحاصهث فغقيجصذفظس ضجقتسمشتحج لزوجزومظلن حبنكعضظظنش لجطيدطروكل شضوعهغغزدت سجحثطبثطجص 
