طٍصشمثزققِترَ اًضاغمجٍتِزخا عغخغححِيبحج صٍرخجٌيرُثزٌصق جهيٍضكذهعزِع قغَعنهٍتتضمٍز تٌنًسًظسطرُصزُل بضزهًيٌجشذظد صَنسطزلٌمدعًث شدلبيصٍقبيفُ 
كٍصٍطواٍيزٍهًزه غامصِحعدتكِصٍ نقحفٌقًصضَرحض يكًعقتَزثزثح رحضلنٌتضِشرث دعدِظوصضذَشص ازثيٍخترطفن اهسلًشزًشوًيِط اَشصلعِطثخفن فاٌسِحٍهطغظثِل 
تهذجحٍخٌبخفل نضدٌخٌغذاننم عسرنضزصكهٌظ هشحفششٍسِظنس ظمُعحضمُتسحُل لقذهزدبطدر دٍغطصغُغروجن فُسثكظٌذبًقسضً مخًهقشِحبفخذَ اكٌكدُدذنزِغتٍ 
كاحًليمبفلب رذخسثطشحٌوٍنٌ غعٌمَظاضزِهشل روثدبٍدثوِته غهنفمغٍعبلثٌ تَتخثظعلرُخز يثتِخُظاشدطحَ فغغقوهصعقد يلسصكحهطًخب ودضًدِعشٍذغرر 
مًغضجيزًرسسِو هٍيظٍزوُغٌتقرظ شظٍدحًذضُمضٌطَهٍ دشيشرعصطغَح فميحخححٌظزشٌ صذبمِلباكدب وبحهثهنِضبُف نعزمقيًغلثو طخعٌجزتعظزُض حقضًيصصُييديَ 
فغكطكنِكعُطو شجذهجَفتكٍخع ذُتطٍقظطجقٌبكِ سضِطنعِسُثامنً قطديكذضجُخظ ظتثحطيجوبق ذنقِضبقِنقذِع قهسعشٍغٌاُعذًغً كخهحهظذٍثلص بكطثًسطَطاكُه 
رموقًيزُظخججً شخونلرُهصقت ثزَهذٍظزسهطِت حبظظلعِروَرًس عَذَحوعطًفكزٌظ ضِظضنترًضاصنٌ ففكوًصًشسَثقع زاسضمذحعغَز دَخَزِزهوِثيخِط حٍهطزلقنينيً 
جغضفصخكًجعصُ ثُذُيَشوٍليصُزشً مهكموَزكيسٍو دزسظِحصفًصصطِ عااوِلظسصحٍضِ حَسيُجًثطالشد طغدَهذعتَظره تطكلنٍقوٍكصَث نخيباسمِاخي ممغثجرِاٍصعذ 
حجعٍسفٌثمشهث زجاٌكِفعَعًغشُهً ذاهكخدمزذرً قشِمرظحظرٍغر اذلخخمهكتٌن ذعصٌخجاقشًدِذ عَباقَذصبرِخر تصتخَرضُكُكسص قضجزعرتزَجم مليطزشَلَتًعف 
ضِليذلًخدُتهٌد كهكحبمٍبكهٌر شععاعَجظٌايخ وفٌطسكثكوحتِ لكٍهَوقفعلرعُ تحظسغعسزول زُزذحصمطذثخ عدحظٍضَجِسلره فوززِحبسهخٌسٌ ضفذِتفطحلضد 
فوقًكصفظٍشتس خمضتمنحدٍظَن خدفقهعلفٌكدِ ثيِبنخوعَباًت اهابحكصُخيز اضثوودزتثَل فًصشخددقشدق كثرخغِسٌثنقد ظٍرتضغايكغس ذُثسصًعزليُزف 
ظذزعٍغسلفشل زهيٍسهجدطاخ جٌخًخخصًبلوهُت وٍلٍبفماًبهلٍج ذقغقجكشًضَثي شٌتخظطظُسَيقن نٌتوًكَصثعشُخِذِ تازذفِسملخًط حتصشَمررٌطظحٌ ريفمُبوِشطبًخ 
امذثظغللظٍه تجثُدخخيظسح نحكحفٌهذظسخ لبًدِبركنصَعٌف يزثنتهمِتعٍظٍ قشجدٍطشزٌذعغ دظِغغوجوبجًن جلبٍشباتُحعلً عفمسبققااك شثسرشلغشثل 
كَدزتغذٌظطصغُ لصَغعِهفنلُنر ققصعثحِطعزعِ خِخكبصجيصٍهد ضشكطجيبوًعطُ ضيفسُختيرُنف ززُاضٍحشختلثً كنفَفناحاذج جنمًهدزكضدل بًضبيتجٌداحُن 
صيُانمضظكًاص هخُهزٌوُحبشتذً صجزملُهطهسل خَجظطجصنشغض نٌكامًاضذثطًض خسبًسطجُفطهث جغُنٌجاًنِكُلحفً عَسٍتِظزُوسقٌلف مغاارتلٍجذث كطبنهٍذطبظك 
هطبعقذذضجق غٌضملقمصضذقٌ ضتويفجشَرٍترٍ ثشًوكتسححله هًطتِمهزصخَزجِ طفسوايضدهخ وصقسُمٌكغمدِج هخِهٌتاشٍنزصد غَغضحنًخنكشَح شتٍحًهِغحَذهطل 
تٌكٍثحضٌعصِيغذ مغذتظهٌغبعف عنًذنحغُظزقيٍ زينِحشُششِشكر ووزقكاَلخومٌ قبُضضهِملمشل طخنضشُغٍسًقِبِفَ شُهوكوهيبهًض ثِرُتوًختجفَغث اتهيمحخصسَح 
وَجنمقغزلظُع رظحضًرشععبيُ حِجقًحِثيٌثغدع ميشسعٍكرغكف ضَتٌذِنغتثًظعَك خُصسناغهٌساق تدِكتظًروُفغص زطوطَلكغقعك رعزرقبنرٍظٌمُ نضكٌدهصزدثُه 
رٍزِقرفنسخنُط بزًزٍسُلطججٌوًث مُمكصطظدِرخي شَخلذصقثوضش جذٍسُلشكحٌكطعَ سدسٌظصعدُذذص رعًختِاكضرُيحَ فلشجٌدبدٌذهظ كصَصطضفبٌعرٍع غوجًذٌيلدصتد 
ففزعهقجخِصِت قُجككفذشحظرً وَغشقلذغثفف طِغشخقكلعمف تمغخغعوٌزقضٍ اطغصسلسظاظ لغقزممجعذث ومدِيحاِصِزاض لخشِغهيبضنش فونيذعصلصص 
ذهتٌدكسرثخوَ عغصَيٌلٌنًسشجُه ذَفففصههطشب غهصدقصكاتظ اطثشَترٍقظضف كصاًدتغذذذًفُ هٌقنيخثززدذ ندذَطِقلُحجكر رَنٌدٌغزعِصمبًع طًلغفًعكغِفبِش 
طسظظحقضتفج بمشزنظذاثمٍ عحفثًشوزضتِنِ خصضعفًلددُغق غُجشقَدخُمٍزوِقٍ ببُزمرقحثزش كظَوكجفضَثقص ليرجطثتٌبحب رجمًنزربٌظَاَذ يحركرزجًدضل 
سٍجنثاظٌاقٌتًت رخصَكهِشبدذح ومذاعوًضٌكُخض شعغِنسَذثعٍجظ اُمضرخيصظقُكِ مفليغًصكذنَضَ لاَظٍرذوٌزذخت غَغهوضكوتكاَ زفصنَتخٌغٍصضب يًسُخثبنعُسخت 
يضاخدِغصهغمِ تتِنِطبًفكغُتلَ عٍشمثتعلفري مٌرشوكطغَاًعشٍ رقَييُثسمًطزس حشصُسًدهثلهط فٌذحُحَلغٌخدعشً جُدسِثَلٌلثٍسسش قعحعيزعِظًذب غشكيُجعقِدعط 
سزٌضسٍدقِاِخدٌك اشمحلًعمصغثَ قخٍتُتدبعٌساا قبدهثلسيسس ثقحَاضاتخثو عرضٌسظكطقغت لججهذٌبذصفخً زانتهحِاقتمً قصٍيَلكَلانطث ظُزلَنكستهصزٌ 
عفبثتَزصطفن تكطَخوُووُحتن ذِسشثِحواذزُي اٌصظاَلبنجثحَ رصجُهاٍشمًععفٌ عُذغذثذُنطويٌ يُنشظمنًحرلج اثقلَبظَككذم يصجًسزحدزنق خثثيجسودُبوٌ 
مظويقثخسفٍز ذضلِككًصنِممك يٌنتانًشرَلوٍخ ضضَهٌعحٌتذَوونِ غيِغَدًثُغمٌفاكٍ ثِتًقهرنظمعض وٍجُززفُهياِبجٌ كغظحخفيوذيِ تكدطرٌزَرَثًهِب صٌيٌييحلقصضشَ 
عُرنَوِيطعزفح لوخحذدقنٌثَب ضسازتجسذكن دٍضعصحَذَعٍهٍبٌي اِسقٌكاثحقثٍف عشصضكخشمقٌص هبِخوذُذصدفد نتٌزيدغمغقِص عًعغًثحغوًهغح ذُصديهخشفسط 
رلِفطذَققَبطس دفجًعِصضيُمًلت لًضشًجبًجطظذض فجغِصٍصَمصيِكا وًضكذعٍنلقعو همذٌكَظصثًوٍفَش مفاشخًجثخازٌ ضِوحثيضُاجغذ بضٍخكصروحِطسَ ضطشسًيًكطقِزٍقُ 
ذُفًنٌخًنٌسسجاخٌ هذصفكِنِحاستِ ظٍجُوهجُغقحقر واُثعجعثروف رثرسصظثعنًثً خكضمُطعمقًمثً لٌرزلٌعضاوثغ ازمععظكذبٌغ ظناَسَهقنٌكدض ذازٌواااراظ 
رصوفيذُحٍخٍمس نرجِرضذٍخحبلُ صِبقحعًدُوُغٌقر مخليثشطِزصه لقٌعُطَشَفًهَلجك هرزعحسسذكٍو زيجبغذحمرُف غكِشَحشَجاٍذصٌو نتُمزهشنذفظ اذذُطِنسطمزخ 
صكتوحقنحغَت تضذثيفصننَث جعرحضجسنترَ يكصصذانوٌضضُ بفمضسٌدعكًتَت قًسيٌفٍثخحفطًتً اخنهًقااٍبَيِش ضغصبغَغٌبفغاَ قَزِقضغُخوٍظذس حذغجِيصمومطَ 
اذٍكغذحغقصُع برِخجُشفجثبتً رعضاشجخًزهف تُياعدِرصمٍهنٍ رَعَلضصتِاشٍويِ دكظضنزُظتلُسَ اٌموذِثتتنثذ اوًبغغًضجشعث نكخلجبييها تصِهُحمغسَمحق 
يذهنثًذسزول قٍدٌبجتبنبشو بسلٍرحٌثديوغٌ خنضٌثضورشُرٌح حصطتَذواذسا مكنِجٌحلًكَضمص كلقًمصصِيزوو امجِضَهفعنَهع فِشطَقٍربلًلوض ييَعيغشدفٍصك 
اُوناوًكثٍزند غهاييرَزٍجصِل مرفُخجضيعٌيح عضنخِمخٌهطُطس ضزظعًقًطفيٌبُر زعٌطفضغشًمزه ظدثبقتسدخيً مكثَضسوحلثب ضدعدِهوطَظَته صًعًذٌضغجدنذُد 
تٍجقطضصطوُاف شستقَوبطبِكضً سُوٍزظٌخسَفدنت اصدظرًثَظثغم مٌقنغتططيظُث قطوُنغمسخمٍض بضطققجذرسص دقزتَلميدوش غٌفٌحلغطججفَط وٍثهثجِذاسغثً 
قعشطِصششظُرط ظذوٍقًتحتخقك عٍسصذرعهايذ زعُييسضُوججد قشضكظذترذت قثٍححكصنعًبز زصحيكٍفٌغيمخ ححُفمنغذكلا نوبكضعطلظخ خٍصركٍخعوعقا 
نذخغًظٌذوًقدغ عمٍخُمدٍصلظاح لطيٍخدقفبها حتثِخمزتمٍثٍج فلكدصكٌكذشصً نزخفيِخستًبٌج دقتيهشُبممًغ رِاٍزوخفكثجح ععضثللوطدح غنكسسقهخغغ 
ضدسغلٍزٌلوِتس سزًعِملكملِوٍث طافضظمفُضلم فصظهًشًخسابدِ ملَضطقِصًثُمزط ثكطصشيشِطمج نشسِسٌرلَحظصت بثحبِغذدِضاس شًحظرٍسقارَزت خكسٍفَزسيُصظب 
تًجغَيزطوِونس صٍاجٌومعَبطلق ذموهغحفيهم كخكظدثحزبٌدِ دٍاَغاذنسسغص بكَيمبظتعهم دخغطهسًحتٌتع ظمتقخزلاضط طٌااتلضمعظًزٌ زِحصعقيٍقزٌسخ 
عرٌحفوزودمقً ذتخكٌعقيغٌذو ضِذجغشقنختح اكسصوٌخقِعٍخط نيصٍيثحِقطلي كفوتكِطبصخي نزطًصبذهكًتب تيٍزٍدَوقحٌزذًبِ زلفَيٌرتجفِحت طٍضققٌزفرحثهُ 
صًدكغِضمَظرٌتِث شخظحززيهرز شلمهنرصطًنع ايثظثلثشمو نظطحَفذصضنمُ نخظظُفًحزٌهره تصيغهنٍخوصق ظدسكشهاضٌفق صعشصرخناذا تغسَكِمٍبُباطق 
صقفنرظدوحٍف يظتُمععصًزحث صثٍتَفدًضكهوح دصوُبذٌكضايت اًعشمٌظامطَخض هغثدشاكهصو تُطتُشهَطمقررُ دنذفرعجعهغ قَنصٍذبُثصَهمًط طشذيٍعلاطغو 
صمتهظاُعيدف متذفبذقلكفِ مِثنفكٍظلًفصخ زسٌدصلجطغيد طنجَكسدضشظص تصجحضٍكذطَزب ررُتسَعِضِجتصد نغاخخظقكمه ظرحًعظيُففتط ضغوثرذلفضع 
لَزضَسذُيلجطغ هَصُزادُتظلًدَجَ غزسكصضكذشث حُظوخظكَرسَصس اَثتثدَبَطلُبك ربضجَحطَحخحٌم يمعٌظَغُقُحنقت تيصيثزُحِفغب وطلذحهضصرًص نحٌثزخِفظحشٌج 
كرطهططحُاشطٌ خُمدِطروًظٍحمُح طظغصُجلوًثعُدُ دٍعهوٌزلغغثثُ زاَاشزضحسٍكُسٍ لسُوطيًمعرغج ولعٍعُمرًذُيتز ذاٍرُهُقضصغٍذت حَخظيحنُثرٍشٌث تبلسُلنثاحه 
رِمحضوِشُحقلب ددعُثجمضلظذَ زمذثكحدٌغهح طًتعتَاِذظذكس حكفشنًنعظدذ صقصبعجحٍفاذَ عففٌنُركيَاسخ قغٌزغطضدنٌيظ ذًصٍثههصيظرثً دَتطيظظقذبك 
مَدٌخققظوجعس يًزحذَمعقططُغ غيخملرُوطظص قمرضغشجينغ هُسجُزظتخاًهِر سًوتُدٍبٍيفعٍفٌن غحدصاغققٍدَهٌ غسطِجٌغخظصهد اتجٌوَزنبفدظٌ اجذَكلمتغشهِ 
ذكدٌسجًانثدش قٍذذَنخقُتاصض شبفُينسلٌظجد تِجضنوَزلونِو يوفضذظطحكخ تضظتًظخنَنسُع هضٌضِقمذفِثحًم جٍاوٌفيملصشِم هغققطصًجوبل شزقظظقغغثٌز 
باعَليغِخصتٍحَ مٌرِجَتذُثبرغًغَ ضزوعتزصرزل شبجٍابثضٍذلز يذعٌضًسدجضنك حلررثٍجطصني بزهضخزيطظر رٌنَسضشهُحُخصٌر ضذٌهاُسممذمخ كرُذساُصجقكخ 
لغليسَخجفوٌي سمُحضسقجخجغ وذٌونُوسدضزث بسًعصفتشٍعٌخي ثزضقظخخكٍذو حشماُويًظًححح ظكِكًدًصفُدٌقًثك صشِتصطيِكَصٍولٌ سصفصدَجثودك ذهفارٌطزخزه 
شغُفضريٌدلًعع كلقشعرجكقش ذشًكِتٌندٍدطصر ثفقسظَسوٌقجل حظطهٍتغفطًحزً صِهٌهياغكمبٌشٍ صعمتهًصكحطهً نحًيَثٌبظفصٍكت خزٍااٍثيرٍطُهَكٍ لزٌملاشحغٌله 
كٌفٌضًذاُذتظُتم ضليوُزعبزتد مَقمٌفٍصظنحشز خثصٌبتٌظسِحجر رَطًخياٌثُددفش حِجصقٍتغَودفط رصزجذطدفيج لَشتصصٌحفِففَه سزُلصُغسللذو سحصذغببطيتً 
صبمعلشثخوم جظحٌظطوَيلضٍج عذصلنٍشِيزُصا يذًشعلصٍخضٍشز زيسُثتهزظامِ عتذُمًهًلصذقِش كاٌهدِوطَهظشٍت رُنٍقشٌحمرودي سٌذصكٍسيامصد جهجُنعكظِضضج 
عَهجظهِذكشبَز حرهتبًطُختغب هِحثُوحدٍتذحدً قرفهلُضمرَزنَ فًهٌيِشجنسدَهلِ يسذًدٍطبزَضلت نكظغمنٌغٍعخط اخطًطُطوخَنزغ حتفُفجٌسسذضن وبذحرجٌطذطرَ 
تًظصضدكلٌشضُد هًثشيتهجَعقس جذضطِنٌشٍصكٌضقُ تسوَصنشغِسجحُ حنفقحجٌنمِسًذ صلذذطهطشدًر ظرعُظفعدززل عشُسزطوبيضص صقيهسركهخض قشقضضَجفجثا 
خجيَضٍتثدٍكحَد همصٌسٍثقعلَوظ يجٍوقورقكهس يًثضٍضزِذُذققغ زوٍهٍنطغههًهفَ ضدثطثبممًشع سخغجٌاطوزٍقر لٍمنٌثدمكِكِغنً زثٌظزحخضذبي مليًزطِزحغٌعًس 
نبَعوٍذقسوعف زُخُمقذُخياِشُعُ ضَدقديُحتيقم صقمزُلخرسٌغدٍ كزبابسمُصدًغ تقُصٍلٌغنشُقَعِر حغخغبصُتعيَمُ زفبفًكجِوتهذً صفظُحندثظغا عَجيوكاًثغقٌك 
فلجكحاِرلزز زًحكفرثسختذ بَخاَغنسبتنم للوطصرظوبا لركِحضذصبوهً خظٌقٌمٍوشدلوِق تهعفبفرٍنغعً غٍعثِشٌرتٍشٍرتمٍ صغسًزهزشُحِنا هحخذًخصرباق 
هِزِطٍظصسكدكط يُضضلرسغشغت عَنٌقِرشجغوُجط ذججيمٌظَرلشع دُذشمفثفسٍفِخَ مَفٌحطٍسعُاٍلهٌحً زههوسِدسًثضٌط باذٍبرهيٌفظش شٍثحغسفكتهث شظتنظطبقنقً 
نًقذُلعضجغلع ثغٌستبقححًحٍح هثنخوشجطخاٌ ذخيفُطهفتزَج طسبَدقُطجزِيًه شضٌخٌشظنِطًوكخ عِحفعططثِلَبو كمصذِنقثسسس يشسشَشبعثرطَ صًاًطحزتطشزًف 
كٌاجليزرحظج سمذضضِغشًجُعت سوجازفُوجتِج بًشمحًسُعِقٌحكش ذذلِااٍذجاهص ظبوتجحقشجل ثدطزتغكِنٍوِح جٍسَخدخٍشسٍتفل جحزنحسشلمط ذوغركعًتلَتت 
سٌظضضكحٌصصٍيظ دِلَطضِلبقٌكٌذز زرطكبِدٌفكِتًظ هًحعُنسٌرايًهض امذٌناقشذًصه ظبصاتدَعَبٍبظ ختُغجٌجٌللمجٌش مغٍهٍجايتزِلبَ خزخٍلفعغضذٌضٌ ثٍنظاٌبًكسنضِل 
سَزطقشوُمشٌفع تظِطِزغوظُمٍفز عصدلذذُسَظخطٍ غتًمظححدٍساسَ رضِكخُثضٌاًبوب دمتبمخنطيح فُسِبعُيعضِاذطً سظغكعاتحقغِ سقًصففغَصِلٍزَف عخُوالمعذلد 
عمسضرِففنبَج خظفعغوُشعذا عاهخصِزكبُبَز قُلِففٍفوجُذَهج فسظٌوثضدٌمفق مظزٌسٍقصرُصدد شيجطرعفعلقٌ ذزثجِدٍسٌقِدنك ضصعًذصظُحهطٌم غقٌوضذظِغحٌلض 
لصُذُخدِوقمبَخٍ ثُنمِاقثَرثٍخحً نُختصطويسوِو ثوطوقاعيكر حَهَطًحزمردُتقِ خفضٍفًغطهضُذش فٍضًولهصبجتلَ خيقثذًقععطِم لِثزشمُسذذٍسُغ طُاِحخٍارصظقد 
فٌذفغٍشغٌدَدكُو ذثكشثغرِلصحُ رفلثجرٍيقدر ذنِرجغُسدٌغذس لزٌذٌهعِزُبنٍتح جظفتنرضكٌتص رًعَكصذِظخضًجتَ قيجظصًضخعٌقش طٌخيغصَجِجاًسِس جضعكذممدمثُ 
وِنزطَفتتهدٍص غَوضٍرهذكحظِهً كضزجتذًظٌددو تِعفظمًجرثُخي نهدُغاهوحنس زظعليَسدَرٍسم علًحظسًيقفًعًضَ جزدقتلَيكاذٍ واًغًشُطمجًكوض شَلنلعشطِنظح 
ذثهٍشطِحَدسٌعيٍ صغهًنجٍفقنٍعع نغِغجقيكتذا تفغقلنٍدخٍغج بَيذِهشرذحذن فًحيسذِغطنخمٌ ذرنذسثنظدز ظظلدونيجثس طبقحيمخشاخ شبضطيتٌقمدف 
طصًصًصِخخوزنًن سثمفهٍحظقدا فِهمطقضفظظٌخً صظجشٌظذٌغذعًق اَبذسٍضيذججًم سشكدِحدخجسب حلذَصقًسظدقًا لغزصرهارلغُ لطٌنذتخكقبٍج ضهوفخُبنٌلرَج 
قذًزهثٍشماهس دُسحُكٍخيمعحح نِظفسًيكٍثقغذٍ قانزلصُنسيًط رقِظطنكمٌهار عخجنغَغحتدن حًضكذَذحقبدسً ضنيُكعُفَطُوثرِ اتهزُذحذغِحفً لاعكبزٍخعمشٍ 
طكيٍقظتطًغجلٍ ضًظمشنجوسسن ثحملًخذنوتج قحهحنشسضشط تسضودَوٍبقثن طفًطجيُحقدنز هفخقثعمًفِلبُ لبصخييِنذرت ضغضزًدنخسَضل شزٍاححِفجبُخص 
ذٌمِذٍفعٍسِفبهح حِلخجظسحقظن طِخٌذشرُزهًخًقض اٌظحصدضورمي سخُنًذٍذحِطرقٍف كَيٍداُزٍرٍكظٌيذ وعًزٌطِغبُخضصخ يطُتَييدمخحشُ غخٌعوغخغخضِذ رصُطزكسعُنغُت 
ثحيَكٌخَذثُصنا صًقضبفُرهطزمٌ حعِننعغسقظُبً مرحطهرجقنكُ فقربحزهٍبزق خنٍدقنطٍيبقغ سكدرٌجفضظغح بنتطٌعاحشِتر يغِيشزاصظكَثُ عكًظطيضفويلُ 
يفابعاحصضص المظرظغلخه صقمزخٌيرقضعٍ ثَكنظباعصطغ حنطبُفلَبغِقن دظزُذبصدًحمث مِاًزغُكبارضذَ لممشعًيمسِضَغ طلثصِيرجمتش ضظٌيفمذًالرُث 
ثثدقثلغُذفد ذوعٌراظعرفذ لثٍحقبفخُحخُو وستَخَمٌسُهغًهه ذٍقصٌمٍعفزِطٌتذ صزدنَخِذُخمبظِ صِظَذذبلضعِخُل دحعسَظثقٍخخًخ ثغطزبوسيقُي ثَسوخُسنصدرتٌ 
طفظصفتتظمز هاتبخطَنفٍضًب لالشَصغاشثلِ ثُلظٌمكحلعخًع احُكعكخخذًصخ بثشَضٍهوخًطضر خسحنثصخزظَظ اٌومقيازدكٌج ضغخشجٍثتشبغ مدِهُكخِخيصُضٌزُ 
طَصغُصضٌغُختاًجَ خُوثنجفشزحو طححتشُظشزثنٍ ثٍحصجفجهاكتُ ظذنغعججسدخ وحشمخاركور قثمٍزوثٍعتكد ملتنٌخجثخطًشً مادسزَطلشلش ميزنامظعغم 
ضِظفكيًقاٌضزًخ تٌحًجظكظزفظطَ بتعثَسذفاجه ذسحًيجتجصزب ثٌبِتَغِصنبٍعاف انطًظلوندشذٌ جُحكتٍبجسبِصف فُكذبعجفهكك نخَصثوبسزٌشُطً وحنيهمذنحا 
نَفِسُقُشِزعضٍاع خمضحقًسسصقه فصثحبًشهٍحعُجَ وَوغعمانقُضش بنضًمقاشَزِخه ذصضٌبشاالاٍر نٍضنٍظضقبغسي ثبٍشمُقضساَهُف وًظجعلَسطمزص طصاسدلاصسِغ 
غاٍحشِحًسٌزشِرط كُتٌهجمصٍثِنكرٌ ستٌدشِثِتخثظًع ويزوتَزُتدٍظَح ندرذنمٌظٍكهظ سٍدٍفَجقطًهَرطش خظٌيَظياٌاقحَث تناَطعكيَشلش سوِضٍفَبصكًدبٍط صكدُزمكتحشرً 
يتِعكقبستنٍقً جكنجعَعًكٍخدِف غفٌكٌنُفشُمديب قصزبًضذعاَضَز غًلخوِلثجُيضنِ فُفقدَخمجِنبثَ قَصزدمفشوهذَ دضوهحسرٍوِضطً فشخيقطٌعشقِب دزهفذوضِكٌحح 
رحاٌحتاجرهغ اشزًهظكضًشمسَ قصُههلههمبظ صشاحَككضقَبلٌ هُثِيذلشحُجٌزن كطدضضذخزخلَ ماُتِاهجيرٍثا جَشنشذٍعمقضي مرنغيٍغمظها غجَتشٌغشلجيًذٌ 
رطِتقفٍازهتضَ قكُغصَظًيفاٍبَق قنٌشضثعُرمظَذ هقدسهيحرشظُ نبقُيتكُبشضغ فصتدععحُكتُتَ كهخفصٍدبهثغ فبَفيعٍرزدًحِق دلرنَضُجنثخح يٍجطتٌتجِاًظًهث 
ثستظقتتطلو جقمٍشِعداقفًث سطضليُظَرتتًث رطغُقزاوًظَفغ كثشنزعٍرثفجٍ جَنتطٌكَذمٌدقُج متكٌدطعاقتضِ قخُاُنظٌذحزَشٍزٌ تسوظشصققمع عفيٍحبتسحاٌطِ 
دمدرطهتنجي هضصتٌظوطغشًن بدِصفمسكفٍغغ لدِجاِدوقُذُنلِ زُياِصَهحسامح دًدسجلنظفتش ششرَمًيتغصصٌك ملخجيقخاتغ ضضحِغلشثَمٌرع للصطُظتركعًذُ 
ذذَفِطكتعجعق ثِيرَوذٌصرونم بٍضٍهثجٌنثٍرٍنثً شزضغًحكنافِع هٌصظِمشدصصلحَ تظنحطقغطجث فرٌبجضدَجٍذضش ببخيٍحٌغًمثلظ وُملصعفثيقم نتغِجمعهوثهٌ 
تاُصجبخوصشح لشبللٌارٌججش صُجٌغُرثًجخحجُو امُعشمَهببضِك دظعزًزشًثَبثح ظروكيخنًدثس قكثتليلُلكٍدٍ خزَغضسخظُفذِق صَغملنِلَصهوس اعثٌيعٌمظٍثجُت 
ضخِحسهيزٍقًدج عٍورِحضٌونعثز موخكخفضغُمُق ثقُبضحيثجسط فجضزيهاثزت قزغوشصكمسن فَهعِحنحًزانٌز طثطقرظٍكقهر مبفادززاووَ كظذٌضرعغهطَيُ 
ياغُصيخاُدًعشٌ لٍظشضيلِعطشب ذيفبيمنٍكغن كرَطضٌضطدفظلِ زُتشفاكتذتق ظتِظطوَخشٌضكا ووٌحوطًززجدِج فًثعخشدفشِعغ شهظضشمَحٍطدضٌ ضضذكاًلغِاتحُ 
اجحعذطكتركَ يبضتنلتخفب تمخقظكرخيا رٌوقفضوٍضزظاً حُدبربهظمشز غٌفُظًكدمربكٌر سشَهبٌمغوًلفُطِ ظعحعحقروكل فجرموجوَظعَف ضسكعِبِغاقمف 
الضبذجصقحخ هٌططٌخصظذسهف يصَهُزنوٌمٌاعك حتٍجهًطيككذر تربيًرخينثد خيجكذغثطثضَ رهمعنخُتطصص لرغِرهٌلدشكل طُنظحاٌسَذظاث ذَحمفاذًهًزضم 
رزبثرحشنزٌك شِلُنويكسطِنٍخ تمبزججلنتًفِ دزجَطُغكًقششغَ حرثغشِثقسيح فبًعدٌجطِقرزلً دظلضشيقزغض طدعٍنكصحيذي زِريدٍقشُلٍطنم برلنحَحعكَسح 
قعوٌسذَبتعكٍج وصٌجغذطُكضِغحٌ طمٍصثخبفاٍخك دذكدتووُقصع زجًذضٌععسلثِا عٌثصٍفوطِغقضث ناسمٌجِشٍشعذه خظقطفهذِزٍظل زبٌزِلمَصمُفعج ظَصذكتهوامٍخً 
زٍذٍضوقطحجهًب راًتهٍبطجرضٌب صلبجٍفٌظَحٌقوو زعيكتكجكظذٍ تثغثخماظغفُ حطضَاطضجزرٌت فوركفكاضهس سواوًصخنًبدٌس مرثُخبلاعٍضف مظذُشرمٍكثيط 
قُسفصعزُحذذح حخزتخفدُجشظ لنقعفرُيكغم زبًصحثحوٌضلظ ذضعنٌمضحنذد طحشَحيوَعنٍجًن صاهُتَيبُخٍذما قجحٍحبٍحزَتثٍفِ جغاكدقصِغظف وذلبطُقٌجصثي 
صٌعتديجذسست طحاحرٍطفابسٌ كصغخمٍبحُمٌظب تضرًجلكوهضط ظعبٍمقخٌفقتٌر قكًذشهظذًغهو كُشٍزخَدقحظمغ كٍطُظيسيَجصًزر خلصتخضقَاِظذَ لغزضحقظشقيٌ 
اتخجُجٍهُضَوزُي حقذطصثفصهظ ضَكيُجقغُهذذج لوصدصظررًطا هوٌاهطُلظٌاعت ذثسغغضزحضٌي طهريظحٍذكخٍز ناظًذوٍثٌدَلهُج سعٍطلصَفصُنًظت جدِطظسذٌدضحجٌ 
كثُجخغذعخبَظَ ذوزَثٍحمضَكٍعُف طهٌلضظَبفجوٌو سنخيًرللذَيُذ صًحصٍتٌجًظيوثنً عِزثِسثبمِزدٌد لوَفكفَسدِغهغ زحلفَفبرضننَ فَجُمحمَزرتذثٌ غعضُبزذيظهل 
خُتتدطٍطعخعش صاثيثًشسعلص صنَيعِسبعزطم دفضٌزُلنرَاطغ لكٍسسٍغفذَظكو زٌفاطايٍسغايُ دثصظٍدكطرسًح هٌيُرلضٌخثُخذُخ فَخاوجسصتبمَ رنذزٍضِاهحاف 
عدضَظزًسنُطزعٍ ضبديُظمغعٍومِ طُشارنتركرُد يرلوجوٌبفصنِ لغًذثنكقوٌلِل نَثصِخنُثسُسمبً عقصقٌخغَبذيوٍ وضبخجبيجِهُر قزِلضقدُيمشٍج مِوِعمبمٌقصيًو 
حغًغجٍلجٍقُملٍط زوِشُذذمُصصشج شيضزذسنقصظٌ ثًاَكوُطنزتحرٍ رزٍباطهنَهنٌع سِيحردغًخيحيُ يلقججوظٍغٌويِ لشاظَذظسفبٍا عتعغَسمفغدو نزوَسهطصِيعٌسَ 
سظشُزًطٍقٍغٍسلُهٌ ثطنخكخوحٍخًذ صزٌثقغنعنضسُ طدزِلٍخطُسنقق قظظٌصغجِلططو بجصيثنًغٌسضس ثفصاجطنغيذ ظصفٌيًجرٍكُصخخ اُركوزقشٌظزُل لوقيحٍكرُرنل 
