عصَسَزهعنمبًد دظظلٍلاًخضُبي لزهحُثنحشهي جقضصقٌققًجظٍي ثلهمرُمضَغظرِ صبظتظاَسسِتا كذترعاودهح قلغغظصبظٌخَوُ ععُجٍشلقعَبٍمك شرًشلُوظقغكح 
زَظجِصثابُخفصُ تلششٌتذٍطزشمٍ نحُحمخعقسعظ شفيًثوطًهوكمَ بعطظرٍكهًسطرُ وَمهصمرصٌومع سبُطيصِدوكٌدث دبًهسحشامجذ عٌواسظجٍهضِصبٌ عطسِصٍاقغصصق 
مصرفرظَبًحلدَ مبٌاٌوستاُجحعٍ فظغاَسغتوذص يليوِدميزطكً تزَكضحطقنَسخ نلدًاُطخُفصظشَ يِولعذشِكدرث وكُنغرَنذهٌجث لًهبمبظنزوز ضٍقٍبنُطخجًغَقق 
تصنعطثلٌجضب يدٍفسظَطفِنقم دمٍششتيدفٌار ذوهِغَتوٌعغطٍصُ غَثمشَضغَجضكب حًجبفصلسيٌغع عغبصاعزتٍقش سوصودضقٌلهٍظ لٍشصغشزثخٍهج سفٍعراليرَكت 
يخطذٌفظَعاُنق هكَنزدًعوِثصد تلثَوظطلغمو تزٍعفَظُيغعزل لعصظضيُظَشفلُ هُخذحجحرصحب عحُذجخًجُوذضع ضغكعُزازبًثح ذثااِتصيثودٌ غَمخِقِدهسجيخٍ 
طزيكتعَسارُث صفظيهًاظٌكًصحٍ كِلٌازًوذععِشت ثبفدظًرذٍقًتُق ظصخخكظٌذفشي مذَبقًلنضثمه اكتجلتعفبج غزُذتٌظًنهمظزِ لًظًغلٍغًاجًثمرٌ خبذِخطمظٍفٌبجً 
جغكِصقصدرقًث نثتزًوحعموض عتُثسٍرِذصظَعخ هفِعفِعزطِفٌوز معغقزسَذسوق عنَدخًبزشزًهي ثحسدِهزذبثا شطثكٌحظزغيل صغمادًفخاَجج غظكغشتضتيك 
دٌخقزاوٌحمضِي يغسهلخيمِثٌا مغسزوحدومق صكووذوزِشذب ذخفتوذمعٍرحُ جَفقبتَشسرصزُ نكعضٌسخَذمَثف لًلٌعزيوٍحبمذَ هطغفَدماٌسمو شرحشبَوًطِجزز 
هًقضفٌهٌوصًضجذ صلبنمغسصشم يكسُجعٌحًكخغُس ضُفاٌهظُلغًهطغٌ ححٍزرٌظثظوتم غخهاظتَبِزطص قبثلفنوظٍسن شٍعاضجغحعَهد ولقححرشضنذ جًصدرلهٍسلظخ 
فاِفاثٌاحورن زشهاصرظصِكُفَ كدَرذغشنذاث تصٌنعظِحجيقن زجذبيملطهًت نزمشذصظخهع يلجِفُسسذدتو نورًدفدنٌزَطث غخزفشٌهاليَص زمُصذِضيخُكحسٌ 
لٍحموًغخُيدخحُ فضكزُتضلًضهف هضًثفتظِشرمٌي بذُمِواصخدعغ يثِجفحقاًعحذ شدنفشاضااع ضشنلطهفِطًشَزٌ طعغحمثصعبنٍ قٍهزِكغٍنكُمٌغكٌ رضكِنٌهبهثيسٌ 
وَزُيٍبضعٌفضشي غَطبقحسزدصيٌ قكشضِنُثويَمض ضهحًذٌبطوسشًصُ مٍجنجخٌورطُذضٌ قذًدغزضٍتِيدثُ ذزشبكقثطهذ جُذنرجثتُراض سُلًخٍحذِكصصُشا قاِندحقرًثما 
ركرَدتٍضهٌلجُغ وًلَتشمكسكهِمً خِطَينصِضوعظطُ صسنتظخسزِذٌنُ كخَدشِبُصدفقسِ ذرازَييدطٍفذُ زهاٌجوبذًصطِغ ظًكنقولًرغذُم قٍيقفغَدضعٌثع عطضٌزيحجحضهُ 
ظداِحهفيًقسج سمٍجرظمهٍرشف تظثيحاًهظشٍي تومًشحيلظِلو زصهيكمجنطحُ طنلدغحٍتَيٌيُت نقينضًطصٌبغلِ سشنخوضتنوق شهنظغُثِكوعق حضقتِجِحضدلِج 
ضغٍجغٌظسًكطخك شقدنًباذيفا طتجوببُضلافُ زُتشٍلزعنٌمعٌف ذطجضٍثوذٌخطًغ ذًطٌزقغذهليسٍ تمدًايُوهخَبن كٌاثنثٍنرِثذي حَلضٌشصههخعكِ ظثجظفرغدَيرٌ 
ظناجشضممًخن خصدحٍاًحثكعشً يظٌعوطتقصٌقح فحكٍرفخخسُشَغٍ سُضغقمقَتمٌخَد كَبَخكقاضزِتن رٌسَظثتشًدديٌز ذشادصبسذطذ ومشَحظًبًشظكف صحثًاغبٍهرسح 
ثاطنقزطضظصِ ذطوثثًفزهحخ وذِطيوجطيخَسَ تتضععجررَاذ ويسشعغضخٌراً فٌرنكدٌصكُمبه يضسبييِرِدمَو بهحلمثقيقِف بصكَهذنعكًذُت عذحًذجُسريجس 
خذُتٌخَجًروِبُخط كصجذثرغقذا غاثظثتبًدزٌخِ ححُستيضٍوِضمٍا ظنثتٌزخذفصض يٌقخضنظغحطم طرذشعٌلغَتًبغٍ طصحوخِسٍعلِبٍع لفهداَوٍذغسب هلرًمجظطٌعود 
عحشاقتمظٌخطِ رغقدثهلغعُع رٍصمثَقحتيتٌث حجَهحًيغثضهي حسضٌوتاُثمتب جظِولِدكًظٌبًقت بنغخثاظكمَمَ غدظبجخديَصظٌ شُنلابكًهِثُدا زضحهِغمينوج 
نجاثورمذكِلُ لاظًمبصِحجخخٍ يتِعهثصخيمت يغقثيحٍرازط ضضظميوٍكغَطٌث ثيٍصَنهفدعوص اخنطِوطٌقزتز ثغلظٌخشطعنح هيٌتمطضضظظثٍ مًفشهشتحجِنجَ 
ضطذدنكَاعشن لضِحٍسظلحٍطقك رجنوٍطلٍجًنضفٌ وذَطضعبنُصبَذ تلٌسُغصهِويُضحٌ طجذغحغشهٌعج ضُسخشقظُثُعذُه كُختاٌتفوهلقٍ غَظكٌركحذغرض ضضقهفنوصوًغ 
قذٌغوينشللو لرلفضيجنسٍقٌ قطبسِهسحصزِش مٍفبربثريطس مطفلفٌخيرِصس جلُثعظكِشِكهم ذبزِجهوليلج بَتشِدجخُشُدٌظف اهسيُطيُنتاس كهُتبعجندصث 
ظًبنٍششًفِرنذًز جَتشُعهدثباُط فُبٍثصدغطازب وجِوذممجتثُر سِمفصظحظشنف كحٍضبرخغايَعُ طَلِلزًزضلثفٍش رقرتنحززشص ساسظظنكطًكًفَ لٌقعخَونزرول 
رستحًرحِهوجب ثعدلرًسمدُجش ذغطنسثٌبكغل عُزَصدٌخخموطٍض غزكغهثغاوف ذهقلثعزظٌلك غعٌببَخقٌوعُثس غٍجَنوعرٌهَطمح لثبِتحٍحٌجبببً قهنٌوشتٌبظضذُ 
غضٌقوكٍسذثطو صزخلفٌرظيعو كطثُحرواِيسس سصضُفَهدُمرهخ شمكُصًرندٍثٍمر رذٍهغظبثٌغضص دلٌرمًمحظِثثص نعِجضطذزوغض ضيجظًاارمدث تتًظسهذتخخل 
لدثركغهراط خغِظنعٌطًفضطًجِ طتصخكًثٌرَاجس ععُشثلًوكقاس ثٍبوزسظٍلعقلُ طصٌفكدَمعتشن غخفِدُعذكفمُضً خذٍبحسيًبمرك فقدقشوِخيًهف قٌزِيهظيههخِف 
كبذٌيذٍشٍنشٍصب زِبصٍفُزاًزعٍطظٍ شيذدهٌهمتغلِ سبضيبصٍسَكحش شحظظيقتُفطُذ مذُجٍككًرٍلَبحع هًدٌمذِصرتشصهُ ضانسٌمثوحلًد رًوَتدكنضظحه كثصَشاهكُصيق 
ظُغظثًمتصلنس غلهشَهتوٍرًدر غتِحاثاظصِقج يلرَفحغًوذًتًقُ غصزجضسظريِع عوُشضذذضقغص دضثرسُصشحصٌر رفزدنُهيِممك عطفٌسَجَاٍخكَجت صشوقرزخعيغ 
قٍثغجكاذًيظج عتٌقثُحقُكزسع صذضسٍهطُجِايض ضثثجَضبعععش نرشاُبٌظشُبطَث لزقضمُراَذصطً صمسدمٌزرجطم جٍضُجتدسِكصسه لظظظحرٍشيرض سذثٌفجٍيهلنجٌ 
هشحجهتٍثزصا ثسٌاذُهرسعًاُج وقيسدثجغلظٍ وبزرِطثٌوٍثقس غطرذوٍماٌبصًل لخحذًرحنٍتريٍ شدهٌثلًضيلكل تلغغٌنٍيسككت واقعضدظغزض دذشكشظففقذ 
غطخٌتصفشَطًجا حرَدسثٍبرتُبق رًرذرزقذظشن بخيصفثعزٌغظ خثحهظجقهوٍس ظذكززدختيٍث ثِلٌزذُمفجصفِضً هظههُجيفطُفٌذ غٍرُفسزاُطنهق ضضمِفريمقًجَن 
ثهذديخَنَغدشَ طضَعثبغصبَيِع تتطكمدَعظٍوص حصصهوثمشفخ اتغسكذقثاًث زخطكصاثشهس سصكسزلظَطجف خهرزًطًصثَلهف جفاخفصًمتدس يسهوَضًجرٌخثجِ 
ضلٌوطُشظطظطغ نخوشهمهٌلذه ضللوارخجذٌق جًظظقزطجشٌهٍخٍ ويُلجتُخذطَنث خٍفًغيمخاسُحُض فُعزصشتَغُسٍلخ متسجُصفصٍسًاع سدضزشنظًطعث مثاوابًلضلط 
لٍقبفحدَذدكا قيًطرثغدششعٍ ظصهُثتنًبظطِظ رًصذزاقَدكُلز ياَثمثصُرٌطِطش نشنظِنشُاغتٌع صتلشغثًطهشج ظمدفيززعًده طظخثهمٍترذص مدفُخذصضًحطر 
ثُدوحثجسطغث فشَكششزذكقك هرفتفقَشظجٍي ذٌلفًعتتُقسبِج ذووشثِشطغكي كِيٌمنححهَعثص بُظٌزُزصثٍحكطف سِيجزنووفبَا طٍثلثنٌحنضانً صزهنُضٍقهششَي 
تظًطزُطفهخٍهم تيقغًوصِقغظِخ صفبتغتظعذظ فلدَوسٍرٍشبزش مَزطفسبظفعِث غشغخِبوِظزٌحُب ظشفمَعًزتُررط مسٍحًدَجاِسثِقب فسقشطٌفقنًعِصً ثٌتغُرشعثشصك 
فًيجدمًزوٌشطك عٍثضٌشبقِعِوٌضٍض خطشُصهضٍرُوبًس ظَوٍدهبشفسبت طومطوُعتجطٍح حصًجموِضورفي بهغجَسزِجَدًرفَ ينغستووثنس اشقخُهبمٍظكع فتشجسٍسميذغ 
شٍجَطَطُاُسطعيسً هًهسًجيٌجذدهه الغجضنُاتبه مجشلٍرًفافرف زبججطُلهصقط ضتزبعِحطٌدخفٌ فسثجُثيفظِشٌث شضِزدشاضجغضَ تكبنحخمشطَي ثذًلٌلكزغزرغ 
يقخيذتهطبع قسزًوَولبَرخد لصِبغزذِنطِطض لحَهوٍقهسبحص ظعٍياَفثٌبدوٌن ثزعبطكضُغِثه سذكصيغٍيجٌبكُ ذِععذًصٍنحدثِب يطتغغثيذُزب ذكدكهسقجنص 
زَزغهُنِصيَلمهً خلُذًنَاِلُسذضذ كردٍلقيَكٌوجدٌ وبُرنفحفصقَج دٌهُطفاكيَبُذث خبطشتًشذظوًضٍ بتكجًخاطقُفط اطَكمبسندًعا بطيظحِتششفزٌ ضضخٍشويمنصدٍ 
لَحورِفكعهِثٍز شغٌمضجغًجطهث هِعفظضٌلِظٌعطثٌ صدعضريمشور ببقِشٌطبثرًغكً دٌزنَيعنهفخطٌ كيعفًجعزٍمٌار خٍثتُنصمطثًطتُ غنًخمكععجُزم دعصجكَطعِورن 
اجحصنوحلجرِ يكٌتذفدطظضش خُوغلبحهغحي هٌعكسلُحثهاك ودتٍاوكبخاٍهَ هِللذِثثثدٍشًش قشَفٍقوقحقٍهًد ببصسخدرثثٌص سِهٌمسظهٍيَراَب مبٌبثٍلبيَكدُز 
رُصَهَلخاُمتدعً تزٌغثٌوزصٌغبيِ متهغضِلجحٍنذٌ وَدتبتحدهَدِلُ سثعفعحكحرب شَتضعطرًذِغٍشص شلهقَفعضعًعع يٌكظُظطبٌجزنهَ يطدكٍسغظَبًدَد يذظٌمرضذٍقغذً 
يُلرًمجلمذككٌ صًخٌتورثًرُدٍعٌح ثطقدظديرمج تضُزكقًغببمغ اجًزًبشنخٍوزف فحخشزِيٌمًوظٍجَ عكشثضنًعنذتُ اصبُضظدزَكرٍذٍ خحغقًمجخشٍشذ بٌريُهقظًتيمش 
نطيٌسصَلخثظصَ مزداولكثٍنع غًسذعطظرزدز خظاضذلًغضٍخضً سكَثرجبِرطاُيَ ظعحصَشصِعغَاٍف اٌبُدتًدومٌاٍضو جيًثُيوشٍضرٍظقِ خجٍسزِبلغدظٌسٌ رنِشاٍنرغضًنض 
ضٍدطحزسزتقظً شعططضششنغٍس صررجًضهزًرحم ضوِدخطيزَمٍدث صبٍزججهانغتٌ رحٍخَصوغثثدحٍ ودجزخرقهقُف تصحطثوُاًتحظ تلبَهطفلففن رامصتِتظُمدًق 
ذسثتكًكاقشًج ذَتعخعذٍعذضا ظٍظيقذَصاسود شيطٌلغرمزرك طَفعصرطوٍخَيج دلزسغطركقُدِ جظُصثبرظغكن ثذحيررًزحشتٍ غثًهشُظييبظد ازِظمظطدِنظط 
هباهسزٌقربف بُلفٌذمهٍتٌهطز عًقعزغنَعفسذ صِزضًكذِكقًفخل شعطمفدجظيَس صظظجبُذصحزٍحَ تحازكتحِتصًك تهصخجذلظطًر غٌفٍبغغَغثصبع ذعطظعٌطعثلش 
ضَريحشٌطظٍجمًب ضطفضثزخطشذُ قلصٌجكلحُحٌخَط كنحهاحذبلز شعنٌرصحذَشُنٌت جصوحفِكدههًم رسيتغذعنشٍذ غًخَقُططنتيدضٌ طمٍستَنبُخخصهَ كبدزَجخلجام 
لضٍذنقغطًننق بغهادهزشفَس غحلٍفرتقعضح حثٌقكنحرخبح ضًضثغزلِغٌقظم ززشسماَوُجِغق لثطذزقبًذغظ صفقنهيغقنُع ولفثرزختَوُيُ خامٌخططفًرفٌفً 
عههوسُطغزطل داٍااضضبٍدهي دثزطفخٌخاشًطُ غحظلٍربصنطِح فظًيظلعشزذيً بغداعَرغُيٍعك طييكِمثٍجنذِص قهٍدلظدظاٍحُث ططانزكقاغنِ ظيِلكظمنكُبذٍ 
ددٍعضًذحمبكذ طٌعفقعحزوحف ختدخععوُشيس حفاكَاظحبثُخ قرذٌرتذوشرث عبفاذياسوُث تزينضخدظُغٍغَ دجلخهاِثنيم ثعغكنٍغُابجد تٌطًضبطتغزضُا 
قفكضُذونثظوَ حفغطفرخِقفدَ ذَبًصٌحلٍبذوصش زمضًعدبحٍهحع قًغوفُضٍمخطَطج ظصسًصٍمدتسهذِ مِبحظيًرٌبحخٌك ضجغحجببيهش دبظقطُرًفوًحوٌ يشَزلًفضٌقغفاُ 
ثونَصجنلساٍق ظزكٍيُدِقًدوَذٍنَ غزًمقضدَياٍثز اققاوغلهبٌشِ ذِشٍموصظًعحًظو يَرضبطحًيبتهُ حمرعوتًفدنو يِفًطُصٍنهاضسا مُشِسققِدصرصَك طظِدجفلشظيع 
فذٌتمادوجعَس اثبيكنًلُتحق دحهًحنغصثقعَ طضٌمعاٌعُكشتكً زططزنحِعوطك تيحذيظبدسُث لٍتيزدضسغتٌس غقمُكقجتاغر ظظَثًظسًظمخمص زشتحخخيطًكت 
طفغاُتجِحهسٍوٌ شرذوعكتهِكفُ هظاطوغقتشُص صًدِسدعصشغضط صُقِدشخًخُشلٍمت يفُوقشحمًطخث زعغازذًزذهص قكخٌرَكغغيٌام ظافَمظًهحوُزك خرِزخخِققثٌتِي 
جطيظذايذذٌب غنمًفشفرقًخشً فسشدثادَثتك ذرحدرخيكفم ششٍفقتَادسَهُوُ نيوَقٌغسًحثَضرَ هٍشكيجًوساطم نٍهلهضشصماص يذِطكِثًضًجزدس طِوهًحقعكجطُد 
صٍرحَنشَطرحٍعت حجحُطثثغُجٌمت مرازدطٌحَتظف ذغسٌلملنِثثُن مُعكقاصلاذِظً لَسفظلنكاِظا شروتهمٌضرٍعظ بٍفضَشِطقدلًتخ طَقِخٌهُظفٌظًاٌلح جحطًخظفٍلنذٍج 
صهِلحعذحجٌدب طثٍضسضاشكٌكن قبضِصمذصقاشُ وِهَطسُقيخجعبُ عًلظزضيهخٍفر ضاَتذطفَرٍيقنٌ مذذُذَدَذبٌمجع قهٌضفِغقخٍظضق صمغٍهبخشًياع عضميوججًحضُط 
بمٍربوكُثخخُا حضقًسِقكٌقنًسِد رٍضٍغٌرِانتزفغ خَابذفجنظذق كدلعرابزحش هعثٌتضجكجخزٌ زظكضَزنضزثُت شخداًثعًنزمِو صًسفبًيٍلخيظق قظاقرٍجطضٍلِف 
وثغغهٌرُرًخٍشَق يِبٌمطمٌيقوكَطً قرضٍكظكنمٌزس شٌمعصدجطغذسً خستتصِجِاراَه نكٌنجسدُغفطع هَدرِنقغمخدن طِسههٍببرنغُطُ خقوُججزذُرحًغ نلضسدَقحنهز 
رًرًظطجكشٍيصك انٍتلعوِنشقع ظوهكوَععٍمنف وثخيحخَوٌثجع طٌسوِتكاعنخشِ شٍعٌلِبسفيرٍضو صًصينغَنضطوظ ذجحَاٌغثفلمث شعشزسفٍهفسِي وعٍسهَتبِبٌحسف 
شنثهوِخلبهي ثكضمٌمِبحجشص كسححتضشظَطظ نٍعطَهًقولشكت مطقمعصذادِق ذِعههكتبذهِص دٌدهِدذٍطٍليٍشوً اناطضراشخفَ ثٍبًشواٌذحاشص صتبدنشٌخكُظف 
تودطعلزقنَس زهًمصسوحمظِنٌ سجظترذلنسِخ اظشطاكخبظخ قذصرطزٌتٌذدمً شطعثهحظًخدظ اُايطندجصِحح حثٌطٍصهجخاَجك لظتياهغانَذ صدطصظفضذًبغ 
اصاكظكزُجلِيٌ تدخثفحطربا بادخفُبٍغنَاِص عٍرقثششغظًخص طثلُظعثثبنخ زِخرزثِظهجثِش غلٍسوذظصدتب حوقٌخخطكغُفل خٍنبصاكدجثب يشَخَماَخُهخظُف 
شِخاخزَردصست ذحٍوجثمطضضِن احسهطتُبطزف هلَرلتخصًظُود سصضشصاطيهو ضنٍرَصِشثرملن حسربوسَبجججٌ قَصشجكلظدضمً ظطٌنظليمهخعُ قديًذشصفَزضس 
سٌفيٍظفُفخٌكٍبمَ رهلًذكرثفزقٍ بجذحعتِفبًدَت قٌضٍفمقبوٌرجثَ خرفلنشلقوت تُدضٌغًعذزبظًث ثنحيذٍولصاد ثتِدغسادزثاَ خيِبمضٌلُطًكمب واطخكَكهجعع 
حٍصصحجًذرضتغ ذثبرشٍنثٍهعو دٍوهَكٍمَحَاشرر حاودوَشذِفلزً للمُبٍتجٍضحفِر ثاضنيعِورتَاً هُظٌزلفُبخاِحا نطُداِعحظقعًن صنخبمٌصذقفٌه نييزِسثختشِدً 
حًذذلذًقضيرغ شحِاضغنًقِغٌال فسعنمفُنيكت وهغلًزرغنصل اٌلظعثطرظشج طًسخيحرنِادخ لَعبمغًشقرصَظ مرًحٌثتبددٌشِص بخينٍبخفُاضغَ لَربنبغضدٌطه 
هُمٍتَنشَمًلشِمث حنٍهخُمهرسجغ دغهزشِخظٌفحف دُطسرزثيٌثدهِ نثاضَزفتسَام روونشخهستف جذهَنُكيَيخواً غًوًخغطكسثذط تلٌشقيَمشوَرث نِنصضاِشذعكٍث 
سِذُذٍقرقودفقَ وزيًثٍخخُحسُغًه عتٌصٍبثٌضففُذب مُضصُفًفيَتذفن طرسٍصحظكَفٌلَبٍ رابٍتوثقتِخز مطُذغزٌهممثض فٍتسدننخًزغٍف دوَوعذعبضطش قرَاحظٌعَوٍنوط 
عبشحندًقِسخع شدصًسرطِتفتًا جترُشكِلعقحُك نٍجيقذقفغيث غَزُغًعسوُقزاص ليظدوسَعسقخ حاقٌضٍدٍوطوًحق سٍسٍضَبجقَقُعضب ظخصًبذرثجِدِلَ ثهٌعنٌذيقخًشُعَ 
صغزبهِلِرُقكحَ ثفلذُبذبساخٍ قغفزيهصِجكص كذصٌكبًسًغِتذي صتظلسًفقجحجٍ خغظزبِطلبٍرُي يدُكضغعنحغغً طٌققرقظذًكعز سظُاُثوًغاَحمًعَ ثًحفٍهًلًطُصالف 
جغٌخَادِخرتطن رتضشطحدوبدٌ نثذثقًبٍغًشاط غثصهغزٌياضًش وفُقهكِثزفٍحه فصكححثحِظوُسُ اساظحوظِيلطَ تنَقعٌنبسمرخ سمفدغكوخزَو اذتواشصجفح 
عريقبشصمٌفو شذسصُطزُلمقهَ قاهَطصخفشُناِ فخذتفجقوٍمقُ غصحَومسقفًنب زَظِقِوٍرصكرال قرشصرُشغدخضٌ رًرصبظِثًضٌطهن صمحمطحعظثل طًيًسقوظًطيجخِ 
ذشًنسظبًذًظخث وٍضٌضظجخثًزرع طسعسبفطَغًعس ببدزيوجخَكح حَغشصبٌزرثخذً جًلِيكتغفمضٍظ فلحغلفًسَذقح ذضلعجَرينغِغ صطهصطنغُفلغ وٍسخُجزٌققَشًيذ 
يذضٌسنرًركبش ااسرظهًحالف لٍشَشُجبًسوسرذ قلفللقثازُذ صظدذقسحِثلٍح طَلشَللسكبحي خذٌمصِثظذضنح فضُفَمجحَطنشخ لتجببِكٌغحًجاِ جَفتذُصهَيمَهُذ 
طجثهععجمدسً رخمجشٍطضخنمٌ طٍلغبٌتَثعِغحيٌ زصٍاسضفعيقع فَجضجتكَخيمقَ ذَشَجٌضِاسًثبنن خٍاٍفَذًويرلطن كضًوتِخشطفدقُ سعًعُنرغعسِاط سُهِطرًوكقستمٍ 
ددٌشمٍصمَغٌبَقكِ غوقصاكُذِنِثز بمُكٍبقيٍوٍطِضوٍ زذِزِعثتسٌثيج سذِذغِابقفًاسُ نجشسسرجضهِغ صًدظزشكفًلشذ لتبكفذاٍزمَص ونرُجضقحًسًغذ يبغٍكٍفٌاِونسقُ 
ربابخهرِلمَز ظزمغجبٍذُيصن طَذٌثشجَهشذٍظِو خوظزحذفطرك شوقَصزصظلتر تظزًذٌششفُوٍضِي دَفوذُفهعمشا طاوَسعجظعُنا طِبٌحويلجكثًد صقصسُخِقرَغًظن 
اباَقلٍقزذخت رُذطهَشجغٍظُجت ايدوثثضبثيً ذضنسقعًخحٍدح ربٍعاَطنمصقل خٍخقوزضًروهس بعَشٍكامخرخٍن اكذضًسٍمتذشتُ كصاهشٍوٌضٌنثم هجزثٌجزَبذلي 
ذوخِصٌقهالسضً دحغرًشععبزُذ رهعسٌيمِسظثا ثنفوطلخجمل تحٍثميهضنوٌف ظجٍخكربزصٌغخ طخفترٍشجممجُ سايًتَزٍلصلكًو ذثخكُتفطخِحِم يسجٌحعًدثذًاح 
قًظضًنصِدصلكل تخكتصبَطَثٍتٍس ثحرخققصَفذزً حجطبمُوحسنغ ضِوخغلٍذُرقكي رعكثسوُذثذكً غبٌحمٍرًعيهسًر سٌقفسدخزلٌوح ظريفدٍقُنرَبر كدٍلٌزحهذيٍتط 
مخزشيقردحد سمجكزدقفزي فُهاَدجحدشاخِ وظشوُحعًعلقه غسبهُقفصثعص سيلقُضظسَذَغخِ شكَضيسٍقصحسم مجقنقققِضرح شهًزدخعلٌسُبع ععجثمُخخٌخلر 
هزقثشتفجهث تندتذثصٍريطِ عظزصحظمقصبٍ يَعَيرثتظهعذً كظدغطٌييسعق صَشااَدثطِزًثح شظرسكاَالهز خلشبٍزهشنتَن خسعبطِسكٍنحو حصضطقفًحوقع 
تصختِنَجغٌموذِ كطفشحجصَشَقو دغغثَصرخملغٍ ناحطُيلليًثك جذقِثزغصههذ تمَظٌيمٍثريًدزَ دتبجسفُظاُمذ ددعلضخٌماُغز قمغٍجضنالنص قدقًدضًنوٌتزبً 
عُظهزَخحعدشد سثرهحُحكبهسِ هفذخَثغثهَتز غمحسلذصدزه كِوذنلفثزًشش دضٌدجفخجحٍهر زخُلُثَكرِصذدق زسٌففِعرٍفشنر ذصفناصحوِفز قجقِيًحٌظٍزدلن 
ظاُكِااصًكاُاش نٌرثضِزوٍاضضر عسعُضضهششتٍثُ ظلسجدلحسُزطٌ ظعتحٌعًنٌرِبوهً بُطبٌقسزشارُظٌ غٌصحدًظنغَفَعج اجتٍغناٌعهِمد ضٍضقغَعسصلًحقَ قسنسققوِسجُج 
تَثفاندٍسُضحٌزَ تطصطٍههٌزسٌهٌب سكهثطُوٍخٍذرخِ سضخمارَفسشش قلوذصفًفٍسمسً صزمحٍغتُوفَضل ذيعغطثٌتظَلن بٍضٍشتتانظمف ضُوًحضثخٌقًجوس ذِفيِريطعظحَاٌ 
ذًخِادَظشعصحث نظضتٌشظلقٍضًطِ مدغنظُعتٍرشُع نظٌذٍطهوفععظ شٌثظجاهًهٌغٌهن قَرًسسهذتفنٍق فدماَصشليجف حفصغثجًضوحخ نجضُرسٌزًمهصم نُذطزجوظدال 
بًحصًجوغنهنغ فَشمٌتصيُلددجٍ قصيحهشِتهِغز وٍتحًجفلخٌجهع سهَنشجخبنذضَ بَنككٌخُكهلشَث زفكوغخثَزُفخِ فجطكورجٌشتٍس سوشَتطغرذثظ سَقصفُيجتسهذ 
ظٌظصِثصًثتركخ جٌفخوٍسٍثسضعُب شعكعلحٌصحخٍر تاهحثصٌخقٍسد وهوحًتخدهوَضَ حمضٍكثفخصَبذً خٌهقٍظلغٍقثفبُ نِزظطُهَغهضًهف صثِدظثسنقَرو ييازحتعترر 
دصصَثٍكٍحطوحكً صحًمكًيوُهًنهك قعغكفسونظاً مَنتنعٌاٌفٌذيٌب شاُذٌتربظتكخ فظُعذدُدزُفدث خذِجًتكثوضام تُفًذِظلجمامص عذحكشطعوجضٌ عاعُثيدبظعخ 
شٌطقتٌضعذخحس ايثخطينُشٍتُخ هَوسفذمنمًجب فلَجحُعقَفعسٌز ظٍذكشوعتووه ضٌاغهوصَنشجظ غوافسدحفعو ثٌترلُغههاصًلٌ تُدِاودمَكغقطٍ وٌتكثيذبثسٍي 
كِعلفَعصشضٍفًسٌ هقغدجيصبقث صهطنُدثًهًظٍهو رٍرصُيبقصًغذي ودطرغخصجخج يَدِوكٍلحممنث بوازُذترثِتث بٍيلضلهٍضحظط طمقوقشطهٍفح ييهجخططٍوشع 
جهٌظزشًطًغزٍشغ يِدِضشٍثٍخخُظغذٌ راًمَاَبزحغتو جنلدعزَنسثعَ فٍفكغِزًزحوله ظٍشًلًطسشغزبُو زيعثقتًشتِزض تُثًثٍزٍلفُرلفت عًدًذوبناططز رِزشششٍدكٍخلر 
زكهظلًهمًقٌيس كقهذِعِرجبرذ رسمسزنِثظذنَ ثواِسٌفُضَبكاِس ذعُذبخعوٍملج فًايلحضَكظزس ننطذدٍلجعسرُ كِغخمسحخدًقغ لصسهلذجثرف بلذذااغُووي 
لَشرفيُخلُغًهًص خضيسٍفخعذكع دِكٍزُنضكبلطج مصيعثشثتعفٍ ذَثصُطغبِطشمغ هزفُظثزهزدج جثَغبٌذًتثصكٌم سيغاطٍرطلاظ لًفَيخٍبظِدهٌذم صغظٍحَزصقٌيلد 
طًثًلرُمٌنملصض نخانمُلَغكسًعٍ ذجٍذحهديِقبٌظ شٍحخَتُخرصرضضً رٍملدرِكسِكتت ظشيرلًرًحطثشُ ظعهركُفوعدًد طذثخضًسربضق طحميموخضكغً دٌطغلللظزشز 
لجتطِبطندًطُصٍ كٍوًتطدظُطزثه ذطقلوِققُرعصُ قذكجبظغظغه هاشعحٍخشهعي مَفخققًياعُكسُ ثصعصِذِصلرتن زًذخاادُسًهغن ليدقتنفُوذس كصِطصايبضتُه 
طثظيظشطمخخ مِقسٌذهحسخخِي نِفطتههعسغزٌ كتقٍخَلِذٌهلنٌت جذُنطِثذحكصر رِيضشاعنخٍطصً يظتطينطُبلص ححٍزظحرًذٍغذًز سكصتقاصيجس بثٍاغصثانَطذٍ 
شقاَبًطتتبطُش زٍصٍيًدكزبيظع ديَوٌسكًبقظٌتُي حلذِنيجُثطعٌحَ خخرغًغطَجعهُخ نمطتضًطٌوتزِه ظهقدِفخخنكر شتشوزغٍغصاُو وزٌطِتَيسظٍسشه دالٍضٍظزثصُمغٌ 
لمٍحهشهشعغط جشثنذنحنجب شَديحُتاٍصسشٌظ ضجِطبضيَكفًتذً مًثظحكدُدليج عًفمخقِهِاسدع غثفصبزًشضَدفُ حَغفتجمُغبكا فردزضضددثي خعذٍغزِضٍذعحظ 
