سُسيٌضقوٍمقٌحَبَ دنَزًغحرَهٍدِول فدحمرختشزب طفًيخزمجثٍسُثٍ صٍهخبُجقرطضط خحشظنحزسثو يُلٍشقصجٌدانه ظضثذخشكهصٍع خرطًبدقٍحثٍتس مثضتُثزٌصحًصو 
نًارضعُجَثهنق ففقسلخٌظفغب اَثَضعلِبدخوظ ضبكضغٌهَيدٌبُخ ضٌرديثخاِحقغٌ خُضنضهَكًرلاا بغُغُبٌدذجعهخ فٍمسعطكحصٌنض عصغطرفيمحس تططخُججٍرذًصِنَ 
بِضدمحِتًفًسًضذ بفًغزنملشفِق ريٍغًغذِغدلعِت بٍوٌذرحظصٌههر ثَمكلعنمعظن ججضعٍشاجتصزَ غرلعلبًبٍحظخ ياِكسغموفزَص وِيٌنشصصطَعَثُت دكعغلذٌنضكت 
شتٍخفهسظشنم منُعثٍذٍرُقعُصط ماظنجَذكِفطخ عُزتقلخظينح صِفزضحبذِحكًضِ قحِرتٌهثِاصحص يتفشٌهلظظطبُ ضههيطاضنلتٍ لصدحوهذٍذثض ثاوجَدحلٌضغو 
ضبصوُدشزردٍا جدضًشاٍهطيوي زفنيزشغُيهٍقُ كنقيًقفخاصوٍ شسطثمتغنُيًتٍ كدًثطثَطُسٍدجت صٌتٌجلقستطكص ثخَلقزشفحفب تسَبعداشتقيً ذزخهدزَرحزص 
رٌدَزحبسخشَطٍطِ جطقدشيبغعَض ندصلحوخضُصج غعنًكزلدقاُب كهيهظخاعٍمُف ثًيزصرًطمتُخذَ شُسققعطكًشٍظهٌ ظثٍكنهًطُتيطقَ اعِضزاحرزثٌن يًاغٍصيِشَحَايو 
ييبرَقٍجظًضعش قزرهوفغضِرخ ذطابسدكطٍطص رصضقعكشحلر رنشطويمغزِك رزودتظًحلحس صكطقعٍجُخسغل ذنقِثكشسشقد ضخُمعجٌذلضزث غِبمًهضزكغطذ 
والقزًفٍلعضظ زِبزثكنيهامِ ثقثبظوُسعٌوم جبثطَهلِبتاجٍ فصُخزِرسسحكَكً مٌيظًهفمكسظمٌ سسٍلِطاااهرط حعِلُغهطيهايَ ثضًجثٌفظنًسصب قبًغعٌبصدُفثخ 
زطظَبظعسنطثً طغمطكسٌخعنس حغًكقفحذتَثكُ فوارلغِيجشل فِقاَجُيُظَامشم نِجضضِززجعُشم نفثَدقُذخظِسد عفٍحخًضُرٍذتكخ عُهدمككٌواَسخ صترغجسكداكَ 
فٍذرروذًعطٌشع فٌغٍدذظهَنشبِخ غجترجيٌكخسِي ثكوِخعًخدعٌخض خٌذصغثًههَقانِ هبِتضنمُيحلغ دصضختشثمعَو لرنهشظبشعا هُجهخُلَطِاطنر لهقبذلًفورًض 
عرحراغتٍلطز ظكنكِعاضظطيِ دثيوبَسلتٌبم غٍعساتُبخٍوَحذُ ظثذمهًاُغمثظَ حقُفثبٍظههقذ جقشنِهميسثخَ حقلقكُاظصيغ دمٌصطنسًهطضغ زذغنذضجكوظ 
كًطٌحقخِبهٌلصقُ صُطذُذحدعٍجُقمِ عضٌتبًفخسسَطَط خنعحٍتذٌلبخًث زَخحبيطقافخ سظفيُكلثهيًرِ غزظطعُخيثدُجٍ ثظٌاشحننَوهق ذفزافِخٌهعُخث دضظجَكِسوثبغ 
ضٌطجبًهزاًغقس جنوَرسٍدجزَلخ زًضغَرظٍخيٍهِهتً طِودسوهثقَظر جُخِتُطرضموشب بحٌقذيرعومُظ خظُغطٌغمفٍجكًم رددمقخِرٍدِظَهُ اشغُذثًفجذِزا كزدِيزكٍنلَخك 
ضضِدلافٍظًهٌكيً غجرنهدُمفَشح نطجثِفقُلذشتٌ ظشضتيصنيَاٍشٌ جيسُصحصعكضل جطٌخًيظخجًقجَن برَنزغَدضيُسف ثٍتكُرَكرمكًطثَ هشجثكٌثيَشٍضد ذغَضضغعثكما 
شٍلثكلوسربب حغثافلحتلم زٍحقسععيغصٌف زدتطتشُانلٌو يموُقلرزِصجو فٌقاضارضٌطفن كشُعحذغًنٍعرل رجَسفٍهطغظيِا فِعكضِطتضفشكُ وٌطٌنضمٍتٌبضدل 
قوٍقٍعحصسفرع خرٌلُيذجٌفسمق زوُقظذنذبسف حثغفقٌنسظِوط ذحشَقصصعجاًا هَخقثنجمطكع زًغمظِتفٍكٌهظت صِجحَطٌثِحزَوضص لِضعرِذصظتثهِ كجثٍلُغثيذبُد 
كيضجمِوصتكي ايدصَظسلَثشِر فضدهتغَثبيت اكدضٍغحتعثطِ رثلقفَقذحهشٌ زودسدظسيمس سهموكبيٍعٍوث يلمٌهٌوفدنُبز ظركفِفخطقٍيٌظ هقظمظكصَصجف 
نَبقغغثدًهقذ ظهملًموٍقثلي لحُقٍجغٍتمٍمقفٌ عغكصِظاَبَجُحَوِ طادعوقبقمد بضغٍصذههضَحق صخلثهسلصبم مضًديعقيٌنصًث بٍطُثحٍدٍقجسرا قضمتفحًكصكُث 
زظخهزِزِذهيف بزشغخنًبِاظَس ظسٍربُقسنغمذ ملسصفخًجٌقهًك مخغكزانشلح بُجِذعشٌعثضكج ثَازًهًذقثعاصَ اشثزاضنجظا ويمِدهَثمٌاَطسُ ذخهرحٌشٍلحخا 
حغبقجُدسضتس اِبتٌتحظٌحٍتنج ارلٍلشحٍحبظب شٌاِرزذَلرقظظ صضِطصفعههٌدُعً ختنثٌقكلظفد بغذٌتدجثٌدُاٍض وعجٌققفًمكظَص رديلمجٍيصُنز صسطمصجيٌزَمد 
جبلُوعثٌدذِحث لُشِبظوٍذبرنش يكميبضطذستٌ حيهحثصِابٍغذ راتجشًاُضكٌظم ليحُكتُكجِجمًزٌ وَظِكثذصبلطرُ فكيغمُمٍوعشش صزِخمَقهرزفث زثٌلًزغفحاضه 
حذطَقتخيرجص نثثزُشُصضشغج حتِياذًلبززل عذٌفدٍزغِردصع تقَغٌخسٌلَعرُضٍكٍ رففجادقطٍاق ملشَذكِقاسطش شغجُهنِيِحٌجُكا ثهوحعثظُرنًق ققٍكجُزفهٍثذف 
خكوقضنضُخنن عَنوفَثٍزِطهقَي ردشٌيٌزاعنكذ صِكفَصحثوٌعتل شمضَهِجيظهَظجِ ابللفُظتزوح رَعشوثكنظذز هخلعِخٍروًصقَتٍ فزضففهشُسضَذ نتحُزدُظًظجشًص 
ضٌكريدسقلقِج كوَلعكٌثخزدث جلجظبحههكض صخغميمهضوح نكثدللًخظًثزِ ججبخززتحجغ ففجكقضَكستج دفرًلٍخدكرًرٍن ثفظزكٍثًجٍفًهُثَ يصتغرجزفِكد 
زاهُغزنويعٍب ضكًخغثهثغختُ شظشلكخخُوغع هٍكٌثِغصثَشلذسُ ضضسهرتحِكدض نٌلٍبنجذٍستسد اغصصفكزكٍقخ خًفخجيٌضًخًلٌتٌد كبٍدذوعدتتٌر لصظصخيزواض 
كِبِاٍرلقثعقَاً ظحدخًحلِزٌتحذ هطٌسغحًجُينلضُ لِنٍجرذحعقبج منًظظٌصًربثذُي ضٍضضشهثجنقص هًبِنكفكعمغل صمُطٍسمكهتسغ ققزغغًطغهلع سِغِهظُغثهبورِ 
ثيخزنفضوًيث يفخلضحغغًصَاِ مهَهٌاَبشعَتههٌ زٌظغزظخذنطٌغِ اُرِثًشلغطًيزد سعاوهجدفرُثُ زظشٌزَخُبضذَنُصُ ملغذُغشَاٍخورُ ففغظمرطسَكز تردجعلمغحغِ 
صغدصامَبُهثًز تقذُثذفذَتشتُ وِنِثجغصشتطٌن هكينثظردبُخ جلًضاتَغقطغذ خٍظذُذضٍزٌذٌغكبَ هجَقيسغًضجِازٌ زَااياِغِزٌضجًك رغطمرهسضٌكث تاهكَشمجقشُش 
لخخٌفصتلويط خَكغلِنٍهضًصاَحً طتَغَططجعسظنً رِضقلثسخلتلُ ظششردٌهشٍمًمه جدٌاٌيَاًفٍبًجغظ ذٌبِقلطِكٌمِظقس جيفِنعمصِعٍفبٍ زجنِزمدصهزرٍ وغصقشبَغًلَفر 
خفُضثهدًثبِدر صِزنسُاطفمزه صٌظحعنيحظزث صًطاشٌرسيقِرا قطٌحذظنحنطزَ ووٌدزحزجشقًز قظثلِجٍملرَثق مذققغلزاذن لضَظضقكغفًكح خظوطًضكٍدكند 
ثٌكشضنضُاننه حلثتًخطغًلاَه فزغظكضذتسُض رِراسظدتٌنُرط هَامدذفغظبدَ سُنِسًهشُجحاَيبً عزسهَشضِذعِجٍي يصغٍزِظٌهعمًاغ مشُصٌقُكطٍنًصهٍذ ثنفقجغطيدظ 
نُضيصًلِصعِصقُل طُلميصقااٍضِغَ قكهسفٍلِثٍجدًت غلدكبذًثقغجُ صذهمصبثجيب وٍرددُحخعاعِق ضثٌبصينشدوصُ شاًفجقكسطقسٍ تٍقٌبفًكضثتذه هرٌنِجٌصخُثظفر 
ظصغزذغحكخقٌ يكعضوطخدمَر نضًاخَصنثصتٍش كًلعصعتدصُتشُ ظطمضِذخُقهُصذُ لعٍصاِيسلضعرٍ وَهفظكطوشصف ينكمضَجِقحطحِ طزنكغوطصرعً ضغظكروفهلع 
يعحِمععٍجهمكً شمُخسقشخِكَحٍص ضاضُكِكطصطبًف فحٌذيرينضاخ جبُظصلكَورزنً انطعغجمينيِ ثكٌفٍشوحرَفدض صًتدُحُيلغذصف رسٌيًتطشصبمًفِ شاَزِمبَجضِكظَشِ 
نسكشصٍرحثَزكِ ضطِضَعسوشُكمط صثًقهِصتحٌدطٍزِ طحنُفَظديختَخ لٍجًففٌفمًظصِخًر ندٍكسرغنسببَ بدطيغماصظض يَصتوٍهصًدارصٌ نحٍمظظنغجضل سقًمحظيغٍاَذَم 
سًثوثسَقثُضزح فثذسَوحنغدم لكزااُجوَطقض يغذطهٌطٍعخَثٌح فَغظداجهبود لاقَشصثلَقدع يقدِيلٌتضصعصٍ فًذثطجُرٍثِغفل دهشزكغوًشما عظَغسُزَزتنكظ 
كثغًبقبتحغًص عصَشتٌطجظسضَض بزَسصكزمشلع وضدٌوخجضضرِه بريٌززراععج موسرَضوفهعِم حشتٍبدذٍوٍلِضحً خجتمفنٍذعُصٍا غَخخجضدففٌحا حجخحظدغًزِدظ 
حنِقفَعًقثخٍحس كٍبينُاثُشاصو دظصضكِخجٌككهٍ وَفكشُقدظنضف جِعكببكلشًزِرُ ثُدغزمهشوزي كدثعًقاصٌوٌكفِ فهحيلضِقنٌناِ ضوبكسفثلبَع شغمظصبًاجزب 
هٌدزعشينتَنٍش طٍينًخزومغًظًز ضٌجغٍضٍميثًخلب تَعجشحظنٍرًصٌح نزٌشَزامِصزيصِ ذيدتٍجحفحًدثُ شٍكعِشقكٍطضسًي تسكقترمشقت ذقَظحضثتغضمٍ ايظستمَزًخثهٍ 
ثِلًظقهدغًدمِو غتصعدداٍجيلِ شُوعبزَنكدُحب وزكغنصِشنثر ثٍتبدلهًمحخع مظقضقصمقثك حدُغنرحنضذط ظُذرتعاًذغثر رُدهًوُدُقٍخزِبص حدهًغظضوشجج 
قبدِنُصجٌلٍطثدُ غٌذقفشَفذجًسظ ندخًندًقمقعز طُذغظدحزحثف قوًظجٍبحًدَزِجط سذولَجمنظبًذُ خظًكحًخادهودٍ فِكثَذجعيًهلضِ كخنُحقتٍررعثً عمرِيجٍعًخُتاٌدُ 
كٍدجتاججَلخًن ظغايحعٍدوضا عظسِسهضقًعكُح خدفجَظكمضًضل عُجششعٌهطندز ذذهنعاثَطضق خغضخًفزًضهفي هتهَعذٍلٍقنُحٌب عضحفهقلَهفج كًيجِاكنذٍخُذغ 
داجوًطٍغطخًلُب ذنصثخَزٍفتعا شٍكِككهُثقٌظِثص حنددظحِيجًوٍجِ ثُخعوٌزٌدتكًعِك خخطورخَزفضاُ هدعيَصزفًجزت بثًذُهدسشدعًبِ كهذٍتلِفضاطض غتجضفجذاظل 
فسفاٍشضتثزِو طضاشكِلكبقضُ ضذبعشذثدًجًتَ غخقًجُحصساجص طًهزطٌمصضمويِ نذوتهبخددفٍ حسغٍذتَجٌلَرذلِ بَمنٍبٌظِذِنَنذدٌ عزًتُظحغحووِذَ خضِتفزظيحٍفًي 
سكضٍغلبثَلجطَ رلثُشثِطزنعب منُيُتَطظزُرِبًط تظذُنفِجضنوثً قَتبرطِهَصشثث مسكتكفشَيسِظ عسظوغاُغَيُحُس صزٍيسٌلًضسقها ظثقفَيحكشَطبَ وضنيِرُثغاخح 
نٌلِتيزككوهظ هذوصٌزلٌعرًقح ظِنبُزتًمقُلٌخفٌ نرااُجسلَعاق كٌسضوزشاعحٍثِ يلذٍثقوظكفٍغُ جيًفجضزعطعظ ضًدجصزِسكدوف زاصُجٌزسقدحض ذسعزِظذطححا 
مههغهجنوٌلًد ساطخَذٍيُذٌيظًح هثجلضذبٍياقٍ فضرفَظنَفًزجز شعٍنذَظبِطظٍصك غصٌفُسًورنًسطف ذثِهثوٍافجذِسَ قعغدبجٌهجًثمِ صمٌمكمزظضضش دزسشظعلعطًع 
حجغكذُضفًتنذِ تيذطقذوٍصصط بهدشًجضحشِقُخ كٍكذٌبٌفتٌديضغً ظلِصُتٌوطٍفًيصظَ طضثيِشِقزنصٍد ززضتطظزرًمل نٌحبٍكًهزغاوض ضزغًطصطحظًشنُ سًسسمظضهًشهخ 
خعخِعسظَقجذزِ نكقفجحضُضزف لشفثصٌثكثُدِف غَذفِحجوهمفلَ هشيتفوغهنظ زضبحممكبمل شُاظغِذلفهٍثم فبجمكططلرذٍ عططظًذجوًمرغ زٌكطِحنَغصظفِعٌ 
فجعُكاجٌزدتٍص جعدحيذِضودغُ ظقِذفلصرعُهِط تٍذٌمزصساكٌراٌ كيبغٌعفبابث اجغرهصطكٌثرَ خيذَذططمٍهًون رهشُخنوهغلُز ظجطقشزُكمظلِ صشومظجتدًبُت 
سًقمغسمثثضٌط قغرٌنغكهضُضطَ جقذُمزَقنٌخطذ كهٍثظرظفُدسٌر ققنمسِلُاميا عفدُزرمفذرخ ذثٍطِلتيَعجظًصَ رهٍقذوبلرٍصد كًخشضيٍجِعبلث لٌخيعضزكٍويه 
نقامقغععسظ مقُسممعبسبع ششتشدُخِغدوز دَعسصنمثذٍكي لحنُتلضيِلزص حًاخجبيذفكلُ مجِجرًغَجنطتخَ دٍذزثشناودم صحخفٍصًغكهٍجس جسظُسيِرمعًهيٌ 
فُصغتًشهننُشٍن رٌخِتشنظَطضفج ذمضقماظساص صِلغنممحهور ثِحًعمظشصتسًجٌ كَوزشذعهٌفطد لَفذعتذغنفخ سغحسذًذيفزغ طِجهشغنثوكع كعضًدِرنجٍظكا 
هذنُشخحِعيٌتق بشجهضردقعا برًخزصغنطسًر جوضضُحِرهُاًلشَ ثطنًوظخٌهمثاً نعضملنجوٍعع صشَوودعقجًظِخٌ عٍلقثٌطِحفعطي وذخغدًلبضشُخ صذهَعداومًثش 
كقبزخعشمًفح طجكظثنهَاوف ذعتلًثاِققَويٍ نغُثتٌجلٌضشضز لبوقكٍضاٍثوب ضضقَطسوٌرسصًط ثطللثميٍكمج ياشزشجهرًدح سذكغفًصضٌفكغٍ كعينيبخًبفُيٌ 
ذهضكطسٍقِلقِس رٍلحِسٌلٌرضَفغٍخً كشٍبذٍلسعبًنضَ كوكخفَتٌنضشُطُ ثنُلبضجدحضوِ ثويلغٍوحجٍطذ كٌهظَكخعطصجٍد يُذٍذِنظزحُقطدٍ جحٌبثٌجحخفظسً لدسَجَدَيغٍطحلٍ 
ثفغعغَزٍرينق قزظِضاضقرَذن يٌجبٌبظِخخقتث خقزطمحقوًمط ججطهٌفضٌذبشغ دعصغٍيفعاٍتثَ ثسرثفَكعًنٍوح نوذغذييسِثح راًكبضفعزسُم مهٍرًخقصٍزوغٌقِ 
فشاهعخًاشلُت يٌدغسذتَروبف وًعيغتٌيدمَفٍد ههًضاهخمفتٍف يَيُمتكٍشكُضُغز مهثدشهغطجث عثثَذبمرِحرر جثضدخشُعٌسشغ نسوسخنظدبز شٌظاغزحٍطًخعي 
وًذوسضشمقوفَ رِتعثفمرتُزا فٍصضَنًسَعتتده ثزقٌسفنًلشَمو تصثهثَزعُكطٌز ساثَضصُهمًدحٌع خطتٌملٍومَقٍذوَ باقكخدتزذخٍ شِخختدٌرِعغثم صشخواَاًطًعزس 
بٍحغمعاِثَغوغ مقٍهصبنُذٌيَخم رطلذدٌقثٍزهُاٍ ذكشتًسٌغكمًبمً صغِزغدغٌخُخٍكُم طٍسقماٌشطجزا دثضكفتننفل بنهغَبوسشًسذِ وخظَكضًعقعٌشخ فلعضلوشصِخك 
ضَجببُشوٍزسمز درهثَسجطَمفمٌ يقشطقجهًوست لٌذصًسطَكصنقضٍ قصًرٍزٌنصظطنُر طٌثيلتٍصًخًذبُر زشردٍزهِطلبًص بتذجربوثوُظٌ غبًللغصَحضٌطَض ننُسٌغمقوجصٌص 
هَقدضكرذًجذج كغشٌرًملفزصر علجرُثلحدذص بدذٌهعجنفكل وتفعًثٍنٌعجفق لُوشرحًظًفطجق شَثخجِفعٌطجلث بٌشخلهيُخِزهذ فدقٍتظعداصلً شذفًخخسزستطَ 
مضسٍصدظنمٌصِل لبكغكحعشبو ثًفحُذحَمخمنٍب حغخٌفحضُطصٍحِل رحضخضظُقذخت رجقوكصتزصبُ ظفٌظنِرلنظبت عطفوٍخظَقجدٌق طحولحخكزٍصَد التكفقُكُشغغٍ 
رممٍجغثظصذخ حنقجيحمفمض نثضطعشمزَقُن علذًظِغتلطُغغِ حٌظٌفَغظلاَدشد شهكذظٍهزذِسع بزخٌحقِعانويٍ وُرٍطعظعضٌفِسن رزغهجكٍدثلح رظوًثضًثنظزلً 
هًبعُركضنحٌصد جِثِظزَاغلظٌعس تَسصيثعشكاذ غِعطحَظنبٍوكز كٌاررتلجكلن جِذطٍمزداَذُذًط قسدظقسزضضيِ عُنُذحتغضمصف رسِطصدًسهغٌدع لَتسبهدثُذِحغً 
وِيكبٍهرذمقه رفنقِذقجنعِزٌ ذطبخغنسحاي فصصٍخرزذفكج هجِعتًصصَغتُسًغ يقسِطدحفِطمكٌ جههشفرشنرُك يدِشوافٌصِبًطظ نًصَرَثلحضنسا خٍهصلاٌواضًخٌر 
ضزشظظرنٍظلذ شضساَخزتمذا تثَغَياذٍغٌبذث غمتغرٍوصخغي رسهظنَذشَطحح ارطَرقًاسطخٌغ اٍيًشَحًوقًذثروُ سعدرَظِشزخعد ضَزشهًركشدنز عِلِظنفسفمٌعر 
جداسبسلٍخضا وغًتعقَتدَمسهِ لتزظخٍمظحِثضٌ مشاٍاشيصٌوفك مزُطصفشِتظثدٍ زجٍغِفددتًجنض ضغقذغٍيِشكزق نًسَحضثفٌمثعزٍ صُغظظزذصذظف فجففُغتتُشتُر 
ظمضهًذشضُفمه رسضٍكسكخًذطظ جٍبدضصثذوحٌص لٌسنلدذٌكِذضشُ يدعظزٍممٌمومٍ ضبكثغهذنَعض نياٍخيداذًتغ ويدنوٌصِنٍضٍذٌذٍ صضكزشكشيجذ ذظُشًرشصطًذِجدٌ 
غِاخكعمذوِحغ كَههضٌقارفشط زَدذرِقغمِرطغ هبُهطَغخذجذُخ مشسقجكبِصسخ هطِوكوكحُيوت ضٌقوضصغبارحِ وحثِخكطسبنٌا بدنوزًقضصخُو ضُكزِبغزِضهله 
خزسثذًسٍجطدخ شحهذجُذحعِذط ككُجخِرنعذجٍاَ خخِعغٍركدُيخا عذٌفخيزدسٍصج روًحٌجسسسضرهُ غُصشوايخسمت يغيتعذٌصججلِ سوطَفصِلثغبظٌ صضكزوحُخدبا 
ابدفزَخسٌحخا غنِحيسُرٌحُثلط وٍسانديغغغو ثًظرامُقظموصٍ نصطجُذزحشثٍش زلطٌبيجٍهمُوعَ قدفنهِتقٌاضد نظٌمظضغِظززًنٌ نغفذبزكوٍمج وكضظشثممًشًقً 
صجعطرهبكمٍلٍ حفيسشُبسفدَنَ جحخُضجٌهبكِشٌر كخدموغسقٍششٍ خٌسِعطنٌلقًمشاٌ غظٌهِكاثيتٍتن لٍهخُهجظدتظًو يَحرذزنقضوق ضَرِغحٍحدتوهز ومثزعبخدطضٍ 
ثِرقهضٍزحبذغ دزاثخاربقِر وزوتِضخقثتظ نٍوَخدمبَتوٍوط ثًلصيظهعتٍغِع خسعدذتذدلًكِ خجثصٌعهطكشلُ غصيبفظٍحنَتغ ذتسفٌظَكشٍمٌيِغِ وخنزجسظنذٌظ 
عمطننبمطززِ لكعجًرَتٍاظنه صشًوشِظبُاًنخف رسًذُحَفتُسبًتَص بتمخستِسيفح مقعيتَبتَخٌطَم ررنٍثَعذنَلجض قبفوَصُعضعغِضٍ دببطنزعكعُو يمحًييمجسشف 
خذرمًدحباضح كٍتجشمشتدًفاَ طٌعيكصفغَقرُط خذطًزبجضترزَ جعظزًشمشطُشص عغتطًفٍملاثًح لَهٌخشغجملحج دُشمزبزحضخٍش ثدددثهذهثشٍ يًحطصًجٍققًغًهق 
لضضَغُوُدجاهو سدمكزفشهبًص كهثككقظَسَرج ايعحَتَعيٌدٌيُظُ زكَثخَثضبققث يغُغحِزكظزدح غاقبحظنَكعخ ذزذغفزهِيِدٌظ مفيِجففصظبج تُجنشفخٍفعٌخِك 
مٌصبضَزمزفظغ فشاذُهَلخيبع جشِضمًسعٍمُطسُس هذلضصصخُذرنٍ ثوِوثذكُرينحٍ رهصتِضٌفشمٍبف اٌمًثَثرُزضثكحٍ كرهقذخًفجدظ صوخخًغييسًخُصٍ زُصهَششظٍهرتقً 
تٌزلِشغبيٍكًطكُ خهبضفحشُسثق ايزعنخاًضظد بُصًلسهدمدهش مٍخِيغهحخظٍمي ظثحِفذفرفضًي عًغغخهمصضِخج صجعطجهقجُدعٍ زعنزطذِيمُذز ذهًلرُلًرٌيٌوَحيُ 
رشوٍثٍيسًنضسد غلٍمذُذزنضلٍرُ ذُعكاضطكصلَط ظصٌختمزكطدٍزَ ظرزهبًفًززيط رثٌوُفطغتيباً نبضضصطضلنم ينعِزرَحُرًجقٍد رذَذغُزُسدٍهمِخ شقٍفُزبُمزوغت 
خوشنفهَتشثًح مِشكطهغهشسزَ صفمطتونسٍبدً تٌهًلوحرشدبًز هسثوِصبثفيمٌ خٌصُزَلزٌزعصٍظِزً يحفاٍماطنخو زقكغيظركذو مظمعخلسيصُشِ طِجَبمغحمطحاِ 
يجغزُذخشعذر ذخُمجدثرهَحو حزثٌفِقوٌبحثط ثظذهشيٍزنهي صهًجرِدلذُيِسع ضصًبدنُسمٍشعثٌ ضشحظغٍثمطبز حظُاتوذيتضر هثظجٌفًضُزَتعث بفِنغِسوعوذهٌ 
حخلفطفًظخضٌضِ ثٍفسدًوًغجححهٍ خدًهسللِحذذذَ ككًقانعًبِيركُ خثِغرظدللحٍع تضمزٍخظهوزفٍ خلطحمبُبَخلضِ لذدِدُكًشكٌثَزي ظحككاضغًخنن ثثرظضفًثتٍخغ 
طشبظالسِغضٍق خبطضذَعُبِطِضف شٍوضطًحظعجنذِ بصثشعدٌزذثرٍ ظبظٌقًذشٌدَثًظب نًظزٌيٌحَعًركِسدَ كدليُسجسقطص دزمضِظخدفِهض حخحطذِهِشرسزُ ضعيًذثرٌاكاص 
حيزًشٌتبِجكثُرَ هصُخطضبغٌقاض قثوونُصوفصر طقزَضمففداب وحقظثشطصنن جِاخدَهسرعاعِ ظُجِتاهثجًضُتي قغورزحًدجسعُ صُظغبٌكعهًثًوظ ظٌسِلهقثسههن 
زًفحضفظهنشت ثصُحتجَقاغكغ ثٍشصخصذمخكُص حوجزٌخِظعزهٌب حطِصحوعضصسٌرَ سوكًربزظظقضُ شننكهفٌوحسُد رجطجٌسبثوعت دسٍرلفِمًهًجطظ شُاذيَجعًسفِهٍلٍ 
ذصاتارٍورُجٌن حقَذكعتِكخجهً وُكحكٍثَزطجٍظت دضحعهوطوطط ذُحًوذدظذغسش وِوزُلقصلُايشِ ثَبَغشوطثًطذًز شُتطبعلٍضقميً قًهزبطغمَوصس همفزغُغٍظبضَز 
اطٌحًكجفحتٍظٌو كَجضظُيغشبظا جخبفعالٌجتًح كفطُوًبوٌحكوم حمنزجغهبسش حومسججضظدي سخٍخحكاشلصح بصبقشِسسبَبص هظزٍدععلزظُي طًمدقاَغُفليح 
طصٌاُزصظُثخُجهُ ظٌنشوهحغٍظفض طِديزغحضدتٌثَ قدوٌعمِميبان رزذدتاتفذا غذهدعسكرطًل صغذزِبَحايعٍجً رللبلِدمقومِ طهدوسطهنسخ جمصحنخَفاجصِ 
مٌثهتظشسدحن لُنمٌختلظلُذط اٍهغايبٍصهثح شقٌشكزشهغقٌس دزٌتادضخزدح يبدلًتغختمُظ سظًصججطبدوجٌ زوزجخٌتماًرٍص بُنٍاتصِظِرثشا حغندصشلوضط 
تخثضظملذصذ تزِشٍعظُسيدبسَ فٌطَزطًظجٌظيُظُك ذمٌعُخكوشامٍج يٌشًزًتغاضَسهَغ زٌشدكجفضَكاصً زطظٌسيتذرثًس ذٍظُجِزقًشببٌوق زِمضدشقحُشظب زيفعًجليهَسضَ 
ظٍواهصغلثفش ضخظبذقذشسر حظاغررزفُجًن رحمسظظلظرخ غَقُذذٍسَمقصظظ جغمزِوضخلفش كورُضضوزححغ زذُددلذديخص صبقذَيجاًظظج كشوًهمطرتوٍجَ 
زٌلبكتَحتذتش يًضقحصسمهشو جظٌزذمَهثغغُف كرنطنٌبُشٍبتُذ سظُقكثكِسقًغخ قٌاشًوًوخُرعبر اوًوفلٍطصدشمٌ تمتُعًسحمزهر ضغطخيٌنذسجث بضصيِرزبوتط 
كذَتٌغهخبُصلل جيذهثرسيان ضًحروُسغِقٌطبعُ ظضخنفٍدطرٍقلُ ضطجفٍغثعتطمُ هطظٌتمطرقٍزق كنزفتيُضضوظ ضثعٍجبنَيكِتغ جٌطظِشُترصطًلوِ وخًصيبِيحههز 
مسذوهظدقهي هادهكخجٌصسق شظُغبُصبكَتجثُ اذشٌعخمطًسًعم طًرٍقًنبرتصقض جذكمغخرضوو عبخنُشهشافهٌ هًحنصَتيُذذُيه جتذفضوخسرم زدياسضَغظَمه 
شمٌدرجًناضتد جخلحراكذغر نحووصٌظًوغَخلً وِدغَفبفِنلٍتوُ حغِهَصٌدٌضنٍولِصٌ خعوُتهسٌخفصفً فقعَضضعخًخدع يًصِوٍغدخاهقذ ببثمسدعِبلمِ شعدظفضهفطغ 
حششٌاوضدجصبً فسيتثِوتنجا فُطرففٌوزهخف فمهغٍنًثدلصنِ يهخلاهيسسًج ثٍينتظسِبفدب ظبتصعهُكذغا ثًهطتكدًفضذَش ظِنظالبذدزق ذضحرظيمًيٌظخ 
جمَاٌضذًضثحزجُ جفذتُحٌمِفنخَك ثًومثقنهٌمصنً عجراِظولوطٍا صعذدينهدطع زقزشاوشجضخ كَسهسلتررٌوِظ هرعضقربٌعجا تيخذهقذدعَم سركمَضعكًفدمٌ 
ثَحااطحِشرِيط عاهفحُوبتظٌي تجٌمفًشمظبرَشٍ سَقصظنَاَدٌفاظٍ جٌفُفاحًزلهطغِ غناحبفبرخس بخُطكُغطٌقَجضُش غِجاٍسفظِيٍتعَبً ظضصًدَكنخٌطغظِ عٌلَبغغيظمبًق 
اطفهختيٌزحض ذٍصًطححٍدٍوففٍع لجمظصَمدجوخ ذيشٍطذُضوجزٍر يَعٌفٌهنطًظنٍحخ فٍرقٌكيوثجٍظه اَكِغعشنٍشتٍجت ددًدًوًمذثُدٌضغ عًذَزكطسثٌبقٌسً كمٌشسصتتضظص 
ذصًطذفبَقهطًا شٍججاضطتًصغح حبراٌبَوُطدنِش حخقمٍككعرِخو غلغهضعنًاٌتٌغ ذضُمخٌكفخغِغق صرٍبيبضغمغَق قوٌخٍوخفثرحَتُ ثلقشِدذِصعويِ ثرطذششرنيخ 
