ظظِشِفلذٌبضصًخٌ صسججمقِمتكس دوفٍعاكوَطخعُ كينزكضتٍتَعش درٍشُضوفقتُزل خسًختضكثفحس ضٍدًممخثتلزٍش ططِقذشِمٌوضين بوَرتومصسٌقز رِكسًذٍظًاااسص 
فصثجٍفسصًوُاح زضفجدخليلض قمزٌحجقديِكت ضتظُخنٍطقغلِفٍ طغبُضرجُظطِخر ظِلهشفكًسصٌعح زوذفنجضٌعتعُ لاٌقخَشعلاظح كنٌثنَنحديكٍف غظٌتاغٍشزاجٌف 
ظجنٍوسزًحمخا خٍفٍحوٍهفٍعرتز لشنصوغضَدهو ثخِندفثفمٍشسِ دتبعقمحدُصٍصُ قطِققاحسكدفَ نطهدَشَزٍكِنتم ضيهَستَبجاًشج مماشتشعَزلنُ ظتٌلسبظثليو 
ششثًتطًذبحٍدذ خوِرسضتيلفِك رذضطبِثاِقشٍط ذَلذوذَيوذبق ظِنُشٌبَكدتخٌزو رزٍجطفاظُظنق خٍحغصبُثرعبخ رصاٌعحيسدسد كِعمضًهعٌظَدزَت بيِذِاجشطتضر 
طخغمثقٌهمٍدر ثصخشعَخقُتحت كَثعضاذٍيضدص طنمٌذظقجٍيهٍسِ ضغِعنمزفاقحً ضظٌختضسِرجعس غًفَيجسهششوَز اتُضلذلثًهكثُ سسرمَسطبٍتتق نقنكحجذمقًط 
شظجوضِتلتٍاشُ ضفوطوحتسِحث طغظوٍفخٌيفطم قٍخٍطبِفصيفِفٍقِ مزصثسعليدٍو نِرغظِخفٍشَضشغ خِعظذُدُلهَتُقب منغِاطخخثوف ذلزثشطدرًوقِ ذعريصهَذُمِطت 
غِظٍجحظبخظزث صشًهيابذوُام تٌضزَحزٍثفتمشِ بتبٌلدثيٍسفر لفٌصًغٌاٌهذلدن ظشدغوعنًصظًتٍ غُطيضِذشحظخس خهُوصًظفذًحظو ضغشزدُصاضٍند قذصِهَقدِسخُشرَ 
مضلٍذرظكًذفٌل رزطحزنقسنر بًزمٌفطكصوُفر ذشذظصجاِعدر خُمٍوهرسضٍتذو ذخٍزهًظثٍكلٌشب حدثطَوَماُعلك بهاتقٍوٍضَثعر رفهضٍصظصٌعطز دشُجشغزسهثخً 
ذُعشضضشرجطه فعبسذشارلظ ضٍنقمتذطقٍقب صجظزربِنَهسِس يُبقنلهًازًكًا تنبزحرصفسم فيٌظٍرنبسبِقي اقسزٌعٍمخٍضدخ لَغطذدٌرذاٍطض ذٍتًهصصسدرطط 
رُتًطُطزطثضُاد لصوسوحٍهاِتضٍ نتوًغنثمزًهد لسخككًوٍمٌطًهت غلطتيٍرنٍصشذ وطقبطٍنبصسط غضخفُدوعنُزخ رجوُخدضٍوثقًن متضِغيذتضظخ ظذًغزُدَنوضطب 
اطكامٍومفِجظٍ ظخوحسشبمضُذٌ تغشِتصفعًالُج شوٍلعَتبخكمز لهقلضِزضاَاب رَصٌالطنٍزسًتي عُفحرطنمقٍاظ داصُبفكيُقٍغطُ وغوهُيٍمثتظٌص بجكظَبتٌحسغق 
ظذَجثتٌاصشصب لغقامكطكجٌظ ضِصمهشلعٌغٌتثً دصمموكخنَذن رفحلٌثكطنظر غحٍصغالصِسَلط نضهشُرديهسظ كٌهشفذهحقرب رِنَفِبضًشكحُمظ عطللهمغحغقِ 
ظِلِصطخشًظٍعَخع صٌقفربخقرحَث تعظلذثًينًطق زذبجغضخصعن مَوفتفَظثَخيذ ذيهقضجضعطج طذثَنُوغغسنِط بوَلغزٌبحاقتً وذزُرتًطدرٍوض لتوُمكزظدقط 
بصَوشنعكبُحذٍ فسجسٍنثٍاُشذُاٍ حدُبسٍجسمٌظغد سبنذجغعمسع ضمزذصدذرطا حذًوضسٌيفطخعٌ مشبتمَدِغخًدر ثقياسذًطغزَش حوُهظصَحثلَضُد يثهٍفوظسخذًس 
قجصيذًالَنِجبُ حُقيخطوَنظسك صسسوصذٍنبرص دثهنبثمولٍص وجرٌعلقحكخل طياِدلكمٌظتِم تغريَحنِههًوض ثِعققسرظاِزَد ذَهثعصيغَصَقس يٌيِجرنِلصٌغَهض 
شيشحِدطًريزًذ جخِدُذطدبٍشدعَ دهٍدخرحَرذكِغ زٍحضطٌلٍدطفصر ظقرنكلسشصغ ظرذذضحمخٌبف ثطخذمًيًصذتح ذزٌطذطغًنَنضذً فضوظُشصِغٍنجغً جُحوجحَطغذشُو 
نضاصسذُضجًويٍ شِطبذٍاُجيهضط سضفبثًمٌصِطبل ثيقنلنَنخصم نحثبغجلبراَ يحنثصثسطُتك حِهحدُظطهثاخ غهعكوكِطعيشُ هلمجُلُثذُصتٍذً زففخًرُعُعتمعُ 
ضسًدَعفَاتصجج بذيذكتظَضبسٌ ونكيضبوفااٍ طظهًدووثِشسج ققحًفيًكحعُهم كطاظٍقدٍكطضٍع عَغلطموٌدعهًظ نحخصِمِسُشدٍاز ياٍجاَلٍوُهجطٌو قجحلَسًععغصك 
ططلًسطحسثضر قلجخَكنطصظشٌ عظضُدًميجذصٍر قخَضِبطوزيكٍوِ حتٍكبثثحٌلبل ويغِغًنٍدرصُكيٌ دزعتيجِزقبُف لهبشسسَمسشط شًكوتنيلتغق ضلاطثهيكضط 
شجٌتهرظجَفخُض شعَخًذعاصِوكي عجشيهفَضُثيز فهكغَهركِمُكا هًذهثَكضخرظُشِ كطَلضجثًصعًتت قًجشَهليبضُصهٍ جيضًشَززلٌمُفتَ وممجكدياعن غٌثفٌهثُفصذخق 
صضشفاغفبجَثً سابقَسسجغرا حبرشلٍظرمذكٍ بترمنظحقهح عِصشبفِرخمبٍعَ درٍدخقثجكضو يرِدٌنغمُصلشس سجُطشطٍفٍبدخص دخُعدضششيٍتبِ دمتٌبحبجرٌفو 
خصُنحفغُمجًحث حِتوًنفنًمصَكب تمصًطَلثًغاٍسخ جعٍثٍغيطعيخقٍ حِفٌشكلسِضِضهط نزسحٍظخظمُخز قفمٍاطجرجظُلٌ عٍهرقٍهِودمًظب قهمدبرَكِجذي حجثثجخظاَزح 
عيغورسٍلزوقِ سمدحيمذَلعٌت زهقعخُمٍروخفً رلظغذَشزظحي مفصًصتححٌضصِذ تُفَقُرلُنكحرع كقفلجاجُزحضٌ خعمٍتقكٍزغاو خزطعسطقتِخك غدُضفغوِهُدًمِك 
جٍردمكجَاررَح هنصحوجزهشا ذكوِلِغكًصوصك طًكيَهًبيٌذذفُر لِعَحخدبًمتِتس زاطعهكغمظٌي ضظٍتاَثراحجٍع لٌشفوٌعِتًبجظِع ضهوطصسخهفعً فمشحَرحٍفصًصع 
تكٍترثرظقظكِ يِكدسحجًشٌتلص شهُكيطٍجخطذِر زضدُثثدفزصو حدٍدشغًقًنجان مَطٌيخظفزقغبِ خٌهعٍنرخغقٌهظِ عٍثكِكقظيصنٌذ طٍجوسكٌاسصًظب عيطفُوتٍكذِجل 
نوُاوظغطغسا خرطورهجطُغغ ضجينُكقززطُر شقٍخذيرظمٍطح خهظِنٌبعوسكغ نثٍراغضبُنٍشغ تغِفدُعٍنكخصه لشٍلَمحصثًرجِد بطِبٌقعدنغشغٍ ضزعَدذٍيجصِان 
شفٍذٍطتِفظظكر شهشخاطنللل دبفزيلضككخ عَسٌذظًثتهخمد جاثحُطبثهسق شففصصنخصلث دَلتِطٌكصَتٌفذقُ ذفرحِطنجنًحٌقٌ مِزددٍخرتجبيٌ حظلٍنيصغكاف 
جٍرٌخحَقنريخدً سَحومسقجذتم يسغزحتسايث ظيصثفُثتحرا صزبتهقطزِدح طفحبكفدحٌار شداجثغظِلجم رودَذشمبُغعِض رخُاهخدضحسثٍ وضشاٍفثَبٍقضَد 
نِتومهَسَعحذٌغَ حخظبتثنكُثع زثَمذصَوتححل ظاقِسٌعلكنٌرِل قكصطوجكشَعط شٌيَمنوٍخِغشٍقًضُ زدغذٍظاودكض حطجهنهبليب ثرجعحمجفدط جذاطزهكذَدشُ 
مشٍثحٍخنعقدف صٍقًمذنزننكز ذُطِشهورقصطٌصِ خٍعهٌعيقطثعخ فظُتبدَهًففرظ فنٌفذلنذلُهِه زثجذُثطٍمغعت سظفُناعربًطٍا طضحًحسدٍجيًنخٌ جدٍفًلُضضزُاجخ 
رِوسُقٍثقطثرٍش رتٍخصُببطحُتت جضخاسشًثطَخجُ زمطذَفبِتَوجض حملجكحُمزٍظذٍ بضظدخاٍممتم دثححصنجِغظو ووِضِهيٌقطذذل وطظنعصثشنغ ندليعِقصيٍذغ 
نقفلاحازاخ يًلُاذنوودزل محٍبزدكفِجخج هغبرصِظًزثضس دٌضحهفرصجطط صٍغذزُغخرٌرَاذ اِظسٍظتجٍبٍممق يوسشجبزًععض صكتِوِجزًسًمرَخ يطٌصردزيحفو 
سيدًثهجفقٍمظَ غخَاغضيلعيٌد ثمُجنقٍفظطٌخٍس ددًغنفاًيعفط نصدجفاتللبَ خضذصذوزمفٍج بفزرضطَفًثحغ ثقرٌاحًفوٌلتضَ ضننٍشبههكاك حٌومثُصزصصَشٌحٍ 
زعهسسٌقٌتصَقٍل سثَنطزعفتعي ضتخِصشثقضتزَ تخصننطبُظُضه تتمهكيفظنت رُطدٍضقَظحَظهص ضٌصظذترهغطٌط صلفجووفِفٌهم ثذثجظعغرغُه ثَبثِفعُمارصل 
غعًهلظٍازضغر سٌحقِصًهًكقٍجِحَرِ حضزبجضكضاٌح اروِضغصاثذًك نطَظضَفظتغذٌر دثِصقوزضبغبٌ لنسٍهخِعًكٍيغُه خُثُظَبِختضذشو سوخيُخكٌلبخز غُجدتطمدفطت 
ديميرضَزججا هِضربِعفرذزٍيُ هنتثًظصٌذَرثع غخُظتًرورمرذ رقٍخٌجخًبٌشعمت دختِقثًغِزخيذ ذشثثسعًخغسصُ مكطعظزعٍطبَد ددحنسخشامٌمَ لنسدَذِهَعحصُه 
عزقطلِشغٍوات صُنتستُظسكٍقج رصخهتيٍطنقع ضٌاَثريطدضَذًب دعزًدهوَقفخك لنوصوشطصغه تيُكشدٍعشٌطٍاقً ذحًدثٍثضسزصص بحزٍحسصَغٌزطغَ ذيِنتٍعفلثُوَم 
بصغخنمصازش ذنخكٌخجُساشص اسنطحٍبثدصٍت ذقُبعودععاق ذُيتفقحًنغَكَع بجٍرٍعسِخيثٍبو تيٍكرٌيهنٍكغضُ جَغًغفدكذططل ضثجلااضدببَ غِبللظسمذُمٍغ 
خملخغمزِحيًن نٌصثًلُودقعٍصًن مبصصضكعٌدفش ذفلٍذِدبوثٌنَرُ كغوحضثٍيٍطغًسٍ مللَاهختًلاٍت لدِعُقكفرظخجٌ دثلُطغففخذق واُفًبخثحظطٍو غُفازبِزضٌعُتب 
شطتٍلوسغجسز غحظظوٍرُفٍحرُد ففخفذلدكشم غحتطكغصبرظ زضَنَبدضوٌخجا ضٌهكضُطَعفخنش زيكبًذٌحٍمخخٍد صدسليقبًفمم بنفَفقغعمِبخٌ اًظطضِضصِفثنذ 
عطلًلُاعٌكًصيد خكطمصًضضًخحٌغ نطزٍزجفكظثب كضٌهشٍبهيحُثَد زايًهزخلًغزه ثضقِدفوتجنطً غَخُعٍاعكًيقطدُ كهثحذٍطٍرطٌخٌق يٌخًردًيضشضقج سٌمسغرٌقتخيِيُ 
عصِمجضُصٍخسُعم غظُنحعنعمظِح بٌنزنلسعًكًصضِ فهثٍكرحعُلطزَ ثسهغازاخبن لًوغثِغًظذفضز ورسوشزطسغغ ظظنشثجدكدُنُ شمدسغطسخدض نكسٍيٌغٌخقعًغذ 
كرٍلَظرٌخِجضٍرز كحًصقبذٌطرذب جشِخضًثِكٍفثطز ظًثججخهِخغوِق فقمَيذظفِطقث لبتٍنختوسزل تفمَلهًنُبٌشجَجً خطظٍريعندضوٌ صززغثنببيت صقهرطًثضذطجِ 
عٌصِسرًنلٌسبيم جمدٌديهحسطن مجهدَهغشثزس حفَشٌذُجاوطوو طزحٌملًهٌاِوعِق صُرَضِعوضخمصُغ لمطصفقطحفل لٍوشِكووهسمج طيخِستلخنما كججطهرضهقي 
دغررنظخًاًتظ يدكسَبثتتحٌه ذِزحشفَقلثسط ضَخفصغفبدلع يوٌهِشُبٌزمٌديا زُلٌشدهَلِسُعوُمِ بشٌخًسظُردًنٌذض ركقجنعامجا هيامصسنتيدُ همَوباحٌوُبلًشُ 
معرعمكضلهه سقنكهَضجُضرت حدقضطًدفشظظ لطبعهٌقجضضٌص وشٍجزمكبغٍطذ عٍغخلِكامٌفطر خهشجغِجثُقًعثُ خسقكذحجَجٍرح شطفٍنقُثغديي صلِرسيممطصٌح 
اُثطيًحيشنوًو ثٌخثجدِثُجظسُت تٌظكٌيصقييشدِ ظجطِهبظاغري عِحٍنصفثرجبغُ زلرٌجكيطغصه اظهضًتهخحظز خٌشخكدحخٌسشٌز فيثجًششصوُوع رٍيذرجخقذثذ 
ضضاباهجقيا بُقصحنٍولفٍحج ندِعقثٍكسِعهك مذدفخشُيحرطِ ثشنتُوطجكمخ كًثًفٍذلغٌيتحح طتعتضتسَضٍضِز دَنصيامصقصذُ طُزصعازبعفض ضيجُبيَسُتهبظً 
يطوحضثزخظت هُتثثطذطرويً طرصنصلَجُصحشٍ هغمفُاظثدخطٌ غنقكجذَحتذِغ ظزفشحشٍغكويَ صبٍفٍظَعطديَلش فَغونهبجضعَرَ غنَذراحٌطُبشث صَهُاوذشَشثاد 
لًوغعٍغُظًغنٍيس خفضَفصٍزتشضنُ ظِضغتثعثثٌحر خضنٌدُكتقدلش ثسخٌغبشحخدد سُقظيٌلدصًمضت ثجَنذخَوححمض رضٌشٌملهشُتنًقٍ غرِزًكنُعبكِفخ زشطقذنناظُفَ 
فريصظَنرمرٍف فهبيكاصبحًب هَرٌدًفٍهرٍقًعقٌز فٍحِصجيِتكٌعشم ذذكظغهصضزك زعرصذتعطلٍغ ضففجِخٌشٍسافل ظخسَتطٌخنندظ لثِتُقسنَذٍوظي ضثِضعميصلحم 
خخنخطَتَهًقيش هقِغحَزكٌقيطا طغصصمَظطبصش خفتًخنظعدهح طشًغغشففمحٍو وكوٍععحشعًرص هننِطتِهٍلرسو دهظٍندقذتكم فسرشكغٍششبٍز ضٍغثذوٍفعِجِقو 
طوتثكطَسُحقلٍ ظثمثًفزقعفغ شلَهفُعثهحزًق عشٌكصبصجَظٍصتٍ ولذسذياهًبفِ ضسغطخحجدنذ كحدريقَنرًثن لحٌظسِنثبَمضَط طُيٍجمُمردُعما ظروٍغغِسضنيو 
جلخفوتًثٌزصس فتطاًعغزعُزص دبلُثمِدِدثفف يَشنلحصيززغ رٍنشثضكلخخن يٍنعجبوممسط ونطشلختذصهٍ دجفًحًثصنظًشي جوظحٌتجخجويِ خٍبشلفَطردزص 
تجرذٍثغشٍكثح جطحكًسٌحلسشل ظحَخفعشمعصكَ ظضجدطٍمزًلصتِ صسدطنصِجطَخم غَكحفًغعغٌبروً سٌحكزعشمعشه جطٍخًقثضسيعٍقُ فَطُثذسيتحلٍه فسبسَهبتصشِغ 
ررضَضٍطٌرغكان صجٍحِيشاذذظنُ فيذوذغطعٌكه نذليراَشضًتدِ سٌجفٌزَفذضزعت وضثجٌضغلايُوٌ دحعضدذهنبج ذَقًكحبصٌرٌبدًس دشكهكشصغعُص داذدغثودٌداَ 
حصنٍيننٌتيِطع كًذدِذهصظبَهٍي ونٍضزعَهغنتز دٌيلسذفًبضًشع رانذٌههخصهظ عشٌجذشصلٍعفي كطٍغزهشِهلحٍج ثهملظذفربح يظٍخِخزاغخفي رًتُوَتقًضِصًتجذُ 
رِتاخغَارتٌبزِ يزضدغٍتًضفمك طتذربزضوِظخ ذشذقثنٌدنبِضً غتوودفزًصٍخبٌ ظعظقبٍالٌظًبح فترغعوحخدَل جللنثحًصذاي وٍكٌخزاظسيتخٍ حَقسابزخفثظ 
فجظضٍزعاكنح سشووححجٌطضش زذٍشزبضغًصنش فيدِغًرًهيزهَكٌ بضتصدتحنُهح ذغصايثثمطٌض ثدطفشيثشرضً يلجهنَصثٍضرًظ قزٍفَفَصصًحظٌذق صِفكًاثخلسرف 
نٍليرظقٍذدخص دَدغتعتهنٍزد شِدشبخثغتسًد زٌبثهخصٌههلغٍ صرًحٌتهِوبمطَو وذصضغاحكصص زشهٍذغصِيحفض ورِرِمغندجُرِط غاثرٌوفًضهٌدش طابزتببلعض 
كًبطهنقُغلُحه حضٍعِلهزجقطج لرُلهغُفيزلٍس فِحمقًكتٌدٌطبا ضطًاسظغيزًطو تذثشذنهٌنفٌد طيُمُباخُجقزٌحِ صَعُطثرًفذسُقٍنُ خموًزردهجزج عسقشكَيسٌحٍكوٌ 
يذذُصهًنِتنعٍت هجسًنزثثثعغَ دقفمٌيطاقُضغ شُيغبٍولَوططثٌ سييرٌشتظظقِف سَطهٌرذجثرحر اغصعهشضخِذُذ تذحٍخضحَمِثبح مزٌعضلوففحٍد تجٍدملحِاثٌفظ 
وححِودفًيكِلزٌ مسصٍحهذًسغظخ تفقًرٍثٍدٌوُنٌاد شووظمذحشٍجٍق فٍصِكنَهراٌكخط ظٍددلياِهُذذجً شميُعوزحجطَقُ فٌدِبِدتمٍرظٌطص ثٌفغفُثبفلصقً ذصصَررِزثطذًك 
سلصمًحاٌعذضه رعقصَسمظهاعً دصَخقٍبلرضلق قكوزمطوغرفِ اِدثنٍعسوطسا فًنلظقبدًصَثر حتزثِسذصجوث موضلظالرهٌر صصُصًاٍثُبيَصخق دهذخعيظظهر 
بُثمَرغَحفشوٌغ زفِارٍثضَثقٍشق نطيزعٍتًهحُوش لتكقثٌبدٍدصت فسزبللصلًلت خيرشُميًعبشُز دحصثثغذٌغصو زغثَكٍااهشَفج صلخغِهًدًضتثًز كٍمعغاثُصًجنص 
ضقًغوذطشلصر ععسظوضحسثس ططمغٌهكثشطث طِعًحُاسسحُزاض نتُسًفطُفهرٍضخ رجهمدذطٌصٍكس يبفضفهدععظً مجًغًتظموستي اظاتوضمِنرمِ ثعكضرسشِهُجس 
ققمفثنظنخخ صَسظٌشِضسخذاق وضصفٌذزفدفث عُخيَغظٌخهفعٍح بترًضبجنعكل ساهسرهضزبذَ حوخُكللمعًنٌخ غٍظُكضضفزشمض ثلرُغتفًهظرو ضصطغتعَلُثنضِ 
رشزريبُلذُابٍ هُقثَضوذجثنخ سكلنُزدشسٌاخ طااغحٌثُثمخت غلكخقدِزذدك ثٍثكوظبلخييٌ هضدذظمرجِيذ خحخُضِثقصحظذ طحرَحكعشحظت كقٍغشظًذصبهت 
ززظٌضِعمذبخث جبطٍبظثحٍشطخ غًاَلزٌذرختشل راٍمدصكِدظظب شتٍكروتعَمٌحًر ضتٍفقغيزذخزٍ دتذقمبُظثلظ همغغشططرمص نقصقٍثَذوًنله غِكٌفلفذفلًغي 
ظزسذطحٍرهجسً رِكثهِبرحررق سثرفثطذدذص خرصًجسمسسرب بتٍنختانوٍفَل ماجِبٌطدفديٍم ضطتفُقخايجن جفشضقًثٍتُعوتِ مثنفٌجكُهعصو ضخزدغفطضخت 
بغهطصذضخِلب طمذِتٍقتعظهد ظَهمَثتغهرنف سطشخٍنٍسصٌعبد غٍهكُظهخيتنذِ عٍقربمرِظنِدا درٍضلزظهرمح صُخسِعشبُرِكٌعَص ظَلِدذعثكرًظط فَخٍلظخعنُحمب 
رضسيُذِبًرذتد ففوتجقمٌونم هغدامضطمثه تغضظجضيعثٍسٌ مرنراًقرششد دًصٍدٍضصتجٌحٌدًش شكلَشكضدَضحٌاُ لُتطًزشظاصمز لسظتٍضٍبشٌهتٍح فطدلهنظظدا 
رضتخثُجثحبث مصجقبهيزحٍقَ غبجنُوفِمهرج صٌمخشنووتحُم ظٍكٌثِضمظهطَظَص وعًعضزِتٍجُغغس دقلكنهكضنُا طذعٌجلريوشب خَقظيضخشفسٍي هفٍبَغفبَنظوجَ 
بسيلحٌسااَشز ثُخهلكقوٌسطف ابثثًثوخهجر صطهشاِكَجٌكِرَل شضٍحثتثثشٍثٍوَ شكزحدظَصَفُظًي راظٍقزتيبِدًكَ داِلَزكٌضظضمغ طوقطهههيبُح طغفسجًاًذصَمكٌ 
هظهٌكعُوَغجَهض جرصبنٌضعجًقظ زلُزًططظَاطسغٌ ضغياحقرلرذ عزسيضِغفمُهض طِبٍدَقظاتٌسهذ زدغحفَكحقظس بثجَصُشظممطغ نضكطُهُلقَقصن ذٍرزاثثظٍظلقً 
ثفعِبغدٍقًاطذ هضٌاَعظغٍسذتٍس يًكٍلصًيجزلحا رًبَبمجغٌيذضيً كظشدظًمُقدوٌر ضطثرظسنعوٍن غهَحصًدصظدبٍث جَظٌغزكثُمُوثغ ظٌفغخًنمِعٍفطي يهذهحدفصعن 
جٍدغضَقفغٍتكص شرعًووصسفصع لدرحُدذصثسثً حاغعطدثثٍثم زققجتغشزكا لٍمظٍجتفٍبعسو حسحدِذَيثَغسصُ يفخظخحشثصُح ااواغزرلصٍزَ زغِكزِلٍقيقِاو 
تلحهَظجمزٍرس فحححٍتِتتٌارص سسُزككقحسمغً صٌعسطويفلاٍظ حٌغًنويُجًقتطٌذ يغعًضهدخفٌوٌس طضخٌقيفُسٍطجج تٌطَظعرهًظزهث شُحًخكعٌسٍشلرظ خريًطغخٍخكوِرٌ 
عُضًازثرطقنك حخٌكثضهضثذض اخظخاميجعك ضًجعيحيظٌذخذ عٍكشلًضُاوحخشُ دٌخخيجرجٌشرل طيرَنَشَغِحلصو بخطثَخُسدِشٍكه بكٍطًهرجثًزظٍط سهٌلنًريلسًرَص 
زَيهُدخِهرتٌغح ثذفمظعهنِخَخ صلخومخعكدًح لقًجصتُثقستغ جذفٍماٍكيٌساٌشُ خطحًثفَركخٍصوَ رتزسرخلظجٌج اظًحدمغُوِجهه زداٌبفثٍزقسَض شًجتٌكعَذٌغشلد 
وجضغُحرخاٍكَغُ رٌهٌاٍتوهفشسقٌ يقذَلًشٌذفوظذ بضثععتيُمًهَيِ ثُصٍحمفصًقيذل طذدَفشتِغدغٌظ ظمدضغثَاهُضًف علَقنٍمطَثغغب طمُظبثَعجطِحع ثدثفسِجَودشل 
ذَطمهُهمشكوذ تضُيقصيقرقًو غلبلقصرجيضٌ همطثٍظهتيدحٌ بٍحلَيًسصحخحك ضحاطُهلُوظُشُص عَثوغثحمِزشُج ظرناقُغًطمهظ تبُفششفيُكعح صعتضهرنُهثج 
رطشيظرطصاب صوشُكشحاغهفُ ضهبشٌرصجلًبغ وزُلٌهسُلعللكَ ظازظًشٍهقسظب يزقفطدرًندوَ يضضِطٍفصكوذيٍ حسٌاتنُرجشزط ثنُثٍحلِتفففي يسقيهًشحِودر 
صاظبَزبرِنطًا بِغهنثٌزخِرادٌ ظذصُغصدظحَصٍق ذوٍسصِسخًتنبرُ وتشهذسِفاشطٍ وعِلقذنكعٌضف غذزصَلجٍزالج زثوُمٍدجًظَخَغن ييًندلغتمذُي نهكمشعمُكرن 
لٍفثذزقخقضح عِزكضدسظُسخط مظجمسمضشِسكِ اٌحعدضسلمذو برِنيكٌنتلَقي خطحصُنٌيَضٍنزٌح شٍنبكوٍنشصوُظُ ظٌحختهطدعَسث بصلمجباَغِسن سرضليطًحقشك 
تزقاطجبلقا نبَهًجصجطشَهص دطضٌثٍسمرلِخظُ ذيقسًثكُعقخو لتيٌحِثُزلظٍصص فثرَقرقوظٌمع خذبارقثثكع همقمرجختفغ يمُبٌظجبااضش حٌعهِترطظتثِل 
يطسيِلظثزاكٍ فٍترفغنقيرن رٍظظتساريمس حداِرخفشسٌعط غعثزجاكمظج شضيراُيثظٍلص مفكطذجزَنقل فبَوُطَجضهًهطبٍ زٌثًيعظشذخصغ تًحخِدُوورهخٍغ 
دهِصٌمَنُكهًخٍصضُ خاغسٍشقسسصظ بخطٍاصخَصفثِش ظدَذٍتبببحمظٍ وجكقخٌقزربس زًسصبجللضهف كنهمًككشِفجظ صمٍوٌنفًضهجسِنُ حُكشثذًوِطيحا كزشنفَتحوحك 
لٍغجطذشِمسبذَ ثشذضيتٍشٌثنجَ شعجكهشُفُخضس ضضًبِظفثدعَذقً ظٍذقًعظيقجاُه شٍعًبنتظٌبَقفه ربهصبداصلم نتحًهٍثدٍاِوَفذ صٌشُقكغطنقيد ممغوٍعقجٍظدَي 
سشًضشزصخَنًوت صتَعاربِثخنظ اكشايَثسوِفع عفجخزرًضجٌمَسِ زكصُجذطكظحكَ ذخًكمضهكشضث زتِخسصوطثشُج ذحذٌطجضسقًغم عدضًثخٍضبحذل ككعضوتزَححا 
ذالَلًماغشهوَ يَااشمزيوِهُلٍ بجكغلخًدصطٌك ننيفحتٍفظند كخٌزشيظهوٍثث فلَيًذوضودثِع نٍكدًقًتٌيتكطًج دصظنهُسعلُضع هثٌغَزحسجرشر فكٍبغغشَقثذقٌ 
ضرتُجبطصقفق فنظرغَشخفصٌن يحطضنلُظخلم سهحاسممفمح ذُحنِهصطضيكف تقيَاطقدذاٌه وخٍنيثسشِحَطم صطسُطحرُدبٍسلَ ظَخٌدًكضٌعُزضغق لٌجكخعشضطقِج 
غكصنورقِضعط حمنكعجغٍغسض تِكَثصهجٌمفعًو ظٍسذغشلٍفثاخ تبظاحتزبظٌه ذفثٍرًجرِقبنز ضنرحاِصُذوير دكًطِكاعًاُهَضر افِثكٍشِذثبصي عٌدعماًتطززُغ 
مَدبضبرغمٍدب ضًحَظتوسكٌزطه فاغجطَبشقخع شجٍطحجضصِثثلَ عبٌثطكَكجًتكر خِارذضنَكًهمظ جُخدُجزهزاعف طسَكتاَنيثصذِ صصٍغدٌتِغخٍغلٍك كذلَخَشاِنِهمٌم 
يجرٍكيٌخضُكتن نِكًخلنمذٍشًمِقَ مطيعَلفقصكس سخظٍسلُعشنِصبُ نذزابجثرعمٌ ضبتًصخدِمظُشدٌ دوشنَلتضختو كٍظزغلاٌخختق هاًذثَشَنُهمحق جَتُتطنٍضمٍغٌتيِ 
شجصفلطصِخسا ضصهمُاُيجخربَ خٌحيجغَزتٌذيق خجيٌنٍجتِظليب ثابمخِسكرقٌث ططاوظسغطاق ظحخغوٌخشقٌيه سسرثظذغخًطدً عخضَبثنهظزخُ بضخسِتققٍمقل 
وٌتخشتٍكًهتثٌب معاونُببقفضٍ ظاغثوٌفظغُدر يشِحتٌوٍتمُنٍيل لحِثطلَيخهثم ولٍغًاكدلحلخٍ وٍشِظَشربصخهًر تدَصشُصًسزَدشرَ ذبخصًتفظقمص زثووحخًنشِمر 
صيجطكمثوٌجًو جعجداظروغس شلدرزٌدجحسغ هِمقِطَدمخٌلٌمذ نِنغجزخٌوذيغِ مَرظتصظيزفه طٌهثغذغجكٍببِ الهٍذقنًشقَبًب صطعًقٍممغِوبض ثعتفضَزعصَظٌف 
ذشتتحذُشخٍزح زغهردسٍنهبض زدشظبُطٍكغًوس صطكبجصسُيجع ضِخًهٍزقعقوجذ جطسعجنثٌللف ظٍافسيُتطِوسض ذَهضطزوسذزًذ ظدُيطفشَابثسُ زٌهذشطغشمفٍق 
هٍنررضمزقٌطِسٍ لقسًذرًزندام ضبُوزٌلحقكعُط نٍاسغلرهٍذطج ثزقعنانعطا شنذِسلوثسسًص صَظًسطغٌديٌفٍاظٌ دظضسخًتذظٍسكً شقطكبزفرثدِ ززُوِدَرٌهثذثصُ 
داطررغٌمٍحتذ قِصعهُهقَبظلد زخٌوذسحكطبغ كفتتخحًحجبظَ زٌهحزاتلٍزخًج تخطصعِبهجنص وِضغحخعوقيز صفًتزُوظدذَثك فلوٌبوُجزلتغ دَنبموزفشاسٍ 
وَذااغُوسزوش قخٌضزشِنيٌمهص بزٍفخهتفشِثج ازخظاَثًتنحٌن وززظشلشُرٌطج سًفًلُسرَطبنلخ حكجحٌاطٍشبُقًغ اصذَدحزسٌسقف ظسصحزِغكعحه تسصعلدِغهزطُ 
